Hybridization REF	TCGA-A8-A07C-01A-11R-A034-07
PDLIM1	-0.4413
KCNS2	0.3665
RNF126	-1.0255
CEP63	-0.428
CLIC4	-0.219125
hCG_1990170	0.889
ACR	0.664
KLK7	2.2905
ALOX5AP	2.484
RIPK3	2.20025
TAS2R9	0.36
C19orf18	1.8895
BIRC6	0.632357142857143
ZNF16	0.329
RFT1	-1.2935
SLC8A2	-0.586
TACC1	-0.731375
ITGAD	1.056
SAMHD1	0.78325
SH3PXD2B	0.8296
EPC2	1.165
C20orf85	0.44075
ATP13A2	0.664
KRT4	0.350375
CAPNS1	-0.417
MDM2	-0.432333333333333
PCDH20	0.591
KCNK9	0.204
OR2C1	0.456
KLHDC3	0.225166666666667
IPPK	0.3315
EFHD2	-0.912125
GALR3	0.6425
NBEA	0.1905
ABCA6	1.7216
CLDN3	1.01983333333333
AKT2	-0.214571428571429
EGFR	-0.8041
RBM16	1.0715
ZDHHC3	0.3189
SLC25A4	-0.4985
CYB5B	-1.42466666666667
CPXM1	-0.8135
NDRG1	-1.29669230769231
FLJ43826	0.218
OR5L2	0.0623333333333333
FARP2	0.1311
MRPL46	-0.597416666666667
LDHAL6B	-0.0406666666666667
MAPKAPK3	-1.44466666666667
NCAM2	-2.4145
PRKD2	0.377666666666667
ZFP36L1	0.0603
CYSLTR1	-0.583
OR4C3	0.20775
HIST1H2AJ	-0.98
CCNB2	0.361444444444444
ZNF10	0.462875
TMEM175	0.2485
FAM134A	1.23166666666667
TIGD4	-0.161
PCNP	0.26325
MGC39715	-0.0325
LQK1	0.294
CREB1	1.0742
TMPRSS3	-3.24025
C4orf32	-0.93625
LAT	-1.27808333333333
KCNA3	0.4105
SKIV2L2	0.21325
ROPN1B	4.9525
tcag7.23	-0.7685
CDT1	-1.325375
ZHX2	1.40225
CD28	-2.272
ZNF624	1.324
SEPT2	-0.325666666666667
SOHLH2	-0.3915
MCOLN3	1.374625
UNQ1945	0.4495
MASP2	-1.1055
ZNRF3	-0.5506
GPATCH3	-0.238
AGL	-0.00112500000000001
QRICH2	0.5975
PSD4	0.137333333333333
CCNB1IP1	-0.64975
ENPP7	-0.151
OBFC1	-0.263
KCNG3	-0.49625
C14orf79	-0.380833333333333
ENPEP	0.909833333333333
SCT	0.827
SKI	1.5625
SEC61G	-0.795
CAPN11	-0.2155
ATXN7L3	0.85675
DBNDD1	-0.728333333333333
FAIM	0.1875
ANKRD36	-0.214
GABRP	5.0895
TACSTD2	0.809333333333333
EIF3J	-0.288
PPP2R2A	-0.6895
TEKT4	-1.3345
PVALB	-3.57333333333333
F10	-3.43616666666667
FAM134C	0.9387
COMP	3.99925
EFCBP1	-3.0501875
SCLT1	1.3685
TAL1	-1.2979
ACSL1	-0.785
ABCC5	1.0895
ABL1	-0.234444444444444
RBBP7	-0.1055
PTPRG	-1.962375
NCOR1	0.3558
SPINK4	-2.01966666666667
TXNRD1	-0.0316
TNRC15	0.6495
C9orf138	0.646625
UBE2H	-0.0506666666666667
BRDT	-0.161833333333333
C8orf31	-0.16525
CCNE2	0.944454545454546
SLC6A8	-2.508125
CALCR	-3.4905
PPP1CB	1.22716666666667
ABHD8	0.7665
ARF5	0.2814
SLC24A4	0.78025
CCT3	0.73625
ZNF121	0.324625
SLC3A2	-0.5297
OR13A1	0.5015
SLC5A10	0.2005
RAD50	-1.177375
IER5	-0.253875
MTHFD1L	-0.731625
MBTPS2	0.091
MVK	0.0115
NCL	0.012
PSMD10	-0.69825
MOBP	0.587125
FLJ32894	-0.454
HRH1	-1.48183333333333
C5orf30	0.51925
NUDT16L1	0.7088
RASGRP3	4.00166666666667
PRKRIP1	-0.4459
CCDC75	1.34475
LOC253970	0.02125
KIAA1239	0.244
MED21	0.1575
SYT11	1.19625
NTSR2	-0.217
EGFL11	0.072
CXorf59	-0.0605
OR2A25	0.22125
SPTBN2	0.49275
LRMP	-0.8445
RNF111	0.60225
PTH	0.162
LOC619208	1.37016666666667
KIAA0895	0.81225
RANBP5	0.796125
P2RY10	1.23033333333333
NME5	0.395166666666667
DDX21	-0.86075
LRSAM1	0.2145
HDAC11	0.563666666666667
VMO1	2.08375
NOLA2	-0.455
ADAR	0.960083333333333
MTO1	0.392666666666667
SF4	0.412
P2RX1	0.2315
HBM	0.03725
EN2	0.909
C14orf172	0.5055
TM9SF2	1.6672
INHBE	-1.166
TCTE3	-0.167333333333333
TOX2	-2.5405
CTAGE3	-0.387625
HBB	2.5403
MED15	-1.04033333333333
CASR	0.31375
C6orf66	1.35516666666667
MTPN	-0.136875
UNC50	0.196
C21orf33	0.991875
IRF2	0.430875
PGR	-2.43366666666667
GPR84	2.2575
CROCCL1	-1.1395
SRPX	-1.74025
BRE	0.6585
FGF10	0.377
SDC3	0.308333333333333
ZRSR1	-0.2565
DKFZP434P211	-0.77275
SOX6	-0.621
RPUSD2	0.05325
C14orf173	-0.6325
MAPK11	-0.890166666666667
TBC1D22A	-0.0605
FAM123A	-0.4015
COL4A6	-3.15766666666667
TOMM70A	0.47775
NAB1	1.0845
MGC16385	0.3425
TSPAN18	0.343833333333333
MED31	-0.6975
PLG	-0.385
CAPSL	-0.01
ZNF532	0.7321
ASB14	-0.17975
CA8	-3.6715
NUDT16P	-0.0588333333333333
SLFN11	0.4375
LRRIQ2	1.550625
NOL7	0.425
BRMS1L	0.675625
JARID1A	0.888
PANK2	-0.809
ICAM3	-1.16575
MDS1	-0.6515
TAF8	-0.2
RNF139	-0.27775
ZNF594	0.216
ADAM8	2.320625
SFTPC	-0.149875
MAN2B2	0.384625
RGS12	0.6929375
EIF1AY	-5.02216666666667
LRRIQ1	0.612666666666667
GPR150	0.7055
CCDC21	-0.663166666666667
PRRG3	0.05675
SAA4	-3.73025
RAPGEF5	0.54325
ZCCHC2	0.664916666666667
MGC39372	-0.277
PPP4R2	-0.518166666666667
CDCA2	-0.533166666666667
OR4D5	0.901166666666667
PTGFRN	1.012
SIGLEC5	1.59716666666667
C19orf61	1.15916666666667
NMUR2	0.379
KIAA1586	0.480333333333333
DAGLA	-0.602
CHCHD6	-0.5275
GPR32	0.09
NEUROD6	0.371
SLC2A4RG	-0.682625
CA5B	-0.68475
FBXL3	0.57425
MPHOSPH9	-0.4815
HMG2L1	0.76075
HCN4	0.385666666666667
CEACAM19	0.37925
SH2D4B	0.571
HFE2	-0.482
TGM4	-0.1354
LYPD2	0.011
TBC1D15	-0.0865
MRPS21	0.671
NONO	-0.637
CLEC5A	1.326
ITCH	0.4979
MGAT3	-0.697833333333333
MBP	0.299125
RPP25	-1.0395
SOSTDC1	1.27925
HRC	-1.83425
TRIM48	-0.0325
TMEM133	1.32275
ECEL1P2	-1.02425
HOXC11	0.8615
DOK5	-0.04075
HELZ	0.689833333333333
LOC348180	-0.223
MGC33894	0.2925
ADRB3	0.1585
DMD	0.727416666666667
PTRH2	0.28475
MPEG1	3.09616666666667
NDUFA12	-0.3105
KRTAP2-4	-0.034
STAMBPL1	-1.26833333333333
ADCY2	0.162833333333333
UNQ6125	0.524
KLHL20	0.0153333333333333
SRM	-0.713
OTC	-0.0375
TMIE	-0.132833333333333
SNX8	-0.04925
LIPK	0.1645
CHURC1	-0.546166666666667
KLC2	0.252333333333333
HDAC1	-0.334333333333333
FAM128A	-0.0108333333333333
FNDC3B	1.0113
MTCP1	1.02216666666667
WFDC10B	0.0365
PCDHGB3	0.061
ATRNL1	-0.5618
CAV2	-0.461
MED26	0.5715
DUS1L	1.06775
CHRM3	0.562625
NEK9	-0.3375
WARS2	0.2025
TBX22	-0.252
TOMM40	-0.62525
RP6-213H19.1	-0.376
TUBGCP5	-1.22925
IGSF6	4.87525
TPPP	0.0256666666666667
UNQ6190	0.137
GSTM5	-0.03525
BTD	1.1995
PDCD1LG2	0.959
SNRPB2	0.111333333333333
ERICH1	-0.177125
APOA4	-1.345
HOXA11	-2.087
NARG1	0.3345
MKX	-0.55875
RAB28	0.0386428571428572
PKP3	-0.0885
SH3GL2	-2.2995
CTSO	1.55925
RPN2	0.21125
IL28RA	1.58733333333333
SFMBT1	-0.6045
WDR57	-0.31475
FER1L3	-1.3995
HSF5	0.3575
TTC9B	-0.02425
C4BPA	-3.67066666666667
ALB	-3.65021428571429
SORBS3	0.07775
UPF2	0.931
JPH1	0.103
AGBL2	0.03075
DOPEY1	2.57
TERF1	-0.39125
KIF22	-0.232
NINJ1	0.88775
SEC61A2	0.599083333333333
HIST1H1D	-0.7835
SFXN4	1.2895
UCP3	0.4555
ZNF703	0.2985
MYL6B	-0.03375
TREM1	2.48275
OR52E6	0.4685
CKMT2	1.85075
HLA-C	1.48825
SLC13A3	-0.1525
TIMP4	-2.749
SLIT2	1.8485
RSF1	-0.0786111111111111
LONRF1	0.808428571428571
MON1A	-0.446833333333333
CACNG6	-1.548
DPPA4	-5.156
ZSWIM3	0.3295
ZNF804A	0.314
CCIN	0.881
SLC25A31	0.262
KCNMB4	-0.54175
RABL5	0.433
GALNS	0.0169
STX6	0.83275
HIST1H1C	-2.51333333333333
CIDEB	0.149375
CASP4	0.270166666666667
PDK3	-0.3997
KCNJ11	0.4755
TPR	0.219125
ZSCAN20	-0.955
MTX2	0.08325
HIST1H2BH	0.064
LOC283767	0.9575
LYRM7	-1.35444444444444
BRD3	1.34666666666667
HIST1H2BO	-0.513
MAGEB10	0.07
SLC45A1	0.746
SERPINA3	-2.0782
KIAA0143	-0.39125
KCNJ16	0.539666666666667
KRT79	-0.019
FABP2	-0.189
NUT	-0.43725
ZNF57	0.26275
FBXL4	0.673625
CLEC9A	0.4575
UGT8	2.393
BMP2K	-0.0875
MAPK4	-0.36025
SLC25A23	0.0658
HINT1	-1.1162
KRTAP13-1	0.0915
SFXN5	-0.0463
CHCHD2	0.26925
FAM3D	3.83
NDP	-2.720625
RHOBTB1	-0.161666666666667
SLC4A4	-0.8815
RPL38	0.062
HTF9C	-0.498833333333333
AP2A2	-0.003625
ZBTB46	-0.6025
MAP7D1	-0.268625
AOX1	-1.821
CYR61	-0.208
DTNA	-0.525642857142857
JRKL	-0.24775
TMOD3	-1.0245
EEA1	-0.5654
ADCK5	-1.55275
IL1R1	0.133333333333333
KLK3	0.2215
HRSP12	0.9675
KTN1	-1.344
LOH11CR2A	-1.1815
RELL2	-0.4725
MAB21L1	0.068
C20orf59	-1.02833333333333
PHKB	-0.8215
ADAM2	-1.37566666666667
TBC1D8B	-0.000666666666666667
FAM13A1	-0.5546875
LAPTM4B	1.78291666666667
LCN8	-0.1605
TMEM147	0.7465
SYT4	0.203
XPO7	0.0465
C9orf62	1.0345
GPR75	0.2855
TRIM5	-0.347875
APOC1	1.056
RNASE4	-2.02433333333333
PARD6B	-2.389125
ARID1A	-0.0421666666666667
TPD52L3	0.3135
RRAGB	0.6185
RCN2	-0.0218333333333333
HIST2H2BE	-0.5500625
STARD7	0.22725
SHMT2	-0.62275
KIAA1751	0.096
MLYCD	-0.67625
LOC162632	0.0762
UQCRH	-0.801
RP11-217H1.1	-0.8390625
SDHA	-1.3115
NCLN	0.8502
ZNF17	0.246833333333333
RCBTB2	-2.335
VEGFB	-0.0627
RP4-747L4.3	1.42575
COLQ	0.9886
MPN2	-0.594
DRG2	0.64225
KLRB1	4.78075
ALPK2	-2.617
DNASE2B	0.4585
FLJ23834	-0.197333333333333
AXUD1	0.649833333333333
SAFB	0.2231
NSUN4	-0.7615
RFX2	-0.302
MAPK8IP1	-0.516166666666667
FANCD2	-0.0927142857142857
ANKZF1	-0.679666666666667
C19orf50	0.311125
DUSP8	1.332875
SENP5	0.040125
NFKBIL2	-0.228
LBR	0.554
IGFL1	-0.00900000000000001
LZTS2	-0.379625
IL2RG	0.38
CCDC51	-1.491
KLF3	0.227625
ANKRD37	-2.2795
KCTD14	1.23433333333333
FZR1	0.328833333333333
SLC44A4	1.0815
ESPL1	-0.4515
GMPR2	-0.9767
TBC1D19	-0.5695
ERGIC1	-0.672555555555555
ERBB4	0.1677
TSPAN32	0.42225
MAP4	-0.994
GPHN	-1.10925
SLC6A2	-0.11675
HIVEP1	1.21325
DFFB	0.0746
EIF4EBP2	0.55725
DMRT1	1.033
HSPB6	-0.3965
IER2	0.5575
AIFM1	-0.7425
WWC2	-1.515
MRPL4	0.15375
FLJ21062	-0.297333333333333
EPB41L4A	-0.69575
SH2D6	0.249
TAF4B	0.1785
GAL3ST3	-0.2785
MALT1	-0.603666666666667
RTDR1	0.51125
ARVCF	0.4825
MEX3B	0.582166666666667
FBXO16	0.1065
KIF7	-0.52625
C1QC	3.93433333333333
ZNF783	-0.554833333333333
ZNF85	0.05375
MMP13	0.286
KIAA0329	0.172375
RTP3	-0.515
ZBED3	0.74375
CLGN	-2.0145
SLC25A37	-1.252375
hCG_18290	0.99275
OR5AS1	0.4685
SMARCC2	0.0533333333333333
FAM109A	-0.547333333333333
CCDC12	-1.15525
USF2	0.5488
DEPDC7	-0.268
C20orf24	-0.548833333333333
JMJD3	0.5775
DSP	1.94057142857143
SLIC1	0.656375
FAM20A	1.533125
IRF2BP2	1.025375
ZNF230	0.1215
MSN	-0.960714285714286
SLC9A5	-1.8185
EPDR1	-2.285
MUSK	0.199833333333333
ZNF434	-0.250666666666667
SMARCD1	-0.359333333333333
ZFP106	0.04325
