Hybridization REF	TCGA-BH-A0BD-01A-11R-A034-07
GJA9	0.399666666666667
MGC24975	-1.57866666666667
TRIM45	1.0775
TSP50	2.072
TCP1	-1.66775
TMED7	0.5732
CMA1	2.358
CENPL	0.368833333333333
PTCRA	-0.152
FST	-4.34475
VWCE	-4.06925
PAWR	-0.1925
ABCC12	-0.0834
LDLR	-1.0586
ASTN2	0.5697
LOC441212	-0.75925
GPATCH8	-0.21275
TANC2	-0.206416666666667
KIF4A	-1.248
C18orf18	-1.61275
PGM1	-0.16075
KIAA0258	0.152
CPD	0.5165
SNCAIP	-0.7855
DCT	-4.296
HLA-DOA	2.72518181818182
OR11L1	0.2185
UPK1B	-0.681
DNAJB4	0.261875
UGT1A8	-0.6835
HIST1H4L	-0.621
PECR	-1.08333333333333
HSPA2	1.36625
WFIKKN1	-2.5445
SERP1	0.3535
SYDE2	1.37775
TACR2	0.8905
NUP85	-0.6455
CD177	-0.132166666666667
LGR5	-2.3605
PIGG	0.0923333333333333
PTHR1	-1.39283333333333
RAB5A	0.2668
FLJ13224	-0.383
USP9Y	-1.7375
C7orf53	-1.1815
LRP1B	-0.6445
XAF1	2.5753
ABCG8	-0.36
ANKDD1A	-0.308
DAND5	-0.09
SPAG6	5.52933333333333
LINCR	2.061
ZDHHC22	-1.741875
CCDC60	-0.055
THOC7	-0.848666666666667
TCTA	1.1235
OR8K3	0.4975
NY-REN-7	-1.1175
B2M	2.442
C6orf141	-1.518375
LPPR4	2.5535
SQLE	-0.84425
SEPHS1	-0.4725
BTBD14B	0.481571428571429
PLRG1	-0.1365
SPG7	-0.4180625
ZNF614	-0.4525
PARD6G	0.334166666666667
INPP5B	-0.3376
GRPEL2	-0.339625
PPID	-0.7419
TRIM56	-0.36025
UBE2J1	0.124
IL20RA	5.597
LOC387856	0.443
C1orf107	1.167
UTS2R	0.678
C19orf22	-0.30725
SAFB2	0.100375
KIAA0652	0.01
KLRG1	0.2485
MS4A8B	0.258833333333333
FRAG1	0.37025
KIAA1546	0.31775
E2F4	-0.8575
CLEC4M	0.404333333333333
BTBD14A	-0.3685
KIAA0999	0.7803
GYPA	-4.391
TAC1	0.1865
TRAIP	-0.9105
KIAA0232	1.053
ERCC8	-1.208
GPX4	0.647625
KIAA0368	-0.203125
GPR157	-0.915833333333333
CTAGE4	0.9955
C9orf30	-0.709333333333333
OR52A1	0.275
HSP90B3P	0.0805
ALG9	-0.8235
BTBD10	0.50325
SDK2	0.6085
BAIAP3	1.469
RABGGTB	-1.264125
ANKRD40	-0.226166666666667
KRT74	0.872
CALCOCO2	0.5565
SNCA	-2.827
TMSL8	-3.84775
C2orf53	0.676
ESRRB	-0.218
ARHGAP26	-1.090375
TDRD9	-2.92775
HRAS	0.261
KLRC4	-1.2785
JAGN1	-0.0455
BSDC1	0.54625
RNF43	-2.5775
NDUFAF1	0.27875
PHF12	0.093
OR1L3	-0.19975
FOLR2	2.30125
LYZL6	0.161333333333333
tcag7.1260	-1.604
WSB1	-1.374
PROS1	-0.6866
OSTN	0.5555
PSMB8	1.4475
SOCS4	-0.07325
DDIT4L	1.181
MAS1	-0.881
MGC34796	1.637
CSHL1	0.136833333333333
TBCCD1	-0.0375
ZBTB7C	-0.0115
AP2S1	-0.61975
P15RS	-0.5834
VAT1	-0.1974
SHANK3	1.0065
TUFM	-0.330166666666667
THEG	0.3675
KRT34	-2.106
SGSM3	-0.233375
TOMM22	-0.03025
SOCS3	1.4075
CPO	0.0485
POP4	0.51725
BHLHB3	0.77975
MALL	0.9675
OR1B1	0.249
PARK2	1.181
GPR124	0.159875
LCE1E	-0.0145
RUVBL2	-0.545
CGRRF1	0.4575
ACPL2	0.799
WNT10B	-2.545625
BAIAP2L2	-2.2165
ISCA1	0.089
C1orf125	0.3405
RPAP1	-0.79
RAI16	0.4855
RPL27	-0.582
NLRP9	-0.437
EPN1	0.2485
LOC388610	-1.025375
SLC35A1	0.417
GAL	-3.42225
SLC14A2	0.55175
RDH11	-0.835166666666667
FAM138F	-0.652
AUH	0.081
FLJ40243	0.209
C14orf129	0.4305
MBD2	-0.933166666666667
ABHD14B	0.055
PIGT	0.427625
ALS2CR4	-0.22825
ALAS1	-0.1856
FOXO1	0.836333333333333
CRLF3	-0.30725
C20orf107	-0.433
FARS2	0.75025
CCDC28A	0.20075
NPHP3	-1.47
OR13F1	0.4445
TSEN54	-0.707
DEFB106B	0.1422
OR8B4	0.8105
STH	1.96425
ZC3H14	-0.147125
CBX2	0.0215
TMEM49	-1.242
C6orf21	0.679
FLJ20920	0.269625
CRTAP	0.0221428571428571
DDX50	-0.21375
STYXL1	0.14225
BLVRB	0.548
LOC147650	1.752
MMP24	0.081
GRID1	1.8425
BANF1	-0.779
CTAGEP	0.34225
HMBS	-2.36475
SLC25A24	0.0681666666666667
C14orf50	-0.59
MRO	2.2855
SLC25A15	-0.92575
FAM84B	1.5295
TDP1	-0.3805
C16orf78	0.163
C11orf57	-0.767125
RFK	-0.413
ZFYVE9	0.181625
STCH	-0.6892
WIBG	0.30625
LOC283871	-0.679666666666667
GBA2	-0.7436
NDUFB3	-0.073
HSD17B13	-0.43775
GRIN3A	1.98
FMNL1	-0.226333333333333
SEPT7	-0.2205
GNLY	3.1635
GRAMD1C	0.133833333333333
ZNF165	0.65675
USP38	0.8715
FAM83A	-2.47716666666667
C14orf24	0.63475
ARMCX3	1.288375
ARHGDIB	0.587333333333333
AK1	0.48
KIAA1045	0.53775
DNAJB13	-0.3585
NEU2	0.465
HIST1H4B	-0.9455
FAM20B	0.8488
HES2	-0.0380714285714286
FAM73B	-0.8664
LOC388381	0.26175
INTS7	0.486727272727273
AMPH	2.65125
ZNF775	-0.339125
UCKL1	-0.966
C10orf97	-0.207
C1orf161	0.00924999999999999
ALDH1L1	0.514
FLJ39378	-0.02925
SLC23A1	-1.1685
RBM4B	0.36725
THAP4	0.364833333333333
OGFRL1	0.454
KIAA0831	-0.191125
PPP1R15A	-0.575833333333333
C1orf96	0.756928571428572
C12orf11	-2.4295
BMF	0.212875
MAN1A1	0.072625
KIAA1600	0.951833333333333
NLGN4X	0.7305
ALOX12	-1.84116666666667
RB1CC1	0.125
NEIL2	1.7716
EIF4E	0.241409090909091
ABHD5	0.413
EXOC4	-0.245666666666667
CIP29	0.369333333333333
BATF2	2.3075
SLC29A4	-0.6425
HTR4	0.9585
EMB	0.81925
TRAF6	0.601
LMNB1	-0.96525
FAM19A5	-0.737
SHE	1.9125
PIK3C2B	1.5025
C15orf15	-0.7489
USP15	-0.1109
TCEAL2	0.794
C5orf39	-1.07033333333333
PTGER2	-1.1425
SLC31A1	-0.5938125
IFT172	0.391
ADAM29	0.386
GFOD1	0.37325
ST7L	0.233166666666667
C15orf26	-3.5755
PKN3	-1.111
CNTD1	2.01016666666667
COMMD1	0.357
NTRK2	2.97941666666667
FOXN3	0.239625
MFGE8	-0.4473
PFKFB2	0.505333333333333
TAS2R4	0.3995
ENTHD1	1.75
PRMT5	-0.825625
MGC16384	-1.264375
LOC442229	-0.72575
TSKU	2.183375
KRTCAP3	3.86775
PDLIM1	0.637
KCNS2	0.79975
RNF126	-0.655166666666667
CEP63	0.26625
CLIC4	0.00462500000000001
hCG_1990170	-0.8315
ACR	0.4013
KLK7	1.15225
ALOX5AP	3.11575
RIPK3	3.778
TAS2R9	0.5025
C19orf18	0.6335
BIRC6	-0.213285714285714
ZNF16	1.222
RFT1	-0.32975
SLC8A2	-1.03725
TACC1	-0.3935
ITGAD	1.86325
SAMHD1	1.63225
SH3PXD2B	0.9682
EPC2	0.7005
C20orf85	0.358
ATP13A2	0.102666666666667
KRT4	0.5715
CAPNS1	0.0615
MDM2	-0.512666666666667
PCDH20	5.4405
KCNK9	0.2645
OR2C1	0.1215
KLHDC3	-0.941833333333333
IPPK	0.6
EFHD2	0.170625
GALR3	0.57775
NBEA	-0.0763333333333334
ABCA6	3.153
CLDN3	0.125833333333333
AKT2	-0.933642857142857
EGFR	-2.0248
RBM16	-0.20975
ZDHHC3	0.1506
SLC25A4	-0.329333333333333
CYB5B	-0.2165
CPXM1	0.97025
NDRG1	-2.18738461538462
FLJ43826	1.423
OR5L2	-0.354
FARP2	0.0936
MRPL46	-0.43375
LDHAL6B	0.320666666666667
MAPKAPK3	-0.440666666666667
NCAM2	0.91825
PRKD2	0.445833333333333
ZFP36L1	1.3596
CYSLTR1	0.52325
OR4C3	0.63725
HIST1H2AJ	1.397
CCNB2	-1.02
ZNF10	-0.31375
TMEM175	0.3075
FAM134A	1.13533333333333
TIGD4	0.038
PCNP	-0.364
MGC39715	0.05675
LQK1	-1.1225
CREB1	1.2336
TMPRSS3	3.03425
C4orf32	1.42825
LAT	-1.21216666666667
KCNA3	0.166
SKIV2L2	-1.01325
ROPN1B	-1.8205
tcag7.23	-0.966
CDT1	-2.129375
ZHX2	0.90675
CD28	-2.15075
ZNF624	0.9625
SEPT2	0.162916666666667
SOHLH2	0.654125
MCOLN3	-0.526375
UNQ1945	0.726
MASP2	-1.3465
ZNRF3	0.5776
GPATCH3	-0.315
AGL	0.12925
QRICH2	-0.4455
PSD4	0.505666666666667
CCNB1IP1	-2.016
ENPP7	-0.06525
OBFC1	0.9555
KCNG3	-2.79525
C14orf79	0.850333333333333
ENPEP	1.93466666666667
SCT	1.0665
SKI	0.884
SEC61G	-1.33325
CAPN11	0.079
ATXN7L3	-0.25725
DBNDD1	0.144
FAIM	0.7395
ANKRD36	-0.6705
GABRP	2.52116666666667
TACSTD2	1.71783333333333
EIF3J	-0.52475
PPP2R2A	0.615
TEKT4	-0.293833333333333
PVALB	-1.91116666666667
F10	-2.5575
FAM134C	0.8372
COMP	4.25375
EFCBP1	-2.5299375
SCLT1	1.394375
TAL1	-1.1937
ACSL1	0.9455
ABCC5	-0.349916666666667
ABL1	-0.487444444444445
RBBP7	-0.101083333333333
PTPRG	-0.685875
NCOR1	0.2944
SPINK4	0.0448333333333333
TXNRD1	-1.0834
TNRC15	0.976875
C9orf138	1.18875
UBE2H	0.643333333333333
BRDT	1.10716666666667
C8orf31	0.33875
CCNE2	-1.01427272727273
SLC6A8	-1.063875
CALCR	-4.75575
PPP1CB	0.800333333333333
ABHD8	0.18775
ARF5	0.2806
SLC24A4	0.7915
CCT3	0.6845
ZNF121	0.372
SLC3A2	-1.4688
OR13A1	0.1695
SLC5A10	0.97875
RAD50	0.36125
IER5	0.675875
MTHFD1L	-2.158125
MBTPS2	0.58
MVK	-0.157875
NCL	-0.2322
PSMD10	-0.1225
MOBP	0.025875
FLJ32894	0.097
HRH1	-0.993
C5orf30	0.54175
NUDT16L1	0.3381
RASGRP3	3.64516666666667
PRKRIP1	-0.4578
CCDC75	-0.1985
LOC253970	0.0565
KIAA1239	1.7175
MED21	-0.487
SYT11	0.568333333333333
NTSR2	0.368
EGFL11	-0.1065
CXorf59	-0.0995
OR2A25	0.51725
SPTBN2	-0.40075
LRMP	-1.17666666666667
RNF111	-0.194
PTH	-0.0115
LOC619208	0.3445
KIAA0895	0.8305
RANBP5	-0.934875
P2RY10	1.6095
NME5	3.76783333333333
DDX21	-1.17775
LRSAM1	0.3955
HDAC11	1.456
VMO1	1.76325
NOLA2	-0.1575
ADAR	2.11375
MTO1	-1.10283333333333
SF4	0.189166666666667
P2RX1	0.088
HBM	0.04625
EN2	0.5465
C14orf172	-0.47
TM9SF2	0.8446
INHBE	-1.62666666666667
TCTE3	0.0791666666666667
TOX2	-3.05925
CTAGE3	0.628875
HBB	3.533
MED15	-0.865833333333333
CASR	-0.177
C6orf66	-0.933833333333333
MTPN	-0.399625
UNC50	-0.05375
C21orf33	0.080625
IRF2	0.973875
PGR	4.535
GPR84	3.453
CROCCL1	-2.36
SRPX	-0.966
BRE	0.222666666666667
FGF10	5.01925
SDC3	1.40266666666667
ZRSR1	0.387833333333333
DKFZP434P211	-0.0895
SOX6	-0.3285
RPUSD2	0.0055
C14orf173	-0.128083333333333
MAPK11	-0.55
TBC1D22A	0.483
FAM123A	-1.4265
COL4A6	0.814333333333333
TOMM70A	-0.015
NAB1	0.069
MGC16385	-0.4545
TSPAN18	-0.1135
MED31	-0.41225
PLG	-0.78825
CAPSL	3.9945
ZNF532	0.289
ASB14	0.13125
CA8	-3.6825
NUDT16P	1.0785
SLFN11	-0.9455
LRRIQ2	0.27775
NOL7	-0.451833333333333
BRMS1L	-0.481125
JARID1A	0.403833333333333
PANK2	-0.84225
ICAM3	-0.1625
MDS1	-0.77
TAF8	-0.78
RNF139	0.79425
ZNF594	-0.0566666666666667
ADAM8	3.289625
SFTPC	0.115125
MAN2B2	0.774
RGS12	0.456625
EIF1AY	-5.09091666666667
LRRIQ1	-2.1895
GPR150	0.794
CCDC21	-1.06933333333333
PRRG3	0.58125
SAA4	-1.66775
RAPGEF5	1.334
ZCCHC2	-0.260333333333333
MGC39372	1.973
PPP4R2	0.571666666666667
CDCA2	-0.5485
OR4D5	0.6735
PTGFRN	2.4382
SIGLEC5	2.2795
C19orf61	-0.507833333333333
NMUR2	0.4795
KIAA1586	-0.390666666666667
DAGLA	-0.100333333333333
CHCHD6	-0.0465
GPR32	0.6805
NEUROD6	0.0732
SLC2A4RG	0.102625
CA5B	-0.37775
FBXL3	1.40925
MPHOSPH9	-1.3905
HMG2L1	-0.03075
HCN4	0.3915
CEACAM19	0.39325
SH2D4B	0.510333333333333
HFE2	-0.856
TGM4	0.102
LYPD2	0.54325
TBC1D15	0.0635
MRPS21	0.8221
NONO	-0.6707
CLEC5A	1.54925
ITCH	-0.2107
MGAT3	-0.706333333333333
MBP	-0.36575
RPP25	-0.59575
SOSTDC1	-0.60025
HRC	-1.925
TRIM48	0.397
TMEM133	-0.25875
ECEL1P2	-1.10725
HOXC11	-1.6955
DOK5	-0.34275
HELZ	0.632166666666667
LOC348180	-0.707
MGC33894	0.2025
ADRB3	0.212
DMD	-0.200666666666667
PTRH2	-0.68325
MPEG1	3.6685
NDUFA12	-0.261666666666667
KRTAP2-4	0.00808333333333333
STAMBPL1	-0.846666666666667
ADCY2	-0.5265
UNQ6125	0.5155
KLHL20	1.00916666666667
SRM	-1.0915
OTC	-0.288
TMIE	1.06683333333333
SNX8	-0.04175
LIPK	1.9265
CHURC1	1.11075
KLC2	0.506833333333333
HDAC1	-0.651833333333333
FAM128A	0.234833333333333
FNDC3B	0.1014
MTCP1	-0.0436666666666667
WFDC10B	-0.1451
PCDHGB3	0.068
ATRNL1	0.3978
CAV2	-0.188625
MED26	-0.0605
DUS1L	0.02975
CHRM3	-2.16675
NEK9	0.515
WARS2	1.41275
TBX22	0.986
TOMM40	-0.92475
RP6-213H19.1	-1.03133333333333
TUBGCP5	-0.20925
IGSF6	5.06575
TPPP	0.723166666666667
UNQ6190	-0.05
GSTM5	-0.0192500000000001
BTD	0.739333333333333
PDCD1LG2	0.956
SNRPB2	-0.660833333333333
ERICH1	-0.124125
APOA4	-1.863
HOXA11	-1.931
NARG1	-0.213875
MKX	-0.803
RAB28	-0.0215
PKP3	1.623
SH3GL2	-1.14825
CTSO	3.9125
RPN2	0.422125
IL28RA	-0.591333333333333
SFMBT1	0.25725
WDR57	-0.088
FER1L3	0.888333333333333
HSF5	0.204666666666667
TTC9B	0.31525
C4BPA	-3.14716666666667
ALB	-4.347
SORBS3	0.863125
UPF2	-0.0735
JPH1	0.2605
AGBL2	-0.58775
DOPEY1	1.396
TERF1	0.0835833333333333
KIF22	-0.537833333333333
NINJ1	1.4345
SEC61A2	-0.458416666666667
HIST1H1D	-0.489
SFXN4	0.055
UCP3	-0.1926
ZNF703	1.117
MYL6B	0.028
TREM1	3.0065
OR52E6	0.2055
CKMT2	2.26325
HLA-C	2.93575
SLC13A3	-2.3025
TIMP4	0.2565
SLIT2	2.06325
RSF1	2.39866666666667
LONRF1	-0.0631428571428571
MON1A	-0.453833333333333
CACNG6	-1.06733333333333
DPPA4	-5.39366666666667
ZSWIM3	-0.3515
ZNF804A	0.8845
CCIN	1.296
SLC25A31	-0.382
KCNMB4	-1.10625
RABL5	0.8725
GALNS	-0.6269
STX6	1.737625
HIST1H1C	-0.594166666666667
CIDEB	0.416625
CASP4	1.10583333333333
PDK3	0.0782
KCNJ11	1.6975
TPR	0.735
ZSCAN20	-0.1965
MTX2	-0.48225
HIST1H2BH	-0.20125
LOC283767	1.212
LYRM7	-1.22311111111111
BRD3	0.172
HIST1H2BO	-0.3895
MAGEB10	-0.707
SLC45A1	2.0755
SERPINA3	3.71645
KIAA0143	0.849
KCNJ16	0.292166666666667
KRT79	0.07725
FABP2	-0.8475
NUT	0.082
ZNF57	-0.228
FBXL4	1.054125
CLEC9A	1.5275
UGT8	-1.4385
BMP2K	-0.1295
MAPK4	-4.13125
SLC25A23	-0.5993
HINT1	0.0125
KRTAP13-1	0.6935
SFXN5	1.1361
CHCHD2	-0.0288333333333333
FAM3D	1.169
NDP	-3.54
RHOBTB1	1.5255
SLC4A4	-1.06575
RPL38	-0.3085
HTF9C	-0.679166666666667
AP2A2	0.594875
ZBTB46	-0.702
MAP7D1	0.3925
AOX1	-0.795
CYR61	0.816166666666667
DTNA	-1.63076923076923
JRKL	0.8635
TMOD3	0.402
EEA1	0.1428
ADCK5	-0.481
IL1R1	1.28683333333333
KLK3	0.483071428571429
HRSP12	0.22525
KTN1	0.5295
LOH11CR2A	1.0013
RELL2	-1.36725
MAB21L1	1.20725
C20orf59	-1.482
PHKB	0.29675
ADAM2	-2.22533333333333
TBC1D8B	1.26983333333333
FAM13A1	-0.56825
LAPTM4B	-0.5315
LCN8	0.4345
TMEM147	0.4495
SYT4	0.137833333333333
XPO7	0.0325
C9orf62	0.593
GPR75	1.0435
TRIM5	0.390375
APOC1	-0.073
RNASE4	1.56233333333333
PARD6B	-2.2345
ARID1A	0.5195
TPD52L3	0.0608
RRAGB	1.34233333333333
RCN2	-0.309
HIST2H2BE	0.59225
STARD7	-0.194
SHMT2	-1.1305
KIAA1751	0.404666666666667
MLYCD	0.674625
LOC162632	-1.0038
UQCRH	-1.091
RP11-217H1.1	0.33325
SDHA	-1.23366666666667
NCLN	-0.3477
ZNF17	0.268
RCBTB2	-1.3405
VEGFB	-0.6351
RP4-747L4.3	2.03975
COLQ	0.0694
MPN2	-0.0826666666666667
DRG2	-0.6885
KLRB1	5.92825
ALPK2	-2.85075
DNASE2B	1.0735
FLJ23834	0.244666666666667
AXUD1	0.563
SAFB	-0.064
NSUN4	-0.3105
RFX2	0.0101666666666667
MAPK8IP1	0.334166666666667
FANCD2	-0.535
ANKZF1	-1.7135
C19orf50	-0.39875
DUSP8	1.840625
SENP5	-0.6095
NFKBIL2	-0.28525
LBR	-1.240125
IGFL1	-0.123
LZTS2	0.71925
IL2RG	-0.298625
CCDC51	0.0505
KLF3	0.638
ANKRD37	-2.44425
KCTD14	1.78516666666667
FZR1	0.596333333333333
SLC44A4	3.2081
ESPL1	-0.811125
GMPR2	-0.2069
TBC1D19	0.117666666666667
ERGIC1	0.0940740740740741
ERBB4	2.365
TSPAN32	0.43
MAP4	0.25125
GPHN	-0.2175
SLC6A2	-0.1505
HIVEP1	0.4185
DFFB	-0.0483
EIF4EBP2	0.688
DMRT1	-0.62575
HSPB6	0.257
IER2	-0.5025
AIFM1	-0.2015
WWC2	-0.449416666666667
MRPL4	-0.29125
FLJ21062	0.2025
EPB41L4A	0.0104166666666667
SH2D6	0.16275
TAF4B	-1.72875
GAL3ST3	0.5685
MALT1	-1.31983333333333
RTDR1	0.734
ARVCF	-0.08325
MEX3B	-1.6765
FBXO16	0.57625
KIF7	-0.32075
C1QC	3.959
ZNF783	-0.4305
ZNF85	-0.41475
MMP13	3.6705
KIAA0329	0.321875
RTP3	-1.097
ZBED3	-0.1765
CLGN	-2.0065
SLC25A37	-1.36016666666667
hCG_18290	-0.228
OR5AS1	0.21
SMARCC2	0.463916666666667
FAM109A	-0.104666666666667
CCDC12	-0.3095
USF2	0.8005
DEPDC7	-2.05825
C20orf24	-0.512333333333333
JMJD3	0.431
DSP	1.17992857142857
SLIC1	0.746375
FAM20A	1.697375
IRF2BP2	2.05525
ZNF230	0.108
MSN	0.0494285714285714
SLC9A5	-1.106
EPDR1	-0.0661
MUSK	0.0141666666666667
ZNF434	0.202166666666667
SMARCD1	-0.391833333333333
ZFP106	-0.34825
ZNF347	-0.2452
GTF2E1	-0.17975
RY1	-0.410333333333333
ATAD2B	0.1705
ARHGAP17	-0.1624
