Hybridization REF	TCGA-AO-A03N-01B-11R-A10J-07
ACOT2	0.149333333333333
HIST1H4I	0.17
PPARGC1A	-0.5046
ETFA	-1.9088
POLRMT	-0.067
ZNF146	-0.04225
MIA2	0.0915
KLHL6	-1.60433333333333
HOXB5	1.369125
NENF	0.7205
CUGBP1	1.31525
PRSS22	2.62133333333333
CASC4	1.6455
CUL4B	-0.1592
CENPJ	-0.6701
PITX1	1.02916666666667
FLJ31033	0.501333333333333
CELSR3	-2.34
ZNF568	1.1875
ITSN1	0.0803333333333333
EHBP1L1	-1.80166666666667
C19orf2	-0.6395
DCTN1	-0.67325
LIN28B	-2.006
TNKS2	-1.89425
C1QBP	-0.3835
CADPS2	2.896
SRMS	0.08975
GJA9	-0.0525
MGC24975	0.1395
TRIM45	0.397166666666667
TSP50	0.00974999999999998
TCP1	-1.54825
TMED7	0.1598
CMA1	0.017
CENPL	-0.7035
PTCRA	0.516
FST	-3.195
VWCE	-4.1925
PAWR	1.4765
ABCC12	3.72783333333333
LDLR	-2.8061
ASTN2	0.9442
LOC441212	-0.818375
GPATCH8	-0.27875
TANC2	-0.0168333333333333
KIF4A	-1.23875
C18orf18	-1.7495
PGM1	-2.7785
KIAA0258	0.952
CPD	0.08025
SNCAIP	-0.61975
DCT	-4.47666666666667
HLA-DOA	0.873954545454545
OR11L1	0.9915
UPK1B	-0.261666666666667
DNAJB4	-1.590625
UGT1A8	0.2185
HIST1H4L	1.5145
PECR	-0.706333333333333
HSPA2	3.381
WFIKKN1	0.433
SERP1	0.1845
SYDE2	0.40725
TACR2	0.609
NUP85	-1.60725
CD177	0.23
LGR5	-0.8848
PIGG	-1.08983333333333
PTHR1	-0.647166666666667
RAB5A	0.3742
FLJ13224	0.00800000000000001
USP9Y	-0.426666666666667
C7orf53	-0.6835
LRP1B	2.612
XAF1	2.1201
ABCG8	0.432
ANKDD1A	-0.0583333333333333
DAND5	-1.069
SPAG6	0.240333333333333
LINCR	3.6455
ZDHHC22	-0.855125
CCDC60	-0.0675
THOC7	-1.2215
TCTA	0.6824
OR8K3	0.49175
NY-REN-7	0.11275
B2M	1.13783333333333
C6orf141	-0.2535
LPPR4	2.01725
SQLE	-1.295125
SEPHS1	-0.48675
BTBD14B	1.137
PLRG1	-0.458
SPG7	-1.2864375
ZNF614	0.1755
PARD6G	2.0585
INPP5B	-0.9888
GRPEL2	0.07825
PPID	-1.0723
TRIM56	-0.151
UBE2J1	-0.54025
IL20RA	1.95375
LOC387856	0.076
C1orf107	-0.196666666666667
UTS2R	2.74175
C19orf22	0.61375
SAFB2	0.861
KIAA0652	-1.220625
KLRG1	-0.761666666666667
MS4A8B	3.66533333333333
FRAG1	0.261
KIAA1546	0.05475
E2F4	-1.1963
CLEC4M	0.0788333333333333
BTBD14A	-0.203
KIAA0999	0.7659
GYPA	-2.01283333333333
TAC1	0.0402
TRAIP	-1.06016666666667
KIAA0232	0.4118
ERCC8	-0.949
GPX4	-0.160875
KIAA0368	-0.208875
GPR157	-0.931833333333333
CTAGE4	0.054
C9orf30	-1.46166666666667
OR52A1	0.562
HSP90B3P	-0.826
ALG9	-0.5202
BTBD10	0.0755
SDK2	-0.0345
BAIAP3	2.0455
RABGGTB	-1.695875
ANKRD40	-0.813
KRT74	-0.068
CALCOCO2	-0.210785714285714
SNCA	-4.2215
TMSL8	-3.366625
C2orf53	0.6285
ESRRB	-0.025
ARHGAP26	-0.9375
TDRD9	-2.173
HRAS	-0.155166666666667
KLRC4	-2.2245
JAGN1	0.1495
BSDC1	1.2785
RNF43	-0.0514
NDUFAF1	0.76325
PHF12	0.31025
OR1L3	0.19225
FOLR2	0.577333333333333
LYZL6	0.492166666666667
tcag7.1260	-2.43
WSB1	-1.215
PROS1	-0.8703
OSTN	0.5515
PSMB8	0.5355
SOCS4	-0.370375
DDIT4L	1.847
MAS1	-0.013
MGC34796	0.7605
CSHL1	0.368666666666667
TBCCD1	0.0185
ZBTB7C	0.446
AP2S1	-0.756
P15RS	-1.2542
VAT1	-1.0953
SHANK3	1.453
TUFM	-0.031
THEG	0.2655
KRT34	-0.7415
SGSM3	-0.00787499999999999
TOMM22	-0.982375
SOCS3	1.33133333333333
CPO	-0.001
POP4	-0.146
BHLHB3	2.237
MALL	1.823
OR1B1	0.091
PARK2	-0.194333333333333
GPR124	1.451125
LCE1E	0.049
RUVBL2	-1.08725
CGRRF1	-0.1745
ACPL2	1.16375
WNT10B	-1.901875
BAIAP2L2	-2.122125
ISCA1	-0.207
C1orf125	0.458
RPAP1	0.095
RAI16	0.316666666666667
RPL27	-0.973375
NLRP9	-0.1055
EPN1	0.0505
LOC388610	-0.77675
SLC35A1	0.52
GAL	-4.13875
SLC14A2	0.41425
RDH11	-0.545333333333333
FAM138F	-0.1715
AUH	-1.01525
FLJ40243	0.14775
C14orf129	-0.313833333333333
MBD2	-0.183833333333333
ABHD14B	-0.241875
PIGT	0.279375
ALS2CR4	-0.3065
ALAS1	-0.8671
FOXO1	0.471666666666667
CRLF3	-0.854625
C20orf107	0.248
FARS2	-0.083
CCDC28A	0.63925
NPHP3	-1.04825
OR13F1	0.149
TSEN54	-0.85
DEFB106B	0.0079
OR8B4	0.594
STH	0.13625
ZC3H14	-0.410875
CBX2	-0.4655
TMEM49	-1.8045
C6orf21	0.2645
FLJ20920	-0.471625
CRTAP	-0.583142857142857
DDX50	0.5555
STYXL1	-0.24525
BLVRB	-0.407166666666667
LOC147650	-0.421
MMP24	0.723
GRID1	1.84833333333333
BANF1	-0.133166666666667
CTAGEP	0.63525
HMBS	-1.76925
SLC25A24	-1.02583333333333
C14orf50	1.45675
MRO	0.194666666666667
SLC25A15	-0.955
FAM84B	0.2798
TDP1	-0.2935
C16orf78	-0.102666666666667
C11orf57	1.518625
RFK	-0.3545
ZFYVE9	-1.09875
STCH	-1.6172
WIBG	1.4615
LOC283871	-0.0503333333333334
GBA2	-1.2322
NDUFB3	0.4275
HSD17B13	-0.01275
GRIN3A	0.0808333333333333
FMNL1	-1.66983333333333
SEPT7	-0.052
GNLY	1.071
GRAMD1C	0.559833333333333
ZNF165	0.82025
USP38	0.6615
FAM83A	-1.9445
C14orf24	0.776416666666667
ARMCX3	0.323125
ARHGDIB	0.197833333333333
AK1	0.870375
KIAA1045	0.51175
DNAJB13	-0.148833333333333
NEU2	-0.483
HIST1H4B	1.07866666666667
FAM20B	-0.3861
HES2	0.960571428571429
FAM73B	-0.1873
LOC388381	-0.171
INTS7	-0.284272727272727
AMPH	0.65875
ZNF775	0.68825
UCKL1	-1.53833333333333
C10orf97	-0.666
C1orf161	0.4515
ALDH1L1	-1.16425
FLJ39378	-0.13525
SLC23A1	0.4055
RBM4B	-0.01575
THAP4	0.331166666666667
OGFRL1	1.03975
KIAA0831	0.831125
PPP1R15A	0.121333333333333
C1orf96	0.6705
C12orf11	-1.19525
BMF	1.304
MAN1A1	-1.0385
KIAA1600	0.312
NLGN4X	-0.47
ALOX12	-0.174
RB1CC1	-0.0649
NEIL2	-0.4825
EIF4E	-0.206681818181818
ABHD5	-0.0365
EXOC4	-0.978166666666667
CIP29	-0.1885
BATF2	0.687
SLC29A4	-0.492375
HTR4	0.282
EMB	-2.0685
TRAF6	0.5105
LMNB1	0.138
FAM19A5	0.56325
SHE	0.65425
PIK3C2B	2.12475
C15orf15	-0.6028
USP15	0.2866
TCEAL2	0.86025
C5orf39	-0.502166666666667
PTGER2	-1.3645
SLC31A1	-1.19825
IFT172	1.68125
ADAM29	0.574
GFOD1	1.2695
ST7L	0.403666666666667
C15orf26	-1.63575
PKN3	-1.44125
CNTD1	2.07716666666667
COMMD1	0.298
NTRK2	1.03225
FOXN3	-0.035375
MFGE8	-1.5331
PFKFB2	1.92933333333333
TAS2R4	-0.0236666666666667
ENTHD1	0.462166666666667
PRMT5	-2.314375
MGC16384	-1.12075
LOC442229	-1.03125
TSKU	1.21425
KRTCAP3	3.064125
PDLIM1	-0.2038
KCNS2	0.198333333333333
RNF126	-0.1445
CEP63	0.2995
CLIC4	-0.220875
hCG_1990170	-0.29875
ACR	1.163
KLK7	0.48875
ALOX5AP	0.734125
RIPK3	2.661
TAS2R9	0.4705
C19orf18	1.7015
BIRC6	-0.124428571428571
ZNF16	0.2465
RFT1	-0.604
SLC8A2	-0.1195
TACC1	0.914375
ITGAD	0.54
SAMHD1	0.47925
SH3PXD2B	1.258
EPC2	0.60425
C20orf85	6.64275
ATP13A2	-0.879666666666667
KRT4	1.536125
CAPNS1	-0.96975
MDM2	0.270416666666667
PCDH20	0.50475
KCNK9	0.183
OR2C1	-0.2375
KLHDC3	-1.46966666666667
IPPK	-0.701
EFHD2	0.28975
GALR3	2.51725
NBEA	1.05733333333333
ABCA6	0.7942
CLDN3	2.82433333333333
AKT2	-0.922285714285714
EGFR	-1.2847
RBM16	1.215375
ZDHHC3	1.0827
SLC25A4	-1.131
CYB5B	-2.41366666666667
CPXM1	0.596
NDRG1	-1.89223076923077
FLJ43826	0.344
OR5L2	0.525
FARP2	0.3014
MRPL46	-1.40866666666667
LDHAL6B	0.295166666666667
MAPKAPK3	-0.6895
NCAM2	-0.233
PRKD2	-0.6805
ZFP36L1	1.7524
CYSLTR1	0.51925
OR4C3	0.03175
HIST1H2AJ	1.336
CCNB2	-1.80588888888889
ZNF10	0.300375
TMEM175	1.09
FAM134A	0.144166666666667
TIGD4	-0.1755
PCNP	-1.1465
MGC39715	0.14925
LQK1	-1.328
CREB1	0.1998
TMPRSS3	-0.3565
C4orf32	1.412625
LAT	-2.14475
KCNA3	0.3945
SKIV2L2	-0.9435
ROPN1B	-1.35875
tcag7.23	-1.0015
CDT1	-2.766
ZHX2	0.68375
CD28	-3.5845
ZNF624	1.3955
SEPT2	0.295333333333333
SOHLH2	-1.08875
MCOLN3	-0.596
UNQ1945	0.951
MASP2	-0.464
ZNRF3	-0.502
GPATCH3	-1.2835
AGL	2.3135
QRICH2	-0.58
PSD4	0.9025
CCNB1IP1	-2.12925
ENPP7	0.14975
OBFC1	-1.86825
KCNG3	-0.293333333333333
C14orf79	0.472
ENPEP	1.73466666666667
SCT	2.5045
SKI	1.582875
SEC61G	-1.00675
CAPN11	-0.13725
ATXN7L3	-0.082
DBNDD1	0.297
FAIM	-0.45575
ANKRD36	0.0635
GABRP	0.1825
TACSTD2	2.6115
EIF3J	-0.6045
PPP2R2A	-2.30525
TEKT4	-0.041
PVALB	-2.39366666666667
F10	-2.5325
FAM134C	0.2223
COMP	5.332
EFCBP1	-1.8725
SCLT1	1.121125
TAL1	-0.503
ACSL1	0.55625
ABCC5	0.453916666666667
ABL1	-0.00566666666666668
RBBP7	1.08575
PTPRG	-0.274
NCOR1	-0.212
SPINK4	0.603
TXNRD1	-1.6341
TNRC15	1.80325
C9orf138	1.187125
UBE2H	2.0515
BRDT	0.236333333333333
C8orf31	0.294
CCNE2	-0.604545454545454
SLC6A8	-1.66225
CALCR	-3.29175
PPP1CB	0.828333333333333
ABHD8	-0.03725
ARF5	0.8293
SLC24A4	0.57
CCT3	0.4885
ZNF121	-0.069625
SLC3A2	-2.1947
OR13A1	0.7615
SLC5A10	0.1685
RAD50	-0.874875
IER5	1.52875
MTHFD1L	-2.7575
MBTPS2	-0.4255
MVK	-0.583625
NCL	0.392
PSMD10	-1.59675
MOBP	0.47975
FLJ32894	-0.1515
HRH1	0.706333333333333
C5orf30	1.1415
NUDT16L1	0.7155
RASGRP3	2.63366666666667
PRKRIP1	0.3129
CCDC75	1.5665
LOC253970	-0.148
KIAA1239	-0.21025
MED21	0.1575
SYT11	0.2615
NTSR2	0.1325
EGFL11	0.0695
CXorf59	0.856
OR2A25	0.182
SPTBN2	0.55525
LRMP	-1.81116666666667
RNF111	-1.01
PTH	-0.2165
LOC619208	0.759833333333333
KIAA0895	0.131
RANBP5	-2.050375
P2RY10	1.40016666666667
NME5	3.94533333333333
DDX21	-0.29675
LRSAM1	-0.7165
HDAC11	0.418833333333333
VMO1	3.52625
NOLA2	-1.4885
ADAR	0.149916666666667
MTO1	-1.213
SF4	0.2635
P2RX1	-0.0543333333333333
HBM	0.4265
EN2	2.654
C14orf172	0.74175
TM9SF2	-1.4534
INHBE	-0.725333333333333
TCTE3	0.292833333333333
TOX2	-2.94375
CTAGE3	1.09275
HBB	2.1439
MED15	-1.02283333333333
CASR	-0.14275
C6orf66	-1.31966666666667
MTPN	0.024125
UNC50	-1.71675
C21orf33	0.112375
IRF2	1.443125
PGR	-1.1334
GPR84	0.67175
CROCCL1	-2.725
SRPX	-1.42625
BRE	-0.657166666666667
FGF10	0.51125
SDC3	-0.4115
ZRSR1	0.638833333333333
DKFZP434P211	-0.474125
SOX6	-0.0795
RPUSD2	0.85275
C14orf173	0.1925
MAPK11	-0.0146666666666666
TBC1D22A	-0.3355
FAM123A	-0.344
COL4A6	-0.4735
TOMM70A	-0.79675
NAB1	-1.107875
MGC16385	-0.415875
TSPAN18	0.863
MED31	-0.40725
PLG	0.06125
CAPSL	4.931
ZNF532	1.4746
ASB14	-0.02925
CA8	-0.7865
NUDT16P	0.297833333333333
SLFN11	-0.972
LRRIQ2	0.58925
NOL7	0.1705
BRMS1L	-1.214125
JARID1A	1.13866666666667
PANK2	-0.14025
ICAM3	-0.96275
MDS1	0.13125
TAF8	0.145
RNF139	0.283
ZNF594	0.653833333333333
ADAM8	1.828
SFTPC	0.290375
MAN2B2	0.67525
RGS12	0.101125
EIF1AY	-3.73233333333333
LRRIQ1	1.69683333333333
GPR150	3.10325
CCDC21	-2.14783333333333
PRRG3	0.423
SAA4	-2.7115
RAPGEF5	1.794125
ZCCHC2	0.277833333333333
MGC39372	0.2275
PPP4R2	0.494333333333333
CDCA2	-1.35233333333333
OR4D5	0.0965
PTGFRN	1.7978
SIGLEC5	0.398333333333333
C19orf61	-1.15166666666667
NMUR2	-0.091
KIAA1586	-1.49983333333333
DAGLA	-0.0111666666666667
CHCHD6	-0.98775
GPR32	0.5885
NEUROD6	-0.187833333333333
SLC2A4RG	1.2769375
CA5B	1.1025
FBXL3	-0.68075
MPHOSPH9	-0.99925
HMG2L1	0.7645
HCN4	2.15616666666667
CEACAM19	0.566
SH2D4B	0.4448
HFE2	-0.545
TGM4	1.77516666666667
LYPD2	-0.03525
TBC1D15	-0.266
MRPS21	1.0949
NONO	-0.5336
CLEC5A	1.49171428571429
ITCH	0.7629
MGAT3	-0.662833333333333
MBP	-0.930875
RPP25	-0.6105
SOSTDC1	-1.68575
HRC	-0.98525
TRIM48	-0.1035
TMEM133	-0.00025
ECEL1P2	-0.6605
HOXC11	0.6355
DOK5	-0.54175
HELZ	0.670166666666667
LOC348180	-1.2025
MGC33894	0.1
ADRB3	0.0495
DMD	0.126583333333333
PTRH2	-0.0295
MPEG1	1.0495
NDUFA12	0.416
KRTAP2-4	0.307166666666667
STAMBPL1	-1.96933333333333
ADCY2	1.51483333333333
UNQ6125	0.225
KLHL20	0.952833333333333
SRM	-2.11075
OTC	-0.26125
TMIE	0.224833333333333
SNX8	0.255
LIPK	-0.4625
CHURC1	1.62166666666667
KLC2	0.525
HDAC1	-1.12983333333333
FAM128A	1.11066666666667
FNDC3B	-0.2346
MTCP1	-0.253
WFDC10B	0.2281
PCDHGB3	0.4285
ATRNL1	-0.9903
CAV2	-1.02475
MED26	0.207666666666667
DUS1L	0.977
CHRM3	-1.0565
NEK9	-0.403
WARS2	1.21075
TBX22	-0.194
TOMM40	-0.8895
RP6-213H19.1	-1.51533333333333
TUBGCP5	-1.379
IGSF6	2.4605
TPPP	0.300833333333333
UNQ6190	0.2405
GSTM5	0.03325
BTD	-1.29083333333333
PDCD1LG2	0.1356
SNRPB2	0.481333333333333
ERICH1	0.021375
APOA4	-0.837
HOXA11	-0.58025
NARG1	-0.626875
MKX	-0.256
RAB28	-1.02185714285714
PKP3	1.43725
SH3GL2	-1.3845
CTSO	0.826
RPN2	0.2361875
IL28RA	0.248833333333333
SFMBT1	1.853
WDR57	-1.327
FER1L3	0.1575
HSF5	0.003
TTC9B	0.5995
C4BPA	-2.55166666666667
ALB	-2.38785714285714
SORBS3	0.745375
UPF2	-0.646
JPH1	0.239
AGBL2	1.051
DOPEY1	1.9075
TERF1	-0.195416666666667
KIF22	0.674333333333333
NINJ1	1.5805
SEC61A2	-0.8145
HIST1H1D	1.753
SFXN4	-0.719625
UCP3	1.073
ZNF703	1.54133333333333
MYL6B	-0.0785
TREM1	1.3555
OR52E6	0.6105
CKMT2	0.00924999999999999
HLA-C	1.996
SLC13A3	0.454
TIMP4	-0.42525
SLIT2	3.45025
RSF1	0.599222222222222
LONRF1	-1.23707142857143
MON1A	-0.105
CACNG6	-0.455666666666667
DPPA4	-4.89866666666667
ZSWIM3	1.11325
ZNF804A	-0.2085
CCIN	0.878
SLC25A31	0.197
KCNMB4	0.60375
RABL5	1.099375
GALNS	-0.2771
STX6	2.025875
HIST1H1C	1.492
CIDEB	0.459
CASP4	0.207833333333333
PDK3	-0.1702
KCNJ11	-0.067
TPR	0.445625
ZSCAN20	-0.75
MTX2	0.40625
HIST1H2BH	0.702
LOC283767	1.5355
LYRM7	-0.964
BRD3	1.27933333333333
HIST1H2BO	0.0655
MAGEB10	0.2775
SLC45A1	0.07425
SERPINA3	1.4321
KIAA0143	0.33125
KCNJ16	0.243333333333333
KRT79	-0.4735
FABP2	-0.37275
NUT	-0.502
ZNF57	-0.7795
FBXL4	-1.013
CLEC9A	-0.0195
UGT8	-1.06783333333333
BMP2K	-0.196
MAPK4	-3.1925
SLC25A23	0.1562
HINT1	-0.7929
KRTAP13-1	0.131
SFXN5	-0.3481
CHCHD2	0.600416666666667
FAM3D	3.708
NDP	-2.2475
RHOBTB1	0.104333333333333
SLC4A4	2.82375
RPL38	0.4705
HTF9C	-0.337833333333333
AP2A2	-0.319875
ZBTB46	0.737
MAP7D1	-0.234375
AOX1	0.6695
CYR61	1.01291666666667
DTNA	-0.464538461538462
JRKL	0.68325
TMOD3	-0.0745
EEA1	0.1648
ADCK5	0.57825
IL1R1	3.27883333333333
KLK3	2.87985714285714
HRSP12	-0.63125
KTN1	1.3325
LOH11CR2A	1.0498
RELL2	-2.02575
MAB21L1	0.0465
C20orf59	-1.01883333333333
PHKB	1.03025
ADAM2	3.10516666666667
TBC1D8B	0.926666666666667
FAM13A1	-0.211625
LAPTM4B	-2.71191666666667
LCN8	-0.1365
TMEM147	-0.6225
SYT4	0.341333333333333
XPO7	-1.2195
C9orf62	3.4025
GPR75	0.7315
TRIM5	0.33225
APOC1	-1.03216666666667
RNASE4	-1.01216666666667
PARD6B	-1.7495
ARID1A	0.1935
TPD52L3	0.0841
RRAGB	-0.0555
RCN2	-1.25616666666667
HIST2H2BE	-0.0110625
STARD7	-0.538
SHMT2	-1.1125
KIAA1751	0.011
MLYCD	-0.936375
LOC162632	-0.7413
UQCRH	-1.90275
RP11-217H1.1	0.1163125
SDHA	-2.73383333333333
NCLN	-0.442
ZNF17	0.245666666666667
RCBTB2	-1.602
VEGFB	-0.143
RP4-747L4.3	-1.397
COLQ	0.231
MPN2	-0.0365
DRG2	-0.7185
KLRB1	1.969
ALPK2	-2.23
DNASE2B	3.22225
FLJ23834	1.48333333333333
AXUD1	0.557333333333333
SAFB	0.7839
NSUN4	-0.6285
RFX2	0.893333333333333
MAPK8IP1	-0.368
FANCD2	-0.812071428571429
ANKZF1	-1.47283333333333
C19orf50	-0.986625
DUSP8	1.168125
SENP5	0.6905
NFKBIL2	-0.70725
LBR	-0.59725
IGFL1	0.0305
LZTS2	0.744625
IL2RG	-1.247375
CCDC51	-0.281
KLF3	0.17275
ANKRD37	0.389
KCTD14	-1.02083333333333
FZR1	0.149916666666667
SLC44A4	3.964
ESPL1	-0.912
GMPR2	-0.8306
TBC1D19	-1.20016666666667
ERGIC1	0.713111111111111
ERBB4	2.6845
TSPAN32	-0.048
MAP4	-0.033125
GPHN	-1.5315
SLC6A2	-0.198
HIVEP1	1.11675
DFFB	-0.7215
EIF4EBP2	1.157375
DMRT1	-0.01625
HSPB6	0.35425
IER2	0.7695
AIFM1	0.457
WWC2	1.27558333333333
MRPL4	-1.30075
FLJ21062	1.547
EPB41L4A	0.798166666666667
SH2D6	0.27125
TAF4B	-1.1845
GAL3ST3	-0.0035
MALT1	-1.28533333333333
RTDR1	1.51475
ARVCF	0.229
MEX3B	0.0536666666666667
FBXO16	1.9175
KIF7	-1.07475
C1QC	2.98283333333333
ZNF783	-0.518166666666667
ZNF85	-0.2345
MMP13	4.4385
KIAA0329	1.31025
RTP3	0.014
ZBED3	1.19425
CLGN	1.9655
SLC25A37	-0.715583333333333
hCG_18290	0.2755
OR5AS1	0.101
SMARCC2	1.60525
FAM109A	0.222833333333333
CCDC12	0.666
USF2	0.1873
DEPDC7	-1.4735
C20orf24	-1.47466666666667
JMJD3	0.9535
DSP	1.84264285714286
SLIC1	0.122714285714286
FAM20A	0.360625
IRF2BP2	1.24725
ZNF230	-0.1245
MSN	-0.183142857142857
SLC9A5	-1.1605
EPDR1	-2.1516
MUSK	0.0823333333333333
ZNF434	1.10516666666667
SMARCD1	0.283833333333333
