Hybridization REF	TCGA-A8-A08F-01A-11R-A00Z-07
KRT15	-2.36025
C10orf99	0.326
SCN11A	0.43175
GFI1	-1.897
RDHE2	4.33116666666667
FHL1	-2.022
OSGEP	-0.0526666666666667
GATA1	-3.42966666666667
SMC6	-0.91625
TTTY14	-1.28675
LPIN3	0.1505
RPL4	-1.0261
RBPMS	0.1672
PRPF3	0.482333333333333
EMR1	-1.212
SPATA19	0.27825
XCR1	0.168
IRX3	0.3155
RBM6	-0.08625
KLF4	-1.2578
UNC5CL	-1.03225
SEBOX	-0.092
BTK	0.42575
KRCC1	-0.5325
C6orf27	0.2895
SYTL5	-1.155
PRND	1.34825
LOC653319	-0.5585
PIGL	-0.95925
HUS1	-0.437666666666667
SFRS6	-0.830166666666667
C17orf77	0.4955
UIMC1	-0.411166666666667
FXYD2	-1.61111111111111
LOC283152	1.86875
ZNF667	-0.73575
ZCCHC12	-1.182
TFEC	3.906
ATP7B	-1.1245
POLD2	-0.664166666666667
RG9MTD1	0.12225
ACOT2	-0.0888333333333334
HIST1H4I	0.18925
PPARGC1A	-3.1329
ETFA	-1.52
POLRMT	-0.38725
ZNF146	-0.537875
MIA2	-1.755
KLHL6	-0.0976666666666667
HOXB5	-0.959
NENF	1.092
CUGBP1	-0.3105
PRSS22	0.484333333333333
CASC4	1.3156
CUL4B	0.1123
CENPJ	-0.4516
PITX1	-1.77133333333333
FLJ31033	0.472666666666667
CELSR3	0.125166666666667
ZNF568	0.602
ITSN1	-0.3105
EHBP1L1	-0.816
C19orf2	-0.324
DCTN1	0.81675
LIN28B	-2.4095
TNKS2	-0.441
C1QBP	-0.442625
CADPS2	-0.53075
SRMS	0.3205
GJA9	0.0271666666666667
MGC24975	-0.900166666666667
TRIM45	-1.024
TSP50	0.507
TCP1	-1.77775
TMED7	0.1201
CMA1	0.394
CENPL	-0.292
PTCRA	-0.462
FST	-4.41175
VWCE	-3.7335
PAWR	-0.14275
ABCC12	0.102333333333333
LDLR	0.8639
ASTN2	0.1315
LOC441212	-1.242375
GPATCH8	0.20425
TANC2	0.33775
KIF4A	-0.7665
C18orf18	-1.13675
PGM1	-1.0615
KIAA0258	0.322
CPD	-1.057875
SNCAIP	-1.71375
DCT	-3.98566666666667
HLA-DOA	3.15954545454545
OR11L1	0.416
UPK1B	-0.254333333333333
DNAJB4	-0.528125
UGT1A8	-0.800333333333333
HIST1H4L	1.3755
PECR	-0.572833333333333
HSPA2	2.739
WFIKKN1	-1.928
SERP1	1.625125
SYDE2	-0.222
TACR2	0.2235
NUP85	0.58275
CD177	-1.25383333333333
LGR5	-1.562
PIGG	-0.533666666666667
PTHR1	-1.50983333333333
RAB5A	0.136
FLJ13224	-0.2675
USP9Y	-1.596
C7orf53	-1.8815
LRP1B	-1.33025
XAF1	3.1066
ABCG8	-0.0865
ANKDD1A	0.0728333333333333
DAND5	-2.303
SPAG6	0.321666666666667
LINCR	1.11525
ZDHHC22	-1.423
CCDC60	0.278
THOC7	-0.804833333333333
TCTA	1.6862
OR8K3	-0.0575
NY-REN-7	-0.88175
B2M	1.79633333333333
C6orf141	-2.553875
LPPR4	1.606
SQLE	1.33225
SEPHS1	-0.15925
BTBD14B	0.388357142857143
PLRG1	-0.47325
SPG7	-0.626375
ZNF614	-0.7885
PARD6G	0.533666666666667
INPP5B	-0.7642
GRPEL2	0.0485
PPID	-0.8249
TRIM56	-0.8575
UBE2J1	-0.7065
IL20RA	5.087
LOC387856	0.23825
C1orf107	0.973416666666667
UTS2R	0.61
C19orf22	-0.45275
SAFB2	0.3675
KIAA0652	0.533875
KLRG1	-0.544666666666667
MS4A8B	0.968333333333333
FRAG1	-0.44
KIAA1546	0.1895
E2F4	-0.5749
CLEC4M	0.043
BTBD14A	-1.516
KIAA0999	-0.1487
GYPA	-3.34816666666667
TAC1	-0.7664
TRAIP	0.027
KIAA0232	0.4815
ERCC8	0.737625
GPX4	0.296125
KIAA0368	-0.5245
GPR157	0.189166666666667
CTAGE4	0.7695
C9orf30	-1.348
OR52A1	-0.0015
HSP90B3P	-0.329
ALG9	-0.4119
BTBD10	0.496
SDK2	-0.284
BAIAP3	-0.83425
RABGGTB	-0.619875
ANKRD40	0.842666666666667
KRT74	0.4315
CALCOCO2	1.11564285714286
SNCA	-2.996
TMSL8	-1.04075
C2orf53	0.4945
ESRRB	-0.28175
ARHGAP26	-1.372375
TDRD9	-2.772
HRAS	-0.703333333333333
KLRC4	-1.796
JAGN1	-0.213
BSDC1	0.24225
RNF43	1.2791
NDUFAF1	0.56575
PHF12	0.53025
OR1L3	-0.21925
FOLR2	1.02941666666667
LYZL6	0.1125
tcag7.1260	-0.45
WSB1	-1.54833333333333
PROS1	-1.519
OSTN	0.228
PSMB8	0.99725
SOCS4	-0.023375
DDIT4L	2.231
MAS1	0.273
MGC34796	0.4905
CSHL1	0.0996666666666667
TBCCD1	0.147333333333333
ZBTB7C	0.316
AP2S1	-0.522625
P15RS	0.3128
VAT1	-0.4874
SHANK3	0.458333333333333
TUFM	0.146666666666667
THEG	0.56075
KRT34	-2.171
SGSM3	0.036375
TOMM22	0.245
SOCS3	0.749166666666667
CPO	0.895
POP4	0.619
BHLHB3	1.09225
MALL	0.49075
OR1B1	0.4735
PARK2	0.367333333333333
GPR124	0.37875
LCE1E	0.4325
RUVBL2	-0.1205
CGRRF1	0.6031
ACPL2	0.59075
WNT10B	-1.917125
BAIAP2L2	-2.10475
ISCA1	-0.0435
C1orf125	-0.13325
RPAP1	-0.279
RAI16	-0.854833333333333
RPL27	-0.836
NLRP9	0.2755
EPN1	0.387
LOC388610	-1.45575
SLC35A1	0.7571
GAL	-3.9475
SLC14A2	0.28675
RDH11	-0.311166666666667
FAM138F	-0.6985
AUH	-0.62275
FLJ40243	0.23025
C14orf129	0.180833333333333
MBD2	-1.04166666666667
ABHD14B	0.1655
PIGT	0.752875
ALS2CR4	-0.021125
ALAS1	0.6018
FOXO1	0.631
CRLF3	-1.3315
C20orf107	0.51
FARS2	1.11525
CCDC28A	0.536
NPHP3	-0.69825
OR13F1	0.4335
TSEN54	0.9105
DEFB106B	0.1184
OR8B4	0.7335
STH	1.31375
ZC3H14	-0.823875
CBX2	-0.9765
TMEM49	-0.847
C6orf21	0.765
FLJ20920	-0.015625
CRTAP	0.470714285714286
DDX50	-0.43925
STYXL1	0.735
BLVRB	-0.669666666666667
LOC147650	-0.397666666666667
MMP24	-0.051
GRID1	0.890166666666667
BANF1	0.238
CTAGEP	0.54375
HMBS	-1.9995
SLC25A24	-0.235166666666667
C14orf50	0.83275
MRO	1.60933333333333
SLC25A15	-0.9825
FAM84B	2.2406
TDP1	-1.0705
C16orf78	0.160666666666667
C11orf57	-0.00737499999999999
RFK	-0.93025
ZFYVE9	-0.18975
STCH	-0.6838
WIBG	-0.0615
LOC283871	-0.32
GBA2	-0.4188
NDUFB3	0.521
HSD17B13	-0.79925
GRIN3A	2.23683333333333
FMNL1	0.133666666666667
SEPT7	-0.756
GNLY	4.1435
GRAMD1C	-0.271
ZNF165	0.4965
USP38	0.5075
FAM83A	-0.785
C14orf24	0.712666666666667
ARMCX3	1.29775
ARHGDIB	0.129333333333333
AK1	-0.21525
KIAA1045	-0.215
DNAJB13	-0.300833333333333
NEU2	-0.4335
HIST1H4B	0.237333333333333
FAM20B	0.2066
HES2	-0.637214285714286
FAM73B	-0.9341
LOC388381	-0.4955
INTS7	0.019
AMPH	1.225
ZNF775	0.294125
UCKL1	0.0165
C10orf97	-0.49825
C1orf161	-0.06925
ALDH1L1	-2.33425
FLJ39378	0.129125
SLC23A1	-0.8415
RBM4B	0.18025
THAP4	0.337666666666667
OGFRL1	-0.41
KIAA0831	0.326875
PPP1R15A	-0.979666666666667
C1orf96	0.586285714285714
C12orf11	-2.57175
BMF	0.874625
MAN1A1	-1.353
KIAA1600	0.346833333333333
NLGN4X	-1.4005
ALOX12	-1.2215
RB1CC1	1.1023
NEIL2	-0.2339
EIF4E	-0.462409090909091
ABHD5	0.789
EXOC4	0.675166666666667
CIP29	-0.343166666666667
BATF2	3.03775
SLC29A4	-0.882
HTR4	0.433
EMB	-0.66675
TRAF6	-0.08425
LMNB1	-1.662
FAM19A5	0.088375
SHE	1.35925
PIK3C2B	0.669
C15orf15	-0.6993
USP15	-0.4649
TCEAL2	-0.567
C5orf39	-0.594166666666667
PTGER2	2.0835
SLC31A1	-0.036125
IFT172	-0.206
ADAM29	0.1895
GFOD1	0.1955
ST7L	0.1
C15orf26	-3.04275
PKN3	-2.10925
CNTD1	3.2375
COMMD1	0.529125
NTRK2	0.926333333333333
FOXN3	-0.216625
MFGE8	-0.1271
PFKFB2	0.915166666666667
TAS2R4	0.31075
ENTHD1	0.946833333333333
PRMT5	-0.209375
MGC16384	-0.03625
LOC442229	-0.501
TSKU	0.53475
KRTCAP3	2.651125
PDLIM1	-0.4125
KCNS2	0.4605
RNF126	-0.812166666666667
CEP63	0.587875
CLIC4	0.014125
hCG_1990170	-1.007
ACR	0.0317
KLK7	-0.56775
ALOX5AP	3.698625
RIPK3	3.30425
TAS2R9	-0.1
C19orf18	0.14
BIRC6	-0.660857142857143
ZNF16	1.406
RFT1	-0.32475
SLC8A2	-0.9005
TACC1	0.051125
ITGAD	1.35875
SAMHD1	2.00225
SH3PXD2B	1.1865
EPC2	0.2205
C20orf85	0.170875
ATP13A2	0.270333333333333
KRT4	0.19575
CAPNS1	0.363
MDM2	1.85575
PCDH20	2.2875
KCNK9	0.143
OR2C1	-0.207
KLHDC3	-0.800166666666667
IPPK	0.2495
EFHD2	-0.162625
GALR3	0.64225
NBEA	-0.116666666666667
ABCA6	1.5771
CLDN3	1.873
AKT2	-1.18985714285714
EGFR	-2.6568
RBM16	-0.969875
ZDHHC3	0.6323
SLC25A4	-0.235333333333333
CYB5B	-1.18
CPXM1	0.2025
NDRG1	-1.01015384615385
FLJ43826	0.294
OR5L2	0.297166666666667
FARP2	0.2631
MRPL46	0.0265833333333333
LDHAL6B	0.266666666666667
MAPKAPK3	0.793666666666667
NCAM2	-0.95925
PRKD2	-0.336
ZFP36L1	0.1125
CYSLTR1	0.085
OR4C3	-0.07525
HIST1H2AJ	2.8075
CCNB2	-1.38322222222222
ZNF10	-0.302
TMEM175	0.4525
FAM134A	1.1715
TIGD4	-0.2605
PCNP	-0.6245
MGC39715	0.2625
LQK1	0.40575
CREB1	0.2803
TMPRSS3	-1.1085
C4orf32	0.0455
LAT	-1.27191666666667
KCNA3	0.081
SKIV2L2	-1.2015
ROPN1B	-3.09075
tcag7.23	-1.268
CDT1	-1.933875
ZHX2	1.198875
CD28	-3.4125
ZNF624	0.93725
SEPT2	0.37625
SOHLH2	-1.699375
MCOLN3	-0.832428571428572
UNQ1945	0.502
MASP2	-1.5965
ZNRF3	0.7575
GPATCH3	-0.04475
AGL	3.480375
QRICH2	0.05
PSD4	0.521666666666667
CCNB1IP1	-1.77775
ENPP7	-0.10225
OBFC1	-0.14825
KCNG3	-1.851
C14orf79	0.237666666666667
ENPEP	1.44366666666667
SCT	1.0575
SKI	0.57325
SEC61G	-0.5105
CAPN11	0.16075
ATXN7L3	0.79875
DBNDD1	-0.538166666666667
FAIM	0.1745
ANKRD36	-0.5285
GABRP	-0.6745
TACSTD2	0.9685
EIF3J	-0.451
PPP2R2A	-0.41475
TEKT4	0.174166666666667
PVALB	0.968166666666667
F10	-3.229
FAM134C	0.5685
COMP	4.007
EFCBP1	-3.0666875
SCLT1	-0.083875
TAL1	-1.5096
ACSL1	0.04725
ABCC5	1.49925
ABL1	-0.491555555555556
RBBP7	0.98625
PTPRG	-0.253875
NCOR1	-0.2502
SPINK4	-1.735
TXNRD1	-1.0066
TNRC15	1.14325
C9orf138	0.589
UBE2H	0.448166666666667
BRDT	2.19033333333333
C8orf31	0.639
CCNE2	-0.383727272727273
SLC6A8	-1.2925
CALCR	-4.0035
PPP1CB	-0.412666666666667
ABHD8	0.21875
ARF5	0.3647
SLC24A4	1.26225
CCT3	0.317
ZNF121	0.332625
SLC3A2	-0.3382
OR13A1	0.199
SLC5A10	0.8175
RAD50	-0.81425
IER5	0.53775
MTHFD1L	-1.870625
MBTPS2	0.55
MVK	-0.693
NCL	-0.1706
PSMD10	-0.133
MOBP	0.3835
FLJ32894	0.2785
HRH1	-0.791
C5orf30	0.89325
NUDT16L1	0.5285
RASGRP3	3.55783333333333
PRKRIP1	-0.6739
CCDC75	1.113
LOC253970	-0.14475
KIAA1239	0.03
MED21	-0.139
SYT11	0.605916666666667
NTSR2	-0.8465
EGFL11	-0.089
CXorf59	0.2035
OR2A25	0.4075
SPTBN2	-0.867
LRMP	-1.87566666666667
RNF111	0.69125
PTH	-0.315
LOC619208	0.210666666666667
KIAA0895	-0.512
RANBP5	-0.74025
P2RY10	1.63
NME5	3.35666666666667
DDX21	-0.6495
LRSAM1	0.0955
HDAC11	1.59083333333333
VMO1	1.84525
NOLA2	0.744
ADAR	1.19725
MTO1	-0.868833333333333
SF4	0.4395
P2RX1	-0.218333333333333
HBM	0.10725
EN2	1.082
C14orf172	-0.0175
TM9SF2	0.3767
INHBE	-1.58266666666667
TCTE3	-0.6875
TOX2	-3.1615
CTAGE3	0.61025
HBB	2.948
MED15	-0.507166666666667
CASR	0.58425
C6orf66	-0.954
MTPN	0.692375
UNC50	-0.819
C21orf33	-1.117375
IRF2	-0.024125
PGR	-0.9675
GPR84	3.933
CROCCL1	-2.56325
SRPX	-1.68625
BRE	0.0251666666666667
FGF10	3.6485
SDC3	-0.762333333333333
ZRSR1	0.586833333333333
DKFZP434P211	0.35475
SOX6	0.264
RPUSD2	-0.00475
C14orf173	-0.1735
MAPK11	-0.714166666666667
TBC1D22A	0.335
FAM123A	-1.596
COL4A6	-3.2815
TOMM70A	0.53375
NAB1	0.11875
MGC16385	-0.518875
TSPAN18	0.311666666666667
MED31	0.351
PLG	-0.26575
CAPSL	2.7015
ZNF532	-0.1819
ASB14	0.03975
CA8	1.554
NUDT16P	1.096
SLFN11	-0.14
LRRIQ2	0.734625
NOL7	-0.167666666666667
BRMS1L	-0.1835
JARID1A	-0.335333333333333
PANK2	-1.22475
ICAM3	0.02425
MDS1	-1.3745
TAF8	-0.86775
RNF139	1.44075
ZNF594	-0.466166666666667
ADAM8	2.99575
SFTPC	-0.536625
MAN2B2	0.46025
RGS12	0.262875
EIF1AY	-4.29633333333333
LRRIQ1	-0.318166666666667
GPR150	0.77675
CCDC21	-0.3015
PRRG3	0.12
SAA4	-4.13675
RAPGEF5	2.1525
ZCCHC2	0.151833333333333
MGC39372	0.5795
PPP4R2	0.3695
CDCA2	-1.06616666666667
OR4D5	0.73
PTGFRN	0.3428
SIGLEC5	2.307
C19orf61	-0.401166666666667
NMUR2	0.287
KIAA1586	-1.36783333333333
DAGLA	0.768166666666667
CHCHD6	0.4925
GPR32	0.7505
NEUROD6	0.5655
SLC2A4RG	0.486625
CA5B	0.0225
FBXL3	0.764
MPHOSPH9	-0.27475
HMG2L1	0.414
HCN4	0.337833333333333
CEACAM19	0.606
SH2D4B	-0.357
HFE2	-0.4395
TGM4	0.1244
LYPD2	-0.11825
TBC1D15	1.40925
MRPS21	-0.1091
NONO	-1.1157
CLEC5A	2.77125
ITCH	0.2787
MGAT3	-1.6555
MBP	-0.925625
RPP25	-1.39575
SOSTDC1	-2.6595
HRC	-1.8145
TRIM48	0.4585
TMEM133	-0.8045
ECEL1P2	-1.26375
HOXC11	1.8165
DOK5	-0.94125
HELZ	0.4165
LOC348180	-0.5575
MGC33894	0.14325
ADRB3	0.071
DMD	-0.994333333333333
PTRH2	0.5285
MPEG1	3.34916666666667
NDUFA12	0.5145
KRTAP2-4	0.0425
STAMBPL1	-1.409
ADCY2	-1.06016666666667
UNQ6125	0.0835
KLHL20	0.513333333333333
SRM	-0.7935
OTC	-0.39
TMIE	0.399
SNX8	-0.17975
LIPK	-0.7095
CHURC1	0.783083333333333
KLC2	0.355666666666667
HDAC1	-0.3095
FAM128A	0.313833333333333
FNDC3B	0.5183
MTCP1	-0.24
WFDC10B	-0.2588
PCDHGB3	0.466
ATRNL1	-1.5561
CAV2	-1.322625
MED26	0.262
DUS1L	1.3485
CHRM3	-1.8765
NEK9	0.26425
WARS2	-0.0155
TBX22	0.73
TOMM40	-0.9285
RP6-213H19.1	-1.52466666666667
TUBGCP5	0.20075
IGSF6	4.67425
TPPP	0.546666666666667
UNQ6190	0.3735
GSTM5	1.50975
BTD	-0.173833333333333
PDCD1LG2	1.66666666666667
SNRPB2	-0.534333333333333
ERICH1	-1.22075
APOA4	-1.71
HOXA11	-1.50525
NARG1	-0.700375
MKX	-0.27475
RAB28	-1.0935
PKP3	-0.7135
SH3GL2	-2.75875
CTSO	2.02525
RPN2	0.84175
IL28RA	0.434166666666667
SFMBT1	0.33975
WDR57	-1.144875
FER1L3	0.77225
HSF5	0.0198333333333333
TTC9B	0.251
C4BPA	-4.002
ALB	-4.18415384615385
SORBS3	-0.395375
UPF2	0.2935
JPH1	0.8235
AGBL2	0.56475
DOPEY1	0.631
TERF1	0.690083333333333
KIF22	-0.144833333333333
NINJ1	0.49425
SEC61A2	0.752333333333333
HIST1H1D	1.16116666666667
SFXN4	-0.256625
UCP3	0.6261
ZNF703	1.8495
MYL6B	-0.1235
TREM1	2.69325
OR52E6	0.5155
CKMT2	1.619
HLA-C	1.81175
SLC13A3	-2.66583333333333
TIMP4	-1.2875
SLIT2	0.953
RSF1	0.467611111111111
LONRF1	-1.73957142857143
MON1A	0.865
CACNG6	-1.85716666666667
DPPA4	-4.95816666666667
ZSWIM3	1.1945
ZNF804A	0.978833333333333
CCIN	0.96625
SLC25A31	0.46675
KCNMB4	-0.76475
RABL5	-0.017125
GALNS	-0.4071
STX6	1.18275
HIST1H1C	1.32483333333333
CIDEB	0.832625
CASP4	-0.394
PDK3	0.3613
KCNJ11	1.0925
TPR	-0.197
ZSCAN20	-0.9985
MTX2	-0.2285
HIST1H2BH	0.628
LOC283767	0.37775
LYRM7	-1.63822222222222
BRD3	0.0926666666666667
HIST1H2BO	0.689
MAGEB10	0.0589999999999999
SLC45A1	2.20875
SERPINA3	2.4056
KIAA0143	1.59175
KCNJ16	-0.0863333333333333
KRT79	0.1015
FABP2	-0.80875
NUT	0.14675
ZNF57	0.1425
FBXL4	-0.118
CLEC9A	0.7005
UGT8	-1.458
BMP2K	0.5335
MAPK4	-3.9545
SLC25A23	-0.1998
HINT1	-1.0626
KRTAP13-1	0.55
SFXN5	-0.5381
CHCHD2	0.449833333333333
FAM3D	0.383
NDP	0.382125
RHOBTB1	0.172666666666667
SLC4A4	-1.590125
RPL38	0.5515
HTF9C	-0.1725
AP2A2	-0.431
ZBTB46	0.211
MAP7D1	0.347
AOX1	-1.4625
CYR61	-0.225916666666667
DTNA	-0.618142857142857
JRKL	-1.37825
TMOD3	-0.83925
EEA1	0.1124
ADCK5	-0.0115
IL1R1	3.90683333333333
KLK3	0.509785714285714
HRSP12	-0.36
KTN1	0.70725
LOH11CR2A	0.0595
RELL2	-0.055
MAB21L1	0.57325
C20orf59	-0.942833333333333
PHKB	-0.04975
ADAM2	-1.77566666666667
TBC1D8B	1.387
FAM13A1	-1.740125
LAPTM4B	-0.499083333333333
LCN8	-0.1625
TMEM147	0.735
SYT4	1.97116666666667
XPO7	-0.1845
C9orf62	0.89175
GPR75	0.916
TRIM5	-0.23025
APOC1	1.9455
RNASE4	0.207166666666667
PARD6B	-0.73525
ARID1A	0.491083333333333
TPD52L3	0.2728
RRAGB	2.39166666666667
RCN2	-0.421166666666667
HIST2H2BE	1.060125
STARD7	-0.09725
SHMT2	-0.93
KIAA1751	0.0535
MLYCD	0.10325
LOC162632	-0.1333
UQCRH	-1.0235
RP11-217H1.1	1.57275
SDHA	-0.438833333333333
NCLN	0.1221
ZNF17	0.829166666666667
RCBTB2	-1.9915
VEGFB	0.0089
RP4-747L4.3	0.258
COLQ	0.3945
MPN2	-0.618833333333333
DRG2	-0.64175
KLRB1	4.0145
ALPK2	-0.784
DNASE2B	0.49225
FLJ23834	-0.803833333333333
AXUD1	0.978
SAFB	-0.2754
NSUN4	0.15225
RFX2	0.356333333333333
MAPK8IP1	-0.420833333333333
FANCD2	-0.894285714285714
ANKZF1	-1.42233333333333
C19orf50	-0.073375
DUSP8	0.073625
SENP5	-0.071875
NFKBIL2	-0.2805
LBR	-1.196375
IGFL1	0.0605000000000001
LZTS2	-0.0835
IL2RG	0.345125
CCDC51	0.782
KLF3	0.08825
ANKRD37	-1.6135
KCTD14	0.2995
FZR1	0.101166666666667
SLC44A4	3.0631
ESPL1	-0.043
GMPR2	0.1207
TBC1D19	-0.949
ERGIC1	1.26359259259259
ERBB4	1.3636
TSPAN32	0.215666666666667
MAP4	0.062
GPHN	1.794
SLC6A2	-0.316875
HIVEP1	0.53975
DFFB	-0.1867
EIF4EBP2	-0.081
DMRT1	-0.5405
HSPB6	-0.4025
IER2	-0.254833333333333
AIFM1	0.3715
WWC2	-0.926583333333333
MRPL4	0.18125
FLJ21062	-0.797
EPB41L4A	-0.0220000000000001
SH2D6	0.271
TAF4B	-1.23275
GAL3ST3	-0.261
MALT1	-1.0145
RTDR1	1.868
ARVCF	-0.4415
MEX3B	-0.761833333333333
FBXO16	1.43875
KIF7	-0.57025
C1QC	3.54516666666667
ZNF783	0.284833333333333
ZNF85	0.721
MMP13	5.6725
KIAA0329	-0.363125
RTP3	-1.099
ZBED3	-0.67825
CLGN	-0.306
SLC25A37	-1.83208333333333
hCG_18290	-0.69375
OR5AS1	0.4065
SMARCC2	0.839
FAM109A	0.0355
CCDC12	0.133
USF2	0.3129
DEPDC7	-1.8905
C20orf24	0.477
JMJD3	0.5745
DSP	1.557
SLIC1	0.44125
FAM20A	1.820625
IRF2BP2	0.599
ZNF230	-0.4685
MSN	0.0595714285714286
SLC9A5	-1.6175
EPDR1	-0.3974
MUSK	0.146666666666667
ZNF434	-0.4245
SMARCD1	-0.418666666666667
ZFP106	-0.23675
ZNF347	0.0824
GTF2E1	0.8075
