Hybridization REF	TCGA-AO-A03R-01A-21R-A034-07
DCUN1D5	-2.09216666666667
DKFZP564J0863	-0.497
SLC9A3R1	0.778625
BCDO2	-0.5355
CHMP7	-0.499625
REM2	0.5225
DNHD1	0.051375
FKBP4	-0.533125
ZNF350	1.5465
MGC11102	0.07
BST1	0.8575
KISS1R	1.8365
NCR2	0.068
DEFB125	0.394
UBE2W	2.0405
KRT15	1.83925
C10orf99	0.557
SCN11A	-0.087125
GFI1	-1.2555
RDHE2	2.10966666666667
FHL1	-0.319666666666667
OSGEP	-0.254833333333333
GATA1	-2.95283333333333
SMC6	-1.5665
TTTY14	-0.87575
LPIN3	-0.183
RPL4	-0.5601
RBPMS	-0.7726
PRPF3	0.388333333333333
EMR1	-2
SPATA19	0.21425
XCR1	0.659
IRX3	2.5651
RBM6	-0.393
KLF4	-0.8727
UNC5CL	-1.24125
SEBOX	0.0465
BTK	-1.123
KRCC1	0.92375
C6orf27	0.721
SYTL5	-0.9265
PRND	1.534375
LOC653319	-2.234
PIGL	-1.382875
HUS1	-0.913166666666667
SFRS6	0.135083333333333
C17orf77	0.161
UIMC1	-0.504333333333333
FXYD2	-1.4169
LOC283152	0.414
ZNF667	-0.44975
ZCCHC12	-0.12925
TFEC	1.7883
ATP7B	-1.0335
POLD2	-1.35966666666667
RG9MTD1	-0.644
ACOT2	0.0591666666666667
HIST1H4I	0.996375
PPARGC1A	-1.7532
ETFA	-3.1854
POLRMT	-0.26575
ZNF146	-0.176875
MIA2	-0.5915
KLHL6	-0.752
HOXB5	-0.807875
NENF	1.10433333333333
CUGBP1	0.49575
PRSS22	0.693833333333333
CASC4	1.9832
CUL4B	-0.2383
CENPJ	-1.4225
PITX1	-0.647666666666667
FLJ31033	0.0828333333333334
CELSR3	-0.0491666666666667
ZNF568	0.9905
ITSN1	-0.589909090909091
EHBP1L1	-1.0885
C19orf2	-0.9965
DCTN1	0.38025
LIN28B	-4.45425
TNKS2	-1.18175
C1QBP	-1.24975
CADPS2	1.50825
SRMS	-0.07025
GJA9	0.261166666666667
MGC24975	0.0666666666666667
TRIM45	-0.445666666666667
TSP50	0.455
TCP1	-2.1495
TMED7	-0.0807
CMA1	0.6925
CENPL	-0.0805
PTCRA	0.5515
FST	-4.02075
VWCE	-3.8955
PAWR	-0.54925
ABCC12	-0.4036
LDLR	-0.4757
ASTN2	1.5771
LOC441212	-0.19275
GPATCH8	0.51275
TANC2	-0.858916666666667
KIF4A	-0.42475
C18orf18	-0.94425
PGM1	-2.1085
KIAA0258	-0.19325
CPD	-0.358625
SNCAIP	-1.25225
DCT	-4.0435
HLA-DOA	2.10377272727273
OR11L1	0.38
UPK1B	-0.5355
DNAJB4	-0.63625
UGT1A8	0.3245
HIST1H4L	0.499
PECR	-1.62633333333333
HSPA2	3.717
WFIKKN1	-0.9515
SERP1	0.340125
SYDE2	1.97625
TACR2	0.77
NUP85	-0.709
CD177	-1.16416666666667
LGR5	-1.35666666666667
PIGG	0.00716666666666666
PTHR1	-1.60483333333333
RAB5A	-0.0571999999999999
FLJ13224	-0.4225
USP9Y	-1.37383333333333
C7orf53	-0.919
LRP1B	3.72625
XAF1	2.0931
ABCG8	-0.411
ANKDD1A	-0.885
DAND5	-2.311
SPAG6	4.97766666666667
LINCR	-0.23125
ZDHHC22	-1.280625
CCDC60	0.9775
THOC7	-1.25433333333333
TCTA	1.4952
OR8K3	0.127
NY-REN-7	0.1135
B2M	1.37016666666667
C6orf141	-0.096
LPPR4	1.75375
SQLE	-0.1505
SEPHS1	-0.51775
BTBD14B	1.0095
PLRG1	-0.68425
SPG7	-0.937
ZNF614	-0.3345
PARD6G	1.11933333333333
INPP5B	-1.3642
GRPEL2	-0.411375
PPID	-1.0833
TRIM56	-0.75725
UBE2J1	-0.998125
IL20RA	2.76575
LOC387856	-0.527666666666667
C1orf107	0.17675
UTS2R	1.88475
C19orf22	0.83825
SAFB2	0.85075
KIAA0652	-0.326125
KLRG1	-0.0328333333333333
MS4A8B	4.24933333333333
FRAG1	0.74625
KIAA1546	-0.3695
E2F4	-1.2773
CLEC4M	0.754833333333333
BTBD14A	-1.30925
KIAA0999	1.7325
GYPA	-3.5485
TAC1	0.3453
TRAIP	-0.639
KIAA0232	0.8833
ERCC8	-1.031
GPX4	1.110125
KIAA0368	0.30325
GPR157	0.505666666666667
CTAGE4	0.002
C9orf30	-1.75
OR52A1	0.0445
HSP90B3P	-1.0255
ALG9	-0.1186
BTBD10	0.73925
SDK2	0.18175
BAIAP3	-0.37675
RABGGTB	-0.473875
ANKRD40	-0.7125
KRT74	-0.0525
CALCOCO2	-0.0909285714285714
SNCA	-3.36075
TMSL8	-1.22275
C2orf53	0.477
ESRRB	-0.42075
ARHGAP26	-0.2715
TDRD9	-2.77475
HRAS	0.8335
KLRC4	-2.4185
JAGN1	-0.320166666666667
BSDC1	0.8545
RNF43	1.0348
NDUFAF1	0.01775
PHF12	0.1345
OR1L3	-0.57525
FOLR2	1.26316666666667
LYZL6	0.116
tcag7.1260	-2.5495
WSB1	-1.69333333333333
PROS1	-0.6447
OSTN	0.741
PSMB8	-0.027
SOCS4	-0.4905
DDIT4L	3.11225
MAS1	0.0425
MGC34796	1.936
CSHL1	0.116833333333333
TBCCD1	0.447166666666667
ZBTB7C	-0.02
AP2S1	-0.937
P15RS	0.1374
VAT1	-1.1718
SHANK3	1.88733333333333
TUFM	-0.504833333333333
THEG	0.104
KRT34	-2.15825
SGSM3	0.011875
TOMM22	-0.326
SOCS3	2.1635
CPO	0.051
POP4	-0.23025
BHLHB3	1.163
MALL	0.63275
OR1B1	0.028
PARK2	0.380666666666667
GPR124	0.24425
LCE1E	0.607
RUVBL2	-0.29675
CGRRF1	0.0598
ACPL2	0.7365
WNT10B	-1.954875
BAIAP2L2	-1.24875
ISCA1	-0.053
C1orf125	-0.266375
RPAP1	-0.839
RAI16	-0.238666666666667
RPL27	-1.191625
NLRP9	0.4025
EPN1	0.369
LOC388610	1.05625
SLC35A1	-0.1272
GAL	-3.3755
SLC14A2	0.42575
RDH11	-0.4815
FAM138F	-0.624
AUH	0.476
FLJ40243	-0.3475
C14orf129	-0.901
MBD2	-0.424833333333333
ABHD14B	0.83325
PIGT	0.2175
ALS2CR4	-0.13775
ALAS1	-0.475
FOXO1	0.948666666666667
CRLF3	-0.822
C20orf107	-0.555
FARS2	-0.26825
CCDC28A	-0.216
NPHP3	-0.617
OR13F1	0.2765
TSEN54	-0.1875
DEFB106B	0.0357
OR8B4	0.441
STH	1.21725
ZC3H14	-0.5075
CBX2	-0.056
TMEM49	-1.5215
C6orf21	0.5055
FLJ20920	1.529
CRTAP	-0.482071428571429
DDX50	-0.10125
STYXL1	-1.286
BLVRB	0.00483333333333333
LOC147650	0.3345
MMP24	0.10325
GRID1	0.6575
BANF1	0.3805
CTAGEP	0.0425
HMBS	-1.8925
SLC25A24	-0.963666666666667
C14orf50	2.00075
MRO	0.124333333333333
SLC25A15	-1.06675
FAM84B	2.7382
TDP1	-1.1715
C16orf78	-0.0941666666666667
C11orf57	0.385
RFK	-0.715375
ZFYVE9	0.14225
STCH	-2.1576
WIBG	0.737
LOC283871	-0.3625
GBA2	-0.5051
NDUFB3	-0.44025
HSD17B13	-1.05025
GRIN3A	0.358166666666667
FMNL1	0.105333333333333
SEPT7	-0.6688
GNLY	3.705
GRAMD1C	0.888166666666666
ZNF165	0.1645
USP38	0.46025
FAM83A	-2.67633333333333
C14orf24	0.402583333333333
ARMCX3	0.140875
ARHGDIB	0.0653333333333333
AK1	0.244
KIAA1045	0.58675
DNAJB13	-0.304166666666667
NEU2	-0.485
HIST1H4B	0.961666666666667
FAM20B	0.0424
HES2	-0.294
FAM73B	0.0671
LOC388381	-0.761
INTS7	-0.163272727272727
AMPH	0.54025
ZNF775	0.231375
UCKL1	-0.699666666666667
C10orf97	-1.06825
C1orf161	0.059
ALDH1L1	-0.55875
FLJ39378	0.45675
SLC23A1	-0.551
RBM4B	0.1605
THAP4	0.336
OGFRL1	0.4375
KIAA0831	0.14125
PPP1R15A	-0.0833333333333333
C1orf96	0.756214285714286
C12orf11	-1.85475
BMF	-0.2975
MAN1A1	0.03375
KIAA1600	0.134666666666667
NLGN4X	-0.56775
ALOX12	-0.759
RB1CC1	1.5975
NEIL2	-0.3041
EIF4E	0.130636363636364
ABHD5	-0.6235
EXOC4	-0.350666666666667
CIP29	-0.349
BATF2	0.78625
SLC29A4	-0.26975
HTR4	-0.20775
EMB	-0.97475
TRAF6	0.04975
LMNB1	0.134
FAM19A5	-0.040125
SHE	1.88733333333333
PIK3C2B	1.08725
C15orf15	-0.8139
USP15	-0.00389999999999999
TCEAL2	1.67
C5orf39	-0.8115
PTGER2	-0.68575
SLC31A1	-1.48875
IFT172	-0.58425
ADAM29	-0.08625
GFOD1	-0.00675
ST7L	0.826166666666667
C15orf26	-1.81725
PKN3	-0.59125
CNTD1	0.583833333333333
COMMD1	0.44275
NTRK2	2.48
FOXN3	1.417125
MFGE8	-0.9043
PFKFB2	0.863333333333333
TAS2R4	-0.75075
ENTHD1	0.793166666666667
PRMT5	-1.610625
MGC16384	-1.249625
LOC442229	-1.239
TSKU	0.756875
KRTCAP3	2.8505
PDLIM1	0.6862
KCNS2	0.563
RNF126	-0.0771666666666667
CEP63	0.510625
CLIC4	0.254375
hCG_1990170	0.76225
ACR	0.4755
KLK7	1.62575
ALOX5AP	2.038875
RIPK3	3.7165
TAS2R9	0.2
C19orf18	1.435
BIRC6	-0.0035
ZNF16	2.0875
RFT1	-0.48175
SLC8A2	0.00100000000000001
TACC1	2.200625
ITGAD	0.988666666666667
SAMHD1	0.898
SH3PXD2B	0.4463
EPC2	0.99525
C20orf85	-0.251875
ATP13A2	0.371
KRT4	0.47
CAPNS1	0.6265
MDM2	0.00908333333333333
PCDH20	1.717
KCNK9	0.3485
OR2C1	-0.178
KLHDC3	-0.920666666666667
IPPK	0.365
EFHD2	0.230375
GALR3	1.866
NBEA	0.625
ABCA6	2.0673
CLDN3	1.1705
AKT2	-0.4815
EGFR	-1.5003
RBM16	0.05925
ZDHHC3	-0.0365
SLC25A4	-2.36583333333333
CYB5B	-2.3285
CPXM1	-0.745
NDRG1	-0.641230769230769
FLJ43826	0.107
OR5L2	0.0905
FARP2	0.3812
MRPL46	-1.13633333333333
LDHAL6B	0.2555
MAPKAPK3	-0.546666666666667
NCAM2	0.79825
PRKD2	-0.175166666666667
ZFP36L1	0.9004
CYSLTR1	0.03875
OR4C3	0.4995
HIST1H2AJ	1.9605
CCNB2	-0.618
ZNF10	0.06025
TMEM175	1.225
FAM134A	1.00516666666667
TIGD4	-0.7865
PCNP	-0.5715
MGC39715	0.16975
LQK1	-0.20675
CREB1	0.5571
TMPRSS3	0.06725
C4orf32	0.882375
LAT	-0.849666666666666
KCNA3	0.575
SKIV2L2	-0.566
ROPN1B	-0.91225
tcag7.23	-0.618
CDT1	-2.902625
ZHX2	2.29575
CD28	-1.6765
ZNF624	0.6595
SEPT2	-0.5455
SOHLH2	-1.72675
MCOLN3	-0.469857142857143
UNQ1945	0.69
MASP2	-0.5875
ZNRF3	1.6539
GPATCH3	-0.3165
AGL	0.049
QRICH2	-0.52
PSD4	0.148333333333333
CCNB1IP1	-1.67175
ENPP7	0.1005
OBFC1	0.08525
KCNG3	0.25925
C14orf79	-0.131916666666667
ENPEP	0.984
SCT	0.727
SKI	1.474875
SEC61G	-1.2535
CAPN11	0.7265
ATXN7L3	0.13775
DBNDD1	-0.2015
FAIM	1.439
ANKRD36	0.0795
GABRP	2.60333333333333
TACSTD2	1.648
EIF3J	-0.25575
PPP2R2A	-1.5275
TEKT4	-0.0985
PVALB	1.35916666666667
F10	-2.07933333333333
FAM134C	0.6436
COMP	3.470375
EFCBP1	-1.952875
SCLT1	1.549375
TAL1	-0.552
ACSL1	0.78975
ABCC5	0.381083333333333
ABL1	0.264222222222222
RBBP7	0.278833333333333
PTPRG	0.467875
NCOR1	-0.6254
SPINK4	-0.581333333333333
TXNRD1	-2.2247
TNRC15	2.0495
C9orf138	0.66125
UBE2H	1.15333333333333
BRDT	3.41116666666667
C8orf31	-0.1605
CCNE2	0.127909090909091
SLC6A8	-1.5755
CALCR	-3.36875
PPP1CB	-0.148166666666667
ABHD8	0.56925
ARF5	0.3167
SLC24A4	0.20475
CCT3	0.17775
ZNF121	0.1955
SLC3A2	-0.0764
OR13A1	1.398
SLC5A10	-0.163
RAD50	-0.63625
IER5	0.678375
MTHFD1L	-2.454375
MBTPS2	-0.34825
MVK	-0.32175
NCL	-0.0744
PSMD10	-0.86725
MOBP	0.796375
FLJ32894	-2.267
HRH1	-1.118
C5orf30	1.94575
NUDT16L1	0.6666
RASGRP3	2.74033333333333
PRKRIP1	-0.3397
CCDC75	1.019
LOC253970	0.023
KIAA1239	0.3005
MED21	-0.91325
SYT11	0.179833333333333
NTSR2	-0.4635
EGFL11	1.105
CXorf59	-0.184
OR2A25	-0.5365
SPTBN2	-0.8195
LRMP	-0.982333333333333
RNF111	-0.078
PTH	0.7495
LOC619208	-0.686833333333333
KIAA0895	0.10225
RANBP5	-1.205
P2RY10	1.65666666666667
NME5	1.88666666666667
DDX21	-0.68925
LRSAM1	0.4655
HDAC11	1.412
VMO1	1.25725
NOLA2	-0.332333333333333
ADAR	-0.174166666666667
MTO1	-1.3065
SF4	0.451333333333333
P2RX1	-0.103833333333333
HBM	0.2145
EN2	1.7855
C14orf172	0.31525
TM9SF2	-0.9064
INHBE	-0.799666666666667
TCTE3	0.344
TOX2	-2.0875
CTAGE3	0.479875
HBB	3.6436
MED15	-0.261833333333333
CASR	-0.356333333333333
C6orf66	-1.14416666666667
MTPN	0.00125
UNC50	-1.21125
C21orf33	-0.88225
IRF2	0.786625
PGR	-0.65
GPR84	1.91775
CROCCL1	-2.5005
SRPX	-1.4245
BRE	0.0591666666666667
FGF10	1.73625
SDC3	0.962
ZRSR1	0.746
DKFZP434P211	-0.555125
SOX6	-0.0275
RPUSD2	-0.6515
C14orf173	-0.218583333333333
MAPK11	0.0451666666666667
TBC1D22A	0.497
FAM123A	-1.029
COL4A6	-2.46266666666667
TOMM70A	-0.143
NAB1	-1.27575
MGC16385	-1.167125
TSPAN18	-0.0668333333333333
MED31	-0.7845
PLG	0.017
CAPSL	-0.309
ZNF532	0.2187
ASB14	-0.054
CA8	3.683
NUDT16P	2.34583333333333
SLFN11	-1.24
LRRIQ2	0.646125
NOL7	-0.0573333333333333
BRMS1L	-1.18625
JARID1A	-0.152166666666667
PANK2	-1.4195
ICAM3	-0.56875
MDS1	-0.80475
TAF8	-0.021
RNF139	1.5845
ZNF594	-0.2705
ADAM8	0.704875
SFTPC	-0.791375
MAN2B2	1.325125
RGS12	0.982375
EIF1AY	-4.47136363636364
LRRIQ1	-0.570833333333333
GPR150	1.76075
CCDC21	-0.964333333333333
PRRG3	0.166
SAA4	-2.0555
RAPGEF5	1.375
ZCCHC2	0.61375
MGC39372	-0.0835
PPP4R2	0.0216666666666667
CDCA2	-1.24766666666667
OR4D5	0.376
PTGFRN	-0.0734
SIGLEC5	0.988333333333333
C19orf61	0.0491666666666667
NMUR2	0.5225
KIAA1586	-0.8105
DAGLA	-0.426333333333333
CHCHD6	0.000999999999999997
GPR32	-0.1885
NEUROD6	-0.036
SLC2A4RG	1.0655
CA5B	0.302
FBXL3	0.5385
MPHOSPH9	-1.322
HMG2L1	1.2435
HCN4	1.3825
CEACAM19	-0.105
SH2D4B	0.0156666666666666
HFE2	-1.3645
TGM4	0.592166666666667
LYPD2	-0.15725
TBC1D15	-0.13025
MRPS21	-0.4315
NONO	-1.0373
CLEC5A	1.12475
ITCH	0.0554
MGAT3	-1.62333333333333
MBP	-0.881625
RPP25	0.18175
SOSTDC1	0.34525
HRC	-1.0075
TRIM48	-0.127
TMEM133	0.0155
ECEL1P2	-0.64125
HOXC11	-0.5995
DOK5	-0.6405
HELZ	0.2835
LOC348180	-1.013
MGC33894	0.23625
ADRB3	0.464
DMD	0.406833333333333
PTRH2	-0.1715
MPEG1	2.44183333333333
NDUFA12	0.021
KRTAP2-4	0.194333333333333
STAMBPL1	-1.64833333333333
ADCY2	0.3685
UNQ6125	0.8845
KLHL20	0.195166666666667
SRM	-0.4795
OTC	0.031
TMIE	-0.185833333333333
SNX8	-0.29125
LIPK	-0.736
CHURC1	-0.160666666666667
KLC2	0.609333333333333
HDAC1	0.0773333333333333
FAM128A	1.157
FNDC3B	-0.9586
MTCP1	-0.314166666666667
WFDC10B	0.1692
PCDHGB3	0.513
ATRNL1	-1.90675
CAV2	-0.52925
MED26	0.636
DUS1L	0.8895
CHRM3	-1.542375
NEK9	0.2
WARS2	-0.0305
TBX22	0.8025
TOMM40	-0.1005
RP6-213H19.1	0.0775
TUBGCP5	-0.72925
IGSF6	4.2785
TPPP	0.668166666666667
UNQ6190	0.815
GSTM5	-0.186428571428571
BTD	-0.775333333333333
PDCD1LG2	-0.068
SNRPB2	-1.00533333333333
ERICH1	-0.384875
APOA4	-1.71175
HOXA11	-1.15066666666667
NARG1	-0.364
MKX	-0.9445
RAB28	-1.47421428571429
PKP3	1.46475
SH3GL2	1.25075
CTSO	1.289
RPN2	-0.0926875
IL28RA	0.6646
SFMBT1	1.1475
WDR57	-1.2835
FER1L3	2.06308333333333
HSF5	0.339166666666667
TTC9B	1.5185
C4BPA	-2.037
ALB	-3.52091666666667
SORBS3	0.1345
UPF2	-0.7295
JPH1	-0.814
AGBL2	-1.008
DOPEY1	0.69
TERF1	0.6655
KIF22	-0.596666666666667
NINJ1	1.7875
SEC61A2	-0.495416666666667
HIST1H1D	2.0455
SFXN4	0.064
UCP3	0.89
ZNF703	2.14466666666667
MYL6B	-0.25175
TREM1	0.9645
OR52E6	0.278
CKMT2	1.12575
HLA-C	1.363
SLC13A3	-1.86016666666667
TIMP4	-0.93725
SLIT2	2.335
RSF1	0.362388888888889
LONRF1	-1.22592857142857
MON1A	-0.0485
CACNG6	-1.15016666666667
DPPA4	-4.82433333333333
ZSWIM3	-0.71125
ZNF804A	-0.483333333333333
CCIN	0.2735
SLC25A31	0.343
KCNMB4	-1.86075
RABL5	-0.3355
GALNS	-0.3677
STX6	1.777375
HIST1H1C	1.15116666666667
CIDEB	0.011125
CASP4	0.229166666666667
PDK3	-0.3682
KCNJ11	1.2065
TPR	0.0945
ZSCAN20	-1.3815
MTX2	-0.17475
HIST1H2BH	1.8845
LOC283767	0.98825
LYRM7	-1.24227777777778
BRD3	0.717833333333333
HIST1H2BO	1.30625
MAGEB10	0.4215
SLC45A1	-0.444
SERPINA3	0.944
KIAA0143	0.65225
KCNJ16	0.8945
KRT79	0.55225
FABP2	-0.82725
NUT	-0.09675
ZNF57	-1.46825
FBXL4	-0.6095
CLEC9A	1.259
UGT8	-0.692833333333333
BMP2K	0.036
MAPK4	-2.92425
SLC25A23	0.0685
HINT1	-0.7799
KRTAP13-1	0.295
SFXN5	1.2197
CHCHD2	-0.121083333333333
FAM3D	1.7185
NDP	-3.10625
RHOBTB1	-0.5495
SLC4A4	-1.0285
RPL38	-0.28325
HTF9C	0.2595
AP2A2	0.278
ZBTB46	-0.5265
MAP7D1	-0.467875
AOX1	-1.31666666666667
CYR61	1.555
DTNA	-0.975928571428571
JRKL	-0.79125
TMOD3	-0.64575
EEA1	0.194
ADCK5	0.80425
IL1R1	0.8105
KLK3	0.750428571428571
HRSP12	1.19225
KTN1	0.1875
LOH11CR2A	-0.3504
RELL2	-1.37875
MAB21L1	-0.02375
C20orf59	-0.461
PHKB	-0.8015
ADAM2	-0.886
TBC1D8B	-0.238166666666667
FAM13A1	-0.740625
LAPTM4B	1.60858333333333
LCN8	-0.0915
TMEM147	0.243
SYT4	-0.2225
XPO7	-1.332
C9orf62	2.03375
GPR75	0.926
TRIM5	-0.6265
APOC1	-0.742166666666667
RNASE4	-0.197833333333333
PARD6B	-0.6445
ARID1A	1.03883333333333
TPD52L3	0.5185
RRAGB	0.315
RCN2	-0.994833333333333
HIST2H2BE	1.329
STARD7	-0.26825
SHMT2	-1.9305
KIAA1751	0.1682
MLYCD	-1.156125
LOC162632	-1.1058
UQCRH	-1.68675
RP11-217H1.1	-0.058625
SDHA	-1.03066666666667
NCLN	-0.2535
ZNF17	-0.154
RCBTB2	-2.0045
VEGFB	-1.1337
RP4-747L4.3	-1.06875
COLQ	0.3455
MPN2	-0.588
DRG2	-0.6385
KLRB1	4.9805
ALPK2	-2.85025
DNASE2B	0.309
FLJ23834	0.359333333333333
AXUD1	1.72266666666667
SAFB	0.5159
NSUN4	-0.061
RFX2	0.353666666666667
MAPK8IP1	-0.630666666666667
FANCD2	-1.07664285714286
ANKZF1	-2.22333333333333
C19orf50	-0.92175
DUSP8	2.103375
SENP5	-0.17
NFKBIL2	0.371
LBR	-1.916625
IGFL1	0.6205
LZTS2	0.619375
IL2RG	0.90725
CCDC51	-0.34275
KLF3	-0.4215
ANKRD37	-2.39625
KCTD14	0.498
FZR1	0.658166666666667
SLC44A4	3.3482
ESPL1	0.389125
GMPR2	-0.9809
TBC1D19	-1.62166666666667
ERGIC1	0.0973333333333333
ERBB4	2.9986
TSPAN32	0.418666666666667
MAP4	-0.079375
GPHN	1.41625
SLC6A2	0.499125
HIVEP1	0.55875
DFFB	-0.6343
EIF4EBP2	0.533875
DMRT1	-0.89975
HSPB6	0.9005
IER2	-0.0186666666666667
AIFM1	-0.22725
WWC2	-0.889636363636363
MRPL4	-0.4995
FLJ21062	-0.0278333333333333
EPB41L4A	0.94675
SH2D6	0.20575
TAF4B	-0.57525
GAL3ST3	-0.0455
MALT1	-1.20883333333333
RTDR1	0.72375
ARVCF	0.309875
MEX3B	-2.46933333333333
FBXO16	-1.49225
KIF7	-1.22425
C1QC	4.2205
ZNF783	-0.581
ZNF85	0.9825
MMP13	1.013
KIAA0329	0.314625
RTP3	-1.8165
ZBED3	-0.55125
CLGN	-1.5025
SLC25A37	-1.45245833333333
hCG_18290	-0.2515
OR5AS1	-0.742
SMARCC2	1.18075
FAM109A	0.0401666666666667
CCDC12	0.046
USF2	0.9666
DEPDC7	-3.538
C20orf24	-0.909666666666667
JMJD3	0.6705
DSP	1.50964285714286
SLIC1	0.743
FAM20A	0.6265
IRF2BP2	1.02825
ZNF230	-0.8565
MSN	-0.506642857142857
SLC9A5	-1.4845
