Hybridization REF	TCGA-AO-A03O-01A-11R-A00Z-07
TSPAN32	0.05675
MAP4	-0.17925
GPHN	0.17625
SLC6A2	-0.085125
HIVEP1	0.41075
DFFB	-0.2841
EIF4EBP2	0.8875
DMRT1	-0.28825
HSPB6	-0.17525
IER2	-0.543
AIFM1	0.344
WWC2	-1.45625
MRPL4	-0.355
FLJ21062	-0.0786666666666667
EPB41L4A	0.284166666666667
SH2D6	0.5145
TAF4B	-0.52275
GAL3ST3	-0.4295
MALT1	-0.665833333333333
RTDR1	0.648
ARVCF	0.8225
MEX3B	-1.376
FBXO16	0.2935
KIF7	-0.8195
C1QC	4.29283333333333
ZNF783	-0.126333333333333
ZNF85	0.25825
MMP13	1.295
KIAA0329	0.421625
RTP3	-1.0205
ZBED3	-0.361
CLGN	-2.54875
SLC25A37	-2.23691666666667
hCG_18290	1.37775
OR5AS1	0.4885
SMARCC2	0.559916666666667
FAM109A	-0.222166666666667
CCDC12	-0.369
USF2	1.6915
DEPDC7	-2.219
C20orf24	-0.0683333333333333
JMJD3	0.592
DSP	1.89192857142857
SLIC1	0.81125
FAM20A	1.232875
IRF2BP2	0.801625
ZNF230	-1.2235
MSN	-1.25307142857143
SLC9A5	-1.2525
EPDR1	-2.3981
MUSK	0.709333333333333
ZNF434	0.098
SMARCD1	-0.382833333333333
ZFP106	-0.2475
