Hybridization REF	TCGA-BH-A0AY-01A-21R-A00Z-07
SNAPC1	-1.27433333333333
GNA11	0.6095
CCDC52	-0.0258333333333333
FSIP1	2.007
UPF3A	-0.542125
IGSF11	-2.25633333333333
LAGE3	1.44
CHST6	-0.451
UNC13B	0.572125
TTLL4	-1.384125
ZNF687	0.32325
SDC2	0.5364
COX7A2	-0.00625
LAMB4	-0.0143333333333333
FAM24A	0.296
LRRTM3	-0.9354
GPHB5	0.27
OR4C13	-0.7785
EIF3EIP	-0.1195
HABP4	-0.246
TMEM125	3.32325
CNTN2	0.328833333333333
ASNSD1	-0.24225
FUT4	0.081875
ACF	-2.8065
LOC158381	0.337
CDH8	0.39425
AGPS	-1.5735
C4orf18	2.877125
PECI	0.958333333333333
UNG	-0.072375
GSTP1	-1.56175
DCUN1D5	-0.3
DKFZP564J0863	0.02025
SLC9A3R1	1.48225
BCDO2	0.168428571428571
CHMP7	-0.008625
REM2	1.6375
DNHD1	-0.272875
FKBP4	-0.135
ZNF350	0.92825
MGC11102	0.6385
BST1	1.95075
KISS1R	-0.1145
NCR2	0.0335
DEFB125	1.074
UBE2W	2.2605
KRT15	-1.349625
C10orf99	0.4315
SCN11A	0.537375
GFI1	-1.56475
RDHE2	-0.95
FHL1	0.979
OSGEP	0.2535
GATA1	-2.901
SMC6	-0.7105
TTTY14	-1.4775
LPIN3	0.36
RPL4	-0.6004
RBPMS	-0.0223333333333333
PRPF3	-0.3955
EMR1	-1.758
SPATA19	0.179
XCR1	0.369
IRX3	1.194
RBM6	-0.324
KLF4	-0.0569
UNC5CL	-2.2795
SEBOX	0.121
BTK	0.87275
KRCC1	1.8425
C6orf27	0.327
SYTL5	-0.519
PRND	3.38625
LOC653319	-1.509
PIGL	-1.465375
HUS1	0.609666666666667
SFRS6	0.448583333333333
C17orf77	0.687
UIMC1	-0.598166666666667
FXYD2	-1.4581
LOC283152	-0.62525
ZNF667	-0.75025
ZCCHC12	-0.688
TFEC	3.1231
ATP7B	-0.0638333333333333
POLD2	-0.660666666666667
RG9MTD1	-0.00575
ACOT2	1.18916666666667
HIST1H4I	-0.34575
PPARGC1A	-1.5651
ETFA	-1.5107
POLRMT	-0.91525
ZNF146	0.63825
MIA2	-1.1245
KLHL6	-0.417333333333333
HOXB5	-0.166
NENF	0.359166666666667
CUGBP1	0.66825
PRSS22	1.75866666666667
CASC4	0.616333333333333
CUL4B	-0.0595
CENPJ	-1.9906
PITX1	0.4725
FLJ31033	1.08216666666667
CELSR3	-1.25566666666667
ZNF568	0.533
ITSN1	0.276666666666667
EHBP1L1	-0.65
C19orf2	-0.5345
DCTN1	0.02275
LIN28B	-2.93083333333333
TNKS2	0.2235
C1QBP	-0.109125
CADPS2	1.67425
SRMS	0.2015
GJA9	0.1915
MGC24975	-1.49783333333333
TRIM45	-1.62333333333333
TSP50	-0.03
TCP1	-0.8465
TMED7	-0.1382
CMA1	2.6985
CENPL	-0.627333333333333
PTCRA	-0.052
FST	-3.80225
VWCE	-2.913
PAWR	-0.58225
ABCC12	0.1844
LDLR	-1.6777
ASTN2	1.4838
LOC441212	-0.754125
GPATCH8	-0.3175
TANC2	-0.4045
KIF4A	-1.52525
C18orf18	-0.73475
PGM1	-0.87675
KIAA0258	0.52925
CPD	0.079125
SNCAIP	0.29225
DCT	-3.71733333333333
HLA-DOA	3.01538095238095
OR11L1	0.5125
UPK1B	0
DNAJB4	0.358
UGT1A8	-0.64025
HIST1H4L	-0.5025
PECR	-0.858333333333333
HSPA2	1.756
WFIKKN1	-1.7135
SERP1	0.760625
SYDE2	1.36975
TACR2	0.5755
NUP85	-0.507
CD177	-0.4725
LGR5	-1.7225
PIGG	-0.467583333333333
PTHR1	-1.09616666666667
RAB5A	0.0277
FLJ13224	0.1865
USP9Y	-0.739333333333333
C7orf53	-1.6515
LRP1B	-1.3475
XAF1	1.3676
ABCG8	-0.059
ANKDD1A	-0.455666666666667
DAND5	-2.048
SPAG6	0.224333333333333
LINCR	0.2855
ZDHHC22	-0.729
CCDC60	0.856
THOC7	-1.09566666666667
TCTA	1.0687
OR8K3	0.778
NY-REN-7	-0.72725
B2M	1.722
C6orf141	-0.878125
LPPR4	3.67425
SQLE	-0.425375
SEPHS1	-0.165
BTBD14B	0.0896428571428572
PLRG1	0.212
SPG7	-0.7775625
ZNF614	-0.200166666666667
PARD6G	0.693833333333333
INPP5B	-0.936
GRPEL2	0.000249999999999986
PPID	-0.8856
TRIM56	-0.47025
UBE2J1	0.545875
IL20RA	4.95425
LOC387856	0.357
C1orf107	0.138083333333333
UTS2R	0.5005
C19orf22	-0.0585
SAFB2	-0.03125
KIAA0652	-0.066875
KLRG1	0.800166666666667
MS4A8B	0.261333333333333
FRAG1	0.3805
KIAA1546	0.46825
E2F4	-1.2295
CLEC4M	0.106
BTBD14A	0.201
KIAA0999	0.0046
GYPA	-3.58283333333333
TAC1	0.0796
TRAIP	-1.69033333333333
KIAA0232	0.5113
ERCC8	-0.5525
GPX4	0.285
KIAA0368	-0.1425
GPR157	-0.7615
CTAGE4	0.278
C9orf30	-0.861333333333334
OR52A1	0.5065
HSP90B3P	-0.274
ALG9	-0.3222
BTBD10	0.5805
SDK2	0.012
BAIAP3	1.67325
RABGGTB	-1.003625
ANKRD40	-0.2105
KRT74	-0.154
CALCOCO2	-0.142857142857143
SNCA	-2.1575
TMSL8	-1.519125
C2orf53	0.4445
ESRRB	0.046
ARHGAP26	-1.10575
TDRD9	-2.37825
HRAS	-0.583833333333333
KLRC4	-1.911
JAGN1	-0.460833333333333
BSDC1	0.25075
RNF43	-1.6601
NDUFAF1	0.40925
PHF12	0.29325
OR1L3	0.165
FOLR2	2.23491666666667
LYZL6	0.304666666666667
tcag7.1260	-1.2925
WSB1	-1.82516666666667
PROS1	-0.2803
OSTN	0.9305
PSMB8	0.84875
SOCS4	-0.57575
DDIT4L	1.30075
MAS1	-0.132
MGC34796	1.649
CSHL1	0.412166666666667
TBCCD1	0.257
ZBTB7C	0.1465
AP2S1	0.189875
P15RS	-0.2611
VAT1	-0.3119
SHANK3	0.880166666666667
TUFM	0.0828333333333333
THEG	-0.49875
KRT34	-1.11525
SGSM3	0.248625
TOMM22	-0.57875
SOCS3	2.04816666666667
CPO	0.5795
POP4	0.31575
BHLHB3	1.3115
MALL	0.98675
OR1B1	0.3645
PARK2	0.403666666666667
GPR124	1.009375
LCE1E	0.5805
RUVBL2	-0.827
CGRRF1	-0.0286
ACPL2	0.47425
WNT10B	-1.282125
BAIAP2L2	-1.716
ISCA1	0.6845
C1orf125	0.0598571428571429
RPAP1	-0.817
RAI16	-0.127666666666667
RPL27	-0.771625
NLRP9	0.3155
EPN1	0.5765
LOC388610	-0.516375
SLC35A1	1.3372
GAL	-3.33175
SLC14A2	0.29475
RDH11	-0.4315
FAM138F	-0.0715
AUH	0.12575
FLJ40243	0.1135
C14orf129	0.344833333333333
MBD2	-0.286833333333333
ABHD14B	0.134875
PIGT	0.136
ALS2CR4	-0.41425
ALAS1	0.34
FOXO1	1.30316666666667
CRLF3	-0.547625
C20orf107	0.7455
FARS2	1.00125
CCDC28A	0.2615
NPHP3	-0.917
OR13F1	0.6095
TSEN54	-0.565
DEFB106B	0.1377
OR8B4	0.1755
STH	0.523
ZC3H14	-0.57775
CBX2	-0.368
TMEM49	-0.9695
C6orf21	0.6365
FLJ20920	-1.149125
CRTAP	0.272142857142857
DDX50	-0.07025
STYXL1	1.2585
BLVRB	-0.0436666666666667
LOC147650	-0.140833333333333
MMP24	0.18625
GRID1	1.83583333333333
BANF1	0.273833333333333
CTAGEP	0.00774999999999999
HMBS	-1.81425
SLC25A24	0.462
C14orf50	-0.26575
MRO	2.20633333333333
SLC25A15	-0.82425
FAM84B	1.1882
TDP1	-0.819
C16orf78	0.0184
C11orf57	0.179125
RFK	-0.142125
ZFYVE9	-0.767625
STCH	-0.523
WIBG	0.382
LOC283871	-0.208
GBA2	-0.6799
NDUFB3	-0.4555
HSD17B13	0.00474999999999999
GRIN3A	2.63783333333333
FMNL1	-0.141
SEPT7	0.4259
GNLY	3.1775
GRAMD1C	1.62416666666667
ZNF165	-0.40075
USP38	1.144
FAM83A	-2.55483333333333
C14orf24	0.856166666666666
ARMCX3	1.00275
ARHGDIB	0.5725
AK1	0.54825
KIAA1045	0.0933333333333333
DNAJB13	-0.395833333333333
NEU2	0.4595
HIST1H4B	-0.4295
FAM20B	-0.6787
HES2	0.745142857142857
FAM73B	-0.2673
LOC388381	0.00450000000000003
INTS7	-0.291545454545455
AMPH	2.4615
ZNF775	-0.1495
UCKL1	-0.823333333333333
C10orf97	0.648
C1orf161	0.06475
ALDH1L1	0.6965
FLJ39378	-0.35675
SLC23A1	-1.38
RBM4B	0.09525
THAP4	-0.0383333333333333
OGFRL1	0.93575
KIAA0831	0.1835
PPP1R15A	0.2335
C1orf96	-0.106285714285714
C12orf11	-1.76575
BMF	1.215375
MAN1A1	-0.186375
KIAA1600	1.02283333333333
NLGN4X	-1.08025
ALOX12	-0.787666666666667
RB1CC1	0.5665
NEIL2	0.461
EIF4E	0.66
ABHD5	0.01575
EXOC4	-0.346166666666667
CIP29	0.182333333333333
BATF2	0.23675
SLC29A4	0.048125
HTR4	0.8235
EMB	-0.80475
TRAF6	0.523
LMNB1	-0.7225
FAM19A5	-0.131875
SHE	2.338
PIK3C2B	1.313
C15orf15	0.0452
USP15	0.0383
TCEAL2	1.31425
C5orf39	0.454166666666667
PTGER2	-0.16825
SLC31A1	0.1795625
IFT172	0.14875
ADAM29	0.4105
GFOD1	-0.2575
ST7L	0.716666666666667
C15orf26	-2.12125
PKN3	-1.1635
CNTD1	1.52016666666667
COMMD1	-0.034625
NTRK2	2.25866666666667
FOXN3	0.512125
MFGE8	-0.0599
PFKFB2	0.683833333333333
TAS2R4	-0.2345
ENTHD1	1.454
PRMT5	-0.7815
MGC16384	-1.850625
LOC442229	0.2265
TSKU	-0.179125
KRTCAP3	1.462125
PDLIM1	0.4282
KCNS2	0.5955
RNF126	-0.970166666666667
CEP63	-0.1285
CLIC4	0.119625
hCG_1990170	-0.15575
ACR	0.5323
KLK7	-0.139
ALOX5AP	3.019625
RIPK3	2.275
TAS2R9	0.124
C19orf18	-0.381
BIRC6	0.231642857142857
ZNF16	1.29
RFT1	-0.76
SLC8A2	-0.89975
TACC1	0.39425
ITGAD	1.632
SAMHD1	1.875
SH3PXD2B	1.0236
EPC2	0.86125
C20orf85	2.89375
ATP13A2	-0.0665
KRT4	0.606375
CAPNS1	-0.065
MDM2	-0.473166666666667
PCDH20	2.1535
KCNK9	1.007
OR2C1	0.3655
KLHDC3	-0.860666666666667
IPPK	1.7875
EFHD2	-0.394625
GALR3	0.3375
NBEA	0.0756666666666667
ABCA6	3.7278
CLDN3	2.48716666666667
AKT2	-0.565571428571429
EGFR	-1.592
RBM16	0.663875
ZDHHC3	0.6408
SLC25A4	-0.402
CYB5B	-0.794333333333333
CPXM1	0.77625
NDRG1	-1.00861538461538
FLJ43826	0.401
OR5L2	0.403166666666667
FARP2	0.0798
MRPL46	-0.797083333333333
LDHAL6B	0.339833333333333
MAPKAPK3	-0.283333333333333
NCAM2	-1.3915
PRKD2	-0.0663333333333333
ZFP36L1	1.0144
CYSLTR1	-0.18525
OR4C3	-0.1285
HIST1H2AJ	1.4535
CCNB2	-2.33244444444444
ZNF10	-0.28975
TMEM175	0.2245
FAM134A	0.839833333333333
TIGD4	0.0185
PCNP	-0.34825
MGC39715	0.571
LQK1	-2.6285
CREB1	0.7642
TMPRSS3	0.6455
C4orf32	1.816875
LAT	-0.889166666666667
KCNA3	-0.078
SKIV2L2	-0.43475
ROPN1B	-4.25175
tcag7.23	-0.3195
CDT1	-2.799125
ZHX2	1.37875
CD28	-1.64675
ZNF624	1.02725
SEPT2	1.21575
SOHLH2	-1.085
MCOLN3	-0.6365
UNQ1945	0.6985
MASP2	-0.6115
ZNRF3	-0.7892
GPATCH3	-0.28125
AGL	3.203375
QRICH2	-0.3965
PSD4	0.844333333333333
CCNB1IP1	-1.813
ENPP7	0.37125
OBFC1	-0.12725
KCNG3	-2.379
C14orf79	0.230583333333333
ENPEP	2.77233333333333
SCT	1.7475
SKI	0.95325
SEC61G	-0.8755
CAPN11	-0.2145
ATXN7L3	0.09075
DBNDD1	0.173
FAIM	0.424
ANKRD36	-1.611
GABRP	-0.0891666666666667
TACSTD2	2.04883333333333
EIF3J	-0.52475
PPP2R2A	-0.4935
TEKT4	-0.188166666666667
PVALB	-4.013
F10	-1.58583333333333
FAM134C	0.5806
COMP	4.986125
EFCBP1	-2.17275
SCLT1	0.169
TAL1	-0.1714
ACSL1	2.8165
ABCC5	-0.163666666666667
ABL1	-0.200888888888889
RBBP7	0.418583333333333
PTPRG	-0.381875
NCOR1	-0.218
SPINK4	1.74483333333333
TXNRD1	-1.6286
TNRC15	0.76325
C9orf138	0.883375
UBE2H	0.377833333333333
BRDT	0.133833333333333
C8orf31	0.07525
CCNE2	-0.132545454545455
SLC6A8	-1.04075
CALCR	-3.533
PPP1CB	0.974166666666667
ABHD8	0.0745
ARF5	0.4641
SLC24A4	0.75325
CCT3	0.2595
ZNF121	-0.648125
SLC3A2	-0.9098
OR13A1	0.359
SLC5A10	-0.73275
RAD50	0.269375
IER5	-0.401125
MTHFD1L	-1.761875
MBTPS2	0.73825
MVK	-0.389
NCL	-0.08
PSMD10	-0.197
MOBP	0.14425
FLJ32894	0.3245
HRH1	0.629166666666667
C5orf30	0.8775
NUDT16L1	1.4367
RASGRP3	3.80383333333333
PRKRIP1	-0.7013
CCDC75	0.356
LOC253970	-0.3395
KIAA1239	0.0546666666666667
MED21	-0.63925
SYT11	0.690083333333333
NTSR2	0.6965
EGFL11	-0.2755
CXorf59	0.971
OR2A25	0.62075
SPTBN2	0.8175
LRMP	-1.0675
RNF111	0.13675
PTH	-0.0485
LOC619208	0.467833333333333
KIAA0895	1.784
RANBP5	-1.150125
P2RY10	1.05766666666667
NME5	2.9135
DDX21	-0.0455
LRSAM1	0.4285
HDAC11	1.161
VMO1	1.14075
NOLA2	-0.478666666666667
ADAR	0.165666666666667
MTO1	-0.807666666666667
SF4	0.304333333333333
P2RX1	0.257333333333333
HBM	0.2665
EN2	-0.1225
C14orf172	0.1945
TM9SF2	0.6267
INHBE	-0.436666666666667
TCTE3	0.347166666666667
TOX2	-2.59875
CTAGE3	0.523875
HBB	3.8629
MED15	-0.758
CASR	0.57975
C6orf66	-1.39183333333333
MTPN	-0.467375
UNC50	-0.34225
C21orf33	0.915375
IRF2	1.143125
PGR	2.25716666666667
GPR84	1.91725
CROCCL1	-2.77925
SRPX	0.122
BRE	0.417166666666667
FGF10	0.279
SDC3	0.9545
ZRSR1	0.552
DKFZP434P211	-0.48775
SOX6	0.078
RPUSD2	-0.41
C14orf173	-0.427416666666667
MAPK11	-0.208166666666667
TBC1D22A	0.526
FAM123A	-0.121
COL4A6	-2.96883333333333
TOMM70A	0.46225
NAB1	-0.3935
MGC16385	-0.113625
TSPAN18	0.137333333333333
MED31	-0.30625
PLG	-1.1695
CAPSL	1.718
ZNF532	1.4265
ASB14	0.00925000000000001
CA8	-2.32525
NUDT16P	-0.059
SLFN11	-0.2395
LRRIQ2	-0.53225
NOL7	-0.695666666666667
BRMS1L	-0.304
JARID1A	-0.0716666666666667
PANK2	-0.304
ICAM3	-0.50675
MDS1	0.97825
TAF8	-0.32725
RNF139	1.825
ZNF594	-0.7295
ADAM8	1.578375
SFTPC	-0.1505
MAN2B2	1.28725
RGS12	0.4326875
EIF1AY	-4.01709090909091
LRRIQ1	-1.34266666666667
GPR150	0.256
CCDC21	-0.860166666666667
PRRG3	0.63225
SAA4	-1.801
RAPGEF5	0.5985
ZCCHC2	-0.136
MGC39372	-0.209
PPP4R2	0.409333333333333
CDCA2	-1.96583333333333
OR4D5	0.34
PTGFRN	1.4606
SIGLEC5	1.88066666666667
C19orf61	-0.459166666666667
NMUR2	0.597
KIAA1586	-0.699666666666667
DAGLA	0.076
CHCHD6	-0.61275
GPR32	0.996
NEUROD6	0.278333333333333
SLC2A4RG	0.628875
CA5B	0.488
FBXL3	1.2225
MPHOSPH9	-1.18875
HMG2L1	-0.21375
HCN4	-0.0651666666666667
CEACAM19	0.8615
SH2D4B	0.137666666666667
HFE2	-0.8945
TGM4	0.2432
LYPD2	0.08125
TBC1D15	0.262
MRPS21	-0.449
NONO	-0.4073
CLEC5A	1.227125
ITCH	0.199
MGAT3	-0.348166666666667
MBP	-0.1855
RPP25	0.00425
SOSTDC1	-2.77625
HRC	-0.74575
TRIM48	0.0165
TMEM133	0.03275
ECEL1P2	-1.2985
HOXC11	1.242
DOK5	0.57625
HELZ	0.106666666666667
LOC348180	-1.00675
MGC33894	0.27725
ADRB3	0.366
DMD	0.189
PTRH2	-0.68375
MPEG1	3.07766666666667
NDUFA12	-0.4855
KRTAP2-4	0.126666666666667
STAMBPL1	-0.701666666666667
ADCY2	0.390666666666667
UNQ6125	0.755
KLHL20	0.402666666666667
SRM	-0.5775
OTC	0.66425
TMIE	-0.189
SNX8	0.41
LIPK	-0.352
CHURC1	-0.63625
KLC2	0.269333333333333
HDAC1	-0.8445
FAM128A	-0.108
FNDC3B	-0.5264
MTCP1	-0.26
WFDC10B	0.0551
PCDHGB3	-0.6215
ATRNL1	-1.0049
CAV2	0.50975
MED26	-0.0135
DUS1L	0.3645
CHRM3	-1.831375
NEK9	0.68775
WARS2	0.182
TBX22	0.4715
TOMM40	-0.9235
RP6-213H19.1	-2.52166666666667
TUBGCP5	-0.508
IGSF6	5.0635
TPPP	0.419
UNQ6190	-0.4605
GSTM5	1.1995
BTD	0.725666666666667
PDCD1LG2	0.409666666666667
SNRPB2	-0.3125
ERICH1	-0.935875
APOA4	-1.544
HOXA11	-1.02866666666667
NARG1	0.052125
MKX	4.40375
RAB28	0.137857142857143
PKP3	0.55475
SH3GL2	-2.34425
CTSO	2.91375
RPN2	0.1253125
IL28RA	-0.366833333333333
SFMBT1	0.7435
WDR57	-0.064625
FER1L3	0.822333333333333
HSF5	0.102666666666667
TTC9B	0.3015
C4BPA	-3.869
ALB	-4.06
SORBS3	-0.580375
UPF2	0.186
JPH1	-0.28
AGBL2	-1.9285
DOPEY1	1.58
TERF1	-0.02175
KIF22	-0.429333333333333
NINJ1	1.07425
SEC61A2	-0.267666666666667
HIST1H1D	-1.0615
SFXN4	0.261125
UCP3	-0.1739
ZNF703	0.666166666666667
MYL6B	-0.5265
TREM1	1.53125
OR52E6	0.3105
CKMT2	1.88625
HLA-C	1.936875
SLC13A3	-1.18633333333333
TIMP4	1.11225
SLIT2	3.2325
RSF1	0.3625
LONRF1	-1.03921428571429
MON1A	-0.766333333333333
CACNG6	-1.8085
DPPA4	-4.65166666666667
ZSWIM3	0.208
ZNF804A	0.2256
CCIN	1.2485
SLC25A31	0.07375
KCNMB4	-0.113
RABL5	0.09075
GALNS	-0.6913
STX6	1.267
HIST1H1C	-1.84483333333333
CIDEB	-0.83975
CASP4	0.0181666666666666
PDK3	-0.1223
KCNJ11	1.1395
TPR	-0.4655
ZSCAN20	-0.475
MTX2	0.25
HIST1H2BH	-0.61275
LOC283767	0.33625
LYRM7	-1.59611111111111
BRD3	0.649333333333333
HIST1H2BO	-0.71175
MAGEB10	0.779
SLC45A1	0.3705
SERPINA3	-0.5677
KIAA0143	1.6805
KCNJ16	0.475166666666667
KRT79	0.519
FABP2	-0.397
NUT	0.178333333333333
ZNF57	-1.0715
FBXL4	1.047625
CLEC9A	-0.1825
UGT8	-1.14566666666667
BMP2K	0.468
MAPK4	-2.87225
SLC25A23	-1.1968
HINT1	-0.7297
KRTAP13-1	0.1095
SFXN5	0.2086
CHCHD2	0.649833333333333
FAM3D	0.5795
NDP	-1.25975
RHOBTB1	0.664333333333333
SLC4A4	-0.311875
RPL38	-0.03275
HTF9C	0.497833333333333
AP2A2	0.2125
ZBTB46	-0.4555
MAP7D1	0.26975
AOX1	-0.0703333333333333
CYR61	1.62783333333333
DTNA	-1.01957142857143
JRKL	0.1755
TMOD3	-0.34375
EEA1	0.4143
ADCK5	1.15575
IL1R1	3.132
KLK3	0.242142857142857
HRSP12	0.14725
KTN1	-0.11125
LOH11CR2A	1.8077
RELL2	-1.518
MAB21L1	0.7705
C20orf59	-0.810166666666667
PHKB	0.009
ADAM2	-1.6575
TBC1D8B	1.84833333333333
FAM13A1	-0.9023125
LAPTM4B	1.50333333333333
LCN8	-0.2165
TMEM147	0.322
SYT4	0.378833333333333
XPO7	-1.5295
C9orf62	-0.66375
GPR75	-0.069
TRIM5	-0.428375
APOC1	1.46216666666667
RNASE4	0.9545
PARD6B	-1.42425
ARID1A	0.280666666666667
TPD52L3	0.254777777777778
RRAGB	1.05616666666667
RCN2	-0.885666666666667
HIST2H2BE	-0.1094375
STARD7	0.000750000000000008
SHMT2	-0.82125
KIAA1751	-0.0612
MLYCD	-0.068625
LOC162632	-0.7442
UQCRH	-1.3355
RP11-217H1.1	0.3459375
SDHA	-1.03766666666667
NCLN	-0.6447
ZNF17	0.633333333333333
RCBTB2	-1.059
VEGFB	0.0524
RP4-747L4.3	-0.473
COLQ	-0.131
MPN2	-0.684666666666667
DRG2	-0.58825
KLRB1	4.732
ALPK2	-2.515
DNASE2B	0.48575
FLJ23834	-0.526833333333333
AXUD1	1.5595
SAFB	-0.4425
NSUN4	0.089
RFX2	0.326833333333333
MAPK8IP1	-0.184
FANCD2	-1.18121428571429
ANKZF1	-1.65033333333333
C19orf50	-0.43725
DUSP8	0.46675
SENP5	0.158125
NFKBIL2	0.62925
LBR	-1.020125
IGFL1	-0.2975
LZTS2	0.26775
IL2RG	-0.015125
CCDC51	0.336
KLF3	0.6145
ANKRD37	-1.3105
KCTD14	-1.67533333333333
FZR1	-0.186833333333333
SLC44A4	3.5412
ESPL1	-1.131875
GMPR2	-0.3337
TBC1D19	-0.388333333333333
ERGIC1	0.778074074074074
ERBB4	2.2812
TSPAN32	0.61375
MAP4	-0.15775
GPHN	0.00475000000000002
SLC6A2	0.3805
HIVEP1	0.901
DFFB	-0.4805
EIF4EBP2	0.959125
DMRT1	-0.46125
HSPB6	0.8245
IER2	-0.12
AIFM1	0.27
WWC2	0.296
MRPL4	-0.8915
FLJ21062	0.2405
EPB41L4A	1.07416666666667
SH2D6	0.582
TAF4B	-0.782
GAL3ST3	0.0845
MALT1	-0.912333333333333
RTDR1	0.63475
ARVCF	0.703
MEX3B	-0.8185
FBXO16	0.54325
KIF7	-0.86425
C1QC	4.00733333333333
ZNF783	-0.596666666666667
ZNF85	-1.14075
MMP13	3.2255
KIAA0329	0.443714285714286
RTP3	-0.471
ZBED3	-0.00425
CLGN	-1.28725
SLC25A37	-2.061125
hCG_18290	-0.5145
OR5AS1	0.666
SMARCC2	0.248333333333333
FAM109A	0.191166666666667
CCDC12	-0.1175
USF2	0.3127
DEPDC7	-1.43575
C20orf24	-0.5045
JMJD3	0.4265
DSP	0.802785714285714
SLIC1	0.354
FAM20A	1.872875
IRF2BP2	0.266625
ZNF230	-0.702
