Hybridization REF	TCGA-BH-A0BG-01A-11R-A115-07
ALDOC	-0.993375
ZNF212	-0.722
NUDT1	-1.15533333333333
RFPL2	-1.624
ZNF83	0.0005
GDPD5	0.489625
PDCD4	1.34065
CEP350	0.75175
OR10A2	0.58775
CST7	1.808
CIAO1	-0.46275
SELL	2.542625
OR8J3	0.17
LTBP4	-0.00816666666666667
SIRT6	-0.4155
CCL19	4.14975
PPIL1	-0.7465
GBP7	0.644833333333333
STK17A	-0.1463
ABR	-1.28825
OR9G1	0.3215
FOXE1	-0.856375
CNGA3	-0.6025
GML	0.3565
CD38	-0.74975
ZDHHC6	-0.484333333333333
NEFH	0.5645
CTDSP2	0.642666666666667
PGBD5	-0.1
CCNY	1.01657142857143
RMND5B	-0.355166666666667
ZNF257	-2.79525
FLJ22167	-0.261375
EXOSC7	-0.976833333333333
ROR2	1.0185
MAOA	-1.01525
TNNT3	0.0935
GYPC	-0.61525
C7orf33	1.367
PLIN	3.307
LOC90826	-0.56225
RNF4	0.1471
F8A1	0.517833333333333
PLEKHG4	0.03075
GRB2	0.34905
HIST1H2AD	0.6555
DUS3L	-0.493166666666667
EIF1	-0.518
RP5-1077B9.4	-0.762833333333333
FPGT	1.54075
GDF10	-0.31
COQ9	0.1905
GCC2	0.660785714285714
RARRES3	2.08125
PLXNA1	-0.3245
KIAA0100	0.1303
PMF1	-0.32175
FNDC1	4.9425
HS2ST1	0.485583333333333
CRELD2	1.054
C8G	-1.2185
CD82	1.06675
LIM2	-1.144
UNQ6490	-0.076
MMP16	-0.519
DRD3	0.019
C5orf26	-0.74675
C11orf73	0.00624999999999998
PTP4A2	-0.22725
OR4M2	0.24
HPCA	-0.650666666666667
SEC14L1	-0.4945
CHFR	-0.075875
EMILIN1	0.842875
NDUFS4	-1.28
COL18A1	-0.4135
PDZD3	-0.0592
C9orf16	-0.0668333333333333
ERBB2IP	0.170333333333333
EMX2	2.24425
FUS	-1.06825
TF	-3.1219
CLCN4	3.2635
CXorf56	0.50375
C11orf72	0.485
ELAC2	-0.1815
NPR1	-0.257
ASS1	-0.0953333333333333
USP42	-0.053375
POLR2J	-0.549
SEC23IP	0.426833333333333
UQCRC1	-0.16075
LOC729603	-0.772
C1orf71	0.05375
POLG	-1.6065
ADAM23	-2.97025
TFR2	-1.3305
RICTOR	-1.0051
MGC39606	1.07775
C19orf55	-0.20925
SNAPC1	-0.472
GNA11	0.246375
CCDC52	-1.40283333333333
FSIP1	-1.1685
UPF3A	-0.03625
IGSF11	-0.985166666666667
LAGE3	-0.64725
CHST6	0.905
UNC13B	0.628
TTLL4	1.362125
ZNF687	0.250875
SDC2	0.1881
COX7A2	-0.448
LAMB4	-0.413
FAM24A	-0.0925
LRRTM3	-1.33316666666667
GPHB5	-0.249
OR4C13	0.255
EIF3EIP	0.624071428571428
HABP4	-0.3445
TMEM125	3.781
CNTN2	0.162125
ASNSD1	0.4325
FUT4	0.51075
ACF	-3.56875
LOC158381	0.4855
CDH8	0.855
AGPS	-0.507666666666667
C4orf18	0.655125
PECI	-0.584916666666667
UNG	-0.50975
GSTP1	0.3525
DCUN1D5	-1.9005
DKFZP564J0863	-0.2265
SLC9A3R1	-0.964125
BCDO2	-0.897875
CHMP7	-0.179
REM2	0.162
DNHD1	-0.504875
FKBP4	-0.853875
ZNF350	1.65575
MGC11102	-0.2505
BST1	0.44775
KISS1R	1.3915
NCR2	0.459
DEFB125	-0.1565
UBE2W	1.1125
KRT15	4.128
C10orf99	0.27
SCN11A	0.218375
GFI1	-1.35075
RDHE2	3.02216666666667
FHL1	-0.763166666666667
OSGEP	-0.3855
GATA1	-2.91333333333333
SMC6	-0.871
TTTY14	-0.99025
LPIN3	-0.113
RPL4	-0.3844
RBPMS	-0.4052
PRPF3	0.0235
EMR1	-1.9545
SPATA19	-0.25575
XCR1	0.025
IRX3	1.7257
RBM6	-1.06775
KLF4	-0.0189
UNC5CL	-0.10225
SEBOX	-0.0545
BTK	-0.16725
KRCC1	0.917
C6orf27	1.3485
SYTL5	-1.295
PRND	1.253875
LOC653319	-1.7
PIGL	-1.617625
HUS1	-1.133
SFRS6	-0.135666666666667
C17orf77	0.2085
UIMC1	-0.758166666666667
FXYD2	-1.5404
LOC283152	-0.097
ZNF667	-1.80475
ZCCHC12	-1.443
TFEC	3.7069
ATP7B	-1.19016666666667
POLD2	-0.977666666666667
RG9MTD1	-0.0655
ACOT2	-1.30433333333333
HIST1H4I	-0.85775
PPARGC1A	-1.1833
ETFA	-0.9393
POLRMT	-0.62575
ZNF146	0.6475
MIA2	-2.2385
KLHL6	-0.6335
HOXB5	-1.508875
NENF	0.999333333333333
CUGBP1	-1.08525
PRSS22	0.959666666666667
CASC4	1.5854
CUL4B	0.2432
CENPJ	-1.0381
PITX1	-0.89
FLJ31033	0.773333333333333
CELSR3	-1.2225
ZNF568	1.002
ITSN1	-0.304166666666667
EHBP1L1	0.375
C19orf2	0.18825
DCTN1	0.95425
LIN28B	-4.26216666666667
TNKS2	0.0235
C1QBP	-0.078375
CADPS2	0.55975
SRMS	0.1655
GJA9	0.556
MGC24975	-1.30116666666667
TRIM45	-1.112
TSP50	0.53025
TCP1	-1.32625
TMED7	0.2603
CMA1	0.6295
CENPL	0.233666666666667
PTCRA	0.1
FST	-3.371
VWCE	-3.81275
PAWR	1.072
ABCC12	0.0948333333333333
LDLR	-1.1131
ASTN2	-0.6871
LOC441212	-0.8975
GPATCH8	-0.078
TANC2	-0.445916666666667
KIF4A	-1.624
C18orf18	1.11275
PGM1	-0.598
KIAA0258	1.23475
CPD	0.59125
SNCAIP	-2.10625
DCT	-3.6655
HLA-DOA	3.49945454545455
OR11L1	0.494
UPK1B	-0.6045
DNAJB4	0.4215
UGT1A8	-0.572
HIST1H4L	0.6795
PECR	-0.949
HSPA2	1.055
WFIKKN1	-3.506
SERP1	0.56975
SYDE2	1.7055
TACR2	0.6995
NUP85	-0.18
CD177	-0.0123333333333333
LGR5	0.645333333333333
PIGG	-0.0175
PTHR1	-2.19933333333333
RAB5A	-0.0683
FLJ13224	0.267
USP9Y	-2.02216666666667
C7orf53	-2.501
LRP1B	0.625
XAF1	3.4056
ABCG8	-0.758
ANKDD1A	0.442
DAND5	-2.2915
SPAG6	1.54433333333333
LINCR	1.79275
ZDHHC22	-1.66675
CCDC60	0.774
THOC7	-1.2975
TCTA	1.2276
OR8K3	0.00775000000000001
NY-REN-7	-0.7335
B2M	1.965
C6orf141	-1.838375
LPPR4	2.143
SQLE	0.423625
SEPHS1	0.072
BTBD14B	0.216214285714286
PLRG1	-0.1735
SPG7	-0.2603125
ZNF614	0.117
PARD6G	0.392833333333333
INPP5B	-0.4425
GRPEL2	-0.716875
PPID	-0.5191
TRIM56	0.16925
UBE2J1	0.390125
IL20RA	1.75475
LOC387856	0.29025
C1orf107	1.77358333333333
UTS2R	1.39725
C19orf22	-0.19775
SAFB2	0.164625
KIAA0652	0.929125
KLRG1	0.426333333333333
MS4A8B	0.1498
FRAG1	0.75525
KIAA1546	0.943
E2F4	-0.5095
CLEC4M	0.6015
BTBD14A	-1.138
KIAA0999	0.7026
GYPA	-3.9955
TAC1	0.2253
TRAIP	-1.739
KIAA0232	0.753
ERCC8	-1.712125
GPX4	0.021375
KIAA0368	0.558125
GPR157	-0.881666666666667
CTAGE4	2.0115
C9orf30	-0.816833333333333
OR52A1	0.2495
HSP90B3P	0.036
ALG9	-1.4367
BTBD10	0.8395
SDK2	0.17225
BAIAP3	-0.871
RABGGTB	-1.35325
ANKRD40	-0.206666666666667
KRT74	0.7985
CALCOCO2	-0.0367857142857143
SNCA	-1.672
TMSL8	-2.32475
C2orf53	-0.319
ESRRB	-0.57425
ARHGAP26	-0.1905
TDRD9	0.02875
HRAS	0.204
KLRC4	-1.976
JAGN1	-0.473833333333333
BSDC1	0.152
RNF43	-0.3725
NDUFAF1	-1.27225
PHF12	0.3085
OR1L3	-0.142333333333333
FOLR2	1.481
LYZL6	0.126166666666667
tcag7.1260	-2.129
WSB1	-1.25733333333333
PROS1	0.8291
OSTN	0.292
PSMB8	2.1865
SOCS4	-0.260125
DDIT4L	1.04275
MAS1	-1.337
MGC34796	0.9505
CSHL1	0.4745
TBCCD1	0.17
ZBTB7C	0.1325
AP2S1	-0.624625
P15RS	-0.7248
VAT1	-0.3402
SHANK3	1.5745
TUFM	0.120666666666667
THEG	-1.05625
KRT34	-2.16275
SGSM3	0.505375
TOMM22	0.0215
SOCS3	1.32816666666667
CPO	0.5785
POP4	0.1855
BHLHB3	0.99475
MALL	2.42725
OR1B1	0.2545
PARK2	0.525
GPR124	-0.33325
LCE1E	0.033
RUVBL2	-0.368
CGRRF1	-0.3725
ACPL2	1.637
WNT10B	-1.595625
BAIAP2L2	-1.67075
ISCA1	0.435
C1orf125	-0.500375
RPAP1	-1.656
RAI16	-0.254166666666667
RPL27	-0.453875
NLRP9	0.873
EPN1	0.614
LOC388610	-1.70625
SLC35A1	0.6518
GAL	-3.13475
SLC14A2	0.2215
RDH11	-1.23266666666667
FAM138F	-0.199
AUH	-0.28325
FLJ40243	0.55125
C14orf129	-0.425166666666667
MBD2	-0.313333333333333
ABHD14B	-0.39825
PIGT	-0.670875
ALS2CR4	-0.330875
ALAS1	-0.0427
FOXO1	1.28033333333333
CRLF3	0.823875
C20orf107	-1.1585
FARS2	0.59725
CCDC28A	1.5155
NPHP3	-0.42975
OR13F1	0.231
TSEN54	-0.6465
DEFB106B	0.252
OR8B4	0.336
STH	-1.35025
ZC3H14	-0.568
CBX2	-0.8945
TMEM49	-1.34425
C6orf21	0.5355
FLJ20920	-1.167875
CRTAP	-0.756071428571429
DDX50	0.01075
STYXL1	-0.6815
BLVRB	-0.188833333333333
LOC147650	0.479666666666667
MMP24	0.4625
GRID1	1.38583333333333
BANF1	0.0281666666666667
CTAGEP	0.1495
HMBS	-2.09975
SLC25A24	-0.151166666666667
C14orf50	0.7595
MRO	0.446166666666667
SLC25A15	-0.687
FAM84B	1.1768
TDP1	-1.493
C16orf78	0.119666666666667
C11orf57	-0.8395
RFK	-0.3355
ZFYVE9	-0.379125
STCH	-1.1809
WIBG	-0.6325
LOC283871	-0.726333333333333
GBA2	-0.8079
NDUFB3	-0.398
HSD17B13	-0.66
GRIN3A	2.02916666666667
FMNL1	0.0915
SEPT7	-0.1068
GNLY	4.0285
GRAMD1C	2.21766666666667
ZNF165	0.4265
USP38	0.94
FAM83A	-2.9105
C14orf24	0.651916666666667
ARMCX3	1.29375
ARHGDIB	0.928666666666667
AK1	-0.714375
KIAA1045	0.717
DNAJB13	-0.6005
NEU2	0.5995
HIST1H4B	0.068
FAM20B	0.3681
HES2	-0.438642857142857
FAM73B	-0.8125
LOC388381	-0.22575
INTS7	-0.0838181818181818
AMPH	0.2885
ZNF775	0.24675
UCKL1	-0.751666666666667
C10orf97	0.104
C1orf161	0.0225
ALDH1L1	-0.97875
FLJ39378	-0.203125
SLC23A1	-2.402
RBM4B	0.44375
THAP4	0.724666666666667
OGFRL1	2.2825
KIAA0831	-0.25975
PPP1R15A	0.0111666666666667
C1orf96	-0.0502857142857144
C12orf11	-0.5
BMF	1.00875
MAN1A1	-0.17125
KIAA1600	0.977
NLGN4X	-0.837
ALOX12	-1.611
RB1CC1	1.0472
NEIL2	0.3232
EIF4E	-0.269863636363636
ABHD5	-0.719
EXOC4	-0.076
CIP29	-0.511833333333333
BATF2	3.51975
SLC29A4	-1.075375
HTR4	0.2625
EMB	0.15225
TRAF6	1.18475
LMNB1	-2.12175
FAM19A5	-1.543125
SHE	1.1985
PIK3C2B	0.18725
C15orf15	-0.9904
USP15	0.1062
TCEAL2	0.64775
C5orf39	-0.0776666666666667
PTGER2	0.31175
SLC31A1	-0.7294375
IFT172	0.995
ADAM29	0.01025
GFOD1	0.008
ST7L	0.795666666666667
C15orf26	-3.71425
PKN3	-1.323
CNTD1	1.39283333333333
COMMD1	0.1075
NTRK2	4.39333333333333
FOXN3	0.1525
MFGE8	2.7637
PFKFB2	0.9925
TAS2R4	-0.31475
ENTHD1	1.743
PRMT5	-1.300875
MGC16384	-1.336375
LOC442229	0.0025
TSKU	-0.35275
KRTCAP3	3.85825
PDLIM1	0.7328
KCNS2	0.2675
RNF126	-0.715666666666666
CEP63	0.1965
CLIC4	0.681375
hCG_1990170	5.04525
ACR	1.9797
KLK7	2.14725
ALOX5AP	3.341125
RIPK3	3.50975
TAS2R9	0.282
C19orf18	-0.233
BIRC6	0.3465
ZNF16	1.2155
RFT1	-1.038
SLC8A2	-0.45675
TACC1	0.475625
ITGAD	1.01925
SAMHD1	2.43975
SH3PXD2B	1.1622
EPC2	1.58025
C20orf85	0.376125
ATP13A2	-0.0181666666666667
KRT4	0.612875
CAPNS1	0.42775
MDM2	0.564833333333333
PCDH20	1.83375
KCNK9	0.2715
OR2C1	-0.5265
KLHDC3	-0.198666666666667
IPPK	-0.2795
EFHD2	-0.2545
GALR3	1.39825
NBEA	0.488666666666667
ABCA6	2.1545
CLDN3	2.3015
AKT2	-0.337357142857143
EGFR	-0.3007
RBM16	0.133
ZDHHC3	-0.4128
SLC25A4	-0.666333333333333
CYB5B	-0.464833333333333
CPXM1	-0.6525
NDRG1	1.32369230769231
FLJ43826	0.05625
OR5L2	0.153833333333333
FARP2	0.1511
MRPL46	-0.3645
LDHAL6B	-0.0121666666666667
MAPKAPK3	-0.513833333333333
NCAM2	-4.13
PRKD2	0.892333333333333
ZFP36L1	1.19
CYSLTR1	-0.30425
OR4C3	0.587
HIST1H2AJ	1.1
CCNB2	-1.92311111111111
ZNF10	-0.864375
TMEM175	1.0305
FAM134A	0.700833333333333
TIGD4	0.204
PCNP	0.54925
MGC39715	0.1215
LQK1	-0.8045
CREB1	1.2618
TMPRSS3	-0.3485
C4orf32	-0.454
LAT	-0.69375
KCNA3	0.667
SKIV2L2	-1.19125
ROPN1B	4.38675
tcag7.23	-0.1985
CDT1	-1.91425
ZHX2	1.773125
CD28	-1.939
ZNF624	1.57575
SEPT2	0.42075
SOHLH2	-2.9225
MCOLN3	1.123125
UNQ1945	0.385
MASP2	-1.617
ZNRF3	0.0395
GPATCH3	-0.20375
AGL	0.457
QRICH2	0.5945
PSD4	0.917333333333333
CCNB1IP1	-0.88825
ENPP7	0.12325
OBFC1	-0.13825
KCNG3	-1.60675
C14orf79	-0.06975
ENPEP	0.858
SCT	1.4765
SKI	1.550375
SEC61G	-2.0415
CAPN11	-0.221
ATXN7L3	0.21425
DBNDD1	0.563166666666667
FAIM	0.74225
ANKRD36	-0.169
GABRP	5.25733333333333
TACSTD2	1.30116666666667
EIF3J	-0.68925
PPP2R2A	-1.19825
TEKT4	-0.72
PVALB	-3.3445
F10	-2.50833333333333
FAM134C	0.5039
COMP	3.766
EFCBP1	-1.9646875
SCLT1	1.110375
TAL1	-1.699
ACSL1	2.12525
ABCC5	0.04525
ABL1	-0.870166666666667
RBBP7	-0.32175
PTPRG	-2.0415
NCOR1	0.6415
SPINK4	-2.177
TXNRD1	-0.5934
TNRC15	1.5085
C9orf138	1.490125
UBE2H	0.248666666666667
BRDT	-0.0256666666666667
C8orf31	-0.4275
CCNE2	-1.786
SLC6A8	-1.649875
CALCR	-4.6855
PPP1CB	1.60225
ABHD8	-0.827
ARF5	-0.2408
SLC24A4	1.016
CCT3	0.092
ZNF121	0.530875
SLC3A2	-1.3737
OR13A1	0.3045
SLC5A10	-0.31225
RAD50	-0.542
IER5	0.52625
MTHFD1L	-1.486125
MBTPS2	-0.012
MVK	-0.66825
NCL	0.4615
PSMD10	-0.3285
MOBP	0.06675
FLJ32894	0.7285
HRH1	-1.19766666666667
C5orf30	-0.9815
NUDT16L1	0.3399
RASGRP3	3.87583333333333
PRKRIP1	-0.7295
CCDC75	0.85075
LOC253970	-0.285
KIAA1239	0.0365
MED21	-0.13175
SYT11	0.775166666666667
NTSR2	-0.6975
EGFL11	0.167
CXorf59	0.5975
OR2A25	0.383
SPTBN2	1.00175
LRMP	-1.2155
RNF111	-0.60725
PTH	0.162
LOC619208	1.10533333333333
KIAA0895	0.46925
RANBP5	-0.28375
P2RY10	2.16583333333333
NME5	-1.54616666666667
DDX21	-0.58325
LRSAM1	0.5315
HDAC11	0.506333333333333
VMO1	1.0185
NOLA2	-0.7025
ADAR	1.20433333333333
MTO1	-0.675833333333333
SF4	-0.115
P2RX1	-0.4895
HBM	-0.3475
EN2	1.299
C14orf172	0.24075
TM9SF2	0.245
INHBE	-1.4225
TCTE3	0.0547499999999999
TOX2	-2.55175
CTAGE3	0.43025
HBB	3.631
MED15	-0.650166666666667
CASR	0.6425
C6orf66	-0.2815
MTPN	-0.264125
UNC50	0.0765
C21orf33	-0.712125
IRF2	1.89825
PGR	-2.94883333333333
GPR84	3.5685
CROCCL1	-2.18325
SRPX	-1.658
BRE	0.262166666666667
FGF10	0.4075
SDC3	0.529666666666667
ZRSR1	0.00433333333333333
DKFZP434P211	-0.291125
SOX6	2.212
RPUSD2	-0.694
C14orf173	-0.2835
MAPK11	-0.680166666666667
TBC1D22A	0.7
FAM123A	-0.9195
COL4A6	-3.03866666666667
TOMM70A	0.36425
NAB1	0.868625
MGC16385	0.744125
TSPAN18	0.745166666666667
MED31	-0.65125
PLG	-0.66125
CAPSL	1.414
ZNF532	1.3605
ASB14	0.14425
CA8	0.9595
NUDT16P	2.09016666666667
SLFN11	-1.183
LRRIQ2	0.523625
NOL7	-0.0808333333333334
BRMS1L	-0.305625
JARID1A	1.02433333333333
PANK2	-0.76625
ICAM3	-0.75375
MDS1	-1.19675
TAF8	0.392
RNF139	1.20275
ZNF594	0.593833333333333
ADAM8	2.293375
SFTPC	-0.172625
MAN2B2	1.090125
RGS12	0.4934375
EIF1AY	-4.82125
LRRIQ1	0.553333333333333
GPR150	1.44
CCDC21	-1.34883333333333
PRRG3	1.67475
SAA4	-3.00975
RAPGEF5	1.512125
ZCCHC2	0.33375
MGC39372	0.841
PPP4R2	-0.0978333333333333
CDCA2	0.238833333333333
OR4D5	0.545666666666667
PTGFRN	0.7922
SIGLEC5	2.45983333333333
C19orf61	-0.282166666666667
NMUR2	0.3695
KIAA1586	-0.552333333333333
DAGLA	1.01216666666667
CHCHD6	-0.255
GPR32	0.311
NEUROD6	0.306166666666667
SLC2A4RG	-0.266125
CA5B	0.78725
FBXL3	1.02725
MPHOSPH9	-1.60175
HMG2L1	0.14175
HCN4	0.8365
CEACAM19	0.86
SH2D4B	1.1345
HFE2	-0.6335
TGM4	-0.34375
LYPD2	0.125
TBC1D15	0.63675
MRPS21	-0.3777
NONO	-0.2417
CLEC5A	2.825375
ITCH	0.4449
MGAT3	1.29933333333333
MBP	0.148625
RPP25	0.6555
SOSTDC1	-2.1355
HRC	-2.187
TRIM48	-0.184
TMEM133	-0.70225
ECEL1P2	-1.12125
HOXC11	-0.861
DOK5	1.11
HELZ	0.821
LOC348180	-0.324
MGC33894	0.287
ADRB3	0.177
DMD	0.835166666666667
PTRH2	-0.644
MPEG1	3.1875
NDUFA12	-0.474666666666667
KRTAP2-4	0.0810833333333333
STAMBPL1	-1.06933333333333
ADCY2	2.63066666666667
UNQ6125	0.612
KLHL20	1.08433333333333
SRM	-0.90225
OTC	-0.1785
TMIE	1.041
SNX8	-0.1245
LIPK	-1.002
CHURC1	0.123833333333333
KLC2	0.333666666666667
HDAC1	0.0115
FAM128A	0.280833333333333
FNDC3B	0.2806
MTCP1	0.297333333333333
WFDC10B	-0.0368
PCDHGB3	0.682
ATRNL1	-1.4931
CAV2	-0.26625
MED26	-0.163333333333333
DUS1L	0.4375
CHRM3	0.38275
NEK9	-0.13975
WARS2	0.61
TBX22	-1.7235
TOMM40	-0.4815
RP6-213H19.1	0.129333333333333
TUBGCP5	-0.587
IGSF6	4.80325
TPPP	-0.277666666666667
UNQ6190	0.5305
GSTM5	-0.336625
BTD	-0.282
PDCD1LG2	1.1085
SNRPB2	-0.643
ERICH1	0.07925
APOA4	-1.540875
HOXA11	-2.05675
NARG1	-0.498375
MKX	0.42825
RAB28	-0.3565
PKP3	2.03425
SH3GL2	-1.6205
CTSO	3.91225
RPN2	0.180625
IL28RA	0.888
SFMBT1	-0.03425
WDR57	-0.90725
FER1L3	1.15083333333333
HSF5	0.512833333333333
TTC9B	-0.27375
C4BPA	-2.35633333333333
ALB	-4.19185714285714
SORBS3	0.2765
UPF2	1.596
JPH1	0.278
AGBL2	-0.54075
DOPEY1	1.4875
TERF1	-0.146416666666667
KIF22	-1.123
NINJ1	1.446
SEC61A2	-0.639916666666667
HIST1H1D	-0.260666666666667
SFXN4	-0.492375
UCP3	0.7019
ZNF703	0.341333333333333
MYL6B	-0.6625
TREM1	2.5625
OR52E6	0.7075
CKMT2	1.82275
HLA-C	3.214625
SLC13A3	-2.228
TIMP4	-1.666
SLIT2	1.02925
RSF1	0.605888888888889
LONRF1	-0.562357142857143
MON1A	-0.382833333333333
CACNG6	-1.34833333333333
DPPA4	-4.88566666666667
ZSWIM3	0.0345
ZNF804A	0.15
CCIN	1.65875
SLC25A31	-0.1255
KCNMB4	-1.31125
RABL5	-1.175
GALNS	0.086
STX6	1.9725
HIST1H1C	-0.779
CIDEB	0.082625
CASP4	0.490166666666667
PDK3	0.8205
KCNJ11	0.3935
TPR	0.534625
ZSCAN20	-0.3765
MTX2	-0.13275
HIST1H2BH	0.3445
LOC283767	0.9795
LYRM7	-1.42444444444444
BRD3	0.3765
HIST1H2BO	0.24175
MAGEB10	0.6405
SLC45A1	-0.3445
SERPINA3	0.6655
KIAA0143	2.66425
KCNJ16	-0.0911666666666667
KRT79	-0.21475
FABP2	-0.7535
NUT	-0.481
ZNF57	-1.73225
FBXL4	0.89825
CLEC9A	1.801
UGT8	1.378
BMP2K	0.52425
MAPK4	-2.29075
SLC25A23	-0.9648
HINT1	-0.8415
KRTAP13-1	-0.2385
SFXN5	-0.8947
CHCHD2	-1.0095
FAM3D	2.7145
NDP	-2.851
RHOBTB1	0.0235
SLC4A4	-1.3575
RPL38	0.20675
HTF9C	-0.0883333333333333
AP2A2	0.52225
ZBTB46	-0.039
MAP7D1	0.33525
AOX1	-0.638666666666667
CYR61	1.70041666666667
DTNA	0.0350714285714286
JRKL	2.10625
TMOD3	-0.493
EEA1	0.3138
ADCK5	0.05775
IL1R1	2.6355
KLK3	0.460428571428571
HRSP12	-0.22325
KTN1	0.0565
LOH11CR2A	0.2983
RELL2	-0.9855
MAB21L1	0.47125
C20orf59	-1.16183333333333
PHKB	0.21175
ADAM2	-2.5912
TBC1D8B	2.0245
FAM13A1	0.5893125
LAPTM4B	-0.702916666666667
LCN8	0.048
TMEM147	0.199
SYT4	-0.157
XPO7	-0.607
C9orf62	1.41075
GPR75	0.0405
TRIM5	1.63225
APOC1	-1.4495
RNASE4	-0.816166666666667
PARD6B	-2.774375
ARID1A	0.09025
TPD52L3	0.2196
RRAGB	-0.1485
RCN2	0.204666666666667
HIST2H2BE	0.73025
STARD7	-0.05025
SHMT2	-1.78275
KIAA1751	-0.516166666666667
MLYCD	0.2555
LOC162632	0.2785
UQCRH	-0.68575
RP11-217H1.1	1.2734375
SDHA	-0.9295
NCLN	-0.7104
ZNF17	0.424333333333333
RCBTB2	-1.50625
VEGFB	0.3673
RP4-747L4.3	3.07325
COLQ	-0.2534
MPN2	-0.868833333333333
DRG2	0.008
KLRB1	5.40325
ALPK2	-3.128
DNASE2B	0.223
FLJ23834	-0.291666666666667
AXUD1	-0.0861666666666667
SAFB	0.3092
NSUN4	-0.16875
RFX2	-1.37283333333333
MAPK8IP1	-1.30066666666667
FANCD2	-2.0405
ANKZF1	-1.04166666666667
C19orf50	-0.652625
DUSP8	0.647625
SENP5	-0.46625
NFKBIL2	-0.1765
LBR	-0.136625
IGFL1	0.654
LZTS2	0.967125
IL2RG	0.655125
CCDC51	-0.4615
KLF3	0.760875
ANKRD37	-1.2955
KCTD14	-2.27516666666667
FZR1	-0.000833333333333341
SLC44A4	-1.9202
ESPL1	-0.94875
GMPR2	-1.1485
TBC1D19	-1.46366666666667
ERGIC1	-0.876185185185185
ERBB4	0.8239
TSPAN32	0.843583333333333
MAP4	0.103625
GPHN	-0.367
SLC6A2	1.281125
HIVEP1	0.8945
DFFB	0.4793
EIF4EBP2	0.08675
DMRT1	0.05325
HSPB6	-0.28175
IER2	-0.0896666666666667
AIFM1	-0.19075
WWC2	0.448666666666667
MRPL4	-0.62625
FLJ21062	-0.268833333333333
EPB41L4A	-0.1295
SH2D6	0.15375
TAF4B	2.04425
GAL3ST3	-0.101
MALT1	-0.8075
RTDR1	-0.2165
ARVCF	0.250625
MEX3B	0.01
FBXO16	-0.66725
KIF7	-1.623
C1QC	3.81883333333333
ZNF783	-1.59666666666667
ZNF85	-1.0935
MMP13	2.936
KIAA0329	0.106375
RTP3	4.5795
ZBED3	-0.1515
CLGN	-3.51175
SLC25A37	-0.934291666666667
hCG_18290	-0.621
OR5AS1	0.264
SMARCC2	0.7905
FAM109A	-0.329833333333333
CCDC12	-0.2915
USF2	0.6639
DEPDC7	-1.2715
C20orf24	-0.763166666666667
JMJD3	1.073
DSP	2.16635714285714
SLIC1	1.01125
FAM20A	3.2495
IRF2BP2	0.990875
ZNF230	0.6435
MSN	1.16214285714286
SLC9A5	-1.941
EPDR1	-1.2465
MUSK	0.4035
ZNF434	-0.3885
SMARCD1	-0.544833333333333
ZFP106	-0.759
ZNF347	-2.0843
