Hybridization REF	TCGA-A2-A0CV-01A-31R-A115-07
ABR	0.3915
OR9G1	-0.038
FOXE1	-0.7305
CNGA3	2.9845
GML	-0.172
CD38	-1.7065
ZDHHC6	-0.183166666666667
NEFH	0.41675
CTDSP2	1.2935
PGBD5	-1.4485
CCNY	0.0415
RMND5B	0.388083333333333
ZNF257	-0.75175
FLJ22167	0.274625
EXOSC7	-0.488166666666667
ROR2	1.268875
MAOA	0.340125
TNNT3	1.8755
GYPC	-1.09775
C7orf33	0.8775
PLIN	1.24233333333333
LOC90826	0.18
RNF4	-0.3344
F8A1	-0.169333333333333
PLEKHG4	-1.3585
GRB2	-0.4579
HIST1H2AD	1.3075
DUS3L	-0.578833333333333
EIF1	-0.176333333333333
RP5-1077B9.4	-1.03483333333333
FPGT	1.4035
GDF10	2.50916666666667
COQ9	-0.6345
GCC2	0.122071428571429
RARRES3	2.791
PLXNA1	-0.1406
KIAA0100	-0.6877
PMF1	0.22675
FNDC1	5.15
HS2ST1	-0.236833333333333
CRELD2	-0.0845
C8G	-2.1
CD82	2.156
LIM2	-1.6395
UNQ6490	-0.3875
MMP16	0.6405
DRD3	0.11025
C5orf26	-0.33625
C11orf73	-0.341
PTP4A2	0.53475
OR4M2	-0.3125
HPCA	-1.172
SEC14L1	-0.730333333333333
CHFR	-0.4845
EMILIN1	0.64275
NDUFS4	-0.15075
COL18A1	0.313125
PDZD3	0.0254
C9orf16	-0.282666666666667
ERBB2IP	-0.00100000000000002
EMX2	3.8095
FUS	-1.10325
TF	-3.3227
CLCN4	0.273166666666667
CXorf56	0.56475
C11orf72	-0.1455
ELAC2	-0.937333333333333
NPR1	-0.437
ASS1	-1.68083333333333
USP42	0.485625
POLR2J	-0.8965
SEC23IP	0.4975
UQCRC1	-0.36025
LOC729603	-0.4235
C1orf71	0.235625
POLG	-2.508
ADAM23	-3.5065
TFR2	-1.2775
RICTOR	-0.8884
MGC39606	1.67975
C19orf55	-0.052375
SNAPC1	-0.756
GNA11	1.016875
CCDC52	0.775333333333333
FSIP1	5.804
UPF3A	-0.296625
IGSF11	-2.35416666666667
LAGE3	-0.206
CHST6	-2.341
UNC13B	-0.04925
TTLL4	-0.75925
ZNF687	1.003125
SDC2	-0.4162
COX7A2	-0.811
LAMB4	-0.043
FAM24A	0.466
LRRTM3	-1.2336
GPHB5	0.52025
OR4C13	0.285
EIF3EIP	0.110714285714286
HABP4	0.0045
TMEM125	3.64925
CNTN2	-0.006375
ASNSD1	-0.15775
FUT4	-0.373625
ACF	-3.8165
LOC158381	0.633
CDH8	0.023
AGPS	-0.779166666666667
C4orf18	3.8915
PECI	-0.702833333333333
UNG	-1.13725
GSTP1	-1.23025
DCUN1D5	-1.35366666666667
DKFZP564J0863	-1.069
SLC9A3R1	-0.67925
BCDO2	0.00137500000000001
CHMP7	0.215875
REM2	2.3525
DNHD1	-0.58375
FKBP4	-0.94375
ZNF350	1.38925
MGC11102	-0.306375
BST1	1.7105
KISS1R	0.2105
NCR2	0.8275
DEFB125	0.2605
UBE2W	0.88025
KRT15	2.517625
C10orf99	0.225
SCN11A	-0.032625
GFI1	-1.76975
RDHE2	4.78466666666667
FHL1	-0.608166666666667
OSGEP	-0.147833333333333
GATA1	-3.43416666666667
SMC6	-1.1295
TTTY14	-1.17375
LPIN3	0.14275
RPL4	-0.128
RBPMS	1.0506
PRPF3	-0.458
EMR1	-0.6715
SPATA19	0.323
XCR1	-0.055
IRX3	1.3429
RBM6	-0.675
KLF4	1.1616
UNC5CL	-1.54025
SEBOX	0.1615
BTK	-0.34675
KRCC1	1.21375
C6orf27	0.3165
SYTL5	-0.5955
PRND	3.9045
LOC653319	-1.74
PIGL	-1.447375
HUS1	-0.160833333333333
SFRS6	-1.12416666666667
C17orf77	0.526
UIMC1	-0.250166666666667
FXYD2	-2.0439
LOC283152	1.47525
ZNF667	0.1895
ZCCHC12	-0.63825
TFEC	3.1293
ATP7B	0.143666666666667
POLD2	-0.837833333333333
RG9MTD1	-0.241
ACOT2	-0.194666666666667
HIST1H4I	-0.710875
PPARGC1A	-1.3181
ETFA	-1.108
POLRMT	-0.47175
ZNF146	-0.0135
MIA2	-1.3785
KLHL6	0.0785
HOXB5	-1.619375
NENF	0.759333333333333
CUGBP1	-0.38275
PRSS22	1.47433333333333
CASC4	1.6144
CUL4B	0.3466
CENPJ	-1.5747
PITX1	-1.932
FLJ31033	0.389
CELSR3	-0.927833333333333
ZNF568	0.5665
ITSN1	-0.0720833333333333
EHBP1L1	-0.744333333333333
C19orf2	-0.5245
DCTN1	-0.01675
LIN28B	-4.214
TNKS2	-0.27125
C1QBP	-1.348625
CADPS2	1.8475
SRMS	-0.02775
GJA9	0.549833333333333
MGC24975	-1.01816666666667
TRIM45	-0.0766666666666667
TSP50	0.25575
TCP1	-1.4985
TMED7	0.3307
CMA1	0.9235
CENPL	-1.86883333333333
PTCRA	-0.037
FST	-2.88
VWCE	-3.91225
PAWR	0.35775
ABCC12	0.749833333333333
LDLR	-0.3835
ASTN2	1.092
LOC441212	-0.491375
GPATCH8	-0.071
TANC2	-0.97325
KIF4A	-3.757
C18orf18	-1.19775
PGM1	-1.0975
KIAA0258	0.6595
CPD	0.096125
SNCAIP	1.0255
DCT	-4.21666666666667
HLA-DOA	3.15409090909091
OR11L1	0.0845
UPK1B	-0.791833333333333
DNAJB4	1.093875
UGT1A8	-0.704
HIST1H4L	-2.634
PECR	-1.62783333333333
HSPA2	2.83975
WFIKKN1	-0.375
SERP1	0.929875
SYDE2	1.0765
TACR2	0.616
NUP85	-1.12225
CD177	-0.283333333333333
LGR5	-2.187
PIGG	-0.154
PTHR1	-0.851166666666667
RAB5A	0.7177
FLJ13224	0.283
USP9Y	-2.2668
C7orf53	-0.8235
LRP1B	0.494
XAF1	1.634
ABCG8	-0.1925
ANKDD1A	-0.481
DAND5	-2.6165
SPAG6	1.52983333333333
LINCR	0.92725
ZDHHC22	-1.449125
CCDC60	-1.4175
THOC7	-0.573166666666667
TCTA	0.9194
OR8K3	0.68875
NY-REN-7	-0.90525
B2M	1.45583333333333
C6orf141	-0.622375
LPPR4	3.17
SQLE	-1.57675
SEPHS1	-1.02625
BTBD14B	0.130571428571429
PLRG1	-0.49125
SPG7	-0.9105625
ZNF614	0.007
PARD6G	0.850333333333333
INPP5B	-0.0522
GRPEL2	-0.312
PPID	-0.9763
TRIM56	0.01
UBE2J1	-0.11175
IL20RA	5.436
LOC387856	0.81325
C1orf107	0.955416666666667
UTS2R	0.525
C19orf22	-0.10225
SAFB2	-0.23125
KIAA0652	0.010375
KLRG1	-0.320833333333333
MS4A8B	0.651833333333333
FRAG1	0.55675
KIAA1546	0.092
E2F4	-1.0893
CLEC4M	-0.011
BTBD14A	-1.0685
KIAA0999	1.0556
GYPA	-3.67883333333333
TAC1	3.6812
TRAIP	-1.67783333333333
KIAA0232	0.4393
ERCC8	-1.763625
GPX4	0.456375
KIAA0368	-0.24175
GPR157	-0.967833333333333
CTAGE4	1.3985
C9orf30	-1.08783333333333
OR52A1	0.3305
HSP90B3P	-0.7275
ALG9	-0.6887
BTBD10	0.13625
SDK2	0.04825
BAIAP3	0.21625
RABGGTB	-0.712
ANKRD40	-0.536833333333333
KRT74	0.236
CALCOCO2	-0.234071428571429
SNCA	-2.6245
TMSL8	-3.36325
C2orf53	-0.015
ESRRB	-0.20175
ARHGAP26	0.23425
TDRD9	-2.70475
HRAS	-0.322
KLRC4	-1.6155
JAGN1	-0.389166666666667
BSDC1	0.46775
RNF43	-0.4919
NDUFAF1	0.278
PHF12	0.47025
OR1L3	0.5065
FOLR2	1.48458333333333
LYZL6	-0.197666666666667
tcag7.1260	-1.826
WSB1	-1.30233333333333
PROS1	0.5863
OSTN	0.474
PSMB8	0.49275
SOCS4	-0.383875
DDIT4L	1.30375
MAS1	-0.19
MGC34796	0.46275
CSHL1	0.13
TBCCD1	0.0781666666666666
ZBTB7C	0.0865
AP2S1	-0.795625
P15RS	-0.2043
VAT1	-1.2303
SHANK3	1.22133333333333
TUFM	-0.6735
THEG	-0.745
KRT34	-2.1405
SGSM3	-0.022
TOMM22	-0.66075
SOCS3	2.45733333333333
CPO	0.5745
POP4	0.068
BHLHB3	2.15675
MALL	2.01825
OR1B1	0.58
PARK2	0.736
GPR124	1.21425
LCE1E	0.3875
RUVBL2	-0.69875
CGRRF1	0.8936
ACPL2	0.909
WNT10B	-2.177
BAIAP2L2	-2.508375
ISCA1	0.4005
C1orf125	0.39625
RPAP1	-0.44075
RAI16	0.577333333333333
RPL27	-0.308875
NLRP9	0.455
EPN1	0.3465
LOC388610	-0.2655
SLC35A1	0.2924
GAL	-4.37375
SLC14A2	0.10775
RDH11	-1.22933333333333
FAM138F	-0.0485
AUH	0.86
FLJ40243	0.771
C14orf129	0.0883333333333333
MBD2	-0.655166666666667
ABHD14B	0.583375
PIGT	0.365875
ALS2CR4	-0.208625
ALAS1	0.2249
FOXO1	1.65933333333333
CRLF3	-0.305875
C20orf107	-0.539
FARS2	0.49825
CCDC28A	0.9495
NPHP3	-0.525
OR13F1	0.5275
TSEN54	-0.5685
DEFB106B	0.3205
OR8B4	0.2365
STH	0.80075
ZC3H14	-0.43125
CBX2	-0.434
TMEM49	-1.3975
C6orf21	0.71
FLJ20920	1.37725
CRTAP	0.509214285714286
DDX50	-0.06325
STYXL1	0.58625
BLVRB	-0.985333333333333
LOC147650	0.8095
MMP24	0.2455
GRID1	2.97483333333333
BANF1	-0.504166666666667
CTAGEP	0.3925
HMBS	-2.6545
SLC25A24	0.7135
C14orf50	2.8345
MRO	0.022
SLC25A15	-1.2155
FAM84B	1.563
TDP1	-0.35
C16orf78	-0.105333333333333
C11orf57	0.3235
RFK	-0.004125
ZFYVE9	-0.503875
STCH	-1.1048
WIBG	0.531
LOC283871	-1.489
GBA2	-0.3084
NDUFB3	-0.7175
HSD17B13	-0.62325
GRIN3A	0.607
FMNL1	-0.245
SEPT7	-0.3467
GNLY	2.9965
GRAMD1C	0.865166666666667
ZNF165	-0.08875
USP38	0.50225
FAM83A	-3.39833333333333
C14orf24	0.616833333333333
ARMCX3	1.493
ARHGDIB	1.216
AK1	-0.02675
KIAA1045	0.27725
DNAJB13	-0.296333333333333
NEU2	0.7085
HIST1H4B	-1.2865
FAM20B	-0.4585
HES2	0.814428571428572
FAM73B	-0.2217
LOC388381	0.27625
INTS7	-0.443090909090909
AMPH	1.70775
ZNF775	-0.063375
UCKL1	-0.457833333333333
C10orf97	0.30475
C1orf161	-0.634
ALDH1L1	-0.8035
FLJ39378	0.009625
SLC23A1	-2.574
RBM4B	0.11225
THAP4	0.0436666666666667
OGFRL1	1.3115
KIAA0831	0.239875
PPP1R15A	1.36266666666667
C1orf96	-0.223428571428571
C12orf11	-1.85125
BMF	0.8465
MAN1A1	1.1205
KIAA1600	0.764833333333333
NLGN4X	0.17825
ALOX12	-1.10316666666667
RB1CC1	0.3895
NEIL2	0.9887
EIF4E	-0.491
ABHD5	0.19775
EXOC4	0.403166666666667
CIP29	-0.919333333333333
BATF2	0.156
SLC29A4	-0.84825
HTR4	0.6455
EMB	-0.806
TRAF6	0.88525
LMNB1	-4.69225
FAM19A5	-1.31
SHE	2.099
PIK3C2B	0.8265
C15orf15	-0.00909999999999999
USP15	-0.334
TCEAL2	2.274
C5orf39	-0.7005
PTGER2	-1.64375
SLC31A1	-0.2661875
IFT172	1.176
ADAM29	0.13275
GFOD1	-1.2665
ST7L	1.04766666666667
C15orf26	-1.597
PKN3	0.63675
CNTD1	1.8605
COMMD1	0.21775
NTRK2	3.83316666666667
FOXN3	-0.0615
MFGE8	0.2171
PFKFB2	0.229666666666667
TAS2R4	-0.3155
ENTHD1	-0.196166666666667
PRMT5	-0.95475
MGC16384	-1.619
LOC442229	-0.76175
TSKU	-0.417375
KRTCAP3	2.22525
PDLIM1	0.7875
KCNS2	0.514
RNF126	-0.536
CEP63	0.39175
CLIC4	0.208625
hCG_1990170	1.27225
ACR	0.9179
KLK7	3.82725
ALOX5AP	3.524375
RIPK3	3.2615
TAS2R9	0.416
C19orf18	1.3435
BIRC6	-0.543142857142857
ZNF16	1.043
RFT1	-0.106
SLC8A2	0.163
TACC1	0.238875
ITGAD	1.3895
SAMHD1	1.11175
SH3PXD2B	1.2471
EPC2	1.10025
C20orf85	5.309875
ATP13A2	0.294166666666667
KRT4	1.261875
CAPNS1	0.41425
MDM2	-0.397416666666667
PCDH20	2.5535
KCNK9	-0.016
OR2C1	0.14
KLHDC3	-0.840833333333333
IPPK	1.462
EFHD2	-0.614875
GALR3	0.36725
NBEA	0.436666666666667
ABCA6	3.2662
CLDN3	2.051
AKT2	-0.547785714285714
EGFR	-0.5666
RBM16	0.204125
ZDHHC3	0.4445
SLC25A4	-0.642333333333333
CYB5B	-1.11416666666667
CPXM1	1.19325
NDRG1	-1.31530769230769
FLJ43826	0.25475
OR5L2	-0.165333333333333
FARP2	0.1173
MRPL46	-0.542333333333333
LDHAL6B	-0.3806
MAPKAPK3	0.067
NCAM2	2.92875
PRKD2	0.706833333333333
ZFP36L1	1.6879
CYSLTR1	-0.01275
OR4C3	0.4215
HIST1H2AJ	0.7555
CCNB2	-3.68511111111111
ZNF10	0.074125
TMEM175	0.1395
FAM134A	0.484
TIGD4	0.4075
PCNP	0.13775
MGC39715	0.1745
LQK1	-2.86875
CREB1	0.5503
TMPRSS3	0.9355
C4orf32	1.1455
LAT	-1.39066666666667
KCNA3	-0.0375
SKIV2L2	-0.691
ROPN1B	1.31025
tcag7.23	0.627
CDT1	-3.0935
ZHX2	1.45775
CD28	-2.72625
ZNF624	1.10125
SEPT2	-0.168583333333333
SOHLH2	-2.5265
MCOLN3	-0.89825
UNQ1945	0.259
MASP2	-1.4465
ZNRF3	0.0904
GPATCH3	-0.212
AGL	0.50375
QRICH2	-0.3625
PSD4	0.930166666666667
CCNB1IP1	-1.491
ENPP7	0.03775
OBFC1	0.28575
KCNG3	-2.16925
C14orf79	1.39958333333333
ENPEP	2.39033333333333
SCT	1.2205
SKI	0.345375
SEC61G	-1.09425
CAPN11	0.93475
ATXN7L3	-0.47625
DBNDD1	-0.356666666666667
FAIM	0.712
ANKRD36	-0.764
GABRP	3.80433333333333
TACSTD2	2.1465
EIF3J	-0.212
PPP2R2A	-0.081
TEKT4	0.7985
PVALB	-3.60883333333333
F10	-2.22433333333333
FAM134C	0.4605
COMP	4.259625
EFCBP1	-1.8184375
SCLT1	0.78825
TAL1	-1.1441
ACSL1	0.17475
ABCC5	0.155
ABL1	-0.325055555555555
RBBP7	-0.354416666666667
PTPRG	-0.785625
NCOR1	-0.1342
SPINK4	-0.0963333333333333
TXNRD1	-1.2991
TNRC15	0.23625
C9orf138	1.50075
UBE2H	1.59333333333333
BRDT	0.124333333333333
C8orf31	0.07125
CCNE2	-2.24081818181818
SLC6A8	-1.207875
CALCR	-3.6255
PPP1CB	0.32025
ABHD8	-0.267
ARF5	0.3165
SLC24A4	0.73225
CCT3	-0.57725
ZNF121	0.271
SLC3A2	-1.1882
OR13A1	0.251
SLC5A10	-0.51425
RAD50	0.038375
IER5	0.686875
MTHFD1L	-2.381875
MBTPS2	-0.1085
MVK	-0.819625
NCL	-0.8863
PSMD10	0.0815
MOBP	-0.109625
FLJ32894	0.6045
HRH1	-0.182166666666667
C5orf30	-0.31425
NUDT16L1	0.7191
RASGRP3	3.92066666666667
PRKRIP1	-0.0783
CCDC75	-0.408
LOC253970	-0.262
KIAA1239	-0.39575
MED21	0.1475
SYT11	1.04533333333333
NTSR2	-0.268
EGFL11	0.136
CXorf59	-0.004
OR2A25	-0.033
SPTBN2	-1.92625
LRMP	-0.861166666666667
RNF111	0.497
PTH	0.069
LOC619208	1.06816666666667
KIAA0895	1.56425
RANBP5	-1.38725
P2RY10	2.06183333333333
NME5	4.93933333333333
DDX21	-0.837
LRSAM1	0.792
HDAC11	1.16666666666667
VMO1	2.051
NOLA2	-0.437333333333333
ADAR	1.02608333333333
MTO1	-0.947
SF4	-0.000166666666666685
P2RX1	-0.1965
HBM	-0.39475
EN2	0.0855
C14orf172	-0.40125
TM9SF2	0.0058
INHBE	-0.836
TCTE3	-0.135333333333333
TOX2	-2.575
CTAGE3	0.38175
HBB	3.273
MED15	-0.780833333333333
CASR	0.4835
C6orf66	-1.21033333333333
MTPN	-0.36325
UNC50	-0.1155
C21orf33	-0.315875
IRF2	1.139
PGR	2.623
GPR84	1.8615
CROCCL1	-1.846
SRPX	-0.83975
BRE	0.2845
FGF10	5.051
SDC3	1.13
ZRSR1	0.481666666666667
DKFZP434P211	0.02225
SOX6	0.473
RPUSD2	-0.034
C14orf173	-0.62825
MAPK11	-0.0205
TBC1D22A	0.2275
FAM123A	-0.7605
COL4A6	-1.29233333333333
TOMM70A	-0.1765
NAB1	-0.011875
MGC16385	-0.863875
TSPAN18	-0.0055
MED31	-0.3385
PLG	-0.19025
CAPSL	4.777
ZNF532	0.7736
ASB14	-0.29175
CA8	0.75575
NUDT16P	2.33216666666667
SLFN11	-0.2945
LRRIQ2	0.19325
NOL7	-0.814166666666667
BRMS1L	-0.5835
JARID1A	0.331166666666667
PANK2	-0.53125
ICAM3	-0.4555
MDS1	-0.616
TAF8	-0.44125
RNF139	0.89825
ZNF594	-0.458333333333333
ADAM8	1.116875
SFTPC	-0.06025
MAN2B2	0.9665
RGS12	0.39975
EIF1AY	-4.67475
LRRIQ1	1.6195
GPR150	0.465
CCDC21	-1.46383333333333
PRRG3	0.72125
SAA4	-2.9945
RAPGEF5	2.121375
ZCCHC2	0.236916666666667
MGC39372	1.5
PPP4R2	0.541166666666667
CDCA2	-2.64
OR4D5	0.437333333333333
PTGFRN	0.9899
SIGLEC5	2.23483333333333
C19orf61	-0.4405
NMUR2	0.0555
KIAA1586	-0.8405
DAGLA	0.1795
CHCHD6	-0.3885
GPR32	0.877
NEUROD6	0.0618333333333334
SLC2A4RG	0.181875
CA5B	0.0387500000000001
FBXL3	2.03375
MPHOSPH9	-1.28925
HMG2L1	0.06975
HCN4	0.0346666666666667
CEACAM19	-0.171
SH2D4B	0.593
HFE2	-0.708
TGM4	0.231
LYPD2	-0.02675
TBC1D15	0.318
MRPS21	0.1461
NONO	-0.4418
CLEC5A	2.27325
ITCH	-0.0393
MGAT3	-0.37
MBP	-0.112875
RPP25	-1.90025
SOSTDC1	1.8935
HRC	-0.6285
TRIM48	0.0855
TMEM133	1.0595
ECEL1P2	-1.72725
HOXC11	0.8775
DOK5	0.392
HELZ	-0.1675
LOC348180	-0.8535
MGC33894	0.20525
ADRB3	0.4265
DMD	0.439083333333333
PTRH2	-0.9665
MPEG1	3.20166666666667
NDUFA12	-0.2525
KRTAP2-4	-0.110916666666667
STAMBPL1	-0.893833333333333
ADCY2	-0.0206666666666667
UNQ6125	-0.042
KLHL20	0.1845
SRM	-1.08125
OTC	0.0165
TMIE	0.0943333333333333
SNX8	-0.42475
LIPK	0.1315
CHURC1	0.0349166666666667
KLC2	0.0288333333333333
HDAC1	-0.348333333333333
FAM128A	-0.237666666666667
FNDC3B	-0.292
MTCP1	-0.396833333333333
WFDC10B	-0.4718
PCDHGB3	0.0145
ATRNL1	-2.5938
CAV2	0.51125
MED26	0.103166666666667
DUS1L	-0.27725
CHRM3	-1.572875
NEK9	0.48875
WARS2	0.1195
TBX22	-0.047
TOMM40	-1.1165
RP6-213H19.1	-1.64633333333333
TUBGCP5	-0.39025
IGSF6	4.851
TPPP	2.47066666666667
UNQ6190	0.0885
GSTM5	2.324625
BTD	1.46883333333333
PDCD1LG2	0.314333333333333
SNRPB2	-0.427666666666667
ERICH1	0.5675
APOA4	-1.45275
HOXA11	-1.4675
NARG1	-0.96775
MKX	2.8865
RAB28	-0.251142857142857
PKP3	0.9445
SH3GL2	-1.6705
CTSO	3.1845
RPN2	-0.277875
IL28RA	1.09083333333333
SFMBT1	0.56275
WDR57	-1.567625
FER1L3	1.31558333333333
HSF5	0.3575
TTC9B	-0.12075
C4BPA	-0.345
ALB	-4.63714285714286
SORBS3	0.807625
UPF2	0.0065
JPH1	0.505
AGBL2	0.1475
DOPEY1	1.5545
TERF1	0.439166666666667
KIF22	-0.944166666666667
NINJ1	1.549
SEC61A2	-0.88375
HIST1H1D	-0.734666666666667
SFXN4	-0.66325
UCP3	-0.0363
ZNF703	0.848666666666667
MYL6B	-0.79075
TREM1	2.459
OR52E6	0.035
CKMT2	1.69625
HLA-C	1.560375
SLC13A3	-1.0095
TIMP4	-2.43825
SLIT2	3.05525
RSF1	0.2745
LONRF1	0.156071428571429
MON1A	-0.0811666666666667
CACNG6	-1.374
DPPA4	-5.69983333333333
ZSWIM3	-0.5
ZNF804A	0.565
CCIN	1.474
SLC25A31	0.331
KCNMB4	-0.0115
RABL5	1.313875
GALNS	-0.7264
STX6	0.637375
HIST1H1C	0.0793333333333333
CIDEB	0.628
CASP4	0.265
PDK3	-0.0523
KCNJ11	1.6365
TPR	-0.242
ZSCAN20	-0.091
MTX2	-0.80775
HIST1H2BH	0.597
LOC283767	0.0075
LYRM7	-1.07866666666667
BRD3	-0.205
HIST1H2BO	0.5955
MAGEB10	0.544
SLC45A1	2.14375
SERPINA3	2.04195
KIAA0143	0.8705
KCNJ16	2.16383333333333
KRT79	0.08875
FABP2	-0.883
NUT	-0.233
ZNF57	-0.38475
FBXL4	0.40875
CLEC9A	3.689
UGT8	-0.956833333333333
BMP2K	0.12275
MAPK4	-2.954
SLC25A23	-0.8022
HINT1	-0.3362
KRTAP13-1	0.3365
SFXN5	-0.3346
CHCHD2	-0.363916666666667
FAM3D	2.8205
NDP	-1.1045
RHOBTB1	0.1855
SLC4A4	-1.192625
RPL38	0.15925
HTF9C	-0.810166666666667
AP2A2	0.34875
ZBTB46	-0.301
MAP7D1	0.091375
AOX1	-0.807166666666667
CYR61	2.81558333333333
DTNA	0.968142857142857
JRKL	-0.389
TMOD3	0.29225
EEA1	0.092
ADCK5	-0.4115
IL1R1	1.11716666666667
KLK3	0.4375
HRSP12	-0.47275
KTN1	0.1205
LOH11CR2A	1.1581
RELL2	-1.3005
MAB21L1	2.49675
C20orf59	-0.777166666666667
PHKB	-0.37
ADAM2	-2.1364
TBC1D8B	2.322
FAM13A1	-0.7984375
LAPTM4B	-1.94066666666667
LCN8	0.024
TMEM147	0.247
SYT4	0.251
XPO7	-0.3895
C9orf62	0.4795
GPR75	0.1755
TRIM5	0.245375
APOC1	0.38
RNASE4	1.63816666666667
PARD6B	-0.442
ARID1A	0.08275
TPD52L3	0.0716666666666667
RRAGB	1.32033333333333
RCN2	-0.546833333333333
HIST2H2BE	0.7439375
STARD7	-0.879
SHMT2	-1.649
KIAA1751	-0.1425
MLYCD	0.12475
LOC162632	-1.5079
UQCRH	-1.33325
RP11-217H1.1	0.405375
SDHA	-1.01933333333333
NCLN	-0.9745
ZNF17	0.627833333333333
RCBTB2	-0.904
VEGFB	-0.0546
RP4-747L4.3	0.564
COLQ	0.3748
MPN2	-1.15933333333333
DRG2	-0.57275
KLRB1	5.789
ALPK2	-2.3115
DNASE2B	0.64225
FLJ23834	0.382333333333333
AXUD1	2.99666666666667
SAFB	-0.426
NSUN4	-0.189
RFX2	0.859833333333333
MAPK8IP1	0.9445
FANCD2	-1.00521428571429
ANKZF1	-1.34916666666667
C19orf50	-0.315
DUSP8	2.914375
SENP5	-0.15975
NFKBIL2	-0.956
LBR	-1.700625
IGFL1	0.789
LZTS2	0.55475
IL2RG	-0.2975
CCDC51	-0.35275
KLF3	0.46625
ANKRD37	0.15975
KCTD14	0.331333333333333
FZR1	0.0539166666666666
SLC44A4	3.2485
ESPL1	-1.480875
GMPR2	0.2664
TBC1D19	-0.0698333333333333
ERGIC1	0.19
ERBB4	2.8341
TSPAN32	0.809666666666667
MAP4	0.162
GPHN	-0.25075
SLC6A2	0.1645
HIVEP1	0.74925
DFFB	-0.2981
EIF4EBP2	0.51075
DMRT1	-0.471
HSPB6	0.00125
IER2	0.868
AIFM1	-0.389
WWC2	0.0576666666666667
MRPL4	-0.65975
FLJ21062	3.0115
EPB41L4A	1.52025
SH2D6	0.07475
TAF4B	-0.32525
GAL3ST3	-0.0365
MALT1	-0.191
RTDR1	1.54925
ARVCF	0.388625
MEX3B	-0.555833333333333
FBXO16	2.13175
KIF7	-0.756
C1QC	3.86816666666667
ZNF783	-0.228166666666667
ZNF85	0.20925
MMP13	2.2145
KIAA0329	0.55925
RTP3	-0.81
ZBED3	-0.6115
CLGN	-1.708
SLC25A37	-0.98975
hCG_18290	0.644
OR5AS1	0.154
SMARCC2	0.130416666666667
FAM109A	-0.206666666666667
CCDC12	-0.006
USF2	0.4286
DEPDC7	-2.14175
C20orf24	-0.811166666666667
JMJD3	0.788
DSP	1.3515
SLIC1	0.668
FAM20A	1.01125
IRF2BP2	1.414375
ZNF230	0.3445
MSN	-0.392214285714286
SLC9A5	-2.2115
EPDR1	-0.8362
MUSK	0.361833333333333
ZNF434	0.149166666666667
