Hybridization REF	TCGA-A7-A0DB-11A-33R-A089-07
OR4C13	-0.129
EIF3EIP	0.1675
HABP4	1.468
TMEM125	-4.132
CNTN2	0.44675
ASNSD1	-0.06125
FUT4	1.182875
ACF	-3.6465
LOC158381	0.1375
CDH8	-0.37525
AGPS	0.014
C4orf18	3.085625
PECI	0.271833333333333
UNG	-0.82225
GSTP1	0.106875
DCUN1D5	-1.78716666666667
DKFZP564J0863	-0.73175
SLC9A3R1	-1.414125
BCDO2	-0.04575
CHMP7	0.35175
REM2	-0.125
DNHD1	-0.207
FKBP4	-1.419875
ZNF350	0.9975
MGC11102	-0.34525
BST1	3.172
KISS1R	0.556
NCR2	-0.1735
DEFB125	0.2415
UBE2W	0.54425
KRT15	-3.7825
C10orf99	0.05
SCN11A	0.94475
GFI1	-2.75625
RDHE2	-0.4645
FHL1	4.26866666666667
OSGEP	-0.341333333333333
GATA1	-3.53933333333333
SMC6	-1.2865
TTTY14	-0.93125
LPIN3	0.638
RPL4	-0.157
RBPMS	1.3508
PRPF3	-0.810833333333333
EMR1	-2.362
SPATA19	-0.034
XCR1	0.015
IRX3	-0.2444
RBM6	-0.0955
KLF4	2.489
UNC5CL	-1.897
SEBOX	0.416
BTK	0.485
KRCC1	1.242
C6orf27	0.181
SYTL5	-0.7775
PRND	0.65625
LOC653319	-1.5165
PIGL	-1.702125
HUS1	-0.303
SFRS6	-0.577833333333333
C17orf77	0.1395
UIMC1	-0.314
FXYD2	-0.6759
LOC283152	0.31
ZNF667	0.34
ZCCHC12	-0.11725
TFEC	3.7746
ATP7B	-0.653
POLD2	-1.11583333333333
RG9MTD1	-1.06175
ACOT2	1.96016666666667
HIST1H4I	-1.425
PPARGC1A	-0.7437
ETFA	0.19
POLRMT	-0.63225
ZNF146	-0.738125
MIA2	-1.322
KLHL6	-0.203
HOXB5	0.54
NENF	0.516166666666667
CUGBP1	-1.06375
PRSS22	-1.31733333333333
CASC4	1.0172
CUL4B	-0.1002
CENPJ	-1.5603
PITX1	-1.95466666666667
FLJ31033	0.9255
CELSR3	-2.62566666666667
ZNF568	0.64525
ITSN1	1.995
EHBP1L1	-0.299666666666667
C19orf2	-0.681
DCTN1	0.458
LIN28B	-3.5635
TNKS2	0.275
C1QBP	-1.512
CADPS2	0.941
SRMS	-0.32675
GJA9	0.1935
MGC24975	-2.079
TRIM45	-1.922
TSP50	0.05325
TCP1	-1.14575
TMED7	0.0232
CMA1	2.878
CENPL	-1.47666666666667
PTCRA	1.4485
FST	-3.282
VWCE	-1.6945
PAWR	-2.61575
ABCC12	0.1675
LDLR	-2.1711
ASTN2	0.2346
LOC441212	-0.656375
GPATCH8	-0.164
TANC2	-1.10208333333333
KIF4A	-2.86775
C18orf18	-0.11275
PGM1	0.977
KIAA0258	-0.5315
CPD	0.534
SNCAIP	0.58825
DCT	-3.9685
HLA-DOA	2.14954545454545
OR11L1	0.297
UPK1B	-0.278666666666667
DNAJB4	1.4785
UGT1A8	-0.14625
HIST1H4L	-1.9835
PECR	0.822666666666667
HSPA2	0.63725
WFIKKN1	-3.4575
SERP1	0.143375
SYDE2	0.11475
TACR2	0.7865
NUP85	-0.62575
CD177	-0.6135
LGR5	-1.57266666666667
PIGG	-0.466333333333333
PTHR1	1.77366666666667
RAB5A	0.4466
FLJ13224	-0.698
USP9Y	-0.9595
C7orf53	-0.3725
LRP1B	3.36575
XAF1	1.8478
ABCG8	-0.479
ANKDD1A	0.539833333333333
DAND5	0.371
SPAG6	0.0685
LINCR	-2.31225
ZDHHC22	-1.294875
CCDC60	-0.765
THOC7	-1.31333333333333
TCTA	1.1965
OR8K3	-0.01925
NY-REN-7	-0.31925
B2M	1.68516666666667
C6orf141	-1.80275
LPPR4	3.4115
SQLE	-3.59975
SEPHS1	-0.68675
BTBD14B	-0.145285714285714
PLRG1	-0.282
SPG7	-0.3898125
ZNF614	-0.488833333333333
PARD6G	0.119666666666667
INPP5B	-0.1048
GRPEL2	-0.799375
PPID	-0.3086
TRIM56	0.40675
UBE2J1	-0.033875
IL20RA	1.02875
LOC387856	-0.03875
C1orf107	-0.356583333333333
UTS2R	0.6555
C19orf22	0.15725
SAFB2	-0.37675
KIAA0652	0.436125
KLRG1	0.952666666666667
MS4A8B	0.104
FRAG1	-0.42975
KIAA1546	-0.03825
E2F4	-0.185
CLEC4M	1.02783333333333
BTBD14A	-1.04525
KIAA0999	0.8312
GYPA	-3.33216666666667
TAC1	0.2018
TRAIP	-2.501
KIAA0232	0.4967
ERCC8	-1.38525
GPX4	1.86975
KIAA0368	0.144125
GPR157	-0.5985
CTAGE4	-0.5805
C9orf30	-0.9955
OR52A1	0.007
HSP90B3P	-0.1475
ALG9	-0.0079
BTBD10	0.391
SDK2	-0.3725
BAIAP3	-1.19875
RABGGTB	-0.840625
ANKRD40	0.665333333333333
KRT74	0.369
CALCOCO2	1.52607142857143
SNCA	-1.14925
TMSL8	-3.9845
C2orf53	-0.6725
ESRRB	-0.38075
ARHGAP26	0.67975
TDRD9	-2.16225
HRAS	-0.356333333333333
KLRC4	-1.614
JAGN1	-0.198833333333333
BSDC1	0.1865
RNF43	-3.0156
NDUFAF1	0.281
PHF12	0.36725
OR1L3	-0.28375
FOLR2	3.9745
LYZL6	-0.0562
tcag7.1260	-0.204
WSB1	-0.751833333333333
PROS1	1.4008
OSTN	0.441
PSMB8	0.51525
SOCS4	-0.034625
DDIT4L	3.366
MAS1	0.609
MGC34796	0.758
CSHL1	0.374333333333333
TBCCD1	0.522333333333333
ZBTB7C	-0.2595
AP2S1	-0.2145
P15RS	-0.4178
VAT1	0.6569
SHANK3	2.08583333333333
TUFM	-0.487666666666667
THEG	-0.6395
KRT34	-1.85525
SGSM3	-0.353125
TOMM22	-0.307
SOCS3	2.1315
CPO	2.958
POP4	0.25025
BHLHB3	0.67825
MALL	2.59125
OR1B1	0.429
PARK2	1.514
GPR124	2.77875
LCE1E	0.2695
RUVBL2	-1.13725
CGRRF1	0.6026
ACPL2	-0.2995
WNT10B	2.66075
BAIAP2L2	-1.49875
ISCA1	0.6995
C1orf125	0.2995
RPAP1	-0.59625
RAI16	0.420666666666667
RPL27	-0.601875
NLRP9	-0.3125
EPN1	0.089
LOC388610	-1.831625
SLC35A1	0.2365
GAL	-3.27225
SLC14A2	0.306
RDH11	-1.02033333333333
FAM138F	-0.7575
AUH	0.74025
FLJ40243	0.61925
C14orf129	-0.349
MBD2	-0.112666666666667
ABHD14B	1.241625
PIGT	0.341875
ALS2CR4	-0.196125
ALAS1	0.4151
FOXO1	2.53383333333333
CRLF3	0.187875
C20orf107	-0.045
FARS2	0.738
CCDC28A	0.837
NPHP3	0.33475
OR13F1	0.153
TSEN54	-1.30375
DEFB106B	0.2268
OR8B4	-0.048
STH	-0.165
ZC3H14	-0.145125
CBX2	-0.614
TMEM49	-0.85975
C6orf21	0.3245
FLJ20920	1.300875
CRTAP	1.801
DDX50	-0.051
STYXL1	-0.401
BLVRB	1.14466666666667
LOC147650	0.249666666666667
MMP24	0.07925
GRID1	2.02616666666667
BANF1	-0.6735
CTAGEP	-0.61375
HMBS	-2.22825
SLC25A24	0.00966666666666666
C14orf50	2.29525
MRO	2.26966666666667
SLC25A15	-2.20475
FAM84B	-0.9826
TDP1	-1.4405
C16orf78	-0.0351666666666667
C11orf57	-0.507
RFK	-0.701125
ZFYVE9	0.51025
STCH	-1.2153
WIBG	0.13225
LOC283871	-0.756
GBA2	-0.3383
NDUFB3	-0.61
HSD17B13	2.44775
GRIN3A	1.694
FMNL1	0.597666666666667
SEPT7	0.1753
GNLY	3.754
GRAMD1C	-0.671
ZNF165	-2.47975
USP38	0.2925
FAM83A	-3.18466666666667
C14orf24	0.60275
ARMCX3	1.143625
ARHGDIB	0.9185
AK1	0.56975
KIAA1045	1.36575
DNAJB13	-0.228166666666667
NEU2	0.977
HIST1H4B	-2.042
FAM20B	-0.2189
HES2	-0.721357142857143
FAM73B	-0.4053
LOC388381	0.221
INTS7	-1.15209090909091
AMPH	2.41375
ZNF775	-0.258375
UCKL1	-0.883666666666667
C10orf97	0.647
C1orf161	-0.134
ALDH1L1	4.35525
FLJ39378	0.436875
SLC23A1	-2.5445
RBM4B	0.1725
THAP4	0.052
OGFRL1	0.90175
KIAA0831	0.3445
PPP1R15A	1.0795
C1orf96	-0.945071428571429
C12orf11	-1.43575
BMF	0.94825
MAN1A1	1.44775
KIAA1600	1.40783333333333
NLGN4X	0.041
ALOX12	-1.24283333333333
RB1CC1	-0.1001
NEIL2	0.8255
EIF4E	-0.245909090909091
ABHD5	1.0935
EXOC4	0.182833333333333
CIP29	-0.425333333333333
BATF2	1.2745
SLC29A4	1.418375
HTR4	1.116
EMB	1.01
TRAF6	0.6555
LMNB1	-3.50325
FAM19A5	0.114125
SHE	3.8065
PIK3C2B	1.93525
C15orf15	-0.7029
USP15	0.154
TCEAL2	1.318
C5orf39	0.348333333333333
PTGER2	1.9355
SLC31A1	-0.3490625
IFT172	0.04475
ADAM29	-0.12925
GFOD1	1.79625
ST7L	0.801166666666667
C15orf26	-2.704
PKN3	-0.33575
CNTD1	0.961833333333333
COMMD1	0.440625
NTRK2	4.45966666666667
FOXN3	2.255625
MFGE8	1.1739
PFKFB2	-0.197333333333333
TAS2R4	-0.11625
ENTHD1	-0.2175
PRMT5	-0.923125
MGC16384	-0.755375
LOC442229	0.10225
TSKU	1.827375
KRTCAP3	-3.088125
PDLIM1	0.939
KCNS2	0.31975
RNF126	-0.744
CEP63	0.296
CLIC4	0.66825
hCG_1990170	1.01525
ACR	1.1333
KLK7	-0.28275
ALOX5AP	3.578375
RIPK3	3.33625
TAS2R9	-0.2965
C19orf18	0.559
BIRC6	0.0847142857142857
ZNF16	0.631
RFT1	-0.28425
SLC8A2	-0.0575
TACC1	2.326125
ITGAD	0.40225
SAMHD1	2.74375
SH3PXD2B	1.4617
EPC2	0.828
C20orf85	0.248625
ATP13A2	-0.202333333333333
KRT4	0.26375
CAPNS1	0.7405
MDM2	0.0235
PCDH20	0.858
KCNK9	0.202
OR2C1	0.0365
KLHDC3	-0.1435
IPPK	-0.292
EFHD2	0.680125
GALR3	0.50825
NBEA	-0.359666666666667
ABCA6	5.8457
CLDN3	-2.91716666666667
AKT2	0.679928571428572
EGFR	1.2898
RBM16	-0.107
ZDHHC3	0.9393
SLC25A4	-0.411
CYB5B	0.305333333333333
CPXM1	1.688
NDRG1	0.554923076923077
FLJ43826	0.05575
OR5L2	-0.0986666666666667
FARP2	0.1049
MRPL46	0.02275
LDHAL6B	-0.017
MAPKAPK3	-0.108166666666667
NCAM2	-2.31175
PRKD2	0.200333333333333
ZFP36L1	1.2858
CYSLTR1	0.80625
OR4C3	0.289
HIST1H2AJ	1.136
CCNB2	-3.25755555555556
ZNF10	-0.6775
TMEM175	0.58
FAM134A	0.415166666666667
TIGD4	-0.6435
PCNP	-0.35
MGC39715	0.513
LQK1	-1.1715
CREB1	0.8537
TMPRSS3	-2.79425
C4orf32	1.80425
LAT	-1.89066666666667
KCNA3	0.1215
SKIV2L2	-0.822
ROPN1B	-4.07975
tcag7.23	-0.617
CDT1	-3.7055
ZHX2	0.8995
CD28	-0.5625
ZNF624	1.00175
SEPT2	0.6685
SOHLH2	-0.585375
MCOLN3	0.57025
UNQ1945	0.4965
MASP2	-1.0725
ZNRF3	-0.4269
GPATCH3	-0.0815
AGL	0.308125
QRICH2	-0.525
PSD4	-0.989333333333333
CCNB1IP1	-1.83625
ENPP7	0.11425
OBFC1	0.43725
KCNG3	-2.335
C14orf79	-0.92225
ENPEP	2.67766666666667
SCT	0.009
SKI	1.0935
SEC61G	-1.442
CAPN11	1.41875
ATXN7L3	-0.1915
DBNDD1	-1.612
FAIM	0.489
ANKRD36	-1.3375
GABRP	-0.242166666666667
TACSTD2	-2.965
EIF3J	-0.74475
PPP2R2A	-0.27175
TEKT4	0.0393333333333333
PVALB	-3.85633333333333
F10	1.42033333333333
FAM134C	0.8879
COMP	3.2915
EFCBP1	-1.1784375
SCLT1	0.349
TAL1	0.0494
ACSL1	4.518
ABCC5	0.0691666666666667
ABL1	-0.0855000000000001
RBBP7	-0.686916666666667
PTPRG	0.89475
NCOR1	0.1632
SPINK4	-2.1395
TXNRD1	-0.9155
TNRC15	0.25425
C9orf138	0.44525
UBE2H	0.234666666666667
BRDT	0.327833333333333
C8orf31	0.28975
CCNE2	-2.80709090909091
SLC6A8	-1.631
CALCR	-2.6525
PPP1CB	0.789583333333333
ABHD8	0.04425
ARF5	0.1266
SLC24A4	3.204
CCT3	-1.12925
ZNF121	-1.001
SLC3A2	-0.8474
OR13A1	0.081
SLC5A10	-0.5805
RAD50	-0.51575
IER5	-0.151875
MTHFD1L	-1.36275
MBTPS2	-0.1
MVK	-0.870875
NCL	-0.3922
PSMD10	-0.5
MOBP	0.10425
FLJ32894	-0.244
HRH1	2.05933333333333
C5orf30	-0.00725
NUDT16L1	-0.3572
RASGRP3	3.77433333333333
PRKRIP1	-0.7077
CCDC75	1.223
LOC253970	-0.00025
KIAA1239	3.8645
MED21	-0.49875
SYT11	1.267
NTSR2	0.902
EGFL11	-0.442
CXorf59	-0.417
OR2A25	0.02175
SPTBN2	-2.24325
LRMP	0.192666666666667
RNF111	0.13425
PTH	0.535
LOC619208	0.418833333333333
KIAA0895	-1.90925
RANBP5	-0.197625
P2RY10	0.162666666666667
NME5	1.77233333333333
DDX21	-1.462
LRSAM1	-0.1595
HDAC11	-0.124
VMO1	1.45725
NOLA2	-0.904666666666667
ADAR	-0.20025
MTO1	-0.785833333333333
SF4	-0.0516666666666667
P2RX1	0.135
HBM	1.77975
EN2	0.6885
C14orf172	-0.2295
TM9SF2	0.166
INHBE	-0.814333333333333
TCTE3	0.106333333333333
TOX2	-1.38575
CTAGE3	-0.445625
HBB	4.9309
MED15	-0.312666666666667
CASR	0.22025
C6orf66	-0.8545
MTPN	-0.069
UNC50	0.00650000000000001
C21orf33	0.27525
IRF2	1.105
PGR	-1.39983333333333
GPR84	1.17025
CROCCL1	-1.4015
SRPX	2.18075
BRE	0.568333333333333
FGF10	2.19525
SDC3	0.855
ZRSR1	0.766166666666667
DKFZP434P211	-0.612875
SOX6	0.409
RPUSD2	-0.806
C14orf173	0.441916666666667
MAPK11	0.435166666666667
TBC1D22A	0.949
FAM123A	-0.555
COL4A6	-2.53733333333333
TOMM70A	0.0275
NAB1	0.61325
MGC16385	-0.165375
TSPAN18	0.852
MED31	-0.9185
PLG	-0.02625
CAPSL	-0.0035
ZNF532	1.1314
ASB14	-0.20425
CA8	-1.92025
NUDT16P	1.69633333333333
SLFN11	0.9775
LRRIQ2	-0.897375
NOL7	-0.762166666666667
BRMS1L	-0.128625
JARID1A	0.197666666666667
PANK2	0.03825
ICAM3	-0.27525
MDS1	0.7055
TAF8	0.45625
RNF139	0.37375
ZNF594	-0.476333333333333
ADAM8	-0.553375
SFTPC	0.180625
MAN2B2	1.785375
RGS12	0.207125
EIF1AY	-4.73133333333333
LRRIQ1	-1.42
GPR150	0.84275
CCDC21	-1.38833333333333
PRRG3	2.49875
SAA4	-1.3
RAPGEF5	0.605875
ZCCHC2	0.172833333333333
MGC39372	1.2525
PPP4R2	-0.100333333333333
CDCA2	-2.641
OR4D5	0.499666666666667
PTGFRN	0.7276
SIGLEC5	1.97966666666667
C19orf61	-0.215333333333333
NMUR2	0.037
KIAA1586	-0.637833333333333
DAGLA	0.5315
CHCHD6	-0.867
GPR32	0.9735
NEUROD6	0.210833333333333
SLC2A4RG	0.39475
CA5B	0.89375
FBXL3	1.3365
MPHOSPH9	-1.195
HMG2L1	-0.342
HCN4	0.5505
CEACAM19	0.064
SH2D4B	0.4995
HFE2	-0.591
TGM4	0.205833333333333
LYPD2	-0.03
TBC1D15	0.14275
MRPS21	-0.4094
NONO	-1.082
CLEC5A	0.285
ITCH	-0.1251
MGAT3	1.26333333333333
MBP	0.8205
RPP25	-0.35375
SOSTDC1	-2.404
HRC	0.18975
TRIM48	0.6005
TMEM133	1.4725
ECEL1P2	-0.80725
HOXC11	-0.2975
DOK5	1.16325
HELZ	0.787833333333333
LOC348180	-0.975
MGC33894	0.98875
ADRB3	0.1065
DMD	1.92941666666667
PTRH2	-1.2885
MPEG1	4.3945
NDUFA12	-0.166666666666667
KRTAP2-4	0.17275
STAMBPL1	-0.465333333333333
ADCY2	0.906
UNQ6125	0.0045
KLHL20	0.7985
SRM	-0.87125
OTC	1.22325
TMIE	0.732666666666667
SNX8	0.149
LIPK	-0.472
CHURC1	0.3495
KLC2	0.0585
HDAC1	-1.17566666666667
FAM128A	-0.676166666666667
FNDC3B	0.0967
MTCP1	-0.1375
WFDC10B	0.3034
PCDHGB3	0.6145
ATRNL1	-1.6993
CAV2	2.975875
MED26	0.0805
DUS1L	-0.48925
CHRM3	-1.308375
NEK9	1.4145
WARS2	0.462
TBX22	0.1595
TOMM40	-1.25325
RP6-213H19.1	-3.24933333333333
TUBGCP5	0.4985
IGSF6	5.70725
TPPP	1.70233333333333
UNQ6190	0.353
GSTM5	3.077375
BTD	2.15883333333333
PDCD1LG2	1.75633333333333
SNRPB2	-0.727666666666667
ERICH1	-0.062625
APOA4	-1.79975
HOXA11	-1.05475
NARG1	-1.03175
MKX	0.685
RAB28	0.117642857142857
PKP3	-3.02625
SH3GL2	-0.777
CTSO	3.483
RPN2	-0.580375
IL28RA	-1.71866666666667
SFMBT1	-0.63825
WDR57	-0.2515
FER1L3	0.979166666666667
HSF5	0.2805
TTC9B	0.0245
C4BPA	-3.5495
ALB	-4.11314285714286
SORBS3	1.01025
UPF2	-0.1015
JPH1	-0.045
AGBL2	-2.09225
DOPEY1	1.3665
TERF1	-0.356083333333333
KIF22	-1.49533333333333
NINJ1	1.391
SEC61A2	-1.3415
HIST1H1D	-2.17233333333333
SFXN4	-0.734125
UCP3	0.1406
ZNF703	0.372333333333333
MYL6B	-1.06625
TREM1	2.599
OR52E6	0.1365
CKMT2	4.09575
HLA-C	1.913875
SLC13A3	-1.6915
TIMP4	4.333
SLIT2	3.36425
RSF1	0.0628888888888889
LONRF1	-0.329214285714286
MON1A	0.165833333333333
CACNG6	-1.89933333333333
DPPA4	-5.12166666666667
ZSWIM3	0.03
ZNF804A	0.546
CCIN	2.06175
SLC25A31	-0.0665
KCNMB4	0.143
RABL5	-0.197625
GALNS	-0.1937
STX6	0.039125
HIST1H1C	-1.54616666666667
CIDEB	0.357625
CASP4	0.895666666666667
PDK3	-0.9545
KCNJ11	-0.03
TPR	-0.403125
ZSCAN20	-0.4965
MTX2	-0.8775
HIST1H2BH	-1.7115
LOC283767	1.95125
LYRM7	-0.443666666666667
BRD3	0.431166666666667
HIST1H2BO	-1.85875
MAGEB10	0.239
SLC45A1	1.38625
SERPINA3	-1.5713
KIAA0143	0.639
KCNJ16	2.322
KRT79	-0.437
FABP2	-0.91725
NUT	0.164
ZNF57	-0.994
FBXL4	0.79625
CLEC9A	2.103
UGT8	-1.11783333333333
BMP2K	0.72525
MAPK4	-3.356
SLC25A23	-0.0573
HINT1	-0.9482
KRTAP13-1	0.6705
SFXN5	-0.1464
CHCHD2	-0.496166666666667
FAM3D	0.959
NDP	-2.886
RHOBTB1	0.457166666666667
SLC4A4	1.8945
RPL38	-0.26325
HTF9C	-0.891833333333333
AP2A2	1.530125
ZBTB46	0.515
MAP7D1	1.753375
AOX1	2.06366666666667
CYR61	1.60591666666667
DTNA	0.160714285714286
JRKL	0.30725
TMOD3	0.3925
EEA1	0.8229
ADCK5	-0.89225
IL1R1	3.5035
KLK3	0.308357142857143
HRSP12	0.668
KTN1	-0.3295
LOH11CR2A	1.6413
RELL2	-1.8635
MAB21L1	2.9705
C20orf59	-1.00516666666667
PHKB	0.55575
ADAM2	-1.89616666666667
TBC1D8B	0.939166666666667
FAM13A1	0.8643125
LAPTM4B	-1.77475
LCN8	-0.189
TMEM147	0.0155
SYT4	0.816333333333333
XPO7	-0.2445
C9orf62	0.7285
GPR75	-0.2545
TRIM5	0.6065
APOC1	0.125333333333333
RNASE4	2.56966666666667
PARD6B	-5.429375
ARID1A	-0.184833333333333
TPD52L3	0.3818
RRAGB	0.839
RCN2	-1.2115
HIST2H2BE	-1.35325
STARD7	-0.11475
SHMT2	-1.663
KIAA1751	-0.426666666666667
MLYCD	1.69875
LOC162632	-0.8022
UQCRH	-1.29825
RP11-217H1.1	-0.0774375
SDHA	-0.171333333333333
NCLN	-0.5049
ZNF17	0.0756666666666667
RCBTB2	-0.3525
VEGFB	1.6984
RP4-747L4.3	0.3645
COLQ	0.4604
MPN2	0.309833333333333
DRG2	-0.069
KLRB1	5.107
ALPK2	-0.47575
DNASE2B	2.2545
FLJ23834	-0.181333333333333
AXUD1	2.36133333333333
SAFB	0.0536
NSUN4	-0.81825
RFX2	0.488666666666667
MAPK8IP1	0.111833333333333
FANCD2	-2.26485714285714
ANKZF1	-1.55666666666667
C19orf50	0.213875
DUSP8	0.282625
SENP5	-0.60025
NFKBIL2	-1.187
LBR	-0.844
IGFL1	-0.349
LZTS2	0.541375
IL2RG	-0.7165
CCDC51	-0.46075
KLF3	1.387125
ANKRD37	-1.99875
KCTD14	-0.722
FZR1	0.0988333333333333
SLC44A4	-1.3383
ESPL1	-0.923
GMPR2	-0.3353
TBC1D19	-0.344666666666667
ERGIC1	-0.211925925925926
ERBB4	-0.1533
TSPAN32	0.528333333333333
MAP4	1.1195
GPHN	0.314
SLC6A2	1.787625
HIVEP1	0.43475
DFFB	-0.5211
EIF4EBP2	2.151125
DMRT1	-0.3735
HSPB6	1.898
IER2	-0.473
AIFM1	-0.16875
WWC2	0.200166666666667
MRPL4	-0.6445
FLJ21062	0.522666666666667
EPB41L4A	1.08783333333333
SH2D6	0.168
TAF4B	-0.6335
GAL3ST3	-0.1445
MALT1	-0.841166666666667
RTDR1	-0.352
ARVCF	-0.949625
MEX3B	-0.492
FBXO16	-3.65325
KIF7	0.342
C1QC	4.11166666666667
ZNF783	-0.424333333333333
ZNF85	0.31625
MMP13	-0.536
KIAA0329	0.778
RTP3	-0.089
ZBED3	0.9995
CLGN	-4.75325
SLC25A37	-1.42695833333333
hCG_18290	-0.12525
OR5AS1	0.037
SMARCC2	0.974333333333333
FAM109A	0.132333333333333
CCDC12	-0.19675
USF2	0.7137
DEPDC7	-2.255
C20orf24	-0.834333333333333
JMJD3	0.325
DSP	-3.34078571428571
SLIC1	0.674125
FAM20A	3.478625
IRF2BP2	0.106625
ZNF230	-0.3765
MSN	0.757785714285714
SLC9A5	-1.5365
EPDR1	1.4379
MUSK	0.445
ZNF434	0.105333333333333
SMARCD1	-0.3535
ZFP106	1.23075
ZNF347	0.6844
