Hybridization REF	TCGA-AN-A0FW-01A-11R-A034-07
KISS1R	0.815
NCR2	-1.4945
DEFB125	2.256
UBE2W	0.91
KRT15	0.14525
C10orf99	-0.1955
SCN11A	-0.0137142857142857
GFI1	-2.6745
RDHE2	2.08533333333333
FHL1	0.5665
OSGEP	0.256833333333333
GATA1	-3.56983333333333
SMC6	-1.808
TTTY14	-0.54425
LPIN3	-0.41575
RPL4	-0.2528
RBPMS	0.3032
PRPF3	0.216
EMR1	-2.7525
SPATA19	-0.585
XCR1	0.977
IRX3	1.7306
RBM6	-0.782
KLF4	-1.6594
UNC5CL	-2.15225
SEBOX	-0.7195
BTK	-1.4925
KRCC1	1.7705
C6orf27	0.6035
SYTL5	-0.491
PRND	2.377
LOC653319	-1.2865
PIGL	-1.094375
HUS1	-0.6495
SFRS6	0.688416666666667
C17orf77	-0.2615
UIMC1	-0.7175
FXYD2	-1.49377777777778
LOC283152	-0.03125
ZNF667	-0.67675
ZCCHC12	-1.851
TFEC	1.5008
ATP7B	-0.554666666666667
POLD2	-0.388166666666667
RG9MTD1	0.25475
ACOT2	-0.413666666666667
HIST1H4I	0.253666666666667
PPARGC1A	-2.2458
ETFA	-1.2979
POLRMT	0.08
ZNF146	0.307875
MIA2	-2.083
KLHL6	-1.9245
HOXB5	-0.3515
NENF	0.797
CUGBP1	0.13525
PRSS22	1.76083333333333
CASC4	1.6491
CUL4B	0.3843
CENPJ	-2.0653
PITX1	-0.714166666666667
FLJ31033	-0.616333333333333
CELSR3	0.650166666666667
ZNF568	0.683
ITSN1	-0.255333333333333
EHBP1L1	-1.06766666666667
C19orf2	-0.1785
DCTN1	-0.0725
LIN28B	-3.9328
TNKS2	-0.98075
C1QBP	-0.7935
CADPS2	1.211
SRMS	-0.0316666666666666
GJA9	0.156666666666667
MGC24975	-0.500166666666667
TRIM45	-0.7985
TSP50	-0.121
TCP1	-0.84325
TMED7	0.4993
CMA1	-0.018
CENPL	0.013
PTCRA	-0.6875
FST	-4.5935
VWCE	-3.28425
PAWR	0.699
ABCC12	0.528166666666667
LDLR	-0.2066
ASTN2	0.7828
LOC441212	-1.368625
GPATCH8	-0.00100000000000001
TANC2	0.351333333333333
KIF4A	-1.7855
C18orf18	-1.07825
PGM1	-1.3115
KIAA0258	-0.32225
CPD	1.0265
SNCAIP	-0.56675
DCT	-4.0605
HLA-DOA	2.07122727272727
OR11L1	0.7385
UPK1B	-0.356
DNAJB4	0.45275
UGT1A8	-0.805
HIST1H4L	-1.7935
PECR	-1.714
HSPA2	0.5025
WFIKKN1	-1.2345
SERP1	2.263
SYDE2	1.8405
TACR2	0.733
NUP85	0.4865
CD177	-0.4872
LGR5	-2.3624
PIGG	0.856166666666667
PTHR1	-0.854666666666667
RAB5A	-0.0728
FLJ13224	0.3635
USP9Y	-1.2186
C7orf53	-0.7275
LRP1B	6.71075
XAF1	0.1407
ABCG8	-0.7515
ANKDD1A	-0.456333333333333
DAND5	-1.4595
SPAG6	0.2214
LINCR	-0.30525
ZDHHC22	-1.236875
CCDC60	1.6655
THOC7	-1.413
TCTA	1.2104
OR8K3	0.29025
NY-REN-7	-1.441
B2M	0.712666666666667
C6orf141	-0.51525
LPPR4	1.91375
SQLE	-1.19175
SEPHS1	-1.337
BTBD14B	0.622
PLRG1	-0.51175
SPG7	-0.2535
ZNF614	0.266666666666667
PARD6G	0.3985
INPP5B	-0.6632
GRPEL2	-0.126125
PPID	-0.2948
TRIM56	-0.539
UBE2J1	-1.2215
IL20RA	5.9395
LOC387856	-0.2065
C1orf107	1.389
UTS2R	0.808
C19orf22	0.03075
SAFB2	0.028125
KIAA0652	-0.169875
KLRG1	0.141166666666667
MS4A8B	2.05616666666667
FRAG1	0.19
KIAA1546	0.62225
E2F4	-1.4038
CLEC4M	1.3136
BTBD14A	-0.07025
KIAA0999	1.4329
GYPA	-3.258
TAC1	1.12577777777778
TRAIP	-0.566
KIAA0232	1.0958
ERCC8	-1.108
GPX4	0.5615
KIAA0368	-0.084625
GPR157	-0.6
CTAGE4	-0.1445
C9orf30	-1.45366666666667
OR52A1	-0.0115
HSP90B3P	-0.8265
ALG9	-0.96
BTBD10	0.425
SDK2	0.0705
BAIAP3	-0.14125
RABGGTB	-1.183
ANKRD40	1.23816666666667
KRT74	-4.546
CALCOCO2	1.86807142857143
SNCA	-3.126
TMSL8	-3.41375
C2orf53	-0.888
ESRRB	-1.054
ARHGAP26	-1.761625
TDRD9	-2.34175
HRAS	0.7915
KLRC4	-2.637
JAGN1	0.170666666666667
BSDC1	0.28225
RNF43	1.8913
NDUFAF1	-0.30925
PHF12	0.82025
OR1L3	-0.05825
FOLR2	2.44441666666667
LYZL6	-0.208666666666667
tcag7.1260	-2.147
WSB1	-2.12033333333333
PROS1	-0.6766
OSTN	0.7465
PSMB8	0.79675
SOCS4	-0.526875
DDIT4L	1.3375
MAS1	0.466
MGC34796	1.7545
CSHL1	-0.539166666666667
TBCCD1	0.0676666666666667
ZBTB7C	0.097
AP2S1	-0.0035
P15RS	-0.0276
VAT1	-1.0634
SHANK3	1.146
TUFM	0.045
THEG	-0.65175
KRT34	-2.06
SGSM3	0.4715
TOMM22	0.039375
SOCS3	-0.0815
CPO	-0.658
POP4	0.36475
BHLHB3	0.20425
MALL	1.1755
OR1B1	0.4895
PARK2	-0.649666666666667
GPR124	0.517625
LCE1E	0.22
RUVBL2	0.275
CGRRF1	0.2052
ACPL2	-0.52025
WNT10B	-1.336875
BAIAP2L2	-0.95125
ISCA1	0.0135
C1orf125	-0.07875
RPAP1	-1.289
RAI16	-0.043
RPL27	-0.79875
NLRP9	-0.823
EPN1	0.179
LOC388610	-2.553875
SLC35A1	-0.3035
GAL	-3.30825
SLC14A2	0.09075
RDH11	-1.38966666666667
FAM138F	0.08
AUH	-0.777
FLJ40243	0.377
C14orf129	0.16
MBD2	-1.32583333333333
ABHD14B	0.026625
PIGT	0.74625
ALS2CR4	-0.788375
ALAS1	-0.0715
FOXO1	1.34
CRLF3	-0.62875
C20orf107	-1.0525
FARS2	1.0855
CCDC28A	-0.2465
NPHP3	-1.26175
OR13F1	-0.4195
TSEN54	0.1405
DEFB106B	0.3691
OR8B4	-0.371
STH	0.25275
ZC3H14	-0.668125
CBX2	0.2175
TMEM49	-0.683
C6orf21	0.183
FLJ20920	-1.4205
CRTAP	0.0592142857142857
DDX50	-0.77675
STYXL1	0.145
BLVRB	-0.0686666666666667
LOC147650	-0.808
MMP24	0.1995
GRID1	1.02433333333333
BANF1	-0.3645
CTAGEP	0.05925
HMBS	-2.08475
SLC25A24	0.581666666666667
C14orf50	-0.261
MRO	0.791166666666667
SLC25A15	-1.0995
FAM84B	0.7506
TDP1	-0.3555
C16orf78	0.321166666666667
C11orf57	0.645125
RFK	-0.833125
ZFYVE9	-0.392571428571429
STCH	-0.7135
WIBG	0.5475
LOC283871	-0.8805
GBA2	-0.8714
NDUFB3	-0.16625
HSD17B13	-0.58325
GRIN3A	0.679333333333333
FMNL1	-1.58416666666667
SEPT7	-0.5818
GNLY	3.524
GRAMD1C	1.90616666666667
ZNF165	0.56175
USP38	0.782
FAM83A	-3.81266666666667
C14orf24	1.03841666666667
ARMCX3	1.071125
ARHGDIB	0.1645
AK1	0.13625
KIAA1045	0.65575
DNAJB13	-0.509333333333333
NEU2	-0.3985
HIST1H4B	-0.813666666666667
FAM20B	0.1303
HES2	0.0740714285714286
FAM73B	-0.4233
LOC388381	-0.3215
INTS7	0.666090909090909
AMPH	0.963
ZNF775	0.116875
UCKL1	-0.326
C10orf97	-0.91175
C1orf161	-0.45025
ALDH1L1	1.4075
FLJ39378	0.1525
SLC23A1	-2.335
RBM4B	0.346
THAP4	0.899666666666667
OGFRL1	0.22975
KIAA0831	-0.3995
PPP1R15A	-0.93
C1orf96	0.585785714285714
C12orf11	-1.97225
BMF	0.15675
MAN1A1	-1.446875
KIAA1600	-0.0921666666666667
NLGN4X	2.97825
ALOX12	-1.90983333333333
RB1CC1	-0.4859
NEIL2	0.5378
EIF4E	-0.216714285714286
ABHD5	0.0545
EXOC4	-0.2555
CIP29	0.222
BATF2	-0.6035
SLC29A4	-0.669625
HTR4	0.04975
EMB	-1.059
TRAF6	-0.14675
LMNB1	-1.011
FAM19A5	-1.57675
SHE	1.45575
PIK3C2B	1.19975
C15orf15	-0.5713
USP15	0.1916
TCEAL2	0.8285
C5orf39	-0.458333333333333
PTGER2	-1.83925
SLC31A1	-1.0820625
IFT172	0.321
ADAM29	0.58
GFOD1	0.39775
ST7L	-0.233
C15orf26	-1.3785
PKN3	-0.4735
CNTD1	1.41983333333333
COMMD1	-0.213125
NTRK2	2.24533333333333
FOXN3	-0.346125
MFGE8	-1.0172
PFKFB2	-0.4545
TAS2R4	-0.05825
ENTHD1	0.208
PRMT5	-0.417375
MGC16384	-0.772625
LOC442229	-0.2945
TSKU	-0.54225
KRTCAP3	3.106625
PDLIM1	0.4452
KCNS2	0.54275
RNF126	0.0195
CEP63	0.00587500000000001
CLIC4	-1.6805
hCG_1990170	-0.87625
ACR	0.6901
KLK7	0.1025
ALOX5AP	2.097875
RIPK3	4.15175
TAS2R9	0.7085
C19orf18	1.274
BIRC6	0.0222142857142857
ZNF16	1.282
RFT1	0.50575
SLC8A2	-0.20775
TACC1	0.1495
ITGAD	1.7605
SAMHD1	-0.14275
SH3PXD2B	0.787
EPC2	0.8155
C20orf85	0.614125
ATP13A2	0.466
KRT4	-0.105857142857143
CAPNS1	0.16425
MDM2	0.357583333333333
PCDH20	1.444
KCNK9	-0.3705
OR2C1	-0.729
KLHDC3	-0.0921666666666667
IPPK	-0.1115
EFHD2	0.358375
GALR3	1.1895
NBEA	0.778666666666667
ABCA6	2.9542
CLDN3	0.597666666666667
AKT2	-0.218230769230769
EGFR	-1.7357
RBM16	0.51125
ZDHHC3	0.5283
SLC25A4	0.2035
CYB5B	-0.940166666666667
CPXM1	-0.07025
NDRG1	-1.54884615384615
FLJ43826	-0.70275
OR5L2	0.049
FARP2	1.103
MRPL46	-0.341583333333333
LDHAL6B	0.202333333333333
MAPKAPK3	0.331833333333333
NCAM2	-3.0275
PRKD2	0.725833333333333
ZFP36L1	0.485
CYSLTR1	-0.9005
OR4C3	-1.2105
HIST1H2AJ	2.8035
CCNB2	-1.06222222222222
ZNF10	-0.295625
TMEM175	0.6075
FAM134A	1.3075
TIGD4	-0.8105
PCNP	-0.3325
MGC39715	-0.6185
LQK1	-1.2315
CREB1	0.2826
TMPRSS3	-1.8535
C4orf32	0.56525
LAT	-1.64616666666667
KCNA3	0.143
SKIV2L2	-1.17175
ROPN1B	-1.5605
tcag7.23	-0.2815
CDT1	-2.381875
ZHX2	0.81675
CD28	-2.34075
ZNF624	1.04575
SEPT2	0.655833333333333
SOHLH2	-1.77914285714286
MCOLN3	-0.866285714285714
UNQ1945	0.212
MASP2	-0.8465
ZNRF3	1.0888
GPATCH3	-0.132
AGL	-0.193125
QRICH2	0.258
PSD4	0.501833333333333
CCNB1IP1	-1.9865
ENPP7	-0.5
OBFC1	-0.7065
KCNG3	-2.80975
C14orf79	1.50466666666667
ENPEP	1.2345
SCT	0.992
SKI	0.72975
SEC61G	-0.84275
CAPN11	0.0640000000000001
ATXN7L3	-1.2035
DBNDD1	-0.134666666666667
FAIM	-0.159
ANKRD36	0.854
GABRP	1.4405
TACSTD2	2.698
EIF3J	-0.262
PPP2R2A	-0.461
TEKT4	0.0246666666666667
PVALB	0.2705
F10	-1.57183333333333
FAM134C	0.678
COMP	4.47025
EFCBP1	-1.9699375
SCLT1	0.69575
TAL1	-1.0564
ACSL1	1.0175
ABCC5	0.786
ABL1	-1.002
RBBP7	0.9425
PTPRG	-1.133875
NCOR1	0.1521
SPINK4	0.796333333333333
TXNRD1	-1.9742
TNRC15	1.315375
C9orf138	0.70025
UBE2H	0.457
BRDT	-0.0785
C8orf31	-0.10025
CCNE2	-1.00490909090909
SLC6A8	-1.414625
CALCR	-2.42125
PPP1CB	0.85725
ABHD8	-0.3515
ARF5	-0.1692
SLC24A4	0.857666666666667
CCT3	0.79225
ZNF121	0.713375
SLC3A2	-1.3437
OR13A1	0.25
SLC5A10	-0.15425
RAD50	-0.44025
IER5	0.766375
MTHFD1L	-2.2445
MBTPS2	1.851
MVK	-0.434625
NCL	-0.3451
PSMD10	0.3455
MOBP	0.443428571428571
FLJ32894	0.056
HRH1	0.308666666666667
C5orf30	0.977
NUDT16L1	1.0182
RASGRP3	2.39166666666667
PRKRIP1	-0.5042
CCDC75	0.422
LOC253970	1.19525
KIAA1239	1.50325
MED21	-0.84725
SYT11	-0.2595
NTSR2	-2.304
EGFL11	0.255
CXorf59	1.763
OR2A25	-0.3555
SPTBN2	-0.41425
LRMP	-2.1385
RNF111	0.56275
PTH	-2.259
LOC619208	-0.336333333333333
KIAA0895	-0.17825
RANBP5	-0.51225
P2RY10	0.731833333333333
NME5	2.96266666666667
DDX21	-1.4385
LRSAM1	-0.7395
HDAC11	0.574666666666667
VMO1	1.48
NOLA2	-0.326833333333333
ADAR	1.26241666666667
MTO1	-0.782
SF4	0.192
P2RX1	-0.160833333333333
HBM	0.26325
EN2	1.1025
C14orf172	0.29925
TM9SF2	1.1031
INHBE	-3.18216666666667
TCTE3	0.1565
TOX2	-2.825
CTAGE3	0.2195
HBB	4.01366666666667
MED15	-0.897666666666667
CASR	-0.13375
C6orf66	-1.56916666666667
MTPN	-0.630375
UNC50	0.13775
C21orf33	-0.020375
IRF2	1.094875
PGR	0.835
GPR84	0.58375
CROCCL1	-2.497
SRPX	-0.167
BRE	-0.357
FGF10	2.13725
SDC3	-0.00283333333333335
ZRSR1	0.477333333333333
DKFZP434P211	-0.4615
SOX6	-0.055
RPUSD2	-0.22425
C14orf173	-0.26725
MAPK11	0.282333333333333
TBC1D22A	0.6575
FAM123A	-0.092
COL4A6	-2.497
TOMM70A	-0.1125
NAB1	-0.82325
MGC16385	-0.6285
TSPAN18	-0.452166666666667
MED31	-0.52225
PLG	0.03325
CAPSL	0.127
ZNF532	0.0262
ASB14	0.434
CA8	-0.1525
NUDT16P	-0.384166666666667
SLFN11	-1.0035
LRRIQ2	0.535875
NOL7	-0.185
BRMS1L	-1.15825
JARID1A	0.618166666666667
PANK2	-1.15275
ICAM3	0.65075
MDS1	-0.51425
TAF8	-0.8535
RNF139	1.643
ZNF594	0.2775
ADAM8	1.70025
SFTPC	-0.10625
MAN2B2	1.203
RGS12	0.06025
EIF1AY	-4.02916666666667
LRRIQ1	-0.337666666666667
GPR150	1.02
CCDC21	-1.2365
PRRG3	0.142
SAA4	-1.8165
RAPGEF5	1.517
ZCCHC2	-0.731416666666667
MGC39372	0.2565
PPP4R2	0.6965
CDCA2	-1.22483333333333
OR4D5	0.147166666666667
PTGFRN	0.1554
SIGLEC5	0.341833333333333
C19orf61	-0.0886666666666667
NMUR2	0.14
KIAA1586	-0.991333333333333
DAGLA	0.374833333333333
CHCHD6	0.3245
GPR32	0.2805
NEUROD6	-0.341666666666667
SLC2A4RG	0.5613125
CA5B	-0.53125
FBXL3	1.30075
MPHOSPH9	-0.9535
HMG2L1	0.23775
HCN4	0.307666666666667
CEACAM19	-0.8345
SH2D4B	0.4276
HFE2	0.483
TGM4	0.8395
LYPD2	0.289
TBC1D15	0.134
MRPS21	-0.2649
NONO	-0.2263
CLEC5A	0.714142857142857
ITCH	0.2456
MGAT3	-0.282333333333333
MBP	-0.0355000000000001
RPP25	-0.37525
SOSTDC1	-1.6585
HRC	-0.78025
TRIM48	0.9805
TMEM133	-0.979
ECEL1P2	-0.99575
HOXC11	0.6105
DOK5	-0.2365
HELZ	1.9985
LOC348180	-0.39675
MGC33894	-0.553
ADRB3	0.879
DMD	-0.118583333333333
PTRH2	0.83175
MPEG1	2.4815
NDUFA12	0.00766666666666666
KRTAP2-4	0.068
STAMBPL1	-1.59233333333333
ADCY2	-0.871
UNQ6125	-0.277
KLHL20	0.7595
SRM	-1.21875
OTC	0.99625
TMIE	-0.927333333333333
SNX8	0.0755
LIPK	0.6075
CHURC1	0.124833333333333
KLC2	0.838333333333333
HDAC1	-0.683166666666667
FAM128A	0.608833333333333
FNDC3B	-0.718777777777778
MTCP1	-0.792666666666667
WFDC10B	1.3354
PCDHGB3	-0.5435
ATRNL1	0.2728
CAV2	-0.595875
MED26	-0.0988333333333333
DUS1L	-0.21825
CHRM3	-1.13385714285714
NEK9	0.1245
WARS2	-0.5515
TBX22	null
TOMM40	-0.68825
RP6-213H19.1	-1.67233333333333
TUBGCP5	-1.12825
IGSF6	5.352
TPPP	0.1405
UNQ6190	-0.1315
GSTM5	-0.2545
BTD	0.720666666666667
PDCD1LG2	-1.459
SNRPB2	-0.4055
ERICH1	0.062
APOA4	-1.977125
HOXA11	-3.30433333333333
NARG1	0.238875
MKX	-0.116
RAB28	-0.582916666666667
PKP3	1.17575
SH3GL2	-1.0645
CTSO	3.10975
RPN2	0.9371875
IL28RA	-1.712
SFMBT1	0.54425
WDR57	0.201
FER1L3	-0.1675
HSF5	0.284
TTC9B	0.80875
C4BPA	-3.57616666666667
ALB	-5.0046
SORBS3	0.409625
UPF2	-0.895
JPH1	-1.4695
AGBL2	0.48625
DOPEY1	0.137
TERF1	-0.20575
KIF22	-0.230833333333333
NINJ1	0.233
SEC61A2	-1.32591666666667
HIST1H1D	2.3695
SFXN4	-0.5265
UCP3	-0.1465
ZNF703	1.27033333333333
MYL6B	-0.7315
TREM1	0.1375
OR52E6	0.294
CKMT2	1.324
HLA-C	1.186625
SLC13A3	-2.12566666666667
TIMP4	0.9565
SLIT2	2.68325
RSF1	-0.571555555555556
LONRF1	-1.20292857142857
MON1A	0.194666666666667
CACNG6	-1.29533333333333
DPPA4	-4.49233333333333
ZSWIM3	1.16
ZNF804A	-1.4212
CCIN	1.46325
SLC25A31	0.988
KCNMB4	-0.972
RABL5	0.4385
GALNS	-0.8968
STX6	1.121
HIST1H1C	2.5535
CIDEB	0.26325
CASP4	-0.0135
PDK3	-1.581
KCNJ11	0.904
TPR	-0.2345
ZSCAN20	-0.7795
MTX2	-0.75325
HIST1H2BH	1.9125
LOC283767	-0.74875
LYRM7	-1.11066666666667
BRD3	0.873666666666667
HIST1H2BO	1.27475
MAGEB10	-0.4315
SLC45A1	0.88675
SERPINA3	2.3
KIAA0143	1.0415
KCNJ16	0.8204
KRT79	-0.381
FABP2	-1.659
NUT	-0.4995
ZNF57	0.31975
FBXL4	-0.114375
CLEC9A	0.439
UGT8	-0.565166666666667
BMP2K	-0.61775
MAPK4	-3.38325
SLC25A23	-0.6633
HINT1	-0.6281
KRTAP13-1	-1.237
SFXN5	-0.8621
CHCHD2	-0.12425
FAM3D	1.3925
NDP	-2.723875
RHOBTB1	-0.0985
SLC4A4	-0.897875
RPL38	1.2635
HTF9C	-0.609166666666667
AP2A2	0.32875
ZBTB46	-1.247
MAP7D1	-0.20325
AOX1	-0.502
CYR61	-1.58172727272727
DTNA	2.02221428571429
JRKL	-1.23925
TMOD3	-0.12525
EEA1	-0.232
ADCK5	-0.32725
IL1R1	1.1405
KLK3	0.946357142857143
HRSP12	-0.93075
KTN1	-0.3375
LOH11CR2A	0.2322
RELL2	-1.74775
MAB21L1	0.941
C20orf59	-0.559833333333333
PHKB	-0.45675
ADAM2	-0.913666666666667
TBC1D8B	1.13116666666667
FAM13A1	-1.3661875
LAPTM4B	0.187333333333333
LCN8	0.033
TMEM147	0.788
SYT4	0.1888
XPO7	-0.2935
C9orf62	1.3445
GPR75	0.779
TRIM5	-0.29375
APOC1	-0.327833333333333
RNASE4	-0.7695
PARD6B	0.575
ARID1A	0.122833333333333
TPD52L3	0.138777777777778
RRAGB	0.694666666666667
RCN2	-0.7845
HIST2H2BE	2.5995
STARD7	0.32625
SHMT2	-1.16575
KIAA1751	-0.736166666666667
MLYCD	2.040125
LOC162632	-0.0676
UQCRH	-1.21125
RP11-217H1.1	0.603875
SDHA	-1.234
NCLN	0.2075
ZNF17	0.656
RCBTB2	-1.72725
VEGFB	-0.0628
RP4-747L4.3	1.60425
COLQ	-0.022
MPN2	-0.693333333333333
DRG2	-0.178
KLRB1	5.8255
ALPK2	-3.7145
DNASE2B	4.493
FLJ23834	0.0721666666666667
AXUD1	0.195
SAFB	0.0425
NSUN4	-0.34725
RFX2	-0.226333333333333
MAPK8IP1	-1.25066666666667
FANCD2	-1.76878571428571
ANKZF1	-1.3975
C19orf50	-0.521125
DUSP8	1.495125
SENP5	-0.25675
NFKBIL2	-0.42525
LBR	-0.870375
IGFL1	0.187
LZTS2	-0.154
IL2RG	-0.700375
CCDC51	-0.132
KLF3	-0.2005
ANKRD37	-1.3805
KCTD14	-1.9105
FZR1	1.06591666666667
SLC44A4	4.1073
ESPL1	-0.8535
GMPR2	-0.4007
TBC1D19	-0.658166666666667
ERGIC1	0.447222222222222
ERBB4	0.493125
TSPAN32	0.161416666666667
MAP4	-0.27825
GPHN	-0.17675
SLC6A2	-0.10775
HIVEP1	-0.46375
DFFB	-0.6377
EIF4EBP2	0.15475
DMRT1	-0.584
HSPB6	0.065
IER2	-0.349
AIFM1	-0.363
WWC2	0.493916666666667
MRPL4	-0.31375
FLJ21062	0.286833333333333
EPB41L4A	0.615666666666667
SH2D6	0.06075
TAF4B	-1.2335
GAL3ST3	0.152
MALT1	-1.914
RTDR1	0.41975
ARVCF	-0.819375
MEX3B	0.546666666666667
FBXO16	0.963
KIF7	-1.8705
C1QC	3.90683333333333
ZNF783	-1.73933333333333
ZNF85	0.316
MMP13	-0.5665
KIAA0329	0.150125
RTP3	-2.2875
ZBED3	-0.931
CLGN	-0.71825
SLC25A37	-1.70875
hCG_18290	-0.54025
OR5AS1	-0.2305
SMARCC2	0.314
FAM109A	-0.062
CCDC12	-0.01275
USF2	0.3397
DEPDC7	-2.77725
C20orf24	-0.1275
JMJD3	0.139
DSP	0.287285714285714
SLIC1	0.068375
FAM20A	1.303875
IRF2BP2	0.847
ZNF230	0.651
MSN	-1.23007142857143
SLC9A5	-1.564
EPDR1	-2.5664
MUSK	0.0406666666666667
ZNF434	0.201166666666667
