Hybridization REF	TCGA-B6-A0IC-01A-11R-A034-07
PTHR1	-2.137
RAB5A	0.5519
FLJ13224	-0.6195
USP9Y	-0.9788
C7orf53	-0.76
LRP1B	5.20525
XAF1	0.0169
ABCG8	0.4215
ANKDD1A	-0.917666666666667
DAND5	-1.186
SPAG6	0.6405
LINCR	1.26475
ZDHHC22	-0.50475
CCDC60	0.62
THOC7	-1.2505
TCTA	1.7587
OR8K3	0.33375
NY-REN-7	0.625
B2M	0.507333333333333
C6orf141	-0.525875
LPPR4	-0.152
SQLE	-2.056875
SEPHS1	-0.4275
BTBD14B	0.6655
PLRG1	-0.4685
SPG7	-0.833125
ZNF614	-0.4635
PARD6G	0.678333333333333
INPP5B	-0.3837
GRPEL2	-0.027625
PPID	-0.7499
TRIM56	-1.00725
UBE2J1	-0.2955
IL20RA	-0.53725
LOC387856	-0.91525
C1orf107	-0.09025
UTS2R	0.12325
C19orf22	-0.424
SAFB2	-0.40925
KIAA0652	-0.260375
KLRG1	-1.08183333333333
MS4A8B	0.592833333333333
FRAG1	0.504
KIAA1546	0.5275
E2F4	-1.9014
CLEC4M	0.143833333333333
BTBD14A	-0.24575
KIAA0999	2.6765
GYPA	-3.61983333333333
TAC1	-0.163333333333333
TRAIP	-1.57633333333333
KIAA0232	1.4312
ERCC8	-0.9265
GPX4	0.8805
KIAA0368	0.36925
GPR157	-0.836333333333333
CTAGE4	1.118
C9orf30	-1.662
OR52A1	1.161
HSP90B3P	-1.382
ALG9	-0.3208
BTBD10	0.354
SDK2	-0.154
BAIAP3	0.693
RABGGTB	-0.5125
ANKRD40	-0.232
KRT74	0.0585
CALCOCO2	0.418857142857143
SNCA	-3.7235
TMSL8	-2.919625
C2orf53	0.8035
ESRRB	-0.791333333333333
ARHGAP26	-0.684125
TDRD9	-3.23975
HRAS	0.0325
KLRC4	-2.737
JAGN1	-0.207
BSDC1	0.76175
RNF43	-0.0985
NDUFAF1	0.93525
PHF12	0.66025
OR1L3	-0.46425
FOLR2	1.09266666666667
LYZL6	0.7594
tcag7.1260	-3.233
WSB1	-1.96633333333333
PROS1	-3.04155555555556
OSTN	0.737
PSMB8	-0.487
SOCS4	0.047625
DDIT4L	-0.03875
MAS1	0.279
MGC34796	2.1045
CSHL1	-0.465833333333333
TBCCD1	-0.3255
ZBTB7C	-0.3255
AP2S1	-0.08725
P15RS	0.4136
VAT1	-0.9235
SHANK3	0.539666666666667
TUFM	0.351833333333333
THEG	-0.1855
KRT34	-1.867
SGSM3	0.442875
TOMM22	-0.254625
SOCS3	0.0236666666666667
CPO	0.65
POP4	0.28525
BHLHB3	0.97
MALL	-0.55125
OR1B1	0.517
PARK2	0.685333333333333
GPR124	-1.286375
LCE1E	0.4275
RUVBL2	-0.4945
CGRRF1	0.957
ACPL2	0.698
WNT10B	-1.346125
BAIAP2L2	-1.704625
ISCA1	0.4605
C1orf125	1.117625
RPAP1	-0.6505
RAI16	-0.148166666666667
RPL27	-0.614875
NLRP9	0.003
EPN1	0.3775
LOC388610	-0.809375
SLC35A1	1.6116
GAL	-4.41175
SLC14A2	0.50775
RDH11	0.045
FAM138F	-0.8245
AUH	0.629
FLJ40243	-0.91625
C14orf129	0.969666666666667
MBD2	-0.4815
ABHD14B	0.28525
PIGT	0.85075
ALS2CR4	-0.365375
ALAS1	0.3695
FOXO1	0.256
CRLF3	-0.796
C20orf107	-0.234
FARS2	0.70525
CCDC28A	1.3265
NPHP3	-0.2845
OR13F1	0.6485
TSEN54	-0.684
DEFB106B	0.287875
OR8B4	-0.0125
STH	0.02225
ZC3H14	-0.225625
CBX2	0.079
TMEM49	-1.41325
C6orf21	0.2735
FLJ20920	1.052875
CRTAP	-0.603357142857143
DDX50	0.0185
STYXL1	0.14575
BLVRB	0.265666666666667
LOC147650	1.07983333333333
MMP24	1.07175
GRID1	0.209166666666667
BANF1	-0.896666666666667
CTAGEP	0.4065
HMBS	-1.72575
SLC25A24	1.2265
C14orf50	2.2255
MRO	-0.307333333333333
SLC25A15	-0.29025
FAM84B	1.5887
TDP1	-0.7895
C16orf78	0.2648
C11orf57	0.45275
RFK	-0.806125
ZFYVE9	-0.00812499999999997
STCH	-1.1893
WIBG	0.73675
LOC283871	0.248166666666667
GBA2	0.19
NDUFB3	0.4625
HSD17B13	-0.47775
GRIN3A	0.699166666666667
FMNL1	-1.321
SEPT7	-0.217
GNLY	0.8085
GRAMD1C	1.976
ZNF165	0.869
USP38	0.38275
FAM83A	-3.18333333333333
C14orf24	0.1425
ARMCX3	0.794875
ARHGDIB	0.864833333333333
AK1	1.09275
KIAA1045	-0.51125
DNAJB13	-0.235833333333333
NEU2	0.497
HIST1H4B	-1.56966666666667
FAM20B	-0.5528
HES2	-0.377846153846154
FAM73B	-0.0772
LOC388381	0.7235
INTS7	-0.852272727272727
AMPH	-1.41725
ZNF775	-0.84175
UCKL1	-0.6615
C10orf97	0.3235
C1orf161	-0.0315
ALDH1L1	-1.37075
FLJ39378	0.237125
SLC23A1	-1.687
RBM4B	0.29775
THAP4	0.555166666666667
OGFRL1	1.30275
KIAA0831	0.67975
PPP1R15A	-1.0255
C1orf96	-1.10521428571429
C12orf11	-1.17875
BMF	0.00912499999999999
MAN1A1	0.090125
KIAA1600	0.709666666666667
NLGN4X	-2.392
ALOX12	-1.00366666666667
RB1CC1	-0.481
NEIL2	0.4509
EIF4E	0.689809523809524
ABHD5	0.06125
EXOC4	-1.83966666666667
CIP29	0.566333333333333
BATF2	-0.97625
SLC29A4	-0.693625
HTR4	0.16425
EMB	-1.0075
TRAF6	0.814
LMNB1	-2.4205
FAM19A5	0.63175
SHE	0.19325
PIK3C2B	1.163
C15orf15	-0.4437
USP15	0.1451
TCEAL2	-0.0950000000000001
C5orf39	-2.3145
PTGER2	1.2125
SLC31A1	-1.0806875
IFT172	0.52025
ADAM29	0.82075
GFOD1	0.684
ST7L	1.23883333333333
C15orf26	-2.7295
PKN3	-1.2665
CNTD1	3.5395
COMMD1	0.7975
NTRK2	4.42166666666667
FOXN3	-1.345
MFGE8	-2.5581
PFKFB2	0.122666666666667
TAS2R4	-0.02525
ENTHD1	-1.6725
PRMT5	-0.6435
MGC16384	-1.32175
LOC442229	-0.441
TSKU	-0.1445
KRTCAP3	2.8175
PDLIM1	0.9274
KCNS2	0.50875
RNF126	-0.404666666666667
CEP63	0.1555
CLIC4	-0.077
hCG_1990170	-1.47725
ACR	0.7889
KLK7	-0.47575
ALOX5AP	3.179375
RIPK3	4.84325
TAS2R9	0.4945
C19orf18	2.757
BIRC6	0.479357142857143
ZNF16	0.895
RFT1	-0.65125
SLC8A2	-0.68175
TACC1	-2.392875
ITGAD	0.762666666666667
SAMHD1	-0.67575
SH3PXD2B	0.3522
EPC2	1.1915
C20orf85	0.390625
ATP13A2	0.507
KRT4	0.3025
CAPNS1	-0.07375
MDM2	-0.436916666666667
PCDH20	3.976
KCNK9	1.239
OR2C1	0.4655
KLHDC3	-0.9055
IPPK	0.8555
EFHD2	0.353125
GALR3	0.09675
NBEA	2.18866666666667
ABCA6	0.345
CLDN3	1.25433333333333
AKT2	0.592285714285714
EGFR	-3.1423
RBM16	0.779625
ZDHHC3	0.0787
SLC25A4	0.553166666666667
CYB5B	-1.055
CPXM1	-2.55325
NDRG1	-2.20023076923077
FLJ43826	0.85575
OR5L2	-0.349666666666667
FARP2	0.869
MRPL46	-0.241666666666667
LDHAL6B	-0.359833333333333
MAPKAPK3	0.0443333333333333
NCAM2	0.7545
PRKD2	0.211666666666667
ZFP36L1	1.4001
CYSLTR1	-2.3565
OR4C3	-0.227666666666667
HIST1H2AJ	2.7805
CCNB2	-2.24488888888889
ZNF10	0.477875
TMEM175	0.003
FAM134A	0.867166666666667
TIGD4	0.3605
PCNP	0.60325
MGC39715	0.621666666666667
LQK1	-0.80475
CREB1	0.1067
TMPRSS3	0.00624999999999998
C4orf32	2.743
LAT	-2.26283333333333
KCNA3	2.348
SKIV2L2	-0.4625
ROPN1B	-3.20425
tcag7.23	-0.0545
CDT1	-3.16925
ZHX2	1.17225
CD28	-4.2205
ZNF624	0.82025
SEPT2	0.402
SOHLH2	-1.558375
MCOLN3	2.018
UNQ1945	-0.287
MASP2	-0.7565
ZNRF3	0.5071
GPATCH3	-0.51125
AGL	1.2505
QRICH2	-0.4955
PSD4	1.4095
CCNB1IP1	-1.72625
ENPP7	0.000250000000000007
OBFC1	0.358
KCNG3	-2.0535
C14orf79	1.15975
ENPEP	0.506333333333333
SCT	0.081
SKI	-0.195125
SEC61G	-0.457
CAPN11	-1.317
ATXN7L3	-0.4785
DBNDD1	-0.626166666666667
FAIM	0.36025
ANKRD36	-1.19
GABRP	-1.11416666666667
TACSTD2	1.96633333333333
EIF3J	-0.03425
PPP2R2A	-0.35475
TEKT4	-0.554333333333333
PVALB	-3.6585
F10	-3.48083333333333
FAM134C	0.8299
COMP	2.113625
EFCBP1	-4.00928571428571
SCLT1	-0.269125
TAL1	-1.7331
ACSL1	-0.554
ABCC5	0.247083333333333
ABL1	-0.838666666666667
RBBP7	1.1225
PTPRG	-0.5045
NCOR1	0.6514
SPINK4	-0.238166666666667
TXNRD1	-1.3016
TNRC15	0.38825
C9orf138	0.079
UBE2H	0.097
BRDT	4.606
C8orf31	0.33325
CCNE2	-1.07790909090909
SLC6A8	-1.646375
CALCR	-3.54075
PPP1CB	1.318
ABHD8	0.81975
ARF5	-1.3414
SLC24A4	0.38275
CCT3	-0.39625
ZNF121	0.427375
SLC3A2	-1.4794
OR13A1	0.071
SLC5A10	0.74725
RAD50	-0.043875
IER5	-0.4705
MTHFD1L	-3.096375
MBTPS2	-0.023
MVK	-0.51825
NCL	-0.0333
PSMD10	0.165
MOBP	0.396857142857143
FLJ32894	1.141
HRH1	-2.91466666666667
C5orf30	1.951
NUDT16L1	1.7057
RASGRP3	2.609
PRKRIP1	-0.8138
CCDC75	-0.82225
LOC253970	0.141666666666667
KIAA1239	-1.44325
MED21	-0.2935
SYT11	-0.941333333333333
NTSR2	0.1335
EGFL11	0.536
CXorf59	0.266
OR2A25	0.2255
SPTBN2	-1.86725
LRMP	-2.5496
RNF111	0.16325
PTH	0.523
LOC619208	0.900333333333333
KIAA0895	1.791
RANBP5	-0.93275
P2RY10	-0.3395
NME5	4.96416666666667
DDX21	-1.6035
LRSAM1	-0.6515
HDAC11	1.774
VMO1	1.95
NOLA2	-0.273333333333333
ADAR	0.464166666666667
MTO1	-0.604333333333333
SF4	0.3515
P2RX1	-0.114166666666667
HBM	0.128
EN2	0.351
C14orf172	-0.1235
TM9SF2	0.2454
INHBE	-1.612
TCTE3	0.109416666666667
TOX2	-3.4775
CTAGE3	-0.276125
HBB	3.4961
MED15	-0.780166666666667
CASR	-0.0195
C6orf66	-0.831833333333333
MTPN	-2.005375
UNC50	1.07875
C21orf33	0.717875
IRF2	0.87175
PGR	3.09033333333333
GPR84	2.781
CROCCL1	-0.7195
SRPX	-3.98925
BRE	0.541
FGF10	5.03475
SDC3	0.0488333333333333
ZRSR1	0.612
DKFZP434P211	-1.331
SOX6	-3.356
RPUSD2	-0.04225
C14orf173	-0.126
MAPK11	-0.918166666666667
TBC1D22A	0.681
FAM123A	-0.2075
COL4A6	-1.18116666666667
TOMM70A	-0.32
NAB1	-0.00924999999999999
MGC16385	-0.744875
TSPAN18	-1.93133333333333
MED31	0.62675
PLG	-0.204
CAPSL	2.1385
ZNF532	0.7696
ASB14	0.22525
CA8	-3.21275
NUDT16P	2.5695
SLFN11	-2.9435
LRRIQ2	0.261375
NOL7	-0.178333333333333
BRMS1L	-0.265125
JARID1A	0.0133333333333333
PANK2	-0.31775
ICAM3	-0.41925
MDS1	-0.511
TAF8	-0.969
RNF139	1.157
ZNF594	1.2015
ADAM8	2.34425
SFTPC	-0.06625
MAN2B2	0.708
RGS12	0.25675
EIF1AY	-4.01333333333333
LRRIQ1	-2.31
GPR150	0.15325
CCDC21	-1.62366666666667
PRRG3	0.0905
SAA4	-2.81775
RAPGEF5	0.948125
ZCCHC2	0.1445
MGC39372	-6.171
PPP4R2	0.081
CDCA2	-2.623
OR4D5	-0.105666666666667
PTGFRN	1.1877
SIGLEC5	0.995
C19orf61	-0.229666666666667
NMUR2	-0.172
KIAA1586	-0.757166666666667
DAGLA	0.742
CHCHD6	-0.445
GPR32	0.578
NEUROD6	-1.9594
SLC2A4RG	0.20075
CA5B	-0.01975
FBXL3	1.245
MPHOSPH9	-1.041
HMG2L1	0.64875
HCN4	0.190833333333333
CEACAM19	0.1465
SH2D4B	0.923166666666667
HFE2	0.0195
TGM4	1.09
LYPD2	-0.264
TBC1D15	0.106
MRPS21	0.0379
NONO	-0.2758
CLEC5A	2.715375
ITCH	0.1974
MGAT3	-2.551
MBP	-0.161
RPP25	-1.44675
SOSTDC1	-3.433
HRC	-1.7785
TRIM48	0.267
TMEM133	0.6475
ECEL1P2	-1.74025
HOXC11	-1.0935
DOK5	-1.138
HELZ	0.616
LOC348180	-1.60875
MGC33894	-0.8085
ADRB3	0.6275
DMD	-0.826666666666667
PTRH2	-0.53025
MPEG1	2.15683333333333
NDUFA12	0.0895
KRTAP2-4	0.175083333333333
STAMBPL1	-1.4325
ADCY2	-1.502
UNQ6125	0.5645
KLHL20	-0.429166666666667
SRM	-1.66875
OTC	-0.335333333333333
TMIE	0.113833333333333
SNX8	-0.18825
LIPK	0.5595
CHURC1	-0.588083333333333
KLC2	0.332
HDAC1	0.29
FAM128A	0.603666666666667
FNDC3B	-0.4207
MTCP1	-0.303833333333333
WFDC10B	-0.205111111111111
PCDHGB3	-0.7645
ATRNL1	3.4353
CAV2	-2.57025
MED26	0.203333333333333
DUS1L	0.228
CHRM3	-2.283625
NEK9	0.36575
WARS2	0.03275
TBX22	null
TOMM40	-1.3355
RP6-213H19.1	-0.403
TUBGCP5	-0.43975
IGSF6	4.3775
TPPP	0.8875
UNQ6190	-0.3785
GSTM5	1.599
BTD	0.750833333333333
PDCD1LG2	-0.7825
SNRPB2	-0.456833333333333
ERICH1	-0.463875
APOA4	-1.592125
HOXA11	-1.636
NARG1	-0.365875
MKX	2.5535
RAB28	-0.273785714285714
PKP3	1.36275
SH3GL2	-2.9305
CTSO	2.72475
RPN2	-0.032125
IL28RA	1.1525
SFMBT1	1.47975
WDR57	-0.396
FER1L3	0.971083333333333
HSF5	0.1568
TTC9B	0.8345
C4BPA	-3.39066666666667
ALB	-3.65992307692308
SORBS3	0.578125
UPF2	-0.375
JPH1	-1.187
AGBL2	2.85475
DOPEY1	2.28
TERF1	0.0758333333333333
KIF22	-0.4
NINJ1	2.22875
SEC61A2	0.486
HIST1H1D	-2.46466666666667
SFXN4	0.3145
UCP3	0.2418
ZNF703	0.731333333333333
MYL6B	0.264
TREM1	2.216
OR52E6	0.494
CKMT2	-0.39425
HLA-C	1.70375
SLC13A3	-1.74983333333333
TIMP4	-1.672
SLIT2	-1.0465
RSF1	-0.0465555555555556
LONRF1	-1.17428571428571
MON1A	0.166333333333333
CACNG6	-1.65966666666667
DPPA4	-5.03633333333333
ZSWIM3	0.1915
ZNF804A	-0.496833333333333
CCIN	0.756666666666667
SLC25A31	-0.2495
KCNMB4	-2.744
RABL5	0.0945
GALNS	-0.7715
STX6	-0.28
HIST1H1C	-0.940833333333333
CIDEB	0.55125
CASP4	0.087
PDK3	0.4016
KCNJ11	1.4865
TPR	-0.665375
ZSCAN20	0.517
MTX2	0.10225
HIST1H2BH	-0.4005
LOC283767	2.35175
LYRM7	-0.830388888888889
BRD3	0.0811666666666667
HIST1H2BO	-0.63575
MAGEB10	0.0580000000000001
SLC45A1	1.96575
SERPINA3	2.8399
KIAA0143	1.5645
KCNJ16	-0.620833333333333
KRT79	0.2235
FABP2	-0.10525
NUT	0.07725
ZNF57	0.24875
FBXL4	0.5685
CLEC9A	0.1825
UGT8	-2.2305
BMP2K	0.474
MAPK4	-2.652
SLC25A23	-0.1315
HINT1	-0.2874
KRTAP13-1	0.0825
SFXN5	0.9432
CHCHD2	0.922333333333333
FAM3D	0.542
NDP	2.995125
RHOBTB1	-1.37983333333333
SLC4A4	4.934625
RPL38	-0.56225
HTF9C	0.345333333333333
AP2A2	0.541
ZBTB46	-1.973
MAP7D1	-0.203375
AOX1	-2.61416666666667
CYR61	-1.13391666666667
DTNA	-1.14646153846154
JRKL	-1.549
TMOD3	-0.46725
EEA1	0.1352
ADCK5	-0.48775
IL1R1	1.072
KLK3	0.02575
HRSP12	-0.19925
KTN1	1.2095
LOH11CR2A	0.8521
RELL2	-0.3375
MAB21L1	2.0415
C20orf59	-1.38866666666667
PHKB	-0.012
ADAM2	-0.9915
TBC1D8B	-0.57
FAM13A1	-0.35475
LAPTM4B	-0.372916666666667
LCN8	-0.9825
TMEM147	0.638
SYT4	0.647
XPO7	-0.86
C9orf62	0.42175
GPR75	0.4675
TRIM5	-0.264875
APOC1	-2.618
RNASE4	1.34916666666667
PARD6B	0.26275
ARID1A	0.345083333333333
TPD52L3	-0.384125
RRAGB	0.881
RCN2	-0.471166666666667
HIST2H2BE	0.4958125
STARD7	-0.0645
SHMT2	-1.12725
KIAA1751	0.375333333333333
MLYCD	0.377375
LOC162632	-0.5465
UQCRH	-0.99525
RP11-217H1.1	0.1586875
SDHA	-1.19016666666667
NCLN	-0.2407
ZNF17	1.0075
RCBTB2	-2.10375
VEGFB	-0.1451
RP4-747L4.3	-0.0815
COLQ	0.0884
MPN2	-1.13533333333333
DRG2	-0.01575
KLRB1	1.3775
ALPK2	-3.2365
DNASE2B	2.10375
FLJ23834	1.87016666666667
AXUD1	0.083
SAFB	-0.722
NSUN4	0.14275
RFX2	0.7125
MAPK8IP1	-0.0323333333333333
FANCD2	-1.26521428571429
ANKZF1	-1.318
C19orf50	-0.44425
DUSP8	1.063625
SENP5	-0.348125
NFKBIL2	-0.802
LBR	-1.73325
IGFL1	1.312
LZTS2	0.311
IL2RG	-1.521375
CCDC51	-0.00025
KLF3	-0.11525
ANKRD37	-1.98825
KCTD14	-1.1155
FZR1	0.319166666666667
SLC44A4	3.662
ESPL1	-0.952625
GMPR2	0.3072
TBC1D19	-0.198
ERGIC1	0.707222222222222
ERBB4	5.1533
TSPAN32	-0.2335
MAP4	-0.7535
GPHN	0.20175
SLC6A2	-0.523875
HIVEP1	-0.75425
DFFB	0.0443
EIF4EBP2	0.35775
DMRT1	-0.3785
HSPB6	-0.423
IER2	-0.0791666666666667
AIFM1	0.69125
WWC2	-0.03925
MRPL4	-0.57
FLJ21062	1.07216666666667
EPB41L4A	1.93166666666667
SH2D6	0.44425
TAF4B	-1.6425
GAL3ST3	0.0185
MALT1	-0.924166666666667
RTDR1	0.051
ARVCF	0.646
MEX3B	-1.56833333333333
FBXO16	2.59275
KIF7	-0.58225
C1QC	3.8325
ZNF783	-0.893
ZNF85	0.07575
MMP13	-0.7345
KIAA0329	1.27675
RTP3	-0.45
ZBED3	0.545
CLGN	0.795
SLC25A37	-1.57460869565217
hCG_18290	-0.41675
OR5AS1	0.3185
SMARCC2	0.329166666666667
FAM109A	-0.0666666666666667
CCDC12	0.1955
USF2	0.4293
DEPDC7	-2.3395
C20orf24	-0.7665
JMJD3	0.632
DSP	1.333
SLIC1	0.445875
FAM20A	-1.57325
IRF2BP2	-0.3145
ZNF230	-0.1605
MSN	-2.14692857142857
SLC9A5	-0.9325
EPDR1	-4.3622
MUSK	0.343333333333333
