Hybridization REF	TCGA-A2-A0YD-01A-11R-A109-07
C7orf33	0.7185
PLIN	4.4395
LOC90826	-0.4645
RNF4	-0.1089
F8A1	0.169833333333333
PLEKHG4	-1.2915
GRB2	-0.1437
HIST1H2AD	0.646
DUS3L	-0.5995
EIF1	-0.104166666666667
RP5-1077B9.4	-0.8845
FPGT	1.575
GDF10	2.026
COQ9	-0.6145
GCC2	0.169785714285714
RARRES3	3.27025
PLXNA1	-0.7625
KIAA0100	-0.9914
PMF1	0.59325
FNDC1	5.622
HS2ST1	-0.05725
CRELD2	0.0175
C8G	-1.39
CD82	1.11375
LIM2	-1.7815
UNQ6490	0.695
MMP16	0.37425
DRD3	-0.21525
C5orf26	-0.51325
C11orf73	-0.207125
PTP4A2	0.964125
OR4M2	0.1755
HPCA	-1.489
SEC14L1	-0.434833333333333
CHFR	-0.00275
EMILIN1	1.389
NDUFS4	-0.32225
COL18A1	1.149875
PDZD3	-0.1661
C9orf16	-0.0155
ERBB2IP	0.3
EMX2	4.08225
FUS	-0.39225
TF	-3.368
CLCN4	0.244333333333333
CXorf56	0.1795
C11orf72	0.21225
ELAC2	-0.504833333333333
NPR1	0.24825
ASS1	0.0783333333333333
USP42	-0.06
POLR2J	-0.7435
SEC23IP	0.758833333333333
UQCRC1	-0.321
LOC729603	-0.6005
C1orf71	0.339375
POLG	-2.575
ADAM23	-2.716
TFR2	-1.62175
RICTOR	-0.6418
MGC39606	0.8
C19orf55	-0.294875
SNAPC1	-1.24683333333333
GNA11	0.56675
CCDC52	0.5825
FSIP1	4.489
UPF3A	-0.734
IGSF11	-1.74716666666667
LAGE3	0.57225
CHST6	-0.2915
UNC13B	-0.14725
TTLL4	-0.9275
ZNF687	0.99975
SDC2	-0.0393
COX7A2	-0.2975
LAMB4	0.2195
FAM24A	-0.1655
LRRTM3	-0.359333333333333
GPHB5	-0.059
OR4C13	-0.262
EIF3EIP	-0.280571428571429
HABP4	0.342
TMEM125	3.59175
CNTN2	0.535
ASNSD1	-0.3985
FUT4	0.10525
ACF	-3.60025
LOC158381	1.21
CDH8	0.22075
AGPS	0.152833333333333
C4orf18	4.06875
PECI	-0.00716666666666666
UNG	-0.822
GSTP1	-1.413375
DCUN1D5	-0.997333333333333
DKFZP564J0863	-1.06925
SLC9A3R1	1.205375
BCDO2	2.012625
CHMP7	-0.148125
REM2	0.426
DNHD1	-0.586
FKBP4	-0.562
ZNF350	1.528
MGC11102	-0.201
BST1	1.832
KISS1R	1.135
NCR2	0.226
DEFB125	-0.032
UBE2W	1.031625
KRT15	3.534875
C10orf99	0.2345
SCN11A	0.589875
GFI1	-1.77175
RDHE2	3.60133333333333
FHL1	0.66
OSGEP	-0.077
GATA1	-3.17516666666667
SMC6	-0.662
TTTY14	-1.37875
LPIN3	-0.4055
RPL4	-0.5294
RBPMS	0.7575
PRPF3	0.0665
EMR1	-1.1095
SPATA19	-0.1605
XCR1	0.1695
IRX3	1.5393
RBM6	-0.77525
KLF4	1.6034
UNC5CL	-1.0335
SEBOX	-0.1505
BTK	-0.389
KRCC1	0.652
C6orf27	0.279
SYTL5	0.273
PRND	4.1185
LOC653319	-1.3465
PIGL	-1.615875
HUS1	-0.159666666666667
SFRS6	0.35175
C17orf77	0.016
UIMC1	-0.588666666666667
FXYD2	-1.6394
LOC283152	2.4675
ZNF667	-1.26325
ZCCHC12	-0.68625
TFEC	3.0265
ATP7B	1.77466666666667
POLD2	-1.56433333333333
RG9MTD1	0.03125
ACOT2	0.3295
HIST1H4I	-1.19825
PPARGC1A	-2.2437
ETFA	-1.2295
POLRMT	-0.5305
ZNF146	-0.32825
MIA2	-0.56
KLHL6	-0.329
HOXB5	1.674375
NENF	1.27633333333333
CUGBP1	-0.06675
PRSS22	1.911
CASC4	1.6295
CUL4B	-0.1167
CENPJ	-1.3808
PITX1	0.306833333333333
FLJ31033	1.17666666666667
CELSR3	-1.90266666666667
ZNF568	0.673
ITSN1	-0.0107272727272727
EHBP1L1	-0.665666666666667
C19orf2	-0.97925
DCTN1	-0.0565
LIN28B	-3.93566666666667
TNKS2	-0.8495
C1QBP	-0.612375
CADPS2	1.06975
SRMS	0.653
GJA9	0.037
MGC24975	-0.482666666666667
TRIM45	0.224833333333333
TSP50	0.1745
TCP1	-1.455
TMED7	0.3932
CMA1	1.1555
CENPL	-0.965
PTCRA	0.288
FST	-2.16675
VWCE	-3.49025
PAWR	-0.0735
ABCC12	1.638
LDLR	-1.3494
ASTN2	0.4459
LOC441212	-0.820375
GPATCH8	-0.23125
TANC2	-0.140333333333333
KIF4A	-2.1915
C18orf18	-1.28075
PGM1	-0.722
KIAA0258	0.75
CPD	0.431875
SNCAIP	-0.268
DCT	-4.099
HLA-DOA	2.91522727272727
OR11L1	0.2895
UPK1B	-0.0581666666666667
DNAJB4	0.104
UGT1A8	-0.3495
HIST1H4L	-1.3375
PECR	-0.937833333333334
HSPA2	0.7605
WFIKKN1	-2.153
SERP1	0.20625
SYDE2	2.323
TACR2	0.557
NUP85	-0.734
CD177	-0.307333333333333
LGR5	-1.57766666666667
PIGG	0.101666666666667
PTHR1	-0.509833333333333
RAB5A	0.1217
FLJ13224	-0.5365
USP9Y	-1.30683333333333
C7orf53	-1.361
LRP1B	3.897
XAF1	3.3706
ABCG8	-0.7765
ANKDD1A	-0.565666666666667
DAND5	-1.392
SPAG6	0.245833333333333
LINCR	2.5555
ZDHHC22	-1.56125
CCDC60	-0.568
THOC7	-1.30716666666667
TCTA	1.2574
OR8K3	-0.095
NY-REN-7	-0.49275
B2M	2.1065
C6orf141	-1.93975
LPPR4	2.7575
SQLE	-2.26725
SEPHS1	-0.95925
BTBD14B	0.534642857142857
PLRG1	-0.0795
SPG7	-0.7855625
ZNF614	-0.00583333333333333
PARD6G	1.46866666666667
INPP5B	-0.4574
GRPEL2	-0.524125
PPID	-0.8186
TRIM56	-0.71375
UBE2J1	0.044625
IL20RA	4.5855
LOC387856	0.272
C1orf107	0.76775
UTS2R	1.2045
C19orf22	-0.46125
SAFB2	-0.355875
KIAA0652	0.000375000000000007
KLRG1	0.270833333333333
MS4A8B	3.18466666666667
FRAG1	-0.05775
KIAA1546	-0.03
E2F4	-1.2296
CLEC4M	0.505833333333333
BTBD14A	-0.96425
KIAA0999	1.0465
GYPA	-3.27233333333333
TAC1	2.3756
TRAIP	-1.8065
KIAA0232	1.142
ERCC8	-1.108625
GPX4	0.65925
KIAA0368	-0.5545
GPR157	-0.9125
CTAGE4	1.4735
C9orf30	-0.963333333333333
OR52A1	0.423
HSP90B3P	-1.0895
ALG9	-0.4281
BTBD10	0.753
SDK2	-1.368
BAIAP3	1.37725
RABGGTB	-0.8255
ANKRD40	0.239
KRT74	0.7965
CALCOCO2	0.309071428571429
SNCA	-2.643
TMSL8	-4.038875
C2orf53	0.0255
ESRRB	-1.07375
ARHGAP26	0.286375
TDRD9	-2.6505
HRAS	0.0755
KLRC4	-2.5705
JAGN1	-0.265666666666667
BSDC1	0.3555
RNF43	-0.6197
NDUFAF1	0.27725
PHF12	0.0135
OR1L3	0.07275
FOLR2	1.93175
LYZL6	0.2198
tcag7.1260	-1.323
WSB1	-1.43233333333333
PROS1	-0.0254
OSTN	0.562
PSMB8	1.4465
SOCS4	-0.36075
DDIT4L	1.22875
MAS1	-0.371
MGC34796	1.3505
CSHL1	-0.789333333333333
TBCCD1	0.0508333333333333
ZBTB7C	-0.262
AP2S1	-0.465875
P15RS	-0.3349
VAT1	-0.2485
SHANK3	1.45833333333333
TUFM	-0.2985
THEG	-0.6305
KRT34	-1.8575
SGSM3	-0.51475
TOMM22	-1.252875
SOCS3	2.33883333333333
CPO	0.564
POP4	0.0025
BHLHB3	2.35025
MALL	1.734
OR1B1	0.142
PARK2	0.934666666666667
GPR124	0.8075
LCE1E	0.1085
RUVBL2	-0.83525
CGRRF1	1.1167
ACPL2	0.6005
WNT10B	-1.980125
BAIAP2L2	-1.861375
ISCA1	0.02
C1orf125	2.553625
RPAP1	-1.2795
RAI16	0.475833333333333
RPL27	-0.305875
NLRP9	-0.2225
EPN1	0.4045
LOC388610	-1.74775
SLC35A1	1.1024
GAL	-3.305
SLC14A2	0.10925
RDH11	-0.568
FAM138F	-0.5595
AUH	0.21325
FLJ40243	0.24775
C14orf129	0.784666666666667
MBD2	-0.412166666666667
ABHD14B	0.06975
PIGT	0.74525
ALS2CR4	-0.28175
ALAS1	0.1564
FOXO1	1.63083333333333
CRLF3	-0.71175
C20orf107	-0.0515
FARS2	1.07475
CCDC28A	0.91425
NPHP3	-0.412
OR13F1	0.1875
TSEN54	-0.7505
DEFB106B	-0.336111111111111
OR8B4	0.4805
STH	1.54275
ZC3H14	-0.562625
CBX2	-0.059
TMEM49	-0.69725
C6orf21	0.495
FLJ20920	1.08275
CRTAP	0.0909285714285714
DDX50	-0.0015
STYXL1	0.14475
BLVRB	-0.156333333333333
LOC147650	-0.263833333333333
MMP24	0.28075
GRID1	1.65416666666667
BANF1	-0.877
CTAGEP	0.536
HMBS	-1.995
SLC25A24	1.51966666666667
C14orf50	1.37225
MRO	0.726333333333333
SLC25A15	-1.06025
FAM84B	0.6948
TDP1	-0.8905
C16orf78	0.3285
C11orf57	0.0865
RFK	-0.601375
ZFYVE9	-1.5805
STCH	-0.146
WIBG	0.30925
LOC283871	-0.11
GBA2	-0.7066
NDUFB3	0.0795
HSD17B13	0.211
GRIN3A	0.959166666666667
FMNL1	-0.2165
SEPT7	-0.2644
GNLY	3.5725
GRAMD1C	0.904
ZNF165	-0.24275
USP38	0.4945
FAM83A	-3.45933333333333
C14orf24	0.30075
ARMCX3	1.115
ARHGDIB	1.283
AK1	0.315375
KIAA1045	0.259
DNAJB13	-0.888333333333333
NEU2	0.6215
HIST1H4B	-1.32933333333333
FAM20B	0.7586
HES2	1.01235714285714
FAM73B	-0.8375
LOC388381	0.03525
INTS7	0.153636363636364
AMPH	4.00625
ZNF775	-0.07
UCKL1	-0.305833333333333
C10orf97	-0.1105
C1orf161	-0.2665
ALDH1L1	-0.095
FLJ39378	-0.068625
SLC23A1	-2.4485
RBM4B	-0.031
THAP4	0.2235
OGFRL1	-0.1925
KIAA0831	-0.059875
PPP1R15A	0.3965
C1orf96	0.278
C12orf11	-2.7435
BMF	0.527625
MAN1A1	-0.64425
KIAA1600	0.620333333333333
NLGN4X	0.6125
ALOX12	-1.68233333333333
RB1CC1	-0.0179
NEIL2	0.9248
EIF4E	-0.195636363636364
ABHD5	-0.797
EXOC4	-0.245833333333333
CIP29	-0.218333333333333
BATF2	0.98325
SLC29A4	-0.69125
HTR4	0.4505
EMB	0.1495
TRAF6	0.74225
LMNB1	-2.34925
FAM19A5	-0.340625
SHE	2.7885
PIK3C2B	1.98375
C15orf15	-0.5096
USP15	0.1399
TCEAL2	1.73625
C5orf39	-0.482666666666667
PTGER2	-0.6485
SLC31A1	-0.6863125
IFT172	0.774
ADAM29	0.1945
GFOD1	0.225
ST7L	0.514
C15orf26	-2.4425
PKN3	-1.28525
CNTD1	2.50766666666667
COMMD1	0.510875
NTRK2	3.22583333333333
FOXN3	0.65925
MFGE8	0.055
PFKFB2	0.692666666666667
TAS2R4	-1.12075
ENTHD1	0.799
PRMT5	-0.66
MGC16384	-1.638375
LOC442229	-0.12875
TSKU	0.285375
KRTCAP3	2.178625
PDLIM1	0.5239
KCNS2	0.163
RNF126	-0.477
CEP63	0.143875
CLIC4	0.1055
hCG_1990170	0.552
ACR	0.4772
KLK7	1.3695
ALOX5AP	3.988375
RIPK3	3.2095
TAS2R9	0.1415
C19orf18	1.7035
BIRC6	-0.546142857142857
ZNF16	0.794
RFT1	-0.3665
SLC8A2	-0.80125
TACC1	0.63475
ITGAD	1.279
SAMHD1	1.47575
SH3PXD2B	1.2562
EPC2	0.54875
C20orf85	-0.19125
ATP13A2	-0.0981666666666667
KRT4	1.469375
CAPNS1	0.23125
MDM2	-0.571416666666667
PCDH20	3.4655
KCNK9	0.2405
OR2C1	0.3255
KLHDC3	-0.896166666666667
IPPK	0.9335
EFHD2	0.7935
GALR3	1.09625
NBEA	0.807666666666667
ABCA6	3.9217
CLDN3	0.105666666666667
AKT2	-0.9945
EGFR	-1.3383
RBM16	0.41825
ZDHHC3	0.1778
SLC25A4	-1.01733333333333
CYB5B	-1.58783333333333
CPXM1	1.631
NDRG1	-1.26738461538462
FLJ43826	0.4835
OR5L2	0.0961666666666666
FARP2	0.1774
MRPL46	-0.303
LDHAL6B	0.00616666666666667
MAPKAPK3	-0.616333333333333
NCAM2	0.13425
PRKD2	0.561666666666667
ZFP36L1	2.2358
CYSLTR1	0.063
OR4C3	0.01575
HIST1H2AJ	0.6255
CCNB2	-3.03055555555556
ZNF10	0.24375
TMEM175	0.623
FAM134A	0.640166666666667
TIGD4	0.376
PCNP	-0.16675
MGC39715	0.192
LQK1	-0.57175
CREB1	0.5576
TMPRSS3	1.239
C4orf32	2.191625
LAT	-0.93475
KCNA3	0.182
SKIV2L2	-0.60075
ROPN1B	-2.06275
tcag7.23	-0.5945
CDT1	-3.443875
ZHX2	0.8285
CD28	-2.218
ZNF624	0.94325
SEPT2	0.349666666666667
SOHLH2	-0.625375
MCOLN3	0.7805
UNQ1945	0.343
MASP2	-1.068
ZNRF3	-0.9003
GPATCH3	-0.1385
AGL	-0.237
QRICH2	-1.633
PSD4	0.516833333333333
CCNB1IP1	-1.99925
ENPP7	-0.0055
OBFC1	0.3965
KCNG3	-2.44533333333333
C14orf79	0.796
ENPEP	2.20816666666667
SCT	1.403
SKI	0.946125
SEC61G	-1.26325
CAPN11	0.69575
ATXN7L3	-0.37875
DBNDD1	-0.785666666666667
FAIM	0.116
ANKRD36	-0.501
GABRP	3.179
TACSTD2	1.73016666666667
EIF3J	-0.593
PPP2R2A	-0.0335
TEKT4	-0.0945
PVALB	-3.251
F10	-1.7795
FAM134C	0.5386
COMP	4.739875
EFCBP1	-1.92125
SCLT1	0.275625
TAL1	-0.8473
ACSL1	1.0805
ABCC5	-0.0119166666666667
ABL1	-0.245055555555556
RBBP7	0.10525
PTPRG	-0.82025
NCOR1	-0.2193
SPINK4	-2.08066666666667
TXNRD1	-1.1103
TNRC15	0.767625
C9orf138	0.906625
UBE2H	0.552
BRDT	0.0708
C8orf31	-0.176
CCNE2	-2.70127272727273
SLC6A8	-1.82875
CALCR	-1.93
PPP1CB	0.244083333333333
ABHD8	0.21075
ARF5	0.0365
SLC24A4	0.66625
CCT3	0.3485
ZNF121	0.4005
SLC3A2	-1.3184
OR13A1	0.362
SLC5A10	0.89825
RAD50	0.1635
IER5	0.83125
MTHFD1L	-1.813125
MBTPS2	0.401
MVK	-1.153375
NCL	-0.5235
PSMD10	-0.41525
MOBP	0.64
FLJ32894	-0.318
HRH1	0.690833333333333
C5orf30	0.1465
NUDT16L1	0.9059
RASGRP3	4.01816666666667
PRKRIP1	-0.4443
CCDC75	-0.199
LOC253970	0.50825
KIAA1239	0.34975
MED21	-0.18275
SYT11	0.85675
NTSR2	-0.832
EGFL11	-0.175
CXorf59	0.6965
OR2A25	0.283
SPTBN2	-0.9655
LRMP	-0.747
RNF111	0.445
PTH	0.0145
LOC619208	1.16133333333333
KIAA0895	0.34625
RANBP5	-1.174125
P2RY10	1.4635
NME5	3.83183333333333
DDX21	-1.19725
LRSAM1	0.2585
HDAC11	1.7605
VMO1	1.74375
NOLA2	-0.326833333333333
ADAR	1.71858333333333
MTO1	-0.741833333333333
SF4	0.321666666666667
P2RX1	0.436
HBM	0.15975
EN2	1.3805
C14orf172	-0.15975
TM9SF2	0.4048
INHBE	-1.74283333333333
TCTE3	-0.519416666666667
TOX2	0.12025
CTAGE3	0.439375
HBB	3.879
MED15	-0.824333333333333
CASR	-0.02625
C6orf66	-1.13
MTPN	-0.331625
UNC50	0.1565
C21orf33	0.070875
IRF2	0.841375
PGR	3.35416666666667
GPR84	2.35775
CROCCL1	-2.48625
SRPX	-0.31775
BRE	0.353833333333333
FGF10	0.531
SDC3	0.436333333333333
ZRSR1	0.643166666666667
DKFZP434P211	-0.600125
SOX6	0.104
RPUSD2	-0.03525
C14orf173	-0.115833333333333
MAPK11	0.093
TBC1D22A	0.1675
FAM123A	0.4045
COL4A6	-1.94733333333333
TOMM70A	-0.58125
NAB1	0.25425
MGC16385	-0.6465
TSPAN18	0.879166666666667
MED31	-0.00599999999999999
PLG	-0.22925
CAPSL	-0.055
ZNF532	0.6084
ASB14	0.28525
CA8	-0.58175
NUDT16P	0.818666666666667
SLFN11	-0.0925
LRRIQ2	0.48575
NOL7	-0.3845
BRMS1L	-0.800375
JARID1A	0.3115
PANK2	-0.29125
ICAM3	-0.0745
MDS1	-0.9045
TAF8	-0.3365
RNF139	0.71625
ZNF594	-0.362166666666667
ADAM8	2.829875
SFTPC	-0.365625
MAN2B2	1.4205
RGS12	0.4635625
EIF1AY	-4.53883333333333
LRRIQ1	-0.100833333333333
GPR150	1.4005
CCDC21	-1.22933333333333
PRRG3	0.217
SAA4	-2.2715
RAPGEF5	2.162375
ZCCHC2	0.650166666666667
MGC39372	2.1125
PPP4R2	-0.0131666666666667
CDCA2	-2.5335
OR4D5	0.307833333333333
PTGFRN	1.243
SIGLEC5	1.99716666666667
C19orf61	-0.4315
NMUR2	-0.2755
KIAA1586	-0.759333333333333
DAGLA	-0.0916666666666667
CHCHD6	-0.59375
GPR32	0.6185
NEUROD6	-0.165833333333333
SLC2A4RG	0.556
CA5B	0.129
FBXL3	1.36825
MPHOSPH9	-1.61625
HMG2L1	-0.20675
HCN4	0.638333333333333
CEACAM19	-0.3885
SH2D4B	0.299666666666667
HFE2	-0.1545
TGM4	-0.7836
LYPD2	-0.2995
TBC1D15	-0.1245
MRPS21	0.8547
NONO	-1.1568
CLEC5A	2.14125
ITCH	0.1277
MGAT3	-0.903833333333333
MBP	0.0190000000000001
RPP25	-0.60575
SOSTDC1	-1.431
HRC	-0.95675
TRIM48	-0.328
TMEM133	0.50825
ECEL1P2	-1.27925
HOXC11	1.134
DOK5	0.6125
HELZ	0.196166666666667
LOC348180	-1.09825
MGC33894	-0.1055
ADRB3	0.431
DMD	-0.0184166666666667
PTRH2	-0.82875
MPEG1	3.209
NDUFA12	-0.0495
KRTAP2-4	0.0126666666666667
STAMBPL1	-0.8135
ADCY2	0.529
UNQ6125	0.5055
KLHL20	0.582833333333333
SRM	-1.42825
OTC	-0.14275
TMIE	0.542833333333333
SNX8	-0.17975
LIPK	-0.036
CHURC1	-0.0349166666666667
KLC2	0.115
HDAC1	-0.329166666666667
FAM128A	-0.122666666666667
FNDC3B	0.1032
MTCP1	-0.451666666666667
WFDC10B	-0.036
PCDHGB3	-0.018
ATRNL1	-1.3067
CAV2	0.431125
MED26	-0.1435
DUS1L	-0.4605
CHRM3	-1.83075
NEK9	0.1735
WARS2	0.222
TBX22	0.1345
TOMM40	-1.31625
RP6-213H19.1	-0.641166666666667
TUBGCP5	-0.745
IGSF6	5.42725
TPPP	0.224166666666667
UNQ6190	0.247
GSTM5	1.974625
BTD	1.11516666666667
PDCD1LG2	0.356166666666667
SNRPB2	0.0075
ERICH1	-0.425125
APOA4	-1.44925
HOXA11	-1.3525
NARG1	-0.30025
MKX	-0.98775
RAB28	-0.154214285714286
PKP3	0.70675
SH3GL2	-1.96875
CTSO	3.25675
RPN2	0.1818125
IL28RA	0.597333333333333
SFMBT1	0.9285
WDR57	-0.673375
FER1L3	1.37741666666667
HSF5	0.313833333333333
TTC9B	-0.1025
C4BPA	-2.9575
ALB	-3.37364285714286
SORBS3	0.506
UPF2	-0.6745
JPH1	-0.8755
AGBL2	0.04525
DOPEY1	1.5245
TERF1	-0.397833333333333
KIF22	-0.864166666666667
NINJ1	1.71175
SEC61A2	-0.222083333333333
HIST1H1D	-0.210666666666667
SFXN4	-0.40675
UCP3	0.2235
ZNF703	1.16083333333333
MYL6B	-0.29425
TREM1	2.30625
OR52E6	-0.0135
CKMT2	2.7645
HLA-C	2.38475
SLC13A3	-1.50533333333333
TIMP4	0.72875
SLIT2	3.03425
RSF1	-0.0747222222222222
LONRF1	-0.383857142857143
MON1A	-0.00283333333333334
CACNG6	-1.47733333333333
DPPA4	-5.11533333333333
ZSWIM3	0.00175
ZNF804A	0.432333333333333
CCIN	1.992
SLC25A31	0.53
KCNMB4	0.2935
RABL5	0.3405
GALNS	-0.7183
STX6	1.424625
HIST1H1C	-0.697833333333333
CIDEB	-0.13025
CASP4	0.866
PDK3	-0.3267
KCNJ11	1.3655
TPR	0.278125
ZSCAN20	-0.22
MTX2	-0.134
HIST1H2BH	0.05325
LOC283767	1.72
LYRM7	-1.27444444444444
BRD3	-0.316
HIST1H2BO	-0.071
MAGEB10	0.366
SLC45A1	1.38925
SERPINA3	1.91885
KIAA0143	1.27625
KCNJ16	1.01133333333333
KRT79	0.10175
FABP2	-0.08025
NUT	-0.257
ZNF57	-0.1445
FBXL4	0.2755
CLEC9A	2.239
UGT8	-1.00233333333333
BMP2K	0.47525
MAPK4	-3.36875
SLC25A23	-0.3004
HINT1	-0.7351
KRTAP13-1	0.5175
SFXN5	1.3207
CHCHD2	-0.118833333333333
FAM3D	0.903
NDP	-2.7735
RHOBTB1	0.522666666666667
SLC4A4	-0.911125
RPL38	-0.3085
HTF9C	-1.11766666666667
AP2A2	0.6915
ZBTB46	-0.0545
MAP7D1	0.44325
AOX1	-0.599333333333333
CYR61	2.6565
DTNA	-0.149307692307692
JRKL	-0.33425
TMOD3	0.1265
EEA1	0.402
ADCK5	-0.38
IL1R1	1.50533333333333
KLK3	0.504142857142857
HRSP12	-0.47675
KTN1	0.42825
LOH11CR2A	0.9459
RELL2	-1.43475
MAB21L1	1.3575
C20orf59	-1.30483333333333
PHKB	-0.6375
ADAM2	-1.92233333333333
TBC1D8B	1.59683333333333
FAM13A1	-0.994125
LAPTM4B	-1.16691666666667
LCN8	-0.052
TMEM147	0.557
SYT4	-0.0175
XPO7	-0.542
C9orf62	1.4415
GPR75	-0.148
TRIM5	0.277375
APOC1	0.706
RNASE4	1.2775
PARD6B	1.024
ARID1A	0.496666666666667
TPD52L3	0.4248
RRAGB	1.35183333333333
RCN2	-0.798
HIST2H2BE	0.58525
STARD7	-0.53275
SHMT2	-1.371
KIAA1751	0.0465
MLYCD	-0.229375
LOC162632	-0.7829
UQCRH	-1.4445
RP11-217H1.1	0.090375
SDHA	-1.159
NCLN	-0.6345
ZNF17	0.567833333333333
RCBTB2	-0.86025
VEGFB	0.3429
RP4-747L4.3	0.9595
COLQ	0.6258
MPN2	-0.872
DRG2	-0.28975
KLRB1	5.2825
ALPK2	-2.562
DNASE2B	4.1285
FLJ23834	-0.6735
AXUD1	1.94766666666667
SAFB	-0.5438
NSUN4	0.068
RFX2	0.8385
MAPK8IP1	-0.4175
FANCD2	-1.40821428571429
ANKZF1	-1.4405
C19orf50	-0.36475
DUSP8	1.34675
SENP5	-0.22075
NFKBIL2	-1.00325
LBR	-0.9185
IGFL1	0.088
LZTS2	0.350125
IL2RG	-0.0265
CCDC51	0.19075
KLF3	0.732625
ANKRD37	-1.52725
KCTD14	-1.02633333333333
FZR1	-0.188166666666667
SLC44A4	3.7043
ESPL1	-1.345625
GMPR2	-0.0342
TBC1D19	0.177
ERGIC1	0.0142592592592593
ERBB4	1.8546
TSPAN32	0.23375
MAP4	0.198625
GPHN	-0.48125
SLC6A2	-0.18525
HIVEP1	1.32425
DFFB	-0.4655
EIF4EBP2	0.50025
DMRT1	0.314
HSPB6	0.30275
IER2	1.9125
AIFM1	-0.706
WWC2	0.123583333333333
MRPL4	-0.46225
FLJ21062	1.23283333333333
EPB41L4A	0.9295
SH2D6	0.091
TAF4B	-1.2635
GAL3ST3	-0.744
MALT1	-0.8035
RTDR1	-0.53975
ARVCF	-0.558625
MEX3B	-0.631333333333333
FBXO16	1.72575
KIF7	-0.55075
C1QC	3.76666666666667
ZNF783	-0.9405
ZNF85	0.05075
MMP13	4.8055
KIAA0329	0.31625
RTP3	-2.071
ZBED3	-0.09375
CLGN	-1.637
SLC25A37	-1.31520833333333
hCG_18290	-0.2085
OR5AS1	-0.3985
SMARCC2	0.58225
FAM109A	-0.2895
CCDC12	-0.0795
USF2	0.5155
DEPDC7	-1.3995
C20orf24	-0.482166666666667
JMJD3	0.876
DSP	1.17564285714286
SLIC1	0.57475
FAM20A	1.252375
IRF2BP2	1.345125
ZNF230	-0.322
MSN	-0.1425
SLC9A5	-1.244
EPDR1	-0.7259
MUSK	0.711166666666667
ZNF434	0.405
