Hybridization REF	TCGA-A8-A0A7-01A-11R-A040-07
CDH8	-0.0355
AGPS	-1.03166666666667
C4orf18	2.38975
PECI	-0.502583333333333
UNG	-1.299
GSTP1	1.84675
DCUN1D5	-0.9345
DKFZP564J0863	-0.3755
SLC9A3R1	0.618
BCDO2	-0.49975
CHMP7	0.002625
REM2	0.0175
DNHD1	-0.32125
FKBP4	-0.894
ZNF350	1.6605
MGC11102	0.661625
BST1	1.96
KISS1R	1.3355
NCR2	0.1325
DEFB125	-1.0545
UBE2W	1.72125
KRT15	1.35625
C10orf99	0.0185
SCN11A	0.4545
GFI1	0.63525
RDHE2	1.9115
FHL1	-0.838666666666667
OSGEP	0.350333333333333
GATA1	-3.21583333333333
SMC6	-0.959
TTTY14	-0.659
LPIN3	0.069
RPL4	-0.6908
RBPMS	-0.4283
PRPF3	-0.979
EMR1	-0.5975
SPATA19	0.21075
XCR1	0.911
IRX3	0.4012
RBM6	-1.0735
KLF4	-1.4376
UNC5CL	-1.3395
SEBOX	0.19
BTK	0.79575
KRCC1	0.9335
C6orf27	0.732
SYTL5	-1.3035
PRND	2.16325
LOC653319	-1.658
PIGL	-1.011375
HUS1	-0.1175
SFRS6	-0.648666666666667
C17orf77	0.409
UIMC1	-0.983
FXYD2	-1.2716
LOC283152	-0.24425
ZNF667	-1.36425
ZCCHC12	-0.62675
TFEC	4.579
ATP7B	-1.177
POLD2	-1.242
RG9MTD1	-0.168
ACOT2	-0.323666666666667
HIST1H4I	0.27
PPARGC1A	-1.9786
ETFA	-0.7994
POLRMT	-0.328
ZNF146	-0.294875
MIA2	-1.366
KLHL6	1.36266666666667
HOXB5	-0.504
NENF	0.906166666666667
CUGBP1	-0.36925
PRSS22	2.04766666666667
CASC4	0.9614
CUL4B	0.0804
CENPJ	-1.7348
PITX1	-1.21016666666667
FLJ31033	1.08533333333333
CELSR3	-2.03683333333333
ZNF568	-0.24075
ITSN1	-0.261166666666667
EHBP1L1	-0.0296666666666667
C19orf2	-1.00925
DCTN1	-0.02075
LIN28B	-3.13766666666667
TNKS2	-0.9255
C1QBP	-1.041875
CADPS2	0.3855
SRMS	1.175
GJA9	0.0143333333333333
MGC24975	-0.778166666666667
TRIM45	-1.723
TSP50	-0.06525
TCP1	-1.32775
TMED7	0.6238
CMA1	1.168
CENPL	-1.01866666666667
PTCRA	1.663
FST	-2.00725
VWCE	-3.4505
PAWR	-0.659
ABCC12	1.405
LDLR	-0.9361
ASTN2	0.3276
LOC441212	-0.715625
GPATCH8	-0.49675
TANC2	-0.874083333333333
KIF4A	-1.55725
C18orf18	-0.69425
PGM1	-0.91975
KIAA0258	0.57125
CPD	0.018375
SNCAIP	-1.1965
DCT	-3.83916666666667
HLA-DOA	3.83790909090909
OR11L1	1.002
UPK1B	-0.683333333333333
DNAJB4	-0.583
UGT1A8	0.011
HIST1H4L	1.147
PECR	-1.23733333333333
HSPA2	-0.20175
WFIKKN1	-2.22
SERP1	0.89525
SYDE2	1.0265
TACR2	0.789
NUP85	-1.05575
CD177	0.576833333333333
LGR5	-2.02133333333333
PIGG	0.523083333333333
PTHR1	-0.6705
RAB5A	-0.0599
FLJ13224	0.1535
USP9Y	-1.16533333333333
C7orf53	-0.7685
LRP1B	-0.2895
XAF1	2.4445
ABCG8	-0.9185
ANKDD1A	-0.3395
DAND5	-2.7535
SPAG6	0.837333333333333
LINCR	1.626
ZDHHC22	-1.51725
CCDC60	-0.1905
THOC7	-1.49433333333333
TCTA	1.3751
OR8K3	0.1245
NY-REN-7	-0.22975
B2M	2.49066666666667
C6orf141	-2.8815
LPPR4	1.149
SQLE	-0.66475
SEPHS1	-0.88475
BTBD14B	0.487571428571429
PLRG1	-0.28325
SPG7	-0.8283125
ZNF614	-0.8055
PARD6G	0.582166666666667
INPP5B	-0.908
GRPEL2	-0.5885
PPID	-0.6972
TRIM56	-0.25275
UBE2J1	0.69725
IL20RA	3.0075
LOC387856	0.19825
C1orf107	-0.1305
UTS2R	1.438
C19orf22	-0.42225
SAFB2	-0.10375
KIAA0652	0.25775
KLRG1	1.712
MS4A8B	0.716333333333333
FRAG1	-0.2545
KIAA1546	0.051
E2F4	-1.2409
CLEC4M	0.34
BTBD14A	-0.61125
KIAA0999	0.663
GYPA	-3.0855
TAC1	-0.6963
TRAIP	-1.575
KIAA0232	0.2168
ERCC8	-1.25275
GPX4	0.737125
KIAA0368	-0.53075
GPR157	-0.000999999999999927
CTAGE4	-0.058
C9orf30	-1.55583333333333
OR52A1	0.038
HSP90B3P	-0.471
ALG9	-0.1289
BTBD10	0.719
SDK2	0.79875
BAIAP3	0.8845
RABGGTB	-1.2775
ANKRD40	2.581
KRT74	0.4655
CALCOCO2	1.35114285714286
SNCA	-2.946
TMSL8	-2.76875
C2orf53	-0.203
ESRRB	-0.98075
ARHGAP26	-0.493125
TDRD9	1.849
HRAS	1.48416666666667
KLRC4	-1.094
JAGN1	-0.1815
BSDC1	0.34875
RNF43	0.2934
NDUFAF1	-0.02425
PHF12	0.11525
OR1L3	-0.14875
FOLR2	3.465
LYZL6	0.529666666666667
tcag7.1260	-0.582
WSB1	-1.5735
PROS1	-0.502
OSTN	0.1865
PSMB8	1.61975
SOCS4	-0.7005
DDIT4L	2.9285
MAS1	-0.2305
MGC34796	0.51525
CSHL1	0.197166666666667
TBCCD1	-0.219666666666667
ZBTB7C	-0.016
AP2S1	0.550375
P15RS	-0.8501
VAT1	-0.8889
SHANK3	0.422333333333333
TUFM	0.124666666666667
THEG	-0.586
KRT34	-2.6815
SGSM3	0.383375
TOMM22	-0.22875
SOCS3	0.310666666666667
CPO	-0.0615
POP4	0.337
BHLHB3	1.3485
MALL	1.216
OR1B1	0.5825
PARK2	1.27266666666667
GPR124	0.11075
LCE1E	0.386
RUVBL2	0.12075
CGRRF1	0.4052
ACPL2	-0.9975
WNT10B	-1.2965
BAIAP2L2	-1.774625
ISCA1	-0.2925
C1orf125	-0.076625
RPAP1	-1.5645
RAI16	-0.1065
RPL27	-0.34925
NLRP9	0.2045
EPN1	0.4345
LOC388610	-2.29225
SLC35A1	0.5001
GAL	-3.6805
SLC14A2	0.43675
RDH11	-0.740833333333333
FAM138F	-0.191
AUH	-0.52375
FLJ40243	0.082
C14orf129	0.562833333333333
MBD2	-0.501
ABHD14B	-0.13775
PIGT	0.0815
ALS2CR4	-0.704625
ALAS1	0.139
FOXO1	2.04783333333333
CRLF3	0.147875
C20orf107	0.212
FARS2	0.96675
CCDC28A	0.42525
NPHP3	-1.12175
OR13F1	0.6835
TSEN54	-0.2035
DEFB106B	0.3376
OR8B4	0.465
STH	-1.36575
ZC3H14	-0.921875
CBX2	-0.115
TMEM49	-0.91225
C6orf21	0.5325
FLJ20920	1.734125
CRTAP	-0.146642857142857
DDX50	-0.23625
STYXL1	0.49675
BLVRB	2.59333333333333
LOC147650	-0.00883333333333332
MMP24	0.767
GRID1	1.02583333333333
BANF1	-0.3395
CTAGEP	-0.021
HMBS	-1.558
SLC25A24	-0.043
C14orf50	-0.3795
MRO	0.388333333333333
SLC25A15	-1.28475
FAM84B	1.9462
TDP1	-0.9275
C16orf78	0.03
C11orf57	0.7465
RFK	-0.44675
ZFYVE9	-0.702125
STCH	0.1794
WIBG	0.42475
LOC283871	-0.297166666666667
GBA2	-0.8199
NDUFB3	0.2455
HSD17B13	-0.42075
GRIN3A	2.009
FMNL1	0.352166666666667
SEPT7	-0.1127
GNLY	5.5225
GRAMD1C	0.2135
ZNF165	0.3095
USP38	0.57875
FAM83A	-0.0951666666666667
C14orf24	0.45775
ARMCX3	0.317125
ARHGDIB	1.31083333333333
AK1	0.027625
KIAA1045	0.25575
DNAJB13	-0.1275
NEU2	0.2455
HIST1H4B	0.242833333333333
FAM20B	-0.5863
HES2	1.12378571428571
FAM73B	-0.7043
LOC388381	-0.19125
INTS7	-0.784909090909091
AMPH	0.76425
ZNF775	0.2975
UCKL1	-0.570666666666667
C10orf97	-0.26225
C1orf161	0.331
ALDH1L1	1.0985
FLJ39378	-0.634625
SLC23A1	-2.4975
RBM4B	-0.163
THAP4	-0.0833333333333333
OGFRL1	-0.1235
KIAA0831	-0.43675
PPP1R15A	-0.1675
C1orf96	0.114428571428571
C12orf11	-2.8365
BMF	1.018
MAN1A1	0.138
KIAA1600	0.4325
NLGN4X	1.09625
ALOX12	-0.751
RB1CC1	0.6573
NEIL2	-0.0899
EIF4E	0.1605
ABHD5	-0.932
EXOC4	0.0728333333333333
CIP29	-0.6805
BATF2	3.11075
SLC29A4	-0.982875
HTR4	0.39675
EMB	0.915
TRAF6	0.82775
LMNB1	-2.17575
FAM19A5	0.37925
SHE	1.3125
PIK3C2B	0.6455
C15orf15	-0.4
USP15	0.393
TCEAL2	0.99375
C5orf39	0.890833333333333
PTGER2	0.258
SLC31A1	-0.204375
IFT172	-0.53925
ADAM29	0.07925
GFOD1	-0.841
ST7L	-0.744
C15orf26	-2.428
PKN3	-1.425
CNTD1	2.82
COMMD1	0.61125
NTRK2	2.09025
FOXN3	0.42675
MFGE8	-0.6981
PFKFB2	0.500333333333333
TAS2R4	0.1245
ENTHD1	1.93733333333333
PRMT5	-1.1495
MGC16384	-0.684125
LOC442229	-0.57125
TSKU	-0.455625
KRTCAP3	2.905125
PDLIM1	0.1138
KCNS2	0.58475
RNF126	-0.459666666666667
CEP63	-0.500375
CLIC4	-0.415875
hCG_1990170	1.00875
ACR	0.4098
KLK7	1.28025
ALOX5AP	4.07575
RIPK3	3.2105
TAS2R9	-0.173
C19orf18	0.934
BIRC6	-0.255142857142857
ZNF16	1.3895
RFT1	-0.56075
SLC8A2	-0.26975
TACC1	1.3765
ITGAD	1.87725
SAMHD1	1.6635
SH3PXD2B	0.359
EPC2	0.454
C20orf85	0.636625
ATP13A2	-0.0065
KRT4	5.190625
CAPNS1	0.29825
MDM2	2.08683333333333
PCDH20	0.9645
KCNK9	0.8775
OR2C1	-0.0145
KLHDC3	-0.603166666666667
IPPK	0.09
EFHD2	0.53575
GALR3	1.39325
NBEA	0.801666666666667
ABCA6	3.1866
CLDN3	2.27916666666667
AKT2	-0.4975
EGFR	-1.2928
RBM16	-0.26925
ZDHHC3	0.5569
SLC25A4	0.107666666666667
CYB5B	-1.3795
CPXM1	1.19575
NDRG1	-1.10376923076923
FLJ43826	0.122
OR5L2	0.157166666666667
FARP2	0.2698
MRPL46	-0.398333333333333
LDHAL6B	0.2365
MAPKAPK3	-0.178333333333333
NCAM2	-0.39375
PRKD2	1.16316666666667
ZFP36L1	1.0496
CYSLTR1	1.0305
OR4C3	0.79175
HIST1H2AJ	1.7445
CCNB2	-2.08411111111111
ZNF10	-0.7555
TMEM175	0.9755
FAM134A	0.966666666666667
TIGD4	0.18
PCNP	-0.35575
MGC39715	0.23175
LQK1	-0.58175
CREB1	0.5367
TMPRSS3	-2.196
C4orf32	0.056625
LAT	0.8795
KCNA3	0.8545
SKIV2L2	-1.27
ROPN1B	-2.00025
tcag7.23	0.053
CDT1	-2.7615
ZHX2	0.824625
CD28	-0.22875
ZNF624	0.67175
SEPT2	0.0173333333333333
SOHLH2	-1.457125
MCOLN3	-0.843
UNQ1945	0.9995
MASP2	-0.91
ZNRF3	-1.2261
GPATCH3	0.0855
AGL	0.061
QRICH2	-0.5305
PSD4	0.8525
CCNB1IP1	-2.61375
ENPP7	-0.0395
OBFC1	-0.55775
KCNG3	-1.96075
C14orf79	-0.697
ENPEP	-0.165
SCT	3.331
SKI	0.788125
SEC61G	-0.93325
CAPN11	-0.057
ATXN7L3	-0.76175
DBNDD1	-0.606333333333333
FAIM	0.08675
ANKRD36	-0.3515
GABRP	2.444
TACSTD2	1.05833333333333
EIF3J	-0.97225
PPP2R2A	-0.9045
TEKT4	0.4295
PVALB	-3.2775
F10	-1.4195
FAM134C	0.7715
COMP	5.271875
EFCBP1	-1.978625
SCLT1	1.565125
TAL1	-1.2667
ACSL1	1.866
ABCC5	0.54775
ABL1	-0.942555555555555
RBBP7	-0.41
PTPRG	-1.29075
NCOR1	-0.4787
SPINK4	-1.87366666666667
TXNRD1	0.4728
TNRC15	0.88
C9orf138	0.337
UBE2H	0.487166666666667
BRDT	0.570666666666667
C8orf31	0.14675
CCNE2	0.177545454545455
SLC6A8	-1.699375
CALCR	-2.94775
PPP1CB	0.589333333333333
ABHD8	-0.1385
ARF5	0.206
SLC24A4	0.87725
CCT3	-0.59875
ZNF121	0.09275
SLC3A2	0.1788
OR13A1	0.7745
SLC5A10	-0.642
RAD50	-1.2305
IER5	0.566875
MTHFD1L	-1.70725
MBTPS2	0.34575
MVK	-0.546375
NCL	-0.5349
PSMD10	0.08525
MOBP	-0.058
FLJ32894	-0.17
HRH1	-0.365333333333333
C5orf30	-0.95575
NUDT16L1	1.235
RASGRP3	3.8555
PRKRIP1	-0.2182
CCDC75	0.661
LOC253970	0.253
KIAA1239	0.318
MED21	-0.96425
SYT11	1.14016666666667
NTSR2	-0.6225
EGFL11	0.364
CXorf59	0.6285
OR2A25	0.04125
SPTBN2	-0.3075
LRMP	0.0305
RNF111	-0.0015
PTH	0.515
LOC619208	0.521
KIAA0895	-0.84275
RANBP5	-1.194375
P2RY10	3.18266666666667
NME5	0.326
DDX21	-1.368
LRSAM1	-0.297
HDAC11	0.714
VMO1	2.08975
NOLA2	-0.551833333333333
ADAR	0.6315
MTO1	-0.464
SF4	0.263666666666667
P2RX1	1.00966666666667
HBM	0.0865
EN2	1.5005
C14orf172	0.0085
TM9SF2	1.2179
INHBE	-1.0035
TCTE3	-0.356083333333333
TOX2	-1.5405
CTAGE3	0.4575
HBB	3.6015
MED15	-0.748
CASR	0.20075
C6orf66	-1.346
MTPN	0.446625
UNC50	-0.18575
C21orf33	0.062
IRF2	1.3
PGR	-2.104
GPR84	3.465
CROCCL1	-2.45225
SRPX	-1.7315
BRE	0.0813333333333333
FGF10	1.0975
SDC3	-0.0365
ZRSR1	0.268333333333333
DKFZP434P211	-0.3975
SOX6	-0.435
RPUSD2	-0.49125
C14orf173	-0.136416666666667
MAPK11	0.0353333333333334
TBC1D22A	0.6645
FAM123A	-0.406
COL4A6	-3.42833333333333
TOMM70A	0.01825
NAB1	-0.250125
MGC16385	-0.2845
TSPAN18	0.0943333333333333
MED31	0.332
PLG	-0.0105
CAPSL	0.2625
ZNF532	0.00729999999999998
ASB14	0.0925
CA8	-2.7385
NUDT16P	0.298166666666667
SLFN11	0.4405
LRRIQ2	-0.324125
NOL7	-0.191166666666667
BRMS1L	-0.69025
JARID1A	0.450666666666667
PANK2	-0.35225
ICAM3	1.4705
MDS1	-0.606
TAF8	-0.6805
RNF139	1.42575
ZNF594	-0.969833333333333
ADAM8	2.461375
SFTPC	0.134
MAN2B2	0.108375
RGS12	-0.0669375
EIF1AY	-4.35566666666667
LRRIQ1	-1.45883333333333
GPR150	1.51975
CCDC21	-1.5415
PRRG3	0.17625
SAA4	-3.29325
RAPGEF5	0.575875
ZCCHC2	0.0658333333333333
MGC39372	0.23
PPP4R2	-0.00616666666666665
CDCA2	-1.71466666666667
OR4D5	-0.0151666666666667
PTGFRN	0.6528
SIGLEC5	2.727
C19orf61	0.5
NMUR2	-0.181
KIAA1586	-0.8055
DAGLA	0.244
CHCHD6	0.61975
GPR32	0.2965
NEUROD6	0.144
SLC2A4RG	0.4879375
CA5B	0.2175
FBXL3	1.484
MPHOSPH9	-1.79025
HMG2L1	-0.488
HCN4	0.851
CEACAM19	0.14175
SH2D4B	0.570666666666667
HFE2	-0.5435
TGM4	0.2984
LYPD2	-0.25575
TBC1D15	-0.01375
MRPS21	-0.3347
NONO	-0.6981
CLEC5A	1.30875
ITCH	0.1957
MGAT3	0.458166666666667
MBP	0.391125
RPP25	0.72375
SOSTDC1	-2.7665
HRC	-1.78775
TRIM48	0.12
TMEM133	-0.73475
ECEL1P2	-1.05875
HOXC11	-0.3275
DOK5	0.2345
HELZ	0.0426666666666667
LOC348180	-0.4765
MGC33894	0.905
ADRB3	0.1175
DMD	-0.455833333333333
PTRH2	-0.17225
MPEG1	4.192
NDUFA12	-0.0476666666666667
KRTAP2-4	0.233166666666667
STAMBPL1	-0.7625
ADCY2	2.77555756156289e-17
UNQ6125	0.105
KLHL20	0.287166666666667
SRM	-0.6725
OTC	-0.48
TMIE	0.0105
SNX8	1.2065
LIPK	0.2315
CHURC1	0.629916666666667
KLC2	0.553333333333333
HDAC1	-0.923166666666667
FAM128A	-0.379333333333333
FNDC3B	-0.01
MTCP1	-0.207166666666667
WFDC10B	0.7817
PCDHGB3	0.2845
ATRNL1	-1.7818
CAV2	-0.81
MED26	0.0675
DUS1L	-0.04425
CHRM3	-2.000375
NEK9	-0.25425
WARS2	-0.20425
TBX22	0.0135
TOMM40	-0.4625
RP6-213H19.1	-1.6405
TUBGCP5	-1.36225
IGSF6	6.3035
TPPP	0.342
UNQ6190	-0.078
GSTM5	0.514125
BTD	0.022
PDCD1LG2	1.66533333333333
SNRPB2	0.154
ERICH1	0.33725
APOA4	-1.2425
HOXA11	-1.4105
NARG1	-0.0935
MKX	1.44175
RAB28	-0.5305
PKP3	1.69225
SH3GL2	-3.069
CTSO	3.16475
RPN2	1.2180625
IL28RA	0.376666666666667
SFMBT1	-0.0465
WDR57	-0.621625
FER1L3	0.363333333333333
HSF5	0.771833333333333
TTC9B	0.51025
C4BPA	-3.42366666666667
ALB	-3.46414285714286
SORBS3	0.009125
UPF2	-0.5555
JPH1	0.4355
AGBL2	-1.4995
DOPEY1	1.152
TERF1	0.05425
KIF22	-0.983333333333333
NINJ1	0.8845
SEC61A2	-0.363916666666667
HIST1H1D	0.459833333333333
SFXN4	-0.3025
UCP3	0.4546
ZNF703	0.334166666666667
MYL6B	0.9775
TREM1	1.1095
OR52E6	0.4035
CKMT2	1.00475
HLA-C	3.093625
SLC13A3	-1.09966666666667
TIMP4	-1.607
SLIT2	2.8045
RSF1	-0.0657777777777778
LONRF1	-1.27807142857143
MON1A	-0.0696666666666667
CACNG6	0.0356666666666666
DPPA4	-4.9235
ZSWIM3	0.858
ZNF804A	1.13783333333333
CCIN	1.2
SLC25A31	0.496
KCNMB4	-0.65075
RABL5	0.19525
GALNS	-0.3742
STX6	0.744125
HIST1H1C	0.854333333333333
CIDEB	-0.15675
CASP4	1.1825
PDK3	-0.5656
KCNJ11	0.118
TPR	-0.672375
ZSCAN20	-0.64
MTX2	-0.40125
HIST1H2BH	0.325
LOC283767	1.96375
LYRM7	-1.31177777777778
BRD3	-0.468166666666667
HIST1H2BO	0.30325
MAGEB10	0.3
SLC45A1	0.25175
SERPINA3	-1.81455
KIAA0143	1.88375
KCNJ16	0.424166666666667
KRT79	0.685
FABP2	-0.1775
NUT	0.166
ZNF57	-0.097
FBXL4	0.049875
CLEC9A	0.5085
UGT8	-0.931833333333333
BMP2K	0.61
MAPK4	-2.88575
SLC25A23	-0.8038
HINT1	0.2253
KRTAP13-1	0.1935
SFXN5	-0.4221
CHCHD2	0.22425
FAM3D	1.4015
NDP	-2.90875
RHOBTB1	-0.204
SLC4A4	-0.388
RPL38	-0.01225
HTF9C	-0.4945
AP2A2	0.888125
ZBTB46	-0.2565
MAP7D1	0.428625
AOX1	-0.588
CYR61	0.145833333333333
DTNA	-0.703357142857143
JRKL	-0.16075
TMOD3	-0.00125
EEA1	-0.3689
ADCK5	0.39875
IL1R1	2.009
KLK3	0.819357142857143
HRSP12	0.07375
KTN1	-0.43325
LOH11CR2A	0.5553
RELL2	-0.77075
MAB21L1	0.89075
C20orf59	-0.9625
PHKB	0.35025
ADAM2	-1.43933333333333
TBC1D8B	0.791833333333333
FAM13A1	-1.0035625
LAPTM4B	0.62175
LCN8	-0.192
TMEM147	0.9395
SYT4	0.317666666666667
XPO7	-1.0985
C9orf62	1.48075
GPR75	-0.1885
TRIM5	0.133375
APOC1	1.87383333333333
RNASE4	-1.14633333333333
PARD6B	-2.02975
ARID1A	-0.0769166666666667
TPD52L3	0.1245
RRAGB	0.500666666666667
RCN2	-0.7425
HIST2H2BE	-0.1455625
STARD7	0.1035
SHMT2	-1.00175
KIAA1751	0.0815
MLYCD	0.253125
LOC162632	-1.4572
UQCRH	-0.98975
RP11-217H1.1	1.0453125
SDHA	-1.20866666666667
NCLN	0.2303
ZNF17	0.636666666666667
RCBTB2	-0.832
VEGFB	0.5369
RP4-747L4.3	1.063
COLQ	-0.1278
MPN2	-0.6685
DRG2	-0.51975
KLRB1	7.7055
ALPK2	-1.34075
DNASE2B	2.104
FLJ23834	-0.124833333333333
AXUD1	0.280833333333333
SAFB	-0.2341
NSUN4	-0.3915
RFX2	0.402666666666667
MAPK8IP1	-0.283166666666667
FANCD2	-1.16478571428571
ANKZF1	-1.40916666666667
C19orf50	-0.549375
DUSP8	1.387875
SENP5	-0.005375
NFKBIL2	-0.1385
LBR	-0.57325
IGFL1	0.82
LZTS2	0.0245
IL2RG	1.629625
CCDC51	-0.47525
KLF3	-0.28475
ANKRD37	-0.86725
KCTD14	-1.0985
FZR1	0.0920833333333333
SLC44A4	-0.9319
ESPL1	-0.826125
GMPR2	-0.4629
TBC1D19	-1.19333333333333
ERGIC1	0.0188148148148148
ERBB4	-0.0133
TSPAN32	1.3755
MAP4	-0.629
GPHN	-0.8655
SLC6A2	1.077375
HIVEP1	0.4
DFFB	-0.2233
EIF4EBP2	0.8375
DMRT1	0.39925
HSPB6	-0.36
IER2	-0.211666666666667
AIFM1	-0.21025
WWC2	-0.11975
MRPL4	-0.6705
FLJ21062	-0.333
EPB41L4A	0.582583333333334
SH2D6	-0.21075
TAF4B	-1.32925
GAL3ST3	-0.1975
MALT1	-0.683666666666667
RTDR1	0.03325
ARVCF	-0.941142857142857
MEX3B	-1.13433333333333
FBXO16	0.75175
KIF7	-1.11075
C1QC	4.56116666666667
ZNF783	-0.275166666666667
ZNF85	-1.22175
MMP13	1.7745
KIAA0329	0.011
RTP3	-0.742
ZBED3	-1.28275
CLGN	-2.78475
SLC25A37	-1.69554166666667
hCG_18290	-0.36325
OR5AS1	-0.145
SMARCC2	1.51583333333333
FAM109A	-0.372
CCDC12	-0.3365
USF2	0.4762
DEPDC7	-1.77475
C20orf24	0.563666666666667
JMJD3	-0.24
DSP	-0.492
SLIC1	1.37325
FAM20A	2.67975
IRF2BP2	-0.426125
ZNF230	0.68
MSN	-0.085
SLC9A5	-0.836
EPDR1	-1.0334
MUSK	0.252
ZNF434	-0.0433333333333333
SMARCD1	-0.365
ZFP106	-0.617
ZNF347	0.0463
GTF2E1	0.299
RY1	-0.264333333333333
