Hybridization REF	TCGA-A8-A07G-01A-11R-A034-07
PPARGC1A	-1.5864
ETFA	0.2179
POLRMT	-0.40725
ZNF146	-0.388625
MIA2	-0.984
KLHL6	-0.8245
HOXB5	2.743375
NENF	1.27283333333333
CUGBP1	1.28475
PRSS22	0.740166666666667
CASC4	1.773
CUL4B	0.1794
CENPJ	-1.7075
PITX1	0.0625
FLJ31033	0.110833333333333
CELSR3	-2.04666666666667
ZNF568	0.9675
ITSN1	-0.0975
EHBP1L1	-0.786666666666667
C19orf2	-0.70325
DCTN1	-0.05775
LIN28B	-3.45433333333333
TNKS2	-1.09275
C1QBP	-0.973625
CADPS2	1.44025
SRMS	0.5
GJA9	0.266833333333333
MGC24975	-1.25383333333333
TRIM45	-0.295833333333333
TSP50	0.16425
TCP1	-0.50925
TMED7	1.3634
CMA1	0.6155
CENPL	-1.175
PTCRA	-0.1005
FST	-1.221
VWCE	-4.18425
PAWR	0.20675
ABCC12	2.591
LDLR	-1.4354
ASTN2	0.0788
LOC441212	-1.394625
GPATCH8	-0.219
TANC2	-0.0150833333333333
KIF4A	-2.93975
C18orf18	-1.7205
PGM1	-0.4605
KIAA0258	0.7345
CPD	0.531625
SNCAIP	-0.13625
DCT	-4.52533333333333
HLA-DOA	2.52913636363636
OR11L1	0.351
UPK1B	-0.1545
DNAJB4	-0.13475
UGT1A8	0.6225
HIST1H4L	-1.047
PECR	-1.31266666666667
HSPA2	1.4375
WFIKKN1	-2.3435
SERP1	1.325125
SYDE2	0.31375
TACR2	0.5565
NUP85	-0.707
CD177	0.0943333333333333
LGR5	-1.433
PIGG	0.607833333333333
PTHR1	0.0183333333333333
RAB5A	0.0434
FLJ13224	-0.061
USP9Y	-1.58033333333333
C7orf53	-1.3685
LRP1B	0.30475
XAF1	1.401
ABCG8	-0.5055
ANKDD1A	-0.713333333333333
DAND5	-2.2845
SPAG6	0.4775
LINCR	0.56025
ZDHHC22	-1.69375
CCDC60	-0.0765
THOC7	-1.7015
TCTA	1.1937
OR8K3	-0.0595
NY-REN-7	-0.56125
B2M	1.49766666666667
C6orf141	-2.967625
LPPR4	2.608
SQLE	-1.173875
SEPHS1	-0.287
BTBD14B	0.261571428571429
PLRG1	-0.01125
SPG7	-0.7038125
ZNF614	-0.175833333333333
PARD6G	1.07766666666667
INPP5B	-0.9032
GRPEL2	0.090375
PPID	-1.0105
TRIM56	-0.36175
UBE2J1	0.207125
IL20RA	5.695
LOC387856	0.5825
C1orf107	0.411833333333333
UTS2R	1.13675
C19orf22	-0.56875
SAFB2	-0.322375
KIAA0652	0.1495
KLRG1	-0.506333333333333
MS4A8B	0.404
FRAG1	0.106
KIAA1546	0.25975
E2F4	-1.4592
CLEC4M	0.249833333333333
BTBD14A	-0.6185
KIAA0999	0.9748
GYPA	-3.78616666666667
TAC1	1.0217
TRAIP	-2.31016666666667
KIAA0232	1.0706
ERCC8	-0.48625
GPX4	0.593
KIAA0368	-0.812625
GPR157	-0.435666666666666
CTAGE4	0.824
C9orf30	-1.27566666666667
OR52A1	0.3495
HSP90B3P	0.0125
ALG9	0.0452
BTBD10	0.53275
SDK2	0.0475
BAIAP3	-0.40975
RABGGTB	-1.1395
ANKRD40	0.247
KRT74	0.6525
CALCOCO2	1.08635714285714
SNCA	-2.80225
TMSL8	-4.478625
C2orf53	-0.06
ESRRB	-0.19125
ARHGAP26	-0.338875
TDRD9	1.1635
HRAS	-0.211333333333333
KLRC4	-2.2285
JAGN1	-0.279666666666667
BSDC1	0.2745
RNF43	-0.2127
NDUFAF1	0.50175
PHF12	0.36275
OR1L3	0.1495
FOLR2	1.3785
LYZL6	0.0363333333333334
tcag7.1260	-0.234
WSB1	-1.8355
PROS1	-0.3075
OSTN	0.469
PSMB8	1.01575
SOCS4	0.278
DDIT4L	2.555
MAS1	0.705
MGC34796	0.81625
CSHL1	0.1765
TBCCD1	-0.253666666666667
ZBTB7C	-0.117
AP2S1	-0.958
P15RS	0.4556
VAT1	-0.3005
SHANK3	1.04866666666667
TUFM	-0.0648333333333333
THEG	-0.24925
KRT34	-1.6405
SGSM3	0.051375
TOMM22	0.012875
SOCS3	0.182333333333333
CPO	0.674
POP4	0.301
BHLHB3	1.2485
MALL	0.8475
OR1B1	0.1535
PARK2	0.99
GPR124	0.978125
LCE1E	0.6545
RUVBL2	-0.786
CGRRF1	1.0998
ACPL2	0.8395
WNT10B	-1.62075
BAIAP2L2	-1.19875
ISCA1	-0.391
C1orf125	1.779875
RPAP1	-0.5895
RAI16	-0.466333333333333
RPL27	-0.291625
NLRP9	0.034
EPN1	0.0785
LOC388610	-0.90475
SLC35A1	0.3805
GAL	-4.152
SLC14A2	0.219
RDH11	0.336666666666667
FAM138F	-0.8065
AUH	-0.64875
FLJ40243	-0.17325
C14orf129	0.9305
MBD2	-0.903166666666667
ABHD14B	-0.497375
PIGT	0.533125
ALS2CR4	-0.798875
ALAS1	-0.1908
FOXO1	1.48
CRLF3	-0.57675
C20orf107	-0.777
FARS2	0.9145
CCDC28A	0.825
NPHP3	-0.6625
OR13F1	0.409
TSEN54	-0.69625
DEFB106B	0.0476
OR8B4	0.1075
STH	2.712
ZC3H14	-0.7445
CBX2	-0.67
TMEM49	-0.91775
C6orf21	0.4135
FLJ20920	0.263125
CRTAP	-0.0480714285714286
DDX50	-0.058
STYXL1	0.046
BLVRB	-0.0785
LOC147650	-0.941166666666667
MMP24	0.16925
GRID1	1.817
BANF1	-0.568166666666667
CTAGEP	0.41325
HMBS	-1.70275
SLC25A24	0.0696666666666667
C14orf50	0.8165
MRO	0.222
SLC25A15	-1.202
FAM84B	1.3023
TDP1	-1.662
C16orf78	0.153666666666667
C11orf57	0.13325
RFK	-0.991
ZFYVE9	-0.2125
STCH	-0.2899
WIBG	0.714
LOC283871	-0.469
GBA2	-1.209
NDUFB3	-0.382
HSD17B13	-1.197
GRIN3A	0.7565
FMNL1	-0.6955
SEPT7	-0.0344
GNLY	1.899
GRAMD1C	0.521333333333333
ZNF165	-0.1895
USP38	1.04175
FAM83A	-3.48083333333333
C14orf24	0.663
ARMCX3	1.043625
ARHGDIB	1.009
AK1	0.276
KIAA1045	0.3135
DNAJB13	-0.2455
NEU2	-0.0515
HIST1H4B	-1.40666666666667
FAM20B	0.2471
HES2	0.177071428571429
FAM73B	-0.9734
LOC388381	0.027
INTS7	-0.00736363636363636
AMPH	1.9605
ZNF775	-0.118
UCKL1	-0.679
C10orf97	-0.03
C1orf161	0.12125
ALDH1L1	-1.28975
FLJ39378	-0.11875
SLC23A1	-0.8365
RBM4B	0.41825
THAP4	0.169
OGFRL1	0.8965
KIAA0831	0.29775
PPP1R15A	-0.878833333333333
C1orf96	0.129285714285714
C12orf11	-2.432
BMF	0.322875
MAN1A1	-0.660125
KIAA1600	0.996
NLGN4X	-0.286
ALOX12	-0.816833333333333
RB1CC1	0.3095
NEIL2	-0.2451
EIF4E	0.28
ABHD5	-0.45425
EXOC4	-0.659833333333333
CIP29	0.333833333333333
BATF2	0.542
SLC29A4	-0.755375
HTR4	0.3795
EMB	0.23725
TRAF6	0.72525
LMNB1	-2.49825
FAM19A5	0.383625
SHE	1.42825
PIK3C2B	1.44675
C15orf15	-0.7382
USP15	0.0651
TCEAL2	1.82875
C5orf39	-0.615166666666667
PTGER2	-0.6745
SLC31A1	-0.857375
IFT172	0.76025
ADAM29	0.15425
GFOD1	-0.061
ST7L	0.986833333333333
C15orf26	-2.6665
PKN3	-1.27575
CNTD1	2.32933333333333
COMMD1	0.6155
NTRK2	2.63933333333333
FOXN3	0.18525
MFGE8	-0.0266
PFKFB2	1.4895
TAS2R4	-0.36925
ENTHD1	0.763166666666667
PRMT5	-0.453375
MGC16384	-0.895875
LOC442229	-0.6835
TSKU	1.447
KRTCAP3	2.440625
PDLIM1	0.6637
KCNS2	0.587
RNF126	-0.689333333333333
CEP63	0.424
CLIC4	0.43375
hCG_1990170	-0.288
ACR	0.2796
KLK7	1.3045
ALOX5AP	3.459125
RIPK3	2.52
TAS2R9	0.119
C19orf18	1.4565
BIRC6	-0.170571428571429
ZNF16	1.0315
RFT1	-0.79975
SLC8A2	-0.37125
TACC1	0.13375
ITGAD	0.3545
SAMHD1	0.845
SH3PXD2B	1.519
EPC2	0.8955
C20orf85	0.259625
ATP13A2	0.202
KRT4	0.659375
CAPNS1	-0.211
MDM2	-0.363416666666667
PCDH20	1.50225
KCNK9	-0.056
OR2C1	-0.022
KLHDC3	-1.63466666666667
IPPK	-0.057
EFHD2	-0.120625
GALR3	0.98625
NBEA	1.42966666666667
ABCA6	2.7586
CLDN3	1.70616666666667
AKT2	-1.12792857142857
EGFR	-1.7082
RBM16	0.462375
ZDHHC3	-0.1107
SLC25A4	0.189333333333333
CYB5B	-1.5105
CPXM1	0.93375
NDRG1	-0.690769230769231
FLJ43826	0.42325
OR5L2	0.3355
FARP2	0.4115
MRPL46	-0.57875
LDHAL6B	0.124666666666667
MAPKAPK3	-0.573666666666667
NCAM2	-1.1335
PRKD2	0.275833333333333
ZFP36L1	1.3967
CYSLTR1	-0.5325
OR4C3	0.16825
HIST1H2AJ	0.4615
CCNB2	-3.00744444444444
ZNF10	0.05375
TMEM175	0.561
FAM134A	0.6085
TIGD4	0.087
PCNP	-0.3375
MGC39715	0.10675
LQK1	-2.74075
CREB1	0.4956
TMPRSS3	1.55675
C4orf32	2.513625
LAT	-1.90616666666667
KCNA3	-0.28
SKIV2L2	-0.79825
ROPN1B	-2.2345
tcag7.23	-1.16
CDT1	-3.67975
ZHX2	1.02725
CD28	-1.821
ZNF624	1.281
SEPT2	0.343583333333333
SOHLH2	-0.672125
MCOLN3	-1.13375
UNQ1945	0.521
MASP2	-0.998
ZNRF3	-0.5986
GPATCH3	-0.59725
AGL	0.164
QRICH2	-0.103
PSD4	0.571666666666667
CCNB1IP1	-2.15975
ENPP7	0.1205
OBFC1	0.3905
KCNG3	-2.219
C14orf79	0.645
ENPEP	1.48466666666667
SCT	3.1395
SKI	0.895625
SEC61G	-1.32025
CAPN11	-0.17725
ATXN7L3	-0.37875
DBNDD1	-0.871333333333333
FAIM	0.668
ANKRD36	-1.0955
GABRP	2.77733333333333
TACSTD2	1.64516666666667
EIF3J	-0.441
PPP2R2A	-0.7435
TEKT4	-0.965666666666666
PVALB	-3.60566666666667
F10	-2.37566666666667
FAM134C	0.8283
COMP	5.27925
EFCBP1	-2.1138125
SCLT1	0.215875
TAL1	-1.2347
ACSL1	0.9395
ABCC5	-0.30225
ABL1	-0.821388888888889
RBBP7	0.622666666666667
PTPRG	-0.507
NCOR1	-0.3356
SPINK4	1.2885
TXNRD1	-1.0206
TNRC15	0.941
C9orf138	0.672875
UBE2H	0.7885
BRDT	0.119
C8orf31	-0.07975
CCNE2	-2.08136363636364
SLC6A8	-1.67575
CALCR	-3.39825
PPP1CB	0.9085
ABHD8	-0.401
ARF5	-0.2284
SLC24A4	0.7525
CCT3	0.23975
ZNF121	0.1175
SLC3A2	-1.1435
OR13A1	0.2585
SLC5A10	-0.31825
RAD50	0.5035
IER5	0.459875
MTHFD1L	-2.03875
MBTPS2	1.26025
MVK	-0.15975
NCL	-0.631
PSMD10	-0.41325
MOBP	0.311125
FLJ32894	-0.9025
HRH1	-0.284166666666667
C5orf30	0.65025
NUDT16L1	1.1858
RASGRP3	3.19066666666667
PRKRIP1	-0.6894
CCDC75	0.12875
LOC253970	0.49175
KIAA1239	0.005
MED21	-0.7005
SYT11	0.796416666666667
NTSR2	-0.1515
EGFL11	0.533
CXorf59	0.382
OR2A25	0.225
SPTBN2	-0.605
LRMP	-0.941
RNF111	0.3915
PTH	0.3365
LOC619208	1.2735
KIAA0895	0.7105
RANBP5	-1.158
P2RY10	1.0055
NME5	4.98933333333333
DDX21	-1.0895
LRSAM1	-0.116
HDAC11	0.965
VMO1	1.72125
NOLA2	-0.1155
ADAR	1.1355
MTO1	-0.8015
SF4	-0.167833333333333
P2RX1	-0.316
HBM	0.12825
EN2	1.174
C14orf172	0.1625
TM9SF2	0.4059
INHBE	-1.00366666666667
TCTE3	-0.217
TOX2	-2.77075
CTAGE3	0.290125
HBB	2.837
MED15	-0.628166666666667
CASR	0.195
C6orf66	-0.903666666666667
MTPN	-0.43025
UNC50	0.279
C21orf33	-0.075
IRF2	0.788625
PGR	1.4125
GPR84	1.955
CROCCL1	-2.51725
SRPX	-0.55875
BRE	0.357166666666667
FGF10	1.84775
SDC3	-0.2565
ZRSR1	0.6855
DKFZP434P211	0.061875
SOX6	1.139
RPUSD2	-0.1195
C14orf173	0.148
MAPK11	-0.245666666666667
TBC1D22A	0.5495
FAM123A	-0.5845
COL4A6	-0.0968333333333333
TOMM70A	-0.04525
NAB1	0.00987500000000001
MGC16385	-0.6085
TSPAN18	0.885
MED31	-0.31125
PLG	-0.136
CAPSL	3.0615
ZNF532	0.7991
ASB14	-0.06075
CA8	-0.569
NUDT16P	1.62866666666667
SLFN11	-0.0095
LRRIQ2	0.082
NOL7	-0.354666666666667
BRMS1L	-0.47425
JARID1A	0.0385
PANK2	-0.83175
ICAM3	-0.31275
MDS1	-0.481
TAF8	-1.1105
RNF139	0.78675
ZNF594	-0.469666666666667
ADAM8	2.606625
SFTPC	-0.3275
MAN2B2	1.98675
RGS12	0.4741875
EIF1AY	-4.71466666666667
LRRIQ1	0.9015
GPR150	1.29625
CCDC21	-1.64566666666667
PRRG3	0.564
SAA4	-3.95475
RAPGEF5	1.20775
ZCCHC2	-0.153666666666667
MGC39372	1.397
PPP4R2	-0.2345
CDCA2	-2.84116666666667
OR4D5	0.2605
PTGFRN	1.7861
SIGLEC5	1.786
C19orf61	-0.0378333333333333
NMUR2	0.229
KIAA1586	-0.546833333333333
DAGLA	0.682666666666667
CHCHD6	0.79025
GPR32	0.648
NEUROD6	0.2164
SLC2A4RG	0.410375
CA5B	0.17275
FBXL3	1.6545
MPHOSPH9	-0.98925
HMG2L1	0.15075
HCN4	0.810166666666667
CEACAM19	0.093
SH2D4B	0.0595
HFE2	-0.863
TGM4	0.542333333333333
LYPD2	-0.2175
TBC1D15	0.36625
MRPS21	-0.2117
NONO	-1.3477
CLEC5A	2.395375
ITCH	-0.5978
MGAT3	-0.7065
MBP	-0.013375
RPP25	-1.6635
SOSTDC1	0.209
HRC	-1.83575
TRIM48	-0.373
TMEM133	0.47
ECEL1P2	-0.8995
HOXC11	0.5035
DOK5	0.36425
HELZ	0.5755
LOC348180	-0.955
MGC33894	0.25475
ADRB3	0.0985
DMD	0.234583333333333
PTRH2	-0.17125
MPEG1	2.75666666666667
NDUFA12	0.273833333333333
KRTAP2-4	0.171333333333333
STAMBPL1	-1.32733333333333
ADCY2	0.560166666666667
UNQ6125	0.1695
KLHL20	0.599666666666667
SRM	-1.30225
OTC	-0.24975
TMIE	0.228833333333333
SNX8	-0.297
LIPK	0.5265
CHURC1	0.134583333333333
KLC2	0.132
HDAC1	-0.942333333333333
FAM128A	0.364
FNDC3B	0.7804
MTCP1	-0.717166666666667
WFDC10B	0.125
PCDHGB3	0.4435
ATRNL1	-0.635
CAV2	-0.01925
MED26	-0.328333333333333
DUS1L	0.589
CHRM3	-1.56275
NEK9	0.20125
WARS2	0.653
TBX22	0.659
TOMM40	-1.53175
RP6-213H19.1	-1.58583333333333
TUBGCP5	-0.98325
IGSF6	5.3565
TPPP	0.373333333333333
UNQ6190	0.412
GSTM5	1.252125
BTD	1.03666666666667
PDCD1LG2	0.5
SNRPB2	-0.530666666666667
ERICH1	-0.897125
APOA4	-1.76475
HOXA11	-0.83025
NARG1	-0.19925
MKX	4.498
RAB28	-0.148928571428571
PKP3	1.273
SH3GL2	-1.65925
CTSO	2.8875
RPN2	0.4173125
IL28RA	0.120833333333333
SFMBT1	-0.353
WDR57	-0.507
FER1L3	1.22133333333333
HSF5	0.4245
TTC9B	-0.03675
C4BPA	-3.019
ALB	-4.009
SORBS3	0.17725
UPF2	-0.249
JPH1	-0.668
AGBL2	-0.58175
DOPEY1	1.666
TERF1	-0.174666666666667
KIF22	-1.28266666666667
NINJ1	0.3865
SEC61A2	-0.72175
HIST1H1D	-1.62616666666667
SFXN4	-0.334125
UCP3	0.1101
ZNF703	0.970166666666667
MYL6B	-0.285
TREM1	2.3715
OR52E6	0.451
CKMT2	1.3575
HLA-C	2.440625
SLC13A3	-1.246
TIMP4	0.68125
SLIT2	2.797
RSF1	0.258333333333333
LONRF1	-1.19471428571429
MON1A	-0.103
CACNG6	-1.63383333333333
DPPA4	-5.05783333333333
ZSWIM3	0.02375
ZNF804A	0.706166666666667
CCIN	1.393
SLC25A31	0.532
KCNMB4	0.37325
RABL5	0.347375
GALNS	-0.5966
STX6	1.17275
HIST1H1C	-2.80283333333333
CIDEB	-0.056875
CASP4	0.504
PDK3	0.6867
KCNJ11	0.721
TPR	-0.365125
ZSCAN20	-0.329
MTX2	-0.16425
HIST1H2BH	-0.92975
LOC283767	1.401
LYRM7	-0.874833333333333
BRD3	-0.537333333333333
HIST1H2BO	-1.39975
MAGEB10	0.3485
SLC45A1	1.369
SERPINA3	2.4996
KIAA0143	1.681
KCNJ16	0.564666666666667
KRT79	0.0445
FABP2	-0.54075
NUT	-0.42925
ZNF57	-0.0495
FBXL4	0.544125
CLEC9A	0.5535
UGT8	-0.57
BMP2K	1.191
MAPK4	-3.47875
SLC25A23	-1.0254
HINT1	0.4372
KRTAP13-1	-0.1075
SFXN5	-0.2994
CHCHD2	0.104416666666667
FAM3D	1.683
NDP	1.931625
RHOBTB1	0.349166666666667
SLC4A4	-1.0925
RPL38	0.04225
HTF9C	-0.4505
AP2A2	0.561125
ZBTB46	-0.4635
MAP7D1	0.02825
AOX1	-0.552666666666667
CYR61	-0.203666666666667
DTNA	0.551428571428571
JRKL	0.3725
TMOD3	-0.3235
EEA1	0.7323
ADCK5	-0.5795
IL1R1	1.8155
KLK3	0.613857142857143
HRSP12	-0.44175
KTN1	0.89725
LOH11CR2A	0.9133
RELL2	-1.58075
MAB21L1	1.726
C20orf59	-1.14616666666667
PHKB	0.46725
ADAM2	-1.64766666666667
TBC1D8B	2.24866666666667
FAM13A1	-0.496375
LAPTM4B	-0.358416666666667
LCN8	-0.0455
TMEM147	0.0925
SYT4	0.565666666666667
XPO7	-1.104
C9orf62	1.39275
GPR75	0.5195
TRIM5	0.344375
APOC1	-0.491333333333333
RNASE4	0.185666666666667
PARD6B	0.20525
ARID1A	0.228166666666667
TPD52L3	0.119
RRAGB	1.524
RCN2	-0.554333333333333
HIST2H2BE	-0.9944375
STARD7	-0.24725
SHMT2	-1.13025
KIAA1751	0.0976666666666667
MLYCD	0.37075
LOC162632	-0.1813
UQCRH	-1.517
RP11-217H1.1	0.734875
SDHA	-0.9095
NCLN	-0.1781
ZNF17	0.510166666666667
RCBTB2	-0.989
VEGFB	-0.2338
RP4-747L4.3	0.37375
COLQ	0.1135
MPN2	-1.02716666666667
DRG2	-0.7105
KLRB1	5.05575
ALPK2	-0.99925
DNASE2B	2.222
FLJ23834	-0.517
AXUD1	0.315166666666667
SAFB	-0.3888
NSUN4	-0.15525
RFX2	0.0135
MAPK8IP1	-0.631833333333333
FANCD2	-1.21921428571429
ANKZF1	-2.0055
C19orf50	-0.716375
DUSP8	1.250375
SENP5	-0.723375
NFKBIL2	-1.0375
LBR	-1.179625
IGFL1	1.5125
LZTS2	0.088125
IL2RG	-0.54475
CCDC51	-0.699
KLF3	0.409625
ANKRD37	0.24925
KCTD14	-1.10666666666667
FZR1	0.00358333333333333
SLC44A4	4.0942
ESPL1	-1.385375
GMPR2	-0.0761
TBC1D19	0.453833333333333
ERGIC1	0.778851851851852
ERBB4	3.0156
TSPAN32	0.109166666666667
MAP4	-0.033
GPHN	-0.3365
SLC6A2	0.02125
HIVEP1	0.725
DFFB	-0.5653
EIF4EBP2	0.369625
DMRT1	0.0975
HSPB6	-0.233
IER2	-0.325333333333333
AIFM1	-0.38025
WWC2	0.0844166666666667
MRPL4	-0.66825
FLJ21062	0.163333333333333
EPB41L4A	1.35741666666667
SH2D6	0.24
TAF4B	-0.98475
GAL3ST3	-0.33
MALT1	-1.12066666666667
RTDR1	-0.172
ARVCF	-0.2015
MEX3B	-0.624166666666667
FBXO16	1.1685
KIF7	-0.8325
C1QC	3.94516666666667
ZNF783	-0.627166666666667
ZNF85	-0.6245
MMP13	6.4585
KIAA0329	0.74375
RTP3	-0.4955
ZBED3	0.18175
CLGN	-0.22825
SLC25A37	-1.55316666666667
hCG_18290	-0.37
OR5AS1	-0.0015
SMARCC2	0.735666666666667
FAM109A	0.1565
CCDC12	-0.897
USF2	-0.0966
DEPDC7	-0.78325
C20orf24	-0.243
JMJD3	0.266
DSP	1.42728571428571
SLIC1	0.258375
FAM20A	1.669875
IRF2BP2	0.61975
ZNF230	0.076
MSN	-0.175357142857143
SLC9A5	-1.999
EPDR1	-0.4689
MUSK	0.218833333333333
ZNF434	-0.0175
SMARCD1	-0.2355
