Hybridization REF	TCGA-BH-A0BC-11A-22R-A089-07
C11orf73	0.47125
PTP4A2	-0.223375
OR4M2	0.603
HPCA	-1.95
SEC14L1	-1.16166666666667
CHFR	-1.569
EMILIN1	-0.10525
NDUFS4	1.72275
COL18A1	-1.371375
PDZD3	-0.2021
C9orf16	-0.671666666666667
ERBB2IP	-0.0783333333333334
EMX2	5.37525
FUS	-1.8805
TF	-1.1847
CLCN4	-0.0885
CXorf56	0.8855
C11orf72	-0.27975
ELAC2	-1.27241666666667
NPR1	-0.013
ASS1	-1.35883333333333
USP42	0.030375
POLR2J	-0.9715
SEC23IP	-0.195166666666667
UQCRC1	-1.394
LOC729603	-2.17275
C1orf71	-0.723625
POLG	-2.4435
ADAM23	-2.234
TFR2	-1.3475
RICTOR	0.0357
MGC39606	0.617
C19orf55	-0.730625
SNAPC1	-0.5745
GNA11	-1.352375
CCDC52	-0.445333333333333
FSIP1	1.005
UPF3A	-0.37975
IGSF11	-1.9222
LAGE3	-1.868
CHST6	-2.781
UNC13B	-0.291625
TTLL4	-1.956625
ZNF687	-0.977
SDC2	0.2129
COX7A2	0.683
LAMB4	-0.01775
FAM24A	-0.201
LRRTM3	-0.34675
GPHB5	1.438
OR4C13	-0.145
EIF3EIP	3.26971428571429
HABP4	-0.5175
TMEM125	3.5455
CNTN2	-0.815875
ASNSD1	0.4845
FUT4	-1.038
ACF	-2.5805
LOC158381	0.103
CDH8	0.334666666666667
AGPS	-0.537666666666667
C4orf18	3.408625
PECI	1.73125
UNG	-1.871375
GSTP1	-0.415125
DCUN1D5	-1.984
DKFZP564J0863	-0.76725
SLC9A3R1	-1.46625
BCDO2	0.5435
CHMP7	-1.89775
REM2	1.0895
DNHD1	-0.5595
FKBP4	-2.062625
ZNF350	2.677
MGC11102	-0.77125
BST1	2.619
KISS1R	1.058
NCR2	0.7755
DEFB125	0.94
UBE2W	0.41925
KRT15	5.405
C10orf99	-0.4695
SCN11A	0.0886
GFI1	-1.6075
RDHE2	0.545166666666667
FHL1	2.68383333333333
OSGEP	0.678666666666667
GATA1	-3.21383333333333
SMC6	-0.91475
TTTY14	-0.051
LPIN3	-0.1295
RPL4	0.7325
RBPMS	0.3297
PRPF3	-0.764166666666667
EMR1	-1.1735
SPATA19	0.48475
XCR1	0.0735
IRX3	1.521
RBM6	-1.2505
KLF4	1.3349
UNC5CL	-1.65675
SEBOX	-0.4345
BTK	-0.827
KRCC1	1.7165
C6orf27	-0.3705
SYTL5	-1.313
PRND	0.980285714285714
LOC653319	-1.312
PIGL	-0.92175
HUS1	0.234833333333333
SFRS6	-1.93066666666667
C17orf77	0.7515
UIMC1	0.3835
FXYD2	-1.2528
LOC283152	1.128
ZNF667	-0.0815
ZCCHC12	0.1915
TFEC	0.7886
ATP7B	-1.31966666666667
POLD2	-2.59516666666667
RG9MTD1	0.6475
ACOT2	0
HIST1H4I	-0.401875
PPARGC1A	-0.5886
ETFA	-0.6802
POLRMT	-2.34775
ZNF146	-0.40325
MIA2	-0.1395
KLHL6	-0.8065
HOXB5	-0.188625
NENF	1.04983333333333
CUGBP1	-0.90975
PRSS22	-0.158333333333333
CASC4	0.3711
CUL4B	-0.275
CENPJ	-1.1976
PITX1	-2.22233333333333
FLJ31033	0.696833333333333
CELSR3	-2.62666666666667
ZNF568	2.1915
ITSN1	0.318416666666667
EHBP1L1	-2.17733333333333
C19orf2	-0.7825
DCTN1	-1.6865
LIN28B	-1.38
TNKS2	-0.77875
C1QBP	0.473
CADPS2	1.82975
SRMS	-0.343666666666667
GJA9	-0.155833333333333
MGC24975	-1.9868
TRIM45	-1.59983333333333
TSP50	-0.2245
TCP1	-0.7575
TMED7	1.0102
CMA1	2.321
CENPL	-2.22566666666667
PTCRA	0.295
FST	-2.4615
VWCE	-3.523
PAWR	-0.5605
ABCC12	0.00774999999999997
LDLR	-2.3426
ASTN2	0.1255
LOC441212	0.232125
GPATCH8	-0.2955
TANC2	-0.996
KIF4A	-3.0395
C18orf18	1.18875
PGM1	-0.46375
KIAA0258	-0.16025
CPD	0.12175
SNCAIP	0.098
DCT	-4.441
HLA-DOA	2.41952380952381
OR11L1	0.6855
UPK1B	-0.188833333333333
DNAJB4	1.3435
UGT1A8	0.41175
HIST1H4L	0.2635
PECR	0.0165
HSPA2	1.95
WFIKKN1	-2.007
SERP1	0.4075
SYDE2	-0.98125
TACR2	0.1245
NUP85	-1.56625
CD177	-0.335333333333333
LGR5	-1.643
PIGG	-0.645833333333333
PTHR1	-0.925333333333333
RAB5A	0.1054
FLJ13224	-0.345
USP9Y	-2.3065
C7orf53	0.508
LRP1B	0.212
XAF1	1.9378
ABCG8	0.2995
ANKDD1A	1.01733333333333
DAND5	-1.555
SPAG6	1.21583333333333
LINCR	3.48075
ZDHHC22	-0.789142857142857
CCDC60	0.61
THOC7	-0.0045
TCTA	-0.00499999999999999
OR8K3	0.96675
NY-REN-7	-0.16375
B2M	3.459
C6orf141	-2.173125
LPPR4	2.383
SQLE	-2.82275
SEPHS1	-0.9705
BTBD14B	0.259071428571429
PLRG1	0.47475
SPG7	-2.1068
ZNF614	0.828333333333333
PARD6G	1.388
INPP5B	-1.288
GRPEL2	-0.375375
PPID	0.2124
TRIM56	-1.15775
UBE2J1	0.349875
IL20RA	6.277
LOC387856	-0.8745
C1orf107	0.00499999999999998
UTS2R	0.43725
C19orf22	-2.74325
SAFB2	-0.755875
KIAA0652	-1.4375
KLRG1	0.7522
MS4A8B	0.3125
FRAG1	-0.722
KIAA1546	0.17325
E2F4	-1.8768
CLEC4M	-0.385833333333333
BTBD14A	-1.4995
KIAA0999	1.2225
GYPA	-1.00675
TAC1	1.6065
TRAIP	-2.101
KIAA0232	0.2235
ERCC8	0.180125
GPX4	0.3835
KIAA0368	0.701375
GPR157	-0.718666666666667
CTAGE4	-0.4775
C9orf30	-1.08733333333333
OR52A1	-0.293
HSP90B3P	-1.0605
ALG9	0.0892
BTBD10	0.47925
SDK2	-0.664
BAIAP3	-1.369
RABGGTB	-0.183375
ANKRD40	-0.8735
KRT74	-0.2395
CALCOCO2	0.621071428571429
SNCA	-0.594
TMSL8	-1.61
C2orf53	-0.0795
ESRRB	0.21875
ARHGAP26	-0.472875
TDRD9	-2.642
HRAS	-1.088
KLRC4	-1.349
JAGN1	-0.148166666666667
BSDC1	-0.34475
RNF43	-0.9246
NDUFAF1	0.1865
PHF12	0.9485
OR1L3	0.5375
FOLR2	3.42091666666667
LYZL6	0.4965
tcag7.1260	-1.4245
WSB1	-0.338
PROS1	1.5611
OSTN	0.2195
PSMB8	1.21
SOCS4	-0.778428571428571
DDIT4L	2.921
MAS1	-0.238
MGC34796	-0.01925
CSHL1	0.0493333333333333
TBCCD1	-0.844
ZBTB7C	-2.0445
AP2S1	-1.259875
P15RS	-0.4277
VAT1	-1.0104
SHANK3	0.211833333333333
TUFM	-2.40266666666667
THEG	0.2675
KRT34	-1.96766666666667
SGSM3	-1.265375
TOMM22	0.00712499999999999
SOCS3	0.734166666666667
CPO	1.2635
POP4	0.09425
BHLHB3	3.81825
MALL	1.9055
OR1B1	-0.107
PARK2	0.183
GPR124	1.397625
LCE1E	0.442
RUVBL2	-2.1895
CGRRF1	1.7972
ACPL2	0.36125
WNT10B	-0.676625
BAIAP2L2	-1.094625
ISCA1	0.643
C1orf125	0.453125
RPAP1	-1.0925
RAI16	-0.920333333333333
RPL27	1.4345
NLRP9	1.448
EPN1	0.535
LOC388610	-0.825
SLC35A1	1.607
GAL	-3.1895
SLC14A2	0.45375
RDH11	-0.0361666666666667
FAM138F	0.0975
AUH	1.51875
FLJ40243	0.201666666666667
C14orf129	0.443666666666667
MBD2	-0.145333333333333
ABHD14B	-0.310375
PIGT	-0.758
ALS2CR4	0.566375
ALAS1	-0.7359
FOXO1	2.83183333333333
CRLF3	-0.69075
C20orf107	-0.5025
FARS2	0.89725
CCDC28A	1.03775
NPHP3	0.33
OR13F1	-1.362
TSEN54	-2.64375
DEFB106B	0.0816
OR8B4	0.9045
STH	-1.0285
ZC3H14	-0.467875
CBX2	0.0365
TMEM49	-2.47325
C6orf21	0.3605
FLJ20920	-0.558625
CRTAP	0.269214285714286
DDX50	0.63275
STYXL1	-0.83075
BLVRB	0.223833333333333
LOC147650	-0.940333333333333
MMP24	0.679
GRID1	1.388
BANF1	-1.85866666666667
CTAGEP	-0.3115
HMBS	-2.65775
SLC25A24	-0.487166666666667
C14orf50	2.33625
MRO	-0.108333333333333
SLC25A15	-0.5235
FAM84B	0.606222222222222
TDP1	-1.5835
C16orf78	-0.249166666666667
C11orf57	0.34825
RFK	-0.358625
ZFYVE9	-0.272
STCH	-0.4505
WIBG	-0.67625
LOC283871	-1.38883333333333
GBA2	-1.8058
NDUFB3	2.26375
HSD17B13	0.62175
GRIN3A	1.72475
FMNL1	-2.147
SEPT7	0.2658
GNLY	-0.4235
GRAMD1C	3.22016666666667
ZNF165	0.85725
USP38	0.0825
FAM83A	-2.41683333333333
C14orf24	0.894833333333333
ARMCX3	1.263375
ARHGDIB	-0.0725
AK1	-0.383625
KIAA1045	0.58
DNAJB13	-0.9745
NEU2	0.343
HIST1H4B	-0.514833333333333
FAM20B	-0.5257
HES2	0.0495714285714285
FAM73B	-1.63
LOC388381	0.17
INTS7	-1.04727272727273
AMPH	0.3325
ZNF775	-0.632375
UCKL1	-1.58266666666667
C10orf97	-0.046
C1orf161	-0.426
ALDH1L1	1.34425
FLJ39378	-0.878625
SLC23A1	-1.4105
RBM4B	-0.86
THAP4	-1.32566666666667
OGFRL1	2.4945
KIAA0831	1.198625
PPP1R15A	-1.58833333333333
C1orf96	0.160928571428571
C12orf11	-1.57625
BMF	-1.480125
MAN1A1	-1.110625
KIAA1600	0.150166666666667
NLGN4X	2.012
ALOX12	-0.507833333333333
RB1CC1	-0.00450000000000005
NEIL2	0.4724
EIF4E	-0.0371363636363636
ABHD5	0.33275
EXOC4	-1.1124
CIP29	-0.3355
BATF2	0.1665
SLC29A4	-0.8925
HTR4	0.7395
EMB	-0.14125
TRAF6	1.05
LMNB1	-3.5075
FAM19A5	-0.720375
SHE	2.28725
PIK3C2B	1.77875
C15orf15	1.8011
USP15	-0.0169
TCEAL2	3.91675
C5orf39	0.196166666666667
PTGER2	0.10725
SLC31A1	-0.5838125
IFT172	0.5985
ADAM29	0.191
GFOD1	2.0435
ST7L	1.191
C15orf26	-1.59325
PKN3	-2.5035
CNTD1	1.62233333333333
COMMD1	0.620375
NTRK2	5.18808333333333
FOXN3	0.979
MFGE8	-0.4529
PFKFB2	-0.282333333333333
TAS2R4	-0.592666666666667
ENTHD1	-1.167
PRMT5	-1.980125
MGC16384	-1.721125
LOC442229	-0.54475
TSKU	-0.159125
KRTCAP3	2.354875
PDLIM1	2.2991
KCNS2	0.15025
RNF126	-0.109833333333333
CEP63	1.1545
CLIC4	0.09875
hCG_1990170	3.6735
ACR	1.5581
KLK7	4.69
ALOX5AP	3.587375
RIPK3	1.2955
TAS2R9	0.399
C19orf18	2.1665
BIRC6	-0.190428571428571
ZNF16	-0.814
RFT1	-1.831
SLC8A2	-0.9775
TACC1	0.992375
ITGAD	0.0473333333333334
SAMHD1	1.5845
SH3PXD2B	0.330222222222222
EPC2	1.313
C20orf85	-0.0270000000000001
ATP13A2	-0.670333333333333
KRT4	-0.45975
CAPNS1	-1.63425
MDM2	-0.788916666666667
PCDH20	0.0273333333333333
KCNK9	0.858
OR2C1	0.646
KLHDC3	-2.15783333333333
IPPK	-3.546
EFHD2	-0.75175
GALR3	0.5225
NBEA	0.593666666666667
ABCA6	4.8561
CLDN3	0.134
AKT2	-1.33164285714286
EGFR	0.6413
RBM16	0.501625
ZDHHC3	0.2762
SLC25A4	0.701833333333333
CYB5B	-1.695
CPXM1	-1.55375
NDRG1	-1.12561538461538
FLJ43826	-0.3815
OR5L2	0.286
FARP2	-1.3944
MRPL46	0.414166666666667
LDHAL6B	0.1032
MAPKAPK3	-1.89833333333333
NCAM2	-2.127
PRKD2	-1.682
ZFP36L1	1.4491
CYSLTR1	0.112
OR4C3	-0.021
HIST1H2AJ	-0.05
CCNB2	-3.58411111111111
ZNF10	1.400125
TMEM175	0.806
FAM134A	-0.497666666666667
TIGD4	0.041
PCNP	0.16625
MGC39715	0.468333333333333
LQK1	-0.32125
CREB1	0.6544
TMPRSS3	0.76
C4orf32	1.67725
LAT	-1.95
KCNA3	0.0405
SKIV2L2	-0.42375
ROPN1B	5.083
tcag7.23	0.3885
CDT1	-4.1585
ZHX2	0.8515
CD28	-0.98525
ZNF624	1.712
SEPT2	-0.14
SOHLH2	-0.297285714285714
MCOLN3	-0.154125
UNQ1945	-0.436
MASP2	-0.7145
ZNRF3	-1.3039
GPATCH3	-1.7995
AGL	1.45125
QRICH2	-0.31
PSD4	-1.4835
CCNB1IP1	-0.233
ENPP7	-1.39325
OBFC1	0.1375
KCNG3	-1.3735
C14orf79	-1.85175
ENPEP	1.126
SCT	0.2245
SKI	0.385714285714286
SEC61G	-0.49725
CAPN11	1.03425
ATXN7L3	-2.286
DBNDD1	-1.9845
FAIM	2.027
ANKRD36	0.251
GABRP	6.44116666666667
TACSTD2	2.72583333333333
EIF3J	-0.4525
PPP2R2A	-0.488
TEKT4	-0.392166666666667
PVALB	-2.65833333333333
F10	-0.889
FAM134C	-0.459777777777778
COMP	2.55728571428571
EFCBP1	0.5639375
SCLT1	1.44925
TAL1	-0.1107
ACSL1	2.092
ABCC5	-0.416916666666667
ABL1	-0.998888888888889
RBBP7	1.08791666666667
PTPRG	-0.020625
NCOR1	-0.6868
SPINK4	-1.08883333333333
TXNRD1	-0.8876
TNRC15	0.881
C9orf138	0.706875
UBE2H	-0.1045
BRDT	1.60483333333333
C8orf31	-0.5285
CCNE2	-3.00254545454545
SLC6A8	-2.1235
CALCR	-0.9725
PPP1CB	0.588083333333333
ABHD8	-1.981
ARF5	-1.284
SLC24A4	0.392666666666667
CCT3	-1.572
ZNF121	0.179125
SLC3A2	-2.5622
OR13A1	-0.061
SLC5A10	-0.72125
RAD50	-0.004875
IER5	-0.213375
MTHFD1L	-1.457
MBTPS2	0.237
MVK	-2.726375
NCL	0.4907
PSMD10	-0.4295
MOBP	0.167714285714286
FLJ32894	-0.666
HRH1	1.34816666666667
C5orf30	0.719
NUDT16L1	-1.133
RASGRP3	2.83833333333333
PRKRIP1	-1.1254
CCDC75	2.44625
LOC253970	-0.24825
KIAA1239	0.809
MED21	0.9575
SYT11	-0.335181818181818
NTSR2	0.043
EGFL11	0.503
CXorf59	2.265
OR2A25	0.4825
SPTBN2	-2.14925
LRMP	0.396666666666667
RNF111	0.5585
PTH	0.531
LOC619208	1.54716666666667
KIAA0895	-0.01225
RANBP5	-0.31975
P2RY10	0.0893333333333333
NME5	4.889
DDX21	-0.9305
LRSAM1	-1.2385
HDAC11	-1.263
VMO1	1.16
NOLA2	-0.911666666666667
ADAR	-0.468
MTO1	-0.0186666666666667
SF4	-1.58983333333333
P2RX1	0.0361666666666667
HBM	1.8295
EN2	1.517
C14orf172	-0.81125
TM9SF2	0.137
INHBE	-1.97733333333333
TCTE3	0.37125
TOX2	-2.1985
CTAGE3	-0.30675
HBB	6.5878
MED15	-1.90516666666667
CASR	-0.0375
C6orf66	0.555666666666667
MTPN	0.29775
UNC50	-0.048
C21orf33	1.61725
IRF2	1.2595
PGR	1.12616666666667
GPR84	0.059
CROCCL1	-2.74425
SRPX	0.61875
BRE	-0.199
FGF10	0.74175
SDC3	-0.8015
ZRSR1	-0.46
DKFZP434P211	-0.379
SOX6	1.042
RPUSD2	-0.294
C14orf173	-0.3475
MAPK11	0.374166666666667
TBC1D22A	-0.656
FAM123A	-0.0795
COL4A6	-0.166666666666667
TOMM70A	-0.26125
NAB1	0.705125
MGC16385	-0.08925
TSPAN18	-0.6676
MED31	2.1115
PLG	0.40925
CAPSL	1.4455
ZNF532	1.6361
ASB14	0.562666666666667
CA8	1.59225
NUDT16P	-0.1255
SLFN11	0.2155
LRRIQ2	-0.91575
NOL7	0.262166666666667
BRMS1L	0.53475
JARID1A	0.224666666666667
PANK2	-1.11175
ICAM3	-1.01275
MDS1	-0.2785
TAF8	-1.955
RNF139	1.821
ZNF594	-0.0935
ADAM8	-1.244125
SFTPC	0.15925
MAN2B2	0.572875
RGS12	-0.543333333333333
EIF1AY	-3.1568
LRRIQ1	0.871833333333333
GPR150	-0.421
CCDC21	-2.686
PRRG3	-0.75275
SAA4	0.58
RAPGEF5	1.738375
ZCCHC2	-0.278818181818182
MGC39372	-0.6605
PPP4R2	-1.111
CDCA2	-2.51733333333333
OR4D5	-0.23725
PTGFRN	0.1018
SIGLEC5	0.945166666666667
C19orf61	-1.38633333333333
NMUR2	0.7025
KIAA1586	-0.572666666666667
DAGLA	-0.100666666666667
CHCHD6	0.259
GPR32	0.737
NEUROD6	0.6545
SLC2A4RG	-1.4461875
CA5B	1.43325
FBXL3	1.92775
MPHOSPH9	-2.26125
HMG2L1	-0.30825
HCN4	-0.442
CEACAM19	0.233
SH2D4B	0.299333333333333
HFE2	-0.252
TGM4	0.695666666666667
LYPD2	0.00374999999999999
TBC1D15	0.8695
MRPS21	0.76
NONO	0.00409999999999993
CLEC5A	1.02275
ITCH	0.4516
MGAT3	0.898333333333333
MBP	0.160875
RPP25	-2.78625
SOSTDC1	4.938
HRC	-0.42175
TRIM48	-0.219
TMEM133	1.676
ECEL1P2	-2.048
HOXC11	-1.441
DOK5	0.93475
HELZ	-0.6675
LOC348180	-1.865
MGC33894	-0.051
ADRB3	-1.598
DMD	0.565454545454546
PTRH2	0.24275
MPEG1	3.16683333333333
NDUFA12	1.1615
KRTAP2-4	0.0443333333333333
STAMBPL1	-0.6874
ADCY2	0.772666666666667
UNQ6125	1.164
KLHL20	0.2812
SRM	-2.467
OTC	0.0015
TMIE	0.128166666666667
SNX8	-0.56775
LIPK	0.7045
CHURC1	1.15391666666667
KLC2	0.844166666666667
HDAC1	-1.29316666666667
FAM128A	-0.679666666666667
FNDC3B	0.4862
MTCP1	-0.328666666666667
WFDC10B	1.07
PCDHGB3	0.795
ATRNL1	-1.07666666666667
CAV2	2.27225
MED26	-0.552666666666667
DUS1L	-1.90025
CHRM3	-0.857125
NEK9	-1.62825
WARS2	0.96525
TBX22	1.28
TOMM40	-2.471
RP6-213H19.1	-1.01533333333333
TUBGCP5	-0.0275
IGSF6	4.67075
TPPP	-0.2044
UNQ6190	-0.496
GSTM5	1.142375
BTD	0.1025
PDCD1LG2	-0.2346
SNRPB2	0.772
ERICH1	1.597
APOA4	-1.0575
HOXA11	-1.9945
NARG1	1.185
MKX	-0.42625
RAB28	-0.248785714285714
PKP3	0.48525
SH3GL2	-0.6515
CTSO	2.56625
RPN2	1.2473125
IL28RA	1.461
SFMBT1	0.4865
WDR57	-1.579375
FER1L3	1.13766666666667
HSF5	0.7685
TTC9B	-0.15375
C4BPA	0.486833333333333
ALB	-2.96364285714286
SORBS3	-0.5365
UPF2	-0.4835
JPH1	-0.3435
AGBL2	-0.567
DOPEY1	2.7495
TERF1	0.582583333333333
KIF22	-2.63783333333333
NINJ1	-0.2235
SEC61A2	-2.02208333333333
HIST1H1D	-3.34416666666667
SFXN4	-0.318
UCP3	-0.0737
ZNF703	0.462
MYL6B	-0.11525
TREM1	0.08975
OR52E6	-0.87
CKMT2	3.32675
HLA-C	2.844625
SLC13A3	-1.45183333333333
TIMP4	3.4635
SLIT2	4.13425
RSF1	0.389611111111111
LONRF1	-0.234642857142857
MON1A	-1.17983333333333
CACNG6	-2.16733333333333
DPPA4	-4.17583333333333
ZSWIM3	-0.602
ZNF804A	0.257
CCIN	1.6705
SLC25A31	0.64375
KCNMB4	1.09175
RABL5	0.845875
GALNS	-1.2699
STX6	0.048875
HIST1H1C	-3.4725
CIDEB	0.21375
CASP4	1.35116666666667
PDK3	-0.4564
KCNJ11	-1.1935
TPR	-0.771875
ZSCAN20	-0.0595
MTX2	-0.00425
HIST1H2BH	-1.03325
LOC283767	3.46475
LYRM7	-0.187666666666667
BRD3	-2.65266666666667
HIST1H2BO	-1.441
MAGEB10	1.015
SLC45A1	0.310333333333333
SERPINA3	2.53995
KIAA0143	1.03575
KCNJ16	4.74633333333333
KRT79	-1.6925
FABP2	0.052
NUT	-0.16525
ZNF57	0.7235
FBXL4	0.096375
CLEC9A	0.5175
UGT8	-0.245833333333333
BMP2K	0.4325
MAPK4	-0.758
SLC25A23	-2.1154
HINT1	0.9063
KRTAP13-1	0.259
SFXN5	-0.9648
CHCHD2	0.132583333333333
FAM3D	5.4745
NDP	0.199625
RHOBTB1	0.0083333333333334
SLC4A4	0.188375
RPL38	1.05225
HTF9C	-0.5085
AP2A2	-0.70525
ZBTB46	-0.855
MAP7D1	-1.48875
AOX1	1.55
CYR61	2.00325
DTNA	-1.1515
JRKL	0.97675
TMOD3	-1.4585
EEA1	0.4389
ADCK5	-1.79625
IL1R1	3.2155
KLK3	0.366214285714286
HRSP12	0.38325
KTN1	0.67225
LOH11CR2A	0.9168
RELL2	-2.9605
MAB21L1	1.163
C20orf59	-2.19883333333333
PHKB	0.82425
ADAM2	-0.482
TBC1D8B	1.9935
FAM13A1	0.3015625
LAPTM4B	-1.28375
LCN8	0.346
TMEM147	-0.263
SYT4	0.262166666666667
XPO7	-1.741
C9orf62	0.2435
GPR75	0.66
TRIM5	-0.4265
APOC1	-1.811
RNASE4	2.45066666666667
PARD6B	-0.988
ARID1A	-0.9495
TPD52L3	0.777777777777778
RRAGB	0.883666666666667
RCN2	-0.606
HIST2H2BE	-1.25146666666667
STARD7	-1.37125
SHMT2	-2.741
KIAA1751	-0.0818333333333333
MLYCD	-0.36525
LOC162632	-0.6831
UQCRH	-0.63525
RP11-217H1.1	0.6309375
SDHA	-2.49833333333333
NCLN	-1.6833
ZNF17	1.05516666666667
RCBTB2	0.4365
VEGFB	-0.5419
RP4-747L4.3	1.598
COLQ	-0.900444444444445
MPN2	-0.5062
DRG2	-1.58175
KLRB1	5.74925
ALPK2	-2.3405
DNASE2B	0.03525
FLJ23834	-0.3235
AXUD1	-0.38
SAFB	-1.7851
NSUN4	-0.65025
RFX2	2.02666666666667
MAPK8IP1	-0.8755
FANCD2	-0.903857142857143
ANKZF1	-2.57366666666667
C19orf50	-1.260375
DUSP8	-0.772375
SENP5	-0.57375
NFKBIL2	-1.122
LBR	-0.537625
IGFL1	-0.0774999999999999
LZTS2	-1.42175
IL2RG	-1.1725
CCDC51	-0.859
KLF3	-0.337
ANKRD37	0.86025
KCTD14	1.49916666666667
FZR1	-1.19041666666667
SLC44A4	-1.34611111111111
ESPL1	-1.52025
GMPR2	-0.0776
TBC1D19	-0.389333333333333
ERGIC1	0.0534230769230769
ERBB4	2.5936
TSPAN32	-0.361545454545454
MAP4	-1.02914285714286
GPHN	-0.539
SLC6A2	0.245
HIVEP1	0.84425
DFFB	-0.89225
EIF4EBP2	-0.1015
DMRT1	-0.23875
HSPB6	1.60975
IER2	1.14733333333333
AIFM1	-0.981
WWC2	0.0969
MRPL4	-1.84125
FLJ21062	1.577
EPB41L4A	1.53791666666667
SH2D6	0.06125
TAF4B	-2.1415
GAL3ST3	-1.238
MALT1	0.0445
RTDR1	0.3225
ARVCF	-1.01375
MEX3B	0.383333333333333
FBXO16	0.4615
KIF7	-3.49925
C1QC	4.83
ZNF783	-1.37433333333333
ZNF85	0.47775
MMP13	-0.39
KIAA0329	0.885571428571429
RTP3	-0.686
ZBED3	0.00275
CLGN	-1.15925
SLC25A37	-0.6625
hCG_18290	1.80175
OR5AS1	0.432
SMARCC2	-0.00541666666666667
FAM109A	-0.522166666666667
CCDC12	-0.2515
USF2	-0.5644
DEPDC7	-2.02575
C20orf24	-1.34283333333333
JMJD3	-1.2815
DSP	0.726071428571428
SLIC1	-0.0235
FAM20A	1.451375
