Hybridization REF	TCGA-A2-A0YG-01A-21R-A109-07
PLEKHG4	-2.275
GRB2	0.58115
HIST1H2AD	1.12125
DUS3L	-0.979666666666667
EIF1	-0.0476666666666667
RP5-1077B9.4	-0.822333333333333
FPGT	1.1075
GDF10	-0.757333333333333
COQ9	0.67325
GCC2	-0.682285714285714
RARRES3	3.277375
PLXNA1	-0.5663
KIAA0100	0.0648
PMF1	0.167
FNDC1	5.13975
HS2ST1	-0.384333333333333
CRELD2	0.4925
C8G	-1.2145
CD82	0.00650000000000001
LIM2	-1.091
UNQ6490	-0.2495
MMP16	-0.03525
DRD3	-0.0185
C5orf26	-1.321
C11orf73	0.014375
PTP4A2	0.76125
OR4M2	0.279
HPCA	-0.884333333333333
SEC14L1	-0.814666666666667
CHFR	0.93375
EMILIN1	0.2355
NDUFS4	0.4175
COL18A1	-0.132
PDZD3	0.1713
C9orf16	-0.0558333333333333
ERBB2IP	0.265333333333333
EMX2	2.39575
FUS	-0.80575
TF	-3.8532
CLCN4	-0.729166666666667
CXorf56	0.82025
C11orf72	0.464
ELAC2	-0.718583333333333
NPR1	-0.90625
ASS1	-0.736833333333333
USP42	0.072
POLR2J	0.0695
SEC23IP	0.669166666666667
UQCRC1	0.00475
LOC729603	-0.57125
C1orf71	-0.499625
POLG	-1.0035
ADAM23	-3.217
TFR2	-1.12275
RICTOR	-0.8884
MGC39606	0.1495
C19orf55	-0.2325
SNAPC1	-1.513
GNA11	0.41825
CCDC52	0.429333333333333
FSIP1	4.8895
UPF3A	-0.613625
IGSF11	-2.49283333333333
LAGE3	0.50525
CHST6	-2.3795
UNC13B	0.676625
TTLL4	-1.298375
ZNF687	1.457375
SDC2	-1.1974
COX7A2	0.0975
LAMB4	-0.37075
FAM24A	0.3925
LRRTM3	-1.21933333333333
GPHB5	0.014
OR4C13	0.106
EIF3EIP	0.241142857142857
HABP4	-0.5135
TMEM125	3.4055
CNTN2	1.560625
ASNSD1	-0.3205
FUT4	-0.207125
ACF	-3.92125
LOC158381	1.112
CDH8	0.107
AGPS	-2.44033333333333
C4orf18	3.058875
PECI	-1.42366666666667
UNG	-0.0425
GSTP1	-2.651375
DCUN1D5	-0.952
DKFZP564J0863	0.34175
SLC9A3R1	2.717375
BCDO2	-0.587625
CHMP7	0.74
REM2	0.4465
DNHD1	-0.61225
FKBP4	0.494375
ZNF350	1.59325
MGC11102	0.54175
BST1	0.69725
KISS1R	0.4615
NCR2	0.4175
DEFB125	0.1825
UBE2W	1.332625
KRT15	3.871125
C10orf99	0.5875
SCN11A	0.0437142857142857
GFI1	-2.41725
RDHE2	3.20683333333333
FHL1	-2.09716666666667
OSGEP	-0.313833333333333
GATA1	-3.61266666666667
SMC6	-0.62225
TTTY14	-1.1715
LPIN3	0.39825
RPL4	-0.4509
RBPMS	0.971
PRPF3	-0.392666666666667
EMR1	-2.043
SPATA19	0.07625
XCR1	0.693
IRX3	2.4479
RBM6	-0.6015
KLF4	-0.8395
UNC5CL	0.261
SEBOX	-0.085
BTK	-1.3145
KRCC1	0.36075
C6orf27	0.417
SYTL5	-0.4375
PRND	2.163125
LOC653319	-0.343
PIGL	-0.984875
HUS1	0.662333333333333
SFRS6	1.581
C17orf77	0.3565
UIMC1	-0.163666666666667
FXYD2	-1.7395
LOC283152	2.17075
ZNF667	-2.15525
ZCCHC12	-0.1975
TFEC	3.0188
ATP7B	0.531333333333333
POLD2	-0.352833333333333
RG9MTD1	0.2085
ACOT2	0.175166666666667
HIST1H4I	-0.109375
PPARGC1A	-2.435
ETFA	-0.1736
POLRMT	-0.90175
ZNF146	0.32175
MIA2	-0.9665
KLHL6	-0.885833333333333
HOXB5	-0.336125
NENF	0.3075
CUGBP1	-0.42425
PRSS22	1.99916666666667
CASC4	1.3994
CUL4B	-0.0902
CENPJ	-1.2781
PITX1	0.833833333333333
FLJ31033	0.447166666666667
CELSR3	0.704333333333333
ZNF568	0.6695
ITSN1	-0.2835
EHBP1L1	-0.893
C19orf2	-0.26175
DCTN1	-0.12925
LIN28B	-3.833
TNKS2	-0.91475
C1QBP	-0.504625
CADPS2	2.04725
SRMS	0.75525
GJA9	0.412166666666667
MGC24975	-1.11
TRIM45	0.0425
TSP50	-0.054
TCP1	0.19175
TMED7	0.8826
CMA1	0.515
CENPL	0.1645
PTCRA	0.078
FST	-4.147
VWCE	-3.9715
PAWR	0.56675
ABCC12	2.5465
LDLR	-0.4752
ASTN2	0.7896
LOC441212	-1.82775
GPATCH8	-0.35025
TANC2	1.01275
KIF4A	-0.37325
C18orf18	-1.73325
PGM1	-1.048
KIAA0258	1.16275
CPD	0.547
SNCAIP	-1.422
DCT	-4.52066666666667
HLA-DOA	2.65577272727273
OR11L1	0.4285
UPK1B	-0.288
DNAJB4	-0.75875
UGT1A8	-0.0725
HIST1H4L	-1.8605
PECR	-1.04483333333333
HSPA2	0.3395
WFIKKN1	-2.326
SERP1	0.526375
SYDE2	1.0875
TACR2	0.4805
NUP85	-0.5185
CD177	-0.877
LGR5	-2.10383333333333
PIGG	0.548666666666667
PTHR1	-2.2735
RAB5A	0.3921
FLJ13224	-0.2605
USP9Y	-2.1
C7orf53	0.125
LRP1B	1.0585
XAF1	1.4869
ABCG8	-1.0085
ANKDD1A	-0.9025
DAND5	-1.561
SPAG6	0.516166666666667
LINCR	-0.01975
ZDHHC22	-1.535125
CCDC60	-1.237
THOC7	-1.24166666666667
TCTA	1.0528
OR8K3	0.1295
NY-REN-7	-0.385
B2M	1.524
C6orf141	-2.050875
LPPR4	0.66075
SQLE	-0.861375
SEPHS1	0.5715
BTBD14B	0.806928571428571
PLRG1	-0.09575
SPG7	-0.5100625
ZNF614	0.4235
PARD6G	0.513166666666667
INPP5B	-0.7788
GRPEL2	0.42
PPID	-0.6825
TRIM56	-0.454
UBE2J1	-0.117625
IL20RA	3.40975
LOC387856	-0.00924999999999998
C1orf107	0.86925
UTS2R	0.541
C19orf22	-0.19125
SAFB2	-0.31525
KIAA0652	-0.041125
KLRG1	-1.245
MS4A8B	1.391
FRAG1	0.2915
KIAA1546	1.0715
E2F4	-0.3221
CLEC4M	0.160666666666667
BTBD14A	0.2275
KIAA0999	-0.0456
GYPA	-3.59366666666667
TAC1	2.7094
TRAIP	-0.3565
KIAA0232	0.9732
ERCC8	-0.425
GPX4	0.2085
KIAA0368	-1.03175
GPR157	-0.547
CTAGE4	0.4525
C9orf30	-0.908166666666667
OR52A1	0.437
HSP90B3P	-1.0585
ALG9	-0.2792
BTBD10	0.35325
SDK2	-0.1075
BAIAP3	0.21175
RABGGTB	-1.182375
ANKRD40	-0.402333333333333
KRT74	0.35
CALCOCO2	0.187928571428571
SNCA	-3.2745
TMSL8	-1.984375
C2orf53	0.2045
ESRRB	-0.254
ARHGAP26	-0.9675
TDRD9	-2.85225
HRAS	-0.1505
KLRC4	-2.6615
JAGN1	-0.251
BSDC1	0.259
RNF43	-1.0187
NDUFAF1	0.35425
PHF12	0.58725
OR1L3	0.431
FOLR2	1.63358333333333
LYZL6	0.0118333333333333
tcag7.1260	-1.0495
WSB1	-2.05483333333333
PROS1	-1.2109
OSTN	0.5465
PSMB8	1.25
SOCS4	-0.280125
DDIT4L	-0.06525
MAS1	0.2965
MGC34796	1.54725
CSHL1	0.445333333333333
TBCCD1	0.178166666666667
ZBTB7C	0.4465
AP2S1	-0.045
P15RS	0.197
VAT1	-0.1661
SHANK3	1.04816666666667
TUFM	0.283833333333333
THEG	-0.103
KRT34	-1.879
SGSM3	0.427125
TOMM22	0.150375
SOCS3	0.542666666666667
CPO	0.695
POP4	0.6335
BHLHB3	0.67525
MALL	0.585
OR1B1	0.4255
PARK2	0.300833333333333
GPR124	-0.199875
LCE1E	-0.0545
RUVBL2	-0.33125
CGRRF1	0.1537
ACPL2	-0.721
WNT10B	-0.51
BAIAP2L2	-2.196375
ISCA1	0.171
C1orf125	0.1335
RPAP1	-0.69275
RAI16	-0.0871666666666667
RPL27	-1.18975
NLRP9	0.101
EPN1	0.601
LOC388610	-2.695375
SLC35A1	1.0617
GAL	-4.25325
SLC14A2	0.4
RDH11	-0.326166666666667
FAM138F	-0.557
AUH	0.50675
FLJ40243	0.2615
C14orf129	1.18483333333333
MBD2	-0.2
ABHD14B	-0.56475
PIGT	1.479375
ALS2CR4	-0.03325
ALAS1	0.3647
FOXO1	-0.0325
CRLF3	-1.24175
C20orf107	0.687
FARS2	0.96725
CCDC28A	0.3095
NPHP3	-1.256
OR13F1	0.4695
TSEN54	-0.81675
DEFB106B	0.1244
OR8B4	0.663
STH	0.1475
ZC3H14	-0.18375
CBX2	-0.067
TMEM49	2.0555
C6orf21	0.7935
FLJ20920	-1.041
CRTAP	-0.100785714285714
DDX50	-1.368
STYXL1	-0.03925
BLVRB	0.575833333333333
LOC147650	-0.634
MMP24	0.422
GRID1	1.1135
BANF1	0.130666666666667
CTAGEP	0.51225
HMBS	-1.2335
SLC25A24	0.0895
C14orf50	-0.34475
MRO	1.79733333333333
SLC25A15	-0.4575
FAM84B	2.0809
TDP1	0.208
C16orf78	0.27
C11orf57	-0.052125
RFK	-0.308875
ZFYVE9	-0.768
STCH	-0.4352
WIBG	0.3435
LOC283871	0.0438333333333333
GBA2	-0.1123
NDUFB3	0.32225
HSD17B13	-0.8355
GRIN3A	0.970666666666667
FMNL1	-1.51383333333333
SEPT7	-0.2103
GNLY	2.07
GRAMD1C	0.143333333333333
ZNF165	0.1405
USP38	0.93525
FAM83A	-3.3315
C14orf24	0.0621666666666667
ARMCX3	0.69075
ARHGDIB	0.9465
AK1	0.969125
KIAA1045	0.069
DNAJB13	-0.4365
NEU2	0.596
HIST1H4B	-0.279
FAM20B	0.6464
HES2	0.0114285714285714
FAM73B	-0.0672
LOC388381	-0.40175
INTS7	0.967909090909091
AMPH	1.86925
ZNF775	-0.251875
UCKL1	-0.110666666666667
C10orf97	0.79675
C1orf161	-0.247
ALDH1L1	-1.71375
FLJ39378	-0.410875
SLC23A1	-2.167
RBM4B	-0.15825
THAP4	0.1625
OGFRL1	-0.2085
KIAA0831	-0.00887499999999999
PPP1R15A	-1.27333333333333
C1orf96	-0.924071428571429
C12orf11	-1.9005
BMF	1.2305
MAN1A1	-0.369625
KIAA1600	0.600166666666667
NLGN4X	-0.99425
ALOX12	-1.453
RB1CC1	0.3867
NEIL2	0.2201
EIF4E	0.326409090909091
ABHD5	0.72775
EXOC4	0.116666666666667
CIP29	0.3515
BATF2	0.1735
SLC29A4	1.003625
HTR4	0.463
EMB	1.241
TRAF6	-0.25825
LMNB1	0.048
FAM19A5	-1.38025
SHE	1.3575
PIK3C2B	1.45275
C15orf15	-0.4291
USP15	-0.2753
TCEAL2	0.4365
C5orf39	-0.1495
PTGER2	-1.39725
SLC31A1	0.0304375
IFT172	0.20425
ADAM29	0.321
GFOD1	-0.10075
ST7L	0.177
C15orf26	-2.57925
PKN3	-1.37225
CNTD1	1.45266666666667
COMMD1	0.553
NTRK2	1.94541666666667
FOXN3	-0.634875
MFGE8	-0.6707
PFKFB2	0.456166666666667
TAS2R4	-0.5105
ENTHD1	1.249
PRMT5	-0.641125
MGC16384	-1.526375
LOC442229	-0.389
TSKU	2.2665
KRTCAP3	1.2775
PDLIM1	1.1838
KCNS2	0.32225
RNF126	-0.5975
CEP63	0.110875
CLIC4	-0.719
hCG_1990170	-0.74125
ACR	0.47
KLK7	1.07875
ALOX5AP	2.595125
RIPK3	2.5065
TAS2R9	0.0405
C19orf18	2.6845
BIRC6	0.121357142857143
ZNF16	1.176
RFT1	-0.45475
SLC8A2	0.07575
TACC1	-1.46525
ITGAD	0.589
SAMHD1	1.57825
SH3PXD2B	0.8042
EPC2	0.473
C20orf85	0.18125
ATP13A2	0.681
KRT4	0.446375
CAPNS1	0.03275
MDM2	-0.691666666666667
PCDH20	1.351
KCNK9	0.4045
OR2C1	0.2855
KLHDC3	-0.5135
IPPK	0.7185
EFHD2	-0.359
GALR3	0.46125
NBEA	-0.0336666666666667
ABCA6	2.0898
CLDN3	0.472666666666667
AKT2	-0.699071428571429
EGFR	-2.4432
RBM16	0.307625
ZDHHC3	0.5619
SLC25A4	-0.2935
CYB5B	-0.343166666666667
CPXM1	-1.005
NDRG1	-2.50384615384615
FLJ43826	0.74075
OR5L2	0.212166666666667
FARP2	0.4492
MRPL46	-0.242666666666667
LDHAL6B	-0.569666666666667
MAPKAPK3	-0.453833333333333
NCAM2	-0.62325
PRKD2	0.0725
ZFP36L1	1.3229
CYSLTR1	1.3585
OR4C3	0.39
HIST1H2AJ	2.6245
CCNB2	-1.10488888888889
ZNF10	0.786625
TMEM175	0.1255
FAM134A	0.340833333333333
TIGD4	-0.739
PCNP	-0.3845
MGC39715	0.06825
LQK1	0.2
CREB1	0.4444
TMPRSS3	0.03425
C4orf32	2.460375
LAT	-2.11891666666667
KCNA3	-0.7675
SKIV2L2	-0.1805
ROPN1B	-0.5865
tcag7.23	-0.8115
CDT1	-1.87
ZHX2	1.385
CD28	-3.394
ZNF624	0.16525
SEPT2	0.7585
SOHLH2	-1.3885
MCOLN3	-0.47425
UNQ1945	0.414
MASP2	-0.596
ZNRF3	-0.1699
GPATCH3	-0.51475
AGL	0.2545
QRICH2	-0.189
PSD4	0.7355
CCNB1IP1	-2.2795
ENPP7	0.4835
OBFC1	0.24075
KCNG3	-1.9445
C14orf79	1.4355
ENPEP	2.05733333333333
SCT	0.8175
SKI	0.3825
SEC61G	-0.2435
CAPN11	0.73375
ATXN7L3	-0.304
DBNDD1	0.354833333333333
FAIM	0.83175
ANKRD36	-1.8745
GABRP	2.29966666666667
TACSTD2	2.48366666666667
EIF3J	-0.18775
PPP2R2A	-0.1325
TEKT4	-0.116833333333333
PVALB	-2.31783333333333
F10	-2.93866666666667
FAM134C	0.6047
COMP	4.254875
EFCBP1	-3.285875
SCLT1	0.0965
TAL1	-1.2303
ACSL1	1.7855
ABCC5	1.08258333333333
ABL1	-0.164888888888889
RBBP7	-0.0395
PTPRG	-0.48875
NCOR1	-0.1182
SPINK4	-1.63033333333333
TXNRD1	-0.8675
TNRC15	0.55975
C9orf138	0.4655
UBE2H	1.35266666666667
BRDT	0.440833333333333
C8orf31	-0.17175
CCNE2	0.330090909090909
SLC6A8	-1.844875
CALCR	-4.2205
PPP1CB	0.477083333333333
ABHD8	0.331
ARF5	0.7538
SLC24A4	0.4675
CCT3	0.065
ZNF121	0.991875
SLC3A2	-0.6791
OR13A1	0.314
SLC5A10	0.19075
RAD50	0.87225
IER5	-0.07475
MTHFD1L	-1.4675
MBTPS2	0.28525
MVK	0.35675
NCL	-0.3418
PSMD10	0.0775
MOBP	-0.112
FLJ32894	-0.34
HRH1	-0.225
C5orf30	1.08175
NUDT16L1	1.2853
RASGRP3	3.58866666666667
PRKRIP1	0.3832
CCDC75	-0.1945
LOC253970	-0.131
KIAA1239	0.02475
MED21	-0.22625
SYT11	-0.262666666666667
NTSR2	0.023
EGFL11	0.5575
CXorf59	0.3995
OR2A25	0.399
SPTBN2	-0.31475
LRMP	-1.60566666666667
RNF111	0.11375
PTH	0.681
LOC619208	-0.054
KIAA0895	0.253
RANBP5	-0.94175
P2RY10	1.81866666666667
NME5	-0.163166666666667
DDX21	-1.39775
LRSAM1	0.287
HDAC11	1.3665
VMO1	1.3035
NOLA2	0.0938333333333333
ADAR	2.18766666666667
MTO1	-0.708333333333333
SF4	0.302
P2RX1	0.177166666666667
HBM	0.10025
EN2	0.6045
C14orf172	0.90475
TM9SF2	1.0502
INHBE	-1.25033333333333
TCTE3	0.263
TOX2	-2.8255
CTAGE3	0.6405
HBB	3.6382
MED15	-1.16683333333333
CASR	0.3805
C6orf66	-0.682666666666667
MTPN	0.039875
UNC50	0.07525
C21orf33	-0.064125
IRF2	0.620875
PGR	-2.46916666666667
GPR84	1.49425
CROCCL1	-2.442
SRPX	-1.841
BRE	0.209
FGF10	0.562
SDC3	0.361833333333333
ZRSR1	0.1595
DKFZP434P211	-0.657125
SOX6	-0.323
RPUSD2	-0.38425
C14orf173	0.62375
MAPK11	-0.589166666666667
TBC1D22A	0.045
FAM123A	-1.3635
COL4A6	-2.24916666666667
TOMM70A	0.36725
NAB1	-0.707875
MGC16385	0.423125
TSPAN18	-0.7235
MED31	-0.434
PLG	0.054
CAPSL	2.8355
ZNF532	1.0306
ASB14	-0.40575
CA8	0.6615
NUDT16P	-0.419666666666667
SLFN11	-1.119
LRRIQ2	0.77175
NOL7	-0.2235
BRMS1L	-0.6695
JARID1A	-0.0198333333333333
PANK2	0.19675
ICAM3	-0.0155
MDS1	-0.08875
TAF8	-0.33375
RNF139	1.21275
ZNF594	-0.618333333333333
ADAM8	1.135875
SFTPC	-0.035625
MAN2B2	1.87975
RGS12	0.571375
EIF1AY	-5.5995
LRRIQ1	0.977166666666667
GPR150	0.63875
CCDC21	-0.912166666666667
PRRG3	0.22925
SAA4	-3.70075
RAPGEF5	1.61825
ZCCHC2	0.179916666666667
MGC39372	1.915
PPP4R2	0.710333333333333
CDCA2	-1.10933333333333
OR4D5	0.220333333333333
PTGFRN	0.5852
SIGLEC5	1.17416666666667
C19orf61	-0.336333333333333
NMUR2	0.156
KIAA1586	-1.72833333333333
DAGLA	0.0481666666666667
CHCHD6	0.45
GPR32	1.1125
NEUROD6	0.330666666666667
SLC2A4RG	0.6101875
CA5B	-0.6715
FBXL3	0.54575
MPHOSPH9	-0.40375
HMG2L1	0.3035
HCN4	0.411166666666667
CEACAM19	1.167
SH2D4B	0.473166666666667
HFE2	-0.8395
TGM4	0.57775
LYPD2	0.303
TBC1D15	0.5505
MRPS21	-0.6601
NONO	-0.5628
CLEC5A	0.723
ITCH	0.2269
MGAT3	-1.5195
MBP	-1.210125
RPP25	0.0215
SOSTDC1	-1.19875
HRC	-1.53375
TRIM48	0.4445
TMEM133	-0.472
ECEL1P2	-0.8495
HOXC11	1.837
DOK5	-0.874
HELZ	0.0556666666666667
LOC348180	-0.37025
MGC33894	0.6155
ADRB3	0.147
DMD	-0.322916666666667
PTRH2	2.51225
MPEG1	2.426
NDUFA12	0.190166666666667
KRTAP2-4	0.144666666666667
STAMBPL1	-1.64916666666667
ADCY2	-0.629333333333333
UNQ6125	0.157
KLHL20	0.102666666666667
SRM	-0.60425
OTC	-0.32325
TMIE	0.0186666666666667
SNX8	0.94025
LIPK	-0.0735
CHURC1	-0.816083333333334
KLC2	0.155333333333333
HDAC1	-0.769333333333333
FAM128A	-0.152333333333333
FNDC3B	0.0521
MTCP1	-0.855333333333333
WFDC10B	1.2201
PCDHGB3	-0.3815
ATRNL1	0.9028
CAV2	-0.826125
MED26	-0.336833333333333
DUS1L	-0.51675
CHRM3	-1.855625
NEK9	-0.36175
WARS2	1.2095
TBX22	-0.629
TOMM40	-0.82225
RP6-213H19.1	0.354666666666667
TUBGCP5	-0.2755
IGSF6	4.97475
TPPP	0.702833333333333
UNQ6190	-0.00999999999999998
GSTM5	-0.151125
BTD	0.751833333333333
PDCD1LG2	0.555666666666667
SNRPB2	0.814666666666667
ERICH1	-0.027
APOA4	-1.68875
HOXA11	-1.5115
NARG1	0.07175
MKX	-1.0935
RAB28	-0.154142857142857
PKP3	0.77475
SH3GL2	-2.52075
CTSO	2.3305
RPN2	1.1779375
IL28RA	-0.976
SFMBT1	0.1425
WDR57	-0.709375
FER1L3	0.169
HSF5	-0.0345
TTC9B	0.233
C4BPA	-3.77
ALB	-4.09228571428571
SORBS3	-0.666375
UPF2	0.077
JPH1	0.13
AGBL2	-0.9535
DOPEY1	1.1975
TERF1	-0.0765833333333333
KIF22	0.0793333333333333
NINJ1	1.555
SEC61A2	0.796916666666667
HIST1H1D	0.319666666666667
SFXN4	0.045375
UCP3	-0.0489
ZNF703	1.071
MYL6B	-0.85775
TREM1	2.247
OR52E6	0.4055
CKMT2	0.28825
HLA-C	2.39575
SLC13A3	1.78033333333333
TIMP4	-3.01775
SLIT2	1.22175
RSF1	-0.0100555555555556
LONRF1	-0.723571428571429
MON1A	-0.0693333333333333
CACNG6	-1.3355
DPPA4	-5.35116666666667
ZSWIM3	-0.16325
ZNF804A	0.505666666666667
CCIN	0.88975
SLC25A31	0.1535
KCNMB4	-0.8405
RABL5	0.789875
GALNS	-0.1365
STX6	1.58325
HIST1H1C	1.25116666666667
CIDEB	-1.30075
CASP4	0.526166666666667
PDK3	0.4737
KCNJ11	0.8115
TPR	-0.06725
ZSCAN20	-0.784
MTX2	0.00675
HIST1H2BH	1.3055
LOC283767	1.7935
LYRM7	-1.23477777777778
BRD3	1.07566666666667
HIST1H2BO	0.9375
MAGEB10	0.65
SLC45A1	0.1415
SERPINA3	1.3686
KIAA0143	1.38425
KCNJ16	0.358
KRT79	0.103
FABP2	-0.55425
NUT	0.09825
ZNF57	0.07625
FBXL4	0.436375
CLEC9A	1.0235
UGT8	-1.18566666666667
BMP2K	0.10675
MAPK4	-3.24475
SLC25A23	-0.7557
HINT1	-0.5647
KRTAP13-1	0.6595
SFXN5	1.0531
CHCHD2	0.942166666666667
FAM3D	0.6215
NDP	-3.45525
RHOBTB1	-0.7005
SLC4A4	-1.4525
RPL38	-0.3475
HTF9C	-1.09733333333333
AP2A2	0.0855
ZBTB46	-0.721
MAP7D1	-0.04625
AOX1	-1.725
CYR61	-0.755083333333333
DTNA	0.703642857142857
JRKL	-0.339
TMOD3	0.35075
EEA1	0.2015
ADCK5	0.39625
IL1R1	0.703333333333333
KLK3	0.330928571428571
HRSP12	0.019
KTN1	0.034
LOH11CR2A	0.7891
RELL2	-0.41025
MAB21L1	1.69325
C20orf59	-1.42983333333333
PHKB	0.55
ADAM2	-2.17683333333333
TBC1D8B	1.42183333333333
FAM13A1	-1.6958125
LAPTM4B	1.71625
LCN8	0.0815
TMEM147	0.6415
SYT4	-0.244333333333333
XPO7	-0.182
C9orf62	0.86
GPR75	-0.6915
TRIM5	0.458
APOC1	0.134833333333333
RNASE4	0.051
PARD6B	-2.5065
ARID1A	0.550666666666667
TPD52L3	0.088
RRAGB	0.846666666666667
RCN2	-0.866833333333333
HIST2H2BE	1.18625
STARD7	-0.43775
SHMT2	-0.66825
KIAA1751	0.574833333333333
MLYCD	0.52225
LOC162632	2.1387
UQCRH	-1.0985
RP11-217H1.1	1.267125
SDHA	0.01
NCLN	0.0285
ZNF17	0.945333333333333
RCBTB2	-1.95375
VEGFB	-0.5201
RP4-747L4.3	0.15475
COLQ	0.3521
MPN2	-0.631833333333333
DRG2	-0.512
KLRB1	4.1725
ALPK2	-3.01575
DNASE2B	2.09775
FLJ23834	-0.562166666666667
AXUD1	0.253666666666667
SAFB	-0.5692
NSUN4	0.323
RFX2	-0.6555
MAPK8IP1	-0.652
FANCD2	-0.437142857142857
ANKZF1	-1.44383333333333
C19orf50	-0.05425
DUSP8	0.940125
SENP5	1.08425
NFKBIL2	-0.0495
LBR	-1.804125
IGFL1	0.318
LZTS2	-0.402
IL2RG	-0.89275
CCDC51	-0.193
KLF3	0.343625
ANKRD37	-1.7515
KCTD14	-1.52116666666667
FZR1	-0.124166666666667
SLC44A4	3.7991
ESPL1	-0.648875
GMPR2	-0.0082
TBC1D19	0.390833333333333
ERGIC1	1.52622222222222
ERBB4	1.0914
TSPAN32	0.052
MAP4	0.35175
GPHN	-1.129
SLC6A2	-0.112375
HIVEP1	0.96475
DFFB	-0.889
EIF4EBP2	0.070125
DMRT1	-0.325
HSPB6	-0.06775
IER2	0.4075
AIFM1	0.56725
WWC2	-0.185333333333333
MRPL4	-0.57975
FLJ21062	0.616833333333333
EPB41L4A	1.44575
SH2D6	0.43125
TAF4B	-1.2215
GAL3ST3	-0.105
MALT1	-1.56333333333333
RTDR1	-0.396
ARVCF	0.241125
MEX3B	0.399666666666667
FBXO16	1.3075
KIF7	-2.08025
C1QC	3.91983333333333
ZNF783	-0.206
ZNF85	0.19175
MMP13	5.449
KIAA0329	0.319625
RTP3	-0.5445
ZBED3	-0.60075
CLGN	-1.14525
SLC25A37	-1.58245833333333
hCG_18290	-0.73175
OR5AS1	0.492
SMARCC2	0.340166666666667
FAM109A	0.749666666666667
CCDC12	-0.2545
USF2	0.181
DEPDC7	-2.8105
C20orf24	0.151833333333333
JMJD3	0.911
DSP	1.31028571428571
SLIC1	0.303625
FAM20A	0.9835
IRF2BP2	0.616375
ZNF230	-0.14
MSN	-1.07578571428571
SLC9A5	-1.58
EPDR1	-0.754
MUSK	0.173833333333333
ZNF434	0.606166666666667
