Hybridization REF	TCGA-A2-A0YT-01A-11R-A109-07
CUL4B	-0.0734
CENPJ	-2.0567
PITX1	0.574
FLJ31033	1.50633333333333
CELSR3	-2.078
ZNF568	0.03775
ITSN1	-0.0128333333333333
EHBP1L1	-1.155
C19orf2	-1.08325
DCTN1	0.748
LIN28B	-3.01266666666667
TNKS2	0.0325
C1QBP	-0.237875
CADPS2	0.3575
SRMS	0.427
GJA9	0.075
MGC24975	0.2575
TRIM45	-1.30916666666667
TSP50	-0.1345
TCP1	-0.795
TMED7	0.6982
CMA1	1.252
CENPL	-0.649333333333333
PTCRA	0.217
FST	-4.2895
VWCE	-3.99725
PAWR	0.486
ABCC12	1.22
LDLR	-0.0103
ASTN2	-0.5123
LOC441212	-1.325375
GPATCH8	-0.48725
TANC2	0.08525
KIF4A	-0.923
C18orf18	-1.80675
PGM1	-1.20275
KIAA0258	1.64525
CPD	0.7335
SNCAIP	-1.044
DCT	-4.46366666666667
HLA-DOA	2.47818181818182
OR11L1	0.389
UPK1B	-0.269666666666667
DNAJB4	-0.80825
UGT1A8	-0.07575
HIST1H4L	-0.057
PECR	-0.936166666666667
HSPA2	-0.58575
WFIKKN1	-2.1555
SERP1	1.11225
SYDE2	0.29
TACR2	0.5235
NUP85	0.01775
CD177	-0.548166666666667
LGR5	-2.08316666666667
PIGG	0.82475
PTHR1	-2.029
RAB5A	0.162
FLJ13224	0.4305
USP9Y	-1.53966666666667
C7orf53	-0.481
LRP1B	-1.38675
XAF1	3.0865
ABCG8	-1.008
ANKDD1A	-0.874166666666667
DAND5	-2.5615
SPAG6	0.283666666666667
LINCR	0.78475
ZDHHC22	-1.519875
CCDC60	0.5365
THOC7	-1.80883333333333
TCTA	1.4555
OR8K3	0.375
NY-REN-7	-0.32825
B2M	1.2565
C6orf141	-1.968
LPPR4	2.06025
SQLE	1.029
SEPHS1	-0.2315
BTBD14B	1.09392857142857
PLRG1	-0.33425
SPG7	-0.2231875
ZNF614	-0.208166666666667
PARD6G	0.651666666666667
INPP5B	-1.6143
GRPEL2	0.362875
PPID	-0.4003
TRIM56	-0.58525
UBE2J1	-0.763
IL20RA	4.788
LOC387856	0.0755
C1orf107	0.4335
UTS2R	1.74125
C19orf22	-0.453
SAFB2	-0.16025
KIAA0652	-0.126125
KLRG1	-0.646
MS4A8B	0.245666666666667
FRAG1	-0.303
KIAA1546	-0.0985
E2F4	-1.182
CLEC4M	1.012
BTBD14A	0.25025
KIAA0999	0.0435
GYPA	-3.1695
TAC1	3.3415
TRAIP	-1.48316666666667
KIAA0232	1.2323
ERCC8	-1.44875
GPX4	1.59975
KIAA0368	-0.207
GPR157	0.186333333333333
CTAGE4	-0.116
C9orf30	-1.53233333333333
OR52A1	0.2965
HSP90B3P	-1.318
ALG9	-0.8623
BTBD10	0.065
SDK2	0.02825
BAIAP3	1.7865
RABGGTB	-0.312
ANKRD40	0.4195
KRT74	0.7145
CALCOCO2	0.798714285714286
SNCA	-3.66
TMSL8	-4.37825
C2orf53	0.058
ESRRB	-0.503
ARHGAP26	-1.543
TDRD9	-2.79875
HRAS	0.756666666666667
KLRC4	-2.446
JAGN1	1.04883333333333
BSDC1	0.5175
RNF43	0.4679
NDUFAF1	0.35775
PHF12	0.4285
OR1L3	0.0795
FOLR2	2.69541666666667
LYZL6	0.105166666666667
tcag7.1260	-1.7015
WSB1	-2.56283333333333
PROS1	-0.681
OSTN	0.686
PSMB8	1.165
SOCS4	-0.53525
DDIT4L	3.401
MAS1	-0.0425
MGC34796	1.7755
CSHL1	-0.1
TBCCD1	-0.155833333333333
ZBTB7C	-0.16
AP2S1	1.186875
P15RS	-0.6818
VAT1	-0.735
SHANK3	1.48133333333333
TUFM	0.352
THEG	-0.41925
KRT34	-1.85725
SGSM3	0.903125
TOMM22	-0.627
SOCS3	1.65333333333333
CPO	0.439
POP4	0.20275
BHLHB3	0.81625
MALL	1.39725
OR1B1	-0.0245
PARK2	0.449666666666667
GPR124	-0.47175
LCE1E	0.308
RUVBL2	-0.44825
CGRRF1	0.6021
ACPL2	-0.1975
WNT10B	-1.498875
BAIAP2L2	-1.77525
ISCA1	-0.475
C1orf125	0.09075
RPAP1	-0.68275
RAI16	-0.239166666666667
RPL27	-0.75325
NLRP9	-0.3815
EPN1	0.132
LOC388610	-1.09075
SLC35A1	1.0645
GAL	-2.7835
SLC14A2	0.29725
RDH11	-0.524166666666667
FAM138F	-0.4085
AUH	0.005
FLJ40243	-0.135
C14orf129	0.839833333333333
MBD2	-0.635166666666667
ABHD14B	0.353375
PIGT	1.114125
ALS2CR4	-0.733125
ALAS1	0.0985
FOXO1	0.793666666666667
CRLF3	-1.45475
C20orf107	0.2005
FARS2	0.83625
CCDC28A	-0.263
NPHP3	-1.28075
OR13F1	1.075
TSEN54	0.02375
DEFB106B	0.2852
OR8B4	0.756
STH	-0.89875
ZC3H14	-1.015875
CBX2	-0.2425
TMEM49	-1.62525
C6orf21	0.6945
FLJ20920	0.05575
CRTAP	0.0332142857142857
DDX50	-0.62
STYXL1	0.17675
BLVRB	1.45983333333333
LOC147650	0.06
MMP24	1.287
GRID1	1.10383333333333
BANF1	-0.469833333333333
CTAGEP	0.173
HMBS	-2.07625
SLC25A24	-0.213666666666667
C14orf50	-0.60425
MRO	0.883333333333333
SLC25A15	-0.8885
FAM84B	2.728
TDP1	-0.7025
C16orf78	0.162
C11orf57	-0.503625
RFK	-1.062875
ZFYVE9	0.10725
STCH	-1.5082
WIBG	1.14725
LOC283871	0.8805
GBA2	-0.5485
NDUFB3	0.68575
HSD17B13	-0.91425
GRIN3A	0.989666666666667
FMNL1	-1.40216666666667
SEPT7	-1.3608
GNLY	3.1135
GRAMD1C	0.152666666666667
ZNF165	0.74125
USP38	0.81
FAM83A	-1.88666666666667
C14orf24	0.107916666666667
ARMCX3	0.3815
ARHGDIB	0.140833333333333
AK1	0.459
KIAA1045	-0.161
DNAJB13	-0.824166666666667
NEU2	-0.3075
HIST1H4B	0.965666666666667
FAM20B	-0.0706
HES2	-0.260214285714286
FAM73B	-0.2302
LOC388381	-0.323
INTS7	-0.0674545454545454
AMPH	-0.08375
ZNF775	-0.00212500000000004
UCKL1	0.315
C10orf97	-2.03325
C1orf161	-0.379
ALDH1L1	-1.66425
FLJ39378	-0.454625
SLC23A1	-0.573
RBM4B	-0.72775
THAP4	0.122
OGFRL1	-0.86625
KIAA0831	-0.314625
PPP1R15A	-0.996666666666667
C1orf96	0.0947142857142857
C12orf11	-2.4255
BMF	0.561625
MAN1A1	-1.615875
KIAA1600	0.338166666666667
NLGN4X	-2.05425
ALOX12	-1.641
RB1CC1	0.5058
NEIL2	-0.9614
EIF4E	0.0446818181818182
ABHD5	-0.59125
EXOC4	-0.3875
CIP29	-0.0286666666666667
BATF2	0.9845
SLC29A4	-0.862125
HTR4	0.38075
EMB	-1.492
TRAF6	-0.296
LMNB1	-1.64025
FAM19A5	-2.193875
SHE	1.8565
PIK3C2B	1.26175
C15orf15	-0.4645
USP15	0.1776
TCEAL2	0.62975
C5orf39	0.252166666666667
PTGER2	0.34425
SLC31A1	-0.016625
IFT172	0.2615
ADAM29	0.2875
GFOD1	-0.43225
ST7L	0.4955
C15orf26	-2.69925
PKN3	-1.1625
CNTD1	2.29616666666667
COMMD1	0.45675
NTRK2	1.49133333333333
FOXN3	-0.8495
MFGE8	-0.3276
PFKFB2	0.78
TAS2R4	-0.9895
ENTHD1	0.155833333333333
PRMT5	-0.79375
MGC16384	-1.578
LOC442229	0.564
TSKU	0.743875
KRTCAP3	3.561875
PDLIM1	0.5289
KCNS2	0.1395
RNF126	-0.210833333333333
CEP63	0.082375
CLIC4	-0.7675
hCG_1990170	-0.33375
ACR	0.6568
KLK7	0.3295
ALOX5AP	1.962
RIPK3	3.9825
TAS2R9	-0.0525
C19orf18	2.0755
BIRC6	-0.489714285714286
ZNF16	2.11
RFT1	-0.82175
SLC8A2	-0.533
TACC1	1.15125
ITGAD	1.97675
SAMHD1	1.6525
SH3PXD2B	0.2322
EPC2	-0.255
C20orf85	0.59625
ATP13A2	1.4515
KRT4	0.7185
CAPNS1	0.347
MDM2	0.746666666666666
PCDH20	0.949
KCNK9	0.4215
OR2C1	0.624
KLHDC3	-0.170166666666667
IPPK	1.015
EFHD2	0.015625
GALR3	1.78325
NBEA	0.843666666666667
ABCA6	2.7699
CLDN3	3.21216666666667
AKT2	-0.393428571428572
EGFR	-2.604
RBM16	-0.19
ZDHHC3	-0.3159
SLC25A4	1.49083333333333
CYB5B	-1.30933333333333
CPXM1	0.045
NDRG1	-0.977769230769231
FLJ43826	-0.0765
OR5L2	0.496
FARP2	0.9262
MRPL46	0.728416666666667
LDHAL6B	0.286166666666667
MAPKAPK3	-0.667833333333333
NCAM2	1.8645
PRKD2	0.396166666666667
ZFP36L1	-0.0683
CYSLTR1	0.266
OR4C3	0.2985
HIST1H2AJ	3.1935
CCNB2	-1.27933333333333
ZNF10	-0.36125
TMEM175	0.7745
FAM134A	0.6625
TIGD4	0.0345
PCNP	-0.09925
MGC39715	0.372
LQK1	-2.03275
CREB1	0.0246
TMPRSS3	-1.42175
C4orf32	0.74675
LAT	-2.21033333333333
KCNA3	0.2345
SKIV2L2	-0.876
ROPN1B	-2.2445
tcag7.23	-0.8905
CDT1	-1.903625
ZHX2	1.23625
CD28	-2.804
ZNF624	0.203
SEPT2	-0.408916666666667
SOHLH2	-1.85675
MCOLN3	-0.55225
UNQ1945	0.871
MASP2	-0.4455
ZNRF3	-0.2734
GPATCH3	-0.305
AGL	0.999875
QRICH2	-0.7185
PSD4	0.295166666666667
CCNB1IP1	-2.3675
ENPP7	0.378
OBFC1	0.577
KCNG3	-2.11
C14orf79	0.32
ENPEP	1.77383333333333
SCT	0.144
SKI	0.99475
SEC61G	-0.86725
CAPN11	1.18425
ATXN7L3	-0.614
DBNDD1	0.578
FAIM	0.55325
ANKRD36	-1.175
GABRP	1.49116666666667
TACSTD2	2.5525
EIF3J	0.046
PPP2R2A	-1.27625
TEKT4	-0.0816666666666667
PVALB	-0.706333333333333
F10	-3.0035
FAM134C	0.4336
COMP	4.26975
EFCBP1	-2.81475
SCLT1	0.1495
TAL1	-0.9346
ACSL1	0.95775
ABCC5	1.0125
ABL1	-0.546388888888889
RBBP7	0.220416666666667
PTPRG	-1.816375
NCOR1	-0.7188
SPINK4	2.36033333333333
TXNRD1	-0.1113
TNRC15	0.779625
C9orf138	1.04425
UBE2H	1.01483333333333
BRDT	2.18766666666667
C8orf31	-0.2935
CCNE2	-0.575636363636364
SLC6A8	-1.636875
CALCR	-3.672
PPP1CB	0.07075
ABHD8	-0.57725
ARF5	0.1738
SLC24A4	0.69975
CCT3	1.062
ZNF121	0.25575
SLC3A2	-0.6243
OR13A1	0.6585
SLC5A10	0.75625
RAD50	0.310875
IER5	0.354
MTHFD1L	-1.89625
MBTPS2	0.48475
MVK	-0.307375
NCL	-0.5613
PSMD10	0.22775
MOBP	0.58625
FLJ32894	-0.304
HRH1	-0.493833333333333
C5orf30	1.1575
NUDT16L1	1.5464
RASGRP3	3.1255
PRKRIP1	-0.6056
CCDC75	-0.7535
LOC253970	0.30125
KIAA1239	0.03725
MED21	0.6505
SYT11	0.0524166666666667
NTSR2	-0.1475
EGFL11	0.3935
CXorf59	0.3525
OR2A25	0.18625
SPTBN2	-1.28125
LRMP	-1.24266666666667
RNF111	0.455
PTH	0.5015
LOC619208	0.681833333333333
KIAA0895	0.39575
RANBP5	-1.723125
P2RY10	4.80683333333333
NME5	1.78883333333333
DDX21	-1.052
LRSAM1	0.513
HDAC11	2.469
VMO1	1.798
NOLA2	0.895333333333333
ADAR	1.1745
MTO1	-0.345666666666667
SF4	0.004
P2RX1	0.0466666666666667
HBM	0.3735
EN2	2.0225
C14orf172	0.3505
TM9SF2	0.1449
INHBE	-1.71483333333333
TCTE3	-0.218083333333333
TOX2	-3.00375
CTAGE3	0.280125
HBB	3.9261
MED15	-0.763166666666667
CASR	0.26275
C6orf66	-1.00366666666667
MTPN	-0.282
UNC50	0.075
C21orf33	0.363125
IRF2	0.65925
PGR	-1.926
GPR84	2.07575
CROCCL1	-1.9615
SRPX	-1.268
BRE	0.647333333333333
FGF10	0.75825
SDC3	-0.979166666666667
ZRSR1	0.3025
DKFZP434P211	-0.197
SOX6	0.1215
RPUSD2	-0.2265
C14orf173	0.3245
MAPK11	-0.120333333333333
TBC1D22A	0.6
FAM123A	0.1405
COL4A6	-3.62083333333333
TOMM70A	-0.25475
NAB1	-0.85825
MGC16385	0.34175
TSPAN18	0.0906666666666667
MED31	0.693
PLG	-0.028
CAPSL	1.456
ZNF532	-0.7976
ASB14	0.01725
CA8	0.37925
NUDT16P	-0.6405
SLFN11	-1.246
LRRIQ2	0.7795
NOL7	-0.083
BRMS1L	-0.791
JARID1A	-0.0928333333333333
PANK2	-0.628
ICAM3	0.09875
MDS1	-0.79875
TAF8	0.091
RNF139	2.801
ZNF594	-0.468333333333333
ADAM8	3.240125
SFTPC	-0.136375
MAN2B2	1.510625
RGS12	0.847625
EIF1AY	-4.24925
LRRIQ1	-1.44133333333333
GPR150	2.001
CCDC21	-0.7675
PRRG3	0.491
SAA4	-3.6945
RAPGEF5	1.75175
ZCCHC2	0.340166666666667
MGC39372	0.144
PPP4R2	-0.986833333333333
CDCA2	-1.93933333333333
OR4D5	0.231833333333333
PTGFRN	-0.0775
SIGLEC5	1.10566666666667
C19orf61	0.218666666666667
NMUR2	0.0655
KIAA1586	0.032
DAGLA	-0.344833333333333
CHCHD6	0.3925
GPR32	0.371
NEUROD6	0.134166666666667
SLC2A4RG	1.1830625
CA5B	0.806
FBXL3	0.35775
MPHOSPH9	-1.62
HMG2L1	0.67075
HCN4	1.44583333333333
CEACAM19	1.24675
SH2D4B	0.317833333333333
HFE2	-0.453
TGM4	0.1705
LYPD2	0.000249999999999995
TBC1D15	0.80525
MRPS21	-0.0504
NONO	-0.879
CLEC5A	1.03525
ITCH	0.1642
MGAT3	-1.57833333333333
MBP	-1.308
RPP25	0.54175
SOSTDC1	-2.96475
HRC	-0.04825
TRIM48	0.2965
TMEM133	-0.37225
ECEL1P2	-1.219
HOXC11	-0.3835
DOK5	-1.4135
HELZ	0.353833333333333
LOC348180	-0.5145
MGC33894	0.26425
ADRB3	0.1155
DMD	-0.542
PTRH2	0.03825
MPEG1	3.283
NDUFA12	0.707
KRTAP2-4	0.410916666666667
STAMBPL1	-1.77016666666667
ADCY2	0.362666666666667
UNQ6125	0.531
KLHL20	-0.0435
SRM	-0.83575
OTC	-0.49975
TMIE	0.4985
SNX8	-0.00875
LIPK	0.283
CHURC1	-0.243583333333333
KLC2	0.266166666666667
HDAC1	0.320166666666667
FAM128A	0.563666666666667
FNDC3B	-0.2967
MTCP1	-0.149
WFDC10B	0.7861
PCDHGB3	-0.2385
ATRNL1	-2.2753
CAV2	-1.1115
MED26	-0.218666666666667
DUS1L	0.6555
CHRM3	-1.54575
NEK9	-0.4
WARS2	-0.07075
TBX22	-0.52
TOMM40	-0.76475
RP6-213H19.1	-0.138166666666667
TUBGCP5	0.1915
IGSF6	4.8515
TPPP	0.695
UNQ6190	0.411
GSTM5	0.136625
BTD	0.955833333333333
PDCD1LG2	0.3445
SNRPB2	-0.0208333333333333
ERICH1	-1.286
APOA4	-1.434875
HOXA11	-2.35925
NARG1	0.17775
MKX	6.0645
RAB28	-0.281142857142857
PKP3	0.77925
SH3GL2	-3.9025
CTSO	2.26225
RPN2	1.558
IL28RA	0.57
SFMBT1	-0.6135
WDR57	-0.7665
FER1L3	1.54566666666667
HSF5	0.1685
TTC9B	1.29275
C4BPA	-4.29333333333333
ALB	-3.74528571428571
SORBS3	0.162375
UPF2	-0.8255
JPH1	-0.4665
AGBL2	0.05225
DOPEY1	0.798
TERF1	-0.357583333333333
KIF22	0.136666666666667
NINJ1	1.59925
SEC61A2	0.574
HIST1H1D	1.48016666666667
SFXN4	0.579
UCP3	-0.0439999999999999
ZNF703	1.7345
MYL6B	-1.00625
TREM1	1.389
OR52E6	1.3035
CKMT2	1.383
HLA-C	2.1495
SLC13A3	-1.71433333333333
TIMP4	-0.934
SLIT2	1.83
RSF1	-0.627944444444444
LONRF1	-1.83571428571429
MON1A	-0.361833333333333
CACNG6	-0.633833333333333
DPPA4	-5.42883333333333
ZSWIM3	-0.33825
ZNF804A	0.362333333333333
CCIN	0.89375
SLC25A31	-0.1845
KCNMB4	0.154
RABL5	0.17075
GALNS	-0.0155
STX6	0.802875
HIST1H1C	1.40116666666667
CIDEB	-0.8635
CASP4	-0.911333333333333
PDK3	0.07
KCNJ11	0.656
TPR	-0.798125
ZSCAN20	-1.4255
MTX2	-0.28425
HIST1H2BH	1.763
LOC283767	-0.6365
LYRM7	-1.11827777777778
BRD3	0.0193333333333333
HIST1H2BO	1.71425
MAGEB10	-0.7385
SLC45A1	0.66475
SERPINA3	2.1851
KIAA0143	2.64425
KCNJ16	0.502333333333333
KRT79	0.06475
FABP2	-0.4235
NUT	-0.19075
ZNF57	0.24875
FBXL4	0.229875
CLEC9A	1.632
UGT8	-1.19233333333333
BMP2K	0.4375
MAPK4	-4.13125
SLC25A23	-0.6081
HINT1	0.4221
KRTAP13-1	-0.0975
SFXN5	0.5836
CHCHD2	0.90825
FAM3D	1.015
NDP	-0.297125
RHOBTB1	-1.134
SLC4A4	-1.384625
RPL38	-0.03625
HTF9C	-0.1435
AP2A2	0.413
ZBTB46	-0.4135
MAP7D1	-0.534
AOX1	-1.15033333333333
CYR61	0.545416666666667
DTNA	1.17471428571429
JRKL	-1.2525
TMOD3	-0.66825
EEA1	0.1777
ADCK5	1.60775
IL1R1	0.3295
KLK3	0.834571428571429
HRSP12	1.781
KTN1	0.39475
LOH11CR2A	-0.8328
RELL2	-0.249
MAB21L1	1.58625
C20orf59	-0.703333333333333
PHKB	0.93925
ADAM2	-0.809666666666667
TBC1D8B	1.08666666666667
FAM13A1	-1.62025
LAPTM4B	2.00041666666667
LCN8	0.2125
TMEM147	0.384
SYT4	0.416833333333333
XPO7	-0.726
C9orf62	2.40475
GPR75	0.044
TRIM5	0.039
APOC1	-0.475
RNASE4	-1.02633333333333
PARD6B	1.933625
ARID1A	-0.0763333333333333
TPD52L3	-0.0968888888888889
RRAGB	0.6905
RCN2	-0.244333333333333
HIST2H2BE	1.17075
STARD7	-0.45625
SHMT2	-0.19425
KIAA1751	1.03083333333333
MLYCD	0.626375
LOC162632	-0.5469
UQCRH	-1.482
RP11-217H1.1	0.9415
SDHA	0.481166666666667
NCLN	-0.2006
ZNF17	0.0968333333333333
RCBTB2	-1.6195
VEGFB	-0.7104
RP4-747L4.3	0.62525
COLQ	-0.1463
MPN2	-0.7275
DRG2	-0.04625
KLRB1	4.0885
ALPK2	-4.07125
DNASE2B	1.31775
FLJ23834	-0.613333333333333
AXUD1	0.5435
SAFB	-0.4697
NSUN4	0.03325
RFX2	0.699166666666667
MAPK8IP1	-0.346166666666667
FANCD2	-0.718571428571429
ANKZF1	-1.61833333333333
C19orf50	-0.73475
DUSP8	2.33225
SENP5	0.599125
NFKBIL2	0.429
LBR	-1.1225
IGFL1	0.4135
LZTS2	-0.586125
IL2RG	-0.60175
CCDC51	-0.4205
KLF3	-0.06175
ANKRD37	0.2035
KCTD14	-1.7265
FZR1	0.233083333333333
SLC44A4	4.0389
ESPL1	-0.05725
GMPR2	-0.0974
TBC1D19	-0.517833333333333
ERGIC1	1.70137037037037
ERBB4	3.2146
TSPAN32	0.46425
MAP4	-0.811625
GPHN	-0.16
SLC6A2	-0.170125
HIVEP1	1.01825
DFFB	-0.5683
EIF4EBP2	0.25725
DMRT1	-0.446
HSPB6	0.1565
IER2	-0.101333333333333
AIFM1	0.3645
WWC2	0.778666666666667
MRPL4	-0.1175
FLJ21062	-0.00333333333333333
EPB41L4A	0.365083333333333
SH2D6	0.1555
TAF4B	-1.09825
GAL3ST3	-0.6355
MALT1	-1.22683333333333
RTDR1	1.32025
ARVCF	0.585875
MEX3B	-1.7325
FBXO16	1.078
KIF7	-1.90675
C1QC	4.00133333333333
ZNF783	-0.516666666666667
ZNF85	-0.561
MMP13	0.9305
KIAA0329	-0.23775
RTP3	-0.3845
ZBED3	-0.95075
CLGN	-1.13475
SLC25A37	-2.08166666666667
hCG_18290	-0.32175
OR5AS1	0.51
SMARCC2	0.750583333333333
FAM109A	-0.231833333333333
CCDC12	-0.839
USF2	0.217
DEPDC7	-3.29775
C20orf24	1.4545
JMJD3	0.653
DSP	0.537214285714286
SLIC1	0.38975
FAM20A	1.214
IRF2BP2	-0.244
ZNF230	-1.539
MSN	-1.56964285714286
SLC9A5	-1.498
EPDR1	-2.7257
MUSK	0.202833333333333
ZNF434	-0.188166666666667
SMARCD1	-0.245833333333333
ZFP106	-0.00125
