Hybridization REF	TCGA-BH-A0BQ-11A-33R-A115-07
SYTL5	-0.5495
PRND	1.36457142857143
LOC653319	-0.7685
PIGL	-1.339625
HUS1	-1.38233333333333
SFRS6	-0.304916666666667
C17orf77	3.063
UIMC1	-0.0306666666666667
FXYD2	-1.5767
LOC283152	0.1205
ZNF667	1.023
ZCCHC12	-0.21675
TFEC	1.1558
ATP7B	-0.6715
POLD2	-0.828
RG9MTD1	-0.21425
ACOT2	0.192166666666667
HIST1H4I	-1.25575
PPARGC1A	-0.7111
ETFA	-1.6749
POLRMT	-0.2875
ZNF146	-0.946375
MIA2	-0.7165
KLHL6	-0.8625
HOXB5	-1.42475
NENF	0.603166666666667
CUGBP1	-0.8055
PRSS22	0.97
CASC4	0.9387
CUL4B	0.1572
CENPJ	-1.578
PITX1	-1.715
FLJ31033	0.250333333333333
CELSR3	-2.23383333333333
ZNF568	0.26875
ITSN1	-0.303833333333333
EHBP1L1	-0.283666666666667
C19orf2	-0.84175
DCTN1	0.61325
LIN28B	-1.9755
TNKS2	-0.78325
C1QBP	-1.628625
CADPS2	1.6895
SRMS	-0.0845
GJA9	-0.413666666666667
MGC24975	-0.578166666666667
TRIM45	-0.738
TSP50	0.95075
TCP1	-0.84375
TMED7	0.5695
CMA1	0.8135
CENPL	-2.37733333333333
PTCRA	-0.2105
FST	-3.0215
VWCE	-2.05375
PAWR	0.405
ABCC12	0.528833333333333
LDLR	0.9014
ASTN2	1.4681
LOC441212	-0.383375
GPATCH8	-0.04575
TANC2	-0.235833333333333
KIF4A	-4.0415
C18orf18	-0.52125
PGM1	-0.297
KIAA0258	0.391
CPD	0.00949999999999998
SNCAIP	0.2325
DCT	-4.97333333333333
HLA-DOA	1.90468181818182
OR11L1	0.112
UPK1B	-0.162
DNAJB4	-0.22725
UGT1A8	-0.383
HIST1H4L	-0.99
PECR	-2.01466666666667
HSPA2	1.004
WFIKKN1	-1.9015
SERP1	0.20025
SYDE2	0.32475
TACR2	0.9555
NUP85	-1.0015
CD177	-0.318
LGR5	-1.526
PIGG	-0.09175
PTHR1	0.69
RAB5A	-0.154
FLJ13224	0.315
USP9Y	-1.43966666666667
C7orf53	-0.6105
LRP1B	0.55675
XAF1	2.0512
ABCG8	-0.217
ANKDD1A	0.150833333333333
DAND5	-1.024
SPAG6	1.00833333333333
LINCR	3.22725
ZDHHC22	-0.910875
CCDC60	0.396
THOC7	-1.327
TCTA	0.5726
OR8K3	0.0165
NY-REN-7	0.8135
B2M	0.8925
C6orf141	-1.57425
LPPR4	1.9525
SQLE	-1.799875
SEPHS1	-0.89425
BTBD14B	0.405928571428571
PLRG1	-0.142
SPG7	-0.2915
ZNF614	-0.539166666666667
PARD6G	2.1895
INPP5B	-1.1338
GRPEL2	-0.799375
PPID	-0.3832
TRIM56	0.29925
UBE2J1	-0.5175
IL20RA	4.59375
LOC387856	-0.03825
C1orf107	0.164333333333333
UTS2R	2.3735
C19orf22	-0.55275
SAFB2	0.0935
KIAA0652	0.208375
KLRG1	-0.345
MS4A8B	0.375333333333333
FRAG1	-0.35375
KIAA1546	0.3825
E2F4	-0.6731
CLEC4M	0.504833333333333
BTBD14A	-0.69575
KIAA0999	1.5348
GYPA	-2.98833333333333
TAC1	2.9148
TRAIP	-1.63966666666667
KIAA0232	0.7813
ERCC8	-1.616125
GPX4	0.4995
KIAA0368	0.041875
GPR157	0.3725
CTAGE4	0.721
C9orf30	-1.75166666666667
OR52A1	-0.231
HSP90B3P	-0.819
ALG9	-0.9334
BTBD10	-0.23775
SDK2	0.74475
BAIAP3	0.3015
RABGGTB	-0.872875
ANKRD40	-0.764166666666667
KRT74	-0.00850000000000001
CALCOCO2	0.143214285714286
SNCA	-3.2495
TMSL8	-2.482875
C2orf53	-0.2665
ESRRB	-0.4985
ARHGAP26	0.020625
TDRD9	-1.87525
HRAS	0.4885
KLRC4	-1.7715
JAGN1	-0.038
BSDC1	0.92825
RNF43	0.2598
NDUFAF1	0.18025
PHF12	0.289666666666667
OR1L3	0.83275
FOLR2	1.8135
LYZL6	-0.3264
tcag7.1260	-1.4795
WSB1	-0.740333333333333
PROS1	1.1743
OSTN	0.0005
PSMB8	0.5755
SOCS4	-0.677375
DDIT4L	1.7035
MAS1	null
MGC34796	0.07
CSHL1	-0.0831666666666667
TBCCD1	-0.334333333333333
ZBTB7C	0.5455
AP2S1	-0.66475
P15RS	-0.8721
VAT1	-0.5597
SHANK3	1.741
TUFM	-0.0888333333333333
THEG	0.196
KRT34	-1.66075
SGSM3	0.783625
TOMM22	-0.381375
SOCS3	1.984
CPO	0.5785
POP4	-0.303
BHLHB3	3.2035
MALL	1.807
OR1B1	0.4435
PARK2	0.208166666666667
GPR124	0.767375
LCE1E	1.934
RUVBL2	-0.47625
CGRRF1	0.5413
ACPL2	0.6735
WNT10B	-1.577875
BAIAP2L2	-2.130875
ISCA1	-0.0335
C1orf125	0.05325
RPAP1	-0.84
RAI16	0.8575
RPL27	0.069625
NLRP9	0.3575
EPN1	-0.2705
LOC388610	0.701375
SLC35A1	0.4806
GAL	-3.4005
SLC14A2	0.126
RDH11	-0.7755
FAM138F	-0.4015
AUH	0.248
FLJ40243	-0.00733333333333334
C14orf129	0.0543333333333333
MBD2	-0.631833333333333
ABHD14B	0.62825
PIGT	0.44175
ALS2CR4	0.483
ALAS1	-0.5066
FOXO1	3.26733333333333
CRLF3	-0.934625
C20orf107	-0.719
FARS2	0.658
CCDC28A	0.729
NPHP3	0.3885
OR13F1	-0.5665
TSEN54	-0.65375
DEFB106B	-0.129625
OR8B4	-0.4735
STH	0.478
ZC3H14	-0.792375
CBX2	-0.6205
TMEM49	-1.59175
C6orf21	-0.252
FLJ20920	0.9795
CRTAP	0.00014285714285715
DDX50	0.18275
STYXL1	-0.92675
BLVRB	-0.914333333333333
LOC147650	0.342333333333333
MMP24	0.42975
GRID1	1.77466666666667
BANF1	-0.735166666666667
CTAGEP	-0.1045
HMBS	-2.01475
SLC25A24	-0.0688333333333333
C14orf50	0.86
MRO	-0.239333333333333
SLC25A15	-1.35525
FAM84B	0.6539
TDP1	-1.0825
C16orf78	0.294666666666667
C11orf57	0.369875
RFK	-0.974375
ZFYVE9	-0.65725
STCH	-1.1059
WIBG	0.05275
LOC283871	-0.911
GBA2	-0.2851
NDUFB3	-0.36075
HSD17B13	0.268
GRIN3A	0.578333333333333
FMNL1	-0.803166666666667
SEPT7	-0.3868
GNLY	0.6545
GRAMD1C	1.40416666666667
ZNF165	-0.22675
USP38	-0.04175
FAM83A	-2.617
C14orf24	0.168333333333333
ARMCX3	1.008
ARHGDIB	0.0475
AK1	-0.115625
KIAA1045	1.09175
DNAJB13	-0.415333333333333
NEU2	-0.3435
HIST1H4B	-1.17083333333333
FAM20B	-0.5613
HES2	0.05
FAM73B	-0.3552
LOC388381	0.06275
INTS7	-1.44727272727273
AMPH	1.59525
ZNF775	0.224875
UCKL1	-0.404666666666667
C10orf97	0.0205
C1orf161	-0.0413333333333333
ALDH1L1	2.31525
FLJ39378	-0.091375
SLC23A1	-0.371
RBM4B	-0.23025
THAP4	0.319666666666667
OGFRL1	1.794
KIAA0831	-0.02775
PPP1R15A	0.807333333333333
C1orf96	-0.294
C12orf11	-2.41725
BMF	-0.37025
MAN1A1	-0.79725
KIAA1600	0.7275
NLGN4X	1.614
ALOX12	-0.6865
RB1CC1	0.0462
NEIL2	0.3283
EIF4E	-0.574227272727273
ABHD5	0.0215
EXOC4	0.262
CIP29	-1.71066666666667
BATF2	0.8065
SLC29A4	-0.374
HTR4	0.661333333333333
EMB	-1.40175
TRAF6	0.4615
LMNB1	-4.7785
FAM19A5	-0.587625
SHE	1.50225
PIK3C2B	0.64525
C15orf15	-0.5394
USP15	-0.1869
TCEAL2	3.046
C5orf39	-0.4055
PTGER2	-0.901
SLC31A1	-1.03575
IFT172	1.01025
ADAM29	0.393
GFOD1	0.90675
ST7L	0.429333333333333
C15orf26	-2.39625
PKN3	-0.578
CNTD1	1.61866666666667
COMMD1	0.81325
NTRK2	4.52758333333333
FOXN3	0.8375
MFGE8	2.3984
PFKFB2	-0.1365
TAS2R4	-0.3105
ENTHD1	-0.764833333333333
PRMT5	-0.696125
MGC16384	-0.31
LOC442229	-1.146
TSKU	0.76825
KRTCAP3	2.868
PDLIM1	1.1302
KCNS2	-0.14425
RNF126	-0.068
CEP63	-0.464
CLIC4	0.329375
hCG_1990170	4.17775
ACR	0.7757
KLK7	4.64375
ALOX5AP	3.376875
RIPK3	2.938
TAS2R9	0.084
C19orf18	1.1735
BIRC6	-0.4305
ZNF16	0.897
RFT1	-1.0185
SLC8A2	-0.19675
TACC1	1.856625
ITGAD	0.7035
SAMHD1	0.45325
SH3PXD2B	1.275
EPC2	0.5055
C20orf85	2.358625
ATP13A2	0.2425
KRT4	0.306375
CAPNS1	0.80075
MDM2	-0.359583333333333
PCDH20	2.77175
KCNK9	-0.1755
OR2C1	0.5595
KLHDC3	-0.0385
IPPK	-0.924
EFHD2	-0.4535
GALR3	2.607
NBEA	1.47766666666667
ABCA6	3.7524
CLDN3	1.78216666666667
AKT2	-1.00207142857143
EGFR	0.4229
RBM16	0.67775
ZDHHC3	-0.2002
SLC25A4	-0.296
CYB5B	-1.90983333333333
CPXM1	1.39975
NDRG1	-1.08338461538462
FLJ43826	-0.23575
OR5L2	0.0498333333333333
FARP2	0.1999
MRPL46	-0.414916666666667
LDHAL6B	-0.277
MAPKAPK3	-0.2035
NCAM2	-0.634
PRKD2	0.9775
ZFP36L1	1.2865
CYSLTR1	-0.25025
OR4C3	0.31425
HIST1H2AJ	0.4145
CCNB2	-3.79
ZNF10	0.393875
TMEM175	1.248
FAM134A	0.653833333333333
TIGD4	0.27
PCNP	0.197
MGC39715	0.1035
LQK1	-1.78975
CREB1	-0.0318
TMPRSS3	0.668
C4orf32	1.20925
LAT	-1.25591666666667
KCNA3	-0.6305
SKIV2L2	-1.17375
ROPN1B	3.522
tcag7.23	-0.158
CDT1	-2.7695
ZHX2	1.656125
CD28	-3.437
ZNF624	0.196
SEPT2	-0.514333333333333
SOHLH2	-1.57942857142857
MCOLN3	-0.103
UNQ1945	0.342
MASP2	0.022
ZNRF3	0.6907
GPATCH3	0.14125
AGL	0.746625
QRICH2	-0.1445
PSD4	1.29383333333333
CCNB1IP1	-0.733
ENPP7	0.12225
OBFC1	0.10575
KCNG3	-1.473
C14orf79	0.75025
ENPEP	1.92216666666667
SCT	0.159
SKI	0.994875
SEC61G	-1.4465
CAPN11	1.93225
ATXN7L3	-1.0025
DBNDD1	-0.598333333333333
FAIM	0.73475
ANKRD36	0.2065
GABRP	5.2095
TACSTD2	3.4568
EIF3J	-0.93625
PPP2R2A	-0.68475
TEKT4	-0.36
PVALB	-3.04283333333333
F10	-0.747833333333333
FAM134C	0.2353
COMP	2.553625
EFCBP1	-1.0784375
SCLT1	0.88075
TAL1	-0.8107
ACSL1	2.04275
ABCC5	-0.0165833333333333
ABL1	-0.113444444444444
RBBP7	-0.849666666666666
PTPRG	0.25775
NCOR1	-0.1803
SPINK4	-0.946833333333333
TXNRD1	-1.3382
TNRC15	1.088625
C9orf138	0.26825
UBE2H	0.0446666666666667
BRDT	0.636166666666667
C8orf31	0.038
CCNE2	-3.36981818181818
SLC6A8	-1.747
CALCR	-3.32925
PPP1CB	0.942083333333333
ABHD8	-0.78625
ARF5	-0.5447
SLC24A4	0.331
CCT3	-0.75725
ZNF121	0.558875
SLC3A2	-0.6659
OR13A1	0.1195
SLC5A10	-0.31025
RAD50	-1.00075
IER5	1.489375
MTHFD1L	-2.069
MBTPS2	-1.015
MVK	-0.242125
NCL	-0.4926
PSMD10	-0.968
MOBP	-0.01225
FLJ32894	0.232
HRH1	-0.446
C5orf30	0.36975
NUDT16L1	0.2951
RASGRP3	2.33233333333333
PRKRIP1	-0.5532
CCDC75	-1.07675
LOC253970	-0.0603333333333333
KIAA1239	0.31575
MED21	-0.20825
SYT11	-0.0360833333333333
NTSR2	-0.4715
EGFL11	-0.036
CXorf59	-0.0105
OR2A25	0.2625
SPTBN2	-0.28375
LRMP	-0.826166666666667
RNF111	0.11725
PTH	0.291
LOC619208	0.3655
KIAA0895	-0.10625
RANBP5	-1.02975
P2RY10	0.371166666666667
NME5	3.4805
DDX21	-0.56675
LRSAM1	0.1225
HDAC11	0.2915
VMO1	0.685
NOLA2	-0.480166666666667
ADAR	0.861666666666666
MTO1	-0.663166666666667
SF4	0.3915
P2RX1	0.434
HBM	0.04825
EN2	0.9255
C14orf172	0.126
TM9SF2	0.0485
INHBE	-0.509666666666667
TCTE3	0.00591666666666668
TOX2	-2.33325
CTAGE3	-0.207625
HBB	4.2862
MED15	-0.397666666666667
CASR	-0.17
C6orf66	-0.992666666666667
MTPN	-0.126
UNC50	-0.37225
C21orf33	0.12125
IRF2	1.153875
PGR	1.56333333333333
GPR84	0.514
CROCCL1	-1.6575
SRPX	1.632
BRE	0.0365
FGF10	1.96325
SDC3	0.619166666666667
ZRSR1	0.2865
DKFZP434P211	0.339875
SOX6	-0.883
RPUSD2	-0.311
C14orf173	-0.489083333333333
MAPK11	0.535166666666667
TBC1D22A	0.3975
FAM123A	0.417
COL4A6	0.676333333333333
TOMM70A	-0.475
NAB1	0.654875
MGC16385	-0.33075
TSPAN18	0.5675
MED31	-0.56275
PLG	0.59275
CAPSL	0.5675
ZNF532	0.5075
ASB14	0.382666666666667
CA8	0.32825
NUDT16P	0.7045
SLFN11	-0.7645
LRRIQ2	-0.026375
NOL7	-0.661833333333333
BRMS1L	-1.171
JARID1A	0.764166666666667
PANK2	-0.69575
ICAM3	-0.65325
MDS1	0.14775
TAF8	-0.5635
RNF139	0.5105
ZNF594	-0.031
ADAM8	0.61125
SFTPC	-0.14725
MAN2B2	0.893875
RGS12	0.7793125
EIF1AY	-4.354
LRRIQ1	0.668
GPR150	2.89375
CCDC21	-2.12633333333333
PRRG3	0.79675
SAA4	-0.39475
RAPGEF5	2.007375
ZCCHC2	0.2585
MGC39372	0.1065
PPP4R2	-0.0605
CDCA2	-2.75533333333333
OR4D5	0.440666666666667
PTGFRN	0.4622
SIGLEC5	0.538166666666667
C19orf61	-0.1605
NMUR2	0.147
KIAA1586	-1.01883333333333
DAGLA	1.589
CHCHD6	-0.204
GPR32	0.6465
NEUROD6	0.0356666666666667
SLC2A4RG	0.21325
CA5B	0.3145
FBXL3	1.55225
MPHOSPH9	-2.4085
HMG2L1	0.21675
HCN4	1.45016666666667
CEACAM19	0.744
SH2D4B	0.351333333333333
HFE2	-0.3245
TGM4	-0.143166666666667
LYPD2	-0.0265
TBC1D15	0.25775
MRPS21	-0.5162
NONO	-0.345
CLEC5A	0.361428571428571
ITCH	-0.4822
MGAT3	0.0875
MBP	0.0763750000000001
RPP25	-1.13625
SOSTDC1	2.9675
HRC	-0.62275
TRIM48	-0.1515
TMEM133	0.764
ECEL1P2	-1.14625
HOXC11	-0.243
DOK5	0.7965
HELZ	0.3975
LOC348180	-0.533
MGC33894	0.136
ADRB3	-0.7085
DMD	1.43816666666667
PTRH2	-0.7015
MPEG1	2.4155
NDUFA12	-0.241666666666667
KRTAP2-4	0.0463333333333333
STAMBPL1	-1.51033333333333
ADCY2	0.355333333333333
UNQ6125	0.314
KLHL20	0.210166666666667
SRM	-0.306
OTC	-0.03975
TMIE	0.589166666666667
SNX8	0.11025
LIPK	0.087
CHURC1	0.486
KLC2	0.181333333333333
HDAC1	-0.738
FAM128A	0.00316666666666667
FNDC3B	0.1572
MTCP1	-0.940166666666667
WFDC10B	0.3246
PCDHGB3	0.781
ATRNL1	-1.2223
CAV2	1.50575
MED26	0.1635
DUS1L	0.39775
CHRM3	-0.130625
NEK9	0.06925
WARS2	0.07975
TBX22	1.315
TOMM40	-0.828
RP6-213H19.1	-1.10066666666667
TUBGCP5	-0.5795
IGSF6	2.853
TPPP	0.829166666666667
UNQ6190	0.3605
GSTM5	2.103875
BTD	-0.156333333333333
PDCD1LG2	0.334166666666667
SNRPB2	-0.617666666666667
ERICH1	0.87
APOA4	-1.316875
HOXA11	-0.95025
NARG1	-0.40025
MKX	0.000249999999999972
RAB28	-0.670714285714286
PKP3	1.1285
SH3GL2	-1.4035
CTSO	2.75425
RPN2	-0.2625625
IL28RA	0.969666666666667
SFMBT1	-0.34525
WDR57	-1.97475
FER1L3	1.50808333333333
HSF5	-0.101
TTC9B	-0.18725
C4BPA	-1.5575
ALB	-4.42842857142857
SORBS3	0.84225
UPF2	-0.811
JPH1	0.171
AGBL2	0.06925
DOPEY1	2.1535
TERF1	-0.188166666666667
KIF22	-1.4815
NINJ1	1.28625
SEC61A2	-0.8835
HIST1H1D	-0.746166666666667
SFXN4	-0.674125
UCP3	0.0081
ZNF703	0.545333333333333
MYL6B	-0.40175
TREM1	0.307
OR52E6	0.6475
CKMT2	2.39025
HLA-C	1.9465
SLC13A3	-1.24866666666667
TIMP4	1.9325
SLIT2	4.004
RSF1	-0.055
LONRF1	-0.0337692307692308
MON1A	-0.181666666666667
CACNG6	-1.11283333333333
DPPA4	-6.23266666666667
ZSWIM3	-0.61425
ZNF804A	-0.285166666666667
CCIN	0.97475
SLC25A31	-0.12775
KCNMB4	0.2945
RABL5	0.057625
GALNS	-0.1775
STX6	-0.267
HIST1H1C	-2.52666666666667
CIDEB	0.0155
CASP4	0.520666666666667
PDK3	-0.9118
KCNJ11	0.6315
TPR	-0.748375
ZSCAN20	-0.515
MTX2	-0.76325
HIST1H2BH	-1.2315
LOC283767	0.831
LYRM7	-0.949944444444444
BRD3	-0.885333333333333
HIST1H2BO	-1.493
MAGEB10	-0.143
SLC45A1	0.56775
SERPINA3	1.84785
KIAA0143	0.66875
KCNJ16	4.39516666666667
KRT79	-0.2625
FABP2	-0.429
NUT	-0.11225
ZNF57	-0.58025
FBXL4	-0.151125
CLEC9A	1.3565
UGT8	0.39
BMP2K	0.19175
MAPK4	-1.6525
SLC25A23	-0.2319
HINT1	-1.0476
KRTAP13-1	-0.111
SFXN5	-0.005
CHCHD2	-0.948166666666667
FAM3D	3.1365
NDP	-1.73375
RHOBTB1	-0.216166666666667
SLC4A4	-0.18325
RPL38	0.37125
HTF9C	0.263666666666667
AP2A2	0.69025
ZBTB46	0.443
MAP7D1	1.037125
AOX1	-0.445166666666667
CYR61	2.208
DTNA	0.271357142857143
JRKL	0.514
TMOD3	-0.736
EEA1	-0.1763
ADCK5	-0.30925
IL1R1	2.48516666666667
KLK3	1.09571428571429
HRSP12	-1.0675
KTN1	0.951
LOH11CR2A	1.1968
RELL2	-1.37325
MAB21L1	2.081
C20orf59	-0.535333333333333
PHKB	-0.0545
ADAM2	-1.67433333333333
TBC1D8B	1.0605
FAM13A1	0.3874375
LAPTM4B	-0.926083333333333
LCN8	-0.26
TMEM147	0.2845
SYT4	0.7115
XPO7	-0.887
C9orf62	3.4045
GPR75	0.221
TRIM5	0.288625
APOC1	-1.14716666666667
RNASE4	0.556166666666667
PARD6B	-1.563125
ARID1A	-0.158666666666667
TPD52L3	-0.0391111111111111
RRAGB	0.4915
RCN2	-0.805666666666667
HIST2H2BE	-0.865625
STARD7	-0.67025
SHMT2	-1.39425
KIAA1751	1.3588
MLYCD	0.592625
LOC162632	-0.2832
UQCRH	-1.26925
RP11-217H1.1	0.7224375
SDHA	-0.890166666666667
NCLN	-0.5606
ZNF17	0.452666666666667
RCBTB2	-0.1785
VEGFB	0.0131
RP4-747L4.3	1.36875
COLQ	0.4101
MPN2	-0.1015
DRG2	0.09825
KLRB1	4.07275
ALPK2	0.26025
DNASE2B	0.34475
FLJ23834	0.00433333333333335
AXUD1	2.63083333333333
SAFB	-0.6094
NSUN4	-0.2535
RFX2	1.96333333333333
MAPK8IP1	-0.0235
FANCD2	-1.60807142857143
ANKZF1	-1.48583333333333
C19orf50	-0.37175
DUSP8	2.663875
SENP5	-1.02725
NFKBIL2	-0.784
LBR	-1.37814285714286
IGFL1	-0.0435
LZTS2	1.102
IL2RG	-0.43525
CCDC51	-0.7805
KLF3	0.029375
ANKRD37	-0.92775
KCTD14	2
FZR1	-0.249916666666667
SLC44A4	2.1178
ESPL1	-1.45475
GMPR2	-0.3125
TBC1D19	-1.06066666666667
ERGIC1	-0.373296296296296
ERBB4	2.0702
TSPAN32	0.271583333333333
MAP4	-0.28125
GPHN	-0.6545
SLC6A2	1.35725
HIVEP1	0.85975
DFFB	-0.6607
EIF4EBP2	0.374875
DMRT1	0.00850000000000001
HSPB6	0.2555
IER2	0.5825
AIFM1	-0.39
WWC2	0.348083333333333
MRPL4	-0.50475
FLJ21062	1.72983333333333
EPB41L4A	0.98475
SH2D6	-0.269
TAF4B	-0.4745
GAL3ST3	-0.6265
MALT1	-0.928166666666666
RTDR1	0.0505
ARVCF	0.57225
MEX3B	-0.779166666666667
FBXO16	-0.114
KIF7	-0.21025
C1QC	4.0185
ZNF783	0.3435
ZNF85	0.089
MMP13	0.8285
KIAA0329	0.9325
RTP3	0.056
ZBED3	0.50725
CLGN	-2.5735
SLC25A37	-0.198916666666667
hCG_18290	0.60225
OR5AS1	-0.07
SMARCC2	1.25025
FAM109A	-0.177666666666667
CCDC12	-0.18675
USF2	0.1598
DEPDC7	-3.01425
C20orf24	-1.25733333333333
JMJD3	0.3065
DSP	1.10107142857143
SLIC1	0.306875
FAM20A	2.315875
IRF2BP2	1.34825
ZNF230	-0.4445
MSN	-0.388357142857143
SLC9A5	-1.1635
EPDR1	-1.0272
