Hybridization REF	TCGA-AV-A03E-20A-01R-A00Z-07
TMED7	-0.6792
CMA1	0.4355
CENPL	-1.4665
PTCRA	-0.043
FST	-2.9295
VWCE	-1.02325
PAWR	-1.779
ABCC12	1.9748
LDLR	-0.5373
ASTN2	1.0655
LOC441212	0.61075
GPATCH8	0.3105
TANC2	-0.39375
KIF4A	-1.541
C18orf18	-0.3655
PGM1	-1.9075
KIAA0258	-0.463
CPD	-1.6605
SNCAIP	-2.02475
DCT	-3.8585
HLA-DOA	1.44113636363636
OR11L1	1.179
UPK1B	-0.490666666666667
DNAJB4	-2.12025
UGT1A8	0.62025
HIST1H4L	-0.3505
PECR	-0.686166666666667
HSPA2	0.66975
WFIKKN1	-3.304
SERP1	-2.0435
SYDE2	-0.20275
TACR2	1.253
NUP85	-0.6195
CD177	-0.613666666666667
LGR5	-1.8718
PIGG	-0.384916666666667
PTHR1	-3.20116666666667
RAB5A	-0.4362
FLJ13224	-1.341
USP9Y	-3.04516666666667
C7orf53	1.514
LRP1B	1.56425
XAF1	0.6491
ABCG8	0.683
ANKDD1A	1.055
DAND5	-0.803
SPAG6	1.28466666666667
LINCR	-0.459
ZDHHC22	-0.987
CCDC60	0.2635
THOC7	-0.360833333333333
TCTA	1.0939
OR8K3	0.102
NY-REN-7	-0.08875
B2M	0.758666666666667
C6orf141	0.068375
LPPR4	5.2095
SQLE	-1.680875
SEPHS1	-0.865
BTBD14B	1.30985714285714
PLRG1	0.47375
SPG7	-0.19725
ZNF614	-0.343666666666667
PARD6G	-0.383166666666667
INPP5B	-0.4736
GRPEL2	-0.29575
PPID	-0.0808000000000001
TRIM56	0.04775
UBE2J1	-0.176625
IL20RA	-1.56
LOC387856	0.8915
C1orf107	0.6175
UTS2R	1.173
C19orf22	-0.13475
SAFB2	0.562625
KIAA0652	-0.605
KLRG1	-0.742
MS4A8B	-0.7424
FRAG1	0.43875
KIAA1546	0.019
E2F4	-0.3597
CLEC4M	1.3058
BTBD14A	-0.2875
KIAA0999	-0.3751
GYPA	-3.10483333333333
TAC1	-0.4631
TRAIP	-0.5295
KIAA0232	0.4702
ERCC8	-0.504125
GPX4	0.97775
KIAA0368	1.58425
GPR157	0.0298333333333333
CTAGE4	-3.2575
C9orf30	1.58483333333333
OR52A1	-0.4365
HSP90B3P	-0.5865
ALG9	-0.6771
BTBD10	0.53275
SDK2	-0.301666666666667
BAIAP3	-2.4255
RABGGTB	-0.042875
ANKRD40	-1.458
KRT74	-0.9645
CALCOCO2	-0.208428571428571
SNCA	-2.51425
TMSL8	-4.26575
C2orf53	-0.0545
ESRRB	0.05675
ARHGAP26	0.8105
TDRD9	-3.24275
HRAS	1.474
KLRC4	-1.964
JAGN1	-0.171333333333333
BSDC1	0.914
RNF43	-2.9787
NDUFAF1	0.0255
PHF12	0.34125
OR1L3	0.464666666666667
FOLR2	0.215833333333333
LYZL6	-0.0518
tcag7.1260	2.453
WSB1	-0.133166666666667
PROS1	1.2569
OSTN	0.185
PSMB8	0.389
SOCS4	-1.316875
DDIT4L	4.16925
MAS1	0.9915
MGC34796	0.615
CSHL1	0.0311666666666666
TBCCD1	-1.1055
ZBTB7C	0.322
AP2S1	0.371375
P15RS	-1.5003
VAT1	1.0574
SHANK3	-1.11
TUFM	-0.342333333333333
THEG	0.33025
KRT34	4.114
SGSM3	0.148
TOMM22	-0.258
SOCS3	2.16716666666667
CPO	-0.9245
POP4	0.43175
BHLHB3	3.07025
MALL	-2.995
OR1B1	0.139
PARK2	-0.368833333333333
GPR124	-0.932875
LCE1E	0.202
RUVBL2	-0.767
CGRRF1	-0.0509
ACPL2	-1.03225
WNT10B	0.3365
BAIAP2L2	-1.8035
ISCA1	-0.693
C1orf125	-0.609142857142857
RPAP1	0.07775
RAI16	0.7265
RPL27	-0.855625
NLRP9	0.9155
EPN1	0.573
LOC388610	-0.173125
SLC35A1	0.2938
GAL	-4.5925
SLC14A2	0.753
RDH11	0.987666666666667
FAM138F	-0.247
AUH	-0.4225
FLJ40243	-0.53325
C14orf129	-1.0845
MBD2	-0.0204999999999999
ABHD14B	-0.216125
PIGT	0.5265
ALS2CR4	0.17475
ALAS1	-0.5765
FOXO1	-0.799166666666667
CRLF3	-1.200125
C20orf107	-0.0375
FARS2	-0.735
CCDC28A	-0.5175
NPHP3	1.11275
OR13F1	0.0495
TSEN54	-0.66825
DEFB106B	0.300111111111111
OR8B4	1.0725
STH	-0.32375
ZC3H14	-0.2125
CBX2	-0.81
TMEM49	0.13275
C6orf21	0.349
FLJ20920	0.025375
CRTAP	0.972142857142857
DDX50	-0.38575
STYXL1	-0.2795
BLVRB	1.18
LOC147650	2.84866666666667
MMP24	0.99625
GRID1	-0.462
BANF1	0.389666666666667
CTAGEP	-1.6055
HMBS	-1.65025
SLC25A24	-3.0855
C14orf50	0.14475
MRO	-0.239833333333333
SLC25A15	-0.74975
FAM84B	-2.58255555555556
TDP1	-1.0715
C16orf78	0.2236
C11orf57	0.058375
RFK	-0.614125
ZFYVE9	0.22325
STCH	-1.1785
WIBG	0.13475
LOC283871	-1.05183333333333
GBA2	-0.1476
NDUFB3	0.4685
HSD17B13	-2.55375
GRIN3A	-0.240166666666667
FMNL1	-2.13716666666667
SEPT7	-1.0181
GNLY	-0.84
GRAMD1C	-1.14566666666667
ZNF165	-1.681
USP38	0.426
FAM83A	-3.376
C14orf24	-0.466083333333333
ARMCX3	-0.191375
ARHGDIB	-4.4325
AK1	1.1
KIAA1045	-0.301333333333333
DNAJB13	-0.0015
NEU2	1.1425
HIST1H4B	1.04966666666667
FAM20B	-0.7708
HES2	-0.424571428571429
FAM73B	0.0247
LOC388381	1.07775
INTS7	-0.303818181818182
AMPH	3.02025
ZNF775	0.429625
UCKL1	-0.807833333333333
C10orf97	-0.427
C1orf161	-0.1395
ALDH1L1	-2.11075
FLJ39378	0.596125
SLC23A1	-2.672
RBM4B	0.17025
THAP4	0.430166666666667
OGFRL1	1.378
KIAA0831	0.651
PPP1R15A	1.45666666666667
C1orf96	-0.151071428571429
C12orf11	-0.7665
BMF	-1.012875
MAN1A1	-1.59114285714286
KIAA1600	-0.243166666666667
NLGN4X	-2.92425
ALOX12	-2.17716666666667
RB1CC1	0.8258
NEIL2	0.3443
EIF4E	-0.826318181818182
ABHD5	-0.301
EXOC4	0.558833333333333
CIP29	-0.1285
BATF2	0.36775
SLC29A4	-0.4755
HTR4	1.0445
EMB	-4.533
TRAF6	-0.09725
LMNB1	-1.69625
FAM19A5	-2.170875
SHE	-0.4835
PIK3C2B	-1.77975
C15orf15	-0.2099
USP15	0.1782
TCEAL2	-0.9165
C5orf39	0.730333333333333
PTGER2	-0.01175
SLC31A1	-1.2215
IFT172	1.3545
ADAM29	0.72725
GFOD1	-0.42625
ST7L	0.454166666666667
C15orf26	-0.87075
PKN3	-1.39625
CNTD1	0.624833333333333
COMMD1	0.24925
NTRK2	-0.596272727272727
FOXN3	-0.374625
MFGE8	-1.4848
PFKFB2	1.6265
TAS2R4	0.17125
ENTHD1	-0.1265
PRMT5	-2.636625
MGC16384	0.259125
LOC442229	0.26575
TSKU	-0.909125
KRTCAP3	-1.7385
PDLIM1	0.3017
KCNS2	0.163666666666667
RNF126	-0.0276666666666667
CEP63	1.30025
CLIC4	0.484125
hCG_1990170	-1.881
ACR	-0.0452999999999999
KLK7	-0.2655
ALOX5AP	-4.32128571428571
RIPK3	-0.698
TAS2R9	0.8625
C19orf18	-1.942
BIRC6	0.0107142857142856
ZNF16	0.236
RFT1	-0.33775
SLC8A2	-0.6425
TACC1	1.58625
ITGAD	1.27175
SAMHD1	-0.03
SH3PXD2B	2.1119
EPC2	0.7325
C20orf85	0.74325
ATP13A2	-0.0418333333333333
KRT4	0.97375
CAPNS1	0.60325
MDM2	0.502416666666667
PCDH20	0.17
KCNK9	-0.045
OR2C1	0.917
KLHDC3	-1.43616666666667
IPPK	-0.453
EFHD2	0.2775
GALR3	1.3375
NBEA	1.46483333333333
ABCA6	0.0734999999999999
CLDN3	-3.36416666666667
AKT2	-0.0597142857142857
EGFR	0.0482
RBM16	1.383
ZDHHC3	0.3018
SLC25A4	-1.34216666666667
CYB5B	-1.339
CPXM1	-2.7
NDRG1	0.144230769230769
FLJ43826	0.37975
OR5L2	1.06166666666667
FARP2	0.1553
MRPL46	-0.2975
LDHAL6B	-0.356666666666667
MAPKAPK3	1.53566666666667
NCAM2	-2.58925
PRKD2	-0.83
ZFP36L1	1.4885
CYSLTR1	-1.0825
OR4C3	-0.0635
HIST1H2AJ	-1.806
CCNB2	-1.99277777777778
ZNF10	-0.599125
TMEM175	0.9295
FAM134A	0.1965
TIGD4	-0.331
PCNP	-1.93675
MGC39715	-0.77825
LQK1	0.645
CREB1	-0.593
TMPRSS3	-4.38625
C4orf32	0.1525
LAT	1.5675
KCNA3	-1.375
SKIV2L2	-0.4395
ROPN1B	-3.86666666666667
tcag7.23	-1.36
CDT1	-1.844625
ZHX2	-0.823125
CD28	-6.77975
ZNF624	0.79125
SEPT2	-1.08158333333333
SOHLH2	1.04583333333333
MCOLN3	-2.228
UNQ1945	0.574
MASP2	0.3065
ZNRF3	-0.2921
GPATCH3	-0.27075
AGL	0.365625
QRICH2	-1.0885
PSD4	-1.78183333333333
CCNB1IP1	-1.65725
ENPP7	0.34625
OBFC1	0.421
KCNG3	-2.117
C14orf79	0.864166666666667
ENPEP	-3.6446
SCT	0.601
SKI	0.36175
SEC61G	-1.00375
CAPN11	0.437
ATXN7L3	0.09575
DBNDD1	-1.36183333333333
FAIM	0.883
ANKRD36	1.3145
GABRP	-1.11883333333333
TACSTD2	-6.2196
EIF3J	-1.23425
PPP2R2A	-2.18675
TEKT4	1.09416666666667
PVALB	-3.8545
F10	-3.07016666666667
FAM134C	-0.4999
COMP	-0.866625
EFCBP1	-1.611125
SCLT1	1.672
TAL1	-1.1626
ACSL1	1.13975
ABCC5	-0.147166666666667
ABL1	-0.098
RBBP7	-1.42591666666667
PTPRG	0.616375
NCOR1	-0.2685
SPINK4	-2.0865
TXNRD1	-1.1138
TNRC15	1.6375
C9orf138	0.489875
UBE2H	0.551666666666667
BRDT	-0.767666666666667
C8orf31	0.98675
CCNE2	-1.54645454545455
SLC6A8	-0.568625
CALCR	-4.53325
PPP1CB	-0.688181818181818
ABHD8	0.68425
ARF5	0.4586
SLC24A4	0.2595
CCT3	-0.6905
ZNF121	-0.144875
SLC3A2	-0.5389
OR13A1	0.6925
SLC5A10	0.865666666666667
RAD50	-0.626
IER5	0.114
MTHFD1L	0.014
MBTPS2	-1.233
MVK	0.020875
NCL	-0.3916
PSMD10	-1.377
MOBP	0.947625
FLJ32894	0.0585
HRH1	1.55916666666667
C5orf30	-0.99775
NUDT16L1	-1.155
RASGRP3	-0.893
PRKRIP1	0.5171
CCDC75	1.69175
LOC253970	0.30275
KIAA1239	0.66
MED21	-0.215
SYT11	3.325
NTSR2	0.37
EGFL11	2.623
CXorf59	0.9835
OR2A25	0.953
SPTBN2	-2.16875
LRMP	-2.9675
RNF111	-0.82675
PTH	0.9185
LOC619208	0.675833333333333
KIAA0895	-0.3995
RANBP5	0.40675
P2RY10	-1.679
NME5	4.0375
DDX21	-1.3615
LRSAM1	0.425
HDAC11	-1.00216666666667
VMO1	0.971
NOLA2	0.217333333333333
ADAR	-0.791166666666667
MTO1	-1.646
SF4	0.604333333333333
P2RX1	0.838
HBM	0.13675
EN2	1.265
C14orf172	0.77375
TM9SF2	-0.9237
INHBE	-0.926666666666667
TCTE3	0.341416666666667
TOX2	0.01125
CTAGE3	-0.384625
HBB	-0.2586
MED15	0.6395
CASR	0.7635
C6orf66	0.0601666666666667
MTPN	2.122875
UNC50	-1.7005
C21orf33	-0.264375
IRF2	1.461125
PGR	-3.711
GPR84	3.52125
CROCCL1	-1.57125
SRPX	1.15975
BRE	0.9155
FGF10	-1.065
SDC3	-2.22533333333333
ZRSR1	0.0503333333333333
DKFZP434P211	0.23575
SOX6	-0.012
RPUSD2	0.3105
C14orf173	0.968
MAPK11	1.29983333333333
TBC1D22A	0.221
FAM123A	-0.716
COL4A6	-2.15183333333333
TOMM70A	-2.1975
NAB1	0.819625
MGC16385	-0.76225
TSPAN18	-1.1395
MED31	0.742
PLG	-0.29925
CAPSL	0.412
ZNF532	0.7133
ASB14	1.0935
CA8	-5.1385
NUDT16P	-3.788
SLFN11	-1.8975
LRRIQ2	-0.0553749999999999
NOL7	-0.4255
BRMS1L	-2.485625
JARID1A	0.643833333333333
PANK2	-1.8275
ICAM3	-0.834
MDS1	0.5535
TAF8	-0.605
RNF139	-0.25625
ZNF594	-2.64333333333333
ADAM8	2.215375
SFTPC	-0.467875
MAN2B2	0.828
RGS12	0.6213125
EIF1AY	-4.91325
LRRIQ1	1.66483333333333
GPR150	1.24
CCDC21	-2.26
PRRG3	0.76025
SAA4	-4.46425
RAPGEF5	-0.676428571428572
ZCCHC2	0.549666666666667
MGC39372	-0.231
PPP4R2	-0.4495
CDCA2	-0.837833333333333
OR4D5	-0.239833333333333
PTGFRN	0.4231
SIGLEC5	-1.20966666666667
C19orf61	-0.363333333333333
NMUR2	0.362
KIAA1586	-0.4815
DAGLA	2.24983333333333
CHCHD6	-0.05225
GPR32	0.3005
NEUROD6	-0.0813333333333333
SLC2A4RG	-0.2656875
CA5B	-0.322
FBXL3	-0.6415
MPHOSPH9	-1.4095
HMG2L1	0.3215
HCN4	0.249166666666667
CEACAM19	0.2595
SH2D4B	-0.3625
HFE2	-2.4455
TGM4	-0.526
LYPD2	-0.04525
TBC1D15	-0.46825
MRPS21	-0.1858
NONO	-1.694
CLEC5A	0.585
ITCH	0.1715
MGAT3	-3.28366666666667
MBP	-2.655625
RPP25	-2.4905
SOSTDC1	-4.208
HRC	-2.71325
TRIM48	0.2165
TMEM133	-0.08825
ECEL1P2	-1.15475
HOXC11	-1.7335
DOK5	-0.61525
HELZ	-0.588333333333333
LOC348180	0.0465
MGC33894	0.60725
ADRB3	0.7155
DMD	-0.617166666666667
PTRH2	0.28175
MPEG1	0.584833333333333
NDUFA12	-0.4575
KRTAP2-4	0.00363636363636366
STAMBPL1	-0.8942
ADCY2	-1.7842
UNQ6125	-0.8345
KLHL20	0.465166666666667
SRM	-0.531
OTC	0.249333333333333
TMIE	0.641166666666667
SNX8	1.3145
LIPK	0.212
CHURC1	-0.60275
KLC2	0.8785
HDAC1	-1.235
FAM128A	0.286833333333333
FNDC3B	-0.7832
MTCP1	0.381833333333333
WFDC10B	2.1817
PCDHGB3	0.453
ATRNL1	-2.50877777777778
CAV2	-2.49075
MED26	0.127666666666667
DUS1L	0.38525
CHRM3	-0.444125
NEK9	-0.40275
WARS2	0.749
TBX22	2.233
TOMM40	0.39825
RP6-213H19.1	-2.6035
TUBGCP5	-0.23
IGSF6	0.868
TPPP	0.0274
UNQ6190	0.937
GSTM5	0.845625
BTD	-1.58166666666667
PDCD1LG2	0.494333333333333
SNRPB2	-0.889333333333333
ERICH1	0.943625
APOA4	-1.510125
HOXA11	-3.31325
NARG1	-0.7615
MKX	-0.61725
RAB28	-1.499
PKP3	-2.99025
SH3GL2	-0.12775
CTSO	0.59925
RPN2	0.5075625
IL28RA	-1.461
SFMBT1	0.46175
WDR57	-2.14725
FER1L3	2.23625
HSF5	-0.033
TTC9B	1.71
C4BPA	-4.022
ALB	-4.35391666666667
SORBS3	1.1245
UPF2	0.315
JPH1	0.432
AGBL2	0.28125
DOPEY1	0.978
TERF1	-0.538583333333333
KIF22	-0.274333333333333
NINJ1	0.441
SEC61A2	0.852333333333333
HIST1H1D	-0.1185
SFXN4	-0.32725
UCP3	0.7868
ZNF703	0.843666666666667
MYL6B	1.3165
TREM1	3.395
OR52E6	-1.4445
CKMT2	2.04325
HLA-C	1.432375
SLC13A3	-2.01833333333333
TIMP4	1.896
SLIT2	1.26225
RSF1	-0.413277777777778
LONRF1	-0.398142857142857
MON1A	0.918333333333333
CACNG6	-1.69016666666667
DPPA4	-5.11216666666667
ZSWIM3	0.37575
ZNF804A	1.071
CCIN	1.02675
SLC25A31	1.023
KCNMB4	-0.88575
RABL5	0.380875
GALNS	0.8118
STX6	-0.54675
HIST1H1C	-2.95183333333333
CIDEB	-1.9685
CASP4	0.664
PDK3	-1.5603
KCNJ11	-2.328
TPR	-0.49675
ZSCAN20	0.6425
MTX2	0.028
HIST1H2BH	-0.87575
LOC283767	0.179
LYRM7	-0.902222222222222
BRD3	-0.0756666666666667
HIST1H2BO	-1.68325
MAGEB10	0.395
SLC45A1	1.57525
SERPINA3	-3.8271
KIAA0143	0.05575
KCNJ16	0.321166666666667
KRT79	0.6235
FABP2	-1.0815
NUT	-1.1985
ZNF57	-0.783
FBXL4	-1.31925
CLEC9A	-0.136
UGT8	1.90633333333333
BMP2K	0.304
MAPK4	-3.36975
SLC25A23	-1.4269
HINT1	-0.4956
KRTAP13-1	0.496
SFXN5	0.3656
CHCHD2	-0.277166666666667
FAM3D	0.265
NDP	0.769125
RHOBTB1	-0.756666666666667
SLC4A4	0.87075
RPL38	0.08575
HTF9C	0.948
AP2A2	0.343875
ZBTB46	-2.1655
MAP7D1	0.719625
AOX1	0.72
CYR61	-0.764833333333333
DTNA	1.63971428571429
JRKL	0.64575
TMOD3	-0.503
EEA1	-0.2486
ADCK5	0.72925
IL1R1	-0.1855
KLK3	0.440142857142857
HRSP12	0.35525
KTN1	0.414
LOH11CR2A	0.1656
RELL2	0.537
MAB21L1	2.25125
C20orf59	-1.01683333333333
PHKB	-0.77375
ADAM2	-1.76433333333333
TBC1D8B	1.67683333333333
FAM13A1	0.286
LAPTM4B	-3.37491666666667
LCN8	0.556
TMEM147	0.9645
SYT4	0.373833333333333
XPO7	0.4865
C9orf62	1.669
GPR75	1.0755
TRIM5	0.01625
APOC1	-4.85233333333333
RNASE4	-3.59
PARD6B	-3.54825
ARID1A	-0.906833333333333
TPD52L3	0.220777777777778
RRAGB	0.189
RCN2	-0.793666666666667
HIST2H2BE	-1.645625
STARD7	-1.85775
SHMT2	-0.44675
KIAA1751	2.47783333333333
MLYCD	-1.404625
LOC162632	-0.9373
UQCRH	-0.47275
RP11-217H1.1	-0.9483125
SDHA	-2.02966666666667
NCLN	0.0769
ZNF17	0.322666666666667
RCBTB2	-3.4285
VEGFB	1.2888
RP4-747L4.3	-2.6265
COLQ	0.211
MPN2	-0.446166666666667
DRG2	-0.169
KLRB1	0.193666666666667
ALPK2	1.1375
DNASE2B	-0.1455
FLJ23834	-0.47
AXUD1	-1.24
SAFB	0.5175
NSUN4	-0.614
RFX2	0.942833333333333
MAPK8IP1	0.023
FANCD2	-1.577
ANKZF1	-0.973666666666667
C19orf50	-0.055625
DUSP8	0.47575
SENP5	0.072375
NFKBIL2	-0.3045
LBR	-2.418
IGFL1	-1.614
LZTS2	2.121625
IL2RG	-1.470875
CCDC51	-0.19675
KLF3	-0.82375
ANKRD37	-0.2905
KCTD14	-2.4155
FZR1	0.525
SLC44A4	-2.9778
ESPL1	-0.17875
GMPR2	-1.5315
TBC1D19	0.157166666666667
ERGIC1	0.708777777777778
ERBB4	-1.9385
TSPAN32	2.14041666666667
MAP4	0.3495
GPHN	-0.9285
SLC6A2	0.340875
HIVEP1	-0.7215
DFFB	-1.5243
EIF4EBP2	-0.88425
DMRT1	1.243
HSPB6	0.76475
IER2	-0.313
AIFM1	0.0015
WWC2	0.776
MRPL4	-0.28175
FLJ21062	2.01833333333333
EPB41L4A	-0.512333333333333
SH2D6	1.14825
TAF4B	0.7895
GAL3ST3	-0.455
MALT1	-0.893333333333333
RTDR1	-0.142
ARVCF	-1.480875
MEX3B	-1.60233333333333
FBXO16	1.14925
KIF7	1.25575
C1QC	0.271833333333333
ZNF783	0.445666666666667
ZNF85	-2.15033333333333
MMP13	0.353
KIAA0329	1.002625
RTP3	-0.411
ZBED3	0.8645
CLGN	1.752
SLC25A37	0.793708333333333
hCG_18290	-0.11075
OR5AS1	0.2885
SMARCC2	1.21
FAM109A	-0.2315
CCDC12	-0.01675
USF2	0.9769
DEPDC7	-0.99925
C20orf24	-0.230833333333333
JMJD3	-0.0425
DSP	-4.65853846153846
SLIC1	-0.756375
