Hybridization REF	TCGA-AN-A0FZ-01A-11R-A034-07
DCUN1D5	-2.45816666666667
DKFZP564J0863	-1.4385
SLC9A3R1	2.97775
BCDO2	-1.2765
CHMP7	-1.195625
REM2	1.5955
DNHD1	-0.9335
FKBP4	0.849125
ZNF350	2.17775
MGC11102	-0.066875
BST1	2.23325
KISS1R	0.6215
NCR2	-0.4145
DEFB125	0.1325
UBE2W	1.835125
KRT15	-1.2975
C10orf99	0.063
SCN11A	0.14475
GFI1	-2.97075
RDHE2	3.464
FHL1	-1.06833333333333
OSGEP	0.429666666666667
GATA1	-3.99316666666667
SMC6	-1.6665
TTTY14	-0.5845
LPIN3	0.166
RPL4	-0.9477
RBPMS	0.3881
PRPF3	-0.300666666666667
EMR1	-2.741
SPATA19	-1.146
XCR1	0.9095
IRX3	1.4207
RBM6	-0.919
KLF4	-1.747
UNC5CL	0.38975
SEBOX	-0.815
BTK	-1.996
KRCC1	-1.034
C6orf27	0.4415
SYTL5	0.0065
PRND	3.4135
LOC653319	-1.262
PIGL	-1.503625
HUS1	-1.27866666666667
SFRS6	1.35466666666667
C17orf77	0.7895
UIMC1	-0.2635
FXYD2	-2.2996
LOC283152	-0.519
ZNF667	-2.99475
ZCCHC12	0.04525
TFEC	1.1357
ATP7B	-1.65716666666667
POLD2	-2.35183333333333
RG9MTD1	-0.3615
ACOT2	0.412
HIST1H4I	-1.203
PPARGC1A	-0.4482
ETFA	-0.8451
POLRMT	-0.23475
ZNF146	-0.15625
MIA2	-1.331
KLHL6	-1.8085
HOXB5	0.364125
NENF	0.269166666666667
CUGBP1	-0.55475
PRSS22	3.12583333333333
CASC4	1.3986
CUL4B	0.3202
CENPJ	-1.3918
PITX1	-2.1545
FLJ31033	0.662666666666667
CELSR3	-1.9415
ZNF568	-0.68875
ITSN1	-0.514916666666667
EHBP1L1	-1.169
C19orf2	-0.82825
DCTN1	0.14325
LIN28B	-3.42783333333333
TNKS2	0.51125
C1QBP	-1.5765
CADPS2	1.318
SRMS	0.68625
GJA9	0.0255
MGC24975	-0.932166666666667
TRIM45	-0.591333333333333
TSP50	0.909
TCP1	-1.06475
TMED7	0.62
CMA1	-0.22
CENPL	-1.23383333333333
PTCRA	0.2695
FST	-3.9665
VWCE	-4.4535
PAWR	-0.20225
ABCC12	0.350333333333333
LDLR	-1.2479
ASTN2	0.0284
LOC441212	0.23375
GPATCH8	0.435
TANC2	-0.168166666666667
KIF4A	-1.798
C18orf18	-1.50025
PGM1	-1.1045
KIAA0258	1.87375
CPD	1.263375
SNCAIP	-0.829666666666667
DCT	-4.47616666666667
HLA-DOA	2.04336363636364
OR11L1	0.8485
UPK1B	-0.243666666666667
DNAJB4	-0.62025
UGT1A8	-0.51475
HIST1H4L	-1.1885
PECR	-1.23216666666667
HSPA2	0.61325
WFIKKN1	-0.63
SERP1	0.69775
SYDE2	4.73175
TACR2	1.093
NUP85	0.1475
CD177	-0.54
LGR5	-1.70983333333333
PIGG	0.5725
PTHR1	-0.893833333333333
RAB5A	0.6035
FLJ13224	-0.635
USP9Y	-1.5676
C7orf53	0.8685
LRP1B	1.9735
XAF1	0.5458
ABCG8	0.188
ANKDD1A	-0.384
DAND5	-1.4245
SPAG6	0.8
LINCR	-1.4675
ZDHHC22	-1.116375
CCDC60	-1.022
THOC7	-2.24016666666667
TCTA	-0.3284
OR8K3	-0.29525
NY-REN-7	-0.20975
B2M	0.683666666666667
C6orf141	1.103
LPPR4	1.64075
SQLE	-0.77775
SEPHS1	0.40125
BTBD14B	0.792857142857143
PLRG1	-0.70175
SPG7	-1.099375
ZNF614	-0.1575
PARD6G	0.819333333333333
INPP5B	-0.5284
GRPEL2	-0.080875
PPID	-0.13
TRIM56	-0.204
UBE2J1	-0.444875
IL20RA	2.145
LOC387856	0.29475
C1orf107	0.743833333333333
UTS2R	0.37475
C19orf22	-0.0005
SAFB2	-0.213375
KIAA0652	-0.039125
KLRG1	-1.20716666666667
MS4A8B	1.816
FRAG1	0.142
KIAA1546	-0.283
E2F4	-1.1456
CLEC4M	0.3832
BTBD14A	-0.766
KIAA0999	1.3269
GYPA	-2.9805
TAC1	0.3269
TRAIP	-1.9225
KIAA0232	2.0726
ERCC8	-1.664375
GPX4	1.005375
KIAA0368	-0.01075
GPR157	-0.217833333333333
CTAGE4	0.02
C9orf30	-1.78616666666667
OR52A1	-0.1195
HSP90B3P	-1.3945
ALG9	-1.399
BTBD10	0.48825
SDK2	0.46325
BAIAP3	2.6105
RABGGTB	-1.10875
ANKRD40	-0.179
KRT74	-0.1495
CALCOCO2	1.2805
SNCA	-3.54475
TMSL8	-4.94975
C2orf53	0.313
ESRRB	-0.2305
ARHGAP26	-1.71775
TDRD9	-2.878
HRAS	0.3225
KLRC4	-2.601
JAGN1	-0.330166666666667
BSDC1	0.9515
RNF43	-0.6869
NDUFAF1	0.62825
PHF12	0.8105
OR1L3	0.245
FOLR2	1.76475
LYZL6	0.619
tcag7.1260	-2.376
WSB1	-1.21583333333333
PROS1	-1.0412
OSTN	0.8795
PSMB8	0.89675
SOCS4	0.013375
DDIT4L	0.05775
MAS1	-0.2335
MGC34796	2.57175
CSHL1	0.205166666666667
TBCCD1	-0.152833333333333
ZBTB7C	-0.049
AP2S1	-0.34475
P15RS	-0.5666
VAT1	0.4036
SHANK3	1.37633333333333
TUFM	0.154333333333333
THEG	-0.42125
KRT34	-1.74075
SGSM3	0.112375
TOMM22	-0.710125
SOCS3	0.376166666666667
CPO	0.718
POP4	0.29525
BHLHB3	0.0845
MALL	0.14775
OR1B1	-0.9075
PARK2	0.2624
GPR124	1.039375
LCE1E	0.6255
RUVBL2	-1.09775
CGRRF1	-0.223
ACPL2	-0.51625
WNT10B	-2.50525
BAIAP2L2	-0.94675
ISCA1	0.07
C1orf125	0.037125
RPAP1	-0.139
RAI16	-0.555666666666667
RPL27	-0.411875
NLRP9	0.393
EPN1	0.504
LOC388610	-1.59925
SLC35A1	0.548
GAL	-4.65425
SLC14A2	0.42325
RDH11	-0.727833333333333
FAM138F	-0.043
AUH	-0.4295
FLJ40243	0.859666666666667
C14orf129	0.911666666666667
MBD2	-0.652833333333333
ABHD14B	0.381375
PIGT	1.0865
ALS2CR4	-1.530125
ALAS1	-0.5961
FOXO1	0.781166666666667
CRLF3	0.077625
C20orf107	-0.5005
FARS2	0.58
CCDC28A	-0.02775
NPHP3	-1.41125
OR13F1	0.5085
TSEN54	0.05175
DEFB106B	0.3032
OR8B4	0.5815
STH	-0.45825
ZC3H14	-0.37675
CBX2	1.479
TMEM49	-0.95375
C6orf21	0.725
FLJ20920	1.35025
CRTAP	-0.482357142857143
DDX50	-0.81
STYXL1	0.0885
BLVRB	1.39066666666667
LOC147650	-0.123333333333333
MMP24	0.81375
GRID1	1.43416666666667
BANF1	-0.445666666666667
CTAGEP	0.171
HMBS	-2.35825
SLC25A24	1.50783333333333
C14orf50	1.30475
MRO	0.835
SLC25A15	-0.02275
FAM84B	2.2048
TDP1	-0.4745
C16orf78	0.332666666666667
C11orf57	0.37325
RFK	-0.352125
ZFYVE9	-1.178375
STCH	-2.1579
WIBG	0.68825
LOC283871	0.069
GBA2	-0.6958
NDUFB3	-0.1795
HSD17B13	-0.28375
GRIN3A	-0.244
FMNL1	-1.83566666666667
SEPT7	-0.3421
GNLY	1.9085
GRAMD1C	1.22816666666667
ZNF165	0.35675
USP38	0.93025
FAM83A	0.617833333333333
C14orf24	1.91083333333333
ARMCX3	0.907875
ARHGDIB	-0.400166666666667
AK1	0.45175
KIAA1045	0.140333333333333
DNAJB13	-0.6965
NEU2	0.956
HIST1H4B	-1.17433333333333
FAM20B	-0.1277
HES2	1.98485714285714
FAM73B	-0.5833
LOC388381	-0.9655
INTS7	-0.780454545454546
AMPH	2.151
ZNF775	-0.15575
UCKL1	-1.27783333333333
C10orf97	0.60125
C1orf161	-1.32775
ALDH1L1	0.3515
FLJ39378	-0.11825
SLC23A1	-0.732
RBM4B	-0.4765
THAP4	0.0326666666666666
OGFRL1	-0.469
KIAA0831	0.110375
PPP1R15A	-0.5755
C1orf96	-0.345571428571429
C12orf11	-1.67625
BMF	0.27025
MAN1A1	-0.739125
KIAA1600	0.471666666666667
NLGN4X	-2.1405
ALOX12	-0.9834
RB1CC1	-0.0495
NEIL2	0.0511
EIF4E	0.0667272727272727
ABHD5	-0.559
EXOC4	-0.310333333333333
CIP29	-0.00683333333333333
BATF2	0.95725
SLC29A4	-0.412625
HTR4	0.11725
EMB	-1.67625
TRAF6	0.388
LMNB1	-1.743
FAM19A5	0.549625
SHE	1.70533333333333
PIK3C2B	1.7985
C15orf15	-0.937
USP15	1.4774
TCEAL2	0.0275
C5orf39	-1.179
PTGER2	-0.07175
SLC31A1	-0.8955
IFT172	0.58325
ADAM29	2.83475
GFOD1	0.08225
ST7L	0.3
C15orf26	-2.82825
PKN3	-1.219
CNTD1	4.41233333333333
COMMD1	-0.4265
NTRK2	1.87725
FOXN3	-0.11675
MFGE8	-0.3383
PFKFB2	0.538666666666667
TAS2R4	-0.74425
ENTHD1	0.272
PRMT5	0.242375
MGC16384	-1.14875
LOC442229	-0.66775
TSKU	4.31225
KRTCAP3	3.79725
PDLIM1	0.1259
KCNS2	-0.1165
RNF126	-0.383
CEP63	-0.031375
CLIC4	-0.721
hCG_1990170	-1.09825
ACR	0.9369
KLK7	0.113
ALOX5AP	2.521875
RIPK3	5.4045
TAS2R9	0.073
C19orf18	1.971
BIRC6	0.0857857142857143
ZNF16	1.5625
RFT1	-0.95375
SLC8A2	0.223
TACC1	3.1875
ITGAD	0.96775
SAMHD1	-0.15775
SH3PXD2B	1.3012
EPC2	0.812
C20orf85	0.4455
ATP13A2	1.20833333333333
KRT4	1.301375
CAPNS1	-0.37025
MDM2	1.64708333333333
PCDH20	3.3085
KCNK9	0.901
OR2C1	-0.353
KLHDC3	-0.978
IPPK	0.7705
EFHD2	0.768125
GALR3	0.6485
NBEA	0.8525
ABCA6	2.6228
CLDN3	3.10683333333333
AKT2	0.481714285714286
EGFR	-2.2966
RBM16	0.42075
ZDHHC3	0.0993
SLC25A4	-0.0621666666666667
CYB5B	-0.643333333333333
CPXM1	-0.22475
NDRG1	-0.908
FLJ43826	0.73125
OR5L2	0.9754
FARP2	1.1284
MRPL46	-0.70725
LDHAL6B	0.3965
MAPKAPK3	-0.924833333333333
NCAM2	-2.381
PRKD2	0.166166666666667
ZFP36L1	0.8642
CYSLTR1	-1.92675
OR4C3	0.29675
HIST1H2AJ	1.184
CCNB2	-2.07844444444444
ZNF10	-1.50725
TMEM175	0.2815
FAM134A	0.736
TIGD4	-0.173
PCNP	-0.4925
MGC39715	0.184
LQK1	-0.424
CREB1	0.4426
TMPRSS3	-2.73175
C4orf32	1.89075
LAT	-2.4655
KCNA3	0.9475
SKIV2L2	-1.196
ROPN1B	-3.51
tcag7.23	-0.816
CDT1	-3.20575
ZHX2	2.31375
CD28	-3.2975
ZNF624	0.30225
SEPT2	-0.181083333333333
SOHLH2	-1.77375
MCOLN3	-1.017125
UNQ1945	0.496
MASP2	-0.6385
ZNRF3	-1.1599
GPATCH3	-0.10725
AGL	1.2085
QRICH2	-1.878
PSD4	0.904
CCNB1IP1	-1.724
ENPP7	-0.106
OBFC1	-0.164
KCNG3	-2.3915
C14orf79	0.277
ENPEP	2.4765
SCT	1.958
SKI	0.70175
SEC61G	-1.5185
CAPN11	0.4055
ATXN7L3	0.08025
DBNDD1	-0.2725
FAIM	0.501
ANKRD36	-0.836
GABRP	-0.6595
TACSTD2	2.65383333333333
EIF3J	-0.19675
PPP2R2A	-1.71825
TEKT4	0.1535
PVALB	-4.18383333333333
F10	-3.07266666666667
FAM134C	1.2127
COMP	4.8185
EFCBP1	-1.94
SCLT1	-0.062125
TAL1	-0.7736
ACSL1	1.432
ABCC5	0.645333333333333
ABL1	-0.924888888888889
RBBP7	-0.0186666666666667
PTPRG	-0.46225
NCOR1	-0.6061
SPINK4	1.71733333333333
TXNRD1	-1.3479
TNRC15	0.212375
C9orf138	0.7115
UBE2H	1.5805
BRDT	0.6995
C8orf31	-0.15925
CCNE2	-1.10636363636364
SLC6A8	-1.82175
CALCR	-2.26675
PPP1CB	1.02033333333333
ABHD8	0.06025
ARF5	-0.2857
SLC24A4	-0.3395
CCT3	0.12
ZNF121	0.218
SLC3A2	-1.4024
OR13A1	0.429
SLC5A10	1.0215
RAD50	-0.027375
IER5	0.732
MTHFD1L	-2.555
MBTPS2	0.68475
MVK	-0.98275
NCL	0.0267
PSMD10	0.46825
MOBP	1.4985
FLJ32894	0.3615
HRH1	0.219166666666667
C5orf30	1.02875
NUDT16L1	1.5011
RASGRP3	3.63383333333333
PRKRIP1	-0.4968
CCDC75	-0.74275
LOC253970	0.549333333333333
KIAA1239	1.0135
MED21	-0.533
SYT11	-0.6795
NTSR2	-0.09
EGFL11	-0.773
CXorf59	0.4045
OR2A25	0.0845
SPTBN2	-1.40525
LRMP	-1.71333333333333
RNF111	0.46625
PTH	0.4925
LOC619208	-0.201166666666667
KIAA0895	-1.313
RANBP5	-0.618375
P2RY10	-0.908833333333333
NME5	-0.287333333333333
DDX21	-1.499
LRSAM1	-0.9305
HDAC11	2.79716666666667
VMO1	1.11625
NOLA2	-0.145666666666667
ADAR	0.769666666666667
MTO1	-1.21866666666667
SF4	0.140833333333333
P2RX1	-0.244
HBM	0.37725
EN2	1.059
C14orf172	0.878
TM9SF2	0.6847
INHBE	-1.58566666666667
TCTE3	-0.502416666666667
TOX2	-2.8125
CTAGE3	0.030875
HBB	3.6629
MED15	-1.52166666666667
CASR	0.3905
C6orf66	-1.12066666666667
MTPN	-0.086125
UNC50	-0.31475
C21orf33	1.226875
IRF2	1.09225
PGR	-2.06316666666667
GPR84	0.3545
CROCCL1	-2.0435
SRPX	-0.72975
BRE	0.0773333333333334
FGF10	1.10125
SDC3	-0.365833333333333
ZRSR1	0.307666666666667
DKFZP434P211	-1.4525
SOX6	0.282
RPUSD2	-0.16775
C14orf173	0.46625
MAPK11	0.1685
TBC1D22A	0.097
FAM123A	4.1735
COL4A6	-2.41516666666667
TOMM70A	0.0345
NAB1	-1.646
MGC16385	-0.18675
TSPAN18	0.0406666666666667
MED31	-0.36225
PLG	0.10925
CAPSL	0.7235
ZNF532	1.1043
ASB14	-0.49775
CA8	-3.90875
NUDT16P	2.173
SLFN11	-1.759
LRRIQ2	-0.31175
NOL7	-0.200166666666667
BRMS1L	0.091625
JARID1A	0.380166666666667
PANK2	-0.153
ICAM3	-0.41775
MDS1	0.089
TAF8	-0.0245
RNF139	1.831
ZNF594	-1.46
ADAM8	0.728
SFTPC	-0.1885
MAN2B2	1.121
RGS12	0.288375
EIF1AY	-4.01875
LRRIQ1	-2.49666666666667
GPR150	0.50875
CCDC21	0.546666666666667
PRRG3	0.09375
SAA4	-3.917
RAPGEF5	3.435625
ZCCHC2	0.647833333333333
MGC39372	-0.531
PPP4R2	-0.0253333333333333
CDCA2	-2.80866666666667
OR4D5	0.708166666666667
PTGFRN	0.3496
SIGLEC5	0.3905
C19orf61	0.171333333333333
NMUR2	-0.096
KIAA1586	-1.28633333333333
DAGLA	1.2655
CHCHD6	-0.717
GPR32	0.9515
NEUROD6	0.6568
SLC2A4RG	0.0265625
CA5B	0.65375
FBXL3	1.34225
MPHOSPH9	-1.77125
HMG2L1	-0.41675
HCN4	0.615666666666667
CEACAM19	-0.5795
SH2D4B	-0.0383333333333333
HFE2	-1.2325
TGM4	0.8652
LYPD2	0.0616666666666666
TBC1D15	1.35875
MRPS21	-0.4405
NONO	-0.5938
CLEC5A	1.65925
ITCH	1.0198
MGAT3	-1.12883333333333
MBP	0.06075
RPP25	0.506
SOSTDC1	-2.45775
HRC	-1.5395
TRIM48	0.126
TMEM133	-1.02575
ECEL1P2	-0.87625
HOXC11	-1.1265
DOK5	-1.002
HELZ	0.896333333333333
LOC348180	-1.6385
MGC33894	0.412
ADRB3	0.8515
DMD	-0.790083333333333
PTRH2	0.0445
MPEG1	2.04283333333333
NDUFA12	-0.463833333333333
KRTAP2-4	-0.371333333333333
STAMBPL1	-1.62866666666667
ADCY2	-0.3232
UNQ6125	-0.125
KLHL20	0.100333333333333
SRM	-1.78
OTC	-0.584
TMIE	0.635166666666667
SNX8	0.122
LIPK	-0.784
CHURC1	-0.0792500000000001
KLC2	0.445
HDAC1	0.608166666666667
FAM128A	0.7385
FNDC3B	-0.8014
MTCP1	-0.380333333333333
WFDC10B	1.7149
PCDHGB3	1.445
ATRNL1	-0.7061
CAV2	-0.56375
MED26	-0.00399999999999999
DUS1L	0.58675
CHRM3	-1.109125
NEK9	-0.218
WARS2	-0.81175
TBX22	-0.508
TOMM40	-0.85575
RP6-213H19.1	-1.63666666666667
TUBGCP5	-1.4795
IGSF6	5.3645
TPPP	0.466833333333333
UNQ6190	-1.001
GSTM5	0.901125
BTD	0.0448333333333333
PDCD1LG2	-1.6995
SNRPB2	0.684166666666667
ERICH1	-0.56325
APOA4	-2.005375
HOXA11	-1.6845
NARG1	0.2325
MKX	-0.8715
RAB28	-0.408142857142857
PKP3	1.47275
SH3GL2	-2.72025
CTSO	4.09925
RPN2	1.171875
IL28RA	-0.642333333333333
SFMBT1	-0.14125
WDR57	-0.07725
FER1L3	0.6595
HSF5	0.0841666666666666
TTC9B	0.6355
C4BPA	-3.13083333333333
ALB	-4.26707142857143
SORBS3	0.923625
UPF2	1.1205
JPH1	0.2755
AGBL2	0.99875
DOPEY1	0.3745
TERF1	0.62275
KIF22	0.0668333333333334
NINJ1	1.96225
SEC61A2	0.264333333333333
HIST1H1D	-2.37083333333333
SFXN4	-0.16375
UCP3	0.7295
ZNF703	2.45516666666667
MYL6B	-1.85825
TREM1	2.615
OR52E6	0.012
CKMT2	0.5005
HLA-C	0.305875
SLC13A3	0.887
TIMP4	-0.721
SLIT2	2.409
RSF1	2.34394444444444
LONRF1	-1.73514285714286
MON1A	-0.706833333333333
CACNG6	3.269
DPPA4	-5.303
ZSWIM3	-0.37975
ZNF804A	-0.0571666666666667
CCIN	0.9825
SLC25A31	-0.535
KCNMB4	-0.46675
RABL5	0.010125
GALNS	-0.7448
STX6	0.451625
HIST1H1C	-3.3035
CIDEB	-0.00675
CASP4	0.694666666666667
PDK3	-0.2475
KCNJ11	3.2445
TPR	-0.25625
ZSCAN20	-0.4495
MTX2	-0.6505
HIST1H2BH	-0.846
LOC283767	0.90875
LYRM7	-1.32461111111111
BRD3	0.498833333333333
HIST1H2BO	-1.0425
MAGEB10	1.1285
SLC45A1	0.50925
SERPINA3	1.83745
KIAA0143	2.1645
KCNJ16	0.0878333333333333
KRT79	0.2175
FABP2	-0.5965
NUT	-0.66175
ZNF57	0.2915
FBXL4	-0.954625
CLEC9A	-2.945
UGT8	-1.50716666666667
BMP2K	-0.252
MAPK4	-3.946
SLC25A23	-0.9249
HINT1	-0.8946
KRTAP13-1	-0.278
SFXN5	0.8964
CHCHD2	-0.419083333333333
FAM3D	0.581
NDP	-3.9335
RHOBTB1	2.26166666666667
SLC4A4	-1.016125
RPL38	0.18475
HTF9C	-1.43033333333333
AP2A2	0.18425
ZBTB46	-0.8375
MAP7D1	0.43175
AOX1	-1.6145
CYR61	-0.930333333333333
DTNA	-0.413714285714286
JRKL	-0.302
TMOD3	-0.015
EEA1	-0.4849
ADCK5	1.551
IL1R1	0.385333333333333
KLK3	0.191857142857143
HRSP12	0.43525
KTN1	0.33475
LOH11CR2A	-0.3037
RELL2	0.01425
MAB21L1	0.948
C20orf59	-0.947333333333333
PHKB	-0.42025
ADAM2	0.245666666666667
TBC1D8B	1.034
FAM13A1	-1.2619375
LAPTM4B	0.391583333333333
LCN8	0.546
TMEM147	0.3465
SYT4	0.5212
XPO7	-1.417
C9orf62	1.0325
GPR75	-0.4155
TRIM5	0.50225
APOC1	-0.921666666666667
RNASE4	-0.664333333333333
PARD6B	-0.831625
ARID1A	0.393083333333333
TPD52L3	-0.162111111111111
RRAGB	0.289666666666667
RCN2	-1.01466666666667
HIST2H2BE	-1.521
STARD7	-0.6065
SHMT2	-0.80425
KIAA1751	0.362666666666667
MLYCD	0.51825
LOC162632	-0.0349000000000001
UQCRH	-1.53075
RP11-217H1.1	0.44625
SDHA	-1.96583333333333
NCLN	-0.2222
ZNF17	0.1045
RCBTB2	-1.64
VEGFB	-0.3622
RP4-747L4.3	0.76125
COLQ	1.7457
MPN2	-0.037
DRG2	-0.5365
KLRB1	2.7825
ALPK2	-1.73575
DNASE2B	1.984
FLJ23834	0.272
AXUD1	0.353833333333333
SAFB	-0.2415
NSUN4	0.2355
RFX2	0.629666666666667
MAPK8IP1	-0.711
FANCD2	-1.42864285714286
ANKZF1	-1.36566666666667
C19orf50	-0.467875
DUSP8	0.780375
SENP5	0.15525
NFKBIL2	0.0835
LBR	-2.435125
IGFL1	-0.3815
LZTS2	0.045875
IL2RG	-2.027125
CCDC51	-0.6845
KLF3	0.035
ANKRD37	-1.465
KCTD14	2.7515
FZR1	0.672333333333333
SLC44A4	3.4009
ESPL1	-0.722375
GMPR2	0.2384
TBC1D19	-1.12583333333333
ERGIC1	0.473888888888889
ERBB4	1.9112
TSPAN32	0.925833333333333
MAP4	-0.324625
GPHN	-1.48375
SLC6A2	0.135375
HIVEP1	-0.198
DFFB	-0.5198
EIF4EBP2	0.00987500000000002
DMRT1	-0.9715
HSPB6	-0.238
IER2	-0.208166666666667
AIFM1	0.046
WWC2	0.604333333333333
MRPL4	-0.69475
FLJ21062	0.2
EPB41L4A	0.534
SH2D6	0.381
TAF4B	-2.02675
GAL3ST3	-0.635
MALT1	-1.638
RTDR1	-0.277
ARVCF	-0.25425
MEX3B	-0.521
FBXO16	0.08125
KIF7	-1.6205
C1QC	4.37116666666667
ZNF783	-0.594166666666667
ZNF85	0.3755
MMP13	4.0285
KIAA0329	0.2465
RTP3	-2.2905
ZBED3	-1.417
CLGN	-2.199
SLC25A37	-2.56525
hCG_18290	-0.434
OR5AS1	-0.0045
SMARCC2	0.54125
FAM109A	0.215166666666667
CCDC12	-0.554
USF2	0.4376
DEPDC7	-1.99125
C20orf24	0.696666666666667
JMJD3	-0.183
DSP	1.4035
SLIC1	-0.198875
FAM20A	-0.271125
IRF2BP2	0.935125
ZNF230	-1.725
MSN	-0.562785714285714
SLC9A5	-1.5215
