Hybridization REF	TCGA-C8-A12X-01A-11R-A115-07
HIST1H4B	-1.4445
FAM20B	-0.4906
HES2	-0.0394285714285714
FAM73B	-0.1026
LOC388381	0.03725
INTS7	-0.728090909090909
AMPH	4.187
ZNF775	0.378875
UCKL1	-0.340333333333333
C10orf97	0.7055
C1orf161	0.178
ALDH1L1	-1.4795
FLJ39378	0.428125
SLC23A1	0.513
RBM4B	0.72325
THAP4	-0.0496666666666667
OGFRL1	0.4315
KIAA0831	-0.400125
PPP1R15A	-0.472
C1orf96	-0.6275
C12orf11	-2.048
BMF	0.437
MAN1A1	-2.60775
KIAA1600	0.179
NLGN4X	-2.422
ALOX12	-1.012
RB1CC1	0.575
NEIL2	0.5001
EIF4E	-0.118818181818182
ABHD5	-0.49775
EXOC4	0.5075
CIP29	-1.1505
BATF2	3.04425
SLC29A4	-0.35225
HTR4	0.00874999999999999
EMB	-2.008
TRAF6	0.85675
LMNB1	-4.12575
FAM19A5	-0.17675
SHE	2.18925
PIK3C2B	1.53325
C15orf15	-1.8318
USP15	-0.4868
TCEAL2	-0.29575
C5orf39	-2.623
PTGER2	-1.16375
SLC31A1	-0.8305
IFT172	-0.03925
ADAM29	0.898
GFOD1	-1.177
ST7L	-0.0831666666666667
C15orf26	-2.88225
PKN3	-0.76625
CNTD1	2.16866666666667
COMMD1	0.00800000000000001
NTRK2	3.8655
FOXN3	-1.3045
MFGE8	0.2527
PFKFB2	0.4405
TAS2R4	-0.454
ENTHD1	-0.9235
PRMT5	-1.645125
MGC16384	-1.56025
LOC442229	-0.1715
TSKU	1.533125
KRTCAP3	3.817375
PDLIM1	-0.6352
KCNS2	0.8255
RNF126	-0.1905
CEP63	0.339125
CLIC4	-0.908625
hCG_1990170	-2.47875
ACR	0.8908
KLK7	-0.85925
ALOX5AP	2.570125
RIPK3	3.9565
TAS2R9	-0.1465
C19orf18	2.559
BIRC6	-0.147642857142857
ZNF16	1.08
RFT1	-0.18875
SLC8A2	-0.33975
TACC1	-0.71375
ITGAD	0.43225
SAMHD1	1.86675
SH3PXD2B	1.0973
EPC2	0.4205
C20orf85	-0.061875
ATP13A2	2.11683333333333
KRT4	0.410125
CAPNS1	1.47025
MDM2	1.115
PCDH20	5.18625
KCNK9	1.1695
OR2C1	0.285
KLHDC3	0.78
IPPK	0.172
EFHD2	0.549625
GALR3	1.1175
NBEA	1.24133333333333
ABCA6	0.968
CLDN3	3.12366666666667
AKT2	-0.283785714285714
EGFR	-2.7783
RBM16	-0.249125
ZDHHC3	0.0109
SLC25A4	0.0845
CYB5B	-1.24066666666667
CPXM1	-1.555
NDRG1	-0.363
FLJ43826	1.0675
OR5L2	0.114666666666667
FARP2	1.161
MRPL46	-0.78425
LDHAL6B	-0.1405
MAPKAPK3	0.5385
NCAM2	-2.76125
PRKD2	1.02833333333333
ZFP36L1	0.0527
CYSLTR1	-0.948
OR4C3	0.383
HIST1H2AJ	4.467
CCNB2	-2.68366666666667
ZNF10	-0.50625
TMEM175	0.602
FAM134A	1.10366666666667
TIGD4	1.1025
PCNP	-0.5055
MGC39715	-0.2565
LQK1	-0.5245
CREB1	0.3912
TMPRSS3	-1.01225
C4orf32	-0.724125
LAT	-2.52066666666667
KCNA3	0.173
SKIV2L2	-1.568
ROPN1B	-2.40275
tcag7.23	-0.3325
CDT1	-1.745375
ZHX2	-0.846375
CD28	-1.6845
ZNF624	1.5755
SEPT2	-0.495166666666667
SOHLH2	-1.570375
MCOLN3	-1.00914285714286
UNQ1945	0.751
MASP2	0.692
ZNRF3	1.233
GPATCH3	0.33225
AGL	-0.960875
QRICH2	0.841
PSD4	1.62633333333333
CCNB1IP1	-2.8985
ENPP7	0.449
OBFC1	-0.52425
KCNG3	-2.10775
C14orf79	0.712583333333333
ENPEP	2.998
SCT	1.74
SKI	0.765625
SEC61G	-0.2715
CAPN11	0.76875
ATXN7L3	0.247
DBNDD1	0.8505
FAIM	0.634
ANKRD36	-1.9885
GABRP	-0.7365
TACSTD2	2.44033333333333
EIF3J	-0.5045
PPP2R2A	-0.6765
TEKT4	-1.16516666666667
PVALB	-3.76466666666667
F10	-3.23883333333333
FAM134C	1.4358
COMP	4.46825
EFCBP1	1.876625
SCLT1	-0.6035
TAL1	-1.3634
ACSL1	1.115
ABCC5	0.0766666666666667
ABL1	-0.561944444444444
RBBP7	-0.168916666666667
PTPRG	0.334
NCOR1	0.1046
SPINK4	0.3305
TXNRD1	-0.9518
TNRC15	0.289625
C9orf138	1.52925
UBE2H	0.849333333333333
BRDT	0.109666666666667
C8orf31	0.30025
CCNE2	-1.12309090909091
SLC6A8	-0.408125
CALCR	-4.6295
PPP1CB	-0.223833333333333
ABHD8	0.877
ARF5	0.0604
SLC24A4	0.9715
CCT3	-0.95875
ZNF121	0.2515
SLC3A2	-1.0863
OR13A1	0.9215
SLC5A10	1.78175
RAD50	-0.036
IER5	-0.245625
MTHFD1L	-2.468875
MBTPS2	1.5515
MVK	0.23
NCL	-0.9031
PSMD10	-0.32825
MOBP	0.28375
FLJ32894	1.3355
HRH1	-0.875833333333333
C5orf30	2.0465
NUDT16L1	1.1009
RASGRP3	4.05116666666667
PRKRIP1	-0.2169
CCDC75	-0.49075
LOC253970	-0.5535
KIAA1239	-2.30475
MED21	-0.8605
SYT11	0.33275
NTSR2	0.0195
EGFL11	0.4035
CXorf59	-1.0205
OR2A25	-0.8235
SPTBN2	0.233
LRMP	-1.53666666666667
RNF111	0.48625
PTH	-0.1445
LOC619208	-0.284833333333333
KIAA0895	0.4725
RANBP5	-0.2935
P2RY10	2.28483333333333
NME5	4.21266666666667
DDX21	-0.73875
LRSAM1	1.5105
HDAC11	2.72666666666667
VMO1	2.76175
NOLA2	0.226166666666667
ADAR	1.917
MTO1	-0.0273333333333333
SF4	0.414333333333333
P2RX1	0.627333333333333
HBM	0.25775
EN2	0.825
C14orf172	-0.06375
TM9SF2	1.3381
INHBE	-0.8835
TCTE3	-0.133833333333333
TOX2	-2.787
CTAGE3	0.016125
HBB	3.5362
MED15	-0.0878333333333333
CASR	0.52875
C6orf66	-0.894833333333333
MTPN	-0.337875
UNC50	-0.1755
C21orf33	0.495125
IRF2	1.866
PGR	0.567333333333333
GPR84	2.56875
CROCCL1	-2.13025
SRPX	-3.04025
BRE	0.145
FGF10	1.50025
SDC3	0.171166666666667
ZRSR1	0.946833333333333
DKFZP434P211	-0.656125
SOX6	0.36
RPUSD2	-0.471
C14orf173	0.0558333333333333
MAPK11	0.389
TBC1D22A	1.062
FAM123A	-1.0895
COL4A6	-4.835
TOMM70A	0.332
NAB1	-1.637625
MGC16385	-0.166
TSPAN18	0.718
MED31	0.2185
PLG	-0.74825
CAPSL	0.997
ZNF532	-0.3536
ASB14	0.10975
CA8	-3.73275
NUDT16P	3.9735
SLFN11	-1.1095
LRRIQ2	0.345
NOL7	-0.139833333333333
BRMS1L	-1.789375
JARID1A	0.00349999999999999
PANK2	-0.53275
ICAM3	0.39525
MDS1	-0.9855
TAF8	-0.21875
RNF139	0.958
ZNF594	0.429166666666667
ADAM8	0.495
SFTPC	0.120625
MAN2B2	1.94825
RGS12	1.19325
EIF1AY	-5.15766666666667
LRRIQ1	-2.512
GPR150	1.2055
CCDC21	-0.708333333333333
PRRG3	0.8935
SAA4	-4.4955
RAPGEF5	2.512625
ZCCHC2	0.453666666666667
MGC39372	-0.524
PPP4R2	-0.247666666666667
CDCA2	-2.56433333333333
OR4D5	0.7215
PTGFRN	0.4147
SIGLEC5	2.4955
C19orf61	-0.194166666666667
NMUR2	0.259
KIAA1586	-1.5085
DAGLA	1.30716666666667
CHCHD6	0.32325
GPR32	0.4495
NEUROD6	-0.1805
SLC2A4RG	1.0995625
CA5B	-0.2705
FBXL3	1.3425
MPHOSPH9	-1.83225
HMG2L1	1.3525
HCN4	0.646333333333333
CEACAM19	-0.05475
SH2D4B	0.0706666666666666
HFE2	-0.9425
TGM4	-0.3654
LYPD2	0.288
TBC1D15	0.297
MRPS21	-1.7864
NONO	-1.0072
CLEC5A	1.48225
ITCH	-0.2454
MGAT3	-1.626
MBP	0.247625
RPP25	-2.28225
SOSTDC1	-4.051
HRC	-0.3545
TRIM48	0.1875
TMEM133	1.66775
ECEL1P2	-1.16575
HOXC11	-0.1
DOK5	-0.5015
HELZ	-0.530833333333333
LOC348180	-0.10375
MGC33894	0.5195
ADRB3	0.2645
DMD	-0.379333333333333
PTRH2	-0.74025
MPEG1	2.997
NDUFA12	0.117
KRTAP2-4	0.163333333333333
STAMBPL1	-2.9525
ADCY2	1.05466666666667
UNQ6125	0.2075
KLHL20	-0.486166666666667
SRM	-0.7645
OTC	-0.05275
TMIE	-0.0946666666666667
SNX8	-0.153
LIPK	-0.0445
CHURC1	-0.764083333333333
KLC2	0.612333333333333
HDAC1	0.474833333333333
FAM128A	1.6895
FNDC3B	0.1969
MTCP1	0.298333333333333
WFDC10B	0.6103
PCDHGB3	-0.0645
ATRNL1	2.5882
CAV2	-0.49725
MED26	0.283833333333333
DUS1L	0.17125
CHRM3	-1.01375
NEK9	-0.16725
WARS2	-1.5665
TBX22	-0.645
TOMM40	-0.56725
RP6-213H19.1	-2.79866666666667
TUBGCP5	-0.6255
IGSF6	4.74525
TPPP	0.446833333333333
UNQ6190	-0.433
GSTM5	0.44125
BTD	0.507
PDCD1LG2	0.517166666666667
SNRPB2	-0.6075
ERICH1	-0.796875
APOA4	-1.4025
HOXA11	-1.82875
NARG1	-0.525375
MKX	0.60475
RAB28	-0.438714285714286
PKP3	1.4295
SH3GL2	0.40575
CTSO	4.37025
RPN2	0.8964375
IL28RA	1.07133333333333
SFMBT1	0.3025
WDR57	-0.892375
FER1L3	1.46566666666667
HSF5	0.159
TTC9B	1.3285
C4BPA	-3.72016666666667
ALB	-5.41921428571429
SORBS3	1.068625
UPF2	0.2495
JPH1	-0.708
AGBL2	1.799
DOPEY1	-0.551
TERF1	-0.01475
KIF22	-1.2385
NINJ1	1.24525
SEC61A2	-0.0535
HIST1H1D	-2.09566666666667
SFXN4	0.287625
UCP3	0.237
ZNF703	2.55066666666667
MYL6B	-1.67825
TREM1	2.5455
OR52E6	0.4255
CKMT2	-0.0215
HLA-C	3.469875
SLC13A3	-2.74683333333333
TIMP4	0.348
SLIT2	0.73675
RSF1	0.0987777777777778
LONRF1	-1.34357142857143
MON1A	0.2275
CACNG6	0.0413333333333333
DPPA4	-6.00883333333333
ZSWIM3	-0.40275
ZNF804A	0.262
CCIN	1.3405
SLC25A31	0.773666666666667
KCNMB4	-1.8465
RABL5	1.100125
GALNS	0.8966
STX6	0.022375
HIST1H1C	-0.527666666666667
CIDEB	1.1575
CASP4	-1.2855
PDK3	0.023
KCNJ11	2.944
TPR	-1.158375
ZSCAN20	-1.3775
MTX2	-0.47225
HIST1H2BH	1.0835
LOC283767	1.8115
LYRM7	-1.10227777777778
BRD3	-0.665
HIST1H2BO	1.1715
MAGEB10	0.8795
SLC45A1	3.19725
SERPINA3	2.3374
KIAA0143	1.24925
KCNJ16	-0.3402
KRT79	-0.351
FABP2	-1.522
NUT	-0.23125
ZNF57	0.04325
FBXL4	0.530875
CLEC9A	1.428
UGT8	-1.628
BMP2K	0.25125
MAPK4	-3.43225
SLC25A23	0.0615
HINT1	-0.8853
KRTAP13-1	0.197
SFXN5	1.0122
CHCHD2	0.3215
FAM3D	0.6745
NDP	-4.31
RHOBTB1	-0.358333333333333
SLC4A4	-0.76625
RPL38	-0.06975
HTF9C	-0.0903333333333333
AP2A2	0.933625
ZBTB46	0.2325
MAP7D1	0.00375000000000001
AOX1	-0.1775
CYR61	-0.342666666666667
DTNA	1.10792857142857
JRKL	-0.166
TMOD3	-0.79825
EEA1	-0.1803
ADCK5	-0.567
IL1R1	-0.502166666666667
KLK3	0.578071428571429
HRSP12	-0.237
KTN1	-0.78525
LOH11CR2A	0.656
RELL2	0.312
MAB21L1	-0.0565
C20orf59	0.0901666666666667
PHKB	0.2215
ADAM2	-2.7584
TBC1D8B	1.43816666666667
FAM13A1	-1.2784375
LAPTM4B	-0.59575
LCN8	0.0915
TMEM147	1.0915
SYT4	-0.1424
XPO7	-1.392
C9orf62	1.31075
GPR75	0.419
TRIM5	0.32125
APOC1	-0.6955
RNASE4	0.221833333333333
PARD6B	1.137125
ARID1A	0.653833333333333
TPD52L3	0.144666666666667
RRAGB	1.351
RCN2	-1.017
HIST2H2BE	1.3334375
STARD7	-0.70475
SHMT2	-1.1725
KIAA1751	-0.381
MLYCD	1.423375
LOC162632	-1.2362
UQCRH	-0.881
RP11-217H1.1	0.55175
SDHA	-0.715833333333333
NCLN	0.1841
ZNF17	0.768666666666667
RCBTB2	-2.332
VEGFB	1.1988
RP4-747L4.3	-0.93175
COLQ	0.1606
MPN2	-0.4415
DRG2	0.393
KLRB1	4.019
ALPK2	-2.09
DNASE2B	-0.51125
FLJ23834	-0.840666666666667
AXUD1	1.0615
SAFB	-0.4101
NSUN4	-0.15525
RFX2	-0.391666666666667
MAPK8IP1	1.674
FANCD2	-1.58814285714286
ANKZF1	-1.67416666666667
C19orf50	-0.531625
DUSP8	1.90075
SENP5	-0.77975
NFKBIL2	-0.312
LBR	-2.60225
IGFL1	0.1955
LZTS2	0.610125
IL2RG	-0.480875
CCDC51	0.4565
KLF3	-0.61825
ANKRD37	-1.03575
KCTD14	0.789333333333333
FZR1	0.573583333333333
SLC44A4	4.0297
ESPL1	-0.786375
GMPR2	-0.8834
TBC1D19	-0.769166666666667
ERGIC1	1.37240740740741
ERBB4	2.7369
TSPAN32	0.156166666666667
MAP4	0.321625
GPHN	0.253
SLC6A2	-0.16875
HIVEP1	1.03625
DFFB	-0.3316
EIF4EBP2	0.584125
DMRT1	-0.8145
HSPB6	1.10925
IER2	-0.3695
AIFM1	0.50725
WWC2	-1.18016666666667
MRPL4	0.19075
FLJ21062	-0.771666666666667
EPB41L4A	-0.829583333333333
SH2D6	0.3475
TAF4B	-1.5935
GAL3ST3	0.337
MALT1	-0.333666666666667
RTDR1	1.654
ARVCF	0.58975
MEX3B	-0.411
FBXO16	-3.06425
KIF7	-0.41775
C1QC	3.96866666666667
ZNF783	0.0855
ZNF85	1.12425
MMP13	1.1615
KIAA0329	-0.355625
RTP3	-1.231
ZBED3	-1.4115
CLGN	-5.6845
SLC25A37	-2.58933333333333
hCG_18290	-0.6375
OR5AS1	0.63
SMARCC2	0.871
FAM109A	0.119666666666667
CCDC12	0.05775
USF2	1.0484
DEPDC7	-3.69825
C20orf24	-0.238
JMJD3	0.499
DSP	-3.86978571428571
SLIC1	0.006375
FAM20A	0.048875
IRF2BP2	0.622625
ZNF230	-0.1355
MSN	-0.882714285714286
SLC9A5	-2.079
EPDR1	0.5085
MUSK	0.272833333333333
ZNF434	-0.0791666666666666
SMARCD1	-0.3525
ZFP106	-0.34625
ZNF347	0.9231
GTF2E1	0.897
