Hybridization REF	TCGA-BH-A0AY-11A-23R-A089-07
RNF4	-0.1805
F8A1	0.575833333333333
PLEKHG4	-0.811
GRB2	-0.24335
HIST1H2AD	-1.80775
DUS3L	-0.782666666666667
EIF1	0.315333333333333
RP5-1077B9.4	-1.46966666666667
FPGT	1.13825
GDF10	4.38033333333333
COQ9	-0.24425
GCC2	0.590214285714286
RARRES3	2.368625
PLXNA1	-0.2371
KIAA0100	-0.324
PMF1	-0.5145
FNDC1	4.28925
HS2ST1	-0.338583333333333
CRELD2	0.0655
C8G	-2.1495
CD82	0.8835
LIM2	-0.879
UNQ6490	-0.44
MMP16	0.02925
DRD3	0.00875000000000001
C5orf26	0.338
C11orf73	-0.272375
PTP4A2	0.348125
OR4M2	-0.311
HPCA	-0.954833333333333
SEC14L1	0.258666666666667
CHFR	-0.840875
EMILIN1	0.7235
NDUFS4	0.07425
COL18A1	-0.028875
PDZD3	0.1352
C9orf16	-0.640833333333333
ERBB2IP	-0.174333333333333
EMX2	4.92275
FUS	-0.92375
TF	-2.3655
CLCN4	1.11466666666667
CXorf56	0.759
C11orf72	0.0765
ELAC2	-0.690333333333333
NPR1	2.37475
ASS1	-0.410833333333333
USP42	0.099625
POLR2J	-0.868
SEC23IP	0.385
UQCRC1	-0.3665
LOC729603	-0.25125
C1orf71	-0.022
POLG	-3.1075
ADAM23	-2.97775
TFR2	-1.8275
RICTOR	-0.1103
MGC39606	1.79375
C19orf55	-0.49875
SNAPC1	-0.691833333333333
GNA11	0.996375
CCDC52	-0.124333333333333
FSIP1	0.9375
UPF3A	0.229625
IGSF11	-2.06683333333333
LAGE3	-1.24525
CHST6	-3.3715
UNC13B	0.468625
TTLL4	-1.327375
ZNF687	-0.029625
SDC2	0.7711
COX7A2	-0.638
LAMB4	0.25225
FAM24A	0.189
LRRTM3	-0.801
GPHB5	0.024
OR4C13	0.483
EIF3EIP	0.474571428571429
HABP4	0.7805
TMEM125	2.79175
CNTN2	0.306375
ASNSD1	0.09425
FUT4	0.312875
ACF	-3.90975
LOC158381	0.5675
CDH8	-0.08075
AGPS	-0.301833333333333
C4orf18	3.580375
PECI	0.161666666666667
UNG	-0.459
GSTP1	0.177375
DCUN1D5	-1.52116666666667
DKFZP564J0863	-1.362
SLC9A3R1	0.52975
BCDO2	0.586
CHMP7	0.028375
REM2	0.1025
DNHD1	-0.30575
FKBP4	-0.998
ZNF350	1.33
MGC11102	-0.63575
BST1	2.57425
KISS1R	-0.8615
NCR2	-0.2695
DEFB125	-0.484
UBE2W	0.715375
KRT15	4.193
C10orf99	-0.1895
SCN11A	0.99575
GFI1	-1.48825
RDHE2	1.18966666666667
FHL1	3.3935
OSGEP	0.003
GATA1	-3.60816666666667
SMC6	-1.489
TTTY14	-1.121
LPIN3	-0.09775
RPL4	0.0696
RBPMS	0.8137
PRPF3	-0.507666666666667
EMR1	-2.9445
SPATA19	0.3855
XCR1	-0.092
IRX3	1.4935
RBM6	-0.038
KLF4	2.0461
UNC5CL	-0.99675
SEBOX	-0.0555
BTK	-1.51475
KRCC1	1.52425
C6orf27	-0.0235
SYTL5	-0.655
PRND	3.0145
LOC653319	-1.288
PIGL	-1.4005
HUS1	-0.689166666666667
SFRS6	-0.712416666666667
C17orf77	-0.171
UIMC1	0.15
FXYD2	-1.6857
LOC283152	0.4455
ZNF667	0.864
ZCCHC12	0.775
TFEC	1.5823
ATP7B	-0.276
POLD2	-1.5095
RG9MTD1	-0.20725
ACOT2	1.465
HIST1H4I	-1.826
PPARGC1A	-0.1095
ETFA	-0.7634
POLRMT	-0.89825
ZNF146	-0.042375
MIA2	-0.7645
KLHL6	-0.789166666666667
HOXB5	-0.32825
NENF	0.400666666666667
CUGBP1	-0.794
PRSS22	0.490333333333333
CASC4	1.2484
CUL4B	-0.1311
CENPJ	-1.2113
PITX1	-1.55816666666667
FLJ31033	0.717
CELSR3	-2.69783333333333
ZNF568	1.12525
ITSN1	0.954166666666667
EHBP1L1	-0.961333333333333
C19orf2	-0.4025
DCTN1	-0.13325
LIN28B	-3.32816666666667
TNKS2	-0.29975
C1QBP	-1.000625
CADPS2	1.3895
SRMS	0.09775
GJA9	0.215
MGC24975	-1.4985
TRIM45	-1.1085
TSP50	0.78825
TCP1	-1.0135
TMED7	0.0607
CMA1	2.634
CENPL	-1.75383333333333
PTCRA	-0.7065
FST	-2.862
VWCE	-1.8395
PAWR	-0.47725
ABCC12	0.0986666666666667
LDLR	-0.3638
ASTN2	-0.0096
LOC441212	-0.43925
GPATCH8	-0.091
TANC2	-0.88125
KIF4A	-4.1275
C18orf18	-0.029
PGM1	0.302
KIAA0258	0.21475
CPD	0.575
SNCAIP	1.082
DCT	-4.31
HLA-DOA	2.01331818181818
OR11L1	0.1185
UPK1B	-0.553333333333333
DNAJB4	1.752375
UGT1A8	0.19375
HIST1H4L	-2.0545
PECR	-0.199166666666667
HSPA2	1.22625
WFIKKN1	-3.1575
SERP1	0.96325
SYDE2	1.25075
TACR2	0.434
NUP85	-0.94725
CD177	-0.7475
LGR5	-1.47666666666667
PIGG	-0.284583333333333
PTHR1	0.6425
RAB5A	0.6183
FLJ13224	-0.1165
USP9Y	-1.01466666666667
C7orf53	-0.652
LRP1B	1.78075
XAF1	1.9637
ABCG8	-0.4925
ANKDD1A	0.6245
DAND5	-1.0645
SPAG6	2.32916666666667
LINCR	2.42975
ZDHHC22	-1.748125
CCDC60	1.1285
THOC7	-0.9405
TCTA	0.9149
OR8K3	0.228
NY-REN-7	-0.55475
B2M	1.36083333333333
C6orf141	-1.0615
LPPR4	4.05125
SQLE	-2.889
SEPHS1	-0.7425
BTBD14B	-0.572214285714286
PLRG1	0.09725
SPG7	-0.471875
ZNF614	0.00416666666666667
PARD6G	1.14616666666667
INPP5B	-0.2362
GRPEL2	-0.47475
PPID	-0.6853
TRIM56	0.18225
UBE2J1	0.328375
IL20RA	5.41125
LOC387856	0.24125
C1orf107	0.2735
UTS2R	-0.26725
C19orf22	-0.5205
SAFB2	-0.049875
KIAA0652	-0.1525
KLRG1	0.107333333333333
MS4A8B	0.207166666666667
FRAG1	0.29
KIAA1546	0.69125
E2F4	-0.7043
CLEC4M	0.149166666666667
BTBD14A	-0.92025
KIAA0999	1.1052
GYPA	-3.1825
TAC1	2.7704
TRAIP	-2.18066666666667
KIAA0232	0.6363
ERCC8	-1.011375
GPX4	1.220125
KIAA0368	0.313625
GPR157	-1.06966666666667
CTAGE4	0.628
C9orf30	-1.36383333333333
OR52A1	-0.214
HSP90B3P	0.0775
ALG9	-0.1317
BTBD10	0.573
SDK2	0.381
BAIAP3	0.2915
RABGGTB	-0.863625
ANKRD40	0.079
KRT74	0.409
CALCOCO2	0.796642857142857
SNCA	-1.34975
TMSL8	-3.30775
C2orf53	-0.418
ESRRB	-0.61075
ARHGAP26	0.0265
TDRD9	-2.83925
HRAS	-0.362666666666667
KLRC4	-1.6895
JAGN1	-0.0633333333333333
BSDC1	0.5855
RNF43	-0.2612
NDUFAF1	0.3685
PHF12	0.39325
OR1L3	0.3185
FOLR2	2.75491666666667
LYZL6	-0.198333333333333
tcag7.1260	-1.128
WSB1	-0.528166666666667
PROS1	1.1692
OSTN	0.0805
PSMB8	0.71675
SOCS4	0.1825
DDIT4L	3.28875
MAS1	0.276
MGC34796	0.69925
CSHL1	0.290666666666667
TBCCD1	0.322166666666667
ZBTB7C	-0.311
AP2S1	-1.062
P15RS	-0.1149
VAT1	-0.1008
SHANK3	1.354
TUFM	-0.852166666666667
THEG	-0.49325
KRT34	-1.73975
SGSM3	-0.2385
TOMM22	-0.411125
SOCS3	2.1835
CPO	0.985
POP4	0.1635
BHLHB3	2.83525
MALL	2.3755
OR1B1	0.3765
PARK2	1.29183333333333
GPR124	1.989875
LCE1E	-0.283
RUVBL2	-1.18675
CGRRF1	1.134
ACPL2	0.16775
WNT10B	-0.295
BAIAP2L2	-2.438875
ISCA1	0.906
C1orf125	-0.19475
RPAP1	-0.60975
RAI16	-0.00600000000000001
RPL27	-0.17925
NLRP9	-0.196
EPN1	-0.4465
LOC388610	0.068375
SLC35A1	1.1266
GAL	-3.8595
SLC14A2	0.22125
RDH11	-0.9315
FAM138F	-0.7665
AUH	0.94175
FLJ40243	-0.0665
C14orf129	0.191333333333333
MBD2	-0.283833333333333
ABHD14B	0.724
PIGT	0.2955
ALS2CR4	0.387875
ALAS1	0.1418
FOXO1	2.95466666666667
CRLF3	0.119875
C20orf107	-0.2005
FARS2	0.6915
CCDC28A	1.23625
NPHP3	0.32975
OR13F1	0.1205
TSEN54	-1.334
DEFB106B	-0.1004
OR8B4	0.4335
STH	1.07075
ZC3H14	-0.309625
CBX2	-0.263
TMEM49	-0.91325
C6orf21	-0.087
FLJ20920	0.8115
CRTAP	1.08121428571429
DDX50	0.2205
STYXL1	-0.51875
BLVRB	-0.03
LOC147650	0.128666666666667
MMP24	0.36125
GRID1	2.3105
BANF1	-0.712166666666667
CTAGEP	0.02375
HMBS	-2.28375
SLC25A24	0.125666666666667
C14orf50	1.79375
MRO	0.649833333333333
SLC25A15	-1.1575
FAM84B	0.8401
TDP1	-1.4095
C16orf78	-0.115166666666667
C11orf57	-0.61975
RFK	-0.451
ZFYVE9	-0.040625
STCH	-0.5358
WIBG	0.109
LOC283871	-0.958
GBA2	-0.4205
NDUFB3	-0.76625
HSD17B13	1.93025
GRIN3A	2.53916666666667
FMNL1	-0.646666666666667
SEPT7	0.4602
GNLY	3.7365
GRAMD1C	1.665
ZNF165	-0.42575
USP38	0.8035
FAM83A	-3.43083333333333
C14orf24	0.677
ARMCX3	1.24925
ARHGDIB	0.744
AK1	0.102625
KIAA1045	1.79175
DNAJB13	-0.202333333333333
NEU2	0.5725
HIST1H4B	-2.18266666666667
FAM20B	-0.5008
HES2	-0.279928571428571
FAM73B	-0.5723
LOC388381	0.3415
INTS7	-1.35172727272727
AMPH	1.8515
ZNF775	-0.702125
UCKL1	-0.893
C10orf97	0.51475
C1orf161	-0.3305
ALDH1L1	2.55225
FLJ39378	0.1085
SLC23A1	-1.171
RBM4B	0.43875
THAP4	-0.0273333333333333
OGFRL1	0.74125
KIAA0831	0.549375
PPP1R15A	1.26166666666667
C1orf96	-0.907285714285714
C12orf11	-1.7185
BMF	-0.13775
MAN1A1	0.326
KIAA1600	1.4215
NLGN4X	1.15375
ALOX12	-0.915166666666667
RB1CC1	-0.0602
NEIL2	0.8233
EIF4E	-0.243545454545455
ABHD5	0.08475
EXOC4	-0.0128333333333333
CIP29	-0.378166666666667
BATF2	0.58475
SLC29A4	1.010125
HTR4	0.93225
EMB	-0.4525
TRAF6	0.84875
LMNB1	-4.133
FAM19A5	-1.541
SHE	3.2765
PIK3C2B	1.81475
C15orf15	-0.1152
USP15	0.3569
TCEAL2	2.874
C5orf39	0.363333333333333
PTGER2	0.3525
SLC31A1	-0.643375
IFT172	0.591
ADAM29	0.4135
GFOD1	1.31425
ST7L	0.9125
C15orf26	-2.52275
PKN3	-0.50825
CNTD1	2.5215
COMMD1	0.3695
NTRK2	3.92308333333333
FOXN3	1.678625
MFGE8	1.1698
PFKFB2	0.058
TAS2R4	-0.1405
ENTHD1	-0.418
PRMT5	-0.808625
MGC16384	-1.21325
LOC442229	-0.56675
TSKU	0.95375
KRTCAP3	1.750125
PDLIM1	1.244
KCNS2	0.0505
RNF126	-0.569
CEP63	0.363
CLIC4	0.733125
hCG_1990170	2.93825
ACR	1.3807
KLK7	3.824
ALOX5AP	2.521625
RIPK3	2.7135
TAS2R9	0.0085
C19orf18	1.541
BIRC6	0.0863571428571428
ZNF16	0.9
RFT1	-0.66575
SLC8A2	-0.3055
TACC1	1.35475
ITGAD	0.582
SAMHD1	1.51075
SH3PXD2B	0.7931
EPC2	1.23725
C20orf85	0.154125
ATP13A2	-0.480666666666667
KRT4	0.340875
CAPNS1	0.2595
MDM2	-0.378583333333333
PCDH20	1.606
KCNK9	0.1135
OR2C1	0.041
KLHDC3	-0.6795
IPPK	0.33
EFHD2	-0.54825
GALR3	-0.426
NBEA	1.18066666666667
ABCA6	5.2403
CLDN3	0.829333333333333
AKT2	-0.455428571428571
EGFR	0.9378
RBM16	0.69925
ZDHHC3	0.3899
SLC25A4	0.137666666666667
CYB5B	0.0373333333333333
CPXM1	0.11625
NDRG1	-0.309153846153846
FLJ43826	0.467
OR5L2	0.1645
FARP2	0.1589
MRPL46	-0.450833333333333
LDHAL6B	-0.1275
MAPKAPK3	-0.809666666666667
NCAM2	-1.86275
PRKD2	0.232833333333333
ZFP36L1	1.5817
CYSLTR1	0.301
OR4C3	0.37425
HIST1H2AJ	1.093
CCNB2	-4.47133333333333
ZNF10	0.539625
TMEM175	0.066
FAM134A	0.496166666666667
TIGD4	-0.205
PCNP	0.18025
MGC39715	2.304
LQK1	-2.6125
CREB1	0.8901
TMPRSS3	-0.231
C4orf32	2.50075
LAT	-1.50708333333333
KCNA3	0.358
SKIV2L2	-0.639
ROPN1B	2.29425
tcag7.23	0.2065
CDT1	-3.83375
ZHX2	1.033
CD28	-2.1275
ZNF624	1.21725
SEPT2	0.672
SOHLH2	-1.673875
MCOLN3	0.164857142857143
UNQ1945	-0.0435
MASP2	-1.4065
ZNRF3	0.1351
GPATCH3	-0.186
AGL	0.375125
QRICH2	-0.6315
PSD4	0.13
CCNB1IP1	-0.8875
ENPP7	0.1445
OBFC1	0.20725
KCNG3	-2.37125
C14orf79	0.486166666666667
ENPEP	2.57183333333333
SCT	-0.1375
SKI	0.668
SEC61G	-1.8245
CAPN11	2.22825
ATXN7L3	-0.521
DBNDD1	-0.875666666666667
FAIM	0.5515
ANKRD36	-0.527
GABRP	4.22766666666667
TACSTD2	2.34533333333333
EIF3J	-0.796
PPP2R2A	0.0035
TEKT4	0.376666666666667
PVALB	-3.91316666666667
F10	0.487166666666667
FAM134C	0.7546
COMP	2.1985
EFCBP1	-0.0756875
SCLT1	0.762125
TAL1	-0.3191
ACSL1	3.47775
ABCC5	-0.859
ABL1	-0.270388888888889
RBBP7	-0.492583333333333
PTPRG	0.048
NCOR1	0.2863
SPINK4	-1.68433333333333
TXNRD1	-1.5602
TNRC15	0.669625
C9orf138	0.906625
UBE2H	0.165333333333333
BRDT	0.557
C8orf31	-0.1515
CCNE2	-3.20127272727273
SLC6A8	-2.15475
CALCR	-0.425
PPP1CB	1.2905
ABHD8	-0.175
ARF5	-0.1166
SLC24A4	1.01725
CCT3	-1.1675
ZNF121	-0.035625
SLC3A2	-1.0677
OR13A1	-0.1475
SLC5A10	-0.5095
RAD50	-0.15875
IER5	-0.25525
MTHFD1L	-2.10125
MBTPS2	0.07275
MVK	-0.581
NCL	-0.3458
PSMD10	-0.02575
MOBP	0.186625
FLJ32894	-0.2685
HRH1	0.961166666666667
C5orf30	0.2845
NUDT16L1	0.0658
RASGRP3	3.66916666666667
PRKRIP1	-0.5567
CCDC75	0.9595
LOC253970	0.3935
KIAA1239	0.607
MED21	-0.38375
SYT11	0.486583333333333
NTSR2	-0.1685
EGFL11	-0.316
CXorf59	-0.00299999999999999
OR2A25	0.2135
SPTBN2	-1.26
LRMP	-0.340166666666667
RNF111	0.61925
PTH	0.249
LOC619208	0.655666666666667
KIAA0895	0.3875
RANBP5	-0.662125
P2RY10	0.7925
NME5	3.423
DDX21	-1.0805
LRSAM1	-0.149
HDAC11	0.444333333333333
VMO1	0.82075
NOLA2	-0.605333333333333
ADAR	-0.43925
MTO1	-0.458333333333333
SF4	-0.190166666666667
P2RX1	0.061
HBM	0.68875
EN2	-0.633
C14orf172	-0.3945
TM9SF2	0.5721
INHBE	-0.959
TCTE3	-0.389416666666667
TOX2	-1.74225
CTAGE3	0.2705
HBB	4.4018
MED15	-0.604166666666667
CASR	0.1615
C6orf66	-0.886333333333333
MTPN	-0.485625
UNC50	0.407
C21orf33	0.184
IRF2	1.186375
PGR	2.02466666666667
GPR84	1.288
CROCCL1	-0.9855
SRPX	1.66225
BRE	0.1465
FGF10	2.867
SDC3	0.6735
ZRSR1	0.502666666666667
DKFZP434P211	-0.34175
SOX6	0.00850000000000001
RPUSD2	-0.52675
C14orf173	-0.373583333333333
MAPK11	-0.406333333333333
TBC1D22A	0.5185
FAM123A	-0.629
COL4A6	-0.5135
TOMM70A	0.2805
NAB1	0.735375
MGC16385	-0.217875
TSPAN18	0.494333333333333
MED31	-0.4925
PLG	-0.356
CAPSL	0.5005
ZNF532	1.137
ASB14	0.05975
CA8	1.03025
NUDT16P	1.65883333333333
SLFN11	0.266
LRRIQ2	-0.428625
NOL7	-0.756166666666667
BRMS1L	-0.026125
JARID1A	0.421666666666667
PANK2	-0.234
ICAM3	-0.51475
MDS1	0.57225
TAF8	-0.1855
RNF139	0.63825
ZNF594	0.336166666666667
ADAM8	-0.213
SFTPC	-0.183125
MAN2B2	1.289875
RGS12	0.314125
EIF1AY	-4.54108333333333
LRRIQ1	0.540833333333333
GPR150	-0.34175
CCDC21	-1.53283333333333
PRRG3	1.64825
SAA4	1.66825
RAPGEF5	1.506875
ZCCHC2	-0.186333333333333
MGC39372	0.743
PPP4R2	0.0886666666666667
CDCA2	-3.48783333333333
OR4D5	0.365166666666667
PTGFRN	0.2142
SIGLEC5	1.05766666666667
C19orf61	-0.529166666666667
NMUR2	0.543
KIAA1586	-0.308166666666667
DAGLA	0.682166666666667
CHCHD6	-0.50075
GPR32	0.1775
NEUROD6	-0.0795
SLC2A4RG	0.0221875
CA5B	0.75825
FBXL3	2.04625
MPHOSPH9	-1.8925
HMG2L1	0.22875
HCN4	-0.450166666666667
CEACAM19	0.38675
SH2D4B	0.0871666666666667
HFE2	-1.182
TGM4	-0.16
LYPD2	0.06675
TBC1D15	0.291
MRPS21	-0.6468
NONO	-1.0486
CLEC5A	0.04525
ITCH	-0.2069
MGAT3	0.687333333333333
MBP	0.4385
RPP25	-1.6015
SOSTDC1	2.954
HRC	0.12325
TRIM48	-0.176
TMEM133	1.43475
ECEL1P2	-0.926
HOXC11	-0.599
DOK5	0.3815
HELZ	0.475166666666667
LOC348180	-1.3355
MGC33894	0.47025
ADRB3	0.0585
DMD	1.44733333333333
PTRH2	-0.8365
MPEG1	3.001
NDUFA12	-0.323166666666667
KRTAP2-4	-0.25275
STAMBPL1	-0.656333333333333
ADCY2	0.641333333333333
UNQ6125	0.3005
KLHL20	0.643
SRM	-1.4135
OTC	0.82
TMIE	0.941333333333333
SNX8	-1.01725
LIPK	-0.3585
CHURC1	0.4495
KLC2	-0.075
HDAC1	-0.507
FAM128A	-0.552333333333333
FNDC3B	0.3267
MTCP1	-0.114166666666667
WFDC10B	-0.0746
PCDHGB3	0.106
ATRNL1	-0.2393
CAV2	2.88625
MED26	0.184333333333333
DUS1L	-0.55975
CHRM3	-0.978125
NEK9	0.81275
WARS2	0.08175
TBX22	0.277
TOMM40	-1.359
RP6-213H19.1	-1.503
TUBGCP5	-0.0035
IGSF6	4.46225
TPPP	1.55
UNQ6190	0.113
GSTM5	2.695375
BTD	1.47666666666667
PDCD1LG2	1.30083333333333
SNRPB2	-0.7215
ERICH1	0.41225
APOA4	-1.821375
HOXA11	-1.3565
NARG1	-0.576
MKX	0.865
RAB28	0.297928571428571
PKP3	0.1905
SH3GL2	-1.289
CTSO	3.33375
RPN2	-0.603875
IL28RA	0.683833333333333
SFMBT1	0.061
WDR57	-0.281625
FER1L3	1.30708333333333
HSF5	-0.0251666666666667
TTC9B	-0.41075
C4BPA	-2.67833333333333
ALB	-3.1675
SORBS3	0.666
UPF2	0.6575
JPH1	-0.385
AGBL2	-0.18625
DOPEY1	1.768
TERF1	0.1745
KIF22	-1.54016666666667
NINJ1	0.886
SEC61A2	-0.724083333333333
HIST1H1D	-1.44766666666667
SFXN4	-0.5245
UCP3	0.0279
ZNF703	-0.247
MYL6B	-0.391
TREM1	0.23525
OR52E6	0.158
CKMT2	3.95275
HLA-C	1.7585
SLC13A3	-1
TIMP4	3.045
SLIT2	3.8065
RSF1	0.3135
LONRF1	0.0426428571428571
MON1A	-0.24
CACNG6	-2.18216666666667
DPPA4	-5.8555
ZSWIM3	-0.12025
ZNF804A	0.0685
CCIN	1.26425
SLC25A31	-0.2385
KCNMB4	-0.4095
RABL5	0.249
GALNS	-0.6279
STX6	0.173625
HIST1H1C	-2.44466666666667
CIDEB	0.088625
CASP4	0.540166666666667
PDK3	-0.8581
KCNJ11	1.1365
TPR	-0.335125
ZSCAN20	-0.1785
MTX2	-0.52725
HIST1H2BH	-1.7935
LOC283767	1.293
LYRM7	-0.421388888888889
BRD3	-0.355833333333333
HIST1H2BO	-2.0155
MAGEB10	-0.398
SLC45A1	1.38525
SERPINA3	0.71035
KIAA0143	0.82575
KCNJ16	3.96716666666667
KRT79	0.00425
FABP2	-0.40425
NUT	-0.03175
ZNF57	-0.043
FBXL4	0.922
CLEC9A	2.028
UGT8	0.432333333333333
BMP2K	0.19725
MAPK4	-2.0035
SLC25A23	-0.43
HINT1	-0.9145
KRTAP13-1	0.742
SFXN5	-0.3607
CHCHD2	-0.502
FAM3D	3.322
NDP	-1.42675
RHOBTB1	-0.350833333333333
SLC4A4	1.19675
RPL38	0.31025
HTF9C	-0.5405
AP2A2	0.464875
ZBTB46	0.1235
MAP7D1	0.8205
AOX1	0.734
CYR61	2.5795
DTNA	0.0526428571428571
JRKL	1.168
TMOD3	0.38525
EEA1	0.4236
ADCK5	-1.23925
IL1R1	2.80583333333333
KLK3	0.0607142857142857
HRSP12	-0.2865
KTN1	0.22825
LOH11CR2A	1.1058
RELL2	-2.09375
MAB21L1	3.69825
C20orf59	-1.266
PHKB	0.346
ADAM2	-1.58216666666667
TBC1D8B	1.41983333333333
FAM13A1	0.69125
LAPTM4B	-1.06775
LCN8	-0.18
TMEM147	-0.064
SYT4	-0.164
XPO7	-0.8645
C9orf62	-0.66875
GPR75	0.5535
TRIM5	0.847625
APOC1	-1.50533333333333
RNASE4	2.42333333333333
PARD6B	-2.002
ARID1A	0.0268333333333333
TPD52L3	-0.0763
RRAGB	1.094
RCN2	-0.537833333333333
HIST2H2BE	-1.298375
STARD7	-0.5115
SHMT2	-1.93875
KIAA1751	-0.0983333333333333
MLYCD	0.874875
LOC162632	-0.2688
UQCRH	-1.4295
RP11-217H1.1	0.1995
SDHA	-0.692666666666667
NCLN	-0.8628
ZNF17	0.861666666666667
RCBTB2	-0.313
VEGFB	0.8259
RP4-747L4.3	0.5775
COLQ	0.4641
MPN2	-0.247833333333333
DRG2	-0.3015
KLRB1	5.18975
ALPK2	-2.29325
DNASE2B	0.53225
FLJ23834	0.0313333333333333
AXUD1	2.658
SAFB	-0.2862
NSUN4	-0.33775
RFX2	1.05733333333333
MAPK8IP1	0.146333333333333
FANCD2	-1.74528571428571
ANKZF1	-1.32266666666667
C19orf50	-0.185125
DUSP8	1.134625
SENP5	-0.72925
NFKBIL2	-1.548
LBR	-0.989875
IGFL1	0.1
LZTS2	0.249625
IL2RG	-0.29475
CCDC51	-0.58975
KLF3	0.801125
ANKRD37	-0.19025
KCTD14	1.47716666666667
FZR1	-0.354833333333333
SLC44A4	1.5709
ESPL1	-1.793375
GMPR2	0.0254
TBC1D19	-0.386
ERGIC1	-0.398259259259259
ERBB4	2.5676
TSPAN32	0.38975
MAP4	0.16
GPHN	-0.04025
SLC6A2	2.3245
HIVEP1	0.62375
DFFB	-0.2858
EIF4EBP2	0.781625
DMRT1	-0.22925
HSPB6	1.19775
IER2	0.481333333333333
AIFM1	-0.56375
WWC2	0.389833333333333
MRPL4	-0.85775
FLJ21062	1.57533333333333
EPB41L4A	1.6855
SH2D6	-0.12875
TAF4B	-0.30675
GAL3ST3	-0.613
MALT1	-0.424666666666667
RTDR1	0.17925
ARVCF	0.118125
MEX3B	-1.18866666666667
FBXO16	0.39875
KIF7	-0.4165
C1QC	3.54466666666667
ZNF783	-0.444666666666667
ZNF85	0.88325
MMP13	-0.453
KIAA0329	0.800125
RTP3	-0.9595
ZBED3	0.38275
CLGN	-3.32275
SLC25A37	-0.901041666666667
hCG_18290	0.53975
OR5AS1	-0.123
SMARCC2	0.45275
FAM109A	-0.387666666666667
CCDC12	0.24275
USF2	0.1665
DEPDC7	-2.63675
C20orf24	-1.10716666666667
JMJD3	0.5925
DSP	1.10157142857143
SLIC1	0.021875
FAM20A	2.046375
IRF2BP2	1.17775
ZNF230	0.292
MSN	0.0500714285714286
SLC9A5	-2.004
EPDR1	0.6315
MUSK	-0.111833333333333
ZNF434	0.343333333333333
SMARCD1	-0.467166666666667
