Hybridization REF	TCGA-AO-A03V-01A-11R-A115-07
ALS2CR4	-0.018875
ALAS1	0.2974
FOXO1	1.06916666666667
CRLF3	-1.294625
C20orf107	-0.405
FARS2	0.68675
CCDC28A	-0.194
NPHP3	-0.86675
OR13F1	0.048
TSEN54	-0.71375
DEFB106B	0.081
OR8B4	0.1835
STH	0.6055
ZC3H14	-0.38825
CBX2	0.0485
TMEM49	-1.4315
C6orf21	0.208
FLJ20920	-1.331875
CRTAP	-0.275714285714286
DDX50	-0.6495
STYXL1	0.008
BLVRB	-1.20316666666667
LOC147650	2.40283333333333
MMP24	-0.05875
GRID1	1.68366666666667
BANF1	0.842
CTAGEP	0.47225
HMBS	-3.1295
SLC25A24	1.57516666666667
C14orf50	2.1425
MRO	0.326
SLC25A15	-0.5435
FAM84B	2.4392
TDP1	-1.1465
C16orf78	-0.165333333333333
C11orf57	-0.663875
RFK	-0.098625
ZFYVE9	-0.99775
STCH	-0.5973
WIBG	0.43825
LOC283871	-0.632333333333333
GBA2	0.0794
NDUFB3	-0.28775
HSD17B13	0.32
GRIN3A	0.405166666666667
FMNL1	-0.8645
SEPT7	0.1604
GNLY	3.3825
GRAMD1C	1.511
ZNF165	0.19175
USP38	0.81825
FAM83A	-3.01533333333333
C14orf24	0.82
ARMCX3	1.056125
ARHGDIB	0.337333333333333
AK1	-0.700375
KIAA1045	0.32275
DNAJB13	-0.165
NEU2	0.9205
HIST1H4B	-1.37166666666667
FAM20B	-0.626
HES2	1.0005
FAM73B	-0.1038
LOC388381	-0.1545
INTS7	-0.741545454545455
AMPH	1.732
ZNF775	-0.21175
UCKL1	1.69033333333333
C10orf97	0.9255
C1orf161	-0.26125
ALDH1L1	0.8375
FLJ39378	-0.23875
SLC23A1	-2.069
RBM4B	0.375
THAP4	-0.389666666666667
OGFRL1	-0.3615
KIAA0831	-0.019125
PPP1R15A	2.53683333333333
C1orf96	-1.02057142857143
C12orf11	-1.869
BMF	1.429875
MAN1A1	1.102125
KIAA1600	1.99916666666667
NLGN4X	-1.49275
ALOX12	-1.601
RB1CC1	0.0212
NEIL2	0.7964
EIF4E	-0.665909090909091
ABHD5	-0.229
EXOC4	-0.087
CIP29	-0.276666666666667
BATF2	-0.213
SLC29A4	-0.42025
HTR4	0.24275
EMB	-1.413
TRAF6	0.881
LMNB1	-2.59175
FAM19A5	0.844375
SHE	1.88975
PIK3C2B	0.505
C15orf15	-1.1514
USP15	0.1818
TCEAL2	0.638
C5orf39	-0.904333333333333
PTGER2	-1.70475
SLC31A1	0.25075
IFT172	0.10025
ADAM29	0.39925
GFOD1	0.1865
ST7L	0.229833333333333
C15orf26	-3.537
PKN3	-1.1995
CNTD1	0.8035
COMMD1	0.641
NTRK2	2.78666666666667
FOXN3	-0.104625
MFGE8	-0.0691
PFKFB2	-0.285333333333333
TAS2R4	-0.013
ENTHD1	4.34366666666667
PRMT5	-0.25075
MGC16384	-0.995875
LOC442229	-1.917
TSKU	-0.29675
KRTCAP3	1.5195
PDLIM1	0.0286
KCNS2	0.179
RNF126	0.0495
CEP63	-0.097875
CLIC4	-0.538375
hCG_1990170	0.24225
ACR	1.188
KLK7	1.5275
ALOX5AP	1.567375
RIPK3	3.61625
TAS2R9	0.156
C19orf18	3.473
BIRC6	0.472642857142857
ZNF16	1.9115
RFT1	-0.80575
SLC8A2	-0.55475
TACC1	0.322
ITGAD	1.69475
SAMHD1	0.76
SH3PXD2B	1.4986
EPC2	0.90425
C20orf85	2.219375
ATP13A2	2.06216666666667
KRT4	0.0545
CAPNS1	2.25475
MDM2	-1.01591666666667
PCDH20	1.65325
KCNK9	0.0915
OR2C1	0.198
KLHDC3	-0.136666666666667
IPPK	0.659
EFHD2	0.273125
GALR3	-0.05825
NBEA	1.0365
ABCA6	2.341
CLDN3	1.70383333333333
AKT2	-0.736071428571429
EGFR	-2.3282
RBM16	0.7195
ZDHHC3	0.167
SLC25A4	-1.60083333333333
CYB5B	-0.515
CPXM1	0.557
NDRG1	-1.325
FLJ43826	0.849
OR5L2	0.7695
FARP2	0.0854
MRPL46	0.573083333333333
LDHAL6B	0.424333333333333
MAPKAPK3	0.129166666666667
NCAM2	-2.97275
PRKD2	-0.117166666666667
ZFP36L1	1.3695
CYSLTR1	-1.58725
OR4C3	0.15925
HIST1H2AJ	2.1945
CCNB2	-2.75
ZNF10	-0.05525
TMEM175	0.495
FAM134A	0.7
TIGD4	-0.8445
PCNP	-0.28175
MGC39715	0.349
LQK1	-1.5175
CREB1	1.3914
TMPRSS3	-0.9045
C4orf32	0.563625
LAT	-1.603
KCNA3	-0.039
SKIV2L2	-0.8535
ROPN1B	-1.78375
tcag7.23	2.262
CDT1	-2.781
ZHX2	1.60075
CD28	-4.00325
ZNF624	1.1065
SEPT2	-0.162666666666667
SOHLH2	-2.199875
MCOLN3	0.92825
UNQ1945	-0.141
MASP2	-1.5465
ZNRF3	0.7666
GPATCH3	-0.208
AGL	2.91
QRICH2	-0.2265
PSD4	1.95583333333333
CCNB1IP1	-1.85075
ENPP7	-0.142
OBFC1	-0.59875
KCNG3	-1.7115
C14orf79	0.982916666666667
ENPEP	1.90233333333333
SCT	0.109
SKI	0.988
SEC61G	-1.70825
CAPN11	0.96525
ATXN7L3	-0.6035
DBNDD1	-0.2335
FAIM	0.83525
ANKRD36	-0.697
GABRP	3.19633333333333
TACSTD2	3.418
EIF3J	-1.69775
PPP2R2A	-0.51025
TEKT4	-0.125166666666667
PVALB	0.639
F10	-2.4815
FAM134C	0.1277
COMP	3.82175
EFCBP1	-3.1558125
SCLT1	0.6205
TAL1	-1.4627
ACSL1	0.81975
ABCC5	1.22383333333333
ABL1	-0.895666666666667
RBBP7	-0.57175
PTPRG	-0.541375
NCOR1	0.234
SPINK4	-2.74416666666667
TXNRD1	-1.162
TNRC15	1.293875
C9orf138	0.73325
UBE2H	1.006
BRDT	2.75416666666667
C8orf31	0.29875
CCNE2	-0.845727272727273
SLC6A8	-1.863875
CALCR	-4.895
PPP1CB	0.65375
ABHD8	0.1565
ARF5	0.2859
SLC24A4	0.61075
CCT3	0.56125
ZNF121	0.773625
SLC3A2	-0.4263
OR13A1	0.162
SLC5A10	-0.7645
RAD50	0.084875
IER5	-0.47275
MTHFD1L	-2.476375
MBTPS2	0.339
MVK	0.33225
NCL	-0.6202
PSMD10	0.10325
MOBP	0.139
FLJ32894	-0.1645
HRH1	-0.381333333333333
C5orf30	1.84975
NUDT16L1	0.7338
RASGRP3	3.4185
PRKRIP1	-0.8206
CCDC75	0.139
LOC253970	0.056
KIAA1239	1.60825
MED21	-0.40975
SYT11	0.10175
NTSR2	0.8535
EGFL11	-0.1315
CXorf59	0.283
OR2A25	0.16825
SPTBN2	0.868
LRMP	-1.90383333333333
RNF111	-0.22925
PTH	-0.057
LOC619208	0.8485
KIAA0895	0.55475
RANBP5	-1.07275
P2RY10	0.488833333333333
NME5	0.165
DDX21	-1.389
LRSAM1	0.452
HDAC11	1.51816666666667
VMO1	0.79175
NOLA2	0.101333333333333
ADAR	1.07225
MTO1	-1.07033333333333
SF4	0.343333333333333
P2RX1	-0.3215
HBM	-0.1635
EN2	-0.4225
C14orf172	0.321
TM9SF2	1.2575
INHBE	-1.346
TCTE3	0.096
TOX2	-2.94225
CTAGE3	0.63825
HBB	3.1027
MED15	0.0565
CASR	-0.2835
C6orf66	-1.245
MTPN	0.265625
UNC50	-0.3205
C21orf33	-0.019625
IRF2	1.325875
PGR	2.716
GPR84	1.4375
CROCCL1	-2.21625
SRPX	-1.237
BRE	0.869333333333334
FGF10	1.74725
SDC3	1.769
ZRSR1	0.336833333333333
DKFZP434P211	0.236125
SOX6	-1.41
RPUSD2	-0.97875
C14orf173	-0.0196666666666666
MAPK11	-0.597666666666667
TBC1D22A	0.6795
FAM123A	-0.9285
COL4A6	-1.09016666666667
TOMM70A	0.74925
NAB1	-0.39925
MGC16385	-0.682125
TSPAN18	1.76916666666667
MED31	-1.441
PLG	-0.70575
CAPSL	2.7095
ZNF532	1.7819
ASB14	0.49125
CA8	-2.4035
NUDT16P	1.83333333333333
SLFN11	-1.7485
LRRIQ2	-0.12875
NOL7	-0.516833333333333
BRMS1L	-0.1415
JARID1A	0.408666666666667
PANK2	0.512
ICAM3	-0.68625
MDS1	-0.79425
TAF8	-0.09025
RNF139	0.98025
ZNF594	-0.624166666666667
ADAM8	0.39225
SFTPC	-0.1835
MAN2B2	1.56225
RGS12	0.711875
EIF1AY	-4.98575
LRRIQ1	-2.043
GPR150	0.022
CCDC21	-0.986666666666667
PRRG3	0.63475
SAA4	-3.9235
RAPGEF5	0.37825
ZCCHC2	1.22533333333333
MGC39372	1.1735
PPP4R2	0.998
CDCA2	-2.31033333333333
OR4D5	0.486166666666667
PTGFRN	1.0184
SIGLEC5	0.551
C19orf61	-1.09233333333333
NMUR2	-0.071
KIAA1586	-0.953666666666667
DAGLA	-0.143
CHCHD6	-0.76775
GPR32	0.688
NEUROD6	0.196833333333333
SLC2A4RG	1.9988125
CA5B	0.26975
FBXL3	1.40125
MPHOSPH9	-1.59625
HMG2L1	0.0805
HCN4	-0.2215
CEACAM19	-0.61025
SH2D4B	0.5865
HFE2	-1.2715
TGM4	0.139666666666667
LYPD2	-0.09825
TBC1D15	0.1465
MRPS21	-0.2417
NONO	-0.1132
CLEC5A	0.93475
ITCH	-0.0779
MGAT3	-0.886833333333333
MBP	-1.0685
RPP25	0.054
SOSTDC1	-0.718
HRC	0.15325
TRIM48	-0.471
TMEM133	-0.117
ECEL1P2	-1.887
HOXC11	0.8285
DOK5	-1.6065
HELZ	0.034
LOC348180	-1.32325
MGC33894	0.29275
ADRB3	0.06
DMD	-0.3245
PTRH2	-1.526
MPEG1	2.49816666666667
NDUFA12	-0.0461666666666667
KRTAP2-4	-0.441333333333333
STAMBPL1	-1.85833333333333
ADCY2	-0.351833333333333
UNQ6125	0.554
KLHL20	0.6755
SRM	-0.5635
OTC	0.15825
TMIE	0.051
SNX8	-0.40225
LIPK	0.374
CHURC1	0.244583333333333
KLC2	0.1585
HDAC1	0.281166666666667
FAM128A	0.4375
FNDC3B	-0.5968
MTCP1	-0.303666666666667
WFDC10B	-0.0214
PCDHGB3	1.8895
ATRNL1	-1.3275
CAV2	-0.656
MED26	0.277166666666667
DUS1L	-0.628
CHRM3	-1.12725
NEK9	0.621
WARS2	-0.453
TBX22	-0.5275
TOMM40	-0.88225
RP6-213H19.1	-1.03983333333333
TUBGCP5	-1.20725
IGSF6	4.37425
TPPP	2.00816666666667
UNQ6190	0.99
GSTM5	1.118375
BTD	-0.00933333333333333
PDCD1LG2	-0.257833333333333
SNRPB2	0.157833333333333
ERICH1	-0.03325
APOA4	-1.75575
HOXA11	-1.82375
NARG1	-0.9845
MKX	-0.90625
RAB28	-0.0927142857142857
PKP3	1.95575
SH3GL2	-2.5925
CTSO	3.59275
RPN2	0.7615
IL28RA	-0.629333333333333
SFMBT1	0.4605
WDR57	-0.218
FER1L3	0.903166666666667
HSF5	0.0445
TTC9B	-0.27925
C4BPA	-3.491
ALB	-4.35335714285714
SORBS3	0.61175
UPF2	1.8
JPH1	-0.3515
AGBL2	0.00375
DOPEY1	1.1025
TERF1	-0.6905
KIF22	-0.204
NINJ1	2.36175
SEC61A2	0.146916666666667
HIST1H1D	-0.191333333333333
SFXN4	-1.156
UCP3	0.1658
ZNF703	0.537833333333333
MYL6B	-0.94975
TREM1	1.012
OR52E6	0.4005
CKMT2	1.52725
HLA-C	2.005625
SLC13A3	-0.914833333333333
TIMP4	0.173
SLIT2	2.2495
RSF1	0.607333333333334
LONRF1	0.459
MON1A	-0.7475
CACNG6	2.26566666666667
DPPA4	-5.275
ZSWIM3	0.2155
ZNF804A	0.0431666666666667
CCIN	1.4455
SLC25A31	0.42425
KCNMB4	0.074
RABL5	0.21875
GALNS	-0.4889
STX6	0.619625
HIST1H1C	-0.843166666666667
CIDEB	-0.221
CASP4	-0.811333333333333
PDK3	-0.8071
KCNJ11	2.814
TPR	-0.486375
ZSCAN20	-0.241
MTX2	-0.1175
HIST1H2BH	0.19575
LOC283767	1.964
LYRM7	-1.41805555555556
BRD3	-0.430166666666667
HIST1H2BO	-0.2185
MAGEB10	0.1615
SLC45A1	1.329
SERPINA3	2.63215
KIAA0143	1.646
KCNJ16	-0.202166666666667
KRT79	0.1215
FABP2	-1.13
NUT	-0.02175
ZNF57	-0.0475
FBXL4	0.5875
CLEC9A	1.2205
UGT8	-1.46733333333333
BMP2K	1.105
MAPK4	-3.74575
SLC25A23	-0.3876
HINT1	-0.1008
KRTAP13-1	0.0115
SFXN5	0.991
CHCHD2	0.0915833333333333
FAM3D	1.516
NDP	-3.925875
RHOBTB1	0.8655
SLC4A4	-1.264625
RPL38	-0.78975
HTF9C	-0.487833333333333
AP2A2	1.06
ZBTB46	1.0125
MAP7D1	0.685
AOX1	-0.864666666666667
CYR61	1.09941666666667
DTNA	-0.0622142857142857
JRKL	-0.66575
TMOD3	-0.31125
EEA1	0.1169
ADCK5	0.4195
IL1R1	0.860833333333333
KLK3	0.861
HRSP12	-1.36275
KTN1	0.4275
LOH11CR2A	0.8304
RELL2	-1.23625
MAB21L1	1.54575
C20orf59	-0.628166666666667
PHKB	0.22225
ADAM2	-1.6375
TBC1D8B	0.545166666666667
FAM13A1	-0.9349375
LAPTM4B	-0.177
LCN8	-0.136
TMEM147	1.931
SYT4	0.5265
XPO7	-0.9955
C9orf62	0.02275
GPR75	1.174
TRIM5	1.08925
APOC1	-0.5285
RNASE4	0.299833333333333
PARD6B	-2.586875
ARID1A	0.789833333333333
TPD52L3	0.056
RRAGB	0.9615
RCN2	-0.381833333333333
HIST2H2BE	-0.0589375
STARD7	-0.2275
SHMT2	-1.03
KIAA1751	-0.2445
MLYCD	-0.308375
LOC162632	-0.6848
UQCRH	-1.17325
RP11-217H1.1	1.06875
SDHA	-1.56033333333333
NCLN	-0.3076
ZNF17	2.97116666666667
RCBTB2	-1.923
VEGFB	0.5239
RP4-747L4.3	0.7725
COLQ	0.5869
MPN2	-0.934
DRG2	0.0905
KLRB1	4.789
ALPK2	-3.26175
DNASE2B	0.35575
FLJ23834	1.85383333333333
AXUD1	1.6235
SAFB	0.2895
NSUN4	-0.4765
RFX2	1.03883333333333
MAPK8IP1	0.278
FANCD2	-1.26785714285714
ANKZF1	-1.62716666666667
C19orf50	-0.629875
DUSP8	1.914625
SENP5	-0.54475
NFKBIL2	-0.59325
LBR	-1.76225
IGFL1	0.539
LZTS2	0.626625
IL2RG	-0.5935
CCDC51	-0.0265
KLF3	0.703375
ANKRD37	-2.048
KCTD14	-0.5565
FZR1	0.87575
SLC44A4	2.9873
ESPL1	-1.421875
GMPR2	-0.6246
TBC1D19	-0.78
ERGIC1	0.470111111111111
ERBB4	3.6244
TSPAN32	0.0631666666666667
MAP4	0.25875
GPHN	-0.604
SLC6A2	-0.441
HIVEP1	0.7355
DFFB	-0.5221
EIF4EBP2	0.1005
DMRT1	-0.47675
HSPB6	-0.03625
IER2	0.730333333333333
AIFM1	0.054
WWC2	-0.36575
MRPL4	0.091
FLJ21062	0.995166666666667
EPB41L4A	1.73041666666667
SH2D6	0.13875
TAF4B	-0.07675
GAL3ST3	-0.196
MALT1	0.2535
RTDR1	-0.651
ARVCF	0.527
MEX3B	-0.105
FBXO16	-0.52675
KIF7	0.335
C1QC	3.54366666666667
ZNF783	0.314
ZNF85	1.29475
MMP13	2.094
KIAA0329	-0.0835
RTP3	-0.6975
ZBED3	-0.63175
CLGN	-1.17975
SLC25A37	-1.589625
hCG_18290	0.14075
OR5AS1	0.1295
SMARCC2	0.525
FAM109A	-0.0325
CCDC12	0.3625
USF2	1.9473
DEPDC7	-3.06925
C20orf24	-0.8555
JMJD3	1.333
DSP	1.11414285714286
SLIC1	0.358625
FAM20A	0.303875
IRF2BP2	0.9215
ZNF230	-0.0735
MSN	-0.286428571428571
SLC9A5	-1.7255
EPDR1	-2.6306
MUSK	0.3855
ZNF434	1.31533333333333
SMARCD1	-0.228833333333333
ZFP106	-0.70325
ZNF347	1.6056
GTF2E1	0.131
RY1	0.094
ATAD2B	0.00800000000000001
ARHGAP17	0.3579
