Hybridization REF	TCGA-AO-A12E-01A-11R-A10J-07
DKFZP434P211	-0.11375
SOX6	0.293
RPUSD2	-0.42575
C14orf173	-0.484083333333333
MAPK11	-0.598166666666667
TBC1D22A	0.215
FAM123A	-0.4405
COL4A6	-1.95433333333333
TOMM70A	0.06725
NAB1	-0.451875
MGC16385	-0.7335
TSPAN18	-0.0791666666666667
MED31	0.32
PLG	-0.358
CAPSL	4.023
ZNF532	0.5253
ASB14	-0.35625
CA8	1.1715
NUDT16P	1.929
SLFN11	-0.9775
LRRIQ2	0.322625
NOL7	-0.177833333333333
BRMS1L	-0.6765
JARID1A	0.408666666666667
PANK2	0.25625
ICAM3	-0.515
MDS1	0.695
TAF8	-0.11375
RNF139	0.358
ZNF594	-0.143833333333333
ADAM8	2.9145
SFTPC	-0.156375
MAN2B2	1.6615
RGS12	0.5276875
EIF1AY	-5.2105
LRRIQ1	-0.541
GPR150	0.603
CCDC21	-0.978833333333333
PRRG3	0.862
SAA4	-0.57
RAPGEF5	1.6255
ZCCHC2	-0.41525
MGC39372	0.7615
PPP4R2	0.2045
CDCA2	-1.38733333333333
OR4D5	0.431
PTGFRN	0.5817
SIGLEC5	0.5075
C19orf61	-0.254166666666667
NMUR2	0.504
KIAA1586	-0.496333333333333
DAGLA	0.2975
CHCHD6	0.0695
GPR32	0.283
NEUROD6	0.0333333333333333
SLC2A4RG	0.2883125
CA5B	0.48475
FBXL3	0.55725
MPHOSPH9	-0.52025
HMG2L1	-0.374
HCN4	0.5405
CEACAM19	0.28
SH2D4B	0.3055
HFE2	-0.5005
TGM4	0.125833333333333
LYPD2	0.127
TBC1D15	0.27525
MRPS21	-0.5909
NONO	-0.8047
CLEC5A	2.738
ITCH	0.1778
MGAT3	-0.661666666666667
MBP	-0.266125
RPP25	-0.2455
SOSTDC1	2.97475
HRC	-1.3045
TRIM48	-0.5155
TMEM133	0.3065
ECEL1P2	-0.82975
HOXC11	0.734
DOK5	1.0615
HELZ	0.705333333333333
LOC348180	-1.0645
MGC33894	0.10175
ADRB3	0.175
DMD	0.769333333333333
PTRH2	-0.42725
MPEG1	2.794
NDUFA12	0.170833333333333
KRTAP2-4	-0.0266666666666667
STAMBPL1	-0.832666666666667
ADCY2	0.0605
UNQ6125	0.1035
KLHL20	0.278166666666667
SRM	-1.1505
OTC	-0.021
TMIE	0.336833333333333
SNX8	-0.09875
LIPK	-0.0605
CHURC1	0.836833333333333
KLC2	0.0713333333333333
HDAC1	-0.186666666666667
FAM128A	0.8615
FNDC3B	-0.6777
MTCP1	-0.230166666666667
WFDC10B	0.3777
PCDHGB3	-0.0705
ATRNL1	-0.6136
CAV2	1.184875
MED26	-0.357666666666667
DUS1L	0.27925
CHRM3	-0.934875
NEK9	0.749
WARS2	0.322
TBX22	-0.721
TOMM40	-0.9105
RP6-213H19.1	-1.11233333333333
TUBGCP5	-0.39
IGSF6	4.742
TPPP	0.700666666666667
UNQ6190	0.3795
GSTM5	1.628125
BTD	0.5405
PDCD1LG2	0.208833333333333
SNRPB2	-0.394833333333333
ERICH1	0.23225
APOA4	-1.63875
HOXA11	-1.52033333333333
NARG1	-0.115625
MKX	-0.42275
RAB28	0.1365
PKP3	0.89575
SH3GL2	-2.525
CTSO	3.15125
RPN2	0.1925
IL28RA	1.08833333333333
SFMBT1	0.2965
WDR57	-0.434875
FER1L3	1.65283333333333
HSF5	0.165166666666667
TTC9B	0.718
C4BPA	-0.317333333333333
ALB	-4.049
SORBS3	0.25325
UPF2	0.139
JPH1	-0.4525
AGBL2	1.265
DOPEY1	1.6905
TERF1	-0.109583333333333
KIF22	-0.165666666666667
NINJ1	1.57325
SEC61A2	0.179666666666667
HIST1H1D	-0.967833333333333
SFXN4	-0.2815
UCP3	-0.0703
ZNF703	1.13066666666667
MYL6B	0.2225
TREM1	2.471
OR52E6	0.5045
CKMT2	3.1025
HLA-C	1.978125
SLC13A3	0.341333333333333
TIMP4	1.2975
SLIT2	2.51275
RSF1	0.181055555555556
LONRF1	-0.864
MON1A	-0.372666666666667
CACNG6	-1.921
DPPA4	-5.98216666666667
ZSWIM3	-0.49625
ZNF804A	0.3145
CCIN	0.76575
SLC25A31	0.031
KCNMB4	-1.44975
RABL5	1.008625
GALNS	0.0642
STX6	0.180375
HIST1H1C	-1.59233333333333
CIDEB	-0.58075
CASP4	0.298
PDK3	-0.1985
KCNJ11	1.4365
TPR	-0.322
ZSCAN20	-0.27
MTX2	-0.00925
HIST1H2BH	-0.762
LOC283767	1.32075
LYRM7	-0.790444444444445
BRD3	0.449
HIST1H2BO	-0.541
MAGEB10	0.2075
SLC45A1	0.792
SERPINA3	3.43325
KIAA0143	1.18275
KCNJ16	2.278
KRT79	0.01325
FABP2	-0.09225
NUT	-0.3085
ZNF57	-0.492
FBXL4	0.760875
CLEC9A	0.87
UGT8	-0.420333333333333
BMP2K	0.1485
MAPK4	-3.254
SLC25A23	-0.598
HINT1	0.2453
KRTAP13-1	0.6715
SFXN5	0.0377
CHCHD2	0.577166666666667
FAM3D	2.6215
NDP	-3.49625
RHOBTB1	-0.782333333333333
SLC4A4	-0.155375
RPL38	0.374
HTF9C	-0.863666666666667
AP2A2	0.411375
ZBTB46	-0.276
MAP7D1	0.4075
AOX1	-0.534
CYR61	1.66933333333333
DTNA	0.113142857142857
JRKL	-0.427
TMOD3	-0.059
EEA1	0.359
ADCK5	-0.46375
IL1R1	1.75683333333333
KLK3	0.717571428571429
HRSP12	0.16425
KTN1	-0.16875
LOH11CR2A	0.8815
RELL2	-0.10625
MAB21L1	1.508
C20orf59	-0.816833333333333
PHKB	-0.93575
ADAM2	-1.14833333333333
TBC1D8B	0.716333333333333
FAM13A1	-0.2984375
LAPTM4B	-1.44133333333333
LCN8	0.059
TMEM147	0.4165
SYT4	-0.326666666666667
XPO7	-0.7595
C9orf62	0.4125
GPR75	0.429
TRIM5	1.222875
APOC1	0.2965
RNASE4	1.225
PARD6B	0.31425
ARID1A	0.0870833333333334
TPD52L3	0.1234
RRAGB	0.919333333333333
RCN2	-0.761166666666667
HIST2H2BE	-0.3741875
STARD7	-0.63175
SHMT2	-1.0775
KIAA1751	0.0385
MLYCD	0.2365
LOC162632	-0.5439
UQCRH	-1.1745
RP11-217H1.1	0.1463125
SDHA	-0.6445
NCLN	-0.4803
ZNF17	0.221
RCBTB2	-1.459
VEGFB	-0.1328
RP4-747L4.3	0.1225
COLQ	0.3502
MPN2	-0.698
DRG2	0.1735
KLRB1	3.0095
ALPK2	-4.0375
DNASE2B	0.65425
FLJ23834	0.0725
AXUD1	2.22966666666667
SAFB	-0.3138
NSUN4	-0.0485
RFX2	0.659
MAPK8IP1	-0.643666666666667
FANCD2	-1.35742857142857
ANKZF1	-1.46766666666667
C19orf50	-0.212875
DUSP8	0.717
SENP5	-0.127
NFKBIL2	-0.327
LBR	-1.087375
IGFL1	-0.2465
LZTS2	0.1005
IL2RG	-1.412375
CCDC51	0.47175
KLF3	0.302875
ANKRD37	-0.83925
KCTD14	0.716166666666667
FZR1	0.137166666666667
SLC44A4	3.9489
ESPL1	-0.50725
GMPR2	-0.0981
TBC1D19	-0.549166666666667
ERGIC1	1.12755555555556
ERBB4	2.3652
TSPAN32	0.443833333333333
MAP4	-0.098625
GPHN	-0.68225
SLC6A2	0.402
HIVEP1	0.338
DFFB	-0.3745
EIF4EBP2	0.388375
DMRT1	0.22225
HSPB6	0.294
IER2	0.383166666666667
AIFM1	0.0895
WWC2	-0.588
MRPL4	-0.5495
FLJ21062	1.33816666666667
EPB41L4A	1.36008333333333
SH2D6	0.2095
TAF4B	-0.88525
GAL3ST3	-0.4225
MALT1	-1.34983333333333
RTDR1	1.10975
ARVCF	-0.025875
MEX3B	-2.08816666666667
FBXO16	1.17925
KIF7	-1.7815
C1QC	3.707
ZNF783	-0.6445
ZNF85	-0.1405
MMP13	1.102
KIAA0329	0.78175
RTP3	-0.28
ZBED3	-0.162
CLGN	0.4445
SLC25A37	-0.892541666666667
hCG_18290	-0.2755
OR5AS1	0.172
SMARCC2	0.659
FAM109A	-0.329333333333333
CCDC12	0.14475
USF2	0.4276
DEPDC7	-2.611
C20orf24	-0.229333333333333
JMJD3	0.3715
DSP	1.02171428571429
SLIC1	0.225625
FAM20A	1.5685
IRF2BP2	1.08325
ZNF230	-0.5475
MSN	-0.522
SLC9A5	-1.959
EPDR1	-1.5632
MUSK	0.00999999999999998
ZNF434	0.4345
SMARCD1	0.0635
ZFP106	-0.30775
ZNF347	-0.2323
GTF2E1	0.27725
RY1	-0.015
ATAD2B	-0.10075
