Hybridization REF	TCGA-AO-A12D-01A-11R-A115-07
KRT15	1.489375
C10orf99	-0.027
SCN11A	0.143375
GFI1	-0.5905
RDHE2	6.28083333333333
FHL1	-1.16216666666667
OSGEP	-0.0143333333333333
GATA1	-3.91683333333333
SMC6	0.04875
TTTY14	-0.9705
LPIN3	-0.45475
RPL4	-0.7123
RBPMS	-0.5434
PRPF3	-0.226
EMR1	-2.0465
SPATA19	0.093
XCR1	0.267
IRX3	2.6648
RBM6	0.44325
KLF4	0.7964
UNC5CL	0.2315
SEBOX	0.0835
BTK	1.0755
KRCC1	1.91975
C6orf27	0.1015
SYTL5	-0.429
PRND	0.587375
LOC653319	-1.4355
PIGL	-1.840625
HUS1	0.503666666666667
SFRS6	1.346
C17orf77	0.2495
UIMC1	-0.0963333333333333
FXYD2	-1.799
LOC283152	-0.03325
ZNF667	0.437
ZCCHC12	0.7555
TFEC	4.9323
ATP7B	0.546166666666667
POLD2	-1.10433333333333
RG9MTD1	0.2135
ACOT2	-0.1545
HIST1H4I	-0.43175
PPARGC1A	-0.9068
ETFA	0.0363
POLRMT	-1.16375
ZNF146	1.480625
MIA2	-2.5715
KLHL6	0.7615
HOXB5	-1.01275
NENF	0.814833333333333
CUGBP1	-0.40025
PRSS22	1.01833333333333
CASC4	-0.2391
CUL4B	0.1932
CENPJ	-0.939
PITX1	0.481
FLJ31033	0.914
CELSR3	-1.76216666666667
ZNF568	0.85525
ITSN1	-0.693583333333333
EHBP1L1	-0.894333333333333
C19orf2	0.8035
DCTN1	-0.2205
LIN28B	-5.0645
TNKS2	0.70575
C1QBP	0.237125
CADPS2	2.76975
SRMS	0.3555
GJA9	0.333666666666667
MGC24975	-1.09816666666667
TRIM45	-1.14
TSP50	-0.39475
TCP1	-0.43025
TMED7	-0.5387
CMA1	-0.3685
CENPL	-0.5295
PTCRA	0.0515
FST	-2.79525
VWCE	-3.6565
PAWR	-0.7585
ABCC12	4.16533333333333
LDLR	-1.0719
ASTN2	0.1362
LOC441212	-1.15
GPATCH8	-0.17175
TANC2	-0.73675
KIF4A	-1.05925
C18orf18	-1.68175
PGM1	-0.72925
KIAA0258	-0.535
CPD	1.47625
SNCAIP	-1.31475
DCT	-4.27766666666667
HLA-DOA	3.32195454545455
OR11L1	0.3375
UPK1B	-0.0283333333333332
DNAJB4	0.241375
UGT1A8	-0.0445
HIST1H4L	-2.743
PECR	-0.985666666666667
HSPA2	2.1245
WFIKKN1	-3.117
SERP1	1.942125
SYDE2	0.75675
TACR2	-0.0545
NUP85	-1.29525
CD177	0.2655
LGR5	-1.39216666666667
PIGG	-1.11408333333333
PTHR1	-1.85066666666667
RAB5A	1.2051
FLJ13224	0.3455
USP9Y	-1.5904
C7orf53	-0.1455
LRP1B	-1.81125
XAF1	3.1535
ABCG8	-0.026
ANKDD1A	-0.335666666666667
DAND5	-1.3995
SPAG6	0.360333333333333
LINCR	0.52075
ZDHHC22	-1.387625
CCDC60	0.866
THOC7	-0.208166666666667
TCTA	1.0446
OR8K3	0.3515
NY-REN-7	-0.52275
B2M	3.30583333333333
C6orf141	-2.280375
LPPR4	2.2825
SQLE	-0.2355
SEPHS1	-0.0325
BTBD14B	0.155714285714286
PLRG1	-0.2415
SPG7	-0.59225
ZNF614	-0.063
PARD6G	0.0671666666666667
INPP5B	-0.4738
GRPEL2	-0.16675
PPID	-0.1998
TRIM56	-0.93175
UBE2J1	1.22175
IL20RA	4.52825
LOC387856	-0.12175
C1orf107	2.15725
UTS2R	-1.528
C19orf22	0.61925
SAFB2	-1.153625
KIAA0652	0.0585
KLRG1	0.0451666666666667
MS4A8B	0.852333333333333
FRAG1	1.003
KIAA1546	0.85425
E2F4	-0.8711
CLEC4M	0.609
BTBD14A	-1.52925
KIAA0999	0.1605
GYPA	-3.54733333333333
TAC1	0.6585
TRAIP	-1.28416666666667
KIAA0232	0.681
ERCC8	-0.444125
GPX4	0.043875
KIAA0368	0.484625
GPR157	-0.899333333333333
CTAGE4	2.3695
C9orf30	-0.4615
OR52A1	0.1275
HSP90B3P	1.5505
ALG9	-0.2792
BTBD10	0.96225
SDK2	0.49525
BAIAP3	-0.7295
RABGGTB	-0.4015
ANKRD40	-0.555
KRT74	0.5775
CALCOCO2	0.341071428571428
SNCA	-3.32275
TMSL8	-1.118625
C2orf53	0.8295
ESRRB	-0.0725
ARHGAP26	0.2725
TDRD9	-2.291
HRAS	-0.758666666666667
KLRC4	-1.104
JAGN1	-0.092
BSDC1	0.13925
RNF43	-0.3873
NDUFAF1	0.9605
PHF12	0.93125
OR1L3	-0.377
FOLR2	2.6695
LYZL6	-0.0156
tcag7.1260	1.117
WSB1	-1.3505
PROS1	-1.2911
OSTN	0.6675
PSMB8	1.78175
SOCS4	0.5255
DDIT4L	1.6415
MAS1	0.104
MGC34796	1.45775
CSHL1	0.204
TBCCD1	1.17033333333333
ZBTB7C	-0.18
AP2S1	-0.00537500000000001
P15RS	0.1004
VAT1	-1.131
SHANK3	0.424
TUFM	-0.852833333333333
THEG	-0.06025
KRT34	-1.64975
SGSM3	1.940625
TOMM22	-1.114625
SOCS3	0.597166666666667
CPO	1.5275
POP4	0.69975
BHLHB3	2.328
MALL	3.1535
OR1B1	0.581
PARK2	1.32216666666667
GPR124	1.36275
LCE1E	-0.00650000000000001
RUVBL2	-0.84675
CGRRF1	0.8766
ACPL2	1.4375
WNT10B	-0.512625
BAIAP2L2	-2.15675
ISCA1	0.9605
C1orf125	0.201875
RPAP1	-0.61375
RAI16	0.361333333333333
RPL27	-1.296875
NLRP9	0.688
EPN1	0.4595
LOC388610	-2.39975
SLC35A1	0.9247
GAL	-3.0755
SLC14A2	0.21
RDH11	-1.05783333333333
FAM138F	-0.465
AUH	0.81525
FLJ40243	-0.1045
C14orf129	0.901833333333333
MBD2	-0.115166666666667
ABHD14B	0.383375
PIGT	-0.4185
ALS2CR4	0.186125
ALAS1	0.0348
FOXO1	1.3475
CRLF3	-0.02625
C20orf107	0.696
FARS2	0.7465
CCDC28A	0.2445
NPHP3	-0.09025
OR13F1	0.3855
TSEN54	-1.396
DEFB106B	0.101888888888889
OR8B4	0.977
STH	0.14625
ZC3H14	-0.189875
CBX2	-0.41
TMEM49	-0.687
C6orf21	0.3115
FLJ20920	-0.008
CRTAP	0.272857142857143
DDX50	0.0435
STYXL1	1.7555
BLVRB	0.278333333333333
LOC147650	-0.331166666666667
MMP24	-0.1795
GRID1	2.62366666666667
BANF1	0.305
CTAGEP	1.2735
HMBS	-2.06475
SLC25A24	0.445
C14orf50	-0.209
MRO	0.835
SLC25A15	0.3835
FAM84B	1.2297
TDP1	-0.9695
C16orf78	0.0878333333333333
C11orf57	-0.553
RFK	-0.225875
ZFYVE9	-1.098
STCH	0.4056
WIBG	0.13125
LOC283871	-0.645666666666667
GBA2	-0.711
NDUFB3	-0.57225
HSD17B13	-0.44625
GRIN3A	2.17566666666667
FMNL1	0.159333333333333
SEPT7	-0.392
GNLY	4.475
GRAMD1C	0.3645
ZNF165	0.11
USP38	1.96275
FAM83A	-4.27316666666667
C14orf24	0.702166666666667
ARMCX3	1.571625
ARHGDIB	1.00383333333333
AK1	-0.299625
KIAA1045	0.23275
DNAJB13	-0.0075
NEU2	0.924
HIST1H4B	-1.38733333333333
FAM20B	-0.1066
HES2	1.31507142857143
FAM73B	-0.6567
LOC388381	0.45725
INTS7	-0.0296363636363636
AMPH	1.50675
ZNF775	-1.3345
UCKL1	-0.852666666666667
C10orf97	0.7005
C1orf161	0.01225
ALDH1L1	-1.82825
FLJ39378	-0.18175
SLC23A1	-1.3265
RBM4B	0.33
THAP4	-0.145833333333333
OGFRL1	1.01475
KIAA0831	0.212125
PPP1R15A	0.1595
C1orf96	0.585642857142857
C12orf11	-0.723
BMF	0.65175
MAN1A1	-0.123875
KIAA1600	1.06966666666667
NLGN4X	-1.1125
ALOX12	-0.676833333333333
RB1CC1	0.8906
NEIL2	-0.1772
EIF4E	1.24004545454545
ABHD5	0.95725
EXOC4	-0.519166666666667
CIP29	0.621333333333333
BATF2	1.83425
SLC29A4	0.14075
HTR4	0.4085
EMB	0.01225
TRAF6	0.98825
LMNB1	-3.07425
FAM19A5	-0.488875
SHE	2.60275
PIK3C2B	2.54225
C15orf15	0.5268
USP15	0.1243
TCEAL2	0.4615
C5orf39	-0.546333333333333
PTGER2	0.72525
SLC31A1	6.25000000000053e-05
IFT172	0.962
ADAM29	0.4975
GFOD1	-0.0075
ST7L	0.750666666666667
C15orf26	-2.6015
PKN3	-2.24425
CNTD1	2.69733333333333
COMMD1	-0.158125
NTRK2	2.07263636363636
FOXN3	0.455625
MFGE8	-0.2643
PFKFB2	1.73866666666667
TAS2R4	-1.26766666666667
ENTHD1	0.631
PRMT5	-0.79725
MGC16384	-1.764625
LOC442229	-0.44225
TSKU	0.4115
KRTCAP3	1.9095
PDLIM1	0.9431
KCNS2	0.1335
RNF126	-1.12333333333333
CEP63	-0.14675
CLIC4	1.682
hCG_1990170	-0.866
ACR	0.7647
KLK7	4.87375
ALOX5AP	3.262375
RIPK3	3.73075
TAS2R9	0.019
C19orf18	1.769
BIRC6	1.01942857142857
ZNF16	1.714
RFT1	-0.4715
SLC8A2	0.56225
TACC1	-0.03275
ITGAD	1.69333333333333
SAMHD1	2.63125
SH3PXD2B	0.5975
EPC2	0.5905
C20orf85	0.0435714285714286
ATP13A2	-0.07
KRT4	1.70275
CAPNS1	-0.2435
MDM2	-1.449
PCDH20	4.943
KCNK9	0.6785
OR2C1	-0.0535
KLHDC3	-0.7465
IPPK	0.868
EFHD2	-0.793
GALR3	-1.77975
NBEA	-1.33633333333333
ABCA6	3.5463
CLDN3	1.596
AKT2	-0.336714285714286
EGFR	0.1276
RBM16	-0.005625
ZDHHC3	0.1452
SLC25A4	-0.921
CYB5B	-0.735666666666667
CPXM1	0.2
NDRG1	0.117307692307692
FLJ43826	0.70025
OR5L2	-0.0881666666666666
FARP2	0.0616
MRPL46	-0.932666666666667
LDHAL6B	0.1838
MAPKAPK3	-0.549333333333333
NCAM2	-2.33125
PRKD2	0.310833333333333
ZFP36L1	1.5882
CYSLTR1	1.23775
OR4C3	0.05275
HIST1H2AJ	-0.093
CCNB2	-2.21
ZNF10	0.714375
TMEM175	0.1435
FAM134A	-0.0343333333333333
TIGD4	-0.9665
PCNP	0.34125
MGC39715	1.163
LQK1	-1.21525
CREB1	0.65
TMPRSS3	0.3915
C4orf32	-0.121625
LAT	-0.606416666666667
KCNA3	-0.0895
SKIV2L2	-0.008
ROPN1B	-0.6885
tcag7.23	-0.264
CDT1	-3.740125
ZHX2	1.38575
CD28	-1.08175
ZNF624	1.5955
SEPT2	0.808916666666667
SOHLH2	-0.236625
MCOLN3	0.011
UNQ1945	0.5115
MASP2	-1.117
ZNRF3	-1.0981
GPATCH3	-0.647
AGL	1.196875
QRICH2	-0.123
PSD4	1.16166666666667
CCNB1IP1	-1.57325
ENPP7	0.29925
OBFC1	-0.055
KCNG3	-2.288
C14orf79	0.315416666666667
ENPEP	3.66333333333333
SCT	1.6825
SKI	-0.355375
SEC61G	-0.1025
CAPN11	0.229
ATXN7L3	0.06475
DBNDD1	1.43583333333333
FAIM	0.708
ANKRD36	-1.907
GABRP	0.342166666666667
TACSTD2	2.54333333333333
EIF3J	-0.4295
PPP2R2A	-0.271
TEKT4	-0.923666666666667
PVALB	-3.312
F10	-2.3435
FAM134C	0.5634
COMP	4.885375
EFCBP1	-2.859875
SCLT1	-1.1825
TAL1	-1.3714
ACSL1	2.77425
ABCC5	-1.61691666666667
ABL1	-0.720444444444444
RBBP7	0.62775
PTPRG	-0.9105
NCOR1	-0.3867
SPINK4	-2.01783333333333
TXNRD1	-1.6424
TNRC15	-0.4645
C9orf138	2.378875
UBE2H	0.251166666666667
BRDT	0.360333333333333
C8orf31	0.18275
CCNE2	0.414636363636364
SLC6A8	-1.96625
CALCR	-3.292
PPP1CB	1.5945
ABHD8	0.091
ARF5	-0.0952
SLC24A4	1.25775
CCT3	0.30275
ZNF121	0.380625
SLC3A2	-1.0509
OR13A1	0.13
SLC5A10	0.43175
RAD50	0.471875
IER5	-1.335625
MTHFD1L	-1.835875
MBTPS2	0.4925
MVK	-0.50075
NCL	0.0521
PSMD10	0.629
MOBP	0.489625
FLJ32894	-0.254
HRH1	0.143833333333333
C5orf30	0.097
NUDT16L1	-0.6575
RASGRP3	4.55916666666667
PRKRIP1	-1.0076
CCDC75	-0.7195
LOC253970	0.005
KIAA1239	0.01275
MED21	-1.608
SYT11	0.353583333333333
NTSR2	-0.6125
EGFL11	0.6355
CXorf59	1.41
OR2A25	0.3235
SPTBN2	0.428
LRMP	-0.402
RNF111	0.49675
PTH	-0.9795
LOC619208	0.815333333333333
KIAA0895	1.5605
RANBP5	-0.11625
P2RY10	2.60016666666667
NME5	0.2045
DDX21	-0.89275
LRSAM1	-0.2655
HDAC11	0.4955
VMO1	1.671
NOLA2	-0.812333333333333
ADAR	0.496
MTO1	-0.867166666666667
SF4	0.376833333333333
P2RX1	0.488333333333333
HBM	-0.0595
EN2	-0.551
C14orf172	-0.0345
TM9SF2	1.9618
INHBE	-0.966666666666667
TCTE3	-0.422
TOX2	-1.92875
CTAGE3	0.529875
HBB	3.0115
MED15	-0.363666666666667
CASR	-0.1085
C6orf66	-0.875833333333333
MTPN	-1.0685
UNC50	-0.44875
C21orf33	0.356375
IRF2	0.673875
PGR	-1.8635
GPR84	2.3265
CROCCL1	-2.27725
SRPX	-1.66825
BRE	1.066
FGF10	1.1835
SDC3	-0.460166666666667
ZRSR1	0.0448333333333333
DKFZP434P211	-0.406625
SOX6	-2.4155
RPUSD2	-0.9625
C14orf173	0.268916666666667
MAPK11	-0.200333333333333
TBC1D22A	0.182
FAM123A	-0.5115
COL4A6	-3.23933333333333
TOMM70A	1.15875
NAB1	0.28675
MGC16385	-0.00537499999999999
TSPAN18	-1.0815
MED31	-0.813
PLG	-0.46275
CAPSL	1.069
ZNF532	1.8239
ASB14	0.08625
CA8	1.71675
NUDT16P	0.503166666666667
SLFN11	0.229
LRRIQ2	-1.00925
NOL7	-0.275833333333333
BRMS1L	0.4015
JARID1A	-0.872333333333333
PANK2	-0.8825
ICAM3	0.082
MDS1	-0.765333333333333
TAF8	-0.7425
RNF139	1.1765
ZNF594	-0.601666666666667
ADAM8	1.70825
SFTPC	0.0305
MAN2B2	1.277875
RGS12	-0.518
EIF1AY	-5.53208333333333
LRRIQ1	-0.166333333333333
GPR150	-2.46725
CCDC21	-1.124
PRRG3	-0.04875
SAA4	-1.8805
RAPGEF5	-0.0753749999999999
ZCCHC2	-0.841333333333333
MGC39372	0.2045
PPP4R2	0.411833333333333
CDCA2	-1.96366666666667
OR4D5	0.153166666666667
PTGFRN	1.2879
SIGLEC5	2.75716666666667
C19orf61	-0.0263333333333333
NMUR2	0.718
KIAA1586	-1.72166666666667
DAGLA	-1.6205
CHCHD6	-0.20925
GPR32	0.957
NEUROD6	0.348833333333333
SLC2A4RG	0.4898125
CA5B	0.45175
FBXL3	2.1585
MPHOSPH9	-1.098
HMG2L1	0.82775
HCN4	-2.2295
CEACAM19	0.944
SH2D4B	0.758166666666667
HFE2	-0.925
TGM4	-0.1292
LYPD2	-0.402666666666667
TBC1D15	0.56
MRPS21	0.418
NONO	-1.515
CLEC5A	2.498625
ITCH	0.0649
MGAT3	-0.65
MBP	-0.305875
RPP25	-0.87525
SOSTDC1	-0.90725
HRC	-1.34425
TRIM48	0.654
TMEM133	1.14225
ECEL1P2	-0.8345
HOXC11	1.409
DOK5	-0.231
HELZ	-1.55283333333333
LOC348180	-1.24525
MGC33894	0.06575
ADRB3	0.2
DMD	-0.345416666666667
PTRH2	-1.07975
MPEG1	3.483
NDUFA12	-0.124666666666667
KRTAP2-4	0.0415
STAMBPL1	-0.4485
ADCY2	3.14166666666667
UNQ6125	-0.8885
KLHL20	-0.107666666666667
SRM	-1.56325
OTC	-0.0845
TMIE	-0.146333333333333
SNX8	-0.4705
LIPK	1.5815
CHURC1	-0.0768333333333333
KLC2	0.268333333333333
HDAC1	-1.308
FAM128A	-1.44633333333333
FNDC3B	0.6606
MTCP1	-0.383833333333333
WFDC10B	0.981
PCDHGB3	-0.8775
ATRNL1	-3.04377777777778
CAV2	0.15275
MED26	-0.0506666666666667
DUS1L	-0.31375
CHRM3	-1.799
NEK9	0.24225
WARS2	-0.9725
TBX22	-0.6945
TOMM40	-1.03125
RP6-213H19.1	0.514666666666667
TUBGCP5	-0.5165
IGSF6	4.93375
TPPP	0.556333333333333
UNQ6190	-0.2285
GSTM5	1.599625
BTD	0.969166666666667
PDCD1LG2	1.97466666666667
SNRPB2	-0.412666666666667
ERICH1	-0.916
APOA4	-1.316
HOXA11	-0.954
NARG1	-0.077625
MKX	0.13325
RAB28	0.293428571428572
PKP3	0.99825
SH3GL2	0.24975
CTSO	3.298
RPN2	0.82625
IL28RA	-0.385166666666667
SFMBT1	0.1285
WDR57	-0.768875
FER1L3	0.111416666666667
HSF5	0.425166666666667
TTC9B	-0.2005
C4BPA	-2.771
ALB	-4.53192857142857
SORBS3	-0.542875
UPF2	-0.2485
JPH1	-0.316
AGBL2	-0.33725
DOPEY1	1.36
TERF1	0.479333333333333
KIF22	-1.29766666666667
NINJ1	-0.16625
SEC61A2	-0.546833333333333
HIST1H1D	-0.517666666666667
SFXN4	-0.12925
UCP3	0.608
ZNF703	-0.0841666666666667
MYL6B	-1.04175
TREM1	2.621
OR52E6	0.375
CKMT2	0.87075
HLA-C	3.43925
SLC13A3	-0.0483333333333333
TIMP4	-3.4575
SLIT2	1.3675
RSF1	0.143888888888889
LONRF1	-0.709928571428571
MON1A	0.0035
CACNG6	-1.9105
DPPA4	-5.98933333333333
ZSWIM3	-0.21275
ZNF804A	0.542666666666667
CCIN	1.65875
SLC25A31	0.29025
KCNMB4	-0.71425
RABL5	0.19275
GALNS	-0.4104
STX6	0.72225
HIST1H1C	0.575666666666667
CIDEB	0.205375
CASP4	1.46566666666667
PDK3	-0.0724
KCNJ11	0.1525
TPR	-0.00374999999999998
ZSCAN20	-1.175
MTX2	0.3185
HIST1H2BH	0.66625
LOC283767	1.75075
LYRM7	-0.0160555555555556
BRD3	-0.819166666666667
HIST1H2BO	0.6475
MAGEB10	0.009
SLC45A1	0.128
SERPINA3	-2.5491
KIAA0143	2.60975
KCNJ16	-1.5366
KRT79	0.86325
FABP2	-0.83
NUT	-0.94625
ZNF57	-0.119
FBXL4	0.100875
CLEC9A	1.919
UGT8	-1.45983333333333
BMP2K	0.50625
MAPK4	-3.37325
SLC25A23	-0.9239
HINT1	-0.5673
KRTAP13-1	0.422
SFXN5	-0.2218
CHCHD2	0.0770833333333333
FAM3D	3.8385
NDP	-3.9125
RHOBTB1	-0.887
SLC4A4	-1.63225
RPL38	-0.34825
HTF9C	-0.6025
AP2A2	0.366625
ZBTB46	-0.4245
MAP7D1	0.478875
AOX1	-1.11366666666667
CYR61	1.99216666666667
DTNA	-0.501928571428571
JRKL	1.44275
TMOD3	-0.67725
EEA1	0.3432
ADCK5	0.36075
IL1R1	4.15683333333333
KLK3	0.0182857142857143
HRSP12	0.5615
KTN1	0.39675
LOH11CR2A	1.5684
RELL2	-0.23375
MAB21L1	1.59325
C20orf59	-0.864666666666667
PHKB	1.343
ADAM2	-1.70016666666667
TBC1D8B	2.27216666666667
FAM13A1	-0.519875
LAPTM4B	1.15458333333333
LCN8	-0.1145
TMEM147	0.295
SYT4	0.246333333333333
XPO7	-1.2785
C9orf62	-2.326
GPR75	-0.00799999999999995
TRIM5	1.643
APOC1	1.58033333333333
RNASE4	0.962666666666667
PARD6B	-3.1655
ARID1A	0.640416666666667
TPD52L3	0.2904
RRAGB	1.99683333333333
RCN2	-0.187666666666667
HIST2H2BE	0.7709375
STARD7	0.0535
SHMT2	-0.8545
KIAA1751	0.222166666666667
MLYCD	-0.19175
LOC162632	-0.0429
UQCRH	-0.90525
RP11-217H1.1	1.0725
SDHA	-1.15533333333333
NCLN	-0.7842
ZNF17	0.661833333333333
RCBTB2	-0.614
VEGFB	-0.5457
RP4-747L4.3	-2.79275
COLQ	0.9527
MPN2	-0.0996666666666667
DRG2	-0.94025
KLRB1	5.78725
ALPK2	-0.7485
DNASE2B	3.918
FLJ23834	-0.946333333333333
AXUD1	0.890666666666667
SAFB	-1.1115
NSUN4	-0.626
RFX2	-0.374333333333333
MAPK8IP1	-0.429
FANCD2	-0.00778571428571438
ANKZF1	-1.61533333333333
C19orf50	0.205625
DUSP8	0.262
SENP5	0.15125
NFKBIL2	-0.495
LBR	-0.633625
IGFL1	0.806
LZTS2	-0.872
IL2RG	0.990375
CCDC51	-0.3095
KLF3	0.86425
ANKRD37	-1.68725
KCTD14	-1.43466666666667
FZR1	-0.580083333333333
SLC44A4	3.4896
ESPL1	-1.4
GMPR2	-0.218
TBC1D19	-0.394666666666667
ERGIC1	0.59962962962963
ERBB4	1.2115
TSPAN32	1.18975
MAP4	0.235375
GPHN	0.14075
SLC6A2	0.6
HIVEP1	1.267
DFFB	-0.6596
EIF4EBP2	0.23575
DMRT1	0.11825
HSPB6	-0.12775
IER2	0.654333333333333
AIFM1	0.5475
WWC2	-0.311166666666667
MRPL4	-0.84475
FLJ21062	1.4555
EPB41L4A	1.53733333333333
SH2D6	-0.2865
TAF4B	-0.8575
GAL3ST3	-0.0395
MALT1	-0.4215
RTDR1	0.212
ARVCF	0.153875
MEX3B	0.205333333333333
FBXO16	0.5415
KIF7	-0.8715
C1QC	4.4955
ZNF783	-1.40466666666667
ZNF85	0.381
MMP13	5.74
KIAA0329	0.4575
RTP3	-0.2615
ZBED3	-1.8205
CLGN	2.876
SLC25A37	-0.758125
hCG_18290	-0.506
OR5AS1	-0.4475
SMARCC2	-0.332416666666667
FAM109A	-0.108166666666667
CCDC12	0.06725
USF2	0.8183
DEPDC7	-0.9
C20orf24	-1.186
JMJD3	0.6565
DSP	1.59821428571429
SLIC1	0.572375
FAM20A	1.654875
IRF2BP2	0.539
