Hybridization REF	TCGA-AN-A046-01A-21R-A034-07
OSGEP	-0.327666666666667
GATA1	-3.58133333333333
SMC6	-1.07975
TTTY14	-0.80275
LPIN3	-0.149
RPL4	0.1458
RBPMS	0.6476
PRPF3	-0.431833333333333
EMR1	-2.3505
SPATA19	0.49825
XCR1	0.8375
IRX3	2.2497
RBM6	-0.32975
KLF4	0.2142
UNC5CL	-1.48625
SEBOX	-0.582
BTK	-0.1685
KRCC1	0.503
C6orf27	0.7295
SYTL5	-0.493
PRND	1.306125
LOC653319	-1.5455
PIGL	-1.764875
HUS1	-0.018
SFRS6	-0.36525
C17orf77	0.0955
UIMC1	-0.549833333333333
FXYD2	-1.679
LOC283152	1.5025
ZNF667	1.06375
ZCCHC12	-1.29925
TFEC	3.5974
ATP7B	-1.132
POLD2	-0.483666666666667
RG9MTD1	0.3685
ACOT2	1.428
HIST1H4I	-0.863571428571429
PPARGC1A	-2.7862
ETFA	-1.7376
POLRMT	-0.2255
ZNF146	0.0745
MIA2	-2.4175
KLHL6	0.0015
HOXB5	-1.442
NENF	1.09583333333333
CUGBP1	0.02825
PRSS22	0.890166666666667
CASC4	0.8338
CUL4B	0.12
CENPJ	-1.6909
PITX1	1.82966666666667
FLJ31033	0.823
CELSR3	0.150833333333333
ZNF568	1.04875
ITSN1	-0.07975
EHBP1L1	-0.767833333333333
C19orf2	0.23725
DCTN1	0.42975
LIN28B	-4.078
TNKS2	-0.06725
C1QBP	-1.489375
CADPS2	-0.717
SRMS	0.40525
GJA9	0.243666666666667
MGC24975	-1.16516666666667
TRIM45	-0.674166666666667
TSP50	-0.74625
TCP1	-1.16075
TMED7	0.2341
CMA1	0.234
CENPL	-1.7855
PTCRA	0.5905
FST	-3.694
VWCE	-3.77025
PAWR	-2.2875
ABCC12	2.71633333333333
LDLR	-0.9029
ASTN2	1.5134
LOC441212	-1.46025
GPATCH8	0.0415
TANC2	-1.29441666666667
KIF4A	-1.85
C18orf18	-3.2025
PGM1	-1.856
KIAA0258	0.2395
CPD	-1.02025
SNCAIP	-1.56425
DCT	-4.605
HLA-DOA	3.20018181818182
OR11L1	0.5475
UPK1B	-0.1018
DNAJB4	-0.55475
UGT1A8	-0.151
HIST1H4L	-1.7085
PECR	-1.28983333333333
HSPA2	1.86875
WFIKKN1	-3.226
SERP1	0.86525
SYDE2	-0.23575
TACR2	0.4485
NUP85	-0.845
CD177	0.321333333333333
LGR5	-2.26416666666667
PIGG	0.853416666666667
PTHR1	-1.41083333333333
RAB5A	-0.0581
FLJ13224	0.383
USP9Y	-2.49366666666667
C7orf53	-0.669
LRP1B	-1.49125
XAF1	2.8107
ABCG8	0.2125
ANKDD1A	-0.641
DAND5	-2.7815
SPAG6	-0.1276
LINCR	0.71725
ZDHHC22	-1.7245
CCDC60	-2.308
THOC7	-1.075
TCTA	2.0844
OR8K3	0.05875
NY-REN-7	-0.8025
B2M	2.18883333333333
C6orf141	-2.904125
LPPR4	1.19725
SQLE	-2.848375
SEPHS1	-0.552
BTBD14B	0.646714285714286
PLRG1	-0.78325
SPG7	-0.5215
ZNF614	0.386833333333333
PARD6G	0.300333333333333
INPP5B	-0.3823
GRPEL2	-0.11525
PPID	-1.0956
TRIM56	0.37025
UBE2J1	0.6665
IL20RA	5.258
LOC387856	-0.0725
C1orf107	0.0951666666666668
UTS2R	1.14525
C19orf22	0.1625
SAFB2	0.390375
KIAA0652	0.62325
KLRG1	-0.238
MS4A8B	0.246666666666667
FRAG1	1.0625
KIAA1546	0.523
E2F4	-1.1642
CLEC4M	0.6875
BTBD14A	-1.135
KIAA0999	-0.353
GYPA	-3.3282
TAC1	-0.2534
TRAIP	-1.62116666666667
KIAA0232	0.5444
ERCC8	-1.158
GPX4	1.054125
KIAA0368	0.307125
GPR157	0.0225000000000001
CTAGE4	1.773
C9orf30	-1.34566666666667
OR52A1	-0.0335
HSP90B3P	0.1635
ALG9	-0.1549
BTBD10	-0.047
SDK2	0.35875
BAIAP3	-1.291
RABGGTB	-1.668
ANKRD40	-0.5155
KRT74	0.862
CALCOCO2	-0.154285714285714
SNCA	-3.562
TMSL8	-3.637625
C2orf53	-0.3575
ESRRB	-0.142
ARHGAP26	-0.271125
TDRD9	-2.9645
HRAS	0.797166666666667
KLRC4	-2.0195
JAGN1	-0.517333333333333
BSDC1	0.064
RNF43	-1.8825
NDUFAF1	0.85475
PHF12	-0.0579999999999999
OR1L3	0.4385
FOLR2	1.70325
LYZL6	0.32
tcag7.1260	-1.722
WSB1	-1.56466666666667
PROS1	-1.5506
OSTN	0.9075
PSMB8	1.8555
SOCS4	-0.16475
DDIT4L	-0.498
MAS1	-0.1385
MGC34796	1.05975
CSHL1	0.316
TBCCD1	0.602666666666667
ZBTB7C	0.452
AP2S1	0.068125
P15RS	0.2151
VAT1	-0.8561
SHANK3	1.2475
TUFM	-0.690166666666667
THEG	-0.468
KRT34	-1.912
SGSM3	0.63225
TOMM22	-0.243625
SOCS3	1.68916666666667
CPO	3.02
POP4	0.27825
BHLHB3	0.538
MALL	0.8935
OR1B1	0.4845
PARK2	0.797
GPR124	0.453125
LCE1E	-0.294
RUVBL2	-0.21475
CGRRF1	0.4174
ACPL2	0.566
WNT10B	-0.68925
BAIAP2L2	-2.104625
ISCA1	0.0655
C1orf125	4.430125
RPAP1	-1.3835
RAI16	0.672166666666667
RPL27	-0.381375
NLRP9	0.6435
EPN1	0.352
LOC388610	-1.065125
SLC35A1	0.6856
GAL	-3.34225
SLC14A2	0.783
RDH11	-1.30416666666667
FAM138F	-0.1795
AUH	0.269
FLJ40243	0.32475
C14orf129	0.143333333333333
MBD2	0.3795
ABHD14B	0.333625
PIGT	0.778875
ALS2CR4	-0.59425
ALAS1	0.6088
FOXO1	1.07566666666667
CRLF3	-0.991625
C20orf107	-0.023
FARS2	0.5935
CCDC28A	-0.12375
NPHP3	-1.1215
OR13F1	0.756
TSEN54	-0.55125
DEFB106B	0.2545
OR8B4	0.189
STH	1.29375
ZC3H14	-0.622
CBX2	0.0695
TMEM49	-1.53475
C6orf21	1.012
FLJ20920	-0.783375
CRTAP	0.0556428571428571
DDX50	-0.39875
STYXL1	-0.503
BLVRB	-0.869166666666667
LOC147650	1.828
MMP24	0.556
GRID1	1.254
BANF1	0.2705
CTAGEP	0.86525
HMBS	-1.84525
SLC25A24	-0.64
C14orf50	-0.075
MRO	1.7
SLC25A15	-0.9785
FAM84B	1.3458
TDP1	-0.976
C16orf78	0.327333333333333
C11orf57	0.295125
RFK	-1.147375
ZFYVE9	0.635
STCH	-0.9445
WIBG	0.487
LOC283871	-1.1315
GBA2	-0.3038
NDUFB3	-0.332
HSD17B13	-0.68875
GRIN3A	1.8935
FMNL1	0.492
SEPT7	-0.9154
GNLY	4.8935
GRAMD1C	-0.559833333333333
ZNF165	0.6115
USP38	0.34475
FAM83A	-3.28466666666667
C14orf24	0.483833333333333
ARMCX3	1.66575
ARHGDIB	1.77566666666667
AK1	-0.1605
KIAA1045	0.00875000000000001
DNAJB13	-0.1055
NEU2	-0.0215
HIST1H4B	-0.7225
FAM20B	-0.6818
HES2	-0.457285714285714
FAM73B	0.1567
LOC388381	-0.29175
INTS7	-0.194272727272727
AMPH	1.04175
ZNF775	-0.088875
UCKL1	-0.568333333333333
C10orf97	-0.731
C1orf161	0.36075
ALDH1L1	-0.95825
FLJ39378	0.239625
SLC23A1	-1.9595
RBM4B	-0.2855
THAP4	0.645166666666667
OGFRL1	0.922
KIAA0831	0.244125
PPP1R15A	0.354333333333333
C1orf96	-0.138357142857143
C12orf11	-1.7395
BMF	1.18625
MAN1A1	-1.106
KIAA1600	0.615
NLGN4X	-1.31425
ALOX12	-1.183
RB1CC1	-0.2084
NEIL2	-0.1857
EIF4E	-0.6965
ABHD5	-0.25325
EXOC4	0.206166666666667
CIP29	0.356
BATF2	1.74625
SLC29A4	-0.89325
HTR4	0.6995
EMB	-0.87675
TRAF6	0.43625
LMNB1	-1.999
FAM19A5	-0.296125
SHE	1.586
PIK3C2B	0.599
C15orf15	-0.5951
USP15	-0.0806
TCEAL2	-0.3695
C5orf39	-1.04483333333333
PTGER2	-0.752
SLC31A1	-0.1853125
IFT172	0.1525
ADAM29	0.114
GFOD1	0.1955
ST7L	0.767666666666667
C15orf26	-2.84825
PKN3	-1.0825
CNTD1	2.50216666666667
COMMD1	0.455
NTRK2	2.31633333333333
FOXN3	-0.2795
MFGE8	-0.555
PFKFB2	1.1595
TAS2R4	-0.818
ENTHD1	1.2645
PRMT5	-0.840125
MGC16384	-0.60875
LOC442229	0.2515
TSKU	0.080625
KRTCAP3	3.547875
PDLIM1	2.0845
KCNS2	0.6195
RNF126	-0.380166666666667
CEP63	0.306625
CLIC4	-0.807125
hCG_1990170	-1.787
ACR	0.6457
KLK7	0.3435
ALOX5AP	3.262125
RIPK3	4.82875
TAS2R9	0.5055
C19orf18	0.986
BIRC6	0.0908571428571428
ZNF16	0.7945
RFT1	0.3175
SLC8A2	-0.30525
TACC1	-0.06125
ITGAD	1.509
SAMHD1	1.704
SH3PXD2B	0.5625
EPC2	0.67375
C20orf85	0.8175
ATP13A2	0.690833333333333
KRT4	0.06725
CAPNS1	0.73275
MDM2	-0.0355
PCDH20	0.54825
KCNK9	0.5335
OR2C1	0.185
KLHDC3	0.0773333333333333
IPPK	0.9695
EFHD2	-0.038
GALR3	1.201
NBEA	-1.54183333333333
ABCA6	2.8447
CLDN3	2.16333333333333
AKT2	-0.623357142857143
EGFR	-2.7704
RBM16	0.00300000000000001
ZDHHC3	0.7253
SLC25A4	-0.202333333333333
CYB5B	-1.66083333333333
CPXM1	0.493
NDRG1	-1.53
FLJ43826	-0.10775
OR5L2	0.297166666666667
FARP2	1.1448
MRPL46	-0.724166666666667
LDHAL6B	0.572833333333333
MAPKAPK3	0.5355
NCAM2	-2.0475
PRKD2	0.745166666666667
ZFP36L1	0.5453
CYSLTR1	0.7365
OR4C3	-0.21075
HIST1H2AJ	1.541
CCNB2	-2.56977777777778
ZNF10	0.06675
TMEM175	0.432
FAM134A	1.2125
TIGD4	-1.3265
PCNP	-0.23025
MGC39715	-0.357
LQK1	-1.467
CREB1	0.4272
TMPRSS3	-0.80275
C4orf32	2.28175
LAT	-0.680166666666667
KCNA3	0.079
SKIV2L2	-0.9035
ROPN1B	-3.41975
tcag7.23	0.4775
CDT1	-2.851875
ZHX2	1.2395
CD28	-1.75375
ZNF624	-0.1545
SEPT2	0.26975
SOHLH2	-2.025875
MCOLN3	-0.901125
UNQ1945	0.7855
MASP2	-0.818
ZNRF3	0.9584
GPATCH3	-0.4825
AGL	-0.35
QRICH2	-0.323
PSD4	0.348333333333333
CCNB1IP1	-1.5335
ENPP7	0.38025
OBFC1	0.389
KCNG3	-2.714
C14orf79	1.84916666666667
ENPEP	1.19483333333333
SCT	1.1585
SKI	1.206
SEC61G	-0.21725
CAPN11	0.10025
ATXN7L3	0.248
DBNDD1	0.322333333333333
FAIM	-0.045
ANKRD36	-0.046
GABRP	0.473666666666667
TACSTD2	1.64583333333333
EIF3J	-0.37125
PPP2R2A	-0.81125
TEKT4	0.667666666666667
PVALB	-4.17783333333333
F10	-3.01333333333333
FAM134C	1.0527
COMP	4.6535
EFCBP1	-3.685125
SCLT1	-0.4205
TAL1	-1.4635
ACSL1	0.316
ABCC5	0.163333333333333
ABL1	0.246944444444444
RBBP7	-0.198583333333333
PTPRG	-0.372875
NCOR1	-1.2261
SPINK4	0.852333333333333
TXNRD1	-2.4688
TNRC15	1.12275
C9orf138	1.42875
UBE2H	1.7965
BRDT	-0.3575
C8orf31	0.116
CCNE2	-2.08145454545455
SLC6A8	-1.288625
CALCR	-4.00375
PPP1CB	0.09475
ABHD8	0.2255
ARF5	0.8036
SLC24A4	0.66275
CCT3	-0.46375
ZNF121	0.736625
SLC3A2	-0.3396
OR13A1	0.247
SLC5A10	-0.7445
RAD50	0.003
IER5	0.487875
MTHFD1L	-2.392375
MBTPS2	-0.1815
MVK	-0.626875
NCL	-0.2806
PSMD10	-0.6995
MOBP	0.238625
FLJ32894	-0.2495
HRH1	-1.09716666666667
C5orf30	1.179
NUDT16L1	1.031
RASGRP3	3.36583333333333
PRKRIP1	-0.567
CCDC75	-0.218
LOC253970	0.28575
KIAA1239	0.124
MED21	-0.4765
SYT11	0.416333333333333
NTSR2	-0.1095
EGFL11	1.314
CXorf59	-1.0735
OR2A25	0.0315
SPTBN2	0.53625
LRMP	-1.28083333333333
RNF111	0.19175
PTH	0.7235
LOC619208	-0.4585
KIAA0895	0.1985
RANBP5	-0.491625
P2RY10	2.67233333333333
NME5	4.38066666666667
DDX21	-0.76025
LRSAM1	0.688
HDAC11	1.10133333333333
VMO1	2.0025
NOLA2	-0.2545
ADAR	0.737
MTO1	-0.8275
SF4	0.3675
P2RX1	-0.391666666666667
HBM	0.38125
EN2	1.317
C14orf172	-0.2065
TM9SF2	0.1947
INHBE	-1.237
TCTE3	0.1365
TOX2	-2.2705
CTAGE3	0.6265
HBB	3.2705
MED15	-0.0125
CASR	0.32525
C6orf66	-0.769833333333333
MTPN	-0.288375
UNC50	-0.4885
C21orf33	-0.2855
IRF2	0.725125
PGR	4.25733333333333
GPR84	2.61025
CROCCL1	-2.74525
SRPX	-0.9355
BRE	0.418666666666667
FGF10	0.99825
SDC3	0.573166666666667
ZRSR1	0.765833333333333
DKFZP434P211	0.338
SOX6	0.2025
RPUSD2	-0.6725
C14orf173	0.0575833333333333
MAPK11	-0.425
TBC1D22A	1.199
FAM123A	-0.598
COL4A6	0.194833333333333
TOMM70A	-0.18825
NAB1	0.335
MGC16385	-0.39825
TSPAN18	0.101
MED31	-0.3065
PLG	0.343
CAPSL	2.7065
ZNF532	-0.4175
ASB14	0.7695
CA8	-3.76475
NUDT16P	1.3325
SLFN11	-0.978
LRRIQ2	0.246625
NOL7	-0.374166666666667
BRMS1L	-1.874125
JARID1A	0.159666666666667
PANK2	-0.508
ICAM3	-0.1655
MDS1	-0.98
TAF8	-0.70575
RNF139	1.43675
ZNF594	-1.14533333333333
ADAM8	1.450625
SFTPC	-0.0485
MAN2B2	1.5795
RGS12	0.668
EIF1AY	-5.17783333333333
LRRIQ1	-1.884
GPR150	1.339
CCDC21	-1.3245
PRRG3	0.4655
SAA4	-3.5285
RAPGEF5	1.023
ZCCHC2	0.668333333333333
MGC39372	1.7045
PPP4R2	-0.178166666666667
CDCA2	-2.2425
OR4D5	0.691166666666667
PTGFRN	1.1225
SIGLEC5	1.26433333333333
C19orf61	0.161333333333333
NMUR2	0.5675
KIAA1586	-1.46983333333333
DAGLA	0.643333333333333
CHCHD6	0.09025
GPR32	1.436
NEUROD6	-0.066
SLC2A4RG	0.404
CA5B	-0.355
FBXL3	0.79225
MPHOSPH9	-0.7835
HMG2L1	-0.1585
HCN4	0.6655
CEACAM19	0.886
SH2D4B	0.275666666666667
HFE2	-0.7185
TGM4	0.095
LYPD2	0.0075
TBC1D15	0.10575
MRPS21	-0.2727
NONO	-0.7846
CLEC5A	1.97225
ITCH	-0.5039
MGAT3	-1.27133333333333
MBP	-0.925
RPP25	-0.48425
SOSTDC1	-3.20425
HRC	-1.98775
TRIM48	-1.608
TMEM133	-1.03975
ECEL1P2	-1.83566666666667
HOXC11	3.4505
DOK5	-0.715
HELZ	-0.8655
LOC348180	-1.0805
MGC33894	0.136
ADRB3	0.3155
DMD	-0.530583333333333
PTRH2	-0.36
MPEG1	3.03616666666667
NDUFA12	-0.172333333333333
KRTAP2-4	0.16
STAMBPL1	-1.8385
ADCY2	0.752
UNQ6125	0.3145
KLHL20	-0.413833333333333
SRM	-0.66425
OTC	-0.8895
TMIE	0.04
SNX8	-0.242
LIPK	-0.388
CHURC1	0.175833333333333
KLC2	0.456
HDAC1	-1.25566666666667
FAM128A	0.626
FNDC3B	-1.1074
MTCP1	-0.536833333333333
WFDC10B	0.1627
PCDHGB3	-0.781
ATRNL1	-2.8592
CAV2	-0.909125
MED26	0.619666666666667
DUS1L	0.671
CHRM3	-1.8345
NEK9	0.324
WARS2	0.48175
TBX22	0.4105
TOMM40	-0.796
RP6-213H19.1	-1.67566666666667
TUBGCP5	-0.1695
IGSF6	5.7215
TPPP	1.1395
UNQ6190	-0.7445
GSTM5	1.7385
BTD	1.49566666666667
PDCD1LG2	0.904333333333333
SNRPB2	-0.7205
ERICH1	-0.266625
APOA4	-1.826125
HOXA11	-1.072
NARG1	-0.9055
MKX	7.40875
RAB28	-0.677928571428571
PKP3	1.1875
SH3GL2	-2.8275
CTSO	2.3715
RPN2	0.316125
IL28RA	0.448833333333333
SFMBT1	0.64125
WDR57	-1.421625
FER1L3	0.453833333333333
HSF5	-0.0523333333333333
TTC9B	0.62875
C4BPA	-4.14616666666667
ALB	-5.01130769230769
SORBS3	-0.47575
UPF2	-0.833
JPH1	-0.126
AGBL2	0.49
DOPEY1	0.659
TERF1	-0.660583333333333
KIF22	-1.22216666666667
NINJ1	2.093
SEC61A2	-0.246083333333333
HIST1H1D	-0.972833333333333
SFXN4	-0.1405
UCP3	1.2242
ZNF703	1.66866666666667
MYL6B	-1.225
TREM1	2.22425
OR52E6	0.3625
CKMT2	0.7725
HLA-C	2.421625
SLC13A3	-1.88616666666667
TIMP4	-1.67775
SLIT2	1.4945
RSF1	-0.104722222222222
LONRF1	-0.6515
MON1A	-0.0968333333333333
CACNG6	-1.78733333333333
DPPA4	-5.21483333333333
ZSWIM3	-0.583
ZNF804A	0.706833333333333
CCIN	1.56475
SLC25A31	0.41075
KCNMB4	-0.57325
RABL5	0.9005
GALNS	-0.6691
STX6	0.83175
HIST1H1C	-0.193
CIDEB	0.812125
CASP4	0.128333333333333
PDK3	-0.5499
KCNJ11	2.035
TPR	-0.36025
ZSCAN20	-1.38
MTX2	-0.5005
HIST1H2BH	1.2095
LOC283767	1.49075
LYRM7	-0.953
BRD3	1.275
HIST1H2BO	1.06625
MAGEB10	0.6225
SLC45A1	1.04925
SERPINA3	2.668
KIAA0143	0.876
KCNJ16	-0.0465
KRT79	0.04825
FABP2	-0.31825
NUT	-0.657
ZNF57	-0.3805
FBXL4	0.385375
CLEC9A	2.2445
UGT8	-1.40183333333333
BMP2K	1.13075
MAPK4	-3.5435
SLC25A23	-0.6395
HINT1	-0.2286
KRTAP13-1	0.5935
SFXN5	-0.7115
CHCHD2	0.10875
FAM3D	1.6735
NDP	0.068
RHOBTB1	-0.992333333333333
SLC4A4	-1.597125
RPL38	-0.02
HTF9C	-0.0981666666666667
AP2A2	0.532875
ZBTB46	-0.449
MAP7D1	-0.00987500000000001
AOX1	-2.05833333333333
CYR61	2.04475
DTNA	-1.579
JRKL	-1.3825
TMOD3	-1.23325
EEA1	0.0494
ADCK5	-0.52575
IL1R1	1.21666666666667
KLK3	0.603071428571429
HRSP12	-0.704
KTN1	0.878
LOH11CR2A	-0.5047
RELL2	-1.84725
MAB21L1	0.3735
C20orf59	-0.448333333333333
PHKB	-0.34525
ADAM2	-3.15966666666667
TBC1D8B	0.184666666666667
FAM13A1	-1.7979375
LAPTM4B	-2.11616666666667
LCN8	-0.055
TMEM147	0.463
SYT4	-0.116333333333333
XPO7	-0.393
C9orf62	1.374
GPR75	-0.0235
TRIM5	1.13375
APOC1	1.072
RNASE4	0.385
PARD6B	-0.0252500000000001
ARID1A	0.50325
TPD52L3	0.0551111111111111
RRAGB	0.196833333333333
RCN2	-0.912166666666667
HIST2H2BE	0.50675
STARD7	-0.09075
SHMT2	-1.15475
KIAA1751	-0.402
MLYCD	0.128625
LOC162632	-1.5188
UQCRH	-1.53975
RP11-217H1.1	0.7908125
SDHA	-0.371166666666667
NCLN	0.5106
ZNF17	0.812833333333333
RCBTB2	-2.0775
VEGFB	0.212
RP4-747L4.3	-0.53725
COLQ	0.676
MPN2	-1.309
DRG2	-0.70875
KLRB1	5.2215
ALPK2	-2.369
DNASE2B	0.932
FLJ23834	-0.286666666666667
AXUD1	2.42133333333333
SAFB	-0.007
NSUN4	-0.24225
RFX2	-0.492833333333333
MAPK8IP1	0.0928333333333333
FANCD2	-1.21821428571429
ANKZF1	-1.51116666666667
C19orf50	-0.422
DUSP8	1.818625
SENP5	-0.295875
NFKBIL2	-0.4595
LBR	-1.874875
IGFL1	1.062
LZTS2	0.558875
IL2RG	1.003
CCDC51	-0.2965
KLF3	0.10675
ANKRD37	0.00725
KCTD14	-2.02683333333333
FZR1	0.991916666666667
SLC44A4	4.5524
ESPL1	-1.018625
GMPR2	-0.0308
TBC1D19	-0.148
ERGIC1	1.05555555555556
ERBB4	4.6495
TSPAN32	0.79775
MAP4	0.773875
GPHN	-0.504
SLC6A2	0.00262500000000002
HIVEP1	0.96725
DFFB	-0.0842
EIF4EBP2	0.363375
DMRT1	-1.485
HSPB6	0.2725
IER2	0.848333333333333
AIFM1	-0.094
WWC2	-0.720636363636364
MRPL4	-0.12
FLJ21062	1.11316666666667
EPB41L4A	1.51475
SH2D6	0.25475
TAF4B	-0.98675
GAL3ST3	0.2335
MALT1	-0.683666666666667
RTDR1	0.60125
ARVCF	0.245875
MEX3B	-0.6195
FBXO16	1.43725
KIF7	-1.4275
C1QC	4.05966666666667
ZNF783	0.197666666666667
ZNF85	0.4045
MMP13	6.347
KIAA0329	0.432875
RTP3	-1.3935
ZBED3	-0.24925
CLGN	-4.644
SLC25A37	-1.33766666666667
hCG_18290	0.38225
OR5AS1	0.146
SMARCC2	0.60725
FAM109A	0.4755
CCDC12	-0.3405
USF2	0.7934
DEPDC7	-1.594
C20orf24	-0.690666666666667
JMJD3	1.0335
DSP	1.77871428571429
SLIC1	0.85
FAM20A	1.3325
IRF2BP2	0.788875
ZNF230	-0.4505
MSN	-0.821428571428571
SLC9A5	-1.9475
EPDR1	-1.8232
MUSK	0.280333333333333
ZNF434	-0.129666666666667
SMARCD1	-0.508333333333333
ZFP106	0.05825
ZNF347	0.2187
GTF2E1	-0.32425
