Hybridization REF	TCGA-A2-A0EX-01A-21R-A034-07
LTBP4	-0.295333333333333
SIRT6	-0.074
CCL19	4.89725
PPIL1	-0.896666666666667
GBP7	0.305833333333333
STK17A	-0.7946
ABR	-0.29225
OR9G1	0.526
FOXE1	-0.738
CNGA3	2.7985
GML	-0.2865
CD38	-2.385
ZDHHC6	0.1585
NEFH	-0.09525
CTDSP2	0.842333333333333
PGBD5	-1.78933333333333
CCNY	0.471357142857143
RMND5B	0.47125
ZNF257	-1.25675
FLJ22167	-0.636125
EXOSC7	-0.0498333333333333
ROR2	0.91075
MAOA	-0.977625
TNNT3	1.21983333333333
GYPC	-1.0035
C7orf33	1.5325
PLIN	1.72466666666667
LOC90826	-0.46
RNF4	-0.3998
F8A1	-0.0875
PLEKHG4	-2.72325
GRB2	-0.07475
HIST1H2AD	-0.74825
DUS3L	-0.684166666666667
EIF1	-0.315166666666667
RP5-1077B9.4	-1.04466666666667
FPGT	1.22675
GDF10	0.860833333333333
COQ9	-1.0995
GCC2	-0.234571428571429
RARRES3	2.645625
PLXNA1	-0.8602
KIAA0100	-0.00800000000000003
PMF1	-0.29275
FNDC1	5.32275
HS2ST1	-0.08625
CRELD2	0.2225
C8G	-2.289
CD82	1.0195
LIM2	-1.301
UNQ6490	0.0685
MMP16	0.271
DRD3	-0.33725
C5orf26	0.2895
C11orf73	-0.1115
PTP4A2	1.3665
OR4M2	-0.035
HPCA	-1.73066666666667
SEC14L1	-0.585666666666667
CHFR	-0.8565
EMILIN1	0.388125
NDUFS4	-0.32125
COL18A1	0.24625
PDZD3	-0.1265
C9orf16	0.2175
ERBB2IP	0.127166666666667
EMX2	3.07475
FUS	-1.30375
TF	-3.6774
CLCN4	0.140833333333333
CXorf56	-0.34425
C11orf72	0.42675
ELAC2	-0.912
NPR1	-1.1345
ASS1	-1.3215
USP42	0.2165
POLR2J	-0.839
SEC23IP	0.341333333333333
UQCRC1	-0.10575
LOC729603	-1.05425
C1orf71	-0.18675
POLG	-3.225
ADAM23	-2.528
TFR2	-1.72325
RICTOR	-1.3181
MGC39606	0.39625
C19orf55	-0.15825
SNAPC1	-1.23916666666667
GNA11	0.661
CCDC52	0.261666666666667
FSIP1	4.189
UPF3A	-0.748
IGSF11	-1.9575
LAGE3	0.033
CHST6	-0.0325
UNC13B	0.2175
TTLL4	-1.46575
ZNF687	0.058875
SDC2	-0.3665
COX7A2	-0.62275
LAMB4	-0.16425
FAM24A	0.3075
LRRTM3	-1.00816666666667
GPHB5	0.29275
OR4C13	0.4085
EIF3EIP	0.656785714285714
HABP4	-0.279
TMEM125	3.458
CNTN2	0.0615
ASNSD1	0.3295
FUT4	-0.638875
ACF	-3.6465
LOC158381	0.9085
CDH8	-0.90425
AGPS	-1.14333333333333
C4orf18	2.9215
PECI	0.117333333333333
UNG	-0.81575
GSTP1	-2.19875
DCUN1D5	-1.179
DKFZP564J0863	-1.207
SLC9A3R1	0.077375
BCDO2	-0.8335
CHMP7	-0.511125
REM2	0.034
DNHD1	-1.64214285714286
FKBP4	-0.289375
ZNF350	2.29125
MGC11102	0.1745
BST1	1.17975
KISS1R	0.778
NCR2	-1.7985
DEFB125	0.492
UBE2W	2.16875
KRT15	1.744125
C10orf99	-0.496
SCN11A	-0.446125
GFI1	-2.0315
RDHE2	3.81866666666667
FHL1	-0.5145
OSGEP	-0.00566666666666667
GATA1	-2.98583333333333
SMC6	-1.5045
TTTY14	-1.912
LPIN3	-0.0665
RPL4	0.3036
RBPMS	1.538
PRPF3	-1.09583333333333
EMR1	-2.491
SPATA19	-0.34225
XCR1	0.429
IRX3	1.4624
RBM6	-1.037
KLF4	-0.8005
UNC5CL	-1.0835
SEBOX	-0.257
BTK	-0.334
KRCC1	1.32775
C6orf27	0.0315
SYTL5	-0.3145
PRND	3.546875
LOC653319	-1.9575
PIGL	-1.66625
HUS1	-0.489833333333333
SFRS6	0.18775
C17orf77	0.0585
UIMC1	-0.577666666666667
FXYD2	-2.1807
LOC283152	0.61525
ZNF667	-0.598
ZCCHC12	-0.364333333333333
TFEC	1.9413
ATP7B	0.885333333333333
POLD2	-1.01716666666667
RG9MTD1	0.13475
ACOT2	0.0908333333333333
HIST1H4I	-1.034
PPARGC1A	-2.0175
ETFA	-1.6466
POLRMT	-0.4955
ZNF146	0.9215
MIA2	-1.868
KLHL6	-1.27316666666667
HOXB5	-0.4145
NENF	0.381833333333333
CUGBP1	-0.16675
PRSS22	1.593
CASC4	2.2441
CUL4B	0.8983
CENPJ	-1.756
PITX1	-0.0701666666666667
FLJ31033	-0.381833333333333
CELSR3	-0.749166666666667
ZNF568	1.20975
ITSN1	-0.0415833333333333
EHBP1L1	-1.55666666666667
C19orf2	-0.20625
DCTN1	-0.28
LIN28B	-2.909
TNKS2	-0.553
C1QBP	-0.697
CADPS2	1.622
SRMS	-0.1275
GJA9	0.3068
MGC24975	-0.842
TRIM45	-0.0361666666666667
TSP50	-0.839
TCP1	-1.2095
TMED7	0.5199
CMA1	0.0245
CENPL	-1.953
PTCRA	0.04
FST	-2.08925
VWCE	-3.37625
PAWR	0.0395
ABCC12	0.799
LDLR	-1.7987
ASTN2	2.1335
LOC441212	-0.862125
GPATCH8	-0.0725
TANC2	-0.783666666666667
KIF4A	-3.27575
C18orf18	-0.895
PGM1	-1.8715
KIAA0258	0.879
CPD	0.71525
SNCAIP	-0.27625
DCT	-4.03066666666667
HLA-DOA	2.67690909090909
OR11L1	0.6705
UPK1B	-0.524333333333333
DNAJB4	0.26025
UGT1A8	-0.4785
HIST1H4L	-1.7145
PECR	-1.80483333333333
HSPA2	3.11525
WFIKKN1	-2.4185
SERP1	0.79975
SYDE2	2.15275
TACR2	0.223
NUP85	-0.7215
CD177	-0.928
LGR5	-1.7196
PIGG	-0.346416666666667
PTHR1	-0.986333333333333
RAB5A	0.1423
FLJ13224	-0.23
USP9Y	-0.908
C7orf53	-1.6435
LRP1B	2.1805
XAF1	0.5323
ABCG8	-0.8125
ANKDD1A	-0.56
DAND5	-3.4275
SPAG6	0.3904
LINCR	0.21775
ZDHHC22	-1.20814285714286
CCDC60	0.417
THOC7	-1.525
TCTA	1.0834
OR8K3	0.1325
NY-REN-7	-0.736
B2M	0.7465
C6orf141	-1.08725
LPPR4	2.62
SQLE	-0.399625
SEPHS1	-0.421
BTBD14B	0.389071428571429
PLRG1	-0.70725
SPG7	-0.852875
ZNF614	0.248
PARD6G	0.900833333333333
INPP5B	-0.9039
GRPEL2	-0.122125
PPID	-0.877
TRIM56	-0.427
UBE2J1	-0.115
IL20RA	5.599
LOC387856	0.613
C1orf107	0.3635
UTS2R	0.69075
C19orf22	-0.302
SAFB2	-0.035375
KIAA0652	-0.04325
KLRG1	-0.334833333333333
MS4A8B	1.69183333333333
FRAG1	0.55
KIAA1546	-0.1565
E2F4	-1.7096
CLEC4M	0.803
BTBD14A	-1.58525
KIAA0999	0.5474
GYPA	-2.97333333333333
TAC1	2.4159
TRAIP	-1.843
KIAA0232	1.0229
ERCC8	-1.211625
GPX4	0.289375
KIAA0368	-0.16525
GPR157	-1.1395
CTAGE4	-0.6575
C9orf30	-1.26883333333333
OR52A1	0.0935
HSP90B3P	-0.548
ALG9	-0.7455
BTBD10	0.3265
SDK2	-0.1665
BAIAP3	-1.46975
RABGGTB	-0.965875
ANKRD40	-0.8325
KRT74	1.148
CALCOCO2	0.173642857142857
SNCA	-2.69175
TMSL8	-4.147375
C2orf53	-0.226
ESRRB	-0.694
ARHGAP26	-1.829875
TDRD9	-1.73275
HRAS	-0.031
KLRC4	-2.9335
JAGN1	-0.5345
BSDC1	0.30675
RNF43	-0.131
NDUFAF1	0.2615
PHF12	0.52175
OR1L3	0.534
FOLR2	1.47816666666667
LYZL6	0.5514
tcag7.1260	-1.887
WSB1	-2.50283333333333
PROS1	0.100666666666667
OSTN	-0.0705
PSMB8	0.61125
SOCS4	-0.149857142857143
DDIT4L	2.99
MAS1	-0.325
MGC34796	1.31375
CSHL1	0.0471666666666666
TBCCD1	0.169333333333333
ZBTB7C	0.2265
AP2S1	-0.2445
P15RS	-0.1892
VAT1	-0.6387
SHANK3	0.9845
TUFM	-0.272833333333333
THEG	-0.6455
KRT34	-1.98625
SGSM3	0.343375
TOMM22	0.2765
SOCS3	0.436833333333333
CPO	-0.09
POP4	0.496
BHLHB3	1.42575
MALL	0.6715
OR1B1	0.318
PARK2	0.2005
GPR124	1.014625
LCE1E	-0.017
RUVBL2	-0.2635
CGRRF1	0.4941
ACPL2	0.21675
WNT10B	-1.990625
BAIAP2L2	-2.01075
ISCA1	1.016
C1orf125	-0.3035
RPAP1	-0.8215
RAI16	-0.353166666666667
RPL27	0.291125
NLRP9	0.9235
EPN1	0.5765
LOC388610	-0.150875
SLC35A1	1.0338
GAL	-3.7575
SLC14A2	0.23275
RDH11	-0.628333333333333
FAM138F	0.3125
AUH	0.552
FLJ40243	-0.08925
C14orf129	0.294666666666667
MBD2	-0.550333333333333
ABHD14B	0.38525
PIGT	0.16475
ALS2CR4	-0.227375
ALAS1	-0.3183
FOXO1	1.363
CRLF3	-0.17725
C20orf107	0.1315
FARS2	0.91525
CCDC28A	1.039
NPHP3	-0.9035
OR13F1	-1.187
TSEN54	-0.69225
DEFB106B	-0.320777777777778
OR8B4	0.078
STH	1.04625
ZC3H14	-0.546125
CBX2	-0.637
TMEM49	-1.88775
C6orf21	0.722
FLJ20920	1.2585
CRTAP	-0.712714285714286
DDX50	0.0295
STYXL1	-0.98875
BLVRB	-0.240333333333333
LOC147650	-0.31
MMP24	0.7935
GRID1	2.47933333333333
BANF1	-1.03083333333333
CTAGEP	-0.35575
HMBS	-2.11175
SLC25A24	0.815833333333333
C14orf50	1.7975
MRO	-1.38333333333333
SLC25A15	-1.579
FAM84B	2.6468
TDP1	-1.0445
C16orf78	-0.4524
C11orf57	1.12025
RFK	-0.304375
ZFYVE9	-0.279857142857143
STCH	-1.1981
WIBG	0.44125
LOC283871	-0.880666666666667
GBA2	-0.4663
NDUFB3	-0.04025
HSD17B13	-0.945333333333333
GRIN3A	0.148
FMNL1	-1.81033333333333
SEPT7	-0.0613
GNLY	2.2005
GRAMD1C	2.18666666666667
ZNF165	-0.27225
USP38	0.19725
FAM83A	-3.5714
C14orf24	0.940583333333333
ARMCX3	0.58375
ARHGDIB	0.392833333333333
AK1	-0.086125
KIAA1045	1.197
DNAJB13	-0.4305
NEU2	0.3895
HIST1H4B	-1.88033333333333
FAM20B	-0.6447
HES2	-0.0133571428571429
FAM73B	-0.5522
LOC388381	0.1585
INTS7	-1.11718181818182
AMPH	2.32675
ZNF775	-0.14025
UCKL1	-1.1295
C10orf97	0.2255
C1orf161	0.01825
ALDH1L1	-1.0165
FLJ39378	-0.093375
SLC23A1	-1.3675
RBM4B	-0.05575
THAP4	0.184833333333333
OGFRL1	0.27975
KIAA0831	0.35475
PPP1R15A	-0.346166666666667
C1orf96	-0.648714285714286
C12orf11	-2.172
BMF	0.57825
MAN1A1	0.07425
KIAA1600	0.579666666666667
NLGN4X	0.6845
ALOX12	-1.31016666666667
RB1CC1	0.6928
NEIL2	0.813
EIF4E	0.205181818181818
ABHD5	-0.31875
EXOC4	0.1595
CIP29	0.226666666666667
BATF2	-1.19275
SLC29A4	-1.063125
HTR4	0.51225
EMB	-0.5955
TRAF6	0.70375
LMNB1	-2.714
FAM19A5	-0.6705
SHE	1.5405
PIK3C2B	1.0115
C15orf15	-0.2436
USP15	0.2971
TCEAL2	2.549
C5orf39	-0.556666666666667
PTGER2	1.478
SLC31A1	-0.6519375
IFT172	0.52
ADAM29	0.2135
GFOD1	-0.33575
ST7L	0.644333333333333
C15orf26	-2.45033333333333
PKN3	-1.9295
CNTD1	0.969666666666667
COMMD1	0.403125
NTRK2	3.1605
FOXN3	0.281875
MFGE8	-0.5648
PFKFB2	0.892833333333333
TAS2R4	0.36625
ENTHD1	0.123
PRMT5	-0.764625
MGC16384	-1.96025
LOC442229	-0.41375
TSKU	-0.581875
KRTCAP3	1.9865
PDLIM1	0.1511
KCNS2	-0.071
RNF126	-0.6725
CEP63	0.185625
CLIC4	-0.28125
hCG_1990170	0.29175
ACR	-0.068
KLK7	3.50325
ALOX5AP	3.029125
RIPK3	4.4895
TAS2R9	0.708
C19orf18	1.6985
BIRC6	-0.256
ZNF16	0.9305
RFT1	-0.154
SLC8A2	-1.1985
TACC1	1.762375
ITGAD	0.5525
SAMHD1	0.40425
SH3PXD2B	0.8095
EPC2	1.37475
C20orf85	0.722875
ATP13A2	0.195666666666667
KRT4	0.479625
CAPNS1	0.229
MDM2	-0.39125
PCDH20	3.26175
KCNK9	0.121
OR2C1	-0.367
KLHDC3	-0.835
IPPK	0.3925
EFHD2	-0.350375
GALR3	1.13075
NBEA	1.61866666666667
ABCA6	3.4014
CLDN3	0.222166666666667
AKT2	-0.554076923076923
EGFR	-1.1748
RBM16	0.466875
ZDHHC3	0.6128
SLC25A4	-0.1085
CYB5B	-1.42866666666667
CPXM1	0.52525
NDRG1	-0.120230769230769
FLJ43826	-0.33125
OR5L2	-0.123
FARP2	0.3029
MRPL46	-0.66725
LDHAL6B	-0.1424
MAPKAPK3	0.00816666666666666
NCAM2	-0.83275
PRKD2	0.677666666666667
ZFP36L1	1.3127
CYSLTR1	-0.64075
OR4C3	0.0735
HIST1H2AJ	1.219
CCNB2	-3.44844444444444
ZNF10	-0.25325
TMEM175	-0.085
FAM134A	0.887166666666667
TIGD4	-0.304
PCNP	-0.4575
MGC39715	0.602333333333333
LQK1	-1.17475
CREB1	0.4669
TMPRSS3	1.5575
C4orf32	1.581125
LAT	-1.24675
KCNA3	0.2455
SKIV2L2	-0.5375
ROPN1B	-1.075
tcag7.23	0.2945
CDT1	-3.702
ZHX2	1.785875
CD28	-2.57825
ZNF624	0.9905
SEPT2	0.13275
SOHLH2	-2.87425
MCOLN3	-0.7845
UNQ1945	0.304
MASP2	-2.06
ZNRF3	-0.0729
GPATCH3	-0.2305
AGL	1.60025
QRICH2	-2.04
PSD4	1.02066666666667
CCNB1IP1	-1.76575
ENPP7	-0.201
OBFC1	-0.05225
KCNG3	-2.329
C14orf79	1.17958333333333
ENPEP	0.814833333333333
SCT	1.925
SKI	0.796125
SEC61G	-1.0665
CAPN11	-0.29925
ATXN7L3	-0.805
DBNDD1	-0.680833333333333
FAIM	-0.0165
ANKRD36	-0.2465
GABRP	3.14816666666667
TACSTD2	2.04633333333333
EIF3J	-0.462
PPP2R2A	-0.4645
TEKT4	-0.637
PVALB	-3.571
F10	-1.89216666666667
FAM134C	0.7994
COMP	4.2875
EFCBP1	-1.689125
SCLT1	1.179375
TAL1	-1.1375
ACSL1	1.59725
ABCC5	0.0920833333333334
ABL1	-0.585333333333333
RBBP7	-0.0416666666666667
PTPRG	-0.559
NCOR1	-0.1815
SPINK4	-2.05633333333333
TXNRD1	-1.0784
TNRC15	1.140125
C9orf138	-0.06275
UBE2H	0.998833333333333
BRDT	2.4675
C8orf31	-0.13975
CCNE2	-1.67263636363636
SLC6A8	-2.343375
CALCR	-2.9835
PPP1CB	0.869333333333333
ABHD8	-0.2275
ARF5	0.0546
SLC24A4	0.44675
CCT3	-0.155
ZNF121	0.943625
SLC3A2	-1.5977
OR13A1	0.081
SLC5A10	-0.4325
RAD50	-0.247
IER5	0.11025
MTHFD1L	-2.181875
MBTPS2	-0.05725
MVK	-0.823625
NCL	0.1528
PSMD10	-0.39225
MOBP	0.0285714285714286
FLJ32894	-0.301
HRH1	-0.362166666666667
C5orf30	1.21025
NUDT16L1	0.8447
RASGRP3	3.29533333333333
PRKRIP1	-0.4463
CCDC75	0.907
LOC253970	1.01925
KIAA1239	0.808666666666667
MED21	-0.5815
SYT11	0.384166666666667
NTSR2	-0.7715
EGFL11	1.239
CXorf59	-0.324
OR2A25	0.4455
SPTBN2	-0.4245
LRMP	-0.829333333333333
RNF111	-0.15625
PTH	0.6265
LOC619208	0.961166666666667
KIAA0895	0.332
RANBP5	-0.392875
P2RY10	1.69066666666667
NME5	4.06766666666667
DDX21	-1.47
LRSAM1	-0.4245
HDAC11	1.79966666666667
VMO1	1.1555
NOLA2	0.0945
ADAR	-0.0431666666666667
MTO1	-0.966666666666667
SF4	0.037
P2RX1	-0.249166666666667
HBM	0.38275
EN2	1.186
C14orf172	0.18125
TM9SF2	0.3417
INHBE	-1.8975
TCTE3	0.0134166666666667
TOX2	-1.01875
CTAGE3	0.228
HBB	3.922
MED15	-0.944833333333333
CASR	0.89525
C6orf66	-1.62866666666667
MTPN	-0.579875
UNC50	-0.02125
C21orf33	0.298625
IRF2	0.647
PGR	3.01233333333333
GPR84	1.3215
CROCCL1	-3.11275
SRPX	-1.1455
BRE	0.281833333333333
FGF10	1.732
SDC3	0.213
ZRSR1	0.144166666666667
DKFZP434P211	-1.12671428571429
SOX6	0.2675
RPUSD2	-0.058
C14orf173	-0.535333333333333
MAPK11	0.00933333333333334
TBC1D22A	0.581
FAM123A	-3.012
COL4A6	-2.98183333333333
TOMM70A	-0.26125
NAB1	-0.359875
MGC16385	-0.657125
TSPAN18	0.302666666666667
MED31	-0.3745
PLG	0.0895
CAPSL	3.085
ZNF532	0.6528
ASB14	0.4175
CA8	0.239
NUDT16P	1.07016666666667
SLFN11	-1.0215
LRRIQ2	0.21825
NOL7	-0.295166666666667
BRMS1L	-0.97875
JARID1A	0.137333333333333
PANK2	-0.8305
ICAM3	-0.16425
MDS1	-0.17075
TAF8	-1.0725
RNF139	1.87025
ZNF594	-0.4925
ADAM8	-0.164875
SFTPC	0.0925
MAN2B2	1.599125
RGS12	0.264125
EIF1AY	-3.98366666666667
LRRIQ1	-1.007
GPR150	0.76225
CCDC21	-1.97633333333333
PRRG3	0.51175
SAA4	-3.2835
RAPGEF5	1.9805
ZCCHC2	0.170916666666667
MGC39372	-1.3215
PPP4R2	-0.0398333333333334
CDCA2	-3.30283333333333
OR4D5	-0.162666666666667
PTGFRN	0.5482
SIGLEC5	1.1645
C19orf61	0.0555
NMUR2	-0.833
KIAA1586	-0.861333333333333
DAGLA	1.236
CHCHD6	-0.24825
GPR32	-1.009
NEUROD6	-0.0904
SLC2A4RG	-0.3229375
CA5B	-0.28
FBXL3	2.187
MPHOSPH9	-1.7715
HMG2L1	0.1475
HCN4	0.2905
CEACAM19	-0.2675
SH2D4B	0.405666666666667
HFE2	-0.573
TGM4	0.0132
LYPD2	-0.03425
TBC1D15	0.19275
MRPS21	-0.1831
NONO	-0.5618
CLEC5A	1.601
ITCH	0.2126
MGAT3	-0.535833333333333
MBP	-0.109875
RPP25	-1.395
SOSTDC1	2.323
HRC	-1.05425
TRIM48	1.118
TMEM133	1.2885
ECEL1P2	-1.9235
HOXC11	0.756
DOK5	0.73925
HELZ	0.830833333333333
LOC348180	-1.05225
MGC33894	0.13725
ADRB3	0.967
DMD	0.0669090909090909
PTRH2	-0.63175
MPEG1	2.85233333333333
NDUFA12	-0.158833333333333
KRTAP2-4	0.101666666666667
STAMBPL1	-1.65816666666667
ADCY2	0.848666666666667
UNQ6125	-0.0115
KLHL20	0.5922
SRM	-0.5665
OTC	-0.73075
TMIE	0.136
SNX8	0.039
LIPK	-0.691
CHURC1	0.900333333333333
KLC2	0.405666666666667
HDAC1	-0.312
FAM128A	0.175333333333333
FNDC3B	-0.6153
MTCP1	-0.992
WFDC10B	0.00500000000000004
PCDHGB3	-1.504
ATRNL1	-0.2378
CAV2	-0.33925
MED26	0.0563333333333333
DUS1L	0.056
CHRM3	-2.07828571428571
NEK9	0.0985
WARS2	0.2255
TBX22	-1.433
TOMM40	-0.81275
RP6-213H19.1	-1.01333333333333
TUBGCP5	-0.99275
IGSF6	5.78
TPPP	-0.0706
UNQ6190	0.3405
GSTM5	-0.36525
BTD	0.811833333333333
PDCD1LG2	-0.2266
SNRPB2	-0.433
ERICH1	-0.378875
APOA4	-1.325375
HOXA11	-1.86175
NARG1	-0.32475
MKX	5.1845
RAB28	-0.0933076923076923
PKP3	0.82925
SH3GL2	-2.20566666666667
CTSO	4.021
RPN2	0.269625
IL28RA	0.153333333333333
SFMBT1	-0.2005
WDR57	-0.0345
FER1L3	1.54541666666667
HSF5	-0.2238
TTC9B	-0.191
C4BPA	-2.79183333333333
ALB	-3.536
SORBS3	0.022
UPF2	-0.0685
JPH1	0.767
AGBL2	-1.939
DOPEY1	1.2375
TERF1	0.792666666666667
KIF22	-1.422
NINJ1	1.35175
SEC61A2	-0.814916666666667
HIST1H1D	-0.389666666666667
SFXN4	0.01925
UCP3	-0.1784
ZNF703	1.69683333333333
MYL6B	-1.13775
TREM1	1.25925
OR52E6	-0.9915
CKMT2	2.517
HLA-C	1.038375
SLC13A3	-1.16116666666667
TIMP4	-1.9885
SLIT2	3.2325
RSF1	-0.168111111111111
LONRF1	-1.30892857142857
MON1A	-0.191666666666667
CACNG6	-1.76316666666667
DPPA4	-5.1235
ZSWIM3	-0.25175
ZNF804A	-0.4102
CCIN	1.68025
SLC25A31	0.298
KCNMB4	0.4305
RABL5	0.496875
GALNS	-1.1562
STX6	0.460125
HIST1H1C	-2.7475
CIDEB	-0.291125
CASP4	-0.00249999999999998
PDK3	-0.0708
KCNJ11	2.1965
TPR	-0.623875
ZSCAN20	-0.811
MTX2	-0.35775
HIST1H2BH	-0.76275
LOC283767	0.6385
LYRM7	-0.986388888888889
BRD3	0.391
HIST1H2BO	-1.26925
MAGEB10	-0.399
SLC45A1	0.321
SERPINA3	2.8248
KIAA0143	2.4465
KCNJ16	2.0992
KRT79	0.02525
FABP2	-0.95025
NUT	-0.989
ZNF57	0.243
FBXL4	0.983125
CLEC9A	1.7785
UGT8	-1.69083333333333
BMP2K	0.001
MAPK4	-3.4085
SLC25A23	-0.1367
HINT1	-0.8257
KRTAP13-1	-0.1935
SFXN5	-0.0628
CHCHD2	0.195833333333333
FAM3D	1.267
NDP	3.250125
RHOBTB1	0.359833333333333
SLC4A4	-1.593125
RPL38	-0.135
HTF9C	-0.6235
AP2A2	0.51075
ZBTB46	-1.648
MAP7D1	0.02425
AOX1	0.160833333333333
CYR61	1.13208333333333
DTNA	-0.6305
JRKL	0.90475
TMOD3	0.14775
EEA1	0.1417
ADCK5	-0.16875
IL1R1	2.2515
KLK3	3.1375
HRSP12	0.35975
KTN1	0.1445
LOH11CR2A	1.0219
RELL2	-2.03125
MAB21L1	2.6605
C20orf59	-0.935333333333333
PHKB	-0.5625
ADAM2	-2.4015
TBC1D8B	0.948333333333333
FAM13A1	-1.2919375
LAPTM4B	-1.02758333333333
LCN8	-0.412
TMEM147	1.2505
SYT4	-0.0161666666666667
XPO7	-1.25
C9orf62	1.06625
GPR75	-1.738
TRIM5	-0.339625
APOC1	-1.20166666666667
RNASE4	0.466
PARD6B	-1.5435
ARID1A	-0.16675
TPD52L3	0.692
RRAGB	0.744833333333333
RCN2	-0.7545
HIST2H2BE	-0.3271875
STARD7	-0.17075
SHMT2	-1.303
KIAA1751	0.3765
MLYCD	-0.06825
LOC162632	-1.0407
UQCRH	-1.44925
RP11-217H1.1	0.5170625
SDHA	-0.887833333333333
NCLN	-0.2183
ZNF17	1.27616666666667
RCBTB2	-1.064
VEGFB	-0.3955
RP4-747L4.3	1.04675
COLQ	-0.234777777777778
MPN2	-0.2615
DRG2	-0.46725
KLRB1	7.18275
ALPK2	-2.52375
DNASE2B	1.3065
FLJ23834	-0.6832
AXUD1	0.210333333333333
SAFB	-0.0487
NSUN4	-0.253
RFX2	0.491833333333333
MAPK8IP1	-0.9685
FANCD2	-1.12
ANKZF1	-1.56933333333333
C19orf50	-0.756875
DUSP8	-0.192
SENP5	-0.239375
NFKBIL2	-0.53425
LBR	-1.673375
IGFL1	1.6175
LZTS2	-0.0745
IL2RG	-0.5535
CCDC51	-0.2075
KLF3	-0.306125
ANKRD37	-1.55425
KCTD14	-0.275166666666667
FZR1	0.256583333333333
SLC44A4	3.8268
ESPL1	-1.211375
GMPR2	-0.2036
TBC1D19	-0.540666666666667
ERGIC1	0.494592592592593
ERBB4	3.6735
TSPAN32	0.144583333333333
MAP4	-0.242
GPHN	0.488
SLC6A2	0.825875
HIVEP1	-0.282
DFFB	-0.0999
EIF4EBP2	0.701875
DMRT1	-0.4705
HSPB6	-0.278
IER2	0.159
AIFM1	-0.35975
WWC2	0.292083333333333
MRPL4	-0.50225
FLJ21062	1.32366666666667
EPB41L4A	1.64225
SH2D6	0.23975
TAF4B	-0.42175
GAL3ST3	0.27
MALT1	-1.84316666666667
RTDR1	-0.02225
ARVCF	0.34675
MEX3B	-1.0625
FBXO16	1.28275
KIF7	-0.902
C1QC	3.8055
ZNF783	-0.248666666666667
ZNF85	-0.42325
MMP13	4.7005
KIAA0329	0.527875
RTP3	-0.6985
ZBED3	0.394
CLGN	0.32025
SLC25A37	-1.71383333333333
hCG_18290	-0.063
OR5AS1	-0.024
SMARCC2	0.17275
FAM109A	-0.260666666666667
CCDC12	-0.24825
USF2	0.1577
DEPDC7	-1.13125
C20orf24	-0.915
JMJD3	0.3045
DSP	1.24328571428571
SLIC1	0.299125
FAM20A	0.77575
IRF2BP2	0.062
