Hybridization REF	TCGA-A7-A0D9-11A-53R-A089-07
PAWR	-1.2885
ABCC12	-0.177333333333333
LDLR	-1.3608
ASTN2	-0.1433
LOC441212	-0.5995
GPATCH8	-0.2885
TANC2	-1.13708333333333
KIF4A	-4.2105
C18orf18	0.7615
PGM1	1.7815
KIAA0258	-0.5515
CPD	0.482625
SNCAIP	0.734
DCT	-4.44016666666667
HLA-DOA	2.7175
OR11L1	0.102
UPK1B	-0.0686666666666667
DNAJB4	2.210625
UGT1A8	-0.41025
HIST1H4L	-0.6515
PECR	1.5845
HSPA2	1.07375
WFIKKN1	-3.751
SERP1	0.501
SYDE2	1.49
TACR2	0.4595
NUP85	-1.15475
CD177	-0.9585
LGR5	-1.78883333333333
PIGG	-0.580916666666667
PTHR1	1.803
RAB5A	0.5964
FLJ13224	0.0365
USP9Y	-1.8505
C7orf53	-0.291
LRP1B	4.60775
XAF1	2.0894
ABCG8	-0.5705
ANKDD1A	0.736666666666667
DAND5	0.282
SPAG6	0.364333333333333
LINCR	-2.37725
ZDHHC22	-1.74775
CCDC60	1.1735
THOC7	-0.985166666666667
TCTA	0.8106
OR8K3	0.09025
NY-REN-7	-0.0205
B2M	2.07016666666667
C6orf141	-1.535625
LPPR4	3.9725
SQLE	-4.593375
SEPHS1	-0.464
BTBD14B	0.107857142857143
PLRG1	-0.074
SPG7	-0.336
ZNF614	-0.273833333333333
PARD6G	-0.184
INPP5B	-0.6343
GRPEL2	-0.510875
PPID	-0.6517
TRIM56	-0.10475
UBE2J1	-0.300625
IL20RA	1.83275
LOC387856	0.17925
C1orf107	-0.0524166666666667
UTS2R	0.502
C19orf22	-1.11125
SAFB2	-0.216
KIAA0652	0.339625
KLRG1	1.30833333333333
MS4A8B	-0.327
FRAG1	-1.18325
KIAA1546	0.4435
E2F4	-0.6994
CLEC4M	0.521166666666667
BTBD14A	-1.518
KIAA0999	0.6382
GYPA	-3.27816666666667
TAC1	0.3789
TRAIP	-2.7125
KIAA0232	1.0813
ERCC8	-0.96125
GPX4	2.279625
KIAA0368	0.7225
GPR157	-1.53483333333333
CTAGE4	-0.309
C9orf30	-1.3725
OR52A1	0.1765
HSP90B3P	-0.2395
ALG9	0.1541
BTBD10	0.75075
SDK2	-0.265
BAIAP3	-1.241
RABGGTB	-0.572625
ANKRD40	1.07466666666667
KRT74	0.9135
CALCOCO2	1.49935714285714
SNCA	-1.23325
TMSL8	-5.323875
C2orf53	-0.01
ESRRB	-0.77525
ARHGAP26	-0.497875
TDRD9	-2.219
HRAS	0.0175
KLRC4	-2.3365
JAGN1	-0.147666666666667
BSDC1	0.88775
RNF43	-3.1297
NDUFAF1	0.64
PHF12	-0.435
OR1L3	-0.139
FOLR2	3.94883333333333
LYZL6	-0.0856
tcag7.1260	-0.6695
WSB1	-0.620666666666667
PROS1	1.3547
OSTN	0.5155
PSMB8	-0.157
SOCS4	0.593
DDIT4L	3.93125
MAS1	0.529
MGC34796	0.82375
CSHL1	0.1055
TBCCD1	0.0416666666666667
ZBTB7C	-0.224
AP2S1	-1.162875
P15RS	-0.2033
VAT1	0.3313
SHANK3	2.1775
TUFM	-0.535
THEG	-0.80775
KRT34	-1.96075
SGSM3	-0.770625
TOMM22	0.39825
SOCS3	3.36033333333333
CPO	1.8175
POP4	0.668
BHLHB3	2.722
MALL	1.48075
OR1B1	-0.301
PARK2	2.80933333333333
GPR124	2.684
LCE1E	-0.721
RUVBL2	-1.61575
CGRRF1	1.1687
ACPL2	-0.39275
WNT10B	0.389875
BAIAP2L2	-2.0125
ISCA1	1.3245
C1orf125	-0.433625
RPAP1	-0.6
RAI16	-0.148166666666667
RPL27	-0.421125
NLRP9	-0.7075
EPN1	-0.4465
LOC388610	-2.54775
SLC35A1	0.1495
GAL	-3.78
SLC14A2	0.9815
RDH11	-1.32216666666667
FAM138F	-0.7585
AUH	0.96075
FLJ40243	0.62875
C14orf129	0.216
MBD2	0.579666666666667
ABHD14B	0.643375
PIGT	0.044375
ALS2CR4	-0.3595
ALAS1	0.3378
FOXO1	3.87016666666667
CRLF3	-0.013125
C20orf107	0.168
FARS2	0.75525
CCDC28A	1.432
NPHP3	0.12925
OR13F1	0.5685
TSEN54	-1.96625
DEFB106B	0.2667
OR8B4	1.1635
STH	0.356
ZC3H14	0.001625
CBX2	-0.1825
TMEM49	-0.62175
C6orf21	0.059
FLJ20920	1.005875
CRTAP	2.04921428571429
DDX50	0.408
STYXL1	-1.16775
BLVRB	0.375166666666667
LOC147650	0.396833333333333
MMP24	0.98275
GRID1	2.574
BANF1	-1.23433333333333
CTAGEP	-0.422
HMBS	-2.1345
SLC25A24	0.388
C14orf50	3.66125
MRO	3.17166666666667
SLC25A15	-2.40675
FAM84B	-0.0724
TDP1	-1.4315
C16orf78	-0.243666666666667
C11orf57	0.236875
RFK	-0.5285
ZFYVE9	-0.35375
STCH	-0.9246
WIBG	-0.00575
LOC283871	-1.07583333333333
GBA2	-0.9311
NDUFB3	-0.417
HSD17B13	4.5735
GRIN3A	2.77833333333333
FMNL1	-0.091
SEPT7	0.6315
GNLY	3.167
GRAMD1C	-0.524833333333333
ZNF165	-2.462
USP38	0.6835
FAM83A	-4.01583333333333
C14orf24	0.825916666666667
ARMCX3	1.877625
ARHGDIB	-0.339666666666667
AK1	0.562
KIAA1045	1.03025
DNAJB13	-0.6455
NEU2	1.59
HIST1H4B	-1.4305
FAM20B	0.0965
HES2	-0.679714285714286
FAM73B	-0.5472
LOC388381	0.90275
INTS7	-1.124
AMPH	2.494
ZNF775	-0.677375
UCKL1	-1.00483333333333
C10orf97	0.88175
C1orf161	-0.23725
ALDH1L1	3.86675
FLJ39378	0.187875
SLC23A1	-2.363
RBM4B	-0.19225
THAP4	-0.0216666666666667
OGFRL1	1.17375
KIAA0831	0.6015
PPP1R15A	1.26116666666667
C1orf96	-0.894857142857143
C12orf11	-1.904
BMF	0.093625
MAN1A1	1.100875
KIAA1600	2.46333333333333
NLGN4X	0.55475
ALOX12	-1.299
RB1CC1	0.9593
NEIL2	1.4679
EIF4E	0.106727272727273
ABHD5	1.6665
EXOC4	0.145333333333333
CIP29	-0.5325
BATF2	0.35675
SLC29A4	1.7175
HTR4	1.6045
EMB	0.14225
TRAF6	0.94775
LMNB1	-4.53075
FAM19A5	-0.767
SHE	3.66625
PIK3C2B	1.63425
C15orf15	-0.391
USP15	0.6084
TCEAL2	1.07475
C5orf39	-0.141666666666667
PTGER2	1.209
SLC31A1	-0.5084375
IFT172	-0.16725
ADAM29	-0.199
GFOD1	2.57175
ST7L	0.335333333333333
C15orf26	-3.4915
PKN3	-0.671
CNTD1	0.421
COMMD1	0.595
NTRK2	5.65358333333333
FOXN3	3.5415
MFGE8	-0.0563
PFKFB2	-0.0243333333333333
TAS2R4	0.0025
ENTHD1	-0.429166666666667
PRMT5	-1.315875
MGC16384	-0.965625
LOC442229	0.59875
TSKU	2.442375
KRTCAP3	-2.553625
PDLIM1	0.1102
KCNS2	0.483
RNF126	-0.707
CEP63	1.0475
CLIC4	1.242375
hCG_1990170	1.05625
ACR	1.4048
KLK7	-0.15075
ALOX5AP	3.52925
RIPK3	3.58175
TAS2R9	-0.543
C19orf18	1.588
BIRC6	-0.100357142857143
ZNF16	0.4315
RFT1	-0.94325
SLC8A2	-0.8965
TACC1	3.34175
ITGAD	0.804
SAMHD1	2.181
SH3PXD2B	0.5923
EPC2	1.3035
C20orf85	0.279875
ATP13A2	-1.18816666666667
KRT4	0.17375
CAPNS1	-0.15625
MDM2	0.584916666666667
PCDH20	2.09075
KCNK9	0.4735
OR2C1	0.2115
KLHDC3	-0.5675
IPPK	-0.7065
EFHD2	-0.3495
GALR3	0.22825
NBEA	1.465
ABCA6	6.0818
CLDN3	-3.688
AKT2	0.428785714285714
EGFR	1.6356
RBM16	0.433125
ZDHHC3	1.0547
SLC25A4	0.347166666666667
CYB5B	0.160166666666667
CPXM1	0.87925
NDRG1	0.452923076923077
FLJ43826	0.235
OR5L2	0.506333333333333
FARP2	0.3759
MRPL46	-0.0981666666666667
LDHAL6B	-0.0095
MAPKAPK3	-0.984
NCAM2	-2.0735
PRKD2	-0.295333333333333
ZFP36L1	1.4261
CYSLTR1	1.27075
OR4C3	-0.641
HIST1H2AJ	1.311
CCNB2	-4.45711111111111
ZNF10	-0.296375
TMEM175	0.371
FAM134A	-0.108666666666667
TIGD4	-0.9725
PCNP	0.24325
MGC39715	0.659
LQK1	-1.59375
CREB1	1.1788
TMPRSS3	-3.5405
C4orf32	2.074375
LAT	-2.05558333333333
KCNA3	-0.616
SKIV2L2	-0.94425
ROPN1B	-4.51875
tcag7.23	-1.4335
CDT1	-4.69125
ZHX2	1.14575
CD28	-0.7305
ZNF624	1.394
SEPT2	0.599583333333333
SOHLH2	-0.87825
MCOLN3	0.738428571428572
UNQ1945	0.0655
MASP2	-1.3735
ZNRF3	0.4135
GPATCH3	-0.3645
AGL	1.650125
QRICH2	-0.6145
PSD4	-1.77233333333333
CCNB1IP1	-2.0515
ENPP7	-0.1075
OBFC1	0.232
KCNG3	-2.54025
C14orf79	-1.202
ENPEP	3.65233333333333
SCT	-0.384
SKI	1.757375
SEC61G	-1.6195
CAPN11	1.94425
ATXN7L3	-1.0465
DBNDD1	-1.90233333333333
FAIM	1.52175
ANKRD36	-0.2
GABRP	-0.519666666666667
TACSTD2	-2.48416666666667
EIF3J	-0.54375
PPP2R2A	-0.65575
TEKT4	0.6455
PVALB	-4.022
F10	0.969166666666667
FAM134C	0.931
COMP	3.799375
EFCBP1	0.477375
SCLT1	1.26275
TAL1	-0.1404
ACSL1	5.322
ABCC5	-0.567083333333333
ABL1	-0.00344444444444444
RBBP7	-0.51875
PTPRG	0.996
NCOR1	0.3564
SPINK4	-1.72983333333333
TXNRD1	-0.5475
TNRC15	1.2145
C9orf138	0.75825
UBE2H	0.880166666666667
BRDT	0.183333333333333
C8orf31	-0.17625
CCNE2	-3.57818181818182
SLC6A8	-1.658375
CALCR	-2.4975
PPP1CB	0.896166666666666
ABHD8	-0.47975
ARF5	-0.8006
SLC24A4	1.657
CCT3	-1.386
ZNF121	0.7735
SLC3A2	-1.4641
OR13A1	-0.2515
SLC5A10	-0.67225
RAD50	0.223375
IER5	-0.452
MTHFD1L	-2.302625
MBTPS2	-0.02025
MVK	-0.673
NCL	-0.0912
PSMD10	-0.64
MOBP	0.19475
FLJ32894	-0.622
HRH1	1.11966666666667
C5orf30	0.53375
NUDT16L1	-0.3037
RASGRP3	4.39933333333333
PRKRIP1	-0.6325
CCDC75	2.438
LOC253970	-0.0216666666666667
KIAA1239	5.40975
MED21	-0.29825
SYT11	0.63275
NTSR2	-0.707
EGFL11	-0.455
CXorf59	-1.224
OR2A25	-0.015
SPTBN2	-2.753
LRMP	0.565666666666667
RNF111	0.522
PTH	-0.905
LOC619208	0.543333333333333
KIAA0895	-1.72075
RANBP5	0.1075
P2RY10	0.571333333333333
NME5	2.90366666666667
DDX21	-1.24875
LRSAM1	-0.677
HDAC11	-0.430166666666667
VMO1	1.34175
NOLA2	-1.1875
ADAR	-0.3405
MTO1	-0.7965
SF4	-0.0278333333333333
P2RX1	0.268333333333333
HBM	2.6415
EN2	-0.2915
C14orf172	-0.3515
TM9SF2	0.4043
INHBE	-1.75383333333333
TCTE3	-0.12475
TOX2	-1.922
CTAGE3	0.25925
HBB	5.7598
MED15	-0.782166666666667
CASR	0.76525
C6orf66	-0.631666666666667
MTPN	1.0655
UNC50	0.4515
C21orf33	0.7165
IRF2	1.294375
PGR	-0.518333333333333
GPR84	0.32075
CROCCL1	-2.4025
SRPX	2.203
BRE	-0.064
FGF10	4.00325
SDC3	-0.59
ZRSR1	0.643166666666667
DKFZP434P211	-0.18675
SOX6	-0.9025
RPUSD2	-0.8595
C14orf173	0.798416666666667
MAPK11	0.233666666666667
TBC1D22A	0.293
FAM123A	-0.227
COL4A6	-3.15283333333333
TOMM70A	0.57975
NAB1	1.992625
MGC16385	-0.260625
TSPAN18	1.2085
MED31	-0.31775
PLG	-0.6185
CAPSL	-0.267
ZNF532	1.2543
ASB14	0.014
CA8	-1.59525
NUDT16P	1.68816666666667
SLFN11	0.188
LRRIQ2	-0.389625
NOL7	-0.568333333333333
BRMS1L	-0.07275
JARID1A	0.897
PANK2	-0.24575
ICAM3	-0.30425
MDS1	1.54525
TAF8	0.7005
RNF139	0.95725
ZNF594	-0.5165
ADAM8	0.380875
SFTPC	0.000124999999999945
MAN2B2	1.530375
RGS12	0.558375
EIF1AY	-4.72525
LRRIQ1	-0.797166666666667
GPR150	0.587
CCDC21	-2.58783333333333
PRRG3	1.94475
SAA4	-2.55675
RAPGEF5	1.65325
ZCCHC2	0.277583333333333
MGC39372	-0.73
PPP4R2	0.409166666666667
CDCA2	-3.745
OR4D5	0.2465
PTGFRN	-0.5384
SIGLEC5	1.537
C19orf61	-1.3585
NMUR2	0.5035
KIAA1586	0.07
DAGLA	0.0358333333333333
CHCHD6	-0.55925
GPR32	0.5105
NEUROD6	0.644166666666667
SLC2A4RG	0.459875
CA5B	0.5615
FBXL3	2.14225
MPHOSPH9	-1.5215
HMG2L1	0.014
HCN4	0.125666666666667
CEACAM19	-0.293
SH2D4B	0.7525
HFE2	-0.9675
TGM4	0.422
LYPD2	0.4
TBC1D15	0.88275
MRPS21	-0.4982
NONO	-1.3381
CLEC5A	0.25925
ITCH	0.5017
MGAT3	1.76816666666667
MBP	0.277875
RPP25	-1.16975
SOSTDC1	-2.566
HRC	-0.65725
TRIM48	-0.28
TMEM133	2.24875
ECEL1P2	-1.2025
HOXC11	-1.451
DOK5	0.90875
HELZ	1.49266666666667
LOC348180	-1.03725
MGC33894	0.84525
ADRB3	1.206
DMD	2.60641666666667
PTRH2	-1.13625
MPEG1	4.04433333333333
NDUFA12	0.299166666666667
KRTAP2-4	0.0504166666666667
STAMBPL1	-0.5185
ADCY2	0.0785
UNQ6125	0.255
KLHL20	1.47766666666667
SRM	-1.5405
OTC	1.597
TMIE	0.910333333333333
SNX8	-0.11525
LIPK	-0.1035
CHURC1	1.85208333333333
KLC2	-0.086
HDAC1	-1.93816666666667
FAM128A	-1.11433333333333
FNDC3B	1.1099
MTCP1	-0.0895000000000001
WFDC10B	-0.1901
PCDHGB3	0.4805
ATRNL1	-2.3503
CAV2	4.07975
MED26	0.0376666666666667
DUS1L	-0.335
CHRM3	-1.314625
NEK9	1.24
WARS2	-0.2805
TBX22	1.0725
TOMM40	-1.91625
RP6-213H19.1	-3.33666666666667
TUBGCP5	0.0225
IGSF6	5.29875
TPPP	2.3245
UNQ6190	0.4175
GSTM5	3.44125
BTD	2.28166666666667
PDCD1LG2	1.3575
SNRPB2	-0.614
ERICH1	0.81475
APOA4	-1.617625
HOXA11	-0.762
NARG1	-0.715875
MKX	0.83375
RAB28	0.235285714285714
PKP3	-2.73075
SH3GL2	-0.07175
CTSO	3.566
RPN2	-0.947375
IL28RA	-1.1745
SFMBT1	-1.2905
WDR57	-1.209125
FER1L3	1.40816666666667
HSF5	0.0173333333333333
TTC9B	0.5265
C4BPA	-3.03683333333333
ALB	-4.85264285714286
SORBS3	0.2725
UPF2	0.5555
JPH1	-1.126
AGBL2	-2.19225
DOPEY1	2.475
TERF1	-0.03825
KIF22	-2.124
NINJ1	-0.14325
SEC61A2	-1.82041666666667
HIST1H1D	-2.198
SFXN4	-0.91825
UCP3	-0.1043
ZNF703	0.169333333333333
MYL6B	-1.4
TREM1	2.68525
OR52E6	0.2515
CKMT2	5.14225
HLA-C	2.139125
SLC13A3	-1.84066666666667
TIMP4	4.68775
SLIT2	4.12225
RSF1	0.813055555555556
LONRF1	-0.145214285714286
MON1A	-0.438666666666667
CACNG6	-2.30766666666667
DPPA4	-5.46933333333333
ZSWIM3	-0.04
ZNF804A	0.874166666666667
CCIN	1.305
SLC25A31	0.43775
KCNMB4	-0.39175
RABL5	-0.539625
GALNS	-0.8294
STX6	0.579875
HIST1H1C	-2.09016666666667
CIDEB	-0.190375
CASP4	0.8085
PDK3	-2.3147
KCNJ11	-0.6685
TPR	0.235375
ZSCAN20	-0.585
MTX2	-0.34425
HIST1H2BH	-1.96625
LOC283767	2.46425
LYRM7	-0.0558333333333334
BRD3	-0.113666666666667
HIST1H2BO	-2.2955
MAGEB10	0.448
SLC45A1	1.2915
SERPINA3	-2.9993
KIAA0143	1.11075
KCNJ16	3.47783333333333
KRT79	-0.92475
FABP2	-0.26475
NUT	-0.0845
ZNF57	-1.05575
FBXL4	0.844625
CLEC9A	1.822
UGT8	-1.64333333333333
BMP2K	0.3955
MAPK4	-3.5205
SLC25A23	0.0874
HINT1	-0.8603
KRTAP13-1	0.448
SFXN5	-1.2482
CHCHD2	-0.389
FAM3D	-0.05
NDP	-2.746125
RHOBTB1	1.1405
SLC4A4	2.56
RPL38	0.08325
HTF9C	-0.780666666666667
AP2A2	0.687875
ZBTB46	0.089
MAP7D1	2.26175
AOX1	2.27666666666667
CYR61	2.68675
DTNA	0.955928571428571
JRKL	1.425
TMOD3	-0.2265
EEA1	1.5478
ADCK5	-1.4905
IL1R1	3.85783333333333
KLK3	0.0727142857142857
HRSP12	1.04025
KTN1	0.748
LOH11CR2A	1.1157
RELL2	-2.76275
MAB21L1	4.6785
C20orf59	-1.87183333333333
PHKB	0.582
ADAM2	-1.9275
TBC1D8B	1.97466666666667
FAM13A1	1.2253125
LAPTM4B	-2.68016666666667
LCN8	-0.1835
TMEM147	-0.4955
SYT4	1.43816666666667
XPO7	-0.8785
C9orf62	0.1375
GPR75	-0.508
TRIM5	0.83425
APOC1	-1.18933333333333
RNASE4	2.6005
PARD6B	-4.187125
ARID1A	-0.3935
TPD52L3	-0.3006
RRAGB	1.38666666666667
RCN2	-0.592166666666667
HIST2H2BE	-1.8485
STARD7	-0.06225
SHMT2	-2.6355
KIAA1751	-0.3084
MLYCD	1.581625
LOC162632	-0.1126
UQCRH	-1.17325
RP11-217H1.1	0.1739375
SDHA	-0.586166666666667
NCLN	-0.6806
ZNF17	0.277
RCBTB2	0.31275
VEGFB	1.9924
RP4-747L4.3	-0.23825
COLQ	0.762
MPN2	0.616
DRG2	-0.58825
KLRB1	6.127
ALPK2	-2.272
DNASE2B	3.67275
FLJ23834	0.153833333333333
AXUD1	3.07233333333333
SAFB	-0.0326
NSUN4	-0.70475
RFX2	0.859666666666667
MAPK8IP1	-0.538666666666667
FANCD2	-3.16714285714286
ANKZF1	-2.01583333333333
C19orf50	-0.131125
DUSP8	1.658625
SENP5	-0.262375
NFKBIL2	-1.50925
LBR	-0.263125
IGFL1	0.5435
LZTS2	1.061375
IL2RG	-1.30625
CCDC51	-0.09075
KLF3	0.88075
ANKRD37	-1.143
KCTD14	-1.275
FZR1	-0.200333333333333
SLC44A4	-1.737
ESPL1	-1.8895
GMPR2	-0.5026
TBC1D19	-0.340833333333333
ERGIC1	-0.127555555555556
ERBB4	1.4286
TSPAN32	0.545333333333333
MAP4	0.890875
GPHN	0.18525
SLC6A2	2.973375
HIVEP1	0.6925
DFFB	-0.6234
EIF4EBP2	2.139625
DMRT1	-0.23
HSPB6	1.96275
IER2	0.654166666666667
AIFM1	0.1785
WWC2	1.13383333333333
MRPL4	-1.14875
FLJ21062	1.40416666666667
EPB41L4A	1.65316666666667
SH2D6	0.2665
TAF4B	-0.6565
GAL3ST3	-0.4005
MALT1	-0.636333333333333
RTDR1	0.07225
ARVCF	-1.121
MEX3B	-0.854
FBXO16	-5.18875
KIF7	-0.69875
C1QC	4.30916666666667
ZNF783	-0.943666666666667
ZNF85	-0.081
MMP13	0.727
KIAA0329	0.67875
RTP3	-1.2465
ZBED3	1.569
CLGN	-4.74375
SLC25A37	-0.495666666666667
hCG_18290	-0.18325
OR5AS1	0.172
SMARCC2	1.17925
FAM109A	0.0521666666666667
CCDC12	-0.0985
USF2	0.6629
DEPDC7	-2.667
C20orf24	-0.704
JMJD3	0.51
DSP	-3.25771428571429
SLIC1	0.45525
FAM20A	1.52075
IRF2BP2	0.7435
ZNF230	0.012
MSN	0.299714285714286
SLC9A5	-2.4045
EPDR1	2.4332
MUSK	-0.0145
ZNF434	0.393833333333333
SMARCD1	-0.346
