Hybridization REF	TCGA-B6-A0WX-01A-11R-A109-07
SNAPC1	-0.991833333333333
GNA11	1.0355
CCDC52	0.140833333333333
FSIP1	-0.4845
UPF3A	-0.75575
IGSF11	-2.04183333333333
LAGE3	-0.1885
CHST6	0.591
UNC13B	0.201875
TTLL4	0.340875
ZNF687	1.034375
SDC2	1.1994
COX7A2	-0.24
LAMB4	2.487
FAM24A	0.5145
LRRTM3	-0.649
GPHB5	0.11
OR4C13	0.5115
EIF3EIP	-0.115571428571429
HABP4	-0.2865
TMEM125	3.83675
CNTN2	0.25625
ASNSD1	0.26375
FUT4	0.831875
ACF	-3.39625
LOC158381	-0.5175
CDH8	0.37875
AGPS	-0.792166666666667
C4orf18	3.342625
PECI	-1.64666666666667
UNG	-0.988875
GSTP1	0.48025
DCUN1D5	-1.61416666666667
DKFZP564J0863	-0.5495
SLC9A3R1	-0.824
BCDO2	-0.72675
CHMP7	-0.454125
REM2	0.412
DNHD1	-0.430125
FKBP4	-0.811875
ZNF350	1.28575
MGC11102	-0.32575
BST1	0.79475
KISS1R	1.339
NCR2	0.113
DEFB125	0.2015
UBE2W	1.153125
KRT15	0.866125
C10orf99	0.1305
SCN11A	0.678875
GFI1	-1.812
RDHE2	-0.194
FHL1	-0.4275
OSGEP	-0.286833333333333
GATA1	-2.80683333333333
SMC6	0.266
TTTY14	-1.03575
LPIN3	0.047
RPL4	-0.7969
RBPMS	0.0734
PRPF3	1.28866666666667
EMR1	-1.706
SPATA19	-0.25475
XCR1	0.196
IRX3	1.1459
RBM6	-0.482
KLF4	-1.7783
UNC5CL	0.08025
SEBOX	0.4995
BTK	-0.79275
KRCC1	1.1335
C6orf27	0.051
SYTL5	-0.7
PRND	1.482
LOC653319	-1.6025
PIGL	-0.418125
HUS1	-0.00216666666666667
SFRS6	-1.9285
C17orf77	0.314
UIMC1	-0.832333333333333
FXYD2	-1.5308
LOC283152	-0.5525
ZNF667	0.289
ZCCHC12	-0.83525
TFEC	1.8707
ATP7B	-0.542333333333333
POLD2	-1.07133333333333
RG9MTD1	0.063
ACOT2	-0.253833333333333
HIST1H4I	-0.644875
PPARGC1A	-1.161
ETFA	-2.1628
POLRMT	0.15725
ZNF146	-0.315375
MIA2	-0.9015
KLHL6	-0.325333333333333
HOXB5	0.052625
NENF	1.75566666666667
CUGBP1	-0.2635
PRSS22	2.20333333333333
CASC4	1.0737
CUL4B	0.3415
CENPJ	-1.2054
PITX1	-0.5135
FLJ31033	0.666666666666667
CELSR3	-0.564333333333333
ZNF568	-0.00250000000000001
ITSN1	-0.00383333333333336
EHBP1L1	-0.5375
C19orf2	-0.2995
DCTN1	-0.2075
LIN28B	-2.54683333333333
TNKS2	-0.419
C1QBP	0.065
CADPS2	0.434
SRMS	0.18425
GJA9	0.0595
MGC24975	-0.1425
TRIM45	1.61566666666667
TSP50	1.2535
TCP1	-0.71225
TMED7	-0.4315
CMA1	0.594
CENPL	-0.2485
PTCRA	-0.372
FST	0.014
VWCE	-3.75375
PAWR	0.2745
ABCC12	-0.1096
LDLR	-1.3886
ASTN2	0.3329
LOC441212	-0.042625
GPATCH8	0.20175
TANC2	-0.68575
KIF4A	-1.768
C18orf18	-1.439
PGM1	-0.977
KIAA0258	1.3665
CPD	0.827625
SNCAIP	-0.6555
DCT	-4.24383333333333
HLA-DOA	2.15168181818182
OR11L1	0.341
UPK1B	-0.00916666666666665
DNAJB4	0.1975
UGT1A8	-0.05775
HIST1H4L	0.085
PECR	-1.24016666666667
HSPA2	-0.67025
WFIKKN1	-2.5275
SERP1	-0.2795
SYDE2	2.355
TACR2	0.343
NUP85	-0.2925
CD177	-0.664666666666667
LGR5	-0.78
PIGG	-0.562166666666667
PTHR1	-0.290333333333333
RAB5A	-0.1229
FLJ13224	-0.0085
USP9Y	-0.825666666666667
C7orf53	-0.277
LRP1B	-0.63425
XAF1	2.2076
ABCG8	-0.7065
ANKDD1A	-0.1285
DAND5	-0.738
SPAG6	0.0146666666666667
LINCR	2.169
ZDHHC22	-1.621375
CCDC60	0.0825
THOC7	-0.7555
TCTA	0.4046
OR8K3	-0.25975
NY-REN-7	-0.0515
B2M	0.922333333333333
C6orf141	-2.744375
LPPR4	1.2585
SQLE	-0.2905
SEPHS1	-0.37225
BTBD14B	0.475214285714286
PLRG1	-0.24425
SPG7	-0.3674375
ZNF614	-0.928666666666667
PARD6G	1.99183333333333
INPP5B	0.2813
GRPEL2	-0.86725
PPID	-0.6832
TRIM56	0.04875
UBE2J1	-0.20925
IL20RA	1.27275
LOC387856	0.49675
C1orf107	1.53208333333333
UTS2R	1.6655
C19orf22	0.2835
SAFB2	0.02225
KIAA0652	-0.675375
KLRG1	0.213
MS4A8B	0.239
FRAG1	-0.3455
KIAA1546	0.18725
E2F4	-1.4355
CLEC4M	0.191
BTBD14A	-1.39375
KIAA0999	0.4659
GYPA	-2.6605
TAC1	0.0932
TRAIP	-1.3315
KIAA0232	-0.1323
ERCC8	-1.7715
GPX4	0.929375
KIAA0368	-0.413375
GPR157	-1.08616666666667
CTAGE4	0.383
C9orf30	-0.978833333333333
OR52A1	0.2495
HSP90B3P	0.091
ALG9	-0.6957
BTBD10	0.34425
SDK2	0.48175
BAIAP3	0.05825
RABGGTB	-0.414
ANKRD40	-0.572166666666667
KRT74	0.737
CALCOCO2	0.0229285714285714
SNCA	-2.99425
TMSL8	-1.372875
C2orf53	-0.163
ESRRB	-0.5015
ARHGAP26	-0.5455
TDRD9	-1.80025
HRAS	-0.552666666666667
KLRC4	-2.9715
JAGN1	-0.00233333333333333
BSDC1	0.287
RNF43	-0.0754
NDUFAF1	-1.1615
PHF12	0.46975
OR1L3	0.34575
FOLR2	1.35241666666667
LYZL6	0.323333333333333
tcag7.1260	-1.4215
WSB1	-1.09266666666667
PROS1	-0.2925
OSTN	0.343
PSMB8	-0.39375
SOCS4	-0.784625
DDIT4L	2.962
MAS1	-0.153
MGC34796	0.13125
CSHL1	0.164166666666667
TBCCD1	0.695
ZBTB7C	-0.234
AP2S1	-1.04875
P15RS	0.0055
VAT1	-0.2356
SHANK3	1.16266666666667
TUFM	-0.387833333333333
THEG	1.216
KRT34	-2.18075
SGSM3	-0.323125
TOMM22	-0.89475
SOCS3	0.4995
CPO	0.667
POP4	0.10025
BHLHB3	2.6905
MALL	2.5145
OR1B1	0.0425
PARK2	0.568166666666667
GPR124	1.273875
LCE1E	0.135
RUVBL2	-1.107
CGRRF1	-0.0854
ACPL2	0.6145
WNT10B	-1.203125
BAIAP2L2	-1.815875
ISCA1	-0.187
C1orf125	0.36375
RPAP1	-0.989
RAI16	-1.15516666666667
RPL27	-0.322
NLRP9	-0.1545
EPN1	-0.128
LOC388610	-0.23025
SLC35A1	0.4421
GAL	-1.76075
SLC14A2	-0.269
RDH11	-1.39516666666667
FAM138F	-0.5785
AUH	-0.84275
FLJ40243	0.227
C14orf129	-0.806166666666667
MBD2	-0.6085
ABHD14B	0.185875
PIGT	-0.240875
ALS2CR4	0.4005
ALAS1	0.4789
FOXO1	1.97583333333333
CRLF3	0.321625
C20orf107	0.154
FARS2	0.54725
CCDC28A	0.7155
NPHP3	-0.2565
OR13F1	0.14
TSEN54	-0.322
DEFB106B	-0.202
OR8B4	0.1755
STH	0.048
ZC3H14	-0.6905
CBX2	-0.078
TMEM49	-1.211
C6orf21	0.467
FLJ20920	0.073625
CRTAP	0.179428571428571
DDX50	0.4745
STYXL1	0.4885
BLVRB	-1.1655
LOC147650	-0.584833333333333
MMP24	-0.23025
GRID1	1.74466666666667
BANF1	-0.3345
CTAGEP	-0.33925
HMBS	-1.813
SLC25A24	-1.01766666666667
C14orf50	0.14075
MRO	-0.0085
SLC25A15	-1.35725
FAM84B	1.5096
TDP1	-0.4925
C16orf78	-0.0951666666666667
C11orf57	0.43925
RFK	-0.355625
ZFYVE9	-0.043375
STCH	-0.435
WIBG	-0.2845
LOC283871	-0.984666666666667
GBA2	-0.9931
NDUFB3	-0.221
HSD17B13	-0.66825
GRIN3A	0.813666666666667
FMNL1	-0.5095
SEPT7	0.0249
GNLY	1.192
GRAMD1C	0.527666666666667
ZNF165	-0.49825
USP38	-0.061
FAM83A	-3.00883333333333
C14orf24	0.0321666666666667
ARMCX3	1.100125
ARHGDIB	-0.1365
AK1	-0.012125
KIAA1045	0.457
DNAJB13	-0.262166666666667
NEU2	-0.0135
HIST1H4B	0.130666666666667
FAM20B	0.00390000000000004
HES2	0.380857142857143
FAM73B	-0.9801
LOC388381	-0.432
INTS7	0.468636363636364
AMPH	1.71125
ZNF775	0.292375
UCKL1	-0.511
C10orf97	-0.7615
C1orf161	0.105
ALDH1L1	-1.337
FLJ39378	-0.15475
SLC23A1	-1.7795
RBM4B	0.47825
THAP4	0.376666666666667
OGFRL1	1.422
KIAA0831	0.519625
PPP1R15A	-0.3685
C1orf96	1.43214285714286
C12orf11	-1.6915
BMF	0.796875
MAN1A1	-1.408
KIAA1600	0.647
NLGN4X	0.15475
ALOX12	-1.38033333333333
RB1CC1	1.4951
NEIL2	0.3591
EIF4E	-1.1195
ABHD5	0.32925
EXOC4	0.116
CIP29	-0.953166666666667
BATF2	-0.375
SLC29A4	-0.017625
HTR4	0.237
EMB	-0.9575
TRAF6	0.3345
LMNB1	-2.09925
FAM19A5	0.14975
SHE	3.34975
PIK3C2B	0.6465
C15orf15	-0.9231
USP15	-0.0548
TCEAL2	1.2765
C5orf39	0.848666666666667
PTGER2	-1.40525
SLC31A1	-0.9904375
IFT172	1.18575
ADAM29	0.0605
GFOD1	-0.01025
ST7L	-0.403666666666667
C15orf26	-2.50175
PKN3	-1.75125
CNTD1	0.811666666666667
COMMD1	0.594
NTRK2	2.95
FOXN3	0.6465
MFGE8	0.3956
PFKFB2	1.3255
TAS2R4	0.3095
ENTHD1	0.495666666666667
PRMT5	-1.594375
MGC16384	-1.154375
LOC442229	-0.195
TSKU	0.1135
KRTCAP3	3.5005
PDLIM1	0.4929
KCNS2	0.32825
RNF126	-0.587666666666667
CEP63	-0.0195
CLIC4	0.636375
hCG_1990170	3.98075
ACR	1.0719
KLK7	2.11425
ALOX5AP	2.42225
RIPK3	2.0505
TAS2R9	-0.0075
C19orf18	0.5885
BIRC6	-0.169571428571429
ZNF16	1.678
RFT1	0.395
SLC8A2	-0.70175
TACC1	0.893
ITGAD	1.03375
SAMHD1	1.53525
SH3PXD2B	1.5893
EPC2	1.7595
C20orf85	0.233875
ATP13A2	-0.63
KRT4	1.275625
CAPNS1	-0.9035
MDM2	0.662666666666667
PCDH20	0.87725
KCNK9	-0.0555
OR2C1	-0.08
KLHDC3	-0.3895
IPPK	-0.97
EFHD2	-0.769875
GALR3	1.59
NBEA	1.93633333333333
ABCA6	2.2627
CLDN3	2.64766666666667
AKT2	-1.206
EGFR	0.6645
RBM16	0.596375
ZDHHC3	0.0719
SLC25A4	-0.487
CYB5B	-2.37266666666667
CPXM1	1.475
NDRG1	-0.621461538461539
FLJ43826	0.08975
OR5L2	0.143666666666667
FARP2	0.3302
MRPL46	-1.35533333333333
LDHAL6B	0.249666666666667
MAPKAPK3	-1.019
NCAM2	-2.11475
PRKD2	0.00633333333333333
ZFP36L1	1.4135
CYSLTR1	-0.12875
OR4C3	-0.07525
HIST1H2AJ	-0.2525
CCNB2	-2.28666666666667
ZNF10	-0.231375
TMEM175	0.9145
FAM134A	0.616
TIGD4	0.4415
PCNP	-0.36275
MGC39715	0.3985
LQK1	-1.8175
CREB1	0.1792
TMPRSS3	0.844
C4orf32	-0.918
LAT	-0.856416666666667
KCNA3	0.768
SKIV2L2	-1.0815
ROPN1B	1.0105
tcag7.23	-0.9785
CDT1	-1.828125
ZHX2	1.013875
CD28	-2.56275
ZNF624	1.9505
SEPT2	0.39325
SOHLH2	-1.324
MCOLN3	-0.508375
UNQ1945	0.6335
MASP2	-1.0115
ZNRF3	-0.3645
GPATCH3	-0.492
AGL	1.327125
QRICH2	0.4335
PSD4	-0.00966666666666667
CCNB1IP1	-1.40275
ENPP7	-0.666
OBFC1	-0.86275
KCNG3	-2.41075
C14orf79	-0.277583333333333
ENPEP	1.2835
SCT	2.5325
SKI	1.201375
SEC61G	-0.82225
CAPN11	0.3025
ATXN7L3	-0.372
DBNDD1	0.0588333333333333
FAIM	0.83325
ANKRD36	2.0015
GABRP	3.48966666666667
TACSTD2	2.98566666666667
EIF3J	-0.74075
PPP2R2A	-1.27775
TEKT4	-0.362666666666667
PVALB	-3.49566666666667
F10	-1.75083333333333
FAM134C	0.5596
COMP	5.1375
EFCBP1	-1.6338125
SCLT1	0.53575
TAL1	-1.1043
ACSL1	0.96675
ABCC5	0.830416666666667
ABL1	-0.550111111111111
RBBP7	-0.412916666666667
PTPRG	1.121125
NCOR1	0.6888
SPINK4	-2.02033333333333
TXNRD1	-1.7765
TNRC15	1.402
C9orf138	1.603625
UBE2H	0.8555
BRDT	0.0795
C8orf31	1.633
CCNE2	-1.08754545454545
SLC6A8	-1.106875
CALCR	-3.482
PPP1CB	0.633416666666667
ABHD8	0.34325
ARF5	0.3097
SLC24A4	0.61
CCT3	0.8865
ZNF121	0.02075
SLC3A2	-1.4652
OR13A1	0.171
SLC5A10	0.26975
RAD50	-0.084375
IER5	1.1335
MTHFD1L	-1.472125
MBTPS2	-0.13425
MVK	-1.35975
NCL	0.132
PSMD10	-0.82025
MOBP	0.204625
FLJ32894	-0.086
HRH1	-0.054
C5orf30	-1.5315
NUDT16L1	0.065
RASGRP3	3.01566666666667
PRKRIP1	-0.3465
CCDC75	0.66825
LOC253970	0.26175
KIAA1239	0.33525
MED21	0.56
SYT11	0.439416666666667
NTSR2	-0.2855
EGFL11	-0.0135
CXorf59	1.053
OR2A25	0.4155
SPTBN2	-1.868
LRMP	-0.798
RNF111	-0.07425
PTH	0.17
LOC619208	0.4875
KIAA0895	0.61475
RANBP5	-0.947625
P2RY10	1.4525
NME5	2.67116666666667
DDX21	-0.56625
LRSAM1	-0.3125
HDAC11	0.201833333333333
VMO1	2.056
NOLA2	-0.679
ADAR	1.18441666666667
MTO1	-0.781333333333333
SF4	0.34
P2RX1	-0.149666666666667
HBM	0.052
EN2	1.49
C14orf172	-0.06575
TM9SF2	-0.2839
INHBE	-1.38916666666667
TCTE3	-0.19
TOX2	-2.0895
CTAGE3	-0.161375
HBB	2.9237
MED15	-0.6515
CASR	0.373
C6orf66	-0.357166666666667
MTPN	0.368875
UNC50	-0.6865
C21orf33	-0.32475
IRF2	0.8155
PGR	-1.643
GPR84	1.162
CROCCL1	-1.4575
SRPX	-1.0765
BRE	0.0828333333333333
FGF10	1.08475
SDC3	0.603666666666667
ZRSR1	0.352
DKFZP434P211	-0.881
SOX6	0.176
RPUSD2	-0.05475
C14orf173	-0.4525
MAPK11	0.165
TBC1D22A	-0.129
FAM123A	-0.533
COL4A6	-1.37716666666667
TOMM70A	-0.00175
NAB1	1.106375
MGC16385	-0.701625
TSPAN18	2.046
MED31	0.38675
PLG	-0.15125
CAPSL	-0.451
ZNF532	1.5898
ASB14	0.31
CA8	-3.4815
NUDT16P	-0.0805
SLFN11	0.88
LRRIQ2	0.215125
NOL7	-0.427
BRMS1L	-1.302625
JARID1A	1.0115
PANK2	-0.7735
ICAM3	-0.392
MDS1	-0.3885
TAF8	-0.09775
RNF139	1.418
ZNF594	0.645166666666667
ADAM8	0.789875
SFTPC	-0.140625
MAN2B2	0.173875
RGS12	0.3228125
EIF1AY	-4.46208333333333
LRRIQ1	-0.7855
GPR150	1.897
CCDC21	-1.89016666666667
PRRG3	0.185
SAA4	-3.01675
RAPGEF5	2.156
ZCCHC2	0.533583333333333
MGC39372	-0.3035
PPP4R2	-0.173166666666667
CDCA2	-1.8225
OR4D5	0.385666666666667
PTGFRN	2.6714
SIGLEC5	1.1565
C19orf61	-0.663166666666667
NMUR2	0.0825
KIAA1586	-0.714833333333333
DAGLA	-0.195666666666667
CHCHD6	-0.28975
GPR32	0.2035
NEUROD6	0.193166666666667
SLC2A4RG	-0.220625
CA5B	-0.11225
FBXL3	0.83025
MPHOSPH9	-1.688
HMG2L1	0.145
HCN4	0.714166666666667
CEACAM19	0.21625
SH2D4B	0.343833333333333
HFE2	-0.6315
TGM4	0.37
LYPD2	0.19475
TBC1D15	-0.0485
MRPS21	0.4786
NONO	-0.7536
CLEC5A	0.750875
ITCH	-0.1252
MGAT3	-0.866833333333333
MBP	0.082
RPP25	-0.17075
SOSTDC1	4.81825
HRC	-1.6055
TRIM48	0.511
TMEM133	1.0225
ECEL1P2	-1.054
HOXC11	1.35
DOK5	0.81525
HELZ	0.469333333333333
LOC348180	-0.25025
MGC33894	0.16575
ADRB3	0.222
DMD	0.228083333333333
PTRH2	-0.13775
MPEG1	2.4475
NDUFA12	-0.6055
KRTAP2-4	0.3405
STAMBPL1	-1.327
ADCY2	0.8465
UNQ6125	1.0305
KLHL20	0.904333333333333
SRM	-1.1855
OTC	-0.39325
TMIE	0.645333333333333
SNX8	0.08825
LIPK	0.143
CHURC1	0.590416666666667
KLC2	0.232
HDAC1	-0.8605
FAM128A	-0.386333333333333
FNDC3B	0.3811
MTCP1	-0.409
WFDC10B	0.1516
PCDHGB3	0.145
ATRNL1	-1.5489
CAV2	-0.436625
MED26	0.737
DUS1L	0.0585
CHRM3	-0.192125
NEK9	-0.236
WARS2	1.62725
TBX22	0.079
TOMM40	-1.3265
RP6-213H19.1	-1.00133333333333
TUBGCP5	-0.10625
IGSF6	4.38125
TPPP	0.968
UNQ6190	0.0935
GSTM5	1.577875
BTD	0.011
PDCD1LG2	-0.0705
SNRPB2	0.601
ERICH1	-0.094875
APOA4	-1.5355
HOXA11	-0.65675
NARG1	-1.06075
MKX	-0.0925
RAB28	-0.842714285714286
PKP3	0.42275
SH3GL2	-3.2145
CTSO	1.83825
RPN2	0.4175625
IL28RA	1.22933333333333
SFMBT1	0.53225
WDR57	-2.202875
FER1L3	0.853333333333333
HSF5	0.142333333333333
TTC9B	-0.105
C4BPA	-2.09483333333333
ALB	-3.7565
SORBS3	0.518
UPF2	0.3885
JPH1	-0.1645
AGBL2	-1.0375
DOPEY1	1.5245
TERF1	0.878333333333333
KIF22	-1.05866666666667
NINJ1	0.0445
SEC61A2	-0.0595
HIST1H1D	0.683
SFXN4	-0.61125
UCP3	0.3032
ZNF703	0.809166666666667
MYL6B	-0.83675
TREM1	0.565
OR52E6	0.47
CKMT2	1.9275
HLA-C	1.985625
SLC13A3	-1.06283333333333
TIMP4	-2.652
SLIT2	3.17675
RSF1	0.3035
LONRF1	-1.00457142857143
MON1A	-0.0318333333333333
CACNG6	-1.3145
DPPA4	-5.1625
ZSWIM3	0.75375
ZNF804A	-0.0995
CCIN	1.83375
SLC25A31	-0.246666666666667
KCNMB4	0.667
RABL5	0.24675
GALNS	0.2961
STX6	2.1205
HIST1H1C	-1.9955
CIDEB	-0.127
CASP4	-0.168166666666667
PDK3	1.0142
KCNJ11	-0.2345
TPR	0.882625
ZSCAN20	-0.627
MTX2	-0.55925
HIST1H2BH	-0.31225
LOC283767	1.847
LYRM7	-1.72705555555556
BRD3	0.186166666666667
HIST1H2BO	-0.58675
MAGEB10	-0.1305
SLC45A1	0.171
SERPINA3	-1.1112
KIAA0143	1.25025
KCNJ16	0.962
KRT79	0.021
FABP2	-0.36325
NUT	-0.17575
ZNF57	-0.09975
FBXL4	0.034625
CLEC9A	1.072
UGT8	-0.773666666666667
BMP2K	-0.22
MAPK4	-0.88575
SLC25A23	-0.2433
HINT1	-1.2777
KRTAP13-1	0.026
SFXN5	-0.7365
CHCHD2	-0.0650833333333333
FAM3D	3.9445
NDP	-2.984375
RHOBTB1	0.954166666666667
SLC4A4	-0.389
RPL38	0.2925
HTF9C	-0.813333333333333
AP2A2	0.0265
ZBTB46	-0.473
MAP7D1	0.438625
AOX1	-0.864833333333333
CYR61	2.145
DTNA	0.946285714285714
JRKL	1.077
TMOD3	-1.2745
EEA1	0.1399
ADCK5	0.802
IL1R1	1.09216666666667
KLK3	0.766214285714286
HRSP12	0.3595
KTN1	0.3865
LOH11CR2A	-0.5979
RELL2	-1.2475
MAB21L1	1.13425
C20orf59	-1.381
PHKB	-0.261
ADAM2	-1.39883333333333
TBC1D8B	1.1075
FAM13A1	-0.364875
LAPTM4B	0.621166666666667
LCN8	-0.488
TMEM147	0.252
SYT4	0.1805
XPO7	-0.5445
C9orf62	1.78275
GPR75	0.2505
TRIM5	0.471625
APOC1	0.271666666666667
RNASE4	-0.449666666666667
PARD6B	-2.78925
ARID1A	-0.29125
TPD52L3	-0.2019
RRAGB	1.16983333333333
RCN2	-0.0278333333333333
HIST2H2BE	-0.6125625
STARD7	0.5885
SHMT2	-0.82925
KIAA1751	0.146
MLYCD	0.269625
LOC162632	-0.3846
UQCRH	-0.666
RP11-217H1.1	0.4655
SDHA	-1.5195
NCLN	-0.0986
ZNF17	-0.229166666666667
RCBTB2	-1.19125
VEGFB	-0.5805
RP4-747L4.3	2.609
COLQ	0.6746
MPN2	-0.460166666666667
DRG2	0.4075
KLRB1	4.344
ALPK2	-0.87825
DNASE2B	0.658
FLJ23834	-0.2605
AXUD1	0.470833333333333
SAFB	0.2591
NSUN4	0.30225
RFX2	0.171333333333333
MAPK8IP1	0.192833333333333
FANCD2	0.773571428571428
ANKZF1	-0.706666666666667
C19orf50	-0.317125
DUSP8	0.9605
SENP5	-0.0105
NFKBIL2	-0.3155
LBR	-0.325125
IGFL1	3.4655
LZTS2	0.318
IL2RG	0.369125
CCDC51	-0.609
KLF3	-0.124375
ANKRD37	-1.5625
KCTD14	-0.296333333333333
FZR1	-0.243916666666667
SLC44A4	-0.4568
ESPL1	-1.00775
GMPR2	-1.3992
TBC1D19	-0.440333333333333
ERGIC1	-0.602962962962963
ERBB4	-0.6578
TSPAN32	0.0544166666666667
MAP4	-0.20675
GPHN	-1.11425
SLC6A2	1.994125
HIVEP1	1.2845
DFFB	-0.3058
EIF4EBP2	0.230125
DMRT1	2.02025
HSPB6	-0.1935
IER2	-0.0265
AIFM1	-0.3625
WWC2	-0.432916666666667
MRPL4	-0.27175
FLJ21062	1.36066666666667
EPB41L4A	0.583
SH2D6	0.0745
TAF4B	-0.13875
GAL3ST3	-0.1265
MALT1	-0.205333333333333
RTDR1	-0.294
ARVCF	-0.116375
MEX3B	0.174333333333333
FBXO16	0.7465
KIF7	-0.4215
C1QC	3.64583333333333
ZNF783	-0.01
ZNF85	-0.414
MMP13	2.9165
KIAA0329	0.109125
RTP3	-1.19
ZBED3	0.26675
CLGN	-4.504
SLC25A37	-1.26991666666667
hCG_18290	0.1445
OR5AS1	0.056
SMARCC2	0.8185
FAM109A	-0.0656666666666667
CCDC12	-0.20325
USF2	-0.1445
DEPDC7	-1.5575
C20orf24	-0.742833333333333
JMJD3	1.1265
DSP	2.51414285714286
SLIC1	0.34275
FAM20A	1.114375
IRF2BP2	1.408125
ZNF230	-1.1845
MSN	0.473285714285714
SLC9A5	-2.093
EPDR1	-1.4646
MUSK	0.555166666666667
ZNF434	-0.853833333333333
SMARCD1	-0.586166666666667
ZFP106	-0.55825
ZNF347	0.052
GTF2E1	0.24125
