Hybridization REF	TCGA-E2-A107-01A-11R-A10J-07
CUGBP1	0.699
PRSS22	1.88366666666667
CASC4	1.964
CUL4B	-0.1285
CENPJ	-1.1162
PITX1	1.83216666666667
FLJ31033	0.884
CELSR3	-3.05033333333333
ZNF568	0.93625
ITSN1	-0.812916666666667
EHBP1L1	-0.758833333333333
C19orf2	-0.3295
DCTN1	0.1305
LIN28B	-3.7435
TNKS2	0.12825
C1QBP	-0.405875
CADPS2	1.981
SRMS	0.413
GJA9	0.146
MGC24975	-0.295166666666667
TRIM45	-0.0613333333333333
TSP50	-0.30675
TCP1	-1.55475
TMED7	0.2421
CMA1	0.1255
CENPL	0.200333333333333
PTCRA	-0.0315
FST	-4.46
VWCE	-4.01325
PAWR	0.122
ABCC12	0.693166666666667
LDLR	-0.7261
ASTN2	1.1552
LOC441212	-1.524625
GPATCH8	-0.2325
TANC2	0.0399166666666667
KIF4A	-0.98775
C18orf18	-2.2005
PGM1	-0.99675
KIAA0258	0.041
CPD	1.26
SNCAIP	-0.71175
DCT	-4.63616666666667
HLA-DOA	2.41168181818182
OR11L1	0.381
UPK1B	-0.146166666666667
DNAJB4	-1.305
UGT1A8	-0.39175
HIST1H4L	1.244
PECR	-0.531
HSPA2	2.21675
WFIKKN1	-2.584
SERP1	0.507375
SYDE2	1.69225
TACR2	0.1435
NUP85	-0.188
CD177	0.100166666666667
LGR5	-2.10283333333333
PIGG	-0.127
PTHR1	-2.40966666666667
RAB5A	-0.1298
FLJ13224	-0.1385
USP9Y	-1.93216666666667
C7orf53	-1.107
LRP1B	4.11175
XAF1	1.4891
ABCG8	-0.337
ANKDD1A	-0.7465
DAND5	-1.1175
SPAG6	6.45716666666667
LINCR	-0.345
ZDHHC22	-1.8255
CCDC60	0.4015
THOC7	-1.14966666666667
TCTA	1.4801
OR8K3	0.1185
NY-REN-7	-0.602
B2M	0.371166666666667
C6orf141	-2.15775
LPPR4	1.599
SQLE	-0.804625
SEPHS1	-0.3725
BTBD14B	0.583571428571429
PLRG1	-0.82975
SPG7	-0.79275
ZNF614	-0.690166666666667
PARD6G	0.293833333333333
INPP5B	-0.8397
GRPEL2	-0.024875
PPID	-0.9382
TRIM56	-0.222
UBE2J1	-0.830375
IL20RA	4.68025
LOC387856	-0.104
C1orf107	0.690333333333333
UTS2R	0.7015
C19orf22	0.14075
SAFB2	0.6445
KIAA0652	0.18475
KLRG1	-0.0151666666666667
MS4A8B	3.2835
FRAG1	0.59
KIAA1546	0.86825
E2F4	-1.5002
CLEC4M	0.0101666666666667
BTBD14A	-1.40375
KIAA0999	0.412
GYPA	-3.54233333333333
TAC1	1.8563
TRAIP	-0.179666666666667
KIAA0232	1.5794
ERCC8	-0.738
GPX4	1.005875
KIAA0368	0.28
GPR157	-1.07333333333333
CTAGE4	2.311
C9orf30	-1.72083333333333
OR52A1	0.4075
HSP90B3P	-0.091
ALG9	-1.1772
BTBD10	0.755
SDK2	-0.06025
BAIAP3	1.42275
RABGGTB	-0.62225
ANKRD40	-0.0181666666666667
KRT74	0.2805
CALCOCO2	0.856714285714286
SNCA	-3.501
TMSL8	-1.537375
C2orf53	-0.553
ESRRB	-0.337
ARHGAP26	-0.904875
TDRD9	-2.966
HRAS	0.312166666666667
KLRC4	-3.0485
JAGN1	0.0768333333333333
BSDC1	0.19025
RNF43	0.0823
NDUFAF1	0.2965
PHF12	0.41025
OR1L3	0.11375
FOLR2	1.26791666666667
LYZL6	0.388333333333333
tcag7.1260	-2.3535
WSB1	-1.3625
PROS1	-1.1743
OSTN	0.35
PSMB8	-0.12725
SOCS4	-0.240625
DDIT4L	3.712
MAS1	-0.4605
MGC34796	2.323
CSHL1	0.0673333333333333
TBCCD1	0.138166666666667
ZBTB7C	0.431
AP2S1	0.076125
P15RS	-0.3742
VAT1	-1.5733
SHANK3	0.9395
TUFM	0.8895
THEG	-0.07575
KRT34	-2.37825
SGSM3	0.147125
TOMM22	-0.985875
SOCS3	0.0723333333333333
CPO	0.922
POP4	0.21475
BHLHB3	3.463
MALL	1.17975
OR1B1	0.5115
PARK2	0.2945
GPR124	-0.05575
LCE1E	0.5355
RUVBL2	-0.6315
CGRRF1	0.0552
ACPL2	0.73375
WNT10B	-2.959625
BAIAP2L2	-2.525375
ISCA1	0.128
C1orf125	0.484375
RPAP1	-0.84075
RAI16	0.758666666666667
RPL27	-0.473875
NLRP9	-0.2165
EPN1	-0.2035
LOC388610	-2.229125
SLC35A1	0.3373
GAL	-4.90425
SLC14A2	0.211
RDH11	-0.6475
FAM138F	-0.5935
AUH	0.83225
FLJ40243	0.47975
C14orf129	0.277166666666667
MBD2	-0.000499999999999982
ABHD14B	0.18375
PIGT	-1.004
ALS2CR4	-0.419375
ALAS1	0.4578
FOXO1	0.239333333333333
CRLF3	-0.626625
C20orf107	-0.296
FARS2	0.7515
CCDC28A	0.08075
NPHP3	-1.34525
OR13F1	0.5955
TSEN54	0.306
DEFB106B	0.3763
OR8B4	0.5425
STH	2.085
ZC3H14	-0.354375
CBX2	-0.268
TMEM49	-1.10725
C6orf21	0.417
FLJ20920	1.186
CRTAP	-0.0714285714285714
DDX50	0.09725
STYXL1	0.4255
BLVRB	1.11133333333333
LOC147650	-1.03616666666667
MMP24	0.28425
GRID1	0.902833333333333
BANF1	0.1335
CTAGEP	0.968
HMBS	-2.697
SLC25A24	0.162166666666667
C14orf50	3.02325
MRO	0.982
SLC25A15	-0.9585
FAM84B	1.2391
TDP1	-0.177
C16orf78	-0.0358333333333333
C11orf57	-0.322875
RFK	-0.583375
ZFYVE9	0.611125
STCH	-2.1502
WIBG	1.26475
LOC283871	0.553
GBA2	-0.611
NDUFB3	-0.20875
HSD17B13	-0.56675
GRIN3A	0.9365
FMNL1	-0.513666666666667
SEPT7	0.0789
GNLY	1.685
GRAMD1C	0.256333333333333
ZNF165	-1.2615
USP38	1.168
FAM83A	-3.236
C14orf24	0.624333333333333
ARMCX3	0.98975
ARHGDIB	1.36816666666667
AK1	0.53925
KIAA1045	0.41975
DNAJB13	-0.270833333333333
NEU2	0.5325
HIST1H4B	-0.268166666666667
FAM20B	0.1695
HES2	0.276357142857143
FAM73B	-0.0785
LOC388381	-0.13575
INTS7	0.111
AMPH	0.614
ZNF775	-0.269875
UCKL1	-0.584333333333333
C10orf97	-0.507
C1orf161	-0.3285
ALDH1L1	-1.12975
FLJ39378	0.183875
SLC23A1	0.9655
RBM4B	-0.06
THAP4	0.436166666666667
OGFRL1	0.4635
KIAA0831	0.428875
PPP1R15A	-0.828666666666667
C1orf96	0.807428571428571
C12orf11	-2.112
BMF	1.324125
MAN1A1	-1.3305
KIAA1600	1.06516666666667
NLGN4X	-1.38125
ALOX12	-1.32583333333333
RB1CC1	0.1782
NEIL2	0.6706
EIF4E	0.116227272727273
ABHD5	0.07875
EXOC4	0.815666666666667
CIP29	0.078
BATF2	0.12625
SLC29A4	-1.240375
HTR4	0.52425
EMB	0.8455
TRAF6	0.34125
LMNB1	0.223
FAM19A5	-2.3425
SHE	1.57
PIK3C2B	1.72975
C15orf15	-0.8199
USP15	0.1339
TCEAL2	1.099
C5orf39	-1.4155
PTGER2	-2.413
SLC31A1	-0.0304375
IFT172	0.7845
ADAM29	0.20675
GFOD1	-0.13325
ST7L	0.266333333333333
C15orf26	-2.7225
PKN3	-1.04525
CNTD1	3.2515
COMMD1	0.085625
NTRK2	2.52975
FOXN3	-0.741125
MFGE8	-1.5568
PFKFB2	0.101
TAS2R4	-0.20225
ENTHD1	0.329166666666667
PRMT5	-0.83425
MGC16384	-1.229625
LOC442229	-0.5165
TSKU	-0.29525
KRTCAP3	3.5535
PDLIM1	0.5594
KCNS2	0.14725
RNF126	-0.396666666666667
CEP63	0.286875
CLIC4	-0.838875
hCG_1990170	-0.53575
ACR	0.4426
KLK7	0.96975
ALOX5AP	2.23975
RIPK3	3.34125
TAS2R9	0.0845
C19orf18	0.941
BIRC6	0.392714285714286
ZNF16	1.026
RFT1	0.0535
SLC8A2	-0.329
TACC1	2.12775
ITGAD	1.3275
SAMHD1	0.5785
SH3PXD2B	0.5521
EPC2	0.6595
C20orf85	4.75675
ATP13A2	-0.2115
KRT4	0.258
CAPNS1	0.32025
MDM2	0.434083333333333
PCDH20	3.327
KCNK9	0.753
OR2C1	0.185
KLHDC3	-0.9275
IPPK	1.083
EFHD2	-0.045375
GALR3	0.5255
NBEA	1.91933333333333
ABCA6	1.9325
CLDN3	3.75433333333333
AKT2	-0.308642857142857
EGFR	-2.6824
RBM16	0.431625
ZDHHC3	0.7916
SLC25A4	0.263
CYB5B	-1.77933333333333
CPXM1	-0.83225
NDRG1	-2.22730769230769
FLJ43826	1.47
OR5L2	0.00183333333333334
FARP2	0.9555
MRPL46	-0.33675
LDHAL6B	0.064
MAPKAPK3	-0.118666666666667
NCAM2	-0.3135
PRKD2	0.372
ZFP36L1	1.0269
CYSLTR1	0.377
OR4C3	0.289
HIST1H2AJ	2.674
CCNB2	-1.37833333333333
ZNF10	-0.397625
TMEM175	0.283
FAM134A	0.982666666666666
TIGD4	0.2205
PCNP	-0.339
MGC39715	0.714
LQK1	-1.2355
CREB1	0.7738
TMPRSS3	1.84025
C4orf32	1.106625
LAT	-1.78791666666667
KCNA3	0.5605
SKIV2L2	-0.69225
ROPN1B	-2.37725
tcag7.23	-0.789
CDT1	-2.50125
ZHX2	1.557125
CD28	-3.35325
ZNF624	1.77525
SEPT2	0.37225
SOHLH2	-0.318125
MCOLN3	-0.5405
UNQ1945	0.22
MASP2	-1.031
ZNRF3	1.077
GPATCH3	-0.5975
AGL	0.1515
QRICH2	-0.269
PSD4	1.3185
CCNB1IP1	-1.995
ENPP7	0.15525
OBFC1	0.24
KCNG3	-1.58725
C14orf79	1.79008333333333
ENPEP	1.60916666666667
SCT	0.442
SKI	0.68675
SEC61G	-0.83375
CAPN11	0.54025
ATXN7L3	0.235
DBNDD1	0.567
FAIM	0.3015
ANKRD36	-0.298
GABRP	2.4165
TACSTD2	3.18833333333333
EIF3J	-0.60075
PPP2R2A	-0.1545
TEKT4	0.574
PVALB	1.351
F10	-3.06233333333333
FAM134C	1.1264
COMP	4.087625
EFCBP1	-2.8251875
SCLT1	1.43425
TAL1	-0.9151
ACSL1	-0.66575
ABCC5	0.712333333333333
ABL1	-0.312888888888889
RBBP7	0.408
PTPRG	-0.339375
NCOR1	0.533
SPINK4	-0.348666666666667
TXNRD1	-0.9666
TNRC15	1.4385
C9orf138	1.41975
UBE2H	1.484
BRDT	1.77416666666667
C8orf31	-0.4105
CCNE2	-0.432545454545455
SLC6A8	-2.114375
CALCR	-4.36025
PPP1CB	0.156833333333333
ABHD8	0.06325
ARF5	1.4626
SLC24A4	0.3075
CCT3	0.28175
ZNF121	0.285
SLC3A2	-0.6225
OR13A1	0.237
SLC5A10	0.213
RAD50	1.085375
IER5	-0.0722500000000001
MTHFD1L	-3.355125
MBTPS2	0.43025
MVK	0.215875
NCL	-0.1295
PSMD10	-0.59
MOBP	-0.02275
FLJ32894	0.414
HRH1	-1.01816666666667
C5orf30	1.84775
NUDT16L1	1.5465
RASGRP3	3.13183333333333
PRKRIP1	-0.0217
CCDC75	0.69525
LOC253970	0.08425
KIAA1239	0.012
MED21	0.0795
SYT11	0.0354166666666667
NTSR2	-0.443
EGFL11	-0.109
CXorf59	0.5095
OR2A25	0.0885
SPTBN2	0.03875
LRMP	-1.84216666666667
RNF111	0.4475
PTH	-0.394
LOC619208	-0.0171666666666667
KIAA0895	1.40725
RANBP5	-1.082
P2RY10	2.618
NME5	4.77616666666667
DDX21	-1.1495
LRSAM1	0.656
HDAC11	2.02233333333333
VMO1	1.96475
NOLA2	-0.0363333333333333
ADAR	1.253
MTO1	-1.21366666666667
SF4	0.1845
P2RX1	-0.0428333333333333
HBM	0.26075
EN2	0.465
C14orf172	0.11275
TM9SF2	0.0242
INHBE	-1.51316666666667
TCTE3	-0.429833333333333
TOX2	-3.28175
CTAGE3	1.236375
HBB	3.7512
MED15	-0.4895
CASR	-0.1675
C6orf66	-1.757
MTPN	0.160625
UNC50	-0.16425
C21orf33	-0.570125
IRF2	1.110375
PGR	-1.434
GPR84	1.078
CROCCL1	-2.232
SRPX	-2.93175
BRE	0.298833333333333
FGF10	0.3405
SDC3	-1.007
ZRSR1	0.5845
DKFZP434P211	-0.105125
SOX6	-0.336
RPUSD2	-0.05225
C14orf173	-0.515416666666667
MAPK11	-1.08633333333333
TBC1D22A	-0.0025
FAM123A	-0.5865
COL4A6	-3.07033333333333
TOMM70A	0.04925
NAB1	-0.39475
MGC16385	-0.62875
TSPAN18	0.938166666666667
MED31	0.23075
PLG	-0.2325
CAPSL	2.946
ZNF532	-0.0911
ASB14	0.28275
CA8	-2.918
NUDT16P	1.369
SLFN11	-1.833
LRRIQ2	0.81775
NOL7	-0.817666666666667
BRMS1L	-1.297625
JARID1A	0.7995
PANK2	-0.251
ICAM3	-0.41625
MDS1	0.41175
TAF8	-0.2665
RNF139	1.1955
ZNF594	0.624166666666667
ADAM8	0.355375
SFTPC	-0.377375
MAN2B2	1.646375
RGS12	0.7123125
EIF1AY	-4.78425
LRRIQ1	-1.055
GPR150	0.84
CCDC21	-1.02466666666667
PRRG3	0.29025
SAA4	-3.63425
RAPGEF5	1.540375
ZCCHC2	0.392
MGC39372	-0.186
PPP4R2	0.512666666666667
CDCA2	-0.609833333333333
OR4D5	0.382333333333333
PTGFRN	0.8174
SIGLEC5	1.125
C19orf61	-0.165666666666667
NMUR2	0.4895
KIAA1586	-1.11016666666667
DAGLA	1.12233333333333
CHCHD6	-0.1675
GPR32	0.4175
NEUROD6	-0.0436666666666667
SLC2A4RG	0.800625
CA5B	0.373
FBXL3	0.83725
MPHOSPH9	-0.476
HMG2L1	0.5515
HCN4	0.369
CEACAM19	-0.0715
SH2D4B	0.217833333333333
HFE2	-1.0025
TGM4	0.3264
LYPD2	-0.029
TBC1D15	0.50175
MRPS21	0.3392
NONO	-0.7583
CLEC5A	1.371625
ITCH	-0.2947
MGAT3	-1.15233333333333
MBP	-0.54225
RPP25	0.52
SOSTDC1	-1.505
HRC	-1.2185
TRIM48	-0.132
TMEM133	-0.27325
ECEL1P2	-1.3845
HOXC11	2.015
DOK5	-0.7385
HELZ	0.568666666666667
LOC348180	-1.127
MGC33894	0.1045
ADRB3	0.2015
DMD	-0.250416666666667
PTRH2	-0.817
MPEG1	2.54183333333333
NDUFA12	0.625166666666667
KRTAP2-4	-0.0321666666666666
STAMBPL1	-1.21083333333333
ADCY2	2.26516666666667
UNQ6125	0.351
KLHL20	1.04016666666667
SRM	-1.351
OTC	0.00749999999999999
TMIE	0.317166666666667
SNX8	-0.27275
LIPK	-0.2315
CHURC1	0.851916666666667
KLC2	0.117333333333333
HDAC1	-0.0843333333333333
FAM128A	1.48883333333333
FNDC3B	-0.3134
MTCP1	-0.299666666666667
WFDC10B	-0.0195
PCDHGB3	0.6465
ATRNL1	-1.874
CAV2	-1.291375
MED26	0.248333333333333
DUS1L	0.72725
CHRM3	-1.624
NEK9	0.57225
WARS2	-0.2705
TBX22	0.081
TOMM40	-0.65475
RP6-213H19.1	-0.838833333333333
TUBGCP5	0.1185
IGSF6	4.618
TPPP	-0.39
UNQ6190	0.0335
GSTM5	1.812125
BTD	0.218833333333333
PDCD1LG2	-0.2625
SNRPB2	-0.5545
ERICH1	-0.03725
APOA4	-2.022
HOXA11	-1.99975
NARG1	-0.63375
MKX	0.811
RAB28	-0.231785714285714
PKP3	1.17725
SH3GL2	-2.342
CTSO	2.94575
RPN2	0.2156875
IL28RA	0.273
SFMBT1	0.841
WDR57	-1.272
FER1L3	1.45966666666667
HSF5	0.286166666666667
TTC9B	1.0495
C4BPA	-3.328
ALB	-4.068
SORBS3	0.670625
UPF2	0.169
JPH1	-0.196
AGBL2	-0.2845
DOPEY1	1.8055
TERF1	-0.06875
KIF22	0.763166666666667
NINJ1	1.575
SEC61A2	-0.304083333333333
HIST1H1D	-0.14
SFXN4	0.072375
UCP3	-0.3373
ZNF703	1.352
MYL6B	-0.5195
TREM1	0.118
OR52E6	0.358
CKMT2	2.01525
HLA-C	0.979875
SLC13A3	-2.67833333333333
TIMP4	-1.02975
SLIT2	1.635
RSF1	-0.134833333333333
LONRF1	-0.170357142857143
MON1A	-0.403833333333333
CACNG6	-1.77216666666667
DPPA4	-5.65233333333333
ZSWIM3	-0.78475
ZNF804A	0.0233333333333333
CCIN	0.998
SLC25A31	0.32025
KCNMB4	-1.249
RABL5	0.9485
GALNS	-0.7336
STX6	2.062125
HIST1H1C	-2.11916666666667
CIDEB	0.252
CASP4	-0.817166666666667
PDK3	0.371
KCNJ11	2.282
TPR	0.730625
ZSCAN20	-1.155
MTX2	0.1425
HIST1H2BH	-0.58825
LOC283767	1.71675
LYRM7	-1.20727777777778
BRD3	1.45133333333333
HIST1H2BO	-0.92325
MAGEB10	0.6735
SLC45A1	0.978
SERPINA3	2.2464
KIAA0143	1.653
KCNJ16	1.0965
KRT79	0.92975
FABP2	-0.78825
NUT	-0.27825
ZNF57	-0.378
FBXL4	-0.3285
CLEC9A	1.5635
UGT8	-1.49783333333333
BMP2K	0.317
MAPK4	-4.074
SLC25A23	-0.3236
HINT1	0.449
KRTAP13-1	-0.125
SFXN5	1.9404
CHCHD2	0.46375
FAM3D	3.002
NDP	-2.90125
RHOBTB1	-0.596833333333333
SLC4A4	-1.15175
RPL38	0.0155
HTF9C	-0.0598333333333333
AP2A2	0.6655
ZBTB46	0.1255
MAP7D1	-0.4695
AOX1	-2.30233333333333
CYR61	0.0223333333333333
DTNA	-1.27678571428571
JRKL	-1.47475
TMOD3	0.27175
EEA1	0.9935
ADCK5	-0.2785
IL1R1	0.762333333333333
KLK3	0.358357142857143
HRSP12	-0.041
KTN1	0.95975
LOH11CR2A	0.00100000000000002
RELL2	-1.221
MAB21L1	1.51125
C20orf59	-1.48416666666667
PHKB	-0.64025
ADAM2	-1.657
TBC1D8B	0.959166666666667
FAM13A1	0.000499999999999973
LAPTM4B	-0.988833333333333
LCN8	0.3065
TMEM147	0.4345
SYT4	-0.0306666666666667
XPO7	-0.028
C9orf62	0.5365
GPR75	0.01
TRIM5	-0.032125
APOC1	0.253
RNASE4	1.20683333333333
PARD6B	-1.238
ARID1A	0.520333333333333
TPD52L3	0.2358
RRAGB	0.826833333333333
RCN2	-0.208
HIST2H2BE	0.085875
STARD7	0.198
SHMT2	-1.05125
KIAA1751	-0.109333333333333
MLYCD	0.202625
LOC162632	-0.7962
UQCRH	-1.42875
RP11-217H1.1	0.5160625
SDHA	-0.154333333333333
NCLN	-0.5423
ZNF17	0.444333333333333
RCBTB2	-2.02725
VEGFB	-0.3236
RP4-747L4.3	0.5685
COLQ	0.1508
MPN2	-0.726
DRG2	0.25725
KLRB1	4.86025
ALPK2	-3.9995
DNASE2B	2.025
FLJ23834	1.07616666666667
AXUD1	1.4095
SAFB	0.0652
NSUN4	-0.09975
RFX2	-0.3935
MAPK8IP1	-0.195166666666667
FANCD2	-0.692571428571429
ANKZF1	-1.70533333333333
C19orf50	-0.743
DUSP8	1.353625
SENP5	0.088
NFKBIL2	-0.252
LBR	-1.542625
IGFL1	0.372
LZTS2	0.87
IL2RG	-1.167875
CCDC51	0.5735
KLF3	0.2325
ANKRD37	-1.68675
KCTD14	-1.2525
FZR1	0.399666666666667
SLC44A4	3.9412
ESPL1	-0.481375
GMPR2	-0.049
TBC1D19	-0.467833333333333
ERGIC1	0.935296296296296
ERBB4	4.3508
TSPAN32	0.093
MAP4	-0.209625
GPHN	0.42625
SLC6A2	-0.2755
HIVEP1	0.463
DFFB	-0.5692
EIF4EBP2	0.345625
DMRT1	-0.5105
HSPB6	-0.20775
IER2	0.1475
AIFM1	0.309
WWC2	0.00458333333333333
MRPL4	-0.533
FLJ21062	1.448
EPB41L4A	1.3535
SH2D6	0.3425
TAF4B	-1.90225
GAL3ST3	-0.1085
MALT1	-0.901666666666667
RTDR1	1.3825
ARVCF	0.348625
MEX3B	-2.12783333333333
FBXO16	2.08475
KIF7	-0.392
C1QC	3.87316666666667
ZNF783	-0.650833333333333
ZNF85	0.4815
MMP13	-0.7205
KIAA0329	0.79175
RTP3	-0.952
ZBED3	0.2485
CLGN	0.335
SLC25A37	-1.160625
hCG_18290	-0.69125
OR5AS1	0.113
SMARCC2	0.910416666666667
FAM109A	0.213333333333333
CCDC12	0.14325
USF2	0.2208
DEPDC7	-3.37275
C20orf24	-0.354833333333333
JMJD3	1.4325
DSP	1.26314285714286
SLIC1	-0.04125
FAM20A	0.28225
IRF2BP2	1.013875
ZNF230	-0.5515
MSN	-1.53828571428571
SLC9A5	-2.415
EPDR1	-2.9329
MUSK	0.0336666666666667
ZNF434	0.440833333333333
SMARCD1	-0.432166666666667
ZFP106	-0.376
ZNF347	0.4753
