Hybridization REF	TCGA-A7-A0DC-01A-11R-A00Z-07
GDF10	-1.04016666666667
COQ9	-0.4715
GCC2	0.316142857142857
RARRES3	0.486
PLXNA1	-1.1989
KIAA0100	-0.9208
PMF1	-0.66625
FNDC1	3.28875
HS2ST1	-0.01875
CRELD2	0.757
C8G	-2.3205
CD82	-0.9105
LIM2	-0.6685
UNQ6490	-1.5165
MMP16	0.0145
DRD3	-0.26575
C5orf26	0.094
C11orf73	-1.2685
PTP4A2	1.045625
OR4M2	0.714
HPCA	-0.569666666666667
SEC14L1	-1.57
CHFR	-0.807625
EMILIN1	-0.553125
NDUFS4	-0.39075
COL18A1	-0.726125
PDZD3	-0.0601
C9orf16	-0.704666666666667
ERBB2IP	0.702166666666666
EMX2	1.81775
FUS	0.105
TF	-4.0243
CLCN4	-1.873
CXorf56	0.8685
C11orf72	1.172
ELAC2	-0.102666666666667
NPR1	-1.36075
ASS1	-3.33666666666667
USP42	-0.287875
POLR2J	-0.6405
SEC23IP	0.495333333333333
UQCRC1	-0.101
LOC729603	-0.8215
C1orf71	0.197
POLG	-2.449
ADAM23	-4.2015
TFR2	-1.39425
RICTOR	-0.4813
MGC39606	1.6235
C19orf55	-0.20475
SNAPC1	-1.8485
GNA11	1.105875
CCDC52	1.24333333333333
FSIP1	6.554
UPF3A	0.000874999999999996
IGSF11	-2.82183333333333
LAGE3	-0.20875
CHST6	-3.9555
UNC13B	1.596625
TTLL4	-1.43125
ZNF687	-0.351875
SDC2	-2.0494
COX7A2	0.0855
LAMB4	0.187666666666667
FAM24A	-0.441
LRRTM3	-1.01966666666667
GPHB5	0.06275
OR4C13	-4.186
EIF3EIP	0.127857142857143
HABP4	-1.063
TMEM125	3.51175
CNTN2	-0.045875
ASNSD1	-0.06625
FUT4	-1.5175
ACF	-3.64025
LOC158381	0.8445
CDH8	0.06325
AGPS	-3.35666666666667
C4orf18	3.87525
PECI	0.1095
UNG	0.222875
GSTP1	-3.975125
DCUN1D5	-2.26583333333333
DKFZP564J0863	-2.05125
SLC9A3R1	1.5725
BCDO2	-0.04875
CHMP7	-0.43275
REM2	1.2595
DNHD1	-0.748875
FKBP4	0.69375
ZNF350	1.9585
MGC11102	0.995625
BST1	-1.4605
KISS1R	0.9055
NCR2	-0.154
DEFB125	0.282
UBE2W	1.6875
KRT15	3.98025
C10orf99	0.3575
SCN11A	-0.14925
GFI1	-3.6645
RDHE2	2.75033333333333
FHL1	-2.61216666666667
OSGEP	0.331166666666667
GATA1	-3.551
SMC6	-2.151
TTTY14	-1.248
LPIN3	0.931
RPL4	-0.2812
RBPMS	-0.3809
PRPF3	-1.41116666666667
EMR1	-2.906
SPATA19	-0.0025
XCR1	1.03
IRX3	2.1915
RBM6	-0.386
KLF4	-1.2708
UNC5CL	0.6565
SEBOX	0.0885
BTK	-2.7225
KRCC1	0.80975
C6orf27	0.8035
SYTL5	0.0505
PRND	0.48125
LOC653319	-1.275
PIGL	0.135625
HUS1	-1.60116666666667
SFRS6	1.29658333333333
C17orf77	0.959
UIMC1	-0.579833333333333
FXYD2	-2.0956
LOC283152	-1.24375
ZNF667	1.636
ZCCHC12	-1.01325
TFEC	-0.00450000000000002
ATP7B	-0.0536666666666667
POLD2	-1.0995
RG9MTD1	0.37925
ACOT2	0.066
HIST1H4I	-0.469875
PPARGC1A	-3.4678
ETFA	-1.511
POLRMT	0.17375
ZNF146	0.807875
MIA2	-2.089
KLHL6	-3.25583333333333
HOXB5	-1.780375
NENF	-0.569833333333333
CUGBP1	0.08675
PRSS22	0.755333333333333
CASC4	1.2494
CUL4B	0.3098
CENPJ	-2.0006
PITX1	-1.92883333333333
FLJ31033	-0.598166666666667
CELSR3	-2.23666666666667
ZNF568	1.26875
ITSN1	-0.2125
EHBP1L1	-1.43133333333333
C19orf2	0.39325
DCTN1	0.82275
LIN28B	-3.85316666666667
TNKS2	0.2155
C1QBP	-0.11025
CADPS2	1.51925
SRMS	1.3935
GJA9	0.667333333333333
MGC24975	1.00633333333333
TRIM45	0.960166666666667
TSP50	0.75575
TCP1	-0.7535
TMED7	0.6591
CMA1	0.6195
CENPL	-1.391
PTCRA	-0.2645
FST	-4.58725
VWCE	-4.18825
PAWR	0.02875
ABCC12	0.135333333333333
LDLR	-2.2644
ASTN2	1.0476
LOC441212	-0.923875
GPATCH8	0.0315
TANC2	-0.71325
KIF4A	-2.80325
C18orf18	-0.32525
PGM1	-1.7065
KIAA0258	0.8125
CPD	1.202375
SNCAIP	-3.0295
DCT	-4.20366666666667
HLA-DOA	0.8775
OR11L1	0.606
UPK1B	-1.13816666666667
DNAJB4	-1.577375
UGT1A8	0.2745
HIST1H4L	-2.063
PECR	-0.934
HSPA2	3.225
WFIKKN1	-1.0055
SERP1	1.002875
SYDE2	2.867
TACR2	1.1625
NUP85	-1.38275
CD177	-1.0766
LGR5	-2.6295
PIGG	-0.795666666666667
PTHR1	-2.77733333333333
RAB5A	0.5235
FLJ13224	-0.333
USP9Y	-2.80675
C7orf53	0.0855
LRP1B	-2.248
XAF1	-0.9846
ABCG8	0.448
ANKDD1A	-1.58
DAND5	-1.9165
SPAG6	0.0556666666666667
LINCR	-0.42625
ZDHHC22	0.6945
CCDC60	-0.205
THOC7	-1.54633333333333
TCTA	1.2074
OR8K3	0.00325
NY-REN-7	-1.17
B2M	-0.887166666666667
C6orf141	0.813875
LPPR4	0.30025
SQLE	-0.212375
SEPHS1	-0.4995
BTBD14B	0.642071428571429
PLRG1	-0.6765
SPG7	-0.34675
ZNF614	0.359333333333333
PARD6G	1.00766666666667
INPP5B	-0.7127
GRPEL2	-0.062125
PPID	-0.4936
TRIM56	-1.53125
UBE2J1	-1.080875
IL20RA	7.2175
LOC387856	0.4695
C1orf107	0.03975
UTS2R	0.68025
C19orf22	0.61825
SAFB2	0.021875
KIAA0652	1.181125
KLRG1	-1.16
MS4A8B	4.25583333333333
FRAG1	1.142
KIAA1546	-0.352
E2F4	-1.6899
CLEC4M	-0.350666666666667
BTBD14A	-1.37275
KIAA0999	1.7274
GYPA	-3.8095
TAC1	-0.193875
TRAIP	-1.5755
KIAA0232	1.0457
ERCC8	-1.1085
GPX4	1.54575
KIAA0368	0.6375
GPR157	-0.5775
CTAGE4	0.1705
C9orf30	-2.75283333333333
OR52A1	-0.1195
HSP90B3P	-0.22
ALG9	-1.2328
BTBD10	1.238
SDK2	-0.2935
BAIAP3	2.58175
RABGGTB	-0.153875
ANKRD40	-0.0375
KRT74	0.326
CALCOCO2	0.00464285714285714
SNCA	-4.08775
TMSL8	-5.014625
C2orf53	-0.917
ESRRB	-0.9095
ARHGAP26	-2.396875
TDRD9	-3.21825
HRAS	0.497166666666667
KLRC4	-2.2135
JAGN1	-0.169333333333333
BSDC1	0.86425
RNF43	-0.1852
NDUFAF1	0.75925
PHF12	0.1055
OR1L3	-0.185
FOLR2	0.593833333333333
LYZL6	0.5475
tcag7.1260	-3.5675
WSB1	-1.89616666666667
PROS1	-2.4108
OSTN	0.6935
PSMB8	-2.34975
SOCS4	-0.32675
DDIT4L	4.1525
MAS1	-0.504
MGC34796	1.31925
CSHL1	0.191333333333333
TBCCD1	0.588666666666667
ZBTB7C	0.3815
AP2S1	-0.725625
P15RS	0.4676
VAT1	-0.4022
SHANK3	1.038
TUFM	0.696166666666667
THEG	0.567
KRT34	-1.0205
SGSM3	0.646
TOMM22	0.02525
SOCS3	0.4995
CPO	2.16
POP4	0.48375
BHLHB3	-2.8595
MALL	2.5405
OR1B1	0.526
PARK2	1.166
GPR124	-0.538125
LCE1E	1.464
RUVBL2	0.0945
CGRRF1	0.574
ACPL2	0.71525
WNT10B	-1.710875
BAIAP2L2	-2.058125
ISCA1	0.7905
C1orf125	1.199625
RPAP1	-0.7125
RAI16	-0.231166666666667
RPL27	-0.38575
NLRP9	0.8775
EPN1	0.515
LOC388610	-0.43
SLC35A1	1.6079
GAL	-4.1435
SLC14A2	0.24125
RDH11	-0.0236666666666667
FAM138F	0.132
AUH	1.47125
FLJ40243	-0.13725
C14orf129	0.659166666666667
MBD2	-0.5685
ABHD14B	0.159625
PIGT	1.259875
ALS2CR4	-0.728375
ALAS1	-0.2862
FOXO1	0.2185
CRLF3	-0.59575
C20orf107	2.7485
FARS2	1.35775
CCDC28A	1.008
NPHP3	-0.809
OR13F1	0.387
TSEN54	-1.22575
DEFB106B	0.2479
OR8B4	-0.068
STH	3.09475
ZC3H14	-0.2655
CBX2	-2.728
TMEM49	0.0385
C6orf21	0.5505
FLJ20920	1.753625
CRTAP	-1.0355
DDX50	-0.3215
STYXL1	0.56875
BLVRB	0.6185
LOC147650	1.02683333333333
MMP24	0.99725
GRID1	1.7285
BANF1	0.225333333333333
CTAGEP	-0.2165
HMBS	-2.276
SLC25A24	0.409
C14orf50	1.54675
MRO	-0.7285
SLC25A15	-0.441
FAM84B	2.4805
TDP1	-1.09
C16orf78	0.6305
C11orf57	-0.73825
RFK	-0.402125
ZFYVE9	0.44375
STCH	-0.6532
WIBG	0.667
LOC283871	0.372333333333333
GBA2	-0.5937
NDUFB3	-0.82275
HSD17B13	-0.66975
GRIN3A	-0.937833333333333
FMNL1	-2.8015
SEPT7	-1.0371
GNLY	0.6835
GRAMD1C	1.7295
ZNF165	1.556
USP38	0.7245
FAM83A	-3.50133333333333
C14orf24	0.866166666666667
ARMCX3	0.895875
ARHGDIB	-1.35083333333333
AK1	-0.593625
KIAA1045	-0.395
DNAJB13	-0.422166666666667
NEU2	0.8135
HIST1H4B	-1.46066666666667
FAM20B	-0.8866
HES2	-0.257214285714286
FAM73B	-0.0794
LOC388381	0.7855
INTS7	-1.27763636363636
AMPH	-0.28575
ZNF775	-0.283375
UCKL1	0.541166666666667
C10orf97	0.19075
C1orf161	-0.36475
ALDH1L1	-1.2445
FLJ39378	0.35825
SLC23A1	-1.356
RBM4B	0.01225
THAP4	0.355666666666667
OGFRL1	0.493
KIAA0831	0.638125
PPP1R15A	-0.0893333333333333
C1orf96	-0.529785714285714
C12orf11	-1.62475
BMF	0.692875
MAN1A1	0.83425
KIAA1600	0.2065
NLGN4X	-2.6695
ALOX12	-1.20716666666667
RB1CC1	1.2985
NEIL2	1.466
EIF4E	0.3295
ABHD5	-0.54825
EXOC4	-0.5635
CIP29	-0.0833333333333333
BATF2	-2.4705
SLC29A4	-1.127
HTR4	0.69475
EMB	0.208
TRAF6	0.11825
LMNB1	-3.96375
FAM19A5	0.4615
SHE	0.6905
PIK3C2B	0.488
C15orf15	-0.5645
USP15	-0.2636
TCEAL2	0.9685
C5orf39	-1.9295
PTGER2	2.70625
SLC31A1	-0.7016875
IFT172	0.2195
ADAM29	0.93825
GFOD1	-0.652
ST7L	0.331166666666667
C15orf26	-2.858
PKN3	-1.91825
CNTD1	4.25266666666667
COMMD1	0.124375
NTRK2	1.9797
FOXN3	0.534125
MFGE8	-1.5822
PFKFB2	-0.256333333333333
TAS2R4	-0.23075
ENTHD1	-0.7404
PRMT5	-0.1655
MGC16384	-1.14875
LOC442229	-0.9695
TSKU	3.563
KRTCAP3	2.1755
PDLIM1	0.0908
KCNS2	0.29175
RNF126	0.241666666666667
CEP63	-0.000500000000000004
CLIC4	-0.1445
hCG_1990170	-0.986666666666667
ACR	0.9287
KLK7	1.531
ALOX5AP	-0.078625
RIPK3	4.33575
TAS2R9	0.2855
C19orf18	3.453
BIRC6	0.268928571428571
ZNF16	2.5175
RFT1	-0.46725
SLC8A2	1.577
TACC1	-2.14025
ITGAD	0.7655
SAMHD1	-1.38425
SH3PXD2B	0.1626
EPC2	0.7295
C20orf85	0.313625
ATP13A2	0.177833333333333
KRT4	0.313125
CAPNS1	0.07675
MDM2	0.706083333333333
PCDH20	4.31
KCNK9	1.621
OR2C1	0.961
KLHDC3	-0.6095
IPPK	1.696
EFHD2	-0.816625
GALR3	0.6615
NBEA	0.297
ABCA6	0.0125
CLDN3	2.59133333333333
AKT2	-0.136
EGFR	-3.8903
RBM16	0.649125
ZDHHC3	-0.6164
SLC25A4	-0.408166666666667
CYB5B	-0.830666666666667
CPXM1	-2.10775
NDRG1	-0.0344615384615385
FLJ43826	0.04425
OR5L2	-0.0804
FARP2	0.7399
MRPL46	-0.557833333333333
LDHAL6B	0.211
MAPKAPK3	-0.315666666666667
NCAM2	-0.159
PRKD2	0.107166666666667
ZFP36L1	0.4343
CYSLTR1	-2.366
OR4C3	0.75125
HIST1H2AJ	3.9995
CCNB2	-3.51066666666667
ZNF10	0.3515
TMEM175	0.451
FAM134A	1.24766666666667
TIGD4	0.026
PCNP	0.0605
MGC39715	0.665666666666667
LQK1	-1.384
CREB1	0.3684
TMPRSS3	-3.26675
C4orf32	1.78925
LAT	-2.15958333333333
KCNA3	0.3505
SKIV2L2	-0.50925
ROPN1B	-3.7195
tcag7.23	-0.1725
CDT1	-3.35375
ZHX2	2.29525
CD28	-5.943
ZNF624	1.35775
SEPT2	0.21525
SOHLH2	-2.46625
MCOLN3	1.32025
UNQ1945	0.26
MASP2	-0.77
ZNRF3	0.4097
GPATCH3	0.12375
AGL	0.90625
QRICH2	-0.5595
PSD4	1.709
CCNB1IP1	-2.05125
ENPP7	0.192
OBFC1	-0.36275
KCNG3	-0.43725
C14orf79	2.05608333333333
ENPEP	1.59466666666667
SCT	0.8555
SKI	0.7865
SEC61G	-1.01975
CAPN11	-0.3095
ATXN7L3	-0.27325
DBNDD1	0.166333333333333
FAIM	-0.02075
ANKRD36	-0.292
GABRP	1.40866666666667
TACSTD2	1.41766666666667
EIF3J	-0.68725
PPP2R2A	-1.2325
TEKT4	-0.0663333333333333
PVALB	-2.22783333333333
F10	-3.38816666666667
FAM134C	1.8039
COMP	3.38325
EFCBP1	-3.927625
SCLT1	-0.603625
TAL1	-1.2835
ACSL1	0.8915
ABCC5	1.38375
ABL1	-0.500166666666667
RBBP7	0.4715
PTPRG	-2.030625
NCOR1	0.635
SPINK4	0.336
TXNRD1	-0.8748
TNRC15	0.464
C9orf138	1.06625
UBE2H	1.63333333333333
BRDT	2.63983333333333
C8orf31	0.52175
CCNE2	-1.59109090909091
SLC6A8	-1.0575
CALCR	-5.35475
PPP1CB	0.994916666666667
ABHD8	0.36425
ARF5	-0.0578
SLC24A4	-0.00750000000000001
CCT3	-0.4115
ZNF121	0.483875
SLC3A2	0.1202
OR13A1	0.7165
SLC5A10	1.9255
RAD50	-0.61475
IER5	-0.3855
MTHFD1L	-2.762375
MBTPS2	-0.0465
MVK	-0.524
NCL	-0.04
PSMD10	0.40475
MOBP	0.774125
FLJ32894	0.0775
HRH1	-2.85066666666667
C5orf30	1.4995
NUDT16L1	2.1346
RASGRP3	3.045
PRKRIP1	-0.3829
CCDC75	-1.1985
LOC253970	-0.2925
KIAA1239	-0.1675
MED21	-1.32825
SYT11	-1.1785
NTSR2	0.0255
EGFL11	0.7855
CXorf59	1.656
OR2A25	0.425666666666667
SPTBN2	-2.19025
LRMP	-2.28533333333333
RNF111	-0.0975
PTH	-0.215
LOC619208	0.689166666666667
KIAA0895	1.09675
RANBP5	-1.520875
P2RY10	-1.52733333333333
NME5	4.56216666666667
DDX21	-1.0945
LRSAM1	0.0915
HDAC11	2.47133333333333
VMO1	0.1715
NOLA2	0.313666666666667
ADAR	-0.235083333333333
MTO1	-1.089
SF4	0.399666666666667
P2RX1	-0.313833333333333
HBM	0.32775
EN2	1.07
C14orf172	0.46025
TM9SF2	-0.3991
INHBE	-1.56533333333333
TCTE3	0.0305
TOX2	-3.5635
CTAGE3	-0.22575
HBB	4.0086
MED15	-0.755166666666667
CASR	0.616
C6orf66	-1.323
MTPN	-1.162875
UNC50	0.2055
C21orf33	0.817375
IRF2	0.9885
PGR	-2.60283333333333
GPR84	-0.46325
CROCCL1	-1.215
SRPX	-4.04475
BRE	0.628166666666667
FGF10	2.2265
SDC3	-0.214666666666667
ZRSR1	0.8905
DKFZP434P211	-0.224
SOX6	0.537
RPUSD2	-0.5735
C14orf173	-0.4
MAPK11	-0.8975
TBC1D22A	1.2795
FAM123A	-1.046
COL4A6	-3.75
TOMM70A	0.087
NAB1	-1.661625
MGC16385	-0.45325
TSPAN18	-1.03016666666667
MED31	-0.42275
PLG	-1.075
CAPSL	-0.1045
ZNF532	0.8868
ASB14	-0.42425
CA8	-0.742
NUDT16P	-1.6446
SLFN11	-3.8805
LRRIQ2	-0.48
NOL7	-0.105833333333333
BRMS1L	-0.914625
JARID1A	0.160833333333333
PANK2	0.5735
ICAM3	-0.47525
MDS1	-0.4755
TAF8	-0.1695
RNF139	1.27025
ZNF594	1.34366666666667
ADAM8	-1.58375
SFTPC	-0.777625
MAN2B2	0.672875
RGS12	0.7476875
EIF1AY	-4.74941666666667
LRRIQ1	-1.66283333333333
GPR150	0.9635
CCDC21	-0.536833333333333
PRRG3	0.17975
SAA4	-4.09075
RAPGEF5	0.492875
ZCCHC2	0.126083333333333
MGC39372	1.6355
PPP4R2	0.065
CDCA2	-3.16116666666667
OR4D5	0.936166666666667
PTGFRN	-0.0534
SIGLEC5	-0.0703333333333333
C19orf61	0.02
NMUR2	0.5605
KIAA1586	-1.12483333333333
DAGLA	-0.882
CHCHD6	0.3015
GPR32	0.3275
NEUROD6	0.1822
SLC2A4RG	1.113
CA5B	0.738
FBXL3	1.36525
MPHOSPH9	-1.01225
HMG2L1	0.53225
HCN4	0.657
CEACAM19	-0.275
SH2D4B	0.259166666666667
HFE2	-1.8945
TGM4	-0.0424
LYPD2	-0.396
TBC1D15	-0.01725
MRPS21	-0.455
NONO	-0.475
CLEC5A	0.28975
ITCH	0.9641
MGAT3	-0.377333333333333
MBP	-0.73675
RPP25	0.33875
SOSTDC1	-0.46375
HRC	-1.01375
TRIM48	-0.826
TMEM133	-1.476
ECEL1P2	-1.77433333333333
HOXC11	-0.2025
DOK5	-3.06625
HELZ	0.622333333333333
LOC348180	-0.97675
MGC33894	0.47125
ADRB3	0.2985
DMD	-0.588363636363637
PTRH2	-0.4015
MPEG1	0.4136
NDUFA12	-0.302
KRTAP2-4	0.168833333333333
STAMBPL1	-3.32683333333333
ADCY2	-1.655
UNQ6125	0.8135
KLHL20	-0.346833333333333
SRM	-1.818
OTC	0.08325
TMIE	-0.1765
SNX8	0.13725
LIPK	-0.7
CHURC1	0.74925
KLC2	0.605
HDAC1	0.870166666666667
FAM128A	0.0963333333333333
FNDC3B	-1.4663
MTCP1	-0.580833333333333
WFDC10B	1.028
PCDHGB3	0.7135
ATRNL1	-1.8152
CAV2	-1.937625
MED26	0.841333333333333
DUS1L	-0.43675
CHRM3	-1.469125
NEK9	1.18825
WARS2	-1.10375
TBX22	1.017
TOMM40	-0.78875
RP6-213H19.1	-1.23733333333333
TUBGCP5	-0.7755
IGSF6	3.78525
TPPP	2.42683333333333
UNQ6190	0.1225
GSTM5	1.128375
BTD	0.801666666666666
PDCD1LG2	-1.23383333333333
SNRPB2	0.0118333333333333
ERICH1	-1.362625
APOA4	-1.873
HOXA11	-2.74625
NARG1	0.109
MKX	-2.242
RAB28	0.0478571428571429
PKP3	1.862
SH3GL2	-2.877
CTSO	3.046
RPN2	1.010625
IL28RA	0.432666666666667
SFMBT1	-0.081
WDR57	0.418
FER1L3	2.26225
HSF5	0.890833333333333
TTC9B	0.57775
C4BPA	-4.72
ALB	-3.76575
SORBS3	-0.079625
UPF2	0.1405
JPH1	1.554
AGBL2	1.96625
DOPEY1	1.193
TERF1	0.224333333333333
KIF22	0.338166666666667
NINJ1	1.80925
SEC61A2	0.212083333333333
HIST1H1D	-0.6095
SFXN4	0.13325
UCP3	0.2533
ZNF703	3.02166666666667
MYL6B	-0.026
TREM1	0.156
OR52E6	0.455
CKMT2	-0.06725
HLA-C	-0.616875
SLC13A3	-1.82733333333333
TIMP4	-3.0245
SLIT2	0.282
RSF1	0.662666666666667
LONRF1	-1.28335714285714
MON1A	-0.942
CACNG6	1.32233333333333
DPPA4	-5.14533333333333
ZSWIM3	0.2025
ZNF804A	-0.707
CCIN	0.64
SLC25A31	0.92
KCNMB4	0.21425
RABL5	0.512625
GALNS	-0.5537
STX6	-0.3235
HIST1H1C	-0.224
CIDEB	1.43075
CASP4	-2.47516666666667
PDK3	-0.6809
KCNJ11	2.64
TPR	-0.798
ZSCAN20	-0.817
MTX2	-0.000749999999999999
HIST1H2BH	0.57875
LOC283767	0.7895
LYRM7	-1.04088888888889
BRD3	0.6585
HIST1H2BO	0.61925
MAGEB10	null
SLC45A1	2.39275
SERPINA3	3.5633
KIAA0143	1.73
KCNJ16	-0.2746
KRT79	-0.12675
FABP2	-0.60275
NUT	-0.25825
ZNF57	0.95225
FBXL4	1.029875
CLEC9A	0.4135
UGT8	-2.154
BMP2K	-0.5095
MAPK4	-3.4935
SLC25A23	0.0416
HINT1	-0.504
KRTAP13-1	0.47
SFXN5	1.1163
CHCHD2	0.107
FAM3D	0.942
NDP	3.444375
RHOBTB1	1.18733333333333
SLC4A4	-1.88342857142857
RPL38	-0.933
HTF9C	0.512666666666667
AP2A2	0.91425
ZBTB46	-0.1395
MAP7D1	0.8425
AOX1	-2.88033333333333
CYR61	-1.50641666666667
DTNA	1.15257142857143
JRKL	-3.00925
TMOD3	-0.96125
EEA1	-0.5084
ADCK5	0.89975
IL1R1	1.461
KLK3	0.162461538461538
HRSP12	0.73825
KTN1	0.3825
LOH11CR2A	-0.4708
RELL2	-1.0005
MAB21L1	1.946
C20orf59	-0.478333333333333
PHKB	0.64175
ADAM2	-2.40016666666667
TBC1D8B	1.48266666666667
FAM13A1	-1.193125
LAPTM4B	1.79308333333333
LCN8	0.1325
TMEM147	0.497
SYT4	0.164333333333333
XPO7	-1.3795
C9orf62	1.2385
GPR75	1.0055
TRIM5	-0.2905
APOC1	-1.9805
RNASE4	1.49716666666667
PARD6B	3.347
ARID1A	0.0639166666666667
TPD52L3	0.3171
RRAGB	2.13066666666667
RCN2	-0.579666666666667
HIST2H2BE	0.8524375
STARD7	0.65975
SHMT2	-0.99075
KIAA1751	0.841
MLYCD	0.050625
LOC162632	0.5707
UQCRH	-1.90125
RP11-217H1.1	0.1469375
SDHA	-0.711333333333333
NCLN	-0.0422
ZNF17	0.912166666666667
RCBTB2	-3.09375
VEGFB	-1.5337
RP4-747L4.3	-0.40225
COLQ	0.919
MPN2	-0.755
DRG2	0.176
KLRB1	1.403
ALPK2	-4.3655
DNASE2B	1.54625
FLJ23834	-0.215
AXUD1	1.02916666666667
SAFB	-0.1377
NSUN4	-0.81275
RFX2	1.4355
MAPK8IP1	-0.0548333333333333
FANCD2	-1.32285714285714
ANKZF1	-1.2285
C19orf50	-0.692375
DUSP8	0.402125
SENP5	-0.77025
NFKBIL2	-0.39425
LBR	-3.2755
IGFL1	0.9075
LZTS2	0.036375
IL2RG	-2.088375
CCDC51	0.137
KLF3	-1.08175
ANKRD37	-2.05925
KCTD14	1.164
FZR1	0.7155
SLC44A4	2.6811
ESPL1	-0.819625
GMPR2	-0.252
TBC1D19	-1.01483333333333
ERGIC1	-0.030037037037037
ERBB4	3.511
TSPAN32	-0.22975
MAP4	0.00862500000000001
GPHN	0.97925
SLC6A2	-0.033625
HIVEP1	-0.31625
DFFB	-0.263
EIF4EBP2	-0.1715
DMRT1	-0.826333333333333
HSPB6	-0.115
IER2	0.3625
AIFM1	0.229
WWC2	-0.0725833333333333
MRPL4	-0.8945
FLJ21062	1.43133333333333
EPB41L4A	-0.4625
SH2D6	0.62325
TAF4B	-0.37275
GAL3ST3	0.3095
MALT1	-1.45733333333333
RTDR1	0.47325
ARVCF	0.728625
MEX3B	-3.36733333333333
FBXO16	0.412
KIF7	0.41225
C1QC	2.66233333333333
ZNF783	-0.197
ZNF85	-0.05525
MMP13	0.618
KIAA0329	0.5925
RTP3	-0.845
ZBED3	-0.28225
CLGN	-0.58625
SLC25A37	-2.01708333333333
hCG_18290	-0.03375
OR5AS1	0.479
SMARCC2	0.421
FAM109A	0.2055
CCDC12	-0.14575
USF2	1.1626
DEPDC7	-5.62975
C20orf24	0.617333333333333
JMJD3	0.9935
DSP	2.94814285714286
SLIC1	0.09825
FAM20A	-2.155625
IRF2BP2	0.626125
ZNF230	-0.1625
MSN	-2.041
SLC9A5	-2.191
EPDR1	-3.5053
MUSK	1.01816666666667
ZNF434	1.717
