Hybridization REF	TCGA-B6-A0IN-01A-11R-A034-07
COL18A1	0.42725
PDZD3	0.0711111111111111
C9orf16	0.954
ERBB2IP	0.337
EMX2	1.81225
FUS	-1.4715
TF	-3.209
CLCN4	0.359666666666667
CXorf56	-0.876
C11orf72	1.26425
ELAC2	-0.5975
NPR1	0.73825
ASS1	-1.95733333333333
USP42	-0.0226250000000001
POLR2J	-1.909
SEC23IP	0.047
UQCRC1	-0.146
LOC729603	-0.90225
C1orf71	-0.639
POLG	-2.459
ADAM23	-2.70875
TFR2	-0.89025
RICTOR	-1.3458
MGC39606	0.2685
C19orf55	-0.086375
SNAPC1	-1.3775
GNA11	0.4835
CCDC52	-1.01433333333333
FSIP1	6.3805
UPF3A	-0.888375
IGSF11	-1.97116666666667
LAGE3	0.5205
CHST6	-3.1555
UNC13B	0.671
TTLL4	-1.94
ZNF687	0.75325
SDC2	-0.5033
COX7A2	0.439
LAMB4	-0.61725
FAM24A	0.0230000000000001
LRRTM3	-1.836
GPHB5	0.378
OR4C13	1.488
EIF3EIP	-0.231928571428571
HABP4	-0.412
TMEM125	3.81625
CNTN2	-0.205125
ASNSD1	-0.79725
FUT4	-0.36525
ACF	-3.23475
LOC158381	-0.7125
CDH8	0.01475
AGPS	-0.606333333333333
C4orf18	4.611375
PECI	0.781916666666667
UNG	-0.05625
GSTP1	-1.720875
DCUN1D5	-1.70716666666667
DKFZP564J0863	-0.26975
SLC9A3R1	1.695
BCDO2	-0.2645
CHMP7	-0.437875
REM2	0.6665
DNHD1	-0.8315
FKBP4	-0.110625
ZNF350	0.84375
MGC11102	0.62325
BST1	1.194
KISS1R	1.886
NCR2	0.8665
DEFB125	0.641
UBE2W	0.210375
KRT15	-0.9335
C10orf99	0.4205
SCN11A	-0.301142857142857
GFI1	-1.31025
RDHE2	3.86866666666667
FHL1	0.584166666666667
OSGEP	0.108666666666667
GATA1	-2.8895
SMC6	-1.50675
TTTY14	-1.25525
LPIN3	0.0853333333333333
RPL4	-0.8288
RBPMS	-0.148
PRPF3	-0.846
EMR1	-1.75
SPATA19	-1.7175
XCR1	1.176
IRX3	2.6277
RBM6	-0.467
KLF4	-0.9881
UNC5CL	-1.3985
SEBOX	0.0485
BTK	-0.0945
KRCC1	1.04525
C6orf27	0.994
SYTL5	-0.5535
PRND	4.08914285714286
LOC653319	-0.6985
PIGL	-1.97725
HUS1	-0.508
SFRS6	-0.5435
C17orf77	-0.0525
UIMC1	-0.465
FXYD2	-1.189
LOC283152	1.6245
ZNF667	-0.77875
ZCCHC12	-1.01725
TFEC	2.1638
ATP7B	-0.404166666666667
POLD2	-1.2145
RG9MTD1	-0.99775
ACOT2	0.1645
HIST1H4I	-0.391125
PPARGC1A	-2.2506
ETFA	-1.3911
POLRMT	-0.7415
ZNF146	-0.537625
MIA2	-2.033
KLHL6	0.0218333333333334
HOXB5	-0.626625
NENF	0.822333333333333
CUGBP1	0.856
PRSS22	1.45066666666667
CASC4	0.8891
CUL4B	0.6844
CENPJ	-1.938
PITX1	-0.00949999999999999
FLJ31033	0.368333333333333
CELSR3	0.335166666666667
ZNF568	0.38075
ITSN1	-0.467916666666667
EHBP1L1	-1.18716666666667
C19orf2	-0.01075
DCTN1	-0.4485
LIN28B	-1.9472
TNKS2	-1.0195
C1QBP	-0.617125
CADPS2	0.55175
SRMS	1.524
GJA9	0.556666666666667
MGC24975	-0.924
TRIM45	-0.0116666666666667
TSP50	0.409
TCP1	-1.57425
TMED7	0.1103
CMA1	2.2445
CENPL	-1.263
PTCRA	1.0885
FST	-3.9325
VWCE	-2.91025
PAWR	-0.438
ABCC12	0.5256
LDLR	-0.498
ASTN2	1.638
LOC441212	-1.091125
GPATCH8	0.07775
TANC2	0.929272727272727
KIF4A	-2.22775
C18orf18	-0.89925
PGM1	-1.057
KIAA0258	0.18325
CPD	-0.232875
SNCAIP	-1.0695
DCT	-3.84116666666667
HLA-DOA	2.90504761904762
OR11L1	1.4355
UPK1B	0.5932
DNAJB4	-0.529
UGT1A8	0.388
HIST1H4L	-1.1055
PECR	-1.43766666666667
HSPA2	3.1275
WFIKKN1	-1.439
SERP1	-0.07175
SYDE2	2.41075
TACR2	1.6405
NUP85	-1.204
CD177	-0.488166666666667
LGR5	-1.2024
PIGG	-0.157416666666667
PTHR1	-1.01183333333333
RAB5A	-0.1341
FLJ13224	0.2815
USP9Y	-1.3216
C7orf53	-1.5215
LRP1B	-1.14375
XAF1	0.5768
ABCG8	-1.082
ANKDD1A	-0.792166666666667
DAND5	-1.9205
SPAG6	-0.07825
LINCR	-1.01725
ZDHHC22	-0.807375
CCDC60	-2.405
THOC7	-1.695
TCTA	1.5069
OR8K3	1.4435
NY-REN-7	-2.14775
B2M	1.50466666666667
C6orf141	-0.8375
LPPR4	3.454
SQLE	0.52675
SEPHS1	0.0035
BTBD14B	1.02821428571429
PLRG1	-0.7285
SPG7	-0.4749375
ZNF614	-0.0111666666666667
PARD6G	1.13866666666667
INPP5B	-0.4826
GRPEL2	-0.205
PPID	-0.5688
TRIM56	-0.68675
UBE2J1	0.20925
IL20RA	3.76
LOC387856	0.14075
C1orf107	0.139083333333333
UTS2R	2.14825
C19orf22	0.08175
SAFB2	0.25725
KIAA0652	-0.5585
KLRG1	-0.886
MS4A8B	3.48633333333333
FRAG1	0.1355
KIAA1546	-0.46775
E2F4	-1.1655
CLEC4M	-0.0875
BTBD14A	-0.41575
KIAA0999	0.7498
GYPA	-2.0594
TAC1	0.774666666666667
TRAIP	-1.68883333333333
KIAA0232	0.4026
ERCC8	-1.5035
GPX4	1.645625
KIAA0368	0.647875
GPR157	-0.2075
CTAGE4	1.4515
C9orf30	-1.17266666666667
OR52A1	0.8195
HSP90B3P	-0.6275
ALG9	-0.3545
BTBD10	0.7005
SDK2	1.4895
BAIAP3	-1.781
RABGGTB	-1.1165
ANKRD40	-0.485166666666667
KRT74	-1.2495
CALCOCO2	0.359928571428571
SNCA	-2.7855
TMSL8	-2.58675
C2orf53	0.6345
ESRRB	0.39525
ARHGAP26	-0.612125
TDRD9	-1.57825
HRAS	2.06183333333333
KLRC4	-1.662
JAGN1	-0.322
BSDC1	1.5135
RNF43	-0.2505
NDUFAF1	0.61875
PHF12	-0.278
OR1L3	-0.607333333333333
FOLR2	2.62441666666667
LYZL6	1.957
tcag7.1260	-1.378
WSB1	-1.68916666666667
PROS1	-0.0773
OSTN	0.747
PSMB8	0.1805
SOCS4	-0.925428571428571
DDIT4L	2.4545
MAS1	-1.662
MGC34796	1.645
CSHL1	0.5898
TBCCD1	0.1715
ZBTB7C	0.463
AP2S1	-0.57125
P15RS	-0.0412
VAT1	0.3056
SHANK3	2.22033333333333
TUFM	-0.215333333333333
THEG	-0.13025
KRT34	-2.07475
SGSM3	-0.596375
TOMM22	-0.444375
SOCS3	1.88883333333333
CPO	1.56
POP4	0.04275
BHLHB3	0.66775
MALL	1.93
OR1B1	3.2435
PARK2	0.295833333333333
GPR124	1.110375
LCE1E	-0.401
RUVBL2	-0.7025
CGRRF1	-0.1345
ACPL2	0.002
WNT10B	-1.6105
BAIAP2L2	-1.334125
ISCA1	0.443
C1orf125	-0.096
RPAP1	-0.29725
RAI16	-0.613166666666667
RPL27	-0.427375
NLRP9	0.6695
EPN1	1.063
LOC388610	-1.985375
SLC35A1	0.2318
GAL	-3.109
SLC14A2	0.546
RDH11	0.212333333333333
FAM138F	-0.579
AUH	-0.6435
FLJ40243	0.04
C14orf129	-0.5205
MBD2	-0.445166666666667
ABHD14B	-0.00550000000000001
PIGT	0.207125
ALS2CR4	-0.690375
ALAS1	-0.2042
FOXO1	0.645666666666667
CRLF3	-0.409125
C20orf107	0.122
FARS2	0.284
CCDC28A	0.01325
NPHP3	-1.57875
OR13F1	0.4655
TSEN54	-0.3185
DEFB106B	-0.0718888888888889
OR8B4	1.451
STH	-0.33825
ZC3H14	-0.961
CBX2	-0.064
TMEM49	-1.63875
C6orf21	0.7395
FLJ20920	1.404
CRTAP	-0.564428571428571
DDX50	-0.163
STYXL1	-0.77425
BLVRB	0.763833333333333
LOC147650	-1.08833333333333
MMP24	0.82175
GRID1	1.9275
BANF1	-0.299166666666667
CTAGEP	0.5185
HMBS	-2.17525
SLC25A24	-0.168833333333333
C14orf50	1.3275
MRO	1.764
SLC25A15	-0.411
FAM84B	0.4833
TDP1	-1.74
C16orf78	-0.378
C11orf57	0.62925
RFK	-0.08725
ZFYVE9	-1.37371428571429
STCH	-1.4203
WIBG	0.6585
LOC283871	-0.458666666666667
GBA2	-0.6916
NDUFB3	-0.20425
HSD17B13	-0.25225
GRIN3A	1.3848
FMNL1	-0.653833333333333
SEPT7	-0.1842
GNLY	3.047
GRAMD1C	2.26916666666667
ZNF165	0.87125
USP38	-0.33425
FAM83A	-2.81066666666667
C14orf24	0.9335
ARMCX3	0.38725
ARHGDIB	0.6845
AK1	0.70825
KIAA1045	0.88775
DNAJB13	-1.75316666666667
NEU2	0.694
HIST1H4B	-1.19033333333333
FAM20B	-0.5711
HES2	0.0880714285714285
FAM73B	-0.6852
LOC388381	-0.28075
INTS7	-0.235545454545455
AMPH	0.4005
ZNF775	1.132625
UCKL1	-0.963166666666667
C10orf97	0.23
C1orf161	-0.28875
ALDH1L1	-0.136
FLJ39378	0.241625
SLC23A1	-2.082
RBM4B	-0.22125
THAP4	0.244666666666667
OGFRL1	0.67525
KIAA0831	-0.6055
PPP1R15A	0.0691666666666667
C1orf96	0.218785714285714
C12orf11	-1.0175
BMF	1.33375
MAN1A1	2.3585
KIAA1600	0.315333333333333
NLGN4X	-0.39275
ALOX12	-1.238
RB1CC1	-0.4809
NEIL2	-0.1167
EIF4E	0.224590909090909
ABHD5	-0.0005
EXOC4	0.0166666666666667
CIP29	-0.0363333333333333
BATF2	2.8335
SLC29A4	-0.223625
HTR4	-0.60625
EMB	0.27175
TRAF6	0.4815
LMNB1	-1.88825
FAM19A5	2.958625
SHE	2.3325
PIK3C2B	1.6755
C15orf15	-1.289
USP15	0.0190000000000001
TCEAL2	0.769
C5orf39	0.598166666666667
PTGER2	-0.88775
SLC31A1	-1.325625
IFT172	-0.06025
ADAM29	0.448
GFOD1	1.1145
ST7L	0.431
C15orf26	-2.68125
PKN3	-1.0335
CNTD1	4.21416666666667
COMMD1	-0.111875
NTRK2	2.20308333333333
FOXN3	0.685125
MFGE8	-1.0602
PFKFB2	1.644
TAS2R4	0.0826666666666667
ENTHD1	0.328
PRMT5	-1.691125
MGC16384	-1.629
LOC442229	-0.55175
TSKU	1.0215
KRTCAP3	2.616125
PDLIM1	-0.1127
KCNS2	-0.5755
RNF126	-0.443
CEP63	-0.062375
CLIC4	-0.982125
hCG_1990170	-0.5965
ACR	2.565
KLK7	0.09925
ALOX5AP	2.328875
RIPK3	5.06575
TAS2R9	-0.0535
C19orf18	2.63
BIRC6	0.153214285714286
ZNF16	0.9545
RFT1	-0.607
SLC8A2	-0.39825
TACC1	0.0455
ITGAD	0.99525
SAMHD1	0.96375
SH3PXD2B	0.526111111111111
EPC2	1.186
C20orf85	-0.277285714285714
ATP13A2	0.709333333333333
KRT4	0.76075
CAPNS1	0.019
MDM2	-0.291916666666667
PCDH20	3.60625
KCNK9	0.944
OR2C1	-1.3515
KLHDC3	-0.7615
IPPK	0.269
EFHD2	0.515375
GALR3	1.82925
NBEA	1.38316666666667
ABCA6	2.876
CLDN3	1.92716666666667
AKT2	1.414
EGFR	-1.6075
RBM16	0.32875
ZDHHC3	0.8258
SLC25A4	0.102666666666667
CYB5B	-0.956833333333333
CPXM1	-0.39375
NDRG1	-1.04061538461538
FLJ43826	0.0805
OR5L2	0.714333333333333
FARP2	0.0166
MRPL46	-0.802916666666667
LDHAL6B	0.8085
MAPKAPK3	-0.220666666666667
NCAM2	-2.20875
PRKD2	0.827
ZFP36L1	0.2677
CYSLTR1	1.0825
OR4C3	-0.66825
HIST1H2AJ	4.2955
CCNB2	-2.25155555555556
ZNF10	0.420375
TMEM175	0.7755
FAM134A	1.35966666666667
TIGD4	-0.3735
PCNP	-1.124
MGC39715	0.1315
LQK1	-0.3665
CREB1	0.0883
TMPRSS3	-0.79925
C4orf32	0.572125
LAT	-0.883833333333333
KCNA3	-0.893
SKIV2L2	-1.28375
ROPN1B	-0.55225
tcag7.23	0.727
CDT1	-2.844625
ZHX2	0.615625
CD28	-0.99075
ZNF624	1.02475
SEPT2	0.0338333333333333
SOHLH2	-0.557375
MCOLN3	-2.05585714285714
UNQ1945	1.388
MASP2	0.1655
ZNRF3	0.3403
GPATCH3	-0.25125
AGL	-0.264625
QRICH2	-0.615
PSD4	0.743833333333333
CCNB1IP1	-2.06575
ENPP7	-0.618
OBFC1	0.021
KCNG3	-3.063
C14orf79	-0.393166666666667
ENPEP	5.48666666666667
SCT	0.693
SKI	1.325625
SEC61G	-0.504
CAPN11	-6.462
ATXN7L3	-0.15275
DBNDD1	0.787833333333333
FAIM	-0.3255
ANKRD36	-0.2985
GABRP	0.4248
TACSTD2	1.61316666666667
EIF3J	-0.68075
PPP2R2A	-1.6015
TEKT4	0.377666666666667
PVALB	-2.03316666666667
F10	-1.94533333333333
FAM134C	1.0292
COMP	5.494125
EFCBP1	-2.8420625
SCLT1	0.69
TAL1	0.0232
ACSL1	0.7035
ABCC5	0.00600000000000005
ABL1	-0.931888888888889
RBBP7	-0.2715
PTPRG	-0.48075
NCOR1	-0.6583
SPINK4	-1.14116666666667
TXNRD1	-1.5176
TNRC15	0.8775
C9orf138	0.40425
UBE2H	1.87116666666667
BRDT	0.603
C8orf31	-0.19275
CCNE2	-2.05336363636364
SLC6A8	-1.610875
CALCR	-3.45375
PPP1CB	0.517166666666667
ABHD8	0.15975
ARF5	0.00880000000000001
SLC24A4	0.05975
CCT3	-0.20225
ZNF121	-0.904875
SLC3A2	-1.5226
OR13A1	0.873
SLC5A10	-0.7925
RAD50	-0.7585
IER5	1.371375
MTHFD1L	-1.7645
MBTPS2	0.0286666666666667
MVK	0.09
NCL	-0.0942
PSMD10	-0.76775
MOBP	0.656666666666667
FLJ32894	-1.133
HRH1	-0.3425
C5orf30	0.55225
NUDT16L1	1.1576
RASGRP3	4.71233333333333
PRKRIP1	-0.9818
CCDC75	1.30325
LOC253970	1.167
KIAA1239	-0.852
MED21	-1.213
SYT11	0.5765
NTSR2	0.069
EGFL11	-0.431
CXorf59	-0.175
OR2A25	0.5155
SPTBN2	0.03275
LRMP	-0.0228
RNF111	-0.59625
PTH	-0.114
LOC619208	0.938666666666667
KIAA0895	0.36575
RANBP5	-1.234625
P2RY10	1.128
NME5	2.4195
DDX21	-0.65375
LRSAM1	-0.19
HDAC11	0.228833333333333
VMO1	1.74675
NOLA2	-0.324333333333333
ADAR	-0.38175
MTO1	-1.6695
SF4	0.440833333333333
P2RX1	0.0653333333333333
HBM	0.9225
EN2	2.287
C14orf172	0.201
TM9SF2	0.1564
INHBE	-1.18533333333333
TCTE3	0.07175
TOX2	-1.67025
CTAGE3	0.53
HBB	5.2501
MED15	-1.57933333333333
CASR	0.2925
C6orf66	-1.22383333333333
MTPN	1.071
UNC50	-0.74525
C21orf33	1.42275
IRF2	1.309375
PGR	-2.16166666666667
GPR84	1.82425
CROCCL1	-2.67025
SRPX	-1.072
BRE	-0.308166666666667
FGF10	1.47825
SDC3	0.435333333333333
ZRSR1	0.584166666666667
DKFZP434P211	-0.560625
SOX6	-0.0745
RPUSD2	-0.12975
C14orf173	0.105583333333333
MAPK11	1.29383333333333
TBC1D22A	1.2535
FAM123A	-0.558
COL4A6	-3.67033333333333
TOMM70A	-0.2045
NAB1	-0.79225
MGC16385	0.420625
TSPAN18	0.626333333333333
MED31	-0.7375
PLG	-0.2725
CAPSL	4.219
ZNF532	0.6848
ASB14	-0.907333333333333
CA8	1.078
NUDT16P	2.827
SLFN11	-0.301
LRRIQ2	0.040125
NOL7	0.128833333333333
BRMS1L	-1.328875
JARID1A	0.223666666666667
PANK2	-0.67575
ICAM3	0.11175
MDS1	0.1145
TAF8	0.50325
RNF139	0.912
ZNF594	-0.941666666666667
ADAM8	1.062125
SFTPC	0.366857142857143
MAN2B2	1.6955
RGS12	0.2081875
EIF1AY	-4.09833333333333
LRRIQ1	0.0728333333333333
GPR150	2.3225
CCDC21	-1.637
PRRG3	0.3015
SAA4	-1.42575
RAPGEF5	1.67825
ZCCHC2	-0.241666666666667
MGC39372	-2.8095
PPP4R2	0.166666666666667
CDCA2	-2.018
OR4D5	0.3854
PTGFRN	1.2053
SIGLEC5	1.368
C19orf61	-0.430666666666667
NMUR2	0.178
KIAA1586	-1.281
DAGLA	0.37
CHCHD6	0.5625
GPR32	0.6365
NEUROD6	-0.418166666666667
SLC2A4RG	0.2749375
CA5B	-0.21275
FBXL3	-0.106
MPHOSPH9	-2.0285
HMG2L1	2.26175
HCN4	1.09016666666667
CEACAM19	1.4265
SH2D4B	0.217166666666667
HFE2	-0.4125
TGM4	1.719
LYPD2	-0.915666666666667
TBC1D15	-0.036
MRPS21	-0.4364
NONO	-1.336
CLEC5A	1.05628571428571
ITCH	0.081
MGAT3	0.343
MBP	-0.351375
RPP25	0.18475
SOSTDC1	-2.5805
HRC	-0.149
TRIM48	-1.6845
TMEM133	-0.3235
ECEL1P2	-0.99575
HOXC11	-0.5255
DOK5	-0.7865
HELZ	1.42333333333333
LOC348180	-0.75125
MGC33894	0.1135
ADRB3	0.101
DMD	0.00663636363636355
PTRH2	-0.666
MPEG1	3.7555
NDUFA12	-0.160166666666667
KRTAP2-4	-0.275181818181818
STAMBPL1	-1.70633333333333
ADCY2	-0.422666666666667
UNQ6125	0.592
KLHL20	0.7945
SRM	-1.47225
OTC	0.1925
TMIE	-0.524333333333333
SNX8	0.84775
LIPK	-0.2225
CHURC1	0.0218333333333333
KLC2	0.788833333333333
HDAC1	-0.165666666666667
FAM128A	-0.120666666666667
FNDC3B	-1.6777
MTCP1	-1.13883333333333
WFDC10B	0.1443
PCDHGB3	-0.0285
ATRNL1	-0.7436
CAV2	-0.404125
MED26	-0.196333333333333
DUS1L	0.7835
CHRM3	-1.314125
NEK9	-0.4335
WARS2	-0.143
TBX22	-1.88
TOMM40	0.000500000000000014
RP6-213H19.1	-2.04533333333333
TUBGCP5	-1.60475
IGSF6	6.29375
TPPP	-0.350166666666667
UNQ6190	1.955
GSTM5	0.607
BTD	0.1295
PDCD1LG2	-0.263166666666667
SNRPB2	-0.389
ERICH1	-0.26325
APOA4	-0.77625
HOXA11	-4.8495
NARG1	-0.709625
MKX	-0.0945
RAB28	-0.998428571428571
PKP3	0.6625
SH3GL2	1.55875
CTSO	2.0575
RPN2	0.6275625
IL28RA	-1.006
SFMBT1	0.466
WDR57	-0.236
FER1L3	1.09616666666667
HSF5	0.5402
TTC9B	2.89425
C4BPA	-4.03066666666667
ALB	-4.33876923076923
SORBS3	0.0145
UPF2	-0.1195
JPH1	-1.7585
AGBL2	-1.2555
DOPEY1	1.6005
TERF1	-0.38325
KIF22	-0.772833333333333
NINJ1	0.8375
SEC61A2	-0.0793333333333333
HIST1H1D	0.126166666666667
SFXN4	0.3575
UCP3	0.4988
ZNF703	1.02683333333333
MYL6B	-0.45575
TREM1	0.9645
OR52E6	1.2
CKMT2	1.82225
HLA-C	2.349625
SLC13A3	0.650333333333333
TIMP4	0.78875
SLIT2	4.1555
RSF1	0.0196111111111111
LONRF1	-1.57642857142857
MON1A	0.242
CACNG6	1.78366666666667
DPPA4	-4.33433333333333
ZSWIM3	1.0015
ZNF804A	-0.259666666666667
CCIN	1.01075
SLC25A31	-1.1965
KCNMB4	-0.02975
RABL5	-0.25625
GALNS	-0.8837
STX6	1.3235
HIST1H1C	-0.019
CIDEB	-0.41425
CASP4	0.310333333333333
PDK3	-0.5529
KCNJ11	0.7565
TPR	-0.298
ZSCAN20	-0.9925
MTX2	-0.1345
HIST1H2BH	0.4505
LOC283767	1.71875
LYRM7	-0.954611111111111
BRD3	-0.7205
HIST1H2BO	-0.15825
MAGEB10	0.631
SLC45A1	0.879
SERPINA3	-1.43435
KIAA0143	0.99375
KCNJ16	0.317
KRT79	-0.50475
FABP2	-1.06875
NUT	0.59075
ZNF57	-1.40725
FBXL4	-0.47275
CLEC9A	2.3565
UGT8	-0.995666666666667
BMP2K	-0.47225
MAPK4	-2.7255
SLC25A23	-0.1271
HINT1	-0.9094
KRTAP13-1	-1.7165
SFXN5	-0.3463
CHCHD2	0.631583333333333
FAM3D	1.552
NDP	-2.753625
RHOBTB1	-0.0696666666666666
SLC4A4	-1.69671428571429
RPL38	0.0865
HTF9C	-0.365833333333333
AP2A2	0.304875
ZBTB46	-1.3585
MAP7D1	0.147625
AOX1	-0.785
CYR61	0.920333333333333
DTNA	-0.241357142857143
JRKL	-0.121
TMOD3	-0.24375
EEA1	-0.1051
ADCK5	1.4965
IL1R1	0.623833333333333
KLK3	1.11761538461538
HRSP12	-1.4195
KTN1	-0.11675
LOH11CR2A	1.6586
RELL2	-1.52725
MAB21L1	0.99675
C20orf59	-0.793833333333333
PHKB	-0.174
ADAM2	1.00066666666667
TBC1D8B	0.9114
FAM13A1	-1.32828571428571
LAPTM4B	0.91425
LCN8	0.673
TMEM147	0.69
SYT4	-0.615166666666667
XPO7	-1.9565
C9orf62	2.38225
GPR75	0.0995
TRIM5	0.16075
APOC1	1.22766666666667
RNASE4	1.39766666666667
PARD6B	-2.98375
ARID1A	0.141416666666667
TPD52L3	0.608
RRAGB	0.414333333333333
RCN2	-0.764666666666667
HIST2H2BE	0.3054375
STARD7	-0.24625
SHMT2	-1.545
KIAA1751	1.5992
MLYCD	-0.013375
LOC162632	-0.3215
UQCRH	-0.845
RP11-217H1.1	0.1519375
SDHA	-1.70466666666667
NCLN	-0.6689
ZNF17	0.931
RCBTB2	-1.57
VEGFB	-0.3726
RP4-747L4.3	-0.2195
COLQ	-0.7472
MPN2	-1.65066666666667
DRG2	-0.6565
KLRB1	6.943
ALPK2	-2.25075
DNASE2B	4.58375
FLJ23834	-1.34
AXUD1	0.963166666666667
SAFB	0.2765
NSUN4	-0.228
RFX2	0.628333333333333
MAPK8IP1	-0.507
FANCD2	-1.01078571428571
ANKZF1	-1.88583333333333
C19orf50	-0.65475
DUSP8	2.118125
SENP5	-0.35925
NFKBIL2	-0.5335
LBR	-1.378
IGFL1	-1.6345
LZTS2	0.000125
IL2RG	0.151125
CCDC51	-0.307
KLF3	-0.50375
ANKRD37	-1.63275
KCTD14	-1.4735
FZR1	0.0600833333333333
SLC44A4	3.506
ESPL1	-1.2195
GMPR2	-1.2209
TBC1D19	-1.58983333333333
ERGIC1	1.05674074074074
ERBB4	1.888
TSPAN32	0.254666666666667
MAP4	-0.675375
GPHN	-1.0555
SLC6A2	0.021875
HIVEP1	0.36125
DFFB	-0.5079
EIF4EBP2	0.15375
DMRT1	-0.41925
HSPB6	0.59425
IER2	1.0775
AIFM1	0.33475
WWC2	-1.10827272727273
MRPL4	-0.92525
FLJ21062	-0.533833333333333
EPB41L4A	1.62275
SH2D6	-0.0375
TAF4B	-1.367
GAL3ST3	-0.534
MALT1	-1.521
RTDR1	0.38725
ARVCF	-0.9
MEX3B	-0.863666666666667
FBXO16	-0.22175
KIF7	-1.7285
C1QC	4.97816666666667
ZNF783	0.460833333333333
ZNF85	-0.85325
MMP13	-0.626
KIAA0329	0.127142857142857
RTP3	-0.06
ZBED3	0.1635
CLGN	-1.57225
SLC25A37	-1.82058333333333
hCG_18290	-0.4245
OR5AS1	0.296
SMARCC2	0.708
FAM109A	0.232166666666667
CCDC12	0.62925
USF2	0.7931
DEPDC7	-3.42625
C20orf24	-1.03816666666667
JMJD3	-0.2645
DSP	0.243428571428571
SLIC1	0.8075
