Hybridization REF	TCGA-A8-A09Z-01A-11R-A00Z-07
RP5-1077B9.4	-1.20566666666667
FPGT	2.022
GDF10	0.1975
COQ9	-0.218
GCC2	-0.435285714285714
RARRES3	3.938
PLXNA1	-1.37
KIAA0100	-0.1392
PMF1	0.18075
FNDC1	3.7865
HS2ST1	0.45075
CRELD2	1.863
C8G	-1.7395
CD82	0.94925
LIM2	-0.6895
UNQ6490	-0.0415
MMP16	1.61725
DRD3	0.0235
C5orf26	0.29575
C11orf73	-1.8845
PTP4A2	0.13875
OR4M2	0.78
HPCA	2.73266666666667
SEC14L1	-0.722666666666667
CHFR	-0.123
EMILIN1	0.351875
NDUFS4	-0.27625
COL18A1	-0.861625
PDZD3	0.1249
C9orf16	-0.0946666666666667
ERBB2IP	-0.175
EMX2	1.53125
FUS	-1.387
TF	-3.8463
CLCN4	-1.15366666666667
CXorf56	0.71225
C11orf72	0.22325
ELAC2	-0.468833333333333
NPR1	-0.8235
ASS1	-2.84133333333333
USP42	0.01325
POLR2J	-0.926
SEC23IP	0.5155
UQCRC1	0.27975
LOC729603	0.57375
C1orf71	0.49025
POLG	-2.0935
ADAM23	-4.08775
TFR2	-1.41525
RICTOR	-1.1475
MGC39606	0.92375
C19orf55	-0.319125
SNAPC1	-1.89
GNA11	1.029875
CCDC52	0.6875
FSIP1	-0.1715
UPF3A	0.147375
IGSF11	-2.96633333333333
LAGE3	0.07975
CHST6	-3
UNC13B	0.81375
TTLL4	-0.528125
ZNF687	0.794625
SDC2	-1.9475
COX7A2	-0.18925
LAMB4	-0.08475
FAM24A	0.1415
LRRTM3	-1.2032
GPHB5	0.35225
OR4C13	0.1755
EIF3EIP	0.231142857142857
HABP4	0.9875
TMEM125	4.89325
CNTN2	0.100875
ASNSD1	-0.5315
FUT4	-0.274875
ACF	-3.4175
LOC158381	0.947
CDH8	-0.04375
AGPS	-3.02433333333333
C4orf18	0.453875
PECI	0.260333333333333
UNG	-1.26125
GSTP1	0.559375
DCUN1D5	-1.46083333333333
DKFZP564J0863	-0.1035
SLC9A3R1	0.80625
BCDO2	-0.041125
CHMP7	0.959
REM2	0.769
DNHD1	-0.235125
FKBP4	0.343875
ZNF350	2.50375
MGC11102	0.459375
BST1	0.782
KISS1R	1.786
NCR2	0.068
DEFB125	0.1885
UBE2W	1.544
KRT15	-0.788375
C10orf99	0.5385
SCN11A	0.122428571428571
GFI1	-1.339
RDHE2	4.38183333333333
FHL1	-2.0875
OSGEP	-0.0925
GATA1	-3.1195
SMC6	-0.838
TTTY14	-0.63625
LPIN3	-0.15525
RPL4	-0.3715
RBPMS	-0.3795
PRPF3	0.063
EMR1	-1.572
SPATA19	0.48225
XCR1	0.3
IRX3	1.5828
RBM6	-1.89725
KLF4	1.4212
UNC5CL	-1.82575
SEBOX	-0.00149999999999999
BTK	-0.301
KRCC1	-1.41075
C6orf27	0.7455
SYTL5	-0.438
PRND	0.1445
LOC653319	-1.9065
PIGL	-2.1335
HUS1	-0.2145
SFRS6	0.611666666666667
C17orf77	0.141
UIMC1	-0.987833333333333
FXYD2	-1.9273
LOC283152	2.147
ZNF667	-1.983
ZCCHC12	-0.95375
TFEC	3.4991
ATP7B	-1.65716666666667
POLD2	-0.746333333333333
RG9MTD1	-0.525
ACOT2	-0.597166666666667
HIST1H4I	-1.351
PPARGC1A	-2.3066
ETFA	-0.6726
POLRMT	-0.06375
ZNF146	-0.6175
MIA2	-0.7145
KLHL6	-0.229666666666667
HOXB5	2.431625
NENF	0.972666666666667
CUGBP1	0.185
PRSS22	0.736833333333333
CASC4	1.0982
CUL4B	0.1277
CENPJ	-2.2812
PITX1	-1.75
FLJ31033	2.11383333333333
CELSR3	-2.45466666666667
ZNF568	0.768
ITSN1	0.16525
EHBP1L1	-0.362666666666667
C19orf2	0.19175
DCTN1	1.11625
LIN28B	-3.415
TNKS2	-0.7085
C1QBP	-0.121
CADPS2	2.19125
SRMS	1.04875
GJA9	0.524666666666667
MGC24975	-1.14116666666667
TRIM45	1.0245
TSP50	-0.23025
TCP1	-0.527
TMED7	1.5632
CMA1	0.5255
CENPL	-0.656166666666667
PTCRA	-0.0755
FST	-4.522
VWCE	-4.113
PAWR	-0.66975
ABCC12	0.0493333333333333
LDLR	2.1566
ASTN2	1.6856
LOC441212	-1.003375
GPATCH8	-0.13975
TANC2	-0.540083333333333
KIF4A	-1.63825
C18orf18	-1.397
PGM1	-2.24375
KIAA0258	0.806
CPD	0.345
SNCAIP	-2.39275
DCT	-4.05466666666667
HLA-DOA	3.81959090909091
OR11L1	0.7115
UPK1B	-0.407333333333333
DNAJB4	3.191625
UGT1A8	0.03875
HIST1H4L	-1.705
PECR	-2.73166666666667
HSPA2	1.3055
WFIKKN1	-1.509
SERP1	2.19625
SYDE2	-0.9595
TACR2	1.2915
NUP85	-0.5305
CD177	-0.184833333333333
LGR5	-2.0385
PIGG	0.737333333333333
PTHR1	-2.75466666666667
RAB5A	0.8748
FLJ13224	-0.889
USP9Y	-1.2365
C7orf53	-0.6405
LRP1B	-1.28575
XAF1	2.4795
ABCG8	-1.052
ANKDD1A	-0.718166666666667
DAND5	-2.2295
SPAG6	0.0738333333333333
LINCR	1.65675
ZDHHC22	-1.769375
CCDC60	0.032
THOC7	-2.3535
TCTA	2.3126
OR8K3	0.12275
NY-REN-7	-0.884333333333333
B2M	3.14833333333333
C6orf141	-2.993875
LPPR4	0.26625
SQLE	-2.515625
SEPHS1	-0.50175
BTBD14B	0.598285714285714
PLRG1	-0.51375
SPG7	-0.425125
ZNF614	0.172833333333333
PARD6G	-0.595666666666667
INPP5B	-0.7281
GRPEL2	0.024625
PPID	-0.6119
TRIM56	0.60525
UBE2J1	0.2565
IL20RA	6.1345
LOC387856	-0.07875
C1orf107	0.765916666666667
UTS2R	1.39625
C19orf22	0.76625
SAFB2	0.514375
KIAA0652	1.497375
KLRG1	-0.744333333333333
MS4A8B	0.3205
FRAG1	0.7595
KIAA1546	-0.70825
E2F4	-1.0801
CLEC4M	0.4455
BTBD14A	-1.244
KIAA0999	2.4881
GYPA	-3.38433333333333
TAC1	-0.4125
TRAIP	-2.54183333333333
KIAA0232	0.4737
ERCC8	-1.495625
GPX4	1.393
KIAA0368	-0.323125
GPR157	0.43
CTAGE4	1.7485
C9orf30	-1.53366666666667
OR52A1	0.3745
HSP90B3P	0.5575
ALG9	-0.2441
BTBD10	0.2185
SDK2	0.78075
BAIAP3	1.41425
RABGGTB	0.075875
ANKRD40	0.81
KRT74	0.3285
CALCOCO2	1.05642857142857
SNCA	-3.683
TMSL8	-6.606625
C2orf53	0.4245
ESRRB	-0.36575
ARHGAP26	0.1275
TDRD9	-3.05925
HRAS	-0.225833333333333
KLRC4	-1.839
JAGN1	-0.0831666666666667
BSDC1	0.58925
RNF43	-0.3491
NDUFAF1	1.32225
PHF12	0.13825
OR1L3	0.31775
FOLR2	1.94341666666667
LYZL6	0.122666666666667
tcag7.1260	-1.898
WSB1	-1.77566666666667
PROS1	-1.4109
OSTN	0.8
PSMB8	2.8115
SOCS4	-0.0265
DDIT4L	-0.3875
MAS1	0.568
MGC34796	1.73175
CSHL1	-0.0626
TBCCD1	0.738666666666667
ZBTB7C	0.093
AP2S1	-0.728375
P15RS	-0.9087
VAT1	0.1964
SHANK3	1.146
TUFM	0.115666666666667
THEG	-0.7735
KRT34	-2.28375
SGSM3	0.400125
TOMM22	-0.1935
SOCS3	1.57733333333333
CPO	-0.2695
POP4	0.47675
BHLHB3	-0.1685
MALL	1.09875
OR1B1	0.3805
PARK2	1.227
GPR124	-1.293125
LCE1E	0.945
RUVBL2	0.25675
CGRRF1	0.9391
ACPL2	-0.317
WNT10B	-2.125875
BAIAP2L2	-1.871625
ISCA1	0.6055
C1orf125	-0.077625
RPAP1	-0.5465
RAI16	0.0823333333333333
RPL27	-0.704375
NLRP9	-0.1965
EPN1	0.829
LOC388610	-2.378
SLC35A1	1.4927
GAL	-4.4045
SLC14A2	0.6065
RDH11	-0.861166666666667
FAM138F	0.206
AUH	0.297
FLJ40243	-0.0920000000000001
C14orf129	0.471
MBD2	-0.728
ABHD14B	1.094125
PIGT	1.67325
ALS2CR4	-1.0845
ALAS1	0.3924
FOXO1	2.9615
CRLF3	-0.573125
C20orf107	0.538
FARS2	0.562
CCDC28A	1.302
NPHP3	-1.34175
OR13F1	0.3625
TSEN54	-0.375
DEFB106B	0.1005
OR8B4	1.1085
STH	-1.6895
ZC3H14	-0.404625
CBX2	-0.3525
TMEM49	-0.83325
C6orf21	0.9865
FLJ20920	0.389625
CRTAP	-0.193428571428571
DDX50	-0.27675
STYXL1	0.35575
BLVRB	0.961
LOC147650	0.336
MMP24	0.574
GRID1	0.2515
BANF1	0.219833333333333
CTAGEP	0.96525
HMBS	-1.7835
SLC25A24	0.126
C14orf50	-0.0515
MRO	1.00666666666667
SLC25A15	-1.5575
FAM84B	0.9213
TDP1	-1.257
C16orf78	0.2296
C11orf57	-0.355875
RFK	-0.113125
ZFYVE9	-0.99075
STCH	0.7108
WIBG	-0.019
LOC283871	-0.732333333333333
GBA2	-0.0388
NDUFB3	-0.5935
HSD17B13	-0.22225
GRIN3A	1.96766666666667
FMNL1	0.239666666666667
SEPT7	-1.1219
GNLY	5.093
GRAMD1C	0.488166666666667
ZNF165	3.92425
USP38	0.81
FAM83A	-3.14083333333333
C14orf24	0.65025
ARMCX3	1.28575
ARHGDIB	-0.4305
AK1	0.302125
KIAA1045	-0.14975
DNAJB13	-0.039
NEU2	-0.198
HIST1H4B	-1.42733333333333
FAM20B	0.3785
HES2	0.565357142857143
FAM73B	0.0699
LOC388381	0.27825
INTS7	0.265909090909091
AMPH	-0.59425
ZNF775	-0.00937500000000002
UCKL1	0.0783333333333333
C10orf97	-0.62725
C1orf161	0.1345
ALDH1L1	-1.92675
FLJ39378	-0.481625
SLC23A1	-2.991
RBM4B	0.64025
THAP4	0.3195
OGFRL1	0.75525
KIAA0831	0.444375
PPP1R15A	2.33366666666667
C1orf96	-0.0806428571428571
C12orf11	-2.1215
BMF	1.28975
MAN1A1	0.456
KIAA1600	-0.0176666666666667
NLGN4X	-0.46825
ALOX12	-1.39016666666667
RB1CC1	0.0923
NEIL2	0.3412
EIF4E	0.0832272727272727
ABHD5	-1.1615
EXOC4	0.0173333333333333
CIP29	-0.982833333333333
BATF2	2.50125
SLC29A4	-0.393625
HTR4	0.4945
EMB	-1.149
TRAF6	0.66075
LMNB1	-4.172
FAM19A5	-1.71275
SHE	1.0785
PIK3C2B	1.91175
C15orf15	-0.4668
USP15	-0.2126
TCEAL2	-1.0945
C5orf39	-1.7485
PTGER2	-0.3555
SLC31A1	0.0963125
IFT172	-0.288
ADAM29	-0.25525
GFOD1	-0.684
ST7L	1.03233333333333
C15orf26	-3.501
PKN3	-1.13175
CNTD1	4.84033333333333
COMMD1	0.546125
NTRK2	2.17875
FOXN3	-0.62825
MFGE8	-1.0805
PFKFB2	-0.051
TAS2R4	0.13575
ENTHD1	-0.841833333333334
PRMT5	0.1495
MGC16384	-0.895
LOC442229	-0.0435
TSKU	-0.195
KRTCAP3	3.73
PDLIM1	-0.2851
KCNS2	0.6245
RNF126	-0.5315
CEP63	-0.43125
CLIC4	-0.942875
hCG_1990170	-1.7615
ACR	1.0394
KLK7	-0.559
ALOX5AP	2.62825
RIPK3	5.0575
TAS2R9	0.283
C19orf18	1.7615
BIRC6	0.0745714285714286
ZNF16	1.6835
RFT1	-0.99075
SLC8A2	-0.33675
TACC1	2.10375
ITGAD	1.25275
SAMHD1	1.44775
SH3PXD2B	0.1044
EPC2	-0.07275
C20orf85	0.264875
ATP13A2	1.03916666666667
KRT4	0.3625
CAPNS1	1.00525
MDM2	-0.295166666666667
PCDH20	2.753
KCNK9	0.841
OR2C1	0.1525
KLHDC3	-0.0308333333333333
IPPK	0.651
EFHD2	0.550375
GALR3	1.396
NBEA	-0.405666666666667
ABCA6	1.5414
CLDN3	2.452
AKT2	-0.458642857142857
EGFR	-2.2907
RBM16	-0.022875
ZDHHC3	-0.16
SLC25A4	0.108666666666667
CYB5B	-1.12333333333333
CPXM1	-1.19275
NDRG1	-0.470153846153846
FLJ43826	0.07425
OR5L2	0.336833333333333
FARP2	0.9124
MRPL46	-0.33175
LDHAL6B	0.401166666666667
MAPKAPK3	-0.506333333333333
NCAM2	0.94675
PRKD2	1.25033333333333
ZFP36L1	0.6944
CYSLTR1	-0.9765
OR4C3	-0.219666666666667
HIST1H2AJ	-1.92
CCNB2	-2.67777777777778
ZNF10	0.2655
TMEM175	1.032
FAM134A	1.58183333333333
TIGD4	-0.434
PCNP	-0.18375
MGC39715	-0.57175
LQK1	0.398
CREB1	0.9169
TMPRSS3	0.72525
C4orf32	1.298625
LAT	-1.22133333333333
KCNA3	-0.867
SKIV2L2	-0.92475
ROPN1B	-5.21725
tcag7.23	-0.3905
CDT1	-3.09325
ZHX2	0.473625
CD28	-2.79875
ZNF624	0.30225
SEPT2	0.2555
SOHLH2	-2.36325
MCOLN3	-0.88625
UNQ1945	1.2445
MASP2	-1.218
ZNRF3	-1.6987
GPATCH3	0.23575
AGL	-3.1105
QRICH2	-0.874
PSD4	1.0055
CCNB1IP1	-0.59875
ENPP7	0.01025
OBFC1	0.87975
KCNG3	-3.0735
C14orf79	1.03775
ENPEP	0.508833333333333
SCT	0.6095
SKI	0.546
SEC61G	-0.6785
CAPN11	-0.631
ATXN7L3	-0.194
DBNDD1	0.517
FAIM	-0.18275
ANKRD36	-0.6905
GABRP	-0.895
TACSTD2	2.801
EIF3J	-0.4575
PPP2R2A	1.221
TEKT4	-0.938666666666667
PVALB	-3.489
F10	-3.1335
FAM134C	1.9347
COMP	4.0915
EFCBP1	-2.38525
SCLT1	-0.37425
TAL1	-1.4311
ACSL1	-0.48775
ABCC5	-0.934583333333333
ABL1	-0.121777777777778
RBBP7	-0.08075
PTPRG	-2.46425
NCOR1	-0.2641
SPINK4	-2.3415
TXNRD1	-0.7172
TNRC15	-0.02575
C9orf138	0.459375
UBE2H	0.525333333333333
BRDT	-0.169333333333333
C8orf31	-0.214
CCNE2	-1.54409090909091
SLC6A8	-2.434625
CALCR	-4.7995
PPP1CB	0.4405
ABHD8	0.451
ARF5	0.2126
SLC24A4	0.4375
CCT3	0.28875
ZNF121	-0.229375
SLC3A2	0.136
OR13A1	0.713
SLC5A10	-0.04925
RAD50	-0.05225
IER5	1.9465
MTHFD1L	-1.991875
MBTPS2	0.80925
MVK	-1.31225
NCL	-0.386
PSMD10	0.06275
MOBP	0.55925
FLJ32894	0.2095
HRH1	-1.44966666666667
C5orf30	2.9545
NUDT16L1	0.7832
RASGRP3	4.19466666666667
PRKRIP1	-0.4076
CCDC75	-0.0645
LOC253970	-0.062
KIAA1239	0.20125
MED21	-0.7015
SYT11	0.12725
NTSR2	-0.0755
EGFL11	0.00600000000000001
CXorf59	0.9315
OR2A25	0.172
SPTBN2	-2.368
LRMP	-1.3985
RNF111	-0.31425
PTH	0.798
LOC619208	-0.558166666666667
KIAA0895	1.96525
RANBP5	-1.311625
P2RY10	1.66866666666667
NME5	-2.0225
DDX21	-0.94175
LRSAM1	1.4065
HDAC11	1.36883333333333
VMO1	2.56475
NOLA2	-0.135
ADAR	1.60691666666667
MTO1	-0.444666666666667
SF4	0.779666666666667
P2RX1	-0.723333333333333
HBM	0.07425
EN2	1.7565
C14orf172	-0.00799999999999998
TM9SF2	0.671
INHBE	-0.942333333333333
TCTE3	-0.175083333333333
TOX2	-2.79625
CTAGE3	0.6825
HBB	2.5225
MED15	0.0493333333333333
CASR	0.27925
C6orf66	-1.48183333333333
MTPN	-0.836625
UNC50	-0.58325
C21orf33	0.25875
IRF2	0.8115
PGR	-3.50366666666667
GPR84	2.92825
CROCCL1	-2.3095
SRPX	-3.862
BRE	0.7415
FGF10	-0.03225
SDC3	0.887
ZRSR1	0.854166666666667
DKFZP434P211	0.2105
SOX6	0.483
RPUSD2	-0.758
C14orf173	0.27425
MAPK11	-0.688666666666667
TBC1D22A	1.422
FAM123A	-1.125
COL4A6	-3.91333333333333
TOMM70A	0.2335
NAB1	1.71275
MGC16385	-0.95125
TSPAN18	-1.04633333333333
MED31	-0.287
PLG	-0.029
CAPSL	0.7165
ZNF532	-0.629
ASB14	-0.06
CA8	1.408
NUDT16P	2.67583333333333
SLFN11	-1.7705
LRRIQ2	-0.69875
NOL7	0.335166666666667
BRMS1L	-0.418875
JARID1A	-0.229
PANK2	-0.89475
ICAM3	-0.2135
MDS1	-0.91675
TAF8	-0.5155
RNF139	0.52675
ZNF594	-0.8785
ADAM8	4.541375
SFTPC	-0.034875
MAN2B2	2.37075
RGS12	0.7041875
EIF1AY	-4.661
LRRIQ1	-1.94766666666667
GPR150	1.526
CCDC21	-0.227
PRRG3	0.0415
SAA4	-3.9915
RAPGEF5	0.493
ZCCHC2	-0.278
MGC39372	-0.316
PPP4R2	-0.651333333333333
CDCA2	-1.894
OR4D5	0.170666666666667
PTGFRN	0.26
SIGLEC5	0.768333333333333
C19orf61	0.0623333333333333
NMUR2	0.1855
KIAA1586	-2.5375
DAGLA	0.367833333333333
CHCHD6	-0.4945
GPR32	0.4855
NEUROD6	0.3565
SLC2A4RG	-0.2506875
CA5B	0.63475
FBXL3	1.453
MPHOSPH9	-1.436
HMG2L1	0.53025
HCN4	0.9
CEACAM19	0.0325
SH2D4B	0.255
HFE2	-1.4535
TGM4	-0.1068
LYPD2	0.20925
TBC1D15	0.986
MRPS21	-0.4367
NONO	-0.7511
CLEC5A	0.715375
ITCH	-0.3434
MGAT3	-1.58266666666667
MBP	-0.5515
RPP25	0.01225
SOSTDC1	-3.8135
HRC	-1.8265
TRIM48	0.202
TMEM133	0.07775
ECEL1P2	-0.854
HOXC11	2.468
DOK5	-1.7725
HELZ	-0.468833333333333
LOC348180	-0.96
MGC33894	1.114
ADRB3	0.604
DMD	-0.973333333333333
PTRH2	-0.64
MPEG1	3.5895
NDUFA12	-0.206166666666667
KRTAP2-4	0.351
STAMBPL1	-1.08433333333333
ADCY2	-1.3545
UNQ6125	0.403
KLHL20	-0.116666666666667
SRM	-1.5365
OTC	-0.519
TMIE	-0.5
SNX8	0.954
LIPK	0.1325
CHURC1	-0.0218333333333334
KLC2	0.511666666666667
HDAC1	-0.595833333333333
FAM128A	-0.4645
FNDC3B	-0.7485
MTCP1	-0.333833333333333
WFDC10B	0.3108
PCDHGB3	1.8435
ATRNL1	-2.8767
CAV2	-1.077
MED26	0.247
DUS1L	0.25125
CHRM3	-1.830375
NEK9	1.46775
WARS2	-0.0895
TBX22	-0.24
TOMM40	-0.89575
RP6-213H19.1	-0.989166666666666
TUBGCP5	0.09675
IGSF6	5.74325
TPPP	3.10416666666667
UNQ6190	0.112
GSTM5	1.86975
BTD	1.628
PDCD1LG2	1.33833333333333
SNRPB2	-0.7
ERICH1	-0.54075
APOA4	-1.758375
HOXA11	-1.62425
NARG1	-0.085125
MKX	-0.8835
RAB28	-0.0715714285714285
PKP3	1.25725
SH3GL2	-3.69825
CTSO	4.07025
RPN2	0.8914375
IL28RA	0.181666666666667
SFMBT1	-0.472
WDR57	0.151875
FER1L3	1.42333333333333
HSF5	0.2555
TTC9B	0.30225
C4BPA	-3.79783333333333
ALB	-3.7425
SORBS3	0.373625
UPF2	-0.393
JPH1	-0.197
AGBL2	1.61425
DOPEY1	0.64
TERF1	-1.12783333333333
KIF22	-0.6595
NINJ1	1.48425
SEC61A2	-0.519583333333333
HIST1H1D	-1.58666666666667
SFXN4	-0.039375
UCP3	0.5214
ZNF703	1.139
MYL6B	-1.5865
TREM1	2.32675
OR52E6	0.168
CKMT2	-0.89425
HLA-C	3.76925
SLC13A3	0.6915
TIMP4	-3.7815
SLIT2	0.7465
RSF1	-0.160388888888889
LONRF1	-1.785
MON1A	-0.534333333333333
CACNG6	-0.841833333333334
DPPA4	-4.94983333333333
ZSWIM3	-0.55675
ZNF804A	0.775833333333333
CCIN	0.75425
SLC25A31	0.04725
KCNMB4	-2.39325
RABL5	0.09925
GALNS	-0.1986
STX6	0.493875
HIST1H1C	-1.24883333333333
CIDEB	0.60025
CASP4	0.514333333333333
PDK3	0.0781
KCNJ11	1.2555
TPR	-0.457125
ZSCAN20	-1.666
MTX2	-0.16875
HIST1H2BH	-0.47275
LOC283767	0.75875
LYRM7	-0.537388888888889
BRD3	-0.539833333333333
HIST1H2BO	-0.31275
MAGEB10	-0.0595
SLC45A1	0.72675
SERPINA3	-2.29335
KIAA0143	1.2045
KCNJ16	-0.531
KRT79	0.63125
FABP2	-0.781666666666667
NUT	-0.0035
ZNF57	-0.38525
FBXL4	0.754125
CLEC9A	0.693
UGT8	-1.60433333333333
BMP2K	-0.0585
MAPK4	-3.80725
SLC25A23	0.1402
HINT1	0.0193
KRTAP13-1	0.5925
SFXN5	0.9652
CHCHD2	0.528083333333333
FAM3D	0.558
NDP	-3.4175
RHOBTB1	-0.0995
SLC4A4	-1.268625
RPL38	-0.3965
HTF9C	0.34
AP2A2	0.797625
ZBTB46	0.059
MAP7D1	0.082625
AOX1	-2.55066666666667
CYR61	0.976166666666667
DTNA	-0.698857142857143
JRKL	-0.57625
TMOD3	-0.1315
EEA1	0.4213
ADCK5	-0.35
IL1R1	-0.069
KLK3	0.757142857142857
HRSP12	-0.39225
KTN1	-2.89475
LOH11CR2A	1.4313
RELL2	-1.9695
MAB21L1	0.41275
C20orf59	-0.797166666666667
PHKB	-0.4455
ADAM2	0.073
TBC1D8B	0.431666666666667
FAM13A1	-1.007
LAPTM4B	-1.566
LCN8	0.357
TMEM147	0.699
SYT4	0.353666666666667
XPO7	-0.2045
C9orf62	1.67875
GPR75	-0.0795
TRIM5	1.69175
APOC1	1.39
RNASE4	1.8225
PARD6B	-0.1355
ARID1A	0.685083333333333
TPD52L3	0.358333333333333
RRAGB	1.73316666666667
RCN2	-1.38233333333333
HIST2H2BE	0.2515625
STARD7	-0.17725
SHMT2	-0.8455
KIAA1751	-0.6825
MLYCD	-0.33275
LOC162632	-1.2921
UQCRH	-1.8645
RP11-217H1.1	1.1975
SDHA	0.2705
NCLN	-0.5823
ZNF17	0.466666666666667
RCBTB2	-2.81375
VEGFB	0.0383
RP4-747L4.3	0.3905
COLQ	0.6316
MPN2	-1.33216666666667
DRG2	0.97725
KLRB1	5.92425
ALPK2	-4.0225
DNASE2B	0.68725
FLJ23834	-0.288833333333333
AXUD1	2.16466666666667
SAFB	-0.0687
NSUN4	0.42875
RFX2	2.60816666666667
MAPK8IP1	-0.473833333333333
FANCD2	-1.36985714285714
ANKZF1	-1.2225
C19orf50	0.20625
DUSP8	1.706375
SENP5	-0.298625
NFKBIL2	-0.60075
LBR	-1.909375
IGFL1	0.4035
LZTS2	-1.045
IL2RG	0.41925
CCDC51	-0.85125
KLF3	0.299375
ANKRD37	-0.4425
KCTD14	-2.426
FZR1	0.938916666666667
SLC44A4	4.3823
ESPL1	-0.965625
GMPR2	0.8759
TBC1D19	-1.58133333333333
ERGIC1	1.27662962962963
ERBB4	4.4395
TSPAN32	0.497833333333333
MAP4	0.075
GPHN	-1.01725
SLC6A2	-0.05275
HIVEP1	-0.351
DFFB	-0.7717
EIF4EBP2	0.200625
DMRT1	-0.64375
HSPB6	-0.064
IER2	-0.072
AIFM1	-0.293
WWC2	-0.3605
MRPL4	0.191
FLJ21062	0.896333333333333
EPB41L4A	-0.16975
SH2D6	0.00875000000000004
TAF4B	-1.036
GAL3ST3	0.161
MALT1	-2.02933333333333
RTDR1	0.289
ARVCF	0.22325
MEX3B	-2.10016666666667
FBXO16	-4.26725
KIF7	-2.37125
C1QC	4.4135
ZNF783	-0.507666666666667
ZNF85	0.1945
MMP13	2.483
KIAA0329	-0.20975
RTP3	-1.286
ZBED3	-2.22875
CLGN	-0.24375
SLC25A37	-1.39066666666667
hCG_18290	-0.342
OR5AS1	0.2935
SMARCC2	0.622166666666667
FAM109A	-0.2395
CCDC12	-0.618
USF2	0.7036
DEPDC7	-3.8005
C20orf24	-0.814333333333333
JMJD3	0.7055
DSP	-0.047
SLIC1	1.01125
FAM20A	0.833625
IRF2BP2	0.418875
ZNF230	0.8485
MSN	-1.02257142857143
SLC9A5	-2.254
EPDR1	-2.5722
MUSK	0.216166666666667
ZNF434	0.574666666666667
