Hybridization REF	TCGA-B6-A0IM-01A-11R-A034-07
BAIAP2L2	-2.11525
ISCA1	0.4355
C1orf125	-0.607
RPAP1	-0.19625
RAI16	-0.0311666666666667
RPL27	-0.30975
NLRP9	0.995
EPN1	0.446
LOC388610	-0.56825
SLC35A1	0.0796
GAL	-3.609
SLC14A2	0.33025
RDH11	-1.55033333333333
FAM138F	-0.2515
AUH	0.31575
FLJ40243	0.25
C14orf129	0.522666666666667
MBD2	0.1665
ABHD14B	-0.34775
PIGT	0.67675
ALS2CR4	-0.24775
ALAS1	0.4902
FOXO1	1.25
CRLF3	-1.54825
C20orf107	-1.128
FARS2	0.55
CCDC28A	0.415
NPHP3	-0.99375
OR13F1	0.6785
TSEN54	-0.4985
DEFB106B	-1.0604
OR8B4	0.443
STH	2.084
ZC3H14	-0.344375
CBX2	0.325
TMEM49	-0.7635
C6orf21	0.727
FLJ20920	0.593375
CRTAP	0.316571428571429
DDX50	-0.4945
STYXL1	0.65125
BLVRB	-0.403166666666667
LOC147650	0.665
MMP24	0.7005
GRID1	2.19
BANF1	-0.908833333333333
CTAGEP	0.2515
HMBS	-2.40175
SLC25A24	0.209
C14orf50	2.0345
MRO	2.2695
SLC25A15	0.15025
FAM84B	1.4995
TDP1	-0.848
C16orf78	0.191
C11orf57	-0.46525
RFK	-0.031375
ZFYVE9	-0.0655
STCH	-1.3594
WIBG	0.1025
LOC283871	0.0401666666666667
GBA2	0.0143
NDUFB3	-0.03675
HSD17B13	-1.5275
GRIN3A	0.161
FMNL1	-1.44
SEPT7	-0.8249
GNLY	0.944
GRAMD1C	0.706166666666667
ZNF165	0.6495
USP38	1.10075
FAM83A	-3.26583333333333
C14orf24	1.51791666666667
ARMCX3	1.492375
ARHGDIB	0.9595
AK1	0.61925
KIAA1045	-0.9585
DNAJB13	-0.857
NEU2	-0.5785
HIST1H4B	-1.05883333333333
FAM20B	-0.5269
HES2	0.588214285714286
FAM73B	-0.2805
LOC388381	0.88125
INTS7	-0.940818181818182
AMPH	1.85025
ZNF775	0.25325
UCKL1	-0.472166666666667
C10orf97	0.2405
C1orf161	0.08575
ALDH1L1	-0.4345
FLJ39378	0.115875
SLC23A1	-3.4595
RBM4B	-0.2705
THAP4	0.0216666666666667
OGFRL1	-0.0705
KIAA0831	0.37725
PPP1R15A	-0.0928333333333333
C1orf96	-0.550642857142857
C12orf11	-1.79575
BMF	2.38575
MAN1A1	-0.187125
KIAA1600	0.870833333333333
NLGN4X	-1.327
ALOX12	-1.6265
RB1CC1	0.4817
NEIL2	0.6617
EIF4E	0.0349545454545454
ABHD5	-0.1425
EXOC4	0.173666666666667
CIP29	0.0645
BATF2	-0.7855
SLC29A4	-1.0145
HTR4	-0.492
EMB	-0.6305
TRAF6	0.59675
LMNB1	-1.285
FAM19A5	-0.48375
SHE	1.98325
PIK3C2B	1.04325
C15orf15	-0.2588
USP15	-0.2314
TCEAL2	0.95625
C5orf39	-1.1585
PTGER2	-0.33425
SLC31A1	-0.759625
IFT172	0.104
ADAM29	0.21175
GFOD1	-0.65625
ST7L	0.6705
C15orf26	-1.89675
PKN3	-1.2135
CNTD1	0.509666666666667
COMMD1	-0.550125
NTRK2	2.60066666666667
FOXN3	-0.19775
MFGE8	-0.8561
PFKFB2	-0.331166666666667
TAS2R4	-0.60075
ENTHD1	0.593333333333333
PRMT5	-0.906375
MGC16384	-1.214875
LOC442229	-0.97
TSKU	0.659
KRTCAP3	3.565875
PDLIM1	0.1361
KCNS2	1.2155
RNF126	-0.758333333333333
CEP63	-0.327125
CLIC4	-0.84825
hCG_1990170	-2.28375
ACR	1.2396
KLK7	-0.185
ALOX5AP	3.121375
RIPK3	4.75575
TAS2R9	0.6545
C19orf18	1.8325
BIRC6	-0.0431428571428571
ZNF16	0.65
RFT1	-0.5455
SLC8A2	0.08775
TACC1	0.576375
ITGAD	0.98025
SAMHD1	1.08025
SH3PXD2B	1.4153
EPC2	0.68525
C20orf85	0.306857142857143
ATP13A2	1.01483333333333
KRT4	0.53775
CAPNS1	-0.1525
MDM2	-0.756833333333333
PCDH20	6.36733333333333
KCNK9	0.881
OR2C1	-0.1405
KLHDC3	-0.2005
IPPK	0.496
EFHD2	-0.136375
GALR3	0.92825
NBEA	1.78016666666667
ABCA6	2.3795
CLDN3	1.65466666666667
AKT2	0.159357142857143
EGFR	-2.1707
RBM16	-0.080375
ZDHHC3	0.1915
SLC25A4	-0.6015
CYB5B	-1.54683333333333
CPXM1	0.892
NDRG1	-0.562769230769231
FLJ43826	1.01475
OR5L2	-0.137666666666667
FARP2	1.1184
MRPL46	0.137416666666667
LDHAL6B	0.1392
MAPKAPK3	-0.165166666666667
NCAM2	-1.201
PRKD2	0.158333333333333
ZFP36L1	0.2966
CYSLTR1	-0.93275
OR4C3	-0.2415
HIST1H2AJ	2.2675
CCNB2	-2.27944444444444
ZNF10	-0.868125
TMEM175	0.2885
FAM134A	1.21333333333333
TIGD4	0.8675
PCNP	0.03175
MGC39715	-1.01475
LQK1	-2.6925
CREB1	0.3279
TMPRSS3	-3.27625
C4orf32	1.361125
LAT	-2.07325
KCNA3	-0.7595
SKIV2L2	-0.993
ROPN1B	-2.422
tcag7.23	-0.214
CDT1	-2.57
ZHX2	0.985
CD28	-3.516
ZNF624	0.41
SEPT2	-0.100666666666667
SOHLH2	-2.178
MCOLN3	2.147125
UNQ1945	0.723
MASP2	-0.7625
ZNRF3	0.7854
GPATCH3	-0.0745
AGL	0.812875
QRICH2	-0.0845
PSD4	1.23783333333333
CCNB1IP1	-2.20475
ENPP7	-0.31525
OBFC1	-0.27475
KCNG3	-0.93575
C14orf79	1.25675
ENPEP	2.24883333333333
SCT	2.019
SKI	0.548875
SEC61G	-0.49175
CAPN11	-0.05925
ATXN7L3	0.3785
DBNDD1	-0.102833333333333
FAIM	0.01625
ANKRD36	-1.415
GABRP	-1.4302
TACSTD2	1.45383333333333
EIF3J	-0.15
PPP2R2A	-1.1405
TEKT4	0.242333333333333
PVALB	2.56416666666667
F10	-2.79633333333333
FAM134C	1.247
COMP	4.697875
EFCBP1	-2.61
SCLT1	-0.713
TAL1	-1.435
ACSL1	0.96925
ABCC5	0.356
ABL1	-0.550166666666667
RBBP7	0.659
PTPRG	-1.3405
NCOR1	-0.4377
SPINK4	1.75233333333333
TXNRD1	-1.6497
TNRC15	0.4275
C9orf138	0.98275
UBE2H	1.47016666666667
BRDT	0.894333333333333
C8orf31	0.317
CCNE2	-1.08090909090909
SLC6A8	-0.08075
CALCR	-4.76775
PPP1CB	0.874916666666667
ABHD8	0.16725
ARF5	0.5797
SLC24A4	0.48125
CCT3	-0.59525
ZNF121	-0.134625
SLC3A2	-1.285
OR13A1	0.3945
SLC5A10	1.64775
RAD50	0.366
IER5	0.654125
MTHFD1L	-2.27975
MBTPS2	0.048
MVK	-0.77025
NCL	-0.2342
PSMD10	0.291
MOBP	0.258
FLJ32894	-1.1275
HRH1	-0.7865
C5orf30	2.5085
NUDT16L1	1.1708
RASGRP3	4.17716666666667
PRKRIP1	0.0506
CCDC75	-0.868
LOC253970	-1.47833333333333
KIAA1239	1.52275
MED21	-0.5235
SYT11	0.0855833333333333
NTSR2	-0.1565
EGFL11	null
CXorf59	0.504
OR2A25	-1.24833333333333
SPTBN2	-2.4125
LRMP	-1.72583333333333
RNF111	0.19925
PTH	0.024
LOC619208	0.3015
KIAA0895	1.3465
RANBP5	-0.964
P2RY10	-0.4275
NME5	4.331
DDX21	-1.07175
LRSAM1	-0.2515
HDAC11	1.15133333333333
VMO1	1.094
NOLA2	-0.0475
ADAR	0.652333333333333
MTO1	-1.34483333333333
SF4	0.121
P2RX1	-0.500666666666667
HBM	0.2215
EN2	1.2915
C14orf172	0.23175
TM9SF2	0.5667
INHBE	-1.5895
TCTE3	0.258583333333333
TOX2	-3.936
CTAGE3	0.067125
HBB	4.3242
MED15	-0.5965
CASR	1.3925
C6orf66	-1.51116666666667
MTPN	-0.215
UNC50	0.28525
C21orf33	0.32
IRF2	0.9615
PGR	-1.40583333333333
GPR84	3.303
CROCCL1	-0.94325
SRPX	-0.987
BRE	0.278833333333333
FGF10	5.66675
SDC3	1.2095
ZRSR1	0.6275
DKFZP434P211	-0.4925
SOX6	0.838
RPUSD2	0.622
C14orf173	0.212583333333333
MAPK11	0.304833333333333
TBC1D22A	0.376
FAM123A	1.52
COL4A6	-3.06916666666667
TOMM70A	-0.392
NAB1	-0.234875
MGC16385	-0.866125
TSPAN18	0.308333333333333
MED31	-0.40475
PLG	-0.127
CAPSL	2.119
ZNF532	0.2316
ASB14	-0.330666666666667
CA8	-4.2805
NUDT16P	2.57483333333333
SLFN11	-0.9305
LRRIQ2	-0.669625
NOL7	-0.551166666666667
BRMS1L	-1.208125
JARID1A	-0.0713333333333333
PANK2	-0.3855
ICAM3	-0.66075
MDS1	-1.28225
TAF8	-1.2535
RNF139	1.009
ZNF594	-0.762333333333333
ADAM8	1.4195
SFTPC	-0.482
MAN2B2	1.53
RGS12	0.3715
EIF1AY	-4.87408333333333
LRRIQ1	0.2075
GPR150	0.98975
CCDC21	-0.936833333333333
PRRG3	0.1115
SAA4	-3.40875
RAPGEF5	1.8695
ZCCHC2	0.651916666666667
MGC39372	0.418
PPP4R2	-0.1765
CDCA2	-2.33266666666667
OR4D5	0.479833333333333
PTGFRN	0.432
SIGLEC5	0.141166666666667
C19orf61	0.136
NMUR2	0.454
KIAA1586	-1.0725
DAGLA	0.15
CHCHD6	-0.07325
GPR32	0.985
NEUROD6	0.2865
SLC2A4RG	0.5125625
CA5B	0.0465
FBXL3	1.3115
MPHOSPH9	-1.69025
HMG2L1	0.35375
HCN4	0.810166666666667
CEACAM19	0.506
SH2D4B	1.2468
HFE2	-1.0045
TGM4	0.27525
LYPD2	0.04
TBC1D15	0.0435
MRPS21	-0.5562
NONO	-0.2185
CLEC5A	1.605125
ITCH	0.00520000000000004
MGAT3	-0.730333333333333
MBP	-0.409625
RPP25	-1.86125
SOSTDC1	-4.02325
HRC	-1.97525
TRIM48	0.46
TMEM133	-0.65025
ECEL1P2	-1.633
HOXC11	-0.941
DOK5	-0.362
HELZ	-0.0966666666666667
LOC348180	-1.0245
MGC33894	0.33625
ADRB3	0.3285
DMD	-0.442333333333333
PTRH2	-0.86075
MPEG1	3.33533333333333
NDUFA12	0.0618333333333333
KRTAP2-4	0.210416666666667
STAMBPL1	-1.83216666666667
ADCY2	-0.920666666666667
UNQ6125	0.909
KLHL20	-0.545333333333333
SRM	-1.14925
OTC	-1.602
TMIE	-0.681333333333333
SNX8	-0.061
LIPK	-0.705
CHURC1	-0.739166666666667
KLC2	0.4475
HDAC1	-0.1355
FAM128A	0.83
FNDC3B	-0.4551
MTCP1	0.3985
WFDC10B	0.3692
PCDHGB3	0.0775
ATRNL1	1.5826
CAV2	-0.794875
MED26	0.0668333333333333
DUS1L	0.2825
CHRM3	-2.2495
NEK9	0.73325
WARS2	-0.7305
TBX22	-0.076
TOMM40	-1.14925
RP6-213H19.1	-0.140833333333333
TUBGCP5	-0.01225
IGSF6	5.27425
TPPP	2.10183333333333
UNQ6190	-0.5945
GSTM5	0.382
BTD	0.0908333333333333
PDCD1LG2	-0.0976666666666667
SNRPB2	-0.1695
ERICH1	-0.989375
APOA4	-1.64875
HOXA11	-1.59425
NARG1	-0.2135
MKX	-1.69125
RAB28	0.292714285714286
PKP3	0.175
SH3GL2	-2.901
CTSO	3.92175
RPN2	0.1088125
IL28RA	0.282666666666667
SFMBT1	-0.2415
WDR57	0.25425
FER1L3	1.40716666666667
HSF5	-0.283
TTC9B	-0.06125
C4BPA	-4.81083333333333
ALB	-4.04685714285714
SORBS3	0.1995
UPF2	-0.3815
JPH1	0.8015
AGBL2	0.78425
DOPEY1	0.7415
TERF1	-0.02
KIF22	-0.920333333333333
NINJ1	1.064
SEC61A2	-0.3265
HIST1H1D	0.0323333333333333
SFXN4	0.021625
UCP3	0.1982
ZNF703	1.97866666666667
MYL6B	-0.863
TREM1	1.833
OR52E6	0.803
CKMT2	1.051
HLA-C	2.0365
SLC13A3	-2.31483333333333
TIMP4	-0.10925
SLIT2	2.11775
RSF1	-0.564444444444444
LONRF1	-1.65871428571429
MON1A	-0.881166666666667
CACNG6	-1.77766666666667
DPPA4	-5.2835
ZSWIM3	-0.176
ZNF804A	0.585166666666667
CCIN	1.46275
SLC25A31	0.3575
KCNMB4	0.341
RABL5	1.0645
GALNS	-0.4225
STX6	0.299375
HIST1H1C	-0.0811666666666667
CIDEB	0.2375
CASP4	-0.659166666666667
PDK3	0.4906
KCNJ11	2.0855
TPR	-0.890625
ZSCAN20	-0.077
MTX2	-0.04925
HIST1H2BH	0.59775
LOC283767	1.1915
LYRM7	-2.11116666666667
BRD3	0.138333333333333
HIST1H2BO	0.26575
MAGEB10	0.8395
SLC45A1	2.7045
SERPINA3	2.6579
KIAA0143	1.025
KCNJ16	0.0776
KRT79	-0.33725
FABP2	-1.2205
NUT	-0.8825
ZNF57	-0.8395
FBXL4	0.155875
CLEC9A	-0.2685
UGT8	-1.26266666666667
BMP2K	-0.47475
MAPK4	-4.018
SLC25A23	-0.2347
HINT1	-0.1326
KRTAP13-1	0.384
SFXN5	0.76
CHCHD2	0.848416666666667
FAM3D	0.0265
NDP	0.783125
RHOBTB1	1.1555
SLC4A4	-1.8395
RPL38	-0.29325
HTF9C	-0.324
AP2A2	0.876375
ZBTB46	-0.1525
MAP7D1	0.298375
AOX1	-0.8755
CYR61	-0.20025
DTNA	1.11207142857143
JRKL	-1.40525
TMOD3	-0.34825
EEA1	-0.5626
ADCK5	-0.352
IL1R1	1.427
KLK3	0.708071428571429
HRSP12	-0.468
KTN1	0.9585
LOH11CR2A	1.1459
RELL2	-0.4615
MAB21L1	1.857
C20orf59	-1.43766666666667
PHKB	-0.76325
ADAM2	-2.476
TBC1D8B	1.20583333333333
FAM13A1	-1.34
LAPTM4B	0.513333333333333
LCN8	-0.2775
TMEM147	0.239
SYT4	0.0816666666666667
XPO7	-1.485
C9orf62	1.485
GPR75	0.5885
TRIM5	-0.05625
APOC1	0.453666666666667
RNASE4	0.968833333333333
PARD6B	-1.299375
ARID1A	0.454333333333333
TPD52L3	0.221875
RRAGB	2.08233333333333
RCN2	-0.305833333333333
HIST2H2BE	1.094625
STARD7	0.114
SHMT2	-1.78525
KIAA1751	0.304833333333333
MLYCD	0.029
LOC162632	-0.5672
UQCRH	-1.572
RP11-217H1.1	0.427375
SDHA	-1.29983333333333
NCLN	-0.5009
ZNF17	0.387833333333333
RCBTB2	-1.606
VEGFB	-0.655
RP4-747L4.3	0.5115
COLQ	0.0652
MPN2	-1.06766666666667
DRG2	0.13625
KLRB1	4.807
ALPK2	-1.044
DNASE2B	1.45225
FLJ23834	-1.035
AXUD1	0.4175
SAFB	-0.4939
NSUN4	-0.347
RFX2	0.0301666666666667
MAPK8IP1	-0.248
FANCD2	-1.137
ANKZF1	-1.53866666666667
C19orf50	-0.403375
DUSP8	0.655375
SENP5	-0.493625
NFKBIL2	-0.35625
LBR	-1.98725
IGFL1	-1.7925
LZTS2	0.115125
IL2RG	-1.388375
CCDC51	-0.0915
KLF3	0.155125
ANKRD37	-2.045
KCTD14	-1.9305
FZR1	0.167333333333333
SLC44A4	4.0859
ESPL1	-0.497125
GMPR2	-0.2128
TBC1D19	0.1845
ERGIC1	0.0925555555555555
ERBB4	4.5197
TSPAN32	-0.17525
MAP4	-0.146
GPHN	-1.275
SLC6A2	0.1875
HIVEP1	0.0695
DFFB	-0.3064
EIF4EBP2	0.4305
DMRT1	-0.00249999999999997
HSPB6	-0.1245
IER2	0.366333333333333
AIFM1	0.41225
WWC2	-1.21491666666667
MRPL4	-0.652
FLJ21062	1.52133333333333
EPB41L4A	1.34166666666667
SH2D6	0.47725
TAF4B	-0.40325
GAL3ST3	-0.2115
MALT1	-0.243166666666667
RTDR1	0.77975
ARVCF	0.618
MEX3B	-0.637166666666667
FBXO16	0.0875
KIF7	-0.79025
C1QC	4.17033333333333
ZNF783	-0.407166666666667
ZNF85	-0.08825
MMP13	6.8135
KIAA0329	0.615125
RTP3	-1.2455
ZBED3	-1.1525
CLGN	-1.085
SLC25A37	-2.55354166666667
hCG_18290	-0.14075
OR5AS1	-0.845
SMARCC2	0.31175
FAM109A	0.475333333333333
CCDC12	-0.25125
USF2	1.2729
DEPDC7	-2.1585
C20orf24	-0.425833333333333
JMJD3	0.2155
DSP	1.47071428571429
SLIC1	0.416125
FAM20A	1.245125
IRF2BP2	-0.2675
ZNF230	-0.2175
MSN	-0.548214285714286
SLC9A5	-2.1235
EPDR1	-0.8941
MUSK	0.269333333333333
