Hybridization REF	TCGA-A2-A0D4-01A-11R-A00Z-07
ERBB2IP	0.291166666666667
EMX2	1.7085
FUS	-0.49875
TF	-3.3228
CLCN4	-0.6435
CXorf56	-0.197
C11orf72	0.3985
ELAC2	-0.862666666666667
NPR1	0.33875
ASS1	-3.1735
USP42	-0.00700000000000004
POLR2J	-0.864
SEC23IP	-0.0218333333333334
UQCRC1	-0.416
LOC729603	-0.94375
C1orf71	0.58375
POLG	-0.7425
ADAM23	-3.516
TFR2	-1.487
RICTOR	-0.7467
MGC39606	0.028
C19orf55	0.018125
SNAPC1	-0.520666666666667
GNA11	0.5085
CCDC52	0.39
FSIP1	5.8565
UPF3A	-1.389
IGSF11	-1.68266666666667
LAGE3	-1.19275
CHST6	-3.922
UNC13B	-0.88675
TTLL4	-0.819875
ZNF687	-0.253875
SDC2	0.2131
COX7A2	0.75125
LAMB4	-0.0775
FAM24A	0.242
LRRTM3	-0.233166666666667
GPHB5	-0.2755
OR4C13	0.1955
EIF3EIP	-0.426428571428571
HABP4	-2.0655
TMEM125	3.81025
CNTN2	0.159625
ASNSD1	-0.04
FUT4	-0.831625
ACF	-3.081
LOC158381	0.92
CDH8	0.27375
AGPS	-0.850333333333333
C4orf18	4.08525
PECI	-0.879
UNG	0.07725
GSTP1	-3.0465
DCUN1D5	-2.21933333333333
DKFZP564J0863	-2.26425
SLC9A3R1	2.1285
BCDO2	-1.07275
CHMP7	-0.67325
REM2	0.9015
DNHD1	-0.325875
FKBP4	-0.346375
ZNF350	1.75325
MGC11102	0.5265
BST1	-0.201
KISS1R	0.9385
NCR2	-0.2075
DEFB125	-0.691
UBE2W	2.79675
KRT15	0.09525
C10orf99	0.0925
SCN11A	0.708125
GFI1	-2.95075
RDHE2	-1.1295
FHL1	-0.465666666666667
OSGEP	-0.627666666666667
GATA1	-3.163
SMC6	-0.7735
TTTY14	-1.02075
LPIN3	0.00650000000000001
RPL4	-1.0444
RBPMS	0.0156
PRPF3	-0.0598333333333333
EMR1	-2.153
SPATA19	-0.458
XCR1	0.7575
IRX3	0.5651
RBM6	-1.22875
KLF4	-0.7192
UNC5CL	-0.9195
SEBOX	0.587
BTK	-2.0795
KRCC1	1.4575
C6orf27	0.443
SYTL5	-0.9435
PRND	1.3435
LOC653319	-1.797
PIGL	-1.272875
HUS1	-1.00733333333333
SFRS6	-0.733
C17orf77	0.355
UIMC1	-0.563166666666667
FXYD2	-1.583
LOC283152	1.935
ZNF667	-1.69025
ZCCHC12	-1.0675
TFEC	0.4639
ATP7B	1.6845
POLD2	-1.00616666666667
RG9MTD1	-0.1945
ACOT2	0.581833333333333
HIST1H4I	0.51075
PPARGC1A	-2.1014
ETFA	-2.798
POLRMT	-0.74775
ZNF146	-0.2475
MIA2	-0.77
KLHL6	-2.02766666666667
HOXB5	-1.2015
NENF	0.464666666666667
CUGBP1	0.3265
PRSS22	1.80583333333333
CASC4	1.8414
CUL4B	-0.0999
CENPJ	-1.3715
PITX1	-0.328333333333333
FLJ31033	0.249833333333333
CELSR3	-2.74916666666667
ZNF568	0.49275
ITSN1	0.438333333333333
EHBP1L1	-0.317666666666667
C19orf2	-0.7315
DCTN1	0.273
LIN28B	-2.7478
TNKS2	0.6355
C1QBP	-1.2285
CADPS2	1.6555
SRMS	0.233
GJA9	-0.220833333333333
MGC24975	-0.923
TRIM45	0.623833333333333
TSP50	1.18625
TCP1	-0.939
TMED7	0.2383
CMA1	1.3415
CENPL	-0.118
PTCRA	-0.0735
FST	-4.47625
VWCE	-3.83975
PAWR	0.25725
ABCC12	0.5805
LDLR	-1.045
ASTN2	1.3133
LOC441212	-0.548125
GPATCH8	-0.11375
TANC2	0.652583333333333
KIF4A	-0.1585
C18orf18	-1.1115
PGM1	-1.744
KIAA0258	1.39225
CPD	1.66325
SNCAIP	-1.191
DCT	-4.20466666666667
HLA-DOA	1.37609090909091
OR11L1	0.4805
UPK1B	-0.337833333333333
DNAJB4	-0.98225
UGT1A8	0.11425
HIST1H4L	1.1305
PECR	-0.509666666666667
HSPA2	2.348
WFIKKN1	-0.3755
SERP1	1.782875
SYDE2	1.23475
TACR2	0.8375
NUP85	0.39
CD177	-0.697
LGR5	-1.51933333333333
PIGG	-0.1935
PTHR1	-1.76916666666667
RAB5A	-0.7588
FLJ13224	-0.2305
USP9Y	-1.06616666666667
C7orf53	-0.488
LRP1B	4.29975
XAF1	0.6374
ABCG8	-0.671
ANKDD1A	-0.410166666666667
DAND5	-1.7175
SPAG6	0.3075
LINCR	0.00525000000000001
ZDHHC22	0.08575
CCDC60	0.383
THOC7	-1.711
TCTA	1.1964
OR8K3	-0.22825
NY-REN-7	-0.28675
B2M	0.851833333333333
C6orf141	1.883625
LPPR4	3.32225
SQLE	1.6585
SEPHS1	-1.1095
BTBD14B	0.566357142857143
PLRG1	-0.64075
SPG7	-0.64675
ZNF614	-0.7415
PARD6G	1.28783333333333
INPP5B	-1.2649
GRPEL2	-0.043
PPID	-0.2786
TRIM56	-0.88
UBE2J1	-0.88625
IL20RA	4.57825
LOC387856	0.410666666666667
C1orf107	0.41
UTS2R	0.61625
C19orf22	-0.34
SAFB2	0.182375
KIAA0652	0.158
KLRG1	-1.53766666666667
MS4A8B	4.88733333333333
FRAG1	1.33925
KIAA1546	0.265
E2F4	-1.579
CLEC4M	0.5116
BTBD14A	-1.08975
KIAA0999	1.1824
GYPA	-2.55083333333333
TAC1	1.6434
TRAIP	-1.32416666666667
KIAA0232	2.0092
ERCC8	-0.43425
GPX4	0.328125
KIAA0368	0.957125
GPR157	0.167833333333333
CTAGE4	0.4025
C9orf30	-1.872
OR52A1	-0.143
HSP90B3P	-0.0895
ALG9	-0.4441
BTBD10	0.391
SDK2	0.2
BAIAP3	-0.684
RABGGTB	-0.662875
ANKRD40	-0.214166666666667
KRT74	0.3325
CALCOCO2	1.637
SNCA	-3.74375
TMSL8	-4.54525
C2orf53	0.31
ESRRB	-0.1345
ARHGAP26	-1.2085
TDRD9	-3.07975
HRAS	1.89433333333333
KLRC4	-2.233
JAGN1	-0.6435
BSDC1	0.911
RNF43	0.8645
NDUFAF1	0.1775
PHF12	0.36075
OR1L3	0.404
FOLR2	2.01541666666667
LYZL6	0.186833333333333
tcag7.1260	-2.901
WSB1	-0.6595
PROS1	-1.0783
OSTN	0.672
PSMB8	0.767
SOCS4	0.046
DDIT4L	0.42875
MAS1	1.294
MGC34796	2.07525
CSHL1	0.620333333333333
TBCCD1	0.669
ZBTB7C	-0.109
AP2S1	-0.086375
P15RS	0.5935
VAT1	0.0379
SHANK3	0.936666666666667
TUFM	-0.191666666666667
THEG	-0.3045
KRT34	-1.294
SGSM3	0.79825
TOMM22	-0.37325
SOCS3	0.2485
CPO	1.088
POP4	0.3005
BHLHB3	0.0975
MALL	1.062
OR1B1	0.2715
PARK2	-0.106333333333333
GPR124	0.26825
LCE1E	-0.19
RUVBL2	0.27375
CGRRF1	0.7285
ACPL2	-0.183
WNT10B	-1.688625
BAIAP2L2	-2.15075
ISCA1	0.5275
C1orf125	0.3365
RPAP1	-1.11725
RAI16	-0.892
RPL27	-0.758375
NLRP9	0.1975
EPN1	0.175
LOC388610	-2.941875
SLC35A1	-0.178
GAL	-4.284
SLC14A2	0.0485
RDH11	-1.1645
FAM138F	-0.99
AUH	0.30575
FLJ40243	0.7245
C14orf129	0.126333333333333
MBD2	-0.696
ABHD14B	-0.18575
PIGT	1.10725
ALS2CR4	0.014875
ALAS1	-0.3182
FOXO1	0.046
CRLF3	-0.6085
C20orf107	0.333
FARS2	0.725
CCDC28A	0.56175
NPHP3	-0.851
OR13F1	0.562
TSEN54	0.576
DEFB106B	0.1501
OR8B4	-0.2165
STH	0.253
ZC3H14	-0.83825
CBX2	0.185
TMEM49	-1.1665
C6orf21	0.7055
FLJ20920	1.3315
CRTAP	-0.268142857142857
DDX50	-0.84725
STYXL1	-0.351
BLVRB	1.729
LOC147650	-0.0816666666666667
MMP24	0.4225
GRID1	1.153
BANF1	-0.143833333333333
CTAGEP	0.4365
HMBS	-2.1685
SLC25A24	0.8615
C14orf50	0.94425
MRO	0.668
SLC25A15	-0.505
FAM84B	1.894
TDP1	-1.4435
C16orf78	-0.0645
C11orf57	0.123625
RFK	0.299125
ZFYVE9	0.241125
STCH	-0.8092
WIBG	0.77875
LOC283871	0.501166666666667
GBA2	0.0107
NDUFB3	0.387
HSD17B13	0.301666666666667
GRIN3A	0.0871666666666667
FMNL1	-2.244
SEPT7	-0.6351
GNLY	1.7765
GRAMD1C	1.34666666666667
ZNF165	0.8915
USP38	1.15775
FAM83A	0.292166666666667
C14orf24	1.62125
ARMCX3	1.114
ARHGDIB	-0.5595
AK1	0.669125
KIAA1045	-0.8395
DNAJB13	-0.0398333333333333
NEU2	0.0245
HIST1H4B	0.343166666666667
FAM20B	0.1703
HES2	1.546
FAM73B	-0.0672
LOC388381	-0.17575
INTS7	0.0309090909090909
AMPH	2.14575
ZNF775	-0.256125
UCKL1	-0.198333333333333
C10orf97	-0.61675
C1orf161	0.13225
ALDH1L1	-0.16475
FLJ39378	-0.09175
SLC23A1	-0.512
RBM4B	-0.1285
THAP4	0.339166666666667
OGFRL1	-0.76125
KIAA0831	0.906
PPP1R15A	-0.5175
C1orf96	-0.00978571428571431
C12orf11	-2.33875
BMF	-0.270875
MAN1A1	-0.7645
KIAA1600	0.0886666666666667
NLGN4X	-0.7685
ALOX12	-1.0184
RB1CC1	1.9725
NEIL2	-0.1942
EIF4E	0.115181818181818
ABHD5	-1.159
EXOC4	-0.00616666666666666
CIP29	0.129666666666667
BATF2	-0.9585
SLC29A4	-0.66975
HTR4	0.6595
EMB	-0.0425
TRAF6	0.30975
LMNB1	-0.16025
FAM19A5	-2.38025
SHE	1.2915
PIK3C2B	1.7575
C15orf15	-0.5703
USP15	0.238
TCEAL2	-0.66925
C5orf39	-0.378
PTGER2	5.204
SLC31A1	-0.3666875
IFT172	0.0415
ADAM29	0.4185
GFOD1	0.82975
ST7L	1.606
C15orf26	-2.333
PKN3	-1.57375
CNTD1	2.1135
COMMD1	0.38225
NTRK2	1.43441666666667
FOXN3	-0.548625
MFGE8	-1.2143
PFKFB2	0.488333333333333
TAS2R4	0.07625
ENTHD1	-0.1515
PRMT5	-0.54525
MGC16384	-0.991625
LOC442229	0.144
TSKU	-0.614
KRTCAP3	2.904625
PDLIM1	0.00940000000000001
KCNS2	-0.227
RNF126	-0.689333333333333
CEP63	0.5535
CLIC4	-0.928
hCG_1990170	0.08
ACR	0.2857
KLK7	0.35
ALOX5AP	-0.1825
RIPK3	4.6525
TAS2R9	-0.3475
C19orf18	1.5975
BIRC6	-0.156857142857143
ZNF16	2.1965
RFT1	-0.7585
SLC8A2	-1.231
TACC1	1.73325
ITGAD	1.12075
SAMHD1	0.045
SH3PXD2B	0.4187
EPC2	1.1025
C20orf85	0.14925
ATP13A2	0.798166666666667
KRT4	0.455625
CAPNS1	0.3555
MDM2	0.125833333333333
PCDH20	0.805333333333333
KCNK9	0.7445
OR2C1	0.4475
KLHDC3	-0.944333333333333
IPPK	1.5035
EFHD2	0.15125
GALR3	0.78125
NBEA	2.0415
ABCA6	2.0523
CLDN3	2.497
AKT2	0.352857142857143
EGFR	-2.4716
RBM16	0.4545
ZDHHC3	-0.5199
SLC25A4	0.978166666666667
CYB5B	-2.16966666666667
CPXM1	-0.1655
NDRG1	1.56853846153846
FLJ43826	0.69025
OR5L2	0.1995
FARP2	1.7073
MRPL46	-0.215
LDHAL6B	0.6165
MAPKAPK3	-1.38583333333333
NCAM2	-2.52825
PRKD2	0.439166666666667
ZFP36L1	-0.5513
CYSLTR1	-0.957
OR4C3	0.34825
HIST1H2AJ	3.364
CCNB2	-0.943666666666667
ZNF10	-2.1985
TMEM175	0.4465
FAM134A	1.27083333333333
TIGD4	0.25
PCNP	-0.33075
MGC39715	0.635
LQK1	-2.37425
CREB1	0.5411
TMPRSS3	-2.2915
C4orf32	1.9375
LAT	-2.3665
KCNA3	-0.1025
SKIV2L2	-0.43725
ROPN1B	-1.996
tcag7.23	-0.533
CDT1	-3.108
ZHX2	1.784375
CD28	-2.193
ZNF624	0.41125
SEPT2	0.662083333333333
SOHLH2	-2.63228571428571
MCOLN3	0.404714285714286
UNQ1945	0.375
MASP2	-0.9665
ZNRF3	2.0285
GPATCH3	-0.24175
AGL	1.17725
QRICH2	0.1435
PSD4	0.915
CCNB1IP1	-2.695
ENPP7	0.64575
OBFC1	-1.66175
KCNG3	-0.0745
C14orf79	0.201666666666667
ENPEP	2.15216666666667
SCT	0.292
SKI	0.44175
SEC61G	-0.36
CAPN11	-0.2585
ATXN7L3	-0.05475
DBNDD1	-0.732333333333333
FAIM	0.65075
ANKRD36	0.3795
GABRP	1.4305
TACSTD2	2.18716666666667
EIF3J	-0.114
PPP2R2A	-0.71525
TEKT4	-0.456833333333333
PVALB	-0.702
F10	-2.86083333333333
FAM134C	0.9983
COMP	3.45275
EFCBP1	-1.9675625
SCLT1	1.082375
TAL1	-0.8823
ACSL1	1.05175
ABCC5	1.9425
ABL1	-0.406
RBBP7	0.3535
PTPRG	-1.4395
NCOR1	-0.4302
SPINK4	-2.22416666666667
TXNRD1	-0.0236
TNRC15	1.90525
C9orf138	0.9705
UBE2H	0.82
BRDT	0.257833333333333
C8orf31	-0.45725
CCNE2	0.786363636363636
SLC6A8	-2.259375
CALCR	-4.16725
PPP1CB	0.207333333333333
ABHD8	-0.885
ARF5	-0.0972
SLC24A4	0.311
CCT3	0.3965
ZNF121	0.193625
SLC3A2	-0.532
OR13A1	0.4495
SLC5A10	0.45875
RAD50	-0.6295
IER5	0.90925
MTHFD1L	-3.02175
MBTPS2	0.29575
MVK	-0.021125
NCL	0.2488
PSMD10	0.000499999999999987
MOBP	0.508625
FLJ32894	0.8485
HRH1	-1.25633333333333
C5orf30	1.98275
NUDT16L1	1.52
RASGRP3	2.68166666666667
PRKRIP1	-0.7807
CCDC75	0.66425
LOC253970	0.4515
KIAA1239	0.6165
MED21	-0.73375
SYT11	-0.557916666666667
NTSR2	0.1495
EGFL11	0.433
CXorf59	1.143
OR2A25	-0.03175
SPTBN2	1.39625
LRMP	-1.026
RNF111	0.602
PTH	-0.019
LOC619208	-0.299166666666667
KIAA0895	0.3555
RANBP5	-0.642375
P2RY10	1.329
NME5	2.217
DDX21	-1.67875
LRSAM1	0.3545
HDAC11	1.768
VMO1	0.449
NOLA2	-0.129833333333333
ADAR	0.4215
MTO1	-1.19816666666667
SF4	0.150166666666667
P2RX1	-0.429833333333333
HBM	0.42325
EN2	0.934
C14orf172	-0.20675
TM9SF2	-0.275
INHBE	-1.02716666666667
TCTE3	-0.0573333333333333
TOX2	-3.68775
CTAGE3	0.949375
HBB	4.3326
MED15	-0.957
CASR	-0.121
C6orf66	-1.13083333333333
MTPN	0.863
UNC50	0.02825
C21orf33	-0.047
IRF2	1.29425
PGR	-0.9395
GPR84	0.59975
CROCCL1	-1.119
SRPX	-2.59525
BRE	0.240666666666667
FGF10	-0.000999999999999973
SDC3	-0.541833333333333
ZRSR1	0.635333333333333
DKFZP434P211	0.160375
SOX6	-0.113
RPUSD2	-1.10425
C14orf173	-0.0505833333333333
MAPK11	-0.760166666666667
TBC1D22A	0.421
FAM123A	-0.298
COL4A6	-3.28883333333333
TOMM70A	0.2635
NAB1	0.44775
MGC16385	-0.8635
TSPAN18	0.729
MED31	-0.41225
PLG	-0.19375
CAPSL	1.8005
ZNF532	0.5321
ASB14	-0.234333333333333
CA8	3.18325
NUDT16P	1.23083333333333
SLFN11	-1.726
LRRIQ2	1.7365
NOL7	-0.378333333333333
BRMS1L	0.362125
JARID1A	-0.173333333333333
PANK2	0.38175
ICAM3	-1.59875
MDS1	0.654
TAF8	-0.7695
RNF139	2.706
ZNF594	-0.414333333333333
ADAM8	0.235125
SFTPC	-0.302625
MAN2B2	1.23825
RGS12	0.9119375
EIF1AY	-3.78183333333333
LRRIQ1	-1.15283333333333
GPR150	0.821
CCDC21	-0.450833333333333
PRRG3	0.6225
SAA4	-3.1875
RAPGEF5	2.41625
ZCCHC2	0.750833333333333
MGC39372	0.026
PPP4R2	-0.463
CDCA2	-1.06233333333333
OR4D5	0.236166666666667
PTGFRN	0.809
SIGLEC5	0.9905
C19orf61	-0.372166666666667
NMUR2	0.367
KIAA1586	-1.56083333333333
DAGLA	0.925166666666667
CHCHD6	0.1195
GPR32	0.4945
NEUROD6	-0.148833333333333
SLC2A4RG	0.4369375
CA5B	-0.374
FBXL3	0.2205
MPHOSPH9	-0.881
HMG2L1	0.64975
HCN4	0.7445
CEACAM19	0.04925
SH2D4B	0.452333333333333
HFE2	-0.5955
TGM4	0.541
LYPD2	0.22975
TBC1D15	0.064
MRPS21	-0.9206
NONO	-0.4859
CLEC5A	-0.081875
ITCH	0.4486
MGAT3	-1.02366666666667
MBP	0.405375
RPP25	0.3485
SOSTDC1	-0.8835
HRC	-0.62025
TRIM48	-0.048
TMEM133	-0.1375
ECEL1P2	-0.801
HOXC11	-0.3805
DOK5	-1.85975
HELZ	0.964166666666667
LOC348180	-1.04825
MGC33894	0.10075
ADRB3	0.158
DMD	-0.194583333333333
PTRH2	-0.31225
MPEG1	2.10366666666667
NDUFA12	0.713166666666667
KRTAP2-4	0.179416666666667
STAMBPL1	-1.04916666666667
ADCY2	-0.866
UNQ6125	-0.0205
KLHL20	0.590333333333333
SRM	-1.478
OTC	-0.12625
TMIE	0.0985
SNX8	-0.0695
LIPK	0.0365
CHURC1	-0.343833333333333
KLC2	0.339166666666667
HDAC1	0.179833333333333
FAM128A	1.46516666666667
FNDC3B	-0.7787
MTCP1	-0.4615
WFDC10B	0.5339
PCDHGB3	0.081
ATRNL1	-0.4208
CAV2	-0.85125
MED26	-0.4765
DUS1L	0.2255
CHRM3	-1.170875
NEK9	-0.42175
WARS2	0.91775
TBX22	-0.2845
TOMM40	-0.363
RP6-213H19.1	-0.865666666666667
TUBGCP5	-1.58675
IGSF6	3.715
TPPP	1.63033333333333
UNQ6190	0.342
GSTM5	0.6935
BTD	-0.328
PDCD1LG2	-0.312
SNRPB2	0.282333333333333
ERICH1	-0.4675
APOA4	-1.307625
HOXA11	-2.058
NARG1	0.128
MKX	-0.836
RAB28	-0.361714285714286
PKP3	2.09775
SH3GL2	-2.21975
CTSO	2.846
RPN2	0.7115
IL28RA	0.747833333333333
SFMBT1	0.783
WDR57	-1.308875
FER1L3	1.43191666666667
HSF5	0.455833333333333
TTC9B	1.2365
C4BPA	-3.19616666666667
ALB	-4.26357142857143
SORBS3	0.269375
UPF2	-0.162
JPH1	-0.587
AGBL2	1.038
DOPEY1	1.0395
TERF1	1.122
KIF22	0.181166666666667
NINJ1	1.34325
SEC61A2	0.793
HIST1H1D	1.45633333333333
SFXN4	-0.470125
UCP3	0.4275
ZNF703	2.052
MYL6B	-0.654
TREM1	-0.046
OR52E6	0.6105
CKMT2	1.796
HLA-C	0.451375
SLC13A3	-0.843833333333333
TIMP4	0.5295
SLIT2	2.393
RSF1	-0.0700555555555556
LONRF1	-1.485
MON1A	-0.986666666666667
CACNG6	-1.94016666666667
DPPA4	-5.01816666666667
ZSWIM3	-0.10175
ZNF804A	-0.127166666666667
CCIN	0.449
SLC25A31	0.213333333333333
KCNMB4	-1.28475
RABL5	0.177625
GALNS	-0.6666
STX6	1.006375
HIST1H1C	0.341
CIDEB	1.480875
CASP4	-0.048
PDK3	0.2129
KCNJ11	0.943
TPR	0.243125
ZSCAN20	-1.645
MTX2	0.739
HIST1H2BH	0.73625
LOC283767	0.0805
LYRM7	-1.04755555555556
BRD3	1.062
HIST1H2BO	0.48375
MAGEB10	-0.383
SLC45A1	0.384
SERPINA3	2.6066
KIAA0143	2.9515
KCNJ16	0.1334
KRT79	-0.40475
FABP2	-0.602
NUT	-0.00775000000000002
ZNF57	-1.29775
FBXL4	-0.83775
CLEC9A	-0.0485
UGT8	-1.10683333333333
BMP2K	1.2035
MAPK4	-3.63325
SLC25A23	-0.9625
HINT1	0.6418
KRTAP13-1	0.483
SFXN5	0.3275
CHCHD2	-0.0240833333333334
FAM3D	0.5155
NDP	-2.89325
RHOBTB1	-0.404166666666667
SLC4A4	-0.91425
RPL38	-0.64975
HTF9C	-0.270166666666667
AP2A2	1.055875
ZBTB46	-0.415
MAP7D1	0.0145
AOX1	-1.50616666666667
CYR61	0.374416666666667
DTNA	0.887071428571429
JRKL	-1.4095
TMOD3	-0.209
EEA1	0.0405
ADCK5	1.218
IL1R1	0.659333333333333
KLK3	0.588785714285714
HRSP12	1.73325
KTN1	-0.30575
LOH11CR2A	-1.1555
RELL2	-1.38725
MAB21L1	0.7565
C20orf59	-0.466666666666667
PHKB	-0.57325
ADAM2	-0.892
TBC1D8B	0.156833333333333
FAM13A1	-0.9924375
LAPTM4B	-4.02533333333333
LCN8	0.1
TMEM147	0.763
SYT4	0.534333333333333
XPO7	-0.9875
C9orf62	1.26075
GPR75	0.1905
TRIM5	-0.12275
APOC1	-1.1755
RNASE4	-0.403333333333333
PARD6B	1.397625
ARID1A	0.51175
TPD52L3	0.1886
RRAGB	0.512666666666667
RCN2	-0.105166666666667
HIST2H2BE	1.5874375
STARD7	0.33925
SHMT2	-1.47725
KIAA1751	0.4228
MLYCD	-0.5145
LOC162632	0.6731
UQCRH	-1.32525
RP11-217H1.1	0.7494375
SDHA	-1.02733333333333
NCLN	-0.6772
ZNF17	0.6565
RCBTB2	-2.3915
VEGFB	-0.276
RP4-747L4.3	0.579
COLQ	-0.1096
MPN2	-0.708333333333333
DRG2	0.195
KLRB1	3.0235
ALPK2	-4.1545
DNASE2B	0.76775
FLJ23834	3.062
AXUD1	0.552666666666667
SAFB	-0.1388
NSUN4	-0.04825
RFX2	0.904
MAPK8IP1	-0.984666666666667
FANCD2	-1.74264285714286
ANKZF1	-1.70866666666667
C19orf50	-1.043625
DUSP8	1.417875
SENP5	0.9765
NFKBIL2	0.594
LBR	-0.527375
IGFL1	-0.0355
LZTS2	-0.176
IL2RG	-1.395
CCDC51	-0.7565
KLF3	-0.2305
ANKRD37	-1.075
KCTD14	-1.4865
FZR1	-0.0141666666666667
SLC44A4	3.3196
ESPL1	-0.125375
GMPR2	0.1065
TBC1D19	-0.809
ERGIC1	0.859740740740741
ERBB4	2.6035
TSPAN32	-0.290666666666667
MAP4	-0.8305
GPHN	-0.99125
SLC6A2	0.179625
HIVEP1	-0.20625
DFFB	-0.4573
EIF4EBP2	0.022625
DMRT1	0.0485
HSPB6	0.43925
IER2	-0.626666666666667
AIFM1	0.224
WWC2	0.318833333333333
MRPL4	-1.50125
FLJ21062	-0.0301666666666667
EPB41L4A	0.0543333333333334
SH2D6	0.6655
TAF4B	-2.06325
GAL3ST3	-0.071
MALT1	-1.48883333333333
RTDR1	0.29075
ARVCF	-0.173125
MEX3B	-0.838
FBXO16	0.0275
KIF7	-1.79475
C1QC	3.84116666666667
ZNF783	-1.02933333333333
ZNF85	0.13975
MMP13	1.338
KIAA0329	0.163125
RTP3	-0.4915
ZBED3	-1.70275
CLGN	1.8375
SLC25A37	-2.03766666666667
hCG_18290	-1.4895
OR5AS1	-0.019
SMARCC2	1.01316666666667
FAM109A	-0.099
CCDC12	-0.532
USF2	0.6742
DEPDC7	-4.13475
C20orf24	-0.084
JMJD3	0.488
DSP	1.49128571428571
SLIC1	-0.102
FAM20A	0.76575
IRF2BP2	0.76625
ZNF230	-0.4015
MSN	-0.134
SLC9A5	-1.945
EPDR1	-2.9404
MUSK	0.5765
ZNF434	0.0341666666666667
SMARCD1	-0.4995
ZFP106	-0.49025
