Hybridization REF	TCGA-AO-A12B-01A-11R-A10J-07
SIRT6	-0.134
CCL19	3.39975
PPIL1	-1.032
GBP7	-0.0706666666666667
STK17A	-1.3425
ABR	1.429
OR9G1	0.07
FOXE1	-0.585875
CNGA3	-0.1215
GML	0.283
CD38	-2.54775
ZDHHC6	-0.654833333333333
NEFH	0.18675
CTDSP2	0.411583333333333
PGBD5	0.676
CCNY	-0.0806428571428571
RMND5B	0.577833333333333
ZNF257	-0.712
FLJ22167	-0.64825
EXOSC7	-1.091
ROR2	1.516125
MAOA	-0.569625
TNNT3	0.720666666666667
GYPC	-1.7885
C7orf33	0.201
PLIN	1.99433333333333
LOC90826	-0.03425
RNF4	-0.2457
F8A1	-0.4825
PLEKHG4	-2.18
GRB2	-0.1847
HIST1H2AD	0.42675
DUS3L	-0.512333333333333
EIF1	-0.258333333333333
RP5-1077B9.4	-1.15916666666667
FPGT	1.55725
GDF10	-0.806333333333333
COQ9	-0.01725
GCC2	0.435071428571429
RARRES3	3.18225
PLXNA1	-1.0735
KIAA0100	-0.3587
PMF1	-0.25525
FNDC1	3.64575
HS2ST1	-0.312916666666667
CRELD2	2.30425
C8G	0.2005
CD82	-1.05775
LIM2	-0.701
UNQ6490	-0.103
MMP16	-0.25375
DRD3	-0.1255
C5orf26	0.37675
C11orf73	0.06375
PTP4A2	0.646875
OR4M2	0.128
HPCA	-1.31666666666667
SEC14L1	-0.940833333333333
CHFR	-1.0425
EMILIN1	0.376875
NDUFS4	0.3985
COL18A1	0.4695
PDZD3	0.1101
C9orf16	-0.0133333333333333
ERBB2IP	0.858
EMX2	1.08075
FUS	-1.51875
TF	-3.703
CLCN4	-1.06716666666667
CXorf56	-0.348
C11orf72	0.445
ELAC2	-0.366333333333333
NPR1	-0.531
ASS1	-0.386666666666667
USP42	0.411625
POLR2J	-0.318
SEC23IP	1.00733333333333
UQCRC1	-0.01525
LOC729603	-1.1465
C1orf71	-0.002375
POLG	-2.3985
ADAM23	-4.126
TFR2	-1.64
RICTOR	-0.6605
MGC39606	-0.425
C19orf55	-0.24375
SNAPC1	-1.0765
GNA11	0.98425
CCDC52	0.951333333333333
FSIP1	4.373
UPF3A	0.417625
IGSF11	-2.71533333333333
LAGE3	-1.03575
CHST6	-4.058
UNC13B	2.129
TTLL4	-1.678
ZNF687	0.99775
SDC2	0.9684
COX7A2	0.83
LAMB4	-0.408
FAM24A	0.189
LRRTM3	0.598833333333333
GPHB5	0.06825
OR4C13	0.189
EIF3EIP	0.421
HABP4	-2.284
TMEM125	4.70925
CNTN2	0.08925
ASNSD1	-1.2525
FUT4	-0.933875
ACF	-3.67625
LOC158381	1.0715
CDH8	0.768333333333333
AGPS	0.388333333333333
C4orf18	0.301
PECI	0.309416666666667
UNG	-0.7505
GSTP1	-1.88025
DCUN1D5	-1.24183333333333
DKFZP564J0863	-0.41275
SLC9A3R1	2.524125
BCDO2	-1.438375
CHMP7	-0.110625
REM2	0.535
DNHD1	-0.733375
FKBP4	0.49725
ZNF350	1.537
MGC11102	-0.022875
BST1	0.65625
KISS1R	1.1085
NCR2	0.3225
DEFB125	-0.108
UBE2W	1.028625
KRT15	-2.555375
C10orf99	0.25
SCN11A	-0.056875
GFI1	-2.925
RDHE2	4.80783333333333
FHL1	-2.18966666666667
OSGEP	-0.162333333333333
GATA1	-3.44633333333333
SMC6	-1.163
TTTY14	-1.20775
LPIN3	0.2335
RPL4	-0.6502
RBPMS	-0.8668
PRPF3	-0.652666666666667
EMR1	-2.0335
SPATA19	0.3745
XCR1	0.525
IRX3	1.6471
RBM6	-0.9475
KLF4	-2.0979
UNC5CL	-1.7575
SEBOX	0.34
BTK	-1.555
KRCC1	1.275
C6orf27	0.5695
SYTL5	0.272
PRND	1.25542857142857
LOC653319	-0.6445
PIGL	-1.33625
HUS1	-0.168166666666667
SFRS6	-1.51483333333333
C17orf77	0.6535
UIMC1	-0.144833333333333
FXYD2	-1.8697
LOC283152	2.47375
ZNF667	0.43925
ZCCHC12	-0.67425
TFEC	1.7183
ATP7B	0.8285
POLD2	-0.705666666666667
RG9MTD1	-0.82
ACOT2	0.700166666666667
HIST1H4I	-0.523
PPARGC1A	-1.7357
ETFA	-1.9315
POLRMT	0.06625
ZNF146	0.099375
MIA2	-0.816
KLHL6	-1.66983333333333
HOXB5	0.82725
NENF	1.31766666666667
CUGBP1	0.98225
PRSS22	1.269
CASC4	0.8796
CUL4B	-0.4234
CENPJ	-2.1634
PITX1	0.401833333333333
FLJ31033	1.188
CELSR3	-1.69733333333333
ZNF568	1.841
ITSN1	-0.541583333333333
EHBP1L1	-0.603833333333333
C19orf2	0.15825
DCTN1	-0.12025
LIN28B	-3.053
TNKS2	-0.9395
C1QBP	0.2025
CADPS2	3.0345
SRMS	0.6715
GJA9	0.477666666666667
MGC24975	-0.5555
TRIM45	-0.834166666666667
TSP50	-0.206
TCP1	-0.7495
TMED7	1.5049
CMA1	0.733
CENPL	-0.543333333333333
PTCRA	0.0355
FST	-3.651
VWCE	-4.4725
PAWR	-0.3745
ABCC12	0.188166666666667
LDLR	-1.3872
ASTN2	2.0225
LOC441212	-2.165375
GPATCH8	-0.14825
TANC2	-0.620666666666667
KIF4A	-2.62525
C18orf18	-0.8505
PGM1	-0.677
KIAA0258	0.84725
CPD	1.050625
SNCAIP	-0.18625
DCT	-4.31716666666667
HLA-DOA	1.56122727272727
OR11L1	0.6395
UPK1B	-0.101333333333333
DNAJB4	-0.58025
UGT1A8	0.056
HIST1H4L	-1.6385
PECR	-1.37116666666667
HSPA2	2.377
WFIKKN1	-1.4135
SERP1	1.773125
SYDE2	0.39375
TACR2	1.401
NUP85	-1.24375
CD177	-0.5165
LGR5	-1.50383333333333
PIGG	0.402166666666667
PTHR1	-2.2535
RAB5A	0.2834
FLJ13224	0.027
USP9Y	-1.21633333333333
C7orf53	-1.432
LRP1B	3.4855
XAF1	3.2934
ABCG8	0.0815
ANKDD1A	-0.832166666666667
DAND5	2.077
SPAG6	0.479
LINCR	-0.561
ZDHHC22	-1.40825
CCDC60	0.145
THOC7	-1.05233333333333
TCTA	1.5715
OR8K3	0.54475
NY-REN-7	0.03825
B2M	1.99966666666667
C6orf141	1.15825
LPPR4	2.05125
SQLE	-1.872375
SEPHS1	-0.45325
BTBD14B	0.181928571428571
PLRG1	-0.4205
SPG7	-0.952375
ZNF614	-0.065
PARD6G	0.168666666666667
INPP5B	-0.4185
GRPEL2	0.336375
PPID	-0.7353
TRIM56	0.31025
UBE2J1	-0.083625
IL20RA	6.9705
LOC387856	-0.239
C1orf107	0.315833333333333
UTS2R	0.239
C19orf22	0.03875
SAFB2	0.532
KIAA0652	0.26175
KLRG1	-0.702333333333333
MS4A8B	3.578
FRAG1	0.824
KIAA1546	0.22875
E2F4	-1.5589
CLEC4M	0.135166666666667
BTBD14A	-2.1535
KIAA0999	2.364
GYPA	-3.156
TAC1	-0.1948
TRAIP	-1.914
KIAA0232	0.3296
ERCC8	-0.7055
GPX4	1.395125
KIAA0368	0.4135
GPR157	-1.33333333333333
CTAGE4	0.4775
C9orf30	-2.439
OR52A1	0.2345
HSP90B3P	0.5015
ALG9	0.2806
BTBD10	0.21025
SDK2	0.232
BAIAP3	-1.82075
RABGGTB	0.291375
ANKRD40	-0.0433333333333333
KRT74	0.5655
CALCOCO2	1.50292857142857
SNCA	-4.02325
TMSL8	-4.68225
C2orf53	0.235
ESRRB	-0.341
ARHGAP26	-1.262375
TDRD9	-2.90025
HRAS	1.261
KLRC4	-1.856
JAGN1	-0.156166666666667
BSDC1	0.81675
RNF43	-2.3714
NDUFAF1	0.6895
PHF12	0.31075
OR1L3	-0.10225
FOLR2	1.39208333333333
LYZL6	0.398166666666667
tcag7.1260	-2.5615
WSB1	-1.61366666666667
PROS1	-2.0488
OSTN	1.1275
PSMB8	1.191
SOCS4	-0.519
DDIT4L	-0.54
MAS1	0.075
MGC34796	1.7015
CSHL1	0.4855
TBCCD1	-0.281
ZBTB7C	0.361
AP2S1	-0.508375
P15RS	0.4838
VAT1	-0.3559
SHANK3	0.975
TUFM	0.328333333333333
THEG	-0.16375
KRT34	-1.45675
SGSM3	1.166625
TOMM22	0.500375
SOCS3	-0.944166666666667
CPO	1.2235
POP4	0.21575
BHLHB3	-0.54675
MALL	0.45775
OR1B1	0.3265
PARK2	1.35233333333333
GPR124	-0.02725
LCE1E	0.1425
RUVBL2	-0.28325
CGRRF1	0.0219
ACPL2	0.72025
WNT10B	-1.611875
BAIAP2L2	-2.043
ISCA1	0.4995
C1orf125	0.878875
RPAP1	-0.65
RAI16	0.00399999999999999
RPL27	0.132
NLRP9	0.327
EPN1	-0.102
LOC388610	-1.505
SLC35A1	0.2731
GAL	-4.15575
SLC14A2	0.83675
RDH11	0.132333333333333
FAM138F	-0.184
AUH	1.17675
FLJ40243	0.044
C14orf129	0.0183333333333333
MBD2	-0.8525
ABHD14B	0.238625
PIGT	1.615875
ALS2CR4	-0.633875
ALAS1	-0.2414
FOXO1	-0.495833333333333
CRLF3	0.107875
C20orf107	-0.5385
FARS2	1.0765
CCDC28A	2.078
NPHP3	-1.26775
OR13F1	0.523
TSEN54	-0.0135
DEFB106B	0.5122
OR8B4	0.5475
STH	1.244
ZC3H14	-0.588875
CBX2	-0.3155
TMEM49	-1.255
C6orf21	0.6
FLJ20920	1.075625
CRTAP	-0.506642857142857
DDX50	-0.07525
STYXL1	0.94675
BLVRB	1.40083333333333
LOC147650	-2.55866666666667
MMP24	0.963
GRID1	0.9065
BANF1	-0.349833333333333
CTAGEP	0.5875
HMBS	-1.4165
SLC25A24	0.156166666666667
C14orf50	3.87975
MRO	0.623666666666667
SLC25A15	-0.2855
FAM84B	1.303
TDP1	-1.215
C16orf78	-0.0241666666666667
C11orf57	0.1075
RFK	0.02925
ZFYVE9	-0.885375
STCH	-0.1858
WIBG	0.638
LOC283871	-0.211166666666667
GBA2	-0.1143
NDUFB3	-0.13775
HSD17B13	-0.3785
GRIN3A	0.534333333333333
FMNL1	-0.823
SEPT7	-0.3631
GNLY	1.2675
GRAMD1C	0.9155
ZNF165	1.01575
USP38	0.441
FAM83A	-0.568333333333333
C14orf24	0.984166666666667
ARMCX3	0.94725
ARHGDIB	0.3105
AK1	0.71475
KIAA1045	-0.05575
DNAJB13	-0.195166666666667
NEU2	0.727
HIST1H4B	-1.215
FAM20B	0.284
HES2	0.938357142857143
FAM73B	-0.6215
LOC388381	0.23825
INTS7	0.397181818181818
AMPH	0.865
ZNF775	0.175625
UCKL1	-0.3495
C10orf97	0.4485
C1orf161	0.24475
ALDH1L1	-1.3985
FLJ39378	-0.611875
SLC23A1	-1.904
RBM4B	0.666
THAP4	0.850166666666667
OGFRL1	1.28125
KIAA0831	-0.29575
PPP1R15A	-0.044
C1orf96	-1.02435714285714
C12orf11	-1.3385
BMF	-0.653625
MAN1A1	0.204625
KIAA1600	0.0443333333333333
NLGN4X	-1.21725
ALOX12	-0.814166666666667
RB1CC1	0.34
NEIL2	2.6283
EIF4E	0.256545454545455
ABHD5	-0.39425
EXOC4	-0.715
CIP29	-0.916833333333333
BATF2	2.94475
SLC29A4	-0.966
HTR4	0.41175
EMB	0.07175
TRAF6	0.33475
LMNB1	-2.039
FAM19A5	1.061875
SHE	0.79375
PIK3C2B	0.715
C15orf15	-0.7986
USP15	-0.6047
TCEAL2	-0.22275
C5orf39	-2.46216666666667
PTGER2	-2.796
SLC31A1	-0.6752
IFT172	0.91625
ADAM29	0.667
GFOD1	-0.283
ST7L	0.753166666666667
C15orf26	-2.48475
PKN3	-0.37475
CNTD1	3.63383333333333
COMMD1	0.2125
NTRK2	5.56341666666667
FOXN3	-1.99525
MFGE8	-1.662
PFKFB2	1.41283333333333
TAS2R4	-0.369
ENTHD1	-0.460666666666667
PRMT5	-1.1865
MGC16384	-2.436625
LOC442229	-0.74
TSKU	2.691125
KRTCAP3	4.042125
PDLIM1	2.3317
KCNS2	0.24725
RNF126	-0.0445
CEP63	0.21625
CLIC4	-1.078375
hCG_1990170	-0.97325
ACR	1.5942
KLK7	-0.5325
ALOX5AP	2.185875
RIPK3	4.405
TAS2R9	0.553
C19orf18	2.184
BIRC6	0.277714285714286
ZNF16	1.0145
RFT1	0.0695
SLC8A2	-0.32975
TACC1	-1.6255
ITGAD	0.255333333333333
SAMHD1	0.97075
SH3PXD2B	0.7728
EPC2	0.98725
C20orf85	2.313
ATP13A2	0.312166666666667
KRT4	0.909625
CAPNS1	0.0695
MDM2	-0.410666666666667
PCDH20	0.1965
KCNK9	0.537
OR2C1	-0.1365
KLHDC3	-0.4665
IPPK	0.2325
EFHD2	-0.17325
GALR3	0.12325
NBEA	2.2535
ABCA6	0.8949
CLDN3	0.756666666666667
AKT2	-0.213357142857143
EGFR	-3.2203
RBM16	0.95675
ZDHHC3	-0.1568
SLC25A4	0.862
CYB5B	-0.838166666666667
CPXM1	-1.6385
NDRG1	-0.455153846153846
FLJ43826	0.9675
OR5L2	0.117833333333333
FARP2	0.6871
MRPL46	-0.703
LDHAL6B	0.299
MAPKAPK3	-0.243
NCAM2	0.39675
PRKD2	0.439666666666667
ZFP36L1	-0.4023
CYSLTR1	0.55575
OR4C3	0.55975
HIST1H2AJ	2.457
CCNB2	-2.88522222222222
ZNF10	0.149875
TMEM175	0.0855
FAM134A	0.790833333333333
TIGD4	-0.517
PCNP	-0.50575
MGC39715	-0.1725
LQK1	-2.4125
CREB1	-0.0597
TMPRSS3	2.184
C4orf32	1.650625
LAT	-2.61341666666667
KCNA3	0.2055
SKIV2L2	0.0175
ROPN1B	-4.14425
tcag7.23	0.0765
CDT1	-2.639
ZHX2	0.7515
CD28	-4.30575
ZNF624	1.89375
SEPT2	-0.413
SOHLH2	-0.685875
MCOLN3	1.439625
UNQ1945	0.583
MASP2	-0.9305
ZNRF3	1.5574
GPATCH3	-0.45375
AGL	-0.588625
QRICH2	-0.4145
PSD4	0.779166666666667
CCNB1IP1	-2.23475
ENPP7	0.63025
OBFC1	-0.13025
KCNG3	0.21975
C14orf79	1.5895
ENPEP	2.27183333333333
SCT	0.523
SKI	-0.063375
SEC61G	-0.71825
CAPN11	0.27975
ATXN7L3	-0.355
DBNDD1	0.0788333333333333
FAIM	0.33975
ANKRD36	-1.6095
GABRP	-0.615
TACSTD2	1.123
EIF3J	-0.12625
PPP2R2A	-0.31325
TEKT4	-0.7765
PVALB	-4.002
F10	-3.204
FAM134C	0.9294
COMP	3.403875
EFCBP1	-3.23225
SCLT1	-0.01425
TAL1	-1.3751
ACSL1	-0.09225
ABCC5	-1.77433333333333
ABL1	-0.820555555555556
RBBP7	-0.331583333333333
PTPRG	-1.048625
NCOR1	0.9948
SPINK4	4.84466666666667
TXNRD1	-1.8967
TNRC15	1.3315
C9orf138	0.97625
UBE2H	1.1155
BRDT	2.36483333333333
C8orf31	0.09325
CCNE2	-0.673090909090909
SLC6A8	-2.2125
CALCR	-4.014
PPP1CB	0.914416666666667
ABHD8	1.05375
ARF5	-0.0135
SLC24A4	0.33775
CCT3	-0.12425
ZNF121	-0.020375
SLC3A2	-1.1221
OR13A1	0.319
SLC5A10	0.05725
RAD50	-0.461875
IER5	-0.102625
MTHFD1L	-3.4665
MBTPS2	-0.09925
MVK	-0.7835
NCL	-0.3204
PSMD10	-0.7635
MOBP	0.5125
FLJ32894	-0.01
HRH1	-2.40833333333333
C5orf30	1.0615
NUDT16L1	1.8293
RASGRP3	3.00383333333333
PRKRIP1	0.1238
CCDC75	0.085
LOC253970	0.129
KIAA1239	0.1035
MED21	-0.92825
SYT11	-0.181833333333333
NTSR2	3.2565
EGFL11	-0.004
CXorf59	0.1895
OR2A25	0.2835
SPTBN2	-0.03325
LRMP	-1.49133333333333
RNF111	-0.1785
PTH	0.091
LOC619208	-0.1075
KIAA0895	1.2275
RANBP5	-0.6685
P2RY10	-0.3185
NME5	5.0005
DDX21	-0.59175
LRSAM1	0.1965
HDAC11	1.30516666666667
VMO1	1.686
NOLA2	0.198333333333333
ADAR	1.12608333333333
MTO1	-0.919833333333333
SF4	0.618166666666667
P2RX1	-0.148
HBM	0.4325
EN2	0.192
C14orf172	-0.03025
TM9SF2	0.8556
INHBE	-1.01233333333333
TCTE3	0.0901666666666667
TOX2	-2.925
CTAGE3	1.13025
HBB	3.656
MED15	-1.15333333333333
CASR	0.21225
C6orf66	-1.289
MTPN	-0.882375
UNC50	0.54975
C21orf33	1.287125
IRF2	1.484875
PGR	3.87516666666667
GPR84	1.3205
CROCCL1	-2.46675
SRPX	-4.1005
BRE	-0.2395
FGF10	6.4075
SDC3	-1.77116666666667
ZRSR1	0.325333333333333
DKFZP434P211	0.391
SOX6	0.213
RPUSD2	-0.74775
C14orf173	-0.554083333333333
MAPK11	0.552833333333333
TBC1D22A	0.372
FAM123A	-0.7525
COL4A6	-2.93483333333333
TOMM70A	0.15425
NAB1	1.480375
MGC16385	-0.583625
TSPAN18	-0.349
MED31	0.60175
PLG	-0.283
CAPSL	2.037
ZNF532	0.4271
ASB14	0.08625
CA8	3.57025
NUDT16P	3.12666666666667
SLFN11	-2.2645
LRRIQ2	-0.302375
NOL7	-0.0671666666666667
BRMS1L	-0.8695
JARID1A	0.028
PANK2	0.032
ICAM3	-0.573
MDS1	-0.21425
TAF8	0.0895
RNF139	0.95975
ZNF594	0.287
ADAM8	-0.44275
SFTPC	0.252375
MAN2B2	1.6185
RGS12	1.1546875
EIF1AY	-4.7025
LRRIQ1	-1.203
GPR150	0.25025
CCDC21	-1.28016666666667
PRRG3	0.363
SAA4	-4.0685
RAPGEF5	2.01025
ZCCHC2	-0.486333333333333
MGC39372	-0.1145
PPP4R2	-0.06
CDCA2	-1.924
OR4D5	0.6115
PTGFRN	0.1271
SIGLEC5	1.78833333333333
C19orf61	-0.212
NMUR2	0.4005
KIAA1586	-0.202
DAGLA	1.749
CHCHD6	-1.33725
GPR32	1.413
NEUROD6	0.00283333333333332
SLC2A4RG	0.4346875
CA5B	-0.45775
FBXL3	0.78125
MPHOSPH9	-0.52125
HMG2L1	1.14625
HCN4	0.0235
CEACAM19	-0.808
SH2D4B	0.062
HFE2	-0.324
TGM4	0.0995
LYPD2	0.1705
TBC1D15	-0.14175
MRPS21	0.2669
NONO	-1.4432
CLEC5A	1.0125
ITCH	0.6534
MGAT3	-1.52966666666667
MBP	-0.228375
RPP25	-1.35375
SOSTDC1	-0.27375
HRC	-0.47775
TRIM48	0.168
TMEM133	1.50675
ECEL1P2	-0.818
HOXC11	-0.9185
DOK5	-2.38625
HELZ	0.303666666666667
LOC348180	-1.17125
MGC33894	0.064
ADRB3	0.433
DMD	-0.134
PTRH2	-0.0275
MPEG1	2.72316666666667
NDUFA12	-0.0418333333333333
KRTAP2-4	0.0765833333333334
STAMBPL1	-0.887
ADCY2	-1.05116666666667
UNQ6125	0.1905
KLHL20	0.0548333333333333
SRM	-1.12675
OTC	0.748
TMIE	0.1815
SNX8	-0.397
LIPK	0.331
CHURC1	-0.0834166666666667
KLC2	0.4665
HDAC1	-1.053
FAM128A	1.7885
FNDC3B	-0.0816
MTCP1	-1.14133333333333
WFDC10B	0.6072
PCDHGB3	-0.1415
ATRNL1	0.8802
CAV2	-1.19725
MED26	-0.2975
DUS1L	1.05425
CHRM3	-2.0775
NEK9	0.5225
WARS2	0.7845
TBX22	-0.0335
TOMM40	-0.95875
RP6-213H19.1	-2.36
TUBGCP5	-0.16375
IGSF6	3.73225
TPPP	1.1845
UNQ6190	0.321
GSTM5	1.1305
BTD	0.499
PDCD1LG2	-0.104166666666667
SNRPB2	-0.966
ERICH1	-0.066375
APOA4	-1.502125
HOXA11	-1.61125
NARG1	-0.4995
MKX	-0.8715
RAB28	-0.0399285714285714
PKP3	1.6115
SH3GL2	2.21575
CTSO	2.85475
RPN2	1.095125
IL28RA	0.499666666666667
SFMBT1	1.122
WDR57	-0.019875
FER1L3	-0.671916666666667
HSF5	0.2525
TTC9B	0.25325
C4BPA	-3.93533333333333
ALB	-3.98935714285714
SORBS3	0.5
UPF2	0.774
JPH1	0.271
AGBL2	0.8915
DOPEY1	1.7535
TERF1	0.05325
KIF22	-0.525833333333333
NINJ1	1.2865
SEC61A2	-0.12675
HIST1H1D	-1.032
SFXN4	0.126375
UCP3	0.0231
ZNF703	1.31266666666667
MYL6B	0.349
TREM1	0.55975
OR52E6	0.895
CKMT2	4.30675
HLA-C	2.805
SLC13A3	-1.23116666666667
TIMP4	-1.89675
SLIT2	1.13975
RSF1	0.307444444444444
LONRF1	-0.724714285714286
MON1A	-0.0145
CACNG6	-2.07383333333333
DPPA4	-5.211
ZSWIM3	-0.007
ZNF804A	-0.0835
CCIN	0.63025
SLC25A31	0.51125
KCNMB4	-0.90575
RABL5	1.05425
GALNS	-0.1089
STX6	0.683875
HIST1H1C	-1.84666666666667
CIDEB	1.80575
CASP4	-0.605333333333333
PDK3	-1.9628
KCNJ11	2.7255
TPR	-0.12575
ZSCAN20	-0.8465
MTX2	0.00225
HIST1H2BH	-0.0365
LOC283767	0.26375
LYRM7	-0.221666666666667
BRD3	-0.727666666666667
HIST1H2BO	-0.28925
MAGEB10	0.0905
SLC45A1	2.7885
SERPINA3	2.76575
KIAA0143	3.13125
KCNJ16	-0.0201666666666667
KRT79	-0.116
FABP2	0.162
NUT	-0.4155
ZNF57	0.1485
FBXL4	0.582125
CLEC9A	2.0105
UGT8	-1.054
BMP2K	-0.02975
MAPK4	-3.57925
SLC25A23	-0.394
HINT1	-0.0893
KRTAP13-1	0.231
SFXN5	1.1317
CHCHD2	0.277
FAM3D	0.2195
NDP	-3.376875
RHOBTB1	2.053
SLC4A4	-0.66725
RPL38	0.748
HTF9C	0.270833333333333
AP2A2	0.933375
ZBTB46	-0.613
MAP7D1	-0.35925
AOX1	-1.1115
CYR61	-1.05433333333333
DTNA	-1.04028571428571
JRKL	-2.06775
TMOD3	-0.8065
EEA1	-0.3255
ADCK5	0.06525
IL1R1	0.527833333333333
KLK3	0.405857142857143
HRSP12	-0.25325
KTN1	-0.0925
LOH11CR2A	-0.9544
RELL2	-0.75675
MAB21L1	1.384
C20orf59	-1.1915
PHKB	-0.34025
ADAM2	-1.2896
TBC1D8B	0.7205
FAM13A1	-1.0821875
LAPTM4B	0.892666666666667
LCN8	0.332
TMEM147	1.0065
SYT4	-0.0556666666666667
XPO7	-1.6935
C9orf62	0.24275
GPR75	0.2095
TRIM5	0.495375
APOC1	-2.02166666666667
RNASE4	0.8005
PARD6B	-0.97
ARID1A	-0.0816666666666667
TPD52L3	0.0564
RRAGB	-0.0765
RCN2	-1.2205
HIST2H2BE	-0.2475
STARD7	-0.6175
SHMT2	-1.92775
KIAA1751	1.396
MLYCD	0.26475
LOC162632	-0.3216
UQCRH	-1.36375
RP11-217H1.1	0.258125
SDHA	-0.264
NCLN	0.1366
ZNF17	0.352166666666667
RCBTB2	-2.09475
VEGFB	0.3352
RP4-747L4.3	-0.90875
COLQ	-0.672
MPN2	-0.676
DRG2	0.35825
KLRB1	2.19675
ALPK2	-4.142
DNASE2B	0.29425
FLJ23834	2.27116666666667
AXUD1	0.084
SAFB	-0.3162
NSUN4	0.00425
RFX2	0.420333333333333
MAPK8IP1	0.754166666666667
FANCD2	-0.718785714285714
ANKZF1	-1.58333333333333
C19orf50	-0.230125
DUSP8	1.1045
SENP5	-0.9795
NFKBIL2	-0.60825
LBR	-2.248375
IGFL1	-0.209
LZTS2	0.114875
IL2RG	-1.40775
CCDC51	-0.002
KLF3	-0.3885
ANKRD37	-1.0115
KCTD14	2.668
FZR1	0.709
SLC44A4	3.4696
ESPL1	-1.21675
GMPR2	-0.4393
TBC1D19	-1.35666666666667
ERGIC1	0.768444444444444
ERBB4	3.4631
TSPAN32	0.0926666666666667
MAP4	-0.654375
GPHN	0.08275
SLC6A2	0.010125
HIVEP1	0.38625
DFFB	-0.2609
EIF4EBP2	-0.124375
DMRT1	-0.0326666666666667
HSPB6	-0.10525
IER2	-0.438
AIFM1	-0.25025
WWC2	-0.653666666666667
MRPL4	-0.74125
FLJ21062	1.2145
EPB41L4A	1.16375
SH2D6	0.24625
TAF4B	-2.07
GAL3ST3	0.45
MALT1	-1.63966666666667
RTDR1	1.2795
ARVCF	0.3275
MEX3B	-2.08366666666667
FBXO16	3.563
KIF7	-2.02375
C1QC	4.22666666666667
ZNF783	-0.2985
ZNF85	-0.147
MMP13	1.2025
KIAA0329	0.429375
RTP3	-0.0535
ZBED3	-0.838
CLGN	1.539
SLC25A37	-2.12133333333333
hCG_18290	-0.14825
OR5AS1	0.5255
SMARCC2	0.422333333333333
FAM109A	-0.4225
CCDC12	0.111
USF2	1.487
DEPDC7	-3.754
C20orf24	-0.848166666666667
JMJD3	0.2215
DSP	0.998928571428571
SLIC1	0.049
FAM20A	-0.958375
IRF2BP2	0.600375
ZNF230	0.101
MSN	-1.66992857142857
SLC9A5	-1.6265
EPDR1	-2.7424
MUSK	0.3605
ZNF434	0.5165
SMARCD1	-0.7565
ZFP106	-0.11
ZNF347	-0.0531
GTF2E1	-0.43825
