Hybridization REF	TCGA-AN-A0XR-01A-11R-A109-07
DCUN1D5	-0.448666666666667
DKFZP564J0863	0.032
SLC9A3R1	0.490625
BCDO2	0.434625
CHMP7	-0.18375
REM2	0.9975
DNHD1	-0.423375
FKBP4	0.40525
ZNF350	2.8445
MGC11102	0.9285
BST1	1.30425
KISS1R	1.7025
NCR2	-0.3135
DEFB125	-0.4835
UBE2W	0.437375
KRT15	1.168125
C10orf99	0.3885
SCN11A	0.116875
GFI1	-3.492
RDHE2	3.97883333333333
FHL1	-2.34666666666667
OSGEP	-0.3315
GATA1	-3.19583333333333
SMC6	-0.73725
TTTY14	-0.1875
LPIN3	0.015
RPL4	-1.1266
RBPMS	0.4426
PRPF3	0.744666666666666
EMR1	-2.2935
SPATA19	0.1935
XCR1	0.7575
IRX3	2.0059
RBM6	-0.67175
KLF4	-0.4587
UNC5CL	0.3185
SEBOX	-0.0695
BTK	-1.855
KRCC1	0.11175
C6orf27	0.8785
SYTL5	0.314
PRND	0.7145
LOC653319	-0.939
PIGL	-1.41925
HUS1	0.117166666666667
SFRS6	0.035
C17orf77	-0.143
UIMC1	-0.711666666666667
FXYD2	-1.4296
LOC283152	3.35375
ZNF667	-0.96625
ZCCHC12	-0.56025
TFEC	1.2523
ATP7B	2.2225
POLD2	-1.13516666666667
RG9MTD1	-0.68875
ACOT2	0.604333333333333
HIST1H4I	0.474625
PPARGC1A	-1.5041
ETFA	-2.0372
POLRMT	-0.24075
ZNF146	-0.233
MIA2	-1.0125
KLHL6	-1.81933333333333
HOXB5	-0.931875
NENF	1.24316666666667
CUGBP1	0.444
PRSS22	2.41783333333333
CASC4	0.8813
CUL4B	0.00110000000000001
CENPJ	-1.4781
PITX1	0.594
FLJ31033	1.73016666666667
CELSR3	-1.383
ZNF568	1.47725
ITSN1	-0.8425
EHBP1L1	-0.955666666666667
C19orf2	-0.98475
DCTN1	-0.174
LIN28B	-3.13516666666667
TNKS2	-0.388
C1QBP	-1.495875
CADPS2	1.225
SRMS	0.43025
GJA9	0.0616666666666667
MGC24975	-0.774333333333333
TRIM45	0.420333333333333
TSP50	0.17825
TCP1	-1.217
TMED7	0.6726
CMA1	0.696
CENPL	-0.539833333333333
PTCRA	-0.0185
FST	-3.627
VWCE	-3.6095
PAWR	-0.0635
ABCC12	2.39533333333333
LDLR	-2.0695
ASTN2	2.0485
LOC441212	-1.128875
GPATCH8	-0.61275
TANC2	0.0549166666666667
KIF4A	-0.42875
C18orf18	-1.656
PGM1	-1.09675
KIAA0258	0.98925
CPD	1.385875
SNCAIP	-1.79525
DCT	-3.94066666666667
HLA-DOA	1.67790909090909
OR11L1	0.392
UPK1B	-0.481
DNAJB4	-0.629375
UGT1A8	-0.43525
HIST1H4L	-0.79
PECR	-0.0391666666666667
HSPA2	2.36575
WFIKKN1	-0.929
SERP1	0.284125
SYDE2	1.03075
TACR2	1.1315
NUP85	-1.1255
CD177	-0.584833333333333
LGR5	-1.76766666666667
PIGG	0.684083333333333
PTHR1	-1.572
RAB5A	-0.2233
FLJ13224	0.0755
USP9Y	-1.67633333333333
C7orf53	0.025
LRP1B	7.169
XAF1	3.5429
ABCG8	-0.2355
ANKDD1A	-0.536333333333333
DAND5	-0.441
SPAG6	-0.102666666666667
LINCR	0.58825
ZDHHC22	-1.474875
CCDC60	0.6315
THOC7	-1.29266666666667
TCTA	1.7134
OR8K3	0.29725
NY-REN-7	-0.49925
B2M	2.12433333333333
C6orf141	-1.09825
LPPR4	1.04225
SQLE	-2.503625
SEPHS1	-0.688
BTBD14B	0.904857142857143
PLRG1	-0.651
SPG7	-0.774125
ZNF614	-0.0408333333333333
PARD6G	1.339
INPP5B	0.2855
GRPEL2	0.00474999999999999
PPID	-0.3883
TRIM56	0.08575
UBE2J1	-0.91025
IL20RA	4.396
LOC387856	-0.0015
C1orf107	-0.194916666666667
UTS2R	1.38675
C19orf22	-0.17725
SAFB2	-0.131625
KIAA0652	0.041375
KLRG1	-1.509
MS4A8B	0.5225
FRAG1	0.4485
KIAA1546	0.4405
E2F4	-1.6315
CLEC4M	0.0985
BTBD14A	0.6765
KIAA0999	1.8839
GYPA	-3.24166666666667
TAC1	-0.2405
TRAIP	-0.694333333333333
KIAA0232	0.8562
ERCC8	-1.390375
GPX4	1.459625
KIAA0368	-0.0795
GPR157	0.449666666666667
CTAGE4	0.595
C9orf30	-1.59483333333333
OR52A1	0.584
HSP90B3P	-0.882
ALG9	0.0076
BTBD10	0.299
SDK2	0.0175
BAIAP3	-0.42925
RABGGTB	-1.207375
ANKRD40	-0.617166666666667
KRT74	0.528
CALCOCO2	-0.443714285714286
SNCA	-3.7935
TMSL8	-3.921625
C2orf53	-0.212
ESRRB	-0.2995
ARHGAP26	0.929125
TDRD9	-2.871
HRAS	1.18416666666667
KLRC4	-2.758
JAGN1	0.0813333333333333
BSDC1	0.7435
RNF43	0.6751
NDUFAF1	0.481
PHF12	0.495
OR1L3	0.20325
FOLR2	0.456333333333333
LYZL6	-0.112166666666667
tcag7.1260	-2.9765
WSB1	-1.37
PROS1	-2.3071
OSTN	0.5795
PSMB8	2.05775
SOCS4	-0.42275
DDIT4L	0.82825
MAS1	0.466
MGC34796	0.34575
CSHL1	-0.0865
TBCCD1	-0.1775
ZBTB7C	-0.076
AP2S1	0.3025
P15RS	0.2858
VAT1	-1.4181
SHANK3	0.832
TUFM	-0.0313333333333333
THEG	-0.26875
KRT34	-1.64375
SGSM3	0.074625
TOMM22	-1.286
SOCS3	0.00833333333333333
CPO	1.1295
POP4	0.12725
BHLHB3	-0.7295
MALL	-0.56675
OR1B1	0.3725
PARK2	0.309166666666667
GPR124	-0.2225
LCE1E	0.061
RUVBL2	-0.2725
CGRRF1	0.1659
ACPL2	0.31775
WNT10B	-1.922625
BAIAP2L2	-1.9075
ISCA1	0.518
C1orf125	0.84075
RPAP1	-1.08625
RAI16	0.593
RPL27	-1.44275
NLRP9	-0.3095
EPN1	0.281
LOC388610	-2.24625
SLC35A1	0.6228
GAL	-3.74675
SLC14A2	0.59
RDH11	-0.647833333333333
FAM138F	-0.404
AUH	0.145
FLJ40243	0.566
C14orf129	-0.166
MBD2	0.0376666666666667
ABHD14B	0.11725
PIGT	0.437625
ALS2CR4	-0.589
ALAS1	-0.7439
FOXO1	0.022
CRLF3	-0.46275
C20orf107	-1.3955
FARS2	0.64075
CCDC28A	0.3795
NPHP3	-0.49225
OR13F1	0.1585
TSEN54	-1.22825
DEFB106B	-0.0346
OR8B4	-0.0305
STH	2.203
ZC3H14	-0.29575
CBX2	-0.162
TMEM49	-0.23925
C6orf21	0.311
FLJ20920	-0.079625
CRTAP	-0.417857142857143
DDX50	-0.35275
STYXL1	0.122
BLVRB	0.8665
LOC147650	0.412666666666667
MMP24	0.53875
GRID1	0.713333333333333
BANF1	-0.63
CTAGEP	0.00800000000000001
HMBS	-1.78875
SLC25A24	0.0421666666666667
C14orf50	2.29
MRO	0.321833333333333
SLC25A15	-1.08325
FAM84B	1.16
TDP1	-1.253
C16orf78	0.00999999999999999
C11orf57	0.2
RFK	-0.798875
ZFYVE9	-2.192125
STCH	0.7988
WIBG	0.88325
LOC283871	-0.213
GBA2	-0.3654
NDUFB3	0.295
HSD17B13	-0.56375
GRIN3A	0.245166666666667
FMNL1	-1.0585
SEPT7	-0.9794
GNLY	1.753
GRAMD1C	1.64533333333333
ZNF165	0.847
USP38	0.516
FAM83A	-3.14633333333333
C14orf24	0.31325
ARMCX3	0.7155
ARHGDIB	1.74783333333333
AK1	1.121375
KIAA1045	-0.167
DNAJB13	-0.368
NEU2	0.4405
HIST1H4B	-0.340833333333333
FAM20B	0.3169
HES2	0.790357142857143
FAM73B	0.6322
LOC388381	-0.4965
INTS7	0.585272727272727
AMPH	2.7735
ZNF775	0.2105
UCKL1	-0.608
C10orf97	-0.039
C1orf161	0.03075
ALDH1L1	-2.27025
FLJ39378	-0.43175
SLC23A1	-1.358
RBM4B	0.65675
THAP4	0.4315
OGFRL1	1.12575
KIAA0831	0.0153750000000001
PPP1R15A	-0.2585
C1orf96	-1.08878571428571
C12orf11	-1.94775
BMF	1.03825
MAN1A1	-2.39925
KIAA1600	0.383
NLGN4X	0.80575
ALOX12	-1.18433333333333
RB1CC1	-0.3151
NEIL2	0.6448
EIF4E	-0.547363636363636
ABHD5	0.01925
EXOC4	-0.271666666666667
CIP29	0.654166666666667
BATF2	1.789
SLC29A4	-0.560125
HTR4	0.1485
EMB	-1.82175
TRAF6	0.8685
LMNB1	-1.11675
FAM19A5	-0.902
SHE	0.29925
PIK3C2B	1.35175
C15orf15	-0.2835
USP15	-0.2673
TCEAL2	0.862
C5orf39	-0.822166666666667
PTGER2	-2.281
SLC31A1	-0.2656875
IFT172	0.53275
ADAM29	0.34275
GFOD1	1.35275
ST7L	0.794666666666667
C15orf26	-2.7025
PKN3	-1.955
CNTD1	2.10816666666667
COMMD1	0.491
NTRK2	2.236
FOXN3	-1.1575
MFGE8	-1.0034
PFKFB2	0.717
TAS2R4	-0.2585
ENTHD1	0.165666666666667
PRMT5	-0.871375
MGC16384	-0.785125
LOC442229	0.03525
TSKU	-0.930625
KRTCAP3	2.882875
PDLIM1	0.1075
KCNS2	0.185
RNF126	-0.257
CEP63	-0.126875
CLIC4	-1.7425
hCG_1990170	-0.82525
ACR	1.1286
KLK7	-0.4105
ALOX5AP	1.989375
RIPK3	4.3915
TAS2R9	-0.1075
C19orf18	1.0765
BIRC6	0.0119285714285714
ZNF16	0.859
RFT1	-0.088
SLC8A2	-0.643
TACC1	-0.244375
ITGAD	-0.2275
SAMHD1	1.2345
SH3PXD2B	0.8392
EPC2	1.05425
C20orf85	0.145375
ATP13A2	0.864666666666667
KRT4	0.52675
CAPNS1	0.7605
MDM2	-0.4295
PCDH20	1.66175
KCNK9	0.335
OR2C1	-0.019
KLHDC3	-0.920666666666667
IPPK	1.2515
EFHD2	1.06725
GALR3	1.37075
NBEA	0.5355
ABCA6	0.7398
CLDN3	1.72816666666667
AKT2	-0.525142857142857
EGFR	-2.07
RBM16	0.093625
ZDHHC3	-0.0786
SLC25A4	-0.504
CYB5B	-1.439
CPXM1	-1.63775
NDRG1	-1.96838461538462
FLJ43826	0.32875
OR5L2	0.0121666666666667
FARP2	0.7384
MRPL46	-0.48175
LDHAL6B	-0.0218333333333333
MAPKAPK3	0.706
NCAM2	2.03825
PRKD2	0.4755
ZFP36L1	0.4042
CYSLTR1	1.24775
OR4C3	0.783
HIST1H2AJ	3.7695
CCNB2	-1.28011111111111
ZNF10	0.172875
TMEM175	0.7295
FAM134A	0.640666666666667
TIGD4	0.362
PCNP	-0.50675
MGC39715	0.40125
LQK1	-2.40525
CREB1	0.1298
TMPRSS3	3.088
C4orf32	2.7845
LAT	-2.26016666666667
KCNA3	0.112
SKIV2L2	-1.04975
ROPN1B	-2.70675
tcag7.23	-0.142
CDT1	-2.423125
ZHX2	0.951375
CD28	-4.7515
ZNF624	-0.1205
SEPT2	0.357916666666667
SOHLH2	-1.531375
MCOLN3	1.447125
UNQ1945	0.7855
MASP2	-0.869
ZNRF3	-0.0525
GPATCH3	-0.37075
AGL	0.19275
QRICH2	-0.7485
PSD4	1.41066666666667
CCNB1IP1	-2.146
ENPP7	-0.23375
OBFC1	0.0855
KCNG3	-1.0845
C14orf79	0.847166666666667
ENPEP	1.31533333333333
SCT	2.582
SKI	0.92375
SEC61G	-0.2225
CAPN11	-0.1415
ATXN7L3	-0.6245
DBNDD1	-1.47966666666667
FAIM	-0.31375
ANKRD36	-0.6425
GABRP	-0.4675
TACSTD2	2.42683333333333
EIF3J	-0.3125
PPP2R2A	-0.23825
TEKT4	0.203833333333333
PVALB	-3.49
F10	-2.76516666666667
FAM134C	0.3497
COMP	4.958
EFCBP1	-2.97425
SCLT1	-0.12325
TAL1	-1.3869
ACSL1	0.0965
ABCC5	1.54316666666667
ABL1	-0.247944444444444
RBBP7	0.472583333333333
PTPRG	-0.303875
NCOR1	-0.6973
SPINK4	3.235
TXNRD1	-1.087
TNRC15	0.876125
C9orf138	0.297
UBE2H	1.54216666666667
BRDT	0.320166666666667
C8orf31	0.5855
CCNE2	-0.225363636363636
SLC6A8	-1.801875
CALCR	-3.80475
PPP1CB	0.0420833333333333
ABHD8	0.76375
ARF5	-0.1869
SLC24A4	0.2945
CCT3	0.37725
ZNF121	0.0515
SLC3A2	-0.6802
OR13A1	0.6065
SLC5A10	0.0895
RAD50	0.04725
IER5	0.371875
MTHFD1L	-2.445
MBTPS2	-0.4375
MVK	-0.6895
NCL	-0.1399
PSMD10	-0.45975
MOBP	0.322125
FLJ32894	0.806
HRH1	-1.69766666666667
C5orf30	1.4855
NUDT16L1	1.4958
RASGRP3	2.435
PRKRIP1	0.1228
CCDC75	-0.35025
LOC253970	0.31575
KIAA1239	0.33525
MED21	0.73825
SYT11	-0.30825
NTSR2	-0.0415
EGFL11	-0.4405
CXorf59	0.6935
OR2A25	0.15575
SPTBN2	0.6825
LRMP	-2.122
RNF111	0.2105
PTH	0.737
LOC619208	0.938666666666667
KIAA0895	0.866
RANBP5	-1.350375
P2RY10	-0.708
NME5	3.88716666666667
DDX21	-1.4425
LRSAM1	1.0745
HDAC11	1.845
VMO1	1.6355
NOLA2	-0.246
ADAR	1.46291666666667
MTO1	-0.983166666666667
SF4	0.779166666666667
P2RX1	-0.396666666666667
HBM	-0.01375
EN2	1.733
C14orf172	0.07875
TM9SF2	0.1277
INHBE	-1.317
TCTE3	0.70425
TOX2	-2.619
CTAGE3	-0.146
HBB	2.2312
MED15	-0.756333333333333
CASR	0.31
C6orf66	-1.225
MTPN	-0.545375
UNC50	-0.30925
C21orf33	-0.0015
IRF2	1.018625
PGR	0.360833333333333
GPR84	1.96675
CROCCL1	-1.4085
SRPX	-1.86575
BRE	-0.1175
FGF10	3.68975
SDC3	0.146166666666667
ZRSR1	0.5845
DKFZP434P211	-0.1435
SOX6	0.628
RPUSD2	-0.366
C14orf173	-0.304833333333333
MAPK11	-0.173666666666667
TBC1D22A	-0.081
FAM123A	-1.076
COL4A6	0.5095
TOMM70A	-0.60975
NAB1	-1.515375
MGC16385	-0.769375
TSPAN18	-0.551833333333333
MED31	-0.30925
PLG	-0.3135
CAPSL	1.686
ZNF532	0.6897
ASB14	0.12725
CA8	1.4665
NUDT16P	2.181
SLFN11	-2.0645
LRRIQ2	0.31175
NOL7	-0.372166666666667
BRMS1L	-1.343125
JARID1A	0.531666666666667
PANK2	0.5745
ICAM3	0.06075
MDS1	-0.5285
TAF8	-0.36325
RNF139	0.77925
ZNF594	0.109166666666667
ADAM8	2.9715
SFTPC	-0.17575
MAN2B2	1.452
RGS12	0.3075625
EIF1AY	-5.11408333333333
LRRIQ1	-0.808666666666667
GPR150	1.78875
CCDC21	-0.964833333333333
PRRG3	0.16875
SAA4	-3.568
RAPGEF5	1.09
ZCCHC2	1.11383333333333
MGC39372	-0.949
PPP4R2	0.0756666666666667
CDCA2	-1.46483333333333
OR4D5	0.210833333333333
PTGFRN	1.0276
SIGLEC5	1.40633333333333
C19orf61	-0.0153333333333333
NMUR2	0.1805
KIAA1586	-1.96633333333333
DAGLA	0.0141666666666667
CHCHD6	-1.194
GPR32	0.589
NEUROD6	-0.0856666666666667
SLC2A4RG	0.541875
CA5B	-0.032
FBXL3	1.49425
MPHOSPH9	-1.1055
HMG2L1	-0.2065
HCN4	1.09083333333333
CEACAM19	-0.03025
SH2D4B	0.698666666666667
HFE2	-1.309
TGM4	0.569833333333333
LYPD2	-0.06975
TBC1D15	-0.30325
MRPS21	-0.6107
NONO	-1.2146
CLEC5A	1.337625
ITCH	-0.4695
MGAT3	-1.75316666666667
MBP	-0.349375
RPP25	-1.0795
SOSTDC1	-2.94275
HRC	-1.51475
TRIM48	-0.473
TMEM133	0.52175
ECEL1P2	-0.697
HOXC11	-1.2575
DOK5	-1.237
HELZ	0.4605
LOC348180	-1.2015
MGC33894	0.18625
ADRB3	0.1205
DMD	-0.129916666666667
PTRH2	0.64
MPEG1	0.990666666666667
NDUFA12	0.652333333333333
KRTAP2-4	0.250583333333333
STAMBPL1	-1.6575
ADCY2	1.56383333333333
UNQ6125	1.151
KLHL20	-0.245666666666667
SRM	-1.23825
OTC	-0.16
TMIE	-0.0325
SNX8	0.00925
LIPK	-0.0755
CHURC1	-0.28725
KLC2	0.327833333333333
HDAC1	-0.163166666666667
FAM128A	0.6375
FNDC3B	-0.499
MTCP1	-0.668833333333333
WFDC10B	0.1883
PCDHGB3	0.077
ATRNL1	1.0104
CAV2	-1.919375
MED26	-0.00733333333333333
DUS1L	0.277
CHRM3	-1.760625
NEK9	-0.2805
WARS2	0.53775
TBX22	0.3085
TOMM40	-0.8565
RP6-213H19.1	0.107666666666667
TUBGCP5	-0.081
IGSF6	3.50875
TPPP	-0.104166666666667
UNQ6190	0.462
GSTM5	-0.094625
BTD	1.45583333333333
PDCD1LG2	-0.134833333333333
SNRPB2	-0.105166666666667
ERICH1	-0.66475
APOA4	-1.54175
HOXA11	-1.45325
NARG1	-0.099625
MKX	3.13925
RAB28	-0.444642857142857
PKP3	0.93575
SH3GL2	-1.84125
CTSO	2.24525
RPN2	0.4069375
IL28RA	0.350666666666667
SFMBT1	1.799
WDR57	-0.352125
FER1L3	0.37225
HSF5	0.0958333333333333
TTC9B	0.03525
C4BPA	-3.16383333333333
ALB	-3.35164285714286
SORBS3	0.674625
UPF2	-0.458
JPH1	-0.198
AGBL2	1.25475
DOPEY1	2.201
TERF1	-0.649
KIF22	0.155833333333333
NINJ1	3.2625
SEC61A2	0.0516666666666667
HIST1H1D	1.06066666666667
SFXN4	-0.221375
UCP3	1.0465
ZNF703	1.22383333333333
MYL6B	-0.0535
TREM1	1.94675
OR52E6	0.464
CKMT2	0.25075
HLA-C	2.823625
SLC13A3	-1.435
TIMP4	-3.17575
SLIT2	0.08025
RSF1	0.145555555555556
LONRF1	-2.21514285714286
MON1A	0.105
CACNG6	-1.23716666666667
DPPA4	-4.80433333333333
ZSWIM3	0.09675
ZNF804A	-0.164833333333333
CCIN	1.21
SLC25A31	0.4635
KCNMB4	-1.6555
RABL5	0.907625
GALNS	-0.2413
STX6	0.388125
HIST1H1C	1.23166666666667
CIDEB	-0.63975
CASP4	1.32516666666667
PDK3	0.8234
KCNJ11	1.8025
TPR	-0.22125
ZSCAN20	0.539
MTX2	-0.35225
HIST1H2BH	1.64575
LOC283767	0.299
LYRM7	-1.68877777777778
BRD3	0.918666666666667
HIST1H2BO	1.2875
MAGEB10	-0.09
SLC45A1	0.865
SERPINA3	2.4493
KIAA0143	0.9985
KCNJ16	-0.236833333333333
KRT79	-0.16075
FABP2	-0.176
NUT	-0.09775
ZNF57	0.131
FBXL4	0.081375
CLEC9A	0.3835
UGT8	-1.183
BMP2K	-0.9505
MAPK4	-3.51825
SLC25A23	-0.4959
HINT1	0.2744
KRTAP13-1	0.365
SFXN5	-0.5104
CHCHD2	0.2705
FAM3D	0.456
NDP	-2.54675
RHOBTB1	-0.172333333333333
SLC4A4	1.417375
RPL38	-1.1035
HTF9C	-0.5535
AP2A2	0.585125
ZBTB46	-0.567
MAP7D1	0.33375
AOX1	-0.689
CYR61	-0.492916666666667
DTNA	-1.21578571428571
JRKL	-2.03975
TMOD3	-0.34875
EEA1	-0.2912
ADCK5	0.264
IL1R1	-0.407166666666667
KLK3	0.681
HRSP12	-0.9805
KTN1	0.80575
LOH11CR2A	2.1807
RELL2	-0.8535
MAB21L1	-0.09325
C20orf59	-1.46933333333333
PHKB	-1.07925
ADAM2	-1.9655
TBC1D8B	0.989666666666667
FAM13A1	-1.2775
LAPTM4B	-2.29225
LCN8	0.316
TMEM147	0.409
SYT4	-0.0518333333333333
XPO7	-0.735
C9orf62	1.9035
GPR75	0.1245
TRIM5	0.96925
APOC1	-1.0025
RNASE4	-0.517166666666667
PARD6B	-0.02375
ARID1A	0.482083333333333
TPD52L3	-0.0106
RRAGB	0.331166666666667
RCN2	-1.36116666666667
HIST2H2BE	2.0818125
STARD7	-0.198
SHMT2	-1.50075
KIAA1751	0.270166666666667
MLYCD	-0.755625
LOC162632	-0.0043
UQCRH	-1.11875
RP11-217H1.1	-0.03975
SDHA	-1.6685
NCLN	-0.0977
ZNF17	1.02816666666667
RCBTB2	-2.4105
VEGFB	0.3654
RP4-747L4.3	-0.14925
COLQ	0.7091
MPN2	-0.410333333333333
DRG2	-0.54725
KLRB1	0.548
ALPK2	-0.34725
DNASE2B	0.39125
FLJ23834	0.235
AXUD1	-0.1525
SAFB	-0.1673
NSUN4	0.73675
RFX2	0.083
MAPK8IP1	-0.64
FANCD2	-0.469571428571429
ANKZF1	-1.25966666666667
C19orf50	-0.455375
DUSP8	-0.117
SENP5	0.332625
NFKBIL2	-0.511
LBR	-1.294125
IGFL1	-0.0965
LZTS2	0.702375
IL2RG	-1.29775
CCDC51	-0.12
KLF3	0.737875
ANKRD37	-0.2485
KCTD14	-1.00166666666667
FZR1	0.523916666666667
SLC44A4	3.9887
ESPL1	-0.7025
GMPR2	-0.0456
TBC1D19	-0.509666666666667
ERGIC1	0.635074074074074
ERBB4	4.4303
TSPAN32	-0.3865
MAP4	-0.072125
GPHN	-2.08175
SLC6A2	-0.288625
HIVEP1	0.7315
DFFB	-0.1348
EIF4EBP2	0.368
DMRT1	0.06575
HSPB6	-0.21325
IER2	0.0711666666666667
AIFM1	-0.765
WWC2	1.1865
MRPL4	-0.4395
FLJ21062	1.61016666666667
EPB41L4A	1.36375
SH2D6	0.05775
TAF4B	-1.942
GAL3ST3	-0.442
MALT1	-0.936166666666667
RTDR1	0.385
ARVCF	0.487875
MEX3B	-2.04533333333333
FBXO16	2.549
KIF7	-1.93225
C1QC	3.9415
ZNF783	-0.519833333333333
ZNF85	-0.015
MMP13	3.6095
KIAA0329	0.64225
RTP3	-0.5695
ZBED3	-0.2435
CLGN	-0.48325
SLC25A37	-1.49604166666667
hCG_18290	-0.1315
OR5AS1	0.1035
SMARCC2	0.430666666666667
FAM109A	-0.197833333333333
CCDC12	0.05475
USF2	0.312
DEPDC7	-2.6845
C20orf24	-0.703666666666667
JMJD3	-0.25
DSP	-0.0251428571428571
SLIC1	0.2485
FAM20A	-0.3225
IRF2BP2	0.250125
ZNF230	-0.028
MSN	-1.43264285714286
SLC9A5	-1.626
EPDR1	-2.1792
