Hybridization REF	TCGA-BH-A0DX-01A-11R-A115-07
NPHP3	-0.886
OR13F1	0.4935
TSEN54	-0.976
DEFB106B	0.2343
OR8B4	1.5685
STH	0.924
ZC3H14	-0.475
CBX2	-0.533
TMEM49	-0.8875
C6orf21	0.3095
FLJ20920	0.3675
CRTAP	0.313714285714286
DDX50	-0.2945
STYXL1	-0.15
BLVRB	1.239
LOC147650	-1.58933333333333
MMP24	0.2975
GRID1	2.31933333333333
BANF1	-0.1065
CTAGEP	0.16225
HMBS	-2.06325
SLC25A24	-0.372
C14orf50	0.56875
MRO	2.79533333333333
SLC25A15	-0.53125
FAM84B	1.0344
TDP1	-0.743
C16orf78	-0.242666666666667
C11orf57	0.171875
RFK	-0.60575
ZFYVE9	-1.460625
STCH	-0.8076
WIBG	0.4855
LOC283871	-0.630333333333333
GBA2	-0.374
NDUFB3	0.15625
HSD17B13	0.658
GRIN3A	1.23666666666667
FMNL1	-0.300333333333333
SEPT7	-0.3102
GNLY	2.0035
GRAMD1C	0.841
ZNF165	-0.23675
USP38	1.435
FAM83A	-3.2605
C14orf24	0.7115
ARMCX3	1.82025
ARHGDIB	1.3365
AK1	0.201625
KIAA1045	0.103
DNAJB13	-0.274666666666667
NEU2	-0.474
HIST1H4B	-1.2585
FAM20B	-0.2215
HES2	1.70307142857143
FAM73B	-0.4478
LOC388381	0.16675
INTS7	-0.0583636363636364
AMPH	1.73725
ZNF775	-0.94075
UCKL1	-1.25266666666667
C10orf97	0.34125
C1orf161	0.46825
ALDH1L1	0.58525
FLJ39378	-0.336625
SLC23A1	-1.5075
RBM4B	0.32975
THAP4	0.1295
OGFRL1	0.5455
KIAA0831	-0.093
PPP1R15A	0.290333333333333
C1orf96	-0.0632142857142857
C12orf11	-0.513
BMF	0.61425
MAN1A1	0.087375
KIAA1600	0.375833333333333
NLGN4X	0.575
ALOX12	-1.06183333333333
RB1CC1	-0.4356
NEIL2	0.0634
EIF4E	0.223045454545455
ABHD5	0.86075
EXOC4	-0.820166666666667
CIP29	0.0873333333333333
BATF2	0.733
SLC29A4	-0.13225
HTR4	0.338
EMB	-1.22775
TRAF6	0.958
LMNB1	-3.704
FAM19A5	-0.71025
SHE	2.35225
PIK3C2B	1.46875
C15orf15	-1.1797
USP15	0.5558
TCEAL2	0.76175
C5orf39	-0.660166666666667
PTGER2	0.50425
SLC31A1	-0.3924375
IFT172	0.90725
ADAM29	0.23075
GFOD1	0.833
ST7L	0.54
C15orf26	-3.07575
PKN3	-1.33025
CNTD1	1.76783333333333
COMMD1	0.822
NTRK2	2.5265
FOXN3	0.672625
MFGE8	-0.1374
PFKFB2	1.0825
TAS2R4	-0.50875
ENTHD1	2.26433333333333
PRMT5	-1.076
MGC16384	-1.51775
LOC442229	0.03125
TSKU	0.753125
KRTCAP3	2.127875
PDLIM1	1.0022
KCNS2	0.26275
RNF126	-0.260333333333333
CEP63	0.5045
CLIC4	0.647125
hCG_1990170	1.18675
ACR	0.8507
KLK7	1.40125
ALOX5AP	2.677875
RIPK3	3.41
TAS2R9	0.5415
C19orf18	2.9805
BIRC6	0.222428571428571
ZNF16	0.7615
RFT1	-0.171
SLC8A2	-0.21975
TACC1	0.853875
ITGAD	2.219
SAMHD1	2.33375
SH3PXD2B	1.7566
EPC2	0.73125
C20orf85	0.389875
ATP13A2	0.874
KRT4	0.074125
CAPNS1	0.827
MDM2	-0.138583333333333
PCDH20	2.17525
KCNK9	0.488
OR2C1	0.182
KLHDC3	-0.991333333333333
IPPK	0.73
EFHD2	1.041625
GALR3	-0.4585
NBEA	1.06283333333333
ABCA6	3.6774
CLDN3	0.565
AKT2	-0.418142857142857
EGFR	-1.5079
RBM16	1.277875
ZDHHC3	1.1455
SLC25A4	-0.192833333333333
CYB5B	-0.138
CPXM1	1.43725
NDRG1	-1.28984615384615
FLJ43826	0.642
OR5L2	0.0533333333333333
FARP2	1.158
MRPL46	-0.56925
LDHAL6B	0.585333333333333
MAPKAPK3	-0.639833333333333
NCAM2	0.06775
PRKD2	-0.1095
ZFP36L1	0.9633
CYSLTR1	0.27125
OR4C3	-0.3655
HIST1H2AJ	1.1645
CCNB2	-2.62766666666667
ZNF10	-0.13725
TMEM175	-0.0615
FAM134A	0.148666666666667
TIGD4	-0.788
PCNP	-0.6485
MGC39715	0.274333333333333
LQK1	-0.3695
CREB1	1.0287
TMPRSS3	-2.547
C4orf32	2.294875
LAT	-0.986333333333333
KCNA3	0.6745
SKIV2L2	0.086
ROPN1B	-2.056
tcag7.23	-0.5355
CDT1	-3.218625
ZHX2	0.798375
CD28	-1.5975
ZNF624	1.28075
SEPT2	0.788666666666667
SOHLH2	-1.737875
MCOLN3	0.17975
UNQ1945	0.1675
MASP2	-1.2215
ZNRF3	-0.6587
GPATCH3	-0.715
AGL	-0.00924999999999999
QRICH2	0.095
PSD4	0.851833333333333
CCNB1IP1	-2.651
ENPP7	-0.322
OBFC1	0.2745
KCNG3	-2.53425
C14orf79	-0.028
ENPEP	2.70183333333333
SCT	1.078
SKI	0.2185
SEC61G	-0.2425
CAPN11	0.566
ATXN7L3	-0.3785
DBNDD1	0.868
FAIM	1.1795
ANKRD36	-0.2555
GABRP	1.829
TACSTD2	3.20033333333333
EIF3J	-0.879
PPP2R2A	0.10325
TEKT4	0.363166666666667
PVALB	-3.007
F10	-2.79016666666667
FAM134C	0.4452
COMP	4.696375
EFCBP1	-2.5364375
SCLT1	0.99525
TAL1	-0.5296
ACSL1	2.85675
ABCC5	-0.0371666666666666
ABL1	-0.529333333333333
RBBP7	0.838333333333333
PTPRG	0.597125
NCOR1	-0.4056
SPINK4	2.445
TXNRD1	-1.3501
TNRC15	0.34075
C9orf138	1.02542857142857
UBE2H	0.527666666666667
BRDT	0.384833333333333
C8orf31	-0.122
CCNE2	-1.41136363636364
SLC6A8	-1.84625
CALCR	-3.36925
PPP1CB	0.965333333333333
ABHD8	-0.22925
ARF5	-0.1985
SLC24A4	1.1445
CCT3	-0.18175
ZNF121	0.824375
SLC3A2	-1.3929
OR13A1	0.1255
SLC5A10	-0.94
RAD50	-0.362625
IER5	-0.058875
MTHFD1L	-1.98625
MBTPS2	0.173
MVK	-0.677375
NCL	-0.2026
PSMD10	0.23775
MOBP	0.09325
FLJ32894	-0.1895
HRH1	0.664666666666667
C5orf30	0.18425
NUDT16L1	0.7174
RASGRP3	4.52816666666667
PRKRIP1	-0.6408
CCDC75	0.364
LOC253970	0.27125
KIAA1239	0.8025
MED21	-0.356
SYT11	0.512833333333333
NTSR2	-0.3485
EGFL11	0.232
CXorf59	-0.0625
OR2A25	0.425
SPTBN2	-0.531
LRMP	-1.16383333333333
RNF111	-0.24425
PTH	0.7595
LOC619208	0.708166666666667
KIAA0895	-0.137
RANBP5	-0.711125
P2RY10	0.9265
NME5	4.02283333333333
DDX21	-0.48475
LRSAM1	0.1495
HDAC11	1.15666666666667
VMO1	3.007
NOLA2	-0.447333333333333
ADAR	0.06175
MTO1	-0.9265
SF4	0.0671666666666667
P2RX1	0.713
HBM	0.2065
EN2	-0.4885
C14orf172	-0.1495
TM9SF2	0.8584
INHBE	-0.741166666666667
TCTE3	0.291166666666667
TOX2	-2.86975
CTAGE3	0.3725
HBB	3.4996
MED15	-0.5035
CASR	0.039
C6orf66	-1.14133333333333
MTPN	-0.802125
UNC50	-0.15225
C21orf33	-0.239375
IRF2	1.326625
PGR	-1.03216666666667
GPR84	1.615
CROCCL1	-1.8995
SRPX	0.409
BRE	0.295
FGF10	1.24575
SDC3	1.17083333333333
ZRSR1	0.491333333333333
DKFZP434P211	-0.667125
SOX6	0.2085
RPUSD2	-1.03825
C14orf173	-0.110083333333333
MAPK11	0.143833333333333
TBC1D22A	0.4035
FAM123A	-1.0435
COL4A6	-1.81266666666667
TOMM70A	-0.267
NAB1	-0.132625
MGC16385	-0.196125
TSPAN18	0.397166666666667
MED31	-0.0185
PLG	-0.068
CAPSL	0.7155
ZNF532	1.2747
ASB14	-0.22375
CA8	0.08825
NUDT16P	1.32683333333333
SLFN11	0.427
LRRIQ2	-0.35375
NOL7	-0.658666666666667
BRMS1L	-0.508625
JARID1A	-0.113333333333333
PANK2	-0.15075
ICAM3	-0.48525
MDS1	0.53975
TAF8	-0.313
RNF139	0.8015
ZNF594	-0.270333333333333
ADAM8	1.839875
SFTPC	0.168875
MAN2B2	1.20825
RGS12	0.1414375
EIF1AY	-4.61191666666667
LRRIQ1	-1.63216666666667
GPR150	-0.2905
CCDC21	-1.1265
PRRG3	0.85975
SAA4	-2.067
RAPGEF5	1.4105
ZCCHC2	0.59625
MGC39372	-0.3765
PPP4R2	0.0198333333333333
CDCA2	-1.921
OR4D5	0.291666666666667
PTGFRN	1.2265
SIGLEC5	-0.262833333333333
C19orf61	-0.0261666666666667
NMUR2	0.169
KIAA1586	-0.6805
DAGLA	0.271
CHCHD6	-0.55375
GPR32	1.2855
NEUROD6	0.00639999999999998
SLC2A4RG	0.5605625
CA5B	0.522
FBXL3	2.30325
MPHOSPH9	-1.55975
HMG2L1	0.774
HCN4	-0.409666666666667
CEACAM19	0.00975000000000001
SH2D4B	0.0736666666666667
HFE2	-0.6935
TGM4	0.1604
LYPD2	0.093
TBC1D15	0.0975
MRPS21	0.1419
NONO	-1.2717
CLEC5A	1.41925
ITCH	-0.2781
MGAT3	-0.6665
MBP	0.329125
RPP25	-1.152
SOSTDC1	-1.792
HRC	-0.37
TRIM48	0.1735
TMEM133	0.40475
ECEL1P2	-1.24225
HOXC11	0.8355
DOK5	0.59475
HELZ	0.466
LOC348180	-0.884
MGC33894	0.2925
ADRB3	0.083
DMD	0.1485
PTRH2	-0.3965
MPEG1	3.41833333333333
NDUFA12	-0.265166666666667
KRTAP2-4	0.183
STAMBPL1	-1.824
ADCY2	1.686
UNQ6125	-0.5395
KLHL20	0.425
SRM	-1.145
OTC	-0.01325
TMIE	-0.315833333333333
SNX8	-0.25225
LIPK	-0.098
CHURC1	-0.3835
KLC2	0.0443333333333333
HDAC1	-0.172
FAM128A	0.831833333333333
FNDC3B	0.4863
MTCP1	0.0268333333333334
WFDC10B	0.0651111111111111
PCDHGB3	2.5545
ATRNL1	-2.1354
CAV2	0.6665
MED26	0.1485
DUS1L	-0.0115
CHRM3	-1.8075
NEK9	0.1205
WARS2	0.10225
TBX22	-0.5755
TOMM40	-0.5235
RP6-213H19.1	-2.32883333333333
TUBGCP5	-1.05575
IGSF6	5.55775
TPPP	1.19783333333333
UNQ6190	0.071
GSTM5	2.0175
BTD	1.62033333333333
PDCD1LG2	0.372166666666667
SNRPB2	-0.102
ERICH1	-0.00349999999999999
APOA4	-1.597625
HOXA11	-1.2565
NARG1	-0.731875
MKX	-0.44025
RAB28	-0.896
PKP3	0.379
SH3GL2	-1.7455
CTSO	3.482
RPN2	0.1479375
IL28RA	0.453166666666667
SFMBT1	0.837
WDR57	-0.320375
FER1L3	1.39666666666667
HSF5	0.0818333333333333
TTC9B	0.49175
C4BPA	-3.436
ALB	-5.19842857142857
SORBS3	0.899125
UPF2	0.0395
JPH1	-0.9295
AGBL2	-1.029
DOPEY1	1.0895
TERF1	-0.0110833333333333
KIF22	-0.617666666666667
NINJ1	1.0325
SEC61A2	-0.19025
HIST1H1D	0.211166666666667
SFXN4	-0.3115
UCP3	-0.0534
ZNF703	0.661333333333333
MYL6B	-0.78025
TREM1	2.0805
OR52E6	0.6995
CKMT2	2.41825
HLA-C	2.082625
SLC13A3	-0.705166666666667
TIMP4	-0.06175
SLIT2	3.084
RSF1	0.153
LONRF1	-0.649928571428571
MON1A	-0.1015
CACNG6	-2.18483333333333
DPPA4	-5.88266666666667
ZSWIM3	0.40775
ZNF804A	0.682166666666667
CCIN	2.32375
SLC25A31	0.22425
KCNMB4	1.22025
RABL5	0.1095
GALNS	0.0908
STX6	0.55825
HIST1H1C	1.82216666666667
CIDEB	0.172875
CASP4	0.3765
PDK3	0.6417
KCNJ11	0.1735
TPR	-0.574875
ZSCAN20	-0.188
MTX2	-0.404
HIST1H2BH	1.698
LOC283767	1.58425
LYRM7	-0.834222222222222
BRD3	-0.0935
HIST1H2BO	1.1535
MAGEB10	0.331
SLC45A1	0.30025
SERPINA3	-0.20135
KIAA0143	1.10525
KCNJ16	2.35333333333333
KRT79	0.09975
FABP2	-0.33325
NUT	0.158
ZNF57	0.5025
FBXL4	-0.3225
CLEC9A	1.7775
UGT8	-1.01283333333333
BMP2K	0.93225
MAPK4	-3.4865
SLC25A23	-0.4968
HINT1	-0.0251
KRTAP13-1	0.037
SFXN5	-0.2012
CHCHD2	-0.17675
FAM3D	1.9715
NDP	-3.787625
RHOBTB1	-0.169666666666667
SLC4A4	-0.978375
RPL38	-0.25
HTF9C	-0.665666666666667
AP2A2	0.59775
ZBTB46	-0.273
MAP7D1	0.32775
AOX1	-0.87
CYR61	1.24833333333333
DTNA	0.548785714285714
JRKL	0.24575
TMOD3	0.31
EEA1	1.3665
ADCK5	-0.4865
IL1R1	2.4945
KLK3	0.132714285714286
HRSP12	-0.46025
KTN1	0.09075
LOH11CR2A	1.8874
RELL2	-1.4245
MAB21L1	1.3055
C20orf59	-0.829833333333333
PHKB	1.19925
ADAM2	-2.17266666666667
TBC1D8B	1.2905
FAM13A1	0.00218749999999999
LAPTM4B	-0.386
LCN8	0.2615
TMEM147	0.126
SYT4	0.375333333333333
XPO7	-0.985
C9orf62	-0.43275
GPR75	0.145
TRIM5	0.627625
APOC1	3.0995
RNASE4	-0.2005
PARD6B	-1.72
ARID1A	0.455166666666667
TPD52L3	0.2504
RRAGB	0.155666666666667
RCN2	-0.264333333333333
HIST2H2BE	0.9780625
STARD7	-0.29125
SHMT2	-1.36175
KIAA1751	-0.568
MLYCD	0.60225
LOC162632	-0.7934
UQCRH	-0.539
RP11-217H1.1	0.1410625
SDHA	-0.872166666666667
NCLN	0.0018
ZNF17	1.175
RCBTB2	-0.65675
VEGFB	0.3143
RP4-747L4.3	-0.394
COLQ	0.434
MPN2	-0.848
DRG2	0.00725
KLRB1	5.65025
ALPK2	-1.28275
DNASE2B	5.50575
FLJ23834	-0.620166666666667
AXUD1	1.4735
SAFB	-0.4218
NSUN4	0.025
RFX2	1.08066666666667
MAPK8IP1	-0.13
FANCD2	0.225714285714286
ANKZF1	-1.76083333333333
C19orf50	-0.114625
DUSP8	1.09
SENP5	-0.248375
NFKBIL2	-0.9435
LBR	-1.178
IGFL1	0.19
LZTS2	-0.116375
IL2RG	0.0615
CCDC51	-0.46625
KLF3	0.258625
ANKRD37	-0.84725
KCTD14	-1.1605
FZR1	0.115
SLC44A4	4.2778
ESPL1	-1.3855
GMPR2	-0.5157
TBC1D19	-1.184
ERGIC1	0.408074074074074
ERBB4	2.9134
TSPAN32	0.399
MAP4	0.031
GPHN	-0.223
SLC6A2	-0.0185
HIVEP1	1.27
DFFB	-1.0009
EIF4EBP2	0.682875
DMRT1	-0.3635
HSPB6	0.508
IER2	0.212833333333333
AIFM1	-0.20075
WWC2	1.04825
MRPL4	-0.888
FLJ21062	0.642833333333333
EPB41L4A	1.47108333333333
SH2D6	0.4775
TAF4B	-1.56175
GAL3ST3	0.1505
MALT1	-0.6325
RTDR1	-0.5695
ARVCF	0.00399999999999999
MEX3B	-0.85
FBXO16	1.28325
KIF7	-1.081
C1QC	4.2485
ZNF783	-0.690333333333333
ZNF85	1.289
MMP13	6.701
KIAA0329	0.296125
RTP3	-0.1045
ZBED3	-0.283
CLGN	1.489
SLC25A37	-1.28033333333333
hCG_18290	-0.2265
OR5AS1	0.016
SMARCC2	-0.0130833333333333
FAM109A	-0.336
CCDC12	-0.21025
USF2	0.4228
DEPDC7	-1.0685
C20orf24	-0.603
JMJD3	0.8615
DSP	1.35035714285714
SLIC1	0.377375
FAM20A	2.2245
IRF2BP2	0.702375
ZNF230	0.503
MSN	-0.0572857142857143
SLC9A5	-0.706
EPDR1	-0.5975
MUSK	0.183166666666667
ZNF434	0.321666666666667
SMARCD1	-0.8215
ZFP106	-0.161
ZNF347	0.9446
GTF2E1	0.0915
RY1	0.00233333333333334
ATAD2B	0.231625
ARHGAP17	0.5437
KCNIP3	-1.12075
SFPQ	0.388
