Hybridization REF	TCGA-BH-A0BM-11A-12R-A089-07
GYPC	-0.41175
C7orf33	0.121
PLIN	3.94866666666667
LOC90826	0.39725
RNF4	-0.1472
F8A1	0.349833333333333
PLEKHG4	-0.40575
GRB2	-0.6866
HIST1H2AD	-0.886
DUS3L	-0.658833333333333
EIF1	-0.102833333333333
RP5-1077B9.4	-1.81116666666667
FPGT	1.36225
GDF10	0.4245
COQ9	-0.36075
GCC2	1.02135714285714
RARRES3	2.416125
PLXNA1	0.00990000000000002
KIAA0100	-0.239
PMF1	-0.688
FNDC1	1.29825
HS2ST1	-0.461333333333333
CRELD2	-0.506
C8G	-2.204
CD82	1.606
LIM2	-0.546
UNQ6490	-0.2905
MMP16	-0.14025
DRD3	-0.0745
C5orf26	0.75
C11orf73	-0.380875
PTP4A2	-0.04875
OR4M2	-0.5555
HPCA	-1.09066666666667
SEC14L1	-0.647
CHFR	-1.1145
EMILIN1	0.062625
NDUFS4	-0.12375
COL18A1	-0.423625
PDZD3	-0.0839
C9orf16	-0.8405
ERBB2IP	0.0403333333333333
EMX2	3.32725
FUS	-0.75675
TF	-1.5843
CLCN4	0.569833333333333
CXorf56	0.6905
C11orf72	0.44425
ELAC2	-0.752916666666667
NPR1	0.73575
ASS1	-1.3175
USP42	0.345625
POLR2J	-1.6325
SEC23IP	0.214166666666667
UQCRC1	-0.4175
LOC729603	-0.31
C1orf71	-0.87025
POLG	-2.94
ADAM23	-3.298
TFR2	-1.57175
RICTOR	-0.0663
MGC39606	2.268
C19orf55	-0.58725
SNAPC1	-0.8135
GNA11	0.938625
CCDC52	-0.171
FSIP1	1.8535
UPF3A	0.147625
IGSF11	-2.05066666666667
LAGE3	-1.067
CHST6	-2.7505
UNC13B	0.327875
TTLL4	-1.02475
ZNF687	0.14175
SDC2	0.6172
COX7A2	-0.9575
LAMB4	0.169
FAM24A	0.5775
LRRTM3	-0.960666666666667
GPHB5	0.246
OR4C13	0.3005
EIF3EIP	0.7435
HABP4	0.2545
TMEM125	3.14925
CNTN2	0.34575
ASNSD1	0.35475
FUT4	0.09225
ACF	-3.55375
LOC158381	0.277
CDH8	2.1115
AGPS	-1.27433333333333
C4orf18	3.987125
PECI	1.02375
UNG	-0.361375
GSTP1	0.159125
DCUN1D5	-1.68566666666667
DKFZP564J0863	-1.593
SLC9A3R1	-0.1285
BCDO2	0.5715
CHMP7	-0.216125
REM2	0.043
DNHD1	-0.411125
FKBP4	-0.832375
ZNF350	1.7265
MGC11102	-0.859625
BST1	1.1955
KISS1R	-1.3135
NCR2	0.2915
DEFB125	1.493
UBE2W	0.54675
KRT15	4.526375
C10orf99	-0.146
SCN11A	0.171875
GFI1	-1.95425
RDHE2	1.554
FHL1	1.3775
OSGEP	-0.170666666666667
GATA1	-3.7555
SMC6	-1.547
TTTY14	-0.69825
LPIN3	0.64925
RPL4	0.2239
RBPMS	0.898
PRPF3	-0.4215
EMR1	-2.348
SPATA19	0.0735
XCR1	-0.0695
IRX3	1.7717
RBM6	0.26725
KLF4	-0.4722
UNC5CL	-0.385
SEBOX	-0.00299999999999999
BTK	-1.6565
KRCC1	1.729
C6orf27	0.2275
SYTL5	-0.111
PRND	1.250125
LOC653319	-1.3835
PIGL	-1.9895
HUS1	-0.948666666666667
SFRS6	-0.126583333333333
C17orf77	0.1295
UIMC1	0.151833333333333
FXYD2	-1.9808
LOC283152	0.08175
ZNF667	1.8825
ZCCHC12	0.19775
TFEC	0.9019
ATP7B	-0.182166666666667
POLD2	-1.7745
RG9MTD1	-0.11725
ACOT2	-0.489166666666667
HIST1H4I	-1.34275
PPARGC1A	-0.4953
ETFA	-1.0449
POLRMT	-0.69575
ZNF146	0.454875
MIA2	-1.2225
KLHL6	-2.07833333333333
HOXB5	-1.47125
NENF	0.256333333333333
CUGBP1	-0.0192499999999999
PRSS22	0.539
CASC4	1.008
CUL4B	0.3225
CENPJ	-1.1727
PITX1	-2.1395
FLJ31033	0.41
CELSR3	-2.33816666666667
ZNF568	1.14475
ITSN1	-0.142833333333333
EHBP1L1	-0.989333333333333
C19orf2	-0.44125
DCTN1	-0.58325
LIN28B	-3.29066666666667
TNKS2	-0.27925
C1QBP	-0.741
CADPS2	1.529
SRMS	-0.15775
GJA9	0.336333333333333
MGC24975	-1.25316666666667
TRIM45	-0.869
TSP50	0.8925
TCP1	-0.825
TMED7	-0.1751
CMA1	0.2935
CENPL	-1.61716666666667
PTCRA	-0.6335
FST	-2.668
VWCE	-3.9715
PAWR	0.54675
ABCC12	0.7138
LDLR	-1.7803
ASTN2	0.8107
LOC441212	-0.548
GPATCH8	-0.16025
TANC2	-1.07083333333333
KIF4A	-3.691
C18orf18	1.186
PGM1	-0.221
KIAA0258	0.692
CPD	0.63325
SNCAIP	0.6865
DCT	-4.23333333333333
HLA-DOA	2.16959090909091
OR11L1	-0.0185
UPK1B	-0.000666666666666663
DNAJB4	1.782375
UGT1A8	0.057
HIST1H4L	-1.5775
PECR	-1.274
HSPA2	1.81825
WFIKKN1	-2.389
SERP1	0.9865
SYDE2	1.5625
TACR2	0.127
NUP85	-1.0715
CD177	-0.785333333333333
LGR5	-1.46766666666667
PIGG	-0.385166666666667
PTHR1	-1.244
RAB5A	0.5373
FLJ13224	-0.062
USP9Y	-0.987
C7orf53	-0.3495
LRP1B	0.7345
XAF1	1.0856
ABCG8	-0.561
ANKDD1A	-0.109333333333333
DAND5	-1.731
SPAG6	2.38083333333333
LINCR	2.83875
ZDHHC22	-1.194875
CCDC60	0.5765
THOC7	-0.959166666666667
TCTA	0.4104
OR8K3	0.29775
NY-REN-7	-0.60425
B2M	0.545333333333333
C6orf141	-2.154
LPPR4	2.44575
SQLE	-2.782875
SEPHS1	-0.7885
BTBD14B	-0.5865
PLRG1	0.2745
SPG7	-0.6855625
ZNF614	0.0411666666666667
PARD6G	1.33133333333333
INPP5B	-0.3189
GRPEL2	-0.56675
PPID	-0.4468
TRIM56	0.5255
UBE2J1	-0.354
IL20RA	5.44775
LOC387856	0.63575
C1orf107	0.749333333333333
UTS2R	-0.57075
C19orf22	-0.2
SAFB2	0.160875
KIAA0652	-0.4555
KLRG1	-0.490666666666667
MS4A8B	-0.136166666666667
FRAG1	0.60525
KIAA1546	1.0895
E2F4	-0.9742
CLEC4M	-0.377333333333333
BTBD14A	-2.18975
KIAA0999	1.5422
GYPA	-3.275
TAC1	1.337
TRAIP	-2.16183333333333
KIAA0232	0.8091
ERCC8	-1.058875
GPX4	0.298875
KIAA0368	0.5625
GPR157	-0.9285
CTAGE4	0.622
C9orf30	-1.32883333333333
OR52A1	0.002
HSP90B3P	0.023
ALG9	-0.3274
BTBD10	0.5255
SDK2	0.15925
BAIAP3	0.2
RABGGTB	-0.89425
ANKRD40	-0.255666666666667
KRT74	0.56
CALCOCO2	0.613142857142857
SNCA	-0.75825
TMSL8	-2.249625
C2orf53	-0.4425
ESRRB	-0.337
ARHGAP26	0.6225
TDRD9	-2.87875
HRAS	-0.289666666666667
KLRC4	-1.898
JAGN1	0.0333333333333333
BSDC1	0.68825
RNF43	0.2668
NDUFAF1	0.39225
PHF12	0.306
OR1L3	0.2975
FOLR2	1.05375
LYZL6	0.278166666666667
tcag7.1260	-1.5565
WSB1	-0.450166666666667
PROS1	1.4484
OSTN	-0.045
PSMB8	0.57175
SOCS4	0.219375
DDIT4L	2.434
MAS1	-0.0585
MGC34796	0.5375
CSHL1	0.1315
TBCCD1	0.216833333333333
ZBTB7C	-0.3355
AP2S1	-1.60825
P15RS	0.00410000000000001
VAT1	-0.6544
SHANK3	0.305
TUFM	-0.7895
THEG	-0.2225
KRT34	-1.114
SGSM3	-0.026125
TOMM22	0.015625
SOCS3	0.753833333333333
CPO	0.323
POP4	-0.11075
BHLHB3	3.29625
MALL	1.489
OR1B1	0.2655
PARK2	0.564166666666667
GPR124	-0.147125
LCE1E	-0.0965
RUVBL2	-1.095
CGRRF1	0.9841
ACPL2	0.4275
WNT10B	-1.7165
BAIAP2L2	-2.076625
ISCA1	1.043
C1orf125	-0.0815
RPAP1	-0.34575
RAI16	0.147333333333333
RPL27	-0.216125
NLRP9	0.2055
EPN1	-0.5445
LOC388610	1.447625
SLC35A1	1.1252
GAL	-4.3585
SLC14A2	-0.00525
RDH11	-0.615333333333333
FAM138F	-0.3795
AUH	0.67475
FLJ40243	0.084
C14orf129	-0.3805
MBD2	-0.675833333333333
ABHD14B	0.201875
PIGT	-0.6175
ALS2CR4	1.098875
ALAS1	-0.0563
FOXO1	2.646
CRLF3	0.175125
C20orf107	-1.365
FARS2	0.45075
CCDC28A	1.132
NPHP3	0.8855
OR13F1	0.2745
TSEN54	-1.012
DEFB106B	0.160444444444444
OR8B4	0.0375
STH	0.20025
ZC3H14	-0.061125
CBX2	-0.508
TMEM49	-1.14925
C6orf21	0.3005
FLJ20920	0.627875
CRTAP	0.366714285714286
DDX50	0.57575
STYXL1	0.1075
BLVRB	-0.458
LOC147650	0.158333333333333
MMP24	0.138
GRID1	1.40933333333333
BANF1	-0.471166666666667
CTAGEP	-0.0055
HMBS	-2.62275
SLC25A24	0.342166666666667
C14orf50	0.708
MRO	0.323333333333333
SLC25A15	-1.163
FAM84B	0.5533
TDP1	-1.2
C16orf78	0.0825
C11orf57	0.16425
RFK	-0.5645
ZFYVE9	-0.706
STCH	-1.3243
WIBG	-0.056
LOC283871	-1.172
GBA2	-0.6212
NDUFB3	-0.8625
HSD17B13	1.0825
GRIN3A	0.745333333333333
FMNL1	-0.4115
SEPT7	0.4213
GNLY	1.381
GRAMD1C	3.64566666666667
ZNF165	-0.007
USP38	0.872
FAM83A	-3.02833333333333
C14orf24	0.8985
ARMCX3	1.31825
ARHGDIB	0.341166666666667
AK1	-0.10375
KIAA1045	0.45525
DNAJB13	-0.0673333333333333
NEU2	-0.0905
HIST1H4B	-1.829
FAM20B	-0.743
HES2	-0.291
FAM73B	-0.5576
LOC388381	-0.29375
INTS7	-1.15872727272727
AMPH	0.4515
ZNF775	-0.71975
UCKL1	-1.048
C10orf97	0.42975
C1orf161	-0.69675
ALDH1L1	1.4785
FLJ39378	0.44775
SLC23A1	-1.644
RBM4B	0.85325
THAP4	-0.0933333333333333
OGFRL1	1.53575
KIAA0831	0.69075
PPP1R15A	0.679
C1orf96	-0.00092857142857141
C12orf11	-1.051
BMF	-0.33275
MAN1A1	-0.793857142857143
KIAA1600	0.954166666666667
NLGN4X	2.866
ALOX12	-0.720833333333333
RB1CC1	-0.1394
NEIL2	0.7047
EIF4E	0.183952380952381
ABHD5	-0.26975
EXOC4	-0.137333333333333
CIP29	-0.671166666666667
BATF2	0.8625
SLC29A4	-0.4695
HTR4	1.0325
EMB	-0.3485
TRAF6	1.0985
LMNB1	-2.834
FAM19A5	-0.8375
SHE	1.96425
PIK3C2B	1.428
C15orf15	0.2468
USP15	0.4802
TCEAL2	3.378
C5orf39	-0.7365
PTGER2	-1.3865
SLC31A1	-0.5500625
IFT172	1.067
ADAM29	-0.35475
GFOD1	0.42875
ST7L	0.337666666666667
C15orf26	-2.65
PKN3	-1.2215
CNTD1	1.9475
COMMD1	0.087
NTRK2	4.40391666666667
FOXN3	1.164375
MFGE8	1.4806
PFKFB2	0.6325
TAS2R4	0.285
ENTHD1	-0.454833333333333
PRMT5	-0.603625
MGC16384	-0.797
LOC442229	-1.12875
TSKU	0.05
KRTCAP3	2.7095
PDLIM1	1.5282
KCNS2	-0.1155
RNF126	-0.705666666666667
CEP63	0.26
CLIC4	0.42075
hCG_1990170	3.238
ACR	0.5448
KLK7	5.11375
ALOX5AP	2.34525
RIPK3	2.3865
TAS2R9	0.387
C19orf18	1.4025
BIRC6	0.5945
ZNF16	1.068
RFT1	-0.52075
SLC8A2	-0.42425
TACC1	0.906625
ITGAD	0.284
SAMHD1	0.2225
SH3PXD2B	0.8321
EPC2	1.64075
C20orf85	0.2545
ATP13A2	-0.586166666666667
KRT4	0.017875
CAPNS1	-0.3835
MDM2	-0.548416666666667
PCDH20	1.36475
KCNK9	-0.0975
OR2C1	-0.4295
KLHDC3	-0.955
IPPK	-0.185
EFHD2	-1.101375
GALR3	-0.5805
NBEA	0.931166666666667
ABCA6	2.9594
CLDN3	1.27133333333333
AKT2	-0.528071428571429
EGFR	1.2566
RBM16	0.867875
ZDHHC3	-0.0661
SLC25A4	0.34
CYB5B	-0.0381666666666667
CPXM1	-1.25475
NDRG1	-0.745076923076923
FLJ43826	0.3465
OR5L2	-0.0456666666666667
FARP2	0.0386
MRPL46	-0.565833333333333
LDHAL6B	-0.331666666666667
MAPKAPK3	-0.828166666666667
NCAM2	-1.2715
PRKD2	0.261166666666667
ZFP36L1	1.596
CYSLTR1	-0.3525
OR4C3	-0.055
HIST1H2AJ	0.2035
CCNB2	-3.73977777777778
ZNF10	0.903
TMEM175	-0.0915
FAM134A	0.536333333333333
TIGD4	0.0515
PCNP	0.29025
MGC39715	0.3955
LQK1	-3.0645
CREB1	1.2348
TMPRSS3	1.797
C4orf32	1.277
LAT	-1.60491666666667
KCNA3	0.0845
SKIV2L2	-0.4525
ROPN1B	3.6995
tcag7.23	0.6405
CDT1	-3.293625
ZHX2	1.28775
CD28	-2.86
ZNF624	1.047
SEPT2	0.287416666666667
SOHLH2	0.04275
MCOLN3	0.298375
UNQ1945	-0.364
MASP2	-1.079
ZNRF3	0.3454
GPATCH3	-0.2855
AGL	0.427125
QRICH2	-0.0635
PSD4	0.4445
CCNB1IP1	-0.16775
ENPP7	0.445
OBFC1	-0.0895
KCNG3	-1.77625
C14orf79	0.111083333333333
ENPEP	1.195
SCT	-0.1345
SKI	0.5765
SEC61G	-2.05875
CAPN11	2.07375
ATXN7L3	-0.49925
DBNDD1	-0.969
FAIM	0.582
ANKRD36	-0.017
GABRP	4.80033333333333
TACSTD2	3.01983333333333
EIF3J	-0.59075
PPP2R2A	-0.223
TEKT4	-0.322833333333333
PVALB	-3.49366666666667
F10	-2.0675
FAM134C	0.3103
COMP	1.154
EFCBP1	-0.0855624999999999
SCLT1	1.26325
TAL1	-1.1221
ACSL1	1.742
ABCC5	-0.570416666666667
ABL1	-0.650611111111111
RBBP7	-0.350583333333333
PTPRG	0.248625
NCOR1	0.4101
SPINK4	-1.83283333333333
TXNRD1	-2.1374
TNRC15	1.1035
C9orf138	0.867375
UBE2H	-0.08
BRDT	0.2255
C8orf31	-0.28175
CCNE2	-2.64963636363636
SLC6A8	-2.15475
CALCR	-2.35275
PPP1CB	1.87691666666667
ABHD8	0.0305
ARF5	-0.0664
SLC24A4	0.19425
CCT3	-0.691
ZNF121	0.102875
SLC3A2	-1.1608
OR13A1	-0.1225
SLC5A10	-0.38825
RAD50	-0.302375
IER5	-0.26525
MTHFD1L	-2.401625
MBTPS2	0.076
MVK	-0.5865
NCL	0.0439
PSMD10	-0.1215
MOBP	0.12075
FLJ32894	0.069
HRH1	-1.09583333333333
C5orf30	0.48625
NUDT16L1	-0.3463
RASGRP3	2.55233333333333
PRKRIP1	-0.6873
CCDC75	0.956
LOC253970	-0.023
KIAA1239	0.4395
MED21	-0.24575
SYT11	-0.483666666666667
NTSR2	-0.363
EGFL11	-0.4515
CXorf59	0.335
OR2A25	0.1925
SPTBN2	-0.81025
LRMP	-1.13716666666667
RNF111	0.59625
PTH	0.6475
LOC619208	-0.180333333333333
KIAA0895	0.73225
RANBP5	-0.37625
P2RY10	1.3775
NME5	2.95166666666667
DDX21	-0.517
LRSAM1	-0.219
HDAC11	0.1085
VMO1	0.36325
NOLA2	-0.605333333333333
ADAR	-0.468416666666667
MTO1	-0.771666666666667
SF4	-0.102166666666667
P2RX1	-0.0991666666666667
HBM	-0.38475
EN2	-0.9585
C14orf172	-0.2925
TM9SF2	0.6527
INHBE	-0.693333333333333
TCTE3	-0.344
TOX2	-2.7325
CTAGE3	0.514
HBB	3.0695
MED15	-0.804166666666667
CASR	0.02425
C6orf66	-1.13966666666667
MTPN	-0.257125
UNC50	0.2105
C21orf33	0.407875
IRF2	1.4795
PGR	0.436666666666667
GPR84	1.24675
CROCCL1	-2.0255
SRPX	-0.93875
BRE	-0.1585
FGF10	1.8775
SDC3	1.41233333333333
ZRSR1	0.593333333333333
DKFZP434P211	-0.525125
SOX6	-1.422
RPUSD2	0.1725
C14orf173	-0.851
MAPK11	-0.443166666666667
TBC1D22A	0.18
FAM123A	-0.4565
COL4A6	0.630166666666667
TOMM70A	0.4295
NAB1	0.808625
MGC16385	-0.10275
TSPAN18	-0.968333333333333
MED31	-0.54775
PLG	-0.32575
CAPSL	0.5545
ZNF532	1.6274
ASB14	0.37275
CA8	0.51375
NUDT16P	1.746
SLFN11	-1.2325
LRRIQ2	-0.315
NOL7	-0.821666666666667
BRMS1L	0.171375
JARID1A	0.691166666666667
PANK2	-0.28075
ICAM3	-1.368
MDS1	0.235
TAF8	-0.36125
RNF139	0.429
ZNF594	0.877166666666667
ADAM8	-0.20375
SFTPC	-0.2945
MAN2B2	0.915375
RGS12	0.2876875
EIF1AY	-4.25133333333333
LRRIQ1	0.824666666666667
GPR150	-0.78975
CCDC21	-1.63683333333333
PRRG3	0.13325
SAA4	-0.5255
RAPGEF5	0.360125
ZCCHC2	0.2065
MGC39372	0.2965
PPP4R2	0.1585
CDCA2	-2.92316666666667
OR4D5	0.272333333333333
PTGFRN	0.3145
SIGLEC5	0.6085
C19orf61	-0.2835
NMUR2	0.377
KIAA1586	-0.1475
DAGLA	0.979666666666667
CHCHD6	-0.0345
GPR32	0.0465
NEUROD6	0.1515
SLC2A4RG	-0.523625
CA5B	0.689
FBXL3	2.054
MPHOSPH9	-1.9085
HMG2L1	0.30375
HCN4	-0.679
CEACAM19	0.6355
SH2D4B	0.0998333333333333
HFE2	0.0245
TGM4	0.1095
LYPD2	0.159
TBC1D15	0.286
MRPS21	-0.5205
NONO	-0.6975
CLEC5A	0.777625
ITCH	-0.3011
MGAT3	0.2895
MBP	0.4545
RPP25	-1.34625
SOSTDC1	4.40175
HRC	-0.49275
TRIM48	0.03
TMEM133	0.71975
ECEL1P2	-1.01675
HOXC11	-0.233
DOK5	0.23425
HELZ	0.870166666666667
LOC348180	-1.08675
MGC33894	-0.024
ADRB3	0.2285
DMD	1.98525
PTRH2	-0.874
MPEG1	2.32866666666667
NDUFA12	-0.496666666666667
KRTAP2-4	-0.327583333333333
STAMBPL1	-1.2835
ADCY2	0.264166666666667
UNQ6125	-0.1305
KLHL20	0.787166666666667
SRM	-1.07075
OTC	-0.34675
TMIE	0.373833333333333
SNX8	-1.1285
LIPK	0.1925
CHURC1	0.2615
KLC2	-0.147
HDAC1	-0.270333333333333
FAM128A	-0.642666666666667
FNDC3B	-0.4114
MTCP1	-0.5
WFDC10B	-0.0882
PCDHGB3	0.618
ATRNL1	-0.0961
CAV2	2.02175
MED26	0.002
DUS1L	-0.48025
CHRM3	-0.9745
NEK9	0.6135
WARS2	0.23325
TBX22	0.663
TOMM40	-1.17575
RP6-213H19.1	-0.5845
TUBGCP5	-0.539
IGSF6	4.12975
TPPP	0.978333333333333
UNQ6190	0.0965
GSTM5	0.7155
BTD	0.552666666666667
PDCD1LG2	0.324166666666667
SNRPB2	-0.600166666666667
ERICH1	0.49775
APOA4	-1.6485
HOXA11	-1.06275
NARG1	-0.353125
MKX	0.07825
RAB28	0.2505
PKP3	1.19025
SH3GL2	-1.79325
CTSO	3.33975
RPN2	-1.12625
IL28RA	1.45683333333333
SFMBT1	-0.21375
WDR57	0.141375
FER1L3	1.59641666666667
HSF5	0.378666666666667
TTC9B	-0.35575
C4BPA	1.19966666666667
ALB	-2.65421428571429
SORBS3	0.271375
UPF2	0.7145
JPH1	-0.466
AGBL2	0.30275
DOPEY1	2.084
TERF1	0.263
KIF22	-1.47933333333333
NINJ1	0.48325
SEC61A2	-1.41275
HIST1H1D	-0.771333333333333
SFXN4	-0.404375
UCP3	0.1133
ZNF703	-0.511666666666667
MYL6B	-0.482
TREM1	0.5915
OR52E6	0.2385
CKMT2	3.10325
HLA-C	0.955125
SLC13A3	-1.16
TIMP4	1.173
SLIT2	1.51775
RSF1	0.500666666666667
LONRF1	-0.0650714285714286
MON1A	-0.414166666666667
CACNG6	-2.58983333333333
DPPA4	-5.54683333333333
ZSWIM3	0.308
ZNF804A	-0.281666666666667
CCIN	0.461
SLC25A31	0.30375
KCNMB4	-0.0955
RABL5	0.268625
GALNS	-0.7977
STX6	0.33175
HIST1H1C	-3.30066666666667
CIDEB	-0.351375
CASP4	0.591666666666667
PDK3	-0.5716
KCNJ11	-0.211
TPR	-0.14825
ZSCAN20	-0.577
MTX2	-0.512
HIST1H2BH	-1.283
LOC283767	1.5145
LYRM7	-0.596444444444444
BRD3	-0.200166666666667
HIST1H2BO	-1.45975
MAGEB10	0.1835
SLC45A1	0.0695
SERPINA3	0.4908
KIAA0143	0.70525
KCNJ16	5.47233333333333
KRT79	0.38825
FABP2	-0.620666666666667
NUT	-0.1105
ZNF57	0.30325
FBXL4	0.89125
CLEC9A	2.0075
UGT8	1.46333333333333
BMP2K	0.876
MAPK4	-1.1055
SLC25A23	-0.6657
HINT1	-0.8137
KRTAP13-1	0.276
SFXN5	-0.5602
CHCHD2	-0.561916666666667
FAM3D	3.751
NDP	-0.180625
RHOBTB1	-1.20733333333333
SLC4A4	0.034125
RPL38	0.31125
HTF9C	0.8475
AP2A2	-0.086125
ZBTB46	-0.1745
MAP7D1	0.010375
AOX1	-0.240166666666667
CYR61	1.7115
DTNA	0.284071428571429
JRKL	1.66975
TMOD3	-0.000249999999999998
EEA1	0.2353
ADCK5	-1.16875
IL1R1	1.79066666666667
KLK3	0.195357142857143
HRSP12	-0.85625
KTN1	0.45025
LOH11CR2A	1.241
RELL2	-2.0855
MAB21L1	2.3065
C20orf59	-1.035
PHKB	0.203
ADAM2	-1.65116666666667
TBC1D8B	1.00183333333333
FAM13A1	0.811
LAPTM4B	-0.581416666666667
LCN8	0.084
TMEM147	-0.0665
SYT4	0.078
XPO7	-1.181
C9orf62	-1.5825
GPR75	0.8835
TRIM5	0.893
APOC1	-1.58783333333333
RNASE4	2.1425
PARD6B	-2.194625
ARID1A	0.0559166666666667
TPD52L3	0.00700000000000001
RRAGB	1.193
RCN2	-0.431166666666667
HIST2H2BE	-0.808375
STARD7	0.03
SHMT2	-1.45125
KIAA1751	-0.458
MLYCD	0.62675
LOC162632	-0.5102
UQCRH	-1.4915
RP11-217H1.1	-0.2185
SDHA	-1.34283333333333
NCLN	-1.2428
ZNF17	1.25683333333333
RCBTB2	-0.181
VEGFB	-0.5509
RP4-747L4.3	0.356
COLQ	0.1354
MPN2	-0.498166666666667
DRG2	-0.5475
KLRB1	4.99075
ALPK2	-2.07475
DNASE2B	0.44175
FLJ23834	-0.0886666666666667
AXUD1	1.22316666666667
SAFB	0.1349
NSUN4	-0.30175
RFX2	1.597
MAPK8IP1	0.371333333333333
FANCD2	-1.28857142857143
ANKZF1	-1.083
C19orf50	-0.637875
DUSP8	1.077375
SENP5	-0.849375
NFKBIL2	-1.27625
LBR	-1.319
IGFL1	1.105
LZTS2	0.299125
IL2RG	-0.69525
CCDC51	-0.751
KLF3	0.29025
ANKRD37	-1.02275
KCTD14	1.96566666666667
FZR1	-0.75125
SLC44A4	1.1271
ESPL1	-1.4615
GMPR2	0.1366
TBC1D19	-0.840666666666667
ERGIC1	0.0507037037037037
ERBB4	2.5548
TSPAN32	-0.0768333333333334
MAP4	-0.531125
GPHN	0.17575
SLC6A2	1.522
HIVEP1	0.797
DFFB	-0.155
EIF4EBP2	0.590875
DMRT1	-0.24575
HSPB6	0.20875
IER2	1.05166666666667
AIFM1	-0.85925
WWC2	0.54775
MRPL4	-0.96675
FLJ21062	1.308
EPB41L4A	1.5535
SH2D6	-0.01575
TAF4B	0.201
GAL3ST3	-0.486
MALT1	-0.737333333333333
RTDR1	0.11175
ARVCF	0.75975
MEX3B	-0.07
FBXO16	0.097
KIF7	-0.1995
C1QC	3.22533333333333
ZNF783	-0.117166666666667
ZNF85	1.068
MMP13	-1.819
KIAA0329	1.30625
RTP3	-0.6465
ZBED3	0.15375
CLGN	-2.7605
SLC25A37	0.0457083333333334
hCG_18290	0.7765
OR5AS1	-0.096
SMARCC2	0.342416666666667
FAM109A	-0.4105
CCDC12	0.20425
USF2	-0.000599999999999986
DEPDC7	-2.6835
C20orf24	-1.49516666666667
JMJD3	0.5255
DSP	1.75335714285714
SLIC1	-0.047375
FAM20A	0.437
IRF2BP2	0.435875
ZNF230	0.854
MSN	-0.229571428571429
SLC9A5	-1.736
EPDR1	-0.0692
