Hybridization REF	TCGA-AN-A0FE-01A-11R-A00Z-07
C19orf55	-0.1275
SNAPC1	-1.06416666666667
GNA11	0.981625
CCDC52	0.411333333333333
FSIP1	4.9035
UPF3A	-0.779125
IGSF11	-2.373
LAGE3	0.04
CHST6	-2.508
UNC13B	0.98475
TTLL4	-1.0325
ZNF687	-0.041
SDC2	-0.6461
COX7A2	0.32175
LAMB4	-0.449
FAM24A	0.17
LRRTM3	-1.27133333333333
GPHB5	0.3795
OR4C13	0.2645
EIF3EIP	-0.540928571428571
HABP4	-0.5755
TMEM125	3.066
CNTN2	0.7305
ASNSD1	-0.2945
FUT4	0.11275
ACF	-3.645
LOC158381	0.00650000000000001
CDH8	0.03825
AGPS	-0.7425
C4orf18	3.722375
PECI	-0.446916666666667
UNG	-0.478375
GSTP1	-1.493375
DCUN1D5	-1.8195
DKFZP564J0863	-1.0165
SLC9A3R1	2.16
BCDO2	-0.414375
CHMP7	-0.665
REM2	1.3405
DNHD1	-0.462625
FKBP4	-0.769875
ZNF350	0.817
MGC11102	0.313375
BST1	1.79275
KISS1R	0.953
NCR2	-0.0145
DEFB125	0.274
UBE2W	2.244875
KRT15	0.94675
C10orf99	0.486
SCN11A	-0.028
GFI1	0.2525
RDHE2	-0.578833333333333
FHL1	-1.43233333333333
OSGEP	0.131
GATA1	-3.2255
SMC6	0.06025
TTTY14	-1.0945
LPIN3	-0.25875
RPL4	-1.1854
RBPMS	-0.7466
PRPF3	-0.755833333333333
EMR1	-1.625
SPATA19	-0.28475
XCR1	0.381
IRX3	1.0438
RBM6	-1.052
KLF4	-1.2896
UNC5CL	-0.3505
SEBOX	0.6265
BTK	0.65075
KRCC1	1.12825
C6orf27	0.385
SYTL5	-1.149
PRND	2.532375
LOC653319	-1.636
PIGL	-0.36575
HUS1	-0.131833333333333
SFRS6	0.390416666666667
C17orf77	0.3645
UIMC1	-0.6225
FXYD2	-1.2871
LOC283152	1.33625
ZNF667	-1.6355
ZCCHC12	-0.501
TFEC	4.5172
ATP7B	0.235833333333333
POLD2	-1.32066666666667
RG9MTD1	-0.66425
ACOT2	0.6505
HIST1H4I	-0.43675
PPARGC1A	-2.2489
ETFA	-1.6652
POLRMT	-0.39225
ZNF146	0.212
MIA2	-1.464
KLHL6	0.917
HOXB5	-1.271125
NENF	0.8115
CUGBP1	-0.47925
PRSS22	0.802333333333333
CASC4	1.8403
CUL4B	-0.2674
CENPJ	-1.4695
PITX1	0.508833333333333
FLJ31033	1.42816666666667
CELSR3	-0.894
ZNF568	0.241
ITSN1	-0.622166666666667
EHBP1L1	-0.5425
C19orf2	-0.63325
DCTN1	0.05925
LIN28B	-2.60466666666667
TNKS2	0.3905
C1QBP	-1.168
CADPS2	0.77075
SRMS	0.4285
GJA9	0.267833333333333
MGC24975	-0.173
TRIM45	-0.2145
TSP50	0.236
TCP1	-1.2865
TMED7	0.4336
CMA1	0.23
CENPL	-0.250166666666667
PTCRA	0.447
FST	-3.3965
VWCE	-3.98225
PAWR	-0.50625
ABCC12	0.590333333333333
LDLR	-0.0298
ASTN2	-0.2264
LOC441212	-1.378125
GPATCH8	-0.0985
TANC2	0.252666666666667
KIF4A	-1.015
C18orf18	-0.81925
PGM1	-1.602
KIAA0258	0.343
CPD	1.2605
SNCAIP	-1.21075
DCT	-3.93433333333333
HLA-DOA	3.38827272727273
OR11L1	1.047
UPK1B	-0.251333333333333
DNAJB4	-0.87475
UGT1A8	0.1125
HIST1H4L	0.0145
PECR	-0.5595
HSPA2	3.0775
WFIKKN1	-0.8455
SERP1	0.017875
SYDE2	1.32125
TACR2	0.67
NUP85	-0.21775
CD177	1.38433333333333
LGR5	-2.10716666666667
PIGG	-0.0986666666666667
PTHR1	-2.2055
RAB5A	-0.0372
FLJ13224	-0.0205
USP9Y	-1.98416666666667
C7orf53	-1.295
LRP1B	4.8015
XAF1	2.9951
ABCG8	0.3085
ANKDD1A	0.013
DAND5	-2.272
SPAG6	0.0406666666666667
LINCR	0.73875
ZDHHC22	-1.523125
CCDC60	-0.6345
THOC7	-1.27033333333333
TCTA	0.7533
OR8K3	0.2195
NY-REN-7	-0.141
B2M	2.293
C6orf141	0.015625
LPPR4	2.41275
SQLE	0.96
SEPHS1	-0.70125
BTBD14B	0.356714285714286
PLRG1	-0.378
SPG7	-1.0938125
ZNF614	-0.938333333333333
PARD6G	0.818166666666667
INPP5B	-1.2406
GRPEL2	-0.068625
PPID	-0.5351
TRIM56	-0.655
UBE2J1	0.585125
IL20RA	4.4625
LOC387856	1.4775
C1orf107	0.55125
UTS2R	0.90875
C19orf22	0.63875
SAFB2	0.0925
KIAA0652	0.188875
KLRG1	0.972833333333333
MS4A8B	3.4145
FRAG1	0.00799999999999999
KIAA1546	-0.00575
E2F4	-1.2803
CLEC4M	0.280666666666667
BTBD14A	-0.7315
KIAA0999	-0.2056
GYPA	-3.87983333333333
TAC1	0.4656
TRAIP	-0.816333333333333
KIAA0232	1.1233
ERCC8	-0.3855
GPX4	0.77925
KIAA0368	-0.27925
GPR157	-0.721333333333333
CTAGE4	0.2915
C9orf30	-2.01816666666667
OR52A1	-0.006
HSP90B3P	0.074
ALG9	-0.7976
BTBD10	0.476
SDK2	1.05925
BAIAP3	1.92125
RABGGTB	-0.568875
ANKRD40	0.0151666666666667
KRT74	0.1175
CALCOCO2	0.754
SNCA	-2.43775
TMSL8	-1.50075
C2orf53	0.07
ESRRB	-0.38375
ARHGAP26	-0.70425
TDRD9	-2.42625
HRAS	-0.183166666666667
KLRC4	-1.6485
JAGN1	-0.171166666666667
BSDC1	0.32725
RNF43	0.9557
NDUFAF1	0.76775
PHF12	0.3565
OR1L3	0.239
FOLR2	2.04075
LYZL6	0.161666666666667
tcag7.1260	-1.949
WSB1	-0.9165
PROS1	-0.7595
OSTN	0.8025
PSMB8	1.33825
SOCS4	-0.296428571428571
DDIT4L	2.1365
MAS1	-0.551
MGC34796	0.90675
CSHL1	0.438
TBCCD1	0.3425
ZBTB7C	0.454
AP2S1	-0.37325
P15RS	-0.1975
VAT1	0.1116
SHANK3	1.32233333333333
TUFM	0.451
THEG	0.60425
KRT34	-1.60775
SGSM3	0.261
TOMM22	-0.348375
SOCS3	0.780666666666667
CPO	0.213
POP4	0.6535
BHLHB3	1.71775
MALL	1.39825
OR1B1	0.371
PARK2	1.41183333333333
GPR124	0.430625
LCE1E	-0.4135
RUVBL2	-0.0865
CGRRF1	0.648
ACPL2	0.30275
WNT10B	-1.80025
BAIAP2L2	-2.011375
ISCA1	0.0175
C1orf125	0.336125
RPAP1	-1.1095
RAI16	-1.01433333333333
RPL27	-0.246125
NLRP9	0.179
EPN1	0.298
LOC388610	-1.319875
SLC35A1	0.7967
GAL	-3.195
SLC14A2	0.64525
RDH11	0.2805
FAM138F	-0.276
AUH	-0.0845
FLJ40243	0.46125
C14orf129	0.538833333333333
MBD2	-0.244
ABHD14B	0.20775
PIGT	0.317875
ALS2CR4	-0.083125
ALAS1	0.2924
FOXO1	0.925666666666667
CRLF3	0.47125
C20orf107	0.2265
FARS2	0.46
CCDC28A	0.666
NPHP3	-1.25925
OR13F1	0.833
TSEN54	0.14425
DEFB106B	0.1183
OR8B4	1.159
STH	1.08625
ZC3H14	-0.624
CBX2	-0.6675
TMEM49	-0.56825
C6orf21	0.779
FLJ20920	0.0175
CRTAP	-0.482571428571429
DDX50	-0.19825
STYXL1	-0.02425
BLVRB	0.9885
LOC147650	-0.1565
MMP24	-0.389
GRID1	1.533
BANF1	0.2475
CTAGEP	0.36525
HMBS	-2.16825
SLC25A24	-0.2375
C14orf50	2.1265
MRO	0.924666666666667
SLC25A15	-0.9
FAM84B	1.7725
TDP1	-0.4825
C16orf78	0.629333333333333
C11orf57	-0.028
RFK	-0.0625
ZFYVE9	-0.51175
STCH	-0.3549
WIBG	1.073
LOC283871	0.338666666666667
GBA2	-1.1866
NDUFB3	0.28425
HSD17B13	-0.99275
GRIN3A	1.9595
FMNL1	0.407833333333333
SEPT7	-0.4369
GNLY	5.398
GRAMD1C	0.622833333333333
ZNF165	0.351
USP38	1.258
FAM83A	-0.665
C14orf24	0.699416666666667
ARMCX3	1.450375
ARHGDIB	0.692666666666667
AK1	-0.202625
KIAA1045	-0.43875
DNAJB13	-0.0121666666666667
NEU2	0.541
HIST1H4B	-0.3265
FAM20B	-0.303
HES2	0.490571428571429
FAM73B	-0.7448
LOC388381	-0.40125
INTS7	-0.149090909090909
AMPH	1.064
ZNF775	0.35625
UCKL1	-0.8715
C10orf97	-0.06175
C1orf161	0.34475
ALDH1L1	-1.4485
FLJ39378	-0.232375
SLC23A1	-1.355
RBM4B	0.1825
THAP4	-0.075
OGFRL1	1.0145
KIAA0831	0.288625
PPP1R15A	-0.427333333333333
C1orf96	0.439428571428571
C12orf11	-2.261
BMF	0.537
MAN1A1	1.517625
KIAA1600	0.954
NLGN4X	-0.3285
ALOX12	-1.53966666666667
RB1CC1	1.2813
NEIL2	-0.3665
EIF4E	0.0596363636363636
ABHD5	-0.06175
EXOC4	-0.092
CIP29	-0.2625
BATF2	3.2105
SLC29A4	-0.90575
HTR4	1.22225
EMB	0.32275
TRAF6	0.696
LMNB1	-0.72075
FAM19A5	-0.682125
SHE	1.44675
PIK3C2B	0.73
C15orf15	-1.186
USP15	-0.0346
TCEAL2	0.41025
C5orf39	-0.417666666666667
PTGER2	0.59
SLC31A1	-0.483375
IFT172	-0.6915
ADAM29	0.71775
GFOD1	0.22275
ST7L	0.294166666666667
C15orf26	-2.45525
PKN3	-1.464
CNTD1	2.23216666666667
COMMD1	0.42525
NTRK2	2.21216666666667
FOXN3	0.411375
MFGE8	-0.3172
PFKFB2	0.6175
TAS2R4	-0.41375
ENTHD1	1.79333333333333
PRMT5	-1.023125
MGC16384	-1.54625
LOC442229	-0.4325
TSKU	0.861375
KRTCAP3	1.80925
PDLIM1	0.9184
KCNS2	0.3605
RNF126	-0.476666666666667
CEP63	0.0495
CLIC4	-0.2625
hCG_1990170	-0.584
ACR	1.1154
KLK7	2.001
ALOX5AP	3.397625
RIPK3	4.145
TAS2R9	0.473
C19orf18	1.2025
BIRC6	-0.117928571428571
ZNF16	1.3465
RFT1	-0.21825
SLC8A2	-0.554333333333333
TACC1	0.384
ITGAD	1.33875
SAMHD1	2.16025
SH3PXD2B	0.8807
EPC2	0.4985
C20orf85	0.428875
ATP13A2	0.152166666666667
KRT4	0.590125
CAPNS1	0.10975
MDM2	-0.4435
PCDH20	2.066
KCNK9	1.1195
OR2C1	-0.2335
KLHDC3	-1.12233333333333
IPPK	0.0175
EFHD2	0.3525
GALR3	0.87775
NBEA	-0.642166666666667
ABCA6	3.2633
CLDN3	2.342
AKT2	-0.377857142857143
EGFR	-2.5606
RBM16	0.326375
ZDHHC3	0.2346
SLC25A4	-1.08166666666667
CYB5B	-1.4505
CPXM1	-0.62875
NDRG1	-0.173461538461538
FLJ43826	0.50025
OR5L2	0.5378
FARP2	0.1581
MRPL46	-0.69125
LDHAL6B	0.290166666666667
MAPKAPK3	-0.345833333333333
NCAM2	-1.645
PRKD2	0.4675
ZFP36L1	0.6251
CYSLTR1	1.05725
OR4C3	-0.41225
HIST1H2AJ	1.366
CCNB2	-1.53922222222222
ZNF10	-1.302375
TMEM175	0.7845
FAM134A	0.885166666666667
TIGD4	0.078
PCNP	-0.6335
MGC39715	-0.2175
LQK1	-2.101
CREB1	0.3816
TMPRSS3	2.224
C4orf32	1.656875
LAT	-0.0401666666666667
KCNA3	0.4185
SKIV2L2	-0.72825
ROPN1B	-2.201
tcag7.23	-0.4305
CDT1	-2.573
ZHX2	1.98275
CD28	-1.374
ZNF624	0.70975
SEPT2	-0.293916666666667
SOHLH2	-1.809375
MCOLN3	-0.68175
UNQ1945	0.765
MASP2	-0.827
ZNRF3	0.5751
GPATCH3	-0.6105
AGL	1.8725
QRICH2	-0.4715
PSD4	0.551833333333333
CCNB1IP1	-1.4925
ENPP7	0.1505
OBFC1	0.6675
KCNG3	-0.29775
C14orf79	0.3305
ENPEP	1.5345
SCT	1.077
SKI	0.576
SEC61G	-1.00675
CAPN11	0.9365
ATXN7L3	0.15775
DBNDD1	-0.337833333333333
FAIM	0.25225
ANKRD36	-0.5425
GABRP	1.316
TACSTD2	1.08716666666667
EIF3J	-0.473
PPP2R2A	-1.7555
TEKT4	-0.0451666666666667
PVALB	0.264666666666667
F10	-2.0775
FAM134C	1.0713
COMP	4.5035
EFCBP1	-2.90686666666667
SCLT1	0.859
TAL1	-0.9846
ACSL1	0.316
ABCC5	0.1345
ABL1	-0.53
RBBP7	-0.0599166666666667
PTPRG	-0.7895
NCOR1	-0.5028
SPINK4	1.0785
TXNRD1	-1.0231
TNRC15	1.129375
C9orf138	0.589625
UBE2H	0.8405
BRDT	2.56683333333333
C8orf31	1.02925
CCNE2	0.551181818181818
SLC6A8	-1.409625
CALCR	-3.3965
PPP1CB	-0.170916666666667
ABHD8	0.087
ARF5	0.4021
SLC24A4	0.914
CCT3	0.10625
ZNF121	0.053625
SLC3A2	-0.0327
OR13A1	0.791
SLC5A10	0.705
RAD50	0.091
IER5	0.57775
MTHFD1L	-2.269
MBTPS2	0.17975
MVK	-0.56275
NCL	-0.2475
PSMD10	-0.267
MOBP	0.19225
FLJ32894	0.0875
HRH1	-0.105
C5orf30	0.954
NUDT16L1	0.8303
RASGRP3	4.185
PRKRIP1	-0.6175
CCDC75	0.58725
LOC253970	0.1285
KIAA1239	0.383666666666667
MED21	-1.15525
SYT11	0.8675
NTSR2	-0.7355
EGFL11	-0.2565
CXorf59	-0.4075
OR2A25	0.4975
SPTBN2	-1.403
LRMP	-0.451333333333333
RNF111	-0.10425
PTH	-0.552
LOC619208	-0.4575
KIAA0895	1.0985
RANBP5	-1.5625
P2RY10	2.68333333333333
NME5	4.05766666666667
DDX21	-0.5085
LRSAM1	0.015
HDAC11	0.766666666666667
VMO1	1.436
NOLA2	-0.0955
ADAR	0.76475
MTO1	-0.759333333333333
SF4	0.0118333333333333
P2RX1	0.750166666666667
HBM	0.34475
EN2	1.142
C14orf172	0.6625
TM9SF2	-0.0763
INHBE	-1.42466666666667
TCTE3	-0.352583333333333
TOX2	-1.81975
CTAGE3	0.251
HBB	3.5775
MED15	-0.7725
CASR	0.18825
C6orf66	-0.695666666666667
MTPN	0.524375
UNC50	-0.3125
C21orf33	-0.0885
IRF2	1.2405
PGR	1.24066666666667
GPR84	3.1265
CROCCL1	-2.47
SRPX	-1.3285
BRE	-0.2025
FGF10	2.71275
SDC3	0.266166666666667
ZRSR1	0.138666666666667
DKFZP434P211	-0.680375
SOX6	null
RPUSD2	-0.25675
C14orf173	-0.318833333333333
MAPK11	-0.569666666666667
TBC1D22A	0.2005
FAM123A	-0.0745
COL4A6	-2.39783333333333
TOMM70A	-0.083
NAB1	-0.74875
MGC16385	-0.3985
TSPAN18	-0.3615
MED31	-0.41425
PLG	-0.64325
CAPSL	5.165
ZNF532	0.4144
ASB14	0.11975
CA8	2.614
NUDT16P	0.157
SLFN11	0.116
LRRIQ2	0.638
NOL7	-0.224
BRMS1L	-0.8245
JARID1A	0.112833333333333
PANK2	-0.49
ICAM3	0.55575
MDS1	-0.89425
TAF8	-0.4255
RNF139	2.324
ZNF594	-0.970166666666667
ADAM8	2.470375
SFTPC	0.004
MAN2B2	1.419875
RGS12	0.5384375
EIF1AY	-4.8365
LRRIQ1	-0.815666666666667
GPR150	1.18725
CCDC21	-1.55233333333333
PRRG3	0.38175
SAA4	-3.54525
RAPGEF5	1.915875
ZCCHC2	0.486083333333333
MGC39372	-0.2685
PPP4R2	0.0658333333333334
CDCA2	-1.98233333333333
OR4D5	0.402666666666667
PTGFRN	0.4229
SIGLEC5	0.2685
C19orf61	-0.326833333333333
NMUR2	0.242
KIAA1586	-1.18533333333333
DAGLA	1.06966666666667
CHCHD6	-0.2205
GPR32	0.743
NEUROD6	-0.160833333333333
SLC2A4RG	0.0419375
CA5B	-0.24625
FBXL3	0.826
MPHOSPH9	-1.196
HMG2L1	0.80175
HCN4	0.515333333333333
CEACAM19	-0.27875
SH2D4B	0.491833333333333
HFE2	-0.78
TGM4	0.5355
LYPD2	0.13875
TBC1D15	0.2265
MRPS21	-0.2508
NONO	-0.744
CLEC5A	1.53525
ITCH	0.1466
MGAT3	-1.0735
MBP	-0.468125
RPP25	-0.7225
SOSTDC1	0.57175
HRC	-0.90525
TRIM48	0.3875
TMEM133	-0.5855
ECEL1P2	-1.296
HOXC11	1.242
DOK5	-0.2555
HELZ	0.597166666666667
LOC348180	-1.01
MGC33894	0.1155
ADRB3	0.446
DMD	-0.442833333333333
PTRH2	0.15525
MPEG1	3.56066666666667
NDUFA12	0.0735
KRTAP2-4	0.405083333333333
STAMBPL1	-0.756
ADCY2	-0.92
UNQ6125	0.8075
KLHL20	0.359166666666667
SRM	-1.29525
OTC	0.34225
TMIE	0.820666666666667
SNX8	0.22
LIPK	0.3805
CHURC1	0.145416666666667
KLC2	0.642166666666667
HDAC1	-0.518
FAM128A	0.215333333333333
FNDC3B	-0.43
MTCP1	-0.383
WFDC10B	1.9006
PCDHGB3	-0.313
ATRNL1	-0.5931
CAV2	-0.77225
MED26	-0.0923333333333333
DUS1L	0.2895
CHRM3	-1.95275
NEK9	0.13775
WARS2	-0.59725
TBX22	1.211
TOMM40	-0.595
RP6-213H19.1	-1.71083333333333
TUBGCP5	-0.22075
IGSF6	5.49575
TPPP	0.799
UNQ6190	-0.017
GSTM5	1.26375
BTD	-0.0691666666666667
PDCD1LG2	1.472
SNRPB2	0.0286666666666667
ERICH1	-0.637
APOA4	-0.999125
HOXA11	-2.50866666666667
NARG1	-0.5055
MKX	2.6595
RAB28	-0.453285714285714
PKP3	0.40225
SH3GL2	-1.902
CTSO	2.64025
RPN2	0.4504375
IL28RA	0.286166666666667
SFMBT1	0.46225
WDR57	-1.192375
FER1L3	1.01966666666667
HSF5	0.441
TTC9B	0.343
C4BPA	-3.95966666666667
ALB	-3.439
SORBS3	-0.1775
UPF2	0.238
JPH1	2.2805
AGBL2	-0.02
DOPEY1	1.789
TERF1	0.966083333333333
KIF22	0.505
NINJ1	1.3405
SEC61A2	-0.1525
HIST1H1D	1.08266666666667
SFXN4	0.59325
UCP3	0.414
ZNF703	1.885
MYL6B	-0.40875
TREM1	1.20825
OR52E6	0.441
CKMT2	0.14625
HLA-C	2.758125
SLC13A3	-1.097
TIMP4	-1.06775
SLIT2	2.731
RSF1	-0.327611111111111
LONRF1	-1.54457142857143
MON1A	-0.181333333333333
CACNG6	-1.20083333333333
DPPA4	-4.40516666666667
ZSWIM3	0.504
ZNF804A	0.345166666666667
CCIN	0.6445
SLC25A31	0.37625
KCNMB4	-1.24425
RABL5	0.261625
GALNS	-0.6693
STX6	1.38925
HIST1H1C	-0.527833333333333
CIDEB	-0.464875
CASP4	0.265
PDK3	0.3008
KCNJ11	0.542
TPR	0.166375
ZSCAN20	-1.4605
MTX2	-0.00675
HIST1H2BH	-0.40425
LOC283767	-0.08525
LYRM7	-1.33477777777778
BRD3	0.203333333333333
HIST1H2BO	-0.248
MAGEB10	0.446
SLC45A1	0.48325
SERPINA3	3.6932
KIAA0143	2.56325
KCNJ16	0.0515
KRT79	-0.24225
FABP2	-0.6995
NUT	-0.00725000000000001
ZNF57	-0.52625
FBXL4	0.14975
CLEC9A	1.24
UGT8	-1.3825
BMP2K	0.95025
MAPK4	-3.88925
SLC25A23	-0.4294
HINT1	0.1811
KRTAP13-1	0.2425
SFXN5	0.0325
CHCHD2	0.192083333333333
FAM3D	1.4085
NDP	-0.927
RHOBTB1	-0.141666666666667
SLC4A4	-1.07375
RPL38	0.1735
HTF9C	-0.559666666666667
AP2A2	0.066875
ZBTB46	-0.833
MAP7D1	0.041
AOX1	0.369
CYR61	0.146583333333333
DTNA	1.00985714285714
JRKL	-1.03575
TMOD3	0.17375
EEA1	-0.5116
ADCK5	0.6265
IL1R1	1.697
KLK3	0.647571428571429
HRSP12	1.258
KTN1	0.9675
LOH11CR2A	0.5624
RELL2	-1.14375
MAB21L1	0.4065
C20orf59	-0.570333333333333
PHKB	-0.578
ADAM2	-1.8725
TBC1D8B	0.136
FAM13A1	-1.4929375
LAPTM4B	0.378916666666667
LCN8	0.2345
TMEM147	0.937
SYT4	0.098
XPO7	-1.483
C9orf62	0.9285
GPR75	0.1115
TRIM5	0.310125
APOC1	2.1675
RNASE4	0.321666666666667
PARD6B	-1.549125
ARID1A	-0.170916666666667
TPD52L3	0.3091
RRAGB	1.04983333333333
RCN2	-0.736833333333333
HIST2H2BE	0.428875
STARD7	0.01
SHMT2	-1.017
KIAA1751	-0.226333333333333
MLYCD	-0.28875
LOC162632	-0.2996
UQCRH	-1.75175
RP11-217H1.1	0.6945625
SDHA	-0.890666666666667
NCLN	0.0478
ZNF17	-0.0455
RCBTB2	-1.5385
VEGFB	-0.7646
RP4-747L4.3	0.14325
COLQ	0.0417
MPN2	-0.6686
DRG2	-0.35175
KLRB1	6.5685
ALPK2	-2.51125
DNASE2B	0.86625
FLJ23834	0.000666666666666672
AXUD1	0.573166666666667
SAFB	0.0145
NSUN4	-0.55475
RFX2	0.731833333333333
MAPK8IP1	-0.331333333333333
FANCD2	-1.17778571428571
ANKZF1	-2.037
C19orf50	-0.503125
DUSP8	1.130125
SENP5	0.9475
NFKBIL2	-0.1505
LBR	-1.032
IGFL1	0.002
LZTS2	0.08325
IL2RG	1.356
CCDC51	-0.264
KLF3	-0.277625
ANKRD37	-1.5775
KCTD14	0.488333333333333
FZR1	0.08325
SLC44A4	3.2245
ESPL1	-0.399125
GMPR2	-0.6192
TBC1D19	-0.9765
ERGIC1	0.250222222222222
ERBB4	3.641
TSPAN32	1.07891666666667
MAP4	-0.362
GPHN	0.342
SLC6A2	0.222125
HIVEP1	-0.16
DFFB	-0.9408
EIF4EBP2	0.043875
DMRT1	-0.34925
HSPB6	-0.27625
IER2	-0.0868333333333333
AIFM1	0.02225
WWC2	-0.955583333333333
MRPL4	-0.8275
FLJ21062	0.087
EPB41L4A	0.158916666666667
SH2D6	0.49625
TAF4B	-0.951
GAL3ST3	0.067
MALT1	-0.873
RTDR1	2.054
ARVCF	-0.2345
MEX3B	-1.12466666666667
FBXO16	2.3595
KIF7	-1.66675
C1QC	4.02516666666667
ZNF783	-1.329
ZNF85	-0.4365
MMP13	4.5015
KIAA0329	0.472625
RTP3	-0.4335
ZBED3	0.1025
CLGN	-0.697
SLC25A37	-1.98929166666667
hCG_18290	-0.672
OR5AS1	-0.0265
SMARCC2	0.739666666666667
FAM109A	-0.195833333333333
CCDC12	-0.12925
USF2	0.6061
DEPDC7	-1.9525
C20orf24	-0.219666666666667
JMJD3	0.4195
DSP	1.64507142857143
SLIC1	1.088375
FAM20A	1.9
IRF2BP2	1.0775
ZNF230	-0.1735
MSN	-0.253642857142857
SLC9A5	-2.0125
EPDR1	-1.8976
MUSK	0.638666666666667
ZNF434	0.214333333333333
SMARCD1	-0.452
ZFP106	-0.4905
ZNF347	-0.8618
GTF2E1	0.3975
RY1	-0.0411666666666667
ATAD2B	-0.095625
