Hybridization REF	TCGA-AN-A04D-01A-21R-A034-07
PGBD5	0.934833333333334
CCNY	0.318214285714286
RMND5B	0.122416666666667
ZNF257	0.1685
FLJ22167	-0.118875
EXOSC7	-1.71666666666667
ROR2	0.02375
MAOA	1.027875
TNNT3	-0.469
GYPC	-2.366
C7orf33	-0.4425
PLIN	0.195166666666667
LOC90826	0.196
RNF4	-0.5505
F8A1	0.6865
PLEKHG4	-0.87425
GRB2	0.32225
HIST1H2AD	-1.518
DUS3L	-0.631166666666667
EIF1	-0.383333333333333
RP5-1077B9.4	-1.09283333333333
FPGT	2.282
GDF10	-1.69883333333333
COQ9	0.09925
GCC2	-0.0527857142857143
RARRES3	-0.814125
PLXNA1	-0.3639
KIAA0100	-0.1563
PMF1	0.997
FNDC1	4.415
HS2ST1	0.583166666666667
CRELD2	1.3245
C8G	-1.5515
CD82	1.9975
LIM2	-1.2695
UNQ6490	0.06
MMP16	-0.2355
DRD3	-0.50725
C5orf26	-1.15325
C11orf73	-0.0955
PTP4A2	0.794
OR4M2	-0.09
HPCA	-0.364166666666667
SEC14L1	0.144
CHFR	0.33825
EMILIN1	0.516875
NDUFS4	-1.3765
COL18A1	-0.5515
PDZD3	-0.00140000000000001
C9orf16	-0.494166666666667
ERBB2IP	-0.424833333333333
EMX2	1.4725
FUS	-0.01775
TF	-4.1499
CLCN4	0.646833333333333
CXorf56	0.717
C11orf72	0.6375
ELAC2	-0.9995
NPR1	-0.92625
ASS1	-1.40916666666667
USP42	1.264
POLR2J	-0.261
SEC23IP	0.5415
UQCRC1	-0.73375
LOC729603	-0.756
C1orf71	0.035375
POLG	-0.1465
ADAM23	-4.11525
TFR2	-1.63575
RICTOR	-1.4059
MGC39606	1.94475
C19orf55	-0.05275
SNAPC1	-1.989
GNA11	1.450375
CCDC52	1.08183333333333
FSIP1	-0.949
UPF3A	1.271625
IGSF11	-1.68983333333333
LAGE3	0.65
CHST6	1.737
UNC13B	1.16275
TTLL4	1.65675
ZNF687	0.93175
SDC2	-1.5758
COX7A2	0.18725
LAMB4	0.43025
FAM24A	0.8025
LRRTM3	-1.26916666666667
GPHB5	-0.607
OR4C13	-0.381
EIF3EIP	0.445285714285714
HABP4	0.203
TMEM125	3.86475
CNTN2	-0.11075
ASNSD1	0.71775
FUT4	-0.585875
ACF	-3.825
LOC158381	-0.5315
CDH8	-0.2855
AGPS	-0.906
C4orf18	-0.21475
PECI	-0.679333333333333
UNG	0.86075
GSTP1	0.544875
DCUN1D5	-1.3845
DKFZP564J0863	-1.053
SLC9A3R1	1.017875
BCDO2	-0.7735
CHMP7	0.546875
REM2	0.0585
DNHD1	-0.605625
FKBP4	-0.459
ZNF350	0.94225
MGC11102	0.26875
BST1	0.17975
KISS1R	0.28
NCR2	0.3205
DEFB125	-1.331
UBE2W	0.871625
KRT15	4.355375
C10orf99	0.6555
SCN11A	0.2825
GFI1	-2.772
RDHE2	-0.744
FHL1	-1.81516666666667
OSGEP	-0.067
GATA1	-3.8495
SMC6	-0.23025
TTTY14	-1.3025
LPIN3	0.12525
RPL4	-0.4991
RBPMS	1.0201
PRPF3	0.654833333333333
EMR1	-3.1245
SPATA19	0.0015
XCR1	1.2865
IRX3	1.1613
RBM6	-0.8515
KLF4	-2.6058
UNC5CL	-1.87275
SEBOX	-0.146
BTK	-2.7155
KRCC1	0.37075
C6orf27	1.0765
SYTL5	-0.9685
PRND	2.876375
LOC653319	-1.019
PIGL	-1.2345
HUS1	0.310166666666667
SFRS6	-1.099
C17orf77	0.223
UIMC1	-0.795166666666666
FXYD2	-1.7706
LOC283152	1.80325
ZNF667	0.43275
ZCCHC12	-0.00750000000000001
TFEC	0.9495
ATP7B	-1.79333333333333
POLD2	-1.12516666666667
RG9MTD1	0.63125
ACOT2	-1.57233333333333
HIST1H4I	-0.721375
PPARGC1A	-0.5722
ETFA	-2.0533
POLRMT	-0.0655
ZNF146	0.698375
MIA2	-1.173
KLHL6	-2.49866666666667
HOXB5	-2.13825
NENF	1.71633333333333
CUGBP1	-0.23425
PRSS22	2.20616666666667
CASC4	0.2606
CUL4B	0.2414
CENPJ	0.0466
PITX1	0.566166666666667
FLJ31033	-0.804666666666667
CELSR3	-1.351
ZNF568	1.353
ITSN1	-0.977
EHBP1L1	-0.550666666666667
C19orf2	-0.31975
DCTN1	0.09225
LIN28B	-1.95916666666667
TNKS2	-0.32925
C1QBP	-1.48625
CADPS2	0.14
SRMS	0.41475
GJA9	0.159666666666667
MGC24975	-0.0773333333333333
TRIM45	0.529333333333333
TSP50	1.5975
TCP1	-1.145
TMED7	-0.1031
CMA1	0.8975
CENPL	1.04016666666667
PTCRA	-0.3495
FST	-4.841
VWCE	-3.96775
PAWR	0.30125
ABCC12	-0.423666666666667
LDLR	-1.9162
ASTN2	0.3771
LOC441212	-0.61625
GPATCH8	0.4215
TANC2	-0.153916666666667
KIF4A	-0.41725
C18orf18	-2.9425
PGM1	0.17525
KIAA0258	1.41425
CPD	-0.073375
SNCAIP	-1.3875
DCT	-4.565
HLA-DOA	1.52836363636364
OR11L1	0.508
UPK1B	-0.670333333333333
DNAJB4	-0.218
UGT1A8	-0.14325
HIST1H4L	1.151
PECR	-0.888333333333333
HSPA2	1.666
WFIKKN1	-1.784
SERP1	0.310625
SYDE2	1.28725
TACR2	0.406
NUP85	0.54825
CD177	-0.7715
LGR5	-2.7
PIGG	-0.642583333333333
PTHR1	-2.682
RAB5A	-0.5642
FLJ13224	0.2315
USP9Y	-2.07183333333333
C7orf53	-0.588
LRP1B	-0.36475
XAF1	-0.0917
ABCG8	-1.123
ANKDD1A	-0.0545
DAND5	-0.63
SPAG6	0.471166666666667
LINCR	0.46575
ZDHHC22	-1.590625
CCDC60	1.624
THOC7	-1.65
TCTA	-0.5118
OR8K3	0.17625
NY-REN-7	-0.7005
B2M	-0.5865
C6orf141	0.127875
LPPR4	1.3335
SQLE	-0.03175
SEPHS1	1.1045
BTBD14B	0.668571428571428
PLRG1	-0.33525
SPG7	-0.187625
ZNF614	-0.584833333333333
PARD6G	1.50833333333333
INPP5B	0.3887
GRPEL2	0.4055
PPID	-0.7341
TRIM56	-0.666
UBE2J1	-0.108
IL20RA	3.42075
LOC387856	-0.42575
C1orf107	1.11825
UTS2R	0.68575
C19orf22	0.1985
SAFB2	0.503
KIAA0652	-0.155625
KLRG1	-1.55733333333333
MS4A8B	0.214666666666667
FRAG1	0.49
KIAA1546	1.8835
E2F4	-1.784
CLEC4M	0.422666666666667
BTBD14A	-0.66375
KIAA0999	0.4145
GYPA	-3.5638
TAC1	-0.727
TRAIP	-1.039
KIAA0232	0.4586
ERCC8	-1.648
GPX4	1.24025
KIAA0368	-0.705
GPR157	-0.4115
CTAGE4	0.885
C9orf30	-0.720666666666667
OR52A1	0.3235
HSP90B3P	0.175
ALG9	0.6271
BTBD10	0.99
SDK2	0.32325
BAIAP3	-1.48075
RABGGTB	-0.47825
ANKRD40	0.2695
KRT74	1.2575
CALCOCO2	-0.0662142857142857
SNCA	-4.37825
TMSL8	2.659
C2orf53	0.2415
ESRRB	-0.13725
ARHGAP26	-0.587125
TDRD9	-3.5125
HRAS	0.469333333333333
KLRC4	-2.554
JAGN1	-0.951166666666666
BSDC1	2.04625
RNF43	1.6226
NDUFAF1	-1.13325
PHF12	0.68775
OR1L3	0.15975
FOLR2	1.36491666666667
LYZL6	0.472666666666667
tcag7.1260	-0.7205
WSB1	-1.15333333333333
PROS1	-1.7261
OSTN	0.2745
PSMB8	-1.50725
SOCS4	-0.403875
DDIT4L	0.69575
MAS1	-0.5735
MGC34796	-1.24525
CSHL1	0.161833333333333
TBCCD1	0.972666666666667
ZBTB7C	0.4295
AP2S1	-0.024125
P15RS	0.2885
VAT1	-0.1601
SHANK3	1.86333333333333
TUFM	-0.446
THEG	1.24975
KRT34	-1.7785
SGSM3	0.7185
TOMM22	-0.252625
SOCS3	0.499833333333333
CPO	0.5205
POP4	0.13925
BHLHB3	-2.47225
MALL	2.08675
OR1B1	0.5245
PARK2	0.396833333333333
GPR124	-0.27125
LCE1E	0.5975
RUVBL2	-0.57675
CGRRF1	-0.4698
ACPL2	1.1125
WNT10B	-0.96775
BAIAP2L2	-0.478875
ISCA1	0.058
C1orf125	0.8175
RPAP1	-1.51125
RAI16	-0.2995
RPL27	-1.1425
NLRP9	-0.22
EPN1	0.46
LOC388610	-2.351875
SLC35A1	0.2609
GAL	-3.946
SLC14A2	0.2
RDH11	-1.29066666666667
FAM138F	-0.551
AUH	-0.29475
FLJ40243	-0.01675
C14orf129	-0.962666666666667
MBD2	-0.626833333333333
ABHD14B	-1.314
PIGT	0.590125
ALS2CR4	0.541875
ALAS1	0.1205
FOXO1	-0.0121666666666667
CRLF3	-0.28275
C20orf107	-0.524
FARS2	0.595
CCDC28A	0.5015
NPHP3	-0.35325
OR13F1	0.7185
TSEN54	0.8515
DEFB106B	0.3832
OR8B4	0.2185
STH	-0.90625
ZC3H14	-0.7695
CBX2	-0.2635
TMEM49	-1.54475
C6orf21	0.9775
FLJ20920	-0.591625
CRTAP	-1.17221428571429
DDX50	-0.0845
STYXL1	-1.76025
BLVRB	-1.66866666666667
LOC147650	-1.18933333333333
MMP24	0.05225
GRID1	1.42933333333333
BANF1	0.612333333333333
CTAGEP	-0.08475
HMBS	-2.205
SLC25A24	-0.830666666666667
C14orf50	0.0045
MRO	0.9985
SLC25A15	-0.693
FAM84B	0.4503
TDP1	-0.9885
C16orf78	0.496666666666667
C11orf57	1.01375
RFK	-0.663125
ZFYVE9	1.436375
STCH	-1.2582
WIBG	0.777
LOC283871	-0.764166666666667
GBA2	-0.3471
NDUFB3	-0.13325
HSD17B13	-1.28375
GRIN3A	0.778
FMNL1	-0.780166666666667
SEPT7	-0.4564
GNLY	2.0745
GRAMD1C	1.46633333333333
ZNF165	0.81225
USP38	0.91825
FAM83A	-3.44533333333333
C14orf24	0.642666666666666
ARMCX3	1.492625
ARHGDIB	-2.04183333333333
AK1	-0.79975
KIAA1045	-0.2155
DNAJB13	-0.513666666666667
NEU2	0.08
HIST1H4B	0.461333333333333
FAM20B	0.524
HES2	0.693857142857143
FAM73B	-0.6305
LOC388381	-0.17325
INTS7	0.928272727272727
AMPH	-0.4365
ZNF775	-0.114625
UCKL1	-0.674333333333333
C10orf97	-0.291
C1orf161	0.00200000000000001
ALDH1L1	-1.04025
FLJ39378	0.269875
SLC23A1	-2.4855
RBM4B	0.9545
THAP4	-0.0613333333333333
OGFRL1	0.504
KIAA0831	-0.295625
PPP1R15A	0.0868333333333333
C1orf96	1.63957142857143
C12orf11	-1.80625
BMF	2.866625
MAN1A1	-3.209875
KIAA1600	0.395333333333333
NLGN4X	-1.763
ALOX12	-1.00266666666667
RB1CC1	0.521
NEIL2	-0.9617
EIF4E	-0.358818181818182
ABHD5	0.0775
EXOC4	-0.467833333333333
CIP29	0.589
BATF2	-1.3135
SLC29A4	1.3725
HTR4	0.622
EMB	-3.46025
TRAF6	0.56925
LMNB1	0.67125
FAM19A5	-1.036625
SHE	1.74675
PIK3C2B	1.9
C15orf15	-1.27
USP15	-0.3834
TCEAL2	3.8985
C5orf39	-0.534333333333333
PTGER2	-3.38875
SLC31A1	-0.72175
IFT172	0.93375
ADAM29	0.41
GFOD1	0.1255
ST7L	0.798666666666667
C15orf26	-3.44975
PKN3	-1.599
CNTD1	0.6015
COMMD1	0.7865
NTRK2	2.05683333333333
FOXN3	-0.260125
MFGE8	2.5309
PFKFB2	1.56166666666667
TAS2R4	-0.273
ENTHD1	-1.14966666666667
PRMT5	-1.427875
MGC16384	-0.847625
LOC442229	-0.32225
TSKU	-0.5235
KRTCAP3	3.78875
PDLIM1	0.7918
KCNS2	0.3625
RNF126	-0.385833333333333
CEP63	0.11275
CLIC4	-0.017
hCG_1990170	-0.94525
ACR	2.0329
KLK7	5.662
ALOX5AP	0.165625
RIPK3	1.63775
TAS2R9	0.0405
C19orf18	0.3645
BIRC6	0.0627142857142857
ZNF16	2.029
RFT1	-1.0505
SLC8A2	-0.1785
TACC1	-1.340125
ITGAD	-0.13175
SAMHD1	0.02625
SH3PXD2B	1.4251
EPC2	1.678
C20orf85	0.082
ATP13A2	0.238833333333333
KRT4	0.429625
CAPNS1	-0.02975
MDM2	0.7065
PCDH20	0.3855
KCNK9	0.58
OR2C1	0.00649999999999999
KLHDC3	0.0481666666666667
IPPK	0.1305
EFHD2	-1.747125
GALR3	0.7985
NBEA	-2.11533333333333
ABCA6	1.6773
CLDN3	2.36783333333333
AKT2	-0.607642857142857
EGFR	-0.5691
RBM16	0.047125
ZDHHC3	-0.31
SLC25A4	0.4035
CYB5B	-1.32833333333333
CPXM1	-1.28725
NDRG1	0.713
FLJ43826	0.347
OR5L2	0.183
FARP2	-0.5636
MRPL46	-0.670833333333333
LDHAL6B	0.374333333333333
MAPKAPK3	-1.559
NCAM2	-3.81125
PRKD2	-0.0798333333333333
ZFP36L1	0.7362
CYSLTR1	-1.72125
OR4C3	0.22475
HIST1H2AJ	-0.2765
CCNB2	-1.19866666666667
ZNF10	0.535
TMEM175	0.4635
FAM134A	0.435666666666667
TIGD4	-0.1435
PCNP	-0.40125
MGC39715	-0.15175
LQK1	0.0155
CREB1	0.5662
TMPRSS3	-1.61
C4orf32	-2.715625
LAT	-2.78633333333333
KCNA3	-0.5535
SKIV2L2	-1.50925
ROPN1B	4.50775
tcag7.23	-0.4565
CDT1	-1.035125
ZHX2	1.941875
CD28	-3.49175
ZNF624	0.88925
SEPT2	-0.463666666666667
SOHLH2	-0.788375
MCOLN3	0.528125
UNQ1945	0.3275
MASP2	-0.627
ZNRF3	0.3841
GPATCH3	-1.015
AGL	0.39925
QRICH2	3.331
PSD4	0.827666666666667
CCNB1IP1	-1.1335
ENPP7	0.07675
OBFC1	-0.62725
KCNG3	-0.93975
C14orf79	-0.86175
ENPEP	1.57533333333333
SCT	0.3775
SKI	0.8305
SEC61G	-0.49375
CAPN11	0.26575
ATXN7L3	0.51775
DBNDD1	0.471333333333333
FAIM	0.79325
ANKRD36	0.0545
GABRP	5.25866666666667
TACSTD2	1.08783333333333
EIF3J	-1.25125
PPP2R2A	-1.294
TEKT4	0.0828333333333333
PVALB	-4.05066666666667
F10	-3.62083333333333
FAM134C	0.6318
COMP	1.90175
EFCBP1	-3.2875625
SCLT1	1.285125
TAL1	-1.0304
ACSL1	2.54025
ABCC5	0.929416666666667
ABL1	-0.5025
RBBP7	0.22775
PTPRG	-0.442875
NCOR1	-0.7935
SPINK4	-2.4035
TXNRD1	-0.5405
TNRC15	0.375125
C9orf138	0.8755
UBE2H	0.1695
BRDT	0.324
C8orf31	-0.08075
CCNE2	1.52945454545455
SLC6A8	-1.52875
CALCR	-4.79825
PPP1CB	0.742333333333333
ABHD8	0.17725
ARF5	0.3885
SLC24A4	1.2145
CCT3	0.35075
ZNF121	0.717
SLC3A2	-1.012
OR13A1	0.167
SLC5A10	-0.6465
RAD50	-0.46675
IER5	0.757625
MTHFD1L	-1.492875
MBTPS2	-0.35625
MVK	-0.193375
NCL	0.0293
PSMD10	-0.44825
MOBP	0.260125
FLJ32894	-0.2745
HRH1	-1.587
C5orf30	-0.4915
NUDT16L1	0.6085
RASGRP3	6.63033333333333
PRKRIP1	-0.0383
CCDC75	0.80075
LOC253970	0.0875
KIAA1239	-0.71775
MED21	-0.619
SYT11	-0.61375
NTSR2	1.0495
EGFL11	-0.068
CXorf59	-0.12
OR2A25	0.31875
SPTBN2	0.78675
LRMP	-2.24583333333333
RNF111	-0.4545
PTH	0.6205
LOC619208	1.3155
KIAA0895	1.92225
RANBP5	0.880375
P2RY10	-0.837166666666667
NME5	3.40016666666667
DDX21	-0.584
LRSAM1	-0.244
HDAC11	-0.208333333333333
VMO1	1.514
NOLA2	-0.0438333333333333
ADAR	0.689166666666667
MTO1	-0.810166666666667
SF4	-0.123666666666667
P2RX1	-0.579666666666667
HBM	0.46975
EN2	0.679
C14orf172	-0.062
TM9SF2	1.4975
INHBE	-1.406
TCTE3	0.141166666666667
TOX2	-3.4425
CTAGE3	0.078375
HBB	3.1679
MED15	-0.5895
CASR	-0.16175
C6orf66	-0.0778333333333333
MTPN	0.276625
UNC50	-0.37475
C21orf33	-0.632625
IRF2	1.085125
PGR	-3.7756
GPR84	1.16
CROCCL1	-2.65175
SRPX	-3.24575
BRE	-0.138833333333333
FGF10	0.8075
SDC3	1.114
ZRSR1	0.245
DKFZP434P211	-0.5345
SOX6	-1.222
RPUSD2	-0.4645
C14orf173	-0.443916666666667
MAPK11	-0.386666666666667
TBC1D22A	0.434
FAM123A	1.8115
COL4A6	-3.67016666666667
TOMM70A	0.67075
NAB1	2.326
MGC16385	0.62975
TSPAN18	-0.0175
MED31	-0.87725
PLG	-0.54325
CAPSL	1.3415
ZNF532	2.0555
ASB14	0.39
CA8	-4.349
NUDT16P	-1.15833333333333
SLFN11	1.1325
LRRIQ2	1.619
NOL7	-0.0793333333333333
BRMS1L	-0.53825
JARID1A	0.2055
PANK2	-0.25875
ICAM3	-2.0175
MDS1	-1.078
TAF8	-0.801
RNF139	1.49625
ZNF594	-0.440666666666667
ADAM8	-0.130125
SFTPC	-0.25125
MAN2B2	-0.491125
RGS12	0.343625
EIF1AY	-5.35258333333333
LRRIQ1	-2.04883333333333
GPR150	0.7555
CCDC21	-1.05883333333333
PRRG3	2.753
SAA4	-4.61125
RAPGEF5	2.283
ZCCHC2	0.131
MGC39372	-0.121
PPP4R2	0.264833333333333
CDCA2	-0.494666666666667
OR4D5	1.53566666666667
PTGFRN	0.9802
SIGLEC5	0.872333333333333
C19orf61	0.200666666666667
NMUR2	0.272
KIAA1586	0.344833333333333
DAGLA	1.13716666666667
CHCHD6	0.9795
GPR32	0.1755
NEUROD6	0.054
SLC2A4RG	0.698625
CA5B	-0.25675
FBXL3	0.48875
MPHOSPH9	-0.38125
HMG2L1	1.64675
HCN4	0.4505
CEACAM19	0.41475
SH2D4B	0.430333333333333
HFE2	-0.6745
TGM4	0.4352
LYPD2	0.12075
TBC1D15	0.35825
MRPS21	0.1969
NONO	-0.1795
CLEC5A	1.255875
ITCH	-0.3614
MGAT3	-1.594
MBP	-2.82825
RPP25	0.45625
SOSTDC1	0.80925
HRC	-1.297
TRIM48	-0.1235
TMEM133	0.6405
ECEL1P2	-1.39275
HOXC11	2.1005
DOK5	-0.14075
HELZ	1.13583333333333
LOC348180	-0.23325
MGC33894	0.24175
ADRB3	0.326
DMD	0.42775
PTRH2	0.142
MPEG1	2.20383333333333
NDUFA12	1.24533333333333
KRTAP2-4	0.316416666666667
STAMBPL1	-1.46
ADCY2	2.014
UNQ6125	0.453
KLHL20	0.5235
SRM	-1.50025
OTC	-0.181
TMIE	0.495833333333333
SNX8	0.66775
LIPK	0.3365
CHURC1	-1.83491666666667
KLC2	0.314666666666667
HDAC1	1.22783333333333
FAM128A	0.455333333333333
FNDC3B	-0.1635
MTCP1	-0.184166666666667
WFDC10B	-0.0813
PCDHGB3	1.1365
ATRNL1	-3.11
CAV2	-1.963375
MED26	0.936333333333333
DUS1L	1.12175
CHRM3	0.495
NEK9	-1.144
WARS2	0.0065
TBX22	-0.5695
TOMM40	-0.50675
RP6-213H19.1	-1.15066666666667
TUBGCP5	-0.452
IGSF6	4.65525
TPPP	-0.250666666666667
UNQ6190	-0.2265
GSTM5	-0.12325
BTD	-0.830666666666667
PDCD1LG2	-0.7825
SNRPB2	0.185166666666667
ERICH1	-1.164
APOA4	-1.71575
HOXA11	-1.57475
NARG1	-0.159
MKX	-1.69875
RAB28	-1.08342857142857
PKP3	0.7665
SH3GL2	3.79125
CTSO	1.45475
RPN2	0.907875
IL28RA	0.8425
SFMBT1	0.6585
WDR57	-0.751375
FER1L3	-0.839833333333333
HSF5	-0.1395
TTC9B	-0.1385
C4BPA	-3.62983333333333
ALB	-4.47735714285714
SORBS3	0.261375
UPF2	1.4055
JPH1	0.6145
AGBL2	-2.1325
DOPEY1	1.867
TERF1	0.887666666666667
KIF22	-0.298833333333333
NINJ1	0.32725
SEC61A2	0.757583333333333
HIST1H1D	1.0585
SFXN4	-0.445625
UCP3	0.534
ZNF703	-0.00283333333333332
MYL6B	0.467
TREM1	0.94275
OR52E6	0.724
CKMT2	3.44075
HLA-C	0.219375
SLC13A3	-2.48366666666667
TIMP4	-3.309
SLIT2	0.584
RSF1	0.341722222222222
LONRF1	-1.37271428571429
MON1A	-0.197666666666667
CACNG6	-2.07183333333333
DPPA4	-5.58033333333333
ZSWIM3	1.15225
ZNF804A	-0.1565
CCIN	2.045
SLC25A31	0.07675
KCNMB4	-2.43775
RABL5	0.14725
GALNS	0.1369
STX6	2.182125
HIST1H1C	-3.43416666666667
CIDEB	2.069375
CASP4	-1.036
PDK3	0.6134
KCNJ11	0.7555
TPR	0.75825
ZSCAN20	0.3925
MTX2	-0.70975
HIST1H2BH	-1.184
LOC283767	0.11825
LYRM7	-1.22294444444444
BRD3	0.2615
HIST1H2BO	-1.5065
MAGEB10	0.0255
SLC45A1	-0.071
SERPINA3	-0.91005
KIAA0143	0.65975
KCNJ16	1.49033333333333
KRT79	-0.0775
FABP2	-0.755
NUT	-0.41575
ZNF57	0.14675
FBXL4	-0.2815
CLEC9A	0.5795
UGT8	2.57166666666667
BMP2K	-0.01075
MAPK4	1.17925
SLC25A23	-0.5385
HINT1	0.362
KRTAP13-1	0.4425
SFXN5	-0.1496
CHCHD2	0.579416666666667
FAM3D	4.065
NDP	-3.782875
RHOBTB1	0.487833333333333
SLC4A4	-1.023875
RPL38	0.43825
HTF9C	-0.149333333333333
AP2A2	0.882875
ZBTB46	0.4275
MAP7D1	0.37225
AOX1	-3.1615
CYR61	-0.00825000000000003
DTNA	-1.30657142857143
JRKL	1.15075
TMOD3	-1.414
EEA1	0.5159
ADCK5	1.2185
IL1R1	1.54733333333333
KLK3	0.330142857142857
HRSP12	-0.2265
KTN1	-0.39825
LOH11CR2A	-2.1744
RELL2	-0.28575
MAB21L1	1.07575
C20orf59	-1.09633333333333
PHKB	0.06625
ADAM2	-2.05133333333333
TBC1D8B	0.691333333333333
FAM13A1	-0.15225
LAPTM4B	-0.00233333333333332
LCN8	0.1615
TMEM147	1.172
SYT4	0.229166666666667
XPO7	0.353
C9orf62	0.75225
GPR75	1.1015
TRIM5	-0.315375
APOC1	-0.695333333333333
RNASE4	-1.094
PARD6B	-2.05175
ARID1A	0.242
TPD52L3	0.3035
RRAGB	0.0423333333333333
RCN2	0.465333333333333
HIST2H2BE	-1.0505
STARD7	0.06975
SHMT2	-1.2125
KIAA1751	-0.3505
MLYCD	-0.358625
LOC162632	-1.1561
UQCRH	0.771
RP11-217H1.1	0.352125
SDHA	-1.76516666666667
NCLN	0.1332
ZNF17	-0.175833333333333
RCBTB2	-4.21325
VEGFB	-0.4332
RP4-747L4.3	2.15025
COLQ	0.3237
MPN2	-1.26533333333333
DRG2	-0.75975
KLRB1	2.81625
ALPK2	-3.99375
DNASE2B	0.11825
FLJ23834	-0.6225
AXUD1	-0.561333333333333
SAFB	0.382
NSUN4	0.6105
RFX2	0.4485
MAPK8IP1	0.532333333333333
FANCD2	-0.822428571428571
ANKZF1	-1.84066666666667
C19orf50	-0.63375
DUSP8	1.82775
SENP5	0.81675
NFKBIL2	0.29875
LBR	-0.148625
IGFL1	0.1845
LZTS2	0.990625
IL2RG	-1.53525
CCDC51	-1.31475
KLF3	0.25475
ANKRD37	-2.661
KCTD14	2.72233333333333
FZR1	0.25675
SLC44A4	-2.395
ESPL1	-0.368
GMPR2	-1.3704
TBC1D19	-1.06266666666667
ERGIC1	-0.355333333333333
ERBB4	0.5454
TSPAN32	-0.224833333333333
MAP4	-0.73975
GPHN	-1.47575
SLC6A2	2.290875
HIVEP1	0.64675
DFFB	-0.2966
EIF4EBP2	1.18475
DMRT1	5.003
HSPB6	-0.2515
IER2	0.52
AIFM1	-0.28525
WWC2	-1.50808333333333
MRPL4	-0.54675
FLJ21062	-0.0503333333333333
EPB41L4A	0.625333333333333
SH2D6	0.34175
TAF4B	-0.52525
GAL3ST3	0.1595
MALT1	0.0801666666666667
RTDR1	1.3395
ARVCF	1.30875
MEX3B	2.87083333333333
FBXO16	1.357
KIF7	-0.26775
C1QC	3.6645
ZNF783	0.6885
ZNF85	0.37275
MMP13	3.6155
KIAA0329	-0.184875
RTP3	-1.2445
ZBED3	0.72275
CLGN	0.12525
SLC25A37	-0.81625
hCG_18290	-1.484
OR5AS1	0.91
SMARCC2	0.819333333333333
FAM109A	0.516666666666667
CCDC12	-0.72525
USF2	0.6778
DEPDC7	-0.78375
C20orf24	-0.221333333333333
JMJD3	1.275
DSP	2.18557142857143
SLIC1	0.106
FAM20A	2.376375
IRF2BP2	1.953875
ZNF230	-0.2995
MSN	-1.23842857142857
SLC9A5	-2.9375
