Hybridization REF	TCGA-AO-A0JG-01A-31R-A084-07
FLJ13224	-0.6385
USP9Y	-1.51966666666667
C7orf53	-0.535
LRP1B	-0.296
XAF1	2.194
ABCG8	-1.0365
ANKDD1A	-0.463
DAND5	-1.7435
SPAG6	0.506833333333333
LINCR	0.69825
ZDHHC22	-1.609125
CCDC60	0.3035
THOC7	-1.749
TCTA	0.3851
OR8K3	0.47525
NY-REN-7	-0.857
B2M	2.06183333333333
C6orf141	0.682625
LPPR4	2.941
SQLE	-0.870125
SEPHS1	-0.61925
BTBD14B	0.352857142857143
PLRG1	-0.20525
SPG7	-0.111
ZNF614	0.274666666666667
PARD6G	0.885
INPP5B	0.2631
GRPEL2	-0.42
PPID	-0.5654
TRIM56	-0.4255
UBE2J1	-0.319375
IL20RA	5.726
LOC387856	1.20925
C1orf107	0.6175
UTS2R	0.82875
C19orf22	-0.49225
SAFB2	0.3355
KIAA0652	0.386
KLRG1	1.23833333333333
MS4A8B	0.439666666666667
FRAG1	0.012
KIAA1546	0.8435
E2F4	-1.0662
CLEC4M	0.3465
BTBD14A	-1.47375
KIAA0999	1.1841
GYPA	-3.495
TAC1	0.2227
TRAIP	-2.598
KIAA0232	1.0564
ERCC8	-1.006375
GPX4	0.479125
KIAA0368	0.37425
GPR157	-1.052
CTAGE4	1.9055
C9orf30	-1.64533333333333
OR52A1	0.3555
HSP90B3P	-0.7895
ALG9	-0.8522
BTBD10	0.93075
SDK2	0.16225
BAIAP3	-0.29075
RABGGTB	-0.702125
ANKRD40	0.954333333333333
KRT74	0.9355
CALCOCO2	1.69435714285714
SNCA	-2.9015
TMSL8	-4.437875
C2orf53	0.09
ESRRB	-0.54475
ARHGAP26	-0.883125
TDRD9	-2.65375
HRAS	0.166333333333333
KLRC4	-1.323
JAGN1	0.150333333333333
BSDC1	1.25825
RNF43	2.4024
NDUFAF1	0.5655
PHF12	0.57425
OR1L3	-0.0615
FOLR2	2.23666666666667
LYZL6	0.0573333333333333
tcag7.1260	-2.026
WSB1	-1.17766666666667
PROS1	-0.4116
OSTN	0.2415
PSMB8	1.2935
SOCS4	0.33025
DDIT4L	1.321
MAS1	0.1535
MGC34796	0.851
CSHL1	0.407166666666667
TBCCD1	0.303166666666667
ZBTB7C	-0.2055
AP2S1	-1.239375
P15RS	0.2379
VAT1	-1.0027
SHANK3	1.27216666666667
TUFM	-0.0968333333333333
THEG	-0.2455
KRT34	-1.7425
SGSM3	-0.758125
TOMM22	-0.6495
SOCS3	1.32633333333333
CPO	0.1355
POP4	0.18625
BHLHB3	0.949
MALL	1.27975
OR1B1	-0.034
PARK2	1.35566666666667
GPR124	1.384625
LCE1E	-0.4355
RUVBL2	-1.096
CGRRF1	0.8887
ACPL2	0.967
WNT10B	-1.8485
BAIAP2L2	-2.424
ISCA1	0.7055
C1orf125	0.152625
RPAP1	-0.542
RAI16	-0.444666666666667
RPL27	-0.97375
NLRP9	0.308
EPN1	-0.258
LOC388610	-2.01625
SLC35A1	0.7432
GAL	-4.52825
SLC14A2	0.42325
RDH11	-0.486666666666667
FAM138F	-0.8555
AUH	0.75725
FLJ40243	0.31525
C14orf129	0.676666666666667
MBD2	-0.376833333333333
ABHD14B	-0.10325
PIGT	1.05425
ALS2CR4	-0.215
ALAS1	-0.2512
FOXO1	1.116
CRLF3	-0.157875
C20orf107	-0.163
FARS2	0.14
CCDC28A	0.3065
NPHP3	-0.564
OR13F1	0.552
TSEN54	-0.34925
DEFB106B	-0.1161
OR8B4	0.4915
STH	-0.46825
ZC3H14	-0.241625
CBX2	-0.491
TMEM49	0.6035
C6orf21	0.214
FLJ20920	2.769125
CRTAP	-0.527214285714286
DDX50	0.0335
STYXL1	-0.01125
BLVRB	0.838333333333333
LOC147650	-0.0805
MMP24	0.30275
GRID1	1.761
BANF1	-1.42166666666667
CTAGEP	0.91925
HMBS	-2.8595
SLC25A24	0.303333333333333
C14orf50	-0.09375
MRO	0.5685
SLC25A15	-1.144
FAM84B	1.9235
TDP1	-0.7535
C16orf78	0.0863333333333333
C11orf57	-0.581
RFK	0.004625
ZFYVE9	0.107875
STCH	-0.5279
WIBG	0.2615
LOC283871	-0.990166666666667
GBA2	-0.5315
NDUFB3	-0.049
HSD17B13	-0.4785
GRIN3A	1.09366666666667
FMNL1	-0.636166666666667
SEPT7	0.0969
GNLY	3.79
GRAMD1C	2.15616666666667
ZNF165	0.90775
USP38	1.31625
FAM83A	-3.81616666666667
C14orf24	1.06275
ARMCX3	1.64075
ARHGDIB	0.294166666666667
AK1	0.29
KIAA1045	0.344
DNAJB13	-0.322833333333333
NEU2	0.2505
HIST1H4B	-1.15216666666667
FAM20B	-0.1648
HES2	-0.0539285714285714
FAM73B	-0.3633
LOC388381	-0.3205
INTS7	-0.338454545454545
AMPH	1.01875
ZNF775	-0.281875
UCKL1	-0.750166666666667
C10orf97	0.0965
C1orf161	0.23625
ALDH1L1	-1.68725
FLJ39378	0.022875
SLC23A1	-0.7335
RBM4B	0.11375
THAP4	0.647666666666667
OGFRL1	-0.0535
KIAA0831	0.50775
PPP1R15A	-0.190666666666667
C1orf96	0.417428571428571
C12orf11	-2.26925
BMF	0.877875
MAN1A1	-0.930125
KIAA1600	1.3045
NLGN4X	0.85625
ALOX12	-1.185
RB1CC1	0.2014
NEIL2	-0.215
EIF4E	0.0361818181818182
ABHD5	-0.5725
EXOC4	-0.1455
CIP29	-0.116333333333333
BATF2	0.9385
SLC29A4	-1.16825
HTR4	0.6055
EMB	-0.211
TRAF6	1.06625
LMNB1	-3.02925
FAM19A5	0.2695
SHE	2.6715
PIK3C2B	1.6155
C15orf15	-0.3798
USP15	0.3453
TCEAL2	1.0745
C5orf39	-0.2495
PTGER2	-0.67575
SLC31A1	-0.667875
IFT172	0.1395
ADAM29	0.3325
GFOD1	0.1535
ST7L	1.071
C15orf26	-3.27225
PKN3	-0.94125
CNTD1	2.28
COMMD1	0.3005
NTRK2	3.05491666666667
FOXN3	1.16375
MFGE8	-0.8225
PFKFB2	0.5395
TAS2R4	-0.25575
ENTHD1	0.922666666666667
PRMT5	-0.76325
MGC16384	-1.214625
LOC442229	-0.764
TSKU	-0.535125
KRTCAP3	3.224
PDLIM1	0.8571
KCNS2	-0.05375
RNF126	-0.545166666666667
CEP63	0.107625
CLIC4	0.212125
hCG_1990170	0.95725
ACR	0.8662
KLK7	2.9335
ALOX5AP	2.60825
RIPK3	2.8375
TAS2R9	0.2005
C19orf18	1.3085
BIRC6	0.143571428571429
ZNF16	1.6455
RFT1	-1.23725
SLC8A2	-0.917
TACC1	-0.138625
ITGAD	2.601
SAMHD1	1.43625
SH3PXD2B	1.3232
EPC2	1.50625
C20orf85	1.050125
ATP13A2	-0.5495
KRT4	0.448375
CAPNS1	-0.04075
MDM2	-0.1045
PCDH20	3.55525
KCNK9	0.339
OR2C1	0.178
KLHDC3	-1.524
IPPK	1.077
EFHD2	-0.642375
GALR3	0.76475
NBEA	0.621
ABCA6	3.7203
CLDN3	1.38366666666667
AKT2	0.0417857142857143
EGFR	-0.9597
RBM16	0.423
ZDHHC3	-0.0837
SLC25A4	0.725833333333333
CYB5B	-0.793166666666667
CPXM1	0.177
NDRG1	-1.01661538461538
FLJ43826	0.35375
OR5L2	0.215166666666667
FARP2	0.5398
MRPL46	-0.220583333333333
LDHAL6B	0.471833333333333
MAPKAPK3	-0.888166666666667
NCAM2	0.87125
PRKD2	0.157833333333333
ZFP36L1	1.1903
CYSLTR1	0.16025
OR4C3	-0.21175
HIST1H2AJ	2.437
CCNB2	-3.71333333333333
ZNF10	0.987375
TMEM175	0.428
FAM134A	1.173
TIGD4	0.052
PCNP	-0.16975
MGC39715	0.4325
LQK1	-0.51425
CREB1	1.1777
TMPRSS3	-1.82575
C4orf32	0.732625
LAT	-0.256416666666667
KCNA3	0.6755
SKIV2L2	-0.396
ROPN1B	-0.00849999999999999
tcag7.23	-0.1225
CDT1	-3.669
ZHX2	1.531375
CD28	-1.3665
ZNF624	1.1345
SEPT2	-0.145333333333333
SOHLH2	0.253
MCOLN3	-0.7845
UNQ1945	0.417
MASP2	-0.886
ZNRF3	-0.4686
GPATCH3	-0.225
AGL	4.870125
QRICH2	-0.3335
PSD4	1.52316666666667
CCNB1IP1	-1.9685
ENPP7	0.0635
OBFC1	0.4205
KCNG3	-2.3835
C14orf79	0.079
ENPEP	2.876
SCT	0.492
SKI	0.45675
SEC61G	-1.8515
CAPN11	0.116
ATXN7L3	-0.71575
DBNDD1	-0.469666666666667
FAIM	0.14175
ANKRD36	-0.573
GABRP	3.57583333333333
TACSTD2	2.40616666666667
EIF3J	-0.133
PPP2R2A	-0.7785
TEKT4	0.0711666666666666
PVALB	2.17566666666667
F10	-2.03116666666667
FAM134C	0.6625
COMP	3.760625
EFCBP1	-2.29093333333333
SCLT1	0.976875
TAL1	-0.644
ACSL1	1.33275
ABCC5	0.739916666666667
ABL1	-0.437555555555556
RBBP7	0.0426666666666667
PTPRG	-0.5405
NCOR1	-0.4945
SPINK4	-2.31233333333333
TXNRD1	-0.6149
TNRC15	1.297
C9orf138	0.51525
UBE2H	0.808166666666667
BRDT	2.65183333333333
C8orf31	-0.04725
CCNE2	-2.42945454545455
SLC6A8	-2.68625
CALCR	-3.6795
PPP1CB	0.674083333333333
ABHD8	-0.3915
ARF5	0.0159
SLC24A4	0.9655
CCT3	0.1115
ZNF121	0.68525
SLC3A2	-1.3823
OR13A1	-0.061
SLC5A10	0.694
RAD50	0.19825
IER5	-0.06275
MTHFD1L	-2.856125
MBTPS2	0.15625
MVK	-0.769625
NCL	-0.0114
PSMD10	-0.01675
MOBP	0.255875
FLJ32894	-0.668
HRH1	-0.675333333333333
C5orf30	1.3185
NUDT16L1	1.0366
RASGRP3	4.0335
PRKRIP1	-0.7156
CCDC75	0.39575
LOC253970	0.219
KIAA1239	0.509
MED21	-0.05475
SYT11	0.89
NTSR2	-0.0575
EGFL11	0.3545
CXorf59	-0.1375
OR2A25	0.298
SPTBN2	-0.785
LRMP	-0.278166666666667
RNF111	0.62
PTH	-0.0915
LOC619208	0.391
KIAA0895	0.62625
RANBP5	-1.20825
P2RY10	2.429
NME5	2.75683333333333
DDX21	-1.00975
LRSAM1	0.398
HDAC11	-0.473333333333333
VMO1	1.139
NOLA2	-0.291333333333333
ADAR	0.860416666666667
MTO1	-0.808166666666667
SF4	-0.048
P2RX1	0.151833333333333
HBM	0.3025
EN2	0.913
C14orf172	-0.6975
TM9SF2	1.1797
INHBE	-1.3315
TCTE3	-0.1815
TOX2	-1.499
CTAGE3	1.149
HBB	4.0163
MED15	-1.159
CASR	-0.06175
C6orf66	-1.135
MTPN	-0.5295
UNC50	0.2955
C21orf33	-0.174125
IRF2	1.338
PGR	-1.20583333333333
GPR84	1.70225
CROCCL1	-0.21175
SRPX	-1.32725
BRE	0.411166666666667
FGF10	0.32975
SDC3	0.0288333333333333
ZRSR1	0.5005
DKFZP434P211	-0.173875
SOX6	0.219
RPUSD2	0.0965
C14orf173	-0.582333333333333
MAPK11	-0.811166666666667
TBC1D22A	-0.265
FAM123A	-1.391
COL4A6	-2.1985
TOMM70A	0.2015
NAB1	-0.897
MGC16385	-0.138375
TSPAN18	0.114166666666667
MED31	0.09675
PLG	-0.85675
CAPSL	1.779
ZNF532	0.5235
ASB14	0.22525
CA8	-2.185
NUDT16P	1.49633333333333
SLFN11	-0.525
LRRIQ2	0.5705
NOL7	0.0906666666666667
BRMS1L	-0.80075
JARID1A	0.582166666666667
PANK2	-0.681
ICAM3	0.403
MDS1	-0.04375
TAF8	-0.71125
RNF139	1.73625
ZNF594	0.500166666666667
ADAM8	2.419625
SFTPC	-0.427375
MAN2B2	1.0125
RGS12	0.301125
EIF1AY	-5.30908333333333
LRRIQ1	-0.852833333333333
GPR150	1.00975
CCDC21	-1.22083333333333
PRRG3	0.70925
SAA4	-3.7815
RAPGEF5	1.618
ZCCHC2	0.335916666666667
MGC39372	0.248
PPP4R2	-0.311833333333333
CDCA2	-3.22216666666667
OR4D5	0.406
PTGFRN	0.3401
SIGLEC5	0.116833333333333
C19orf61	-0.757166666666667
NMUR2	0.61
KIAA1586	-0.653
DAGLA	-0.311166666666667
CHCHD6	-0.18075
GPR32	0.385
NEUROD6	0.106166666666667
SLC2A4RG	-0.075125
CA5B	-0.015
FBXL3	1.71375
MPHOSPH9	-1.7715
HMG2L1	0.13525
HCN4	0.816333333333333
CEACAM19	0.245
SH2D4B	1.15066666666667
HFE2	-0.521
TGM4	0.7502
LYPD2	0.085
TBC1D15	0.16975
MRPS21	-0.6844
NONO	-0.7014
CLEC5A	0.5235
ITCH	-0.1041
MGAT3	-0.686333333333333
MBP	0.0177499999999999
RPP25	-1.46425
SOSTDC1	1.15
HRC	-0.4165
TRIM48	-0.0465
TMEM133	0.81525
ECEL1P2	-1.20475
HOXC11	-1.093
DOK5	-0.6595
HELZ	0.0931666666666667
LOC348180	-0.52275
MGC33894	0.04475
ADRB3	0.1215
DMD	0.157333333333333
PTRH2	0.90375
MPEG1	3.63433333333333
NDUFA12	0.1675
KRTAP2-4	-0.0383333333333334
STAMBPL1	-0.327
ADCY2	-0.4795
UNQ6125	0.391
KLHL20	0.740333333333333
SRM	-1.81875
OTC	-0.10275
TMIE	0.180166666666667
SNX8	-0.43375
LIPK	0.136
CHURC1	0.190416666666667
KLC2	-0.108166666666667
HDAC1	-0.258666666666667
FAM128A	0.176166666666667
FNDC3B	0.0274
MTCP1	-0.0563333333333333
WFDC10B	0.0033
PCDHGB3	0.1805
ATRNL1	-1.6311
CAV2	0.224875
MED26	0.481666666666667
DUS1L	0.21875
CHRM3	-0.906
NEK9	0.801
WARS2	0.01275
TBX22	0.024
TOMM40	-1.4695
RP6-213H19.1	-0.579833333333333
TUBGCP5	0.24775
IGSF6	5.1905
TPPP	1.19283333333333
UNQ6190	0.4525
GSTM5	0.547375
BTD	0.5595
PDCD1LG2	0.782666666666667
SNRPB2	-0.590833333333333
ERICH1	-0.687875
APOA4	-1.916375
HOXA11	-1.88025
NARG1	-0.191375
MKX	-0.37875
RAB28	0.141642857142857
PKP3	0.555
SH3GL2	-3.0795
CTSO	4.12275
RPN2	-0.09575
IL28RA	-0.563166666666667
SFMBT1	-0.93
WDR57	-0.870625
FER1L3	1.54291666666667
HSF5	0.379666666666667
TTC9B	1.13575
C4BPA	-3.41033333333333
ALB	-3.93771428571429
SORBS3	0.039375
UPF2	0.168
JPH1	-0.5235
AGBL2	1.204
DOPEY1	1.445
TERF1	0.270583333333333
KIF22	-0.9455
NINJ1	1.643
SEC61A2	-0.614416666666667
HIST1H1D	0.254166666666667
SFXN4	-0.3575
UCP3	0.2523
ZNF703	0.456166666666667
MYL6B	-1.01975
TREM1	0.5665
OR52E6	0.328
CKMT2	1.631
HLA-C	2.922875
SLC13A3	-1.28366666666667
TIMP4	-1.342
SLIT2	3.16025
RSF1	3.21938888888889
LONRF1	-1.02935714285714
MON1A	-0.361166666666667
CACNG6	1.11016666666667
DPPA4	-5.57066666666667
ZSWIM3	-0.26175
ZNF804A	0.620166666666667
CCIN	0.71575
SLC25A31	0.106
KCNMB4	-0.37725
RABL5	0.1285
GALNS	-0.00210000000000002
STX6	0.801625
HIST1H1C	2.27
CIDEB	-0.034625
CASP4	0.469666666666667
PDK3	-0.2405
KCNJ11	2.3565
TPR	0.00574999999999999
ZSCAN20	0.38
MTX2	-0.077
HIST1H2BH	1.16325
LOC283767	2.38775
LYRM7	-1.11222222222222
BRD3	0.305
HIST1H2BO	1.017
MAGEB10	0.5725
SLC45A1	1.73025
SERPINA3	-0.0117
KIAA0143	0.5045
KCNJ16	2.9695
KRT79	-0.494
FABP2	-0.967666666666667
NUT	-0.00300000000000003
ZNF57	0.37325
FBXL4	0.297
CLEC9A	2.0005
UGT8	-0.715166666666667
BMP2K	-0.1665
MAPK4	-3.43475
SLC25A23	-0.4827
HINT1	-1.3006
KRTAP13-1	0.0395
SFXN5	0.0743
CHCHD2	-0.212083333333333
FAM3D	1.3235
NDP	-3.384
RHOBTB1	-0.0353333333333333
SLC4A4	-0.90025
RPL38	0.0235
HTF9C	-0.917166666666667
AP2A2	0.760875
ZBTB46	-0.241
MAP7D1	0.0155
AOX1	-0.9105
CYR61	1.75241666666667
DTNA	0.709285714285714
JRKL	-0.266
TMOD3	0.189
EEA1	0.0952
ADCK5	-0.77225
IL1R1	0.992333333333333
KLK3	0.541357142857143
HRSP12	-0.38
KTN1	0.58325
LOH11CR2A	0.1327
RELL2	-1.21
MAB21L1	2.024
C20orf59	-1.72716666666667
PHKB	0.31225
ADAM2	-1.213
TBC1D8B	2.3385
FAM13A1	-0.1960625
LAPTM4B	-0.741
LCN8	-0.017
TMEM147	0.169
SYT4	-0.064
XPO7	-1.316
C9orf62	0.98325
GPR75	0.562
TRIM5	0.333
APOC1	0.449166666666667
RNASE4	1.6825
PARD6B	-2.4375
ARID1A	0.803333333333333
TPD52L3	0.091
RRAGB	0.936833333333333
RCN2	-0.2785
HIST2H2BE	1.7961875
STARD7	-0.121
SHMT2	-1.87975
KIAA1751	0.6335
MLYCD	1.152375
LOC162632	0.3734
UQCRH	-1.0115
RP11-217H1.1	0.7070625
SDHA	-0.748666666666667
NCLN	-1.1212
ZNF17	1.13233333333333
RCBTB2	-0.7815
VEGFB	-0.9047
RP4-747L4.3	0.833
COLQ	0.352
MPN2	-0.680666666666667
DRG2	-1.10925
KLRB1	6.2465
ALPK2	-3.58375
DNASE2B	2.6715
FLJ23834	-0.467333333333333
AXUD1	1.14516666666667
SAFB	0.0389
NSUN4	0.17175
RFX2	0.246666666666667
MAPK8IP1	0.0378333333333333
FANCD2	-1.9625
ANKZF1	-0.906166666666667
C19orf50	-0.7515
DUSP8	1.454875
SENP5	-0.574625
NFKBIL2	-1.1155
LBR	-1.56625
IGFL1	0.545
LZTS2	0.490125
IL2RG	0.383125
CCDC51	-0.83575
KLF3	0.716
ANKRD37	0.0635
KCTD14	0.119833333333333
FZR1	0.1415
SLC44A4	4.3207
ESPL1	-1.70875
GMPR2	-0.0774
TBC1D19	-0.569166666666667
ERGIC1	1.13081481481481
ERBB4	3.8776
TSPAN32	0.820166666666667
MAP4	-0.732875
GPHN	-1.4225
SLC6A2	0.201
HIVEP1	0.60025
DFFB	-0.4243
EIF4EBP2	0.407625
DMRT1	-0.202
HSPB6	-0.05175
IER2	1.175
AIFM1	-0.265
WWC2	-0.184416666666667
MRPL4	-0.87475
FLJ21062	0.396
EPB41L4A	1.56041666666667
SH2D6	0.303
TAF4B	-0.445
GAL3ST3	-0.4505
MALT1	-0.642166666666667
RTDR1	0.01225
ARVCF	-0.59275
MEX3B	0.315833333333333
FBXO16	-2.44375
KIF7	-1.42875
C1QC	3.66483333333333
ZNF783	-0.649
ZNF85	0.5925
MMP13	-0.0355
KIAA0329	1.068125
RTP3	-0.5965
ZBED3	0.291
CLGN	-2.79075
SLC25A37	-1.51054166666667
hCG_18290	-0.5665
OR5AS1	0.07
SMARCC2	0.562916666666667
FAM109A	-0.129166666666667
CCDC12	-0.4115
USF2	0.2556
DEPDC7	-2.80725
C20orf24	-0.669666666666667
JMJD3	0.3555
DSP	-1.3625
SLIC1	0.608375
FAM20A	1.2965
IRF2BP2	1.026375
ZNF230	0.7135
MSN	-0.4365
SLC9A5	-1.9455
EPDR1	-1.2147
MUSK	0.106
ZNF434	-0.0431666666666667
SMARCD1	-0.5225
