Hybridization REF	TCGA-A8-A08J-01A-11R-A00Z-07
MAN1A1	-0.989625
KIAA1600	0.715166666666667
NLGN4X	1.94875
ALOX12	-1.47916666666667
RB1CC1	0.5385
NEIL2	-0.2231
EIF4E	-0.000409090909090891
ABHD5	-0.191
EXOC4	0.0708333333333333
CIP29	0.659666666666667
BATF2	2.22325
SLC29A4	-1.121
HTR4	0.54925
EMB	-0.8585
TRAF6	0.26825
LMNB1	-1.49875
FAM19A5	-0.644
SHE	1.335
PIK3C2B	1.8785
C15orf15	-0.7827
USP15	0.0727
TCEAL2	-0.4915
C5orf39	-0.630833333333333
PTGER2	-0.7295
SLC31A1	-0.761625
IFT172	-0.76275
ADAM29	0.49725
GFOD1	-0.531
ST7L	0.733166666666667
C15orf26	-3.02675
PKN3	-1.59075
CNTD1	2.58933333333333
COMMD1	0.376125
NTRK2	1.19191666666667
FOXN3	-0.3755
MFGE8	-0.00689999999999999
PFKFB2	1.324
TAS2R4	-0.109
ENTHD1	0.311
PRMT5	-0.814125
MGC16384	-0.45275
LOC442229	-0.25575
TSKU	1.464
KRTCAP3	2.68225
PDLIM1	0.2892
KCNS2	0.285
RNF126	-0.6255
CEP63	0.082875
CLIC4	-0.394125
hCG_1990170	-1.31725
ACR	0.3721
KLK7	0.517
ALOX5AP	3.3155
RIPK3	4.35325
TAS2R9	0.261
C19orf18	1.1915
BIRC6	-0.0431428571428571
ZNF16	1.514
RFT1	-0.034
SLC8A2	-0.74675
TACC1	-0.09375
ITGAD	1.74925
SAMHD1	1.62175
SH3PXD2B	0.9518
EPC2	0.6045
C20orf85	0.429625
ATP13A2	-0.166166666666667
KRT4	0.702875
CAPNS1	0.52775
MDM2	0.11
PCDH20	2.977
KCNK9	0.182
OR2C1	0.1775
KLHDC3	-1.18833333333333
IPPK	0.9285
EFHD2	-0.454125
GALR3	0.83975
NBEA	0.672333333333333
ABCA6	1.8822
CLDN3	1.8475
AKT2	-0.680928571428572
EGFR	-1.7829
RBM16	-0.32025
ZDHHC3	0.8982
SLC25A4	0.592333333333333
CYB5B	-1.5095
CPXM1	0.05025
NDRG1	-0.191153846153846
FLJ43826	0.12825
OR5L2	-0.066
FARP2	0.6121
MRPL46	-0.0720833333333333
LDHAL6B	0.238333333333333
MAPKAPK3	0.1695
NCAM2	-1.61425
PRKD2	0.625333333333333
ZFP36L1	0.7849
CYSLTR1	-0.099
OR4C3	0.6795
HIST1H2AJ	1.9415
CCNB2	-1.83411111111111
ZNF10	-0.175375
TMEM175	0.5365
FAM134A	0.5475
TIGD4	-0.138
PCNP	-0.54225
MGC39715	0.29775
LQK1	-2.35025
CREB1	0.1284
TMPRSS3	-1.448
C4orf32	0.865625
LAT	-2.008
KCNA3	-0.4135
SKIV2L2	-1.294
ROPN1B	-2.687
tcag7.23	-0.991
CDT1	-1.980125
ZHX2	1.610875
CD28	-3.55425
ZNF624	0.6965
SEPT2	-0.2615
SOHLH2	-2.06825
MCOLN3	0.589125
UNQ1945	0.65
MASP2	-0.373
ZNRF3	-0.1252
GPATCH3	-0.199
AGL	1.75
QRICH2	-0.5275
PSD4	1.34566666666667
CCNB1IP1	-2.5
ENPP7	0.16325
OBFC1	-0.03975
KCNG3	-3.2335
C14orf79	0.605333333333333
ENPEP	2.25966666666667
SCT	2.3675
SKI	0.634625
SEC61G	-0.37925
CAPN11	-0.005
ATXN7L3	-0.05175
DBNDD1	0.9295
FAIM	-0.16925
ANKRD36	-0.2725
GABRP	-0.314
TACSTD2	2.2194
EIF3J	-0.64875
PPP2R2A	-1.506
TEKT4	0.462333333333333
PVALB	2.11083333333333
F10	-2.8635
FAM134C	0.831
COMP	4.718125
EFCBP1	-2.7380625
SCLT1	0.309375
TAL1	-1.1899
ACSL1	1.75925
ABCC5	1.8615
ABL1	-0.233055555555556
RBBP7	-0.0625
PTPRG	-0.527125
NCOR1	-0.2113
SPINK4	-1.81283333333333
TXNRD1	-0.6134
TNRC15	0.656625
C9orf138	0.352571428571429
UBE2H	0.7355
BRDT	0.192
C8orf31	0.0575
CCNE2	0.609818181818182
SLC6A8	-1.954375
CALCR	-3.165
PPP1CB	0.331333333333333
ABHD8	-0.6145
ARF5	0.1927
SLC24A4	0.76125
CCT3	0.07275
ZNF121	-0.115125
SLC3A2	0.0308
OR13A1	0.8585
SLC5A10	0.704
RAD50	0.298625
IER5	0.55025
MTHFD1L	-1.96375
MBTPS2	0.283
MVK	0.88225
NCL	-0.7492
PSMD10	0.339
MOBP	0.3
FLJ32894	-0.767
HRH1	0.202666666666667
C5orf30	1.5855
NUDT16L1	0.686
RASGRP3	3.98833333333333
PRKRIP1	-0.0542
CCDC75	0.12125
LOC253970	-0.03925
KIAA1239	-0.16425
MED21	0.0295
SYT11	0.433916666666667
NTSR2	-0.5365
EGFL11	-0.259
CXorf59	0.7205
OR2A25	0.31025
SPTBN2	-0.33075
LRMP	-1.2714
RNF111	0.33
PTH	-0.166
LOC619208	-0.412166666666667
KIAA0895	0.19325
RANBP5	-0.766375
P2RY10	2.43
NME5	3.19833333333333
DDX21	-1.8735
LRSAM1	0.6665
HDAC11	1.19866666666667
VMO1	1.795
NOLA2	0.00433333333333333
ADAR	1.48675
MTO1	-1.5045
SF4	0.248166666666667
P2RX1	-0.569166666666667
HBM	0.3095
EN2	1.0495
C14orf172	0.623
TM9SF2	1.2822
INHBE	-2.0285
TCTE3	-0.349727272727273
TOX2	-2.679
CTAGE3	0.5965
HBB	2.4576
MED15	-0.8725
CASR	0.2145
C6orf66	-1.37766666666667
MTPN	0.278625
UNC50	0.21025
C21orf33	0.604
IRF2	0.82625
PGR	-1.9515
GPR84	2.439
CROCCL1	-3.01575
SRPX	-1.26725
BRE	0.428833333333333
FGF10	0.81975
SDC3	-0.575166666666667
ZRSR1	0.196333333333333
DKFZP434P211	-0.006375
SOX6	-0.295
RPUSD2	-0.1225
C14orf173	-0.00274999999999998
MAPK11	0.296333333333333
TBC1D22A	0.628
FAM123A	-1.938
COL4A6	-2.23416666666667
TOMM70A	0.00125
NAB1	-0.413
MGC16385	0.13475
TSPAN18	0.4215
MED31	0.41125
PLG	-0.1455
CAPSL	2.71
ZNF532	0.3025
ASB14	0.492
CA8	0.18575
NUDT16P	1.77166666666667
SLFN11	0.2885
LRRIQ2	0.041
NOL7	-0.0861666666666667
BRMS1L	-0.783875
JARID1A	0.552333333333333
PANK2	-0.71375
ICAM3	-0.758
MDS1	-0.29125
TAF8	-0.34675
RNF139	1.69625
ZNF594	-0.4215
ADAM8	3.37125
SFTPC	-0.610125
MAN2B2	1.38625
RGS12	0.3121875
EIF1AY	-4.582
LRRIQ1	-0.571666666666667
GPR150	0.88125
CCDC21	-1.81133333333333
PRRG3	0.4995
SAA4	-4.11175
RAPGEF5	2.10475
ZCCHC2	0.943833333333334
MGC39372	-0.3235
PPP4R2	0.4215
CDCA2	-2.37833333333333
OR4D5	-0.0528333333333334
PTGFRN	0.8817
SIGLEC5	0.9315
C19orf61	0.447833333333333
NMUR2	0.083
KIAA1586	-1.63216666666667
DAGLA	-0.369666666666667
CHCHD6	0.09275
GPR32	1.308
NEUROD6	0.2185
SLC2A4RG	0.71875
CA5B	0.168
FBXL3	1.19975
MPHOSPH9	-0.84425
HMG2L1	-0.1675
HCN4	0.404333333333333
CEACAM19	0.15075
SH2D4B	0.386666666666667
HFE2	-1.9605
TGM4	0.323
LYPD2	-0.11075
TBC1D15	0.566
MRPS21	-0.8149
NONO	-0.6369
CLEC5A	2.23
ITCH	-0.3558
MGAT3	-0.894833333333333
MBP	-0.934625
RPP25	0.20375
SOSTDC1	-2.46275
HRC	-0.4595
TRIM48	0.012
TMEM133	-0.436
ECEL1P2	-1.68175
HOXC11	0.848
DOK5	-0.876
HELZ	1.17266666666667
LOC348180	-0.496
MGC33894	0.43775
ADRB3	0.3495
DMD	-0.468166666666667
PTRH2	1.68
MPEG1	3.29016666666667
NDUFA12	0.731666666666667
KRTAP2-4	0.528909090909091
STAMBPL1	-1.78666666666667
ADCY2	-1.1755
UNQ6125	0.309
KLHL20	-0.129166666666667
SRM	-1.32375
OTC	-0.26175
TMIE	-0.163333333333333
SNX8	-0.12825
LIPK	0.1005
CHURC1	-0.430916666666667
KLC2	0.3945
HDAC1	-0.595833333333333
FAM128A	-0.393833333333333
FNDC3B	-0.3082
MTCP1	-0.518333333333333
WFDC10B	0.0515
PCDHGB3	-0.597
ATRNL1	-2.75077777777778
CAV2	-1.014625
MED26	-0.4535
DUS1L	0.4285
CHRM3	-0.12375
NEK9	0.037
WARS2	-0.2205
TBX22	0.532
TOMM40	-0.6475
RP6-213H19.1	-0.710333333333333
TUBGCP5	-0.15875
IGSF6	5.20925
TPPP	0.0536
UNQ6190	0.188
GSTM5	0.525875
BTD	-0.0106666666666667
PDCD1LG2	0.305333333333333
SNRPB2	0.762166666666667
ERICH1	0.080375
APOA4	-1.783875
HOXA11	-2.27
NARG1	-0.186375
MKX	-1.0395
RAB28	-0.722
PKP3	1.099
SH3GL2	-1.4415
CTSO	3.1915
RPN2	1.3850625
IL28RA	0.7095
SFMBT1	0.11
WDR57	-1.43625
FER1L3	0.196916666666667
HSF5	-0.4034
TTC9B	0.54725
C4BPA	-4.43233333333333
ALB	-4.48453846153846
SORBS3	-0.375
UPF2	0.2005
JPH1	-0.3975
AGBL2	-0.2485
DOPEY1	1.046
TERF1	0.365166666666667
KIF22	-0.314
NINJ1	0.782
SEC61A2	-0.0346666666666667
HIST1H1D	1.308
SFXN4	0.1735
UCP3	0.0802
ZNF703	0.787
MYL6B	-1.71825
TREM1	3.313
OR52E6	-0.133
CKMT2	0.66175
HLA-C	2.4175
SLC13A3	0.430833333333333
TIMP4	-2.77575
SLIT2	1.5695
RSF1	-0.234444444444444
LONRF1	-1.37542857142857
MON1A	0.0301666666666667
CACNG6	1.883
DPPA4	-5.0005
ZSWIM3	1.203
ZNF804A	0.439333333333333
CCIN	1.00875
SLC25A31	0.39825
KCNMB4	-0.763
RABL5	0.370375
GALNS	-0.3398
STX6	0.98525
HIST1H1C	1.669
CIDEB	-1.0055
CASP4	-0.167833333333333
PDK3	0.3509
KCNJ11	1.5655
TPR	-0.614
ZSCAN20	-0.8995
MTX2	0.19925
HIST1H2BH	1.214
LOC283767	0.6955
LYRM7	-2.21255555555556
BRD3	0.283166666666667
HIST1H2BO	0.95925
MAGEB10	0.428
SLC45A1	0.5835
SERPINA3	-2.7185
KIAA0143	2.252
KCNJ16	-0.818
KRT79	0.434
FABP2	-0.65025
NUT	-0.31825
ZNF57	-0.5405
FBXL4	-0.28425
CLEC9A	0.018
UGT8	-0.7545
BMP2K	0.25175
MAPK4	-3.586
SLC25A23	-0.8851
HINT1	-0.5768
KRTAP13-1	0.66
SFXN5	-0.0111
CHCHD2	-0.1095
FAM3D	0.6245
NDP	-2.5155
RHOBTB1	-0.3625
SLC4A4	-2.336375
RPL38	-0.2075
HTF9C	-0.872666666666667
AP2A2	0.42825
ZBTB46	-0.3005
MAP7D1	-0.015125
AOX1	-2.43016666666667
CYR61	-0.635666666666667
DTNA	0.973642857142857
JRKL	-1.05625
TMOD3	-0.29075
EEA1	0.4559
ADCK5	0.8405
IL1R1	0.826333333333333
KLK3	0.408
HRSP12	-0.15325
KTN1	0.41375
LOH11CR2A	0.002
RELL2	0.686
MAB21L1	0.73275
C20orf59	-1.18916666666667
PHKB	-0.4735
ADAM2	-2.01133333333333
TBC1D8B	1.18333333333333
FAM13A1	-1.4896
LAPTM4B	-1.32908333333333
LCN8	0.1005
TMEM147	0.556
SYT4	6.89383333333333
XPO7	-0.6905
C9orf62	1.1375
GPR75	0.074
TRIM5	-0.0885
APOC1	0.647
RNASE4	-1.377
PARD6B	-1.704125
ARID1A	-0.144
TPD52L3	0.467333333333333
RRAGB	0.793
RCN2	-0.947833333333334
HIST2H2BE	1.582625
STARD7	-0.248
SHMT2	-0.5875
KIAA1751	-0.062
MLYCD	0.890625
LOC162632	1.7022
UQCRH	-2.00175
RP11-217H1.1	0.7439375
SDHA	-0.676833333333333
NCLN	-0.2257
ZNF17	0.449166666666667
RCBTB2	-1.1935
VEGFB	0.2295
RP4-747L4.3	-0.412
COLQ	0.0274
MPN2	-1.015
DRG2	-0.406
KLRB1	3.7895
ALPK2	-0.824
DNASE2B	1.254
FLJ23834	-1.477
AXUD1	1.18416666666667
SAFB	-0.2882
NSUN4	-0.41075
RFX2	-0.440166666666667
MAPK8IP1	0.434
FANCD2	-1.17764285714286
ANKZF1	-1.41566666666667
C19orf50	-0.779625
DUSP8	2.38625
SENP5	0.72525
NFKBIL2	-0.0865
LBR	-1.58075
IGFL1	1.754
LZTS2	-0.006875
IL2RG	-0.711875
CCDC51	0.314
KLF3	-0.067625
ANKRD37	0.36
KCTD14	-2.173
FZR1	0.159166666666667
SLC44A4	0.0422
ESPL1	-0.417875
GMPR2	0.0627
TBC1D19	-0.801666666666667
ERGIC1	1.69666666666667
ERBB4	3.1333
TSPAN32	0.0121666666666667
MAP4	0.14925
GPHN	0.008
SLC6A2	0.076875
HIVEP1	0.30075
DFFB	-0.7827
EIF4EBP2	0.6965
DMRT1	-0.31225
HSPB6	-0.05275
IER2	0.0973333333333333
AIFM1	0.6825
WWC2	0.378916666666667
MRPL4	-0.75775
FLJ21062	-0.146833333333333
EPB41L4A	1.59616666666667
SH2D6	0.373
TAF4B	-1.897
GAL3ST3	-0.755
MALT1	-1.25866666666667
RTDR1	-0.44
ARVCF	-0.37325
MEX3B	-0.332666666666667
FBXO16	0.78125
KIF7	-1.37975
C1QC	4.49416666666667
ZNF783	-0.813333333333333
ZNF85	-0.77625
MMP13	7.7095
KIAA0329	0.471375
RTP3	-0.693
ZBED3	-1.1435
CLGN	-1.92925
SLC25A37	-2.30558333333333
hCG_18290	-0.6835
OR5AS1	0.7555
SMARCC2	0.5
FAM109A	0.344
CCDC12	-0.03175
USF2	0.3848
DEPDC7	-2.02875
C20orf24	0.241666666666667
JMJD3	1.1635
DSP	-0.362071428571429
SLIC1	0.232625
FAM20A	1.597625
IRF2BP2	-0.289625
ZNF230	-0.0045
MSN	-0.772571428571428
SLC9A5	-1.3785
EPDR1	-1.0687
MUSK	0.511333333333333
ZNF434	-0.410333333333333
SMARCD1	-0.658166666666667
ZFP106	-0.402
ZNF347	0.3604
