Hybridization REF	TCGA-A8-A09B-01A-11R-A00Z-07
MT1JP	-1.14416666666667
PHF20	0.2395625
CPNE4	-0.07725
GTPBP1	-0.6285
RAB33B	0.402666666666667
ALDOC	-2.87025
ZNF212	0.0335
NUDT1	-0.616333333333333
RFPL2	0.11175
ZNF83	0.418666666666667
GDPD5	-1.357875
PDCD4	1.5054
CEP350	0.858
OR10A2	0.297
CST7	-0.05175
CIAO1	-1.03875
SELL	0.88475
OR8J3	-0.3555
LTBP4	-0.293833333333333
SIRT6	0.23225
CCL19	3.48325
PPIL1	-0.724166666666667
GBP7	0.4365
STK17A	-1.35
ABR	0.5095
OR9G1	-0.462
FOXE1	-0.39325
CNGA3	0.7895
GML	0.4145
CD38	-3.8775
ZDHHC6	0.342333333333333
NEFH	-2.37175
CTDSP2	0.602916666666667
PGBD5	-1.35516666666667
CCNY	0.0722142857142857
RMND5B	0.850583333333333
ZNF257	-2.06125
FLJ22167	-0.510875
EXOSC7	-0.565333333333333
ROR2	1.06075
MAOA	2.744375
TNNT3	1.613
GYPC	-1.1445
C7orf33	-0.00750000000000001
PLIN	3.591
LOC90826	-0.273
RNF4	-0.2185
F8A1	0.585
PLEKHG4	-2.116
GRB2	0.39275
HIST1H2AD	0.21875
DUS3L	-0.9735
EIF1	-0.265666666666667
RP5-1077B9.4	-0.713666666666667
FPGT	1.53575
GDF10	0.439333333333333
COQ9	-0.1585
GCC2	-0.0412857142857143
RARRES3	2.950375
PLXNA1	-0.5816
KIAA0100	0.4434
PMF1	0.5915
FNDC1	4.8735
HS2ST1	-0.66
CRELD2	0.44875
C8G	-1.796
CD82	0.9505
LIM2	-1.044
UNQ6490	-0.3485
MMP16	0.4685
DRD3	-0.1955
C5orf26	-1.38325
C11orf73	-0.83825
PTP4A2	1.572125
OR4M2	0.5545
HPCA	-1.01816666666667
SEC14L1	-0.437666666666667
CHFR	-0.568125
EMILIN1	0.62675
NDUFS4	0.2385
COL18A1	0.05525
PDZD3	0.1766
C9orf16	-0.4405
ERBB2IP	0.634666666666667
EMX2	3.5095
FUS	-0.3785
TF	-3.4601
CLCN4	-0.551333333333333
CXorf56	0.7085
C11orf72	0.15225
ELAC2	-0.142333333333333
NPR1	-0.45975
ASS1	-1.29916666666667
USP42	0.603125
POLR2J	-0.4465
SEC23IP	0.568
UQCRC1	0.231
LOC729603	-0.454
C1orf71	0.475
POLG	-2.371
ADAM23	-3.00625
TFR2	-1.35425
RICTOR	-0.5499
MGC39606	0.3415
C19orf55	0.0785
SNAPC1	-1.83583333333333
GNA11	0.980625
CCDC52	0.102666666666667
FSIP1	4.1545
UPF3A	-0.8375
IGSF11	-2.7085
LAGE3	0.61125
CHST6	-1.7605
UNC13B	0.899375
TTLL4	-1.755375
ZNF687	0.553625
SDC2	-0.56
COX7A2	0.179
LAMB4	-0.19325
FAM24A	0.478
LRRTM3	-1.6575
GPHB5	-0.293
OR4C13	0.6325
EIF3EIP	-0.197071428571429
HABP4	-0.643
TMEM125	3.60225
CNTN2	-0.228875
ASNSD1	-0.2875
FUT4	-0.563875
ACF	-3.37
LOC158381	0.0775
CDH8	-0.0565
AGPS	-0.359833333333333
C4orf18	2.776875
PECI	0.152666666666667
UNG	-0.801125
GSTP1	-2.222
DCUN1D5	-1.875
DKFZP564J0863	-1.2775
SLC9A3R1	2.0195
BCDO2	-1.07275
CHMP7	0.332375
REM2	0.4805
DNHD1	-0.352125
FKBP4	0.5895
ZNF350	0.8385
MGC11102	-0.59525
BST1	0.481
KISS1R	0.2935
NCR2	0.256
DEFB125	-0.247
UBE2W	1.125125
KRT15	4.492375
C10orf99	0.126
SCN11A	0.01725
GFI1	-2.54775
RDHE2	3.35566666666667
FHL1	-0.3805
OSGEP	-0.0441666666666667
GATA1	-3.244
SMC6	-0.85175
TTTY14	-1.07075
LPIN3	0.1555
RPL4	-0.7881
RBPMS	1.1133
PRPF3	0.352833333333333
EMR1	-2.4015
SPATA19	-0.12125
XCR1	0.3685
IRX3	2.0273
RBM6	0.01075
KLF4	-0.8224
UNC5CL	1.31925
SEBOX	-0.3295
BTK	-1.00425
KRCC1	1.04425
C6orf27	1.0815
SYTL5	0.714
PRND	1.704625
LOC653319	-1.3775
PIGL	-0.833875
HUS1	0.0993333333333333
SFRS6	0.254
C17orf77	0.1645
UIMC1	-0.286166666666667
FXYD2	-1.7951
LOC283152	1.7305
ZNF667	-1.32325
ZCCHC12	-1.20825
TFEC	1.8778
ATP7B	-0.027
POLD2	-0.892666666666667
RG9MTD1	-0.185
ACOT2	0.821166666666667
HIST1H4I	-0.54975
PPARGC1A	-2.7185
ETFA	-1.8326
POLRMT	-0.12425
ZNF146	-0.094125
MIA2	-1.774
KLHL6	-1.90666666666667
HOXB5	-0.396375
NENF	1.03633333333333
CUGBP1	0.22575
PRSS22	1.57566666666667
CASC4	1.5134
CUL4B	0.1755
CENPJ	-1.6088
PITX1	0.856666666666667
FLJ31033	0.445666666666667
CELSR3	-0.195833333333333
ZNF568	0.0715
ITSN1	0.171
EHBP1L1	-1.1065
C19orf2	-0.59325
DCTN1	-0.02225
LIN28B	-2.83833333333333
TNKS2	-0.66025
C1QBP	-0.55775
CADPS2	1.642
SRMS	0.11825
GJA9	-0.0423333333333333
MGC24975	-0.0598333333333333
TRIM45	0.8765
TSP50	0.45
TCP1	-0.62475
TMED7	0.1616
CMA1	0.879
CENPL	-1.06316666666667
PTCRA	-0.113
FST	-2.617
VWCE	-3.7965
PAWR	0.1195
ABCC12	1.4175
LDLR	0.139
ASTN2	0.1323
LOC441212	-0.68775
GPATCH8	0.16425
TANC2	0.3935
KIF4A	-1.89825
C18orf18	-1.46925
PGM1	-1.42875
KIAA0258	0.192
CPD	0.464625
SNCAIP	-1.27325
DCT	-3.8095
HLA-DOA	1.95213636363636
OR11L1	0.3275
UPK1B	-0.439333333333333
DNAJB4	-0.52025
UGT1A8	-0.49075
HIST1H4L	-0.9535
PECR	-2.1155
HSPA2	1.797
WFIKKN1	-1.791
SERP1	0.575125
SYDE2	1.7185
TACR2	0.2105
NUP85	-0.16275
CD177	-0.5565
LGR5	-1.62866666666667
PIGG	0.26425
PTHR1	-0.550333333333333
RAB5A	-0.0246
FLJ13224	0.1565
USP9Y	-1.6275
C7orf53	-0.5415
LRP1B	-0.19275
XAF1	1.2265
ABCG8	0.19
ANKDD1A	-0.599333333333333
DAND5	-0.6085
SPAG6	-0.18
LINCR	-1.0745
ZDHHC22	-1.3385
CCDC60	0.577
THOC7	-0.968166666666667
TCTA	1.2008
OR8K3	0.3365
NY-REN-7	-0.5495
B2M	0.4355
C6orf141	-2.29025
LPPR4	0.949
SQLE	-1.853125
SEPHS1	-0.7615
BTBD14B	0.427142857142857
PLRG1	-0.30475
SPG7	-0.4768125
ZNF614	-0.777666666666667
PARD6G	0.412833333333333
INPP5B	-0.8772
GRPEL2	-0.31075
PPID	-0.7508
TRIM56	-0.159
UBE2J1	-0.2495
IL20RA	4.945
LOC387856	0.39775
C1orf107	0.89
UTS2R	0.27375
C19orf22	0.45675
SAFB2	0.4935
KIAA0652	-0.31025
KLRG1	-0.446166666666667
MS4A8B	3.37466666666667
FRAG1	0.28
KIAA1546	0.40625
E2F4	-1.3238
CLEC4M	-0.0971666666666667
BTBD14A	-1.3
KIAA0999	0.6019
GYPA	-3.39166666666667
TAC1	0.2628
TRAIP	-0.885166666666667
KIAA0232	1.1595
ERCC8	-1.359875
GPX4	0.906875
KIAA0368	-0.259875
GPR157	-0.491833333333333
CTAGE4	1.124
C9orf30	-1.80566666666667
OR52A1	-0.5155
HSP90B3P	-0.407
ALG9	-0.3687
BTBD10	0.14375
SDK2	0.24875
BAIAP3	0.625
RABGGTB	-0.63325
ANKRD40	0.2455
KRT74	0.225
CALCOCO2	0.645071428571429
SNCA	-2.84125
TMSL8	-3.778625
C2orf53	0.1385
ESRRB	-0.47175
ARHGAP26	-1.326875
TDRD9	-3.081
HRAS	-0.3145
KLRC4	-1.7815
JAGN1	-0.472
BSDC1	0.4265
RNF43	-0.8916
NDUFAF1	0.54575
PHF12	0.693
OR1L3	0.12875
FOLR2	1.21425
LYZL6	0.3
tcag7.1260	-1.3855
WSB1	-1.34316666666667
PROS1	-1.2553
OSTN	0.709
PSMB8	0.27275
SOCS4	-0.477
DDIT4L	0.839
MAS1	-0.153
MGC34796	1.435
CSHL1	-0.235333333333333
TBCCD1	0.660333333333333
ZBTB7C	0.163
AP2S1	0.171375
P15RS	-0.2667
VAT1	-0.0721
SHANK3	0.998666666666667
TUFM	0.225166666666667
THEG	-0.335
KRT34	-1.44875
SGSM3	0.04225
TOMM22	-0.680375
SOCS3	0.457833333333333
CPO	1.608
POP4	0.381
BHLHB3	0.698
MALL	1.0445
OR1B1	-0.0955
PARK2	1.05233333333333
GPR124	0.24625
LCE1E	0.165
RUVBL2	-0.14625
CGRRF1	0.3015
ACPL2	0.1935
WNT10B	-2.33675
BAIAP2L2	-2.15625
ISCA1	-0.084
C1orf125	0.643857142857143
RPAP1	-0.394
RAI16	0.366
RPL27	-0.7905
NLRP9	0.03
EPN1	0.486
LOC388610	-0.411125
SLC35A1	0.9555
GAL	-4.20175
SLC14A2	-0.029
RDH11	-0.286166666666667
FAM138F	-0.596
AUH	-0.081
FLJ40243	0.066
C14orf129	0.462333333333333
MBD2	-0.462333333333333
ABHD14B	0.1985
PIGT	-0.104
ALS2CR4	-0.39175
ALAS1	0.4042
FOXO1	0.7875
CRLF3	-0.632875
C20orf107	-0.383
FARS2	1.3105
CCDC28A	1.45575
NPHP3	-0.5375
OR13F1	0.471
TSEN54	-0.1835
DEFB106B	-0.1651
OR8B4	0.474
STH	3.38475
ZC3H14	-0.29675
CBX2	-0.0385
TMEM49	-0.34325
C6orf21	0.694
FLJ20920	1.705375
CRTAP	-0.157857142857143
DDX50	0.0785
STYXL1	0.21675
BLVRB	0.677
LOC147650	0.871
MMP24	0.6625
GRID1	1.42866666666667
BANF1	-0.484833333333333
CTAGEP	0.499
HMBS	-1.88875
SLC25A24	-0.0696666666666667
C14orf50	0.00750000000000001
MRO	0.5905
SLC25A15	-0.85925
FAM84B	1.1069
TDP1	-0.862
C16orf78	0.0738333333333334
C11orf57	-0.143125
RFK	-1.10075
ZFYVE9	-1.098
STCH	-1.2361
WIBG	0.6345
LOC283871	-0.312666666666667
GBA2	-0.5465
NDUFB3	-0.108
HSD17B13	-0.59225
GRIN3A	0.643666666666667
FMNL1	-0.790166666666667
SEPT7	-0.2785
GNLY	2.9505
GRAMD1C	0.657166666666667
ZNF165	0.526
USP38	0.5875
FAM83A	-2.7885
C14orf24	0.614583333333333
ARMCX3	1.130125
ARHGDIB	0.604166666666667
AK1	-0.051375
KIAA1045	-0.2035
DNAJB13	-0.202
NEU2	1.583
HIST1H4B	-0.901
FAM20B	-0.1023
HES2	1.6715
FAM73B	-0.445
LOC388381	-0.641333333333333
INTS7	0.0458181818181818
AMPH	2.745
ZNF775	-0.003375
UCKL1	-0.777833333333333
C10orf97	-0.3305
C1orf161	-0.032
ALDH1L1	-0.61725
FLJ39378	-0.1225
SLC23A1	-1.524
RBM4B	0.1525
THAP4	0.137
OGFRL1	0.09525
KIAA0831	0.2665
PPP1R15A	-0.167333333333333
C1orf96	-0.228357142857143
C12orf11	-2.06875
BMF	1.0385
MAN1A1	0.244875
KIAA1600	0.5655
NLGN4X	-1.009
ALOX12	-1.3395
RB1CC1	0.3734
NEIL2	1.5935
EIF4E	-0.285954545454545
ABHD5	0.33975
EXOC4	0.0368333333333333
CIP29	-0.211666666666667
BATF2	-1.27675
SLC29A4	-0.49
HTR4	0.4365
EMB	-1.70625
TRAF6	0.1935
LMNB1	-3.8415
FAM19A5	-0.02725
SHE	2.0535
PIK3C2B	1.4715
C15orf15	-1.084
USP15	0.000399999999999978
TCEAL2	1.1645
C5orf39	-1.31483333333333
PTGER2	-1.494
SLC31A1	-0.74125
IFT172	0.47825
ADAM29	0.3035
GFOD1	0.2995
ST7L	0.382
C15orf26	-3.433
PKN3	-1.41725
CNTD1	2.21033333333333
COMMD1	0.217
NTRK2	2.27633333333333
FOXN3	-0.01125
MFGE8	-0.5098
PFKFB2	1.09916666666667
TAS2R4	0.902
ENTHD1	-0.0473333333333333
PRMT5	-0.57325
MGC16384	-0.394125
LOC442229	-0.751
TSKU	-0.332875
KRTCAP3	1.12425
PDLIM1	0.2686
KCNS2	0.14425
RNF126	-1.08333333333333
CEP63	0.82
CLIC4	-0.51825
hCG_1990170	-0.6395
ACR	0.5489
KLK7	0.59825
ALOX5AP	2.850875
RIPK3	1.979
TAS2R9	-0.1375
C19orf18	2.821
BIRC6	-0.269
ZNF16	0.8005
RFT1	-0.24825
SLC8A2	-0.89125
TACC1	0.32325
ITGAD	0.35825
SAMHD1	0.826
SH3PXD2B	1.1548
EPC2	0.4645
C20orf85	0.141375
ATP13A2	0.35
KRT4	0.2825
CAPNS1	0.515
MDM2	0.126333333333333
PCDH20	1.2635
KCNK9	0.711
OR2C1	0.2405
KLHDC3	-0.7315
IPPK	0.5445
EFHD2	-0.77575
GALR3	0.52825
NBEA	1.25016666666667
ABCA6	2.9925
CLDN3	1.39866666666667
AKT2	-0.537857142857143
EGFR	-2.4031
RBM16	0.23325
ZDHHC3	0.3428
SLC25A4	-0.566666666666667
CYB5B	-1.58766666666667
CPXM1	0.66825
NDRG1	-1.69746153846154
FLJ43826	0.492
OR5L2	-0.0468333333333333
FARP2	0.0757
MRPL46	-0.377166666666667
LDHAL6B	0.295333333333333
MAPKAPK3	0.0648333333333333
NCAM2	-1.514
PRKD2	0.4925
ZFP36L1	1.5605
CYSLTR1	0.67175
OR4C3	0.58375
HIST1H2AJ	2.1065
CCNB2	-2.818
ZNF10	-0.363625
TMEM175	0.4285
FAM134A	0.438333333333333
TIGD4	-0.03
PCNP	-0.3975
MGC39715	0.47025
LQK1	-1.4005
CREB1	0.4485
TMPRSS3	-0.37725
C4orf32	1.700875
LAT	-1.85008333333333
KCNA3	-0.589
SKIV2L2	-0.3595
ROPN1B	-3.68725
tcag7.23	-0.461
CDT1	-2.88925
ZHX2	1.181875
CD28	-3.78375
ZNF624	1.1405
SEPT2	-0.0154166666666667
SOHLH2	0.104
MCOLN3	-0.862714285714286
UNQ1945	0.0015
MASP2	-0.785
ZNRF3	0.2522
GPATCH3	-0.19325
AGL	0.75325
QRICH2	-0.4235
PSD4	0.718166666666667
CCNB1IP1	-2.29425
ENPP7	0.11475
OBFC1	-0.25425
KCNG3	-2.225
C14orf79	1.21866666666667
ENPEP	1.17333333333333
SCT	1.397
SKI	0.810375
SEC61G	-0.67175
CAPN11	-0.235
ATXN7L3	-0.31375
DBNDD1	-0.0398333333333333
FAIM	0.151
ANKRD36	0.3755
GABRP	0.916833333333333
TACSTD2	2.47383333333333
EIF3J	-0.969
PPP2R2A	0.12425
TEKT4	-1.08333333333333
PVALB	-0.8835
F10	-2.6115
FAM134C	0.7186
COMP	4.25525
EFCBP1	-3.3379375
SCLT1	0.188
TAL1	-1.0056
ACSL1	0.49925
ABCC5	-0.26625
ABL1	-0.415277777777778
RBBP7	0.357583333333333
PTPRG	-0.096375
NCOR1	0.2606
SPINK4	-1.51616666666667
TXNRD1	-2.3108
TNRC15	1.0495
C9orf138	0.7095
UBE2H	0.8175
BRDT	1.69416666666667
C8orf31	-0.2135
CCNE2	-1.821
SLC6A8	-1.193
CALCR	-4.23425
PPP1CB	0.1
ABHD8	0.4475
ARF5	0.6517
SLC24A4	0.301
CCT3	0.69525
ZNF121	0.435125
SLC3A2	-1.1643
OR13A1	0.3895
SLC5A10	0.19875
RAD50	0.184625
IER5	0.235875
MTHFD1L	-2.623125
MBTPS2	0.58175
MVK	-0.491125
NCL	-0.7134
PSMD10	-0.0165
MOBP	0.214375
FLJ32894	0.222
HRH1	-0.895833333333333
C5orf30	0.8195
NUDT16L1	0.9954
RASGRP3	2.84766666666667
PRKRIP1	-0.0532
CCDC75	1.005
LOC253970	-0.08725
KIAA1239	1.677
MED21	-0.71875
SYT11	-0.00524999999999999
NTSR2	-0.15
EGFL11	-0.2765
CXorf59	0.9775
OR2A25	0.25925
SPTBN2	-0.64075
LRMP	-1.62183333333333
RNF111	-0.08175
PTH	-0.6165
LOC619208	0.689666666666667
KIAA0895	1.019
RANBP5	-1.1
P2RY10	-0.0565
NME5	4.76016666666667
DDX21	-1.5
LRSAM1	0.3605
HDAC11	1.3885
VMO1	1.22425
NOLA2	0.420333333333333
ADAR	0.734916666666667
MTO1	-0.607666666666667
SF4	0.277166666666667
P2RX1	-0.413333333333333
HBM	0.127
EN2	0.5675
C14orf172	-0.265
TM9SF2	0.0189
INHBE	-1.19666666666667
TCTE3	-0.222
TOX2	-3.623
CTAGE3	0.608125
HBB	3.6515
MED15	-0.646833333333333
CASR	-0.53475
C6orf66	-1.06866666666667
MTPN	0.176
UNC50	-0.213
C21orf33	-0.116625
IRF2	0.522
PGR	4.55816666666667
GPR84	1.44325
CROCCL1	-2.218
SRPX	-1.57675
BRE	0.303333333333333
FGF10	1.7245
SDC3	-1.50266666666667
ZRSR1	0.5265
DKFZP434P211	0.510375
SOX6	0.472
RPUSD2	-0.15375
C14orf173	-0.441583333333333
MAPK11	-0.6935
TBC1D22A	0.5075
FAM123A	-0.8485
COL4A6	-2.86433333333333
TOMM70A	-0.16575
NAB1	-0.0605
MGC16385	-0.730375
TSPAN18	0.136833333333333
MED31	0.11875
PLG	-0.42575
CAPSL	2.4885
ZNF532	0.2142
ASB14	0.000749999999999997
CA8	1.25975
NUDT16P	1.8055
SLFN11	-1.1355
LRRIQ2	0.530875
NOL7	-0.261333333333333
BRMS1L	-0.835125
JARID1A	0.288833333333333
PANK2	-0.857
ICAM3	-0.17925
MDS1	-0.7935
TAF8	-0.083
RNF139	1.15
ZNF594	0.487166666666667
ADAM8	0.280125
SFTPC	-0.251125
MAN2B2	1.507875
RGS12	0.9750625
EIF1AY	-4.76316666666667
LRRIQ1	1.3855
GPR150	0.611
CCDC21	-1.22
PRRG3	0.27275
SAA4	-3.6065
RAPGEF5	1.21675
ZCCHC2	-0.08725
MGC39372	-0.3815
PPP4R2	0.0723333333333333
CDCA2	-1.88866666666667
OR4D5	0.3955
PTGFRN	1.0413
SIGLEC5	0.275
C19orf61	-0.00716666666666667
NMUR2	0.1055
KIAA1586	-1.1415
DAGLA	-0.0376666666666667
CHCHD6	-0.278
GPR32	0.6615
NEUROD6	-0.2202
SLC2A4RG	0.0566875
CA5B	0.1595
FBXL3	0.8475
MPHOSPH9	-1.0115
HMG2L1	0.14475
HCN4	0.241
CEACAM19	0.50675
SH2D4B	0.161666666666667
HFE2	-0.3205
TGM4	0.7265
LYPD2	0.324
TBC1D15	-0.1665
MRPS21	0.4679
NONO	-0.4962
CLEC5A	2.07775
ITCH	-0.778
MGAT3	-1.03083333333333
MBP	-0.317625
RPP25	-1.66875
SOSTDC1	-2.0475
HRC	-1.43675
TRIM48	-0.2245
TMEM133	-1.1445
ECEL1P2	-1.12275
HOXC11	1.2475
DOK5	-0.40625
HELZ	0.662166666666667
LOC348180	-1.08975
MGC33894	0.06475
ADRB3	0.071
DMD	-0.338583333333333
PTRH2	-0.7075
MPEG1	2.0795
NDUFA12	0.0571666666666667
KRTAP2-4	0.0543333333333333
STAMBPL1	-1.39983333333333
ADCY2	-0.356333333333333
UNQ6125	0.8115
KLHL20	0.9885
SRM	-1.081
OTC	-0.3055
TMIE	0.195666666666667
SNX8	-0.389
LIPK	-0.2535
CHURC1	0.752666666666667
KLC2	0.290666666666667
HDAC1	-0.601833333333333
FAM128A	0.0458333333333333
FNDC3B	-0.864
MTCP1	-0.064
WFDC10B	-0.1769
PCDHGB3	-0.0405
ATRNL1	-1.1195
CAV2	-1.02825
MED26	0.0596666666666667
DUS1L	0.2475
CHRM3	-1.15175
NEK9	0.15825
WARS2	-0.5655
TBX22	0.0245
TOMM40	-0.66175
RP6-213H19.1	-1.33366666666667
TUBGCP5	-0.549
IGSF6	4.2
TPPP	1.50533333333333
UNQ6190	-0.213
GSTM5	0.242375
BTD	1.06233333333333
PDCD1LG2	-0.4915
SNRPB2	-0.736666666666667
ERICH1	0.31575
APOA4	-1.663375
HOXA11	-1.37975
NARG1	-0.293
MKX	-0.055
RAB28	-0.438428571428571
PKP3	0.541
SH3GL2	-2.18475
CTSO	2.82575
RPN2	-0.0949375
IL28RA	0.101
SFMBT1	0.64675
WDR57	-0.7
FER1L3	0.76425
HSF5	0.533
TTC9B	0.064
C4BPA	-3.69716666666667
ALB	-4.32892307692308
SORBS3	0.352625
UPF2	-0.0905
JPH1	0.1235
AGBL2	0.4355
DOPEY1	1.162
TERF1	-0.132583333333333
KIF22	-0.0436666666666667
NINJ1	1.249
SEC61A2	-0.559416666666667
HIST1H1D	-0.222333333333333
SFXN4	-0.336625
UCP3	0.5199
ZNF703	1.2065
MYL6B	-0.4475
TREM1	1.98875
OR52E6	0.7415
CKMT2	1.229
HLA-C	1.55175
SLC13A3	-1.65283333333333
TIMP4	-0.1085
SLIT2	2.52325
RSF1	0.0745555555555556
LONRF1	-0.189
MON1A	0.208166666666667
CACNG6	-1.997
DPPA4	-5.2565
ZSWIM3	0.0355
ZNF804A	0.154166666666667
CCIN	1.0555
SLC25A31	0.12825
KCNMB4	-0.552
RABL5	0.88825
GALNS	-0.4903
STX6	1.226125
HIST1H1C	-0.868833333333333
CIDEB	-0.771875
CASP4	-0.283333333333333
PDK3	0.1864
KCNJ11	1.146
TPR	0.552375
ZSCAN20	-0.8585
MTX2	-0.06675
HIST1H2BH	-0.15
LOC283767	2.70425
LYRM7	-0.606333333333333
BRD3	0.166
HIST1H2BO	-0.3875
MAGEB10	0.123
SLC45A1	1.265
SERPINA3	2.58705
KIAA0143	1.0405
KCNJ16	0.184833333333333
KRT79	0.19225
FABP2	-0.791
NUT	-0.25975
ZNF57	-0.37275
FBXL4	0.89075
CLEC9A	0.517
UGT8	-1.25366666666667
BMP2K	0.1005
MAPK4	-3.80825
SLC25A23	0.2274
HINT1	-0.2772
KRTAP13-1	0.2295
SFXN5	0.8961
CHCHD2	0.2315
FAM3D	0.3765
NDP	-0.029625
RHOBTB1	0.595833333333333
SLC4A4	-1.565625
RPL38	-0.4005
HTF9C	-0.623333333333333
AP2A2	0.478
ZBTB46	-0.3555
MAP7D1	0.371875
AOX1	-1.142
CYR61	0.94225
DTNA	0.501785714285714
JRKL	-0.73625
TMOD3	0.33425
EEA1	0.1054
ADCK5	-0.123
IL1R1	0.8405
KLK3	0.404785714285714
HRSP12	0.25925
KTN1	0.8785
LOH11CR2A	0.9697
RELL2	-1.3245
MAB21L1	0.88425
C20orf59	-0.867333333333333
PHKB	-0.17125
ADAM2	-2.2848
TBC1D8B	1.13383333333333
FAM13A1	-1.112
LAPTM4B	-1.59141666666667
LCN8	0.0065
TMEM147	0.988
SYT4	-0.256666666666667
XPO7	-0.0275
C9orf62	0.38525
GPR75	-0.16
TRIM5	0.18825
APOC1	-0.442166666666667
RNASE4	0.8555
PARD6B	0.094875
ARID1A	0.441416666666667
TPD52L3	0.2478
RRAGB	1.78983333333333
RCN2	-1.06583333333333
HIST2H2BE	0.207
STARD7	-0.34675
SHMT2	-1.57275
KIAA1751	-0.0961666666666667
MLYCD	0.258875
LOC162632	0.1493
UQCRH	-1.84725
RP11-217H1.1	0.1321875
SDHA	-0.815666666666667
NCLN	-0.348
ZNF17	0.457833333333333
RCBTB2	-2.276
VEGFB	-0.475
RP4-747L4.3	0.84775
COLQ	0.7383
MPN2	-0.329333333333333
DRG2	0.173
KLRB1	3.4405
ALPK2	-2.32825
DNASE2B	0.2165
FLJ23834	0.0673333333333333
AXUD1	0.966333333333333
SAFB	0.2306
NSUN4	-0.76825
RFX2	0.315833333333333
MAPK8IP1	0.369
FANCD2	-0.7785
ANKZF1	-1.72966666666667
C19orf50	-0.322375
DUSP8	0.823
SENP5	-0.096875
NFKBIL2	-0.64975
LBR	-1.693
IGFL1	0.078
LZTS2	0.556875
IL2RG	-1.025875
CCDC51	0.14775
KLF3	-0.1875
ANKRD37	-2.38925
KCTD14	-2.0354
FZR1	0.190583333333333
SLC44A4	2.9744
ESPL1	-1.251125
GMPR2	-0.2887
TBC1D19	-0.196833333333333
ERGIC1	0.48962962962963
ERBB4	2.2339
TSPAN32	-0.104916666666667
MAP4	0.274125
GPHN	0.68
SLC6A2	-0.027125
HIVEP1	0.7425
DFFB	-0.3565
EIF4EBP2	0.333
DMRT1	-0.962
HSPB6	0.1495
IER2	1.19916666666667
AIFM1	0.04175
WWC2	-0.924636363636364
MRPL4	-0.23925
FLJ21062	1.45533333333333
EPB41L4A	1.00783333333333
SH2D6	0.2095
TAF4B	-1.33175
GAL3ST3	0.5375
MALT1	-1.53616666666667
RTDR1	-0.3395
ARVCF	-0.04275
MEX3B	-1.55566666666667
FBXO16	2.084
KIF7	-0.6
C1QC	3.69483333333333
ZNF783	0.1145
ZNF85	0.118
MMP13	2.757
KIAA0329	0.593125
RTP3	-0.772
ZBED3	-0.02025
CLGN	-0.68925
SLC25A37	-1.10733333333333
hCG_18290	-0.25875
OR5AS1	-0.093
SMARCC2	0.21175
FAM109A	0.154166666666667
CCDC12	0.009
USF2	0.4277
DEPDC7	-2.16275
C20orf24	-0.895666666666667
JMJD3	1.054
DSP	2.15464285714286
SLIC1	0.123625
FAM20A	0.603
IRF2BP2	1.154125
ZNF230	-0.827
MSN	-0.576357142857143
SLC9A5	-1.6565
EPDR1	-0.0483
MUSK	0.144166666666667
