Hybridization REF	TCGA-B6-A0WT-01A-11R-A109-07
GYPC	-1.361
C7orf33	0.7085
PLIN	2.3245
LOC90826	0.28125
RNF4	0.15
F8A1	0.7985
PLEKHG4	-0.9855
GRB2	0.03605
HIST1H2AD	0.2895
DUS3L	-0.4015
EIF1	-0.361833333333333
RP5-1077B9.4	-1.10216666666667
FPGT	1.95175
GDF10	-0.955166666666667
COQ9	0.66675
GCC2	-0.28
RARRES3	1.888
PLXNA1	-0.1523
KIAA0100	0.3506
PMF1	0.416
FNDC1	4.976
HS2ST1	0.00833333333333331
CRELD2	1.015
C8G	-0.9565
CD82	1.1465
LIM2	0.2805
UNQ6490	-0.331
MMP16	0.6885
DRD3	-0.176
C5orf26	-1.487
C11orf73	-0.817125
PTP4A2	0.702125
OR4M2	0.1955
HPCA	-1.03333333333333
SEC14L1	-0.571333333333333
CHFR	0.063875
EMILIN1	1.31775
NDUFS4	-0.2085
COL18A1	0.228875
PDZD3	-0.0662
C9orf16	-0.0435
ERBB2IP	0.0731666666666667
EMX2	2.7425
FUS	-0.3195
TF	-3.9602
CLCN4	-0.601833333333333
CXorf56	-0.437
C11orf72	0.06475
ELAC2	-0.21225
NPR1	-1.271
ASS1	-3.51516666666667
USP42	-0.36575
POLR2J	-1.0735
SEC23IP	0.372833333333333
UQCRC1	0.3075
LOC729603	-0.394
C1orf71	0.274
POLG	-0.8615
ADAM23	-3.03
TFR2	-1.7255
RICTOR	-0.9762
MGC39606	0.112
C19orf55	-0.361375
SNAPC1	-2.14766666666667
GNA11	0.58425
CCDC52	0.372166666666667
FSIP1	5.218
UPF3A	0.117125
IGSF11	-2.085
LAGE3	0.0145
CHST6	-0.11
UNC13B	0.714875
TTLL4	-0.721875
ZNF687	0.267125
SDC2	0.2182
COX7A2	-0.16325
LAMB4	0.5085
FAM24A	0.034
LRRTM3	-0.633833333333333
GPHB5	-0.13125
OR4C13	0.0805
EIF3EIP	0.33
HABP4	-0.9115
TMEM125	3.4305
CNTN2	0.744625
ASNSD1	-0.19475
FUT4	-0.2285
ACF	-4.173
LOC158381	0.885
CDH8	0.0365
AGPS	-1.2505
C4orf18	3.844375
PECI	0.3055
UNG	-0.583
GSTP1	-1.70525
DCUN1D5	-2.36716666666667
DKFZP564J0863	-0.915
SLC9A3R1	1.889625
BCDO2	-0.523875
CHMP7	-0.098
REM2	0.598
DNHD1	0.0285
FKBP4	0.527375
ZNF350	1.625
MGC11102	-0.338
BST1	1.236
KISS1R	0.3065
NCR2	0.132
DEFB125	0.3025
UBE2W	0.500875
KRT15	2.36625
C10orf99	0.209
SCN11A	-0.0965
GFI1	-2.51075
RDHE2	3.0985
FHL1	-1.021
OSGEP	-0.0941666666666667
GATA1	-3.6105
SMC6	-0.66175
TTTY14	-1.113
LPIN3	0.1635
RPL4	-0.2713
RBPMS	0.1024
PRPF3	-0.742833333333333
EMR1	-2.5395
SPATA19	-0.29475
XCR1	0.4675
IRX3	1.699
RBM6	-0.528
KLF4	-0.6395
UNC5CL	1.78775
SEBOX	0.077
BTK	-0.8665
KRCC1	1.4045
C6orf27	0.344
SYTL5	0.383
PRND	1.670375
LOC653319	-0.8115
PIGL	-1.14725
HUS1	-0.600666666666667
SFRS6	0.845583333333333
C17orf77	0.4615
UIMC1	-0.5475
FXYD2	-1.7172
LOC283152	0.19325
ZNF667	0.1215
ZCCHC12	-0.06525
TFEC	2.6275
ATP7B	1.24133333333333
POLD2	-0.8035
RG9MTD1	-0.27175
ACOT2	1.927
HIST1H4I	-0.920625
PPARGC1A	-2.0902
ETFA	-1.0445
POLRMT	-0.00625
ZNF146	0.283375
MIA2	-2.069
KLHL6	-1.0425
HOXB5	-0.4645
NENF	0.919666666666667
CUGBP1	0.04425
PRSS22	1.51716666666667
CASC4	1.1485
CUL4B	-0.3439
CENPJ	-1.2561
PITX1	-0.164833333333333
FLJ31033	1.37866666666667
CELSR3	-1.4785
ZNF568	0.783
ITSN1	-0.5085
EHBP1L1	-0.768666666666667
C19orf2	-0.14475
DCTN1	0.4135
LIN28B	-3.442
TNKS2	-0.25
C1QBP	-0.679
CADPS2	1.56825
SRMS	0.46025
GJA9	0.46
MGC24975	-0.0865
TRIM45	1.361
TSP50	1.8545
TCP1	-1.6695
TMED7	0.6655
CMA1	0.5015
CENPL	-0.666666666666667
PTCRA	-0.0985
FST	-2.15
VWCE	-4.0335
PAWR	-0.22375
ABCC12	0.019
LDLR	-0.6679
ASTN2	1.3551
LOC441212	-1.07975
GPATCH8	0.34625
TANC2	0.556666666666667
KIF4A	-1.71725
C18orf18	-0.66
PGM1	-0.7625
KIAA0258	0.8115
CPD	1.3565
SNCAIP	-1.29375
DCT	-4.6345
HLA-DOA	2.51840909090909
OR11L1	0.357
UPK1B	0.268333333333333
DNAJB4	-0.0305
UGT1A8	-0.08075
HIST1H4L	-2.2475
PECR	-2.13166666666667
HSPA2	2.328
WFIKKN1	-0.5675
SERP1	1.1375
SYDE2	0.787
TACR2	0.575
NUP85	-0.1185
CD177	2.9595
LGR5	-1.45266666666667
PIGG	0.8165
PTHR1	-0.6005
RAB5A	0.2912
FLJ13224	-0.1925
USP9Y	-1.85216666666667
C7orf53	-1.6765
LRP1B	1.40475
XAF1	1.8644
ABCG8	-0.5605
ANKDD1A	-0.654333333333333
DAND5	-0.3315
SPAG6	-0.207666666666667
LINCR	0.97675
ZDHHC22	-1.284375
CCDC60	-0.6385
THOC7	-1.30383333333333
TCTA	1.1468
OR8K3	0.18725
NY-REN-7	-0.927666666666667
B2M	1.21966666666667
C6orf141	1.1825
LPPR4	1.358
SQLE	-0.5165
SEPHS1	-0.504
BTBD14B	0.3395
PLRG1	-0.072
SPG7	0.0568125
ZNF614	0.0983333333333333
PARD6G	0.9225
INPP5B	-0.1637
GRPEL2	-0.38775
PPID	-0.2803
TRIM56	-0.1045
UBE2J1	0.149625
IL20RA	2.29625
LOC387856	0.21625
C1orf107	0.623166666666667
UTS2R	0.14725
C19orf22	0.036
SAFB2	-1.154125
KIAA0652	0.515875
KLRG1	-1.5165
MS4A8B	3.70766666666667
FRAG1	0.674
KIAA1546	0.81525
E2F4	-1.2465
CLEC4M	0.037
BTBD14A	-1.3575
KIAA0999	0.762
GYPA	-3.45266666666667
TAC1	0.1171
TRAIP	-0.971333333333333
KIAA0232	1.0431
ERCC8	-0.839625
GPX4	0.933375
KIAA0368	0.324875
GPR157	-1.156
CTAGE4	1.7245
C9orf30	-1.03866666666667
OR52A1	-0.155
HSP90B3P	-0.7305
ALG9	-0.4413
BTBD10	0.91925
SDK2	0.4735
BAIAP3	2.32025
RABGGTB	-1.519625
ANKRD40	-0.352166666666667
KRT74	0.7295
CALCOCO2	0.0862142857142857
SNCA	-3.507
TMSL8	-4.336625
C2orf53	0.214
ESRRB	-0.62975
ARHGAP26	-1.86175
TDRD9	-3.46275
HRAS	-0.337
KLRC4	-2.7295
JAGN1	-0.516333333333333
BSDC1	0.4835
RNF43	0.1789
NDUFAF1	0.55225
PHF12	0.57325
OR1L3	0.213
FOLR2	1.93191666666667
LYZL6	0.0528333333333333
tcag7.1260	-1.95
WSB1	-1.93816666666667
PROS1	-1.0447
OSTN	0.4235
PSMB8	1.12375
SOCS4	0.203625
DDIT4L	1.379
MAS1	-0.3035
MGC34796	0.80875
CSHL1	0.297166666666667
TBCCD1	0.511333333333333
ZBTB7C	0.415
AP2S1	0.194375
P15RS	0.5953
VAT1	-0.3967
SHANK3	1.05833333333333
TUFM	0.442833333333333
THEG	-0.71325
KRT34	-1.71775
SGSM3	0.523125
TOMM22	-0.86125
SOCS3	0.3325
CPO	1.2735
POP4	0.2145
BHLHB3	2.7835
MALL	1.4125
OR1B1	0.1215
PARK2	1.07883333333333
GPR124	0.713
LCE1E	-0.022
RUVBL2	-0.51225
CGRRF1	0.0802
ACPL2	0.13325
WNT10B	-2.44275
BAIAP2L2	-2.4595
ISCA1	0.403
C1orf125	0.608125
RPAP1	-0.341
RAI16	-0.0578333333333333
RPL27	-1.102125
NLRP9	0.0145
EPN1	-0.023
LOC388610	-1.08725
SLC35A1	0.6482
GAL	-3.93025
SLC14A2	-0.01575
RDH11	0.0638333333333333
FAM138F	-0.531
AUH	-0.13925
FLJ40243	0.11425
C14orf129	0.8335
MBD2	0.0216666666666667
ABHD14B	0.374625
PIGT	1.06525
ALS2CR4	0.321375
ALAS1	0.2747
FOXO1	1.23916666666667
CRLF3	-0.746125
C20orf107	-0.1715
FARS2	1.58875
CCDC28A	-0.315
NPHP3	-0.8865
OR13F1	0.622
TSEN54	-0.61775
DEFB106B	0.00910000000000001
OR8B4	0.463
STH	2.6925
ZC3H14	-0.027625
CBX2	-0.5615
TMEM49	-0.86125
C6orf21	0.099
FLJ20920	0.7825
CRTAP	-0.0546428571428572
DDX50	-0.1265
STYXL1	0.392
BLVRB	0.229666666666667
LOC147650	-1.1305
MMP24	0.1175
GRID1	1.46233333333333
BANF1	-0.359
CTAGEP	0.871
HMBS	-1.633
SLC25A24	-0.0343333333333333
C14orf50	2.111
MRO	0.981
SLC25A15	0.055
FAM84B	0.9361
TDP1	-0.724
C16orf78	0.360833333333333
C11orf57	-0.65225
RFK	-0.457625
ZFYVE9	0.399375
STCH	-0.2087
WIBG	0.34
LOC283871	0.351333333333333
GBA2	-0.2769
NDUFB3	-0.18775
HSD17B13	-0.3565
GRIN3A	0.923166666666667
FMNL1	-0.864333333333333
SEPT7	-0.46
GNLY	1.901
GRAMD1C	1.3465
ZNF165	0.09775
USP38	0.84925
FAM83A	-2.889
C14orf24	0.472666666666667
ARMCX3	1.30325
ARHGDIB	0.274166666666667
AK1	0.718125
KIAA1045	-0.618
DNAJB13	-0.318
NEU2	0.0365
HIST1H4B	-1.75366666666667
FAM20B	-0.2956
HES2	1.77314285714286
FAM73B	-0.2647
LOC388381	1.54
INTS7	0.537272727272727
AMPH	2.801
ZNF775	0.035375
UCKL1	-0.635333333333333
C10orf97	0.64425
C1orf161	-0.34225
ALDH1L1	-1.679
FLJ39378	-0.209
SLC23A1	-0.2635
RBM4B	0.8915
THAP4	0.0186666666666667
OGFRL1	0.08275
KIAA0831	0.16275
PPP1R15A	-0.789833333333333
C1orf96	-1.088
C12orf11	-1.6305
BMF	0.94425
MAN1A1	-0.225375
KIAA1600	0.0025
NLGN4X	-0.39175
ALOX12	-0.958166666666667
RB1CC1	-0.3102
NEIL2	-0.2732
EIF4E	0.0937727272727273
ABHD5	0.175
EXOC4	-0.227
CIP29	0.292166666666667
BATF2	-0.40825
SLC29A4	-0.80375
HTR4	0.55175
EMB	-0.022
TRAF6	1.79
LMNB1	-1.8575
FAM19A5	1.160625
SHE	1.11875
PIK3C2B	1.25775
C15orf15	-0.9512
USP15	-0.031
TCEAL2	0.58375
C5orf39	-1.76366666666667
PTGER2	0.7735
SLC31A1	-0.83625
IFT172	0.2915
ADAM29	0.58725
GFOD1	-0.53875
ST7L	1.04916666666667
C15orf26	-2.913
PKN3	-1.5085
CNTD1	1.99783333333333
COMMD1	0.52125
NTRK2	1.81391666666667
FOXN3	-0.2105
MFGE8	-0.6529
PFKFB2	0.4395
TAS2R4	-0.27425
ENTHD1	0.117333333333333
PRMT5	-0.184375
MGC16384	-0.6655
LOC442229	-0.5375
TSKU	0.040375
KRTCAP3	2.16475
PDLIM1	-0.2546
KCNS2	0.27075
RNF126	-0.349666666666667
CEP63	-0.281125
CLIC4	-0.39975
hCG_1990170	-0.99725
ACR	0.98
KLK7	2.10975
ALOX5AP	2.557625
RIPK3	3.36175
TAS2R9	0.0535
C19orf18	2.026
BIRC6	0.257285714285714
ZNF16	0.8515
RFT1	-0.17225
SLC8A2	-0.57075
TACC1	0.278125
ITGAD	1.7585
SAMHD1	0.38025
SH3PXD2B	1.6362
EPC2	0.61675
C20orf85	0.6875
ATP13A2	1.1165
KRT4	0.577375
CAPNS1	0.42725
MDM2	-0.822916666666667
PCDH20	1.77925
KCNK9	0.656
OR2C1	0.412
KLHDC3	-0.898666666666667
IPPK	0.569
EFHD2	-0.346625
GALR3	0.03475
NBEA	0.764
ABCA6	2.0749
CLDN3	0.659833333333333
AKT2	-0.533928571428571
EGFR	-2.2828
RBM16	-0.260375
ZDHHC3	0.3856
SLC25A4	-0.583166666666667
CYB5B	-0.8685
CPXM1	1.196
NDRG1	-1.96984615384615
FLJ43826	1.179
OR5L2	0.187833333333333
FARP2	0.8799
MRPL46	0.0243333333333333
LDHAL6B	0.671333333333333
MAPKAPK3	-0.5885
NCAM2	-0.15975
PRKD2	0.116333333333333
ZFP36L1	1.2351
CYSLTR1	-0.21775
OR4C3	-0.00425000000000003
HIST1H2AJ	1.962
CCNB2	-2.26922222222222
ZNF10	0.4605
TMEM175	0.6185
FAM134A	0.429333333333333
TIGD4	-0.00899999999999995
PCNP	-0.42575
MGC39715	-0.0105
LQK1	-0.792
CREB1	0.492
TMPRSS3	0.8475
C4orf32	1.344
LAT	-2.05475
KCNA3	0.0105
SKIV2L2	-0.3615
ROPN1B	-1.17575
tcag7.23	-0.4185
CDT1	-2.336125
ZHX2	1.084
CD28	-3.9255
ZNF624	0.9575
SEPT2	0.107916666666667
SOHLH2	-0.59675
MCOLN3	0.43675
UNQ1945	0.2875
MASP2	-1.2195
ZNRF3	0.1341
GPATCH3	0.04475
AGL	2.430125
QRICH2	0.4255
PSD4	1.53183333333333
CCNB1IP1	-1.61175
ENPP7	0.3675
OBFC1	-0.13925
KCNG3	-1.6695
C14orf79	1.0325
ENPEP	2.44933333333333
SCT	1.899
SKI	0.3465
SEC61G	-0.8225
CAPN11	0.9395
ATXN7L3	-0.07925
DBNDD1	0.304666666666667
FAIM	-0.282
ANKRD36	-1.212
GABRP	2.778
TACSTD2	1.842
EIF3J	-0.5515
PPP2R2A	-0.4215
TEKT4	-0.00399999999999998
PVALB	1.82883333333333
F10	-2.7675
FAM134C	0.8431
COMP	4.089125
EFCBP1	-1.9514375
SCLT1	-0.745875
TAL1	-1.3165
ACSL1	-0.235
ABCC5	-0.00158333333333336
ABL1	-0.530555555555556
RBBP7	0.461916666666667
PTPRG	0.15075
NCOR1	0.3512
SPINK4	0.280333333333333
TXNRD1	-1.7609
TNRC15	0.08875
C9orf138	1.470125
UBE2H	0.316
BRDT	0.489833333333333
C8orf31	0.49825
CCNE2	-0.626818181818182
SLC6A8	-1.515875
CALCR	-3.80925
PPP1CB	1.01708333333333
ABHD8	0.34925
ARF5	0.1053
SLC24A4	0.4295
CCT3	0.439
ZNF121	0.232875
SLC3A2	-0.64
OR13A1	0.497
SLC5A10	-0.11175
RAD50	0.378875
IER5	-0.079
MTHFD1L	-2.204375
MBTPS2	0.44725
MVK	0.22175
NCL	0.0079
PSMD10	-0.26625
MOBP	0.067125
FLJ32894	-0.292
HRH1	-0.5175
C5orf30	1.589
NUDT16L1	1.1315
RASGRP3	3.0855
PRKRIP1	-0.4233
CCDC75	-1.1565
LOC253970	-0.1655
KIAA1239	-0.49025
MED21	-0.5375
SYT11	0.02675
NTSR2	0.0345
EGFL11	-0.6805
CXorf59	0.239
OR2A25	0.1915
SPTBN2	-0.73925
LRMP	-1.44566666666667
RNF111	0.52825
PTH	-0.1415
LOC619208	1.18533333333333
KIAA0895	0.9615
RANBP5	0.030125
P2RY10	0.212
NME5	3.8345
DDX21	-1.222
LRSAM1	0.0765
HDAC11	0.992666666666667
VMO1	0.98225
NOLA2	-0.246666666666667
ADAR	0.985583333333333
MTO1	-0.373833333333333
SF4	0.626333333333333
P2RX1	0.5905
HBM	-0.078
EN2	0.575
C14orf172	0.037
TM9SF2	1.6042
INHBE	-1.40383333333333
TCTE3	-0.3925
TOX2	-3.45775
CTAGE3	0.090625
HBB	2.0463
MED15	-0.394333333333333
CASR	0.029
C6orf66	-1.48183333333333
MTPN	-1.005625
UNC50	-0.16325
C21orf33	0.026
IRF2	0.640375
PGR	3.479
GPR84	2.11175
CROCCL1	-1.1755
SRPX	-1.133
BRE	0.555166666666667
FGF10	0.89075
SDC3	0.0931666666666667
ZRSR1	0.775666666666667
DKFZP434P211	-0.13475
SOX6	-0.4855
RPUSD2	0.0355
C14orf173	-0.0320833333333333
MAPK11	-0.156166666666667
TBC1D22A	0.567
FAM123A	3.1405
COL4A6	-0.71
TOMM70A	0.257
NAB1	-0.537125
MGC16385	0.043875
TSPAN18	-0.361333333333333
MED31	-0.2045
PLG	-0.2005
CAPSL	3.296
ZNF532	1.0532
ASB14	-0.26
CA8	-2.19425
NUDT16P	1.017
SLFN11	-0.8775
LRRIQ2	-0.332875
NOL7	-0.410666666666667
BRMS1L	-0.23875
JARID1A	0.145166666666667
PANK2	-0.5545
ICAM3	0.11325
MDS1	-0.37025
TAF8	-0.8835
RNF139	0.5125
ZNF594	0.5405
ADAM8	1.071875
SFTPC	-0.08775
MAN2B2	1.493375
RGS12	0.984875
EIF1AY	-5.19
LRRIQ1	-0.612
GPR150	0.4975
CCDC21	-0.847833333333333
PRRG3	0.2035
SAA4	-3.157
RAPGEF5	0.596125
ZCCHC2	-0.505166666666667
MGC39372	1.0555
PPP4R2	0.4385
CDCA2	-2.66533333333333
OR4D5	0.5975
PTGFRN	0.7698
SIGLEC5	1.51083333333333
C19orf61	-0.296333333333333
NMUR2	0.537
KIAA1586	-0.863166666666667
DAGLA	0.362
CHCHD6	-0.07075
GPR32	1.2175
NEUROD6	-0.0381666666666666
SLC2A4RG	0.3249375
CA5B	0.75925
FBXL3	1.65775
MPHOSPH9	-0.93925
HMG2L1	0.54525
HCN4	0.365666666666667
CEACAM19	0.176
SH2D4B	0.447
HFE2	-0.482
TGM4	-0.134
LYPD2	-0.164
TBC1D15	0.1985
MRPS21	0.0586
NONO	-1.2175
CLEC5A	1.462
ITCH	-0.6139
MGAT3	-0.693666666666667
MBP	-0.538125
RPP25	-1.30025
SOSTDC1	0.33625
HRC	0.3035
TRIM48	-0.0825
TMEM133	0.30225
ECEL1P2	-1.6105
HOXC11	-0.939
DOK5	-0.56475
HELZ	-0.2145
LOC348180	-1.4555
MGC33894	0.27325
ADRB3	-0.031
DMD	-0.0830833333333334
PTRH2	-1.059
MPEG1	2.42666666666667
NDUFA12	0.0673333333333333
KRTAP2-4	-0.0538333333333333
STAMBPL1	-1.14116666666667
ADCY2	0.440166666666667
UNQ6125	1.0015
KLHL20	0.1495
SRM	-1.546
OTC	-0.15775
TMIE	1.26483333333333
SNX8	-0.123
LIPK	0.3705
CHURC1	0.616083333333333
KLC2	0.0443333333333333
HDAC1	-0.377333333333333
FAM128A	1.083
FNDC3B	0.0393
MTCP1	-0.12
WFDC10B	1.5013
PCDHGB3	0.0455
ATRNL1	-0.3644
CAV2	-0.6415
MED26	0.079
DUS1L	-0.08725
CHRM3	-1.77525
NEK9	0.84125
WARS2	-0.571
TBX22	2.1865
TOMM40	-1.081
RP6-213H19.1	-1.9175
TUBGCP5	0.39625
IGSF6	4.43375
TPPP	1.4995
UNQ6190	-0.029
GSTM5	1.469
BTD	1.35066666666667
PDCD1LG2	0.7575
SNRPB2	-0.570833333333333
ERICH1	-1.437
APOA4	-1.60125
HOXA11	-1.12775
NARG1	-0.020875
MKX	-1.191
RAB28	0.125785714285714
PKP3	1.2645
SH3GL2	-2.4385
CTSO	3.593
RPN2	0.2849375
IL28RA	-0.483
SFMBT1	0.7305
WDR57	0.53725
FER1L3	0.627166666666667
HSF5	-0.0774
TTC9B	0.01
C4BPA	-3.54466666666667
ALB	-3.8315
SORBS3	0.72925
UPF2	-0.076
JPH1	-0.176
AGBL2	1.8735
DOPEY1	0.452
TERF1	-0.176583333333333
KIF22	-0.0258333333333333
NINJ1	2.073
SEC61A2	-0.720083333333333
HIST1H1D	-2.09016666666667
SFXN4	-0.98725
UCP3	0.6503
ZNF703	2.00966666666667
MYL6B	-0.39525
TREM1	1.78325
OR52E6	0.2565
CKMT2	0.791
HLA-C	2.365
SLC13A3	-1.84816666666667
TIMP4	-2.15475
SLIT2	1.9015
RSF1	-0.246333333333333
LONRF1	-1.33114285714286
MON1A	0.577333333333333
CACNG6	-1.50133333333333
DPPA4	-5.83166666666667
ZSWIM3	0.395
ZNF804A	0.593666666666667
CCIN	1.41025
SLC25A31	-0.446
KCNMB4	0.21975
RABL5	0.7615
GALNS	0.0217
STX6	0.358
HIST1H1C	-0.819833333333333
CIDEB	-0.21275
CASP4	-0.201833333333333
PDK3	-0.1919
KCNJ11	1.839
TPR	-1.084875
ZSCAN20	-0.8485
MTX2	-0.1125
HIST1H2BH	0.08875
LOC283767	0.61075
LYRM7	-1.131
BRD3	0.1006
HIST1H2BO	0.1725
MAGEB10	-0.4185
SLC45A1	0.8985
SERPINA3	3.31265
KIAA0143	1.15775
KCNJ16	0.713666666666667
KRT79	0.057
FABP2	-1.42625
NUT	0.14475
ZNF57	-0.12475
FBXL4	0.061375
CLEC9A	-0.7465
UGT8	-0.627666666666667
BMP2K	0.6855
MAPK4	-4.02975
SLC25A23	-0.4982
HINT1	-0.2983
KRTAP13-1	0.465
SFXN5	0.9153
CHCHD2	0.00966666666666668
FAM3D	2.348
NDP	2.302875
RHOBTB1	0.139333333333333
SLC4A4	-1.5255
RPL38	-0.956
HTF9C	-0.719
AP2A2	0.611875
ZBTB46	0.0735
MAP7D1	0.4855
AOX1	-1.11766666666667
CYR61	0.1075
DTNA	0.639071428571429
JRKL	-0.90425
TMOD3	0.10375
EEA1	-0.4577
ADCK5	0.49225
IL1R1	0.660833333333333
KLK3	0.604
HRSP12	-0.82725
KTN1	-0.446
LOH11CR2A	0.9965
RELL2	-1.656
MAB21L1	1.595
C20orf59	-1.29766666666667
PHKB	1.006
ADAM2	2.16466666666667
TBC1D8B	1.57
FAM13A1	-0.7548125
LAPTM4B	-0.764583333333333
LCN8	0.153
TMEM147	0.4455
SYT4	3.93233333333333
XPO7	-1.0155
C9orf62	0.521
GPR75	-0.1205
TRIM5	0.3485
APOC1	-0.854166666666667
RNASE4	0.831333333333333
PARD6B	-1.6265
ARID1A	0.765333333333333
TPD52L3	0.1498
RRAGB	0.931
RCN2	-0.595666666666667
HIST2H2BE	0.4436875
STARD7	0.09775
SHMT2	-1.3045
KIAA1751	0.339
MLYCD	0.40225
LOC162632	0.3403
UQCRH	-1.5185
RP11-217H1.1	0.0595
SDHA	-0.302333333333333
NCLN	-0.3671
ZNF17	0.859833333333333
RCBTB2	-1.67
VEGFB	-0.4799
RP4-747L4.3	1.00825
COLQ	0.6388
MPN2	-1.09983333333333
DRG2	0.01
KLRB1	2.35975
ALPK2	-0.56525
DNASE2B	0.8625
FLJ23834	1.73966666666667
AXUD1	0.176
SAFB	0.0597
NSUN4	-0.26975
RFX2	0.443666666666667
MAPK8IP1	0.576833333333333
FANCD2	-1.11357142857143
ANKZF1	-1.321
C19orf50	-0.49325
DUSP8	1.086625
SENP5	-0.5785
NFKBIL2	-0.4845
LBR	-1.3235
IGFL1	0.791
LZTS2	-0.328125
IL2RG	-0.627625
CCDC51	0.2425
KLF3	0.374125
ANKRD37	-1.255
KCTD14	-0.573
FZR1	0.184833333333333
SLC44A4	3.5219
ESPL1	-1.10175
GMPR2	-0.1638
TBC1D19	-0.0365
ERGIC1	0.394592592592593
ERBB4	3.3267
TSPAN32	0.56825
MAP4	0.27225
GPHN	-1.0575
SLC6A2	0.512
HIVEP1	0.954
DFFB	-0.4893
EIF4EBP2	0.217625
DMRT1	-0.2195
HSPB6	-0.1645
IER2	-0.166833333333333
AIFM1	0.049
WWC2	-0.283083333333333
MRPL4	-0.66575
FLJ21062	1.36833333333333
EPB41L4A	0.864166666666667
SH2D6	0.54025
TAF4B	-1.08325
GAL3ST3	-0.108
MALT1	-0.544333333333333
RTDR1	0.17725
ARVCF	0.188125
MEX3B	-1.017
FBXO16	0.848
KIF7	-1.131
C1QC	3.3185
ZNF783	-0.187833333333333
ZNF85	0.28025
MMP13	5.317
KIAA0329	0.598
RTP3	-0.1945
ZBED3	-0.15325
CLGN	-0.6015
SLC25A37	-1.80375
hCG_18290	-0.5925
OR5AS1	0.188
SMARCC2	0.387166666666667
FAM109A	0.396833333333333
CCDC12	0.109
USF2	0.1675
DEPDC7	-1.3135
C20orf24	-0.870666666666667
JMJD3	0.49
DSP	1.90592857142857
SLIC1	0.2115
FAM20A	1.531
IRF2BP2	0.81325
ZNF230	0.4335
MSN	-0.569857142857143
SLC9A5	-1.84
EPDR1	-1.7684
MUSK	0.196166666666667
ZNF434	1.001
SMARCD1	-0.067
ZFP106	0.356
ZNF347	0.717
GTF2E1	-0.02875
RY1	-0.494833333333333
ATAD2B	0.23075
