Hybridization REF	TCGA-AQ-A04L-01B-21R-A10J-07
F8A1	0.295166666666667
PLEKHG4	-2.18375
GRB2	-0.15065
HIST1H2AD	0.4485
DUS3L	-1.067
EIF1	-1.0155
RP5-1077B9.4	-0.322833333333333
FPGT	1.16275
GDF10	-1.414
COQ9	0.355
GCC2	0.311142857142857
RARRES3	2.373
PLXNA1	0.0534
KIAA0100	-0.2627
PMF1	0.049
FNDC1	5.6205
HS2ST1	0.27025
CRELD2	1.072
C8G	-0.9985
CD82	2.791
LIM2	-1.3685
UNQ6490	0.1075
MMP16	-0.3885
DRD3	-0.07275
C5orf26	-1.30725
C11orf73	-0.567875
PTP4A2	0.73875
OR4M2	0.6155
HPCA	-0.838666666666667
SEC14L1	-0.346666666666667
CHFR	-0.054375
EMILIN1	1.22875
NDUFS4	-1.13025
COL18A1	0.04875
PDZD3	0.0251
C9orf16	0.381
ERBB2IP	-0.275333333333333
EMX2	3.812
FUS	-1.02975
TF	-3.3815
CLCN4	-0.990833333333333
CXorf56	-0.282
C11orf72	0.19725
ELAC2	-0.344833333333333
NPR1	-1.238
ASS1	0.686
USP42	-0.407875
POLR2J	-0.2025
SEC23IP	2.91916666666667
UQCRC1	-0.2105
LOC729603	-0.107
C1orf71	-0.532375
POLG	-1.6565
ADAM23	-3.4575
TFR2	-1.0345
RICTOR	-0.8486
MGC39606	0.62325
C19orf55	-0.0645
SNAPC1	-0.860833333333333
GNA11	1.81125
CCDC52	0.101833333333333
FSIP1	3.229
UPF3A	-0.11825
IGSF11	-2.73016666666667
LAGE3	-0.097
CHST6	-1.425
UNC13B	0.14225
TTLL4	-0.57025
ZNF687	-0.0640000000000001
SDC2	-0.6557
COX7A2	-1.05875
LAMB4	-0.20925
FAM24A	0.114
LRRTM3	-0.815333333333333
GPHB5	0.2345
OR4C13	0.3215
EIF3EIP	0.860428571428572
HABP4	-1.308
TMEM125	3.10175
CNTN2	0.070625
ASNSD1	-0.5235
FUT4	-0.666625
ACF	-3.9045
LOC158381	0.3165
CDH8	0.28425
AGPS	-2.6085
C4orf18	4.891125
PECI	-0.108833333333333
UNG	-0.561
GSTP1	-2.400125
DCUN1D5	-1.11816666666667
DKFZP564J0863	-0.52475
SLC9A3R1	0.6375
BCDO2	-1.295125
CHMP7	-1.310125
REM2	0.385
DNHD1	0.003125
FKBP4	-0.08575
ZNF350	2.90275
MGC11102	0.665375
BST1	1.18375
KISS1R	1.297
NCR2	0.1535
DEFB125	-0.132
UBE2W	0.65725
KRT15	1.091375
C10orf99	0.2655
SCN11A	-0.0815
GFI1	-3.3365
RDHE2	6.06083333333333
FHL1	-1.42583333333333
OSGEP	-0.919666666666667
GATA1	-3.33816666666667
SMC6	-0.6795
TTTY14	-0.84425
LPIN3	0.6985
RPL4	0.6633
RBPMS	-0.6584
PRPF3	-1.50133333333333
EMR1	-2.6045
SPATA19	0.1685
XCR1	0.585
IRX3	2.5835
RBM6	-0.63025
KLF4	-0.1915
UNC5CL	-0.79825
SEBOX	0.032
BTK	-1.1455
KRCC1	0.884
C6orf27	0.3215
SYTL5	-0.897
PRND	2.046625
LOC653319	-0.7515
PIGL	-0.313625
HUS1	1.97616666666667
SFRS6	0.0874166666666667
C17orf77	0.303
UIMC1	-0.934166666666667
FXYD2	-1.6543
LOC283152	-0.50875
ZNF667	-1.45275
ZCCHC12	-0.30875
TFEC	1.7801
ATP7B	-0.413333333333333
POLD2	-0.777333333333333
RG9MTD1	0.54775
ACOT2	-0.145666666666667
HIST1H4I	-0.673625
PPARGC1A	-1.2609
ETFA	-0.8738
POLRMT	-0.631
ZNF146	0.386625
MIA2	-1.088
KLHL6	-1.71416666666667
HOXB5	-0.611
NENF	0.700666666666667
CUGBP1	-0.76075
PRSS22	2.051
CASC4	1.3583
CUL4B	0.8922
CENPJ	-2.2904
PITX1	1.63483333333333
FLJ31033	0.711333333333333
CELSR3	0.755833333333333
ZNF568	-0.332
ITSN1	-1.31441666666667
EHBP1L1	-0.686166666666667
C19orf2	-0.36875
DCTN1	0.02675
LIN28B	-3.57316666666667
TNKS2	1.01025
C1QBP	-0.1925
CADPS2	1.1795
SRMS	0.525
GJA9	0.022
MGC24975	-0.718666666666667
TRIM45	-0.799833333333333
TSP50	-0.24225
TCP1	-1.39625
TMED7	-0.5206
CMA1	0.6165
CENPL	-1.11266666666667
PTCRA	0.015
FST	-3.877
VWCE	-2.95825
PAWR	-0.5255
ABCC12	3.2055
LDLR	-0.0762
ASTN2	1.6896
LOC441212	1.110125
GPATCH8	-0.1615
TANC2	-0.202833333333333
KIF4A	-2.67375
C18orf18	-0.482
PGM1	0.1455
KIAA0258	-0.025
CPD	0.464625
SNCAIP	-0.9765
DCT	-3.957
HLA-DOA	2.51327272727273
OR11L1	0.447
UPK1B	-0.329666666666667
DNAJB4	-0.8775
UGT1A8	-0.13625
HIST1H4L	-1.3355
PECR	-1.3755
HSPA2	0.5915
WFIKKN1	-1.481
SERP1	0.50825
SYDE2	4.41175
TACR2	1.2855
NUP85	-0.6985
CD177	-0.224666666666667
LGR5	-1.38183333333333
PIGG	-0.63425
PTHR1	-1.69316666666667
RAB5A	-0.1638
FLJ13224	0.9745
USP9Y	-1.14366666666667
C7orf53	-0.7355
LRP1B	-0.90175
XAF1	1.193
ABCG8	-0.027
ANKDD1A	-0.161833333333333
DAND5	-0.8875
SPAG6	-0.292666666666667
LINCR	0.11325
ZDHHC22	-1.504125
CCDC60	0.582
THOC7	-1.2965
TCTA	0.2985
OR8K3	0.45375
NY-REN-7	-0.365
B2M	0.772166666666667
C6orf141	0.858375
LPPR4	0.93
SQLE	0.0595
SEPHS1	0.23775
BTBD14B	0.825
PLRG1	-0.23425
SPG7	-0.0689375
ZNF614	0.441833333333333
PARD6G	0.9375
INPP5B	-0.4272
GRPEL2	-0.903625
PPID	-0.5866
TRIM56	-0.84625
UBE2J1	-0.320625
IL20RA	3.7225
LOC387856	0.36575
C1orf107	0.367916666666667
UTS2R	1.251
C19orf22	-0.115
SAFB2	0.493125
KIAA0652	0.657
KLRG1	-0.732666666666666
MS4A8B	-0.100333333333333
FRAG1	0.862
KIAA1546	-0.2645
E2F4	-0.2015
CLEC4M	0.419833333333333
BTBD14A	-0.67575
KIAA0999	0.4501
GYPA	-2.73983333333333
TAC1	-0.2035
TRAIP	-1.803
KIAA0232	0.2651
ERCC8	-0.953
GPX4	1.95425
KIAA0368	0.071875
GPR157	0.684666666666667
CTAGE4	-0.609
C9orf30	-1.46516666666667
OR52A1	-0.083
HSP90B3P	-0.7805
ALG9	-0.3747
BTBD10	0.22675
SDK2	-0.24525
BAIAP3	-2.00125
RABGGTB	-0.180875
ANKRD40	-0.417333333333333
KRT74	0.324
CALCOCO2	-0.0573571428571429
SNCA	-3.7185
TMSL8	-4.550125
C2orf53	0.0105
ESRRB	-0.66075
ARHGAP26	-0.474375
TDRD9	-2.91625
HRAS	1.37183333333333
KLRC4	-2.643
JAGN1	-0.3935
BSDC1	0.6725
RNF43	-0.4966
NDUFAF1	-0.07
PHF12	0.33575
OR1L3	0.0755
FOLR2	1.0325
LYZL6	0.117666666666667
tcag7.1260	0.4335
WSB1	-1.00733333333333
PROS1	-1.0643
OSTN	0.4885
PSMB8	-0.72725
SOCS4	-0.455
DDIT4L	-0.517
MAS1	0.2535
MGC34796	0.832
CSHL1	0.274166666666667
TBCCD1	-0.5155
ZBTB7C	-0.134
AP2S1	-0.62425
P15RS	-1.0173
VAT1	-1.147
SHANK3	0.367166666666667
TUFM	-0.3935
THEG	0.10325
KRT34	-1.4435
SGSM3	1.266625
TOMM22	0.38925
SOCS3	0.3055
CPO	-0.4265
POP4	0.029
BHLHB3	0.1485
MALL	0.2285
OR1B1	0.269
PARK2	0.0206666666666667
GPR124	0.779125
LCE1E	0.2275
RUVBL2	-0.94625
CGRRF1	-0.2417
ACPL2	-0.15075
WNT10B	-2.53725
BAIAP2L2	-0.2115
ISCA1	-0.0315
C1orf125	-0.27875
RPAP1	0.0655
RAI16	-0.146333333333333
RPL27	-0.276625
NLRP9	-0.0655
EPN1	0.0415
LOC388610	-0.812625
SLC35A1	-0.0657
GAL	-2.68175
SLC14A2	0.24925
RDH11	-0.3735
FAM138F	0.2985
AUH	1.53775
FLJ40243	0.0315
C14orf129	-0.0675
MBD2	0.139666666666667
ABHD14B	-0.3475
PIGT	0.6105
ALS2CR4	0.00587499999999998
ALAS1	-0.101
FOXO1	-0.074
CRLF3	-0.87775
C20orf107	0.869
FARS2	0.08175
CCDC28A	-0.31975
NPHP3	-0.335
OR13F1	0.4515
TSEN54	-0.31575
DEFB106B	0.0552
OR8B4	0.095
STH	1.16275
ZC3H14	-1.234375
CBX2	0.0095
TMEM49	-1.41525
C6orf21	0.063
FLJ20920	1.486875
CRTAP	-0.222357142857143
DDX50	-0.33125
STYXL1	-0.15975
BLVRB	-0.1095
LOC147650	0.1565
MMP24	0.26325
GRID1	1.21666666666667
BANF1	0.298
CTAGEP	-0.4555
HMBS	-1.50525
SLC25A24	0.0185
C14orf50	1.111
MRO	0.515833333333333
SLC25A15	-0.312
FAM84B	2.3758
TDP1	-1.425
C16orf78	0.0653333333333333
C11orf57	0.592
RFK	-1.984375
ZFYVE9	0.568125
STCH	-1.3736
WIBG	0.25675
LOC283871	-0.4755
GBA2	-0.3962
NDUFB3	0.11925
HSD17B13	-0.28475
GRIN3A	0.336333333333333
FMNL1	-1.046
SEPT7	-0.65
GNLY	0.6055
GRAMD1C	1.287
ZNF165	-1.08375
USP38	0.762
FAM83A	-1.84033333333333
C14orf24	0.647166666666667
ARMCX3	0.04475
ARHGDIB	0.248833333333333
AK1	0.193375
KIAA1045	-0.35375
DNAJB13	0.197333333333333
NEU2	0.178
HIST1H4B	-1.122
FAM20B	-0.5207
HES2	-0.103285714285714
FAM73B	-0.7461
LOC388381	-0.11325
INTS7	-0.474909090909091
AMPH	0.7125
ZNF775	-0.04475
UCKL1	-0.0958333333333333
C10orf97	-0.083
C1orf161	0.04975
ALDH1L1	-1.837
FLJ39378	-0.246875
SLC23A1	-1.62
RBM4B	-0.52225
THAP4	0.309333333333333
OGFRL1	-0.38675
KIAA0831	0.16
PPP1R15A	-0.249
C1orf96	0.0998571428571429
C12orf11	-1.623
BMF	0.66
MAN1A1	-1.856875
KIAA1600	2.29233333333333
NLGN4X	-2.18675
ALOX12	-1.01
RB1CC1	0.4429
NEIL2	-0.4203
EIF4E	-0.748954545454546
ABHD5	-0.90925
EXOC4	-1.09266666666667
CIP29	-0.871
BATF2	-0.61125
SLC29A4	-1.030875
HTR4	0.14925
EMB	-2.39675
TRAF6	0.527
LMNB1	-2.7575
FAM19A5	0.7325
SHE	1.19025
PIK3C2B	1.054
C15orf15	-0.2391
USP15	-0.3447
TCEAL2	-0.2735
C5orf39	-1.31566666666667
PTGER2	-0.76375
SLC31A1	1.34675
IFT172	0.80825
ADAM29	0.371
GFOD1	0.4255
ST7L	0.939166666666667
C15orf26	-2.6335
PKN3	-0.5995
CNTD1	1.925
COMMD1	0.2775
NTRK2	1.10933333333333
FOXN3	-0.18
MFGE8	0.3612
PFKFB2	1.568
TAS2R4	-0.3575
ENTHD1	1.07616666666667
PRMT5	-1.538125
MGC16384	-0.907625
LOC442229	-0.0455
TSKU	3.0495
KRTCAP3	2.004625
PDLIM1	1.303
KCNS2	0.189
RNF126	0.473333333333333
CEP63	-0.35575
CLIC4	0.12525
hCG_1990170	-0.24725
ACR	0.6992
KLK7	0.2055
ALOX5AP	2.723125
RIPK3	2.27975
TAS2R9	0.2795
C19orf18	1.832
BIRC6	0.3245
ZNF16	1.418
RFT1	-0.513
SLC8A2	-0.25425
TACC1	-0.01425
ITGAD	0.017
SAMHD1	-0.22375
SH3PXD2B	0.8076
EPC2	0.048
C20orf85	1.2415
ATP13A2	0.464
KRT4	0.48725
CAPNS1	0.4635
MDM2	-0.830416666666667
PCDH20	3.66425
KCNK9	0.666
OR2C1	0.273
KLHDC3	-0.715666666666667
IPPK	1.6455
EFHD2	-0.142125
GALR3	1.22575
NBEA	-1.44766666666667
ABCA6	1.4614
CLDN3	1.89066666666667
AKT2	0.739928571428572
EGFR	-0.9234
RBM16	0.028
ZDHHC3	0.7989
SLC25A4	-0.00416666666666667
CYB5B	-0.812166666666667
CPXM1	0.0415
NDRG1	-1.007
FLJ43826	-0.18525
OR5L2	-0.0296666666666667
FARP2	0.6282
MRPL46	-0.69275
LDHAL6B	0.28
MAPKAPK3	-0.174333333333333
NCAM2	-3.0455
PRKD2	-0.430833333333333
ZFP36L1	0.9425
CYSLTR1	-1.6505
OR4C3	0.02675
HIST1H2AJ	0.8385
CCNB2	-2.43822222222222
ZNF10	-0.40775
TMEM175	0.5755
FAM134A	0.770166666666667
TIGD4	-0.7825
PCNP	0.655
MGC39715	0.022
LQK1	-0.09825
CREB1	0.3672
TMPRSS3	-3.07325
C4orf32	-0.862875
LAT	-2.13308333333333
KCNA3	0.1155
SKIV2L2	-1.344
ROPN1B	-4.15325
tcag7.23	-0.4385
CDT1	-2.38475
ZHX2	0.964875
CD28	-3.005
ZNF624	0.11175
SEPT2	-0.0885
SOHLH2	-1.610375
MCOLN3	-1.050125
UNQ1945	0.6715
MASP2	-0.785
ZNRF3	0.194
GPATCH3	0.43975
AGL	0.63025
QRICH2	-0.1955
PSD4	1.55133333333333
CCNB1IP1	-1.25925
ENPP7	0.113
OBFC1	0.63075
KCNG3	-0.38125
C14orf79	0.306833333333333
ENPEP	2.0965
SCT	2.3765
SKI	1.237625
SEC61G	-0.9765
CAPN11	-0.17775
ATXN7L3	0.0555
DBNDD1	1.13083333333333
FAIM	1.1325
ANKRD36	-0.98
GABRP	-0.650333333333333
TACSTD2	1.5605
EIF3J	-0.44525
PPP2R2A	-2.158
TEKT4	-0.618666666666667
PVALB	-3.23133333333333
F10	-2.70633333333333
FAM134C	0.9132
COMP	5.041125
EFCBP1	-2.630875
SCLT1	-0.7955
TAL1	-1.0739
ACSL1	2.671
ABCC5	-1.2935
ABL1	-0.329111111111111
RBBP7	-0.69275
PTPRG	-1.208
NCOR1	-0.1233
SPINK4	-2.07566666666667
TXNRD1	-2.1585
TNRC15	0.738375
C9orf138	0.57975
UBE2H	0.974333333333333
BRDT	2.41816666666667
C8orf31	-0.1195
CCNE2	-0.843
SLC6A8	-1.452625
CALCR	-4.33275
PPP1CB	0.935416666666667
ABHD8	0.882
ARF5	0.2812
SLC24A4	0.1875
CCT3	-0.3495
ZNF121	-0.0565
SLC3A2	-0.5944
OR13A1	0.2985
SLC5A10	0.0165
RAD50	-0.949625
IER5	0.15775
MTHFD1L	-1.187
MBTPS2	0.051
MVK	-0.207375
NCL	-0.0577
PSMD10	-0.2115
MOBP	0.1565
FLJ32894	-0.106
HRH1	-0.187833333333333
C5orf30	-0.9765
NUDT16L1	0.8533
RASGRP3	3.38133333333333
PRKRIP1	-0.6461
CCDC75	-0.5265
LOC253970	0.177
KIAA1239	-0.32875
MED21	-0.85075
SYT11	-0.162
NTSR2	1.902
EGFL11	0.6735
CXorf59	0.5515
OR2A25	0.3885
SPTBN2	0.42225
LRMP	-1.69733333333333
RNF111	0.11725
PTH	-0.7015
LOC619208	0.137666666666667
KIAA0895	-0.316
RANBP5	-0.854875
P2RY10	-0.4875
NME5	-0.696333333333333
DDX21	0.06475
LRSAM1	0.3995
HDAC11	-0.0466666666666667
VMO1	2.083
NOLA2	-0.896
ADAR	-0.352333333333333
MTO1	-1.58016666666667
SF4	-0.346833333333333
P2RX1	-0.444833333333333
HBM	-0.01075
EN2	1.126
C14orf172	0.0825
TM9SF2	0.2722
INHBE	-1.371
TCTE3	1.10291666666667
TOX2	-3.258
CTAGE3	-0.065125
HBB	2.603
MED15	-0.501166666666667
CASR	0.111
C6orf66	-1.70983333333333
MTPN	-0.954625
UNC50	-0.21475
C21orf33	-0.249625
IRF2	0.9505
PGR	-1.96066666666667
GPR84	2.216
CROCCL1	-1.19775
SRPX	-1.52575
BRE	0.499166666666667
FGF10	0.62125
SDC3	0.512333333333333
ZRSR1	0.628
DKFZP434P211	0.853875
SOX6	0.168
RPUSD2	0.06575
C14orf173	-0.490583333333333
MAPK11	-0.0185
TBC1D22A	0.676
FAM123A	-0.236
COL4A6	-3.513
TOMM70A	0.94275
NAB1	-0.37625
MGC16385	-0.334125
TSPAN18	0.0208333333333333
MED31	-0.093
PLG	-0.428
CAPSL	1.0575
ZNF532	0.6854
ASB14	0.0535
CA8	2.3045
NUDT16P	1.15716666666667
SLFN11	-1.651
LRRIQ2	0.723875
NOL7	-1.1095
BRMS1L	-1.246375
JARID1A	0.154833333333333
PANK2	-0.23225
ICAM3	0.18925
MDS1	-0.794
TAF8	-0.929
RNF139	0.847
ZNF594	-0.1355
ADAM8	1.873875
SFTPC	0.031
MAN2B2	0.970625
RGS12	-0.0410625
EIF1AY	-4.62308333333333
LRRIQ1	-1.96666666666667
GPR150	1.285
CCDC21	-1.04766666666667
PRRG3	0.263
SAA4	0.4135
RAPGEF5	4.417875
ZCCHC2	0.198916666666667
MGC39372	0.55
PPP4R2	-0.388
CDCA2	-2.91933333333333
OR4D5	0.420333333333333
PTGFRN	1.0753
SIGLEC5	2.002
C19orf61	-0.874666666666667
NMUR2	0.252
KIAA1586	-0.996166666666667
DAGLA	0.512166666666667
CHCHD6	-0.31525
GPR32	0.681
NEUROD6	0.0843333333333334
SLC2A4RG	0.2570625
CA5B	1.706
FBXL3	1.45625
MPHOSPH9	-2.0965
HMG2L1	0.72675
HCN4	0.678666666666667
CEACAM19	0.3865
SH2D4B	4.58583333333333
HFE2	-0.74
TGM4	0.0623333333333333
LYPD2	0.05125
TBC1D15	0.572
MRPS21	-0.5899
NONO	-0.8836
CLEC5A	2.549625
ITCH	0.9315
MGAT3	-1.23133333333333
MBP	-1.161125
RPP25	0.7345
SOSTDC1	-3.133
HRC	-1.68175
TRIM48	-0.163
TMEM133	-0.49025
ECEL1P2	-0.91675
HOXC11	1.8285
DOK5	-0.67075
HELZ	-0.1315
LOC348180	-0.4455
MGC33894	0.54625
ADRB3	-0.012
DMD	-0.4645
PTRH2	-1.11925
MPEG1	2.38433333333333
NDUFA12	-0.2905
KRTAP2-4	0.197583333333333
STAMBPL1	-1.61866666666667
ADCY2	1.78066666666667
UNQ6125	0.442
KLHL20	0.256833333333333
SRM	-0.1035
OTC	-0.3
TMIE	0.231666666666667
SNX8	-0.39425
LIPK	0.6885
CHURC1	-0.136833333333333
KLC2	0.3085
HDAC1	0.267166666666667
FAM128A	0.5825
FNDC3B	0.1897
MTCP1	-0.0886666666666667
WFDC10B	0.1641
PCDHGB3	0.321
ATRNL1	-2.3421
CAV2	-0.5815
MED26	0.734666666666667
DUS1L	1.54575
CHRM3	-1.933
NEK9	0.257
WARS2	0.01375
TBX22	0.004
TOMM40	-1.077
RP6-213H19.1	-0.572333333333333
TUBGCP5	-0.0595
IGSF6	4.68025
TPPP	0.5195
UNQ6190	0.518
GSTM5	0.467
BTD	0.120166666666667
PDCD1LG2	0.0695
SNRPB2	-0.7655
ERICH1	-1.868
APOA4	-1.4955
HOXA11	-1.41975
NARG1	-0.74825
MKX	-0.67375
RAB28	-0.905714285714286
PKP3	1.7875
SH3GL2	-2.83775
CTSO	2.8535
RPN2	0.5978125
IL28RA	-0.5875
SFMBT1	0.23175
WDR57	-0.17875
FER1L3	0.597416666666667
HSF5	0.304833333333333
TTC9B	0.5
C4BPA	-3.207
ALB	-3.84035714285714
SORBS3	-0.05925
UPF2	0.341
JPH1	-0.094
AGBL2	-0.81425
DOPEY1	0.8065
TERF1	-0.418
KIF22	-1.02833333333333
NINJ1	0.473
SEC61A2	0.364583333333333
HIST1H1D	-1.7625
SFXN4	1.083375
UCP3	0.4993
ZNF703	2.17716666666667
MYL6B	-0.7395
TREM1	3.13225
OR52E6	0.174
CKMT2	0.42275
HLA-C	0.79075
SLC13A3	-1.56216666666667
TIMP4	-2.213
SLIT2	1.51675
RSF1	0.453555555555556
LONRF1	-1.91971428571429
MON1A	-0.330666666666667
CACNG6	-1.76016666666667
DPPA4	-4.78516666666667
ZSWIM3	0.17075
ZNF804A	0.209833333333333
CCIN	1.67375
SLC25A31	0.15125
KCNMB4	-0.605
RABL5	0.713875
GALNS	0.2088
STX6	0.140625
HIST1H1C	-0.743333333333333
CIDEB	0.599375
CASP4	-0.375333333333333
PDK3	-1.2118
KCNJ11	2.0485
TPR	-0.567875
ZSCAN20	-0.4965
MTX2	-0.81075
HIST1H2BH	-0.20375
LOC283767	1.53275
LYRM7	-1.14411111111111
BRD3	0.543166666666667
HIST1H2BO	-0.141
MAGEB10	0.164
SLC45A1	0.614
SERPINA3	-0.21675
KIAA0143	0.994
KCNJ16	-0.216666666666667
KRT79	0.07275
FABP2	-0.768
NUT	-0.19475
ZNF57	1.21675
FBXL4	-0.98125
CLEC9A	-0.1575
UGT8	-1.3485
BMP2K	0.03925
MAPK4	-3.412
SLC25A23	1.2352
HINT1	-0.8999
KRTAP13-1	0.316
SFXN5	-0.4666
CHCHD2	0.06225
FAM3D	1.4395
NDP	-3.518375
RHOBTB1	0.6925
SLC4A4	0.083
RPL38	0.07625
HTF9C	-0.205666666666667
AP2A2	0.472625
ZBTB46	-0.8545
MAP7D1	0.435875
AOX1	-0.217333333333333
CYR61	1.39825
DTNA	-1.44242857142857
JRKL	-0.0875
TMOD3	-0.431
EEA1	0.0948
ADCK5	0.56275
IL1R1	0.2785
KLK3	0.518714285714286
HRSP12	0.56875
KTN1	-0.02575
LOH11CR2A	-0.1765
RELL2	-0.3125
MAB21L1	0.84275
C20orf59	-1.164
PHKB	0.28675
ADAM2	-2.02283333333333
TBC1D8B	1.53083333333333
FAM13A1	-0.5800625
LAPTM4B	1.44391666666667
LCN8	0.068
TMEM147	0.828
SYT4	0.00283333333333334
XPO7	-1.6485
C9orf62	1.38975
GPR75	0.043
TRIM5	-0.086
APOC1	0.169333333333333
RNASE4	1.252
PARD6B	-1.6535
ARID1A	0.129333333333333
TPD52L3	0.1198
RRAGB	0.2775
RCN2	-0.3925
HIST2H2BE	-0.1044375
STARD7	-0.4885
SHMT2	-0.505
KIAA1751	0.300666666666667
MLYCD	-0.23725
LOC162632	-0.5774
UQCRH	-1.00325
RP11-217H1.1	0.8813125
SDHA	-1.08366666666667
NCLN	0.4467
ZNF17	0.0545
RCBTB2	-2.23475
VEGFB	-0.5023
RP4-747L4.3	-0.30525
COLQ	-0.2229
MPN2	-0.47
DRG2	-0.27575
KLRB1	1.44175
ALPK2	-1.0685
DNASE2B	2.8985
FLJ23834	-0.340833333333333
AXUD1	1.1015
SAFB	0.6454
NSUN4	0.0395
RFX2	1.44833333333333
MAPK8IP1	-0.092
FANCD2	-0.669428571428571
ANKZF1	-0.5575
C19orf50	0.050875
DUSP8	0.827625
SENP5	0.11
NFKBIL2	-0.53
LBR	-2.62375
IGFL1	0.2665
LZTS2	0.2405
IL2RG	-1.39875
CCDC51	-0.1985
KLF3	0.075625
ANKRD37	1.231
KCTD14	1.58833333333333
FZR1	0.904916666666667
SLC44A4	4.6282
ESPL1	-1.150125
GMPR2	-0.8888
TBC1D19	-1.59083333333333
ERGIC1	-0.184518518518519
ERBB4	2.2101
TSPAN32	-0.172416666666667
MAP4	-0.247
GPHN	-0.62975
SLC6A2	-0.1935
HIVEP1	0.3065
DFFB	-0.4261
EIF4EBP2	1.193375
DMRT1	-0.1035
HSPB6	-0.14975
IER2	-0.127833333333333
AIFM1	0.03775
WWC2	-0.798916666666667
MRPL4	0.78025
FLJ21062	1.25366666666667
EPB41L4A	-0.12025
SH2D6	0.16775
TAF4B	-0.71925
GAL3ST3	0.17
MALT1	-1.05533333333333
RTDR1	1.4265
ARVCF	0.80075
MEX3B	-1.755
FBXO16	-0.93875
KIF7	-1.4315
C1QC	4.03466666666667
ZNF783	-0.3585
ZNF85	0.9115
MMP13	3.8165
KIAA0329	0.234125
RTP3	-0.4905
ZBED3	-0.7465
CLGN	-0.46375
SLC25A37	-1.56691666666667
hCG_18290	-0.218
OR5AS1	0.3805
SMARCC2	0.366916666666667
FAM109A	-0.2375
CCDC12	-0.50525
USF2	1.0138
DEPDC7	-1.679
C20orf24	-0.224166666666667
JMJD3	0.5465
DSP	0.776428571428571
SLIC1	0.416625
FAM20A	0.735375
IRF2BP2	-0.2625
ZNF230	-1.084
MSN	-0.6165
SLC9A5	1.4505
