Hybridization REF	TCGA-A1-A0SP-01A-11R-A084-07
SELL	1.361125
OR8J3	-0.1605
LTBP4	-0.3925
SIRT6	0.05925
CCL19	4.79475
PPIL1	-0.909
GBP7	0.566833333333333
STK17A	-0.7635
ABR	0.25975
OR9G1	0.433
FOXE1	-0.588
CNGA3	-0.385
GML	0.2335
CD38	-0.0825
ZDHHC6	0.377166666666667
NEFH	-2.38625
CTDSP2	0.269833333333333
PGBD5	0.692333333333333
CCNY	0.192285714285714
RMND5B	-0.742666666666667
ZNF257	-0.3605
FLJ22167	0.643125
EXOSC7	-0.347
ROR2	0.432625
MAOA	-0.924875
TNNT3	3.00783333333333
GYPC	-1.26575
C7orf33	0.054
PLIN	2.715
LOC90826	0.076
RNF4	-0.0261
F8A1	0.3455
PLEKHG4	-1.04825
GRB2	-0.07275
HIST1H2AD	-1.46025
DUS3L	0.0681666666666667
EIF1	-1.02016666666667
RP5-1077B9.4	-0.765166666666667
FPGT	0.63475
GDF10	-0.1875
COQ9	-0.10475
GCC2	-0.256642857142857
RARRES3	1.0265
PLXNA1	-0.0041
KIAA0100	-0.3471
PMF1	0.02275
FNDC1	5.83575
HS2ST1	0.310166666666667
CRELD2	0.2015
C8G	-0.424
CD82	0.211
LIM2	-1.0315
UNQ6490	0.1165
MMP16	0.85125
DRD3	0.00125000000000002
C5orf26	0.0255
C11orf73	-0.353625
PTP4A2	0.447
OR4M2	0.515
HPCA	-1.19383333333333
SEC14L1	-0.183333333333333
CHFR	0.26775
EMILIN1	0.837875
NDUFS4	-0.81875
COL18A1	-0.448875
PDZD3	-0.1308
C9orf16	0.610333333333333
ERBB2IP	-0.334666666666667
EMX2	2.953
FUS	-0.91725
TF	-3.9497
CLCN4	0.9355
CXorf56	0.41125
C11orf72	0.37525
ELAC2	-0.461416666666667
NPR1	-0.30325
ASS1	-0.476166666666667
USP42	0.02975
POLR2J	-0.4745
SEC23IP	-0.0801666666666666
UQCRC1	1.22675
LOC729603	-0.55025
C1orf71	-0.634375
POLG	-1.49
ADAM23	-3.686
TFR2	-0.15325
RICTOR	-0.7295
MGC39606	0.013
C19orf55	-0.0955
SNAPC1	-1.08033333333333
GNA11	0.51025
CCDC52	-0.3135
FSIP1	-0.425
UPF3A	-0.863375
IGSF11	-2.25666666666667
LAGE3	-0.0795
CHST6	-0.2785
UNC13B	-0.581
TTLL4	0.555875
ZNF687	0.295875
SDC2	0.3505
COX7A2	0.2545
LAMB4	0.04025
FAM24A	0.327
LRRTM3	-0.796833333333333
GPHB5	0.1235
OR4C13	-0.0565
EIF3EIP	0.601071428571428
HABP4	0.184
TMEM125	3.5595
CNTN2	0.31325
ASNSD1	0.04125
FUT4	0.178875
ACF	-3.857
LOC158381	-0.6525
CDH8	-0.01975
AGPS	0.0145
C4orf18	0.905125
PECI	-2.65216666666667
UNG	0.380375
GSTP1	1.043375
DCUN1D5	-1.07383333333333
DKFZP564J0863	-0.065
SLC9A3R1	-1.3505
BCDO2	-0.89275
CHMP7	0.188
REM2	-0.104
DNHD1	-0.196625
FKBP4	1.090375
ZNF350	1.1745
MGC11102	0.056875
BST1	0.972
KISS1R	0.5585
NCR2	0.1535
DEFB125	-0.118
UBE2W	1.129625
KRT15	1.629125
C10orf99	0.396
SCN11A	0.330375
GFI1	-1.49525
RDHE2	2.73083333333333
FHL1	-1.55166666666667
OSGEP	-0.9185
GATA1	-3.49583333333333
SMC6	-0.40325
TTTY14	-1.40575
LPIN3	-0.43
RPL4	-0.4797
RBPMS	-0.4421
PRPF3	-0.0015
EMR1	-1.7295
SPATA19	2.60675
XCR1	0.5
IRX3	1.2776
RBM6	0.40975
KLF4	-0.0391
UNC5CL	-1.6155
SEBOX	-0.1975
BTK	-0.11225
KRCC1	0.72375
C6orf27	0.1365
SYTL5	-0.676
PRND	1.30625
LOC653319	-0.8995
PIGL	-1.741375
HUS1	0.0561666666666667
SFRS6	0.713916666666667
C17orf77	0.041
UIMC1	-1.6475
FXYD2	-1.5872
LOC283152	0.2285
ZNF667	1.32475
ZCCHC12	1.20325
TFEC	2.6669
ATP7B	-0.4525
POLD2	-0.0641666666666667
RG9MTD1	-0.1015
ACOT2	-0.106166666666667
HIST1H4I	-0.751125
PPARGC1A	-1.6199
ETFA	-1.5002
POLRMT	0.0135
ZNF146	0.50425
MIA2	-1.4165
KLHL6	0.638
HOXB5	-1.60875
NENF	0.547
CUGBP1	-0.925
PRSS22	0.0558333333333334
CASC4	0.4035
CUL4B	-0.3919
CENPJ	-1.2967
PITX1	-0.552166666666667
FLJ31033	1.0325
CELSR3	-0.009
ZNF568	1.07325
ITSN1	-0.35875
EHBP1L1	-0.706666666666667
C19orf2	0.2035
DCTN1	-0.01975
LIN28B	-3.01583333333333
TNKS2	-1.3825
C1QBP	-0.628375
CADPS2	0.9515
SRMS	0.05925
GJA9	0.0261666666666667
MGC24975	-0.763333333333333
TRIM45	-0.588666666666667
TSP50	-0.44375
TCP1	0.602
TMED7	-0.7209
CMA1	0.594
CENPL	-0.259833333333333
PTCRA	0.3595
FST	-4.05825
VWCE	-4.25875
PAWR	0.14825
ABCC12	0.0396666666666667
LDLR	-1.0124
ASTN2	-0.0922
LOC441212	0.6765
GPATCH8	-0.38475
TANC2	-1.591
KIF4A	-1.0635
C18orf18	0.13975
PGM1	-0.71275
KIAA0258	1.24725
CPD	-0.25025
SNCAIP	-0.316
DCT	-4.21383333333333
HLA-DOA	2.48968181818182
OR11L1	0.592
UPK1B	0.867
DNAJB4	0.037875
UGT1A8	-0.12125
HIST1H4L	-0.0005
PECR	-1.25366666666667
HSPA2	0.3955
WFIKKN1	-2.2815
SERP1	0.5345
SYDE2	0.7205
TACR2	0.6505
NUP85	-0.014
CD177	-0.33
LGR5	0.600166666666667
PIGG	-0.159416666666667
PTHR1	-1.7045
RAB5A	-0.8084
FLJ13224	0.372
USP9Y	-0.7955
C7orf53	-0.7875
LRP1B	-0.8485
XAF1	1.7828
ABCG8	-0.4215
ANKDD1A	-0.623833333333333
DAND5	-1.6325
SPAG6	0.041
LINCR	2.84175
ZDHHC22	-1.502375
CCDC60	-0.3215
THOC7	-1.20416666666667
TCTA	0.5564
OR8K3	0.30275
NY-REN-7	-0.165
B2M	0.7285
C6orf141	-1.425
LPPR4	1.39525
SQLE	-0.6085
SEPHS1	-0.21125
BTBD14B	0.6345
PLRG1	0.43225
SPG7	-0.685625
ZNF614	-0.08
PARD6G	1.07766666666667
INPP5B	0.7978
GRPEL2	-0.303375
PPID	-0.7413
TRIM56	-0.692
UBE2J1	0.813375
IL20RA	2.50175
LOC387856	0.9685
C1orf107	0.786333333333333
UTS2R	0.579
C19orf22	0.40275
SAFB2	-0.226625
KIAA0652	0.0615
KLRG1	0.834333333333333
MS4A8B	0.722
FRAG1	1.043
KIAA1546	0.82075
E2F4	-0.7869
CLEC4M	0.227166666666667
BTBD14A	-0.08425
KIAA0999	0.1876
GYPA	-3.21
TAC1	-0.3735
TRAIP	0.382666666666667
KIAA0232	0.0722
ERCC8	-0.901
GPX4	0.8565
KIAA0368	0.10675
GPR157	-1.04383333333333
CTAGE4	-0.626
C9orf30	0.0488333333333333
OR52A1	0.3445
HSP90B3P	-0.2745
ALG9	-1.1736
BTBD10	0.52975
SDK2	0.45
BAIAP3	-2.20975
RABGGTB	-0.8415
ANKRD40	-0.701833333333333
KRT74	0.1075
CALCOCO2	-1.30192857142857
SNCA	-1.2425
TMSL8	0.42625
C2orf53	-0.0905
ESRRB	-0.463
ARHGAP26	-1.295625
TDRD9	-2.82725
HRAS	0.9485
KLRC4	-0.9225
JAGN1	-0.638833333333333
BSDC1	0.1815
RNF43	-0.8433
NDUFAF1	-0.7135
PHF12	-0.0305
OR1L3	0.2075
FOLR2	1.5815
LYZL6	0.480833333333333
tcag7.1260	-0.653
WSB1	-2.45133333333333
PROS1	0.5714
OSTN	0.5225
PSMB8	0.43875
SOCS4	-0.2805
DDIT4L	1.58975
MAS1	0.3565
MGC34796	0.178
CSHL1	0.286333333333333
TBCCD1	0.498166666666667
ZBTB7C	0.08
AP2S1	-0.215875
P15RS	0.8707
VAT1	-0.9885
SHANK3	1.454
TUFM	-0.142666666666667
THEG	-0.44875
KRT34	1.30225
SGSM3	0.4575
TOMM22	0.531875
SOCS3	0.697166666666667
CPO	0.128
POP4	0.36375
BHLHB3	3.19225
MALL	1.468
OR1B1	0.3895
PARK2	0.831333333333333
GPR124	-0.30725
LCE1E	-0.0585
RUVBL2	-0.05525
CGRRF1	-0.2155
ACPL2	0.75725
WNT10B	0.1825
BAIAP2L2	-0.7455
ISCA1	0.5165
C1orf125	-0.172875
RPAP1	-0.7795
RAI16	-0.975
RPL27	-0.52925
NLRP9	0.26
EPN1	0.0495
LOC388610	1.374375
SLC35A1	0.4676
GAL	0.42575
SLC14A2	0.38
RDH11	-0.567333333333333
FAM138F	0.373
AUH	0.447
FLJ40243	0.34625
C14orf129	-0.119
MBD2	-0.0851666666666668
ABHD14B	-1.067125
PIGT	-0.23225
ALS2CR4	0.734625
ALAS1	0.1272
FOXO1	0.268166666666667
CRLF3	-0.495375
C20orf107	-0.407
FARS2	0.39625
CCDC28A	0.87275
NPHP3	-1.09975
OR13F1	0.321
TSEN54	0.2985
DEFB106B	0.1976
OR8B4	0.7075
STH	-0.9505
ZC3H14	-0.386625
CBX2	-0.1825
TMEM49	-1.948
C6orf21	0.697
FLJ20920	-0.9685
CRTAP	-1.24142857142857
DDX50	-0.2355
STYXL1	0.16775
BLVRB	-2.44683333333333
LOC147650	-1.1395
MMP24	0.09725
GRID1	0.865166666666667
BANF1	-0.275166666666667
CTAGEP	-0.321
HMBS	-1.67225
SLC25A24	0.0923333333333333
C14orf50	1.5095
MRO	1.00483333333333
SLC25A15	-0.36375
FAM84B	1.0252
TDP1	-0.581
C16orf78	0.268333333333333
C11orf57	-0.329125
RFK	0.013875
ZFYVE9	-0.737875
STCH	-1.1168
WIBG	0.0955
LOC283871	-0.25
GBA2	-0.502
NDUFB3	-0.017
HSD17B13	-0.37325
GRIN3A	0.864666666666667
FMNL1	-0.655166666666667
SEPT7	-0.1865
GNLY	3.641
GRAMD1C	0.425
ZNF165	-0.6175
USP38	0.36525
FAM83A	-3.4665
C14orf24	0.36925
ARMCX3	-0.713125
ARHGDIB	-0.22
AK1	-0.678
KIAA1045	0.13325
DNAJB13	-0.3615
NEU2	0.3835
HIST1H4B	0.110666666666667
FAM20B	0.2064
HES2	2.34157142857143
FAM73B	-0.5155
LOC388381	-0.06125
INTS7	0.282
AMPH	2.15975
ZNF775	0.21275
UCKL1	-0.309
C10orf97	0.239
C1orf161	0.0595
ALDH1L1	-1.17075
FLJ39378	-0.816125
SLC23A1	-1.987
RBM4B	0.00625
THAP4	0.0441666666666667
OGFRL1	3.098
KIAA0831	-0.291375
PPP1R15A	0.043
C1orf96	0.696857142857143
C12orf11	0.5655
BMF	0.878625
MAN1A1	-1.01775
KIAA1600	-0.802333333333333
NLGN4X	1.44925
ALOX12	-0.973333333333333
RB1CC1	0.8507
NEIL2	1.1096
EIF4E	0.113681818181818
ABHD5	-0.37775
EXOC4	-0.0756666666666667
CIP29	-0.605666666666667
BATF2	-0.526
SLC29A4	-0.29125
HTR4	0.41025
EMB	0.0465
TRAF6	0.9115
LMNB1	-0.2595
FAM19A5	-1.540875
SHE	0.99425
PIK3C2B	0.94375
C15orf15	-0.8618
USP15	-0.1791
TCEAL2	-0.334
C5orf39	-1.34716666666667
PTGER2	-1.4
SLC31A1	-0.087625
IFT172	0.66
ADAM29	0.28275
GFOD1	2.2245
ST7L	0.872833333333333
C15orf26	-2.4365
PKN3	-2.0255
CNTD1	0.646666666666667
COMMD1	-0.3035
NTRK2	4.28108333333333
FOXN3	0.218
MFGE8	0.2326
PFKFB2	1.622
TAS2R4	0.1245
ENTHD1	0.786333333333333
PRMT5	-0.5385
MGC16384	-1.393125
LOC442229	-0.026
TSKU	0.91075
KRTCAP3	2.310375
PDLIM1	0.1522
KCNS2	0.35725
RNF126	0.0568333333333333
CEP63	0.164
CLIC4	0.73125
hCG_1990170	1.4595
ACR	0.8461
KLK7	0.4405
ALOX5AP	3.729375
RIPK3	2.261
TAS2R9	0.6075
C19orf18	1.218
BIRC6	-0.321
ZNF16	1.2415
RFT1	-0.29975
SLC8A2	-0.5955
TACC1	-0.596625
ITGAD	0.3375
SAMHD1	1.0755
SH3PXD2B	1.262
EPC2	1.241
C20orf85	0.486
ATP13A2	0.7165
KRT4	3.87125
CAPNS1	-0.095
MDM2	-0.123833333333333
PCDH20	1.76825
KCNK9	0.303
OR2C1	-0.379
KLHDC3	-0.320666666666667
IPPK	0.4485
EFHD2	-0.052875
GALR3	0.63975
NBEA	-0.1365
ABCA6	2.8173
CLDN3	0.850333333333333
AKT2	-0.302642857142857
EGFR	0.3315
RBM16	0.681625
ZDHHC3	-0.0166
SLC25A4	-0.227
CYB5B	-1.02416666666667
CPXM1	-0.232
NDRG1	-1.62030769230769
FLJ43826	0.32575
OR5L2	0.444
FARP2	-0.1207
MRPL46	-0.831666666666667
LDHAL6B	0.157166666666667
MAPKAPK3	-0.333833333333333
NCAM2	-1.304
PRKD2	0.0575
ZFP36L1	0.9609
CYSLTR1	-0.5315
OR4C3	0.23425
HIST1H2AJ	0.4795
CCNB2	-0.968333333333333
ZNF10	0.2875
TMEM175	0.2335
FAM134A	0.368
TIGD4	-0.1045
PCNP	0.224
MGC39715	-0.1195
LQK1	-0.48725
CREB1	0.6463
TMPRSS3	2.38975
C4orf32	-1.120625
LAT	-1.63208333333333
KCNA3	0.2805
SKIV2L2	-0.6045
ROPN1B	2.963
tcag7.23	-0.016
CDT1	-1.0455
ZHX2	2.015875
CD28	-2.4155
ZNF624	0.56775
SEPT2	0.4615
SOHLH2	0.631
MCOLN3	1.07875
UNQ1945	0.6635
MASP2	-1.293
ZNRF3	0.5221
GPATCH3	0.1665
AGL	0.566375
QRICH2	-0.3115
PSD4	0.1
CCNB1IP1	-0.7335
ENPP7	0.06425
OBFC1	-0.9205
KCNG3	-0.69175
C14orf79	-0.2795
ENPEP	1.083
SCT	1.3
SKI	1.01375
SEC61G	-1.38625
CAPN11	0.36975
ATXN7L3	-0.42175
DBNDD1	-0.00983333333333333
FAIM	0.89725
ANKRD36	-0.538
GABRP	4.99233333333333
TACSTD2	1.23
EIF3J	-0.5675
PPP2R2A	-0.23275
TEKT4	0.489666666666667
PVALB	-3.48316666666667
F10	-2.7965
FAM134C	-0.0116
COMP	3.8585
EFCBP1	-0.8901875
SCLT1	0.97775
TAL1	-1.2204
ACSL1	1.8975
ABCC5	0.0551666666666667
ABL1	-0.703944444444444
RBBP7	-0.450916666666667
PTPRG	-1.7245
NCOR1	-0.322
SPINK4	-2.46516666666667
TXNRD1	-0.8275
TNRC15	0.77825
C9orf138	0.533375
UBE2H	-0.349
BRDT	-0.127833333333333
C8orf31	-0.22225
CCNE2	-0.676181818181818
SLC6A8	-1.30575
CALCR	-4.28775
PPP1CB	0.764916666666667
ABHD8	-1.10725
ARF5	0.6375
SLC24A4	0.7025
CCT3	0.08975
ZNF121	0.11625
SLC3A2	-0.2697
OR13A1	0.581
SLC5A10	-0.24225
RAD50	-0.926
IER5	0.17425
MTHFD1L	0.21175
MBTPS2	-0.30225
MVK	-1.204
NCL	0.4216
PSMD10	-0.63575
MOBP	0.254375
FLJ32894	0.015
HRH1	-0.3555
C5orf30	0.3315
NUDT16L1	0.2548
RASGRP3	3.55966666666667
PRKRIP1	-0.4837
CCDC75	0.47475
LOC253970	1.7765
KIAA1239	0.12425
MED21	1.33775
SYT11	0.242583333333333
NTSR2	0.6705
EGFL11	-0.671
CXorf59	-0.554
OR2A25	0.33575
SPTBN2	0.53275
LRMP	1.84466666666667
RNF111	-0.6545
PTH	0.002
LOC619208	1.00816666666667
KIAA0895	2.0355
RANBP5	-0.62375
P2RY10	1.08383333333333
NME5	2.09066666666667
DDX21	-1.16725
LRSAM1	-0.138
HDAC11	-0.0408333333333333
VMO1	3.10075
NOLA2	-0.567166666666667
ADAR	0.0954166666666667
MTO1	-0.272833333333333
SF4	0.3505
P2RX1	0.0541666666666667
HBM	-0.043
EN2	0.516
C14orf172	0.414
TM9SF2	-0.2366
INHBE	-0.158833333333333
TCTE3	0.90225
TOX2	-1.7025
CTAGE3	0.205
HBB	3.0863
MED15	-0.643
CASR	0.327
C6orf66	0.511666666666667
MTPN	-0.04975
UNC50	-0.712
C21orf33	0.1135
IRF2	0.944625
PGR	-2.06033333333333
GPR84	2.4825
CROCCL1	-2.51225
SRPX	-1.08125
BRE	0.213666666666667
FGF10	-0.05525
SDC3	0.0728333333333333
ZRSR1	-0.5885
DKFZP434P211	-1.01325
SOX6	-0.053
RPUSD2	-0.09525
C14orf173	0.263333333333333
MAPK11	-0.0678333333333334
TBC1D22A	0.827
FAM123A	1.5685
COL4A6	-3.57866666666667
TOMM70A	-0.21275
NAB1	0.909875
MGC16385	0.041125
TSPAN18	0.5195
MED31	-0.47025
PLG	-0.12575
CAPSL	1.0465
ZNF532	1.3861
ASB14	-0.045
CA8	3.214
NUDT16P	0.531
SLFN11	-0.2765
LRRIQ2	0.643875
NOL7	-0.322166666666667
BRMS1L	-0.285375
JARID1A	1.97716666666667
PANK2	0.60175
ICAM3	-0.468
MDS1	-0.404
TAF8	-0.3575
RNF139	-0.0675
ZNF594	-0.296666666666667
ADAM8	2.55325
SFTPC	-0.20475
MAN2B2	0.623
RGS12	0.1608125
EIF1AY	-4.84
LRRIQ1	1.0065
GPR150	0.6165
CCDC21	-0.655166666666667
PRRG3	0.8015
SAA4	-2.43175
RAPGEF5	1.691125
ZCCHC2	0.12475
MGC39372	0.0485
PPP4R2	0.636666666666667
CDCA2	-0.110666666666667
OR4D5	0.628166666666667
PTGFRN	0.9072
SIGLEC5	1.9125
C19orf61	0.582333333333333
NMUR2	0.4035
KIAA1586	-1.02383333333333
DAGLA	0.289833333333333
CHCHD6	0.10925
GPR32	0.2225
NEUROD6	0.133666666666667
SLC2A4RG	0.0899375
CA5B	-0.124
FBXL3	0.2595
MPHOSPH9	-1.0235
HMG2L1	0.3625
HCN4	0.167666666666667
CEACAM19	0.376
SH2D4B	0.5765
HFE2	-0.6555
TGM4	0.1068
LYPD2	-0.22975
TBC1D15	-0.1265
MRPS21	0.1949
NONO	-0.8452
CLEC5A	2.644625
ITCH	0.1871
MGAT3	0.0461666666666667
MBP	0.40975
RPP25	0.51825
SOSTDC1	4.264
HRC	-1.99425
TRIM48	0.3395
TMEM133	1.05375
ECEL1P2	-1.0285
HOXC11	0.127
DOK5	-0.03
HELZ	-0.445333333333333
LOC348180	-0.009
MGC33894	0.406
ADRB3	0.43
DMD	0.437083333333333
PTRH2	-1.078
MPEG1	2.86966666666667
NDUFA12	-0.0136666666666667
KRTAP2-4	0.573
STAMBPL1	-0.816
ADCY2	0.0448333333333333
UNQ6125	-0.165
KLHL20	-0.135666666666667
SRM	-0.81975
OTC	0.07575
TMIE	-0.324833333333333
SNX8	0.8415
LIPK	0.617
CHURC1	-1.12425
KLC2	0.127
HDAC1	-0.525166666666667
FAM128A	-0.5495
FNDC3B	-0.0942
MTCP1	-0.00133333333333333
WFDC10B	0.4666
PCDHGB3	0.2825
ATRNL1	-0.6561
CAV2	0.811625
MED26	0.380166666666667
DUS1L	1.06275
CHRM3	-0.39525
NEK9	-0.6985
WARS2	0.52225
TBX22	0.2555
TOMM40	0.096
RP6-213H19.1	-0.0811666666666667
TUBGCP5	-0.04
IGSF6	5.515
TPPP	0.571166666666667
UNQ6190	0.1865
GSTM5	-0.728125
BTD	-0.529166666666667
PDCD1LG2	0.8855
SNRPB2	-0.465833333333333
ERICH1	0.278375
APOA4	-1.435875
HOXA11	-1.1815
NARG1	-0.117375
MKX	1.9855
RAB28	0.0702857142857143
PKP3	0.67675
SH3GL2	2.38575
CTSO	2.0725
RPN2	0.336125
IL28RA	1.0225
SFMBT1	0.43425
WDR57	0.552625
FER1L3	-0.229916666666667
HSF5	0.1765
TTC9B	0.3675
C4BPA	-3.60316666666667
ALB	-3.55757142857143
SORBS3	0.5135
UPF2	0.2295
JPH1	1.239
AGBL2	-1.5015
DOPEY1	1.0565
TERF1	-0.199333333333333
KIF22	-0.560166666666667
NINJ1	0.4135
SEC61A2	-0.18725
HIST1H1D	0.140666666666667
SFXN4	-0.48425
UCP3	0.8528
ZNF703	0.324166666666667
MYL6B	-0.03
TREM1	3.0615
OR52E6	0.4605
CKMT2	0.623
HLA-C	1.52625
SLC13A3	-2.70766666666667
TIMP4	-1.943
SLIT2	2.554
RSF1	0.216888888888889
LONRF1	-0.470214285714286
MON1A	0.708
CACNG6	-1.80983333333333
DPPA4	-5.24366666666667
ZSWIM3	-0.03175
ZNF804A	0.585666666666667
CCIN	0.92925
SLC25A31	0.33875
KCNMB4	2.54675
RABL5	0.31425
GALNS	-0.038
STX6	1.171625
HIST1H1C	-3.8565
CIDEB	0.863875
CASP4	-0.999333333333333
PDK3	0.2318
KCNJ11	0.5215
TPR	-0.00912499999999999
ZSCAN20	-0.4105
MTX2	0.2665
HIST1H2BH	-1.19875
LOC283767	-0.0875
LYRM7	-1.381
BRD3	-0.1355
HIST1H2BO	-1.174
MAGEB10	0.1485
SLC45A1	0.746
SERPINA3	-1.2199
KIAA0143	1.11375
KCNJ16	0.413333333333333
KRT79	1.0265
FABP2	-0.4865
NUT	0.2325
ZNF57	-0.85675
FBXL4	1.259125
CLEC9A	0.7635
UGT8	2.59983333333333
BMP2K	0.47625
MAPK4	-1.5125
SLC25A23	-1.3839
HINT1	-0.8652
KRTAP13-1	0.429
SFXN5	-0.9669
CHCHD2	-0.0570833333333333
FAM3D	0.8705
NDP	-1.13575
RHOBTB1	0.2355
SLC4A4	-0.170125
RPL38	0.453
HTF9C	-0.289833333333333
AP2A2	0.514
ZBTB46	-0.6405
MAP7D1	-0.053875
AOX1	-1.576
CYR61	0.497916666666667
DTNA	0.862428571428572
JRKL	0.0785
TMOD3	-0.1825
EEA1	-1.0379
ADCK5	0.021
IL1R1	1.22383333333333
KLK3	0.306642857142857
HRSP12	0.0615
KTN1	-0.749
LOH11CR2A	-0.0487
RELL2	-1.097
MAB21L1	0.58525
C20orf59	-1.28616666666667
PHKB	-0.977
ADAM2	-1.5105
TBC1D8B	0.718333333333333
FAM13A1	-0.3706875
LAPTM4B	1.14816666666667
LCN8	0.028
TMEM147	0.374
SYT4	0.830166666666667
XPO7	-0.018
C9orf62	0.536
GPR75	0.394
TRIM5	0.535125
APOC1	1.07083333333333
RNASE4	-1.147
PARD6B	-2.26375
ARID1A	0.459083333333333
TPD52L3	-0.1272
RRAGB	-0.356
RCN2	-1.25033333333333
HIST2H2BE	-0.8516875
STARD7	-0.036
SHMT2	-0.012
KIAA1751	0.1075
MLYCD	0.1315
LOC162632	-1.175
UQCRH	-0.50275
RP11-217H1.1	-0.1155
SDHA	-0.446333333333333
NCLN	0.2551
ZNF17	0.477166666666667
RCBTB2	-1.0725
VEGFB	-0.5462
RP4-747L4.3	1.3615
COLQ	-0.2911
MPN2	-0.681
DRG2	-0.87625
KLRB1	5.019
ALPK2	-2.0335
DNASE2B	1.645
FLJ23834	-0.154166666666667
AXUD1	-0.714833333333333
SAFB	0.2197
NSUN4	0.41175
RFX2	-1.00733333333333
MAPK8IP1	-0.156833333333333
FANCD2	-1.05442857142857
ANKZF1	-1.2895
C19orf50	0.118375
DUSP8	1.19575
SENP5	0.075875
NFKBIL2	-0.20375
LBR	-0.54625
IGFL1	1.47
LZTS2	-0.09925
IL2RG	0.265875
CCDC51	-0.247
KLF3	0.492875
ANKRD37	-1.5195
KCTD14	-1.0955
FZR1	-0.0710833333333333
SLC44A4	0.9984
ESPL1	-0.86775
GMPR2	-1.3544
TBC1D19	-0.524333333333333
ERGIC1	-0.36937037037037
ERBB4	-0.103
TSPAN32	0.84925
MAP4	-0.373875
GPHN	-0.763
SLC6A2	0.97425
HIVEP1	1.112
DFFB	0.2007
EIF4EBP2	0.393375
DMRT1	2.824
HSPB6	-0.31975
IER2	-0.174833333333333
AIFM1	-0.56225
WWC2	0.6265
MRPL4	0.13625
FLJ21062	-0.169
EPB41L4A	0.570833333333333
SH2D6	0.46775
TAF4B	0.7755
GAL3ST3	-0.2725
MALT1	-0.434166666666667
RTDR1	1.00925
ARVCF	0.136625
MEX3B	0.342166666666667
FBXO16	0.6755
KIF7	-0.33925
C1QC	4.03033333333333
ZNF783	0.264333333333333
ZNF85	-1.067
MMP13	2.222
KIAA0329	-0.11175
RTP3	2.288
ZBED3	0.273
CLGN	-0.24525
SLC25A37	-1.267125
hCG_18290	-0.46125
OR5AS1	0.2985
SMARCC2	-0.000416666666666695
FAM109A	-0.196666666666667
CCDC12	-0.52125
USF2	0.2632
DEPDC7	-0.9645
C20orf24	-0.223166666666667
JMJD3	0.1615
DSP	1.87642857142857
SLIC1	1.017625
FAM20A	0.59375
IRF2BP2	0.285625
ZNF230	0.165
MSN	-0.272071428571429
SLC9A5	-1.8485
EPDR1	-0.0987
MUSK	-0.133166666666667
ZNF434	0.058
SMARCD1	-0.330833333333333
ZFP106	-0.386
