Hybridization REF	TCGA-AN-A0FK-01A-11R-A034-07
TCTA	1.1803
OR8K3	0.3235
NY-REN-7	-0.637
B2M	0.797166666666667
C6orf141	-0.370125
LPPR4	2.1915
SQLE	-2.542
SEPHS1	-0.59575
BTBD14B	0.773571428571429
PLRG1	-0.748
SPG7	-1.15225
ZNF614	-0.2215
PARD6G	0.979833333333333
INPP5B	-1.2656
GRPEL2	0.35725
PPID	-0.7265
TRIM56	-0.468
UBE2J1	0.26125
IL20RA	4.12125
LOC387856	0.1345
C1orf107	1.65916666666667
UTS2R	1.294
C19orf22	-0.2225
SAFB2	-0.153125
KIAA0652	0.084
KLRG1	-0.990333333333333
MS4A8B	-0.137
FRAG1	0.53525
KIAA1546	-0.55
E2F4	-1.7693
CLEC4M	0.0941666666666666
BTBD14A	-0.767
KIAA0999	2.4872
GYPA	-2.6502
TAC1	0.2331
TRAIP	-1.23033333333333
KIAA0232	0.2688
ERCC8	-1.0995
GPX4	0.471125
KIAA0368	-0.00774999999999999
GPR157	-0.888333333333333
CTAGE4	0.042
C9orf30	-1.00483333333333
OR52A1	0.5175
HSP90B3P	-0.6945
ALG9	0.1904
BTBD10	0.95975
SDK2	0.3055
BAIAP3	1.73175
RABGGTB	-1.091375
ANKRD40	-0.903333333333333
KRT74	0.4575
CALCOCO2	1.40514285714286
SNCA	-4.3175
TMSL8	-2.66375
C2orf53	0.979
ESRRB	-1.01833333333333
ARHGAP26	-0.84125
TDRD9	-2.67975
HRAS	0.506
KLRC4	-2.6865
JAGN1	-0.0291666666666667
BSDC1	0.056
RNF43	-2.8698
NDUFAF1	0.91425
PHF12	0.3175
OR1L3	0.0675
FOLR2	1.43441666666667
LYZL6	-0.028
tcag7.1260	-1.334
WSB1	-1.8975
PROS1	-1.6326
OSTN	0.937
PSMB8	0.875
SOCS4	-0.128875
DDIT4L	3.151
MAS1	-1.114
MGC34796	1.9045
CSHL1	-0.244666666666667
TBCCD1	0.0106666666666667
ZBTB7C	-0.274
AP2S1	0.05125
P15RS	0.3491
VAT1	-0.9319
SHANK3	1.27116666666667
TUFM	0.0435
THEG	-0.865
KRT34	-2.6085
SGSM3	0.2385
TOMM22	-0.817375
SOCS3	-0.489166666666667
CPO	1.159
POP4	0.56625
BHLHB3	-0.70825
MALL	0.555
OR1B1	-0.521
PARK2	0.2578
GPR124	0.08825
LCE1E	0.629
RUVBL2	-0.463
CGRRF1	0.3878
ACPL2	0.904
WNT10B	-1.939875
BAIAP2L2	-1.704875
ISCA1	0.558
C1orf125	-1.02825
RPAP1	-1.77025
RAI16	0.291833333333333
RPL27	-0.45275
NLRP9	-0.629
EPN1	0.2675
LOC388610	-0.707875
SLC35A1	1.3125
GAL	-3.81575
SLC14A2	0.49675
RDH11	-1.327
FAM138F	-0.269
AUH	0.748
FLJ40243	0.41775
C14orf129	0.541833333333333
MBD2	-0.287333333333333
ABHD14B	0.21875
PIGT	0.9575
ALS2CR4	-1.228375
ALAS1	0.1257
FOXO1	0.7775
CRLF3	-0.62625
C20orf107	-1.0175
FARS2	1.06525
CCDC28A	1.74125
NPHP3	-0.85025
OR13F1	0.7765
TSEN54	-0.73925
DEFB106B	0.4241
OR8B4	0.7385
STH	0.00700000000000001
ZC3H14	-0.605625
CBX2	1.1055
TMEM49	-1.6025
C6orf21	-0.0715
FLJ20920	0.52975
CRTAP	0.319071428571429
DDX50	0.16725
STYXL1	-0.31875
BLVRB	1.07016666666667
LOC147650	-0.2545
MMP24	0.2765
GRID1	1.75833333333333
BANF1	-0.8095
CTAGEP	0.43075
HMBS	-1.43725
SLC25A24	-0.366333333333333
C14orf50	1.94225
MRO	1.65516666666667
SLC25A15	-0.9295
FAM84B	2.1433
TDP1	-0.1555
C16orf78	0.1006
C11orf57	1.291625
RFK	0.290625
ZFYVE9	0.03925
STCH	-0.7316
WIBG	0.9825
LOC283871	-0.828
GBA2	-0.7806
NDUFB3	-0.117
HSD17B13	-0.44075
GRIN3A	0.7395
FMNL1	-1.90316666666667
SEPT7	-0.5719
GNLY	2.142
GRAMD1C	0.896833333333333
ZNF165	0.1565
USP38	0.337
FAM83A	-3.09316666666667
C14orf24	0.715333333333333
ARMCX3	0.5055
ARHGDIB	1.575
AK1	0.2875
KIAA1045	0.034
DNAJB13	-0.4422
NEU2	0.6245
HIST1H4B	-0.7135
FAM20B	0.7279
HES2	-0.0472857142857143
FAM73B	-0.5405
LOC388381	-0.762
INTS7	0.177545454545455
AMPH	0.23425
ZNF775	-0.01125
UCKL1	-1.0275
C10orf97	0.2375
C1orf161	-0.2415
ALDH1L1	-2.07975
FLJ39378	-0.785125
SLC23A1	0.659
RBM4B	0.3405
THAP4	-0.29
OGFRL1	0.29175
KIAA0831	0.1075
PPP1R15A	-1.053
C1orf96	1.1825
C12orf11	-2.00325
BMF	-1.144875
MAN1A1	-0.083625
KIAA1600	0.812166666666667
NLGN4X	3.09675
ALOX12	-0.915833333333333
RB1CC1	0.6829
NEIL2	0.8046
EIF4E	-0.739909090909091
ABHD5	-0.13075
EXOC4	-0.165166666666667
CIP29	0.0756666666666667
BATF2	0.61725
SLC29A4	-1.067375
HTR4	0.363
EMB	2.82275
TRAF6	1.6575
LMNB1	-1.54325
FAM19A5	-0.6505
SHE	0.81
PIK3C2B	0.16325
C15orf15	-0.8836
USP15	0.3183
TCEAL2	-0.42675
C5orf39	-1.31
PTGER2	-2.35625
SLC31A1	-0.2144375
IFT172	0.44325
ADAM29	0.4725
GFOD1	0.49175
ST7L	0.0358333333333333
C15orf26	-1.42625
PKN3	-1.7485
CNTD1	3.83533333333333
COMMD1	-0.269625
NTRK2	2.34083333333333
FOXN3	-1.313875
MFGE8	-1.3059
PFKFB2	1.05833333333333
TAS2R4	-1.006
ENTHD1	0.0351666666666667
PRMT5	-0.995375
MGC16384	-1.967125
LOC442229	0.15075
TSKU	-0.551125
KRTCAP3	3.37275
PDLIM1	2.0399
KCNS2	0.674
RNF126	-0.446166666666667
CEP63	0.139625
CLIC4	-0.791875
hCG_1990170	-0.763
ACR	0.4511
KLK7	-0.421333333333333
ALOX5AP	2.415625
RIPK3	4.10175
TAS2R9	0.6515
C19orf18	1.9035
BIRC6	-0.608357142857143
ZNF16	0.572
RFT1	-0.61825
SLC8A2	-0.14425
TACC1	-0.8055
ITGAD	0.7195
SAMHD1	0.74075
SH3PXD2B	0.0306
EPC2	0.649
C20orf85	0.085625
ATP13A2	0.270833333333333
KRT4	0.494625
CAPNS1	-0.0505
MDM2	0.436833333333333
PCDH20	0.35175
KCNK9	0.13
OR2C1	0.3675
KLHDC3	-0.939333333333333
IPPK	0.5935
EFHD2	-0.300375
GALR3	1.31275
NBEA	0.560666666666667
ABCA6	2.0509
CLDN3	0.459
AKT2	-0.240857142857143
EGFR	-2.6308
RBM16	0.55625
ZDHHC3	0.177
SLC25A4	-0.141
CYB5B	-1.2885
CPXM1	-0.545
NDRG1	-0.136307692307692
FLJ43826	-0.473
OR5L2	0.1336
FARP2	0.1262
MRPL46	-1.12075
LDHAL6B	0.7555
MAPKAPK3	-0.606833333333333
NCAM2	-0.205
PRKD2	0.583333333333333
ZFP36L1	0.1079
CYSLTR1	0.825
OR4C3	0.4015
HIST1H2AJ	2.0195
CCNB2	-2.64244444444444
ZNF10	-1.310875
TMEM175	0.4615
FAM134A	0.2145
TIGD4	-0.6105
PCNP	-0.41775
MGC39715	0.3565
LQK1	-0.56575
CREB1	-0.0604999999999999
TMPRSS3	0.0635
C4orf32	3.420875
LAT	-2.33858333333333
KCNA3	1.079
SKIV2L2	0.01
ROPN1B	-4.717
tcag7.23	-0.6575
CDT1	-3.09325
ZHX2	1.0825
CD28	-3.83275
ZNF624	0.6115
SEPT2	-0.636333333333334
SOHLH2	-0.293
MCOLN3	-0.07875
UNQ1945	0.731
MASP2	-0.8945
ZNRF3	0.4997
GPATCH3	-0.958
AGL	2.73325
QRICH2	-0.453
PSD4	0.043
CCNB1IP1	-2.059
ENPP7	-0.348
OBFC1	-0.87175
KCNG3	-0.01975
C14orf79	1.02316666666667
ENPEP	2.48
SCT	1.375
SKI	0.47625
SEC61G	-0.20575
CAPN11	0.34
ATXN7L3	-0.51225
DBNDD1	-0.749666666666667
FAIM	0.3215
ANKRD36	-1.149
GABRP	-0.6944
TACSTD2	1.69433333333333
EIF3J	-0.60425
PPP2R2A	-0.115
TEKT4	-1.1865
PVALB	-3.94016666666667
F10	-2.75033333333333
FAM134C	0.4133
COMP	4.376
EFCBP1	-3.295
SCLT1	0.56125
TAL1	-1.3115
ACSL1	0.58375
ABCC5	-0.203
ABL1	-0.636111111111111
RBBP7	1.19475
PTPRG	-0.780875
NCOR1	-0.0039
SPINK4	1.76933333333333
TXNRD1	-0.5619
TNRC15	0.801625
C9orf138	1.586375
UBE2H	1.54316666666667
BRDT	0.359666666666667
C8orf31	-0.83175
CCNE2	-0.608
SLC6A8	-1.34625
CALCR	-2.887
PPP1CB	-0.0934166666666667
ABHD8	-0.221
ARF5	-0.0502
SLC24A4	0.27025
CCT3	0.36925
ZNF121	0.654375
SLC3A2	-1.0448
OR13A1	0.6
SLC5A10	-0.48675
RAD50	0.51625
IER5	0.55925
MTHFD1L	-2.300625
MBTPS2	0.2
MVK	-1.94025
NCL	-0.4612
PSMD10	0.15925
MOBP	0.563625
FLJ32894	0.545
HRH1	-0.552666666666667
C5orf30	1.7605
NUDT16L1	1.0333
RASGRP3	3.82466666666667
PRKRIP1	-0.4937
CCDC75	0.16675
LOC253970	0.35225
KIAA1239	0.48125
MED21	0.17175
SYT11	0.129666666666667
NTSR2	0.697
EGFL11	1.8655
CXorf59	1.2045
OR2A25	-0.57825
SPTBN2	-1.16575
LRMP	-1.64583333333333
RNF111	-0.355
PTH	0.921
LOC619208	-0.112833333333333
KIAA0895	0.6425
RANBP5	-0.860125
P2RY10	3.40283333333333
NME5	5.3085
DDX21	-1.3465
LRSAM1	-0.2395
HDAC11	0.947333333333333
VMO1	0.819
NOLA2	0.2975
ADAR	1.11016666666667
MTO1	-0.698333333333333
SF4	-0.00833333333333335
P2RX1	-0.269666666666667
HBM	0.04125
EN2	1.6565
C14orf172	0.23625
TM9SF2	0.6538
INHBE	-1.72633333333333
TCTE3	-0.345166666666667
TOX2	-3.219
CTAGE3	0.57325
HBB	3.66
MED15	-1.30366666666667
CASR	1.531
C6orf66	0.00633333333333335
MTPN	-0.3115
UNC50	-0.44675
C21orf33	0.18275
IRF2	0.69225
PGR	3.85616666666667
GPR84	1.86025
CROCCL1	-2.66025
SRPX	-2.20075
BRE	-0.431666666666667
FGF10	2.83066666666667
SDC3	-1.14466666666667
ZRSR1	0.504333333333333
DKFZP434P211	-0.25075
SOX6	-0.069
RPUSD2	-0.3085
C14orf173	-0.27125
MAPK11	-0.225666666666667
TBC1D22A	0.5835
FAM123A	-0.145
COL4A6	-3.03166666666667
TOMM70A	-0.24175
NAB1	0.163875
MGC16385	-0.511625
TSPAN18	0.106666666666667
MED31	0.1545
PLG	-0.03425
CAPSL	-0.188
ZNF532	0.6541
ASB14	0.21
CA8	2.6075
NUDT16P	2.466
SLFN11	-1.5065
LRRIQ2	0.5125
NOL7	0.477833333333333
BRMS1L	-0.75275
JARID1A	0.636833333333333
PANK2	-0.79275
ICAM3	0.41425
MDS1	-1.68525
TAF8	-0.29075
RNF139	1.058
ZNF594	-0.420833333333333
ADAM8	1.714125
SFTPC	-0.319
MAN2B2	1.102625
RGS12	0.2771875
EIF1AY	-3.96436363636364
LRRIQ1	-1.00633333333333
GPR150	1.28975
CCDC21	-1.95766666666667
PRRG3	0.276
SAA4	-3.62375
RAPGEF5	3.5245
ZCCHC2	0.308416666666667
MGC39372	-1.8635
PPP4R2	0.212
CDCA2	-1.91966666666667
OR4D5	0.582333333333333
PTGFRN	1.0479
SIGLEC5	1.18783333333333
C19orf61	-0.305333333333333
NMUR2	0.173
KIAA1586	-0.6665
DAGLA	-0.128166666666667
CHCHD6	-0.89975
GPR32	0.383
NEUROD6	0.639166666666667
SLC2A4RG	-0.5671875
CA5B	-0.206
FBXL3	1.5405
MPHOSPH9	-2.17175
HMG2L1	0.558
HCN4	0.989
CEACAM19	-0.21625
SH2D4B	0.584666666666667
HFE2	-0.2945
TGM4	0.20325
LYPD2	-0.336333333333333
TBC1D15	0.37
MRPS21	0.6108
NONO	-0.7267
CLEC5A	1.44625
ITCH	-0.0292
MGAT3	-2.35483333333333
MBP	0.336285714285714
RPP25	-1.122
SOSTDC1	-2.7475
HRC	-1.30575
TRIM48	0.5245
TMEM133	1.27
ECEL1P2	-0.63275
HOXC11	-1.4215
DOK5	-0.77975
HELZ	0.153666666666667
LOC348180	-0.96575
MGC33894	0.13025
ADRB3	0.6425
DMD	-0.765833333333333
PTRH2	-0.2425
MPEG1	2.31316666666667
NDUFA12	-0.025
KRTAP2-4	0.459166666666667
STAMBPL1	-2.1025
ADCY2	-0.6605
UNQ6125	0.613
KLHL20	1.02
SRM	-1.7945
OTC	-0.7475
TMIE	0.4845
SNX8	-0.6425
LIPK	0.146
CHURC1	0.53775
KLC2	0.583
HDAC1	-1.0765
FAM128A	0.0478333333333333
FNDC3B	0.6725
MTCP1	-0.636833333333333
WFDC10B	0.6472
PCDHGB3	0.379
ATRNL1	-2.1635
CAV2	-1.14175
MED26	-0.0313333333333333
DUS1L	0.0355
CHRM3	-1.834125
NEK9	-0.6285
WARS2	0.43
TBX22	1.6205
TOMM40	-0.9285
RP6-213H19.1	0.0496666666666667
TUBGCP5	-1.09
IGSF6	4.5575
TPPP	0.25
UNQ6190	1.2385
GSTM5	0.75175
BTD	1.65616666666667
PDCD1LG2	-0.0468333333333333
SNRPB2	-0.198166666666667
ERICH1	0.636375
APOA4	-1.07675
HOXA11	-3.25966666666667
NARG1	-0.282125
MKX	-0.5985
RAB28	-0.743857142857143
PKP3	1.18325
SH3GL2	1.4605
CTSO	2.56
RPN2	0.93575
IL28RA	-0.507333333333333
SFMBT1	-0.048
WDR57	-0.814
FER1L3	1.04158333333333
HSF5	-0.6504
TTC9B	0.841
C4BPA	-4.3998
ALB	-4.67938461538462
SORBS3	0.693375
UPF2	-0.349
JPH1	-0.606
AGBL2	-1.00975
DOPEY1	1.492
TERF1	0.525333333333333
KIF22	-0.346333333333333
NINJ1	0.48425
SEC61A2	-0.545416666666667
HIST1H1D	0.0681666666666667
SFXN4	0.061125
UCP3	0.6817
ZNF703	1.086
MYL6B	-2.03375
TREM1	0.11125
OR52E6	0.2265
CKMT2	1.10725
HLA-C	2.2145
SLC13A3	-1.13683333333333
TIMP4	-2.3765
SLIT2	1.9075
RSF1	0.124611111111111
LONRF1	-0.115142857142857
MON1A	-0.491833333333333
CACNG6	-1.2785
DPPA4	-5.32533333333333
ZSWIM3	0.8905
ZNF804A	0.022
CCIN	0.44825
SLC25A31	0.382
KCNMB4	2.64175
RABL5	0.757375
GALNS	-0.8215
STX6	1.3075
HIST1H1C	-0.950166666666666
CIDEB	0.127
CASP4	-0.624166666666667
PDK3	0.5817
KCNJ11	2.579
TPR	-0.123625
ZSCAN20	-1.232
MTX2	-0.628
HIST1H2BH	0.37775
LOC283767	0.78825
LYRM7	-0.930111111111111
BRD3	0.183166666666667
HIST1H2BO	0.09525
MAGEB10	1.056
SLC45A1	0.98025
SERPINA3	3.11945
KIAA0143	1.62175
KCNJ16	-0.417833333333333
KRT79	-0.550333333333333
FABP2	-0.4915
NUT	0.34825
ZNF57	0.01575
FBXL4	1.158875
CLEC9A	0.1125
UGT8	-1.2905
BMP2K	1.15025
MAPK4	-3.70625
SLC25A23	-0.5798
HINT1	0.5491
KRTAP13-1	0.622
SFXN5	-0.6112
CHCHD2	0.129083333333333
FAM3D	0.205
NDP	-3.12525
RHOBTB1	-0.265
SLC4A4	-1.82625
RPL38	-0.3915
HTF9C	-0.870166666666667
AP2A2	0.66225
ZBTB46	-1.593
MAP7D1	-0.85125
AOX1	-1.207
CYR61	-0.00158333333333334
DTNA	-1.04435714285714
JRKL	0.22125
TMOD3	-0.4745
EEA1	-0.1924
ADCK5	0.165
IL1R1	-0.0401666666666667
KLK3	0.705615384615385
HRSP12	-0.397
KTN1	0.73275
LOH11CR2A	0.2879
RELL2	-1.79325
MAB21L1	0.99875
C20orf59	-1.08833333333333
PHKB	-0.26025
ADAM2	-2.5075
TBC1D8B	2.1425
FAM13A1	-0.616866666666667
LAPTM4B	-0.921166666666667
LCN8	0.1545
TMEM147	0.791
SYT4	0.583666666666667
XPO7	-0.404
C9orf62	1.8975
GPR75	-0.597
TRIM5	0.278625
APOC1	-0.264833333333333
RNASE4	-0.086
PARD6B	1.214
ARID1A	-0.241166666666667
TPD52L3	0.3864
RRAGB	1.369
RCN2	-1.03133333333333
HIST2H2BE	0.190125
STARD7	-0.674
SHMT2	-1.9475
KIAA1751	-0.111166666666667
MLYCD	0.679625
LOC162632	-0.5962
UQCRH	-1.59025
RP11-217H1.1	0.7896875
SDHA	-0.398666666666667
NCLN	-0.1465
ZNF17	0.6645
RCBTB2	-1.727
VEGFB	-0.4025
RP4-747L4.3	0.64775
COLQ	-0.0619
MPN2	-1.1095
DRG2	-0.021
KLRB1	3.254
ALPK2	-2.34525
DNASE2B	1.369
FLJ23834	-0.606666666666667
AXUD1	0.369166666666667
SAFB	0.1334
NSUN4	-0.94225
RFX2	-0.217166666666667
MAPK8IP1	-0.691
FANCD2	-0.9715
ANKZF1	-1.7555
C19orf50	-0.46275
DUSP8	1.400625
SENP5	0.081375
NFKBIL2	-0.08325
LBR	-1.394
IGFL1	0.722
LZTS2	0.140375
IL2RG	-1.108875
CCDC51	-0.56725
KLF3	-0.48825
ANKRD37	-1.10775
KCTD14	-2.54116666666667
FZR1	0.539
SLC44A4	3.9166
ESPL1	-0.802375
GMPR2	-0.384
TBC1D19	-0.596666666666667
ERGIC1	0.843703703703704
ERBB4	1.7405
TSPAN32	-0.504083333333333
MAP4	-0.579
GPHN	-0.7115
SLC6A2	0.13225
HIVEP1	-0.39625
DFFB	-0.7563
EIF4EBP2	0.217125
DMRT1	0.0836666666666667
HSPB6	-0.1505
IER2	-0.054
AIFM1	0.9305
WWC2	0.163181818181818
MRPL4	-0.1935
FLJ21062	1.7765
EPB41L4A	2.11108333333333
SH2D6	-0.04975
TAF4B	-1.28625
GAL3ST3	-0.931
MALT1	-1.536
RTDR1	0.49
ARVCF	-0.297375
MEX3B	-1.72583333333333
FBXO16	2.5535
KIF7	-2.686
C1QC	4.10116666666667
ZNF783	-0.932833333333333
ZNF85	0.2905
MMP13	2.1575
KIAA0329	0.3695
RTP3	2.8615
ZBED3	0.45025
CLGN	-0.48325
SLC25A37	-1.37454166666667
hCG_18290	-0.45825
OR5AS1	0.3205
SMARCC2	0.454583333333333
FAM109A	-0.371
CCDC12	-0.4945
USF2	0.441
DEPDC7	-1.91
C20orf24	-0.7925
JMJD3	0.265
DSP	1.49392857142857
SLIC1	0.402625
FAM20A	-0.348625
IRF2BP2	1.1065
ZNF230	0.4245
MSN	-0.828071428571429
SLC9A5	-2.015
EPDR1	-2.2872
MUSK	-0.0012
ZNF434	0.492166666666667
