Hybridization REF	TCGA-E2-A10E-01A-21R-A10J-07
HIST1H2AD	0.00625
DUS3L	-0.1625
EIF1	0.2525
RP5-1077B9.4	-1.33883333333333
FPGT	0.20475
GDF10	0.102666666666667
COQ9	-0.6055
GCC2	0.536857142857143
RARRES3	3.561875
PLXNA1	-0.7013
KIAA0100	-0.0233999999999999
PMF1	0.21325
FNDC1	4.058
HS2ST1	-0.616166666666667
CRELD2	1.11625
C8G	-1.6535
CD82	1.7505
LIM2	-1.1465
UNQ6490	0.057
MMP16	0.25675
DRD3	-0.1
C5orf26	-0.9035
C11orf73	-0.95175
PTP4A2	0.690625
OR4M2	-0.0135
HPCA	-1.0915
SEC14L1	-0.883333333333333
CHFR	-0.202375
EMILIN1	0.948625
NDUFS4	-0.216
COL18A1	0.472375
PDZD3	-0.1845
C9orf16	0.0348333333333333
ERBB2IP	0.131333333333333
EMX2	1.39725
FUS	-0.81325
TF	-2.942
CLCN4	-0.3605
CXorf56	0.04375
C11orf72	0.47025
ELAC2	-0.00258333333333334
NPR1	-0.68225
ASS1	-2.133
USP42	0.26125
POLR2J	-0.831
SEC23IP	1.27716666666667
UQCRC1	-0.12
LOC729603	-0.18
C1orf71	0.24175
POLG	-1.9525
ADAM23	-3.56775
TFR2	-1.89825
RICTOR	-1.1707
MGC39606	-0.11625
C19orf55	-0.17175
SNAPC1	-1.67416666666667
GNA11	0.95825
CCDC52	0.401333333333333
FSIP1	4.0515
UPF3A	0.22725
IGSF11	-2.11116666666667
LAGE3	0.19875
CHST6	-1.996
UNC13B	1.235375
TTLL4	-1.62175
ZNF687	0.152125
SDC2	-1.1708
COX7A2	-0.0495
LAMB4	-0.00775
FAM24A	0.5335
LRRTM3	-0.377166666666667
GPHB5	-0.02625
OR4C13	0.343
EIF3EIP	-0.183142857142857
HABP4	-0.8125
TMEM125	2.63725
CNTN2	1.9675
ASNSD1	-0.3715
FUT4	-0.659
ACF	-4.247
LOC158381	0.572
CDH8	-0.16625
AGPS	0.2035
C4orf18	4.254625
PECI	-0.282166666666667
UNG	-0.51025
GSTP1	0.135625
DCUN1D5	-1.30333333333333
DKFZP564J0863	-0.6955
SLC9A3R1	1.63625
BCDO2	-0.619875
CHMP7	0.376875
REM2	1.286
DNHD1	-0.288625
FKBP4	0.183625
ZNF350	1.50925
MGC11102	-0.043875
BST1	0.79825
KISS1R	0.9295
NCR2	-0.078
DEFB125	0.029
UBE2W	1.117375
KRT15	4.972125
C10orf99	0.303
SCN11A	0.184
GFI1	-2.541
RDHE2	1.3
FHL1	-0.504666666666667
OSGEP	-0.124
GATA1	-3.88466666666667
SMC6	-1.339
TTTY14	-1.00725
LPIN3	0.2065
RPL4	-0.7055
RBPMS	1.1648
PRPF3	-0.1425
EMR1	-2.598
SPATA19	-0.115
XCR1	0.125
IRX3	2.3093
RBM6	-0.2445
KLF4	0.439
UNC5CL	0.592
SEBOX	0.003
BTK	-0.894
KRCC1	1.09275
C6orf27	1.0565
SYTL5	-0.409
PRND	0.96525
LOC653319	-1.3035
PIGL	-1.2345
HUS1	-0.1275
SFRS6	0.143916666666667
C17orf77	0.218
UIMC1	-0.368333333333333
FXYD2	-1.8287
LOC283152	0.7495
ZNF667	-1.41075
ZCCHC12	-0.61425
TFEC	1.7838
ATP7B	0.134
POLD2	-0.743833333333333
RG9MTD1	-0.28225
ACOT2	1.11216666666667
HIST1H4I	-0.8065
PPARGC1A	-2.1673
ETFA	-1.0476
POLRMT	-0.0895
ZNF146	-0.1365
MIA2	-0.733
KLHL6	-1.35216666666667
HOXB5	-0.950875
NENF	0.73
CUGBP1	0.825
PRSS22	1.42583333333333
CASC4	1.0903
CUL4B	-0.0476
CENPJ	-1.0941
PITX1	-0.358666666666667
FLJ31033	0.521166666666667
CELSR3	-2.36433333333333
ZNF568	0.3695
ITSN1	-0.456833333333333
EHBP1L1	-0.756
C19orf2	-0.499
DCTN1	0.50225
LIN28B	-2.99166666666667
TNKS2	-0.51825
C1QBP	-0.182125
CADPS2	1.77325
SRMS	0.1095
GJA9	0.140333333333333
MGC24975	-0.713833333333333
TRIM45	1.1245
TSP50	1.04575
TCP1	-1
TMED7	0.3312
CMA1	0.588
CENPL	-0.708833333333333
PTCRA	0.234
FST	-4.2675
VWCE	-4.3235
PAWR	0.0285
ABCC12	3.028
LDLR	-1.4444
ASTN2	1.8031
LOC441212	-1.25625
GPATCH8	-0.34375
TANC2	0.23875
KIF4A	-1.886
C18orf18	-2.05625
PGM1	-0.9005
KIAA0258	0.82225
CPD	0.169875
SNCAIP	-0.8855
DCT	-4.79166666666667
HLA-DOA	1.89495454545455
OR11L1	0.305
UPK1B	-0.400833333333333
DNAJB4	-0.94675
UGT1A8	-0.13525
HIST1H4L	-0.683
PECR	-0.293333333333333
HSPA2	1.85125
WFIKKN1	-3.554
SERP1	-0.179875
SYDE2	0.404
TACR2	0.5955
NUP85	-0.7205
CD177	-0.0495
LGR5	-1.45533333333333
PIGG	-0.15475
PTHR1	-1.41083333333333
RAB5A	0.3683
FLJ13224	-0.011
USP9Y	-0.7352
C7orf53	-0.711
LRP1B	-0.5315
XAF1	3.1636
ABCG8	-0.6225
ANKDD1A	-0.492166666666667
DAND5	-0.6295
SPAG6	0.0303333333333333
LINCR	2.00825
ZDHHC22	-1.417375
CCDC60	0.1975
THOC7	-1.10866666666667
TCTA	1.25
OR8K3	0.5
NY-REN-7	-0.306
B2M	1.62416666666667
C6orf141	-3.523
LPPR4	0.84
SQLE	-2.4515
SEPHS1	-0.31475
BTBD14B	0.363214285714286
PLRG1	-0.1275
SPG7	-0.745
ZNF614	-0.329333333333333
PARD6G	0.452833333333333
INPP5B	-0.3315
GRPEL2	-0.39175
PPID	-0.6455
TRIM56	-0.36125
UBE2J1	-0.222125
IL20RA	4.7455
LOC387856	0.033
C1orf107	0.205916666666667
UTS2R	1.135
C19orf22	0.06775
SAFB2	0.405875
KIAA0652	0.312625
KLRG1	-0.9535
MS4A8B	2.2125
FRAG1	0.57575
KIAA1546	0.46875
E2F4	-1.3293
CLEC4M	0.393333333333333
BTBD14A	-0.219
KIAA0999	0.6776
GYPA	-2.85783333333333
TAC1	0.6042
TRAIP	-1.53383333333333
KIAA0232	1.0814
ERCC8	-1.104125
GPX4	0.324125
KIAA0368	-0.415875
GPR157	-0.881666666666667
CTAGE4	1.11
C9orf30	-0.908333333333333
OR52A1	0.157
HSP90B3P	-0.3475
ALG9	-0.7479
BTBD10	0.383
SDK2	0.00774999999999998
BAIAP3	0.18
RABGGTB	-1.736875
ANKRD40	0.199833333333333
KRT74	0.5265
CALCOCO2	0.420642857142857
SNCA	-3.802
TMSL8	-3.427
C2orf53	0.00299999999999999
ESRRB	-0.39225
ARHGAP26	-0.26225
TDRD9	-2.96
HRAS	-0.364833333333333
KLRC4	-2.7205
JAGN1	0.00683333333333333
BSDC1	-0.10825
RNF43	0.1155
NDUFAF1	0.6585
PHF12	0.35875
OR1L3	0.121
FOLR2	1.14025
LYZL6	0.104166666666667
tcag7.1260	-2.5265
WSB1	-1.60916666666667
PROS1	-1.3115
OSTN	0.6475
PSMB8	-0.6695
SOCS4	-0.25925
DDIT4L	0.9705
MAS1	0.1655
MGC34796	2.3685
CSHL1	0.215
TBCCD1	0.116333333333333
ZBTB7C	0.0015
AP2S1	-0.620375
P15RS	-0.5379
VAT1	-0.6316
SHANK3	0.854333333333333
TUFM	-0.125333333333333
THEG	-0.208
KRT34	-1.25175
SGSM3	0.75375
TOMM22	0.03825
SOCS3	1.784
CPO	-0.0665
POP4	0.305
BHLHB3	0.6075
MALL	1.1115
OR1B1	0.2045
PARK2	0.4655
GPR124	0.5355
LCE1E	0.222
RUVBL2	-0.35575
CGRRF1	0.3921
ACPL2	1.0865
WNT10B	-2.147
BAIAP2L2	-2.726
ISCA1	0.3065
C1orf125	0.81625
RPAP1	-0.751
RAI16	-0.412666666666667
RPL27	-0.4285
NLRP9	0.025
EPN1	0.12
LOC388610	-2.41275
SLC35A1	0.9961
GAL	-4.4345
SLC14A2	0.1735
RDH11	-0.572
FAM138F	-0.5665
AUH	0.36975
FLJ40243	0.50325
C14orf129	0.6455
MBD2	-1.0825
ABHD14B	0.220625
PIGT	0.744625
ALS2CR4	-0.36175
ALAS1	0.6233
FOXO1	0.709
CRLF3	-0.6325
C20orf107	-0.7305
FARS2	1.0705
CCDC28A	1.0925
NPHP3	-0.58475
OR13F1	0.5335
TSEN54	-0.514
DEFB106B	0.2928
OR8B4	0.644
STH	1.28475
ZC3H14	-0.364625
CBX2	-0.4075
TMEM49	-0.14625
C6orf21	0.133
FLJ20920	-0.27325
CRTAP	-0.0585
DDX50	-0.1865
STYXL1	0.357
BLVRB	0.474
LOC147650	0.120666666666667
MMP24	0.24675
GRID1	0.972
BANF1	-0.231166666666667
CTAGEP	0.6475
HMBS	-2.45025
SLC25A24	-0.242666666666667
C14orf50	1.48725
MRO	1.22183333333333
SLC25A15	-0.1615
FAM84B	1.7266
TDP1	-0.6035
C16orf78	-0.0646666666666667
C11orf57	-0.993
RFK	-1.008
ZFYVE9	-0.09875
STCH	-0.9959
WIBG	0.44925
LOC283871	-0.406166666666667
GBA2	-0.3052
NDUFB3	-0.178
HSD17B13	-0.1555
GRIN3A	0.6375
FMNL1	-0.548333333333333
SEPT7	-0.4675
GNLY	1.972
GRAMD1C	0.288666666666667
ZNF165	-0.698
USP38	0.4625
FAM83A	-3.16733333333333
C14orf24	0.628833333333333
ARMCX3	1.774375
ARHGDIB	1.5495
AK1	0.71175
KIAA1045	-0.20725
DNAJB13	-0.545
NEU2	0.171
HIST1H4B	-1.13283333333333
FAM20B	0.1125
HES2	-0.246928571428571
FAM73B	-0.2182
LOC388381	-0.12625
INTS7	0.107181818181818
AMPH	1.868
ZNF775	-0.092875
UCKL1	-0.521833333333333
C10orf97	0.26325
C1orf161	0.467
ALDH1L1	0.366
FLJ39378	0.157625
SLC23A1	-0.536
RBM4B	0.39325
THAP4	0.493166666666667
OGFRL1	0.17325
KIAA0831	-0.05625
PPP1R15A	-0.024
C1orf96	-0.163357142857143
C12orf11	-2.2715
BMF	0.85525
MAN1A1	-1.130625
KIAA1600	0.905
NLGN4X	-0.08025
ALOX12	-0.806833333333333
RB1CC1	0.0753
NEIL2	0.6107
EIF4E	0.294045454545454
ABHD5	0.4895
EXOC4	-0.289666666666667
CIP29	0.256166666666667
BATF2	1.7625
SLC29A4	-0.287625
HTR4	0.27025
EMB	-0.08975
TRAF6	0.18925
LMNB1	-2.18
FAM19A5	-1.233125
SHE	0.72675
PIK3C2B	0.25425
C15orf15	-0.4367
USP15	-0.4857
TCEAL2	2.44525
C5orf39	-1.47033333333333
PTGER2	-0.272
SLC31A1	-0.148
IFT172	0.37
ADAM29	0.4605
GFOD1	0.791
ST7L	1.151
C15orf26	-3.0665
PKN3	-0.92025
CNTD1	2.5995
COMMD1	0.724
NTRK2	1.78
FOXN3	-0.00425
MFGE8	-0.7219
PFKFB2	0.3375
TAS2R4	-0.04425
ENTHD1	1.24016666666667
PRMT5	-0.529
MGC16384	-0.8255
LOC442229	-1.06
TSKU	1.1825
KRTCAP3	2.605375
PDLIM1	1.2776
KCNS2	-0.22075
RNF126	-0.571
CEP63	0.40675
CLIC4	-0.601375
hCG_1990170	-0.30325
ACR	0.4535
KLK7	0.13225
ALOX5AP	2.955875
RIPK3	3.484
TAS2R9	0.2395
C19orf18	-1.0135
BIRC6	-0.00628571428571429
ZNF16	1.309
RFT1	-0.3255
SLC8A2	-0.47075
TACC1	-0.639
ITGAD	0.058
SAMHD1	0.7965
SH3PXD2B	1.0146
EPC2	0.664
C20orf85	0.074375
ATP13A2	-0.378166666666667
KRT4	0.419875
CAPNS1	0.42625
MDM2	-0.472583333333333
PCDH20	3.00925
KCNK9	0.3635
OR2C1	0.134
KLHDC3	-1.05916666666667
IPPK	0.45
EFHD2	-0.117625
GALR3	0.90125
NBEA	1.81366666666667
ABCA6	2.0904
CLDN3	0.495333333333333
AKT2	-0.354214285714286
EGFR	-2.1299
RBM16	0.391375
ZDHHC3	0.1047
SLC25A4	0.464
CYB5B	-1.346
CPXM1	0.238
NDRG1	-2.054
FLJ43826	0.794
OR5L2	0.0821666666666667
FARP2	0.6423
MRPL46	-0.364583333333333
LDHAL6B	0.0806666666666667
MAPKAPK3	0.349
NCAM2	0.77875
PRKD2	0.686833333333333
ZFP36L1	1.8956
CYSLTR1	-0.3705
OR4C3	0.16075
HIST1H2AJ	1.473
CCNB2	-2.69677777777778
ZNF10	-1.080875
TMEM175	0.706
FAM134A	0.940666666666667
TIGD4	-0.0225
PCNP	-0.24825
MGC39715	-0.04325
LQK1	-1.0505
CREB1	0.7161
TMPRSS3	1.4965
C4orf32	2.485875
LAT	-1.80583333333333
KCNA3	0.4885
SKIV2L2	-0.80225
ROPN1B	-1.91075
tcag7.23	-0.741
CDT1	-3.0865
ZHX2	1.07875
CD28	-2.884
ZNF624	1.226
SEPT2	0.81475
SOHLH2	-1.389375
MCOLN3	-0.5335
UNQ1945	0.389
MASP2	-1.079
ZNRF3	0.8274
GPATCH3	-0.9825
AGL	0.181625
QRICH2	-0.591
PSD4	1.73833333333333
CCNB1IP1	-1.7775
ENPP7	0.21625
OBFC1	0.35175
KCNG3	-2.055
C14orf79	1.05066666666667
ENPEP	1.07216666666667
SCT	1.353
SKI	0.455
SEC61G	-1.23025
CAPN11	-0.383
ATXN7L3	0.27175
DBNDD1	-0.6045
FAIM	0.036
ANKRD36	-0.826
GABRP	2.22633333333333
TACSTD2	1.7575
EIF3J	-0.293
PPP2R2A	0.0585
TEKT4	-0.5145
PVALB	-3.46483333333333
F10	-2.66216666666667
FAM134C	0.877
COMP	4.36475
EFCBP1	-2.7460625
SCLT1	0.147
TAL1	-1.509
ACSL1	0.41775
ABCC5	1.45683333333333
ABL1	0.01
RBBP7	0.555
PTPRG	-0.334875
NCOR1	0.8209
SPINK4	-0.539166666666667
TXNRD1	-1.4806
TNRC15	0.928375
C9orf138	0.799625
UBE2H	1.20366666666667
BRDT	0.423
C8orf31	0.02
CCNE2	-0.844818181818182
SLC6A8	-1.7155
CALCR	-4.49375
PPP1CB	0.614
ABHD8	0.4265
ARF5	0.679
SLC24A4	0.46975
CCT3	0.061
ZNF121	0.039375
SLC3A2	-0.6359
OR13A1	0.428
SLC5A10	0.3395
RAD50	-0.393875
IER5	-0.015625
MTHFD1L	-2.727
MBTPS2	0.56525
MVK	-0.86525
NCL	-0.0345
PSMD10	-0.63075
MOBP	0.07575
FLJ32894	0.026
HRH1	-1.508
C5orf30	1.5465
NUDT16L1	1.1373
RASGRP3	2.461
PRKRIP1	-0.2087
CCDC75	-0.237
LOC253970	-0.10175
KIAA1239	0.93775
MED21	-0.30725
SYT11	0.0436666666666667
NTSR2	-0.3395
EGFL11	-0.124
CXorf59	0.591
OR2A25	0.00625
SPTBN2	0.43675
LRMP	-1.66533333333333
RNF111	0.0185
PTH	0.5485
LOC619208	0.401
KIAA0895	0.39725
RANBP5	-1.11875
P2RY10	3.06983333333333
NME5	3.73183333333333
DDX21	-0.7125
LRSAM1	0.1185
HDAC11	1.6495
VMO1	1.42325
NOLA2	-0.0141666666666667
ADAR	1.23175
MTO1	-1.37333333333333
SF4	0.718833333333333
P2RX1	-0.1005
HBM	0.36475
EN2	1.18
C14orf172	-0.14825
TM9SF2	0.3001
INHBE	-1.386
TCTE3	0.152166666666667
TOX2	-2.19775
CTAGE3	0.682875
HBB	2.8067
MED15	-0.565833333333333
CASR	0.148
C6orf66	-1.19283333333333
MTPN	-0.319125
UNC50	-0.10475
C21orf33	-0.249125
IRF2	0.714375
PGR	-0.0196666666666667
GPR84	2.13875
CROCCL1	-2.2505
SRPX	-1.393
BRE	0.491666666666667
FGF10	4.816
SDC3	0.867333333333333
ZRSR1	0.5975
DKFZP434P211	0.001375
SOX6	-0.72
RPUSD2	-0.53525
C14orf173	-0.0598333333333334
MAPK11	-0.476
TBC1D22A	0.791
FAM123A	-0.494
COL4A6	-2.17366666666667
TOMM70A	0.03425
NAB1	-0.042
MGC16385	-1.00825
TSPAN18	-0.129666666666667
MED31	-0.41475
PLG	-0.13725
CAPSL	1.6815
ZNF532	0.5802
ASB14	-0.168
CA8	2.02625
NUDT16P	0.3555
SLFN11	-1.676
LRRIQ2	0.36925
NOL7	-0.196666666666667
BRMS1L	-0.55625
JARID1A	0.182
PANK2	-0.854
ICAM3	-0.1525
MDS1	-0.34625
TAF8	-0.34225
RNF139	0.6795
ZNF594	0.674666666666667
ADAM8	1.909625
SFTPC	-0.350625
MAN2B2	1.974375
RGS12	0.801466666666667
EIF1AY	-4.82175
LRRIQ1	-1.28583333333333
GPR150	1.32525
CCDC21	-1.76333333333333
PRRG3	0.4585
SAA4	-3.33975
RAPGEF5	1.58125
ZCCHC2	-0.609583333333333
MGC39372	1.1705
PPP4R2	0.293833333333333
CDCA2	-1.87033333333333
OR4D5	0.4005
PTGFRN	2.0804
SIGLEC5	1.71166666666667
C19orf61	-0.5335
NMUR2	-0.137
KIAA1586	-0.731333333333333
DAGLA	0.342333333333333
CHCHD6	0.32875
GPR32	0.865
NEUROD6	0.1555
SLC2A4RG	0.3630625
CA5B	0.12625
FBXL3	1.3805
MPHOSPH9	-0.81575
HMG2L1	0.6185
HCN4	0.838166666666667
CEACAM19	0.31075
SH2D4B	0.127833333333333
HFE2	-0.531
TGM4	-0.273666666666667
LYPD2	-0.1775
TBC1D15	0.03075
MRPS21	0.438
NONO	-0.5133
CLEC5A	1.8315
ITCH	0.1179
MGAT3	-0.992166666666667
MBP	-0.834125
RPP25	-1.7255
SOSTDC1	-0.5575
HRC	-1.99725
TRIM48	-0.3495
TMEM133	0.067
ECEL1P2	-1.1585
HOXC11	1.165
DOK5	-1.5435
HELZ	0.229833333333333
LOC348180	-0.8015
MGC33894	0.12525
ADRB3	0.2365
DMD	-0.174333333333333
PTRH2	-0.6095
MPEG1	2.01866666666667
NDUFA12	0.112333333333333
KRTAP2-4	0.0276666666666667
STAMBPL1	-0.817666666666667
ADCY2	0.0621666666666667
UNQ6125	0.3345
KLHL20	0.4685
SRM	-1.3825
OTC	-0.24825
TMIE	0.629666666666667
SNX8	0.0565
LIPK	0.4755
CHURC1	-0.113
KLC2	0.292833333333333
HDAC1	-1.10333333333333
FAM128A	0.592166666666667
FNDC3B	-0.1315
MTCP1	-0.541166666666667
WFDC10B	0.1992
PCDHGB3	0.4035
ATRNL1	1.5229
CAV2	-0.659125
MED26	-0.0485
DUS1L	0.44925
CHRM3	-1.594875
NEK9	0.762
WARS2	1.0685
TBX22	0.3795
TOMM40	-1.16075
RP6-213H19.1	-0.2215
TUBGCP5	-0.331
IGSF6	3.31425
TPPP	0.343666666666667
UNQ6190	0.674
GSTM5	-0.31275
BTD	0.9825
PDCD1LG2	0.439833333333333
SNRPB2	-0.6155
ERICH1	-0.275625
APOA4	-1.725
HOXA11	-1.37725
NARG1	-0.316125
MKX	-0.6575
RAB28	-0.129142857142857
PKP3	1.34275
SH3GL2	1.00875
CTSO	2.50825
RPN2	0.1069375
IL28RA	0.243
SFMBT1	0.5745
WDR57	-1.462
FER1L3	0.990666666666667
HSF5	-0.0121666666666667
TTC9B	0.71275
C4BPA	-2.63533333333333
ALB	-3.61053846153846
SORBS3	0.462
UPF2	-0.5275
JPH1	-0.041
AGBL2	0.603
DOPEY1	1.877
TERF1	0.023
KIF22	-1.57133333333333
NINJ1	1.82925
SEC61A2	-0.535916666666667
HIST1H1D	-1.67816666666667
SFXN4	0.03275
UCP3	0.2914
ZNF703	0.992833333333333
MYL6B	-0.20425
TREM1	2.32125
OR52E6	0.3645
CKMT2	2.12925
HLA-C	2.221125
SLC13A3	-2.54916666666667
TIMP4	-1.286
SLIT2	1.29675
RSF1	1.073
LONRF1	-0.550428571428571
MON1A	0.156333333333333
CACNG6	-1.51283333333333
DPPA4	-5.70316666666667
ZSWIM3	-0.12475
ZNF804A	0.1385
CCIN	0.69825
SLC25A31	0.171
KCNMB4	-1.0865
RABL5	0.979
GALNS	-0.4832
STX6	0.737875
HIST1H1C	-2.00683333333333
CIDEB	-0.78825
CASP4	-0.681666666666667
PDK3	0.665
KCNJ11	2.2435
TPR	0.266
ZSCAN20	-0.736
MTX2	-0.1315
HIST1H2BH	-0.152
LOC283767	0.29975
LYRM7	-1.42694444444444
BRD3	1.0545
HIST1H2BO	-0.7675
MAGEB10	-0.062
SLC45A1	0.4345
SERPINA3	4.0967
KIAA0143	1.253
KCNJ16	0.237833333333333
KRT79	-0.07725
FABP2	-0.29575
NUT	-0.37475
ZNF57	-0.099
FBXL4	0.379875
CLEC9A	0.432
UGT8	-1.173
BMP2K	-0.089
MAPK4	-3.91225
SLC25A23	-0.3187
HINT1	-0.5744
KRTAP13-1	0.141
SFXN5	0.1473
CHCHD2	0.11025
FAM3D	0.9105
NDP	0.80475
RHOBTB1	0.107166666666667
SLC4A4	-0.8445
RPL38	-0.02825
HTF9C	-0.305333333333333
AP2A2	0.8295
ZBTB46	0.2725
MAP7D1	-0.056
AOX1	-0.788166666666667
CYR61	0.473
DTNA	-1.02892857142857
JRKL	-0.439
TMOD3	-0.55775
EEA1	0.2858
ADCK5	-0.168
IL1R1	2.045
KLK3	0.457142857142857
HRSP12	-0.49575
KTN1	0.4385
LOH11CR2A	0.8208
RELL2	-0.78925
MAB21L1	1.01275
C20orf59	-1.38383333333333
PHKB	-0.64725
ADAM2	-1.13716666666667
TBC1D8B	1.489
FAM13A1	-0.28475
LAPTM4B	-1.82025
LCN8	0.187
TMEM147	0.4665
SYT4	-0.100666666666667
XPO7	-0.5055
C9orf62	1.21575
GPR75	-0.043
TRIM5	0.148
APOC1	-1.42416666666667
RNASE4	1.60583333333333
PARD6B	-1.58425
ARID1A	-0.10825
TPD52L3	0.0937
RRAGB	0.924666666666667
RCN2	-0.596333333333333
HIST2H2BE	0.26375
STARD7	-0.13375
SHMT2	-1.0695
KIAA1751	0.308833333333333
MLYCD	0.166875
LOC162632	0.2172
UQCRH	-2.17325
RP11-217H1.1	0.321375
SDHA	-0.940166666666667
NCLN	-0.1584
ZNF17	0.517
RCBTB2	-1.747
VEGFB	-0.1157
RP4-747L4.3	0.08325
COLQ	0.5993
MPN2	-0.602833333333333
DRG2	-0.103
KLRB1	3.2195
ALPK2	-2.6545
DNASE2B	-0.00325000000000001
FLJ23834	-0.362
AXUD1	1.59983333333333
SAFB	-0.2014
NSUN4	-0.6995
RFX2	0.0453333333333334
MAPK8IP1	-0.247
FANCD2	-1.15564285714286
ANKZF1	-1.53816666666667
C19orf50	-0.519125
DUSP8	2.09225
SENP5	-0.24425
NFKBIL2	-0.37225
LBR	-1.856
IGFL1	0.0415
LZTS2	0.637
IL2RG	-0.82475
CCDC51	-0.14825
KLF3	0.982875
ANKRD37	-0.427
KCTD14	2.15766666666667
FZR1	0.785833333333333
SLC44A4	4.1187
ESPL1	-1.42575
GMPR2	-0.0422
TBC1D19	-0.0725
ERGIC1	0.701111111111111
ERBB4	3.0178
TSPAN32	0.0686666666666667
MAP4	0.458
GPHN	-0.596
SLC6A2	0.191375
HIVEP1	0.5355
DFFB	-0.6361
EIF4EBP2	0.259625
DMRT1	-0.0695
HSPB6	-0.04125
IER2	1.0485
AIFM1	-0.0805
WWC2	0.241166666666667
MRPL4	-0.3945
FLJ21062	1.1185
EPB41L4A	1.45866666666667
SH2D6	0.50875
TAF4B	-1.598
GAL3ST3	-0.355
MALT1	-1.354
RTDR1	-0.2535
ARVCF	0.37375
MEX3B	-1.43666666666667
FBXO16	1.1955
KIF7	-0.71225
C1QC	3.54666666666667
ZNF783	-0.602166666666667
ZNF85	-0.162
MMP13	3.432
KIAA0329	0.407625
RTP3	-0.285
ZBED3	0.713
CLGN	-0.1305
SLC25A37	-1.34166666666667
hCG_18290	-0.1115
OR5AS1	0.4195
SMARCC2	1.01983333333333
FAM109A	0.0478333333333333
CCDC12	0.21475
USF2	0.5382
DEPDC7	-2.8915
C20orf24	-0.782333333333333
JMJD3	1.1785
DSP	2.07621428571429
SLIC1	0.195125
FAM20A	0.30725
IRF2BP2	1.10175
ZNF230	-0.1745
MSN	-0.726928571428571
SLC9A5	-1.9075
EPDR1	-0.8321
MUSK	-0.0731666666666667
ZNF434	0.241333333333333
SMARCD1	-0.122833333333333
ZFP106	-0.1815
ZNF347	0.385
