Hybridization REF	TCGA-B6-A0I5-01A-11R-A034-07
LIN28B	-2.05266666666667
TNKS2	-0.19125
C1QBP	-0.677625
CADPS2	0.86875
SRMS	0.218
GJA9	0.00216666666666671
MGC24975	0.536333333333333
TRIM45	-0.186166666666667
TSP50	0.1975
TCP1	-1.462
TMED7	-0.5022
CMA1	0.092
CENPL	-1.29866666666667
PTCRA	0.9115
FST	-2.49675
VWCE	-3.59825
PAWR	0.79225
ABCC12	1.71216666666667
LDLR	-1.6001
ASTN2	2.3273
LOC441212	-0.666
GPATCH8	-0.1885
TANC2	-0.738833333333333
KIF4A	-2.40125
C18orf18	-2.6705
PGM1	-2.7905
KIAA0258	0.46725
CPD	-0.202
SNCAIP	0.16775
DCT	-3.68683333333333
HLA-DOA	2.09727272727273
OR11L1	1.161
UPK1B	-0.828833333333333
DNAJB4	-1.5055
UGT1A8	-0.72625
HIST1H4L	0.7665
PECR	-1.08966666666667
HSPA2	3.10875
WFIKKN1	-0.9245
SERP1	-0.80875
SYDE2	0.57925
TACR2	1.147
NUP85	-0.89525
CD177	-0.481666666666667
LGR5	-1.5315
PIGG	-0.205666666666667
PTHR1	-1.10233333333333
RAB5A	-0.6909
FLJ13224	0.404
USP9Y	-1.51433333333333
C7orf53	1.3055
LRP1B	-0.7275
XAF1	0.4575
ABCG8	-0.3725
ANKDD1A	-0.343
DAND5	-1.867
SPAG6	4.92566666666667
LINCR	0.66525
ZDHHC22	-0.974125
CCDC60	0.452
THOC7	-0.908
TCTA	0.4374
OR8K3	0.533
NY-REN-7	-1.1105
B2M	0.121166666666667
C6orf141	-1.093
LPPR4	1.533
SQLE	-1.0475
SEPHS1	-0.8035
BTBD14B	0.807071428571429
PLRG1	-0.39725
SPG7	-1.461625
ZNF614	-0.739
PARD6G	0.9555
INPP5B	-0.818
GRPEL2	-0.426375
PPID	-0.7976
TRIM56	-0.0595
UBE2J1	-0.620625
IL20RA	5.38925
LOC387856	-0.014
C1orf107	0.446583333333333
UTS2R	-0.31725
C19orf22	0.0615
SAFB2	0.97225
KIAA0652	-1.172125
KLRG1	-0.333166666666667
MS4A8B	2.7875
FRAG1	0.84225
KIAA1546	-0.31475
E2F4	-1.6162
CLEC4M	-0.3435
BTBD14A	-0.7
KIAA0999	1.0582
GYPA	-2.9725
TAC1	0.000399999999999978
TRAIP	-1.3775
KIAA0232	1.5647
ERCC8	-1.5495
GPX4	1.10725
KIAA0368	0.353375
GPR157	-0.865
CTAGE4	0.618
C9orf30	-1.483
OR52A1	0.217
HSP90B3P	-0.5495
ALG9	-0.2617
BTBD10	-0.3315
SDK2	0.194
BAIAP3	1.43075
RABGGTB	-0.759
ANKRD40	-0.716666666666667
KRT74	-0.0185
CALCOCO2	-0.346928571428571
SNCA	-3.5685
TMSL8	-3.869375
C2orf53	-0.8625
ESRRB	-0.1115
ARHGAP26	1.194
TDRD9	-2.51075
HRAS	0.198333333333333
KLRC4	-1.404
JAGN1	0.2505
BSDC1	1.414
RNF43	-0.7317
NDUFAF1	0.48825
PHF12	-0.19475
OR1L3	0.02025
FOLR2	1.56091666666667
LYZL6	-0.448333333333333
tcag7.1260	-1.96
WSB1	-0.952166666666667
PROS1	-1.0651
OSTN	1.0415
PSMB8	0.462
SOCS4	-1.497125
DDIT4L	0.33275
MAS1	-0.4495
MGC34796	1.6125
CSHL1	0.467166666666667
TBCCD1	-0.3105
ZBTB7C	0.3985
AP2S1	-0.526125
P15RS	-0.8458
VAT1	-0.8882
SHANK3	0.809333333333333
TUFM	-0.261333333333333
THEG	0.71525
KRT34	-1.295
SGSM3	-0.321125
TOMM22	-0.781875
SOCS3	1.06766666666667
CPO	-1.472
POP4	-0.39875
BHLHB3	0.9095
MALL	0.632
OR1B1	-0.219
PARK2	-0.325666666666667
GPR124	0.982875
LCE1E	-0.4215
RUVBL2	-0.866
CGRRF1	-0.0205
ACPL2	0.18275
WNT10B	-2.169625
BAIAP2L2	-1.471625
ISCA1	0.1605
C1orf125	1.19642857142857
RPAP1	-0.0125
RAI16	-0.1525
RPL27	-0.1385
NLRP9	-0.698
EPN1	-0.5735
LOC388610	-0.242625
SLC35A1	0.5647
GAL	-2.8565
SLC14A2	0.241
RDH11	0.687166666666667
FAM138F	0.8885
AUH	-0.1165
FLJ40243	0.809
C14orf129	-0.531666666666667
MBD2	-0.232666666666667
ABHD14B	-0.053875
PIGT	0.67975
ALS2CR4	-0.835
ALAS1	-0.7866
FOXO1	1.60166666666667
CRLF3	-0.814
C20orf107	-0.504
FARS2	-0.15325
CCDC28A	0.32675
NPHP3	-0.67425
OR13F1	0.829
TSEN54	-0.35
DEFB106B	-0.3086
OR8B4	0.9165
STH	2.755
ZC3H14	-0.154375
CBX2	-0.209
TMEM49	-2.61475
C6orf21	0.872
FLJ20920	1.341625
CRTAP	-0.632857142857143
DDX50	0.153
STYXL1	-0.00874999999999998
BLVRB	-0.789666666666667
LOC147650	-0.756
MMP24	0.98575
GRID1	1.63566666666667
BANF1	-0.4145
CTAGEP	0.72675
HMBS	-1.54825
SLC25A24	-0.663666666666667
C14orf50	3.827
MRO	-0.565333333333333
SLC25A15	-0.12925
FAM84B	0.7254
TDP1	-0.1315
C16orf78	-0.508833333333333
C11orf57	2.00675
RFK	-0.542375
ZFYVE9	0.714
STCH	-1.8111
WIBG	1.10475
LOC283871	-0.665
GBA2	-1.0784
NDUFB3	-0.428
HSD17B13	-0.5815
GRIN3A	0.0501666666666667
FMNL1	-1.6745
SEPT7	-0.1951
GNLY	1.864
GRAMD1C	-0.139333333333333
ZNF165	0.61175
USP38	0.36525
FAM83A	-2.44666666666667
C14orf24	0.908333333333333
ARMCX3	0.36325
ARHGDIB	-0.227
AK1	0.2725
KIAA1045	0.14375
DNAJB13	0.185166666666667
NEU2	0.693
HIST1H4B	-0.0251666666666667
FAM20B	-0.3311
HES2	1.47907142857143
FAM73B	-0.8183
LOC388381	-0.1185
INTS7	-0.0343636363636364
AMPH	2.65625
ZNF775	-0.3145
UCKL1	-1.196
C10orf97	-0.78475
C1orf161	-0.032
ALDH1L1	-0.981
FLJ39378	-0.055375
SLC23A1	-0.2585
RBM4B	-0.17925
THAP4	0.618833333333333
OGFRL1	1.287
KIAA0831	0.690375
PPP1R15A	-0.346666666666667
C1orf96	0.328285714285714
C12orf11	-1.73675
BMF	0.288
MAN1A1	-1.41325
KIAA1600	0.2015
NLGN4X	-0.36675
ALOX12	-0.617166666666667
RB1CC1	0.2817
NEIL2	1.1446
EIF4E	-0.610363636363636
ABHD5	-0.1895
EXOC4	0.0843333333333333
CIP29	-0.499833333333333
BATF2	0.44825
SLC29A4	-0.084375
HTR4	0.787
EMB	0.1975
TRAF6	0.9635
LMNB1	0.11675
FAM19A5	0.08825
SHE	0.8925
PIK3C2B	1.0055
C15orf15	-0.3327
USP15	-0.2141
TCEAL2	0.92375
C5orf39	-0.196
PTGER2	-1.845
SLC31A1	-1.197125
IFT172	1.57575
ADAM29	0.29075
GFOD1	0.074
ST7L	1.10883333333333
C15orf26	2.088
PKN3	-1.43875
CNTD1	2.57583333333333
COMMD1	0.202375
NTRK2	2.27945454545455
FOXN3	-0.350125
MFGE8	-0.2583
PFKFB2	1.15466666666667
TAS2R4	-0.59
ENTHD1	-0.193333333333333
PRMT5	-1.794
MGC16384	-0.5145
LOC442229	-0.37725
TSKU	-0.57975
KRTCAP3	4.1935
PDLIM1	1.6001
KCNS2	-0.1905
RNF126	0.0708333333333333
CEP63	0.646625
CLIC4	-0.696875
hCG_1990170	-1.4825
ACR	1.4854
KLK7	1.7885
ALOX5AP	1.705
RIPK3	2.95175
TAS2R9	1.6335
C19orf18	1.4035
BIRC6	-0.443571428571429
ZNF16	1.445
RFT1	-0.1585
SLC8A2	-0.72825
TACC1	0.4795
ITGAD	1.55366666666667
SAMHD1	0.297
SH3PXD2B	1.0482
EPC2	2.0825
C20orf85	6.876125
ATP13A2	0.231166666666667
KRT4	0.679125
CAPNS1	-0.77725
MDM2	0.555333333333333
PCDH20	0.71075
KCNK9	1.548
OR2C1	-0.235
KLHDC3	-1.72766666666667
IPPK	0.1215
EFHD2	-0.27725
GALR3	0.0125
NBEA	1.209
ABCA6	1.8302
CLDN3	1.68483333333333
AKT2	-0.330142857142857
EGFR	-1.93
RBM16	1.013625
ZDHHC3	0.4449
SLC25A4	-1.26583333333333
CYB5B	-2.86916666666667
CPXM1	-0.14675
NDRG1	-2.13884615384615
FLJ43826	0.02425
OR5L2	0.0438333333333333
FARP2	0.3749
MRPL46	-0.800666666666667
LDHAL6B	-0.149
MAPKAPK3	0.253
NCAM2	-2.457
PRKD2	-0.537666666666667
ZFP36L1	1.5012
CYSLTR1	-0.29
OR4C3	0.481
HIST1H2AJ	1.066
CCNB2	-2.485
ZNF10	0.04525
TMEM175	0.1845
FAM134A	0.300333333333333
TIGD4	-0.5735
PCNP	-1.853
MGC39715	-0.0755
LQK1	-2.15
CREB1	-0.416
TMPRSS3	2.36725
C4orf32	0.37525
LAT	-1.68116666666667
KCNA3	-0.4825
SKIV2L2	-0.99375
ROPN1B	-1.465
tcag7.23	0.004
CDT1	-3.21975
ZHX2	1.315125
CD28	-2.94825
ZNF624	2.109
SEPT2	-0.53625
SOHLH2	-1.56575
MCOLN3	-1.215125
UNQ1945	0.9875
MASP2	-0.117
ZNRF3	0.0234
GPATCH3	-0.499
AGL	-0.219375
QRICH2	-0.607
PSD4	0.1195
CCNB1IP1	-0.5995
ENPP7	0.49325
OBFC1	-0.00475
KCNG3	-1.701
C14orf79	0.360916666666667
ENPEP	0.787833333333333
SCT	1.572
SKI	1.205375
SEC61G	-0.65575
CAPN11	0.509
ATXN7L3	0.017
DBNDD1	-0.195
FAIM	-0.1155
ANKRD36	0.65
GABRP	0.582333333333333
TACSTD2	1.7615
EIF3J	0.018
PPP2R2A	-0.91
TEKT4	0.921666666666667
PVALB	-2.64116666666667
F10	-2.62133333333333
FAM134C	0.3891
COMP	5.26825
EFCBP1	-1.968125
SCLT1	2.45325
TAL1	-0.2639
ACSL1	-0.456
ABCC5	-0.954583333333333
ABL1	-0.554333333333333
RBBP7	-0.881
PTPRG	-0.0815
NCOR1	-0.2514
SPINK4	2.675
TXNRD1	-1.7921
TNRC15	2.33725
C9orf138	0.7855
UBE2H	1.47416666666667
BRDT	0.0455
C8orf31	-0.435
CCNE2	-1.41727272727273
SLC6A8	-1.176375
CALCR	-3.25825
PPP1CB	-0.152333333333333
ABHD8	-0.89625
ARF5	0.5761
SLC24A4	-0.50675
CCT3	0.74075
ZNF121	0.86325
SLC3A2	-1.8669
OR13A1	1.2205
SLC5A10	0.206
RAD50	-0.273125
IER5	0.122
MTHFD1L	-1.970125
MBTPS2	-0.7455
MVK	-0.728
NCL	0.6315
PSMD10	-1.59725
MOBP	0.416375
FLJ32894	-0.9955
HRH1	0.709833333333333
C5orf30	0.257
NUDT16L1	1.1798
RASGRP3	2.6995
PRKRIP1	-0.0313
CCDC75	1.197
LOC253970	-0.381
KIAA1239	-0.25275
MED21	-0.76975
SYT11	0.278333333333333
NTSR2	0.07
EGFL11	-0.927
CXorf59	1.25
OR2A25	-0.2055
SPTBN2	-0.77775
LRMP	-1.0505
RNF111	-0.683
PTH	0.131
LOC619208	1.4985
KIAA0895	0.2655
RANBP5	-0.629375
P2RY10	0.3285
NME5	4.6935
DDX21	-0.835
LRSAM1	-0.579
HDAC11	0.695666666666667
VMO1	1.5415
NOLA2	0.0601666666666667
ADAR	-0.0154166666666666
MTO1	-1.34433333333333
SF4	-0.1005
P2RX1	-0.0103333333333333
HBM	1.473
EN2	0.3855
C14orf172	0.99325
TM9SF2	-1.2116
INHBE	-0.333666666666667
TCTE3	-0.0745833333333333
TOX2	-2.3835
CTAGE3	0.85425
HBB	3.9562
MED15	-0.718666666666667
CASR	-0.6365
C6orf66	-0.866166666666667
MTPN	1.50675
UNC50	-1.49825
C21orf33	-0.043
IRF2	1.21025
PGR	3.37116666666667
GPR84	2.24
CROCCL1	-2.99925
SRPX	-1.4515
BRE	-0.114666666666667
FGF10	1.93725
SDC3	0.804166666666667
ZRSR1	0.0481666666666667
DKFZP434P211	-0.1485
SOX6	0.1565
RPUSD2	1.0495
C14orf173	0.208
MAPK11	0.501
TBC1D22A	-0.1425
FAM123A	0.3475
COL4A6	-1.9045
TOMM70A	-1.14425
NAB1	0.0165
MGC16385	-0.389625
TSPAN18	0.662333333333333
MED31	0.29975
PLG	-0.17025
CAPSL	6.009
ZNF532	1.0317
ASB14	-0.18
CA8	1.749
NUDT16P	1.15016666666667
SLFN11	-0.0925
LRRIQ2	0.59825
NOL7	-0.727833333333333
BRMS1L	-1.682875
JARID1A	1.05266666666667
PANK2	-0.3005
ICAM3	-0.73725
MDS1	-0.78825
TAF8	0.10225
RNF139	1.351
ZNF594	-0.6145
ADAM8	1.196
SFTPC	0.190125
MAN2B2	0.542875
RGS12	0.60575
EIF1AY	-3.928
LRRIQ1	2.26716666666667
GPR150	-0.429
CCDC21	-1.92733333333333
PRRG3	0.4995
SAA4	-3.12075
RAPGEF5	1.79775
ZCCHC2	0.9155
MGC39372	0.229
PPP4R2	0.135666666666667
CDCA2	-1.51066666666667
OR4D5	0.474333333333333
PTGFRN	0.7014
SIGLEC5	0.723666666666667
C19orf61	-0.906166666666667
NMUR2	0.285
KIAA1586	-1.0025
DAGLA	1.1595
CHCHD6	-0.64975
GPR32	1.1255
NEUROD6	-0.591666666666667
SLC2A4RG	0.600125
CA5B	0.12225
FBXL3	-0.20725
MPHOSPH9	-1.6255
HMG2L1	0.20375
HCN4	-1.13066666666667
CEACAM19	0.62325
SH2D4B	0.103833333333333
HFE2	-0.4155
TGM4	0.3644
LYPD2	-0.3235
TBC1D15	-0.24175
MRPS21	0.9067
NONO	-0.9264
CLEC5A	1.570125
ITCH	0.4345
MGAT3	-0.935166666666667
MBP	-0.638125
RPP25	-0.54225
SOSTDC1	0.9475
HRC	-1.12175
TRIM48	0.2855
TMEM133	-0.48025
ECEL1P2	-1.033
HOXC11	0.239
DOK5	-0.16325
HELZ	0.520166666666667
LOC348180	-1.40725
MGC33894	0.97375
ADRB3	-0.036
DMD	-0.0049166666666667
PTRH2	-0.013
MPEG1	2.31716666666667
NDUFA12	-0.014
KRTAP2-4	0.237916666666667
STAMBPL1	-2.47883333333333
ADCY2	-0.295833333333333
UNQ6125	0.193
KLHL20	1.24483333333333
SRM	-0.55
OTC	0.22925
TMIE	0.9355
SNX8	0.3095
LIPK	-1.867
CHURC1	0.191666666666667
KLC2	0.7025
HDAC1	-0.298
FAM128A	0.670333333333333
FNDC3B	-0.6857
MTCP1	-0.856166666666666
WFDC10B	0.00280000000000001
PCDHGB3	-0.2675
ATRNL1	-2.2942
CAV2	-1.723
MED26	0.261333333333333
DUS1L	0.8145
CHRM3	-1.579875
NEK9	0.23575
WARS2	1.43225
TBX22	-0.4055
TOMM40	-0.6625
RP6-213H19.1	-2.82
TUBGCP5	-0.79525
IGSF6	4.045
TPPP	0.335833333333333
UNQ6190	-0.7655
GSTM5	0.197625
BTD	0.136
PDCD1LG2	-0.096
SNRPB2	0.135
ERICH1	1.023125
APOA4	-1.60775
HOXA11	-2.10125
NARG1	-0.135125
MKX	0.1865
RAB28	-1.61642857142857
PKP3	2.158
SH3GL2	1.1215
CTSO	0.687
RPN2	0.8091875
IL28RA	-0.674
SFMBT1	1.37325
WDR57	-2.27425
FER1L3	1.19808333333333
HSF5	0.4275
TTC9B	1.041
C4BPA	-2.4435
ALB	-3.90007142857143
SORBS3	0.813875
UPF2	-0.2105
JPH1	0.719
AGBL2	1.36175
DOPEY1	1.681
TERF1	0.234416666666667
KIF22	-0.598666666666667
NINJ1	1.29975
SEC61A2	-0.957416666666667
HIST1H1D	-0.1485
SFXN4	0.178
UCP3	0.3692
ZNF703	1.8565
MYL6B	0.0275
TREM1	2.64725
OR52E6	1.0325
CKMT2	0.3185
HLA-C	1.53075
SLC13A3	-2.05866666666667
TIMP4	-0.88975
SLIT2	3.7275
RSF1	0.741444444444444
LONRF1	-0.454785714285714
MON1A	0.395166666666667
CACNG6	-1.48166666666667
DPPA4	-4.4385
ZSWIM3	1.1025
ZNF804A	-0.555666666666667
CCIN	1.1655
SLC25A31	-0.05075
KCNMB4	-0.28575
RABL5	1.054375
GALNS	-0.3416
STX6	2.15425
HIST1H1C	-1.117
CIDEB	0.33275
CASP4	0.176666666666667
PDK3	-0.4518
KCNJ11	0.2235
TPR	1.012125
ZSCAN20	-0.635
MTX2	-0.4475
HIST1H2BH	0.711
LOC283767	1.40575
LYRM7	-1.41733333333333
BRD3	0.875666666666667
HIST1H2BO	0.0585
MAGEB10	0.411
SLC45A1	-0.83175
SERPINA3	3.4125
KIAA0143	0.69075
KCNJ16	0.175
KRT79	-0.458
FABP2	-0.33875
NUT	0.15725
ZNF57	-0.19625
FBXL4	-0.464375
CLEC9A	0.4615
UGT8	-0.63
BMP2K	0.0275
MAPK4	-2.6765
SLC25A23	-0.202
HINT1	-1.3911
KRTAP13-1	-0.408
SFXN5	0.3409
CHCHD2	-0.0855833333333333
FAM3D	1.708
NDP	-2.460375
RHOBTB1	0.5215
SLC4A4	-1.22914285714286
RPL38	0.59225
HTF9C	-0.116166666666667
AP2A2	0.572625
ZBTB46	-0.108
MAP7D1	-0.55525
AOX1	-0.4475
CYR61	0.488833333333333
DTNA	0.781
JRKL	-0.87575
TMOD3	0.26525
EEA1	-0.2652
ADCK5	0.40075
IL1R1	0.893166666666667
KLK3	0.2195
HRSP12	0.29675
KTN1	0.594
LOH11CR2A	1.0104
RELL2	-1.79675
MAB21L1	-0.7985
C20orf59	-0.561
PHKB	-0.798
ADAM2	-1.18916666666667
TBC1D8B	0.9125
FAM13A1	-0.667875
LAPTM4B	-2.44683333333333
LCN8	0.7975
TMEM147	1.0825
SYT4	-0.122666666666667
XPO7	0.328
C9orf62	-0.182
GPR75	0.029
TRIM5	-0.469
APOC1	0.390166666666667
RNASE4	0.873833333333333
PARD6B	-0.685625
ARID1A	0.0168333333333333
TPD52L3	0.2412
RRAGB	-0.2645
RCN2	-0.676
HIST2H2BE	0.1380625
STARD7	-0.3275
SHMT2	-1.253
KIAA1751	0.416833333333333
MLYCD	-1.23475
LOC162632	-0.2576
UQCRH	-1.38075
RP11-217H1.1	0.2746875
SDHA	-2.60283333333333
NCLN	-0.3158
ZNF17	-0.0988333333333334
RCBTB2	-2.01425
VEGFB	-0.99
RP4-747L4.3	-0.0255
COLQ	0.2268
MPN2	-0.2545
DRG2	-0.68225
KLRB1	5.169
ALPK2	-2.27575
DNASE2B	-0.2355
FLJ23834	2.5365
AXUD1	0.508
SAFB	0.2115
NSUN4	0.3905
RFX2	1.04883333333333
MAPK8IP1	-0.353
FANCD2	-0.737428571428571
ANKZF1	-1.80233333333333
C19orf50	-1.0215
DUSP8	2.5635
SENP5	-0.042125
NFKBIL2	-0.39825
LBR	-2.3985
IGFL1	3.4705
LZTS2	1.3085
IL2RG	-0.362875
CCDC51	-0.16575
KLF3	-0.0305
ANKRD37	-0.59275
KCTD14	-1.03116666666667
FZR1	0.224416666666667
SLC44A4	3.9115
ESPL1	-1.08075
GMPR2	-0.4675
TBC1D19	-0.8335
ERGIC1	0.532555555555556
ERBB4	3.6132
TSPAN32	0.0773333333333333
MAP4	-0.15825
GPHN	-0.29
SLC6A2	0.354125
HIVEP1	1.18875
DFFB	0.4174
EIF4EBP2	0.376375
DMRT1	-0.33625
HSPB6	0.153
IER2	0.00800000000000001
AIFM1	0.18525
WWC2	0.36875
MRPL4	-1.181
FLJ21062	2.81716666666667
EPB41L4A	1.268
SH2D6	0.797
TAF4B	-1.08825
GAL3ST3	-1.671
MALT1	-1.15816666666667
RTDR1	1.5895
ARVCF	0.763625
MEX3B	-0.933666666666667
FBXO16	2.7885
KIF7	-2.25775
C1QC	4.19283333333333
ZNF783	0.463
ZNF85	-0.1165
MMP13	6.3365
KIAA0329	1.086875
RTP3	-0.9205
ZBED3	0.61025
CLGN	-0.494
SLC25A37	-0.415083333333333
hCG_18290	0.85825
OR5AS1	-1.0055
SMARCC2	0.479416666666667
FAM109A	-0.087
CCDC12	0.16825
USF2	0.414
DEPDC7	-1.5085
C20orf24	-1.39733333333333
JMJD3	0.477
DSP	1.91242857142857
SLIC1	0.323125
FAM20A	0.6535
IRF2BP2	1.016625
ZNF230	-0.87
MSN	-0.392571428571429
SLC9A5	-1.018
EPDR1	-1.9345
MUSK	-0.0493333333333334
ZNF434	0.2825
