Hybridization REF	TCGA-A7-A0CE-01A-11R-A00Z-07
CELSR3	-1.41566666666667
ZNF568	-0.59475
ITSN1	-0.23975
EHBP1L1	-0.978
C19orf2	-0.455
DCTN1	0.03825
LIN28B	-3.17466666666667
TNKS2	-0.461
C1QBP	-0.016625
CADPS2	1.0945
SRMS	0.42225
GJA9	-0.144166666666667
MGC24975	-0.021
TRIM45	-0.220666666666667
TSP50	0.5855
TCP1	-0.168
TMED7	-0.0722
CMA1	1.501
CENPL	0.282333333333333
PTCRA	-0.6095
FST	-3.70825
VWCE	-3.3765
PAWR	-0.20975
ABCC12	0.0928333333333333
LDLR	-0.1775
ASTN2	-0.1106
LOC441212	-0.196625
GPATCH8	0.83175
TANC2	-0.757166666666667
KIF4A	-0.42725
C18orf18	-1.3535
PGM1	0.25775
KIAA0258	0.13325
CPD	0.335
SNCAIP	-1.506
DCT	-4.47616666666667
HLA-DOA	1.30081818181818
OR11L1	0.549
UPK1B	-0.168333333333333
DNAJB4	0.891875
UGT1A8	0.92475
HIST1H4L	0.2125
PECR	-1.912
HSPA2	1.9005
WFIKKN1	-2.212
SERP1	0.075875
SYDE2	0.1745
TACR2	0.222
NUP85	-0.15225
CD177	-0.896
LGR5	-0.413333333333333
PIGG	-0.27725
PTHR1	-1.46533333333333
RAB5A	-0.4564
FLJ13224	0.906
USP9Y	-2.533
C7orf53	0.922
LRP1B	-0.6765
XAF1	2.522
ABCG8	-0.279
ANKDD1A	-0.8385
DAND5	0.071
SPAG6	0.358333333333333
LINCR	-0.76875
ZDHHC22	-0.6495
CCDC60	-0.121
THOC7	-1.03833333333333
TCTA	-0.1366
OR8K3	-0.61075
NY-REN-7	-0.4995
B2M	1.07316666666667
C6orf141	-0.71775
LPPR4	1.82825
SQLE	-1.59275
SEPHS1	0.12825
BTBD14B	0.537071428571429
PLRG1	-0.9915
SPG7	-0.401
ZNF614	-0.689
PARD6G	0.925833333333333
INPP5B	-1.124
GRPEL2	-0.15925
PPID	-1.2217
TRIM56	0.26275
UBE2J1	-0.08875
IL20RA	0.53075
LOC387856	0.539
C1orf107	1.25166666666667
UTS2R	0.7425
C19orf22	-0.94425
SAFB2	0.3385
KIAA0652	-0.360875
KLRG1	0.589666666666667
MS4A8B	-0.300833333333333
FRAG1	-0.33925
KIAA1546	-0.02075
E2F4	-0.6253
CLEC4M	0.842833333333333
BTBD14A	-1.2925
KIAA0999	0.1483
GYPA	-2.36933333333333
TAC1	-0.4748
TRAIP	-0.741666666666667
KIAA0232	-0.2503
ERCC8	-0.833625
GPX4	-1.305
KIAA0368	-0.817
GPR157	-0.274333333333333
CTAGE4	-0.11
C9orf30	-0.426166666666667
OR52A1	0.225
HSP90B3P	0.3965
ALG9	-0.526
BTBD10	0.07775
SDK2	1.2455
BAIAP3	-1.4355
RABGGTB	-0.31675
ANKRD40	-0.108166666666667
KRT74	0.4695
CALCOCO2	-0.559714285714286
SNCA	-1.47875
TMSL8	-1.709
C2orf53	0.3075
ESRRB	-0.20325
ARHGAP26	-0.331375
TDRD9	2.557
HRAS	0.5855
KLRC4	-0.748
JAGN1	-0.357166666666667
BSDC1	0.10575
RNF43	-1.4138
NDUFAF1	-0.45125
PHF12	-0.4625
OR1L3	0.2545
FOLR2	1.19366666666667
LYZL6	0.482166666666667
tcag7.1260	-0.464
WSB1	-0.566
PROS1	-1.3625
OSTN	-0.00800000000000001
PSMB8	0.4445
SOCS4	-0.6435
DDIT4L	2.505
MAS1	-0.0455
MGC34796	1.0035
CSHL1	0.920333333333333
TBCCD1	0.3675
ZBTB7C	0.00849999999999999
AP2S1	-0.307625
P15RS	0.4293
VAT1	-0.3393
SHANK3	1.03033333333333
TUFM	0.750833333333333
THEG	1.20625
KRT34	-1.03075
SGSM3	-0.82125
TOMM22	-0.539
SOCS3	1.76383333333333
CPO	-0.519
POP4	0.28175
BHLHB3	0.88575
MALL	1.27675
OR1B1	0.472
PARK2	0.699666666666667
GPR124	0.117
LCE1E	1.1555
RUVBL2	-0.721
CGRRF1	-0.4042
ACPL2	0.31175
WNT10B	0.4355
BAIAP2L2	-0.21525
ISCA1	0.4575
C1orf125	-0.370125
RPAP1	-1.56775
RAI16	-0.363
RPL27	-0.77875
NLRP9	0.2955
EPN1	0.5315
LOC388610	0.461625
SLC35A1	-0.2301
GAL	-1.89525
SLC14A2	0.32275
RDH11	-1.08116666666667
FAM138F	-0.948
AUH	0.10025
FLJ40243	0.82325
C14orf129	0.174333333333333
MBD2	-0.7295
ABHD14B	-1.064875
PIGT	0.6115
ALS2CR4	0.32725
ALAS1	0.2558
FOXO1	1.21066666666667
CRLF3	-0.313125
C20orf107	-0.9465
FARS2	1.35025
CCDC28A	0.85275
NPHP3	-1.155
OR13F1	0.4095
TSEN54	-0.04475
DEFB106B	0.4806
OR8B4	-0.0815
STH	-1.012
ZC3H14	-0.1385
CBX2	0.4345
TMEM49	-1.54625
C6orf21	-0.567
FLJ20920	1.28975
CRTAP	-0.866785714285714
DDX50	0.01025
STYXL1	0.1425
BLVRB	-1.20733333333333
LOC147650	-0.464666666666667
MMP24	-0.7575
GRID1	0.345666666666667
BANF1	-0.552666666666667
CTAGEP	-0.74825
HMBS	-1.628
SLC25A24	0.102833333333333
C14orf50	0.85675
MRO	0.870166666666667
SLC25A15	0.38
FAM84B	0.7722
TDP1	0.297
C16orf78	0.980166666666667
C11orf57	-0.554
RFK	-0.651875
ZFYVE9	-0.203125
STCH	0.2592
WIBG	-0.054
LOC283871	0.0261666666666667
GBA2	0.2588
NDUFB3	-0.0225
HSD17B13	-0.952
GRIN3A	1.07816666666667
FMNL1	-0.103666666666667
SEPT7	-0.3408
GNLY	2.6145
GRAMD1C	0.1985
ZNF165	-0.21875
USP38	1.3555
FAM83A	-0.0408333333333333
C14orf24	0.63875
ARMCX3	0.698125
ARHGDIB	-0.831833333333333
AK1	0.39675
KIAA1045	1.089
DNAJB13	0.126333333333333
NEU2	0.844
HIST1H4B	-0.893
FAM20B	-0.142
HES2	0.519714285714286
FAM73B	0.4374
LOC388381	0.51825
INTS7	0.600727272727273
AMPH	0.1355
ZNF775	-0.17625
UCKL1	0.0163333333333333
C10orf97	-0.37925
C1orf161	0.558
ALDH1L1	-0.991
FLJ39378	-0.6405
SLC23A1	-0.614
RBM4B	-0.55825
THAP4	0.248166666666667
OGFRL1	0.64
KIAA0831	-0.5645
PPP1R15A	-0.317
C1orf96	0.351785714285714
C12orf11	-1.34225
BMF	-0.4265
MAN1A1	-1.96425
KIAA1600	0.0311666666666667
NLGN4X	-1.87425
ALOX12	-1.78566666666667
RB1CC1	0.3958
NEIL2	-0.3111
EIF4E	0.111136363636364
ABHD5	0.10675
EXOC4	0.419
CIP29	-0.0108333333333333
BATF2	0.75925
SLC29A4	-0.461375
HTR4	0.2255
EMB	-0.772
TRAF6	0.16825
LMNB1	0.34775
FAM19A5	0.781125
SHE	0.786
PIK3C2B	2.363
C15orf15	-0.5544
USP15	-0.5908
TCEAL2	-0.37775
C5orf39	0.126833333333333
PTGER2	-1.56875
SLC31A1	-0.339875
IFT172	1.42875
ADAM29	-0.33875
GFOD1	2.4295
ST7L	0.2435
C15orf26	-2.8735
PKN3	1.5055
CNTD1	-0.142
COMMD1	0.2565
NTRK2	1.61508333333333
FOXN3	0.887375
MFGE8	-0.6077
PFKFB2	1.08216666666667
TAS2R4	0.3385
ENTHD1	0.561333333333333
PRMT5	-0.91175
MGC16384	-1.20375
LOC442229	-0.24975
TSKU	0.146625
KRTCAP3	4.1745
PDLIM1	0.7742
KCNS2	0.9025
RNF126	-1.62583333333333
CEP63	0.348375
CLIC4	0.0965
hCG_1990170	1.659
ACR	0.7133
KLK7	3.13875
ALOX5AP	1.947125
RIPK3	1.91675
TAS2R9	-0.215
C19orf18	-0.567
BIRC6	-0.0968571428571429
ZNF16	0.504
RFT1	-0.748
SLC8A2	1.09275
TACC1	-0.05325
ITGAD	-0.33
SAMHD1	0.206
SH3PXD2B	1.1876
EPC2	0.64375
C20orf85	0.42175
ATP13A2	0.374
KRT4	1.297375
CAPNS1	-0.39575
MDM2	-0.0415833333333334
PCDH20	2.2805
KCNK9	0.1345
OR2C1	-0.0995
KLHDC3	-0.498333333333333
IPPK	2.263
EFHD2	-0.674625
GALR3	0.7295
NBEA	-2.08083333333333
ABCA6	1.0271
CLDN3	1.503
AKT2	-0.488285714285714
EGFR	0.0564
RBM16	0.372
ZDHHC3	-0.0933
SLC25A4	0.535333333333333
CYB5B	-0.960666666666667
CPXM1	-0.53375
NDRG1	0.810615384615385
FLJ43826	-0.4405
OR5L2	0.413833333333333
FARP2	-0.7
MRPL46	0.33975
LDHAL6B	0.362166666666667
MAPKAPK3	-0.849
NCAM2	-3.1985
PRKD2	-0.0941666666666667
ZFP36L1	0.2398
CYSLTR1	-0.98775
OR4C3	-0.73775
HIST1H2AJ	-0.346
CCNB2	-0.381333333333333
ZNF10	-0.82
TMEM175	0.162
FAM134A	-0.1285
TIGD4	0.3295
PCNP	-0.861
MGC39715	-0.46675
LQK1	-2.4065
CREB1	-0.2545
TMPRSS3	3.2805
C4orf32	-0.3865
LAT	-1.92258333333333
KCNA3	0.733
SKIV2L2	-0.76575
ROPN1B	2.64125
tcag7.23	-0.942
CDT1	-1.965125
ZHX2	-0.1105
CD28	-3.677
ZNF624	0.7775
SEPT2	0.1045
SOHLH2	-1.22
MCOLN3	0.849
UNQ1945	0.2875
MASP2	-0.662
ZNRF3	-0.7399
GPATCH3	-0.2665
AGL	0.996125
QRICH2	0.2925
PSD4	-0.315333333333333
CCNB1IP1	-1.43275
ENPP7	0.39775
OBFC1	-0.39275
KCNG3	-2.22025
C14orf79	-0.333416666666667
ENPEP	1.03616666666667
SCT	-0.2315
SKI	0.6895
SEC61G	-0.496
CAPN11	-0.063
ATXN7L3	-0.17975
DBNDD1	-0.440333333333333
FAIM	1.07975
ANKRD36	-1.1155
GABRP	2.2175
TACSTD2	2.57483333333333
EIF3J	-0.15625
PPP2R2A	-0.716
TEKT4	-0.198333333333333
PVALB	-2.94883333333333
F10	-3.25383333333333
FAM134C	0.2732
COMP	4.30225
EFCBP1	-3.0043125
SCLT1	1.450875
TAL1	-0.829
ACSL1	0.34725
ABCC5	-0.173333333333333
ABL1	-0.872
RBBP7	0.769083333333333
PTPRG	-1.112375
NCOR1	-0.2782
SPINK4	-0.153833333333333
TXNRD1	-1.4116
TNRC15	0.149
C9orf138	0.53575
UBE2H	0.413666666666667
BRDT	0.865833333333333
C8orf31	-0.44475
CCNE2	-0.145636363636364
SLC6A8	-0.514625
CALCR	-4.06475
PPP1CB	1.01158333333333
ABHD8	0.06575
ARF5	0.7451
SLC24A4	-0.0405
CCT3	0.6095
ZNF121	0.12475
SLC3A2	0.9008
OR13A1	-0.231
SLC5A10	0.44725
RAD50	-0.656875
IER5	0.466375
MTHFD1L	0.583625
MBTPS2	-0.63725
MVK	-0.886625
NCL	-0.5737
PSMD10	0.10825
MOBP	-0.128428571428571
FLJ32894	-1.1425
HRH1	-1.55616666666667
C5orf30	-0.2715
NUDT16L1	-0.4177
RASGRP3	2.54866666666667
PRKRIP1	-0.2718
CCDC75	0.008
LOC253970	0.2775
KIAA1239	0.98525
MED21	0.252
SYT11	2.29933333333333
NTSR2	1.977
EGFL11	0.0625
CXorf59	2.336
OR2A25	0.598
SPTBN2	-0.36025
LRMP	-1.97516666666667
RNF111	0.3955
PTH	0.5285
LOC619208	1.22833333333333
KIAA0895	-0.28075
RANBP5	-0.334625
P2RY10	-0.0788333333333334
NME5	2.44983333333333
DDX21	-0.25625
LRSAM1	-0.247
HDAC11	-0.319
VMO1	2.94025
NOLA2	-1.20966666666667
ADAR	1.26025
MTO1	-0.5515
SF4	0.3825
P2RX1	-0.3365
HBM	0.267
EN2	1.066
C14orf172	0.218
TM9SF2	1.0791
INHBE	-1.47216666666667
TCTE3	0.8865
TOX2	-3.243
CTAGE3	-0.482
HBB	4.1091
MED15	-0.788333333333333
CASR	0.80175
C6orf66	0.817333333333333
MTPN	0.593625
UNC50	-0.47275
C21orf33	0.664625
IRF2	-0.310375
PGR	-2.5425
GPR84	1.311
CROCCL1	-2.46075
SRPX	-1.81275
BRE	0.2245
FGF10	1.84525
SDC3	0.436666666666667
ZRSR1	-0.322333333333333
DKFZP434P211	-1.202625
SOX6	0.69
RPUSD2	-0.653
C14orf173	-0.476583333333333
MAPK11	-0.512
TBC1D22A	-0.3385
FAM123A	0.116
COL4A6	-2.88966666666667
TOMM70A	-0.211
NAB1	0.29125
MGC16385	0.372
TSPAN18	-0.6215
MED31	-0.65975
PLG	0.20075
CAPSL	0.0985
ZNF532	0.8816
ASB14	1.27825
CA8	-2.949
NUDT16P	0.171
SLFN11	-2.582
LRRIQ2	-0.455
NOL7	-0.198
BRMS1L	-0.811
JARID1A	0.943333333333333
PANK2	-1.063
ICAM3	0.02
MDS1	-0.37725
TAF8	-0.122
RNF139	-0.412
ZNF594	0.380333333333333
ADAM8	1.938625
SFTPC	-0.353625
MAN2B2	0.652875
RGS12	0.00731250000000001
EIF1AY	-4.58058333333333
LRRIQ1	0.291333333333333
GPR150	1.10275
CCDC21	-1.06766666666667
PRRG3	0.71875
SAA4	-1.17875
RAPGEF5	0.845625
ZCCHC2	0.04725
MGC39372	1.423
PPP4R2	-0.139833333333333
CDCA2	-0.6075
OR4D5	0.149166666666667
PTGFRN	0.8537
SIGLEC5	1.3775
C19orf61	-0.353333333333333
NMUR2	-0.0965
KIAA1586	-0.811833333333333
DAGLA	-0.275
CHCHD6	-0.68175
GPR32	0.145
NEUROD6	0.475833333333333
SLC2A4RG	-0.391125
CA5B	-0.45425
FBXL3	1.22725
MPHOSPH9	-1.734
HMG2L1	-0.20225
HCN4	1.054
CEACAM19	-0.11475
SH2D4B	0.5345
HFE2	-0.2025
TGM4	0.398333333333333
LYPD2	-0.41975
TBC1D15	0.06325
MRPS21	0.0772
NONO	-0.2852
CLEC5A	1.140875
ITCH	-0.7541
MGAT3	-1.10933333333333
MBP	0.4215
RPP25	0.98025
SOSTDC1	0.579
HRC	-1.4725
TRIM48	1.758
TMEM133	0.07475
ECEL1P2	-1.26375
HOXC11	0.0125
DOK5	1.6135
HELZ	0.270166666666667
LOC348180	-1.08875
MGC33894	-0.269
ADRB3	-0.465
DMD	0.0260833333333334
PTRH2	-0.64275
MPEG1	2.51983333333333
NDUFA12	-0.765833333333333
KRTAP2-4	0.193583333333333
STAMBPL1	-1.12383333333333
ADCY2	-1.026
UNQ6125	-0.4485
KLHL20	0.265
SRM	-0.47
OTC	0.46825
TMIE	1.74383333333333
SNX8	0.266
LIPK	0.3945
CHURC1	-1.3195
KLC2	0.268
HDAC1	-0.2045
FAM128A	-0.365333333333333
FNDC3B	0.0839
MTCP1	0.262833333333333
WFDC10B	0.6344
PCDHGB3	-0.6795
ATRNL1	-2.1507
CAV2	0.45325
MED26	0.704666666666667
DUS1L	0.538
CHRM3	-0.624125
NEK9	-0.4435
WARS2	0.013
TBX22	0.0875
TOMM40	-0.27525
RP6-213H19.1	0.370166666666667
TUBGCP5	-1.96875
IGSF6	1.94275
TPPP	1.0025
UNQ6190	-0.3865
GSTM5	0.47925
BTD	-0.845333333333333
PDCD1LG2	0.2555
SNRPB2	-1.046
ERICH1	-0.787875
APOA4	-1.232625
HOXA11	-3.58725
NARG1	0.28625
MKX	-0.21875
RAB28	-0.0900714285714286
PKP3	0.60375
SH3GL2	1.15075
CTSO	1.08425
RPN2	0.598625
IL28RA	1.00916666666667
SFMBT1	-0.1915
WDR57	-0.41475
FER1L3	-0.0578333333333333
HSF5	0.565166666666667
TTC9B	0.43825
C4BPA	4.665
ALB	-4.33015384615385
SORBS3	0.455375
UPF2	-0.1855
JPH1	0.0115
AGBL2	-1.81775
DOPEY1	1.1075
TERF1	-0.693166666666667
KIF22	-0.191333333333333
NINJ1	-0.632
SEC61A2	-0.779333333333333
HIST1H1D	-0.545
SFXN4	0.275625
UCP3	0.1678
ZNF703	0.236333333333333
MYL6B	0.61275
TREM1	2.173
OR52E6	0.976
CKMT2	3.6465
HLA-C	1.87975
SLC13A3	-1.26633333333333
TIMP4	-2.44875
SLIT2	1.43
RSF1	0.127277777777778
LONRF1	-1.76007142857143
MON1A	-0.7325
CACNG6	-1.625
DPPA4	-4.62866666666667
ZSWIM3	-0.173
ZNF804A	-0.0955
CCIN	0.872
SLC25A31	-0.02475
KCNMB4	-2.49875
RABL5	0.368125
GALNS	-0.4854
STX6	0.942
HIST1H1C	-1.63016666666667
CIDEB	0.2415
CASP4	-0.307166666666667
PDK3	-1.4202
KCNJ11	0.0015
TPR	1.02475
ZSCAN20	-1.124
MTX2	0.01975
HIST1H2BH	-1.26225
LOC283767	0.26075
LYRM7	-0.8165
BRD3	0.139
HIST1H2BO	-1.14775
MAGEB10	0.601
SLC45A1	0.593
SERPINA3	2.05795
KIAA0143	0.0915
KCNJ16	0.238
KRT79	1.048
FABP2	0.38875
NUT	-0.17575
ZNF57	-0.54575
FBXL4	-0.196375
CLEC9A	0.8395
UGT8	3.9115
BMP2K	-0.633
MAPK4	3.415
SLC25A23	0.7598
HINT1	-0.1341
KRTAP13-1	-0.565
SFXN5	-0.4726
CHCHD2	-0.0395833333333334
FAM3D	-0.3885
NDP	-3.50325
RHOBTB1	-0.0993333333333333
SLC4A4	-0.112
RPL38	-0.19725
HTF9C	-1.06566666666667
AP2A2	0.19775
ZBTB46	0.9
MAP7D1	-0.18275
AOX1	-1.24166666666667
CYR61	0.751166666666667
DTNA	-0.747571428571429
JRKL	-0.33775
TMOD3	0.15725
EEA1	-0.3465
ADCK5	-0.7075
IL1R1	-0.15
KLK3	0.397928571428571
HRSP12	-0.64025
KTN1	-0.00425
LOH11CR2A	0.2432
RELL2	-1.3415
MAB21L1	0.7395
C20orf59	-0.876666666666667
PHKB	-0.474
ADAM2	-0.6465
TBC1D8B	0.913166666666667
FAM13A1	-0.1745
LAPTM4B	0.0198333333333333
LCN8	-0.831
TMEM147	0.898
SYT4	0.190333333333333
XPO7	-0.5955
C9orf62	1.29275
GPR75	1.875
TRIM5	-0.547875
APOC1	-1.31233333333333
RNASE4	-0.828166666666667
PARD6B	-3.879125
ARID1A	0.05925
TPD52L3	0.3339
RRAGB	1.38766666666667
RCN2	1.02516666666667
HIST2H2BE	-1.4828125
STARD7	0.06375
SHMT2	-0.30325
KIAA1751	0.1695
MLYCD	0.61075
LOC162632	-0.7374
UQCRH	-0.07975
RP11-217H1.1	0.909375
SDHA	0.00883333333333333
NCLN	-0.6128
ZNF17	0.0871666666666667
RCBTB2	-3.317
VEGFB	-0.4242
RP4-747L4.3	2.21625
COLQ	0.0927
MPN2	-0.585
DRG2	-0.4805
KLRB1	2.07475
ALPK2	-2.93275
DNASE2B	0.52225
FLJ23834	0.041
AXUD1	0.6635
SAFB	0.2754
NSUN4	-0.002
RFX2	0.0178333333333334
MAPK8IP1	-0.888833333333333
FANCD2	-0.884071428571429
ANKZF1	-2.34516666666667
C19orf50	0.044375
DUSP8	2.1135
SENP5	-0.588125
NFKBIL2	-0.29475
LBR	-0.465625
IGFL1	0.8095
LZTS2	0.4185
IL2RG	-1.17
CCDC51	0.42575
KLF3	-0.313875
ANKRD37	-0.58
KCTD14	0.118333333333333
FZR1	-0.371083333333333
SLC44A4	-1.7973
ESPL1	-0.787125
GMPR2	-1.3588
TBC1D19	-0.650333333333333
ERGIC1	-0.426925925925926
ERBB4	-0.1164
TSPAN32	0.332666666666667
MAP4	0.144375
GPHN	-1.368
SLC6A2	-0.3055
HIVEP1	0.9215
DFFB	0.1308
EIF4EBP2	0.26675
DMRT1	0.662
HSPB6	-0.0845
IER2	0.279666666666667
AIFM1	0.76225
WWC2	0.233818181818182
MRPL4	0.75775
FLJ21062	-0.2695
EPB41L4A	0.798666666666667
SH2D6	-0.4235
TAF4B	0.0375
GAL3ST3	0.2775
MALT1	-0.630333333333333
RTDR1	-0.18675
ARVCF	-0.3405
MEX3B	-0.544
FBXO16	0.165
KIF7	-0.05975
C1QC	3.536
ZNF783	0.332333333333333
ZNF85	-0.0585
MMP13	0.562
KIAA0329	1.106375
RTP3	-0.339
ZBED3	1.102
CLGN	-1.57675
SLC25A37	0.994125
hCG_18290	-0.845
OR5AS1	-0.235
SMARCC2	0.5735
FAM109A	0.0695
CCDC12	-0.604
USF2	0.5324
DEPDC7	-2.70625
C20orf24	-0.2695
JMJD3	-0.7345
DSP	1.62878571428571
SLIC1	0.380625
FAM20A	1.635625
IRF2BP2	1.56625
ZNF230	-0.5245
MSN	-0.0531428571428571
SLC9A5	-2.159
EPDR1	-0.8526
