Hybridization REF	TCGA-B6-A0IO-01A-11R-A034-07
PGBD5	-0.747166666666667
CCNY	0.770142857142857
RMND5B	0.675333333333333
ZNF257	-3.98225
FLJ22167	0.20025
EXOSC7	-0.357666666666667
ROR2	0.253625
MAOA	-2.776375
TNNT3	0.2105
GYPC	-1.72775
C7orf33	1.673
PLIN	3.297
LOC90826	0.43175
RNF4	-0.0244
F8A1	1.17433333333333
PLEKHG4	-0.429
GRB2	-0.3398
HIST1H2AD	0.341
DUS3L	-0.9765
EIF1	-0.0975
RP5-1077B9.4	-0.947
FPGT	1.62925
GDF10	-1.01666666666667
COQ9	-0.02425
GCC2	0.360357142857143
RARRES3	3.414625
PLXNA1	-0.942
KIAA0100	-1.2887
PMF1	0.2345
FNDC1	5.28025
HS2ST1	-0.276833333333333
CRELD2	0.6995
C8G	-2.457
CD82	-0.8035
LIM2	-1.155
UNQ6490	-0.908
MMP16	-1.20875
DRD3	-2.01025
C5orf26	-1.09025
C11orf73	-0.87575
PTP4A2	1.07025
OR4M2	0.467
HPCA	-1.31866666666667
SEC14L1	-0.756333333333333
CHFR	0.44225
EMILIN1	0.6855
NDUFS4	0.0005
COL18A1	-0.684875
PDZD3	-0.1061
C9orf16	-0.613
ERBB2IP	0.254166666666667
EMX2	3.11025
FUS	-0.4915
TF	-3.95411111111111
CLCN4	-0.13
CXorf56	0.10725
C11orf72	0.57575
ELAC2	-0.575166666666667
NPR1	-2.099
ASS1	-3.27933333333333
USP42	0.365125
POLR2J	0.294
SEC23IP	1.27383333333333
UQCRC1	-0.358
LOC729603	-1.18725
C1orf71	0.567625
POLG	-1.292
ADAM23	-3.17975
TFR2	-0.8725
RICTOR	0.2071
MGC39606	0.4505
C19orf55	-0.047125
SNAPC1	-1.71533333333333
GNA11	0.8075
CCDC52	-0.366
FSIP1	5.558
UPF3A	-0.36525
IGSF11	-3.3496
LAGE3	0.10325
CHST6	-2.526
UNC13B	-0.728875
TTLL4	-1.867875
ZNF687	0.086625
SDC2	-1.3337
COX7A2	0.508
LAMB4	-0.7705
FAM24A	0.5475
LRRTM3	-1.2266
GPHB5	0.34125
OR4C13	0.378
EIF3EIP	0.132714285714286
HABP4	-1.4815
TMEM125	3.56225
CNTN2	1.204
ASNSD1	0.09425
FUT4	0.21
ACF	-3.7635
LOC158381	0.6225
CDH8	-0.00750000000000001
AGPS	-2.13416666666667
C4orf18	1.324875
PECI	-0.0929166666666666
UNG	-0.074625
GSTP1	-3.303875
DCUN1D5	-1.17066666666667
DKFZP564J0863	0.04975
SLC9A3R1	2.3345
BCDO2	-0.453875
CHMP7	0.08775
REM2	-0.7225
DNHD1	-0.9745
FKBP4	-0.023625
ZNF350	2.18775
MGC11102	0.185375
BST1	1.391
KISS1R	1.246
NCR2	0.7095
DEFB125	-2.005
UBE2W	0.5995
KRT15	0.587
C10orf99	0.4945
SCN11A	-0.427
GFI1	-2.14675
RDHE2	2.7475
FHL1	-2.984
OSGEP	-0.401666666666667
GATA1	-3.38366666666667
SMC6	-0.9975
TTTY14	-1.06125
LPIN3	-0.6005
RPL4	-0.7371
RBPMS	0.2035
PRPF3	-0.4435
EMR1	-2.7825
SPATA19	0.837
XCR1	0.3545
IRX3	2.3869
RBM6	0.14525
KLF4	-0.1901
UNC5CL	0.95475
SEBOX	0.703
BTK	-1.3035
KRCC1	1.57575
C6orf27	0.351
SYTL5	-0.0415
PRND	3.068
LOC653319	-0.8005
PIGL	-1.14975
HUS1	-0.330833333333333
SFRS6	1.90316666666667
C17orf77	1.559
UIMC1	0.242333333333333
FXYD2	-2.416
LOC283152	1.0935
ZNF667	-2.01075
ZCCHC12	-0.483
TFEC	2.40011111111111
ATP7B	1.11416666666667
POLD2	-1.11866666666667
RG9MTD1	0.2265
ACOT2	-0.124666666666667
HIST1H4I	-0.558
PPARGC1A	-2.3661
ETFA	-1.592
POLRMT	-0.4325
ZNF146	0.816625
MIA2	-0.946
KLHL6	-1.30466666666667
HOXB5	-0.41375
NENF	0.7135
CUGBP1	0.09525
PRSS22	2.36783333333333
CASC4	1.4934
CUL4B	0.2158
CENPJ	-1.0506
PITX1	-0.310333333333333
FLJ31033	0.6805
CELSR3	0.390333333333333
ZNF568	1.02025
ITSN1	0.112
EHBP1L1	-1.4025
C19orf2	0.05825
DCTN1	-0.21075
LIN28B	-4.2006
TNKS2	-0.39175
C1QBP	-0.74475
CADPS2	2.931
SRMS	0.03075
GJA9	-0.256166666666667
MGC24975	0.128166666666667
TRIM45	0.413666666666667
TSP50	-0.247
TCP1	-1.43075
TMED7	0.7001
CMA1	0.3025
CENPL	-0.671166666666667
PTCRA	-0.0305
FST	-4.2365
VWCE	-3.44575
PAWR	0.65125
ABCC12	-0.1685
LDLR	-0.1543
ASTN2	0.2733
LOC441212	-0.457125
GPATCH8	0.4425
TANC2	-0.190833333333333
KIF4A	-1.43425
C18orf18	-1.4635
PGM1	-1.379
KIAA0258	0.78975
CPD	0.40025
SNCAIP	-1.081
DCT	-4.2005
HLA-DOA	2.89395454545455
OR11L1	0.9555
UPK1B	-0.165333333333333
DNAJB4	-0.183
UGT1A8	-0.5435
HIST1H4L	-0.937
PECR	-1.6005
HSPA2	2.76775
WFIKKN1	-2.2465
SERP1	0.60575
SYDE2	1.63175
TACR2	1.148
NUP85	-1.01375
CD177	-0.6545
LGR5	-1.71783333333333
PIGG	0.404666666666667
PTHR1	-2.66216666666667
RAB5A	0.3293
FLJ13224	-0.8965
USP9Y	-1.58425
C7orf53	-1.27
LRP1B	-0.81225
XAF1	0.7142
ABCG8	0.8575
ANKDD1A	-0.698833333333333
DAND5	-1.351
SPAG6	-1.8866
LINCR	3.27725
ZDHHC22	-1.545375
CCDC60	-0.051
THOC7	-1.0545
TCTA	0.9539
OR8K3	0.7
NY-REN-7	-0.082
B2M	1.73933333333333
C6orf141	-2.83675
LPPR4	0.852
SQLE	-1.487125
SEPHS1	0.4195
BTBD14B	0.572428571428572
PLRG1	-0.20525
SPG7	0.021125
ZNF614	0.349833333333333
PARD6G	0.550833333333333
INPP5B	-1.1492
GRPEL2	-0.697375
PPID	-0.5969
TRIM56	0.3075
UBE2J1	0.2485
IL20RA	5.367
LOC387856	-0.26575
C1orf107	0.735916666666667
UTS2R	1.35725
C19orf22	0.394
SAFB2	0.07575
KIAA0652	-0.8585
KLRG1	-0.594833333333333
MS4A8B	4.76333333333333
FRAG1	-0.20525
KIAA1546	0.16275
E2F4	-0.606
CLEC4M	-0.727666666666667
BTBD14A	-0.8
KIAA0999	1.7858
GYPA	-3.591
TAC1	0.2987
TRAIP	-1.3875
KIAA0232	0.2025
ERCC8	-1.859875
GPX4	-0.223375
KIAA0368	-0.426375
GPR157	-0.763666666666667
CTAGE4	1.62
C9orf30	-1.35333333333333
OR52A1	-0.106
HSP90B3P	0.7755
ALG9	-0.2341
BTBD10	0.963
SDK2	-0.29
BAIAP3	1.148
RABGGTB	-1.220875
ANKRD40	0.473166666666667
KRT74	0.5695
CALCOCO2	0.8285
SNCA	-3.4675
TMSL8	-2.152375
C2orf53	1.365
ESRRB	-2.022
ARHGAP26	-1.430125
TDRD9	-1.60175
HRAS	-0.512
KLRC4	-3.7935
JAGN1	-0.671833333333333
BSDC1	0.66575
RNF43	0.6423
NDUFAF1	-0.0595
PHF12	0.3915
OR1L3	0
FOLR2	1.1425
LYZL6	-0.78475
tcag7.1260	-2.3545
WSB1	-1.65666666666667
PROS1	-2.1674
OSTN	0.3285
PSMB8	1.2245
SOCS4	-0.285
DDIT4L	-0.3725
MAS1	-0.2
MGC34796	0.75175
CSHL1	0.254333333333333
TBCCD1	0.606333333333333
ZBTB7C	-0.616
AP2S1	-0.954375
P15RS	-0.9542
VAT1	0.1329
SHANK3	0.687666666666667
TUFM	-0.3925
THEG	0.376
KRT34	-1.823
SGSM3	-0.1495
TOMM22	-0.37675
SOCS3	1.20866666666667
CPO	-3.5925
POP4	0.92175
BHLHB3	0.45675
MALL	0.0640000000000001
OR1B1	-0.3575
PARK2	0.8855
GPR124	-0.160625
LCE1E	-2.695
RUVBL2	-0.45475
CGRRF1	0.0694
ACPL2	-0.21225
WNT10B	-0.798625
BAIAP2L2	-2.08875
ISCA1	-0.1885
C1orf125	1.080625
RPAP1	-1.04125
RAI16	0.134666666666667
RPL27	-0.336
NLRP9	-1.823
EPN1	-0.0615
LOC388610	-0.55475
SLC35A1	0.8603
GAL	-4.02275
SLC14A2	0.3465
RDH11	-0.666333333333333
FAM138F	-0.8555
AUH	-0.54825
FLJ40243	0.0439999999999999
C14orf129	-0.394
MBD2	-0.802333333333333
ABHD14B	-0.397125
PIGT	0.86775
ALS2CR4	-0.5925
ALAS1	-0.4383
FOXO1	0.8815
CRLF3	-1.0355
C20orf107	0.0615
FARS2	0.48225
CCDC28A	0.61925
NPHP3	-0.451
OR13F1	0.2165
TSEN54	-0.84225
DEFB106B	-0.360375
OR8B4	-0.8535
STH	2.70225
ZC3H14	-0.852
CBX2	-2.709
TMEM49	-0.312
C6orf21	-0.1715
FLJ20920	0.755875
CRTAP	-1.00814285714286
DDX50	0.19975
STYXL1	0.16675
BLVRB	0.637333333333333
LOC147650	-0.427833333333333
MMP24	0.67575
GRID1	0.8175
BANF1	-0.367166666666667
CTAGEP	0.851
HMBS	-2.011
SLC25A24	-0.192
C14orf50	1.47075
MRO	0.119166666666667
SLC25A15	-0.34825
FAM84B	0.7029
TDP1	-1.3925
C16orf78	0.292
C11orf57	0.788
RFK	-1.380875
ZFYVE9	-0.421
STCH	-0.3253
WIBG	0.846
LOC283871	-0.839666666666667
GBA2	-1.3833
NDUFB3	-0.0185
HSD17B13	-0.658
GRIN3A	0.767
FMNL1	-1.51316666666667
SEPT7	-0.1569
GNLY	3.0925
GRAMD1C	2.6735
ZNF165	1.443
USP38	0.8025
FAM83A	-2.97683333333333
C14orf24	0.6735
ARMCX3	0.74875
ARHGDIB	1.19483333333333
AK1	-0.591
KIAA1045	-0.9365
DNAJB13	0.0498333333333333
NEU2	0.00900000000000001
HIST1H4B	-1.016
FAM20B	0.4752
HES2	-0.118307692307692
FAM73B	-1.1764
LOC388381	-1.167
INTS7	-0.246727272727273
AMPH	0.02825
ZNF775	-0.23525
UCKL1	-0.605666666666667
C10orf97	0.20025
C1orf161	-0.35125
ALDH1L1	-3.33275
FLJ39378	-0.00300000000000001
SLC23A1	-1.407
RBM4B	0.06625
THAP4	0.401666666666667
OGFRL1	1.44825
KIAA0831	0.0985
PPP1R15A	0.132666666666667
C1orf96	-0.0157142857142857
C12orf11	-0.5995
BMF	-0.06075
MAN1A1	-0.7525
KIAA1600	0.656333333333333
NLGN4X	-0.615
ALOX12	-1.26833333333333
RB1CC1	0.0915
NEIL2	0.7053
EIF4E	-0.275590909090909
ABHD5	-0.021
EXOC4	-0.4665
CIP29	0.261833333333333
BATF2	2.1855
SLC29A4	-1.026875
HTR4	0.077
EMB	-0.39975
TRAF6	0.78825
LMNB1	-1.7785
FAM19A5	-1.079875
SHE	1.023
PIK3C2B	0.61025
C15orf15	-0.5317
USP15	0.4085
TCEAL2	3.37325
C5orf39	-1.0225
PTGER2	-3.07175
SLC31A1	-1.488375
IFT172	0.267
ADAM29	0.89375
GFOD1	-1.18875
ST7L	-0.0231666666666667
C15orf26	-2.58275
PKN3	-2.1505
CNTD1	4.163
COMMD1	0.139125
NTRK2	2.9436
FOXN3	0.312625
MFGE8	-1.3802
PFKFB2	0.3915
TAS2R4	0.05375
ENTHD1	0.295833333333333
PRMT5	-1.325625
MGC16384	-0.775625
LOC442229	-0.6915
TSKU	1.325625
KRTCAP3	2.43425
PDLIM1	0.8642
KCNS2	0.89575
RNF126	-0.5145
CEP63	-0.22175
CLIC4	-0.712625
hCG_1990170	-0.96425
ACR	0.7367
KLK7	0.53475
ALOX5AP	1.839375
RIPK3	4.56325
TAS2R9	0.654
C19orf18	0.547
BIRC6	0.135642857142857
ZNF16	0.9285
RFT1	-0.3595
SLC8A2	0.858
TACC1	-0.84875
ITGAD	-0.203
SAMHD1	0.32725
SH3PXD2B	1.3416
EPC2	1.29375
C20orf85	-0.104875
ATP13A2	-0.374
KRT4	0.74125
CAPNS1	0.495
MDM2	-0.0279166666666667
PCDH20	4.16875
KCNK9	0.2195
OR2C1	0.1175
KLHDC3	-0.683833333333333
IPPK	-0.1
EFHD2	0.560125
GALR3	1.4305
NBEA	2.431
ABCA6	1.6945
CLDN3	1.41616666666667
AKT2	0.142928571428571
EGFR	-2.45
RBM16	1.42975
ZDHHC3	0.109
SLC25A4	-0.232666666666667
CYB5B	-0.826166666666667
CPXM1	-1.00325
NDRG1	-1.61723076923077
FLJ43826	-0.47875
OR5L2	0.571333333333333
FARP2	-0.941
MRPL46	0.258166666666667
LDHAL6B	0.3845
MAPKAPK3	-0.338
NCAM2	-1.4795
PRKD2	0.413833333333333
ZFP36L1	2.3978
CYSLTR1	-0.522
OR4C3	0.41
HIST1H2AJ	3.3025
CCNB2	-2.135
ZNF10	0.97475
TMEM175	0.6685
FAM134A	1.074
TIGD4	0.466
PCNP	-0.583
MGC39715	-0.402
LQK1	-0.48475
CREB1	0.2859
TMPRSS3	0.465
C4orf32	1.924125
LAT	-1.68333333333333
KCNA3	0.7285
SKIV2L2	-0.3705
ROPN1B	-2.32975
tcag7.23	-0.4685
CDT1	-2.908875
ZHX2	1.006125
CD28	-3.924
ZNF624	1.30275
SEPT2	-1.19266666666667
SOHLH2	-1.37275
MCOLN3	1.011375
UNQ1945	0.7385
MASP2	-1.204
ZNRF3	0.4574
GPATCH3	-0.3785
AGL	0.45875
QRICH2	-1.6915
PSD4	1.30266666666667
CCNB1IP1	-1.995
ENPP7	-0.139
OBFC1	-0.7745
KCNG3	-0.8375
C14orf79	0.247833333333333
ENPEP	0.169333333333333
SCT	0.848
SKI	0.96575
SEC61G	-0.5785
CAPN11	0.011
ATXN7L3	-0.04325
DBNDD1	0.452333333333333
FAIM	0.17725
ANKRD36	0.279
GABRP	4.324
TACSTD2	2.10183333333333
EIF3J	-0.6385
PPP2R2A	-0.5255
TEKT4	0.505333333333333
PVALB	-2.44383333333333
F10	-2.68116666666667
FAM134C	1.2614
COMP	4.499875
EFCBP1	-2.552125
SCLT1	0.1095
TAL1	-1.5869
ACSL1	1.22125
ABCC5	0.7975
ABL1	-0.586166666666667
RBBP7	0.604583333333333
PTPRG	0.69625
NCOR1	-0.1532
SPINK4	-1.92066666666667
TXNRD1	-1.3983
TNRC15	-0.33525
C9orf138	0.79625
UBE2H	0.8275
BRDT	0.0971666666666667
C8orf31	0.49375
CCNE2	-1.24490909090909
SLC6A8	-1.63125
CALCR	-3.46025
PPP1CB	0.909166666666667
ABHD8	0.026
ARF5	0.7033
SLC24A4	0.3405
CCT3	-0.00925
ZNF121	-0.718
SLC3A2	-1.0516
OR13A1	0.634
SLC5A10	0.16525
RAD50	-0.13125
IER5	1.762125
MTHFD1L	-2.485875
MBTPS2	-0.564
MVK	-0.249625
NCL	0.1142
PSMD10	-0.1235
MOBP	-0.3325
FLJ32894	1.065
HRH1	-0.969333333333333
C5orf30	2.9125
NUDT16L1	0.72
RASGRP3	2.79466666666667
PRKRIP1	0.5571
CCDC75	0.43225
LOC253970	-1.394
KIAA1239	0.331333333333333
MED21	-0.28125
SYT11	-0.459636363636364
NTSR2	-0.471
EGFL11	-0.0005
CXorf59	1.2475
OR2A25	0.3265
SPTBN2	-1.99825
LRMP	-2.2178
RNF111	0.0795
PTH	2.8425
LOC619208	1.60533333333333
KIAA0895	1.164
RANBP5	-0.96175
P2RY10	0.234166666666667
NME5	3.43633333333333
DDX21	-0.899
LRSAM1	-0.995
HDAC11	0.581166666666667
VMO1	0.00575000000000001
NOLA2	0.125166666666667
ADAR	0.195833333333333
MTO1	-0.7335
SF4	0.235833333333333
P2RX1	-0.910833333333333
HBM	0.14275
EN2	1.924
C14orf172	0.16825
TM9SF2	1.0159
INHBE	-1.45166666666667
TCTE3	0.140333333333333
TOX2	-2.946
CTAGE3	0.144375
HBB	3.7502
MED15	-0.713666666666667
CASR	-0.3725
C6orf66	-1.13366666666667
MTPN	-0.7245
UNC50	-0.37175
C21orf33	0.33
IRF2	0.937125
PGR	0.6865
GPR84	2.05625
CROCCL1	-1.512
SRPX	-3.051
BRE	0.354
FGF10	4.383
SDC3	-0.0165
ZRSR1	0.937833333333333
DKFZP434P211	-0.52425
SOX6	3.0165
RPUSD2	-0.789
C14orf173	-0.38
MAPK11	-0.595
TBC1D22A	0.468
FAM123A	-1.418
COL4A6	-2.5685
TOMM70A	0.36875
NAB1	-0.080875
MGC16385	-0.281375
TSPAN18	-0.975833333333333
MED31	-0.79625
PLG	-0.50575
CAPSL	3.628
ZNF532	0.488
ASB14	-0.813666666666667
CA8	0.41275
NUDT16P	2.6385
SLFN11	-0.8355
LRRIQ2	-0.35125
NOL7	0.199
BRMS1L	-1.377
JARID1A	0.880833333333333
PANK2	-0.37
ICAM3	-0.757
MDS1	-0.518
TAF8	-0.3395
RNF139	0.471
ZNF594	0.544833333333333
ADAM8	1.099
SFTPC	-0.325285714285714
MAN2B2	1.48375
RGS12	0.3404375
EIF1AY	-4.35675
LRRIQ1	0.465166666666667
GPR150	1.58775
CCDC21	-1.59016666666667
PRRG3	-0.21025
SAA4	-3.69025
RAPGEF5	0.730625
ZCCHC2	-0.270416666666667
MGC39372	0.244
PPP4R2	0.4885
CDCA2	-1.83416666666667
OR4D5	0.712833333333333
PTGFRN	0.9579
SIGLEC5	1.557
C19orf61	0.0998333333333333
NMUR2	0.7715
KIAA1586	-0.569833333333333
DAGLA	0.889166666666667
CHCHD6	-0.29725
GPR32	-0.13
NEUROD6	0.8556
SLC2A4RG	-0.107875
CA5B	0.9235
FBXL3	1.06675
MPHOSPH9	-1.24525
HMG2L1	0.38125
HCN4	1.09566666666667
CEACAM19	0.6745
SH2D4B	-0.207666666666667
HFE2	-0.9965
TGM4	1.3618
LYPD2	0.0593333333333333
TBC1D15	-0.0295
MRPS21	-0.4664
NONO	-0.5536
CLEC5A	1.667125
ITCH	0.5875
MGAT3	-2.08883333333333
MBP	-0.5885
RPP25	-1.625
SOSTDC1	2.35525
HRC	-2.31375
TRIM48	-0.108
TMEM133	-0.69425
ECEL1P2	-2.38175
HOXC11	2.082
DOK5	-1.398
HELZ	1.2255
LOC348180	-0.31325
MGC33894	-0.5315
ADRB3	0.5415
DMD	-0.888333333333333
PTRH2	0.51875
MPEG1	2.832
NDUFA12	0.181666666666667
KRTAP2-4	-0.0111666666666667
STAMBPL1	-2.00883333333333
ADCY2	0.0806
UNQ6125	-0.572
KLHL20	0.749666666666667
SRM	-1.517
OTC	-0.6475
TMIE	-1.10433333333333
SNX8	0.655
LIPK	0.3405
CHURC1	-0.728833333333333
KLC2	0.528666666666667
HDAC1	-0.1335
FAM128A	0.701833333333333
FNDC3B	-0.2554
MTCP1	-0.150333333333333
WFDC10B	0.015375
PCDHGB3	0.211
ATRNL1	-1.50455555555556
CAV2	-2.288375
MED26	0.167666666666667
DUS1L	0.307
CHRM3	-2.130625
NEK9	0.079
WARS2	-0.6475
TBX22	-0.126
TOMM40	-0.67325
RP6-213H19.1	-0.645666666666667
TUBGCP5	-0.143
IGSF6	5.87925
TPPP	1.09883333333333
UNQ6190	-0.0595
GSTM5	0.89975
BTD	0.868
PDCD1LG2	-1.19883333333333
SNRPB2	0.2845
ERICH1	0.179
APOA4	-1.959625
HOXA11	-3.76866666666667
NARG1	-0.295125
MKX	-1.5775
RAB28	-0.819285714285715
PKP3	0.66675
SH3GL2	-1.8235
CTSO	3.21275
RPN2	1.011375
IL28RA	-0.875333333333333
SFMBT1	0.66025
WDR57	-0.415375
FER1L3	0.60675
HSF5	0.69825
TTC9B	0.69875
C4BPA	-3.824
ALB	-4.89921428571429
SORBS3	-0.052
UPF2	0.338
JPH1	-0.811
AGBL2	0.85375
DOPEY1	1.9695
TERF1	-0.486833333333333
KIF22	-0.731333333333333
NINJ1	0.58375
SEC61A2	0.161666666666667
HIST1H1D	0.149
SFXN4	-0.005875
UCP3	0.2673
ZNF703	1.68666666666667
MYL6B	-0.7515
TREM1	0.755
OR52E6	1.0665
CKMT2	0.6995
HLA-C	2.9205
SLC13A3	-2.43016666666667
TIMP4	-1.16325
SLIT2	1.587
RSF1	0.363166666666667
LONRF1	-0.162142857142857
MON1A	-0.861833333333333
CACNG6	-0.49
DPPA4	-5.12116666666667
ZSWIM3	0.70025
ZNF804A	-0.150166666666667
CCIN	0.15275
SLC25A31	1.7555
KCNMB4	-1.29075
RABL5	0.72975
GALNS	-0.1526
STX6	1.589875
HIST1H1C	-1.44
CIDEB	0.0185
CASP4	0.3715
PDK3	-0.0416
KCNJ11	0.875
TPR	0.327625
ZSCAN20	-0.15
MTX2	0.544
HIST1H2BH	0.33225
LOC283767	1.741
LYRM7	-1.76429411764706
BRD3	0.265166666666667
HIST1H2BO	-0.03875
MAGEB10	1.8775
SLC45A1	0.59275
SERPINA3	3.15985
KIAA0143	0.80275
KCNJ16	2.0716
KRT79	0.00624999999999998
FABP2	-0.838
NUT	-0.905
ZNF57	-0.20925
FBXL4	1.122375
CLEC9A	-0.2565
UGT8	-0.9385
BMP2K	0.641
MAPK4	-3.7005
SLC25A23	-0.7271
HINT1	-1.6924
KRTAP13-1	1.143
SFXN5	0.3205
CHCHD2	0.219166666666667
FAM3D	1.167
NDP	-3.067375
RHOBTB1	0.628
SLC4A4	-1.638875
RPL38	0.27725
HTF9C	-0.503833333333333
AP2A2	0.310875
ZBTB46	-0.5725
MAP7D1	-0.272375
AOX1	-1.80683333333333
CYR61	0.798666666666667
DTNA	-0.675071428571429
JRKL	0.80425
TMOD3	-0.18025
EEA1	0.5393
ADCK5	-0.29075
IL1R1	1.7485
KLK3	0.970384615384615
HRSP12	-0.52375
KTN1	0.30775
LOH11CR2A	0.5128
RELL2	-1.361
MAB21L1	1.2315
C20orf59	-1.59383333333333
PHKB	0.6895
ADAM2	-1.7545
TBC1D8B	2.67916666666667
FAM13A1	-0.67375
LAPTM4B	-0.724
LCN8	-0.98
TMEM147	0.9495
SYT4	-0.2045
XPO7	-0.8555
C9orf62	2.0875
GPR75	-0.1255
TRIM5	0.3025
APOC1	0.0238333333333333
RNASE4	1.41166666666667
PARD6B	-0.534875
ARID1A	0.256
TPD52L3	-0.315428571428572
RRAGB	1.1255
RCN2	-0.881666666666667
HIST2H2BE	-0.0324375
STARD7	-0.221
SHMT2	-1.263
KIAA1751	0.10425
MLYCD	0.92575
LOC162632	1.1993
UQCRH	-1.56175
RP11-217H1.1	1.35475
SDHA	-1.26783333333333
NCLN	-0.1744
ZNF17	0.938166666666667
RCBTB2	-2.355
VEGFB	-0.9779
RP4-747L4.3	-0.77675
COLQ	0.4944
MPN2	-0.560333333333333
DRG2	-0.91825
KLRB1	5.08775
ALPK2	-2.96725
DNASE2B	3.9205
FLJ23834	-1.04216666666667
AXUD1	0.841833333333333
SAFB	0.1321
NSUN4	-0.2855
RFX2	0.513166666666667
MAPK8IP1	-0.8665
FANCD2	-0.821357142857143
ANKZF1	-1.19016666666667
C19orf50	-0.70275
DUSP8	0.217875
SENP5	0.12425
NFKBIL2	-0.804
LBR	-1.136
IGFL1	1.557
LZTS2	0.231125
IL2RG	-0.8155
CCDC51	-0.022
KLF3	0.567625
ANKRD37	-1.74025
KCTD14	-2.05466666666667
FZR1	0.241583333333333
SLC44A4	4.3684
ESPL1	-1.850125
GMPR2	-0.8632
TBC1D19	-0.391166666666667
ERGIC1	1.16096296296296
ERBB4	5.5265
TSPAN32	-0.433583333333333
MAP4	0.088875
GPHN	-0.297
SLC6A2	-0.34575
HIVEP1	0.61325
DFFB	-0.3007
EIF4EBP2	0.818625
DMRT1	-0.983
HSPB6	-0.70775
IER2	1.14166666666667
AIFM1	0.31375
WWC2	-1.4699
MRPL4	-0.92625
FLJ21062	0.125333333333333
EPB41L4A	1.47708333333333
SH2D6	0.24575
TAF4B	-0.8335
GAL3ST3	-0.256
MALT1	-1.72866666666667
RTDR1	-0.98075
ARVCF	0.153625
MEX3B	-2.06416666666667
FBXO16	1.768
KIF7	-0.86625
C1QC	4.22666666666667
ZNF783	-1.0195
ZNF85	-0.14925
MMP13	1.83
KIAA0329	0.287875
RTP3	0.539
ZBED3	0.935
CLGN	-0.40475
SLC25A37	-1.11091666666667
hCG_18290	-0.3105
OR5AS1	0.2025
SMARCC2	0.693666666666667
FAM109A	-0.0698333333333334
CCDC12	0.1615
USF2	1.0644
DEPDC7	-3.341
C20orf24	-0.23
JMJD3	0.428
DSP	1.68514285714286
SLIC1	0.56125
FAM20A	0.091625
IRF2BP2	1.028125
ZNF230	0.5
MSN	0.123285714285714
SLC9A5	-1.8415
EPDR1	-0.6429
