Hybridization REF	TCGA-A7-A0DC-11A-41R-A089-07
ROR2	0.932375
MAOA	4.01925
TNNT3	3.15133333333333
GYPC	1.15825
C7orf33	0.822
PLIN	4.47566666666667
LOC90826	0.044
RNF4	-0.0102
F8A1	0.85
PLEKHG4	-1.26825
GRB2	0.4788
HIST1H2AD	-0.9605
DUS3L	-0.6545
EIF1	0.343
RP5-1077B9.4	-1.07633333333333
FPGT	0.58475
GDF10	4.38783333333333
COQ9	-0.23525
GCC2	0.237285714285714
RARRES3	1.942375
PLXNA1	-0.0238
KIAA0100	0.1361
PMF1	-0.5375
FNDC1	4.142
HS2ST1	-0.358166666666667
CRELD2	0.0925
C8G	-2.3065
CD82	0.81175
LIM2	-0.936
UNQ6490	-0.311
MMP16	0.216
DRD3	0.13025
C5orf26	-0.39275
C11orf73	-0.3955
PTP4A2	0.33125
OR4M2	-0.1925
HPCA	-0.4395
SEC14L1	0.309833333333333
CHFR	-0.718375
EMILIN1	0.40375
NDUFS4	0.0395
COL18A1	-0.122375
PDZD3	0.0971
C9orf16	-0.506666666666667
ERBB2IP	-0.2035
EMX2	4.28975
FUS	-0.23275
TF	-0.577
CLCN4	1.29533333333333
CXorf56	0.5685
C11orf72	-0.011
ELAC2	-0.223666666666667
NPR1	2.8705
ASS1	0.1205
USP42	-0.467
POLR2J	-0.7175
SEC23IP	0.1805
UQCRC1	-0.11725
LOC729603	0.15575
C1orf71	-0.38825
POLG	-2.995
ADAM23	-3.00475
TFR2	-1.80125
RICTOR	-0.2281
MGC39606	1.7395
C19orf55	-0.382
SNAPC1	-1.228
GNA11	1.09775
CCDC52	-0.4135
FSIP1	4.165
UPF3A	0.143
IGSF11	-1.83266666666667
LAGE3	-1.2215
CHST6	-3.1485
UNC13B	1.065875
TTLL4	-1.39525
ZNF687	-0.097
SDC2	1.1898
COX7A2	-0.4255
LAMB4	-0.40825
FAM24A	0.1635
LRRTM3	-0.650833333333333
GPHB5	-0.324
OR4C13	-0.2665
EIF3EIP	-0.000142857142857133
HABP4	1.2695
TMEM125	2.0975
CNTN2	0.224
ASNSD1	-0.1655
FUT4	0.41325
ACF	-3.53075
LOC158381	0.528
CDH8	0.00900000000000002
AGPS	-0.959333333333333
C4orf18	3.456
PECI	-0.1575
UNG	-0.34625
GSTP1	-0.35775
DCUN1D5	-1.84166666666667
DKFZP564J0863	-1.373
SLC9A3R1	0.22175
BCDO2	0.454625
CHMP7	0.053625
REM2	-0.3435
DNHD1	-0.424625
FKBP4	-0.449
ZNF350	1.198
MGC11102	-0.414375
BST1	2.41275
KISS1R	-0.6165
NCR2	0.144
DEFB125	-0.0625
UBE2W	0.936625
KRT15	4.14425
C10orf99	-0.2345
SCN11A	0.7485
GFI1	-2.61975
RDHE2	1.299
FHL1	3.61483333333333
OSGEP	-0.3115
GATA1	-3.54966666666667
SMC6	-1.81675
TTTY14	-0.7205
LPIN3	0.04175
RPL4	-0.0643000000000001
RBPMS	1.0037
PRPF3	-1.0225
EMR1	-2.551
SPATA19	-0.20775
XCR1	-0.042
IRX3	0.9141
RBM6	-0.22975
KLF4	2.0191
UNC5CL	-0.563
SEBOX	0.151
BTK	-1.34175
KRCC1	1.16025
C6orf27	0.191
SYTL5	-0.5315
PRND	0.712571428571429
LOC653319	-1.5415
PIGL	-1.3225
HUS1	-0.871166666666667
SFRS6	-0.142583333333333
C17orf77	0.2215
UIMC1	-0.523333333333333
FXYD2	-1.4653
LOC283152	-0.095
ZNF667	1.0745
ZCCHC12	-0.612
TFEC	2.0039
ATP7B	-0.112666666666667
POLD2	-0.963333333333333
RG9MTD1	-0.35275
ACOT2	1.84416666666667
HIST1H4I	-1.399875
PPARGC1A	-0.7095
ETFA	-0.4061
POLRMT	-0.697
ZNF146	-0.09325
MIA2	-1.1555
KLHL6	-1.24233333333333
HOXB5	-0.312875
NENF	0.182166666666667
CUGBP1	-1.01325
PRSS22	0.028
CASC4	1.0125
CUL4B	-0.1832
CENPJ	-1.6011
PITX1	-1.83783333333333
FLJ31033	0.543666666666667
CELSR3	-2.8125
ZNF568	0.64925
ITSN1	1.2495
EHBP1L1	-0.7015
C19orf2	-0.32825
DCTN1	0.39125
LIN28B	-2.98933333333333
TNKS2	0.28675
C1QBP	-0.923625
CADPS2	0.9615
SRMS	-0.08825
GJA9	0.237833333333333
MGC24975	-0.944666666666667
TRIM45	-0.680666666666667
TSP50	0.50025
TCP1	-0.9025
TMED7	0.0549
CMA1	1.6805
CENPL	-1.736
PTCRA	-0.5545
FST	-3.20725
VWCE	-2.2255
PAWR	-1.0405
ABCC12	0.0521666666666666
LDLR	-1.2541
ASTN2	0.3166
LOC441212	-0.9075
GPATCH8	-0.24475
TANC2	-0.929333333333333
KIF4A	-3.59775
C18orf18	-0.3175
PGM1	1.338
KIAA0258	-0.13125
CPD	0.679375
SNCAIP	0.158
DCT	-4.0015
HLA-DOA	1.792
OR11L1	-0.101
UPK1B	-0.137833333333333
DNAJB4	1.384375
UGT1A8	-0.01275
HIST1H4L	-2.2795
PECR	0.604333333333333
HSPA2	1.757
WFIKKN1	-2.573
SERP1	0.676625
SYDE2	1.30875
TACR2	0.284
NUP85	-0.9735
CD177	-0.703333333333333
LGR5	-1.42866666666667
PIGG	-0.517666666666667
PTHR1	1.09566666666667
RAB5A	0.6595
FLJ13224	-0.255
USP9Y	-1.456
C7orf53	-0.712
LRP1B	2.391
XAF1	1.9949
ABCG8	-0.4835
ANKDD1A	1.01083333333333
DAND5	-0.8
SPAG6	0.6215
LINCR	-0.26975
ZDHHC22	-1.128125
CCDC60	0.2795
THOC7	-1.01916666666667
TCTA	1.1464
OR8K3	0.1705
NY-REN-7	-0.434
B2M	1.12866666666667
C6orf141	-0.744125
LPPR4	3.1075
SQLE	-2.297125
SEPHS1	-0.61375
BTBD14B	-0.331071428571429
PLRG1	-0.20675
SPG7	-0.4285625
ZNF614	-0.209
PARD6G	0.422833333333333
INPP5B	-0.648
GRPEL2	-0.781375
PPID	-0.618
TRIM56	0.21675
UBE2J1	-0.146375
IL20RA	4.753
LOC387856	0.70175
C1orf107	-0.0470833333333333
UTS2R	-0.2325
C19orf22	0.1915
SAFB2	-0.208375
KIAA0652	0.422375
KLRG1	-0.2585
MS4A8B	2.67016666666667
FRAG1	0.30675
KIAA1546	-0.07775
E2F4	-0.4643
CLEC4M	0.03
BTBD14A	-1.6075
KIAA0999	1.1152
GYPA	-3.06266666666667
TAC1	2.228
TRAIP	-2.37433333333333
KIAA0232	0.7566
ERCC8	-0.939125
GPX4	1.6275
KIAA0368	0.374625
GPR157	-0.371666666666667
CTAGE4	0.407
C9orf30	-1.597
OR52A1	-0.2455
HSP90B3P	-0.072
ALG9	-0.0996
BTBD10	0.2965
SDK2	-0.02625
BAIAP3	0.5535
RABGGTB	-0.836875
ANKRD40	0.711333333333333
KRT74	0.8915
CALCOCO2	0.988071428571429
SNCA	-1.141
TMSL8	-4.52375
C2orf53	-0.604
ESRRB	-0.37425
ARHGAP26	-0.2105
TDRD9	-2.657
HRAS	0.0415
KLRC4	-2.03
JAGN1	-0.2355
BSDC1	0.402
RNF43	-0.404
NDUFAF1	0.46175
PHF12	0.39875
OR1L3	0.0705
FOLR2	2.84433333333333
LYZL6	-0.368
tcag7.1260	-1.047
WSB1	-0.839
PROS1	1.062
OSTN	0.095
PSMB8	0.228
SOCS4	0.17025
DDIT4L	2.30475
MAS1	-0.136
MGC34796	0.6645
CSHL1	0.170166666666667
TBCCD1	0.180666666666667
ZBTB7C	-0.5435
AP2S1	-0.891625
P15RS	0.0271
VAT1	0.000699999999999962
SHANK3	1.36983333333333
TUFM	-0.486
THEG	-0.2725
KRT34	-1.42075
SGSM3	-0.246
TOMM22	-0.249125
SOCS3	2.011
CPO	0.5625
POP4	0.3785
BHLHB3	1.78325
MALL	2.50475
OR1B1	0.013
PARK2	0.989166666666667
GPR124	2.247625
LCE1E	0.241
RUVBL2	-0.73425
CGRRF1	0.8065
ACPL2	-0.36925
WNT10B	0.051375
BAIAP2L2	-2.15575
ISCA1	0.9875
C1orf125	0.15125
RPAP1	-0.75325
RAI16	0.145833333333333
RPL27	-0.399875
NLRP9	-0.28
EPN1	-0.0185
LOC388610	-0.1765
SLC35A1	0.6831
GAL	-3.9135
SLC14A2	0.32975
RDH11	-1.1705
FAM138F	-0.717
AUH	0.83575
FLJ40243	0.03475
C14orf129	0.0975
MBD2	-0.0515000000000001
ABHD14B	0.800375
PIGT	0.528
ALS2CR4	-0.134
ALAS1	0.3568
FOXO1	3.32816666666667
CRLF3	-0.337375
C20orf107	0.427
FARS2	0.83675
CCDC28A	0.71425
NPHP3	0.1215
OR13F1	0.04
TSEN54	-1.549
DEFB106B	-0.1896
OR8B4	0.1975
STH	1.70925
ZC3H14	-0.357875
CBX2	-0.236
TMEM49	-0.49775
C6orf21	0.0135
FLJ20920	1.155
CRTAP	1.33885714285714
DDX50	-0.173
STYXL1	-0.04425
BLVRB	0.159166666666667
LOC147650	0.377333333333333
MMP24	0.68725
GRID1	1.80016666666667
BANF1	0.00483333333333333
CTAGEP	-0.37125
HMBS	-1.94625
SLC25A24	0.202833333333333
C14orf50	1.40225
MRO	0.786833333333333
SLC25A15	-1.02925
FAM84B	0.832
TDP1	-1.5685
C16orf78	-0.225833333333333
C11orf57	-0.504875
RFK	-0.93025
ZFYVE9	0.33275
STCH	-0.7952
WIBG	0.0485
LOC283871	-0.667166666666667
GBA2	-0.5562
NDUFB3	-0.40525
HSD17B13	1.934
GRIN3A	0.6785
FMNL1	-0.151666666666667
SEPT7	0.0972
GNLY	3.216
GRAMD1C	0.533333333333333
ZNF165	-0.08275
USP38	0.8285
FAM83A	-3.1875
C14orf24	0.7445
ARMCX3	1.183
ARHGDIB	0.705833333333333
AK1	0.423125
KIAA1045	0.47825
DNAJB13	-0.0213333333333333
NEU2	0.5675
HIST1H4B	-2.22333333333333
FAM20B	-0.2161
HES2	-0.305384615384615
FAM73B	-0.4871
LOC388381	0.862
INTS7	-1.30527272727273
AMPH	1.304
ZNF775	-0.9695
UCKL1	-0.584333333333333
C10orf97	0.35875
C1orf161	-0.3
ALDH1L1	3.5965
FLJ39378	0.06575
SLC23A1	-1.483
RBM4B	0.1425
THAP4	0.0206666666666667
OGFRL1	1.20225
KIAA0831	0.246625
PPP1R15A	1.33966666666667
C1orf96	-1.02428571428571
C12orf11	-2.207
BMF	-0.148125
MAN1A1	0.845375
KIAA1600	1.2215
NLGN4X	1.47275
ALOX12	-0.950666666666667
RB1CC1	-0.0855
NEIL2	1.2401
EIF4E	-0.215
ABHD5	0.21925
EXOC4	0.0623333333333333
CIP29	-0.335666666666667
BATF2	-0.224
SLC29A4	1.936625
HTR4	0.17425
EMB	-0.16125
TRAF6	0.518
LMNB1	-4.08475
FAM19A5	-0.102875
SHE	2.90425
PIK3C2B	1.373
C15orf15	-0.5411
USP15	0.0822
TCEAL2	2.19475
C5orf39	-0.514666666666667
PTGER2	1.40625
SLC31A1	-0.452
IFT172	0.2645
ADAM29	0.1505
GFOD1	2.093
ST7L	-0.0345
C15orf26	-2.191
PKN3	-0.4765
CNTD1	2.46
COMMD1	0.32625
NTRK2	4.24141666666667
FOXN3	1.997125
MFGE8	1.422
PFKFB2	-0.385833333333333
TAS2R4	0.25875
ENTHD1	-0.418333333333333
PRMT5	-0.463625
MGC16384	-0.30475
LOC442229	-0.189
TSKU	2.1975
KRTCAP3	1.653625
PDLIM1	1.1016
KCNS2	0.357
RNF126	-0.359666666666667
CEP63	0.366
CLIC4	1.03775
hCG_1990170	1.94125
ACR	1.3321
KLK7	4.38375
ALOX5AP	2.94525
RIPK3	2.676
TAS2R9	-0.0885
C19orf18	1.7635
BIRC6	0.253285714285714
ZNF16	1.1955
RFT1	-0.734
SLC8A2	0.143
TACC1	1.850125
ITGAD	0.4115
SAMHD1	1.4735
SH3PXD2B	1.1171
EPC2	0.62225
C20orf85	0.285625
ATP13A2	-0.310833333333333
KRT4	0.701625
CAPNS1	0.84875
MDM2	0.139916666666667
PCDH20	1.741
KCNK9	0.1395
OR2C1	0.4875
KLHDC3	-0.390833333333333
IPPK	0.507
EFHD2	-0.33825
GALR3	-0.25275
NBEA	0.292
ABCA6	4.502
CLDN3	0.877166666666667
AKT2	0.764857142857143
EGFR	0.7481
RBM16	0.313
ZDHHC3	0.7692
SLC25A4	-0.002
CYB5B	0.262333333333333
CPXM1	-0.1335
NDRG1	0.172846153846154
FLJ43826	0.27175
OR5L2	0.1325
FARP2	0.1392
MRPL46	-0.217333333333333
LDHAL6B	-0.2622
MAPKAPK3	-0.607166666666667
NCAM2	-1.204
PRKD2	0.0896666666666667
ZFP36L1	1.0714
CYSLTR1	0.02425
OR4C3	0.2
HIST1H2AJ	1.9575
CCNB2	-4.14588888888889
ZNF10	-0.170125
TMEM175	0.273
FAM134A	0.721166666666667
TIGD4	-0.2425
PCNP	0.051
MGC39715	0.59225
LQK1	-1.376
CREB1	0.8259
TMPRSS3	-0.4055
C4orf32	1.3805
LAT	-2.15525
KCNA3	0.764
SKIV2L2	-0.911
ROPN1B	1.6095
tcag7.23	-0.0815
CDT1	-3.825875
ZHX2	1.22375
CD28	-2.514
ZNF624	0.461
SEPT2	0.585416666666667
SOHLH2	-0.598125
MCOLN3	0.68725
UNQ1945	-0.312
MASP2	-1.101
ZNRF3	-0.1435
GPATCH3	-0.05975
AGL	0.700375
QRICH2	-0.973
PSD4	0.264666666666667
CCNB1IP1	-1.20625
ENPP7	0.15925
OBFC1	-0.0635
KCNG3	-1.54625
C14orf79	0.26275
ENPEP	2.4215
SCT	0.0365
SKI	0.7755
SEC61G	-1.4025
CAPN11	2.1875
ATXN7L3	-0.2685
DBNDD1	-0.639
FAIM	0.55925
ANKRD36	-0.2495
GABRP	3.8375
TACSTD2	2.2085
EIF3J	-0.837
PPP2R2A	-0.3565
TEKT4	0.000999999999999996
PVALB	-3.535
F10	-0.141666666666667
FAM134C	1.0021
COMP	3.58575
EFCBP1	-0.8226875
SCLT1	0.366625
TAL1	-0.1394
ACSL1	4.3365
ABCC5	-0.557833333333333
ABL1	-0.2885
RBBP7	-0.5475
PTPRG	0.771625
NCOR1	0.2062
SPINK4	-1.19216666666667
TXNRD1	-1.386
TNRC15	0.364625
C9orf138	0.57525
UBE2H	0.378833333333333
BRDT	0.634333333333333
C8orf31	-0.27225
CCNE2	-2.55090909090909
SLC6A8	-1.54225
CALCR	-3.2875
PPP1CB	1.20533333333333
ABHD8	-0.2815
ARF5	0.1868
SLC24A4	0.52925
CCT3	-0.95425
ZNF121	-0.075
SLC3A2	-0.3651
OR13A1	-0.121
SLC5A10	0.09025
RAD50	-0.83075
IER5	-0.318625
MTHFD1L	-1.945
MBTPS2	-0.27225
MVK	-0.779375
NCL	-0.2711
PSMD10	0.104
MOBP	-0.0428571428571429
FLJ32894	-0.5495
HRH1	-0.190166666666667
C5orf30	0.56675
NUDT16L1	0.3728
RASGRP3	2.26916666666667
PRKRIP1	-0.5687
CCDC75	1.2345
LOC253970	0.39475
KIAA1239	1.088
MED21	-1.103
SYT11	0.0721666666666667
NTSR2	-0.2835
EGFL11	0.2395
CXorf59	0.3175
OR2A25	-0.04
SPTBN2	-1.34125
LRMP	-0.284166666666667
RNF111	-0.117
PTH	0.7595
LOC619208	0.408666666666667
KIAA0895	-0.2875
RANBP5	-0.540125
P2RY10	-0.0521666666666667
NME5	2.93133333333333
DDX21	-1.02975
LRSAM1	-0.12
HDAC11	0.6415
VMO1	1.23025
NOLA2	-0.213833333333333
ADAR	-0.21375
MTO1	-1.13683333333333
SF4	-0.154666666666667
P2RX1	0.491333333333333
HBM	0.395
EN2	-0.5525
C14orf172	-0.3375
TM9SF2	0.4372
INHBE	-0.626833333333333
TCTE3	-0.137083333333333
TOX2	-1.88725
CTAGE3	-0.313375
HBB	4.6322
MED15	-0.528166666666667
CASR	0.01375
C6orf66	-1.06033333333333
MTPN	-0.204125
UNC50	0.39225
C21orf33	0.161625
IRF2	0.357
PGR	-0.405666666666667
GPR84	0.448
CROCCL1	-1.38825
SRPX	1.31225
BRE	0.255333333333333
FGF10	1.994
SDC3	1.237
ZRSR1	0.603
DKFZP434P211	-0.429375
SOX6	0.4995
RPUSD2	-0.5055
C14orf173	-0.167333333333333
MAPK11	0.24
TBC1D22A	0.7315
FAM123A	-0.306
COL4A6	-0.891333333333333
TOMM70A	0.21275
NAB1	0.344375
MGC16385	-0.350375
TSPAN18	0.762333333333333
MED31	-0.9995
PLG	-0.3375
CAPSL	0.3595
ZNF532	0.6797
ASB14	-0.091
CA8	-0.338
NUDT16P	1.03433333333333
SLFN11	-0.482
LRRIQ2	-0.756125
NOL7	-0.763
BRMS1L	-0.317375
JARID1A	0.0586666666666667
PANK2	-0.34525
ICAM3	-0.59775
MDS1	0.259
TAF8	-0.0505
RNF139	0.73325
ZNF594	-0.231333333333333
ADAM8	-0.641875
SFTPC	-0.10275
MAN2B2	1.190625
RGS12	0.19875
EIF1AY	-4.49816666666667
LRRIQ1	-0.158833333333333
GPR150	-0.15425
CCDC21	-1.35483333333333
PRRG3	1.60625
SAA4	2.40675
RAPGEF5	0.613125
ZCCHC2	0.0938333333333333
MGC39372	1.333
PPP4R2	0.00483333333333334
CDCA2	-3.48066666666667
OR4D5	0.2045
PTGFRN	0.268
SIGLEC5	1.19983333333333
C19orf61	-0.7665
NMUR2	0.4645
KIAA1586	-0.512833333333333
DAGLA	0.323666666666667
CHCHD6	-0.52425
GPR32	0.448
NEUROD6	-0.0786666666666667
SLC2A4RG	0.348
CA5B	0.63575
FBXL3	1.72725
MPHOSPH9	-1.70025
HMG2L1	0.0675
HCN4	-0.197
CEACAM19	0.144
SH2D4B	0.405333333333333
HFE2	-0.494
TGM4	-0.015
LYPD2	-0.01325
TBC1D15	-0.07325
MRPS21	-0.5731
NONO	-0.9168
CLEC5A	0.337375
ITCH	-0.00159999999999995
MGAT3	0.4825
MBP	0.282625
RPP25	-1.0255
SOSTDC1	2.561
HRC	-0.33125
TRIM48	0.498
TMEM133	1.1235
ECEL1P2	-0.91975
HOXC11	0.8635
DOK5	-0.0245
HELZ	0.523666666666667
LOC348180	-1.19725
MGC33894	0.38525
ADRB3	-0.3695
DMD	1.70658333333333
PTRH2	-0.97825
MPEG1	3.36316666666667
NDUFA12	-0.204166666666667
KRTAP2-4	-0.0521666666666667
STAMBPL1	-1.02183333333333
ADCY2	0.3715
UNQ6125	0.26
KLHL20	0.662833333333333
SRM	-0.87975
OTC	1.1875
TMIE	0.3225
SNX8	-0.40475
LIPK	0.3725
CHURC1	1.26158333333333
KLC2	-0.0143333333333333
HDAC1	-0.263833333333333
FAM128A	-0.5955
FNDC3B	-0.2903
MTCP1	0.0183333333333333
WFDC10B	0.1261
PCDHGB3	0.6875
ATRNL1	-0.9226
CAV2	3.351375
MED26	0.175
DUS1L	-0.35675
CHRM3	-1.12975
NEK9	1.045
WARS2	-0.518
TBX22	1.428
TOMM40	-1.01575
RP6-213H19.1	-2.257
TUBGCP5	0.04575
IGSF6	3.50025
TPPP	2.0855
UNQ6190	-0.134
GSTM5	2.456
BTD	1.77716666666667
PDCD1LG2	0.652666666666667
SNRPB2	-0.642666666666667
ERICH1	-0.183625
APOA4	-1.710125
HOXA11	-0.98925
NARG1	-0.79225
MKX	0.4385
RAB28	0.0913571428571428
PKP3	0.495
SH3GL2	-2.058
CTSO	3.19575
RPN2	-0.61025
IL28RA	0.348
SFMBT1	-0.72975
WDR57	-0.1755
FER1L3	1.55441666666667
HSF5	-0.39
TTC9B	-0.0395
C4BPA	-0.173666666666667
ALB	-3.42885714285714
SORBS3	0.767375
UPF2	-0.338
JPH1	-0.222
AGBL2	0.252
DOPEY1	1.429
TERF1	-0.0631666666666667
KIF22	-1.19
NINJ1	0.89325
SEC61A2	-1.0405
HIST1H1D	-2.0755
SFXN4	-0.693
UCP3	-0.1681
ZNF703	0.843333333333333
MYL6B	-0.96975
TREM1	1.03525
OR52E6	0.1605
CKMT2	4.22
HLA-C	1.379125
SLC13A3	-1.258
TIMP4	3.91325
SLIT2	3.79475
RSF1	0.139833333333333
LONRF1	-0.319428571428571
MON1A	-0.425166666666667
CACNG6	-0.328
DPPA4	-5.45566666666667
ZSWIM3	-0.1815
ZNF804A	-0.191333333333333
CCIN	0.96325
SLC25A31	-0.459333333333333
KCNMB4	0.34075
RABL5	0.033
GALNS	-0.4743
STX6	0.039625
HIST1H1C	-1.57016666666667
CIDEB	0.518625
CASP4	0.249833333333333
PDK3	-1.1883
KCNJ11	0.9045
TPR	-0.356625
ZSCAN20	-0.753
MTX2	-0.71125
HIST1H2BH	-1.21325
LOC283767	1.923
LYRM7	-0.674611111111111
BRD3	0.628666666666667
HIST1H2BO	-1.32875
MAGEB10	0.4335
SLC45A1	1.3955
SERPINA3	1.87135
KIAA0143	0.7185
KCNJ16	4.63666666666667
KRT79	0.28025
FABP2	-0.74175
NUT	-0.07275
ZNF57	-0.10425
FBXL4	0.75225
CLEC9A	0.9325
UGT8	-0.0798333333333333
BMP2K	-0.00775
MAPK4	-1.7575
SLC25A23	-0.2099
HINT1	-0.8782
KRTAP13-1	0.6385
SFXN5	0.0899
CHCHD2	-0.394583333333333
FAM3D	0.8985
NDP	0.644625
RHOBTB1	0.115166666666667
SLC4A4	1.557375
RPL38	-0.345
HTF9C	-0.7675
AP2A2	0.564125
ZBTB46	0.564
MAP7D1	1.463625
AOX1	0.956333333333333
CYR61	1.881
DTNA	0.374857142857143
JRKL	0.257
TMOD3	0.0495
EEA1	0.3128
ADCK5	-0.9475
IL1R1	2.9195
KLK3	0.505
HRSP12	0.2485
KTN1	0.01425
LOH11CR2A	1.108
RELL2	-1.9815
MAB21L1	2.09375
C20orf59	-0.7825
PHKB	0.692
ADAM2	-1.6485
TBC1D8B	0.958
FAM13A1	0.86475
LAPTM4B	0.1225
LCN8	-0.2125
TMEM147	0.142
SYT4	0.187
XPO7	-0.8225
C9orf62	-0.27975
GPR75	0.53
TRIM5	0.5695
APOC1	-1.64366666666667
RNASE4	2.19166666666667
PARD6B	0.3175
ARID1A	-0.192916666666667
TPD52L3	-0.0302222222222222
RRAGB	1.2545
RCN2	-0.567666666666667
HIST2H2BE	-0.7140625
STARD7	0.06025
SHMT2	-1.737
KIAA1751	0.130333333333333
MLYCD	0.90975
LOC162632	-0.4926
UQCRH	-1.2305
RP11-217H1.1	0.0125
SDHA	-0.0695
NCLN	-0.718
ZNF17	0.2975
RCBTB2	-1.0125
VEGFB	1.5781
RP4-747L4.3	0.946
COLQ	0.3741
MPN2	0.289666666666667
DRG2	-0.0675
KLRB1	4.48275
ALPK2	-2.42975
DNASE2B	0.81725
FLJ23834	-0.321833333333333
AXUD1	2.57233333333333
SAFB	-0.3873
NSUN4	-0.54
RFX2	1.8045
MAPK8IP1	-0.522666666666667
FANCD2	-1.74942857142857
ANKZF1	-1.808
C19orf50	0.164875
DUSP8	1.368
SENP5	-0.687375
NFKBIL2	-1.317
LBR	-1.4165
IGFL1	0.4135
LZTS2	0.325625
IL2RG	-1.054625
CCDC51	-0.264
KLF3	0.27875
ANKRD37	-1.32575
KCTD14	0.966166666666667
FZR1	-0.167
SLC44A4	1.6322
ESPL1	-1.0485
GMPR2	-0.0307
TBC1D19	-0.944666666666667
ERGIC1	-0.343111111111111
ERBB4	2.2124
TSPAN32	-0.0485
MAP4	0.788625
GPHN	0.26425
SLC6A2	0.7985
HIVEP1	0.20325
DFFB	-0.8432
EIF4EBP2	1.085875
DMRT1	-0.68
HSPB6	1.48225
IER2	0.0661666666666667
AIFM1	-0.306
WWC2	0.0678333333333333
MRPL4	-0.56425
FLJ21062	1.29
EPB41L4A	1.0565
SH2D6	-0.1125
TAF4B	-0.642
GAL3ST3	-0.208
MALT1	-0.769166666666667
RTDR1	0.15375
ARVCF	0.02275
MEX3B	-2.01383333333333
FBXO16	-1.11225
KIF7	-0.1095
C1QC	3.63533333333333
ZNF783	-0.439
ZNF85	0.97575
MMP13	-0.2795
KIAA0329	0.7325
RTP3	-1.005
ZBED3	0.7045
CLGN	-2.632
SLC25A37	-0.466375
hCG_18290	-0.01
OR5AS1	-0.083
SMARCC2	0.467833333333333
FAM109A	-0.0938333333333333
CCDC12	-0.1505
USF2	0.7247
DEPDC7	-3.6895
C20orf24	-0.418666666666667
JMJD3	0.596
DSP	1.46178571428571
SLIC1	-0.108375
FAM20A	2.00075
IRF2BP2	0.75425
ZNF230	0.0335
MSN	0.252071428571429
SLC9A5	-1.8365
EPDR1	1.2302
MUSK	0.058
ZNF434	0.665166666666667
SMARCD1	-0.449833333333333
