Hybridization REF	TCGA-A2-A0CZ-01A-11R-A034-07
GPR157	-1.02666666666667
CTAGE4	0.0745
C9orf30	-1.0865
OR52A1	0.3165
HSP90B3P	-0.11
ALG9	-0.6081
BTBD10	0.0515
SDK2	0.57875
BAIAP3	0.83775
RABGGTB	-0.5645
ANKRD40	-0.528166666666667
KRT74	0.473
CALCOCO2	0.272714285714286
SNCA	-2.93575
TMSL8	-3.42225
C2orf53	0.377
ESRRB	-0.42475
ARHGAP26	-1.09325
TDRD9	-2.5265
HRAS	-0.45
KLRC4	-2.451
JAGN1	-0.394666666666667
BSDC1	0.67575
RNF43	0.3873
NDUFAF1	0.34775
PHF12	0.415
OR1L3	0.221
FOLR2	2.61533333333333
LYZL6	0.199166666666667
tcag7.1260	-1.7325
WSB1	-1.6665
PROS1	0.4744
OSTN	0.477
PSMB8	1.04775
SOCS4	-0.61275
DDIT4L	1.717
MAS1	-0.0515
MGC34796	1.336
CSHL1	0.421333333333333
TBCCD1	0.2585
ZBTB7C	-0.0285
AP2S1	-0.212875
P15RS	-0.3364
VAT1	-0.4124
SHANK3	1.096
TUFM	-0.578333333333333
THEG	-0.567
KRT34	-2.1775
SGSM3	-0.139625
TOMM22	-0.693875
SOCS3	1.44116666666667
CPO	0.5135
POP4	0.0405
BHLHB3	2.456
MALL	1.49525
OR1B1	0.426
PARK2	0.526833333333333
GPR124	1.605625
LCE1E	-0.8525
RUVBL2	-0.6975
CGRRF1	0.2255
ACPL2	0.67375
WNT10B	-2.165625
BAIAP2L2	-2.318625
ISCA1	0.7495
C1orf125	-0.285875
RPAP1	-0.78375
RAI16	0.478333333333333
RPL27	-0.020375
NLRP9	0.2925
EPN1	-0.092
LOC388610	-0.795375
SLC35A1	0.5625
GAL	-3.24275
SLC14A2	0.211
RDH11	0.0183333333333333
FAM138F	0.316
AUH	0.1315
FLJ40243	0.7795
C14orf129	0.0353333333333333
MBD2	-0.770166666666667
ABHD14B	-0.05525
PIGT	-0.133125
ALS2CR4	0.0301249999999999
ALAS1	-0.3356
FOXO1	2.15
CRLF3	-0.482625
C20orf107	-0.422
FARS2	0.796
CCDC28A	0.53925
NPHP3	-0.2065
OR13F1	0.3405
TSEN54	-0.94275
DEFB106B	-0.3122
OR8B4	0.077
STH	-0.062
ZC3H14	-0.362125
CBX2	-2.083
TMEM49	-0.3935
C6orf21	0.7265
FLJ20920	0.98475
CRTAP	0.418857142857143
DDX50	0.0865
STYXL1	-0.13275
BLVRB	-0.121166666666667
LOC147650	0.0285
MMP24	0.69475
GRID1	2.20233333333333
BANF1	-0.645166666666667
CTAGEP	-0.078
HMBS	-2.3605
SLC25A24	-0.111666666666667
C14orf50	0.06875
MRO	1.38583333333333
SLC25A15	-0.91775
FAM84B	0.3934
TDP1	-1.5475
C16orf78	-0.157666666666667
C11orf57	0.352875
RFK	-0.276
ZFYVE9	-0.0405
STCH	-0.9242
WIBG	-0.224
LOC283871	-1.41483333333333
GBA2	-0.8289
NDUFB3	-0.306
HSD17B13	-1.0415
GRIN3A	0.993666666666667
FMNL1	-0.841
SEPT7	-0.112
GNLY	4.2435
GRAMD1C	1.37833333333333
ZNF165	-0.44
USP38	0.43175
FAM83A	-3.316
C14orf24	0.962666666666667
ARMCX3	1.478
ARHGDIB	0.151333333333333
AK1	0.59925
KIAA1045	0.4655
DNAJB13	-0.7995
NEU2	0.801
HIST1H4B	-1.2515
FAM20B	-0.9092
HES2	0.927571428571428
FAM73B	-0.7616
LOC388381	0.38225
INTS7	-1.08663636363636
AMPH	1.8765
ZNF775	0.01475
UCKL1	-1.27133333333333
C10orf97	0.0465
C1orf161	-0.19525
ALDH1L1	1.112
FLJ39378	-0.287
SLC23A1	-0.0505
RBM4B	0.4515
THAP4	0.405833333333333
OGFRL1	0.74875
KIAA0831	0.2435
PPP1R15A	-0.1475
C1orf96	-0.350357142857143
C12orf11	-1.73075
BMF	0.958125
MAN1A1	0.252625
KIAA1600	0.647666666666667
NLGN4X	0.74475
ALOX12	-1.361
RB1CC1	-0.1321
NEIL2	0.1352
EIF4E	-0.0102272727272727
ABHD5	-0.19975
EXOC4	-0.437
CIP29	-0.549166666666667
BATF2	0.833
SLC29A4	-0.40375
HTR4	0.451
EMB	-0.62925
TRAF6	0.435
LMNB1	-3.12925
FAM19A5	0.171625
SHE	2.28275
PIK3C2B	0.8905
C15orf15	-0.4355
USP15	0.9789
TCEAL2	2.25025
C5orf39	-0.0673333333333333
PTGER2	1.0825
SLC31A1	-0.4859375
IFT172	0.1065
ADAM29	0.5305
GFOD1	-0.094
ST7L	-0.149833333333333
C15orf26	-2.8565
PKN3	-1.2615
CNTD1	3.5035
COMMD1	0.1395
NTRK2	4.10175
FOXN3	1.04775
MFGE8	0.3619
PFKFB2	0.21
TAS2R4	-0.112
ENTHD1	3.21
PRMT5	-1.017125
MGC16384	-1.598875
LOC442229	-0.84675
TSKU	1.5215
KRTCAP3	2.3385
PDLIM1	0.4021
KCNS2	0.13625
RNF126	-0.194166666666667
CEP63	0.104125
CLIC4	-0.064375
hCG_1990170	3.44175
ACR	0.9558
KLK7	1.98575
ALOX5AP	3.508875
RIPK3	3.392
TAS2R9	0.7785
C19orf18	2.696
BIRC6	-0.0689285714285714
ZNF16	1.1275
RFT1	-0.90075
SLC8A2	-0.6525
TACC1	1.4125
ITGAD	1.01475
SAMHD1	1.094
SH3PXD2B	2.0681
EPC2	1.33675
C20orf85	0.3125
ATP13A2	0.396666666666667
KRT4	0.738875
CAPNS1	-0.13725
MDM2	0.99875
PCDH20	1.4975
KCNK9	1.1505
OR2C1	-0.4695
KLHDC3	-0.934666666666667
IPPK	0.3505
EFHD2	-0.216875
GALR3	0.839
NBEA	1.80866666666667
ABCA6	4.2718
CLDN3	1.34616666666667
AKT2	-0.480571428571429
EGFR	-0.1297
RBM16	0.13725
ZDHHC3	0.1213
SLC25A4	-0.0821666666666667
CYB5B	-1.27866666666667
CPXM1	1.6935
NDRG1	-1.07946153846154
FLJ43826	0.70075
OR5L2	-0.0763333333333333
FARP2	0.1459
MRPL46	-0.2385
LDHAL6B	0.557166666666667
MAPKAPK3	-0.395666666666667
NCAM2	-0.61125
PRKD2	0.2015
ZFP36L1	1.3389
CYSLTR1	-0.13425
OR4C3	0.065
HIST1H2AJ	1.2085
CCNB2	-3.37688888888889
ZNF10	-0.4865
TMEM175	0.3435
FAM134A	0.812833333333333
TIGD4	0.1045
PCNP	-0.72175
MGC39715	-0.07875
LQK1	-1.083
CREB1	0.4865
TMPRSS3	-0.27125
C4orf32	0.526875
LAT	-0.6155
KCNA3	0.697
SKIV2L2	-0.7615
ROPN1B	2.0835
tcag7.23	0.3985
CDT1	-3.7545
ZHX2	1.1475
CD28	-1.83125
ZNF624	1.40475
SEPT2	-0.05575
SOHLH2	-1.637
MCOLN3	-0.193714285714286
UNQ1945	0.6
MASP2	-1.7585
ZNRF3	-0.5699
GPATCH3	-0.33375
AGL	2.38525
QRICH2	-1.0355
PSD4	0.392666666666667
CCNB1IP1	-0.8245
ENPP7	0.017
OBFC1	0.1005
KCNG3	-3.10175
C14orf79	0.693416666666666
ENPEP	2.31766666666667
SCT	1.906
SKI	0.959625
SEC61G	-0.88825
CAPN11	0.9945
ATXN7L3	-0.382
DBNDD1	-0.705
FAIM	0.201
ANKRD36	-0.494
GABRP	4.58866666666667
TACSTD2	1.07066666666667
EIF3J	-0.6885
PPP2R2A	-1.071
TEKT4	0.773166666666667
PVALB	-0.8405
F10	-2.14316666666667
FAM134C	0.7929
COMP	4.908875
EFCBP1	-0.4308125
SCLT1	1.320375
TAL1	-0.5444
ACSL1	1.45525
ABCC5	-0.328916666666667
ABL1	-0.495611111111111
RBBP7	-0.852916666666667
PTPRG	0.02275
NCOR1	-0.1282
SPINK4	0.872666666666667
TXNRD1	-1.5141
TNRC15	1.227125
C9orf138	0.4155
UBE2H	0.296666666666667
BRDT	-0.046
C8orf31	-0.096
CCNE2	-3.06972727272727
SLC6A8	-1.8005
CALCR	-3.59525
PPP1CB	1.03341666666667
ABHD8	-0.04325
ARF5	-0.0203
SLC24A4	0.69425
CCT3	-0.1305
ZNF121	0.063125
SLC3A2	-1.1666
OR13A1	0.349
SLC5A10	-0.41825
RAD50	-0.506375
IER5	-0.029625
MTHFD1L	-1.959125
MBTPS2	0.69325
MVK	-0.926875
NCL	-0.2724
PSMD10	-0.62875
MOBP	0.195428571428571
FLJ32894	-0.46
HRH1	0.362166666666667
C5orf30	-0.58275
NUDT16L1	0.4744
RASGRP3	4.17166666666667
PRKRIP1	-0.7208
CCDC75	0.17175
LOC253970	0.22775
KIAA1239	1.9485
MED21	-0.523
SYT11	0.648333333333333
NTSR2	-0.532
EGFL11	0.6185
CXorf59	-0.453
OR2A25	0.219
SPTBN2	-1.33125
LRMP	-0.964666666666667
RNF111	-0.04175
PTH	0.255
LOC619208	1.1335
KIAA0895	1.03475
RANBP5	-0.733
P2RY10	1.57066666666667
NME5	2.9855
DDX21	-1.1215
LRSAM1	-0.16
HDAC11	0.395333333333333
VMO1	2.40075
NOLA2	0.034
ADAR	0.191666666666667
MTO1	-1.23716666666667
SF4	0.0626666666666667
P2RX1	0.827
HBM	0.07375
EN2	1.058
C14orf172	-0.2235
TM9SF2	0.4808
INHBE	-1.8255
TCTE3	-0.50075
TOX2	-2.63325
CTAGE3	0.098625
HBB	4.0383
MED15	-0.951166666666666
CASR	0.143
C6orf66	-1.5535
MTPN	0.0495
UNC50	-0.2655
C21orf33	0.58875
IRF2	1.09375
PGR	-0.857333333333333
GPR84	2.8725
CROCCL1	-2.03775
SRPX	0.2725
BRE	0.0253333333333333
FGF10	1.9335
SDC3	0.0571666666666667
ZRSR1	0.426666666666667
DKFZP434P211	-0.743
SOX6	-0.15
RPUSD2	-0.28475
C14orf173	-0.386416666666667
MAPK11	0.0545
TBC1D22A	0.109
FAM123A	-0.6435
COL4A6	-1.69716666666667
TOMM70A	-0.5285
NAB1	-0.2845
MGC16385	-0.280875
TSPAN18	1.23333333333333
MED31	-0.138
PLG	-0.9615
CAPSL	1.7375
ZNF532	1.2902
ASB14	-0.63475
CA8	-1.13075
NUDT16P	0.161333333333333
SLFN11	-0.342
LRRIQ2	-0.441375
NOL7	-0.325
BRMS1L	-0.627375
JARID1A	0.142
PANK2	-0.52825
ICAM3	0.3175
MDS1	-0.0715
TAF8	-0.62575
RNF139	0.54125
ZNF594	-0.146166666666667
ADAM8	1.141875
SFTPC	-0.249375
MAN2B2	1.174875
RGS12	0.1768125
EIF1AY	-4.9966
LRRIQ1	0.834666666666667
GPR150	0.9135
CCDC21	-1.81116666666667
PRRG3	1.042
SAA4	-2.1905
RAPGEF5	1.14525
ZCCHC2	-0.474666666666667
MGC39372	-0.377
PPP4R2	-0.092
CDCA2	-3.07683333333333
OR4D5	0.572666666666667
PTGFRN	1.2177
SIGLEC5	2.536
C19orf61	-0.402333333333333
NMUR2	0.208
KIAA1586	-0.689
DAGLA	0.861166666666667
CHCHD6	-0.3975
GPR32	0.8245
NEUROD6	0.0392
SLC2A4RG	-0.13725
CA5B	-0.0115
FBXL3	1.22325
MPHOSPH9	-2.154
HMG2L1	-0.3985
HCN4	0.336833333333333
CEACAM19	0.33925
SH2D4B	0.587
HFE2	-0.856
TGM4	-0.24875
LYPD2	0.498
TBC1D15	1.43225
MRPS21	0.072
NONO	-0.7492
CLEC5A	2.052375
ITCH	-0.0831
MGAT3	0.0685
MBP	-0.203625
RPP25	-1.0655
SOSTDC1	1.74075
HRC	-1.6335
TRIM48	-0.3215
TMEM133	0.87
ECEL1P2	-1.116
HOXC11	-0.9835
DOK5	0.2725
HELZ	0.984166666666667
LOC348180	-1.10775
MGC33894	0.5835
ADRB3	0.5255
DMD	0.690833333333333
PTRH2	0.52575
MPEG1	3.63266666666667
NDUFA12	1.09416666666667
KRTAP2-4	-0.01725
STAMBPL1	-0.959666666666667
ADCY2	2.135
UNQ6125	-0.2275
KLHL20	0.523333333333333
SRM	-1.1
OTC	-0.33225
TMIE	0.39
SNX8	0.36775
LIPK	0.631
CHURC1	-0.193
KLC2	0.181666666666667
HDAC1	-0.716333333333333
FAM128A	0.0688333333333333
FNDC3B	-0.0885
MTCP1	-0.473
WFDC10B	0.0972222222222222
PCDHGB3	-0.033
ATRNL1	-2.512
CAV2	0.518125
MED26	-0.0521666666666666
DUS1L	-0.36775
CHRM3	-1.4745
NEK9	-0.00275
WARS2	0.39075
TBX22	-0.4755
TOMM40	-1.14
RP6-213H19.1	-1.94633333333333
TUBGCP5	-0.31125
IGSF6	5.4425
TPPP	0.658333333333333
UNQ6190	-0.1985
GSTM5	1.342625
BTD	1.20533333333333
PDCD1LG2	0.53
SNRPB2	-0.505333333333333
ERICH1	0.382
APOA4	-2.09375
HOXA11	-1.43325
NARG1	-0.5665
MKX	-0.04325
RAB28	-0.268285714285714
PKP3	-0.10175
SH3GL2	-0.74425
CTSO	3.78025
RPN2	0.078875
IL28RA	0.322
SFMBT1	-0.49475
WDR57	-0.564375
FER1L3	1.05241666666667
HSF5	0.443833333333333
TTC9B	0.659
C4BPA	-2.21066666666667
ALB	-4.15285714285714
SORBS3	0.204
UPF2	-0.0985
JPH1	0.181
AGBL2	-0.91275
DOPEY1	1.104
TERF1	0.0985833333333333
KIF22	-1.46033333333333
NINJ1	1.4405
SEC61A2	-1.2405
HIST1H1D	-0.568
SFXN4	0.03225
UCP3	-0.1681
ZNF703	1.4325
MYL6B	-0.68875
TREM1	3.09475
OR52E6	0.0835
CKMT2	2.43675
HLA-C	2.280125
SLC13A3	-0.790833333333333
TIMP4	1.08725
SLIT2	3.342
RSF1	0.313
LONRF1	-1.39342857142857
MON1A	-0.293333333333333
CACNG6	-1.9165
DPPA4	-5.19083333333333
ZSWIM3	-0.42525
ZNF804A	0.479
CCIN	1.8875
SLC25A31	0.8115
KCNMB4	0.70425
RABL5	0.7405
GALNS	-0.5241
STX6	0.244
HIST1H1C	-0.2995
CIDEB	-0.341
CASP4	0.183833333333333
PDK3	-0.7232
KCNJ11	0.152
TPR	-0.3055
ZSCAN20	-0.5095
MTX2	-0.30175
HIST1H2BH	0.839
LOC283767	0.3365
LYRM7	-1.51388888888889
BRD3	0.532166666666667
HIST1H2BO	0.7985
MAGEB10	1.2645
SLC45A1	0.88925
SERPINA3	0.42975
KIAA0143	0.88475
KCNJ16	2.827
KRT79	-0.438
FABP2	-0.71425
NUT	-0.32475
ZNF57	-0.644
FBXL4	-0.12675
CLEC9A	2.009
UGT8	-0.0536666666666667
BMP2K	0.045
MAPK4	-2.55125
SLC25A23	-0.5957
HINT1	-1.2839
KRTAP13-1	0.0405
SFXN5	-0.5531
CHCHD2	-0.134
FAM3D	4.0195
NDP	-2.694625
RHOBTB1	0.2595
SLC4A4	-0.69075
RPL38	1.0175
HTF9C	-0.874833333333333
AP2A2	0.2605
ZBTB46	-1.1795
MAP7D1	0.245875
AOX1	-0.735166666666667
CYR61	2.34941666666667
DTNA	-0.0354285714285714
JRKL	0.90275
TMOD3	0.08475
EEA1	0.0942
ADCK5	-0.5195
IL1R1	1.93583333333333
KLK3	0.697357142857143
HRSP12	-0.07025
KTN1	0.266
LOH11CR2A	1.1123
RELL2	-1.842
MAB21L1	3.058
C20orf59	-1.38116666666667
PHKB	-0.566
ADAM2	1.59116666666667
TBC1D8B	2.09933333333333
FAM13A1	-0.2234375
LAPTM4B	-0.987
LCN8	0.233
TMEM147	0.646
SYT4	0.0968333333333333
XPO7	-1.2045
C9orf62	1.1225
GPR75	0.3465
TRIM5	0.094375
APOC1	-0.1145
RNASE4	1.6085
PARD6B	-1.936875
ARID1A	-0.03125
TPD52L3	0.14
RRAGB	0.884833333333333
RCN2	-0.431666666666667
HIST2H2BE	0.1744375
STARD7	-0.4995
SHMT2	-1.73525
KIAA1751	0.0661666666666666
MLYCD	-0.070875
LOC162632	-0.0707
UQCRH	-1.05075
RP11-217H1.1	0.5324375
SDHA	-1.19333333333333
NCLN	-0.5342
ZNF17	0.3585
RCBTB2	-0.842
VEGFB	0.0215
RP4-747L4.3	0.50875
COLQ	0.2293
MPN2	-1.141
DRG2	-0.29075
KLRB1	7.1755
ALPK2	-2.2465
DNASE2B	3.126
FLJ23834	-0.291333333333333
AXUD1	1.2045
SAFB	-0.1945
NSUN4	-0.35
RFX2	0.310833333333333
MAPK8IP1	-0.869666666666667
FANCD2	-1.8305
ANKZF1	-1.42283333333333
C19orf50	-0.59925
DUSP8	0.73375
SENP5	-0.743625
NFKBIL2	-1.03775
LBR	-1.451
IGFL1	2.1095
LZTS2	0.353375
IL2RG	-0.259125
CCDC51	-0.16925
KLF3	0.235625
ANKRD37	-0.78925
KCTD14	0.796166666666667
FZR1	0.298666666666667
SLC44A4	3.525
ESPL1	-1.640125
GMPR2	-0.0921
TBC1D19	-0.764833333333333
ERGIC1	0.57462962962963
ERBB4	3.3213
TSPAN32	0.341583333333333
MAP4	-0.196
GPHN	-0.1385
SLC6A2	0.48475
HIVEP1	0.62175
DFFB	-0.4436
EIF4EBP2	0.4595
DMRT1	-0.4015
HSPB6	-0.09525
IER2	0.124166666666667
AIFM1	-0.17575
WWC2	0.344333333333333
MRPL4	-0.8415
FLJ21062	0.813333333333333
EPB41L4A	0.991083333333333
SH2D6	0.07775
TAF4B	-0.299
GAL3ST3	-0.156
MALT1	-1.12566666666667
RTDR1	0.18425
ARVCF	-0.408625
MEX3B	-0.0976666666666667
FBXO16	0.2875
KIF7	-1.04475
C1QC	4.31833333333333
ZNF783	-0.802833333333333
ZNF85	-0.53175
MMP13	7.3555
KIAA0329	0.669125
RTP3	-1.2235
ZBED3	-0.29825
CLGN	-1.284
SLC25A37	-1.36279166666667
hCG_18290	0.5015
OR5AS1	-0.3415
SMARCC2	0.36525
FAM109A	0.0476666666666667
CCDC12	-0.058
USF2	-0.0554
DEPDC7	-0.87225
C20orf24	-1.08
JMJD3	0.345
DSP	0.215142857142857
SLIC1	0.619
FAM20A	2.371125
IRF2BP2	0.1985
ZNF230	-0.245
MSN	-0.0952142857142857
SLC9A5	-1.7875
EPDR1	-0.9892
MUSK	0.00516666666666668
