Hybridization REF	TCGA-BH-A0B2-01A-11R-A10J-07
GRB2	0.05585
HIST1H2AD	1.08325
DUS3L	-0.372166666666667
EIF1	0.120333333333333
RP5-1077B9.4	-1.3565
FPGT	1.2125
GDF10	1.59316666666667
COQ9	-0.55725
GCC2	-0.165928571428571
RARRES3	3.308875
PLXNA1	-0.7336
KIAA0100	-0.282
PMF1	0.108
FNDC1	5.625
HS2ST1	0.00308333333333336
CRELD2	0.64525
C8G	-1.5765
CD82	2.0585
LIM2	-0.9105
UNQ6490	0.193
MMP16	1.2945
DRD3	-0.2235
C5orf26	-0.31075
C11orf73	-0.50925
PTP4A2	0.00825
OR4M2	0.48
HPCA	-1.55633333333333
SEC14L1	-0.692833333333333
CHFR	-0.568125
EMILIN1	1.1845
NDUFS4	-0.247
COL18A1	0.446
PDZD3	-0.0395
C9orf16	-0.317666666666667
ERBB2IP	0.577
EMX2	3.151
FUS	-0.87525
TF	-2.8733
CLCN4	0.057
CXorf56	0.39
C11orf72	0.08225
ELAC2	-0.786083333333333
NPR1	0.04475
ASS1	-1.28716666666667
USP42	0.44725
POLR2J	-1.271
SEC23IP	0.5435
UQCRC1	-0.4025
LOC729603	-0.70625
C1orf71	0.286
POLG	-2.4485
ADAM23	-2.883
TFR2	-1.8365
RICTOR	-0.9277
MGC39606	1.35075
C19orf55	-0.364375
SNAPC1	-1.146
GNA11	1.052625
CCDC52	-0.01
FSIP1	4.7845
UPF3A	-0.419
IGSF11	-2.33616666666667
LAGE3	1.3985
CHST6	-1.4455
UNC13B	0.197
TTLL4	-1.17225
ZNF687	0.1985
SDC2	0.0698
COX7A2	-0.23625
LAMB4	0.269
FAM24A	0.527
LRRTM3	-0.966
GPHB5	0.0345
OR4C13	0.3865
EIF3EIP	-0.128142857142857
HABP4	-0.564
TMEM125	2.5725
CNTN2	0.15975
ASNSD1	-0.302
FUT4	0.535
ACF	-3.6875
LOC158381	0.1995
CDH8	-1.006
AGPS	-1.27583333333333
C4orf18	3.02125
PECI	-0.234416666666667
UNG	-0.805625
GSTP1	-1.402
DCUN1D5	-0.991666666666667
DKFZP564J0863	-0.22775
SLC9A3R1	0.643875
BCDO2	-0.136375
CHMP7	-0.38425
REM2	0.7335
DNHD1	-0.395
FKBP4	-0.6045
ZNF350	1.6475
MGC11102	0.01075
BST1	2.06075
KISS1R	1.0555
NCR2	0.195
DEFB125	-1.0365
UBE2W	1.92025
KRT15	2.125
C10orf99	0.1375
SCN11A	0.175875
GFI1	-1.72025
RDHE2	2.14316666666667
FHL1	-0.169666666666667
OSGEP	-0.4955
GATA1	-3.24633333333333
SMC6	-1.185
TTTY14	-0.688
LPIN3	-0.2375
RPL4	-0.5401
RBPMS	-0.00669999999999999
PRPF3	0.0085
EMR1	-1.5085
SPATA19	0.068
XCR1	0.4875
IRX3	1.7188
RBM6	-0.483
KLF4	-0.4552
UNC5CL	1.4975
SEBOX	0.1655
BTK	0.53525
KRCC1	0.587
C6orf27	0.364
SYTL5	-0.835
PRND	1.88025
LOC653319	-1.793
PIGL	-0.1885
HUS1	-0.149833333333333
SFRS6	0.54475
C17orf77	0.2975
UIMC1	-0.502333333333333
FXYD2	-1.7981
LOC283152	1.499
ZNF667	0.82725
ZCCHC12	-0.34575
TFEC	3.7666
ATP7B	-0.0441666666666667
POLD2	-1.26566666666667
RG9MTD1	0.065
ACOT2	0.230833333333333
HIST1H4I	-0.399
PPARGC1A	-1.7844
ETFA	-1.8887
POLRMT	-0.13125
ZNF146	0.607125
MIA2	3.138
KLHL6	0.379
HOXB5	-1.038
NENF	0.884166666666667
CUGBP1	1.05225
PRSS22	0.5515
CASC4	1.4677
CUL4B	0.19
CENPJ	-1.5986
PITX1	0.600666666666667
FLJ31033	2.53483333333333
CELSR3	-1.20383333333333
ZNF568	0.88575
ITSN1	0.275416666666667
EHBP1L1	-0.9945
C19orf2	-0.342
DCTN1	0.10275
LIN28B	-2.40766666666667
TNKS2	0.3015
C1QBP	-0.904125
CADPS2	1.6055
SRMS	0.211
GJA9	0.101
MGC24975	-1.02133333333333
TRIM45	1.2205
TSP50	0.015
TCP1	-1.8145
TMED7	0.4863
CMA1	0.6235
CENPL	-1.0475
PTCRA	0.795
FST	-2.8695
VWCE	-2.8375
PAWR	-0.413
ABCC12	2.35183333333333
LDLR	-1.3848
ASTN2	1.13
LOC441212	-1.018125
GPATCH8	-0.38475
TANC2	-0.437916666666667
KIF4A	-2.6215
C18orf18	-1.05475
PGM1	-1.136
KIAA0258	0.386
CPD	0.373375
SNCAIP	0.52
DCT	-4.2155
HLA-DOA	3.01959090909091
OR11L1	0.276
UPK1B	-0.2645
DNAJB4	-0.030875
UGT1A8	-0.06575
HIST1H4L	-0.9985
PECR	-1.32383333333333
HSPA2	2.241
WFIKKN1	-2.96
SERP1	0.3605
SYDE2	1.81825
TACR2	0.4635
NUP85	-0.91925
CD177	1.12466666666667
LGR5	-1.41516666666667
PIGG	-0.313583333333333
PTHR1	-0.709333333333333
RAB5A	0.0541
FLJ13224	-0.141
USP9Y	-0.8464
C7orf53	-0.2305
LRP1B	-0.30925
XAF1	4.1966
ABCG8	-0.952
ANKDD1A	-0.340666666666667
DAND5	-0.8235
SPAG6	2.68433333333333
LINCR	1.9375
ZDHHC22	-1.706875
CCDC60	0.616
THOC7	-1.07766666666667
TCTA	1.0157
OR8K3	0.259
NY-REN-7	-0.23975
B2M	2.132
C6orf141	-1.046375
LPPR4	2.1245
SQLE	-1.124
SEPHS1	-0.22
BTBD14B	0.504428571428571
PLRG1	-0.15125
SPG7	-0.7208125
ZNF614	-0.104
PARD6G	0.946
INPP5B	-0.7437
GRPEL2	-0.1935
PPID	-0.5621
TRIM56	0.192
UBE2J1	0.04
IL20RA	4.501
LOC387856	0.33925
C1orf107	0.746916666666667
UTS2R	1.05675
C19orf22	-0.12625
SAFB2	0.446
KIAA0652	0.157875
KLRG1	0.5805
MS4A8B	0.802333333333333
FRAG1	0.47975
KIAA1546	0.21675
E2F4	-1.2389
CLEC4M	0.294166666666667
BTBD14A	0.09375
KIAA0999	1.1584
GYPA	-3.35566666666667
TAC1	0.7221
TRAIP	-1.92183333333333
KIAA0232	0.263
ERCC8	-1.494125
GPX4	0.6335
KIAA0368	-0.681125
GPR157	-0.960333333333333
CTAGE4	0.423
C9orf30	-0.873833333333333
OR52A1	0.28
HSP90B3P	-0.423
ALG9	-0.2369
BTBD10	0.45275
SDK2	0.36675
BAIAP3	-0.13675
RABGGTB	-0.5625
ANKRD40	-0.168166666666667
KRT74	0.484
CALCOCO2	0.709142857142857
SNCA	-2.64525
TMSL8	-4.9095
C2orf53	0.1235
ESRRB	-0.40375
ARHGAP26	-0.376375
TDRD9	-2.76775
HRAS	0.421
KLRC4	-2.161
JAGN1	0.0101666666666667
BSDC1	-0.089
RNF43	-0.5655
NDUFAF1	0.253
PHF12	0.02375
OR1L3	0.15325
FOLR2	2.38825
LYZL6	0.147166666666667
tcag7.1260	-1.4145
WSB1	-1.3845
PROS1	-0.5297
OSTN	0.3055
PSMB8	1.68125
SOCS4	-0.37725
DDIT4L	2.341
MAS1	-0.036
MGC34796	1.345
CSHL1	0.134166666666667
TBCCD1	-0.0131666666666667
ZBTB7C	-0.2025
AP2S1	-0.42775
P15RS	-0.0113
VAT1	-0.7063
SHANK3	0.745833333333333
TUFM	-0.125833333333333
THEG	-0.22325
KRT34	-1.71675
SGSM3	-0.041375
TOMM22	0.207
SOCS3	0.445666666666667
CPO	1.1685
POP4	0.32825
BHLHB3	2.9715
MALL	1.07825
OR1B1	0.0445
PARK2	0.4585
GPR124	1.515125
LCE1E	0.109
RUVBL2	-0.57475
CGRRF1	0.5762
ACPL2	0.5405
WNT10B	-1.855875
BAIAP2L2	-1.908875
ISCA1	0.243
C1orf125	0.581625
RPAP1	-0.57325
RAI16	-0.7355
RPL27	-0.350125
NLRP9	0.187
EPN1	0.1625
LOC388610	-1.43375
SLC35A1	1.1249
GAL	-3.68225
SLC14A2	0.28425
RDH11	-0.414833333333333
FAM138F	-0.6005
AUH	0.00950000000000001
FLJ40243	0.13675
C14orf129	0.3425
MBD2	-0.515333333333333
ABHD14B	0.048
PIGT	-0.100375
ALS2CR4	-0.608125
ALAS1	-0.0995
FOXO1	1.83716666666667
CRLF3	-0.0845
C20orf107	-0.3005
FARS2	0.7115
CCDC28A	1.22025
NPHP3	-0.93675
OR13F1	0.1485
TSEN54	-0.4915
DEFB106B	-0.1214
OR8B4	0.3655
STH	0.06825
ZC3H14	-0.464125
CBX2	-0.4105
TMEM49	-1.216
C6orf21	0.243
FLJ20920	0.672625
CRTAP	-0.284642857142857
DDX50	0.00525
STYXL1	0.20425
BLVRB	-0.549833333333333
LOC147650	-0.434333333333333
MMP24	0.098
GRID1	1.88333333333333
BANF1	-0.146666666666667
CTAGEP	0.571
HMBS	-1.8885
SLC25A24	-0.353333333333333
C14orf50	0.79175
MRO	0.863
SLC25A15	-1.02325
FAM84B	2.3664
TDP1	-0.668
C16orf78	-0.121833333333333
C11orf57	0.72075
RFK	-0.470375
ZFYVE9	0.474375
STCH	-0.363
WIBG	0.347
LOC283871	-0.9025
GBA2	-0.8879
NDUFB3	-0.4755
HSD17B13	-0.21625
GRIN3A	1.80083333333333
FMNL1	0.0181666666666667
SEPT7	0.0939
GNLY	4.474
GRAMD1C	0.542
ZNF165	0.2105
USP38	0.5895
FAM83A	-3.11283333333333
C14orf24	0.309333333333333
ARMCX3	0.827375
ARHGDIB	0.646666666666667
AK1	0.429375
KIAA1045	0.11025
DNAJB13	-0.526666666666667
NEU2	0.088
HIST1H4B	-0.342333333333333
FAM20B	0.3965
HES2	-0.214571428571429
FAM73B	-0.4757
LOC388381	0.2145
INTS7	-0.112272727272727
AMPH	2.14375
ZNF775	-0.127125
UCKL1	-0.907833333333333
C10orf97	0.0255
C1orf161	-0.022
ALDH1L1	0.4375
FLJ39378	-0.199375
SLC23A1	-0.3275
RBM4B	0.31775
THAP4	0.148833333333333
OGFRL1	0.768
KIAA0831	0.079375
PPP1R15A	-0.481833333333333
C1orf96	0.0380714285714286
C12orf11	-1.98175
BMF	0.791375
MAN1A1	-0.20325
KIAA1600	1.01133333333333
NLGN4X	0.41075
ALOX12	-1.18383333333333
RB1CC1	1.0945
NEIL2	0.1929
EIF4E	0.135
ABHD5	-0.078
EXOC4	0.0123333333333333
CIP29	-0.164833333333333
BATF2	3.521
SLC29A4	-0.47725
HTR4	0.1975
EMB	0.63075
TRAF6	0.68875
LMNB1	-2.26975
FAM19A5	-0.71875
SHE	1.805
PIK3C2B	0.8765
C15orf15	-0.6259
USP15	0.126
TCEAL2	1.51175
C5orf39	-0.550333333333333
PTGER2	-0.00425
SLC31A1	0.11325
IFT172	0.44625
ADAM29	0.098
GFOD1	-0.7385
ST7L	1.39566666666667
C15orf26	-1.38
PKN3	-0.91925
CNTD1	3.89333333333333
COMMD1	0.17375
NTRK2	2.7905
FOXN3	0.740375
MFGE8	-0.327
PFKFB2	1.14266666666667
TAS2R4	-0.2995
ENTHD1	0.636666666666667
PRMT5	-0.7805
MGC16384	-1.053
LOC442229	0.08975
TSKU	-0.0055
KRTCAP3	2.44325
PDLIM1	0.6575
KCNS2	0.612
RNF126	-0.522166666666667
CEP63	0.41225
CLIC4	-0.598875
hCG_1990170	-0.50025
ACR	0.3721
KLK7	1.461
ALOX5AP	3.54875
RIPK3	3.7665
TAS2R9	0.0475
C19orf18	1.476
BIRC6	-0.187428571428571
ZNF16	1.728
RFT1	0.38075
SLC8A2	-0.408
TACC1	0.7675
ITGAD	0.90125
SAMHD1	2.119
SH3PXD2B	0.9525
EPC2	0.9365
C20orf85	5.159125
ATP13A2	-0.309
KRT4	0.2405
CAPNS1	-0.27225
MDM2	-0.377666666666667
PCDH20	1.96075
KCNK9	0.348
OR2C1	0.189
KLHDC3	-0.9195
IPPK	0.062
EFHD2	-0.17825
GALR3	0.9945
NBEA	0.970333333333333
ABCA6	3.5582
CLDN3	1.49133333333333
AKT2	-0.622571428571429
EGFR	-1.5628
RBM16	0.1165
ZDHHC3	0.32
SLC25A4	-0.893166666666667
CYB5B	-1.13783333333333
CPXM1	1.17925
NDRG1	0.0486923076923077
FLJ43826	-0.053
OR5L2	-0.150833333333333
FARP2	-0.0431
MRPL46	-0.218833333333333
LDHAL6B	0.291333333333333
MAPKAPK3	-0.0601666666666667
NCAM2	0.04
PRKD2	0.817166666666667
ZFP36L1	1.7109
CYSLTR1	0.4565
OR4C3	0.24225
HIST1H2AJ	1.3645
CCNB2	-2.99344444444444
ZNF10	-0.226875
TMEM175	0.476
FAM134A	0.772833333333333
TIGD4	0.0245
PCNP	-0.297
MGC39715	0.1195
LQK1	-0.442
CREB1	0.6347
TMPRSS3	1.69525
C4orf32	0.636
LAT	-0.675
KCNA3	-0.0495
SKIV2L2	-0.8905
ROPN1B	-0.77125
tcag7.23	-0.366
CDT1	-3.2
ZHX2	1.65375
CD28	-2.133
ZNF624	1.0935
SEPT2	0.148416666666667
SOHLH2	-1.994125
MCOLN3	-0.54075
UNQ1945	0.538
MASP2	-1.0955
ZNRF3	-0.1301
GPATCH3	-0.44425
AGL	1.78975
QRICH2	-0.636
PSD4	0.508166666666667
CCNB1IP1	-1.77175
ENPP7	-0.04525
OBFC1	0.42325
KCNG3	-1.96125
C14orf79	0.828
ENPEP	1.91066666666667
SCT	2.4015
SKI	0.872375
SEC61G	-1.36125
CAPN11	0.34175
ATXN7L3	-0.075
DBNDD1	-0.902666666666667
FAIM	0.3475
ANKRD36	-0.698
GABRP	2.985
TACSTD2	1.7745
EIF3J	-0.64175
PPP2R2A	-0.6805
TEKT4	-0.508
PVALB	-3.39
F10	-1.96883333333333
FAM134C	0.7687
COMP	5.01775
EFCBP1	-2.097
SCLT1	1.17975
TAL1	-1.068
ACSL1	2.6295
ABCC5	0.224666666666667
ABL1	-0.294444444444445
RBBP7	0.599416666666667
PTPRG	-0.03125
NCOR1	-0.1249
SPINK4	-0.318833333333333
TXNRD1	-1.4409
TNRC15	1.021125
C9orf138	0.399875
UBE2H	1.35966666666667
BRDT	1.30866666666667
C8orf31	0.25175
CCNE2	-0.953090909090909
SLC6A8	-1.4525
CALCR	-3.046
PPP1CB	-0.017
ABHD8	0.304
ARF5	0.8356
SLC24A4	0.9085
CCT3	0.43125
ZNF121	0.84075
SLC3A2	-0.735
OR13A1	0.196
SLC5A10	0.5415
RAD50	0.617125
IER5	0.192
MTHFD1L	-2.07475
MBTPS2	0.6185
MVK	-1.065
NCL	0.0378
PSMD10	-0.471
MOBP	0.311625
FLJ32894	0.0495
HRH1	0.197666666666667
C5orf30	0.50475
NUDT16L1	1.1764
RASGRP3	3.7805
PRKRIP1	-0.4619
CCDC75	-0.20275
LOC253970	0.049
KIAA1239	0.668
MED21	-0.56075
SYT11	0.962083333333333
NTSR2	-0.0135
EGFL11	0.027
CXorf59	0.294
OR2A25	0.0675
SPTBN2	-0.54975
LRMP	-0.3665
RNF111	-0.11275
PTH	0.2075
LOC619208	1.01666666666667
KIAA0895	0.10775
RANBP5	-0.936125
P2RY10	2.08366666666667
NME5	4.68216666666667
DDX21	-0.7695
LRSAM1	0.232
HDAC11	0.726166666666667
VMO1	2.19775
NOLA2	-0.1715
ADAR	1.83983333333333
MTO1	-1.2625
SF4	0.460166666666667
P2RX1	-0.0973333333333333
HBM	-0.23475
EN2	1.121
C14orf172	0.03225
TM9SF2	0.923
INHBE	-1.47433333333333
TCTE3	-0.184
TOX2	-3.05575
CTAGE3	0.807375
HBB	3.7224
MED15	-0.736
CASR	0.5875
C6orf66	-0.603
MTPN	0.09025
UNC50	-0.318
C21orf33	0.170875
IRF2	1.375
PGR	1.66033333333333
GPR84	2.19675
CROCCL1	-1.61225
SRPX	-0.5115
BRE	-0.1175
FGF10	1.3055
SDC3	0.6025
ZRSR1	0.783666666666667
DKFZP434P211	-0.072875
SOX6	0.086
RPUSD2	0.1905
C14orf173	-0.694416666666667
MAPK11	-0.651
TBC1D22A	0.3415
FAM123A	-0.489
COL4A6	-1.87483333333333
TOMM70A	-0.0915
NAB1	-0.39825
MGC16385	-0.113
TSPAN18	0.7115
MED31	-0.86475
PLG	-0.4225
CAPSL	4.0315
ZNF532	1.1496
ASB14	0.29875
CA8	1.51575
NUDT16P	0.761666666666667
SLFN11	-0.0315
LRRIQ2	0.582625
NOL7	-0.5135
BRMS1L	-0.746125
JARID1A	0.569333333333333
PANK2	0.644
ICAM3	-0.176
MDS1	-0.339
TAF8	-0.27075
RNF139	1.53425
ZNF594	-0.3375
ADAM8	2.006625
SFTPC	-0.03275
MAN2B2	1.003875
RGS12	0.381375
EIF1AY	-4.5505
LRRIQ1	0.973
GPR150	1.2875
CCDC21	-1.99366666666667
PRRG3	0.33275
SAA4	-3.075
RAPGEF5	1.007625
ZCCHC2	0.948333333333333
MGC39372	0.6015
PPP4R2	0.5025
CDCA2	-2.587
OR4D5	0.313166666666667
PTGFRN	1.5156
SIGLEC5	2.66783333333333
C19orf61	-0.619166666666667
NMUR2	0.1035
KIAA1586	-0.6675
DAGLA	0.343833333333333
CHCHD6	-0.30525
GPR32	0.622
NEUROD6	0.1205
SLC2A4RG	-0.0900625
CA5B	0.088
FBXL3	1.163
MPHOSPH9	-1.64275
HMG2L1	0.08925
HCN4	0.747833333333333
CEACAM19	1.1845
SH2D4B	0.134833333333333
HFE2	-0.945
TGM4	0.203666666666667
LYPD2	0.024
TBC1D15	0.24775
MRPS21	-0.0618
NONO	-0.7137
CLEC5A	1.057
ITCH	-0.2982
MGAT3	-0.933
MBP	-0.145125
RPP25	-0.899
SOSTDC1	-0.69725
HRC	-0.77925
TRIM48	0.0875
TMEM133	0.0855
ECEL1P2	-0.948
HOXC11	1.957
DOK5	-0.033
HELZ	0.622833333333333
LOC348180	-1.05075
MGC33894	0.228
ADRB3	-0.0185
DMD	-0.0605
PTRH2	0.012
MPEG1	3.66783333333333
NDUFA12	-0.0298333333333333
KRTAP2-4	0.1795
STAMBPL1	-0.972833333333333
ADCY2	0.176666666666667
UNQ6125	0.7005
KLHL20	0.671333333333333
SRM	-0.888
OTC	0.01875
TMIE	0.499833333333333
SNX8	-0.3925
LIPK	0.2685
CHURC1	0.115916666666667
KLC2	0.0458333333333333
HDAC1	-1.06033333333333
FAM128A	-0.330833333333333
FNDC3B	-0.2378
MTCP1	-0.440333333333333
WFDC10B	0.0094
PCDHGB3	0.359
ATRNL1	-1.7022
CAV2	-0.312125
MED26	-0.0166666666666667
DUS1L	0.36225
CHRM3	-1.799375
NEK9	0.60175
WARS2	0.904
TBX22	0.219
TOMM40	-1.0125
RP6-213H19.1	-1.75133333333333
TUBGCP5	-0.72225
IGSF6	5.374
TPPP	0.0495
UNQ6190	-0.1395
GSTM5	0.84325
BTD	0.726833333333333
PDCD1LG2	1.25583333333333
SNRPB2	0.693
ERICH1	-0.47725
APOA4	-1.600125
HOXA11	-1.4325
NARG1	-0.436875
MKX	4.849
RAB28	-0.375428571428571
PKP3	1.32925
SH3GL2	-0.93325
CTSO	3.072
RPN2	0.289125
IL28RA	0.335333333333333
SFMBT1	0.68375
WDR57	-0.81025
FER1L3	0.8085
HSF5	-0.0801666666666667
TTC9B	0.1845
C4BPA	0.0653333333333333
ALB	-3.43885714285714
SORBS3	0.165
UPF2	0.3385
JPH1	-0.4035
AGBL2	0.46925
DOPEY1	1.759
TERF1	0.881
KIF22	-1.21633333333333
NINJ1	0.77675
SEC61A2	-0.65575
HIST1H1D	-0.7685
SFXN4	0.1845
UCP3	0.6298
ZNF703	1.52683333333333
MYL6B	-0.25675
TREM1	1.702
OR52E6	0.3905
CKMT2	2.259
HLA-C	3.139125
SLC13A3	-1.20566666666667
TIMP4	0.4995
SLIT2	2.97825
RSF1	0.356111111111111
LONRF1	-1.31885714285714
MON1A	-0.0155
CACNG6	-0.753833333333333
DPPA4	-4.88366666666667
ZSWIM3	0.3755
ZNF804A	0.471833333333333
CCIN	1.38925
SLC25A31	0.3795
KCNMB4	-0.137
RABL5	0.305125
GALNS	-0.7051
STX6	0.984375
HIST1H1C	-0.887666666666667
CIDEB	-0.040125
CASP4	0.884666666666667
PDK3	-0.1279
KCNJ11	1.8995
TPR	0.23375
ZSCAN20	-0.496
MTX2	-0.568
HIST1H2BH	0.085
LOC283767	3.20725
LYRM7	-1.11611111111111
BRD3	0.743666666666667
HIST1H2BO	-0.03
MAGEB10	0.1005
SLC45A1	0.97575
SERPINA3	0.9445
KIAA0143	1.64825
KCNJ16	1.8025
KRT79	-0.315
FABP2	-0.82725
NUT	-0.216
ZNF57	-0.3295
FBXL4	0.957375
CLEC9A	1.727
UGT8	-1.08166666666667
BMP2K	0.29325
MAPK4	-3.556
SLC25A23	-0.3626
HINT1	-0.4778
KRTAP13-1	0.228
SFXN5	-0.0953
CHCHD2	-0.404583333333333
FAM3D	1.8085
NDP	2.53975
RHOBTB1	0.192
SLC4A4	-0.85775
RPL38	0.1125
HTF9C	-0.511333333333333
AP2A2	0.30725
ZBTB46	-0.6395
MAP7D1	0.215
AOX1	-0.3585
CYR61	1.26125
DTNA	-0.672285714285714
JRKL	-0.04425
TMOD3	0.01275
EEA1	0.1356
ADCK5	0.7175
IL1R1	2.54966666666667
KLK3	0.445785714285714
HRSP12	0.91075
KTN1	0.2645
LOH11CR2A	0.8404
RELL2	-1.504
MAB21L1	1.783
C20orf59	-1.36733333333333
PHKB	-0.6105
ADAM2	-1.61
TBC1D8B	1.1345
FAM13A1	-0.4414375
LAPTM4B	0.029
LCN8	0.137
TMEM147	0.631
SYT4	-0.0521666666666666
XPO7	-0.8005
C9orf62	1.29475
GPR75	-0.1335
TRIM5	1.097
APOC1	0.974333333333333
RNASE4	1.4395
PARD6B	-1.53175
ARID1A	-0.154416666666667
TPD52L3	0.0904
RRAGB	1.10316666666667
RCN2	-0.437333333333333
HIST2H2BE	-0.12375
STARD7	-0.57525
SHMT2	-1.47925
KIAA1751	-0.0481666666666667
MLYCD	0.154
LOC162632	-0.302
UQCRH	-1.87475
RP11-217H1.1	0.7331875
SDHA	-0.968833333333333
NCLN	0.1105
ZNF17	0.546
RCBTB2	-0.8545
VEGFB	-0.3107
RP4-747L4.3	0.5195
COLQ	0.6079
MPN2	-0.548333333333333
DRG2	-0.113
KLRB1	5.81125
ALPK2	-1.7475
DNASE2B	0.33975
FLJ23834	-0.171666666666667
AXUD1	0.904833333333333
SAFB	0.0607
NSUN4	-0.327
RFX2	0.499333333333333
MAPK8IP1	-0.0365
FANCD2	-1.41657142857143
ANKZF1	-1.4965
C19orf50	-0.676875
DUSP8	0.829875
SENP5	0.034875
NFKBIL2	-0.56875
LBR	-0.77875
IGFL1	0.1395
LZTS2	0.582625
IL2RG	0.356
CCDC51	0.457
KLF3	0.347375
ANKRD37	-1.8305
KCTD14	-0.938166666666667
FZR1	0.150916666666667
SLC44A4	4.0884
ESPL1	-1.438
GMPR2	-0.132
TBC1D19	-0.464166666666667
ERGIC1	0.344
ERBB4	3.3235
TSPAN32	0.773583333333333
MAP4	0.13625
GPHN	-0.0825
SLC6A2	-0.000625000000000001
HIVEP1	0.95525
DFFB	-0.5496
EIF4EBP2	0.770875
DMRT1	0.00649999999999999
HSPB6	0.14225
IER2	-0.123
AIFM1	-0.00125000000000001
WWC2	0.03975
MRPL4	-0.48475
FLJ21062	0.685666666666667
EPB41L4A	0.636083333333333
SH2D6	0.02
TAF4B	-0.50325
GAL3ST3	-0.402
MALT1	-0.656166666666667
RTDR1	0.19125
ARVCF	-0.04575
MEX3B	-1.3555
FBXO16	0.546
KIF7	-1.182
C1QC	4.2645
ZNF783	-0.796666666666667
ZNF85	-0.14225
MMP13	2.698
KIAA0329	0.43375
RTP3	-0.183
ZBED3	1.0085
CLGN	-2.2205
SLC25A37	-1.542125
hCG_18290	0.17975
OR5AS1	-0.017
SMARCC2	0.567083333333333
FAM109A	-0.0231666666666667
CCDC12	-0.10825
USF2	0.3928
DEPDC7	-1.52875
C20orf24	-0.563166666666667
JMJD3	-0.1185
DSP	1.39871428571429
SLIC1	0.77175
FAM20A	1.71725
IRF2BP2	0.539625
ZNF230	0.0455
MSN	-0.383857142857143
SLC9A5	-1.9645
EPDR1	-1.0277
MUSK	0.0543333333333333
ZNF434	0.238166666666667
SMARCD1	-0.617166666666667
ZFP106	-0.28025
ZNF347	0.3107
GTF2E1	0.2285
