Hybridization REF	TCGA-A2-A0SU-01A-11R-A084-07
RAB33B	1.2985
ALDOC	-1.99875
ZNF212	0.00325
NUDT1	-1.1585
RFPL2	0.40275
ZNF83	-0.555
GDPD5	-1.6565
PDCD4	1.96365
CEP350	-0.45125
OR10A2	0.31175
CST7	0.90075
CIAO1	-1.055
SELL	1.483
OR8J3	0.438
LTBP4	-0.154833333333333
SIRT6	-0.06725
CCL19	4.91425
PPIL1	-1.121
GBP7	0.2445
STK17A	-0.6233
ABR	0.084
OR9G1	0.1245
FOXE1	-0.586125
CNGA3	1.6685
GML	0.2945
CD38	-2.667
ZDHHC6	0.2655
NEFH	-1.64525
CTDSP2	1.24525
PGBD5	-2.12216666666667
CCNY	0.300785714285714
RMND5B	0.203583333333333
ZNF257	-1.488
FLJ22167	-0.09125
EXOSC7	-0.683166666666667
ROR2	1.86775
MAOA	-1.24275
TNNT3	0.491333333333333
GYPC	-0.901
C7orf33	0.3575
PLIN	1.83233333333333
LOC90826	0.04575
RNF4	-0.4044
F8A1	0.381
PLEKHG4	-1.12175
GRB2	0.90245
HIST1H2AD	0.857
DUS3L	-1.08116666666667
EIF1	-0.8005
RP5-1077B9.4	-1.48666666666667
FPGT	1.232
GDF10	0.471666666666667
COQ9	-0.50375
GCC2	0.2065
RARRES3	2.7605
PLXNA1	-0.8402
KIAA0100	-0.6828
PMF1	0.103
FNDC1	5.2335
HS2ST1	0.219583333333333
CRELD2	-0.08325
C8G	-1.8805
CD82	-0.08825
LIM2	-0.9915
UNQ6490	0.362
MMP16	-0.00924999999999999
DRD3	-0.34525
C5orf26	-0.57575
C11orf73	-0.826375
PTP4A2	0.2305
OR4M2	0.907
HPCA	-0.221166666666667
SEC14L1	-0.278333333333333
CHFR	-0.78325
EMILIN1	0.9255
NDUFS4	-0.31825
COL18A1	0.15975
PDZD3	-0.1387
C9orf16	0.0868333333333333
ERBB2IP	0.166333333333333
EMX2	2.33325
FUS	-0.7495
TF	-3.5439
CLCN4	-0.167
CXorf56	-0.3725
C11orf72	0.2055
ELAC2	-0.378583333333333
NPR1	-0.142
ASS1	-2.28033333333333
USP42	-0.221125
POLR2J	-1.23
SEC23IP	1.23416666666667
UQCRC1	-0.16
LOC729603	-1.0945
C1orf71	-0.5435
POLG	-1.7335
ADAM23	-2.80625
TFR2	-1.374
RICTOR	-1.0403
MGC39606	1.004
C19orf55	-0.510375
SNAPC1	-1.4595
GNA11	1.1545
CCDC52	0.675833333333333
FSIP1	2.682
UPF3A	-0.6285
IGSF11	-2.3385
LAGE3	-0.213
CHST6	-1.818
UNC13B	0.943125
TTLL4	-0.06
ZNF687	0.194625
SDC2	0.5716
COX7A2	-0.0195
LAMB4	0.5385
FAM24A	0.386
LRRTM3	-0.798
GPHB5	0.312
OR4C13	-0.126
EIF3EIP	-0.0270714285714286
HABP4	-0.299
TMEM125	4.07325
CNTN2	0.0905
ASNSD1	-0.0415
FUT4	-0.312375
ACF	-3.4535
LOC158381	0.554
CDH8	0.4615
AGPS	-1.1465
C4orf18	4.96575
PECI	0.549416666666667
UNG	-0.330625
GSTP1	-1.872875
DCUN1D5	-2.07216666666667
DKFZP564J0863	-1.20425
SLC9A3R1	1.3235
BCDO2	0.195625
CHMP7	0.108125
REM2	1.795
DNHD1	-0.892125
FKBP4	0.342125
ZNF350	1.231
MGC11102	-0.387125
BST1	0.96125
KISS1R	1.3945
NCR2	0.1085
DEFB125	0.139
UBE2W	0.692875
KRT15	2.779625
C10orf99	0.263
SCN11A	0.227625
GFI1	-2.076
RDHE2	3.83966666666667
FHL1	-0.9635
OSGEP	-0.645333333333333
GATA1	-3.0515
SMC6	-1.49125
TTTY14	-1.60075
LPIN3	-0.74525
RPL4	1.5451
RBPMS	0.6572
PRPF3	-1.0995
EMR1	-2.127
SPATA19	-0.01225
XCR1	0.366
IRX3	2.7853
RBM6	-1.0095
KLF4	-0.8148
UNC5CL	-1.37375
SEBOX	0.2695
BTK	-0.96775
KRCC1	1.448
C6orf27	0.564
SYTL5	-0.1735
PRND	3.82425
LOC653319	-1.5475
PIGL	-1.755625
HUS1	-0.95
SFRS6	0.367833333333333
C17orf77	0.4005
UIMC1	-0.5955
FXYD2	-1.9069
LOC283152	1.03925
ZNF667	-0.6295
ZCCHC12	-0.78125
TFEC	1.8558
ATP7B	0.114
POLD2	-1.00933333333333
RG9MTD1	-0.2345
ACOT2	0.963166666666667
HIST1H4I	-0.265125
PPARGC1A	-2.1488
ETFA	-1.5042
POLRMT	-0.57125
ZNF146	-0.292375
MIA2	1.0995
KLHL6	-1.48666666666667
HOXB5	0.360375
NENF	-0.1635
CUGBP1	0.21675
PRSS22	1.5385
CASC4	0.6652
CUL4B	0.0597
CENPJ	0.1065
PITX1	-1.17216666666667
FLJ31033	-0.256
CELSR3	-1.77483333333333
ZNF568	0.293
ITSN1	-0.625666666666667
EHBP1L1	-0.878
C19orf2	-0.66925
DCTN1	0.75975
LIN28B	-3.4168
TNKS2	-1.10975
C1QBP	-1.1085
CADPS2	1.03075
SRMS	0.1425
GJA9	0.246
MGC24975	-0.3
TRIM45	-1.16633333333333
TSP50	-0.02975
TCP1	-1.20925
TMED7	0.0738
CMA1	0.7455
CENPL	-1.039
PTCRA	0.4285
FST	-3.2755
VWCE	-3.391
PAWR	-0.30125
ABCC12	0.119833333333333
LDLR	-0.0958
ASTN2	-0.0927
LOC441212	-1.503875
GPATCH8	-0.22125
TANC2	-0.544916666666667
KIF4A	-1.63725
C18orf18	-0.322
PGM1	-1.7295
KIAA0258	0.7075
CPD	1.229
SNCAIP	-0.22575
DCT	-3.96183333333333
HLA-DOA	2.35604545454545
OR11L1	0.426
UPK1B	0.779
DNAJB4	0.0155
UGT1A8	-0.0726666666666667
HIST1H4L	-0.827
PECR	-1.1525
HSPA2	2.79925
WFIKKN1	-0.8285
SERP1	1.691875
SYDE2	2.311
TACR2	1.0995
NUP85	-0.4535
CD177	-0.393833333333333
LGR5	-1.5685
PIGG	0.638
PTHR1	-1.32283333333333
RAB5A	0.4386
FLJ13224	-0.188
USP9Y	-1.3696
C7orf53	-2.0315
LRP1B	-0.33625
XAF1	0.3138
ABCG8	-0.936
ANKDD1A	-0.583666666666667
DAND5	-2.173
SPAG6	0.0333333333333333
LINCR	1.5795
ZDHHC22	-1.706875
CCDC60	0.3255
THOC7	-1.1205
TCTA	1.2262
OR8K3	0.39025
NY-REN-7	-0.62925
B2M	0.710833333333333
C6orf141	-1.415
LPPR4	2.852
SQLE	-2.479
SEPHS1	-0.848
BTBD14B	0.383142857142857
PLRG1	-0.2505
SPG7	-0.6038125
ZNF614	-0.551833333333333
PARD6G	0.658166666666667
INPP5B	-0.012
GRPEL2	-0.3795
PPID	-0.9598
TRIM56	-0.5895
UBE2J1	-0.437
IL20RA	5.64025
LOC387856	0.741
C1orf107	0.39475
UTS2R	1.11775
C19orf22	-0.048
SAFB2	0.210375
KIAA0652	0.184625
KLRG1	-0.163833333333333
MS4A8B	3.26266666666667
FRAG1	0.458
KIAA1546	0.15525
E2F4	-1.4366
CLEC4M	0.851333333333333
BTBD14A	-1.4065
KIAA0999	0.657
GYPA	-4.1585
TAC1	2.782
TRAIP	-1.49466666666667
KIAA0232	0.899
ERCC8	-1.73625
GPX4	0.29375
KIAA0368	0.837125
GPR157	-1.08033333333333
CTAGE4	0.6565
C9orf30	-1.48316666666667
OR52A1	0.0815
HSP90B3P	-0.552
ALG9	-0.9345
BTBD10	0.77425
SDK2	0.03675
BAIAP3	2.01375
RABGGTB	-0.896125
ANKRD40	-0.0696666666666667
KRT74	0.4905
CALCOCO2	0.502857142857143
SNCA	-2.87925
TMSL8	-1.979
C2orf53	-0.399
ESRRB	-0.185
ARHGAP26	-1.219125
TDRD9	-1.8435
HRAS	-0.464833333333333
KLRC4	-2.3165
JAGN1	0.209833333333333
BSDC1	0.53275
RNF43	0.4587
NDUFAF1	-0.54625
PHF12	0.01875
OR1L3	-0.2245
FOLR2	1.65825
LYZL6	0.322166666666667
tcag7.1260	-1.8145
WSB1	-1.84666666666667
PROS1	-0.1971
OSTN	0.586
PSMB8	0.434
SOCS4	-0.13975
DDIT4L	3.6175
MAS1	0.602
MGC34796	0.9095
CSHL1	-0.00216666666666666
TBCCD1	0.509333333333333
ZBTB7C	-0.209
AP2S1	0.113
P15RS	-0.1167
VAT1	-0.5579
SHANK3	1.1585
TUFM	0.2605
THEG	0.15825
KRT34	-2.01575
SGSM3	-0.585
TOMM22	-0.657875
SOCS3	1.60816666666667
CPO	0.461
POP4	-0.0295
BHLHB3	4.0465
MALL	1.5935
OR1B1	0.098
PARK2	1.15883333333333
GPR124	0.57475
LCE1E	0.6635
RUVBL2	-0.45975
CGRRF1	0.5925
ACPL2	0.7715
WNT10B	-2.1715
BAIAP2L2	-2.091625
ISCA1	0.9255
C1orf125	-0.2415
RPAP1	-1.4685
RAI16	-0.140666666666667
RPL27	-0.423875
NLRP9	0.172
EPN1	0.3165
LOC388610	0.9725
SLC35A1	1.6972
GAL	-3.02675
SLC14A2	0.313
RDH11	-0.726166666666667
FAM138F	0.056
AUH	0.053
FLJ40243	0.0705
C14orf129	0.4005
MBD2	-0.688333333333333
ABHD14B	0.34175
PIGT	-0.18225
ALS2CR4	-0.33725
ALAS1	-0.1879
FOXO1	1.25916666666667
CRLF3	-0.3365
C20orf107	-0.5155
FARS2	1.1845
CCDC28A	1.60425
NPHP3	-1.57275
OR13F1	0.3075
TSEN54	0.00175
DEFB106B	0.3472
OR8B4	0.5615
STH	-0.25675
ZC3H14	-0.57
CBX2	0.306
TMEM49	-1.14125
C6orf21	0.345
FLJ20920	1.08675
CRTAP	0.319571428571429
DDX50	-0.17425
STYXL1	0.0705
BLVRB	-0.277833333333333
LOC147650	-0.6655
MMP24	0.587
GRID1	0.9965
BANF1	-0.231
CTAGEP	0.393
HMBS	-2.66925
SLC25A24	0.235166666666667
C14orf50	2.95975
MRO	0.114833333333333
SLC25A15	-0.91775
FAM84B	1.7154
TDP1	-1.4975
C16orf78	0.244666666666667
C11orf57	-0.41275
RFK	-0.22225
ZFYVE9	-1.4435
STCH	-1.6753
WIBG	0.86875
LOC283871	-0.233833333333333
GBA2	-0.5649
NDUFB3	-0.53775
HSD17B13	-0.18775
GRIN3A	0.582
FMNL1	-0.734333333333333
SEPT7	-0.0526
GNLY	2.0965
GRAMD1C	1.9095
ZNF165	0.1165
USP38	0.827
FAM83A	-3.14483333333333
C14orf24	0.665666666666667
ARMCX3	0.542
ARHGDIB	0.539666666666667
AK1	0.204125
KIAA1045	1.1555
DNAJB13	-0.317
NEU2	0.4835
HIST1H4B	-0.953666666666667
FAM20B	-0.6147
HES2	-0.0595714285714286
FAM73B	-0.6113
LOC388381	0.428
INTS7	-0.544272727272727
AMPH	1.4695
ZNF775	-0.074875
UCKL1	-0.237
C10orf97	0.01825
C1orf161	-0.00574999999999998
ALDH1L1	-0.81675
FLJ39378	0.13925
SLC23A1	-1.8365
RBM4B	-0.0605
THAP4	0.634833333333333
OGFRL1	0.514
KIAA0831	-0.085
PPP1R15A	-0.514333333333333
C1orf96	-0.697714285714286
C12orf11	-1.76125
BMF	0.097625
MAN1A1	0.62375
KIAA1600	0.594
NLGN4X	0.19925
ALOX12	-1.51583333333333
RB1CC1	-0.0292
NEIL2	0.498
EIF4E	-0.103045454545455
ABHD5	-0.21175
EXOC4	0.0788333333333333
CIP29	0.059
BATF2	2.259
SLC29A4	-0.905125
HTR4	0.1925
EMB	-0.0225
TRAF6	0.41525
LMNB1	-2.24275
FAM19A5	-0.090375
SHE	1.85975
PIK3C2B	0.4625
C15orf15	-0.813
USP15	0.2488
TCEAL2	1.80375
C5orf39	-0.421166666666667
PTGER2	-1.1405
SLC31A1	-0.6691875
IFT172	0.41825
ADAM29	0.351
GFOD1	-0.27025
ST7L	0.181833333333333
C15orf26	-2.37725
PKN3	-0.67475
CNTD1	3.383
COMMD1	0.18825
NTRK2	3.51
FOXN3	0.11725
MFGE8	-0.1416
PFKFB2	0.171
TAS2R4	-0.35825
ENTHD1	0.721666666666667
PRMT5	-0.488125
MGC16384	-1.962125
LOC442229	-1.01975
TSKU	0.982875
KRTCAP3	1.880375
PDLIM1	0.7538
KCNS2	0.132
RNF126	-0.0173333333333333
CEP63	-0.247375
CLIC4	0.225
hCG_1990170	-0.08825
ACR	1.0013
KLK7	1.5485
ALOX5AP	2.684625
RIPK3	3.32675
TAS2R9	0.2825
C19orf18	1.3035
BIRC6	-0.0547857142857143
ZNF16	1.1125
RFT1	-0.702
SLC8A2	-0.0675
TACC1	-0.122375
ITGAD	1.1045
SAMHD1	0.682
SH3PXD2B	0.9818
EPC2	1.321
C20orf85	3.157625
ATP13A2	-0.2055
KRT4	0.2615
CAPNS1	0.65075
MDM2	-0.215083333333333
PCDH20	1.82275
KCNK9	0.525
OR2C1	0.3005
KLHDC3	-0.127666666666667
IPPK	0.8665
EFHD2	-0.549125
GALR3	1.048
NBEA	-0.185
ABCA6	2.5617
CLDN3	1.84333333333333
AKT2	-0.630285714285714
EGFR	-1.6836
RBM16	0.61275
ZDHHC3	0.5973
SLC25A4	0.132166666666667
CYB5B	-1.08983333333333
CPXM1	0.25225
NDRG1	-1.31984615384615
FLJ43826	0.23275
OR5L2	0.156833333333333
FARP2	0.2627
MRPL46	-0.360166666666667
LDHAL6B	-0.265833333333333
MAPKAPK3	0.0216666666666667
NCAM2	-1.3085
PRKD2	0.131833333333333
ZFP36L1	0.4669
CYSLTR1	-0.10025
OR4C3	0.3585
HIST1H2AJ	2.751
CCNB2	-2.69466666666667
ZNF10	-0.57425
TMEM175	0.77
FAM134A	1.20433333333333
TIGD4	0.6035
PCNP	-0.30225
MGC39715	1.01025
LQK1	-0.94225
CREB1	0.5134
TMPRSS3	2.409
C4orf32	0.349
LAT	-1.24441666666667
KCNA3	0.064
SKIV2L2	-0.51775
ROPN1B	0.90975
tcag7.23	-0.163
CDT1	-3.246
ZHX2	1.376125
CD28	-2.26725
ZNF624	1.25375
SEPT2	0.0665833333333333
SOHLH2	-1.746625
MCOLN3	-0.635125
UNQ1945	0.71
MASP2	-0.8295
ZNRF3	-0.4021
GPATCH3	-0.01075
AGL	-0.069125
QRICH2	-0.349
PSD4	1.17983333333333
CCNB1IP1	-1.3545
ENPP7	-0.10475
OBFC1	0.26775
KCNG3	-1.39075
C14orf79	1.08466666666667
ENPEP	1.6175
SCT	0.938
SKI	0.924
SEC61G	-1.9495
CAPN11	0.50725
ATXN7L3	0.19175
DBNDD1	0.291833333333333
FAIM	-0.228
ANKRD36	-1.5085
GABRP	3.70416666666667
TACSTD2	1.91083333333333
EIF3J	-1.25525
PPP2R2A	-0.024
TEKT4	-0.676
PVALB	-3.47733333333333
F10	-2.20183333333333
FAM134C	1.2757
COMP	4.01525
EFCBP1	-2.2318125
SCLT1	0.343
TAL1	-0.9703
ACSL1	0.14975
ABCC5	-0.683916666666667
ABL1	-0.536111111111111
RBBP7	0.117916666666667
PTPRG	-0.589125
NCOR1	0.0574
SPINK4	3.72933333333333
TXNRD1	-1.3743
TNRC15	1.1755
C9orf138	0.266625
UBE2H	0.45
BRDT	0.459
C8orf31	-0.32
CCNE2	-1.65972727272727
SLC6A8	-1.45375
CALCR	-2.71125
PPP1CB	1.09175
ABHD8	0.59975
ARF5	0.7164
SLC24A4	0.70425
CCT3	-0.064
ZNF121	-0.17875
SLC3A2	-0.6023
OR13A1	0.249
SLC5A10	0.684
RAD50	0.0765
IER5	0.45175
MTHFD1L	-2.3365
MBTPS2	0.2645
MVK	-0.575625
NCL	-0.3742
PSMD10	-0.405
MOBP	0.364875
FLJ32894	-0.0745
HRH1	0.3655
C5orf30	0.77525
NUDT16L1	1.7329
RASGRP3	3.1245
PRKRIP1	-0.8778
CCDC75	0.2455
LOC253970	0.45075
KIAA1239	0.30925
MED21	-0.63
SYT11	0.508416666666667
NTSR2	0.2225
EGFL11	-0.741
CXorf59	1.431
OR2A25	0.2045
SPTBN2	-1.6465
LRMP	-1.96533333333333
RNF111	-0.27925
PTH	0.4005
LOC619208	1.10883333333333
KIAA0895	1.53025
RANBP5	0.927125
P2RY10	1.14683333333333
NME5	4.159
DDX21	-1.1595
LRSAM1	1.0015
HDAC11	1.71616666666667
VMO1	0.45625
NOLA2	-0.302
ADAR	-0.113833333333333
MTO1	-1.15883333333333
SF4	0.1855
P2RX1	-0.243
HBM	0.06975
EN2	1.5955
C14orf172	-0.24075
TM9SF2	0.5949
INHBE	-1.34966666666667
TCTE3	0.0251666666666668
TOX2	-2.23725
CTAGE3	0.644375
HBB	3.4845
MED15	-1.22183333333333
CASR	0.3255
C6orf66	-1.51916666666667
MTPN	0.0585
UNC50	-0.2995
C21orf33	-0.0895
IRF2	0.748125
PGR	-0.138666666666667
GPR84	1.0835
CROCCL1	-4.051
SRPX	-1.559
BRE	0.470166666666667
FGF10	6.10625
SDC3	1.51816666666667
ZRSR1	-0.0478333333333333
DKFZP434P211	-0.464875
SOX6	0.445
RPUSD2	-0.8115
C14orf173	-0.312
MAPK11	-0.2275
TBC1D22A	0.055
FAM123A	-0.714
COL4A6	-1.9565
TOMM70A	0.11625
NAB1	0.14775
MGC16385	-0.255125
TSPAN18	0.166166666666667
MED31	-0.6785
PLG	0.15025
CAPSL	4.688
ZNF532	0.2261
ASB14	0.0755
CA8	0.7675
NUDT16P	1.27183333333333
SLFN11	-0.9095
LRRIQ2	0.333875
NOL7	-0.641
BRMS1L	-0.841375
JARID1A	0.412666666666667
PANK2	-0.29525
ICAM3	-0.0675
MDS1	-0.39025
TAF8	0.083
RNF139	0.5975
ZNF594	-0.531333333333333
ADAM8	1.204875
SFTPC	-0.218375
MAN2B2	0.98625
RGS12	0.407
EIF1AY	-4.33691666666667
LRRIQ1	1.03133333333333
GPR150	1.11075
CCDC21	-0.96
PRRG3	0.63625
SAA4	-2.839
RAPGEF5	1.712875
ZCCHC2	-0.419333333333333
MGC39372	0.9575
PPP4R2	0.0111666666666667
CDCA2	-1.79233333333333
OR4D5	0.577333333333333
PTGFRN	0.1062
SIGLEC5	1.172
C19orf61	0.0583333333333333
NMUR2	-0.1015
KIAA1586	-0.702833333333333
DAGLA	-0.0531666666666667
CHCHD6	-0.18175
GPR32	0.4975
NEUROD6	0.195166666666667
SLC2A4RG	0.1783125
CA5B	-0.36575
FBXL3	1.773
MPHOSPH9	-1.52875
HMG2L1	0.10125
HCN4	0.961
CEACAM19	0.40175
SH2D4B	0.307833333333333
HFE2	-0.919
TGM4	0.4545
LYPD2	0.14625
TBC1D15	-0.257
MRPS21	-0.5896
NONO	-0.7399
CLEC5A	1.0515
ITCH	-0.2933
MGAT3	-0.580666666666667
MBP	-0.486375
RPP25	-1.209
SOSTDC1	4.276
HRC	0.7835
TRIM48	-0.451
TMEM133	0.08525
ECEL1P2	-1.21975
HOXC11	-0.8075
DOK5	-0.26325
HELZ	0.779666666666667
LOC348180	-1.24575
MGC33894	-0.12
ADRB3	0.8215
DMD	0.15325
PTRH2	-0.7985
MPEG1	3.12433333333333
NDUFA12	-0.336666666666667
KRTAP2-4	0.239166666666667
STAMBPL1	-1.65183333333333
ADCY2	1.4995
UNQ6125	-0.0245
KLHL20	-0.0126666666666667
SRM	-1.675
OTC	0.00699999999999999
TMIE	0.00433333333333335
SNX8	-0.18575
LIPK	0.482
CHURC1	-0.09575
KLC2	0.3075
HDAC1	-0.0448333333333333
FAM128A	0.666
FNDC3B	-1.2056
MTCP1	-0.490833333333333
WFDC10B	0.2269
PCDHGB3	0.109
ATRNL1	-2.0395
CAV2	-0.41025
MED26	0.135
DUS1L	0.57175
CHRM3	-1.809625
NEK9	1.0325
WARS2	0.446
TBX22	0.094
TOMM40	-0.841
RP6-213H19.1	-2.41733333333333
TUBGCP5	-0.56625
IGSF6	4.7095
TPPP	0.5495
UNQ6190	-0.0295
GSTM5	1.140125
BTD	1.46133333333333
PDCD1LG2	0.277833333333333
SNRPB2	-0.608333333333333
ERICH1	-0.526
APOA4	-1.680375
HOXA11	-2.3415
NARG1	-0.675
MKX	0.143
RAB28	-0.180928571428571
PKP3	0.08575
SH3GL2	1.87325
CTSO	2.97725
RPN2	-0.1540625
IL28RA	0.3935
SFMBT1	0.1715
WDR57	-0.069125
FER1L3	0.648666666666667
HSF5	0.5112
TTC9B	-0.06775
C4BPA	-0.402833333333333
ALB	-3.60485714285714
SORBS3	0.42875
UPF2	-0.5375
JPH1	-0.4115
AGBL2	-0.47125
DOPEY1	1.042
TERF1	-0.516333333333333
KIF22	-0.147333333333333
NINJ1	1.487
SEC61A2	-1.3215
HIST1H1D	0.268833333333333
SFXN4	-0.424375
UCP3	0.0124
ZNF703	1.04133333333333
MYL6B	-0.016
TREM1	0.54675
OR52E6	-0.0505
CKMT2	0.87875
HLA-C	1.903
SLC13A3	-1.47266666666667
TIMP4	-1.7755
SLIT2	2.9485
RSF1	0.350277777777778
LONRF1	-1.07985714285714
MON1A	-0.191833333333333
CACNG6	-0.7255
DPPA4	-4.88733333333333
ZSWIM3	0.846
ZNF804A	0.294166666666667
CCIN	1.1305
SLC25A31	0.313
KCNMB4	-0.435
RABL5	0.89725
GALNS	-0.9564
STX6	0.7125
HIST1H1C	-1.465
CIDEB	0.198125
CASP4	-0.710833333333333
PDK3	-0.0326
KCNJ11	1.968
TPR	-0.81375
ZSCAN20	-0.516
MTX2	-0.06625
HIST1H2BH	0.51325
LOC283767	0.24075
LYRM7	-1.50222222222222
BRD3	0.3405
HIST1H2BO	0.35325
MAGEB10	0.4015
SLC45A1	1.509
SERPINA3	1.36755
KIAA0143	0.67525
KCNJ16	1.337
KRT79	-0.1425
FABP2	-0.2125
NUT	-0.10975
ZNF57	-0.5825
FBXL4	0.76425
CLEC9A	1.988
UGT8	-0.9775
BMP2K	-0.0985
MAPK4	-3.139
SLC25A23	-0.2324
HINT1	-1.134
KRTAP13-1	0.44
SFXN5	-0.2609
CHCHD2	-0.0301666666666667
FAM3D	1.8655
NDP	-1.730375
RHOBTB1	-0.175
SLC4A4	-1.165875
RPL38	0.012
HTF9C	-1.07933333333333
AP2A2	0.249125
ZBTB46	-0.707
MAP7D1	0.14925
AOX1	-1.2605
CYR61	1.37666666666667
DTNA	0.1715
JRKL	-0.23575
TMOD3	1.378
EEA1	-0.4011
ADCK5	-1.3165
IL1R1	0.617666666666667
KLK3	0.582214285714286
HRSP12	-1.1375
KTN1	-0.23625
LOH11CR2A	0.8517
RELL2	-1.4725
MAB21L1	1.2895
C20orf59	-1.1335
PHKB	2.0425
ADAM2	-1.42066666666667
TBC1D8B	1.58833333333333
FAM13A1	-1.4620625
LAPTM4B	0.421583333333333
LCN8	-0.4545
TMEM147	0.194
SYT4	0.703666666666667
XPO7	-0.655
C9orf62	1.18375
GPR75	0.303
TRIM5	0.192125
APOC1	-1.03166666666667
RNASE4	1.251
PARD6B	-0.6815
ARID1A	0.513083333333333
TPD52L3	0.164222222222222
RRAGB	0.865833333333333
RCN2	-0.6515
HIST2H2BE	1.435125
STARD7	0.122
SHMT2	-1.61975
KIAA1751	0.0755
MLYCD	0.18375
LOC162632	-0.3748
UQCRH	-1.403
RP11-217H1.1	0.1885625
SDHA	-0.821333333333333
NCLN	-0.8609
ZNF17	0.578666666666667
RCBTB2	-1.28975
VEGFB	-0.3381
RP4-747L4.3	-0.209
COLQ	0.0522
MPN2	-1.26116666666667
DRG2	0.00575
KLRB1	5.11875
ALPK2	-2.1295
DNASE2B	0.458
FLJ23834	0.428
AXUD1	1.63016666666667
SAFB	0.0747
NSUN4	0.071
RFX2	0.8235
MAPK8IP1	0.154
FANCD2	-1.4605
ANKZF1	-1.89633333333333
C19orf50	-0.696125
DUSP8	2.34325
SENP5	-0.741
NFKBIL2	-0.78825
LBR	-1.738625
IGFL1	2.2465
LZTS2	0.076
IL2RG	-0.307875
CCDC51	-0.19075
KLF3	0.333625
ANKRD37	-0.537
KCTD14	0.391
FZR1	0.330583333333333
SLC44A4	3.82
ESPL1	-0.470125
GMPR2	0.1592
TBC1D19	-0.361833333333333
ERGIC1	0.739259259259259
ERBB4	4.0343
TSPAN32	0.0203333333333333
MAP4	0.0815
GPHN	0.4005
SLC6A2	0.066875
HIVEP1	0.4785
DFFB	-0.8529
EIF4EBP2	0.2545
DMRT1	-0.37925
HSPB6	-0.17275
IER2	0.4095
AIFM1	-0.3815
WWC2	-0.56225
MRPL4	-0.73675
FLJ21062	0.880666666666667
EPB41L4A	1.06733333333333
SH2D6	0.27375
TAF4B	-0.74575
GAL3ST3	-0.281
MALT1	-0.879333333333333
RTDR1	0.27925
ARVCF	-0.09625
MEX3B	-1.628
FBXO16	1.204
KIF7	-1.62675
C1QC	3.62666666666667
ZNF783	-0.543
ZNF85	0.37125
MMP13	3.478
KIAA0329	0.687
RTP3	0.01
ZBED3	-0.06275
CLGN	-2.14775
SLC25A37	-1.49479166666667
hCG_18290	-0.0015
OR5AS1	0.0135
SMARCC2	0.76075
FAM109A	-0.191333333333333
CCDC12	-0.12575
USF2	0.6028
DEPDC7	-2.2215
C20orf24	-1.056
JMJD3	-0.0445
DSP	-1.21392857142857
SLIC1	0.6005
FAM20A	0.883125
IRF2BP2	0.573714285714286
ZNF230	-0.735
MSN	-0.538071428571429
SLC9A5	-1.5785
EPDR1	-1.7917
MUSK	0.0466666666666667
ZNF434	-0.148
SMARCD1	-0.649333333333333
