Hybridization REF	TCGA-A8-A075-01A-11R-A084-07
KIAA0100	-0.3998
PMF1	-0.375
FNDC1	5.805
HS2ST1	-0.120583333333333
CRELD2	0.592
C8G	-1.075
CD82	1.7075
LIM2	-0.9255
UNQ6490	-0.8815
MMP16	-0.19125
DRD3	-0.25
C5orf26	-1.27025
C11orf73	-0.087625
PTP4A2	0.644375
OR4M2	0.4765
HPCA	-0.308
SEC14L1	-0.470333333333333
CHFR	0.33025
EMILIN1	1.162375
NDUFS4	-0.29325
COL18A1	-0.138875
PDZD3	0.1779
C9orf16	-0.649166666666667
ERBB2IP	-0.135
EMX2	3.50375
FUS	-1.00575
TF	-3.8642
CLCN4	-0.955
CXorf56	-0.2245
C11orf72	0.6265
ELAC2	-0.492166666666667
NPR1	-1.21975
ASS1	-1.00533333333333
USP42	-0.095375
POLR2J	-0.897
SEC23IP	1.10483333333333
UQCRC1	0.3055
LOC729603	-0.43625
C1orf71	0.18525
POLG	-1.365
ADAM23	-3.69775
TFR2	-1.43425
RICTOR	-0.8625
MGC39606	2.137
C19orf55	-0.241125
SNAPC1	-0.967333333333333
GNA11	0.786125
CCDC52	-0.656833333333333
FSIP1	5.2095
UPF3A	-1.03175
IGSF11	-2.465
LAGE3	0.99125
CHST6	-0.937
UNC13B	-0.1825
TTLL4	-0.83025
ZNF687	-0.128625
SDC2	-0.0847
COX7A2	0.49825
LAMB4	-0.1955
FAM24A	0.067
LRRTM3	-0.909
GPHB5	0.32775
OR4C13	0.121
EIF3EIP	-0.195285714285714
HABP4	-0.6795
TMEM125	3.6355
CNTN2	0.03275
ASNSD1	0.07575
FUT4	0.39275
ACF	-3.64825
LOC158381	0.197
CDH8	-0.33525
AGPS	-0.699
C4orf18	1.819375
PECI	0.275583333333333
UNG	-0.726125
GSTP1	0.088125
DCUN1D5	-0.0145
DKFZP564J0863	0.3765
SLC9A3R1	1.812
BCDO2	-0.766
CHMP7	-0.282
REM2	1.1295
DNHD1	0.198125
FKBP4	-0.06125
ZNF350	2.6955
MGC11102	0.895625
BST1	1.4945
KISS1R	1.111
NCR2	0.5745
DEFB125	1.664
UBE2W	1.669625
KRT15	-0.74975
C10orf99	0.619
SCN11A	-0.170571428571429
GFI1	-2.02475
RDHE2	6.16666666666667
FHL1	-0.9955
OSGEP	-0.580333333333333
GATA1	-3.25133333333333
SMC6	-0.8785
TTTY14	-0.91875
LPIN3	-0.00375
RPL4	-0.2733
RBPMS	-0.41
PRPF3	-0.685666666666667
EMR1	-1.968
SPATA19	-0.30125
XCR1	0.8485
IRX3	1.3342
RBM6	-0.401
KLF4	-0.2835
UNC5CL	-0.4465
SEBOX	0.0125
BTK	-0.19375
KRCC1	1.392
C6orf27	0.2235
SYTL5	-0.205
PRND	0.499875
LOC653319	-1.347
PIGL	-1.168
HUS1	0.342833333333333
SFRS6	0.461
C17orf77	0.296
UIMC1	-0.795333333333333
FXYD2	-1.6938
LOC283152	1.93175
ZNF667	0.75625
ZCCHC12	-0.282
TFEC	3.3285
ATP7B	1.76883333333333
POLD2	-0.501333333333333
RG9MTD1	0.1255
ACOT2	0.381166666666667
HIST1H4I	-0.415625
PPARGC1A	-2.1817
ETFA	-0.9116
POLRMT	-0.74625
ZNF146	0.038875
MIA2	-1.6255
KLHL6	0.384
HOXB5	0.626875
NENF	0.620166666666667
CUGBP1	0.91125
PRSS22	2.14033333333333
CASC4	0.9998
CUL4B	-0.4722
CENPJ	-0.9208
PITX1	1.33466666666667
FLJ31033	0.299333333333333
CELSR3	-1.51233333333333
ZNF568	0.8025
ITSN1	-0.206083333333333
EHBP1L1	-0.1905
C19orf2	-0.05075
DCTN1	0.53975
LIN28B	-4.04333333333333
TNKS2	-0.46175
C1QBP	-0.558875
CADPS2	0.37025
SRMS	0.87825
GJA9	0.238666666666667
MGC24975	-0.535833333333333
TRIM45	-1.32166666666667
TSP50	-0.15275
TCP1	-1.39675
TMED7	0.9699
CMA1	0.442
CENPL	-0.316
PTCRA	-0.009
FST	-4.07125
VWCE	-3.05275
PAWR	-0.278
ABCC12	3.28066666666667
LDLR	-1.2253
ASTN2	-0.5311
LOC441212	-0.550875
GPATCH8	-0.4525
TANC2	-0.53875
KIF4A	-1.4775
C18orf18	-2.27075
PGM1	-1.35375
KIAA0258	1.124
CPD	-0.02325
SNCAIP	-1.7495
DCT	-4.04933333333333
HLA-DOA	3.17804545454545
OR11L1	0.5885
UPK1B	-0.3192
DNAJB4	-1.30625
UGT1A8	-0.12625
HIST1H4L	-0.259
PECR	-1.09816666666667
HSPA2	0.3745
WFIKKN1	-0.0405
SERP1	1.477375
SYDE2	0.7235
TACR2	0.274
NUP85	-0.29125
CD177	-0.49
LGR5	-1.6745
PIGG	0.448083333333333
PTHR1	-1.08366666666667
RAB5A	0.5327
FLJ13224	-0.0815
USP9Y	-1.1272
C7orf53	-0.7215
LRP1B	-1.329
XAF1	2.015
ABCG8	-0.5795
ANKDD1A	-0.112333333333333
DAND5	-2.1335
SPAG6	3.439
LINCR	0.708
ZDHHC22	-1.666
CCDC60	0.4725
THOC7	-1.222
TCTA	1.0775
OR8K3	0.2005
NY-REN-7	-0.32425
B2M	1.59816666666667
C6orf141	-1.26075
LPPR4	0.54975
SQLE	0.08
SEPHS1	0.20525
BTBD14B	0.372642857142857
PLRG1	-0.8855
SPG7	-0.6435
ZNF614	0.728833333333333
PARD6G	0.1065
INPP5B	-0.3977
GRPEL2	-0.01675
PPID	-0.7674
TRIM56	-0.3825
UBE2J1	0.75725
IL20RA	3.99325
LOC387856	0.48325
C1orf107	0.755833333333333
UTS2R	0.79775
C19orf22	-0.538
SAFB2	0.00775000000000001
KIAA0652	0.528125
KLRG1	-0.6305
MS4A8B	0.806
FRAG1	-0.04925
KIAA1546	-0.58175
E2F4	-1.0622
CLEC4M	0.153666666666667
BTBD14A	-0.21675
KIAA0999	-0.0512
GYPA	-3.901
TAC1	-0.3295
TRAIP	-1.04316666666667
KIAA0232	1.1463
ERCC8	-1.20975
GPX4	-0.596625
KIAA0368	-0.694375
GPR157	-0.254333333333333
CTAGE4	0.784
C9orf30	-0.7855
OR52A1	-0.2575
HSP90B3P	-0.4215
ALG9	0.1353
BTBD10	0.6935
SDK2	0.1985
BAIAP3	0.75175
RABGGTB	-1.185375
ANKRD40	0.4075
KRT74	0.7875
CALCOCO2	-0.502214285714286
SNCA	-3.3835
TMSL8	-4.226625
C2orf53	0.421
ESRRB	0.01175
ARHGAP26	-1.341625
TDRD9	-2.127
HRAS	0.540833333333333
KLRC4	-2.5605
JAGN1	0.504
BSDC1	-0.5035
RNF43	-0.3033
NDUFAF1	0.35525
PHF12	0.37075
OR1L3	0.24425
FOLR2	1.82141666666667
LYZL6	0.651
tcag7.1260	-1.8945
WSB1	-1.753
PROS1	-1.2879
OSTN	0.658
PSMB8	1.4285
SOCS4	-0.03175
DDIT4L	0.24425
MAS1	0.003
MGC34796	1.537
CSHL1	0.6465
TBCCD1	-0.2725
ZBTB7C	0.261
AP2S1	0.494375
P15RS	-0.5807
VAT1	-0.8211
SHANK3	0.546
TUFM	0.0401666666666667
THEG	1.4575
KRT34	-1.67425
SGSM3	0.41925
TOMM22	-0.609625
SOCS3	0.631833333333333
CPO	-0.675
POP4	0.765
BHLHB3	0.5775
MALL	0.41475
OR1B1	0.0425
PARK2	0.363
GPR124	0.268125
LCE1E	-0.2485
RUVBL2	-0.0625
CGRRF1	0.8512
ACPL2	0.218
WNT10B	-0.7535
BAIAP2L2	-1.063
ISCA1	-0.757
C1orf125	0.360375
RPAP1	-0.55
RAI16	0.101666666666667
RPL27	-1.161125
NLRP9	0.313
EPN1	0.387
LOC388610	-2.409875
SLC35A1	1.2114
GAL	-3.55475
SLC14A2	0.29725
RDH11	0.140166666666667
FAM138F	-0.1775
AUH	-1.2915
FLJ40243	0.5275
C14orf129	0.673666666666667
MBD2	-0.646333333333333
ABHD14B	-0.022375
PIGT	0.79375
ALS2CR4	0.023375
ALAS1	0.3544
FOXO1	0.827166666666667
CRLF3	-0.8385
C20orf107	0.445
FARS2	0.82225
CCDC28A	-0.2695
NPHP3	-0.43125
OR13F1	0.5825
TSEN54	-0.30375
DEFB106B	0.448333333333333
OR8B4	0.447
STH	-0.279
ZC3H14	-0.410125
CBX2	-0.465
TMEM49	-1.53625
C6orf21	0.4565
FLJ20920	-0.326875
CRTAP	-0.344071428571429
DDX50	-0.03475
STYXL1	-0.46125
BLVRB	0.507333333333333
LOC147650	0.0416666666666667
MMP24	-0.15925
GRID1	0.987166666666667
BANF1	-0.0135
CTAGEP	0.5625
HMBS	-1.4245
SLC25A24	-0.301666666666667
C14orf50	0.516
MRO	1.201
SLC25A15	-0.5245
FAM84B	2.8306
TDP1	0.533
C16orf78	0.123166666666667
C11orf57	0.423375
RFK	-1.08025
ZFYVE9	-0.319875
STCH	0.191
WIBG	1.08975
LOC283871	-0.0818333333333334
GBA2	-0.6594
NDUFB3	-0.0165
HSD17B13	-0.3315
GRIN3A	1.8115
FMNL1	-0.2885
SEPT7	-0.1308
GNLY	4.8205
GRAMD1C	0.330833333333333
ZNF165	0.0285
USP38	0.51975
FAM83A	-1.5255
C14orf24	0.288333333333333
ARMCX3	0.152625
ARHGDIB	0.75
AK1	0.3775
KIAA1045	-0.21425
DNAJB13	0.0498333333333333
NEU2	0.4045
HIST1H4B	-0.319833333333333
FAM20B	0.6477
HES2	0.920285714285714
FAM73B	-0.07
LOC388381	-1.022
INTS7	0.218
AMPH	1.193
ZNF775	-0.106
UCKL1	-0.556666666666667
C10orf97	1.05525
C1orf161	0.64425
ALDH1L1	-1.45575
FLJ39378	-0.38675
SLC23A1	-0.534
RBM4B	0.1185
THAP4	0.147333333333333
OGFRL1	0.3045
KIAA0831	-0.034
PPP1R15A	-0.3265
C1orf96	0.0585000000000001
C12orf11	-1.82725
BMF	0.765375
MAN1A1	0.000499999999999999
KIAA1600	0.7955
NLGN4X	-2.4475
ALOX12	-0.550833333333333
RB1CC1	-0.0623
NEIL2	-1.1508
EIF4E	-0.319954545454545
ABHD5	0.01975
EXOC4	-0.617833333333333
CIP29	-0.170166666666667
BATF2	1.5205
SLC29A4	-0.85775
HTR4	0.56675
EMB	-0.00950000000000001
TRAF6	0.89225
LMNB1	-1.16175
FAM19A5	0.10725
SHE	1.4555
PIK3C2B	1.69475
C15orf15	-0.2768
USP15	0.1931
TCEAL2	-0.56625
C5orf39	-0.938166666666667
PTGER2	-0.74275
SLC31A1	0.0355
IFT172	-0.24725
ADAM29	0.154
GFOD1	0.50625
ST7L	0.413833333333333
C15orf26	-1.20975
PKN3	-0.4535
CNTD1	3.13216666666667
COMMD1	0.390875
NTRK2	1.848
FOXN3	-0.214875
MFGE8	-1.0565
PFKFB2	0.760833333333333
TAS2R4	0.13
ENTHD1	1.91
PRMT5	-0.82225
MGC16384	-0.3825
LOC442229	-0.3045
TSKU	1.04925
KRTCAP3	1.70375
PDLIM1	1.065
KCNS2	0.20425
RNF126	-0.599
CEP63	0.3845
CLIC4	-0.75775
hCG_1990170	-1.22225
ACR	0.366
KLK7	-0.51775
ALOX5AP	3.63375
RIPK3	3.95775
TAS2R9	0.355
C19orf18	1.452
BIRC6	-0.0444285714285714
ZNF16	1.667
RFT1	-0.1205
SLC8A2	-0.212
TACC1	-0.069875
ITGAD	1.60725
SAMHD1	1.3325
SH3PXD2B	0.9299
EPC2	-0.16575
C20orf85	5.161
ATP13A2	0.12
KRT4	2.09425
CAPNS1	0.11075
MDM2	-0.2025
PCDH20	1.2105
KCNK9	1.4815
OR2C1	0.263
KLHDC3	-0.484833333333333
IPPK	0.031
EFHD2	0.005
GALR3	0.83775
NBEA	0.182333333333333
ABCA6	1.5326
CLDN3	-0.3515
AKT2	-0.464642857142857
EGFR	-2.4056
RBM16	0.203
ZDHHC3	0.883
SLC25A4	-0.150166666666667
CYB5B	-1.23216666666667
CPXM1	-0.09175
NDRG1	0.116461538461538
FLJ43826	0.521
OR5L2	0.228166666666667
FARP2	0.2784
MRPL46	-0.230583333333333
LDHAL6B	0.547166666666667
MAPKAPK3	0.293
NCAM2	-0.737
PRKD2	0.585833333333333
ZFP36L1	0.4357
CYSLTR1	-0.0555
OR4C3	0.04125
HIST1H2AJ	0.7145
CCNB2	-1.08822222222222
ZNF10	-0.023875
TMEM175	0.628
FAM134A	0.747833333333333
TIGD4	-0.4005
PCNP	-0.71025
MGC39715	-0.17125
LQK1	-0.62925
CREB1	0.274
TMPRSS3	-0.07625
C4orf32	0.235
LAT	-1.11216666666667
KCNA3	2.2035
SKIV2L2	-0.58625
ROPN1B	-4.42325
tcag7.23	-0.2035
CDT1	-2.135
ZHX2	0.768
CD28	-2.7375
ZNF624	0.21225
SEPT2	0.407083333333333
SOHLH2	-2.004375
MCOLN3	0.215125
UNQ1945	0.5515
MASP2	-0.919
ZNRF3	-0.7758
GPATCH3	-0.456
AGL	2.04875
QRICH2	-0.399
PSD4	1.31583333333333
CCNB1IP1	-2.06675
ENPP7	0.185
OBFC1	0.94225
KCNG3	-2.77525
C14orf79	0.7375
ENPEP	0.976833333333333
SCT	1.563
SKI	0.99975
SEC61G	-0.21425
CAPN11	0.2605
ATXN7L3	0.0835
DBNDD1	-0.000333333333333335
FAIM	0.31175
ANKRD36	-0.3345
GABRP	-0.700333333333333
TACSTD2	0.66
EIF3J	-0.25625
PPP2R2A	-0.416
TEKT4	0.330833333333333
PVALB	-3.35033333333333
F10	-2.70183333333333
FAM134C	0.7514
COMP	4.76425
EFCBP1	-3.1019375
SCLT1	-0.347625
TAL1	-1.5049
ACSL1	1.56425
ABCC5	1.50916666666667
ABL1	-0.403277777777778
RBBP7	0.7855
PTPRG	-0.537375
NCOR1	-0.4334
SPINK4	3.17116666666667
TXNRD1	-1.1356
TNRC15	1.19775
C9orf138	1.026625
UBE2H	0.190166666666667
BRDT	0.5365
C8orf31	-0.04625
CCNE2	0.927181818181818
SLC6A8	-1.046125
CALCR	-4.379
PPP1CB	0.267916666666667
ABHD8	-0.2245
ARF5	0.1029
SLC24A4	0.95125
CCT3	-0.099
ZNF121	0.0415
SLC3A2	-0.5643
OR13A1	0.4415
SLC5A10	-0.5195
RAD50	-0.11025
IER5	-0.212875
MTHFD1L	-1.680375
MBTPS2	0.481
MVK	-0.680125
NCL	0.00300000000000001
PSMD10	-0.82675
MOBP	1.242125
FLJ32894	-0.16
HRH1	0.337166666666667
C5orf30	1.15975
NUDT16L1	1.0979
RASGRP3	3.48833333333333
PRKRIP1	-0.6607
CCDC75	0.581
LOC253970	-0.2835
KIAA1239	0.46125
MED21	0.05425
SYT11	0.212
NTSR2	-0.624
EGFL11	-0.226
CXorf59	0.7425
OR2A25	0.354
SPTBN2	0.80975
LRMP	-0.8555
RNF111	0.10325
PTH	0.658
LOC619208	0.585833333333333
KIAA0895	0.19575
RANBP5	-1.14575
P2RY10	2.82466666666667
NME5	1.175
DDX21	-0.6755
LRSAM1	0.542
HDAC11	1.86766666666667
VMO1	2.53875
NOLA2	-0.714833333333333
ADAR	0.378583333333333
MTO1	-0.529333333333333
SF4	0.179333333333333
P2RX1	0.994333333333333
HBM	0.2525
EN2	1.1295
C14orf172	0.27075
TM9SF2	0.6248
INHBE	-1.32583333333333
TCTE3	-0.0135833333333333
TOX2	-2.85575
CTAGE3	0.764875
HBB	3.2228
MED15	-0.856833333333333
CASR	0.12575
C6orf66	-0.743166666666667
MTPN	-0.58175
UNC50	0.123
C21orf33	-0.07625
IRF2	0.656875
PGR	-1.07133333333333
GPR84	3.00475
CROCCL1	-2.17
SRPX	-0.77225
BRE	0.463666666666667
FGF10	0.12125
SDC3	-0.129166666666667
ZRSR1	0.214
DKFZP434P211	-0.17925
SOX6	0.575
RPUSD2	0.218
C14orf173	-0.1255
MAPK11	-0.539833333333333
TBC1D22A	0.4155
FAM123A	-0.0585
COL4A6	-3.497
TOMM70A	-0.05075
NAB1	-0.20575
MGC16385	0.1295
TSPAN18	0.46
MED31	-0.54425
PLG	-0.3375
CAPSL	2.8615
ZNF532	0.5818
ASB14	0.0825
CA8	0.23
NUDT16P	0.8685
SLFN11	0.585
LRRIQ2	0.45325
NOL7	-0.117833333333333
BRMS1L	-0.19675
JARID1A	-0.0695
PANK2	-0.978
ICAM3	-0.218
MDS1	-0.95375
TAF8	-0.22075
RNF139	1.8045
ZNF594	-0.197
ADAM8	4.180375
SFTPC	-0.03
MAN2B2	1.398125
RGS12	0.5740625
EIF1AY	-4.79216666666667
LRRIQ1	-0.459333333333333
GPR150	1.046
CCDC21	-1.52883333333333
PRRG3	0.7095
SAA4	-4.09575
RAPGEF5	0.633
ZCCHC2	-0.0105833333333333
MGC39372	1.32
PPP4R2	0.910666666666667
CDCA2	-1.0575
OR4D5	0.665666666666667
PTGFRN	0.9642
SIGLEC5	1.59033333333333
C19orf61	0.4245
NMUR2	0.317
KIAA1586	-1.3395
DAGLA	0.071
CHCHD6	-0.24075
GPR32	0.778
NEUROD6	0.2655
SLC2A4RG	0.32775
CA5B	0.47075
FBXL3	0.79
MPHOSPH9	-1.13275
HMG2L1	-0.22425
HCN4	0.491
CEACAM19	1.06925
SH2D4B	0.513833333333333
HFE2	-0.87
TGM4	0.401833333333333
LYPD2	-0.11675
TBC1D15	0.581
MRPS21	-0.6458
NONO	-1.4328
CLEC5A	2.490125
ITCH	0.0563
MGAT3	-0.687333333333333
MBP	-0.602375
RPP25	-0.1715
SOSTDC1	-3.67075
HRC	-1.8045
TRIM48	0.191
TMEM133	-1.11975
ECEL1P2	-0.8185
HOXC11	2.427
DOK5	-0.31075
HELZ	-0.320333333333333
LOC348180	-1.032
MGC33894	0.286
ADRB3	0.475
DMD	-0.455666666666667
PTRH2	-0.42525
MPEG1	3.5025
NDUFA12	-0.232333333333333
KRTAP2-4	0.102916666666667
STAMBPL1	-0.811
ADCY2	-0.5652
UNQ6125	-0.033
KLHL20	-0.021
SRM	-1.00625
OTC	-0.09875
TMIE	0.371666666666667
SNX8	0.542
LIPK	-0.3045
CHURC1	0.127
KLC2	0.291166666666667
HDAC1	-0.437333333333333
FAM128A	0.551166666666667
FNDC3B	0.2841
MTCP1	-0.745666666666667
WFDC10B	0.561
PCDHGB3	0.2915
ATRNL1	-2.3614
CAV2	-1.16675
MED26	-0.295166666666667
DUS1L	0.04025
CHRM3	-1.75175
NEK9	0.88475
WARS2	0.166
TBX22	-0.657
TOMM40	-0.081
RP6-213H19.1	-0.611666666666667
TUBGCP5	-0.3815
IGSF6	5.2895
TPPP	0.848333333333333
UNQ6190	-0.1615
GSTM5	0.296375
BTD	0.915666666666667
PDCD1LG2	1.09216666666667
SNRPB2	0.219833333333333
ERICH1	-1.097875
APOA4	-1.87825
HOXA11	-1.487
NARG1	-0.575375
MKX	-1.28725
RAB28	-0.286857142857143
PKP3	1.341
SH3GL2	-2.9455
CTSO	1.82625
RPN2	0.0733125
IL28RA	0.189333333333333
SFMBT1	0.3545
WDR57	-1.13725
FER1L3	0.322166666666667
HSF5	-0.0508333333333333
TTC9B	0.04375
C4BPA	-3.9615
ALB	-4.30292857142857
SORBS3	-0.099125
UPF2	-0.4635
JPH1	1.299
AGBL2	-0.58425
DOPEY1	1.643
TERF1	0.1095
KIF22	-0.247166666666667
NINJ1	1.2695
SEC61A2	-0.52625
HIST1H1D	0.273333333333333
SFXN4	0.03575
UCP3	0.8266
ZNF703	1.00033333333333
MYL6B	-0.5235
TREM1	3.3625
OR52E6	0.704
CKMT2	0.9675
HLA-C	2.441875
SLC13A3	-0.907333333333333
TIMP4	-2.187
SLIT2	0.38875
RSF1	0.114277777777778
LONRF1	-1.4105
MON1A	0.231
CACNG6	-0.965
DPPA4	-5.42583333333333
ZSWIM3	0.64725
ZNF804A	0.0969999999999999
CCIN	1.0825
SLC25A31	0.493
KCNMB4	0.69875
RABL5	-0.13525
GALNS	-0.3111
STX6	1.2265
HIST1H1C	0.233166666666667
CIDEB	-0.978
CASP4	0.472666666666667
PDK3	0.5029
KCNJ11	1.4735
TPR	-0.461625
ZSCAN20	-0.162
MTX2	-0.6365
HIST1H2BH	0.22
LOC283767	1.17725
LYRM7	-1.35338888888889
BRD3	0.6635
HIST1H2BO	-0.08325
MAGEB10	0.6255
SLC45A1	0.05825
SERPINA3	1.0014
KIAA0143	1.874
KCNJ16	-0.134833333333333
KRT79	0.98575
FABP2	-0.46025
NUT	0.14325
ZNF57	-0.9775
FBXL4	0.74375
CLEC9A	0.158
UGT8	-1.5615
BMP2K	0.159
MAPK4	-3.87825
SLC25A23	-1.1933
HINT1	-0.7713
KRTAP13-1	-0.0735
SFXN5	-0.0364
CHCHD2	0.342833333333333
FAM3D	2.814
NDP	1.24175
RHOBTB1	-0.5095
SLC4A4	-1.669375
RPL38	-0.729
HTF9C	-0.711166666666667
AP2A2	0.263125
ZBTB46	-0.3585
MAP7D1	0.29025
AOX1	-1.9
CYR61	-0.255333333333333
DTNA	0.138214285714286
JRKL	-0.6475
TMOD3	-0.32775
EEA1	0.3304
ADCK5	1.77825
IL1R1	3.32366666666667
KLK3	0.565928571428571
HRSP12	1.0955
KTN1	0.5115
LOH11CR2A	-0.0668
RELL2	-1.16525
MAB21L1	0.65225
C20orf59	-0.763166666666667
PHKB	-0.6305
ADAM2	-2.1375
TBC1D8B	0.901166666666667
FAM13A1	-1.1698125
LAPTM4B	0.9125
LCN8	0.304
TMEM147	0.4855
SYT4	0.4075
XPO7	-0.592
C9orf62	1.1775
GPR75	0.69
TRIM5	0.49125
APOC1	0.826666666666667
RNASE4	0.267666666666667
PARD6B	-1.1385
ARID1A	0.0434166666666667
TPD52L3	0.263555555555556
RRAGB	0.867166666666667
RCN2	-1.25283333333333
HIST2H2BE	-0.63525
STARD7	0.11225
SHMT2	0.52525
KIAA1751	-0.0818
MLYCD	0.087625
LOC162632	-1.2666
UQCRH	-2.002
RP11-217H1.1	0.679625
SDHA	-0.183
NCLN	-0.0633
ZNF17	0.582833333333333
RCBTB2	-1.711
VEGFB	0.403
RP4-747L4.3	-0.03
COLQ	0.3668
MPN2	-0.518333333333333
DRG2	-0.5865
KLRB1	5.55825
ALPK2	-0.48875
DNASE2B	0.02325
FLJ23834	0.433
AXUD1	0.678166666666667
SAFB	-0.1783
NSUN4	-0.12175
RFX2	0.111
MAPK8IP1	-0.955166666666667
FANCD2	-0.436285714285714
ANKZF1	-1.41433333333333
C19orf50	-0.736375
DUSP8	1.107375
SENP5	0.953
NFKBIL2	1.096
LBR	-0.50175
IGFL1	-0.0805
LZTS2	0.628875
IL2RG	0.378
CCDC51	0.51675
KLF3	0.470625
ANKRD37	-0.32825
KCTD14	-1.481
FZR1	0.238083333333333
SLC44A4	4.3508
ESPL1	-0.360625
GMPR2	-0.4784
TBC1D19	0.0656666666666667
ERGIC1	0.824148148148148
ERBB4	1.8185
TSPAN32	0.72175
MAP4	-0.086625
GPHN	0.269
SLC6A2	-0.28275
HIVEP1	1.0205
DFFB	-0.593
EIF4EBP2	1.13175
DMRT1	-0.1045
HSPB6	0.00549999999999999
IER2	-0.846666666666667
AIFM1	-0.01025
WWC2	0.521916666666667
MRPL4	-0.74525
FLJ21062	-0.0606666666666667
EPB41L4A	0.870416666666667
SH2D6	0.38025
TAF4B	-1.41775
GAL3ST3	-0.19
MALT1	-0.732
RTDR1	0.05625
ARVCF	-0.503625
MEX3B	-1.50216666666667
FBXO16	0.90275
KIF7	-1.3345
C1QC	4.06633333333333
ZNF783	-0.725333333333333
ZNF85	-0.2355
MMP13	4.179
KIAA0329	0.546
RTP3	-0.086
ZBED3	-0.04875
CLGN	0.12675
SLC25A37	-1.77883333333333
hCG_18290	-0.14625
OR5AS1	0.4925
SMARCC2	0.20675
FAM109A	0.184333333333333
CCDC12	-0.27325
USF2	0.327
DEPDC7	-1.93775
C20orf24	-0.0191666666666667
JMJD3	0.2975
DSP	1.09364285714286
SLIC1	0.864875
FAM20A	1.596625
IRF2BP2	0.187625
ZNF230	0.792
MSN	-0.811928571428571
SLC9A5	-0.7475
EPDR1	-1.4583
MUSK	0.308333333333333
ZNF434	0.870333333333333
SMARCD1	-0.0836666666666667
ZFP106	-0.09725
ZNF347	0.8482
