Hybridization REF	TCGA-B6-A0RV-01A-11R-A084-07
COL18A1	-0.260375
PDZD3	-0.0872
C9orf16	-0.231666666666667
ERBB2IP	0.365666666666667
EMX2	3.02475
FUS	-1.3885
TF	-3.6062
CLCN4	0.428
CXorf56	0.8205
C11orf72	0.24825
ELAC2	-1.00733333333333
NPR1	0.05325
ASS1	0.0385
USP42	0.7425
POLR2J	-0.0345
SEC23IP	0.933833333333333
UQCRC1	-0.18775
LOC729603	-0.6555
C1orf71	-0.431875
POLG	-1.7905
ADAM23	-3.521
TFR2	-2.007
RICTOR	-0.8539
MGC39606	1.34075
C19orf55	-0.10225
SNAPC1	-1.53116666666667
GNA11	0.92825
CCDC52	0.471333333333333
FSIP1	1.727
UPF3A	-0.06675
IGSF11	-2.59333333333333
LAGE3	0.30675
CHST6	-3.477
UNC13B	0.692
TTLL4	-1.02925
ZNF687	0.314
SDC2	0.7971
COX7A2	-0.455
LAMB4	0.03425
FAM24A	-0.173
LRRTM3	-0.621166666666667
GPHB5	0.337
OR4C13	0.7005
EIF3EIP	0.327428571428571
HABP4	-0.3675
TMEM125	3.97925
CNTN2	0.158
ASNSD1	0.01225
FUT4	-0.28625
ACF	-3.81125
LOC158381	0.303
CDH8	0.14825
AGPS	-1.44433333333333
C4orf18	1.87475
PECI	0.2015
UNG	-0.200125
GSTP1	-1.817625
DCUN1D5	-1.15666666666667
DKFZP564J0863	-0.40375
SLC9A3R1	0.069625
BCDO2	-0.73875
CHMP7	-0.045375
REM2	0.165
DNHD1	-0.54325
FKBP4	-0.964
ZNF350	2.2175
MGC11102	0.29
BST1	0.5075
KISS1R	0.462
NCR2	0.571
DEFB125	0.2335
UBE2W	1.26775
KRT15	2.2685
C10orf99	-0.045
SCN11A	0.45275
GFI1	-1.54275
RDHE2	5.35183333333333
FHL1	-1.065
OSGEP	0.173833333333333
GATA1	-3.41066666666667
SMC6	-1.207
TTTY14	-1.28625
LPIN3	-0.65975
RPL4	0.0905
RBPMS	0.2395
PRPF3	-0.822666666666667
EMR1	-2.681
SPATA19	0.36875
XCR1	0.6255
IRX3	1.7594
RBM6	-0.394
KLF4	0.2977
UNC5CL	-1.43225
SEBOX	0.0785
BTK	-0.84
KRCC1	1.27225
C6orf27	0.2395
SYTL5	-0.1975
PRND	2.48925
LOC653319	-1.7055
PIGL	-2.299625
HUS1	0.466666666666667
SFRS6	-0.147833333333333
C17orf77	0.249
UIMC1	-0.277166666666667
FXYD2	-1.7872
LOC283152	0.18775
ZNF667	-1.00225
ZCCHC12	-0.20675
TFEC	2.3675
ATP7B	1.8095
POLD2	-0.439
RG9MTD1	-0.5795
ACOT2	0.97
HIST1H4I	-0.37325
PPARGC1A	-0.136
ETFA	-1.4094
POLRMT	-0.4825
ZNF146	0.089625
MIA2	-1.2505
KLHL6	-1.02033333333333
HOXB5	-1.351375
NENF	0.416166666666667
CUGBP1	0.57825
PRSS22	1.304
CASC4	1.428
CUL4B	0.1954
CENPJ	-1.2125
PITX1	0.792166666666667
FLJ31033	1.24316666666667
CELSR3	-1.8645
ZNF568	0.5845
ITSN1	-0.24375
EHBP1L1	-1.07516666666667
C19orf2	-0.399
DCTN1	-0.022
LIN28B	-3.97883333333333
TNKS2	-0.99425
C1QBP	-0.9855
CADPS2	2.93325
SRMS	0.66275
GJA9	0.162166666666667
MGC24975	-1.23666666666667
TRIM45	0.638833333333333
TSP50	0.068
TCP1	-1.037
TMED7	0.3331
CMA1	0.6825
CENPL	-1.1685
PTCRA	0.6775
FST	-4.15075
VWCE	-3.95525
PAWR	-1.87225
ABCC12	0.1055
LDLR	-0.6063
ASTN2	2.402
LOC441212	-0.750625
GPATCH8	-0.563
TANC2	-0.11575
KIF4A	-1.78675
C18orf18	-0.73975
PGM1	-0.65875
KIAA0258	0.737
CPD	-0.525125
SNCAIP	-0.62925
DCT	-4.23883333333333
HLA-DOA	2.22363636363636
OR11L1	0.3365
UPK1B	-0.202666666666667
DNAJB4	0.015375
UGT1A8	-0.09025
HIST1H4L	-0.235
PECR	-2.0415
HSPA2	0.94875
WFIKKN1	-1.069
SERP1	0.71325
SYDE2	2.2655
TACR2	0.383
NUP85	-1.07175
CD177	-0.667666666666667
LGR5	-1.644
PIGG	-0.13825
PTHR1	-1.71966666666667
RAB5A	-0.0214
FLJ13224	-0.063
USP9Y	-0.623
C7orf53	0.083
LRP1B	1.24125
XAF1	1.8955
ABCG8	0.387
ANKDD1A	-0.816833333333333
DAND5	-1.2615
SPAG6	0.989166666666667
LINCR	1.535
ZDHHC22	-1.487
CCDC60	0.4245
THOC7	-1.46283333333333
TCTA	0.9707
OR8K3	0.57625
NY-REN-7	-0.825
B2M	1.19316666666667
C6orf141	-0.868875
LPPR4	2.2815
SQLE	-1.37775
SEPHS1	0.17025
BTBD14B	0.260642857142857
PLRG1	-0.409
SPG7	-0.7784375
ZNF614	0.258833333333333
PARD6G	0.9135
INPP5B	-0.2159
GRPEL2	-0.255125
PPID	-0.6568
TRIM56	0.0735
UBE2J1	-0.064625
IL20RA	5.38025
LOC387856	-0.131
C1orf107	0.00625000000000002
UTS2R	0.5605
C19orf22	-0.29675
SAFB2	0.136625
KIAA0652	0.20475
KLRG1	0.187
MS4A8B	0.154166666666667
FRAG1	0.9165
KIAA1546	0.23675
E2F4	-1.5746
CLEC4M	0.749166666666667
BTBD14A	-0.8575
KIAA0999	0.3411
GYPA	-3.37933333333333
TAC1	2.7427
TRAIP	-1.451
KIAA0232	0.5079
ERCC8	-0.734
GPX4	0.318375
KIAA0368	-0.143
GPR157	-1.1785
CTAGE4	1.301
C9orf30	-1.1775
OR52A1	0.1045
HSP90B3P	-0.109
ALG9	-0.6456
BTBD10	0.34275
SDK2	0.0605
BAIAP3	-1.20175
RABGGTB	-0.747625
ANKRD40	-0.418333333333333
KRT74	0.354
CALCOCO2	-0.148928571428571
SNCA	-3.00375
TMSL8	-4.1885
C2orf53	-0.347
ESRRB	-0.49525
ARHGAP26	-1.518125
TDRD9	-2.87675
HRAS	0.212666666666667
KLRC4	-2.0905
JAGN1	-0.329
BSDC1	0.39675
RNF43	0.1502
NDUFAF1	0.40975
PHF12	0.3605
OR1L3	0.22875
FOLR2	1.87766666666667
LYZL6	0.329333333333333
tcag7.1260	-2.3785
WSB1	-1.04216666666667
PROS1	0.0333
OSTN	0.648
PSMB8	1.08325
SOCS4	0.18875
DDIT4L	2.16875
MAS1	0.335
MGC34796	1.784
CSHL1	0.371333333333333
TBCCD1	0.0645
ZBTB7C	0.2825
AP2S1	-0.6075
P15RS	-0.3276
VAT1	-1.0943
SHANK3	0.7985
TUFM	-0.407333333333333
THEG	-0.65125
KRT34	-1.95875
SGSM3	0.337
TOMM22	0.012625
SOCS3	0.51
CPO	0.584
POP4	-0.08825
BHLHB3	0.8355
MALL	0.9545
OR1B1	0.245
PARK2	0.734333333333333
GPR124	0.5205
LCE1E	-0.2765
RUVBL2	-0.47325
CGRRF1	0.61
ACPL2	0.70325
WNT10B	-2.246625
BAIAP2L2	-2.345375
ISCA1	0.557
C1orf125	0.32525
RPAP1	-1.16175
RAI16	-0.160333333333333
RPL27	-0.7745
NLRP9	0.041
EPN1	0.0505
LOC388610	-1.316875
SLC35A1	1.9221
GAL	-3.548
SLC14A2	0.245
RDH11	-0.407833333333333
FAM138F	-0.0855
AUH	0.6865
FLJ40243	0.53275
C14orf129	0.785833333333333
MBD2	-0.0224999999999999
ABHD14B	-0.42075
PIGT	0.582125
ALS2CR4	0.286
ALAS1	0.1071
FOXO1	0.965833333333333
CRLF3	-0.27125
C20orf107	-0.487
FARS2	0.9295
CCDC28A	0.308
NPHP3	-1.06
OR13F1	0.3235
TSEN54	-1.03375
DEFB106B	-0.0375
OR8B4	0.357
STH	1.42675
ZC3H14	-0.27475
CBX2	-0.311
TMEM49	0.48925
C6orf21	0.4835
FLJ20920	1.271625
CRTAP	-0.180785714285714
DDX50	-0.01675
STYXL1	0.8705
BLVRB	-0.0886666666666667
LOC147650	0.174333333333333
MMP24	-0.0965
GRID1	1.7455
BANF1	-0.661333333333333
CTAGEP	0.4985
HMBS	-2.242
SLC25A24	0.931166666666667
C14orf50	0.047
MRO	0.372666666666667
SLC25A15	0.02075
FAM84B	1.9859
TDP1	-0.415
C16orf78	-0.133666666666667
C11orf57	-0.405
RFK	-0.012625
ZFYVE9	-0.90225
STCH	-0.6892
WIBG	0.4435
LOC283871	-0.834833333333333
GBA2	-0.4831
NDUFB3	-0.427
HSD17B13	0.149
GRIN3A	0.264833333333333
FMNL1	-1.1855
SEPT7	0.0068
GNLY	2.527
GRAMD1C	1.6025
ZNF165	-0.22475
USP38	0.8985
FAM83A	-0.817833333333333
C14orf24	0.769916666666667
ARMCX3	1.420125
ARHGDIB	0.135666666666667
AK1	0.12675
KIAA1045	1.09925
DNAJB13	-0.545
NEU2	0.28
HIST1H4B	-0.396833333333333
FAM20B	-0.2824
HES2	0.904214285714286
FAM73B	-0.5649
LOC388381	0.33175
INTS7	-0.774818181818182
AMPH	2.6155
ZNF775	-0.00275
UCKL1	-1.14083333333333
C10orf97	0.734
C1orf161	0.00824999999999999
ALDH1L1	-0.5205
FLJ39378	-0.414375
SLC23A1	-1.6685
RBM4B	0.27575
THAP4	0.306666666666667
OGFRL1	0.90825
KIAA0831	-0.247125
PPP1R15A	0.952333333333333
C1orf96	-0.306285714285714
C12orf11	-2.74625
BMF	1.399
MAN1A1	-0.36625
KIAA1600	0.583666666666667
NLGN4X	-0.3915
ALOX12	-1.161
RB1CC1	0.4138
NEIL2	0.6207
EIF4E	0.308409090909091
ABHD5	0.04625
EXOC4	0.224666666666667
CIP29	-0.624333333333333
BATF2	0.137
SLC29A4	-0.61875
HTR4	0.38675
EMB	0.9315
TRAF6	0.511
LMNB1	-1.51575
FAM19A5	-0.116125
SHE	2.32175
PIK3C2B	1.29525
C15orf15	-0.2638
USP15	-0.0553
TCEAL2	1.068
C5orf39	-0.4665
PTGER2	-0.504
SLC31A1	-0.1023125
IFT172	0.43125
ADAM29	0.7975
GFOD1	-0.0635
ST7L	0.170166666666667
C15orf26	-2.374
PKN3	-1.24225
CNTD1	2.46166666666667
COMMD1	0.376375
NTRK2	2.72658333333333
FOXN3	-0.071
MFGE8	-0.6896
PFKFB2	-0.152666666666667
TAS2R4	0.082
ENTHD1	0.981666666666667
PRMT5	-0.506625
MGC16384	-1.430875
LOC442229	-0.7295
TSKU	-0.307625
KRTCAP3	2.759875
PDLIM1	0.3352
KCNS2	-0.013
RNF126	-0.473833333333333
CEP63	0.243125
CLIC4	-0.432875
hCG_1990170	3.39825
ACR	0.5275
KLK7	1.83775
ALOX5AP	3.34
RIPK3	3.86525
TAS2R9	0.4135
C19orf18	0.7825
BIRC6	0.00521428571428574
ZNF16	1.0025
RFT1	-0.18625
SLC8A2	-0.8205
TACC1	0.29575
ITGAD	0.44275
SAMHD1	1.10925
SH3PXD2B	0.9023
EPC2	1.17475
C20orf85	0.255375
ATP13A2	0.722333333333333
KRT4	0.175
CAPNS1	0.20525
MDM2	-0.365833333333333
PCDH20	4.36925
KCNK9	0.497
OR2C1	0.0605
KLHDC3	-0.755833333333333
IPPK	0.878
EFHD2	-0.1955
GALR3	0.6065
NBEA	0.2715
ABCA6	3.5208
CLDN3	0.6895
AKT2	-0.403769230769231
EGFR	-0.7432
RBM16	0.161625
ZDHHC3	0.1588
SLC25A4	-0.406166666666667
CYB5B	-1.04166666666667
CPXM1	0.40325
NDRG1	-0.573846153846154
FLJ43826	0.243
OR5L2	0.259333333333333
FARP2	0.6203
MRPL46	-0.707833333333333
LDHAL6B	-0.103833333333333
MAPKAPK3	-0.555833333333333
NCAM2	1.0965
PRKD2	0.394333333333333
ZFP36L1	1.1426
CYSLTR1	0.0885
OR4C3	0.11775
HIST1H2AJ	0.505
CCNB2	-2.29777777777778
ZNF10	-0.52375
TMEM175	0.0125
FAM134A	1.0355
TIGD4	0.045
PCNP	-0.326
MGC39715	0.1775
LQK1	-1.68375
CREB1	0.9566
TMPRSS3	3.207
C4orf32	2.637375
LAT	-1.11458333333333
KCNA3	0.464
SKIV2L2	-0.7305
ROPN1B	0.76725
tcag7.23	0.2005
CDT1	-2.97975
ZHX2	1.46625
CD28	-1.98775
ZNF624	1.19875
SEPT2	0.20875
SOHLH2	-2.22285714285714
MCOLN3	-0.62125
UNQ1945	0.0225
MASP2	-1.2955
ZNRF3	0.4772
GPATCH3	-0.20125
AGL	0.837625
QRICH2	-0.3925
PSD4	1.07383333333333
CCNB1IP1	-1.3825
ENPP7	-0.0425
OBFC1	0.18075
KCNG3	-1.69725
C14orf79	0.86675
ENPEP	1.174
SCT	0.8355
SKI	0.46775
SEC61G	-1.668
CAPN11	0.51125
ATXN7L3	-0.86275
DBNDD1	-0.751666666666667
FAIM	0.47
ANKRD36	-0.081
GABRP	3.1975
TACSTD2	1.85433333333333
EIF3J	-0.4465
PPP2R2A	-0.455
TEKT4	-0.0646666666666667
PVALB	-3.65083333333333
F10	-1.798
FAM134C	0.671
COMP	4.328625
EFCBP1	-1.75275
SCLT1	1.016
TAL1	-1.1298
ACSL1	1.16225
ABCC5	-0.34525
ABL1	-0.744
RBBP7	-0.351583333333333
PTPRG	-0.176
NCOR1	-0.2611
SPINK4	-2.06216666666667
TXNRD1	-0.97
TNRC15	0.947125
C9orf138	1.668875
UBE2H	1.76433333333333
BRDT	0.202
C8orf31	-0.228
CCNE2	-0.537090909090909
SLC6A8	-1.441
CALCR	-2.66975
PPP1CB	0.700083333333333
ABHD8	-0.04875
ARF5	0.4592
SLC24A4	0.488
CCT3	-0.179
ZNF121	0.385125
SLC3A2	-0.5935
OR13A1	0.1465
SLC5A10	0.09475
RAD50	-0.18575
IER5	0.156625
MTHFD1L	-2.4885
MBTPS2	0.20275
MVK	-0.786
NCL	-0.1377
PSMD10	-0.29275
MOBP	-0.0735
FLJ32894	-0.8205
HRH1	-0.736666666666667
C5orf30	0.99825
NUDT16L1	1.157
RASGRP3	3.28233333333333
PRKRIP1	-0.0743
CCDC75	0.09425
LOC253970	-0.33675
KIAA1239	-0.17375
MED21	-1.00975
SYT11	0.441333333333333
NTSR2	-0.139
EGFL11	0.2495
CXorf59	-0.3255
OR2A25	0.19525
SPTBN2	-0.442
LRMP	-0.891166666666667
RNF111	-0.1715
PTH	-0.067
LOC619208	0.671666666666667
KIAA0895	1.1495
RANBP5	-0.6145
P2RY10	2.08383333333333
NME5	4.03383333333333
DDX21	-1.1075
LRSAM1	0.0695
HDAC11	1.73516666666667
VMO1	1.3895
NOLA2	-0.17
ADAR	0.458833333333333
MTO1	-0.838833333333333
SF4	0.238
P2RX1	-0.0628333333333333
HBM	-0.10375
EN2	0.634
C14orf172	-0.308
TM9SF2	0.8818
INHBE	-1.26183333333333
TCTE3	0.58325
TOX2	-2.38125
CTAGE3	0.64175
HBB	3.0574
MED15	-1.06066666666667
CASR	0.061
C6orf66	-1.10033333333333
MTPN	-0.445
UNC50	-0.31625
C21orf33	0.097125
IRF2	1.218125
PGR	3.82683333333333
GPR84	1.9995
CROCCL1	-1.7005
SRPX	-0.655
BRE	0.00800000000000001
FGF10	0.8815
SDC3	-0.129666666666667
ZRSR1	0.0946666666666667
DKFZP434P211	-0.382625
SOX6	1.3165
RPUSD2	-0.255
C14orf173	-0.0650833333333333
MAPK11	-0.751
TBC1D22A	0.318
FAM123A	-0.455
COL4A6	-2.10333333333333
TOMM70A	-0.28775
NAB1	-0.199
MGC16385	-1.219375
TSPAN18	-0.434333333333333
MED31	-0.43
PLG	-0.66
CAPSL	1.365
ZNF532	0.4288
ASB14	0.5525
CA8	2.25325
NUDT16P	0.0165
SLFN11	-0.6055
LRRIQ2	0.211625
NOL7	-0.611666666666667
BRMS1L	-0.586125
JARID1A	-0.0695
PANK2	-0.166
ICAM3	0.133
MDS1	-0.2645
TAF8	-0.806
RNF139	1.28725
ZNF594	-0.506833333333333
ADAM8	0.89575
SFTPC	-0.126
MAN2B2	1.283875
RGS12	0.461875
EIF1AY	-5.09366666666667
LRRIQ1	0.457166666666667
GPR150	0.5765
CCDC21	-1.359
PRRG3	0.5565
SAA4	-2.89175
RAPGEF5	2.697125
ZCCHC2	-0.07175
MGC39372	-0.00950000000000001
PPP4R2	0.4995
CDCA2	-2.30033333333333
OR4D5	0.606166666666667
PTGFRN	0.3906
SIGLEC5	1.89166666666667
C19orf61	-0.619
NMUR2	0.17
KIAA1586	-0.682666666666667
DAGLA	0.296833333333333
CHCHD6	-0.1525
GPR32	0.0835
NEUROD6	0.034
SLC2A4RG	0.0306875
CA5B	0.117
FBXL3	1.66
MPHOSPH9	-1.67175
HMG2L1	0.963
HCN4	0.262166666666667
CEACAM19	-0.42325
SH2D4B	0.0375
HFE2	-0.7235
TGM4	-0.631833333333333
LYPD2	0.152
TBC1D15	0.358
MRPS21	-0.9342
NONO	-0.6067
CLEC5A	1.66325
ITCH	-0.0383
MGAT3	-0.146333333333333
MBP	0.0651250000000001
RPP25	-1.4065
SOSTDC1	0.92725
HRC	-0.91625
TRIM48	-0.0525
TMEM133	0.4365
ECEL1P2	-1.17425
HOXC11	-0.663
DOK5	-1.11775
HELZ	0.394666666666667
LOC348180	-1.10975
MGC33894	0.2675
ADRB3	0.201
DMD	0.16075
PTRH2	0.43225
MPEG1	3.49916666666667
NDUFA12	-0.265833333333333
KRTAP2-4	-0.13675
STAMBPL1	-1.04466666666667
ADCY2	0.529166666666667
UNQ6125	0.1305
KLHL20	0.0733333333333333
SRM	-1.02625
OTC	0.5865
TMIE	0.341333333333333
SNX8	-0.1385
LIPK	-0.3995
CHURC1	1.09683333333333
KLC2	0.0681666666666667
HDAC1	0.344666666666667
FAM128A	0.581666666666667
FNDC3B	-0.8749
MTCP1	-0.36
WFDC10B	-0.1811
PCDHGB3	-0.015
ATRNL1	-0.874
CAV2	-0.39475
MED26	0.181666666666667
DUS1L	-0.39375
CHRM3	-1.138875
NEK9	0.62775
WARS2	0.0775
TBX22	-0.423
TOMM40	-1.03
RP6-213H19.1	-1.58916666666667
TUBGCP5	-0.74775
IGSF6	4.37025
TPPP	-0.1785
UNQ6190	0.3975
GSTM5	0.98475
BTD	1.05066666666667
PDCD1LG2	0.614
SNRPB2	-0.7755
ERICH1	-0.299875
APOA4	-1.794125
HOXA11	-1.47625
NARG1	-0.397125
MKX	-1.00525
RAB28	-0.187785714285714
PKP3	1.32025
SH3GL2	-0.4375
CTSO	3.67575
RPN2	-0.0083125
IL28RA	0.381333333333333
SFMBT1	0.437
WDR57	-0.140375
FER1L3	1.07366666666667
HSF5	0.116333333333333
TTC9B	0.3155
C4BPA	-3.32483333333333
ALB	-4.00857142857143
SORBS3	-0.12675
UPF2	0.2325
JPH1	0.0505
AGBL2	-0.3705
DOPEY1	0.8435
TERF1	0.04825
KIF22	-1.17816666666667
NINJ1	1.6115
SEC61A2	-0.22075
HIST1H1D	-1.73783333333333
SFXN4	0.09125
UCP3	0.402
ZNF703	1.77266666666667
MYL6B	-0.4305
TREM1	0.6525
OR52E6	0.0625
CKMT2	1.627
HLA-C	2.11825
SLC13A3	-2.04566666666667
TIMP4	-1.27425
SLIT2	2.69525
RSF1	0.123888888888889
LONRF1	-0.835785714285714
MON1A	-0.191166666666667
CACNG6	-1.81533333333333
DPPA4	-5.6815
ZSWIM3	-0.12625
ZNF804A	0.104666666666667
CCIN	0.60775
SLC25A31	0.06875
KCNMB4	-0.87575
RABL5	1.262625
GALNS	-0.816
STX6	0.253375
HIST1H1C	-1.78166666666667
CIDEB	0.651
CASP4	0.3515
PDK3	0.2533
KCNJ11	1.8745
TPR	-0.402625
ZSCAN20	0.2185
MTX2	-0.183
HIST1H2BH	-1.00275
LOC283767	0.58275
LYRM7	-1.41983333333333
BRD3	0.0568333333333333
HIST1H2BO	-1.1
MAGEB10	0.1645
SLC45A1	0.675
SERPINA3	3.08915
KIAA0143	1.60075
KCNJ16	1.88283333333333
KRT79	0.1945
FABP2	-0.21025
NUT	-0.55825
ZNF57	-0.01475
FBXL4	1.109625
CLEC9A	2.355
UGT8	-0.7205
BMP2K	0.64525
MAPK4	-2.722
SLC25A23	-0.9119
HINT1	0.0933
KRTAP13-1	0.242
SFXN5	0.1828
CHCHD2	0.32175
FAM3D	1.8675
NDP	-2.548375
RHOBTB1	1.78883333333333
SLC4A4	-0.99925
RPL38	-0.747
HTF9C	-0.773166666666667
AP2A2	0.815375
ZBTB46	-0.9385
MAP7D1	0.088625
AOX1	-1.34466666666667
CYR61	0.606833333333333
DTNA	-0.452357142857143
JRKL	-0.46675
TMOD3	0.50875
EEA1	-0.3011
ADCK5	-0.73425
IL1R1	1.428
KLK3	0.334714285714286
HRSP12	-0.64075
KTN1	-0.123
LOH11CR2A	0.472
RELL2	-1.53175
MAB21L1	1.77625
C20orf59	-1.44966666666667
PHKB	-0.541
ADAM2	-1.8924
TBC1D8B	1.13883333333333
FAM13A1	-0.68775
LAPTM4B	-1.52666666666667
LCN8	-0.1855
TMEM147	0.8845
SYT4	0.163
XPO7	-1.302
C9orf62	0.5255
GPR75	0.159
TRIM5	1.05
APOC1	-1.0475
RNASE4	1.70683333333333
PARD6B	-1.06675
ARID1A	0.258083333333333
TPD52L3	0.1716
RRAGB	0.4575
RCN2	-0.372
HIST2H2BE	-0.7011875
STARD7	-0.1565
SHMT2	-1.4865
KIAA1751	-0.114333333333333
MLYCD	-0.38675
LOC162632	0.6945
UQCRH	-1.55825
RP11-217H1.1	0.087125
SDHA	-1.09783333333333
NCLN	-0.0724
ZNF17	0.585666666666667
RCBTB2	-1.39175
VEGFB	-0.3086
RP4-747L4.3	0.7775
COLQ	0.1953
MPN2	-0.112833333333333
DRG2	-0.78725
KLRB1	5.51175
ALPK2	-3.701
DNASE2B	1.41925
FLJ23834	0.728333333333333
AXUD1	0.992
SAFB	-0.0281
NSUN4	-0.112
RFX2	0.15
MAPK8IP1	-0.875333333333333
FANCD2	-1.2285
ANKZF1	-1.44783333333333
C19orf50	-0.5655
DUSP8	0.2455
SENP5	-0.35375
NFKBIL2	-0.7515
LBR	-1.418375
IGFL1	0.776
LZTS2	0.191
IL2RG	-0.06875
CCDC51	-0.46075
KLF3	0.3205
ANKRD37	-1.63625
KCTD14	0.0125
FZR1	0.151166666666667
SLC44A4	4.0093
ESPL1	-1.1585
GMPR2	0.0829
TBC1D19	-0.562
ERGIC1	1.2432962962963
ERBB4	3.4014
TSPAN32	0.361583333333333
MAP4	-0.16775
GPHN	-1.05925
SLC6A2	0.377625
HIVEP1	0.2415
DFFB	-0.0324
EIF4EBP2	0.555375
DMRT1	0.30125
HSPB6	-0.24825
IER2	0.287666666666667
AIFM1	-0.5015
WWC2	-0.429
MRPL4	-0.689
FLJ21062	1.7575
EPB41L4A	1.63
SH2D6	0.134
TAF4B	-0.5125
GAL3ST3	-0.0235
MALT1	-0.967833333333333
RTDR1	0.45425
ARVCF	0.265125
MEX3B	-0.6015
FBXO16	0.644
KIF7	-1.9565
C1QC	3.92016666666667
ZNF783	-0.2345
ZNF85	0.6895
MMP13	1.4275
KIAA0329	0.502625
RTP3	-0.4085
ZBED3	0.093
CLGN	-0.17725
SLC25A37	-1.553125
hCG_18290	0.285
OR5AS1	-0.333
SMARCC2	0.3055
FAM109A	-0.158666666666667
CCDC12	0.057
USF2	0.2615
DEPDC7	-2.56175
C20orf24	-0.756166666666667
JMJD3	-0.058
DSP	1.33257142857143
SLIC1	0.599125
FAM20A	1.295625
IRF2BP2	0.571
ZNF230	0.15
MSN	-0.981357142857143
SLC9A5	-1.9545
EPDR1	-2.2138
