Hybridization REF	TCGA-BH-A0BC-01A-22R-A084-07
RICTOR	-1.3792
MGC39606	1.61625
C19orf55	-0.321
SNAPC1	-1.4675
GNA11	0.8855
CCDC52	-0.0496666666666667
FSIP1	5.839
UPF3A	-0.678375
IGSF11	-2.4815
LAGE3	0.59675
CHST6	-2.6675
UNC13B	-0.23775
TTLL4	-1.392625
ZNF687	0.469625
SDC2	-0.3205
COX7A2	-0.015
LAMB4	0.295
FAM24A	0.433
LRRTM3	-0.780166666666667
GPHB5	0.38425
OR4C13	0.398
EIF3EIP	0.4335
HABP4	-0.467
TMEM125	3.62325
CNTN2	0.314
ASNSD1	-0.2185
FUT4	0.114875
ACF	-3.54975
LOC158381	0.435
CDH8	0.09875
AGPS	-0.990166666666667
C4orf18	5.23625
PECI	0.332083333333333
UNG	-0.4425
GSTP1	-0.064
DCUN1D5	-1.38583333333333
DKFZP564J0863	0.30825
SLC9A3R1	0.73175
BCDO2	-1.51225
CHMP7	0.286125
REM2	0.093
DNHD1	-0.68125
FKBP4	0.024625
ZNF350	1.34925
MGC11102	0.502
BST1	2.09875
KISS1R	0.8735
NCR2	0.4215
DEFB125	0.074
UBE2W	0.88975
KRT15	2.119375
C10orf99	0.2575
SCN11A	0.500875
GFI1	-1.783
RDHE2	2.79466666666667
FHL1	-0.255166666666667
OSGEP	-0.0593333333333333
GATA1	-3.29483333333333
SMC6	-0.795
TTTY14	-1.085
LPIN3	0.012
RPL4	-0.2552
RBPMS	0.779
PRPF3	-0.582166666666667
EMR1	-1.346
SPATA19	0.464
XCR1	0.6665
IRX3	2.3247
RBM6	-1.363
KLF4	-0.8002
UNC5CL	-2.17225
SEBOX	-0.512
BTK	0.124
KRCC1	-0.23675
C6orf27	0.3855
SYTL5	-0.003
PRND	5.08825
LOC653319	-1.695
PIGL	-1.930625
HUS1	-0.087
SFRS6	0.632416666666667
C17orf77	0.0245
UIMC1	-0.233833333333333
FXYD2	-1.8249
LOC283152	-0.021
ZNF667	0.15125
ZCCHC12	0.26175
TFEC	3.616
ATP7B	-0.435166666666667
POLD2	-0.3825
RG9MTD1	0.09775
ACOT2	0.789
HIST1H4I	-1.1645
PPARGC1A	-2.203
ETFA	-1.7043
POLRMT	-0.511
ZNF146	-0.372125
MIA2	-1.7135
KLHL6	0.174333333333333
HOXB5	-1.022125
NENF	0.838
CUGBP1	0.699
PRSS22	0.149333333333333
CASC4	1.9463
CUL4B	0.3022
CENPJ	-1.773
PITX1	0.234833333333333
FLJ31033	1.66966666666667
CELSR3	-2.73816666666667
ZNF568	1.031
ITSN1	-0.4105
EHBP1L1	-0.184
C19orf2	-0.364
DCTN1	0.107
LIN28B	-4.02316666666667
TNKS2	-2.1755
C1QBP	-0.957875
CADPS2	1.538
SRMS	0.00300000000000003
GJA9	0.198833333333333
MGC24975	-1.36516666666667
TRIM45	0.201666666666667
TSP50	0.003
TCP1	-1.14675
TMED7	0.722
CMA1	-0.0385
CENPL	-0.3015
PTCRA	0.9475
FST	-3.59225
VWCE	-3.79875
PAWR	0.5015
ABCC12	0.230833333333333
LDLR	-2.5378
ASTN2	2.3602
LOC441212	-1.4845
GPATCH8	-0.59025
TANC2	0.169083333333333
KIF4A	-1.30375
C18orf18	-0.76125
PGM1	-0.88825
KIAA0258	0.78125
CPD	-0.949125
SNCAIP	-0.106
DCT	-4.37966666666667
HLA-DOA	3.46768181818182
OR11L1	0.5065
UPK1B	-0.666
DNAJB4	-0.161625
UGT1A8	-0.01975
HIST1H4L	-0.2175
PECR	-0.734
HSPA2	2.477
WFIKKN1	-2.027
SERP1	1.094875
SYDE2	2.28475
TACR2	0.7705
NUP85	-1.303
CD177	1.13866666666667
LGR5	-1.652
PIGG	0.178833333333333
PTHR1	-1.92216666666667
RAB5A	0.2347
FLJ13224	-0.854
USP9Y	-1.22033333333333
C7orf53	-2.0605
LRP1B	2.03675
XAF1	2.816
ABCG8	-0.5635
ANKDD1A	-0.361666666666667
DAND5	-0.6515
SPAG6	-0.0303333333333334
LINCR	1.4555
ZDHHC22	-1.5095
CCDC60	0.1085
THOC7	-1.74733333333333
TCTA	1.1572
OR8K3	0.55825
NY-REN-7	-0.5495
B2M	1.7595
C6orf141	-0.05975
LPPR4	2.889
SQLE	-1.44525
SEPHS1	0.38725
BTBD14B	0.335071428571429
PLRG1	0.27675
SPG7	-0.83275
ZNF614	0.1365
PARD6G	1.05466666666667
INPP5B	0.3021
GRPEL2	0.5205
PPID	-0.7134
TRIM56	-0.5925
UBE2J1	0.7745
IL20RA	1.719
LOC387856	0.14325
C1orf107	-0.242
UTS2R	1.1295
C19orf22	-0.0155
SAFB2	0.0375
KIAA0652	0.265
KLRG1	0.0196666666666667
MS4A8B	-0.312666666666667
FRAG1	0.3295
KIAA1546	-0.28475
E2F4	-1.5032
CLEC4M	0.482
BTBD14A	-0.422
KIAA0999	0.8203
GYPA	-3.66666666666667
TAC1	0.7608
TRAIP	-1.76283333333333
KIAA0232	0.4012
ERCC8	-0.938625
GPX4	0.939625
KIAA0368	-0.5445
GPR157	-0.9595
CTAGE4	0.299
C9orf30	-1.16183333333333
OR52A1	0.236
HSP90B3P	-0.7955
ALG9	-0.9077
BTBD10	1.498
SDK2	-0.20825
BAIAP3	0.217
RABGGTB	-1.6725
ANKRD40	0.919333333333333
KRT74	1.081
CALCOCO2	0.0248571428571429
SNCA	-2.962
TMSL8	-3.14625
C2orf53	-1.6655
ESRRB	-0.51475
ARHGAP26	-0.740875
TDRD9	-2.59375
HRAS	-0.253666666666667
KLRC4	-2.46
JAGN1	-0.0373333333333333
BSDC1	0.47975
RNF43	0.4368
NDUFAF1	0.568
PHF12	0.272
OR1L3	0.19375
FOLR2	1.95983333333333
LYZL6	0.2115
tcag7.1260	-1.19
WSB1	-2.01533333333333
PROS1	-0.128
OSTN	0.7915
PSMB8	1.371
SOCS4	-0.027875
DDIT4L	1.09675
MAS1	0.3535
MGC34796	0.41
CSHL1	0.5725
TBCCD1	0.394666666666667
ZBTB7C	0.095
AP2S1	-0.345625
P15RS	0.5046
VAT1	-0.6684
SHANK3	1.34566666666667
TUFM	-0.142666666666667
THEG	-0.57925
KRT34	-1.84975
SGSM3	-0.0945
TOMM22	0.569125
SOCS3	0.716166666666667
CPO	-0.1045
POP4	0.45
BHLHB3	1.531
MALL	1.24175
OR1B1	0.39
PARK2	0.8065
GPR124	0.4765
LCE1E	0.1175
RUVBL2	-0.1805
CGRRF1	0.5802
ACPL2	0.2645
WNT10B	-2.298625
BAIAP2L2	-1.047375
ISCA1	0.431
C1orf125	1.5705
RPAP1	-1.25175
RAI16	0.380333333333333
RPL27	-0.84475
NLRP9	0.0565
EPN1	0.165
LOC388610	-1.3115
SLC35A1	0.3386
GAL	-3.4705
SLC14A2	0.36625
RDH11	-0.977
FAM138F	-0.053
AUH	-0.04475
FLJ40243	0.1335
C14orf129	0.483
MBD2	-0.442
ABHD14B	-1.015875
PIGT	1.042625
ALS2CR4	-0.393375
ALAS1	-0.2328
FOXO1	1.30433333333333
CRLF3	-0.349125
C20orf107	0.235
FARS2	1.05825
CCDC28A	0.2295
NPHP3	-1.34625
OR13F1	0.7665
TSEN54	-1.2485
DEFB106B	0.0149
OR8B4	0.274
STH	1.38625
ZC3H14	-0.26875
CBX2	0.0135
TMEM49	-0.54925
C6orf21	0.599
FLJ20920	1.413125
CRTAP	0.214785714285714
DDX50	-0.42425
STYXL1	0.227
BLVRB	0.933833333333333
LOC147650	-0.286333333333333
MMP24	0.338
GRID1	1.9205
BANF1	-0.5005
CTAGEP	-0.15375
HMBS	-2.4235
SLC25A24	0.350666666666667
C14orf50	1.155
MRO	2.23616666666667
SLC25A15	-1.3915
FAM84B	0.9235
TDP1	-0.482
C16orf78	0.257
C11orf57	-0.82325
RFK	-0.264625
ZFYVE9	-0.80275
STCH	0.6551
WIBG	0.4105
LOC283871	-0.8595
GBA2	-1.2496
NDUFB3	-0.035
HSD17B13	-0.27875
GRIN3A	1.52116666666667
FMNL1	-0.3055
SEPT7	0.00449999999999998
GNLY	3.028
GRAMD1C	0.502666666666667
ZNF165	-0.03925
USP38	0.938
FAM83A	-3.48733333333333
C14orf24	0.84825
ARMCX3	0.77125
ARHGDIB	1.2105
AK1	0.379375
KIAA1045	0.304
DNAJB13	-0.556833333333333
NEU2	-0.3075
HIST1H4B	-1.16966666666667
FAM20B	0.0734
HES2	0.1345
FAM73B	-0.7383
LOC388381	0.0485
INTS7	0.210909090909091
AMPH	2.52325
ZNF775	0.11875
UCKL1	-1.011
C10orf97	0.5285
C1orf161	0.25825
ALDH1L1	-1.0495
FLJ39378	-0.271
SLC23A1	-3.6405
RBM4B	-0.17025
THAP4	0.351666666666667
OGFRL1	1.739
KIAA0831	-0.219375
PPP1R15A	-0.625
C1orf96	0.483142857142857
C12orf11	-1.96475
BMF	1.365375
MAN1A1	-0.698
KIAA1600	0.788666666666667
NLGN4X	0.2845
ALOX12	-1.3
RB1CC1	-0.0018
NEIL2	0.8912
EIF4E	-0.339272727272727
ABHD5	-0.2205
EXOC4	-0.2115
CIP29	-0.174333333333333
BATF2	1.19975
SLC29A4	-0.595625
HTR4	0.341
EMB	-0.65275
TRAF6	1.10025
LMNB1	-1.297
FAM19A5	0.821
SHE	2.28875
PIK3C2B	1.08
C15orf15	-0.5202
USP15	0.0169
TCEAL2	1.17425
C5orf39	-0.544833333333333
PTGER2	0.076
SLC31A1	-0.0705
IFT172	0.1825
ADAM29	0.36875
GFOD1	0.3275
ST7L	1.23533333333333
C15orf26	-2.85825
PKN3	-0.841
CNTD1	2.6155
COMMD1	0.79825
NTRK2	2.76708333333333
FOXN3	0.673625
MFGE8	-0.2981
PFKFB2	0.296666666666667
TAS2R4	0.01175
ENTHD1	1.996
PRMT5	-0.479125
MGC16384	-1.504625
LOC442229	-0.94125
TSKU	-0.020375
KRTCAP3	2.803
PDLIM1	0.454
KCNS2	0.499
RNF126	-0.367833333333333
CEP63	0.041875
CLIC4	-0.058
hCG_1990170	0.46875
ACR	0.9249
KLK7	1.675
ALOX5AP	4.009125
RIPK3	3.866
TAS2R9	0.441
C19orf18	0.9525
BIRC6	-0.0404285714285714
ZNF16	1.4595
RFT1	-0.761
SLC8A2	-1.144
TACC1	0.928875
ITGAD	0.8895
SAMHD1	1.73675
SH3PXD2B	1.4196
EPC2	0.83425
C20orf85	0.658125
ATP13A2	0.317833333333333
KRT4	0.269875
CAPNS1	0.0925
MDM2	0.263666666666667
PCDH20	3.66575
KCNK9	0.447
OR2C1	-0.306
KLHDC3	-1.078
IPPK	0.5355
EFHD2	1.021375
GALR3	1.0865
NBEA	-0.413833333333333
ABCA6	3.1599
CLDN3	1.0765
AKT2	-0.677571428571429
EGFR	-1.6431
RBM16	0.353125
ZDHHC3	0.1589
SLC25A4	-0.6885
CYB5B	-0.758166666666667
CPXM1	0.9055
NDRG1	-1.15238461538462
FLJ43826	0.62325
OR5L2	0.828833333333333
FARP2	0.7346
MRPL46	-0.68875
LDHAL6B	0.230166666666667
MAPKAPK3	-0.528166666666667
NCAM2	0.97575
PRKD2	0.500666666666667
ZFP36L1	0.9192
CYSLTR1	1.20775
OR4C3	0.70175
HIST1H2AJ	2.6365
CCNB2	-2.06655555555556
ZNF10	-0.19125
TMEM175	0.4835
FAM134A	1.07966666666667
TIGD4	0.3375
PCNP	-0.344
MGC39715	0.23125
LQK1	-1.37575
CREB1	0.981
TMPRSS3	-0.81425
C4orf32	1.553625
LAT	-1.19166666666667
KCNA3	-0.1445
SKIV2L2	-0.7185
ROPN1B	-1.00375
tcag7.23	0.1205
CDT1	-2.30225
ZHX2	1.199625
CD28	-1.8815
ZNF624	0.564
SEPT2	0.723083333333333
SOHLH2	-0.778375
MCOLN3	-0.598285714285714
UNQ1945	0.812
MASP2	-1.231
ZNRF3	0.9666
GPATCH3	-0.08225
AGL	-1.3015
QRICH2	-0.255
PSD4	0.773166666666667
CCNB1IP1	-2.0225
ENPP7	0.23125
OBFC1	0.51225
KCNG3	-1.05475
C14orf79	0.356166666666667
ENPEP	1.64333333333333
SCT	1.7675
SKI	1.1915
SEC61G	-1.43025
CAPN11	0.774
ATXN7L3	-0.82575
DBNDD1	-0.446666666666667
FAIM	0.521
ANKRD36	-0.3795
GABRP	3.64233333333333
TACSTD2	1.85766666666667
EIF3J	-0.38825
PPP2R2A	0.18325
TEKT4	-0.351
PVALB	-1.43783333333333
F10	-2.15216666666667
FAM134C	0.5903
COMP	4.65475
EFCBP1	-2.2726875
SCLT1	0.82
TAL1	-0.7309
ACSL1	0.474
ABCC5	0.626
ABL1	-0.344444444444444
RBBP7	0.0414166666666667
PTPRG	-0.648125
NCOR1	-0.2503
SPINK4	-0.053
TXNRD1	-1.2429
TNRC15	0.82875
C9orf138	0.75125
UBE2H	1.709
BRDT	3.92916666666667
C8orf31	0.077
CCNE2	-0.731
SLC6A8	-1.7385
CALCR	-2.76
PPP1CB	0.544333333333333
ABHD8	0.11625
ARF5	0.221
SLC24A4	0.8305
CCT3	-0.05625
ZNF121	0.622625
SLC3A2	-0.4332
OR13A1	0.4155
SLC5A10	-0.451
RAD50	-0.13525
IER5	0.3105
MTHFD1L	-2.090375
MBTPS2	0.90725
MVK	-0.915125
NCL	0.0536
PSMD10	-0.26075
MOBP	0.413625
FLJ32894	-0.4025
HRH1	-0.514333333333333
C5orf30	1.568
NUDT16L1	1.1227
RASGRP3	4.228
PRKRIP1	-0.3462
CCDC75	0.60775
LOC253970	0.634
KIAA1239	0.01425
MED21	-0.12325
SYT11	1.05891666666667
NTSR2	-0.281
EGFL11	0.0385
CXorf59	0.46
OR2A25	0.551
SPTBN2	-0.90075
LRMP	-0.695666666666667
RNF111	-0.17525
PTH	-0.642
LOC619208	1.21083333333333
KIAA0895	-0.05325
RANBP5	-1.538125
P2RY10	2.1455
NME5	2.65683333333333
DDX21	-1.144
LRSAM1	-0.019
HDAC11	1.199
VMO1	2.358
NOLA2	0.641333333333333
ADAR	0.8655
MTO1	-1.14466666666667
SF4	0.354166666666667
P2RX1	-0.0155
HBM	0.1
EN2	0.865
C14orf172	-0.1295
TM9SF2	0.1713
INHBE	-1.209
TCTE3	0.485416666666667
TOX2	-0.89725
CTAGE3	0.18775
HBB	4.0056
MED15	-0.9755
CASR	0.48725
C6orf66	-1.20916666666667
MTPN	-0.323375
UNC50	-0.42625
C21orf33	0.01175
IRF2	0.789625
PGR	1.23266666666667
GPR84	3.14425
CROCCL1	-3.3325
SRPX	-1.66525
BRE	0.359333333333333
FGF10	0.39775
SDC3	0.563833333333333
ZRSR1	-0.0626666666666667
DKFZP434P211	-0.5295
SOX6	-0.8215
RPUSD2	-0.168
C14orf173	-0.3835
MAPK11	-0.467
TBC1D22A	0.724
FAM123A	-0.4095
COL4A6	-2.39883333333333
TOMM70A	-0.194
NAB1	-1.187125
MGC16385	-0.4365
TSPAN18	0.546
MED31	-0.61425
PLG	-0.3155
CAPSL	3.021
ZNF532	0.8734
ASB14	0.0625
CA8	-1.93125
NUDT16P	1.89616666666667
SLFN11	-0.7345
LRRIQ2	0.45475
NOL7	-0.236166666666667
BRMS1L	-0.749875
JARID1A	0.4525
PANK2	-0.304
ICAM3	0.419
MDS1	-0.4075
TAF8	-0.8475
RNF139	0.9575
ZNF594	-0.433333333333333
ADAM8	2.4865
SFTPC	-0.176625
MAN2B2	1.485125
RGS12	0.664375
EIF1AY	-5.03958333333333
LRRIQ1	-1.82783333333333
GPR150	1.132
CCDC21	-1.2885
PRRG3	0.6525
SAA4	-3.057
RAPGEF5	2.361875
ZCCHC2	0.0795833333333334
MGC39372	1.5975
PPP4R2	0.0356666666666667
CDCA2	-1.07916666666667
OR4D5	0.749666666666667
PTGFRN	1.7641
SIGLEC5	2.69866666666667
C19orf61	-0.632
NMUR2	0.532
KIAA1586	-1.302
DAGLA	0.154
CHCHD6	-0.02475
GPR32	0.7045
NEUROD6	0.260166666666667
SLC2A4RG	0.4286875
CA5B	-0.31275
FBXL3	0.785
MPHOSPH9	-0.88975
HMG2L1	0.6775
HCN4	0.562166666666667
CEACAM19	0.08875
SH2D4B	0.756166666666667
HFE2	-0.8595
TGM4	-0.0725
LYPD2	0.42975
TBC1D15	0.282
MRPS21	-0.0599
NONO	-0.5512
CLEC5A	1.41625
ITCH	0.3854
MGAT3	-0.954166666666667
MBP	0.0176249999999999
RPP25	-1.05725
SOSTDC1	-0.08025
HRC	-0.997
TRIM48	-0.0375
TMEM133	0.5635
ECEL1P2	-0.9795
HOXC11	1.803
DOK5	0.129
HELZ	-0.038
LOC348180	-0.97225
MGC33894	0.38975
ADRB3	-0.013
DMD	0.172
PTRH2	-0.01825
MPEG1	3.7625
NDUFA12	0.101
KRTAP2-4	0.118916666666667
STAMBPL1	-1.206
ADCY2	-0.351666666666667
UNQ6125	0.2015
KLHL20	0.659833333333333
SRM	-0.9995
OTC	0.057
TMIE	0.2685
SNX8	0.74025
LIPK	0.0545
CHURC1	0.706
KLC2	0.1255
HDAC1	-0.174
FAM128A	0.920333333333333
FNDC3B	-0.0232
MTCP1	0.0358333333333333
WFDC10B	0.1433
PCDHGB3	0.915
ATRNL1	-2.2799
CAV2	-0.12275
MED26	0.211166666666667
DUS1L	-0.498
CHRM3	-1.604375
NEK9	0.598
WARS2	0.241
TBX22	1.3935
TOMM40	-0.904
RP6-213H19.1	0.0158333333333333
TUBGCP5	-0.339
IGSF6	5.86075
TPPP	0.826833333333333
UNQ6190	0.0355
GSTM5	0.270375
BTD	0.837333333333333
PDCD1LG2	0.883166666666667
SNRPB2	-0.655
ERICH1	-0.32875
APOA4	-1.557125
HOXA11	-1.89225
NARG1	-0.9635
MKX	1.0865
RAB28	-0.370142857142857
PKP3	0.01275
SH3GL2	-1.51175
CTSO	3.28125
RPN2	0.28675
IL28RA	0.376833333333333
SFMBT1	0.363
WDR57	0.314625
FER1L3	1.17533333333333
HSF5	-0.018
TTC9B	0.4525
C4BPA	-3.76266666666667
ALB	-3.04185714285714
SORBS3	0.481625
UPF2	-0.344
JPH1	-0.1825
AGBL2	-1.07475
DOPEY1	1.2895
TERF1	-0.0981666666666667
KIF22	-0.5295
NINJ1	1.5645
SEC61A2	-0.0173333333333333
HIST1H1D	-1.70216666666667
SFXN4	0.26125
UCP3	0.7469
ZNF703	0.840333333333333
MYL6B	-0.0105
TREM1	1.78
OR52E6	0.2585
CKMT2	1.24925
HLA-C	2.567875
SLC13A3	-1.88766666666667
TIMP4	0.19775
SLIT2	2.714
RSF1	1.31038888888889
LONRF1	-1.01207142857143
MON1A	-0.620833333333333
CACNG6	-0.152833333333333
DPPA4	-5.55166666666667
ZSWIM3	-0.052
ZNF804A	0.6885
CCIN	1.38975
SLC25A31	-0.74175
KCNMB4	-0.38625
RABL5	0.84075
GALNS	-0.7751
STX6	1.1025
HIST1H1C	-1.89683333333333
CIDEB	0.329625
CASP4	0.436333333333333
PDK3	1.3173
KCNJ11	2.7575
TPR	-0.48825
ZSCAN20	-0.2645
MTX2	-0.136
HIST1H2BH	-0.3475
LOC283767	1.22125
LYRM7	-1.17572222222222
BRD3	0.290333333333333
HIST1H2BO	-0.4985
MAGEB10	-0.1475
SLC45A1	2.12125
SERPINA3	3.7825
KIAA0143	1.05325
KCNJ16	0.923166666666667
KRT79	-0.0885
FABP2	-0.618666666666667
NUT	0.08375
ZNF57	-0.19275
FBXL4	0.336
CLEC9A	2.3785
UGT8	-1.05816666666667
BMP2K	0.68225
MAPK4	-3.3555
SLC25A23	-1.0289
HINT1	-0.1915
KRTAP13-1	0.3345
SFXN5	0.3963
CHCHD2	0.073
FAM3D	3.0385
NDP	-2.548125
RHOBTB1	0.490833333333333
SLC4A4	-0.9935
RPL38	-0.65225
HTF9C	-0.4305
AP2A2	0.145125
ZBTB46	-0.141
MAP7D1	0.1345
AOX1	-1.48066666666667
CYR61	0.2255
DTNA	-0.831571428571429
JRKL	-0.35125
TMOD3	0.4025
EEA1	-0.00719999999999999
ADCK5	0.0575
IL1R1	0.91
KLK3	0.512357142857143
HRSP12	-1.31525
KTN1	-0.0925
LOH11CR2A	0.3055
RELL2	-1.67125
MAB21L1	0.7035
C20orf59	-1.51683333333333
PHKB	0.35975
ADAM2	-2.5985
TBC1D8B	1.18533333333333
FAM13A1	-0.1386875
LAPTM4B	-0.885583333333333
LCN8	0.3865
TMEM147	0.5835
SYT4	-0.189666666666667
XPO7	-0.929
C9orf62	1.0945
GPR75	0.3115
TRIM5	0.408625
APOC1	0.870333333333333
RNASE4	1.08816666666667
PARD6B	0.37175
ARID1A	0.243416666666667
TPD52L3	0.0638000000000001
RRAGB	1.08366666666667
RCN2	-0.564666666666667
HIST2H2BE	-0.1061875
STARD7	-0.06625
SHMT2	-0.76425
KIAA1751	0.131
MLYCD	-0.161375
LOC162632	-0.5986
UQCRH	-0.99975
RP11-217H1.1	0.5905625
SDHA	-1.46933333333333
NCLN	0.1119
ZNF17	0.604166666666667
RCBTB2	-1.161
VEGFB	-0.00160000000000001
RP4-747L4.3	0.2335
COLQ	-0.033
MPN2	-1.074
DRG2	-0.8805
KLRB1	5.31675
ALPK2	-2.93775
DNASE2B	1.88375
FLJ23834	0.184
AXUD1	0.805166666666667
SAFB	-0.099
NSUN4	0.15425
RFX2	0.482666666666667
MAPK8IP1	-0.077
FANCD2	-1.13521428571429
ANKZF1	-1.88466666666667
C19orf50	-0.443875
DUSP8	0.361375
SENP5	0.2655
NFKBIL2	-0.361
LBR	-1.298375
IGFL1	1.2685
LZTS2	0.316375
IL2RG	0.05825
CCDC51	-1.07725
KLF3	0.689625
ANKRD37	-2.114
KCTD14	0.0025
FZR1	0.733083333333333
SLC44A4	4.1671
ESPL1	-1.196875
GMPR2	-0.3139
TBC1D19	0.183833333333333
ERGIC1	0.976222222222222
ERBB4	0.9086
TSPAN32	-0.225166666666667
MAP4	-0.397625
GPHN	-1.18425
SLC6A2	0.033875
HIVEP1	0.656
DFFB	-0.7663
EIF4EBP2	0.735625
DMRT1	0.09775
HSPB6	-0.25
IER2	-0.0841666666666667
AIFM1	-0.421
WWC2	-0.697
MRPL4	-0.5375
FLJ21062	0.639333333333333
EPB41L4A	1.59491666666667
SH2D6	0.3055
TAF4B	-1.29125
GAL3ST3	0.1785
MALT1	-0.559833333333333
RTDR1	0.247
ARVCF	-0.40175
MEX3B	-0.694333333333333
FBXO16	-0.031
KIF7	-1.1685
C1QC	4.34866666666667
ZNF783	-0.606166666666667
ZNF85	0.271
MMP13	1.6095
KIAA0329	-0.086625
RTP3	-0.754
ZBED3	0.492
CLGN	-1.10525
SLC25A37	-1.36145833333333
hCG_18290	0.332
OR5AS1	0.3105
SMARCC2	0.454166666666667
FAM109A	-0.2695
CCDC12	-0.43325
USF2	0.7612
DEPDC7	-2.03725
C20orf24	-0.473833333333333
JMJD3	-0.0585
DSP	1.45892857142857
SLIC1	1.147125
FAM20A	1.3835
IRF2BP2	0.6165
ZNF230	0.1635
MSN	0.0697857142857143
SLC9A5	-1.7845
EPDR1	-1.9044
MUSK	-0.117
ZNF434	0.192166666666667
SMARCD1	-0.236333333333333
ZFP106	-0.611
ZNF347	0.5609
GTF2E1	0.15525
RY1	-0.221
ATAD2B	0.030125
