Hybridization REF	TCGA-A7-A0DA-01A-31R-A115-07
CEP350	0.19675
OR10A2	0.111
CST7	-0.51775
CIAO1	-0.8635
SELL	0.08775
OR8J3	0.052
LTBP4	0.151166666666667
SIRT6	0.14725
CCL19	0.78225
PPIL1	-0.966166666666667
GBP7	-1.4166
STK17A	-1.1646
ABR	1.4415
OR9G1	0.014
FOXE1	-0.4265
CNGA3	0.069
GML	0.4695
CD38	-3.34075
ZDHHC6	0.3165
NEFH	-1.69825
CTDSP2	1.30766666666667
PGBD5	0.882833333333333
CCNY	1.305
RMND5B	-0.31275
ZNF257	-0.52425
FLJ22167	1.354
EXOSC7	-0.386166666666667
ROR2	1.8485
MAOA	-1.043875
TNNT3	0.588166666666667
GYPC	-1.30675
C7orf33	1.1375
PLIN	0.117833333333333
LOC90826	-0.4105
RNF4	0.4465
F8A1	0.140333333333333
PLEKHG4	-0.696
GRB2	0.31145
HIST1H2AD	0.12275
DUS3L	-0.395333333333333
EIF1	-0.386833333333333
RP5-1077B9.4	-0.427166666666667
FPGT	1.07225
GDF10	-0.976333333333333
COQ9	0.17375
GCC2	-0.283142857142857
RARRES3	0.80825
PLXNA1	0.8703
KIAA0100	-0.1946
PMF1	0.34
FNDC1	4.7125
HS2ST1	-0.5005
CRELD2	0.422
C8G	-0.9385
CD82	1.77775
LIM2	-0.971
UNQ6490	-0.908
MMP16	-0.072
DRD3	-0.218
C5orf26	-2.62325
C11orf73	-0.1305
PTP4A2	-0.6245
OR4M2	0.496
HPCA	0.116
SEC14L1	-0.716833333333333
CHFR	-0.02775
EMILIN1	1.447625
NDUFS4	-1.57325
COL18A1	1.098625
PDZD3	0.1216
C9orf16	-0.07
ERBB2IP	-1.28483333333333
EMX2	3.669
FUS	-0.4945
TF	-2.2687
CLCN4	2.61316666666667
CXorf56	-1.01875
C11orf72	0.497
ELAC2	-0.72525
NPR1	-1.14475
ASS1	-0.814
USP42	-0.041625
POLR2J	-0.137
SEC23IP	0.503333333333333
UQCRC1	-0.138
LOC729603	0.41775
C1orf71	0.011125
POLG	-0.5545
ADAM23	-3.19525
TFR2	-0.268
RICTOR	-0.2996
MGC39606	1.171
C19orf55	-0.233625
SNAPC1	-1.23583333333333
GNA11	1.072
CCDC52	0.435
FSIP1	-1.048
UPF3A	1.327375
IGSF11	-1.568
LAGE3	-0.54775
CHST6	-0.141
UNC13B	0.642
TTLL4	1.42025
ZNF687	0.879625
SDC2	2.1851
COX7A2	0.58025
LAMB4	-0.21925
FAM24A	0.5535
LRRTM3	-2.116
GPHB5	-0.45725
OR4C13	-0.0735
EIF3EIP	-0.896214285714286
HABP4	0.21
TMEM125	3.33425
CNTN2	0.301625
ASNSD1	-0.066
FUT4	1.327375
ACF	-3.617
LOC158381	0.5455
CDH8	0.24175
AGPS	-1.39966666666667
C4orf18	1.922875
PECI	-3.19583333333333
UNG	0.227375
GSTP1	0.342125
DCUN1D5	-0.934166666666667
DKFZP564J0863	-1.0625
SLC9A3R1	0.629875
BCDO2	0.1535
CHMP7	0.754875
REM2	0.333
DNHD1	-0.65525
FKBP4	-0.2815
ZNF350	1.443
MGC11102	-0.198625
BST1	1.89675
KISS1R	-1.318
NCR2	-0.2685
DEFB125	0.87
UBE2W	0.44825
KRT15	3.723125
C10orf99	0.134
SCN11A	0.032
GFI1	-2.385
RDHE2	3.05533333333333
FHL1	-0.751
OSGEP	-0.737
GATA1	-3.85866666666667
SMC6	-0.3985
TTTY14	-1.13725
LPIN3	-0.00275
RPL4	-0.1893
RBPMS	0.6732
PRPF3	1.35666666666667
EMR1	-2.108
SPATA19	0.1615
XCR1	0.1395
IRX3	0.6226
RBM6	0.2435
KLF4	0.0997
UNC5CL	0.24
SEBOX	0.66
BTK	-0.7665
KRCC1	1.48725
C6orf27	0.1145
SYTL5	-0.6065
PRND	2.815
LOC653319	-1.878
PIGL	-2.141875
HUS1	0.0945
SFRS6	-0.138083333333333
C17orf77	0.5435
UIMC1	-0.346833333333333
FXYD2	-1.7761
LOC283152	-0.108
ZNF667	1.62725
ZCCHC12	-0.07275
TFEC	2.697
ATP7B	0.1985
POLD2	-0.789
RG9MTD1	0.51475
ACOT2	-0.468666666666667
HIST1H4I	-1.512625
PPARGC1A	0.678
ETFA	-0.4148
POLRMT	-0.5485
ZNF146	1.634625
MIA2	-3.1915
KLHL6	-1.58966666666667
HOXB5	-0.854125
NENF	0.592166666666667
CUGBP1	-1.26325
PRSS22	1.68883333333333
CASC4	-0.1962
CUL4B	-0.3015
CENPJ	-0.0485
PITX1	0.800333333333333
FLJ31033	0.344333333333333
CELSR3	-2.149
ZNF568	0.81625
ITSN1	-1.12916666666667
EHBP1L1	-0.068
C19orf2	0.98625
DCTN1	0.47975
LIN28B	-4.69933333333333
TNKS2	0.0065
C1QBP	0.51375
CADPS2	-1.146
SRMS	0.15925
GJA9	0.8085
MGC24975	-0.593166666666667
TRIM45	-0.881166666666667
TSP50	0.4815
TCP1	-0.85775
TMED7	-1.5686
CMA1	0.225
CENPL	0.384166666666667
PTCRA	-0.3135
FST	-2.444
VWCE	-3.27175
PAWR	-0.23125
ABCC12	-0.654
LDLR	-0.559
ASTN2	-0.7482
LOC441212	-0.570625
GPATCH8	0.481
TANC2	-1.08141666666667
KIF4A	-1.537
C18orf18	-1.6185
PGM1	-0.146
KIAA0258	0.548
CPD	-0.687375
SNCAIP	-1.37625
DCT	-4.09916666666667
HLA-DOA	2.17440909090909
OR11L1	0.3525
UPK1B	-0.150666666666667
DNAJB4	1.080625
UGT1A8	0.046
HIST1H4L	-2.615
PECR	-1.73233333333333
HSPA2	0.866
WFIKKN1	-2.331
SERP1	1.438875
SYDE2	0.76375
TACR2	0.344
NUP85	-0.62875
CD177	2.95666666666667
LGR5	-2.316
PIGG	0.258083333333333
PTHR1	-1.35166666666667
RAB5A	0.9639
FLJ13224	-0.18
USP9Y	-2.12783333333333
C7orf53	0.8605
LRP1B	-1.2365
XAF1	2.5859
ABCG8	0.239
ANKDD1A	-0.543666666666667
DAND5	0.445
SPAG6	-0.295833333333333
LINCR	2.18925
ZDHHC22	-1.548375
CCDC60	1.425
THOC7	-0.7745
TCTA	0.7477
OR8K3	0.19775
NY-REN-7	-0.0185
B2M	0.710666666666667
C6orf141	-0.786125
LPPR4	2.62875
SQLE	1.47825
SEPHS1	0.3315
BTBD14B	-0.38
PLRG1	-1.35075
SPG7	-0.4493125
ZNF614	0.00966666666666667
PARD6G	-0.508666666666667
INPP5B	0.3063
GRPEL2	-0.872625
PPID	-0.9447
TRIM56	-0.031
UBE2J1	1.252875
IL20RA	1.1195
LOC387856	0.96725
C1orf107	2.11425
UTS2R	-1.86475
C19orf22	1.47725
SAFB2	-1.0495
KIAA0652	0.4545
KLRG1	-2.046
MS4A8B	0.0736666666666667
FRAG1	0.171
KIAA1546	0.5595
E2F4	-0.5994
CLEC4M	-0.807
BTBD14A	-1.28225
KIAA0999	0.4829
GYPA	-4.2006
TAC1	0.4799
TRAIP	-1.64116666666667
KIAA0232	0.6478
ERCC8	-2.11825
GPX4	-0.175875
KIAA0368	-0.864
GPR157	-0.155166666666667
CTAGE4	1.6295
C9orf30	-0.087
OR52A1	0.513
HSP90B3P	0.4525
ALG9	0.2792
BTBD10	-0.031
SDK2	0.306
BAIAP3	-0.9225
RABGGTB	-1.055375
ANKRD40	0.233333333333333
KRT74	0.259
CALCOCO2	-0.0197857142857143
SNCA	-3.168
TMSL8	-2.33775
C2orf53	0.097
ESRRB	-0.1895
ARHGAP26	-0.535125
TDRD9	-0.906
HRAS	-0.8815
KLRC4	-2.1055
JAGN1	-0.175166666666667
BSDC1	0.14175
RNF43	1.2068
NDUFAF1	-0.67275
PHF12	0.432
OR1L3	-0.099
FOLR2	0.956583333333333
LYZL6	-0.360166666666667
tcag7.1260	-0.0415
WSB1	-1.46483333333333
PROS1	-0.1229
OSTN	0.911
PSMB8	-0.1245
SOCS4	0.967428571428572
DDIT4L	1.549
MAS1	0.749
MGC34796	0.25625
CSHL1	0.126666666666667
TBCCD1	0.846
ZBTB7C	0.4495
AP2S1	-0.60175
P15RS	-0.0949
VAT1	0.1158
SHANK3	1.2705
TUFM	-1.04133333333333
THEG	-0.28125
KRT34	-1.66075
SGSM3	0.587625
TOMM22	-0.14225
SOCS3	0.893166666666667
CPO	-0.1705
POP4	0.282
BHLHB3	1.478
MALL	1.99925
OR1B1	-0.132
PARK2	1.63583333333333
GPR124	2.01775
LCE1E	0.7985
RUVBL2	0.04625
CGRRF1	-0.1473
ACPL2	1.50125
WNT10B	-0.77475
BAIAP2L2	-1.25475
ISCA1	0.345
C1orf125	0.456625
RPAP1	-1.18175
RAI16	0.1205
RPL27	-1.488875
NLRP9	0.00749999999999999
EPN1	0.736
LOC388610	0.195625
SLC35A1	0.2272
GAL	-0.35325
SLC14A2	0.08925
RDH11	-1.20233333333333
FAM138F	-0.4565
AUH	-1.22175
FLJ40243	0.29
C14orf129	-0.484833333333333
MBD2	-0.944
ABHD14B	-0.379625
PIGT	-0.758
ALS2CR4	-0.00725000000000005
ALAS1	0.9377
FOXO1	1.3435
CRLF3	0.177875
C20orf107	-0.1
FARS2	0.37825
CCDC28A	1.33525
NPHP3	-0.51575
OR13F1	0.5995
TSEN54	-0.1595
DEFB106B	0.2567
OR8B4	0.843
STH	0.45725
ZC3H14	-0.859375
CBX2	-1.4495
TMEM49	-0.74675
C6orf21	0.3115
FLJ20920	0.668875
CRTAP	-0.822928571428571
DDX50	-0.15075
STYXL1	-0.624
BLVRB	-0.930833333333333
LOC147650	-0.533833333333333
MMP24	-0.31275
GRID1	1.914
BANF1	1.04283333333333
CTAGEP	0.93625
HMBS	-2.145
SLC25A24	0.329
C14orf50	0.0295
MRO	0.704666666666667
SLC25A15	0.44775
FAM84B	0.8809
TDP1	-1.8935
C16orf78	-0.0631666666666667
C11orf57	0.522875
RFK	-0.531625
ZFYVE9	-0.042
STCH	-0.7465
WIBG	-0.498
LOC283871	-0.644333333333333
GBA2	0.1051
NDUFB3	-1.4535
HSD17B13	-0.2915
GRIN3A	0.7255
FMNL1	0.124666666666667
SEPT7	-0.8309
GNLY	3.1425
GRAMD1C	1.553
ZNF165	0.30375
USP38	0.2535
FAM83A	-3.69116666666667
C14orf24	1.21141666666667
ARMCX3	0.932125
ARHGDIB	1.253
AK1	-0.315875
KIAA1045	1.27525
DNAJB13	-0.2745
NEU2	-0.5015
HIST1H4B	-2.24216666666667
FAM20B	-0.3191
HES2	0.129214285714286
FAM73B	-0.3014
LOC388381	-0.26925
INTS7	0.266454545454545
AMPH	1.34425
ZNF775	-0.7815
UCKL1	-0.218833333333333
C10orf97	-0.04925
C1orf161	-0.0145
ALDH1L1	-1.27525
FLJ39378	0.364875
SLC23A1	-2.4175
RBM4B	0.34575
THAP4	-0.42
OGFRL1	2.4565
KIAA0831	0.181125
PPP1R15A	1.03516666666667
C1orf96	0.242071428571429
C12orf11	-0.65175
BMF	0.728
MAN1A1	-1.104875
KIAA1600	0.753333333333333
NLGN4X	-0.6875
ALOX12	-1.15116666666667
RB1CC1	0.4004
NEIL2	0.8031
EIF4E	-0.393363636363636
ABHD5	-0.364
EXOC4	-0.146833333333333
CIP29	0.0565
BATF2	0.22075
SLC29A4	0.277
HTR4	0.195
EMB	-2.4335
TRAF6	0.7985
LMNB1	-3.72275
FAM19A5	-1.355125
SHE	1.09625
PIK3C2B	1.50275
C15orf15	-0.7615
USP15	-0.4686
TCEAL2	2.10425
C5orf39	-0.238666666666667
PTGER2	-1.591
SLC31A1	-0.9016875
IFT172	0.44725
ADAM29	0.65375
GFOD1	0.9325
ST7L	0.668666666666667
C15orf26	-3.4145
PKN3	-1.32375
CNTD1	0.4355
COMMD1	-0.494
NTRK2	1.47591666666667
FOXN3	0.20275
MFGE8	3.0533
PFKFB2	0.654166666666667
TAS2R4	-0.165
ENTHD1	3.09116666666667
PRMT5	0.451375
MGC16384	-0.598
LOC442229	-0.41425
TSKU	0.736625
KRTCAP3	2.8425
PDLIM1	0.0834
KCNS2	0.16475
RNF126	-0.386166666666667
CEP63	0.270875
CLIC4	1.6465
hCG_1990170	1.8415
ACR	1.679
KLK7	4.05225
ALOX5AP	2.61375
RIPK3	3.794
TAS2R9	-0.0165
C19orf18	0.885
BIRC6	0.672642857142857
ZNF16	1.8015
RFT1	-0.532
SLC8A2	-0.351
TACC1	-0.65
ITGAD	1.91625
SAMHD1	0.1385
SH3PXD2B	1.878
EPC2	0.68775
C20orf85	0.76575
ATP13A2	0.720833333333333
KRT4	0.88025
CAPNS1	0.91575
MDM2	-0.314333333333333
PCDH20	2.79866666666667
KCNK9	0.8775
OR2C1	-0.8375
KLHDC3	0.4325
IPPK	0.3505
EFHD2	-0.85275
GALR3	-2.12025
NBEA	-1.512
ABCA6	1.6624
CLDN3	1.45133333333333
AKT2	0.327785714285714
EGFR	1.1512
RBM16	0.08025
ZDHHC3	-0.3111
SLC25A4	-0.531166666666667
CYB5B	-1.183
CPXM1	-0.28575
NDRG1	2.32584615384615
FLJ43826	0.17775
OR5L2	0.165
FARP2	-0.3804
MRPL46	-0.518833333333333
LDHAL6B	0.227666666666667
MAPKAPK3	0.250666666666667
NCAM2	-2.169
PRKD2	0.41
ZFP36L1	0.6624
CYSLTR1	-1.80725
OR4C3	0.5475
HIST1H2AJ	-0.7375
CCNB2	-0.532111111111111
ZNF10	-0.076375
TMEM175	0.2395
FAM134A	0.0948333333333333
TIGD4	-0.36
PCNP	0.385
MGC39715	1.038
LQK1	-0.3045
CREB1	0.6625
TMPRSS3	2.14075
C4orf32	-0.627625
LAT	-2.44008333333333
KCNA3	-0.188
SKIV2L2	-1.7705
ROPN1B	4.51825
tcag7.23	-0.0545
CDT1	-2.76725
ZHX2	1.78575
CD28	-3.77625
ZNF624	1.14575
SEPT2	-0.36125
SOHLH2	-1.1975
MCOLN3	-0.614285714285714
UNQ1945	-0.18
MASP2	-0.9
ZNRF3	-1.3425
GPATCH3	-0.37325
AGL	0.784375
QRICH2	0.0805
PSD4	0.746833333333333
CCNB1IP1	-0.35975
ENPP7	0.455
OBFC1	-0.2885
KCNG3	-2.165
C14orf79	0.260833333333333
ENPEP	3.20083333333333
SCT	1.825
SKI	-0.01725
SEC61G	0.40725
CAPN11	-0.43125
ATXN7L3	0.7725
DBNDD1	1.23383333333333
FAIM	0.95825
ANKRD36	-0.9095
GABRP	4.775
TACSTD2	1.7505
EIF3J	-0.23
PPP2R2A	0.0465
TEKT4	-0.018
PVALB	-3.48433333333333
F10	-2.948
FAM134C	0.796
COMP	4.0545
EFCBP1	-2.509875
SCLT1	-1.143125
TAL1	-1.5695
ACSL1	1.05175
ABCC5	0.0246666666666666
ABL1	-0.442055555555555
RBBP7	0.947583333333333
PTPRG	-0.131
NCOR1	-0.0204
SPINK4	-2.45383333333333
TXNRD1	-1.6251
TNRC15	-0.593
C9orf138	0.214375
UBE2H	0.356
BRDT	1.288
C8orf31	-0.13025
CCNE2	-1.85854545454545
SLC6A8	-0.596625
CALCR	-4.18825
PPP1CB	2.4445
ABHD8	0.89025
ARF5	0.6777
SLC24A4	0.632
CCT3	0.22075
ZNF121	0.131375
SLC3A2	-0.2452
OR13A1	0.324
SLC5A10	-0.601
RAD50	-1.09825
IER5	-1.32275
MTHFD1L	-0.965125
MBTPS2	0.2885
MVK	0.473625
NCL	-0.1007
PSMD10	-0.4545
MOBP	-0.43525
FLJ32894	2.375
HRH1	-0.454
C5orf30	-1.274
NUDT16L1	-0.2411
RASGRP3	3.13933333333333
PRKRIP1	-0.3402
CCDC75	-0.7525
LOC253970	1.104
KIAA1239	-1.0515
MED21	-1.86025
SYT11	0.0873333333333333
NTSR2	0.349
EGFL11	2.8365
CXorf59	1.5805
OR2A25	-0.017
SPTBN2	1.1225
LRMP	-2.21633333333333
RNF111	1.091
PTH	-0.821
LOC619208	0.141333333333333
KIAA0895	2.077
RANBP5	0.391125
P2RY10	-1.21016666666667
NME5	0.612333333333333
DDX21	-0.44525
LRSAM1	0.372
HDAC11	0.975666666666667
VMO1	1.393
NOLA2	-0.393166666666667
ADAR	0.954666666666667
MTO1	-0.506833333333333
SF4	0.282
P2RX1	-0.257833333333333
HBM	0.0895
EN2	-1.5535
C14orf172	-0.1325
TM9SF2	2.1872
INHBE	-0.7725
TCTE3	-0.0535
TOX2	-3.14675
CTAGE3	0.631375
HBB	2.197
MED15	-0.114166666666667
CASR	0.265
C6orf66	-0.209666666666667
MTPN	0.038625
UNC50	-0.0645
C21orf33	0.06475
IRF2	0.327375
PGR	-2.91516666666667
GPR84	2.61325
CROCCL1	-1.772
SRPX	-1.2615
BRE	0.00650000000000002
FGF10	2.418
SDC3	-0.063
ZRSR1	1.25933333333333
DKFZP434P211	-0.39425
SOX6	0.89
RPUSD2	-0.83825
C14orf173	-0.232916666666667
MAPK11	-0.453333333333333
TBC1D22A	0.7375
FAM123A	0.0015
COL4A6	-3.71816666666667
TOMM70A	0.84525
NAB1	-0.14475
MGC16385	0.457875
TSPAN18	-0.644
MED31	-0.91575
PLG	0.09025
CAPSL	0.6245
ZNF532	1.8913
ASB14	-0.9105
CA8	2.26175
NUDT16P	-0.174333333333333
SLFN11	-0.0985
LRRIQ2	-1.092375
NOL7	-0.294333333333333
BRMS1L	0.792625
JARID1A	-0.756333333333333
PANK2	-0.55425
ICAM3	-2.0695
MDS1	-0.46875
TAF8	-0.3035
RNF139	1.1115
ZNF594	0.539
ADAM8	1.56625
SFTPC	-0.51625
MAN2B2	1.004875
RGS12	0.4625
EIF1AY	-4.50375
LRRIQ1	-0.6295
GPR150	-2.21875
CCDC21	-0.308333333333333
PRRG3	0.37575
SAA4	-3.9095
RAPGEF5	-1.449375
ZCCHC2	-1.11258333333333
MGC39372	0.0575
PPP4R2	0.0253333333333333
CDCA2	-0.345833333333333
OR4D5	0.530833333333333
PTGFRN	1.314
SIGLEC5	1.394
C19orf61	0.939666666666667
NMUR2	0.45
KIAA1586	-1.93583333333333
DAGLA	0.6775
CHCHD6	0.44675
GPR32	0.507
NEUROD6	0.105666666666667
SLC2A4RG	-0.34575
CA5B	0.93825
FBXL3	2.12125
MPHOSPH9	-1.469
HMG2L1	0.5265
HCN4	-1.81916666666667
CEACAM19	1.522
SH2D4B	-0.135833333333333
HFE2	-0.761
TGM4	1.0514
LYPD2	0.38125
TBC1D15	-0.26475
MRPS21	-0.2887
NONO	-1.5635
CLEC5A	2.906125
ITCH	-0.5641
MGAT3	1.167
MBP	-0.515125
RPP25	1.52125
SOSTDC1	3.7745
HRC	-1.58475
TRIM48	-0.6255
TMEM133	-0.02725
ECEL1P2	-1.9995
HOXC11	1.4215
DOK5	0.0125
HELZ	-0.564333333333333
LOC348180	-0.5535
MGC33894	0.27725
ADRB3	0
DMD	1.01783333333333
PTRH2	-0.29875
MPEG1	2.1536
NDUFA12	-1.915
KRTAP2-4	-0.163583333333333
STAMBPL1	-1.848
ADCY2	0.311333333333333
UNQ6125	-0.3095
KLHL20	0.109333333333333
SRM	-0.863
OTC	-0.24125
TMIE	-0.00266666666666667
SNX8	-0.678
LIPK	1.396
CHURC1	-0.870333333333333
KLC2	0.284
HDAC1	-0.9245
FAM128A	-0.314833333333333
FNDC3B	0.3529
MTCP1	-0.463833333333333
WFDC10B	0.7177
PCDHGB3	0.17
ATRNL1	-3.0139
CAV2	0.915875
MED26	1.02916666666667
DUS1L	0.12975
CHRM3	0.4835
NEK9	0.58425
WARS2	-0.45
TBX22	-0.2815
TOMM40	0.3985
RP6-213H19.1	-0.474
TUBGCP5	-0.62025
IGSF6	2.863
TPPP	1.297
UNQ6190	0.323
GSTM5	1.96225
BTD	0.488333333333333
PDCD1LG2	0.775666666666667
SNRPB2	-0.1445
ERICH1	-0.491875
APOA4	-1.84125
HOXA11	-0.3615
NARG1	-0.882
MKX	-0.23975
RAB28	-0.215571428571429
PKP3	0.55175
SH3GL2	-1.8335
CTSO	2.54475
RPN2	-0.6381875
IL28RA	0.432333333333333
SFMBT1	0.43925
WDR57	-1.023
FER1L3	0.78425
HSF5	0.524
TTC9B	-0.4345
C4BPA	-3.519
ALB	-5.061
SORBS3	0.687375
UPF2	1.232
JPH1	-0.0715
AGBL2	-2.1885
DOPEY1	1.1535
TERF1	0.0853333333333333
KIF22	-1.14316666666667
NINJ1	0.04325
SEC61A2	0.0411666666666666
HIST1H1D	-1.91533333333333
SFXN4	-0.87675
UCP3	0.333
ZNF703	-0.0865
MYL6B	-0.91875
TREM1	2.81225
OR52E6	0.568
CKMT2	1.91675
HLA-C	1.890375
SLC13A3	-1.00566666666667
TIMP4	-3.63475
SLIT2	1.178
RSF1	-0.254111111111111
LONRF1	-0.471285714285714
MON1A	0.434666666666667
CACNG6	-2.84266666666667
DPPA4	-5.6785
ZSWIM3	0.31825
ZNF804A	0.529333333333333
CCIN	1.81925
SLC25A31	-0.267666666666667
KCNMB4	-0.0085
RABL5	0.093625
GALNS	-0.0556000000000001
STX6	0.704625
HIST1H1C	-1.08466666666667
CIDEB	1.79725
CASP4	-0.316666666666667
PDK3	-0.5544
KCNJ11	0.345
TPR	-0.583875
ZSCAN20	-0.3695
MTX2	-0.0835
HIST1H2BH	-0.71225
LOC283767	1.0185
LYRM7	-1.96166666666667
BRD3	-0.23
HIST1H2BO	-0.8485
MAGEB10	0.239
SLC45A1	0.5075
SERPINA3	1.99795
KIAA0143	1.771
KCNJ16	0.462166666666667
KRT79	0.78675
FABP2	-0.77325
NUT	-0.42325
ZNF57	0.06
FBXL4	0.990375
CLEC9A	-0.2485
UGT8	2.7955
BMP2K	0.329
MAPK4	0.391
SLC25A23	-0.162
HINT1	-2.0534
KRTAP13-1	0.4725
SFXN5	-0.6326
CHCHD2	0.515166666666667
FAM3D	3.1605
NDP	0.264625
RHOBTB1	-0.956
SLC4A4	-0.923875
RPL38	0.0725
HTF9C	-0.391
AP2A2	-0.111625
ZBTB46	0.752
MAP7D1	1.001
AOX1	-2.22616666666667
CYR61	1.199
DTNA	0.164857142857143
JRKL	2.62625
TMOD3	-1.21425
EEA1	0.1479
ADCK5	-0.05
IL1R1	1.07716666666667
KLK3	-0.326
HRSP12	-0.18525
KTN1	-0.3585
LOH11CR2A	1.2832
RELL2	-0.84675
MAB21L1	1.14025
C20orf59	-0.3395
PHKB	-0.147
ADAM2	-1.8195
TBC1D8B	1.16866666666667
FAM13A1	0.0755625
LAPTM4B	0.11775
LCN8	-0.221
TMEM147	1.1055
SYT4	-0.2095
XPO7	0.0675
C9orf62	-2.94225
GPR75	0.287
TRIM5	-0.559
APOC1	-1.66166666666667
RNASE4	0.434166666666667
PARD6B	-3.37625
ARID1A	0.566583333333333
TPD52L3	0.361111111111111
RRAGB	1.8065
RCN2	0.639333333333333
HIST2H2BE	0.288625
STARD7	0.68175
SHMT2	-0.87025
KIAA1751	0.451666666666667
MLYCD	0.4645
LOC162632	-0.3134
UQCRH	-1.06925
RP11-217H1.1	-0.842
SDHA	-1.4615
NCLN	-0.2082
ZNF17	1.07433333333333
RCBTB2	-1.992
VEGFB	0.5972
RP4-747L4.3	-1.217
COLQ	0.5459
MPN2	3.19316666666667
DRG2	-0.444
KLRB1	2.28425
ALPK2	-1.61875
DNASE2B	0.78325
FLJ23834	0.589
AXUD1	1.00566666666667
SAFB	-0.2427
NSUN4	0.1865
RFX2	0.192166666666667
MAPK8IP1	-0.287666666666667
FANCD2	-0.0792857142857143
ANKZF1	-1.50666666666667
C19orf50	-0.3635
DUSP8	0.953
SENP5	0.2735
NFKBIL2	-0.485
LBR	-0.32975
IGFL1	1.2705
LZTS2	0.58475
IL2RG	-0.732125
CCDC51	-0.5295
KLF3	0.19175
ANKRD37	-1.4145
KCTD14	-0.653833333333333
FZR1	0.36975
SLC44A4	-2.0375
ESPL1	-0.88325
GMPR2	-0.0613
TBC1D19	-0.515333333333333
ERGIC1	-0.552962962962963
ERBB4	-1.2921
TSPAN32	-0.504666666666667
MAP4	0.614375
GPHN	-0.3215
SLC6A2	4.075375
HIVEP1	1.34325
DFFB	-0.1008
EIF4EBP2	0.337
DMRT1	3.6215
HSPB6	-0.08575
IER2	-0.2295
AIFM1	-0.72025
WWC2	-0.0753333333333334
MRPL4	-0.38725
FLJ21062	0.0315
EPB41L4A	-0.649083333333333
SH2D6	0.19475
TAF4B	0.1285
GAL3ST3	-0.2315
MALT1	-1.276
RTDR1	0.028
ARVCF	-0.180875
MEX3B	0.404666666666667
FBXO16	-0.98325
KIF7	-0.15225
C1QC	3.242
ZNF783	0.636
ZNF85	0.376
MMP13	5.225
KIAA0329	0.4585
RTP3	0.155
ZBED3	-0.883
CLGN	-5.43925
SLC25A37	-0.377416666666667
hCG_18290	-0.7455
OR5AS1	0.2645
SMARCC2	-0.334333333333333
FAM109A	0.382833333333333
CCDC12	0.2045
USF2	0.8429
DEPDC7	-1.44475
C20orf24	-0.872166666666667
JMJD3	1.113
DSP	3.07814285714286
SLIC1	0.3955
FAM20A	1.248875
IRF2BP2	1.74125
ZNF230	0.2425
MSN	0.897285714285714
SLC9A5	-2.2385
EPDR1	-1.5101
MUSK	0.71
ZNF434	0.156
SMARCD1	-0.427666666666667
ZFP106	-1.1205
ZNF347	0.9607
