Hybridization REF	TCGA-BH-A0B4-01A-11R-A00Z-07
TTLL4	-1.595125
ZNF687	0.157625
SDC2	0.5855
COX7A2	0.4145
LAMB4	0.45775
FAM24A	0.247
LRRTM3	-0.450666666666667
GPHB5	0.24475
OR4C13	-0.734
EIF3EIP	-0.2365
HABP4	0.2195
TMEM125	2.979
CNTN2	-0.03375
ASNSD1	-0.09125
FUT4	-0.40225
ACF	-3.6335
LOC158381	0.337
CDH8	-0.27025
AGPS	-0.663833333333333
C4orf18	2.390625
PECI	-0.561583333333333
UNG	0.476625
GSTP1	-1.8455
DCUN1D5	-1.04166666666667
DKFZP564J0863	-1.3145
SLC9A3R1	3.128625
BCDO2	-1.45425
CHMP7	0.275375
REM2	1.1895
DNHD1	-0.968625
FKBP4	-0.207125
ZNF350	1.29725
MGC11102	0.252625
BST1	1.663
KISS1R	1.2815
NCR2	0.188
DEFB125	0.561
UBE2W	1.573625
KRT15	3.211375
C10orf99	0.2725
SCN11A	-0.003625
GFI1	-1.405
RDHE2	0.782
FHL1	-1.10633333333333
OSGEP	-0.5265
GATA1	-3.28983333333333
SMC6	-0.91275
TTTY14	1.59125
LPIN3	-0.049
RPL4	-0.7477
RBPMS	0.3957
PRPF3	-1.0645
EMR1	-2.0125
SPATA19	0.09525
XCR1	0.6995
IRX3	1.5207
RBM6	-1.35775
KLF4	-0.5039
UNC5CL	-1.6455
SEBOX	0.178
BTK	-0.53025
KRCC1	0.3695
C6orf27	0.737
SYTL5	-0.678
PRND	3.0745
LOC653319	-1.6405
PIGL	-1.86675
HUS1	-0.495833333333333
SFRS6	0.0146666666666667
C17orf77	0.4295
UIMC1	-0.586
FXYD2	-1.7806
LOC283152	1.423
ZNF667	-0.99275
ZCCHC12	-0.773666666666667
TFEC	2.2826
ATP7B	1.50833333333333
POLD2	-0.893666666666667
RG9MTD1	0.1185
ACOT2	0.507833333333333
HIST1H4I	0.209
PPARGC1A	-2.887
ETFA	-0.9817
POLRMT	-0.1825
ZNF146	0.039
MIA2	-1.212
KLHL6	-0.705333333333333
HOXB5	-0.569375
NENF	0.8645
CUGBP1	0.3595
PRSS22	2.13066666666667
CASC4	1.781
CUL4B	-0.0985
CENPJ	-1.5213
PITX1	-0.647833333333333
FLJ31033	0.316166666666667
CELSR3	-1.104
ZNF568	0.21075
ITSN1	-0.70025
EHBP1L1	-0.491
C19orf2	-0.83875
DCTN1	-0.09925
LIN28B	-3.1424
TNKS2	0.23625
C1QBP	-0.573
CADPS2	0.63
SRMS	0.3855
GJA9	0.238833333333333
MGC24975	-0.519833333333333
TRIM45	-0.950333333333333
TSP50	-0.3585
TCP1	-1.31125
TMED7	0.5509
CMA1	1.017
CENPL	-1.13733333333333
PTCRA	0.0955
FST	-3.4845
VWCE	-3.93625
PAWR	0.82575
ABCC12	-0.1736
LDLR	-1.6294
ASTN2	1.2151
LOC441212	-0.099625
GPATCH8	0.062
TANC2	0.310916666666667
KIF4A	-1.82125
C18orf18	-0.96275
PGM1	-1.967
KIAA0258	0.92025
CPD	0.578875
SNCAIP	-0.3475
DCT	-4.25766666666667
HLA-DOA	2.72695454545455
OR11L1	0.4555
UPK1B	-0.700833333333333
DNAJB4	0.084875
UGT1A8	-0.09175
HIST1H4L	-1.0865
PECR	-0.865
HSPA2	0.816
WFIKKN1	-2.407
SERP1	1.528625
SYDE2	2.04425
TACR2	0.8765
NUP85	0.11925
CD177	-0.372666666666667
LGR5	-1.83216666666667
PIGG	-1.16333333333333
PTHR1	-0.615333333333333
RAB5A	0.4893
FLJ13224	-0.2035
USP9Y	0.533333333333333
C7orf53	-1.7585
LRP1B	1.1055
XAF1	1.411
ABCG8	-0.6205
ANKDD1A	-0.680833333333333
DAND5	-2.5955
SPAG6	0.706833333333333
LINCR	0.57175
ZDHHC22	-1.094375
CCDC60	0.7085
THOC7	-2.15416666666667
TCTA	0.7065
OR8K3	0.35375
NY-REN-7	-0.5825
B2M	1.7045
C6orf141	-1.1225
LPPR4	2.30475
SQLE	0.357
SEPHS1	-0.642
BTBD14B	0.782214285714286
PLRG1	-0.10075
SPG7	-0.7318125
ZNF614	-0.200666666666667
PARD6G	1.07283333333333
INPP5B	-1.3283
GRPEL2	-0.46275
PPID	-0.5062
TRIM56	-0.66925
UBE2J1	-0.309625
IL20RA	3.46175
LOC387856	0.50575
C1orf107	0.440916666666667
UTS2R	1.2255
C19orf22	0.35125
SAFB2	-0.31875
KIAA0652	-0.04575
KLRG1	0.345666666666667
MS4A8B	1.54283333333333
FRAG1	0.326
KIAA1546	0.0405
E2F4	-1.2056
CLEC4M	0.471333333333333
BTBD14A	-0.82875
KIAA0999	0.422
GYPA	-3.61383333333333
TAC1	0.9132
TRAIP	-1.84683333333333
KIAA0232	0.4088
ERCC8	-0.78475
GPX4	0.274
KIAA0368	0.443375
GPR157	-0.828166666666667
CTAGE4	-0.403
C9orf30	-1.107
OR52A1	0.1135
HSP90B3P	-0.6745
ALG9	-0.6917
BTBD10	0.39125
SDK2	0.64025
BAIAP3	0.55275
RABGGTB	-0.565375
ANKRD40	-0.0495
KRT74	0.2075
CALCOCO2	1.07957142857143
SNCA	-2.8565
TMSL8	-4.401875
C2orf53	0.4445
ESRRB	-0.38275
ARHGAP26	0.259125
TDRD9	-2.57275
HRAS	-0.121833333333333
KLRC4	-2.002
JAGN1	0.433333333333333
BSDC1	0.78825
RNF43	0.6884
NDUFAF1	0.09225
PHF12	0.50625
OR1L3	0.21825
FOLR2	1.92941666666667
LYZL6	0.438
tcag7.1260	-1.832
WSB1	-1.4765
PROS1	-0.2555
OSTN	0.685
PSMB8	-0.05075
SOCS4	0.315375
DDIT4L	1.4835
MAS1	0.395
MGC34796	1.4705
CSHL1	-0.0713333333333333
TBCCD1	0.32
ZBTB7C	0.1415
AP2S1	-0.476
P15RS	0.0478
VAT1	0.3566
SHANK3	1.456
TUFM	-0.191
THEG	0.44625
KRT34	-1.9255
SGSM3	0.139875
TOMM22	-0.519375
SOCS3	1.04633333333333
CPO	-0.0405
POP4	0.2625
BHLHB3	1.1785
MALL	1.9525
OR1B1	0.41
PARK2	0.136666666666667
GPR124	1.548625
LCE1E	0.37
RUVBL2	-0.339
CGRRF1	1.0576
ACPL2	0.9305
WNT10B	-1.9295
BAIAP2L2	-2.305125
ISCA1	0.691
C1orf125	0.951125
RPAP1	-0.36675
RAI16	-0.173666666666667
RPL27	0.22
NLRP9	0.6735
EPN1	0.3755
LOC388610	-1.43375
SLC35A1	0.3934
GAL	-3.91175
SLC14A2	0.20575
RDH11	-0.298166666666667
FAM138F	-0.137
AUH	0.121
FLJ40243	-0.13275
C14orf129	0.475
MBD2	-0.0238333333333333
ABHD14B	-0.367
PIGT	-0.419125
ALS2CR4	-0.14075
ALAS1	-0.4952
FOXO1	0.833833333333333
CRLF3	-0.1565
C20orf107	1.5485
FARS2	0.1435
CCDC28A	0.78475
NPHP3	-0.826
OR13F1	0.111
TSEN54	0.93275
DEFB106B	0.135111111111111
OR8B4	0.3205
STH	1.3535
ZC3H14	-0.458375
CBX2	-1.0175
TMEM49	0.08775
C6orf21	0.4175
FLJ20920	0.339375
CRTAP	-0.114642857142857
DDX50	-0.20675
STYXL1	-0.4545
BLVRB	0.893333333333333
LOC147650	-0.799833333333333
MMP24	0.39875
GRID1	1.9895
BANF1	-0.391
CTAGEP	0.0495
HMBS	-1.324
SLC25A24	0.934
C14orf50	0.0495
MRO	1.9565
SLC25A15	-1.462
FAM84B	1.7162
TDP1	-1.252
C16orf78	0.000166666666666674
C11orf57	0.524375
RFK	-0.347625
ZFYVE9	-1.268625
STCH	-0.1103
WIBG	0.559
LOC283871	-0.1975
GBA2	-0.7276
NDUFB3	0.2455
HSD17B13	-0.54025
GRIN3A	1.094
FMNL1	-0.3885
SEPT7	0.0414
GNLY	3.016
GRAMD1C	0.890166666666667
ZNF165	0.12825
USP38	1.57625
FAM83A	-3.23616666666667
C14orf24	1.691
ARMCX3	1.502625
ARHGDIB	0.674
AK1	0.129375
KIAA1045	0.6475
DNAJB13	-0.351666666666667
NEU2	0.4515
HIST1H4B	-0.8755
FAM20B	-0.4495
HES2	1.28757142857143
FAM73B	-0.2724
LOC388381	0.1395
INTS7	-0.560181818181818
AMPH	3.598
ZNF775	0.164875
UCKL1	0.00883333333333333
C10orf97	-0.28525
C1orf161	-0.0775
ALDH1L1	-2.129
FLJ39378	0.00225000000000003
SLC23A1	-1.917
RBM4B	-0.0415
THAP4	0.1605
OGFRL1	0.281
KIAA0831	0.842875
PPP1R15A	-0.134
C1orf96	-0.565714285714286
C12orf11	-1.55975
BMF	0.8835
MAN1A1	0.514875
KIAA1600	1.0415
NLGN4X	-1.09975
ALOX12	-1.29616666666667
RB1CC1	-0.1984
NEIL2	0.7613
EIF4E	0.5225
ABHD5	-0.4305
EXOC4	0.139166666666667
CIP29	-0.265166666666667
BATF2	0.393
SLC29A4	-0.428625
HTR4	0.027
EMB	-1.564
TRAF6	0.679
LMNB1	-3.927
FAM19A5	0.009
SHE	2.3115
PIK3C2B	1.746
C15orf15	-0.6071
USP15	0.7879
TCEAL2	1.214
C5orf39	-0.5655
PTGER2	2.09025
SLC31A1	-0.391125
IFT172	-0.11125
ADAM29	0.63575
GFOD1	0.77775
ST7L	0.533666666666667
C15orf26	-2.968
PKN3	-0.9955
CNTD1	1.11616666666667
COMMD1	-0.0465
NTRK2	2.5265
FOXN3	0.287375
MFGE8	-0.3669
PFKFB2	0.4295
TAS2R4	0.03625
ENTHD1	0.8485
PRMT5	-1.0255
MGC16384	-1.466
LOC442229	-0.5605
TSKU	0.540125
KRTCAP3	3.294625
PDLIM1	1.1258
KCNS2	0.35
RNF126	-0.1105
CEP63	-0.147625
CLIC4	-0.316625
hCG_1990170	-0.57175
ACR	0.2195
KLK7	0.75475
ALOX5AP	3.443375
RIPK3	3.94225
TAS2R9	-0.134
C19orf18	1.808
BIRC6	-0.129428571428571
ZNF16	1.8155
RFT1	-0.92775
SLC8A2	-0.74075
TACC1	1.327125
ITGAD	0.20825
SAMHD1	1.147
SH3PXD2B	1.581
EPC2	0.807
C20orf85	-0.056375
ATP13A2	0.305166666666667
KRT4	0.5045
CAPNS1	-0.17775
MDM2	0.223666666666667
PCDH20	1.08825
KCNK9	1.0345
OR2C1	0.2075
KLHDC3	-0.866333333333333
IPPK	1.894
EFHD2	-0.2005
GALR3	1.1765
NBEA	0.584
ABCA6	3.3495
CLDN3	1.67983333333333
AKT2	-0.7965
EGFR	-1.6802
RBM16	0.1985
ZDHHC3	0.208
SLC25A4	-0.989666666666667
CYB5B	-1.332
CPXM1	0.51625
NDRG1	-0.524923076923077
FLJ43826	0.60475
OR5L2	0.132666666666667
FARP2	0.6075
MRPL46	-0.298333333333333
LDHAL6B	0.613
MAPKAPK3	-0.5905
NCAM2	1.627
PRKD2	0.413333333333333
ZFP36L1	0.5999
CYSLTR1	-0.83575
OR4C3	0.05725
HIST1H2AJ	1.829
CCNB2	-1.80422222222222
ZNF10	-0.53875
TMEM175	0.379
FAM134A	0.966833333333333
TIGD4	0.4625
PCNP	-0.4455
MGC39715	2.26625
LQK1	-2.58325
CREB1	0.9047
TMPRSS3	-2.28925
C4orf32	0.810875
LAT	-1.49625
KCNA3	0.1755
SKIV2L2	-1.03475
ROPN1B	-1.23525
tcag7.23	-0.3635
CDT1	-2.947
ZHX2	1.533125
CD28	-2.20425
ZNF624	0.62725
SEPT2	0.24575
SOHLH2	-1.532
MCOLN3	1.69057142857143
UNQ1945	0.514
MASP2	-1.4635
ZNRF3	-0.3316
GPATCH3	-0.5305
AGL	0.3695
QRICH2	-0.181
PSD4	0.248166666666667
CCNB1IP1	-2.00775
ENPP7	-0.12125
OBFC1	0.03975
KCNG3	-0.8385
C14orf79	0.54325
ENPEP	1.93133333333333
SCT	1.7715
SKI	0.808625
SEC61G	-0.5325
CAPN11	0.08925
ATXN7L3	0.2535
DBNDD1	-0.140666666666667
FAIM	0.127
ANKRD36	-0.681
GABRP	3.56816666666667
TACSTD2	1.66483333333333
EIF3J	-0.35975
PPP2R2A	-0.8565
TEKT4	-0.564333333333333
PVALB	-3.7265
F10	-2.35833333333333
FAM134C	1.507
COMP	4.769125
EFCBP1	-1.7881875
SCLT1	-0.104
TAL1	-0.3607
ACSL1	0.696
ABCC5	1.35275
ABL1	-0.338055555555556
RBBP7	0.374
PTPRG	-0.32575
NCOR1	-0.5786
SPINK4	1.88983333333333
TXNRD1	0.1112
TNRC15	0.550625
C9orf138	0.04775
UBE2H	0.780166666666667
BRDT	2.14816666666667
C8orf31	-0.05325
CCNE2	0.221545454545455
SLC6A8	-2.295875
CALCR	-3.6415
PPP1CB	0.662333333333333
ABHD8	0.157
ARF5	1.0133
SLC24A4	1.0135
CCT3	-0.38375
ZNF121	0.125125
SLC3A2	-0.3663
OR13A1	0.3995
SLC5A10	0.14725
RAD50	-1.263625
IER5	0.75825
MTHFD1L	-1.97425
MBTPS2	-0.209
MVK	-0.184125
NCL	0.1796
PSMD10	-0.2995
MOBP	0.329285714285714
FLJ32894	-0.425
HRH1	-0.369333333333333
C5orf30	0.4095
NUDT16L1	0.6006
RASGRP3	3.86533333333333
PRKRIP1	-0.8277
CCDC75	-0.0185
LOC253970	0.79775
KIAA1239	-0.02125
MED21	-0.31625
SYT11	0.643583333333333
NTSR2	-0.766
EGFL11	-0.0795
CXorf59	0.512
OR2A25	0.143
SPTBN2	-0.7975
LRMP	-1.4175
RNF111	-0.01875
PTH	0.7035
LOC619208	0.365
KIAA0895	1.02975
RANBP5	-1.3265
P2RY10	0.6475
NME5	2.20133333333333
DDX21	-0.954
LRSAM1	0.874
HDAC11	1.288
VMO1	1.784
NOLA2	0.0358333333333333
ADAR	0.4815
MTO1	-1.403
SF4	0.0746666666666667
P2RX1	-0.347666666666667
HBM	0.27375
EN2	1.311
C14orf172	0.82225
TM9SF2	-0.0169
INHBE	-1.76133333333333
TCTE3	-0.517416666666667
TOX2	-2.3555
CTAGE3	0.148
HBB	4.1244
MED15	-0.808
CASR	-0.035
C6orf66	-1.656
MTPN	0.106375
UNC50	0.02025
C21orf33	0.449125
IRF2	0.765375
PGR	1.42283333333333
GPR84	1.57325
CROCCL1	-2.79075
SRPX	-0.44325
BRE	-0.276833333333333
FGF10	1.34425
SDC3	0.385166666666667
ZRSR1	-0.340333333333333
DKFZP434P211	-0.843375
SOX6	0.0125
RPUSD2	0.24975
C14orf173	0.09525
MAPK11	0.00850000000000003
TBC1D22A	0.3495
FAM123A	-0.596
COL4A6	-1.69483333333333
TOMM70A	0.22275
NAB1	-0.21225
MGC16385	-0.559
TSPAN18	0.633333333333333
MED31	-0.106
PLG	-0.2725
CAPSL	1.7975
ZNF532	1.1265
ASB14	-0.0485
CA8	-1.9845
NUDT16P	1.539
SLFN11	-0.62
LRRIQ2	-0.17575
NOL7	-0.164833333333333
BRMS1L	0.0555
JARID1A	0.24
PANK2	-0.4395
ICAM3	-0.41125
MDS1	-0.32
TAF8	-0.49925
RNF139	1.67875
ZNF594	-0.328833333333333
ADAM8	0.474375
SFTPC	-0.161375
MAN2B2	0.74975
RGS12	0.0185625
EIF1AY	0.841916666666667
LRRIQ1	-1.335
GPR150	1.21175
CCDC21	-1.364
PRRG3	0.3615
SAA4	-3.36075
RAPGEF5	1.329375
ZCCHC2	-0.225583333333333
MGC39372	-0.46
PPP4R2	-0.314666666666667
CDCA2	-1.88783333333333
OR4D5	0.7095
PTGFRN	0.8942
SIGLEC5	2.034
C19orf61	-0.171833333333333
NMUR2	0.238
KIAA1586	-0.811166666666667
DAGLA	0.973166666666667
CHCHD6	0.1755
GPR32	0.234
NEUROD6	-0.0368333333333333
SLC2A4RG	0.73575
CA5B	-0.56925
FBXL3	1.67125
MPHOSPH9	-1.39925
HMG2L1	-0.10975
HCN4	0.464333333333333
CEACAM19	-0.18425
SH2D4B	0.574333333333333
HFE2	-0.918
TGM4	0.7645
LYPD2	-0.161666666666667
TBC1D15	0.3795
MRPS21	-0.5445
NONO	-0.9648
CLEC5A	1.163375
ITCH	-0.2306
MGAT3	-0.485833333333333
MBP	-0.91875
RPP25	-0.155
SOSTDC1	0.91625
HRC	-0.6535
TRIM48	0.493
TMEM133	0.077
ECEL1P2	-1.287
HOXC11	-0.236
DOK5	-1.2095
HELZ	1.6095
LOC348180	-0.93325
MGC33894	0.2135
ADRB3	0.195
DMD	-0.166666666666667
PTRH2	0.87225
MPEG1	2.88516666666667
NDUFA12	0.645666666666667
KRTAP2-4	0.21975
STAMBPL1	-0.89
ADCY2	0.167166666666667
UNQ6125	0.302
KLHL20	0.195166666666667
SRM	-1.13375
OTC	0.1755
TMIE	0.193833333333333
SNX8	0.848
LIPK	0.046
CHURC1	-0.217416666666667
KLC2	0.386333333333333
HDAC1	-0.791833333333333
FAM128A	0.929833333333333
FNDC3B	-0.3883
MTCP1	-0.517666666666667
WFDC10B	-0.0691
PCDHGB3	0.5975
ATRNL1	0.2033
CAV2	-0.090375
MED26	0.0705
DUS1L	1.18925
CHRM3	-1.849625
NEK9	0.19
WARS2	0.588
TBX22	0.0825
TOMM40	-0.653
RP6-213H19.1	-0.1595
TUBGCP5	-0.7465
IGSF6	5.233
TPPP	0.294833333333333
UNQ6190	0.349
GSTM5	0.81875
BTD	0.525
PDCD1LG2	0.3995
SNRPB2	-0.848333333333333
ERICH1	-0.302125
APOA4	-1.43625
HOXA11	-2.627
NARG1	-0.03875
MKX	2.35475
RAB28	-0.332785714285714
PKP3	0.7085
SH3GL2	-2.49275
CTSO	3.2805
RPN2	0.364875
IL28RA	-0.00250000000000002
SFMBT1	-0.35025
WDR57	-0.149
FER1L3	1.20441666666667
HSF5	0.142833333333333
TTC9B	0.35725
C4BPA	-3.04366666666667
ALB	-4.22971428571429
SORBS3	0.377625
UPF2	0.608
JPH1	-0.06
AGBL2	-0.33925
DOPEY1	1.3285
TERF1	0.1995
KIF22	-0.800666666666667
NINJ1	2.1945
SEC61A2	-0.64325
HIST1H1D	0.167
SFXN4	-0.31125
UCP3	-0.2073
ZNF703	1.50166666666667
MYL6B	-0.9795
TREM1	2.604
OR52E6	0.376
CKMT2	0.216
HLA-C	1.84875
SLC13A3	-2.291
TIMP4	-0.6085
SLIT2	3.54475
RSF1	0.131388888888889
LONRF1	-1.33707142857143
MON1A	-0.505166666666667
CACNG6	0.6015
DPPA4	-4.99566666666667
ZSWIM3	0.33125
ZNF804A	0.0253333333333333
CCIN	1.48575
SLC25A31	0.362333333333333
KCNMB4	0.00025
RABL5	-0.1805
GALNS	-0.2847
STX6	1.02775
HIST1H1C	0.64
CIDEB	-0.18475
CASP4	0.323666666666667
PDK3	-0.1844
KCNJ11	1.2005
TPR	0.2255
ZSCAN20	-0.8125
MTX2	-0.58625
HIST1H2BH	0.69375
LOC283767	0.7635
LYRM7	-1.67894444444444
BRD3	0.580833333333333
HIST1H2BO	0.88825
MAGEB10	0.4295
SLC45A1	0.59525
SERPINA3	1.38965
KIAA0143	2.095
KCNJ16	1.2455
KRT79	0.026
FABP2	-0.27225
NUT	-0.06325
ZNF57	-0.12625
FBXL4	-0.004875
CLEC9A	1.1595
UGT8	-0.8
BMP2K	0.33475
MAPK4	-3.81325
SLC25A23	-0.7996
HINT1	-0.776
KRTAP13-1	0.279
SFXN5	-0.143
CHCHD2	0.49675
FAM3D	2.2235
NDP	-1.316125
RHOBTB1	-0.136833333333333
SLC4A4	-1.35671428571429
RPL38	1.02675
HTF9C	-0.475833333333333
AP2A2	0.096375
ZBTB46	-0.742
MAP7D1	0.206
AOX1	1.40766666666667
CYR61	0.673833333333334
DTNA	-0.0604285714285714
JRKL	-0.0585
TMOD3	0.35375
EEA1	0.7937
ADCK5	1.40275
IL1R1	2.55916666666667
KLK3	0.636142857142857
HRSP12	0.97125
KTN1	1.21325
LOH11CR2A	-0.3494
RELL2	-1.19975
MAB21L1	1.83675
C20orf59	-1.295
PHKB	-0.84775
ADAM2	-1.64283333333333
TBC1D8B	0.883
FAM13A1	-1.283125
LAPTM4B	0.530166666666667
LCN8	-0.23
TMEM147	0.816
SYT4	0.0156
XPO7	-0.3485
C9orf62	1.262
GPR75	0.2855
TRIM5	-0.418375
APOC1	0.819833333333333
RNASE4	0.236833333333333
PARD6B	0.347875
ARID1A	-0.061
TPD52L3	0.0119
RRAGB	1.421
RCN2	-0.413666666666667
HIST2H2BE	0.98725
STARD7	0.658
SHMT2	-1.00675
KIAA1751	0.0708333333333333
MLYCD	-0.215375
LOC162632	-0.0886
UQCRH	-1.8975
RP11-217H1.1	-0.001125
SDHA	-1.56233333333333
NCLN	0.3575
ZNF17	0.25
RCBTB2	-1.64625
VEGFB	-0.5498
RP4-747L4.3	0.146
COLQ	-0.3226
MPN2	-0.4602
DRG2	-0.452
KLRB1	4.4275
ALPK2	-2.85075
DNASE2B	2.48425
FLJ23834	-0.742666666666667
AXUD1	1.10933333333333
SAFB	-0.059
NSUN4	-0.97
RFX2	0.3465
MAPK8IP1	-0.567166666666667
FANCD2	-1.02635714285714
ANKZF1	-2.038
C19orf50	-0.451375
DUSP8	0.9905
SENP5	0.18275
NFKBIL2	-0.116
LBR	-1.367875
IGFL1	1.379
LZTS2	0.32475
IL2RG	-0.641875
CCDC51	-0.6255
KLF3	0.129375
ANKRD37	-2.52
KCTD14	-0.160333333333333
FZR1	0.136583333333333
SLC44A4	3.2254
ESPL1	-0.712375
GMPR2	-0.3343
TBC1D19	-0.628666666666667
ERGIC1	0.0903333333333334
ERBB4	3.1476
TSPAN32	0.357416666666667
MAP4	-0.16925
GPHN	-1.131
SLC6A2	-0.08125
HIVEP1	0.062
DFFB	-0.6862
EIF4EBP2	0.248375
DMRT1	-0.3615
HSPB6	-0.26275
IER2	0.153333333333333
AIFM1	-0.5945
WWC2	-0.03125
MRPL4	-0.1295
FLJ21062	-0.165
EPB41L4A	1.57566666666667
SH2D6	0.4245
TAF4B	-0.53425
GAL3ST3	-0.188
MALT1	-1.24083333333333
RTDR1	0.9275
ARVCF	-0.512125
MEX3B	-0.619666666666667
FBXO16	0.9745
KIF7	-0.1685
C1QC	4.31566666666667
ZNF783	-0.731333333333333
ZNF85	-0.57825
MMP13	3.472
KIAA0329	0.4765
RTP3	0.0175
ZBED3	-0.000750000000000001
CLGN	0.38025
SLC25A37	-1.43633333333333
hCG_18290	-0.06575
OR5AS1	0.248
SMARCC2	0.291
FAM109A	-0.106833333333333
CCDC12	-0.38725
USF2	0.2344
DEPDC7	-1.79275
C20orf24	-0.7315
JMJD3	-0.0635
DSP	0.00392857142857144
SLIC1	0.315
FAM20A	1.60725
IRF2BP2	-0.068125
ZNF230	-0.302
MSN	-0.418285714285714
SLC9A5	-1.5645
EPDR1	-1.9894
MUSK	0.272833333333333
ZNF434	-0.110166666666667
SMARCD1	-0.331166666666667
ZFP106	-0.6955
ZNF347	0.2706
