Hybridization REF	TCGA-A1-A0SE-01A-11R-A084-07
PPIL1	-1.366
GBP7	0.484666666666667
STK17A	-0.8413
ABR	-0.28775
OR9G1	0.4795
FOXE1	-0.867625
CNGA3	0.3
GML	0.3605
CD38	-2.2825
ZDHHC6	-0.047
NEFH	-0.19525
CTDSP2	1.0025
PGBD5	-1.31816666666667
CCNY	0.913785714285714
RMND5B	0.615666666666667
ZNF257	-1.3455
FLJ22167	-0.427125
EXOSC7	-0.298833333333333
ROR2	1.364375
MAOA	0.2245
TNNT3	1.29083333333333
GYPC	-1.13475
C7orf33	0.6795
PLIN	1.0325
LOC90826	-0.47175
RNF4	-0.0625
F8A1	0.421333333333333
PLEKHG4	-1.597
GRB2	0.4655
HIST1H2AD	0.3405
DUS3L	-1.09333333333333
EIF1	-0.373
RP5-1077B9.4	-1.30383333333333
FPGT	1.53375
GDF10	1.288
COQ9	-0.4835
GCC2	-0.255857142857143
RARRES3	2.16425
PLXNA1	-0.271
KIAA0100	0.052
PMF1	0.60475
FNDC1	5.12275
HS2ST1	0.179666666666667
CRELD2	0.7475
C8G	-2.098
CD82	1.16775
LIM2	-1.115
UNQ6490	-0.1535
MMP16	0.6025
DRD3	-0.34025
C5orf26	-0.3405
C11orf73	-0.864625
PTP4A2	1.1655
OR4M2	0.3
HPCA	-1.343
SEC14L1	-0.701833333333333
CHFR	-1.0715
EMILIN1	1.14025
NDUFS4	-0.4675
COL18A1	0.108
PDZD3	-0.0675
C9orf16	-0.136333333333333
ERBB2IP	0.221666666666667
EMX2	3.36
FUS	-0.43675
TF	-3.5772
CLCN4	-0.0701666666666667
CXorf56	0.48225
C11orf72	0.2025
ELAC2	-1.072
NPR1	-0.295
ASS1	-1.86166666666667
USP42	-0.138375
POLR2J	-0.5215
SEC23IP	0.4335
UQCRC1	-0.09825
LOC729603	-0.794
C1orf71	0.132625
POLG	-1.8745
ADAM23	-2.87525
TFR2	-1.457
RICTOR	-1.1586
MGC39606	1.48675
C19orf55	-0.173875
SNAPC1	-1.81716666666667
GNA11	1.0985
CCDC52	0.229166666666667
FSIP1	4.337
UPF3A	-0.3945
IGSF11	-2.19616666666667
LAGE3	0.08575
CHST6	-1.201
UNC13B	1.23175
TTLL4	-0.3985
ZNF687	0.542875
SDC2	-0.6382
COX7A2	-1.22025
LAMB4	0.37975
FAM24A	-0.3155
LRRTM3	-0.8164
GPHB5	0.27075
OR4C13	-0.0705
EIF3EIP	0.587142857142857
HABP4	-0.544
TMEM125	3.8535
CNTN2	0.83975
ASNSD1	-0.2305
FUT4	-0.24425
ACF	-3.81375
LOC158381	0.805
CDH8	0.53325
AGPS	-2.03283333333333
C4orf18	3.697
PECI	0.354166666666667
UNG	-0.85875
GSTP1	-1.622625
DCUN1D5	-1.792
DKFZP564J0863	-1.39825
SLC9A3R1	1.57675
BCDO2	-1.164875
CHMP7	0.478
REM2	1.224
DNHD1	-0.475375
FKBP4	0.63875
ZNF350	1.20425
MGC11102	-0.210625
BST1	0.888
KISS1R	0.7715
NCR2	0.3225
DEFB125	-0.041
UBE2W	0.93675
KRT15	3.409
C10orf99	0.161
SCN11A	0.1315
GFI1	-2.45425
RDHE2	1.95366666666667
FHL1	-0.833
OSGEP	-0.2865
GATA1	-3.60283333333333
SMC6	-1.096
TTTY14	-1.32975
LPIN3	-0.03625
RPL4	0.0975
RBPMS	1.2065
PRPF3	-0.6095
EMR1	-2.6315
SPATA19	0.15875
XCR1	0.466
IRX3	1.8988
RBM6	-0.6515
KLF4	-0.6013
UNC5CL	0.823
SEBOX	-0.109
BTK	-1.15975
KRCC1	1.069
C6orf27	0.529
SYTL5	-0.422
PRND	1.66625
LOC653319	-1.648
PIGL	-2.06475
HUS1	-0.676833333333334
SFRS6	0.537833333333333
C17orf77	0.553
UIMC1	-0.598333333333333
FXYD2	-1.935
LOC283152	0.8955
ZNF667	0.191
ZCCHC12	-0.68725
TFEC	1.6842
ATP7B	1.32466666666667
POLD2	-0.807333333333333
RG9MTD1	-0.29125
ACOT2	0.9215
HIST1H4I	-0.9285
PPARGC1A	-1.5378
ETFA	-1.3301
POLRMT	-0.373
ZNF146	0.40025
MIA2	-1.8005
KLHL6	-1.4435
HOXB5	-0.862625
NENF	1.48716666666667
CUGBP1	0.47025
PRSS22	1.34616666666667
CASC4	1.5154
CUL4B	-0.0112
CENPJ	-1.5167
PITX1	0.936333333333333
FLJ31033	0.2325
CELSR3	-1.37566666666667
ZNF568	0.69225
ITSN1	-0.314
EHBP1L1	-0.8795
C19orf2	-0.54325
DCTN1	0.687
LIN28B	-3.883
TNKS2	-0.68525
C1QBP	-1.11975
CADPS2	1.84875
SRMS	0.3855
GJA9	0.194666666666667
MGC24975	-0.9105
TRIM45	0.491333333333333
TSP50	-0.0125
TCP1	-1.6935
TMED7	0.3378
CMA1	1.5255
CENPL	-0.289833333333333
PTCRA	-0.1935
FST	-2.68
VWCE	-3.988
PAWR	-0.5125
ABCC12	0.443666666666667
LDLR	-0.7332
ASTN2	1.5561
LOC441212	-0.857
GPATCH8	-0.042
TANC2	-0.0971666666666667
KIF4A	-1.70975
C18orf18	-1.0625
PGM1	-0.63775
KIAA0258	-0.1425
CPD	0.812625
SNCAIP	-0.224
DCT	-4.15283333333333
HLA-DOA	2.22945454545455
OR11L1	0.344
UPK1B	-0.4865
DNAJB4	-0.194625
UGT1A8	-0.170666666666667
HIST1H4L	-1.158
PECR	-1.3385
HSPA2	1.441
WFIKKN1	-1.126
SERP1	0.74825
SYDE2	1.75425
TACR2	1.1185
NUP85	-0.647
CD177	-0.884
LGR5	-1.74416666666667
PIGG	-0.0885
PTHR1	-1.067
RAB5A	0.2659
FLJ13224	-0.3245
USP9Y	-1.79283333333333
C7orf53	-1.894
LRP1B	2.5885
XAF1	0.2534
ABCG8	-0.6505
ANKDD1A	-0.524
DAND5	0.0685
SPAG6	2.79216666666667
LINCR	2.103
ZDHHC22	-1.8335
CCDC60	0.196
THOC7	-1.39383333333333
TCTA	0.6111
OR8K3	0.07625
NY-REN-7	-1.14375
B2M	0.7795
C6orf141	-0.737875
LPPR4	1.88775
SQLE	-0.2685
SEPHS1	0.1745
BTBD14B	0.439
PLRG1	-0.19425
SPG7	-0.666625
ZNF614	-0.193666666666667
PARD6G	1.14233333333333
INPP5B	-0.4364
GRPEL2	-0.367
PPID	-0.8793
TRIM56	-0.199
UBE2J1	-0.639875
IL20RA	3.98675
LOC387856	0.29575
C1orf107	1.01691666666667
UTS2R	0.7525
C19orf22	0.1865
SAFB2	0.065
KIAA0652	0.21125
KLRG1	-0.6335
MS4A8B	1.75533333333333
FRAG1	1.089
KIAA1546	0.5395
E2F4	-1.2061
CLEC4M	0.614
BTBD14A	-1.46675
KIAA0999	0.2781
GYPA	-3.852
TAC1	1.8421
TRAIP	-1.17366666666667
KIAA0232	1.1241
ERCC8	-1.152
GPX4	0.567375
KIAA0368	-0.123625
GPR157	-1.16966666666667
CTAGE4	0.4795
C9orf30	-1.06416666666667
OR52A1	0.0905
HSP90B3P	-0.6245
ALG9	-0.9041
BTBD10	0.82
SDK2	0.03025
BAIAP3	-0.289
RABGGTB	-1.280375
ANKRD40	-0.142833333333333
KRT74	0.6235
CALCOCO2	0.211571428571429
SNCA	-2.87775
TMSL8	-1.873125
C2orf53	-0.0305
ESRRB	-0.33975
ARHGAP26	-1.147625
TDRD9	-2.13225
HRAS	-0.062
KLRC4	-2.4585
JAGN1	-0.156666666666667
BSDC1	0.1775
RNF43	-0.0689
NDUFAF1	-0.08175
PHF12	0.553
OR1L3	0.08375
FOLR2	1.72233333333333
LYZL6	0.106
tcag7.1260	-1.937
WSB1	-2.28383333333333
PROS1	-0.007
OSTN	0.6135
PSMB8	-0.1275
SOCS4	0.04975
DDIT4L	1.316
MAS1	0.1975
MGC34796	1.032
CSHL1	0.6195
TBCCD1	0.373
ZBTB7C	0.337
AP2S1	-0.440625
P15RS	0.1095
VAT1	-0.3499
SHANK3	0.948833333333333
TUFM	0.0355
THEG	-0.1395
KRT34	-1.9355
SGSM3	0.195
TOMM22	0.095
SOCS3	0.7605
CPO	0.5145
POP4	0.2475
BHLHB3	2.70875
MALL	1.092
OR1B1	0.4115
PARK2	0.657166666666667
GPR124	0.958625
LCE1E	0.4215
RUVBL2	-0.33625
CGRRF1	0.2291
ACPL2	0.382
WNT10B	-2.36225
BAIAP2L2	-2.356625
ISCA1	0.569
C1orf125	0.557625
RPAP1	-0.45225
RAI16	-0.0236666666666667
RPL27	-0.3765
NLRP9	-0.477
EPN1	0.211
LOC388610	-0.1745
SLC35A1	0.2153
GAL	-4.32175
SLC14A2	0.054
RDH11	-0.634333333333333
FAM138F	-0.1165
AUH	-0.048
FLJ40243	0.284
C14orf129	0.341666666666667
MBD2	0.0146666666666667
ABHD14B	0.74275
PIGT	0.511125
ALS2CR4	0.039375
ALAS1	0.2013
FOXO1	1.5525
CRLF3	-0.37975
C20orf107	-0.459
FARS2	0.88275
CCDC28A	0.05275
NPHP3	-1.1235
OR13F1	0.4165
TSEN54	-0.597
DEFB106B	0.3538
OR8B4	0.5945
STH	1.265
ZC3H14	-0.1285
CBX2	0.06
TMEM49	-1.28975
C6orf21	0.354
FLJ20920	1.01025
CRTAP	0.244
DDX50	-0.26525
STYXL1	0.27
BLVRB	0.362833333333333
LOC147650	0.3965
MMP24	0.02775
GRID1	1.708
BANF1	-0.347166666666667
CTAGEP	0.05775
HMBS	-2.47
SLC25A24	1.00616666666667
C14orf50	1.49175
MRO	-0.118
SLC25A15	-0.6255
FAM84B	1.3648
TDP1	-0.65
C16orf78	0.036
C11orf57	-0.6295
RFK	-0.637
ZFYVE9	-0.304875
STCH	-0.69
WIBG	0.39325
LOC283871	-0.481666666666667
GBA2	-0.3693
NDUFB3	-0.5595
HSD17B13	-0.08625
GRIN3A	0.791666666666667
FMNL1	-0.986333333333333
SEPT7	-0.166
GNLY	1.5795
GRAMD1C	0.9065
ZNF165	0.41825
USP38	0.5755
FAM83A	-3.37366666666667
C14orf24	0.9845
ARMCX3	1.338375
ARHGDIB	0.258666666666667
AK1	-0.047
KIAA1045	0.42025
DNAJB13	-0.378833333333333
NEU2	0.2675
HIST1H4B	-1.23566666666667
FAM20B	0.0688
HES2	1.8615
FAM73B	-0.5643
LOC388381	0.09975
INTS7	0.113454545454545
AMPH	2.99425
ZNF775	0.205875
UCKL1	-0.977166666666667
C10orf97	0.271
C1orf161	0.05325
ALDH1L1	-0.63325
FLJ39378	-0.204
SLC23A1	-1.697
RBM4B	0.1685
THAP4	0.296333333333333
OGFRL1	-0.11575
KIAA0831	0.064875
PPP1R15A	-0.3815
C1orf96	0.232857142857143
C12orf11	-1.89
BMF	0.866
MAN1A1	-0.701125
KIAA1600	0.625666666666667
NLGN4X	1.18075
ALOX12	-1.33933333333333
RB1CC1	0.1179
NEIL2	1.2971
EIF4E	0.136318181818182
ABHD5	0.06425
EXOC4	0.320666666666667
CIP29	0.344
BATF2	-0.08125
SLC29A4	-0.710625
HTR4	0.15075
EMB	-0.50675
TRAF6	0.40025
LMNB1	-1.638
FAM19A5	0.334
SHE	2.1445
PIK3C2B	1.56525
C15orf15	-0.2882
USP15	-0.0928
TCEAL2	2.32675
C5orf39	-0.967333333333333
PTGER2	2.0705
SLC31A1	-0.0126666666666667
IFT172	0.653
ADAM29	0.46025
GFOD1	-0.6205
ST7L	0.234833333333333
C15orf26	-2.568
PKN3	-1.02375
CNTD1	2.37716666666667
COMMD1	0.3635
NTRK2	3.64725
FOXN3	0.060375
MFGE8	0.2179
PFKFB2	1.13
TAS2R4	-0.2575
ENTHD1	0.4745
PRMT5	-0.401875
MGC16384	-2.103
LOC442229	-0.77625
TSKU	-0.42375
KRTCAP3	2.925
PDLIM1	1.0811
KCNS2	0.8705
RNF126	-0.492833333333333
CEP63	-0.028
CLIC4	-0.340875
hCG_1990170	3.509
ACR	0.4156
KLK7	2.51625
ALOX5AP	2.628
RIPK3	3.91875
TAS2R9	0.4525
C19orf18	1.9365
BIRC6	0.195
ZNF16	1.298
RFT1	-0.46275
SLC8A2	-0.60575
TACC1	0.019125
ITGAD	0.5665
SAMHD1	0.34925
SH3PXD2B	1.7153
EPC2	0.915
C20orf85	3.60375
ATP13A2	1.03683333333333
KRT4	0.230625
CAPNS1	0.22075
MDM2	-0.252083333333333
PCDH20	2.955
KCNK9	0.5545
OR2C1	0.00900000000000001
KLHDC3	-0.3265
IPPK	0.7035
EFHD2	-0.260625
GALR3	0.75975
NBEA	0.801833333333333
ABCA6	3.2444
CLDN3	1.39966666666667
AKT2	-0.592571428571429
EGFR	-0.4754
RBM16	-0.047
ZDHHC3	0.364
SLC25A4	-0.522333333333333
CYB5B	-0.7635
CPXM1	1.3445
NDRG1	-1.66107692307692
FLJ43826	0.692
OR5L2	0.0776666666666666
FARP2	0.2154
MRPL46	-0.4885
LDHAL6B	0.749833333333333
MAPKAPK3	-0.0203333333333333
NCAM2	0.12725
PRKD2	0.353166666666667
ZFP36L1	1.1118
CYSLTR1	0.2345
OR4C3	0.46075
HIST1H2AJ	0.857
CCNB2	-2.27355555555556
ZNF10	-0.636625
TMEM175	0.5205
FAM134A	1.21733333333333
TIGD4	0.272
PCNP	-0.3925
MGC39715	0.91625
LQK1	-0.026
CREB1	1.1117
TMPRSS3	1.83725
C4orf32	0.948125
LAT	-1.75275
KCNA3	-0.4915
SKIV2L2	-0.46475
ROPN1B	1.66625
tcag7.23	-0.1445
CDT1	-2.996
ZHX2	1.273375
CD28	-3.51175
ZNF624	0.68875
SEPT2	0.414416666666667
SOHLH2	-1.23225
MCOLN3	-0.06425
UNQ1945	0.5325
MASP2	-0.9235
ZNRF3	0.3125
GPATCH3	-0.18975
AGL	1.241375
QRICH2	-0.6625
PSD4	1.15616666666667
CCNB1IP1	-1.09925
ENPP7	0.135
OBFC1	0.2395
KCNG3	-1.4765
C14orf79	1.01791666666667
ENPEP	1.63216666666667
SCT	1.188
SKI	1.00225
SEC61G	-1.833
CAPN11	1.58825
ATXN7L3	0.1165
DBNDD1	0.0263333333333333
FAIM	0.134
ANKRD36	-1.235
GABRP	3.999
TACSTD2	2.0225
EIF3J	-0.79125
PPP2R2A	0.6775
TEKT4	-0.056
PVALB	-3.18816666666667
F10	-2.362
FAM134C	1.1596
COMP	4.482
EFCBP1	-1.7539375
SCLT1	0.579625
TAL1	-1.17
ACSL1	-0.15075
ABCC5	-1.22941666666667
ABL1	-0.354333333333333
RBBP7	0.104166666666667
PTPRG	-0.63125
NCOR1	-0.1686
SPINK4	-1.87566666666667
TXNRD1	-2.1708
TNRC15	0.903875
C9orf138	1.500125
UBE2H	0.953
BRDT	2.52766666666667
C8orf31	-0.2795
CCNE2	-1.78181818181818
SLC6A8	-1.740625
CALCR	-4.2395
PPP1CB	1.03975
ABHD8	0.34125
ARF5	0.6547
SLC24A4	0.68475
CCT3	0.33225
ZNF121	0.205
SLC3A2	-0.8574
OR13A1	0.1505
SLC5A10	-0.38125
RAD50	0.344
IER5	0.098375
MTHFD1L	-2.599875
MBTPS2	0.32775
MVK	-0.769375
NCL	-0.049
PSMD10	-0.25225
MOBP	0.2255
FLJ32894	-0.2025
HRH1	-0.900333333333333
C5orf30	0.6425
NUDT16L1	0.824
RASGRP3	3.169
PRKRIP1	-0.5094
CCDC75	-0.14775
LOC253970	-0.73325
KIAA1239	0.23275
MED21	-0.42575
SYT11	0.0519166666666667
NTSR2	-0.499
EGFL11	-0.0925
CXorf59	-0.339
OR2A25	0.45575
SPTBN2	-0.87025
LRMP	-1.45383333333333
RNF111	0.195
PTH	0.272
LOC619208	0.657666666666667
KIAA0895	0.67425
RANBP5	-0.968625
P2RY10	0.986166666666667
NME5	4.024
DDX21	-0.9655
LRSAM1	0.562
HDAC11	2.08566666666667
VMO1	0.73875
NOLA2	-0.00683333333333333
ADAR	0.749666666666667
MTO1	-1.54683333333333
SF4	0.204833333333333
P2RX1	0.0296666666666667
HBM	0.09875
EN2	0.863
C14orf172	-0.0825
TM9SF2	0.3586
INHBE	-1.00133333333333
TCTE3	-0.0935
TOX2	-3.32475
CTAGE3	0.311625
HBB	3.6461
MED15	-0.705
CASR	0.22775
C6orf66	-2.14233333333333
MTPN	-0.466375
UNC50	-0.223
C21orf33	0.009
IRF2	0.941625
PGR	3.4165
GPR84	1.142
CROCCL1	-2.059
SRPX	-0.7845
BRE	0.347333333333333
FGF10	1.08675
SDC3	0.906833333333333
ZRSR1	0.506666666666667
DKFZP434P211	-0.4995
SOX6	-0.091
RPUSD2	0.1145
C14orf173	-0.375583333333333
MAPK11	-0.219166666666667
TBC1D22A	0.2595
FAM123A	-1.049
COL4A6	-1.55116666666667
TOMM70A	0.0375
NAB1	-0.07
MGC16385	-0.67375
TSPAN18	-0.220166666666667
MED31	-1.021
PLG	-0.48075
CAPSL	2.731
ZNF532	1.0373
ASB14	-0.05775
CA8	-0.53175
NUDT16P	0.598666666666667
SLFN11	-0.9825
LRRIQ2	0.164625
NOL7	-0.632333333333333
BRMS1L	-0.787625
JARID1A	0.348833333333333
PANK2	-0.65525
ICAM3	-0.16875
MDS1	-0.5115
TAF8	-0.622
RNF139	1.20975
ZNF594	-0.4245
ADAM8	-0.106875
SFTPC	-0.045375
MAN2B2	1.473625
RGS12	0.7248125
EIF1AY	-4.90183333333333
LRRIQ1	-0.6605
GPR150	0.94525
CCDC21	-0.953333333333333
PRRG3	0.77425
SAA4	-3.06725
RAPGEF5	0.420875
ZCCHC2	-0.254166666666667
MGC39372	0.002
PPP4R2	0.466833333333333
CDCA2	-1.22166666666667
OR4D5	0.608833333333333
PTGFRN	1.1572
SIGLEC5	1.21633333333333
C19orf61	-0.028
NMUR2	0.8
KIAA1586	-0.766
DAGLA	-0.131333333333333
CHCHD6	0.0855
GPR32	1.1265
NEUROD6	-0.0681666666666667
SLC2A4RG	0.43075
CA5B	0.055
FBXL3	1.433
MPHOSPH9	-2.0665
HMG2L1	0.5515
HCN4	0.624166666666667
CEACAM19	0.30525
SH2D4B	0.221333333333333
HFE2	-0.943
TGM4	-0.3602
LYPD2	0.24875
TBC1D15	-0.05325
MRPS21	-0.0692
NONO	-0.5702
CLEC5A	1.553625
ITCH	-0.1905
MGAT3	-0.672166666666667
MBP	-0.204375
RPP25	-1.0675
SOSTDC1	1.60625
HRC	-1.214
TRIM48	-0.5075
TMEM133	-0.117
ECEL1P2	-1.1065
HOXC11	0.609
DOK5	-0.603
HELZ	0.4415
LOC348180	-1.216
MGC33894	0.34025
ADRB3	0.3355
DMD	0.689833333333333
PTRH2	-0.7565
MPEG1	2.5945
NDUFA12	-0.252
KRTAP2-4	-0.09375
STAMBPL1	-1.28316666666667
ADCY2	0.457833333333333
UNQ6125	0.491
KLHL20	0.269833333333333
SRM	-1.092
OTC	0.0425
TMIE	0.329166666666667
SNX8	-0.00675
LIPK	0.1465
CHURC1	0.581083333333333
KLC2	0.134833333333333
HDAC1	-0.467666666666667
FAM128A	1.16466666666667
FNDC3B	-0.8896
MTCP1	-0.266666666666667
WFDC10B	-0.2734
PCDHGB3	-0.1275
ATRNL1	1.1275
CAV2	-0.157875
MED26	0.1185
DUS1L	0.04425
CHRM3	-1.6185
NEK9	0.97425
WARS2	-0.5015
TBX22	0.264
TOMM40	-0.729
RP6-213H19.1	-1.603
TUBGCP5	-0.42975
IGSF6	4.745
TPPP	0.645833333333333
UNQ6190	-0.0715
GSTM5	2.685375
BTD	1.09366666666667
PDCD1LG2	0.436833333333333
SNRPB2	-0.784166666666667
ERICH1	0.12075
APOA4	-1.736625
HOXA11	-1.4385
NARG1	-0.351875
MKX	-0.475
RAB28	-0.215071428571429
PKP3	0.9845
SH3GL2	-2.91675
CTSO	3.59
RPN2	-0.2328125
IL28RA	0.0348333333333333
SFMBT1	0.4345
WDR57	0.295875
FER1L3	1.35233333333333
HSF5	0.568166666666667
TTC9B	0.1645
C4BPA	-2.18516666666667
ALB	-4.5235
SORBS3	0.5555
UPF2	0.589
JPH1	-0.2945
AGBL2	0.43
DOPEY1	0.7305
TERF1	-0.117333333333333
KIF22	-0.416166666666667
NINJ1	2.01125
SEC61A2	-0.164333333333333
HIST1H1D	-1.87566666666667
SFXN4	-0.055875
UCP3	-0.0203999999999999
ZNF703	1.167
MYL6B	-0.49475
TREM1	1.098
OR52E6	0.185
CKMT2	2.0355
HLA-C	0.980875
SLC13A3	-2.19016666666667
TIMP4	-1.15625
SLIT2	2.7915
RSF1	0.2705
LONRF1	0.0198571428571429
MON1A	-0.315
CACNG6	-1.91416666666667
DPPA4	-5.07333333333333
ZSWIM3	-0.041
ZNF804A	0.0835
CCIN	1.3715
SLC25A31	-0.286
KCNMB4	-0.28925
RABL5	0.6495
GALNS	-0.6084
STX6	1.03475
HIST1H1C	-1.65733333333333
CIDEB	0.5585
CASP4	-0.276333333333333
PDK3	-0.1133
KCNJ11	2.677
TPR	0.163375
ZSCAN20	-0.6445
MTX2	-0.0945
HIST1H2BH	-0.07375
LOC283767	1.5125
LYRM7	-1.24461111111111
BRD3	0.423666666666667
HIST1H2BO	-0.4585
MAGEB10	0.204
SLC45A1	1.70725
SERPINA3	2.9335
KIAA0143	0.6265
KCNJ16	2.71816666666667
KRT79	0.23825
FABP2	-0.36425
NUT	-0.12875
ZNF57	-0.10025
FBXL4	0.313375
CLEC9A	2.0035
UGT8	-0.348666666666667
BMP2K	0.515
MAPK4	-2.7925
SLC25A23	-0.1506
HINT1	-0.0217
KRTAP13-1	0.382
SFXN5	0.4773
CHCHD2	0.114833333333333
FAM3D	3.502
NDP	-1.703375
RHOBTB1	0.3545
SLC4A4	-1.594
RPL38	-0.20975
HTF9C	-0.543
AP2A2	0.5925
ZBTB46	-0.361
MAP7D1	0.321625
AOX1	-1.63283333333333
CYR61	0.92225
DTNA	-0.7575
JRKL	-0.1125
TMOD3	0.14975
EEA1	-0.1702
ADCK5	-0.4925
IL1R1	1.66766666666667
KLK3	0.838428571428571
HRSP12	-0.4015
KTN1	0.01075
LOH11CR2A	0.4932
RELL2	-1.52025
MAB21L1	2.5125
C20orf59	-1.203
PHKB	-0.6465
ADAM2	-1.61183333333333
TBC1D8B	1.5265
FAM13A1	-0.4314375
LAPTM4B	-0.891333333333333
LCN8	0.2525
TMEM147	0.512
SYT4	-0.0946666666666667
XPO7	-0.173
C9orf62	0.92325
GPR75	0.495
TRIM5	0.7965
APOC1	-1.6125
RNASE4	1.509
PARD6B	-1.580375
ARID1A	0.592583333333333
TPD52L3	-0.0449
RRAGB	1.61816666666667
RCN2	-0.739333333333333
HIST2H2BE	0.554375
STARD7	-0.087
SHMT2	-1.031
KIAA1751	-0.2925
MLYCD	-0.106875
LOC162632	-0.3077
UQCRH	-1.51575
RP11-217H1.1	0.1908125
SDHA	-0.998666666666667
NCLN	-0.7678
ZNF17	0.6705
RCBTB2	-1.66275
VEGFB	-0.6037
RP4-747L4.3	1.19225
COLQ	0.0569
MPN2	-0.987333333333333
DRG2	-0.6955
KLRB1	5.624
ALPK2	-2.8005
DNASE2B	0.662
FLJ23834	-0.177666666666667
AXUD1	0.957833333333333
SAFB	0.0762
NSUN4	-0.45825
RFX2	0.874666666666667
MAPK8IP1	0.077
FANCD2	-1.00664285714286
ANKZF1	-1.27816666666667
C19orf50	-0.440125
DUSP8	0.687625
SENP5	-0.614625
NFKBIL2	-0.4905
LBR	-1.320375
IGFL1	-0.335
LZTS2	0.118
IL2RG	-0.86625
CCDC51	0.17975
KLF3	0.24625
ANKRD37	-2.27825
KCTD14	0.989333333333333
FZR1	0.0955
SLC44A4	3.653
ESPL1	-0.843
GMPR2	-0.0494
TBC1D19	-0.465
ERGIC1	0.259592592592593
ERBB4	3.4921
TSPAN32	-0.0525
MAP4	0.5225
GPHN	0.2005
SLC6A2	0.262125
HIVEP1	0.21925
DFFB	-0.3883
EIF4EBP2	0.486125
DMRT1	-0.35875
HSPB6	-0.02475
IER2	-0.0168333333333333
AIFM1	-0.303
WWC2	-0.0865
MRPL4	-0.541
FLJ21062	0.792166666666667
EPB41L4A	1.34766666666667
SH2D6	0.146
TAF4B	-0.54025
GAL3ST3	-0.0675
MALT1	-0.893333333333333
RTDR1	1.03975
ARVCF	0.1895
MEX3B	-1.30983333333333
FBXO16	1.8495
KIF7	-0.677
C1QC	3.59466666666667
ZNF783	-0.8185
ZNF85	0.396
MMP13	3.2545
KIAA0329	0.61325
RTP3	-0.815
ZBED3	-0.22425
CLGN	1.4855
SLC25A37	-1.17504166666667
hCG_18290	0.155
OR5AS1	0.2625
SMARCC2	0.665833333333333
FAM109A	-0.0155
CCDC12	-0.18925
USF2	0.6133
DEPDC7	-2.42375
C20orf24	-0.874333333333333
JMJD3	0.433
DSP	2.26292857142857
SLIC1	0.364625
FAM20A	0.96475
IRF2BP2	1.236875
ZNF230	-0.123
MSN	-0.612214285714286
SLC9A5	-1.9495
EPDR1	-1.3465
MUSK	0.351833333333333
ZNF434	0.470333333333333
SMARCD1	-0.508166666666667
ZFP106	-0.223
ZNF347	0.2642
