Hybridization REF	TCGA-A2-A0EN-01A-13R-A084-07
PLXNA1	-0.5745
KIAA0100	-0.0581
PMF1	0.22975
FNDC1	5.37075
HS2ST1	-0.117666666666667
CRELD2	-0.06275
C8G	-2.3875
CD82	1.52825
LIM2	-1.2435
UNQ6490	-0.2835
MMP16	0.1565
DRD3	-0.3905
C5orf26	-0.57825
C11orf73	-0.406875
PTP4A2	0.661875
OR4M2	0.313
HPCA	-0.678833333333333
SEC14L1	0.438166666666667
CHFR	0.185875
EMILIN1	1.021625
NDUFS4	-0.00375
COL18A1	0.472375
PDZD3	-0.2901
C9orf16	-0.0366666666666667
ERBB2IP	0.591666666666667
EMX2	3.243
FUS	-0.4335
TF	-2.6834
CLCN4	0.237666666666667
CXorf56	0.13925
C11orf72	-0.323
ELAC2	-0.9115
NPR1	0.72625
ASS1	0.0821666666666667
USP42	-0.4065
POLR2J	-0.508
SEC23IP	0.8645
UQCRC1	-0.21625
LOC729603	0.45725
C1orf71	-0.311
POLG	-2.628
ADAM23	-2.85875
TFR2	-1.5155
RICTOR	-0.5814
MGC39606	1.41475
C19orf55	-0.634
SNAPC1	-1.50383333333333
GNA11	0.825625
CCDC52	-0.0115
FSIP1	0.4295
UPF3A	-0.46425
IGSF11	-2.57816666666667
LAGE3	0.26875
CHST6	-1.128
UNC13B	0.510875
TTLL4	-1.038875
ZNF687	0.36875
SDC2	-0.1203
COX7A2	-0.26475
LAMB4	-0.19825
FAM24A	-0.00850000000000001
LRRTM3	-1.18366666666667
GPHB5	-0.09525
OR4C13	-0.335
EIF3EIP	-0.380357142857143
HABP4	0.3565
TMEM125	2.44825
CNTN2	0.07725
ASNSD1	-0.01775
FUT4	0.446625
ACF	-4.13425
LOC158381	0.1415
CDH8	-0.31325
AGPS	-1.48233333333333
C4orf18	3.28975
PECI	-0.179916666666667
UNG	-1.101625
GSTP1	-1.102625
DCUN1D5	-1.21416666666667
DKFZP564J0863	-0.488
SLC9A3R1	1.63125
BCDO2	1.15775
CHMP7	0.0795
REM2	0.1695
DNHD1	-0.664375
FKBP4	-0.726625
ZNF350	2.18225
MGC11102	-0.035125
BST1	2.06225
KISS1R	0.584
NCR2	-0.4315
DEFB125	-0.7195
UBE2W	0.817125
KRT15	0.415375
C10orf99	-0.204
SCN11A	0.24825
GFI1	-0.939
RDHE2	1.27166666666667
FHL1	1.4835
OSGEP	0.0523333333333333
GATA1	-3.79716666666667
SMC6	-1.18925
TTTY14	-0.688
LPIN3	-0.117
RPL4	-0.5816
RBPMS	1.2431
PRPF3	-0.518166666666667
EMR1	-1.057
SPATA19	0.127
XCR1	0.0365
IRX3	1.5346
RBM6	-0.25675
KLF4	-0.9558
UNC5CL	-1.14925
SEBOX	-0.1065
BTK	0.689
KRCC1	1.27275
C6orf27	-0.189
SYTL5	-0.7415
PRND	3.087625
LOC653319	-1.9885
PIGL	-1.58525
HUS1	0.0378333333333333
SFRS6	1.13041666666667
C17orf77	0.3325
UIMC1	-0.0643333333333333
FXYD2	-1.7511
LOC283152	1.326
ZNF667	0.18275
ZCCHC12	-0.66075
TFEC	3.7988
ATP7B	1.77583333333333
POLD2	-1.04566666666667
RG9MTD1	-0.31775
ACOT2	0.482333333333333
HIST1H4I	-1.779625
PPARGC1A	-2.5874
ETFA	-1.3029
POLRMT	-0.7015
ZNF146	0.100125
MIA2	-1.158
KLHL6	0.625
HOXB5	-0.50175
NENF	0.956
CUGBP1	0.4265
PRSS22	1.5715
CASC4	0.7968
CUL4B	-0.1232
CENPJ	-1.768
PITX1	1.08166666666667
FLJ31033	0.7535
CELSR3	-2.48316666666667
ZNF568	0.84875
ITSN1	-0.170083333333333
EHBP1L1	-0.777333333333333
C19orf2	-0.68675
DCTN1	0.20325
LIN28B	-3.4938
TNKS2	-0.9235
C1QBP	-1.477875
CADPS2	1.53725
SRMS	0.1325
GJA9	0.106333333333333
MGC24975	-0.930166666666667
TRIM45	0.01
TSP50	0.23475
TCP1	-0.9835
TMED7	0.5314
CMA1	1.356
CENPL	-0.929166666666667
PTCRA	0.2125
FST	-2.511
VWCE	-3.56625
PAWR	-0.7315
ABCC12	2.198
LDLR	-2.0666
ASTN2	0.1271
LOC441212	-1.082
GPATCH8	0.06425
TANC2	-0.804416666666667
KIF4A	-2.998
C18orf18	-2.0975
PGM1	-0.92325
KIAA0258	0.2365
CPD	1.13375
SNCAIP	0.06175
DCT	-4.4755
HLA-DOA	3.37468181818182
OR11L1	0.073
UPK1B	-0.7515
DNAJB4	0.996875
UGT1A8	-0.277
HIST1H4L	-2.451
PECR	-0.837666666666667
HSPA2	1.74975
WFIKKN1	-1.8025
SERP1	0.800875
SYDE2	0.2405
TACR2	0.7255
NUP85	-0.687
CD177	0.690666666666667
LGR5	-1.96833333333333
PIGG	-0.06225
PTHR1	-1.08433333333333
RAB5A	0.6492
FLJ13224	-0.5345
USP9Y	-1.32733333333333
C7orf53	-0.087
LRP1B	-0.63775
XAF1	2.1898
ABCG8	-0.00850000000000001
ANKDD1A	-0.227833333333333
DAND5	-3.1545
SPAG6	4.73566666666667
LINCR	1.40325
ZDHHC22	-1.8315
CCDC60	-0.309
THOC7	-1.16083333333333
TCTA	0.9373
OR8K3	-0.401
NY-REN-7	-0.29425
B2M	1.78666666666667
C6orf141	-1.880875
LPPR4	2.6
SQLE	-2.005625
SEPHS1	-0.5845
BTBD14B	0.185285714285714
PLRG1	-0.16375
SPG7	-0.9214375
ZNF614	0.120166666666667
PARD6G	0.527
INPP5B	-0.6801
GRPEL2	-0.098875
PPID	-0.5286
TRIM56	0.2185
UBE2J1	0.128625
IL20RA	5.62775
LOC387856	0.34575
C1orf107	0.718583333333333
UTS2R	0.82175
C19orf22	0.85675
SAFB2	-0.21875
KIAA0652	0.215125
KLRG1	0.751833333333333
MS4A8B	1.38366666666667
FRAG1	1.26075
KIAA1546	0.09875
E2F4	-0.8209
CLEC4M	0.1285
BTBD14A	-1.06275
KIAA0999	0.5988
GYPA	-3.847
TAC1	1.4863
TRAIP	-2.30383333333333
KIAA0232	0.7409
ERCC8	-0.96825
GPX4	0.253875
KIAA0368	-0.022125
GPR157	-0.6065
CTAGE4	1.347
C9orf30	-1.03683333333333
OR52A1	0.0245
HSP90B3P	-0.0605
ALG9	0.0865
BTBD10	0.52475
SDK2	0.04575
BAIAP3	-1.17725
RABGGTB	-1.467625
ANKRD40	-0.0815
KRT74	0.4175
CALCOCO2	0.645357142857143
SNCA	-2.3135
TMSL8	-4.849
C2orf53	0.1535
ESRRB	-0.775
ARHGAP26	0.41825
TDRD9	-2.1675
HRAS	-0.229333333333333
KLRC4	-2.265
JAGN1	-0.562833333333333
BSDC1	0.012
RNF43	-0.8624
NDUFAF1	-0.216
PHF12	-0.00850000000000001
OR1L3	-0.154
FOLR2	2.54225
LYZL6	0.255666666666667
tcag7.1260	-0.8895
WSB1	-0.5
PROS1	-0.2882
OSTN	0.7635
PSMB8	1.3185
SOCS4	0.157
DDIT4L	0.90075
MAS1	0.1665
MGC34796	1.115
CSHL1	0.3155
TBCCD1	0.433
ZBTB7C	-0.3925
AP2S1	-0.521125
P15RS	-0.7121
VAT1	-0.5508
SHANK3	1.19083333333333
TUFM	-0.487666666666667
THEG	-0.31325
KRT34	-1.87575
SGSM3	-0.496875
TOMM22	-0.595125
SOCS3	1.7675
CPO	1.093
POP4	0.4785
BHLHB3	1.8345
MALL	2.29475
OR1B1	-0.4615
PARK2	0.816833333333333
GPR124	0.902
LCE1E	0.046
RUVBL2	-0.884
CGRRF1	0.4124
ACPL2	0.21625
WNT10B	-1.57525
BAIAP2L2	-2.373125
ISCA1	0.4005
C1orf125	0.5945
RPAP1	-1.30675
RAI16	-0.140833333333333
RPL27	-0.6585
NLRP9	-0.069
EPN1	0.0095
LOC388610	-2.304625
SLC35A1	1.3536
GAL	-4.4465
SLC14A2	0.17325
RDH11	-0.565833333333333
FAM138F	-0.82
AUH	0.0225
FLJ40243	0.1655
C14orf129	0.583333333333333
MBD2	-0.432333333333333
ABHD14B	0.372375
PIGT	0.116
ALS2CR4	-0.575125
ALAS1	0.1799
FOXO1	1.92283333333333
CRLF3	0.331875
C20orf107	0.228
FARS2	0.88925
CCDC28A	0.35375
NPHP3	-0.38525
OR13F1	0.7805
TSEN54	-0.98925
DEFB106B	0.0206
OR8B4	0.036
STH	2.5405
ZC3H14	-0.401625
CBX2	-1.1855
TMEM49	-0.508
C6orf21	0.085
FLJ20920	0.372625
CRTAP	0.679357142857143
DDX50	-0.0795
STYXL1	0.106
BLVRB	-0.107166666666667
LOC147650	-0.6035
MMP24	-0.1
GRID1	1.7205
BANF1	-0.7375
CTAGEP	0.48
HMBS	-2.5535
SLC25A24	0.104
C14orf50	2.304
MRO	0.6885
SLC25A15	-0.62825
FAM84B	0.3271
TDP1	-0.674
C16orf78	-0.0901666666666667
C11orf57	-0.305875
RFK	-0.361375
ZFYVE9	-0.957875
STCH	-0.9367
WIBG	0.43475
LOC283871	-0.8865
GBA2	-0.6113
NDUFB3	-0.3705
HSD17B13	0.4165
GRIN3A	1.0895
FMNL1	0.918166666666667
SEPT7	0.0355
GNLY	4.6055
GRAMD1C	0.2445
ZNF165	-0.7655
USP38	1.36525
FAM83A	-4.21533333333333
C14orf24	0.711833333333333
ARMCX3	1.448375
ARHGDIB	2.19333333333333
AK1	0.0805
KIAA1045	0.292
DNAJB13	-0.3575
NEU2	0.362
HIST1H4B	-2.17616666666667
FAM20B	-0.0947
HES2	-0.353071428571428
FAM73B	-0.4915
LOC388381	-0.1845
INTS7	-0.508818181818182
AMPH	1.171
ZNF775	-0.500625
UCKL1	-1.38216666666667
C10orf97	-0.057
C1orf161	-0.09775
ALDH1L1	1.23525
FLJ39378	0.014875
SLC23A1	-1.5885
RBM4B	-0.08625
THAP4	0.00816666666666667
OGFRL1	1.321
KIAA0831	0.0315
PPP1R15A	1.013
C1orf96	-0.339928571428571
C12orf11	-1.4875
BMF	0.62725
MAN1A1	0.143125
KIAA1600	0.883833333333333
NLGN4X	-0.72175
ALOX12	-1.3985
RB1CC1	-0.6282
NEIL2	0.7525
EIF4E	0.295272727272727
ABHD5	0.21275
EXOC4	-0.209166666666667
CIP29	0.1275
BATF2	0.69325
SLC29A4	-0.404125
HTR4	0.19975
EMB	1.34
TRAF6	0.7105
LMNB1	-2.31875
FAM19A5	-0.8825
SHE	3.067
PIK3C2B	1.52225
C15orf15	-0.9516
USP15	0.3905
TCEAL2	1.44175
C5orf39	-0.0996666666666667
PTGER2	-0.73425
SLC31A1	-0.0905625
IFT172	0.35075
ADAM29	0.21375
GFOD1	1.30875
ST7L	0.62
C15orf26	-3.4815
PKN3	-1.28825
CNTD1	2.6655
COMMD1	0.394875
NTRK2	2.69458333333333
FOXN3	0.79175
MFGE8	-0.0712
PFKFB2	0.437166666666667
TAS2R4	0.0635
ENTHD1	2.71216666666667
PRMT5	-0.539375
MGC16384	-0.847125
LOC442229	0.3675
TSKU	0.33
KRTCAP3	1.631375
PDLIM1	1.912
KCNS2	0.3145
RNF126	-0.665666666666667
CEP63	-0.09725
CLIC4	0.233375
hCG_1990170	0.5375
ACR	0.3394
KLK7	0.08
ALOX5AP	4.1085
RIPK3	4.00125
TAS2R9	-0.1315
C19orf18	1.2355
BIRC6	0.323357142857143
ZNF16	0.9605
RFT1	-0.3495
SLC8A2	-0.4835
TACC1	0.62025
ITGAD	1.4765
SAMHD1	1.70975
SH3PXD2B	1.2229
EPC2	0.7655
C20orf85	4.722875
ATP13A2	-0.2125
KRT4	0.20975
CAPNS1	0.28625
MDM2	-0.51075
PCDH20	1.6045
KCNK9	0.111
OR2C1	-0.5405
KLHDC3	-0.935166666666667
IPPK	0.75
EFHD2	0.499375
GALR3	0.56025
NBEA	1.11666666666667
ABCA6	3.4149
CLDN3	1.62533333333333
AKT2	-0.717428571428571
EGFR	-1.4198
RBM16	0.431625
ZDHHC3	0.3336
SLC25A4	-0.073
CYB5B	-0.524666666666667
CPXM1	0.78175
NDRG1	-0.997153846153846
FLJ43826	0.1625
OR5L2	0.0363333333333333
FARP2	0.4596
MRPL46	-1.27925
LDHAL6B	-0.151166666666667
MAPKAPK3	0.0156666666666667
NCAM2	-1.7925
PRKD2	0.660833333333333
ZFP36L1	1.0742
CYSLTR1	0.189
OR4C3	0.12
HIST1H2AJ	0.7605
CCNB2	-3.61911111111111
ZNF10	-0.347375
TMEM175	0.457
FAM134A	0.537333333333333
TIGD4	-0.0955
PCNP	-0.397
MGC39715	-0.2515
LQK1	-0.334
CREB1	0.7289
TMPRSS3	2.771
C4orf32	1.690125
LAT	-0.221083333333333
KCNA3	0.4085
SKIV2L2	-0.4635
ROPN1B	-3.14425
tcag7.23	-0.3375
CDT1	-3.767375
ZHX2	0.5755
CD28	-1.21675
ZNF624	0.5785
SEPT2	0.627583333333333
SOHLH2	-0.7565
MCOLN3	0.038
UNQ1945	0.3905
MASP2	-1.2525
ZNRF3	-1.1122
GPATCH3	-0.63625
AGL	-0.32325
QRICH2	-0.3685
PSD4	0.930333333333333
CCNB1IP1	-1.28225
ENPP7	0.087
OBFC1	0.2195
KCNG3	-2.764
C14orf79	0.385166666666667
ENPEP	2.20516666666667
SCT	1.429
SKI	0.503
SEC61G	-1.765
CAPN11	0.438
ATXN7L3	-0.0585
DBNDD1	-0.820833333333333
FAIM	-0.34125
ANKRD36	-0.6165
GABRP	1.66483333333333
TACSTD2	2.0825
EIF3J	-0.92675
PPP2R2A	-0.343
TEKT4	-0.986333333333334
PVALB	-4.0825
F10	-2.32283333333333
FAM134C	0.7267
COMP	4.752625
EFCBP1	-2.1930625
SCLT1	0.541625
TAL1	-0.7853
ACSL1	2.8385
ABCC5	-0.374166666666667
ABL1	-0.460444444444444
RBBP7	0.0333333333333333
PTPRG	-0.471
NCOR1	-0.5383
SPINK4	0.9345
TXNRD1	-1.4958
TNRC15	0.14325
C9orf138	0.611875
UBE2H	0.716166666666667
BRDT	0.155333333333333
C8orf31	-0.21175
CCNE2	-2.09390909090909
SLC6A8	-2.358
CALCR	-3.5955
PPP1CB	1.23625
ABHD8	0.16275
ARF5	0.373
SLC24A4	1.004
CCT3	-0.3395
ZNF121	-0.533375
SLC3A2	-0.9116
OR13A1	0.2305
SLC5A10	-0.52825
RAD50	-0.00175000000000002
IER5	0.714625
MTHFD1L	-1.6025
MBTPS2	0.14975
MVK	-0.808375
NCL	-0.2721
PSMD10	-0.241
MOBP	0.0715
FLJ32894	-0.5735
HRH1	0.829833333333333
C5orf30	0.96925
NUDT16L1	0.5689
RASGRP3	4.36283333333333
PRKRIP1	-0.3492
CCDC75	0.27425
LOC253970	0.17725
KIAA1239	1.29825
MED21	-0.62925
SYT11	1.06625
NTSR2	0.2165
EGFL11	-0.1225
CXorf59	0.7705
OR2A25	-0.075
SPTBN2	-1.07975
LRMP	-0.781166666666667
RNF111	-0.06875
PTH	0.019
LOC619208	0.728666666666667
KIAA0895	0.3155
RANBP5	-0.75625
P2RY10	2.82183333333333
NME5	3.9665
DDX21	-0.50275
LRSAM1	-0.0685
HDAC11	1.33
VMO1	2.51175
NOLA2	-0.0556666666666667
ADAR	0.342416666666667
MTO1	-0.993333333333333
SF4	0.416
P2RX1	-0.134333333333333
HBM	-0.15275
EN2	0.702
C14orf172	0.0505
TM9SF2	0.4914
INHBE	-1.12616666666667
TCTE3	-0.05675
TOX2	-1.543
CTAGE3	0.361875
HBB	3.5579
MED15	-0.728666666666667
CASR	0.236
C6orf66	-0.976333333333333
MTPN	-0.504375
UNC50	-0.39
C21orf33	-0.073375
IRF2	0.96375
PGR	-2.127
GPR84	3.223
CROCCL1	-2.11225
SRPX	-0.5145
BRE	0.499
FGF10	2.03875
SDC3	0.462
ZRSR1	0.972166666666667
DKFZP434P211	-0.17175
SOX6	-0.0715
RPUSD2	-0.5145
C14orf173	-0.0714166666666667
MAPK11	-0.144833333333333
TBC1D22A	0.238
FAM123A	-0.5465
COL4A6	-2.98433333333333
TOMM70A	-0.03025
NAB1	0.309
MGC16385	-0.42625
TSPAN18	-0.227166666666667
MED31	-1.04425
PLG	-0.077
CAPSL	4.7745
ZNF532	1.0325
ASB14	-0.26725
CA8	0.019
NUDT16P	1.36533333333333
SLFN11	-0.7075
LRRIQ2	-0.177375
NOL7	-0.637
BRMS1L	-0.37725
JARID1A	0.1895
PANK2	-0.3095
ICAM3	0.34675
MDS1	-0.2455
TAF8	-0.40225
RNF139	0.3025
ZNF594	-0.372166666666667
ADAM8	2.71175
SFTPC	0.0455
MAN2B2	1.417625
RGS12	0.372125
EIF1AY	-4.97616666666667
LRRIQ1	-0.14
GPR150	0.8825
CCDC21	-1.761
PRRG3	-0.0305
SAA4	-1.57275
RAPGEF5	1.5365
ZCCHC2	-0.42
MGC39372	-0.1875
PPP4R2	0.368333333333333
CDCA2	-2.65083333333333
OR4D5	0.0666666666666667
PTGFRN	0.9462
SIGLEC5	1.73116666666667
C19orf61	-0.00733333333333333
NMUR2	0.2755
KIAA1586	-0.573666666666667
DAGLA	0.2615
CHCHD6	-0.44575
GPR32	1.044
NEUROD6	0.377833333333333
SLC2A4RG	0.2255
CA5B	0.523
FBXL3	1.68325
MPHOSPH9	-1.18725
HMG2L1	-0.1935
HCN4	0.374666666666667
CEACAM19	-0.12375
SH2D4B	0.648166666666667
HFE2	-1.02
TGM4	0.1755
LYPD2	0.09025
TBC1D15	-0.15325
MRPS21	-0.46
NONO	-1.3201
CLEC5A	2.3325
ITCH	-0.3084
MGAT3	-0.054
MBP	0.090875
RPP25	-1.37325
SOSTDC1	-1.48675
HRC	-1.27275
TRIM48	0.242
TMEM133	-0.21425
ECEL1P2	-1.0175
HOXC11	0.784
DOK5	0.6805
HELZ	0.358
LOC348180	-1.41225
MGC33894	-0.03375
ADRB3	-0.08
DMD	0.144916666666667
PTRH2	-0.382
MPEG1	3.74466666666667
NDUFA12	-0.178333333333333
KRTAP2-4	0.114916666666667
STAMBPL1	-0.705666666666667
ADCY2	0.300166666666667
UNQ6125	0.1055
KLHL20	0.7715
SRM	-1.42025
OTC	0.15425
TMIE	-0.207
SNX8	-0.1435
LIPK	0.04
CHURC1	-0.151333333333333
KLC2	-0.0173333333333333
HDAC1	-0.940666666666667
FAM128A	0.421166666666667
FNDC3B	-0.0942
MTCP1	-0.205
WFDC10B	-0.2109
PCDHGB3	1.321
ATRNL1	-1.2108
CAV2	0.94225
MED26	-0.0413333333333333
DUS1L	-0.207
CHRM3	-1.496
NEK9	0.79175
WARS2	0.391
TBX22	-0.685
TOMM40	-0.8375
RP6-213H19.1	-1.15366666666667
TUBGCP5	-0.80625
IGSF6	5.75175
TPPP	0.546333333333333
UNQ6190	-0.03
GSTM5	1.8225
BTD	1.233
PDCD1LG2	1.29933333333333
SNRPB2	-0.559666666666667
ERICH1	-0.24025
APOA4	-1.784625
HOXA11	-1.4625
NARG1	-0.402375
MKX	-0.50575
RAB28	-0.302785714285714
PKP3	0.2845
SH3GL2	-2.51025
CTSO	4.306
RPN2	-0.28075
IL28RA	0.212666666666667
SFMBT1	0.71325
WDR57	-0.1475
FER1L3	1.08675
HSF5	0.317833333333333
TTC9B	0.469
C4BPA	-3.19583333333333
ALB	-4.42657142857143
SORBS3	0.234875
UPF2	0.314
JPH1	-0.8465
AGBL2	-0.4405
DOPEY1	1.8855
TERF1	-0.259666666666667
KIF22	-1.26083333333333
NINJ1	1.532
SEC61A2	-0.8125
HIST1H1D	-2.195
SFXN4	-0.07225
UCP3	0.7123
ZNF703	0.601333333333333
MYL6B	-0.907
TREM1	2.37225
OR52E6	0.0765
CKMT2	3.32675
HLA-C	2.534
SLC13A3	-0.518833333333333
TIMP4	1.117
SLIT2	2.904
RSF1	-0.0234444444444444
LONRF1	-0.770071428571429
MON1A	0.08
CACNG6	-1.88466666666667
DPPA4	-5.62433333333333
ZSWIM3	0.3035
ZNF804A	0.541666666666667
CCIN	1.55575
SLC25A31	0.4035
KCNMB4	0.8175
RABL5	0.439
GALNS	-1.0142
STX6	0.761125
HIST1H1C	-3.63816666666667
CIDEB	-0.605375
CASP4	1.11816666666667
PDK3	-0.355
KCNJ11	1.157
TPR	-0.5625
ZSCAN20	-0.7345
MTX2	-0.576
HIST1H2BH	-1.53025
LOC283767	2.22325
LYRM7	-0.858888888888889
BRD3	-0.228333333333333
HIST1H2BO	-1.704
MAGEB10	0.669
SLC45A1	0.8925
SERPINA3	4.87655
KIAA0143	1.50775
KCNJ16	0.738
KRT79	0.359
FABP2	-1.00775
NUT	0.1695
ZNF57	-0.31625
FBXL4	-0.136125
CLEC9A	2.439
UGT8	-1.44433333333333
BMP2K	0.6035
MAPK4	-4.024
SLC25A23	-0.546
HINT1	0.319
KRTAP13-1	0.549
SFXN5	0.775
CHCHD2	-0.0339166666666667
FAM3D	0.9695
NDP	0.58575
RHOBTB1	-0.145166666666667
SLC4A4	-0.653625
RPL38	-0.21375
HTF9C	-1.23516666666667
AP2A2	0.522875
ZBTB46	-0.1305
MAP7D1	0.345625
AOX1	-1.12416666666667
CYR61	0.812666666666667
DTNA	-0.770928571428571
JRKL	-0.28275
TMOD3	-0.0635
EEA1	0.4811
ADCK5	-0.9725
IL1R1	1.83866666666667
KLK3	0.5385
HRSP12	-0.5145
KTN1	0.3045
LOH11CR2A	0.5637
RELL2	-1.8895
MAB21L1	1.3425
C20orf59	-1.26816666666667
PHKB	-0.523
ADAM2	-2.15333333333333
TBC1D8B	1.27016666666667
FAM13A1	-0.8136875
LAPTM4B	-1.67558333333333
LCN8	-0.228
TMEM147	0.3535
SYT4	-0.303166666666667
XPO7	-0.7735
C9orf62	0.72575
GPR75	0.1855
TRIM5	0.894125
APOC1	-0.004
RNASE4	1.13883333333333
PARD6B	-1.81325
ARID1A	-0.0614166666666667
TPD52L3	-0.0591
RRAGB	0.915666666666667
RCN2	-1.338
HIST2H2BE	-1.0909375
STARD7	-0.1295
SHMT2	-1.294
KIAA1751	-0.1042
MLYCD	0.341875
LOC162632	-0.864
UQCRH	-1.9815
RP11-217H1.1	0.1190625
SDHA	-0.688833333333333
NCLN	-0.4019
ZNF17	0.701833333333333
RCBTB2	-0.92575
VEGFB	0.2991
RP4-747L4.3	0.2485
COLQ	0.8117
MPN2	-0.922
DRG2	-0.0875
KLRB1	6.31925
ALPK2	-2.57075
DNASE2B	1.908
FLJ23834	0.0436666666666667
AXUD1	1.0965
SAFB	0.00910000000000002
NSUN4	-0.353
RFX2	0.345333333333333
MAPK8IP1	-0.0588333333333333
FANCD2	-1.41714285714286
ANKZF1	-1.65033333333333
C19orf50	-0.15425
DUSP8	-0.0295
SENP5	0.04225
NFKBIL2	-1.414
LBR	-1.1605
IGFL1	-0.516
LZTS2	-0.493625
IL2RG	1.009375
CCDC51	-0.83525
KLF3	0.305375
ANKRD37	-2.11025
KCTD14	-1.60516666666667
FZR1	-0.07175
SLC44A4	3.5204
ESPL1	-1.402125
GMPR2	-0.2561
TBC1D19	-0.450333333333333
ERGIC1	0.54662962962963
ERBB4	2.6287
TSPAN32	0.58125
MAP4	0.5475
GPHN	-0.9635
SLC6A2	-0.18075
HIVEP1	0.94125
DFFB	-0.7293
EIF4EBP2	0.518875
DMRT1	-0.44025
HSPB6	0.525
IER2	0.275166666666667
AIFM1	-0.469
WWC2	0.508666666666667
MRPL4	-0.642
FLJ21062	1.11033333333333
EPB41L4A	1.79508333333333
SH2D6	0.0825
TAF4B	-0.7685
GAL3ST3	-0.7145
MALT1	-0.629333333333333
RTDR1	-0.76825
ARVCF	-1.11325
MEX3B	-1.161
FBXO16	0.91675
KIF7	-0.80475
C1QC	4.19316666666667
ZNF783	-0.0411666666666667
ZNF85	0.50775
MMP13	4.5095
KIAA0329	0.602625
RTP3	-0.0575
ZBED3	0.88925
CLGN	0.18125
SLC25A37	-0.907291666666667
hCG_18290	-0.1165
OR5AS1	0.1695
SMARCC2	0.471916666666667
FAM109A	-0.0873333333333333
CCDC12	-0.11575
USF2	0.4024
DEPDC7	-1.83325
C20orf24	-0.791666666666667
JMJD3	0.345
DSP	0.927142857142857
SLIC1	0.939625
FAM20A	1.779875
IRF2BP2	-0.032875
